<doc id="wr_1760-02-27" attrs="word" year="1760" month="02" day="27" corpus="2">
<head id="h2_d427e2506">
Venedig	w1_d427e2510
eiligst	w7_d427e3762
zu	w9_d427e3765
Hülfe	w11_d427e3768
gekommen	w13_d427e3772
wäre.	w1_d427e3778
</p>
<head id="h2_d427e3784">
Florenz	w1_d427e3788
9.	w1_d427e3793
Febr.	w3_d427e3796
</head>
<p id="p4_d427e3799">
Man	w1_d427e3803
ist	w3_d427e3806
nunmehro	w5_d427e3809
sowol	w7_d427e3812
hier	w9_d427e3815
als	w11_d427e3818
allen	w13_d427e3822
anderen	w1_d427e3827
Städten	w3_d427e3830
und	w5_d427e3833
Dorfschaften	w7_d427e3836
dieses	w9_d427e3839
Groß=herzogtums	w1_d427e3844
beschäftiget,	w3_d427e3847
die	w5_d427e3850
Land	w7_d427e3853
läuffer	w1_d427e3859
und	w3_d427e3862
sonsten	w5_d427e3865
allenthalben	w7_d427e3868
mütige	w9_d427e3871
Leute	w11_d427e3874
aufzuheben,	w1_d427e3879
und	w3_d427e3882
nacher	w5_d427e3885
Livorno	w7_d427e3888
zu	w9_d427e3891
schi	w11_d427e3894
cken,	w1_d427e3899
allwo	w3_d427e3902
sie	w5_d427e3905
in	w7_d427e3908
denen	w9_d427e3911
militarischen	w11_d427e3914
Ex	w13_d427e3918
ercitien	w1_d427e3923
unterrichtet	w3_d427e3926
werden,	w5_d427e3929
wormit	w7_d427e3932
man	w9_d427e3935
auch	w1_d427e3941
in	w3_d427e3944
so	w5_d427e3947
lange	w7_d427e3950
fortfahren	w9_d427e3953
muß,	w11_d427e3956
bis	w13_d427e3960
ein	w15_d427e3963
ganzes	w1_d427e3968
Corps	w3_d427e3971
derley	w5_d427e3974
Recruten	w7_d427e3977
beysammen	w9_d427e3980
ist,	w1_d427e3985
wo	w3_d427e3988
sodann	w5_d427e3991
dasselbe	w7_d427e3994
nacher	w9_d427e3997
Teutschland	w11_d427e4000
zu	w1_d427e4005
dem	w3_d427e4008
Toscanischen	w5_d427e4011
Regiment	w7_d427e4014
abmarschi	w9_d427e4017
ren	w1_d427e4023
wird;	w3_d427e4026
wie	w5_d427e4029
dann	w7_d427e4032
auch	w9_d427e4035
würklichen	w11_d427e4038
von	w13_d427e4042
Livorno	w1_d427e4047
allbereits	w3_d427e4050
350.	w5_d427e4053
Mann,	w7_d427e4056
welche	w9_d427e4059
von	w1_d427e4064
400.	w3_d427e4067
Dragonern	w5_d427e4070
des	w7_d427e4073
jüngsthin	w9_d427e4076
errich	w11_d427e4079
teten	w1_d427e4084
Regiments	w3_d427e4087
escortiret	w5_d427e4090
werden,	w7_d427e4093
im	w9_d427e4096
Marsche	w1_d427e4102
nachte	w3_d427e4105
Teutschland	w5_d427e4108
begriffen	w7_d427e4111
sind.	w9_d427e4114
</p>
<head id="h2_d427e4120">
Paris	w1_d427e4124
9.	w3_d427e4127
Febr.	w5_d427e4130
</head>
<p id="p4_d427e4133">
Die	w1_d427e4137
neue	w3_d427e4140
Königl.	w5_d427e4143
Verordnungen,	w7_d427e4146
wel	w9_d427e4149
che	w1_d427e4154
diejenige	w3_d427e4157
neue	w5_d427e4160
Auflagen	w7_d427e4163
bestimmen,	w9_d427e4166
die	w11_d427e4169
an	w1_d427e4174
statt	w3_d427e4177
des	w5_d427e4180
verwichenen	w7_d427e4183
Septemb.	w9_d427e4186
ergan	w11_d427e4189
genen	w1_d427e4195
Subventions=edicts	w3_d427e4198
in	w5_d427e4201
Gang	w7_d427e4204
gebracht	w9_d427e4207
</p>
<p id="p6_d427e4210">
werden	w1_d427e4214
sollen,	w3_d427e4217
sind	w5_d427e4220
zwar	w7_d427e4223
am	w9_d427e4226
3.	w11_d427e4229
dieses	w13_d427e4233
dem	w15_d427e4236
Parlament	w1_d427e4241
mitgetheilet	w3_d427e4244
worden,	w5_d427e4247
man	w7_d427e4250
kan	w9_d427e4253
aber	w1_d427e4258
von	w3_d427e4261
deren	w5_d427e4264
Jnnhalt	w7_d427e4267
noch	w9_d427e4270
nichts	w11_d427e4273
Zuver	w13_d427e4277
läßiges	w1_d427e4283
melden.	w3_d427e4286
Man	w5_d427e4289
versichert	w7_d427e4292
jedoch,	w9_d427e4295
daß	w1_d427e4300
unter	w3_d427e4303
anderen	w5_d427e4306
von	w7_d427e4309
einer	w9_d427e4312
Auflage	w11_d427e4315
auf	w13_d427e4319
diejenige,	w1_d427e4324
so	w3_d427e4327
seit	w5_d427e4330
1700.	w7_d427e4333
den	w9_d427e4336
Adelstand	w11_d427e4339
er	w13_d427e4343
langet,	w1_d427e4348
die	w3_d427e4351
Frage	w5_d427e4354
seye.	w7_d427e4357
Man	w9_d427e4360
vernihmt	w11_d427e4363
von	w1_d427e4369
Bourdeaux,	w3_d427e4372
daß	w5_d427e4375
daselbsten	w7_d427e4378
der	w9_d427e4381
Suc	w11_d427e4384
curs,	w1_d427e4389
den	w3_d427e4392
der	w5_d427e4395
Hof	w7_d427e4398
in	w9_d427e4401
bevorstehendem	w11_d427e4404
Früh	w13_d427e4408
jahr	w1_d427e4413
nach	w3_d427e4416
Canada	w5_d427e4419
zu	w7_d427e4422
senden	w9_d427e4425
willens,	w11_d427e4428
aus	w13_d427e4432
gerüstet	w1_d427e4437
werde.	w3_d427e4440
Er	w5_d427e4443
bestehet	w7_d427e4446
in	w9_d427e4449
7.	w11_d427e4452
Schif	w13_d427e4456
fen,	w1_d427e4462
so	w3_d427e4465
unter	w5_d427e4468
der	w7_d427e4471
Aufsicht	w9_d427e4474
des	w11_d427e4477
Capitains	w13_d427e4481
Canon,	w1_d427e4486
der	w3_d427e4489
das	w5_d427e4492
Commando	w7_d427e4495
darüber	w9_d427e4498
be	w11_d427e4501
kommen,	w1_d427e4506
bewafnet	w3_d427e4509
werden,	w5_d427e4512
und	w7_d427e4515
einige	w9_d427e4518
Trupen	w1_d427e4523
nebst	w3_d427e4526
einem	w5_d427e4529
Vorraht	w7_d427e4532
von	w9_d427e4535
Mund	w11_d427e4538
und	w1_d427e4544
Kriegs=bedürfnüssen	w3_d427e4547
dahin	w5_d427e4550
überbringen	w7_d427e4553
sollen.	w1_d427e4558
Da	w3_d427e4561
die	w5_d427e4564
3.	w7_d427e4567
Schiffe	w9_d427e4570
der	w11_d427e4573
Ost=indischen	w13_d427e4577
Compagnie,	w1_d427e4582
so	w3_d427e4585
man	w5_d427e4588
zu	w7_d427e4591
Orient	w9_d427e4594
seit	w11_d427e4597
Ende	w13_d427e4601
des	w15_d427e4604
vorigen	w1_d427e4609
Monats	w3_d427e4612
erwartet,	w5_d427e4615
noch	w7_d427e4618
nicht	w9_d427e4621
zum	w11_d427e4624
Vorschein	w1_d427e4630
gekommen,	w3_d427e4633
so	w5_d427e4636
ist	w7_d427e4639
man	w9_d427e4642
ihrent	w11_d427e4645
wegen	w1_d427e4650
nicht	w3_d427e4653
ausser	w5_d427e4656
Sorgen.	w7_d427e4659
</p>
<head id="h2_d427e4666">
Erfurt	w1_d427e4670
12.	w3_d427e4673
Febr.	w5_d427e4676
</head>
<p id="p4_d427e4679">
Die	w1_d427e4683
am	w3_d427e4686
Sonn=abend	w5_d427e4689
alhier	w7_d427e4692
eingerückte	w9_d427e4695
Preussen,	w1_d427e4700
sind	w3_d427e4703
noch	w5_d427e4706
desselben	w7_d427e4709
Tages	w9_d427e4712
Abends	w11_d427e4715
um	w1_d427e4720
halb	w3_d427e4723
6.	w5_d427e4726
Uhr	w7_d427e4729
wieder	w9_d427e4732
abmarschiret.	w11_d427e4735
Jh	w13_d427e4739
re	w1_d427e4745
Forderung	w3_d427e4748
bestund	w5_d427e4751
darinnen,	w7_d427e4754
daß	w9_d427e4757
ihnen	w11_d427e4760
das	w1_d427e4765
Erfurtische	w3_d427e4768
Gebiet	w5_d427e4771
100.	w7_d427e4774
Artillerie=pferde	w9_d427e4777
liefern	w1_d427e4782
solte;	w3_d427e4785
eben	w5_d427e4788
deswegen	w7_d427e4791
ist	w9_d427e4794
der	w11_d427e4797
Herr	w13_d427e4801
Schnurbusch	w1_d427e4806
und	w3_d427e4809
Schallhaase	w5_d427e4812
als	w7_d427e4815
Geisel	w9_d427e4818
mitgenommen	w1_d427e4824
worden.	w3_d427e4827
Die	w5_d427e4830
Pferde	w7_d427e4833
müs	w9_d427e4836
sen	w1_d427e4841
den	w3_d427e4844
15.	w5_d427e4847
dieses	w7_d427e4850
in	w9_d427e4853
Leipzig	w11_d427e4856
seyn,	w13_d427e4860
um	w15_d427e4863
diesen	w1_d427e4868
Termin	w3_d427e4871
nicht	w5_d427e4874
zu	w7_d427e4877
versäumen,	w9_d427e4880
sind	w11_d427e4883
seit	w1_d427e4888
gestern	w3_d427e4891
sämtliche	w5_d427e4894
Pferde	w7_d427e4897
dieses	w9_d427e4900
Gebiets	w11_d427e4903
gemustert	w1_d427e4909
worden.	w3_d427e4912
Briefe	w5_d427e4915
aus	w7_d427e4918
Jena	w9_d427e4921
vom	w11_d427e4924
10.	w1_d427e4929
sagen,	w3_d427e4932
daß	w5_d427e4935
eben	w7_d427e4938
dieses	w9_d427e4941
Commando	w11_d427e4944
Preussen	w1_d427e4949
folgenden	w3_d427e4952
Tages	w5_d427e4955
daselbst	w7_d427e4958
angekom	w9_d427e4961
men,	w1_d427e4966
und	w3_d427e4969
weiter	w5_d427e4972
gegen	w7_d427e4975
Naumburg	w9_d427e4978
mar	w11_d427e4981
schiret	w1_d427e4987
seye.	w3_d427e4990
</p>
<head id="h2_d427e4996">
Stuttgard	w1_d427e5000
11.	w3_d427e5003
Feb.	w5_d427e5006
</head>
<p id="p4_d427e5009">
Heute	w1_d427e5013
ist	w3_d427e5016
das	w5_d427e5019
höchst=erfreuliche	w7_d427e5022
Geburts	w9_d427e5025
fest	w1_d427e5030
unseres	w3_d427e5033
Durchleuchtigsten	w5_d427e5036
Landes=herrn	w7_d427e5039
in	w1_d427e5044
gröster	w3_d427e5047
Gala	w5_d427e5050
celebriret	w7_d427e5053
worden.	w9_d427e5056
Die	w11_d427e5059
</p>
<p id="p10_d427e5072">
Magnificenz	w1_d427e5076
bey	w3_d427e5079
Hof	w5_d427e5082
war	w7_d427e5085
durchgängig	w9_d427e5088
so	w11_d427e5091
groß	w1_d427e5096
und	w3_d427e5099
prächtig,	w5_d427e5102
als	w7_d427e5105
die	w9_d427e5108
Herzen	w11_d427e5111
aller	w13_d427e5115
Unterthanen	w1_d427e5120
von	w3_d427e5123
treuen	w5_d427e5126
Wünschen	w7_d427e5129
ange	w9_d427e5132
füllet.	w1_d427e5138
Vorgestern	w3_d427e5141
kamen	w5_d427e5144
Seine	w7_d427e5147
Durchl.	w9_d427e5150
der	w1_d427e5155
regierende	w3_d427e5158
Herr	w5_d427e5161
Fürst	w7_d427e5164
von	w9_d427e5167
Hohenzol	w11_d427e5170
lern=hechingen,	w1_d427e5175
beynebst	w3_d427e5178
dero	w5_d427e5181
Herr	w7_d427e5184
Bru	w9_d427e5187
der	w1_d427e5192
Xaver,	w3_d427e5195
Kaiserl.	w5_d427e5198
Königl.	w7_d427e5201
General	w9_d427e5204
major,	w11_d427e5207
alhier	w1_d427e5213
an,	w3_d427e5216
und	w5_d427e5219
gestern	w7_d427e5222
Vormittag	w9_d427e5225
trafen	w11_d427e5228
des	w1_d427e5233
Prinzen	w3_d427e5236
August	w5_d427e5239
von	w7_d427e5242
Baaden=Baaden	w9_d427e5245
Hochfürstl.	w1_d427e5250
Durchleucht,	w3_d427e5253
auch	w5_d427e5256
des	w7_d427e5259
Nach	w9_d427e5262
mittags	w1_d427e5267
des	w3_d427e5270
Prinzen	w5_d427e5273
von	w7_d427e5276
Zweybrücken	w9_d427e5279
Hoch	w11_d427e5282
fürstl.	w1_d427e5288
Durchleucht,	w3_d427e5291
aus	w5_d427e5294
Tübingen,	w7_d427e5297
und	w9_d427e5300
des	w1_d427e5305
Abends	w3_d427e5308
des	w5_d427e5311
regierenden	w7_d427e5314
Herrn	w9_d427e5317
Reichs	w11_d427e5320
grafen	w1_d427e5325
von	w3_d427e5328
Oettingen	w5_d427e5331
Excellenz	w7_d427e5334
aus	w9_d427e5337
Wal	w11_d427e5340
lerstein	w1_d427e5345
hier	w3_d427e5348
ein.	w5_d427e5351
Heute	w7_d427e5354
Vormittag	w9_d427e5357
um	w11_d427e5360
9.	w1_d427e5366
Uhr	w3_d427e5369
hielten	w5_d427e5372
Se.	w7_d427e5375
Herzogl.	w9_d427e5378
Durchl.	w11_d427e5381
hohe	w13_d427e5385
Militair=ordens	w1_d427e5390
versammlung,	w3_d427e5393
und	w5_d427e5396
geruhe	w7_d427e5399
ten	w1_d427e5404
die	w3_d427e5407
Herren	w5_d427e5410
Obrist=leutenants	w7_d427e5413
von	w9_d427e5416
Bött	w11_d427e5419
ger	w1_d427e5424
und	w3_d427e5427
von	w5_d427e5430
Mandelslohe,	w7_d427e5433
und	w9_d427e5436
die	w11_d427e5439
Herren	w13_d427e5443
Haupt=leute	w1_d427e5449
von	w3_d427e5452
Rau,	w5_d427e5455
von	w7_d427e5458
Thüngen,	w9_d427e5461
von	w11_d427e5464
Leidreuter,	w1_d427e5469
von	w3_d427e5472
Wilhelmi,	w5_d427e5475
und	w7_d427e5478
von	w9_d427e5481
Bin	w11_d427e5484
ninger,	w1_d427e5489
zu	w3_d427e5492
Rittern	w5_d427e5495
des	w7_d427e5498
Herzogl.	w9_d427e5501
Militair	w11_d427e5504
St.	w1_d427e5509
Carls=ordens	w3_d427e5512
zu	w5_d427e5515
schlagen.	w7_d427e5518
Se.	w9_d427e5521
Durch	w11_d427e5524
leucht	w1_d427e5530
nahmen	w3_d427e5533
Mittags	w5_d427e5536
die	w7_d427e5539
Gratulationen	w9_d427e5542
an,	w1_d427e5547
welch	w3_d427e5550
sowol	w5_d427e5553
die	w7_d427e5556
anwesende	w9_d427e5559
Fürstliche	w11_d427e5562
Personen	w1_d427e5567
als	w3_d427e5570
die	w5_d427e5573
Herren	w7_d427e5576
Abgesandte	w9_d427e5579
von	w11_d427e5582
denen	w1_d427e5587
MarggräflichBayreuthisch	w3_d427e5590
und	w5_d427e5593
Dur	w7_d427e5596
lachischen	w1_d427e5602
Höfen,	w3_d427e5605
und	w5_d427e5608
die	w7_d427e5611
übrige	w9_d427e5614
viele	w11_d427e5617
vor	w13_d427e5621
nehme	w1_d427e5626
Standes=personen,	w3_d427e5629
in	w5_d427e5632
Gesellschaft	w7_d427e5635
des	w1_d427e5640
gesamten	w3_d427e5643
zahlreichen	w5_d427e5646
Hofes	w7_d427e5649
in	w9_d427e5652
Dero	w11_d427e5655
Audienz=gemach	w1_d427e5660
ablegten.	w3_d427e5663
Man	w5_d427e5666
setzte	w7_d427e5669
sich	w9_d427e5672
sodann	w1_d427e5678
unter	w3_d427e5681
Trompeten	w5_d427e5684
und	w7_d427e5687
Paucken=schall	w9_d427e5690
zur	w1_d427e5695
Tafel,	w3_d427e5698
und	w5_d427e5701
während	w7_d427e5704
solcher	w9_d427e5707
wurden	w11_d427e5710
unter	w1_d427e5715
das	w3_d427e5718
Volk	w5_d427e5721
zwey	w7_d427e5724
gebratene	w9_d427e5727
mit	w11_d427e5730
Feder	w13_d427e5734
wild=pret	w1_d427e5739
gespickte	w3_d427e5742
Ochsen,	w5_d427e5745
auch	w7_d427e5748
rot	w9_d427e5751
und	w11_d427e5754
weisser	w1_d427e5760
Wein	w3_d427e5763
Preiß	w5_d427e5766
gegeben,	w7_d427e5769
und	w9_d427e5772
Geld	w11_d427e5775
un	w13_d427e5779
ter	w1_d427e5784
solches	w3_d427e5787
ausgeworfen.	w5_d427e5790
Heute	w7_d427e5793
Abend	w9_d427e5796
wird	w1_d427e5801
die	w3_d427e5804
neue	w5_d427e5807
Opera,	w7_d427e5810
Alessandro,	w9_d427e5813
gespie	w11_d427e5816
let,	w1_d427e5821
und	w3_d427e5824
nach	w5_d427e5827
solcher	w7_d427e5830
an	w9_d427e5833
der	w11_d427e5836
Machinenta	w13_d427e5840
fel	w1_d427e5846
gespeiset	w3_d427e5849
werden,	w5_d427e5852
wobey	w7_d427e5855
das	w9_d427e5858
Desert	w11_d427e5861
in	w13_d427e5865
einem	w1_d427e5870
Aufsatz	w3_d427e5873
von	w5_d427e5876
Porcellaine	w7_d427e5879
bestehen	w9_d427e5882
wird,	w1_d427e5887
welches	w3_d427e5890
in	w5_d427e5893
der	w7_d427e5896
Herzogl.	w9_d427e5899
Porcellain	w11_d427e5902
</p>
<p id="p12_d427e5906">
fabrique	w1_d427e5910
zu	w3_d427e5913
Ludwigsburg	w5_d427e5916
auf	w7_d427e5919
das	w9_d427e5922
künst	w11_d427e5925
lichste	w1_d427e5930
gemacht	w3_d427e5933
worden.	w5_d427e5936
</p>
<head id="h2_d427e5942">
Dublin	w1_d427e5946
21.	w3_d427e5949
Januarii.	w5_d427e5952
</head>
<p id="p4_d427e5955">
Gegenwärtig	w1_d427e5959
überlegt	w3_d427e5962
das	w5_d427e5965
Parlament	w7_d427e5968
von	w1_d427e5973
Jrrland	w3_d427e5976
eine	w5_d427e5979
Bille,	w7_d427e5982
welche	w9_d427e5985
die	w11_d427e5988
Auf	w13_d427e5992
stellung	w1_d427e5997
der	w3_d427e6000
Militz	w5_d427e6003
in	w7_d427e6006
diesem	w9_d427e6009
Königreiche	w11_d427e6012
nach	w1_d427e6018
dem	w3_d427e6021
nämlichen	w5_d427e6024
Entwurf,	w7_d427e6027
als	w9_d427e6030
einer	w11_d427e6033
in	w1_d427e6038
England	w3_d427e6041
ausgeführet	w5_d427e6044
worden,	w7_d427e6047
zum	w9_d427e6050
Au	w11_d427e6053
genmerk	w1_d427e6058
hat.	w3_d427e6061
</p>
<p id="p6_d427e6064">
Das	w1_d427e6068
neue	w3_d427e6071
Regiment	w5_d427e6074
der	w7_d427e6077
leichten	w9_d427e6080
Reute	w11_d427e6083
rey,	w1_d427e6088
über	w3_d427e6091
welches	w5_d427e6094
der	w7_d427e6097
Lord	w9_d427e6100
Drogheda	w11_d427e6103
das	w13_d427e6107
Commando	w1_d427e6112
erhalten,	w3_d427e6115
ist	w5_d427e6118
innerhalb	w7_d427e6121
16.	w9_d427e6124
Ta	w11_d427e6127
gen	w1_d427e6133
in	w3_d427e6136
