<doc id="wr_1762-08-25" attrs="word" year="1762" month="08" day="25" corpus="2">
<head id="h2_d685e2142">
Lisabon	w1_d685e2146
Berg	w1_d685e3410
hin	w3_d685e3413
gegen	w5_d685e3416
Cassel,	w7_d685e3419
die	w9_d685e3422
andere	w11_d685e3425
an	w13_d685e3429
der	w15_d685e3432
Fulda	w1_d685e3437
hinunter;	w3_d685e3440
Jhre	w5_d685e3443
Reuterey	w7_d685e3446
blieb	w9_d685e3449
in	w11_d685e3452
Schlacht=ordnung	w1_d685e3457
vor	w3_d685e3460
Gudensberg	w5_d685e3463
stehen.	w7_d685e3466
Gestern	w1_d685e3472
und	w3_d685e3475
die	w5_d685e3478
vergangene	w7_d685e3481
Nacht	w9_d685e3484
musten	w11_d685e3487
alle	w1_d685e3492
ihre	w3_d685e3495
Völker	w5_d685e3498
unter	w7_d685e3501
freyem	w9_d685e3504
Himmel	w11_d685e3507
zu	w13_d685e3511
bringen,	w1_d685e3516
und	w3_d685e3519
liessen	w5_d685e3522
uns	w7_d685e3525
einen	w9_d685e3528
Angrif	w11_d685e3531
an	w13_d685e3535
der	w15_d685e3538
Fulda	w1_d685e3543
vermuten.	w3_d685e3546
Diesen	w5_d685e3549
Morgen	w7_d685e3552
siehet	w9_d685e3555
man	w11_d685e3558
nun	w1_d685e3564
ihr	w3_d685e3567
Lager	w5_d685e3570
vorwärts	w7_d685e3573
Gudensberg;	w9_d685e3576
je	w11_d685e3579
nes	w1_d685e3584
bey	w3_d685e3587
Melsungen,	w5_d685e3590
und	w7_d685e3593
auf	w9_d685e3596
den	w11_d685e3599
Hohen	w13_d685e3603
von	w15_d685e3606
Ellenberg	w1_d685e3611
scheinen	w3_d685e3614
auch	w5_d685e3617
verstürket	w7_d685e3620
zu	w9_d685e3623
seyn,	w11_d685e3626
und	w1_d685e3631
ein	w3_d685e3634
Corps	w5_d685e3637
stellte	w7_d685e3640
sich	w9_d685e3643
zu	w11_d685e3646
Hohenkirchen.	w13_d685e3650
Jn	w1_d685e3656
der	w3_d685e3659
Nacht	w5_d685e3662
vom	w7_d685e3665
8ten	w9_d685e3668
zum	w11_d685e3671
9ten	w13_d685e3675
bemäch	w15_d685e3678
tigten	w1_d685e3683
sich	w3_d685e3686
die	w5_d685e3689
Feinde	w7_d685e3692
des	w9_d685e3695
vordersten	w11_d685e3698
Theils	w13_d685e3702
einer	w1_d685e3707
Halb=insel	w3_d685e3710
auf	w5_d685e3713
der	w7_d685e3716
Fulda,	w9_d685e3719
unter	w11_d685e3722
der	w13_d685e3726
Höhe	w1_d685e3731
von	w3_d685e3734
Ellenberg.	w5_d685e3737
Aber	w7_d685e3740
der	w9_d685e3743
Herr	w11_d685e3746
von	w13_d685e3750
Flavigny,	w1_d685e3756
Marschall	w3_d685e3759
de	w5_d685e3762
Camp,	w7_d685e3765
ließ	w9_d685e3768
sie	w11_d685e3771
durch	w13_d685e3775
die	w1_d685e3780
Brigade	w3_d685e3783
von	w5_d685e3786
Lionnois	w7_d685e3789
angreiffen;	w9_d685e3792
unse	w11_d685e3795
re	w1_d685e3800
Grenadiers	w3_d685e3803
trieben	w5_d685e3806
die	w7_d685e3809
Feinde	w9_d685e3812
mit	w11_d685e3815
Bajo	w13_d685e3819
netten	w1_d685e3824
bis	w3_d685e3827
nach	w5_d685e3830
dem	w7_d685e3833
Verhau,	w9_d685e3836
der	w11_d685e3839
ihnen	w13_d685e3843
zum	w15_d685e3846
Schutz	w1_d685e3852
dienete;	w3_d685e3855
Sie	w5_d685e3858
erlitten	w7_d685e3861
hierbey	w9_d685e3864
einen	w11_d685e3867
empfindlichen	w1_d685e3872
Verlust,	w3_d685e3875
und	w5_d685e3878
wir	w7_d685e3881
machten	w9_d685e3884
30.	w11_d685e3887
Mann	w1_d685e3892
Englischer	w3_d685e3895
Jnfanterie,	w5_d685e3898
und	w7_d685e3901
einen	w9_d685e3904
Capitain	w1_d685e3909
zu	w3_d685e3912
Gefangenen.	w5_d685e3915
</p>
<p id="p8_d685e3918">
Gestern	w1_d685e3922
näherte	w3_d685e3925
sich	w5_d685e3928
ein	w7_d685e3931
feindliches	w9_d685e3934
Dete	w11_d685e3937
schement	w1_d685e3942
Münden.	w3_d685e3945
Der	w5_d685e3948
Marquis	w7_d685e3951
von	w9_d685e3954
Ro	w11_d685e3957
chechouart	w1_d685e3962
schickte	w3_d685e3965
auf	w5_d685e3968
selbiges	w7_d685e3971
den	w9_d685e3974
Herrn	w11_d685e3977
von	w13_d685e3981
Verteuil	w1_d685e3987
mit	w3_d685e3990
seinen	w5_d685e3993
Volontairs	w7_d685e3996
aus,	w9_d685e3999
der	w11_d685e4002
mit	w13_d685e4006
55.	w1_d685e4011
Gefangenen	w3_d685e4014
ohne	w5_d685e4017
den	w7_d685e4020
mindesten	w9_d685e4023
Verlust	w11_d685e4026
wieder	w1_d685e4031
zurück	w3_d685e4034
kam.	w5_d685e4037
</p>
<p id="p10_d685e4040">
Diesen	w1_d685e4044
Augenblick	w3_d685e4047
erfahren	w5_d685e4050
wir,	w7_d685e4053
daß	w9_d685e4056
der	w11_d685e4059
Herr	w1_d685e4064
Marquis	w3_d685e4067
von	w5_d685e4070
Lostanges	w7_d685e4073
mit	w9_d685e4076
einem	w11_d685e4079
De	w13_d685e4083
taschement	w1_d685e4088
von	w3_d685e4091
der	w5_d685e4094
Besatzung	w7_d685e4097
aus	w9_d685e4100
Göttingen	w11_d685e4103
gegangen,	w1_d685e4109
und	w3_d685e4112
ein	w5_d685e4115
anders	w7_d685e4118
unter	w9_d685e4121
dem	w11_d685e4124
Herrn	w13_d685e4128
vom	w1_d685e4133
Rome,	w3_d685e4136
zweyten	w5_d685e4139
Commandanten	w7_d685e4142
der	w9_d685e4145
Freywilligen	w1_d685e4150
von	w3_d685e4153
Austrasten	w5_d685e4156
nach	w7_d685e4159
Stadt	w9_d685e4162
Worbis	w1_d685e4167
abgefertiget	w3_d685e4170
habe,	w5_d685e4173
welche	w7_d685e4176
alldorten	w9_d685e4179
103.	w1_d685e4185
Grenadiers,	w3_d685e4188
Soldaten	w5_d685e4191
und	w7_d685e4194
Hussaren;	w9_d685e4197
1.	w1_d685e4202
Hauptmann,	w3_d685e4205
2.	w5_d685e4208
Leutenants,	w7_d685e4211
zwey	w9_d685e4214
Quar	w11_d685e4217
tier=meister	w1_d685e4222
und	w3_d685e4225
einen	w5_d685e4228
Unter=officier,	w7_d685e4231
inglei	w9_d685e4234
chem	w1_d685e4239
26.	w3_d685e4242
Pferde	w5_d685e4245
einbrachten,	w7_d685e4248
und	w9_d685e4251
zugleich	w11_d685e4254
die	w1_d685e4260
Cassa	w3_d685e4263
des	w5_d685e4266
Türckischen	w7_d685e4269
Regiments	w9_d685e4272
auch	w11_d685e4275
viele	w1_d685e4280
mit	w3_d685e4283
Brod	w5_d685e4286
beladene	w7_d685e4289
Wagen	w9_d685e4292
erbeuteten.	w11_d685e4295
</p>
<head id="h2_d685e4301">
Aus	w1_d685e4305
dem	w3_d685e4308
K.	w5_d685e4311
Französischen	w7_d685e4314
Haupt	w9_d685e4317
tier	w1_d685e4322
Grumbach	w3_d685e4325
vom	w5_d685e4328
12ten	w7_d685e4331
Augusti.	w1_d685e4336
</head>
<p id="p4_d685e4339">
Vorgestern	w1_d685e4343
that	w3_d685e4346
der	w5_d685e4349
Marquis	w7_d685e4352
de	w9_d685e4355
Castries	w11_d685e4358
enen	w1_d685e4363
lebhaften	w3_d685e4366
Angriff	w5_d685e4369
auf	w7_d685e4372
das	w9_d685e4375
Freytagische	w11_d685e4378
Corps	w1_d685e4383
bey	w3_d685e4386
Spangenberg,	w5_d685e4389
und	w7_d685e4392
nöhtigte	w9_d685e4395
es	w11_d685e4398
mit	w1_d685e4404
Verlust	w3_d685e4407
wieder	w5_d685e4410
über	w7_d685e4413
die	w9_d685e4416
Fulda	w11_d685e4419
zu	w13_d685e4423
gehen.	w15_d685e4426
Es	w1_d685e4431
wird	w3_d685e4434
gesagt	w5_d685e4437
das	w7_d685e4440
Prinz	w9_d685e4443
Friederich	w11_d685e4446
von	w13_d685e4450
Braunschweig	w1_d685e4455
zu	w3_d685e4458
Mühlhausen	w5_d685e4461
mit	w7_d685e4464
Nieder	w9_d685e4467
reissung	w1_d685e4472
der	w3_d685e4475
Bevestigungs=werker	w5_d685e4478
beschäfti	w7_d685e4481
Die	w1_d685e4487
Communication	w3_d685e4490
zwischen	w5_d685e4493
der	w7_d685e4496
get	w1_d685e4501
sey	w3_d685e4504
Armee	w1_d685e4509
und	w3_d685e4512
Frankfurt	w5_d685e4515
ist	w7_d685e4518
wieder	w9_d685e4521
offen.	w11_d685e4524
</p>
<head id="h2_d685e4530">
Frankfurt	w1_d685e4534
15.	w3_d685e4537
Augusti.	w5_d685e4540
</head>
<p id="p4_d685e4543">
Auf	w1_d685e4547
einmal	w3_d685e4550
scheinet	w5_d685e4553
sich	w7_d685e4556
der	w9_d685e4559
glückliche	w11_d685e4562
Zeit	w13_d685e4566
punct	w1_d685e4571
zu	w3_d685e4574
nähern,	w5_d685e4577
welcher	w7_d685e4580
dem	w9_d685e4583
beträchtlich	w11_d685e4586
sten	w1_d685e4591
Theile	w3_d685e4594
von	w5_d685e4597
Europa	w7_d685e4600
die	w9_d685e4603
Wiederherstel	w11_d685e4606
lung	w1_d685e4612
der	w3_d685e4615
Ruhe	w5_d685e4618
verspricht.	w7_d685e4621
Alle	w9_d685e4624
aus	w11_d685e4627
Frank	w13_d685e4631
reich	w1_d685e4636
einlauffende	w3_d685e4639
Nachrichten,	w5_d685e4642
so	w7_d685e4645
wie	w9_d685e4648
die	w11_d685e4651
Hol	w13_d685e4655
ländische,	w1_d685e4660
und	w3_d685e4663
ein	w5_d685e4666
guter	w7_d685e4669
Theil	w9_d685e4672
der	w11_d685e4675
Engli	w13_d685e4679
schen	w1_d685e4684
geben	w3_d685e4687
die	w5_d685e4690
angenehme	w7_d685e4693
Nachricht,	w9_d685e4696
daß	w11_d685e4699
es	w1_d685e4705
mit	w3_d685e4708
denen	w5_d685e4711
Friedens=präliminarien	w7_d685e4714
zwi	w9_d685e4717
schen	w1_d685e4722
Frankreich	w3_d685e4725
und	w5_d685e4728
England	w7_d685e4731
so	w9_d685e4734
weit	w11_d685e4737
ge	w13_d685e4741
kommen,	w1_d685e4746
daß	w3_d685e4749
man	w5_d685e4752
sich	w7_d685e4755
auf	w9_d685e4758
einen	w11_d685e4761
baldigen	w13_d685e4765
</p>
<p id="p10_d685e4778">
Frieden	w1_d685e4782
Hofnung	w3_d685e4785
machen	w5_d685e4788
könne,	w7_d685e4791
und	w9_d685e4794
nächstens	w1_d685e4799
Bevollmächtigte	w3_d685e4802
ernannt	w5_d685e4805
werden	w7_d685e4808
würden,	w1_d685e4813
dieses	w3_d685e4816
heilsame	w5_d685e4819
Werk	w7_d685e4822
vollends	w9_d685e4825
zum	w1_d685e4831
Stande	w3_d685e4834
zu	w5_d685e4837
bringen.	w7_d685e4840
Mann	w9_d685e4843
nennt	w11_d685e4846
so	w13_d685e4850
gar	w1_d685e4855
den	w3_d685e4858
Tag,	w5_d685e4861
an	w7_d685e4864
welchem	w9_d685e4867
sothane	w11_d685e4870
Ernen	w13_d685e4874
nung	w1_d685e4879
einerseits	w3_d685e4882
würklich	w5_d685e4885
beschehen;	w7_d685e4888
und	w9_d685e4891
vielleicht	w1_d685e4896
ist	w3_d685e4899
man	w5_d685e4902
mit	w7_d685e4905
nächster	w9_d685e4908
Post	w11_d685e4911
im	w13_d685e4915
Stand	w15_d685e4918
die	w1_d685e4924
Erwartung	w3_d685e4927
der	w5_d685e4930
Leser	w7_d685e4933
in	w9_d685e4936
einem	w11_d685e4939
so	w13_d685e4943
erfreu	w15_d685e4946
lichen	w1_d685e4951
Puncte	w3_d685e4954
näher	w5_d685e4957
zu	w7_d685e4960
vergnügen.	w9_d685e4963
</p>
<head id="h2_d685e4970">
Wien	w1_d685e4974
den	w3_d685e4977
25.	w5_d685e4980
Augusti	w7_d685e4983
1762.	w9_d685e4986
</head>
<p id="p4_d685e4989">
DOntags	w1_d685e4993
den	w3_d685e4996
23.	w5_d685e4999
Augusti	w7_d685e5002
gegen	w9_d685e5005
dem	w11_d685e5008
-5	w1_d685e5013
Abend	w3_d685e5016
seynd	w5_d685e5019
Se.	w7_d685e5022
Königl.	w9_d685e5025
Hoheit	w11_d685e5028
der	w13_d685e5032
Durchl.	w1_d685e5037
Ertzherzog	w3_d685e5040
Leopold,	w5_d685e5043
mit	w7_d685e5046
dero	w9_d685e5049
Durchl.	w1_d685e5055
Frauen	w3_d685e5058
Schwestern,	w5_d685e5061
Amalia,	w7_d685e5064
Jo	w9_d685e5067
hanna,	w1_d685e5072
und	w3_d685e5075
Josepha,	w5_d685e5078
von	w7_d685e5081
Hollitsch,	w9_d685e5084
in	w11_d685e5087
Schönbrunn	w1_d685e5092
mittelst	w3_d685e5095
der	w5_d685e5098
Post	w7_d685e5101
wiederumen	w9_d685e5104
zuruckgelanget.	w1_d685e5109
</p>
<p id="p6_d685e5112">
Letzter	w1_d685e5116
Tagen	w3_d685e5119
sind	w5_d685e5122
dahier	w7_d685e5125
in	w9_d685e5128
der	w11_d685e5131
Leopold	w13_d685e5135
stadt	w1_d685e5140
einige	w3_d685e5143
Werbplätze	w5_d685e5146
für	w7_d685e5149
zerschiedene	w9_d685e5152
Ca	w11_d685e5155
vallerie=regimenter	w1_d685e5160
ausgesetzet	w3_d685e5163
worden,	w5_d685e5166
welche	w1_d685e5172
einen	w3_d685e5175
guten	w5_d685e5178
Zugang	w7_d685e5181
der	w9_d685e5184
schönsten	w11_d685e5187
Mannschaft	w1_d685e5192
finden.	w3_d685e5195
</p>
<p id="p8_d685e5198">
Den	w1_d685e5202
21.	w3_d685e5205
dieses	w5_d685e5208
ist	w7_d685e5211
die	w9_d685e5214
Ziehung	w11_d685e5217
der	w13_d685e5221
K.	w15_d685e5224
K.	w17_d685e5227
Lotterie	w1_d685e5232
in	w3_d685e5235
der	w5_d685e5238
K.	w7_d685e5241
K.	w9_d685e5244
Haupt=stadt	w11_d685e5247
Prag	w13_d685e5251
vor	w15_d685e5254
sich	w1_d685e5259
gegangen,	w3_d685e5262
und	w5_d685e5265
die	w7_d685e5268
Num.	w9_d685e5271
26.	w11_d685e5274
30.	w13_d685e5278
19.	w15_d685e5281
29.	w1_d685e5287
und	w3_d685e5290
38.	w5_d685e5293
mit	w7_d685e5296
vielen	w9_d685e5299
beträchtlichen	w11_d685e5302
Ambi,	w13_d685e5306
nahmhaften	w1_d685e5311
Terni,	w3_d685e5314
und	w5_d685e5317
Estrati	w7_d685e5320
gehoben	w9_d685e5323
worden;	w1_d685e5328
mit	w3_d685e5331
Umgehung	w5_d685e5334
all=übrigen	w7_d685e5337
sich	w9_d685e5340
bey	w11_d685e5343
gedachter	w1_d685e5348
Ziehung	w3_d685e5351
geäusserten	w5_d685e5354
Gewinne,	w7_d685e5357
hat	w1_d685e5363
man	w3_d685e5366
lediglich	w5_d685e5369
bekannt	w7_d685e5372
machen	w9_d685e5375
wollen,	w11_d685e5378
daß	w1_d685e5383
der	w3_d685e5386
sub	w5_d685e5389
Num.	w7_d685e5392
2.	w9_d685e5395
angestellter	w11_d685e5398
Collectant	w13_d685e5402
einen	w1_d685e5407
Terno	w3_d685e5410
mit	w5_d685e5413
100.,	w7_d685e5416
und	w9_d685e5419
einen	w11_d685e5422
anderen	w13_d685e5426
mit	w15_d685e5429
200.	w1_d685e5434
Ducaten,	w3_d685e5437
jener	w5_d685e5440
sub	w7_d685e5443
Num.	w9_d685e5446
7.	w11_d685e5449
2.	w13_d685e5453
Estra	w15_d685e5456
ti,	w1_d685e5462
jeder	w3_d685e5465
mit	w5_d685e5468
700.	w7_d685e5471
fl.,	w9_d685e5474
der	w11_d685e5477
sub	w13_d685e5481
Num.	w15_d685e5484
12.	w17_d685e5487
einen	w1_d685e5492
Terno	w3_d685e5495
mit	w5_d685e5498
100.	w7_d685e5501
Ducaten,	w9_d685e5504
jener	w11_d685e5507
sub	w13_d685e5511
Num.	w1_d685e5516
19.	w3_d685e5519
einen	w5_d685e5522
Quaterno,	w7_d685e5525
der	w9_d685e5528
sub	w11_d685e5531
Num.	w13_d685e5535
14.	w1_d685e5540
einen	w3_d685e5543
Estrato	w5_d685e5546
pr.	w7_d685e5549
480.	w9_d685e5552
fl.,	w11_d685e5555
jener	w13_d685e5559
sub	w15_d685e5562
Num.	w1_d685e5568
21.,	w3_d685e5571
einen	w5_d685e5574
Terno	w7_d685e5577
mit	w9_d685e5580
100.	w11_d685e5583
Ducaten,	w13_d685e5587
der	w1_d685e5592
sub	w3_d685e5595
Num.	w5_d685e5598
32.	w7_d685e5601
einen	w9_d685e5604
deto	w11_d685e5607
mit	w13_d685e5611
700.	w15_d685e5614
deto,	w17_d685e5617
und	w1_d685e5622
einen	w3_d685e5625
anderen	w5_d685e5628
mit	w7_d685e5631
100.	w9_d685e5634
deto,	w11_d685e5637
jener	w13_d685e5641
sub	w15_d685e5644
Num.	w1_d685e5649
62.	w3_d685e5652
einen	w5_d685e5655
deto	w7_d685e5658
mit	w9_d685e5661
100.	w11_d685e5664
deto,	w13_d685e5668
und	w15_d685e5671
der	w17_d685e5674
sub	w1_d685e5680
Num.	w3_d685e5683
74.	w5_d685e5686
einen	w7_d685e5689
deto	w9_d685e5692
mit	w11_d685e5695
170.	w13_d685e5699
Ducaten	w15_d685e5702
</p>
<p id="p10_d685e5705">
abgeführet	w1_d685e5709
haben.	w3_d685e5712
Den	w5_d685e5715
4.	w7_d685e5718
künftigen	w9_d685e5721
Mo	w11_d685e5724
nats	w1_d685e5729
Sept.	w3_d685e5732
wird	w5_d685e5735
alhier	w7_d685e5738
die	w9_d685e5741
fernere	w11_d685e5744
Ziehung	w13_d685e5748
beschehen.	w1_d685e5753
</p>
<head id="h2_d685e5759">
Lista	w1_d685e5763
deren	w3_d685e5766
Verstorbenen	w5_d685e5769
zu	w7_d685e5772
Wien	w9_d685e5775
in	w1_d685e5780
und	w3_d685e5783
vor	w5_d685e5786
der	w7_d685e5789
Stadt.	w9_d685e5792
Den	w1_d685e5797
19.	w3_d685e5800
Aug.	w5_d685e5803
Jn	w1_d685e5809
der	w3_d685e5812
