<doc id="wr_1758-06-21" attrs="word" year="1758" month="06" day="21" corpus="2">
<head id="h2_d254e3304">
Cöln	w1_d254e3308
so	w3_d254e3736
war	w5_d254e3739
es	w7_d254e3742
anfänglich	w9_d254e3745
schwer	w11_d254e3748
Schiffe	w1_d254e3753
zu	w3_d254e3756
bekommen,	w5_d254e3759
alleine	w7_d254e3762
es	w9_d254e3765
kamen	w11_d254e3768
un	w13_d254e3772
vermutet	w1_d254e3778
an	w3_d254e3781
den	w5_d254e3784
Ort,	w7_d254e3787
wo	w9_d254e3790
die	w11_d254e3793
Uberfahrt	w13_d254e3797
ge	w15_d254e3800
schehen	w1_d254e3805
solte,	w3_d254e3808
einige	w5_d254e3811
mit	w7_d254e3814
Heu	w9_d254e3817
beladene	w11_d254e3820
Schiffe	w13_d254e3824
un,	w1_d254e3829
welche	w3_d254e3832
zugleich	w5_d254e3835
mit	w7_d254e3838
dem	w9_d254e3841
was	w11_d254e3844
zur	w13_d254e3848
Schla	w15_d254e3851
gung	w1_d254e3856
einer	w3_d254e3859
Brücke	w5_d254e3862
nöhtig	w7_d254e3865
ist,	w9_d254e3868
versehen	w11_d254e3871
wa	w13_d254e3875
rig	w1_d254e3881
</p>
<p id="p6_d254e3884">
Der	w1_d254e3888
Herr	w3_d254e3891
Graf	w5_d254e3894
von	w7_d254e3897
Clermont	w9_d254e3900
hatte	w11_d254e3903
den	w13_d254e3907
6.	w1_d254e3912
noch	w3_d254e3915
sein	w5_d254e3918
Haupt=quartier	w7_d254e3921
zu	w9_d254e3924
Rheinbergen,	w11_d254e3927
allein	w1_d254e3932
seit	w3_d254e3935
dem	w5_d254e3938
7.	w7_d254e3941
ist	w9_d254e3944
die	w11_d254e3947
Armee	w13_d254e3951
aufgebro	w15_d254e3954
chen,	w1_d254e3960
und	w3_d254e3963
im	w5_d254e3966
vollen	w7_d254e3969
Marsche	w9_d254e3972
gegen	w11_d254e3975
die	w13_d254e3979
Ha	w15_d254e3982
noveraner	w1_d254e3987
begriffen,	w3_d254e3990
welche	w5_d254e3993
sich	w7_d254e3996
zurücke	w9_d254e3999
zu	w11_d254e4002
ziehen	w1_d254e4007
anfangen.	w3_d254e4010
Die	w5_d254e4013
kranke	w7_d254e4016
Französische	w9_d254e4019
Soldaten	w1_d254e4024
sind	w3_d254e4027
dem	w5_d254e4030
Vernehmen	w7_d254e4033
nach	w9_d254e4036
von	w11_d254e4039
Cleve	w13_d254e4043
nach	w1_d254e4049
Geldern	w3_d254e4052
gebracht	w5_d254e4055
worden,	w7_d254e4058
alwo	w9_d254e4061
auch	w11_d254e4064
die	w1_d254e4069
Carabiniers,	w3_d254e4072
die	w5_d254e4075
Hussaren	w7_d254e4078
und	w9_d254e4081
die	w11_d254e4084
Legi	w13_d254e4088
on	w1_d254e4093
Royale	w3_d254e4096
anlangte.	w5_d254e4099
Nachdem	w7_d254e4102
sich	w9_d254e4105
die	w11_d254e4108
Preußischen	w1_d254e4113
Hussaren	w3_d254e4116
in	w5_d254e4119
Goch	w7_d254e4122
einiger	w9_d254e4125
Equi	w11_d254e4128
page,	w1_d254e4134
die	w3_d254e4137
nicht	w5_d254e4140
nachkommen	w7_d254e4143
konte,	w9_d254e4146
bemäch	w11_d254e4149
tigt,	w1_d254e4154
attaquirten	w3_d254e4157
sie	w5_d254e4160
den	w7_d254e4163
4	w9_d254e4166
Morgens	w11_d254e4169
das	w13_d254e4173
Ca	w15_d254e4176
valleri=regiment	w1_d254e4181
Dampiere,	w3_d254e4184
welches	w5_d254e4187
aus	w7_d254e4190
seinem	w1_d254e4195
Quartier	w3_d254e4198
von	w5_d254e4201
Volheck	w7_d254e4204
auf	w9_d254e4207
dem	w11_d254e4210
Mar	w13_d254e4214
sche	w1_d254e4220
nach	w3_d254e4223
Rheinbergen	w5_d254e4226
begriffen	w7_d254e4229
war.	w9_d254e4232
Auf	w11_d254e4235
erhaltene	w1_d254e4240
Nachricht,	w3_d254e4243
ließ	w5_d254e4246
der	w7_d254e4249
Ritter	w9_d254e4252
de	w11_d254e4255
la	w13_d254e4259
Touche	w1_d254e4264
das	w3_d254e4267
Jnfanterie=regiment	w5_d254e4270
Chartres	w7_d254e4273
marschiren,	w1_d254e4278
welches	w3_d254e4281
durch	w5_d254e4284
Geldern	w7_d254e4287
paßirte,	w9_d254e4290
die	w1_d254e4296
Hussaren	w3_d254e4299
zerstreute,	w5_d254e4302
und	w7_d254e4305
zugleich	w9_d254e4308
83.	w11_d254e4311
Artillerie=wägen	w1_d254e4316
zur	w3_d254e4319
Convoy	w5_d254e4322
diente,	w7_d254e4325
welche	w9_d254e4328
von	w1_d254e4333
Arsem	w3_d254e4336
durch	w5_d254e4339
Volheck	w7_d254e4342
paßirten.	w9_d254e4345
Der	w11_d254e4348
Ritter	w1_d254e4353
de	w3_d254e4356
la	w5_d254e4359
Touche	w7_d254e4362
gieng	w9_d254e4365
hierauf	w11_d254e4368
nach	w13_d254e4372
Rhein	w15_d254e4375
bergen,	w1_d254e4381
und	w3_d254e4384
seine	w5_d254e4387
Stelle	w7_d254e4390
ersetzte	w9_d254e4393
der	w11_d254e4396
Briga	w13_d254e4400
</p>
<p id="p12_d254e4414">
dier	w1_d254e4418
von	w3_d254e4421
Rogat.	w5_d254e4424
Den	w7_d254e4427
7.	w9_d254e4430
kam	w11_d254e4433
der	w13_d254e4437
Ritter	w15_d254e4440
de	w1_d254e4445
la	w3_d254e4448
Touche	w5_d254e4451
mit	w7_d254e4454
einem	w9_d254e4457
starken	w11_d254e4460
Detaschement	w13_d254e4464
wieder	w1_d254e4469
zurücke,	w3_d254e4472
und	w5_d254e4475
besetzte	w7_d254e4478
das	w9_d254e4481
Schloß	w11_d254e4484
des	w13_d254e4488
Herrn	w1_d254e4494
Barons	w3_d254e4497
von	w5_d254e4500
Loc,	w7_d254e4503
in	w9_d254e4506
der	w11_d254e4509
Absicht	w13_d254e4513
die	w15_d254e4516
Bewegungen	w1_d254e4521
der	w3_d254e4524
Hanoveraner	w5_d254e4527
zwischen	w7_d254e4530
der	w9_d254e4533
Nierze	w1_d254e4538
und	w3_d254e4541
der	w5_d254e4544
Maas	w7_d254e4547
zu	w9_d254e4550
beobachten.	w11_d254e4553
Noch	w13_d254e4557
denselben	w1_d254e4562
Abend	w3_d254e4565
war	w5_d254e4568
dieser	w7_d254e4571
Herr	w9_d254e4574
willens,	w11_d254e4577
die	w1_d254e4583
Nierse	w3_d254e4586
zu	w5_d254e4589
paßiren,	w7_d254e4592
um	w9_d254e4595
wo	w11_d254e4598
möglich	w13_d254e4602
ei	w15_d254e4605
nige	w1_d254e4610
Hanöverische	w3_d254e4613
Voreposten	w5_d254e4616
aufzuheben,	w7_d254e4619
und	w9_d254e4622
ihre	w1_d254e4627
Stelle	w3_d254e4630
zu	w5_d254e4633
recognosciren.	w7_d254e4636
Er	w9_d254e4639
wird	w11_d254e4642
hie	w13_d254e4646
von	w1_d254e4651
dem	w3_d254e4654
Herrn	w5_d254e4657
Grafen	w7_d254e4660
von	w9_d254e4663
Clermont	w11_d254e4666
Nach	w13_d254e4670
richt	w1_d254e4676
geben,	w3_d254e4679
welcher	w5_d254e4682
sich	w7_d254e4685
Geldern	w9_d254e4688
zu	w11_d254e4691
nähern	w13_d254e4695
willens	w1_d254e4700
ist;	w3_d254e4703
und	w5_d254e4706
von	w7_d254e4709
seinen	w9_d254e4712
Raports	w11_d254e4715
wird	w13_d254e4719
die	w1_d254e4724
Passage	w3_d254e4727
des	w5_d254e4730
Herrn	w7_d254e4733
Grafens	w9_d254e4736
über	w11_d254e4739
die	w13_d254e4743
Nier	w15_d254e4746
se	w1_d254e4751
abhangen,	w3_d254e4754
wenigstens	w5_d254e4757
arbeitet	w7_d254e4760
man	w9_d254e4763
Fran	w11_d254e4766
zösischer	w1_d254e4772
Seits	w3_d254e4775
würklich,	w5_d254e4778
um	w7_d254e4781
über	w9_d254e4784
diesen	w11_d254e4787
Fluß	w1_d254e4792
4.	w3_d254e4795
Brücken	w5_d254e4798
zu	w7_d254e4801
schlagen.	w9_d254e4804
</p>
<head id="h2_d254e4810">
Paris	w1_d254e4814
9.	w3_d254e4817
Jnnii.	w5_d254e4820
</head>
<p id="p4_d254e4823">
Zu	w1_d254e4827
Chatres,	w3_d254e4830
der	w5_d254e4833
Haupt=stadt	w7_d254e4836
von	w9_d254e4839
Braute,	w11_d254e4842
hat	w1_d254e4847
eine	w3_d254e4850
starke	w5_d254e4853
Feuers=brunst	w7_d254e4856
vielen	w9_d254e4859
Schaden	w11_d254e4862
gethanz	w1_d254e4867
vor	w3_d254e4870
einigen	w5_d254e4873
Tägen	w7_d254e4876
machte	w9_d254e4879
der	w11_d254e4882
König	w13_d254e4886
die	w15_d254e4889
erste	w1_d254e4895
Nachricht	w3_d254e4898
davon	w5_d254e4901
bekannt.	w7_d254e4904
Der	w9_d254e4907
Herr	w11_d254e4910
von	w1_d254e4915
Baraith	w3_d254e4918
ist	w5_d254e4921
es	w7_d254e4924
gewesen,	w9_d254e4927
der	w11_d254e4930
dem	w13_d254e4934
Grafen	w15_d254e4937
von	w1_d254e4942
Maillebois	w3_d254e4945
die	w5_d254e4948
Verbannung	w7_d254e4951
nach	w9_d254e4954
Dour	w11_d254e4957
lens	w1_d254e4962
überbracht.	w3_d254e4965
</p>
<head id="h2_d254e4971">
Hamburg	w1_d254e4975
3.	w3_d254e4978
Junii.	w5_d254e4981
</head>
<p id="p4_d254e4984">
Der	w1_d254e4988
Herr	w3_d254e4991
Godrick,	w5_d254e4994
welcher	w7_d254e4997
vor	w9_d254e5000
verschie	w11_d254e5003
denen	w1_d254e5008
Wochen	w3_d254e5011
durch	w5_d254e5014
hiesige	w7_d254e5017
Stadt	w9_d254e5020
reisete,	w11_d254e5023
um	w1_d254e5028
als	w3_d254e5031
Gros=britannischer	w5_d254e5034
Minister	w7_d254e5037
nach	w9_d254e5040
Schweden	w1_d254e5046
zu	w3_d254e5049
gehen,	w5_d254e5052
wird	w7_d254e5055
ehester	w9_d254e5058
Tage	w11_d254e5061
wie	w13_d254e5065
der	w1_d254e5070
hieselbst	w3_d254e5073
erwartet.	w5_d254e5076
Er	w7_d254e5079
hat	w9_d254e5082
in	w11_d254e5085
Coppen	w13_d254e5089
hagen	w1_d254e5094
Nachrichten	w3_d254e5097
erhalten,	w5_d254e5100
die	w7_d254e5103
ihm	w9_d254e5106
veran	w11_d254e5109
lasset	w1_d254e5114
haben,	w3_d254e5117
seine	w5_d254e5120
weitere	w7_d254e5123
Reise	w9_d254e5126
nach	w11_d254e5129
Schweden	w1_d254e5135
einzustellen.	w3_d254e5138
Obgleich	w5_d254e5141
die	w7_d254e5144
Däni	w9_d254e5147
sche	w1_d254e5152
Trupen,	w3_d254e5155
welche	w5_d254e5158
sich	w7_d254e5161
im	w9_d254e5164
Hollsteinischen	w11_d254e5167
versammlen	w1_d254e5172
müssen,	w3_d254e5175
vorläuffig	w5_d254e5178
daselbsten	w7_d254e5181
nur	w9_d254e5184
cantoniren	w1_d254e5189
sollen,	w3_d254e5192
so	w5_d254e5195
hat	w7_d254e5198
doch	w9_d254e5201
die	w11_d254e5204
in	w13_d254e5208
Glücks	w15_d254e5211
stadt	w1_d254e5217
und	w3_d254e5220
Rends=urg	w5_d254e5223
befindliche,	w7_d254e5226
zur	w9_d254e5229
Armee	w11_d254e5232
gehörige	w1_d254e5237
Artillerie,	w3_d254e5240
Befehl	w5_d254e5243
erhalten,	w7_d254e5246
sich	w9_d254e5249
zum	w11_d254e5252
Aufbruch	w1_d254e5257
fertig	w3_d254e5260
zu	w5_d254e5263
machen;	w7_d254e5266
und	w9_d254e5269
dieses	w11_d254e5272
wird	w13_d254e5276
wie	w1_d254e5281
es	w3_d254e5284
heisset,	w5_d254e5287
mit	w7_d254e5290
dem	w9_d254e5293
Anfange	w11_d254e5296
des	w13_d254e5300
nächst	w15_d254e5303
kom	w17_d254e5306
menden	w1_d254e5312
Monats	w3_d254e5315
erfolgen.	w5_d254e5318
Um	w7_d254e5321
dieselbe	w9_d254e5324
Zeit	w11_d254e5327
wird,	w1_d254e5332
nach	w3_d254e5335
Briefen	w5_d254e5338
von	w7_d254e5341
Rends=burg,	w9_d254e5344
der	w11_d254e5347
König	w1_d254e5352
daselbst	w3_d254e5355
erwartet.	w5_d254e5358
</p>
<head id="h2_d254e5364">
Hanoper	w1_d254e5368
6	w3_d254e5371
Junii	w5_d254e5374
</head>
<p id="p4_d254e5377">
Mit	w1_d254e5381
einem	w3_d254e5384
angelangten	w5_d254e5387
Courier	w7_d254e5390
ist	w9_d254e5393
kurz	w11_d254e5396
vor	w1_d254e5401
Abgang	w3_d254e5404
der	w5_d254e5407
Post	w7_d254e5410
die	w9_d254e5413
Nachricht	w11_d254e5416
einge	w13_d254e5420
loffen,	w1_d254e5425
daß	w3_d254e5428
der	w5_d254e5431
Prinz	w7_d254e5434
Ferdinand,	w9_d254e5437
in	w11_d254e5440
der	w13_d254e5444
Nacht	w1_d254e5450
von	w3_d254e5453
1sten	w5_d254e5456
auf	w7_d254e5459
2ten,	w9_d254e5462
bey	w11_d254e5465
Schenkeschan	w13_d254e5469
ze	w1_d254e5474
ober	w3_d254e5477
Emmerick,	w5_d254e5480
mit	w7_d254e5483
seiner	w9_d254e5486
ganzen	w11_d254e5489
Armee	w13_d254e5493
</p>
<p id="p6_d254e5496">
über	w1_d254e5500
den	w3_d254e5503
Rhein	w5_d254e5506
gegangen	w7_d254e5509
seye,	w9_d254e5512
ohne	w11_d254e5515
einen	w13_d254e5519
Mann	w1_d254e5524
zu	w3_d254e5527
verlieren.	w5_d254e5530
Der	w7_d254e5533
Erb=prinz	w9_d254e5536
von	w11_d254e5539
Braunschweig	w1_d254e5544
ist	w3_d254e5547
sogleich	w5_d254e5550
mit	w7_d254e5553
einem	w9_d254e5556
Corps	w11_d254e5559
nach	w1_d254e5565
Cleve	w3_d254e5568
gesandt	w5_d254e5571
worden,	w7_d254e5574
welches	w9_d254e5577
die	w11_d254e5580
Franzosen	w1_d254e5585
bey	w3_d254e5588
Annähirung	w5_d254e5591
desselben	w7_d254e5594
in	w9_d254e5597
der	w11_d254e5600
Nacht	w1_d254e5605
verlassen	w3_d254e5608
haben,	w5_d254e5611
und	w7_d254e5614
Se.	w9_d254e5617
Durchleucht,	w11_d254e5620
der	w1_d254e5625
Prinz	w3_d254e5628
Ferdinand,	w5_d254e5631
haben	w7_d254e5634
bereits	w9_d254e5637
den	w11_d254e5640
3ten	w13_d254e5644
Dero	w1_d254e5650
Haupt=quartier	w3_d254e5653
in	w5_d254e5656
Cleve	w7_d254e5659
genommen.	w9_d254e5662
</p>
<head id="h2_d254e5669">
Altona	w1_d254e5673
10.	w3_d254e5676
Junii.	w5_d254e5679
</head>
<p id="p4_d254e5682">
Die	w1_d254e5686
Königl.	w3_d254e5689
Dänischen	w5_d254e5692
Regimenter,	w7_d254e5695
wel	w9_d254e5698
che	w1_d254e5703
in	w3_d254e5706
dem	w5_d254e5709
Herzogtum	w7_d254e5712
Holstein	w9_d254e5715
cantoniren	w11_d254e5718
sollen,	w1_d254e5723
sind	w3_d254e5726
folgende:	w5_d254e5729
Cavallerie:	w7_d254e5732
Leib	w9_d254e5735
regi	w11_d254e5738
ment,	w1_d254e5744
Küraßiers;	w3_d254e5747
Leiberegiment,	w5_d254e5750
Dragoner;	w7_d254e5753
Seeländisches	w1_d254e5758
Regiment,	w3_d254e5761
Küraßiers;	w5_d254e5764
drittes	w7_d254e5767
Jütisches;	w1_d254e5772
erstes	w3_d254e5775
Fühnisches;	w5_d254e5778
zweytes	w7_d254e5781
Füh	w9_d254e5784
nisches;	w1_d254e5789
Schleswigisches;	w3_d254e5792
Holsteinisches,	w5_d254e5795
Ol	w7_d254e5798
denburgisches;	w1_d254e5804
erstes	w3_d254e5807
Jütisches;	w5_d254e5810
4.	w7_d254e5813
Escadrons.	w9_d254e5816
erstes	w1_d254e5821
Südenfiels,	w3_d254e5824
kommt	w5_d254e5827
aus	w7_d254e5830
Norwegen.	w9_d254e5833
Jnfanterie:	w1_d254e5838
1.	w3_d254e5841
Bataillon	w5_d254e5844
vom	w7_d254e5847
Grenadier	w9_d254e5850
corps;	w1_d254e5855
1	w3_d254e5858
von	w5_d254e5861
der	w7_d254e5864
Garde	w9_d254e5867
zu	w11_d254e5870
Fuß;	w13_d254e5874
2.	w15_d254e5877
Leib	w17_d254e5880
regiment	w1_d254e5886
des	w3_d254e5889
Königs;	w5_d254e5892
2.	w7_d254e5895
Leiberegiment	w9_d254e5898
der	w11_d254e5901
Königin;	w1_d254e5906
1.	w3_d254e5909
Cron=prinz;	w5_d254e5912
2.	w7_d254e5915
Prinz	w9_d254e5918
Friedrich;	w11_d254e5921
2.	w1_d254e5926
Seeland;	w3_d254e5929
1.	w5_d254e5932
Holstein;	w7_d254e5935
2.	w9_d254e5938
Falster;	w11_d254e5941
2.	w13_d254e5945
Morn;	w1_d254e5950
1.	w3_d254e5953
erstes	w5_d254e5956
Aggerhusisches	w7_d254e5959
kömmt	w9_d254e5962
aus	w11_d254e5965
Norwegen;	w1_d254e5971
2.	w3_d254e5974
Römeling,	w5_d254e5977
aus	w7_d254e5980
Norwegen.	w9_d254e5983
Das	w1_d254e5988
Corps	w3_d254e5991
de	w5_d254e5994
Reserve	w7_d254e5997
wird	w9_d254e6000
bestehen,	w11_d254e6003
aus	w13_d254e6007
dem	w1_d254e6012
zweyten	w3_d254e6015
Jütischen	w5_d254e6018
Küraßier=regimente,	w7_d254e6021
Zaus	w1_d254e6026
2.	w3_d254e6029
Bataillons	w5_d254e6032
von	w7_d254e6035
Bornholm,	w9_d254e6038
und	w11_d254e6041
aus	w13_d254e6045
einem	w1_d254e6051
Bataillon	w3_d254e6054
von	w5_d254e6057
Oldenburg.	w7_d254e6060
</p>
<head id="h2_d254e6066">
Marburg	w1_d254e6070
9.	w3_d254e6073
Junii.	w5_d254e6076
</head>
<p id="p4_d254e6079">
Alhier	w1_d254e6083
ist	w3_d254e6086
den	w5_d254e6089
30.	w7_d254e6092
May	w9_d254e6095
das	w11_d254e6098
Würmischt	w13_d254e6102
Bataillon	w1_d254e6107
Landmilitz	w3_d254e6110
eingerückt.	w5_d254e6113
Den	w7_d254e6116
3.	w9_d254e6119
dieses	w1_d254e6124
sind	w3_d254e6127
etliche	w5_d254e6130
100.	w7_d254e6133
Jäger	w9_d254e6136
der	w11_d254e6139
besten	w13_d254e6143
Mannschaft,	w1_d254e6149
unter	w3_d254e6152
Anführung	w5_d254e6155
ihres	w7_d254e6158
Offi	w9_d254e6161
ciers	w1_d254e6166
durchmarschiret,	w3_d254e6169
und	w5_d254e6172
auf	w7_d254e6175
dem	w9_d254e6178
nahe	w11_d254e6181
li	w13_d254e6185
genden	w1_d254e6190
Dorfe	w3_d254e6193
einquartiret	w5_d254e6196
worden,	w7_d254e6199
welches	w9_d254e6202
auf	w1_d254e6207
dem	w3_d254e6210
Wege	w5_d254e6213
nach	w7_d254e6216
Frankfort	w9_d254e6219
ligt.	w11_d254e6222
Auf	w13_d254e6226
de	w15_d254e6229
nen	w1_d254e6235
Bergen	w3_d254e6238
werden	w5_d254e6241
Batterien	w7_d254e6244
errichtet,	w9_d254e6247
und	w11_d254e6250
Canonen	w1_d254e6255
aufgepflanzet.	w3_d254e6258
Dieser	w5_d254e6261
Tagen	w7_d254e6264
seyns	w9_d254e6267
etlich	w1_d254e6272
60.	w3_d254e6275
Constahler	w5_d254e6278
nebst	w7_d254e6281
8.	w9_d254e6284
Canonen	w11_d254e6287
ind	w13_d254e6291
Ammunition	w1_d254e6296
angekommen,	w3_d254e6299
welche	w5_d254e6302
man	w7_d254e6305
so	w9_d254e6308
gleich	w1_d254e6314
weiters	w3_d254e6317
gebracht.	w5_d254e6320
</p>
<head id="h2_d254e6326">
Bamberg	w1_d254e6330
11.	w3_d254e6333
Junii.	w5_d254e6336
</head>
<p id="p4_d254e6339">
Vergangenen	w1_d254e6343
Sonnabend	w3_d254e6346
um	w5_d254e6349
3.	w7_d254e6352
Uhr	w9_d254e6355
in	w11_d254e6358
der	w1_d254e6363
Nacht,	w3_d254e6366
seynd	w5_d254e6369
die	w7_d254e6372
Preussen	w9_d254e6375
von	w11_d254e6378
hier	w13_d254e6382
schleu	w15_d254e6385
nigst	w1_d254e6390
und	w3_d254e6393
nach	w5_d254e6396
Hohlfeld	w7_d254e6399
marschieret,	w9_d254e6402
und	w11_d254e6405
wer	w13_d254e6409
den	w1_d254e6415
allem	w3_d254e6418
Ansehen	w5_d254e6421
nach,	w7_d254e6424
eben	w9_d254e6427
diesen	w11_d254e6430
Weg	w13_d254e6434
zuruck	w1_d254e6439
nehmen,	w3_d254e6442
welchen	w5_d254e6445
sie	w7_d254e6448
hergenommen.	w9_d254e6451
An	w1_d254e6456
dem	w3_d254e6459
nämlichen	w5_d254e6462
Tag	w7_d254e6465
um	w9_d254e6468
8.	w11_d254e6471
Uhr	w13_d254e6475
seynd	w15_d254e6478
900	w1_d254e6483
</p>
<p id="p8_d254e6488">
1200.	w1_d254e6492
Mann	w3_d254e6495
Ungarische	w5_d254e6498
Hussaren	w7_d254e6501
alhier	w9_d254e6504
eingetroffen,	w1_d254e6509
und	w3_d254e6512
halten	w5_d254e6515
heute	w7_d254e6518
Rast=tag.	w9_d254e6521
Die	w11_d254e6524
Preussen	w1_d254e6529
haben	w3_d254e6532
das	w5_d254e6535
ganze	w7_d254e6538
Magazin,	w9_d254e6541
so	w11_d254e6544
aus	w13_d254e6548
vielen	w1_d254e6554
Heu,	w3_d254e6557
Haber,	w5_d254e6560
Stroh,	w7_d254e6563
Mehl	w9_d254e6566
und	w11_d254e6569
andern	w13_d254e6573
auch	w1_d254e6578
Gewehr,	w3_d254e6581
Monturen	w5_d254e6584
rc.	w7_d254e6587
bestanden,	w9_d254e6590
mit	w11_d254e6593
sich	w1_d254e6598
fortgenommen.	w3_d254e6601
Die	w5_d254e6604
Stadt	w7_d254e6607
soll	w9_d254e6610
400.	w11_d254e6613
tausend	w1_d254e6618
Reichs=thaler	w3_d254e6621
Brand=schätzung	w5_d254e6624
erle	w7_d254e6627
get	w1_d254e6633
haben,	w3_d254e6636
und	w5_d254e6639
für	w7_d254e6642
die	w9_d254e6645
Stadt	w11_d254e6648
Würzburg	w13_d254e6652
ebenfalls	w1_d254e6657
zahlen,	w3_d254e6660
welches	w5_d254e6663
unmöglich	w7_d254e6666
aufzu	w9_d254e6669
bringen	w1_d254e6674
gewesen,	w3_d254e6677
dahero	w5_d254e6680
sie	w7_d254e6683
6.	w9_d254e6686
Geisseln,	w11_d254e6689
als	w1_d254e6694
den	w3_d254e6697
Herrn	w5_d254e6700
Stadt=halter	w7_d254e6703
von	w9_d254e6706
Werthen	w11_d254e6709
stein,	w1_d254e6715
den	w3_d254e6718
Herrn	w5_d254e6721
Weyh=bischof,	w7_d254e6724
Herrn	w9_d254e6727
Vice	w11_d254e6730
dom	w1_d254e6735
von	w3_d254e6738
Rothenhahn,	w5_d254e6741
Hrn.	w7_d254e6744
Canzler	w9_d254e6747
Karg,	w11_d254e6750
von	w1_d254e6755
Boebenburg,	w3_d254e6758
Herrn	w5_d254e6761
Ober=stall=meister	w7_d254e6764
v.	w9_d254e6767
Redwitz,	w1_d254e6772
und	w3_d254e6775
Hrn.	w5_d254e6778
P.	w7_d254e6781
Prior	w9_d254e6784
auf	w11_d254e6787
dem	w13_d254e6791
Mönchs	w15_d254e6794
berg,	w1_d254e6800
mit	w3_d254e6803
fortgenommen.	w5_d254e6806
</p>
<head id="h2_d254e6812">
Venedig	w1_d254e6816
10.	w3_d254e6819
Junii.	w5_d254e6822
</head>
<p id="p4_d254e6825">
Se.	w1_d254e6829
Eminenz,	w3_d254e6832
der	w5_d254e6835
Herr	w7_d254e6838
Cardinal	w9_d254e6841
Carl	w11_d254e6844
Rezzonico,	w1_d254e6849
befindet	w3_d254e6852
sich	w5_d254e6855
gegenwärtig	w7_d254e6858
in	w9_d254e6861
Rom.	w11_d254e6864
Briefe	w1_d254e6869
aus	w3_d254e6872
Constantinopel	w5_d254e6875
klagen	w7_d254e6878
ungemein	w9_d254e6881
über	w1_d254e6887
dasigen	w3_d254e6890
Korn=mangel,	w5_d254e6893
und	w7_d254e6896
melde	w9_d254e6899
zugleich,	w11_d254e6902
daß	w1_d254e6907
der	w3_d254e6910
Groß=sultan,	w5_d254e6913
den	w7_d254e6916
