<doc id="wr_1759-03-17" attrs="word" year="1759" month="03" day="17" corpus="2">
<head id="h2_d331e3204">
Stettin	w4_d331e3207
Corpo	w228_d331e3587
leichter	w230_d331e3590
Trupen	w232_d331e3593
die	w234_d331e3596
Gränzen	w236_d331e3599
zu	w239_d331e3604
bedecken.	w241_d331e3608
</p>
<head id="h2_d331e3614">
Cöln	w4_d331e3617
3.	w6_d331e3621
Martii.	w8_d331e3624
</head>
<p id="p4_d331e3627">
Der	w4_d331e3630
Herr	w6_d331e3634
Marquis	w8_d331e3637
von	w10_d331e3640
Armentieres	w12_d331e3643
ist	w14_d331e3647
bisher	w17_d331e3651
blos	w19_d331e3655
damit	w21_d331e3658
beschäftigt	w23_d331e3661
gewesen,	w25_d331e3665
für	w27_d331e3668
die	w30_d331e3672
Subsistenz	w32_d331e3676
und	w34_d331e3679
gute	w36_d331e3683
Ordnung	w38_d331e3686
seiner	w40_d331e3689
Trupen	w43_d331e3693
zu	w45_d331e3697
sorgen,	w47_d331e3701
und	w49_d331e3704
man	w51_d331e3707
behauptet,	w53_d331e3710
daß	w56_d331e3714
er	w58_d331e3719
vor	w60_d331e3722
der	w62_d331e3725
Ankunft	w64_d331e3728
des	w66_d331e3731
Herrn	w68_d331e3734
Mar	w70_d331e3738
schalls	w73_d331e3742
von	w75_d331e3746
Contades	w77_d331e3749
nichts	w79_d331e3752
in	w81_d331e3756
Ansehung	w83_d331e3759
der	w86_d331e3763
Operationen	w88_d331e3767
unternehmen	w90_d331e3770
werde.	w92_d331e3774
Da	w94_d331e3777
nach	w97_d331e3781
Briefen	w99_d331e3785
vom	w101_d331e3788
25.	w103_d331e3792
Februarii	w105_d331e3795
längs	w107_d331e3798
der	w109_d331e3801
Roer	w112_d331e3805
über	w114_d331e3810
Hartüngen	w116_d331e3813
nach	w118_d331e3816
Schwiert	w120_d331e3819
viele	w122_d331e3822
Artillerie	w125_d331e3827
abgegangen,	w127_d331e3831
wozu	w129_d331e3834
die	w131_d331e3837
Untertha	w133_d331e3840
nen	w136_d331e3845
der	w138_d331e3849
Grafschaft	w140_d331e3852
Markt,	w142_d331e3855
in	w144_d331e3858
Ansehung	w146_d331e3861
der	w149_d331e3866
üblen	w151_d331e3870
Wege,	w153_d331e3873
viele	w155_d331e3876
Vorspann	w157_d331e3879
liefern	w159_d331e3883
müssen,	w162_d331e3887
so	w164_d331e3891
vermutet	w166_d331e3894
man,	w168_d331e3897
daß	w170_d331e3901
die	w172_d331e3904
Armee	w174_d331e3907
bey	w177_d331e3911
bevorstehender	w179_d331e3915
Eröfnung	w181_d331e3919
der	w183_d331e3922
Campagne	w185_d331e3925
auch	w188_d331e3929
dahin	w190_d331e3933
ihren	w192_d331e3937
Marsch	w194_d331e3940
nehmen,	w196_d331e3943
und	w198_d331e3946
ent	w200_d331e3949
weder	w203_d331e3954
durch	w205_d331e3958
das	w207_d331e3961
Bistum	w209_d331e3964
Paderborn	w211_d331e3967
oder	w213_d331e3970
durch	w216_d331e3975
die	w218_d331e3979
Grafschaft	w220_d331e3982
Waldeck	w222_d331e3985
sich	w224_d331e3988
dem	w226_d331e3992
Heßi	w228_d331e3995
schen	w231_d331e3999
nähern	w233_d331e4003
werde,	w235_d331e4006
um	w237_d331e4010
die	w239_d331e4013
Operationen	w241_d331e4016
der	w244_d331e4020
Soubisischen	w246_d331e4024
Armee	w248_d331e4028
zu	w250_d331e4031
unterstützen.	w252_d331e4034
</p>
<head id="h4_d331e4050">
Dresden	w4_d331e4053
4.	w6_d331e4057
Martii.	w8_d331e4060
</head>
<p id="p6_d331e4063">
Die	w4_d331e4066
erste	w6_d331e4070
kriegerische	w8_d331e4073
Operationen	w10_d331e4076
in	w12_d331e4079
hiesigen	w15_d331e4084
Gegenden,	w17_d331e4088
werden	w19_d331e4091
allem	w21_d331e4094
Ansehen	w23_d331e4097
nach	w26_d331e4102
im	w28_d331e4106
Thüringischen	w30_d331e4109
ihren	w32_d331e4112
Anfang	w34_d331e4115
neh	w36_d331e4119
men.	w39_d331e4123
Ausser	w41_d331e4127
denen	w43_d331e4130
Preußischen	w45_d331e4133
Trupen,	w47_d331e4137
welche	w50_d331e4141
über	w52_d331e4145
Naumburg	w54_d331e4148
und	w56_d331e4151
Leipzig	w58_d331e4155
dahin	w60_d331e4158
abmarschirt,	w63_d331e4162
sollen	w65_d331e4166
auch	w67_d331e4169
die	w69_d331e4173
im	w71_d331e4176
Erz=gebürge	w73_d331e4179
und	w76_d331e4183
dasigen	w78_d331e4187
Gegenden	w80_d331e4191
stehende	w82_d331e4194
Trupen	w84_d331e4197
(welche	w87_d331e4201
zu	w89_d331e4205
dem	w91_d331e4209
Corps	w93_d331e4212
des	w95_d331e4215
Herrn	w97_d331e4218
Generals	w99_d331e4221
Wedel,	w102_d331e4226
der	w104_d331e4230
sich	w106_d331e4233
dermalen	w108_d331e4236
in	w110_d331e4239
Zerbst	w112_d331e4242
befin	w114_d331e4246
det,	w117_d331e4250
gehören)	w119_d331e4254
dahin	w121_d331e4257
abmarschiren.	w123_d331e4260
</p>
<p id="p8_d331e4263">
Ubrigens	w4_d331e4266
ist	w6_d331e4270
den	w8_d331e4273
26.	w10_d331e4276
Februarii	w12_d331e4279
die	w14_d331e4283
hie	w16_d331e4286
sige	w19_d331e4290
Bürgerschaft	w21_d331e4294
wiederum	w23_d331e4297
auf	w25_d331e4301
das	w27_d331e4304
Raht	w29_d331e4307
haus	w32_d331e4311
zusammen	w34_d331e4315
beruffen,	w36_d331e4319
und	w38_d331e4322
ihr	w40_d331e4325
abermals	w42_d331e4328
eine	w45_d331e4332
neue	w47_d331e4337
Preußische	w49_d331e4340
Anlage,	w51_d331e4343
die	w53_d331e4346
von	w55_d331e4349
denen	w57_d331e4352
Schocken	w60_d331e4357
und	w62_d331e4361
Quatembern	w64_d331e4364
erlegt	w66_d331e4367
werden	w68_d331e4370
soll,	w71_d331e4375
angedeutet	w73_d331e4379
worden.	w75_d331e4382
Die	w77_d331e4385
Recruten	w79_d331e4388
Lieferungen	w82_d331e4393
dauren	w84_d331e4397
noch	w86_d331e4400
immer,	w88_d331e4403
und	w90_d331e4406
wer	w92_d331e4410
den	w95_d331e4414
beständig	w97_d331e4418
ansehnliche	w99_d331e4421
Transports	w101_d331e4424
ein	w103_d331e4428
gebracht.	w106_d331e4432
Da	w108_d331e4436
die	w110_d331e4439
Elbe	w112_d331e4442
wiederum	w114_d331e4446
frey	w116_d331e4449
ist,	w118_d331e4452
so	w121_d331e4456
kommen	w123_d331e4460
nunmehro	w125_d331e4464
Preußische	w127_d331e4467
Getreid	w129_d331e4470
schiffe	w132_d331e4474
an.	w134_d331e4478
Das	w136_d331e4482
Meel	w138_d331e4485
wird	w140_d331e4488
in	w142_d331e4491
Fässer	w144_d331e4494
ein	w146_d331e4497
gespindet,	w149_d331e4502
und	w151_d331e4506
theils	w153_d331e4509
in	w155_d331e4512
das	w157_d331e4515
Opern=haus,	w159_d331e4519
theils	w162_d331e4523
in	w164_d331e4527
den	w166_d331e4530
Holländischen	w168_d331e4533
Palais=garten	w170_d331e4537
gebracht.	w173_d331e4541
Von	w175_d331e4545
Sr.	w177_d331e4548
Königl.	w179_d331e4551
Majestät	w181_d331e4555
in	w183_d331e4558
Preußen,	w186_d331e4562
ist	w188_d331e4566
auch	w190_d331e4569
die	w192_d331e4573
Ordre	w194_d331e4576
eingelangt,	w196_d331e4579
daß	w198_d331e4582
die	w201_d331e4586
in	w203_d331e4591
ihrer	w205_d331e4594
Majestät	w207_d331e4597
der	w209_d331e4600
Höchstseeligen	w211_d331e4603
Kö	w213_d331e4606
nigin	w216_d331e4611
von	w218_d331e4615
Pohlen	w220_d331e4618
Dienste	w222_d331e4621
gestandene	w224_d331e4624
Per	w226_d331e4628
sonen	w229_d331e4632
insgesamt	w231_d331e4636
binnen	w233_d331e4639
3.	w235_d331e4642
mal	w237_d331e4646
24.	w239_d331e4649
Stun	w241_d331e4652
den	w244_d331e4656
Dresden	w246_d331e4660
verlassen	w248_d331e4664
sollen.	w250_d331e4667
Die	w252_d331e4670
An	w254_d331e4673
zahl	w257_d331e4677
dieser	w259_d331e4682
Personen	w261_d331e4685
dörfte	w263_d331e4688
sich	w265_d331e4691
auf	w267_d331e4694
50.	w269_d331e4697
be	w271_d331e4701
lauffen.	w274_d331e4705
</p>
<head id="h2_d331e4712">
Prag	w4_d331e4715
5.	w6_d331e4719
Martii.	w8_d331e4722
</head>
<p id="p4_d331e4725">
Zehen	w4_d331e4728
Kaiserl.	w6_d331e4732
Königl.	w8_d331e4735
Regimenter	w10_d331e4738
seynd	w12_d331e4741
nach	w15_d331e4746
Mähren,	w17_d331e4750
um	w19_d331e4753
das	w21_d331e4756
Corpo	w23_d331e4759
des	w25_d331e4763
Herrn	w27_d331e4766
Generals	w30_d331e4770
de	w32_d331e4774
Ville,	w34_d331e4777
welches	w36_d331e4781
zwischen	w38_d331e4784
Trop	w40_d331e4787
pau	w43_d331e4791
und	w45_d331e4795
Freudenthal	w47_d331e4799
stehet,	w49_d331e4802
zu	w51_d331e4805
verstär	w53_d331e4808
ken,	w56_d331e4812
abmarschiret.	w58_d331e4817
Jn	w60_d331e4820
Schlesien	w62_d331e4823
werden	w64_d331e4826
die	w67_d331e4830
Bewegungen	w69_d331e4835
deren	w71_d331e4838
Königl.	w73_d331e4841
Preußischen	w75_d331e4844
Trupen	w78_d331e4848
immer	w80_d331e4853
stärker.	w82_d331e4856
Das	w84_d331e4859
Corp,	w86_d331e4862
wel	w88_d331e4865
ches	w91_d331e4870
sich	w93_d331e4874
bey	w95_d331e4877
Jauer	w97_d331e4880
postirt	w99_d331e4883
hatte,	w101_d331e4886
ist	w103_d331e4890
über	w105_d331e4893
Strigau,	w108_d331e4897
Schweidnitz,	w110_d331e4901
und	w112_d331e4904
Münsterberg	w114_d331e4908
nach	w117_d331e4912
Neiß	w119_d331e4916
abgegangen,	w121_d331e4919
um	w123_d331e4922
allda	w125_d331e4926
zu	w127_d331e4929
</p>
<p id="p6_d331e4932">
dem	w4_d331e4935
General	w6_d331e4939
Fouquet	w8_d331e4942
(welcher	w10_d331e4945
von	w12_d331e4948
dem	w14_d331e4952
Kö	w16_d331e4955
nig	w19_d331e4959
zum	w21_d331e4963
Feld=marschall	w23_d331e4966
ernannt	w25_d331e4970
worden)	w27_d331e4973
zu	w30_d331e4977
stossen,	w32_d331e4981
und	w34_d331e4984
soll	w36_d331e4988
das	w38_d331e4991
Corpo	w40_d331e4994
desselben	w42_d331e4997
durch	w45_d331e5001
diese	w47_d331e5006
Verstärkung	w49_d331e5009
bis	w51_d331e5012
gegen	w53_d331e5015
40000.	w55_d331e5018
Mann	w58_d331e5023
angewachsen	w60_d331e5027
seyn.	w62_d331e5030
</p>
<head id="h2_d331e5037">
Cöln	w4_d331e5040
7.	w6_d331e5044
Martii.	w8_d331e5047
</head>
<p id="p4_d331e5050">
Ausser	w4_d331e5053
denen	w6_d331e5057
letzt	w8_d331e5060
angeführten	w10_d331e5063
Bewe	w12_d331e5066
gungen	w15_d331e5071
eines	w17_d331e5075
Artillerie=corps,	w19_d331e5078
seynd	w22_d331e5082
bey	w25_d331e5088
der	w27_d331e5092
Französischen	w29_d331e5095
Armee	w31_d331e5098
keine	w33_d331e5101
weitere	w35_d331e5104
vorgefallen.	w38_d331e5109
Die	w40_d331e5113
Regimenter,	w42_d331e5116
welche	w44_d331e5119
noch	w46_d331e5122
in	w49_d331e5127
denen	w51_d331e5131
Quartieren	w53_d331e5134
ligen,	w55_d331e5137
haben	w57_d331e5140
bisher	w59_d331e5144
noch	w62_d331e5148
keine	w64_d331e5152
Ordre	w66_d331e5155
aufzubrechen,	w68_d331e5158
und	w70_d331e5162
man	w72_d331e5165
versichert,	w75_d331e5169
daß	w77_d331e5173
alles	w79_d331e5176
von	w81_d331e5180
der	w83_d331e5183
Ankunft	w85_d331e5186
des	w87_d331e5189
Herrn	w90_d331e5193
Marschalls	w92_d331e5198
von	w94_d331e5201
Contades	w96_d331e5204
und	w98_d331e5207
dem	w100_d331e5210
Operations=plan	w103_d331e5215
abhange,	w105_d331e5219
welcher	w107_d331e5222
von	w109_d331e5225
Sr.	w112_d331e5229
Allerchristlichsten	w114_d331e5234
Majestät	w116_d331e5237
genehmigt	w118_d331e5240
worden.	w121_d331e5244
Die	w123_d331e5248
Staabs=officier,	w125_d331e5252
welche	w127_d331e5255
wiederum	w130_d331e5259
aus	w132_d331e5263
Frankreich	w134_d331e5266
zurück	w136_d331e5270
gekommen,	w138_d331e5273
bedienen	w141_d331e5277
sich	w143_d331e5281
dieser	w145_d331e5284
allgemeinen	w147_d331e5288
Ruhe,	w149_d331e5291
um	w151_d331e5294
an	w154_d331e5298
denen	w156_d331e5302
Ergötzlichkeiten	w158_d331e5306
des	w160_d331e5309
Winters	w162_d331e5312
Theil	w164_d331e5315
zu	w167_d331e5319
nehmen,	w169_d331e5324
wie	w171_d331e5327
dann	w173_d331e5330
auch	w175_d331e5333
der	w177_d331e5336
Herr	w179_d331e5339
Mar	w181_d331e5343
quis	w184_d331e5347
d'Armentieres	w186_d331e5351
den	w188_d331e5354
3.	w190_d331e5357
von	w192_d331e5361
hier	w194_d331e5364
nach	w196_d331e5367
Düsseldorf	w199_d331e5371
abgegangen	w201_d331e5375
ist,	w203_d331e5379
um	w205_d331e5382
allda	w207_d331e5385
ei	w209_d331e5388
nem	w212_d331e5392
prächtigen	w214_d331e5397
Festin	w216_d331e5400
beyzuwohnen,	w218_d331e5403
wel	w220_d331e5406
ches	w223_d331e5410
der	w225_d331e5415
Herr	w227_d331e5418
Graf	w229_d331e5421
von	w231_d331e5424
St.	w233_d331e5427
Germain	w235_d331e5430
ihm	w237_d331e5434
zu	w240_d331e5438
Ehren	w242_d331e5442
angeordnet.	w244_d331e5445
</p>
<head id="h2_d331e5451">
Fulda	w4_d331e5454
8.	w6_d331e5458
Martii	w8_d331e5461
</head>
<p id="p4_d331e5464">
Allem	w4_d331e5467
Ansehen	w6_d331e5471
nach,	w8_d331e5474
werden	w10_d331e5477
die	w12_d331e5480
Ope	w14_d331e5484
xationen	w17_d331e5488
in	w19_d331e5492
Hessen	w21_d331e5495
ehestens	w23_d331e5498
ihren	w25_d331e5502
Anfang	w27_d331e5505
nehmen.	w30_d331e5509
Die	w32_d331e5513
Soubisische	w34_d331e5516
Armee	w36_d331e5520
setzt	w38_d331e5523
sich	w40_d331e5526
in	w43_d331e5530
Bewegung,	w45_d331e5534
und	w47_d331e5538
die	w49_d331e5541
in	w51_d331e5544
der	w53_d331e5547
Grafschaft	w55_d331e5550
Hanau	w58_d331e5555
befindliche	w60_d331e5559
Französische	w62_d331e5562
Trupen	w64_d331e5565
ma	w66_d331e5568
chen	w69_d331e5573
hierzu	w71_d331e5577
alle	w73_d331e5580
Anstalten.	w75_d331e5583
Alle	w77_d331e5586
Regimen	w79_d331e5589
ter	w82_d331e5594
haben	w84_d331e5598
Ordre,	w86_d331e5601
sich	w88_d331e5604
marschfertig	w90_d331e5607
zu	w92_d331e5611
hal	w94_d331e5614
ten,	w97_d331e5618
und	w99_d331e5622
den	w101_d331e5625
5.	w103_d331e5629
ist	w105_d331e5632
bereits	w107_d331e5635
ein	w109_d331e5638
Detasche	w111_d331e5641
ment	w114_d331e5646
von	w116_d331e5650
der	w118_d331e5653
Hanauer=Besatzung	w120_d331e5656
nebst	w122_d331e5659
ei	w124_d331e5662
nem	w127_d331e5667
Train	w129_d331e5671
Artillerie	w131_d331e5674
in	w133_d331e5677
die	w135_d331e5680
Gegend	w137_d331e5684
von	w139_d331e5687
Friedberg	w142_d331e5691
abmarschirt.	w144_d331e5695
Bey	w146_d331e5698
dem	w148_d331e5702
letztern	w150_d331e5705
Scharmützel,	w153_d331e5709
welcher	w155_d331e5713
zwischen	w157_d331e5716
denen	w159_d331e5720
schwar	w161_d331e5723
zen	w164_d331e5727
Hussaren,	w166_d331e5731
die	w168_d331e5734
bis	w170_d331e5738
gegen	w172_d331e5741
Marburg	w174_d331e5744
vor	w176_d331e5747
gerückt,	w179_d331e5751
und	w181_d331e5756
einem	w183_d331e5759
Corpo	w185_d331e5762
Kaiserl.	w187_d331e5765
Kö	w189_d331e5768
nigl.	w192_d331e5773
und	w194_d331e5777
Reichs=trupen	w196_d331e5780
vorgefallen,	w198_d331e5783
ist	w200_d331e5786
von	w203_d331e5791
</p>
<p id="p8_d331e5797">
von	w4_d331e5800
erstern	w6_d331e5804
der	w8_d331e5807
Leutenant	w10_d331e5810
Lachner	w12_d331e5813
in	w14_d331e5817
die	w16_d331e5820
Kriegs=gefangenschaft	w19_d331e5824
gerahten.	w21_d331e5828
</p>
<head id="h2_d331e5834">
Prag	w4_d331e5837
7.	w6_d331e5841
Martii.	w8_d331e5844
</head>
<p id="p4_d331e5847">
Da	w4_d331e5850
bereits	w6_d331e5854
zu	w8_d331e5857
Anfang	w10_d331e5860
des	w12_d331e5863
abgeeilten	w14_d331e5867
Monats	w17_d331e5871
Februarii	w19_d331e5875
die	w21_d331e5878
sammentliche	w23_d331e5881
Kai	w25_d331e5885
serl.	w28_d331e5889
Königl.	w30_d331e5893
Regimenter,	w32_d331e5896
durch	w34_d331e5899
die	w36_d331e5903
sowol	w38_d331e5906
hier	w41_d331e5910
Landes,	w43_d331e5914
als	w45_d331e5917
aus	w47_d331e5921
anderen	w49_d331e5924
Erb=landen	w51_d331e5927
gestellte	w54_d331e5931
ansehnlichste	w56_d331e5935
Recruten,	w58_d331e5939
in	w60_d331e5942
über	w62_d331e5945
completen	w65_d331e5949
Stand	w67_d331e5953
gesetzt	w69_d331e5957
worden,	w71_d331e5960
so	w73_d331e5963
fan	w75_d331e5966
gen	w78_d331e5970
nicht	w80_d331e5975
nur	w82_d331e5978
verschiedene	w84_d331e5981
derenselben	w86_d331e5984
ihre	w88_d331e5987
in	w91_d331e5992
diesem	w93_d331e5996
Königreiche	w95_d331e5999
den	w97_d331e6002
Winter	w99_d331e6005
her	w101_d331e6008
inne	w103_d331e6012
gehabte	w106_d331e6016
Quartiers=stationen	w108_d331e6020
in	w110_d331e6023
der	w112_d331e6026
Vor	w114_d331e6030
ruckung	w117_d331e6034
an	w119_d331e6038
zu	w121_d331e6041
ändern,	w123_d331e6044
sondern	w125_d331e6048
es	w127_d331e6051
kommen	w129_d331e6054
nun	w132_d331e6058
auch	w134_d331e6062
die	w136_d331e6066
neu	w138_d331e6069
ins	w140_d331e6072
Feld	w142_d331e6075
ziehende	w144_d331e6078
Grän	w146_d331e6081
zer	w149_d331e6086
nach	w151_d331e6090
und	w153_d331e6093
nach	w155_d331e6096
hier	w157_d331e6099
an,	w159_d331e6103
welche	w161_d331e6106
un	w163_d331e6109
verweilt	w166_d331e6113
in	w168_d331e6117
die	w170_d331e6121
ihnen	w172_d331e6124
angewiesene	w174_d331e6127
Oerter	w176_d331e6130
weiter	w179_d331e6134
abmarschiren.	w181_d331e6139
</p>
<head id="h2_d331e6145">
Petersburg	w4_d331e6148
24.	w6_d331e6152
Febr.	w8_d331e6155
</head>
<p id="p4_d331e6158">
Alle	w4_d331e6161
Hofnung,	w6_d331e6165
die	w8_d331e6168
man	w10_d331e6171
sich	w12_d331e6174
wegen	w14_d331e6178
ei	w16_d331e6181
nes	w19_d331e6185
Friedens	w21_d331e6189
hier	w23_d331e6192
und	w25_d331e6196
dorten	w27_d331e6199
gemacht	w29_d331e6202
hat,	w31_d331e6205
sind	w34_d331e6209
gänzlich	w36_d331e6214
verschwunden.	w38_d331e6217
Man	w40_d331e6220
denkt	w42_d331e6223
wenigstens	w45_d331e6227
hier	w47_d331e6232
an	w49_d331e6235
nichts,	w51_d331e6238
als	w53_d331e6241
an	w55_d331e6244
eine	w57_d331e6247
frühzeitige	w60_d331e6252
Eröfnung	w62_d331e6256
des	w64_d331e6259
bevorstehenden	w66_d331e6262
Feld=zugs,	w69_d331e6266
und	w71_d331e6271
aus	w73_d331e6274
denen	w75_d331e6277
vorgekehrten	w77_d331e6280
Anstalten	w80_d331e6284
zu	w82_d331e6289
schliessen,	w84_d331e6292
dürfte	w86_d331e6295
selbiger	w88_d331e6298
leicht	w90_d331e6301
einer	w93_d331e6306
der	w95_d331e6310
blutigsten	w97_d331e6313
werden.	w99_d331e6316
Die	w101_d331e6319
Recru	w103_d331e6322
ten,	w106_d331e6327
anstatt	w108_d331e6331
zur	w110_d331e6334
Armee	w112_d331e6337
zu	w114_d331e6340
gehen,	w116_d331e6344
werden	w118_d331e6347
nach	w121_d331e6351
denen	w123_d331e6355
Städten	w125_d331e6358
geschickt,	w127_d331e6362
und	w129_d331e6365
täglich	w131_d331e6368
in	w134_d331e6372
denen	w136_d331e6376
Waffen	w138_d331e6380
geübt.	w140_d331e6383
Die	w142_d331e6386
Armee	w144_d331e6389
hin	w146_d331e6392
gegen	w149_d331e6397
wird	w151_d331e6401
durch	w153_d331e6404
lauter	w155_d331e6407
alte,	w157_d331e6410
ausgesuchte	w159_d331e6413
und	w162_d331e6418
wohl	w164_d331e6422
exercirte	w166_d331e6425
Leute,	w168_d331e6428
theils	w170_d331e6431
ergänzt	w172_d331e6435
und	w175_d331e6439
theils	w177_d331e6443
verstärkt.	w179_d331e6446
Vor	w181_d331e6449
8.	w183_d331e6453
Tagen	w185_d331e6456
gieng	w187_d331e6459
ein	w190_d331e6463
aus	w192_d331e6467
3000.	w194_d331e6471
Mann	w196_d331e6474
bestehendes	w198_d331e6477
Corps,	w200_d331e6480
welches	w203_d331e6484
zu	w205_d331e6489
dem	w207_d331e6492
sogenannten	w209_d331e6495
vor	w211_d331e6498
einiger	w213_d331e6501
Zeit	w216_d331e6506
errichteten	w218_d331e6510
Observations=corps	w220_d331e6513
gehör	w222_d331e6516
te,	w225_d331e6520
hiedurch	w227_d331e6525
nach	w229_d331e6528
der	w231_d331e6531
Armee.	w233_d331e6534
Sie	w235_d331e6537
dest	w237_d331e6540
lirten	w240_d331e6545
vor	w242_d331e6549
dem	w244_d331e6552
Kaiserl.	w246_d331e6555
Palais	w248_d331e6558
vorbey	w250_d331e6562
und	w253_d331e6566
man	w255_d331e6570
konte	w257_d331e6573
sich	w259_d331e6576
nicht	w261_d331e6580
genug	w263_d331e6583
über	w265_d331e6586
die	w267_d331e6589
Schönheit	w270_d331e6593
desselben	w272_d331e6598
wundern;	w274_d331e6601
von	w276_d331e6604
Mo	w278_d331e6607
sca	w281_d331e6611
sind	w283_d331e6616
6000.	w285_d331e6619
Mann	w287_d331e6622
zur	w289_d331e6625
Verstärkung	w291_d331e6628
der	w294_d331e6633
Armee	w296_d331e6637
in	w298_d331e6640
vollem	w300_d331e6643
Anmarsch,	w302_d331e6646
und	w304_d331e6649
aus	w306_d331e6653
serdem	w309_d331e6657
geht	w311_d331e6661
noch	w313_d331e6664
das	w315_d331e6667
dritte	w317_d331e6671
Bataillon	w319_d331e6674
von	w321_d331e6677
allen	w324_d331e6681
zuruck	w326_d331e6685
gebliebenen	w328_d331e6689
Regimentern,	w330_d331e6692
die	w332_d331e6695
</p>
<p id="p6_d331e6698">
Garden	w4_d331e6701
ausgenommen,	w6_d331e6705
als	w8_d331e6708
deren	w10_d331e6711
Marsch	w12_d331e6714
contremandirt	w15_d331e6719
worden,	w17_d331e6723
zur	w19_d331e6726
Armee	w21_d331e6729
ab.	w23_d331e6732
Da	w25_d331e6736
nun	w28_d331e6740
hier	w30_d331e6744
das	w32_d331e6747
schwächeste	w34_d331e6750
Regiment	w36_d331e6754
aus	w38_d331e6757
2100.	w40_d331e6760
Köpfen	w43_d331e6764
bestehet,	w45_d331e6768
welches	w47_d331e6772
in	w49_d331e6775
3.	w51_d331e6778
Bataillons	w53_d331e6781
getheilet	w56_d331e6785
ist,	w58_d331e6790
so	w60_d331e6793
wird	w62_d331e6796
man	w64_d331e6799
leicht	w66_d331e6802
urtheilen	w68_d331e6805
können,	w71_d331e6810
wie	w73_d331e6814
formidabel	w75_d331e6817
diese	w77_d331e6820
Verstärkung	w79_d331e6823
seyn	w82_d331e6828
wird,	w84_d331e6832
die	w86_d331e6835
ausserdem	w88_d331e6838
derjenigen	w90_d331e6841
von	w92_d331e6845
Recruten	w95_d331e6849
weit	w97_d331e6853
vorzuziehen	w99_d331e6856
ist.	w101_d331e6859
Der	w103_d331e6863
Unter	w105_d331e6866
haltung	w108_d331e6870
der	w110_d331e6874
Armee	w112_d331e6877
wegen	w114_d331e6881
werden	w116_d331e6884
auch	w118_d331e6887
sol	w120_d331e6890
che	w123_d331e6894
Anstalten	w125_d331e6899
getroffen,	w127_d331e6902
daß	w129_d331e6905
sie	w131_d331e6908
an	w133_d331e6911
nichts	w135_d331e6914
Mangel	w138_d331e6919
zu	w140_d331e6923
leiden	w142_d331e6926
haben	w144_d331e6929
wird;	w146_d331e6932
und	w148_d331e6936
da	w150_d331e6939
man	w153_d331e6943
