<doc id="edoc_wd_1762-11-03" attrs="word" year="1762" month="11" day="03" corpus="1">
<head id="hl1">
Constantinopel	w40
wo	w497
die	w498
Jrschglaus	w499
wohnen	w500
<g/>
,
sich	w502
aufhielt	w503
<g/>
,
durch=kommen	w505
<g/>
=
konte	w507
<g/>
,
sondern	w509
durch	w510
einen	w511
grossen	w512
Umweg	w513
gegen	w514
Toppana	w515
dahin	w516
zu	w517
gelangen	w518
suchen	w519
muste	w520
<g/>
.
Die	w522
Pforte	w523
hat	w524
alsogleich	w525
aus	w526
eigener	w527
Bewegnüß	w528
für	w529
den	w530
gewesenen	w531
K	w532
<g/>
.
K	w534
<g/>
.
Jnternuncius	w536
Hrn	w537
<g/>
.
von	w539
Schwach=heim	w540
<g/>
=
für	w542
die	w543
Zeit	w544
<g/>
,
da	w546
er	w547
sich	w548
hier	w549
noch	w550
auf=halten	w551
<g/>
=
wird	w553
<g/>
,
ein	w555
anständiges	w556
Quartier	w557
zu	w558
Pera	w559
durch	w560
den	w561
Defterdar	w562
aussuchen	w563
<g/>
,
und	w565
<g/>
,
weil	w567
keines	w568
zu	w569
finden	w570
war	w571
<g/>
,
das	w573
Haus	w574
<g/>
,
wel=ches	w576
<g/>
=
für	w578
den	w579
Rußischen	w580
Kaiserl	w581
<g/>
.
Gesandten	w583
Knes	w584
Dolgorucki	w585
<g/>
,
der	w587
erst	w588
in	w589
etlichen	w590
Mona=ten	w591
<g/>
=
hier	w593
erwartet	w594
wird	w595
<g/>
,
gewiedmet	w597
war	w598
<g/>
,
demselben	w600
einräumen	w601
lassen	w602
<g/>
.
</p>
<head id="hl2">
Londen	w604
13	w605
<g/>
.
Octob	w607
<g/>
.
</head>
<p id="p7">
Der	w609
Herzog	w610
v	w611
<g/>
.
Pork	w613
ist	w614
den	w615
30	w616
<g/>
.
Sep=tembris	w618
<g/>
=
von	w620
St	w621
<g/>
.
Helena	w623
denen	w624
5	w625
<g/>
.
Fran=zösischen	w627
<g/>
=
Kriegs	w629
<g/>
=
schiffen	w631
<g/>
,
so	w633
von	w634
Cap	w635
Francois	w636
nach	w637
Europa	w638
zurück	w639
kommen	w640
<g/>
,
ent=gegen	w642
<g/>
=
gegangen	w644
<g/>
.
Man	w646
erwartet	w647
mit	w648
Ver=langen	w649
<g/>
=
auf	w651
den	w652
Erfolg	w653
dieser	w654
Unternehmung	w655
<g/>
.
Das	w657
Kriegs	w658
<g/>
=
schif	w660
der	w661
Scorpion	w662
ist	w663
auf	w664
der	w665
</p>
<p id="p8">
Höhe	w666
von	w667
Liverpool	w668
gescheitert	w669
<g/>
.
Man	w671
sagt	w672
<g/>
,
die	w674
ganze	w675
Mannschaft	w676
sey	w677
umkommen	w678
<g/>
,
und	w680
das	w681
Meer	w682
habe	w683
daselbst	w684
73	w685
<g/>
.
Leichen	w687
ausge=worfen	w688
<g/>
=
<g/>
.
Aus	w691
Havana	w692
hat	w693
mun	w694
Nachricht	w695
<g/>
,
daß	w697
ein	w698
Detaschement	w699
von	w700
unsern	w701
Trupen	w702
nach	w703
St	w704
<g/>
.
Jago	w706
di	w707
Cuba	w708
abgegangen	w709
<g/>
,
die	w711
da=sige	w712
<g/>
=
Einwohnere	w714
huldigen	w715
zu	w716
lassen	w717
<g/>
.
Man	w719
meldet	w720
auch	w721
<g/>
,
daß	w723
in	w724
einem	w725
dortigen	w726
Nonnen=kloster	w727
<g/>
=
der	w729
Schatz	w730
des	w731
Königs	w732
von	w733
Spanien	w734
gefunden	w735
worden	w736
<g/>
,
und	w738
der	w739
Graf	w740
von	w741
Albe=marle	w742
<g/>
=
Ordre	w744
gestellet	w745
<g/>
,
sich	w747
dessen	w748
zu	w749
versi=chern	w750
<g/>
=
<g/>
.
Der	w753
Admiral	w754
Pocock	w755
läßt	w756
mit	w757
grö=stem	w758
<g/>
=
Eifer	w760
die	w761
eroberte	w762
9	w763
<g/>
.
Spanische	w765
Kriegs=schiffe	w766
<g/>
=
ausrüsten	w768
<g/>
,
um	w770
solche	w771
nächstens	w772
nach	w773
England	w774
zu	w775
schicken	w776
<g/>
.
Unerachtet	w778
man	w779
durch=gängig	w780
<g/>
=
glaubt	w782
<g/>
,
daß	w784
nicht	w785
möglich	w786
seye	w787
<g/>
,
alle	w789
unsere	w790
Eroberungen	w791
ohne	w792
überschwengliche	w793
<g/>
,
und	w795
die	w796
Nation	w797
ruinirende	w798
Kosten	w799
beyzube=halten	w800
<g/>
=
<g/>
,
so	w803
heisset	w804
es	w805
doch	w806
<g/>
:
es	w808
hätten	w809
sich	w810
ei=nige	w811
<g/>
=
reiche	w813
Kaufleute	w814
gemeldet	w815
<g/>
,
um	w817
der	w818
Re=gierung	w819
<g/>
=
ein	w821
<g/>
=
und	w823
andere	w824
Striche	w825
Landes	w826
ab=zukauffen	w827
<g/>
=
<g/>
,
und	w830
darinnen	w831
auf	w832
ihre	w833
Kosten	w834
<g/>
,
und	w836
auf	w837
eben	w838
die	w839
Art	w840
<g/>
,
wie	w842
in	w843
andern	w844
Ame=ricanischen	w845
<g/>
=
der	w847
Crone	w848
England	w849
zuständi=gen	w850
<g/>
=
Ländern	w852
Pflanz	w853
<g/>
=
stätte	w855
anzulegen	w856
<g/>
,
und	w858
zu	w859
unterhalten	w860
<g/>
.
Es	w862
ist	w863
noch	w864
an=zumerken	w865
<g/>
=
<g/>
,
daß	w868
das	w869
Kriegs	w870
<g/>
=
schif	w872
<g/>
,
der	w874
Drache	w875
<g/>
,
so	w877
die	w878
von	w879
dem	w880
Admiral	w881
Po=cock	w882
<g/>
=
und	w884
Grafen	w885
von	w886
Albemarle	w887
abge=schickte	w888
<g/>
=
Capitains	w890
übergebracht	w891
<g/>
,
sich	w893
un=terwegs	w894
<g/>
=
einer	w896
nach	w897
Terre	w898
<g/>
=
neuve	w900
bestimm=ten	w901
<g/>
=
und	w903
mit	w904
Munition	w905
beladenen	w906
Franzö=sischen	w907
<g/>
=
Fregatte	w909
bemeistert	w910
<g/>
.
Man	w912
vernimt	w913
<g/>
,
daß	w915
der	w916
Spanische	w917
Hof	w918
Befehl	w919
ertheilt	w920
<g/>
,
das	w922
Dänische	w923
Schif	w924
<g/>
,
so	w926
die	w927
Equipage	w928
und	w929
Sil=ber	w930
<g/>
=
<g/>
=
geschirr	w933
des	w934
Grafen	w935
von	w936
Northampton	w937
als	w938
Engländischen	w939
Gesandten	w940
bey	w941
der	w942
Re=pablik	w943
<g/>
=
Venedig	w945
nach	w946
jetzt	w947
gedachter	w948
Stadt	w949
bringen	w950
sollen	w951
<g/>
,
und	w953
von	w954
den	w955
Spaniern	w956
weg=genommen	w957
<g/>
=
worden	w959
<g/>
,
loszugeben	w961
<g/>
.
Der	w963
König	w964
in	w965
Portugall	w966
hat	w967
dem	w968
Capitain	w969
Mar=namara	w970
<g/>
=
<g/>
,
welcher	w973
den	w974
Caper	w975
<g/>
,
der	w977
Lord	w978
CliClive	w979
<g/>
=
</p>
<p id="p9">
ve	w983
<g/>
,
commandirt	w985
<g/>
,
erlaubt	w987
<g/>
,
in	w989
alle	w990
Portugi=sische	w991
<g/>
=
Häfen	w993
in	w994
America	w995
einlaufen	w996
zu	w997
dür=fen	w998
<g/>
=
<g/>
,
und	w1001
an	w1002
alle	w1003
daselbst	w1004
befindliche	w1005
Gou=verneurs	w1006
<g/>
=
Befehl	w1008
ergehen	w1009
lassen	w1010
<g/>
,
ihm	w1012
allen	w1013
möglichen	w1014
und	w1015
erforderlichen	w1016
Beystand	w1017
zu	w1018
leisten	w1019
<g/>
,
wodurch	w1021
der	w1022
Herr	w1023
Macnamara	w1024
gnug=sam	w1025
<g/>
=
im	w1027
Stand	w1028
seyn	w1029
wird	w1030
<g/>
,
den	w1032
Spaniern	w1033
zu	w1034
Wasser	w1035
und	w1036
zu	w1037
Land	w1038
nachdrücklich	w1039
zu	w1040
schaden	w1041
<g/>
.
</p>
<head id="hl3">
Londen	w1043
15	w1044
<g/>
.
Octob	w1046
<g/>
.
</head>
<p id="p10">
Diesen	w1048
Morgen	w1049
kame	w1050
der	w1051
Capitain	w1052
Camp=belli	w1053
<g/>
=
von	w1055
St	w1056
<g/>
.
Jean	w1058
aus	w1059
Terra	w1060
Nova	w1061
mit	w1062
der	w1063
Nachricht	w1064
allhier	w1065
an	w1066
<g/>
,
daß	w1068
dieser	w1069
Platz	w1070
von	w1071
dem	w1072
Obrist	w1073
<g/>
=
leutenant	w1075
Amherst	w1076
wiederum	w1077
erobert	w1078
worden	w1079
<g/>
.
Der	w1081
in	w1082
Neu	w1083
<g/>
=
york	w1085
com=mandirende	w1086
<g/>
=
Ritter	w1088
Jeffri	w1089
Amherst	w1090
faßte	w1091
den	w1092
Entschluß	w1093
<g/>
,
die	w1095
Franzosen	w1096
aus	w1097
ihren	w1098
ge=machten	w1099
<g/>
=
Eroberungen	w1101
zu	w1102
vertreiben	w1103
<g/>
,
und	w1105
truge	w1106
solche	w1107
Aufführung	w1108
ob	w1109
<g/>
=
benanntem	w1111
Obrist	w1112
<g/>
=
leutenant	w1114
Amherst	w1115
auf	w1116
<g/>
,
welcher	w1118
sich	w1119
alsobald	w1120
mit	w1121
denen	w1122
dazu	w1123
destimmten	w1124
Völ=kern	w1125
<g/>
=
zu	w1127
Halifax	w1128
und	w1129
Ludwigsburg	w1130
einschif=te	w1131
<g/>
=
<g/>
,
von	w1134
dannen	w1135
stoßte	w1136
er	w1137
den	w1138
11ten	w1139
ver=gangenen	w1140
<g/>
=
Monats	w1142
zu	w1143
der	w1144
unter	w1145
Commando	w1146
des	w1147
Lords	w1148
Colville	w1149
stehenden	w1150
Königl	w1151
<g/>
.
Flotte	w1153
<g/>
,
und	w1155
den	w1156
13	w1157
<g/>
.
kandete	w1159
er	w1160
in	w1161
der	w1162
Bay	w1163
von	w1164
Torbay	w1165
<g/>
,
3	w1167
<g/>
.
Stund	w1169
von	w1170
St	w1171
<g/>
.
Jean	w1173
an	w1174
<g/>
.
Den	w1176
18	w1177
<g/>
.
darauf	w1179
capituliete	w1180
die	w1181
aus	w1182
500	w1183
<g/>
.
Mann	w1185
bestandene	w1186
Besatzung	w1187
<g/>
,
und	w1189
ergabe	w1190
sich	w1191
zu	w1192
Kriegs	w1193
<g/>
=
gefangenen	w1195
<g/>
,
gleichwie	w1197
aus	w1198
nachste=henden	w1199
<g/>
=
Capitulations	w1201
<g/>
=
puncten	w1203
zu	w1204
ersehen	w1205
<g/>
:
</p>
<p id="p11">
1	w1207
<g/>
)
Die	w1209
Französische	w1210
Trupen	w1211
werden	w1212
sich	w1213
zu	w1214
Kriegs	w1215
<g/>
=
gefangengenen	w1217
ergeben	w1218
<g/>
.
</p>
<p id="p12">
Accordirt	w1220
<g/>
.
</p>
<p id="p13">
2	w1222
<g/>
)
Die	w1224
Ober	w1225
<g/>
=
und	w1227
Unter	w1228
<g/>
=
officiers	w1230
werden	w1231
die	w1232
Waffen	w1233
behalten	w1234
<g/>
,
um	w1236
die	w1237
gute	w1238
Ordnung	w1239
unter	w1240
denen	w1241
Gemeinen	w1242
beyzubehaleen	w1243
<g/>
.
</p>
<p id="p14">
Accordirt	w1245
<g/>
.
</p>
<p id="p15">
3	w1247
<g/>
)
Man	w1249
wird	w1250
die	w1251
Officiers	w1252
<g/>
,
Grenadiers	w1254
und	w1255
Soldaten	w1256
<g/>
,
sie	w1258
mögen	w1259
verwundet	w1260
seyn	w1261
oder	w1262
nicht	w1263
<g/>
,
mit	w1265
guten	w1266
Schiffen	w1267
versehen	w1268
um	w1269
sie	w1270
in	w1271
Zeit	w1272
von	w1273
einem	w1274
Monat	w1275
an	w1276
die	w1277
Britannische	w1278
Küsten	w1279
überzuführen	w1280
<g/>
.
</p>
<p id="p16">
Accordirt	w1282
<g/>
,
und	w1284
wird	w1285
der	w1286
Lord	w1287
Coll=ville	w1288
<g/>
=
sie	w1290
bald	w1291
möglichst	w1292
zu	w1293
Schiffe	w1294
brin=gen	w1295
<g/>
=
lassen	w1297
<g/>
.
</p>
<p id="p17">
4	w1299
<g/>
)
Denen	w1301
Officieren	w1302
und	w1303
Soldaten	w1304
wers	w1305
den	w1306
ihre	w1307
Habschaften	w1308
eigen	w1309
verbleiben	w1310
<g/>
.
</p>
<p id="p18">
Die	w1312
Trupen	w1313
Sr	w1314
<g/>
.
Groß	w1316
<g/>
=
britannischen	w1318
Majest	w1319
<g/>
.
sind	w1321
das	w1322
Plündern	w1323
nicht	w1324
gewohnt	w1325
<g/>
.
</p>
<p id="p19">
5	w1327
<g/>
)
Man	w1329
wird	w1330
Nachmittags	w1331
die	w1332
Thore	w1333
besetzen	w1334
<g/>
,
und	w1336
die	w1337
Besatzung	w1338
wied	w1339
das	w1340
Gewehr	w1341
strecken	w1342
<g/>
.
</p>
<p id="p20">
Diese	w1344
Capitulation	w1345
wird	w1346
der	w1347
Lord	w1348
Collville	w1349
unterzeichnen	w1350
<g/>
,
indessen	w1352
wird	w1353
sie	w1354
aber	w1355
so	w1356
<g/>
,
wie	w1358
in	w1359
Hinkunft	w1360
ihre	w1361
Gültigkeit	w1362
haben	w1363
<g/>
.
</p>
<p id="p21">
Während	w1391
dieser	w1392
Begegnuß	w1393
fande	w1394
der	w1395
Rit=ter	w1396
<g/>
=
v	w1398
<g/>
.
Terney	w1400
Mittel	w1401
<g/>
,
mit	w1403
den	w1404
unter	w1405
seinen	w1406
Be=fehlen	w1407
<g/>
=
stehenden	w1409
5	w1410
<g/>
.
Französ	w1412
<g/>
.
Kriegs	w1414
<g/>
=
schiffen	w1416
zu	w1417
entwischen	w1418
<g/>
,
und	w1420
ist	w1421
die	w1422
Ausführung	w1423
die=ses	w1424
<g/>
=
Officiers	w1426
um	w1427
so	w1428
rühmenswürdiger	w1429
<g/>
,
als	w1431
er	w1432
vor	w1433
unserer	w1434
ganzen	w1435
Flotte	w1436
in	w1437
der	w1438
Entfer=nung	w1439
<g/>
=
eines	w1441
Pistolen	w1442
<g/>
=
schusses	w1444
vorbey	w1445
gefah=ren	w1446
<g/>
=
<g/>
,
und	w1449
hat	w1450
dadurch	w1451
eines	w1452
der	w1453
schönsten	w1454
und	w1455
herzhaftigsten	w1456
Probstücken	w1457
<g/>
,
das	w1459
man	w1460
jemals	w1461
zur	w1462
See	w1463
gesehen	w1464
<g/>
,
abgeleget	w1466
<g/>
,
inde=me	w1468
<g/>
=
derselbe	w1470
nur	w1471
4	w1472
<g/>
.
Minuten	w1474
Zeit	w1475
hätte	w1476
ver=lieren	w1477
<g/>
=
dörfen	w1479
<g/>
,
so	w1481
wären	w1482
seine	w1483
5	w1484
<g/>
.
Schiffe	w1486
ohnfehlbar	w1487
in	w1488
unsere	w1489
Hände	w1490
gefallen	w1491
<g/>
.
</p>
<head id="hl4">
Aus	w1493
Hessen	w1494
13	w1495
<g/>
.
Octob	w1497
<g/>
.
</head>
<p id="p22">
Den	w1499
4	w1500
<g/>
.
um	w1502
7	w1503
<g/>
.
Uhr	w1505
Morgens	w1506
<g/>
,
als	w1508
der	w1509
Hr	w1510
<g/>
.
Marquis	w1512
von	w1513
Conflans	w1514
<g/>
,
welcher	w1516
mit	w1517
feinem	w1518
Regiment	w1519
Berleburg	w1520
besetzt	w1521
hatte	w1522
<g/>
,
durch	w1524
die	w1525
Zurückkunft	w1526
seiner	w1527
Patrouillen	w1528
vernommen	w1529
<g/>
,
daß	w1531
ein	w1532
Theil	w1533
der	w1534
Feinde	w1535
von	w1536
Hatzfeld	w1537
auf	w1538
ihn	w1539
anmarschirte	w1540
<g/>
,
zone	w1542
sich	w1543
derselbe	w1544
also=gleich	w1545
<g/>
=
mit	w1547
seinem	w1548
ganzen	w1549
Regiment	w1550
auf	w1551
ei=ne	w1552
<g/>
=
Ahöhe	w1554
<g/>
,
hinter	w1556
Berleburg	w1557
<g/>
,
um	w1559
den	w1560
Marsch	w1561
des	w1562
Feindes	w1563
zu	w1564
beobachten	w1565
<g/>
,
und	w1567
hiernach	w1568
seiseinen	w1569
<g/>
=
</p>
<p id="p23">
nen	w1572
Zurückzug	w1573
<g/>
,
oder	w1575
sonstige	w1576
Gegen	w1577
<g/>
=
anstalten	w1579
zu	w1580
verfügen	w1581
<g/>
.
</p>
<p id="p24">
Um	w1583
8	w1584
<g/>
.
Uhr	w1586
rückte	w1587
eine	w1588
Colonne	w1589
herbey	w1590
durch	w1591
das	w1592
Holz	w1593
auf	w1594
den	w1595
Weeg	w1596
von	w1597
Hatzfeld	w1598
<g/>
,
unter	w1600
Anführung	w1601
des	w1602
Hrn	w1603
<g/>
.
General	w1605
Luckner	w1606
<g/>
,
in	w1608
3	w1609
<g/>
.
Grenadier	w1611
<g/>
=
bataillons	w1613
und	w1614
800	w1615
Pfer=den	w1616
<g/>
=
bestehend	w1618
<g/>
,
welche	w1620
<g/>
,
ohne	w1622
sich	w1623
aufzuhalten	w1624
<g/>
,
die	w1626
Stadt	w1627
Berleburg	w1628
auf	w1629
der	w1630
rechten	w1631
Hand	w1632
lassend	w1633
<g/>
,
gerade	w1635
auf	w1636
die	w1637
Anhöhen	w1638
gegenüber	w1639
<g/>
,
welche	w1641
das	w1642
Regiment	w1643
von	w1644
Conflans	w1645
besetzt	w1646
hielten	w1647
<g/>
,
marschirte	w1649
<g/>
;
ehe	w1651
aber	w1652
der	w1653
Feind	w1654
bis	w1655
dahin	w1656
kommen	w1657
konnte	w1658
<g/>
,
waren	w1660
die	w1661
Schar=mützel	w1662
<g/>
=
sehr	w1664
lebhaft	w1665
<g/>
,
die	w1667
Ueberlegenheit	w1668
der	w1669
feindlichen	w1670
Cavallerie	w1671
zwunge	w1672
die	w1673
Conflan=sische	w1674
<g/>
=
zum	w1676
weichen	w1677
<g/>
,
und	w1679
an	w1680
ihre	w1681
Jnfanterie	w1682
zu	w1683
stossen	w1684
<g/>
,
worauf	w1686
das	w1687
Canoniren	w1688
auf	w1689
bey=den	w1690
<g/>
=
Seiten	w1692
seinen	w1693
Anfang	w1694
nahme	w1695
<g/>
,
welches	w1697
4	w1698
Stunden	w1699
lang	w1700
dauerte	w1701
<g/>
,
und	w1703
sehr	w1704
wol	w1705
be=dienet	w1706
<g/>
=
wurde	w1708
<g/>
,
feindlicher	w1710
Seits	w1711
von	w1712
einer	w1713
Batterie	w1714
von	w1715
5	w1716
<g/>
.
Stücken	w1718
<g/>
,
und	w1720
Französi=scher	w1721
<g/>
=
Seits	w1723
von	w1724
4	w1725
<g/>
.
Stücken	w1727
<g/>
.
</p>
<p id="p25">
Während	w1729
dieser	w1730
Zeit	w1731
machte	w1732
der	w1733
Feind	w1734
sehr	w1735
viele	w1736
Bewegungen	w1737
<g/>
,
in	w1739
der	w1740
Meinung	w1741
<g/>
,
das	w1743
Regiment	w1744
von	w1745
Conflans	w1746
dadurch	w1747
zu	w1748
vermö=gen	w1749
<g/>
=
<g/>
,
daß	w1752
es	w1753
seine	w1754
Position	w1755
verliesse	w1756
<g/>
;
da	w1758
er	w1759
aber	w1760
hierinnen	w1761
nicht	w1762
auslangen	w1763
konnte	w1764
<g/>
,
und	w1766
von	w1767
Seiten	w1768
deren	w1769
Französischen	w1770
Canonen	w1771
mehrers	w1772
erlitte	w1773
<g/>
,
als	w1775
selbige	w1776
von	w1777
den	w1778
ihri=gen	w1779
<g/>
=
<g/>
,
wegen	w1782
der	w1783
vortheilhaften	w1784
Stellung	w1785
<g/>
,
so	w1787
entschloß	w1788
sich	w1789
derselbe	w1790
den	w1791
Bach	w1792
wiederum	w1793
zu	w1794
paßiren	w1795
<g/>
,
und	w1797
hinter	w1798
Berleburg	w1799
zurück	w1800
zu	w1801
ziehen	w1802
<g/>
.
Da	w1804
nun	w1805
der	w1806
Marquis	w1807
von	w1808
Conflans	w1809
denselben	w1810
weichen	w1811
sahe	w1812
<g/>
,
so	w1814
ließ	w1815
er	w1816
seine	w1817
Ca=vallerie	w1818
<g/>
=
gleich	w1820
wiederum	w1821
vorrücken	w1822
<g/>
,
und	w1824
die	w1825
Scharmützel	w1826
giengen	w1827
vom	w1828
neuen	w1829
an	w1830
<g/>
;
als	w1832
man	w1833
aber	w1834
dem	w1835
Feind	w1836
immer	w1837
näher	w1838
kam	w1839
<g/>
,
so	w1841
brachte	w1842
ihn	w1843
diese	w1844
Bewegung	w1845
zum	w1846
Entschluß	w1847
<g/>
,
sich	w1849
gänzlich	w1850
zurück	w1851
zu	w1852
ziehen	w1853
<g/>
,
und	w1855
die	w1856
Hus=saren	w1857
<g/>
=
von	w1859
Conflaus	w1860
begleiteten	w1861
denselben	w1862
bis	w1863
2	w1864
Stunden	w1865
weit	w1866
von	w1867
Berleburg	w1868
<g/>
,
das	w1870
Re=giment	w1871
<g/>
=
aber	w1873
rückte	w1874
wiederum	w1875
in	w1876
die	w1877
Stadt	w1878
um	w1879
5	w1880
<g/>
.
Uhr	w1882
Abends	w1883
<g/>
.
Durch	w1885
die	w1886
bey	w1887
die=ser	w1888
<g/>
=
Gelegenheit	w1890
gemachte	w1891
Kriegs	w1892
<g/>
=
gefangene	w1894
</p>
<p id="p26">
hat	w1895
man	w1896
vernommen	w1897
<g/>
,
daß	w1899
das	w1900
Vorhaben	w1901
des	w1902
Hrn	w1903
<g/>
.
Generals	w1905
von	w1906
Luckner	w1907
einig	w1908
und	w1909
allein	w1910
gewesen	w1911
seye	w1912
<g/>
;
den	w1914
Hrn	w1915
Marquis	w1916
von	w1917
