<doc id="wr_1756-10-09" attrs="word" year="1756" month="10" day="09" corpus="2">
<head id="h2_d81e3769">
Carpenteras	w1_d81e3773
Marquisat	w1_d81e4479
Velleron,	w3_d81e4482
in	w5_d81e4485
dem	w7_d81e4488
Gebiete	w9_d81e4491
von	w11_d81e4494
St.	w1_d81e4499
Saturnin,	w3_d81e4502
und	w5_d81e4505
in	w7_d81e4508
dem	w9_d81e4511
Lehn	w11_d81e4514
von	w13_d81e4518
Gro	w15_d81e4521
melle,	w1_d81e4527
spühren.	w3_d81e4530
Etliche	w5_d81e4533
Tage	w7_d81e4536
vorher	w9_d81e4539
fühlte	w11_d81e4542
man	w1_d81e4547
auch	w3_d81e4550
einen	w5_d81e4553
Stoß	w7_d81e4556
zu	w9_d81e4559
Entraiques,	w11_d81e4562
zu	w13_d81e4566
Bedarides,	w1_d81e4571
und	w3_d81e4574
zu	w5_d81e4577
Sorgnes.	w7_d81e4580
Zum	w9_d81e4583
Glück	w11_d81e4586
ist	w1_d81e4591
dadurch	w3_d81e4594
nirgends	w5_d81e4597
einiger	w7_d81e4600
Schade	w9_d81e4603
ge	w11_d81e4606
schehen;	w1_d81e4612
dann,	w3_d81e4615
es	w5_d81e4618
blieb	w7_d81e4621
allenthalben	w9_d81e4624
bloß	w11_d81e4627
bey	w1_d81e4632
dem	w3_d81e4635
Schrecken.	w5_d81e4638
</p>
<head id="h2_d81e4644">
Londen	w1_d81e4648
14.	w3_d81e4651
Sept.	w5_d81e4654
</head>
<p id="p4_d81e4657">
Bey	w1_d81e4661
Hofe	w3_d81e4664
werden	w5_d81e4667
täglich	w7_d81e4670
Rahtsver	w9_d81e4673
</p>
<p id="p10_d81e4686">
sammlungen	w1_d81e4690
gehalten,	w3_d81e4693
und	w5_d81e4696
der	w7_d81e4699
Königl.	w9_d81e4702
Preus	w11_d81e4705
sische	w1_d81e4710
Minister,	w3_d81e4713
Herr	w5_d81e4716
Michel,	w7_d81e4719
ist	w9_d81e4722
fast	w11_d81e4725
un	w13_d81e4729
aufhörlich	w1_d81e4734
mit	w3_d81e4737
unsern	w5_d81e4740
Ministern	w7_d81e4743
in	w9_d81e4746
Couferenz.	w11_d81e4749
Gestern	w1_d81e4755
empfieng	w3_d81e4758
der	w5_d81e4761
Hof	w7_d81e4764
aus	w9_d81e4767
Berlin	w11_d81e4770
wichtige	w13_d81e4774
Depischen,	w1_d81e4779
die	w3_d81e4782
heute	w5_d81e4785
durch	w7_d81e4788
eben	w9_d81e4791
denselben	w11_d81e4794
Currier	w1_d81e4799
beantwortet	w3_d81e4802
seynd.	w5_d81e4805
Es	w7_d81e4808
wird	w9_d81e4811
fest	w11_d81e4814
versichert,	w1_d81e4819
daß	w3_d81e4822
an	w5_d81e4825
einem	w7_d81e4828
mächtigen	w9_d81e4831
Bünd	w11_d81e4834
nisse	w1_d81e4840
zwischen	w3_d81e4843
verschiedenen	w5_d81e4846
pretestantischen	w7_d81e4849
Höfen,	w1_d81e4854
eifrig	w3_d81e4857
gearbeitet	w5_d81e4860
wird.	w7_d81e4863
Die	w9_d81e4866
hier	w1_d81e4871
befindliche	w3_d81e4874
6500.	w5_d81e4877
Mann	w7_d81e4880
Heßische	w9_d81e4883
Tru	w11_d81e4886
pen	w1_d81e4891
sollen	w3_d81e4894
in	w5_d81e4897
kurzen	w7_d81e4900
nach	w9_d81e4903
Stade	w11_d81e4906
zurück	w13_d81e4910
ge	w15_d81e4913
bracht,	w1_d81e4919
und	w3_d81e4922
in	w5_d81e4925
Teutschland	w7_d81e4928
mit	w9_d81e4931
andern	w11_d81e4934
von	w13_d81e4938
ihren	w1_d81e4943
Lands=leuten	w3_d81e4946
bis	w5_d81e4949
12000	w7_d81e4952
Mann	w9_d81e4955
ver	w11_d81e4958
stärcket	w1_d81e4963
werden,	w3_d81e4966
alsdann	w5_d81e4969
aber	w7_d81e4972
nebst	w9_d81e4975
denen	w11_d81e4978
Hannöverischen,	w1_d81e4983
die	w3_d81e4986
sich	w5_d81e4989
noch	w7_d81e4992
in	w9_d81e4995
ihren	w11_d81e4998
Landen	w13_d81e5002
befinden,	w1_d81e5008
und	w3_d81e5011
einigen	w5_d81e5014
andern	w7_d81e5017
von	w9_d81e5020
verschie	w11_d81e5023
denen	w1_d81e5028
Reichs=fürsten,	w3_d81e5031
ein	w5_d81e5034
ansehnliches	w7_d81e5037
Lager	w9_d81e5040
formiren	w1_d81e5045
Der	w3_d81e5048
Abmiral	w5_d81e5051
Boscawen	w7_d81e5054
hat	w9_d81e5057
ein	w11_d81e5060
berichtet,	w1_d81e5065
daß	w3_d81e5068
er	w5_d81e5071
8.	w7_d81e5074
reich=beladene	w9_d81e5077
Fran	w11_d81e5080
zösische	w1_d81e5086
West=indische	w3_d81e5089
Retour=schiffe	w5_d81e5092
erobert	w7_d81e5095
habe.	w1_d81e5100
Es	w3_d81e5103
ist	w5_d81e5106
der	w7_d81e5109
Admirul	w9_d81e5112
Norris,	w11_d81e5115
der	w13_d81e5119
die	w15_d81e5122
Flotte	w1_d81e5127
erst=besagten	w3_d81e5130
Admirals	w5_d81e5133
zu	w7_d81e5136
verstärken,	w9_d81e5139
mit	w1_d81e5144
5.	w3_d81e5147
schloren	w5_d81e5150
Kriegs=schiffen	w7_d81e5153
von	w9_d81e5156
Ports	w11_d81e5159
mour	w1_d81e5165
abgesegelt	w3_d81e5168
ist.	w5_d81e5171
Der	w7_d81e5174
Admiral	w9_d81e5177
Hawke	w11_d81e5180
soll	w1_d81e5185
von	w3_d81e5188
Minorca	w5_d81e5191
nach	w7_d81e5194
Corsica	w9_d81e5197
gesegelt	w11_d81e5200
seyn,	w13_d81e5204
um	w1_d81e5209
daselbst	w3_d81e5212
nicht	w5_d81e5215
nur	w7_d81e5218
Erftischungen	w9_d81e5221
einzu	w11_d81e5224
nehmen,	w1_d81e5229
sondern	w3_d81e5232
auch	w5_d81e5235
zu	w7_d81e5238
verhindern,	w9_d81e5241
daß	w11_d81e5244
die	w1_d81e5250
Franzosen	w3_d81e5253
keine	w5_d81e5256
Trupen	w7_d81e5259
nach	w9_d81e5262
besagter	w11_d81e5265
Jnsul	w1_d81e5270
überschiffen	w3_d81e5273
können.	w5_d81e5276
</p>
<head id="h2_d81e5282">
Paris	w1_d81e5286
14.	w3_d81e5289
Sept.	w5_d81e5292
</head>
<p id="p4_d81e5295">
Briefe	w1_d81e5299
aus	w3_d81e5302
Nantes	w5_d81e5305
vom	w7_d81e5308
7.	w9_d81e5311
des	w11_d81e5314
jetzigen	w13_d81e5318
Monats	w1_d81e5323
bestättigen,	w3_d81e5326
daß	w5_d81e5329
die	w7_d81e5332
aus	w9_d81e5335
Quebec	w11_d81e5338
daselbst	w1_d81e5343
angekommene	w3_d81e5346
Fregatte,	w5_d81e5349
die	w7_d81e5352
Eintracht	w9_d81e5355
genannt,	w1_d81e5361
die	w3_d81e5364
Zeitung	w5_d81e5367
mitgebracht	w7_d81e5370
habe,	w9_d81e5373
es	w11_d81e5376
seye	w1_d81e5381
der	w3_d81e5384
Herr	w5_d81e5387
Villiers	w7_d81e5390
den	w9_d81e5393
17ten	w11_d81e5396
Julii	w13_d81e5400
eine	w15_d81e5403
halbe	w1_d81e5408
Meile	w3_d81e5411
von	w5_d81e5414
Choagues,	w7_d81e5417
an	w9_d81e5420
der	w11_d81e5423
Spitze	w13_d81e5427
eines	w1_d81e5432
Corps	w3_d81e5435
von	w5_d81e5438
800.	w7_d81e5441
Mann	w9_d81e5444
regulairer	w11_d81e5447
Tru	w13_d81e5451
pen,	w1_d81e5457
und	w3_d81e5460
600.	w5_d81e5463
Jndianee,	w7_d81e5466
so	w9_d81e5469
glücklich	w11_d81e5472
gewe	w13_d81e5476
sen,	w1_d81e5481
ein	w3_d81e5484
Engländisches	w5_d81e5487
Detaschement	w7_d81e5490
von	w9_d81e5493
1200.	w1_d81e5498
Mann	w3_d81e5501
dergestalt	w5_d81e5504
zu	w7_d81e5507
schlagen,	w9_d81e5510
daß	w11_d81e5513
fast	w13_d81e5517
die	w1_d81e5522
Heifte	w3_d81e5525
davon	w5_d81e5528
wäre	w7_d81e5531
getödtet	w9_d81e5534
oder	w11_d81e5537
gefan	w13_d81e5541
gen	w1_d81e5547
genommen	w3_d81e5550
worden,	w5_d81e5553
wie	w7_d81e5556
dann	w9_d81e5559
auch	w11_d81e5562
die	w13_d81e5566
Unserigen	w1_d81e5571
auf	w3_d81e5574
dem	w5_d81e5577
See	w7_d81e5580
Ontario	w9_d81e5583
viele	w11_d81e5586
platte	w13_d81e5590
Fahrzeuge	w1_d81e5595
verbrannt	w3_d81e5598
hätten.	w5_d81e5601
Es	w7_d81e5604
würde	w9_d81e5607
zwar	w1_d81e5612
von	w3_d81e5615
denen	w5_d81e5618
Engländern	w7_d81e5621
ausgestreuet,	w9_d81e5624
daß	w11_d81e5627
12000.	w1_d81e5633
Mann	w3_d81e5636
zum	w5_d81e5639
Succurs	w7_d81e5642
dieser	w9_d81e5645
Festung	w11_d81e5648
ankommen	w1_d81e5653
sollten;	w3_d81e5656
allein,	w5_d81e5659
in	w7_d81e5662
solchem	w9_d81e5665
Fall	w11_d81e5668
wollten	w1_d81e5673
die	w3_d81e5676
Unsrigen	w5_d81e5679
noch	w7_d81e5682
ein	w9_d81e5685
anderes	w11_d81e5688
Corpo,	w13_d81e5692
das	w1_d81e5697
bey	w3_d81e5700
Niagara	w5_d81e5703
stehe,	w7_d81e5706
anrücken	w9_d81e5709
lassen.	w11_d81e5712
</p>
<head id="h2_d81e5718">
Torgau	w1_d81e5722
vom	w3_d81e5725
16.	w5_d81e5728
Sept.	w7_d81e5731
</head>
<head id="h2_d81e5738">
Folgende	w1_d81e5742
zwey	w3_d81e5745
Patente	w5_d81e5748
seynd	w7_d81e5751
von	w9_d81e5754
dem	w11_d81e5757
Kö	w13_d81e5761
nigl.	w1_d81e5766
Preunischen	w3_d81e5769
Feld=kriegs=directerio	w5_d81e5772
alhier	w1_d81e5777
ergangen.	w3_d81e5780
</head>
<p id="p4_d81e5783">
Nachdem	w1_d81e5787
S.	w3_d81e5790
Königl.	w5_d81e5793
Majestät	w7_d81e5796
in	w9_d81e5799
Preus.	w11_d81e5802
sen,	w1_d81e5807
aus	w3_d81e5810
erheuschender	w5_d81e5813
Nothwendigkeit	w7_d81e5816
gegen	w9_d81e5819
wärtiger	w1_d81e5824
Conjuncturen,	w3_d81e5827
all	w5_d81e5830
rgnädigst	w7_d81e5833
resol	w9_d81e5836
virer	w1_d81e5842
haben,	w3_d81e5845
ein	w5_d81e5848
Feld=directorium	w7_d81e5851
in	w9_d81e5854
Tor	w11_d81e5857
gau	w1_d81e5862
dergestalt	w3_d81e5865
zu	w5_d81e5868
bestellen	w7_d81e5871
daß	w9_d81e5874
von	w11_d81e5877
demsel	w13_d81e5881
ben	w1_d81e5886
sämtliche	w3_d81e5889
Chur=fürstl.	w5_d81e5892
Sächsische,	w7_d81e5895
sowol	w9_d81e5898
Kammer	w1_d81e5903
als	w3_d81e5906
Landes=intraden,	w5_d81e5909
wie	w7_d81e5912
solche	w9_d81e5915
Namen	w1_d81e5921
haben	w3_d81e5924
können,	w5_d81e5927
wollen	w7_d81e5930
oder	w9_d81e5933
mögen,	w11_d81e5936
eingehoben	w1_d81e5941
und	w3_d81e5944
berechnet	w5_d81e5947
werden	w7_d81e5950
sollen;	w9_d81e5953
Als	w11_d81e5956
wird	w1_d81e5961
solches	w3_d81e5964
jedermänniglich,	w5_d81e5967
insolberheit	w7_d81e5970
sammtlichen	w1_d81e5975
Einnehmern	w3_d81e5978
der	w5_d81e5981
General	w7_d81e5984
und	w9_d81e5987
Land=kreise,	w1_d81e5993
der	w3_d81e5996
Land	w5_d81e5999
und	w7_d81e6002
Trank	w9_d81e6005
wie	w11_d81e6008
auch	w13_d81e6012
Quatember	w1_d81e6017
seingKopf	w3_d81e6020
und	w5_d81e6023
Vermögen	w7_d81e6026
steuer	w1_d81e6031
ingleichen	w3_d81e6034
denen	w5_d81e6037
Pachtern,	w7_d81e6040
Verwal	w9_d81e6043
tern	w1_d81e6048
oder	w3_d81e6051
Rendanten	w5_d81e6054
der	w7_d81e6057
AmtsForstSalz	w9_d81e6060
Geleits=Post=Fähr=Brück=geld,	w1_d81e6066
Berg=werks	w3_d81e6069
auch	w1_d81e6074
aller	w3_d81e6077
anderen	w5_d81e6080
Gefälle,	w7_d81e6083
ohne	w9_d81e6086
Unterscheid	w11_d81e6089
und	w1_d81e6094
Ausname,	w3_d81e6097
hierdurch	w5_d81e6100
bekannt	w7_d81e6103
gemacht,	w9_d81e6106
und	w1_d81e6111
ihnen	w3_d81e6114
aufgegeben,	w5_d81e6117
sofort	w7_d81e6120
nach	w9_d81e6123
Publica	w11_d81e6126
tion	w1_d81e6132
dieses,	w3_d81e6135
die	w5_d81e6138
verhandene	w7_d81e6141
Cassenbestän	w9_d81e6144
d.	w1_d81e6149
sogleich	w3_d81e6152
getreulich,	w5_d81e6155
auf	w7_d81e6158
ihre	w9_d81e6161
Pflicht,	w11_d81e6164
dem	w13_d81e6168
Königl.	w1_d81e6173
Preussischen	w3_d81e6176
Feldkriegs	w5_d81e6179
directorio	w7_d81e6182
in	w1_d81e6187
Torgau	w3_d81e6190
anzuzeigen,	w5_d81e6193
und	w7_d81e6196
solche	w9_d81e6199
bey	w11_d81e6202
unaus	w13_d81e6206
bleiblicher	w1_d81e6212
Straffe	w3_d81e6215
doppelter	w5_d81e6218
Erstattung,	w7_d81e6221
auch	w9_d81e6224
Cassation,	w1_d81e6229
und	w3_d81e6232
dem	w5_d81e6235
Befinden	w7_d81e6238
nach,	w9_d81e6241
Festungs	w11_d81e6244
straffe,	w1_d81e6249
sogleich	w3_d81e6252
baar	w5_d81e6255
anhero	w7_d81e6258
abzuliefern,	w9_d81e6261
und	w11_d81e6264
künftig	w1_d81e6269
alle	w3_d81e6272
Monat	w5_d81e6275
unausbleiblich,	w7_d81e6278
mit	w9_d81e6281
Bey	w11_d81e6284
fügung	w1_d81e6290
der	w3_d81e6293
gewöhnlichen	w5_d81e6296
Extracte,	w7_d81e6299
sofort	w9_d81e6302
nach	w11_d81e6305
Ablauf	w1_d81e6310
desselben,	w3_d81e6313
jedesmal	w5_d81e6316
baar	w7_d81e6319
einzusen	w9_d81e6322
den;	w1_d81e6327
an	w3_d81e6330
niemanden,	w5_d81e6333
wer	w7_d81e6336
es	w9_d81e6339
auch	w11_d81e6342
sey,	w13_d81e6346
oh	w15_d81e6349
ne	w1_d81e6354
allein	w3_d81e6357
an	w5_d81e6360
den	w7_d81e6363
alhier	w9_d81e6366
bestellten	w11_d81e6369
Königl.	w13_d81e6373
Preußischen	w1_d81e6379
Rendanten,	w3_d81e6382
gegen	w5_d81e6385
Quitung	w7_d81e6388
oder	w9_d81e6391
Assignation	w1_d81e6396
des	w3_d81e6399
General=kriegs=directorii,	w5_d81e6402
etwas	w1_d81e6407
zu	w3_d81e6410
bezahlen,	w5_d81e6413
und	w7_d81e6416
von	w9_d81e6419
nun	w11_d81e6422
an	w13_d81e6426
in	w15_d81e6429
Cas	w17_d81e6432
sen=sachen	w1_d81e6437
von	w3_d81e6440
niemanden,	w5_d81e6443
als	w7_d81e6446
nur	w9_d81e6449
allein	w11_d81e6452
von	w13_d81e6456
mehrgedachtem	w1_d81e6462
Kriegs=directorio,	w3_d81e6465
Verord	w5_d81e6468
nungen	w1_d81e6473
anzunehmen.	w3_d81e6476
</p>
<p id="p6_d81e6479">
Wie	w1_d81e6483
nun	w3_d81e6486
Höchst=gedachter	w5_d81e6489
seiner	w7_d81e6492
Königl.	w9_d81e6495
Majestät	w1_d81e6500
allergnädigste,	w3_d81e6503
zur	w5_d81e6506
allgemeinen	w7_d81e6509
Lan	w9_d81e6512
des=wolfart	w1_d81e6517
abzielende	w3_d81e6520
Jntention	w5_d81e6523
dahin	w7_d81e6526
ge	w9_d81e6529
het,	w1_d81e6535
daß	w3_d81e6538
in	w5_d81e6541
sämtlichen	w7_d81e6544
Chur=sächsischen	w9_d81e6547
Lan	w11_d81e6550
den,	w1_d81e6555
als	w3_d81e6558
welche	w5_d81e6561
declarirter=massen	w7_d81e6564
nur	w9_d81e6567
in	w11_d81e6570
Schutz	w1_d81e6575
und	w3_d81e6578
Verwahrung	w5_d81e6581
genommen	w7_d81e6584
werden,	w9_d81e6587
der	w1_d81e6592
Kriegs=Umstände	w3_d81e6595
halber	w5_d81e6598
kein	w7_d81e6601
Mensch	w9_d81e6604
mit	w1_d81e6610
neuen	w3_d81e6613
Abgaben	w5_d81e6616
beleget	w7_d81e6619
oder	w9_d81e6622
beschweret	w11_d81e6625
werde,	w1_d81e6630
in	w3_d81e6633
denen	w5_d81e6636
Städten	w7_d81e6639
und	w9_d81e6642
auf	w11_d81e6645
dem	w13_d81e6649
Land	w15_d81e6652
</p>
<p id="p12_d81e6666">
ein	w1_d81e6670
jeder	w3_d81e6673
seine	w5_d81e6676
Nahrung	w7_d81e6679
und	w9_d81e6682
Gewerbin	w11_d81e6685
Ruhe	w13_d81e6689
und	w1_d81e6694
Frieden	w3_d81e6697
ungehindert	w5_d81e6700
treiben,	w7_d81e6703
Messen	w9_d81e6706
und	w1_d81e6711
Jahr=märkte	w3_d81e6714
ihren	w5_d81e6717
ungehinderten	w7_d81e6720
Fort	w9_d81e6723
gang	w1_d81e6729
behalten	w3_d81e6732
können	w5_d81e6735
und	w7_d81e6738
sollen;	w9_d81e6741
zu	w11_d81e6744
welchem	w13_d81e6748
Ende	w1_d81e6753
denen	w3_d81e6756
auswärtigen	w5_d81e6759
Commercianten,	w7_d81e6762
welche	w1_d81e6767
die	w3_d81e6770
Leipziget	w5_d81e6773
und	w7_d81e6776
Naumburger	w9_d81e6779
Mes	w11_d81e6782
sen,	w1_d81e6787
ingleichen	w3_d81e6790
die	w5_d81e6793
Jahr=märkte	w7_d81e6796
in	w9_d81e6799
denen	w11_d81e6802
Chur=sächsischen	w1_d81e6808
Städten,	w3_d81e6811
zu	w5_d81e6814
besuchen	w7_d81e6817
pfle	w9_d81e6820
gen,	w1_d81e6825
zugleich	w3_d81e6828
hierdurch	w5_d81e6831
bekannt	w7_d81e6834
gemacht	w9_d81e6837
wird,	w11_d81e6840
daß	w1_d81e6845
hierzu	w3_d81e6848
ein	w5_d81e6851
sicheres	w7_d81e6854
Geleit	w9_d81e6857
gegeben	w11_d81e6860
wer	w13_d81e6864
de,	w1_d81e6869
und	w3_d81e6872
solcher	w5_d81e6875
gestalt	w7_d81e6878
jedermann	w9_d81e6881
im	w11_d81e6884
Stan	w13_d81e6888
de	w1_d81e6894
bleibet,	w3_d81e6897
die	w5_d81e6900
ihnen	w7_d81e6903
obligende	w9_d81e6906
Pflichten	w11_d81e6909
und	w13_d81e6913
Gaben	w1_d81e6918
richtig	w3_d81e6921
und	w5_d81e6924
prompt	w7_d81e6927
abzuführen:	w9_d81e6930
als	w11_d81e6933
wird	w1_d81e6938
ein	w3_d81e6941
jeder	w5_d81e6944
hierunter	w7_d81e6947
zu	w9_d81e6950
seiner	w11_d81e6953
Schuldig	w13_d81e6957
keit	w1_d81e6962
ernstlich	w3_d81e6965
und	w5_d81e6968
nachdrücklich	w7_d81e6971
angewiesen;	w9_d81e6974
und	w1_d81e6980
werden	w3_d81e6983
die	w5_d81e6986
Säumigen	w7_d81e6989
sich	w9_d81e6992
selbsten	w11_d81e6995
bey	w13_d81e6999
zumessen	w1_d81e7004
haben,	w3_d81e7007
wann	w5_d81e7010
die	w7_d81e7013
Schärfe	w9_d81e7016
gegen	w11_d81e7019
sie	w13_d81e7023
gebrauchet	w1_d81e7028
werden	w3_d81e7031
muß.	w5_d81e7034
Wobey	w7_d81e7037
Namens	w9_d81e7040
Sr.	w1_d81e7045
Königl.	w3_d81e7048
Majestät	w5_d81e7051
in	w7_d81e7054
Preussen,	w9_d81e7057
allen	w11_d81e7060
und	w13_d81e7064
jeden,	w1_d81e7070
wes	w3_d81e7073
Standes	w5_d81e7076
sie	w7_d81e7079
seyen,	w9_d81e7082
bey	w11_d81e7085
unausbleib	w13_d81e7089
lich	w1_d81e7094
allerschweresten	w3_d81e7097
Straffe	w5_d81e7100
alle	w7_d81e7103
Corespon	w9_d81e7106
denz	w1_d81e7111
mit	w3_d81e7114
denen	w5_d81e7117
Feinden	w7_d81e7120
Höchst=gedachter	w9_d81e7123
Sr.	w11_d81e7126
Königl.	w1_d81e7131
Majestät	w3_d81e7134
und	w5_d81e7137
allen	w7_d81e7140
denenjenigen,	w9_d81e7143
welche	w1_d81e7149
mit	w3_d81e7152
Deroselben	w5_d81e7155
Feinden	w7_d81e7158
die	w9_d81e7161
allerge	w11_d81e7164
ringste	w1_d81e7169
Connexion	w3_d81e7172
haben,	w5_d81e7175
auf	w7_d81e7178
das	w9_d81e7181
allerernst	w11_d81e7184
lichste	w1_d81e7189
hiemit	w3_d81e7192
verbotten	w5_d81e7195
wird.	w7_d81e7198
</p>
<p id="p14_d81e7201">
Damit	w1_d81e7205
auch	w3_d81e7208
solches	w5_d81e7211
alles	w7_d81e7214
zu	w9_d81e7217
jeder	w11_d81e7220
manns	w1_d81e7225
Wissenschaft	w3_d81e7228
gelange,	w5_d81e7231
so	w7_d81e7234
soll	w9_d81e7237
dieses	w11_d81e7240
Proclama	w1_d81e7245
in	w3_d81e7248
denen	w5_d81e7251
Städten	w7_d81e7254
und	w9_d81e7257
Dörfern,	w11_d81e7260
und	w1_d81e7266
wo	w3_d81e7269
es	w5_d81e7272
sonst	w7_d81e7275
gebräuchlich	w9_d81e7278
ist,	w11_d81e7281
überall	w13_d81e7285
of	w15_d81e7288
fentlich	w1_d81e7293
angeschlagen,	w3_d81e7296
und,	w5_d81e7299
dem	w7_d81e7302
Befinden	w9_d81e7305
nach,	w11_d81e7308
von	w1_d81e7313
denen	w3_d81e7316
Kanzeln	w5_d81e7319
publiciret	w7_d81e7322
werden.	w9_d81e7325
Ge	w11_d81e7328
geben,	w1_d81e7333
zu	w3_d81e7336
Torgau,	w5_d81e7339
den	w7_d81e7342
14	w9_d81e7345
Sept.	w11_d81e7348
176.	w13_d81e7352
</p>
<p id="p18_d81e7388">
Namens	w1_d81e7392
Sr.	w3_d81e7395
Königl.	w5_d81e7398
Majestät	w7_d81e7401
in	w9_d81e7404
Preussen,	w11_d81e7407
