<doc id="edoc_wd_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="1">
<head id="hl1">
Neu	w40
bedacht	w373
<g/>
.
Jhr	w375
Haupt	w376
<g/>
=
anführer	w378
ist	w379
jetzt	w380
der	w381
Groß=krieger	w382
<g/>
=
Cunnasteta	w384
<g/>
,
und	w386
sie	w387
verfolgen	w388
den	w389
Attakulla	w390
<g/>
,
weil	w392
er	w393
auf	w394
der	w395
Engländer	w396
Sei=te	w397
<g/>
=
ist	w399
<g/>
.
Die	w401
Crecks	w402
hingegen	w403
<g/>
,
sowol	w405
von	w406
der	w407
obern	w408
als	w409
untern	w410
Nation	w411
<g/>
,
haben	w413
sich	w414
zum	w415
Zweck	w416
gelegt	w417
<g/>
,
und	w419
ihre	w420
Haupt	w421
<g/>
=
leute	w423
haben	w424
den	w425
Engländischen	w426
Gouverneur	w427
in	w428
Georgien	w429
<g/>
,
Herrn	w431
Ellis	w432
<g/>
,
feyerlich	w434
ersuchet	w435
<g/>
,
das	w437
Vergangene	w438
zu	w439
vergessen	w440
<g/>
,
und	w442
in	w443
Freund=schaft	w444
<g/>
=
mit	w446
ihnen	w447
zu	w448
tretten	w449
<g/>
.
Man	w451
lieset	w452
in	w453
ihrer	w454
Anrede	w455
unter	w456
andern	w457
folgende	w458
Aus=drücke	w459
<g/>
=
<g/>
:
<g/>
„
Ungeachtet	w463
unsere	w464
alten	w465
verstän=digen	w466
<g/>
=
Leute	w468
nun	w469
todt	w470
sind	w471
<g/>
,
so	w473
haben	w474
wir	w475
<g/>
,
die	w477
wir	w478
nicht	w479
so	w480
weise	w481
sind	w482
<g/>
,
uns	w484
doch	w485
allhier	w486
versammelt	w487
<g/>
,
Ruhe	w489
nndund	w490
Friede	w491
mit	w492
den	w493
En=gländern	w494
<g/>
=
zu	w496
begehren	w497
<g/>
.
Es	w499
soll	w500
nichts	w501
ver=mögend	w502
<g/>
=
seyn	w504
<g/>
,
uns	w506
euch	w507
zu	w508
widersetzen	w509
<g/>
,
so	w511
lange	w512
als	w513
die	w514
Sonne	w515
scheinet	w516
<g/>
,
und	w518
der	w519
Herr	w520
unsers	w521
Athems	w522
über	w523
uns	w524
ist	w525
<g/>
.
Unsere	w527
Haupt	w528
<g/>
=
leute	w530
haben	w531
keine	w532
Hand	w533
bey	w534
den	w535
ge=habt	w536
<g/>
=
<g/>
,
was	w539
einige	w540
unserer	w541
jungen	w542
Unsinnigen	w543
gethan	w544
haben	w545
<g/>
,
und	w547
ihr	w548
werdet	w549
nicht	w550
um	w551
ei=niger	w552
<g/>
=
wenigen	w554
Rasenden	w555
unsere	w556
ganze	w557
Na=tion	w558
<g/>
=
verwerfen	w560
ꝛc	w561
<g/>
.
</p>
<head id="hl3">
Verfolg	w563
von	w564
der	w565
Königl	w566
<g/>
.
Französi=schen	w568
<g/>
=
Armee	w570
unter	w571
dem	w572
Hrn	w573
<g/>
.
Mar=schall	w575
<g/>
=
Herzogen	w577
von	w578
Broglie	w579
vom	w580
27	w581
<g/>
.
bis	w583
3	w584
<g/>
.
Sept	w586
<g/>
.
</head>
<p id="p7">
Die	w588
letzteren	w589
Täge	w590
des	w591
August	w592
<g/>
=
monats	w594
waren	w595
in	w596
keinerley	w597
Stück	w598
merkwürdig	w599
<g/>
,
we=der	w601
<g/>
=
bey	w603
uns	w604
noch	w605
den	w606
Reserven	w607
gienge	w608
in	w609
der	w610
Stellung	w611
eine	w612
Veränderung	w613
vor	w614
<g/>
;
auch	w616
die	w617
Feinde	w618
verblieben	w619
in	w620
ihrer	w621
Position	w622
<g/>
,
seitdeme	w624
sie	w625
ihr	w626
Lager	w627
bey	w628
Brüne	w629
verlassen	w630
<g/>
,
und	w632
auf	w633
die	w634
Höhen	w635
bey	w636
Warburg	w637
geschla=gen	w638
<g/>
=
haben	w640
<g/>
.
Den	w642
2	w643
<g/>
.
wurde	w645
eine	w646
GeneralGeneralfouragirung	w647
<g/>
=
</p>
<p id="p8">
fouragirung	w649
einen	w650
Stuck	w651
<g/>
=
schuß	w653
weit	w654
von	w655
dem	w656
feindichen	w657
Lager	w658
vollbracht	w659
<g/>
;
Se	w661
<g/>
.
Kö=nigl	w663
<g/>
=
<g/>
.
Hoheit	w666
der	w667
Prinz	w668
von	w669
Conde	w670
führte	w671
solche	w672
mit	w673
den	w674
Grenadiers	w675
<g/>
=
und	w677
Jäger	w678
<g/>
=
ba=taillons	w680
<g/>
=
aus	w682
<g/>
,
und	w684
ware	w685
mit	w686
24	w687
<g/>
.
Compa=gnien	w689
<g/>
=
Grenadiers	w691
von	w692
Frankreich	w693
<g/>
,
nebst	w695
den	w696
Königl	w697
<g/>
.
Grenadiers	w699
<g/>
,
800	w701
<g/>
.
Reitern	w703
<g/>
,
300	w705
<g/>
.
leichten	w707
Reitern	w708
<g/>
,
und	w710
600	w711
<g/>
.
Mann	w713
Pi=queter	w714
<g/>
=
zu	w716
Fuß	w717
unterstützet	w718
<g/>
.
Der	w720
rechte	w721
Flü=gel	w722
<g/>
=
des	w724
Fourage	w725
<g/>
=
zugs	w727
stunde	w728
an	w729
der	w730
Spitze	w731
des	w732
Waldes	w733
unter	w734
Büne	w735
<g/>
,
der	w737
linke	w738
aber	w739
stieß	w740
auf	w741
die	w742
Eingänge	w743
von	w744
Liebenau	w745
<g/>
,
und	w747
bedeckte	w748
die	w749
Weege	w750
von	w751
Nieder	w752
<g/>
=
meissen	w754
<g/>
.
Die	w756
Feinde	w757
machten	w758
gegen	w759
den	w760
rechten	w761
Flü=gel	w762
<g/>
=
gar	w764
keine	w765
Bewegung	w766
<g/>
,
um	w768
2	w769
<g/>
.
Uhr	w771
Nach=mittags	w772
<g/>
=
aber	w774
ruckten	w775
aus	w776
dem	w777
Walde	w778
un=ter	w779
<g/>
=
Geismar	w781
800	w782
<g/>
.
Reiter	w784
nebst	w785
vielem	w786
Fuß=volk	w787
<g/>
=
und	w789
Canonen	w790
gegen	w791
uns	w792
in	w793
die	w794
Ebene	w795
in	w796
der	w797
schönsten	w798
Ordnung	w799
an	w800
<g/>
.
Der	w802
Herr	w803
Graf	w804
von	w805
Schomberg	w806
setzte	w807
sich	w808
gegen	w809
sel=bige	w810
<g/>
=
mit	w812
dem	w813
Herrn	w814
Ritter	w815
Jaucourt	w816
in	w817
Mar=sche	w818
<g/>
=
<g/>
,
und	w821
nöhtigte	w822
sie	w823
zum	w824
Rückzug	w825
bis	w826
nach	w827
dem	w828
Wald	w829
<g/>
,
woher	w831
sie	w832
kamen	w833
<g/>
.
Einige	w835
zu	w836
rechter	w837
Zeit	w838
angebrachte	w839
Canonen	w840
<g/>
=
schüsse	w842
thaten	w843
hier	w844
vortrefliche	w845
Würkung	w846
<g/>
.
Die	w848
Vor	w849
<g/>
=
wachten	w851
scharmutzirten	w852
den	w853
übrigen	w854
Tag	w855
mit	w856
einander	w857
<g/>
,
und	w859
der	w860
Feind	w861
hinderte	w862
uns	w863
nicht	w864
im	w865
mindesten	w866
die	w867
General	w868
<g/>
=
foura=girung	w870
<g/>
=
glücklich	w872
zu	w873
vollbringen	w874
<g/>
.
</p>
<head id="hl4">
Jmmenhausen	w876
6	w877
<g/>
.
Sept	w879
<g/>
.
</head>
<p id="p9">
Den	w881
2	w882
<g/>
.
dieses	w884
giengen	w885
der	w886
Herr	w887
Mar=schall	w888
<g/>
=
durch	w890
Cassel	w891
zu	w892
der	w893
Reserve	w894
des	w895
Herrn	w896
Grafens	w897
von	w898
der	w899
Lausitz	w900
<g/>
;
heute	w902
früh	w903
kamen	w904
sie	w905
wieder	w906
zurück	w907
<g/>
.
Gestern	w909
brachte	w910
man	w911
zu	w912
Cassel	w913
die	w914
Quartiere	w915
für	w916
das	w917
Haupt	w918
<g/>
=
quar=tier	w920
<g/>
=
des	w922
du	w923
Muyschen	w924
Corps	w925
in	w926
Ordnung	w927
<g/>
;
man	w929
vermutet	w930
also	w931
<g/>
,
daß	w933
diese	w934
Reserve	w935
bald	w936
das	w937
verschanzte	w938
Lager	w939
bey	w940
Cassel	w941
besetzen	w942
werde	w943
<g/>
.
Die	w945
Brigade	w946
von	w947
Vaubecourt	w948
<g/>
,
die	w950
seit	w951
dem	w952
1	w953
<g/>
.
hier	w955
stehet	w956
<g/>
,
arbeitet	w958
mit	w959
allem	w960
Eifer	w961
an	w962
denen	w963
Schanzen	w964
der	w965
Neustadt	w966
<g/>
.
</p>
<p id="p10">
Vorgestern	w968
langte	w969
der	w970
Herr	w971
Marschall	w972
</p>
<p id="p11">
wiederum	w975
in	w976
alhiesigem	w977
Haupt	w978
<g/>
=
quartier	w980
an	w981
<g/>
.
Gestern	w983
ware	w984
eine	w985
Fouragirung	w986
in	w987
den	w988
Ge=genden	w989
<g/>
=
Geismar	w991
und	w992
Humme	w993
bestimmt	w994
<g/>
,
da	w996
aber	w997
die	w998
Feinde	w999
solche	w1000
Absicht	w1001
vermuteten	w1002
<g/>
,
so	w1004
gienge	w1005
ein	w1006
Corps	w1007
von	w1008
etwann	w1009
12000	w1010
<g/>
.
Mann	w1012
über	w1013
die	w1014
Dimel	w1015
<g/>
,
und	w1017
besetzte	w1018
die	w1019
Wal=dungen	w1020
<g/>
=
und	w1022
die	w1023
Anhöhen	w1024
von	w1025
diesen	w1026
Ort=schaften	w1027
<g/>
=
<g/>
,
und	w1030
vermüßigte	w1031
uns	w1032
folglich	w1033
an=derswo	w1034
<g/>
=
die	w1036
Fouragirung	w1037
vorzunehmen	w1038
<g/>
;
übri=gens	w1040
<g/>
=
ist	w1042
noch	w1043
alles	w1044
in	w1045
voriger	w1046
Stellung	w1047
<g/>
.
</p>
<head id="hl5">
Aus	w1049
Hinterpommern	w1050
28	w1051
<g/>
.
Aug	w1053
<g/>
.
</head>
<p id="p12">
Die	w1055
Russen	w1056
sind	w1057
nun	w1058
auf	w1059
einmal	w1060
vor	w1061
Col=berg	w1062
<g/>
=
erschienen	w1064
<g/>
,
und	w1066
haben	w1067
mit	w1068
einem	w1069
Corps	w1070
vom	w1071
5	w1072
<g/>
.
bis	w1074
6000	w1075
<g/>
.
Mann	w1077
die	w1078
Belagerung	w1079
dieser	w1080
Stadt	w1081
zu	w1082
Lande	w1083
vorgenommen	w1084
<g/>
,
so	w1086
wie	w1087
solche	w1088
auch	w1089
durch	w1090
die	w1091
vereinigte	w1092
Rußi=sche	w1093
<g/>
=
und	w1095
Schwedische	w1096
Flotte	w1097
von	w1098
der	w1099
Wasser=seite	w1100
<g/>
=
geschiehet	w1102
<g/>
.
Der	w1104
dortige	w1105
Commandant	w1106
<g/>
,
der	w1108
GenenaralGeneral	w1109
<g/>
=
major	w1111
von	w1112
Heyden	w1113
<g/>
,
welcher	w1115
schon	w1116
bey	w1117
der	w1118
letzten	w1119
Belagerung	w1120
als	w1121
Major	w1122
die	w1123
Befehl	w1124
haberschaft	w1125
in	w1126
dem	w1127
Platze	w1128
führte	w1129
und	w1130
denselben	w1131
bekanntlich	w1132
mit	w1133
so	w1134
vielem	w1135
Ruhme	w1136
behauptete	w1137
<g/>
,
hat	w1139
diesmal	w1140
zu	w1141
einer	w1142
nicht	w1143
minder	w1144
stattlichen	w1145
Gegenwehr	w1146
alle	w1147
An=stalten	w1148
<g/>
=
vorgekehrt	w1150
<g/>
.
Die	w1152
Schweden	w1153
stehen	w1154
noch	w1155
in	w1156
der	w1157
Gegend	w1158
von	w1159
Pasewalk	w1160
<g/>
.
Am	w1162
27	w1163
<g/>
.
des	w1165
vorigen	w1166
Monats	w1167
ist	w1168
an	w1169
der	w1170
Meck=lenburgischen	w1171
<g/>
=
Gränze	w1173
ein	w1174
Scharmützel	w1175
vor=gefallen	w1176
<g/>
=
<g/>
,
wobey	w1179
die	w1180
Preußische	w1181
<g/>
=
trupen	w1183
durch	w1184
die	w1185
Schweden	w1186
mit	w1187
einigem	w1188
Verluste	w1189
aus	w1190
einem	w1191
Passe	w1192
vertrieben	w1193
worden	w1194
<g/>
.
</p>
<head id="hl6">
Salzburg	w1196
9	w1197
<g/>
.
Sept	w1199
<g/>
.
</head>
<p id="p13">
Den	w1201
7	w1202
<g/>
.
dies	w1204
hat	w1205
der	w1206
junge	w1207
Reichs	w1208
<g/>
=
graf	w1210
Vincentius	w1211
von	w1212
Schrattenbach	w1213
<g/>
,
aus	w1215
dem	w1216
Hoch	w1217
<g/>
=
adelichen	w1219
Theresianischen	w1220
Collegio	w1221
zu	w1222
Wien	w1223
<g/>
,
Logices	w1225
<g/>
,
Methaphysices	w1227
und	w1228
Ma-theseos	w1229
<g/>
-
Auditor	w1231
in	w1232
dem	w1233
sogenannten	w1234
Kaiser=saal	w1235
<g/>
=
der	w1237
Hochfürstl	w1238
<g/>
.
Residenz	w1240
<g/>
,
und	w1242
zwar	w1243
in	w1244
höchster	w1245
Gegenwar	w1246
Sr	w1247
<g/>
.
Hochfürstlichen	w1249
Gnaden	w1250
unseres	w1251
gnädigsten	w1252
Landes	w1253
<g/>
=
fürsten	w1255
ꝛc	w1256
<g/>
.
ꝛc	w1258
<g/>
.
wie	w1260
auch	w1261
in	w1262
Beyseyn	w1263
des	w1264
alhiesigen	w1265
hoch	w1266
<g/>
=
berühmt	w1268
<g/>
=
Hoch	w1270
<g/>
=
würdigen	w1272
hohen	w1273
Dom=capitel	w1274
<g/>
=
<g/>
,
und	w1277
ganzer	w1278
Hof	w1279
<g/>
=
staat	w1281
<g/>
,
desgleidesgleichen	w1283
<g/>
=
</p>
<p id="p14">
chen	w1285
in	w1286
Anwesenheit	w1287
alhiesig	w1288
Hoch	w1289
<g/>
=
fürstl	w1291
<g/>
.
Welt	w1293
berühmten	w1294
Universität	w1295
<g/>
,
Theses	w1297
ex	w1298
Ma-thesi	w1299
<g/>
-
<g/>
,
und	w1302
zwar	w1303
aus	w1304
der	w1305
Geometria	w1306
sublimi-ori	w1307
<g/>
-
<g/>
,
Mechanica	w1310
<g/>
,
Hydrostatica	w1312
<g/>
,
Aerometria	w1314
<g/>
,
Hydraulica	w1316
<g/>
,
Optica	w1318
<g/>
,
Catoptrica	w1320
<g/>
,
Dioptrica	w1322
<g/>
,
mit	w1324
so	w1325
ausnehmender	w1326
Geschicklichkeit	w1327
und	w1328
ganz	w1329
besondern	w1330
Fertigkeit	w1331
sine	w1332
PræsidePraeside	w1333
defen=diret	w1334
<g/>
=
<g/>
;
daß	w1337
nicht	w1338
nur	w1339
allein	w1340
Höchst	w1341
<g/>
=
bemeldt	w1343
Se	w1344
<g/>
.
Hoch	w1346
<g/>
=
fürstl	w1348
<g/>
.
Gnaden	w1350
ꝛc	w1351
<g/>
.
ꝛc	w1353
<g/>
.
wegen	w1355
vollkommener	w1356
Apprabation	w1357
und	w1358
Applausu	w1359
der	w1360
wolgedacht	w1361
Hoch	w1362
<g/>
=
löbl	w1364
<g/>
.
Universität	w1366
in	w1367
ein	w1368
ganz	w1369
ungemein	w1370
<g/>
,
und	w1372
entzückendes	w1373
Ver=gnügen	w1374
<g/>
=
<g/>
,
sondern	w1377
auch	w1378
alle	w1379
hoch	w1380
und	w1381
niedere	w1382
Anwesende	w1383
durch	w1384
die	w1385
allenthalben	w1386
bindigsten	w1387
Beantwortungen	w1388
des	w1389
hochgedachten	w1390
jungen	w1391
Herrn	w1392
Reichs	w1393
<g/>
=
grafen	w1395
in	w1396
gröste	w1397
Verwunde=rung	w1398
<g/>
=
gesetzet	w1400
worden	w1401
<g/>
.
</p>
<head id="hl7">
Parma	w1403
8	w1404
<g/>
.
Sept	w1406
<g/>
.
</head>
<p id="p15">
Nachdeme	w1408
von	w1409
dem	w1410
Kaiserl	w1411
<g/>
.
Hof	w1413
dem	w1414
Für=sten	w1415
<g/>
=
von	w1417
Liechtenstein	w1418
die	w1419
drey	w1420
so	w1421
ansehnliche	w1422
Aufträge	w1423
geschehen	w1424
<g/>
:
</p>
<p id="p16">
Erstens	w1426
Jhre	w1427
Königl	w1428
<g/>
.
Hoheit	w1430
die	w1431
Jnfan=tin	w1432
<g/>
=
Jsabella	w1434
als	w1435
eine	w1436
Braut	w1437
für	w1438
Se	w1439
<g/>
.
Königl	w1441
<g/>
.
Hoheit	w1443
den	w1444
Erz	w1445
<g/>
=
herzog	w1447
Joseph	w1448
anzubegehren	w1449
<g/>
.
</p>
<p id="p17">
Andertens	w1451
Höchst	w1452
<g/>
=
dieselbe	w1454
nach	w1455
erlang=ter	w1456
<g/>
=
Päpstl	w1458
<g/>
,
Dispens	w1460
wegen	w1461
der	w1462
Befreund=schaft	w1463
<g/>
=
im	w1465
vierten	w1466
Grad	w1467
im	w1468
Namen	w1469
Sr	w1470
<g/>
.
Kö=nigl	w1472
<g/>
=
<g/>
.
Hoheit	w1475
des	w1476
Erz	w1477
<g/>
=
herzogens	w1479
tam	w1480
ritui	w1481
der	w1482
Catholischen	w1483
Kirchen	w1484
gemäß	w1485
zu	w1486
dispen=siren	w1487
<g/>
=
<g/>
,
nach	w1490
der	w1491
Hand	w1492
aber	w1493
</p>
<p id="p18">
Drittens	w1494
Jhre	w1495
Königl	w1496
<g/>
.
Hoheit	w1498
die	w1499
Jn=fantin	w1500
<g/>
=
zu	w1502
Castel	w1503
<g/>
=
maggiore	w1505
als	w1506
bevollmäch=tigter	w1507
<g/>
=
Commissarius	w1509
zu	w1510
übernehmen	w1511
<g/>
,
und	w1513
sie	w1514
bis	w1515
nach	w1516
der	w1517
Kaiserl	w1518
<g/>
.
Hof	w1520
<g/>
=
stadt	w1522
zu	w1523
be=gleiten	w1524
<g/>
=
<g/>
.
So	w1527
seynd	w1528
Se	w1529
<g/>
.
Gnaden	w1531
der	w1532
Fürst	w1533
den	w1534
2	w1535
<g/>
.
Sept	w1537
zu	w1538
Parma	w1539
incognito	w1540
angelan=get	w1541
<g/>
=
<g/>
,
und	w1544
in	w1545
dem	w1546
eigends	w1547
darzu	w1548
bereiteten	w1549
Pallast	w1550
des	w1551
Marchise	w1552
Pallavicini	w1553
abgestie=gen	w1554
<g/>
=
<g/>
;
bald	w1557
darauf	w1558
aber	w1559
einen	w1560
deren	w1561
Edel=leuten	w1562
<g/>
=
seines	w1564
Gefolgs	w1565
an	w1566
den	w1567
Staats	w1568
<g/>
=
secre=tair	w1570
<g/>
=
Mr	w1572
<g/>
.
du	w1574
Fillott	w1575
abgeschicket	w1576
<g/>
,
um	w1578
ihme	w1579
seine	w1580
Ankunft	w1581
anzukünden	w1582
<g/>
;
dieser	w1584
hat	w1585
sich	w1586
</p>
<p id="p19">
zu	w1588
dem	w1589
Fürsten	w1590
verfüget	w1591
<g/>
,
um	w1593
sich	w1594
über	w1595
sei=ne	w1596
<g/>
=
Ankunft	w1598
zu	w1599
erfreuen	w1600
<g/>
,
auch	w1602
über	w1603
sich	w1604
ge=nommen	w1605
<g/>
=
<g/>
,
ihn	w1608
bey	w1609
Sr	w1610
<g/>
.
Königl	w1612
<g/>
.
Hoheit	w1614
dem	w1615
Jnfanten	w1616
zur	w1617
Audienz	w1618
anzumelden	w1619
<g/>
,
welche	w1621
auch	w1622
bald	w1623
darauf	w1624
erfolget	w1625
ist	w1626
<g/>
,
und	w1628
darbey	w1629
ein	w1630
besonders	w1631
Ceremoniel	w1632
beobachtet	w1633
worden	w1634
<g/>
.
</p>
<p id="p20">
Dahingegen	w1636
ist	w1637
den	w1638
3	w1639
<g/>
.
die	w1641
offentliche	w1642
Au=dienz	w1643
<g/>
=
des	w1645
Fürstens	w1646
zur	w1647
Anwerbung	w1648
der	w1649
Durchl	w1650
<g/>
.
Braut	w1652
mit	w1653
dem	w1654
grösten	w1655
Pracht	w1656
und	w1657
Ansehen	w1658
von	w1659
Seiten	w1660
Sr	w1661
<g/>
.
Fürstl	w1663
<g/>
.
Gnaden	w1665
vollzogen	w1666
<g/>
.
worden	w1668
<g/>
,
gleichwie	w1670
anderer	w1671
Seits	w1672
hiesigen	w1673
Ho=fes	w1674
<g/>
=
an	w1676
nichts	w1677
hat	w1678
erwinden	w1679
lassen	w1680
<g/>
,
um	w1682
diese	w1683
solemne	w1684
Function	w1685
zu	w1686
beehren	w1687
<g/>
,
wie	w1689
dann	w1690
die	w1691
Wachten	w1692
das	w1693
Spiel	w1694
gerühret	w1695
<g/>
,
das	w1697
Gewehr	w1698
präsentiret	w1699
<g/>
,
und	w1701
während	w1702
der	w1703
Audienz	w1704
40	w1705
<g/>
.
Canon	w1707
<g/>
=
schüsse	w1709
von	w1710
der	w1711
Festung	w1712
geschehen	w1713
<g/>
.
</p>
<p id="p21">
Zu	w1715
Empfang	w1716
des	w1717
Fürstens	w1718
hat	w1719
der	w1720
Hof	w1721
<g/>
,
nebst	w1723
dem	w1724
Jntroducteur	w1725
der	w1726
Ambassadeurs	w1727
den	w1728
Marchisen	w1729
Roma	w1730
Pallavicini	w1731
<g/>
,
mit	w1733
etli=chen	w1734
<g/>
=
mit	w1736
8	w1737
<g/>
.
Pferden	w1739
bespannten	w1740
Hof	w1741
<g/>
=
wä=gen	w1743
<g/>
=
abgeschicket	w1745
<g/>
.
Die	w1747
Auffahrt	w1748
hat	w1749
besag=ter	w1750
<g/>
=
Jntroducteur	w1752
mit	w1753
einem	w1754
Hof	w1755
<g/>
=
wagen	w1757
er=öfnet	w1758
<g/>
=
<g/>
,
worauf	w1761
des	w1762
Fürstens	w1763
von	w1764
Liechten=stein	w1765
<g/>
=
Livree	w1767
gefolget	w1768
<g/>
,
als	w1770
<g/>
:
Zwey	w1772
Thor=steher	w1773
<g/>
=
zu	w1775
Pferd	w1776
<g/>
,
6	w1778
<g/>
.
Lauffer	w1780
<g/>
,
24	w1782
<g/>
.
Livree=bediente	w1784
<g/>
=
<g/>
,
2	w1787
<g/>
.
Büchsen	w1789
<g/>
=
spanner	w1791
<g/>
,
und	w1793
6	w1794
<g/>
.
Heyducken	w1796
<g/>
.
Die	w1798
Livree	w1799
ware	w1800
sehr	w1801
prächtig	w1802
von	w1803
dem	w1804
schönsten	w1805
roten	w1806
Scharlach	w1807
<g/>
,
mit	w1809
durchbrochenen	w1810
goldenen	w1811
Borten	w1812
und	w1813
etwas	w1814
blauen	w1815
Sammet	w1816
fast	w1817
gänzlich	w1818
bedecket	w1819
<g/>
,
gleich	w1821
wie	w1822
die	w1823
blauen	w1824
Besten	w1825
eben	w1826
mit	w1827
Gold	w1828
darauf	w1829
galoniret	w1830
waren	w1831
<g/>
.
</p>
<p id="p22">
Der	w1833
Livree	w1834
folgte	w1835
der	w1836
Fürstl	w1837
<g/>
.
Stall	w1839
<g/>
=
mei=ster	w1841
<g/>
=
mit	w1843
12	w1844
<g/>
.
Hand	w1846
<g/>
=
pferden	w1848
<g/>
,
welche	w1850
den	w1851
Zug	w1852
ungemein	w1853
gezieret	w1854
haben	w1855
<g/>
,
weilen	w1857
nichts	w1858
so	w1859
schönes	w1860
als	w1861
der	w1862
Pferd	w1863
<g/>
=
aufputz	w1865
und	w1866
Haud=decken	w1867
<g/>
=
zu	w1869
sehen	w1870
ware	w1871
<g/>
.
</p>
<p id="p23">
Der	w1873
Obrist	w1874
<g/>
=
wachtmeister	w1876
Tomaggoli	w1877
