<doc id="wr_1757-12-21" attrs="word" year="1757" month="12" day="21" corpus="2">
<head id="h2_d204e2824">
Burtehude,	w1_d204e2828
der	w5_d204e3989
Seite	w7_d204e3992
nach	w9_d204e3995
Lauenbreck	w11_d204e3998
ha	w13_d204e4002
ben	w1_d204e4007
die	w3_d204e4010
Franzosen	w5_d204e4013
noch	w7_d204e4016
in	w9_d204e4019
der	w11_d204e4022
Morgen=stunde	w13_d204e4026
bis	w1_d204e4032
gestern	w3_d204e4035
fouragiret.	w5_d204e4038
Seit	w7_d204e4041
diesem	w9_d204e4044
Mor	w11_d204e4047
gen	w1_d204e4052
aber	w3_d204e4055
canoniren	w5_d204e4058
die	w7_d204e4061
Hannoverauer	w9_d204e4064
von	w11_d204e4067
dem	w1_d204e4072
schwarzen	w3_d204e4075
Berge	w5_d204e4078
dahin	w7_d204e4081
Unter	w9_d204e4084
der	w11_d204e4087
Stadt,	w1_d204e4092
der	w3_d204e4095
Schleuse	w5_d204e4098
gegen	w7_d204e4101
über,	w9_d204e4104
haben	w11_d204e4107
di	w13_d204e4111
Hannoveraner	w1_d204e4117
eine	w3_d204e4120
ansehnliche	w5_d204e4123
Barterte.	w7_d204e4126
Es	w9_d204e4129
ist	w1_d204e4134
aber	w3_d204e4137
noch	w5_d204e4140
nicht	w7_d204e4143
davon	w9_d204e4146
gefeuret	w11_d204e4149
worden,	w13_d204e4153
damit	w1_d204e4158
die	w3_d204e4161
Feinde	w5_d204e4164
keine	w7_d204e4167
Ursache	w9_d204e4170
haben,	w11_d204e4173
auf	w13_d204e4177
die	w1_d204e4182
Stadt	w3_d204e4185
zu	w5_d204e4188
schießen,	w7_d204e4191
indem	w9_d204e4194
der	w11_d204e4197
Herr	w13_d204e4201
von	w15_d204e4204
Perreus.	w1_d204e4210
erkläret	w3_d204e4213
hat:	w5_d204e4216
Wie	w7_d204e4219
er	w9_d204e4222
Kriegsge	w11_d204e4225
brauch	w1_d204e4230
wüste,	w3_d204e4233
und	w5_d204e4236
von	w7_d204e4239
keiner	w9_d204e4242
Seite	w11_d204e4245
sich	w13_d204e4249
ver	w15_d204e4252
theidigen	w1_d204e4257
dürfte,	w3_d204e4260
von	w5_d204e4263
welcher	w7_d204e4266
er	w9_d204e4269
nicht	w11_d204e4272
ange	w13_d204e4276
griffen	w1_d204e4281
würde.	w3_d204e4284
Der	w5_d204e4287
Adjutant	w7_d204e4290
dieses	w9_d204e4293
Herrn	w11_d204e4296
ist	w1_d204e4302
mit	w3_d204e4305
wichtigen	w5_d204e4308
Depeschen	w7_d204e4311
an	w9_d204e4314
den	w11_d204e4317
Herzog	w13_d204e4321
von	w1_d204e4326
Richelieu	w3_d204e4329
denen	w5_d204e4332
Hannoveranern	w7_d204e4335
in	w9_d204e4338
die	w11_d204e4341
Hän	w13_d204e4345
de	w1_d204e4350
gefallen.	w3_d204e4353
</p>
<p id="p10_d204e4356">
Die	w1_d204e4360
alliirte	w3_d204e4363
Armee	w5_d204e4366
ist	w7_d204e4369
den	w9_d204e4372
3ten	w11_d204e4375
dieses	w13_d204e4379
bis	w15_d204e4382
Zahrendorf,	w1_d204e4387
woselbst	w3_d204e4390
das	w5_d204e4393
Haupt=quartier	w7_d204e4396
gewesen,	w1_d204e4401
gerücket,	w3_d204e4404
und	w5_d204e4407
hat	w7_d204e4410
gestern,	w9_d204e4413
als	w11_d204e4416
den	w13_d204e4420
4ten,	w1_d204e4426
zu	w3_d204e4429
Amelienhausen	w5_d204e4432
seyn	w7_d204e4435
sollen,	w9_d204e4438
da	w11_d204e4441
sie	w13_d204e4445
die	w1_d204e4450
Nachricht	w3_d204e4453
von	w5_d204e4456
dem	w7_d204e4459
Zurück=zuge	w9_d204e4462
des	w11_d204e4465
Her	w13_d204e4469
zogs	w1_d204e4474
von	w3_d204e4477
Richelieu	w5_d204e4480
erhalten.	w7_d204e4483
Eine	w9_d204e4486
sichere	w11_d204e4489
Depesche	w1_d204e4494
bringet	w3_d204e4497
diesen	w5_d204e4500
Morgen	w7_d204e4503
die	w9_d204e4506
Nach	w11_d204e4509
richten	w1_d204e4515
mit:	w3_d204e4518
"Daß	w5_d204e4521
die	w7_d204e4524
Französische	w9_d204e4527
Arme	w11_d204e4530
„	w1_d204e4535
am	w3_d204e4538
1sten	w5_d204e4541
dieses	w7_d204e4544
Winsen	w9_d204e4547
und	w11_d204e4550
die	w13_d204e4554
Hoper	w15_d204e4557
„	w1_d204e4562
schanze	w3_d204e4565
verlassen	w5_d204e4568
hatte,	w7_d204e4571
und	w9_d204e4574
die	w11_d204e4577
vorgerück	w13_d204e4581
„te	w1_d204e4586
Trupen	w3_d204e4589
beordert	w5_d204e4592
wären,	w7_d204e4595
sich	w9_d204e4598
Lüneburg	w11_d204e4601
„,	w1_d204e4607
zu	w3_d204e4610
näheren;	w5_d204e4613
daß	w7_d204e4616
sie	w9_d204e4619
den	w11_d204e4622
2fen	w13_d204e4626
Lüneburg	w15_d204e4629
ver	w17_d204e4632
„	w1_d204e4637
lassen,	w3_d204e4640
und	w5_d204e4643
den	w7_d204e4646
3	w9_d204e4649
zurück=gekommen	w11_d204e4652
wa	w13_d204e4656
„	w1_d204e4661
ren,	w3_d204e4664
um	w5_d204e4667
so	w7_d204e4670
gut	w9_d204e4673
sie	w11_d204e4676
gekonnt,	w13_d204e4680
ihre	w15_d204e4683
Maga	w17_d204e4686
„	w1_d204e4691
zine	w3_d204e4694
zu	w5_d204e4697
verkauffen;	w7_d204e4700
daß	w9_d204e4703
sie	w11_d204e4706
aber	w13_d204e4710
gestern	w15_d204e4713
„	w1_d204e4719
Morgen	w3_d204e4722
um	w5_d204e4725
8.	w7_d204e4728
Uhr	w9_d204e4731
Lüneburg	w11_d204e4734
ohne	w13_d204e4738
der	w15_d204e4741
ge	w17_d204e4744
ringsten	w1_d204e4749
Belästigung	w3_d204e4752
völlig	w5_d204e4755
geraumet,	w7_d204e4758
und	w9_d204e4761
„	w1_d204e4766
gleich	w3_d204e4769
darauf	w5_d204e4772
der	w7_d204e4775
Herr	w9_d204e4778
Major	w11_d204e4781
Freytag	w13_d204e4785
„	w1_d204e4790
vom	w3_d204e4793
Jäger=corps	w5_d204e4796
Besitz	w7_d204e4799
von	w9_d204e4802
der	w11_d204e4805
Stadt	w13_d204e4809
„	w1_d204e4815
genommen	w3_d204e4818
hätte,	w5_d204e4821
Nach	w7_d204e4824
dem	w9_d204e4827
genomme	w11_d204e4830
nen	w1_d204e4835
Marsche	w3_d204e4838
des	w5_d204e4841
Prinzen	w7_d204e4844
Ferdinand	w9_d204e4847
will	w11_d204e4850
er,	w13_d204e4854
dem	w1_d204e4859
Ansehen	w3_d204e4862
und	w5_d204e4865
der	w7_d204e4868
Route	w9_d204e4871
nach,	w11_d204e4874
der	w13_d204e4878
Fran	w15_d204e4881
zösischen	w1_d204e4886
Armee	w3_d204e4889
zuvor=kommen.	w5_d204e4892
Dieses	w7_d204e4895
mus	w9_d204e4898
man	w1_d204e4904
erwarten	w3_d204e4907
</p>
<head id="h2_d204e4915">
Stutgard	w1_d204e4919
8.	w3_d204e4922
Dec.	w5_d204e4925
</head>
<p id="p4_d204e4928">
4Gestern	w1_d204e4932
Nachmittags	w3_d204e4935
um	w5_d204e4938
halb	w7_d204e4941
3.	w9_d204e4944
Uhr	w11_d204e4947
ka	w13_d204e4951
men	w1_d204e4956
Se	w3_d204e4959
Hochfürstl	w5_d204e4962
Durchl.	w7_d204e4965
unser	w9_d204e4968
gnädigster	w11_d204e4971
Fürst	w1_d204e4976
und	w3_d204e4979
Herzog	w5_d204e4982
bey	w7_d204e4985
dem	w9_d204e4988
besten	w11_d204e4991
Wolseyn	w13_d204e4995
</p>
<p id="p6_d204e4998">
allhier	w1_d204e5002
an.	w3_d204e5005
Es	w5_d204e5008
geschahe	w7_d204e5011
solchs	w9_d204e5014
urter	w11_d204e5017
Läu	w13_d204e5021
tung	w1_d204e5026
aller	w3_d204e5029
Glecken,	w5_d204e5032
und	w7_d204e5035
das	w9_d204e5038
Hauffen=weis	w11_d204e5041
versammlete	w1_d204e5046
Volk	w3_d204e5049
empfieng	w5_d204e5052
ihn	w7_d204e5055
mit	w9_d204e5058
gröstem	w11_d204e5061
Frohlocken.	w1_d204e5067
Jm	w3_d204e5070
Schloß	w5_d204e5073
legten	w7_d204e5076
alle	w9_d204e5079
fremde	w11_d204e5082
und	w1_d204e5087
hiesige	w3_d204e5090
Ministere,	w5_d204e5093
Generals,	w7_d204e5096
Cavaliers	w9_d204e5099
und	w1_d204e5104
Officiers,	w3_d204e5107
ihre	w5_d204e5110
Bewillkommungscem	w7_d204e5113
plimente	w1_d204e5118
ab,	w3_d204e5121
und	w5_d204e5124
Se.	w7_d204e5127
Hochfürstl.	w9_d204e5130
Durchlaucht	w11_d204e5133
speiseten	w1_d204e5139
sodann	w3_d204e5142
offentlich	w5_d204e5145
an	w7_d204e5148
einer	w9_d204e5151
Tafel	w11_d204e5154
von	w13_d204e5158
20	w1_d204e5163
Couverts.	w3_d204e5166
Der	w5_d204e5169
Schwäbische	w7_d204e5172
Kreiß	w9_d204e5175
hat	w11_d204e5178
unterm	w1_d204e5183
2.	w3_d204e5186
dieses	w5_d204e5189
einen	w7_d204e5192
General=pardon	w9_d204e5195
aus	w11_d204e5198
gehen	w1_d204e5203
lassen,	w3_d204e5206
kraft	w5_d204e5209
dessen	w7_d204e5212
alle	w9_d204e5215
desertirte,	w11_d204e5218
zer	w13_d204e5222
streut	w1_d204e5228
und	w3_d204e5231
von	w5_d204e5234
ihren	w7_d204e5237
Regimentern	w9_d204e5240
nach	w11_d204e5243
Haus	w13_d204e5247
oder	w1_d204e5252
anders	w3_d204e5255
wohin	w5_d204e5258
weg=gegangene	w7_d204e5261
Leute,	w9_d204e5264
wann	w11_d204e5267
ste	w1_d204e5272
sich	w3_d204e5275
bis	w5_d204e5278
den	w7_d204e5281
letzten	w9_d204e5284
Januar.	w11_d204e5287
1758	w13_d204e5291
entwe	w15_d204e5294
der	w1_d204e5299
bey	w3_d204e5302
ihren	w5_d204e5305
Regimentern,	w7_d204e5308
oder	w9_d204e5311
in	w11_d204e5314
dene	w13_d204e5318
Sam	w15_d204e5321
mel	w1_d204e5327
plätzen	w3_d204e5330
Stutgard,	w5_d204e5333
Ludwigsburg,	w7_d204e5336
Ulm	w9_d204e5339
und	w1_d204e5344
Heilbrunn,	w3_d204e5347
einfinden,	w5_d204e5350
von	w7_d204e5353
aller	w9_d204e5356
Straffe	w11_d204e5359
frey	w1_d204e5364
seyn	w3_d204e5367
sollen	w5_d204e5370
Sonst	w7_d204e5373
sind	w9_d204e5376
in	w11_d204e5379
voriger	w13_d204e5383
Wo	w15_d204e5386
che	w1_d204e5391
das	w3_d204e5394
Cavalier=corps,	w5_d204e5397
die	w7_d204e5400
Fürstliche	w9_d204e5403
Garde	w11_d204e5406
du	w1_d204e5412
Corps,	w3_d204e5415
und	w5_d204e5418
das	w7_d204e5421
Dragoner=regiment,	w9_d204e5424
nebst	w11_d204e5427
einigen	w1_d204e5432
Compagnien	w3_d204e5435
von	w5_d204e5438
dem	w7_d204e5441
Generalfeld	w9_d204e5444
Marschall=leutenant	w1_d204e5449
Graf	w3_d204e5452
von	w5_d204e5455
Witgenstei	w7_d204e5458
nischen	w1_d204e5463
Jnfanterie=regiment	w3_d204e5466
alhier	w5_d204e5469
einge	w7_d204e5472
rückt	w1_d204e5478
</p>
<head id="h2_d204e5484">
Hamburg	w1_d204e5488
9	w3_d204e5491
Dec.	w5_d204e5494
</head>
<p id="p4_d204e5497">
Die	w1_d204e5501
Belagerung	w3_d204e5504
oder	w5_d204e5507
vielmehr	w7_d204e5510
das	w9_d204e5513
Bom	w11_d204e5516
bardement	w1_d204e5521
des	w3_d204e5524
Harburger=schlosses,	w5_d204e5527
ist,	w7_d204e5530
nachdeme	w1_d204e5535
der	w3_d204e5538
die	w5_d204e5541
Hannöverische	w7_d204e5544
combinirte	w9_d204e5547
Armee	w1_d204e5553
commandirende	w3_d204e5556
Prinz	w5_d204e5559
Ferdinand	w7_d204e5562
von	w9_d204e5565
Braunschweig	w1_d204e5570
die	w3_d204e5573
zu	w5_d204e5576
sothaner	w7_d204e5579
Belagerung	w9_d204e5582
bestimmte	w1_d204e5587
Trupen	w3_d204e5590
mit	w5_d204e5593
alleiniger	w7_d204e5596
Zurucklassung	w9_d204e5599
dreyer	w1_d204e5604
Regimenter	w3_d204e5607
an	w5_d204e5610
sich	w7_d204e5613
gezogen,	w9_d204e5616
in	w11_d204e5619
eine	w13_d204e5623
Bloquirung	w1_d204e5629
verwandelt	w3_d204e5632
werden,	w5_d204e5635
und	w7_d204e5638
hat	w9_d204e5641
so	w11_d204e5644
thaner	w1_d204e5649
Prinz	w3_d204e5652
am	w5_d204e5655
3.	w7_d204e5658
dieses	w9_d204e5661
sein	w11_d204e5664
Haupt	w13_d204e5668
quar	w15_d204e5671
tier	w1_d204e5676
von	w3_d204e5679
Jesteburg	w5_d204e5682
nach	w7_d204e5685
Oelsen,	w9_d204e5688
den	w11_d204e5691
4	w13_d204e5695
nach	w15_d204e5698
Zahrendorf,	w1_d204e5703
und	w3_d204e5706
den	w5_d204e5709
5.	w7_d204e5712
nach	w9_d204e5715
Amelienhausen	w11_d204e5718
verleget	w1_d204e5724
</p>
<p id="p6_d204e5727">
Da	w1_d204e5731
aber	w3_d204e5734
der	w5_d204e5737
Marschall	w7_d204e5740
von	w9_d204e5743
Richelin	w11_d204e5746
sei	w13_d204e5750
nes	w1_d204e5755
zu	w3_d204e5758
Zelle	w5_d204e5761
genommen,	w7_d204e5764
um	w9_d204e5767
die	w11_d204e5770
zu	w13_d204e5774
ihm	w15_d204e5777
stos	w17_d204e5780
sende	w1_d204e5785
Trupen	w3_d204e5788
desto	w5_d204e5791
füglicher	w7_d204e5794
an	w9_d204e5797
sich	w11_d204e5800
ziehen	w13_d204e5804
zu	w15_d204e5807
können,	w1_d204e5813
so	w3_d204e5816
ist	w5_d204e5819
es	w7_d204e5822
am	w9_d204e5825
5.	w11_d204e5828
dieses	w13_d204e5832
unweit	w15_d204e5835
Erstorf	w17_d204e5838
zwischen	w1_d204e5843
700.	w3_d204e5846
Mann	w5_d204e5849
leich	w7_d204e5852
er	w9_d204e5855
Französicher	w11_d204e5858
Reiterey,	w1_d204e5863
und	w3_d204e5866
1200	w5_d204e5869
Mann	w7_d204e5872
Hannöverischer	w9_d204e5875
Dragoner	w1_d204e5880
und	w3_d204e5883
Jägern	w5_d204e5886
zu	w7_d204e5889
einem	w9_d204e5892
scharfen	w11_d204e5895
Ge	w13_d204e5899
fechte	w1_d204e5905
gekommen,	w3_d204e5908
wobey	w5_d204e5911
die	w7_d204e5914
Letzteren	w9_d204e5917
einen	w11_d204e5920
grossen	w1_d204e5925
Verlust	w3_d204e5928
sowol	w5_d204e5931
an	w7_d204e5934
getödteten	w9_d204e5937
als	w11_d204e5940
ge	w13_d204e5944
fangenen	w1_d204e5949
Officiers	w3_d204e5952
und	w5_d204e5955
Gemeinen	w7_d204e5958
erlitten	w9_d204e5961
haben,	w1_d204e5966
und	w3_d204e5969
hierbey	w5_d204e5972
unter	w7_d204e5975
anderen	w9_d204e5978
der	w11_d204e5981
Obrist	w13_d204e5985
von	w1_d204e5991
Treitenbach,	w3_d204e5994
Chef	w5_d204e5997
eines	w7_d204e6000
Dragonenerezi	w9_d204e6003
ments,	w1_d204e6008
verwundet,	w3_d204e6011
der	w5_d204e6014
Obrist=leutenant	w7_d204e6017
von	w9_d204e6020
</p>
<p id="p10_d204e6025">
Alvens	w1_d204e6029
eben	w3_d204e6032
getödtet,	w5_d204e6035
der	w7_d204e6038
Obristwachtmei	w9_d204e6041
ster	w1_d204e6046
aber	w3_d204e6049
Potmer	w5_d204e6052
verwundet	w7_d204e6055
und	w9_d204e6058
gefangen	w11_d204e6061
worden	w1_d204e6066
seyn	w3_d204e6069
sollen.	w5_d204e6072
</p>
<head id="h2_d204e6079">
Erfort	w1_d204e6083
7.	w3_d204e6086
December.	w5_d204e6089
</head>
<p id="p4_d204e6092">
An	w1_d204e6096
der	w3_d204e6099
Gränze	w5_d204e6102
Sachsens,	w7_d204e6105
und	w9_d204e6108
vornämlich	w11_d204e6111
im	w1_d204e6116
Halberstädtischen,	w3_d204e6119
werden	w5_d204e6122
die	w7_d204e6125
kriegerische	w9_d204e6128
Bewegungen	w1_d204e6133
noch	w3_d204e6136
fortgesetzet.	w5_d204e6139
Die	w7_d204e6142
Preußi	w9_d204e6145
sche	w1_d204e6151
Hussaren	w3_d204e6154
streiffen	w5_d204e6157
bis	w7_d204e6160
vor	w9_d204e6163
Braunschweig	w11_d204e6166
und	w1_d204e6171
Wolfenbüttel,	w3_d204e6174
und	w5_d204e6177
nach	w7_d204e6180
Leipzig	w9_d204e6183
bringen	w11_d204e6186
sie	w1_d204e6191
von	w3_d204e6194
Zeit	w5_d204e6197
zu	w7_d204e6200
Zeit	w9_d204e6203
Gefangene	w11_d204e6206
ein.	w13_d204e6210
Den	w15_d204e6213
1.	w1_d204e6218
3	w3_d204e6221
und	w5_d204e6224
4.	w7_d204e6227
dieses	w9_d204e6230
kamen	w11_d204e6233
etliche	w13_d204e6237
Trompeter	w15_d204e6240
von	w1_d204e6246
dem	w3_d204e6249
Herrn	w5_d204e6252
Marschallen	w7_d204e6255
Herzog	w9_d204e6258
von	w11_d204e6261
Riche	w13_d204e6265
lizu	w1_d204e6270
bey	w3_d204e6273
dem	w5_d204e6276
dasigen	w7_d204e6279
Commandanten	w9_d204e6282
an,	w11_d204e6285
und	w13_d204e6289
man	w1_d204e6294
versichert,	w3_d204e6297
daß	w5_d204e6300
ihr	w7_d204e6303
Mit=bringen	w9_d204e6306
vor	w11_d204e6309
nämlich	w1_d204e6314
die	w3_d204e6317
Auswechslung	w5_d204e6320
der	w7_d204e6323
Gefangenen	w9_d204e6326
betreffe	w1_d204e6332
Der	w3_d204e6335
Prinz	w5_d204e6338
Heinrich	w7_d204e6341
befindet	w9_d204e6344
sich	w11_d204e6347
gleichfalls	w1_d204e6352
noch	w3_d204e6355
in	w5_d204e6358
Leipzig,	w7_d204e6361
und	w9_d204e6364
besuchet	w11_d204e6367
fast	w13_d204e6371
täglich	w1_d204e6376
den	w3_d204e6379
bleßirten	w5_d204e6382
General=leutenant	w7_d204e6385
von	w9_d204e6388
Seidlitz,	w1_d204e6393
der	w3_d204e6396
aber	w5_d204e6399
ausser	w7_d204e6402
Gefahr	w9_d204e6405
zu	w11_d204e6408
seyn	w13_d204e6412
schei	w15_d204e6415
net.	w1_d204e6421
</p>
<head id="h2_d204e6427">
Toulon	w1_d204e6431
3.	w3_d204e6434
Dec.	w5_d204e6437
</head>
<p id="p4_d204e6440">
Die	w1_d204e6444
Ankunft	w3_d204e6447
des	w5_d204e6450
