<doc id="wr_1762-05-01" attrs="word" year="1762" month="05" day="01" corpus="2">
<head id="h2_d652e3101">
Auszug	w1_d652e3105
werke	w5_d652e3365
unserer	w7_d652e3368
Gränz	w9_d652e3371
plätze	w1_d652e3376
sind	w3_d652e3379
von	w5_d652e3382
erfahrnen	w7_d652e3385
Officieren	w9_d652e3388
unter	w11_d652e3391
suchet,	w1_d652e3396
und	w3_d652e3399
in	w5_d652e3402
gutem	w7_d652e3405
Vertheidigungsstan	w9_d652e3408
de	w1_d652e3414
befunden	w3_d652e3417
worden.	w5_d652e3420
Unser	w7_d652e3423
Kriegs=heer	w9_d652e3426
ist	w1_d652e3431
bereits	w3_d652e3434
auf	w5_d652e3437
32000.	w7_d652e3440
Mann	w9_d652e3443
angewach	w11_d652e3446
sen,	w1_d652e3451
wovon	w3_d652e3454
ein	w5_d652e3457
Theil	w7_d652e3460
schon	w9_d652e3463
aufgebrochen,	w11_d652e3466
</p>
<p id="p8_d652e3469">
und	w1_d652e3473
in	w3_d652e3476
vollem	w5_d652e3479
Marsche	w7_d652e3482
begriffen	w9_d652e3485
ist,	w11_d652e3488
daher	w13_d652e3492
ro	w1_d652e3497
zweiflen	w3_d652e3500
wir	w5_d652e3503
leindsweegs,	w7_d652e3506
daß	w9_d652e3509
wir	w11_d652e3512
mit	w13_d652e3516
jenen	w1_d652e3521
Trupen,	w3_d652e3524
so	w5_d652e3527
wir	w7_d652e3530
aus	w9_d652e3533
England	w11_d652e3536
erwar	w13_d652e3540
ten,	w1_d652e3546
nicht	w3_d652e3549
im	w5_d652e3552
Stande	w7_d652e3555
seyn	w9_d652e3558
werden,	w11_d652e3561
des	w13_d652e3565
nen	w1_d652e3570
Spaniern	w3_d652e3573
die	w5_d652e3576
Spitze	w7_d652e3579
zu	w9_d652e3582
bieten.	w11_d652e3585
</p>
<p id="p10_d652e3588">
Unser	w1_d652e3592
Srewesen	w3_d652e3595
ist	w5_d652e3598
gleichergestalten	w7_d652e3601
in	w9_d652e3604
einem	w1_d652e3609
so	w3_d652e3612
guten	w5_d652e3615
Stande,	w7_d652e3618
als	w9_d652e3621
es	w11_d652e3624
schon	w13_d652e3628
vier	w15_d652e3631
ler	w1_d652e3636
Zeit	w3_d652e3639
her	w5_d652e3642
nicht	w7_d652e3645
gewesen.	w9_d652e3648
Es	w11_d652e3651
befinden	w13_d652e3655
sich	w1_d652e3661
in	w3_d652e3664
dem	w5_d652e3667
Tagus	w7_d652e3670
8.	w9_d652e3673
wol	w11_d652e3676
ausgerüstete	w13_d652e3680
Schiffe	w1_d652e3685
von	w3_d652e3688
der	w5_d652e3691
Linle,	w7_d652e3694
worunter	w9_d652e3697
zwey	w11_d652e3700
74.	w13_d652e3704
und	w1_d652e3709
zwey	w3_d652e3712
64.	w5_d652e3715
Canonen	w7_d652e3718
führen:	w9_d652e3721
eines	w11_d652e3724
aus	w13_d652e3728
denen	w1_d652e3733
grösten	w3_d652e3736
davon	w5_d652e3739
ist	w7_d652e3742
vergoldet,	w9_d652e3745
und	w11_d652e3748
all	w13_d652e3752
lenthalben	w1_d652e3758
so	w3_d652e3761
ausgezieret,	w5_d652e3764
daß	w7_d652e3767
man	w9_d652e3770
zu	w11_d652e3773
glau	w13_d652e3777
ben	w1_d652e3782
Ursache	w3_d652e3785
hat,	w5_d652e3788
es	w7_d652e3791
werde	w9_d652e3794
jemand	w11_d652e3797
aus	w13_d652e3801
der	w15_d652e3804
Königl.	w1_d652e3809
Famille	w3_d652e3812
mitziehen.	w5_d652e3815
Der	w7_d652e3818
Spani	w9_d652e3821
sche	w1_d652e3826
Abgesandte	w3_d652e3829
wird	w5_d652e3832
nicht	w7_d652e3835
lang	w9_d652e3838
mehr	w11_d652e3841
hier	w13_d652e3845
bleiben:	w1_d652e3851
und	w3_d652e3854
es	w5_d652e3857
mag	w7_d652e3860
wol	w9_d652e3863
noch	w11_d652e3866
so	w13_d652e3870
weit	w15_d652e3873
kom	w17_d652e3876
men,	w1_d652e3881
daß	w3_d652e3884
man	w5_d652e3887
beyderseits	w7_d652e3890
den	w9_d652e3893
Krleg	w11_d652e3896
eins	w13_d652e3900
ander	w1_d652e3905
öffentlich	w3_d652e3908
verkündigen	w5_d652e3911
wird.	w7_d652e3914
</p>
<head id="h4_d652e3931">
Madrit	w1_d652e3935
30.	w3_d652e3938
Martii.	w5_d652e3941
</head>
<p id="p6_d652e3944">
Den	w1_d652e3948
27.	w3_d652e3951
bey	w5_d652e3954
späten	w7_d652e3957
Abend	w9_d652e3960
langte	w11_d652e3963
der	w13_d652e3967
geweste	w1_d652e3972
Spanische	w3_d652e3975
Gesanme	w5_d652e3978
am	w7_d652e3981
Großbrit	w9_d652e3984
tannischen	w1_d652e3989
Hofe	w3_d652e3992
Graf	w5_d652e3995
von	w7_d652e3998
Fucnkes	w9_d652e4001
hieselbst	w11_d652e4004
an.	w1_d652e4010
Er	w3_d652e4013
begab	w5_d652e4016
sich	w7_d652e4019
sogleich	w9_d652e4022
nach	w11_d652e4025
dem	w13_d652e4029
Pal	w15_d652e4032
last	w1_d652e4037
von	w3_d652e4040
Pardo,	w5_d652e4043
wo	w7_d652e4046
sich	w9_d652e4049
der	w11_d652e4052
Hof	w13_d652e4056
gegenwär	w15_d652e4059
tig	w1_d652e4064
befindet,	w3_d652e4067
und	w5_d652e4070
ward	w7_d652e4073
noch	w9_d652e4076
in	w11_d652e4079
der	w13_d652e4083
nämli	w15_d652e4086
chen	w1_d652e4091
Nacht	w3_d652e4094
bey	w5_d652e4097
Sr.	w7_d652e4100
Majest.	w9_d652e4103
dem	w11_d652e4106
König	w13_d652e4110
zur	w15_d652e4113
Audienz	w1_d652e4119
und	w3_d652e4122
Hand=kuß	w5_d652e4125
gelassen,	w7_d652e4128
wie	w9_d652e4131
ihm	w11_d652e4134
dann	w1_d652e4139
auch	w3_d652e4142
Se.	w5_d652e4145
Majest.	w7_d652e4148
Dero	w9_d652e4151
Vergnügen	w11_d652e4154
über	w1_d652e4159
seine	w3_d652e4162
standhafte	w5_d652e4165
Aufführung	w7_d652e4168
zu	w9_d652e4171
bezei	w11_d652e4174
gen	w1_d652e4179
geruhet,	w3_d652e4182
Der	w5_d652e4185
König	w7_d652e4188
hat	w9_d652e4191
verschiedene	w11_d652e4194
neue	w1_d652e4200
Militar=promotionen	w3_d652e4203
gemacht.	w5_d652e4206
Die	w7_d652e4209
nach	w1_d652e4214
den	w3_d652e4217
Portugesischen	w5_d652e4220
Gränzen	w7_d652e4223
beorderte	w9_d652e4226
Trupen	w1_d652e4231
sind	w3_d652e4234
alle	w5_d652e4237
auf	w7_d652e4240
ihren	w9_d652e4243
Posten	w11_d652e4246
eingetrof	w13_d652e4250
fen	w1_d652e4255
und	w3_d652e4258
im	w5_d652e4261
besten	w7_d652e4264
Zustand.	w9_d652e4267
Da	w11_d652e4270
es	w13_d652e4274
schei	w15_d652e4277
net,	w1_d652e4283
daß	w3_d652e4286
der	w5_d652e4289
Hof	w7_d652e4292
zu	w9_d652e4295
Lissabon	w11_d652e4298
sich	w13_d652e4302
zu	w15_d652e4305
ein	w17_d652e4308
und	w1_d652e4313
andern	w3_d652e4316
bedenklichen	w5_d652e4319
Maas=regeln	w7_d652e4322
wolle	w9_d652e4325
verleiten	w1_d652e4330
lassen,	w3_d652e4333
so	w5_d652e4336
dürfte	w7_d652e4339
der	w9_d652e4342
König	w11_d652e4345
wol	w13_d652e4349
ge	w15_d652e4352
nöhtiget	w1_d652e4357
werden,	w3_d652e4360
seine	w5_d652e4363
Trupen	w7_d652e4366
in	w9_d652e4369
Portu	w11_d652e4372
gall	w1_d652e4378
einrücken	w3_d652e4381
zu	w5_d652e4384
lassen.	w7_d652e4387
Se	w9_d652e4390
Majestät	w11_d652e4393
war	w13_d652e4397
ten	w1_d652e4402
nur	w3_d652e4405
noch	w5_d652e4408
auf	w7_d652e4411
die	w9_d652e4414
Ankunft	w11_d652e4417
eines	w13_d652e4421
Curriers,	w15_d652e4424
welcher	w1_d652e4429
längstens	w3_d652e4432
bis	w5_d652e4435
den	w7_d652e4438
4.	w9_d652e4441
April	w11_d652e4444
wieder	w13_d652e4448
hier	w1_d652e4453
seyn	w3_d652e4456
muß,	w5_d652e4459
um	w7_d652e4462
Höchstdero	w9_d652e4465
endlichen	w11_d652e4468
Ent	w13_d652e4472
schluß	w1_d652e4480
zu	w3_d652e4483
fassen.	w5_d652e4486
</p>
<head id="h2_d652e4492">
Londen	w1_d652e4496
16.	w3_d652e4499
April.	w5_d652e4502
</head>
<p id="p4_d652e4505">
Die	w1_d652e4509
Herzoge	w3_d652e4512
von	w5_d652e4515
Richmond	w7_d652e4518
und	w9_d652e4521
Aubigny	w11_d652e4524
haben	w1_d652e4529
Befehl	w3_d652e4532
bekommen,	w5_d652e4535
mit	w7_d652e4538
einem	w9_d652e4541
zahlrei	w11_d652e4544
chen	w1_d652e4549
Gefolge	w3_d652e4552
nacher	w5_d652e4555
Petersburg	w7_d652e4558
abzugehen,	w9_d652e4561
um	w1_d652e4567
beyden	w3_d652e4570
Rußisch=Kaiserl.	w5_d652e4573
Majestäten	w7_d652e4576
im	w9_d652e4579
Name	w1_d652e4584
des	w3_d652e4587
Königs	w5_d652e4590
die	w7_d652e4593
Glückwünschungs	w9_d652e4596
complimente,	w1_d652e4601
wegen	w3_d652e4604
Deroselben	w5_d652e4607
Thronbe	w7_d652e4610
steigung	w1_d652e4615
abzustatten.	w3_d652e4618
</p>
<p id="p6_d652e4621">
Es	w1_d652e4625
ist	w3_d652e4628
nunmehro	w5_d652e4631
ausgemacht,	w7_d652e4634
daß	w9_d652e4637
wir	w11_d652e4640
ein	w1_d652e4645
Corps	w3_d652e4648
von	w5_d652e4651
unseren	w7_d652e4654
Trupen	w9_d652e4657
nacher	w11_d652e4660
Por	w13_d652e4664
tugal	w1_d652e4669
abschicken	w3_d652e4672
werden:	w5_d652e4675
dasselbe	w7_d652e4678
solle	w9_d652e4681
ei	w11_d652e4684
gentlich	w1_d652e4690
bestehen	w3_d652e4693
aus	w5_d652e4696
denen	w7_d652e4699
Regimentern	w9_d652e4702
Olohufs,	w1_d652e4707
Lambert,	w3_d652e4710
Boscawen,	w5_d652e4713
und	w7_d652e4716
Craw	w9_d652e4719
ford	w1_d652e4724
aus	w3_d652e4727
Belle=isle,	w5_d652e4730
ferners	w7_d652e4733
aus	w9_d652e4736
denen	w11_d652e4739
Regimentern	w1_d652e4744
Armstrong,	w3_d652e4747
und	w5_d652e4750
Blaney	w7_d652e4753
aus	w9_d652e4756
Jrrland,	w1_d652e4762
und	w3_d652e4765
aus	w5_d652e4768
dem	w7_d652e4771
leichten	w9_d652e4774
Reiterregi	w11_d652e4777
ment	w1_d652e4782
Bourgoyne,	w3_d652e4785
so	w5_d652e4788
sich	w7_d652e4791
dermalen	w9_d652e4794
in	w11_d652e4797
Eng	w13_d652e4801
</p>
<p id="p8_d652e4804">
land	w1_d652e4808
befindet.	w3_d652e4811
Alle	w5_d652e4814
diese	w7_d652e4817
Trupen	w9_d652e4820
sollen	w11_d652e4823
vollzählig	w1_d652e4828
gemacht,	w3_d652e4831
und	w5_d652e4834
zu	w7_d652e4837
Ende	w9_d652e4840
dies	w11_d652e4843
Mo	w13_d652e4847
nats	w1_d652e4852
unter	w3_d652e4855
Commando	w5_d652e4858
der	w7_d652e4861
Generallute	w9_d652e4864
nants	w1_d652e4870
Löudohn,	w3_d652e4873
und	w5_d652e4876
Georg	w7_d652e4879
Towshend	w9_d652e4882
an	w11_d652e4885
Bord	w1_d652e4890
gebracht	w3_d652e4893
werden.	w5_d652e4896
Wann	w7_d652e4899
nun	w9_d652e4902
diese	w11_d652e4905
Truppen	w1_d652e4910
in	w3_d652e4913
Portugal	w5_d652e4916
nicht	w7_d652e4919
sollten	w9_d652e4922
gebraucht	w11_d652e4925
werden,	w1_d652e4930
so	w3_d652e4933
wird	w5_d652e4936
man	w7_d652e4939
sie	w9_d652e4942
nacher	w11_d652e4945
Gibraltar	w13_d652e4949
schicken,	w1_d652e4955
mit	w3_d652e4958
dem	w5_d652e4961
Auftrag,	w7_d652e4964
mit	w9_d652e4967
der	w11_d652e4970
dasi	w13_d652e4974
gen	w1_d652e4979
Besatzung	w3_d652e4982
sich	w5_d652e4985
zu	w7_d652e4988
vereinigen,	w9_d652e4991
und	w11_d652e4994
gra	w13_d652e4998
de	w1_d652e5003
eine	w3_d652e5006
Unternehmung	w5_d652e5009
wider	w7_d652e5012
die	w9_d652e5015
Spanier	w11_d652e5018
zu	w1_d652e5023
wagen.	w3_d652e5026
</p>
<p id="p10_d652e5029">
Aus	w1_d652e5033
denen	w3_d652e5036
auf	w5_d652e5039
allen	w7_d652e5042
Französischen	w9_d652e5045
Kü	w11_d652e5048
sten	w1_d652e5053
unternemtmenen	w3_d652e5056
Vorkehrungen	w5_d652e5059
schlies	w7_d652e5062
set	w1_d652e5067
man,	w3_d652e5070
daß	w5_d652e5073
diese	w7_d652e5076
Nation	w9_d652e5079
auf	w11_d652e5082
ein	w13_d652e5086
oder	w15_d652e5089
das	w17_d652e5092
andere	w1_d652e5098
unserer	w3_d652e5101
Königreich	w5_d652e5104
etwas	w7_d652e5107
im	w9_d652e5110
Schil	w11_d652e5113
de	w1_d652e5118
führe.	w3_d652e5121
Der	w5_d652e5124
Admiral	w7_d652e5127
Hawke	w9_d652e5130
wird	w11_d652e5133
näch	w13_d652e5137
stens	w1_d652e5142
mit	w3_d652e5145
einem	w5_d652e5148
starken	w7_d652e5151
Geschwader	w9_d652e5154
unter	w11_d652e5157
Seegel	w1_d652e5162
gehen,	w3_d652e5165
um	w5_d652e5168
die	w7_d652e5171
Mitternächtige	w9_d652e5174
Kü	w11_d652e5177
sten	w1_d652e5183
Frankreichs	w3_d652e5186
zu	w5_d652e5189
bestreichen.	w7_d652e5192
</p>
<p id="p12_d652e5196">
Die	w1_d652e5200
Briefe	w3_d652e5203
aus	w5_d652e5206
Jrrland	w7_d652e5209
stellen	w9_d652e5212
uns	w11_d652e5215
die	w13_d652e5219
dasige	w1_d652e5224
Aufrührer	w3_d652e5227
unter	w5_d652e5230
verschiedenen	w7_d652e5233
Ge	w9_d652e5236
stalten	w1_d652e5241
vor.	w3_d652e5244
Einige	w5_d652e5247
sagen,	w7_d652e5250
daß	w9_d652e5253
sie	w11_d652e5256
sich	w13_d652e5260
erkläret	w1_d652e5266
haben,	w3_d652e5269
sie	w5_d652e5272
wollen	w7_d652e5275
zwar	w9_d652e5278
dem	w11_d652e5281
König	w13_d652e5285
Georg	w1_d652e5290
dem	w3_d652e5293
3ten	w5_d652e5296
unterwürfig,	w7_d652e5299
und	w9_d652e5302
getreu	w11_d652e5305
verbleiben,	w1_d652e5310
man	w3_d652e5313
solle	w5_d652e5316
ihnen	w7_d652e5319
aber	w9_d652e5322
gewisse	w11_d652e5325
erlutene	w1_d652e5330
Verluste	w3_d652e5333
ersetzen,	w5_d652e5336
andere	w7_d652e5339
sagen,	w9_d652e5342
daß	w1_d652e5348
sie	w3_d652e5351
den	w5_d652e5354
Prätendenten	w7_d652e5357
unter	w9_d652e5360
dem	w11_d652e5363
Rah	w13_d652e5367
men	w1_d652e5372
Jacob	w3_d652e5375
der	w5_d652e5378
3te	w7_d652e5381
zu	w9_d652e5384
ihrem	w11_d652e5387
König	w13_d652e5391
aus	w15_d652e5394
gerufen,	w1_d652e5399
daß	w3_d652e5402
sie	w5_d652e5405
wol	w7_d652e5408
bewafnet	w9_d652e5411
und	w11_d652e5414
abge	w13_d652e5418
richtet	w1_d652e5423
in	w3_d652e5426
guter	w5_d652e5429
Ordnung	w7_d652e5432
marschiren,	w9_d652e5435
weis	w11_d652e5438
se	w1_d652e5444
Maschen	w3_d652e5447
auf	w5_d652e5450
dem	w7_d652e5453
Hut	w9_d652e5456
tragen,	w11_d652e5459
und	w13_d652e5463
weisse	w15_d652e5466
Fähne	w1_d652e5471
mit	w3_d652e5474
einer	w5_d652e5477
gekrönten	w7_d652e5480
Harpfe	w9_d652e5483
führen.	w11_d652e5486
Sie	w1_d652e5491
bezahlen	w3_d652e5494
alles,	w5_d652e5497
was	w7_d652e5500
man	w9_d652e5503
ihnen	w11_d652e5506
giebet,	w13_d652e5510
meistentheils	w1_d652e5515
mit	w3_d652e5518
Pistolen,	w5_d652e5521
und	w7_d652e5524
Louts=d'ors,	w9_d652e5527
und	w1_d652e5533
daß	w3_d652e5536
sich	w5_d652e5539
Französisch	w7_d652e5542
und	w9_d652e5545
Spanische	w11_d652e5548
Officiers	w1_d652e5553
bey	w3_d652e5556
ihnen	w5_d652e5559
befinden	w7_d652e5562
sollen.	w9_d652e5565
Um	w11_d652e5568
nun	w1_d652e5573
diesem	w3_d652e5576
Uebel	w5_d652e5579
vorzubeugen,	w7_d652e5582
hat	w9_d652e5585
der	w11_d652e5588
Vi	w13_d652e5592
ce=könig	w1_d652e5597
in	w3_d652e5600
Jrrland	w5_d652e5603
alles	w7_d652e5606
Nöhtige	w9_d652e5609
veran	w11_d652e5612
staltet,	w1_d652e5618
ihre	w3_d652e5621
Bewegungen	w5_d652e5624
auf	w7_d652e5627
das	w9_d652e5630
genaueste	w11_d652e5633
auszuspähen,	w1_d652e5638
und	w3_d652e5641
mit	w5_d652e5644
denen	w7_d652e5647
Truppen,	w9_d652e5650
er	w1_d652e5655
gegen	w3_d652e5658
dieselbe	w5_d652e5661
ausgeschicket,	w7_d652e5664
trachtet	w9_d652e5667
sie	w1_d652e5672
so	w3_d652e5675
viel	w5_d652e5678
möglich	w7_d652e5681
einzuschränken,	w9_d652e5684
und	w11_d652e5687
im	w13_d652e5691
</p>
<p id="p18_d652e5704">
Zaume	w1_d652e5708
zu	w3_d652e5711
halten.	w5_d652e5714
Dieser	w7_d652e5717
Herr	w9_d652e5720
hat	w11_d652e5723
bereits	w13_d652e5727
unserem	w1_d652e5732
Hofe	w3_d652e5735
von	w5_d652e5738
allem	w7_d652e5741
deme,	w9_d652e5744
was	w11_d652e5747
er	w13_d652e5751
von	w1_d652e5756
diesen	w3_d652e5759
Rebellen	w5_d652e5762
erfahren	w7_d652e5765
können,	w9_d652e5768
einen	w11_d652e5771
Wir	w1_d652e5777
pünetlichen	w1_d652e5782
Bericht	w3_d652e5785
eingeschicket;	w5_d652e5788
müssen	w1_d652e5793
trachten	w3_d652e5796
die	w5_d652e5799
ersten	w7_d652e5802
Funken	w9_d652e5805
dieses	w11_d652e5808
Aufstandes	w1_d652e5813
zu	w3_d652e5816
dämpfen,	w5_d652e5819
dann	w7_d652e5822
wir	w9_d652e5825
haben	w11_d652e5828
das	w1_d652e5834
von	w3_d652e5837
der	w5_d652e5840
letzten	w7_d652e5843
in	w9_d652e5846
Schottland	w11_d652e5849
entstan	w13_d652e5853
denen	w1_d652e5858
Aufruhr	w3_d652e5861
verursachte	w5_d652e5864
Unheil	w7_d652e5867
noch	w9_d652e5870
in	w11_d652e5873
gar	w1_d652e5878
zu	w3_d652e5881
frischer	w5_d652e5884
Gedächtnüß.	w7_d652e5887
27.	w9_d652e5890
dieser	w11_d652e5893
Rebellen	w1_d652e5898
sind	w3_d652e5901
bereits	w5_d652e5904
gefänglich	w7_d652e5907
eingezogen	w9_d652e5910
worden,	w1_d652e5916
und	w3_d652e5919
Se.	w5_d652e5922
Majestät	w7_d652e5925
haben	w9_d652e5928
dem	w11_d652e5931
da	w13_d652e5935
sigen	w1_d652e5940
Vice=könig	w3_d652e5943
dem	w5_d652e5946
Grafen	w7_d652e5949
von	w9_d652e5952
Hallifax	w11_d652e5955
den	w1_d652e5960
Befehl	w3_d652e5963
ertheilet,	w5_d652e5966
eine	w7_d652e5969
besondere	w9_d652e5972
Com	w11_d652e5975
mißion	w1_d652e5980
zur	w3_d652e5983
Formirung	w5_d652e5986
ihrer	w7_d652e5989
Processe	w9_d652e5992
auf	w11_d652e5995
zurichten.	w1_d652e6001
</p>
<head id="h2_d652e6007">
Carthagena	w1_d652e6011
19.	w3_d652e6014
Mart.	w5_d652e6017
</head>
<p id="p4_d652e6020">
Aus	w1_d652e6024
den	w3_d652e6027
Regimentern,	w5_d652e6030
von	w7_d652e6033
Leon	w9_d652e6036
und	w11_d652e6039
Murcia,	w1_d652e6044
wurden	w3_d652e6047
500.	w5_d652e6050
Mann	w7_d652e6053
ausgezogen,	w9_d652e6056
um	w1_d652e6061
die	w3_d652e6064
segelfertige	w5_d652e6067
Kriegs=escadte	w7_d652e6070
zu	w9_d652e6073
Ferol	w11_d652e6076
zu	w1_d652e6082
besteigen.	w3_d652e6085
Die	w5_d652e6088
Kriegsschiffe,	w7_d652e6091
der	w9_d652e6094
Er	w11_d652e6097
schröckliche	w1_d652e6102
und	w3_d652e6105
die	w5_d652e6108
Atalaniü,	w7_d652e6111
wie	w9_d652e6114
auch	w11_d652e6117
die	w13_d652e6121
Fregatten,	w1_d652e6126
die	w3_d652e6129
Asträg	w5_d652e6132
und	w7_d652e6135
die	w9_d652e6138
Juno,	w11_d652e6141
er	w13_d652e6145
warten	w1_d652e6150
den	w3_d652e6153
letzten	w5_d652e6156
Befehl	w7_d652e6159
zum	w9_d652e6162
Auslauffen.	w11_d652e6165
Seit	w1_d652e6171
etlichen	w3_d652e6174
Tagen	w5_d652e6177
liegt	w7_d652e6180
das	w9_d652e6183
Kriegs=schif,	w11_d652e6186
der	w1_d652e6191
Russe	w3_d652e6194
genannt,	w5_d652e6197
auch	w7_d652e6200
auf	w9_d652e6203
der	w11_d652e6206
Rhede.	w13_d652e6210
Es	w1_d652e6215
nimmt	w3_d652e6218
die	w5_d652e6221
neulich	w7_d652e6224
von	w9_d652e6227
Barcellona	w11_d652e6230
hier	w13_d652e6234
angelangte	w1_d652e6239
Schifs=soldaten	w3_d652e6242
auf.	w5_d652e6245
Drey	w1_d652e6251
Schiffe	w1_d652e6256
sollen	w3_d652e6259
Kriegs=völker	w5_d652e6262
von	w7_d652e6265
Majorca	w9_d652e6268
abholen,	w1_d652e6273
und	w3_d652e6276
den	w5_d652e6279
Ruhmredigen	w7_d652e6282
und	w9_d652e6285
zwey	w11_d652e6288
in	w1_d652e6293
dem	w3_d652e6296
hiesigen	w5_d652e6299
Zeughause	w7_d652e6302
noch	w9_d652e6305
liegende	w11_d652e6308
Fregatten	w1_d652e6314
zu	w3_d652e6317
besetzen.	w5_d652e6320
Unser	w7_d652e6323
Statthalter	w9_d652e6326
läßt	w1_d652e6331
viele	w3_d652e6334
Karren,	w5_d652e6337
davon	w7_d652e6340
jeder	w9_d652e6343
mit	w11_d652e6346
drey	w13_d652e6350
Maulthieren	w1_d652e6355
bespannet	w3_d652e6358
ist,	w5_d652e6361
nach	w7_d652e6364
AltCa	w9_d652e6367
stilien	w1_d652e6372
abgehen.	w3_d652e6375
Aus	w5_d652e6378
Malaga	w7_d652e6381
lief	w9_d652e6384
eine	w11_d652e6387
Kriegs=Felouque	w1_d652e6393
zur	w3_d652e6396
Creuz=fahrt	w5_d652e6399
in	w7_d652e6402
der	w9_d652e6405
Strasse,	w1_d652e6410
aus.	w3_d652e6413
Von	w5_d652e6416
Cadix	w7_d652e6419
werden	w9_d652e6422
bald	w11_d652e6425
die	w1_d652e6430
Kriegs=schiffe,	w3_d652e6433
die	w5_d652e6436
Venus	w7_d652e6439
und	w9_d652e6442
Anda	w11_d652e6445
lousia,	w1_d652e6450
nach	w3_d652e6453
Buenos=ayres,	w5_d652e6456
mit	w7_d652e6459
einer	w9_d652e6462
Men	w11_d652e6465
ge	w1_d652e6471
von	w3_d652e6474
Kriegs	w5_d652e6477
vorrathe,	w7_d652e6480
und	w9_d652e6483
48.	w11_d652e6486
theils	w13_d652e6490
24.	w15_d652e6493
theils	w1_d652e6498
16	w3_d652e6501
pfündigen	w5_d652e6504
Canonen,	w7_d652e6507
auslauffen.	w9_d652e6510
Der	w1_d652e6515
Kriegs=raht	w3_d652e6518
befahl,	w5_d652e6521
schleunigst,	w7_d652e6524
12.	w9_d652e6527
Brander	w1_d652e6532
auszurüsten.	w3_d652e6535
3.	w1_d652e6541
</p>
<head id="h2_d652e6548">
Toulon	w1_d652e6552
4.	w3_d652e6555
April.	w5_d652e6558
</head>
<p id="p4_d652e6561">
Man	w1_d652e6565
setzet	w3_d652e6568
die	w5_d652e6571
Ausrüstung	w7_d652e6574
der	w9_d652e6577
zehen	w11_d652e6580
Kriegs=schiffe	w1_d652e6585
mit	w3_d652e6588
einem	w5_d652e6591
ohnermüdeten	w7_d652e6594
Ei	w9_d652e6597
fer	w1_d652e6602
noch	w3_d652e6605
immer	w5_d652e6608
fort.	w7_d652e6611
Die	w9_d652e6614
neue	w11_d652e6617
Seebri	w13_d652e6621
gade	w1_d652e6627
von	w3_d652e6630
den	w5_d652e6633
Feuerwerkern	w7_d652e6636
ist	w9_d652e6639
wirklich	w11_d652e6642
voll	w13_d652e6646
ständig,	w1_d652e6651
und	w3_d652e6654
bestehet	w5_d652e6657
aus	w7_d652e6660
Frey=compagnien,	w9_d652e6663
welche	w1_d652e6668
zusammen	w3_d652e6671
800.	w5_d652e6674
Mann	w7_d652e6677
ausmachen.	w9_d652e6680
Sie	w1_d652e6685
verstehet	w3_d652e6688
inzwischen	w5_d652e6691
noch	w7_d652e6694
ihre	w9_d652e6697
vorige	w11_d652e6700
Dienste	w1_d652e6706
bis	w3_d652e6709
zu	w5_d652e6712
der	w7_d652e6715
Einrückung	w9_d652e6718
einiger	w11_d652e6721
un	w13_d652e6725
sere	w1_d652e6730
Besatzung	w3_d652e6733
verstärkender	w5_d652e6736
Battaillons.	w7_d652e6739
Alle	w1_d652e6744
See=officiers	w3_d652e6747
von	w5_d652e6750
dem	w7_d652e6753
hiesigen	w9_d652e6756
