<doc id="wr_1763-07-30" attrs="word" year="1763" month="07" day="30" corpus="2">
<head id="h2_d779e3159">
Lugand	w1_d779e3163
Jahre	w5_d779e4421
sein	w7_d779e4424
Leben	w9_d779e4427
geendet,	w11_d779e4430
und	w1_d779e4435
zwar	w3_d779e4438
bey	w5_d779e4441
Untergang	w7_d779e4444
der	w9_d779e4447
Sonne,	w11_d779e4450
als	w13_d779e4454
aber	w1_d779e4460
selber	w3_d779e4463
den	w5_d779e4466
folgenden	w7_d779e4469
Tag	w9_d779e4472
nicht	w11_d779e4475
ohne	w13_d779e4479
unglaublicher	w1_d779e4484
Erstaunung	w3_d779e4487
aller	w5_d779e4490
Anwesenden	w7_d779e4493
wieder	w1_d779e4498
lebendig	w3_d779e4501
befunden	w5_d779e4504
wurde,	w7_d779e4507
bekannte	w9_d779e4510
er	w1_d779e4515
öffentlich:	w3_d779e4518
wie	w5_d779e4521
daß	w7_d779e4524
er	w9_d779e4527
vor	w11_d779e4530
dem	w13_d779e4534
gerechten	w15_d779e4537
Richterstuhl	w1_d779e4543
GOttes	w3_d779e4546
zwar	w5_d779e4549
zur	w7_d779e4552
ewigen	w9_d779e4555
Höl	w11_d779e4558
len=pein	w1_d779e4563
wegen	w3_d779e4566
seines	w5_d779e4569
Unglaubens	w7_d779e4572
und	w9_d779e4575
Ab	w11_d779e4578
götterey	w1_d779e4583
seye	w3_d779e4586
verdammet	w5_d779e4589
worden,	w7_d779e4592
der	w9_d779e4595
gott	w11_d779e4598
seelige	w1_d779e4603
Petrus	w3_d779e4606
Martyr	w5_d779e4609
Sans	w7_d779e4612
aber	w9_d779e4615
habe	w11_d779e4618
von	w1_d779e4624
dem	w3_d779e4627
gerechten	w5_d779e4630
Richter	w7_d779e4633
durch	w9_d779e4636
seine	w11_d779e4639
Für	w13_d779e4643
bitt	w1_d779e4648
erlanget,	w3_d779e4651
daß	w5_d779e4654
ihm	w7_d779e4657
gestattet	w9_d779e4660
worden	w11_d779e4663
wieder	w1_d779e4668
zu	w3_d779e4671
diesem	w5_d779e4674
zeitlichen	w7_d779e4677
Leben	w9_d779e4680
zu	w11_d779e4683
kom	w13_d779e4687
men,	w1_d779e4692
um	w3_d779e4695
seinen	w5_d779e4698
Unglauben	w7_d779e4701
durch	w9_d779e4704
das	w11_d779e4707
Was	w13_d779e4711
ser	w1_d779e4717
der	w3_d779e4720
heiligen	w5_d779e4723
Tauf	w7_d779e4726
abzuwaschen.	w9_d779e4729
Nach	w11_d779e4732
dem	w1_d779e4737
er	w3_d779e4740
nun	w5_d779e4743
diesen	w7_d779e4746
erhalten,	w9_d779e4749
ist	w11_d779e4752
er	w13_d779e4756
in	w15_d779e4759
Ge	w17_d779e4762
genwart	w1_d779e4767
seiner	w3_d779e4770
Bluts=verwandten	w5_d779e4773
und	w7_d779e4776
meh	w9_d779e4779
rerer	w1_d779e4784
Freunde	w3_d779e4787
sanft	w5_d779e4790
in	w7_d779e4793
dem	w9_d779e4796
HErrn	w11_d779e4799
wieder	w13_d779e4803
entschlafen.	w1_d779e4809
</p>
<head id="h2_d779e4815">
Aus	w1_d779e4819
Jtallen	w3_d779e4822
vom	w5_d779e4825
22.	w7_d779e4828
Juni.	w9_d779e4831
</head>
<p id="p4_d779e4834">
Es	w1_d779e4838
ist	w3_d779e4841
in	w5_d779e4844
den	w7_d779e4847
mehresten	w9_d779e4850
auswärtigen	w11_d779e4853
so	w13_d779e4857
wol	w1_d779e4862
deutschen	w3_d779e4865
als	w5_d779e4868
französischen	w7_d779e4871
Zeitungs	w9_d779e4874
blättern	w1_d779e4879
von	w3_d779e4882
der	w5_d779e4885
grausamen	w7_d779e4888
Mordthat,	w9_d779e4891
wel	w11_d779e4894
che	w1_d779e4900
der	w3_d779e4903
Graf	w5_d779e4906
Nogarola	w7_d779e4909
an	w9_d779e4912
dem	w11_d779e4915
Grafen	w13_d779e4919
Ceuola	w1_d779e4924
verübet,	w3_d779e4927
Meldung	w5_d779e4930
gethan,	w7_d779e4933
und	w9_d779e4936
zumal	w1_d779e4941
von	w3_d779e4944
der	w5_d779e4947
Gemahlin	w7_d779e4950
des	w9_d779e4953
Ermordeten	w11_d779e4956
angeführet	w1_d779e4961
worden,	w3_d779e4964
daß	w5_d779e4967
sie	w7_d779e4970
an	w9_d779e4973
diesem	w11_d779e4976
Meu	w13_d779e4980
chel=morde	w1_d779e4986
Antheil	w3_d779e4989
hätte.	w5_d779e4992
rc.	w7_d779e4995
Da	w9_d779e4998
nun	w11_d779e5001
in	w1_d779e5006
einem	w3_d779e5009
von	w5_d779e5012
Verona,	w7_d779e5015
als	w9_d779e5018
dem	w11_d779e5021
Aufent	w13_d779e5025
halts=orte	w1_d779e5030
besagter	w3_d779e5033
Frau	w5_d779e5036
Gräfin,	w7_d779e5039
zuge	w9_d779e5042
kommenen	w1_d779e5047
zuverläßigen	w3_d779e5050
Berichte	w5_d779e5053
diesem	w7_d779e5056
letztern	w1_d779e5062
Umstande	w3_d779e5065
gänzlich	w5_d779e5068
widersprochen,	w7_d779e5071
und	w1_d779e5076
versichert	w3_d779e5079
wird,	w5_d779e5082
daß	w7_d779e5085
sie	w9_d779e5088
weder	w11_d779e5091
den	w13_d779e5095
mindesten	w1_d779e5100
Antheil	w3_d779e5103
an	w5_d779e5106
dieser	w7_d779e5109
ruchlosen	w9_d779e5112
That	w1_d779e5117
gehabt,	w3_d779e5120
noch	w5_d779e5123
vielweniger	w7_d779e5126
deswe	w9_d779e5129
gen	w1_d779e5135
zur	w3_d779e5138
Verhaft	w5_d779e5141
gezogen	w7_d779e5144
worden,	w9_d779e5147
son	w11_d779e5150
dern	w1_d779e5155
vielmehr	w3_d779e5158
alle	w5_d779e5161
Freyheit	w7_d779e5164
geniesse	w9_d779e5167
und	w11_d779e5170
sich	w1_d779e5175
würklich	w3_d779e5178
bey	w5_d779e5181
ihrer	w7_d779e5184
Frau	w9_d779e5187
Schwieger	w11_d779e5190
mutter	w1_d779e5195
und	w3_d779e5198
Hrn.	w5_d779e5201
Schwager	w7_d779e5204
aufhalte;	w9_d779e5207
so	w11_d779e5210
hat	w1_d779e5216
man	w3_d779e5219
allerdings	w5_d779e5222
für	w7_d779e5225
billig	w9_d779e5228
gefunden,	w11_d779e5231
zur	w13_d779e5235
Rettung	w1_d779e5240
der	w3_d779e5243
Unschuld	w5_d779e5246
dieses	w7_d779e5249
dem	w9_d779e5252
Publico	w11_d779e5255
bekannt	w1_d779e5260
zu	w3_d779e5263
machen.	w5_d779e5266
</p>
<head id="h2_d779e5272">
Beschluß	w1_d779e5276
des	w3_d779e5279
neulich	w5_d779e5282
abgebroche	w7_d779e5285
nen	w1_d779e5290
Nemoirs	w3_d779e5293
des	w5_d779e5296
Königl.	w7_d779e5299
Pohl.	w9_d779e5302
Legat.	w1_d779e5307
Secretairs	w3_d779e5310
in	w5_d779e5313
dem	w7_d779e5316
Haag.	w1_d779e5322
</head>
<p id="p4_d779e5325">
Auf	w1_d779e5329
diese	w3_d779e5332
seltsame	w5_d779e5335
Erklärung	w7_d779e5338
stellte	w9_d779e5341
der	w11_d779e5344
Castellan	w1_d779e5349
Lipsky	w3_d779e5352
folgende	w5_d779e5355
Antwort	w7_d779e5358
entgegen:	w9_d779e5361
1)	w1_d779e5366
Da	w3_d779e5369
Curland	w5_d779e5372
nach	w7_d779e5375
denen	w9_d779e5378
Constitutio	w11_d779e5381
nen	w1_d779e5387
des	w3_d779e5390
Königreichs,	w5_d779e5393
ein	w7_d779e5396
von	w9_d779e5399
dem	w11_d779e5402
König	w13_d779e5406
als	w1_d779e5411
Souverain	w3_d779e5414
abhangendes	w5_d779e5417
Lehen	w7_d779e5420
ist,	w9_d779e5423
so	w11_d779e5426
ste	w13_d779e5430
het	w1_d779e5435
es	w3_d779e5438
folglich	w5_d779e5441
niemand	w7_d779e5444
als	w9_d779e5447
Sr.	w11_d779e5450
Majestät,	w13_d779e5454
dem	w1_d779e5459
König	w3_d779e5462
von	w5_d779e5465
Pohlen	w7_d779e5468
zu,	w9_d779e5471
in	w11_d779e5474
denen	w13_d779e5478
dieses	w15_d779e5481
Lehen	w1_d779e5487
betreffenden	w3_d779e5490
Angelegenheiten	w5_d779e5493
zu	w7_d779e5496
schal	w9_d779e5499
ten.	w1_d779e5504
</p>
<p id="p6_d779e5507">
2)	w1_d779e5511
Hat	w3_d779e5514
die	w5_d779e5517
Republic,	w7_d779e5520
welche	w9_d779e5523
über	w11_d779e5526
ihre	w13_d779e5530
Gerechsame	w1_d779e5535
bekanntlich	w3_d779e5538
sehr	w5_d779e5541
eifert,	w7_d779e5544
seit	w9_d779e5547
den	w11_d779e5550
Zeiten	w1_d779e5555
Sigismund	w3_d779e5558
Augusts	w5_d779e5561
bis	w7_d779e5564
auf	w9_d779e5567
die	w11_d779e5570
je	w13_d779e5574
tzige	w1_d779e5580
gloreiche	w3_d779e5583
Regierung	w5_d779e5586
Augusti	w7_d779e5589
III.	w9_d779e5592
nie	w11_d779e5595
</p>
<p id="p12_d779e5609">
mals	w1_d779e5613
in	w3_d779e5616
Anwendung	w5_d779e5619
der	w7_d779e5622
ihren	w9_d779e5625
Königen	w11_d779e5628
zuge	w13_d779e5632
standenen	w1_d779e5637
Autorität	w3_d779e5640
und	w5_d779e5643
Macht	w7_d779e5646
über	w9_d779e5649
die	w11_d779e5652
Herzogthümer	w1_d779e5657
Curland	w3_d779e5660
und	w5_d779e5663
Semigalien	w7_d779e5666
das	w9_d779e5669
mindeste	w1_d779e5675
zu	w3_d779e5678
tadeln	w5_d779e5681
gefunden.	w7_d779e5684
</p>
<p id="p14_d779e5687">
3)	w1_d779e5691
Der	w3_d779e5694
König	w5_d779e5697
und	w7_d779e5700
Senat	w9_d779e5703
haben	w11_d779e5706
nicht	w13_d779e5710
die	w1_d779e5715
Macht	w3_d779e5718
Gesetze	w5_d779e5721
zu	w7_d779e5724
geben,	w9_d779e5727
wohl	w11_d779e5730
aber	w13_d779e5734
diese,	w15_d779e5737
nigreichs	w1_d779e5742
beschlossen	w3_d779e5745
worden,	w5_d779e5748
in	w7_d779e5751
Vollziehung	w9_d779e5754
zu	w1_d779e5760
bringen,	w3_d779e5763
folglich	w5_d779e5766
gab	w7_d779e5769
die	w9_d779e5772
Constitution	w11_d779e5775
von	w13_d779e5779
1736.	w1_d779e5784
dem	w3_d779e5787
König	w5_d779e5790
die	w7_d779e5793
Gewalt,	w9_d779e5796
dieses	w11_d779e5799
Lehen	w13_d779e5803
zu	w1_d779e5808
verleihen,	w3_d779e5811
wem	w5_d779e5814
Se.	w7_d779e5817
Majestät	w9_d779e5820
am	w11_d779e5823
würdig	w13_d779e5827
sten	w1_d779e5832
erachtet.	w3_d779e5835
</p>
<p id="p16_d779e5838">
4)	w1_d779e5842
Seit	w3_d779e5845
jener	w5_d779e5848
Zeit	w7_d779e5851
wurden	w9_d779e5854
alle	w11_d779e5857
Reichs	w13_d779e5861
tage	w1_d779e5866
unglücklicher	w3_d779e5869
Weise	w5_d779e5872
zerrissen,	w7_d779e5875
daß	w9_d779e5878
also	w11_d779e5881
der	w1_d779e5886
König	w3_d779e5889
und	w5_d779e5892
Senat	w7_d779e5895
sich	w9_d779e5898
an	w11_d779e5901
den	w13_d779e5905
Schluß	w15_d779e5908
und	w1_d779e5914
Sinn	w3_d779e5917
jenes	w5_d779e5920
Senatus	w7_d779e5923
Consilii	w9_d779e5926
von	w11_d779e5929
1736.	w13_d779e5933
sowol	w1_d779e5938
in	w3_d779e5941
Betreff	w5_d779e5944
des	w7_d779e5947
Ernst	w9_d779e5950
Johann	w11_d779e5953
von	w13_d779e5957
Bi	w15_d779e5960
ron,	w1_d779e5965
als	w3_d779e5968
in	w5_d779e5971
Ansehung	w7_d779e5974
Sr.	w9_d779e5977
Königl.	w11_d779e5980
Hoheit	w13_d779e5984
des	w1_d779e5989
regierenden	w3_d779e5992
Herzogs	w5_d779e5995
Carl	w7_d779e5998
gehalten.	w9_d779e6001
</p>
<p id="p18_d779e6004">
5)	w1_d779e6008
Der	w3_d779e6011
König	w5_d779e6014
und	w7_d779e6017
Senat,	w9_d779e6020
so,	w11_d779e6023
wie	w13_d779e6027
auch	w15_d779e6030
der	w1_d779e6035
Curländische	w3_d779e6038
Adel	w5_d779e6041
suchten	w7_d779e6044
um	w9_d779e6047
die	w11_d779e6050
Befrey	w13_d779e6054
ung	w1_d779e6059
des	w3_d779e6062
ersten	w5_d779e6065
18.	w7_d779e6068
Jahr	w9_d779e6071
lang	w11_d779e6074
vergeblich	w13_d779e6078
an.	w15_d779e6081
Der	w1_d779e6087
Senat	w3_d779e6090
nebst	w5_d779e6093
dem	w7_d779e6096
Adel	w9_d779e6099
des	w11_d779e6102
Herzogthums	w13_d779e6106
begehrten	w1_d779e6111
sodann	w3_d779e6114
von	w5_d779e6117
dem	w7_d779e6120
König	w9_d779e6123
den	w11_d779e6126
Königl.	w13_d779e6130
Prinzen	w1_d779e6135
Carl	w3_d779e6138
zum	w5_d779e6141
Herzog;	w7_d779e6144
die	w9_d779e6147
Erklärung	w11_d779e6150
der	w1_d779e6155
Kaiserin	w3_d779e6158
Ellsabeth	w5_d779e6161
glorreichen	w7_d779e6164
Gedächt	w9_d779e6167
nisse	w1_d779e6173
bewoge	w3_d779e6176
den	w5_d779e6179
König,	w7_d779e6182
und	w9_d779e6185
die	w11_d779e6188
1759.	w13_d779e6192
zwi	w15_d779e6195
schen	w1_d779e6200
ermeldter	w3_d779e6203
Souveraine	w5_d779e6206
und	w7_d779e6209
Sr.	w9_d779e6212
Königl	w11_d779e6215
Hoheit	w1_d779e6220
beschlossene	w3_d779e6223
Transaction	w5_d779e6226
erfolgte	w7_d779e6229
bald	w1_d779e6234
darauf.	w3_d779e6237
Daher	w5_d779e6240
war	w7_d779e6243
es	w9_d779e6246
ja	w11_d779e6249
ganz	w13_d779e6253
natür	w15_d779e6256
lich	w1_d779e6262
und	w3_d779e6265
ordrntlich,	w5_d779e6268
daß	w7_d779e6271
der	w9_d779e6274
König	w11_d779e6277
mit	w13_d779e6281
Bey	w15_d779e6284
stimmung	w1_d779e6289
seinns	w3_d779e6292
Senats,	w5_d779e6295
Senatoren	w7_d779e6298
nach	w9_d779e6301
Curland	w1_d779e6306
sandte,	w3_d779e6309
von	w5_d779e6312
den	w7_d779e6315
entstandenen	w9_d779e6318
Un	w11_d779e6321
ruhen	w1_d779e6326
in	w3_d779e6329
diesem	w5_d779e6332
Herzogthum	w7_d779e6335
und	w9_d779e6338
denen,	w11_d779e6341
durch	w1_d779e6347
die	w3_d779e6350
Kaiserl.	w5_d779e6353
Trupen	w7_d779e6356
ausgeübten	w9_d779e6359
Ge	w11_d779e6362
walthätigkeiten,	w1_d779e6367
Erkündigung	w3_d779e6370
einzuziehen.	w5_d779e6373
</p>
<p id="p20_d779e6376">
Es	w1_d779e6380
könne	w3_d779e6383
dahero,	w5_d779e6386
ohne	w7_d779e6389
offenbarer	w9_d779e6392
Ver	w11_d779e6395
letzung	w1_d779e6400
des	w3_d779e6403
Völker	w5_d779e6406
rechts	w7_d779e6409
und	w9_d779e6412
Uebertretung	w11_d779e6415
der	w1_d779e6420
zwischen	w3_d779e6423
Pohlen	w5_d779e6426
und	w7_d779e6429
Rußland	w9_d779e6432
bestehen	w11_d779e6435
den	w1_d779e6441
Tractaten,	w3_d779e6444
die	w5_d779e6447
beyden	w7_d779e6450
abgeordneten	w9_d779e6453
Se	w11_d779e6456
natoren	w1_d779e6461
an	w3_d779e6464
der	w5_d779e6467
Vollziehung	w7_d779e6470
des	w9_d779e6473
ihnen,	w11_d779e6476
in	w13_d779e6480
Kraft	w1_d779e6485
der	w3_d779e6488
Gesetze	w5_d779e6491
des	w7_d779e6494
Königreichs	w9_d779e6497
und	w11_d779e6500
alten	w13_d779e6504
</p>
<p id="p22_d779e6507">
Herkomens,	w1_d779e6511
geschehenen	w3_d779e6514
Auftrags	w5_d779e6517
nicht	w7_d779e6520
ab	w9_d779e6523
gehalten	w1_d779e6528
werden.	w3_d779e6531
</p>
<p id="p24_d779e6535">
Wenn	w1_d779e6539
Jhro	w3_d779e6542
Kaiserl.	w5_d779e6545
Majest.	w7_d779e6548
den	w9_d779e6551
Königll.	w11_d779e6554
Prinzen	w1_d779e6559
Carl	w3_d779e6562
nicht	w5_d779e6565
als	w7_d779e6568
Herzog	w9_d779e6571
van	w11_d779e6574
Curland	w13_d779e6578
erkennen,	w1_d779e6583
so	w3_d779e6586
ist	w5_d779e6589
es	w7_d779e6592
ein	w9_d779e6595
Unglück	w11_d779e6598
für	w13_d779e6602
die	w15_d779e6605
sen	w1_d779e6611
Prinzen,	w3_d779e6614
das	w5_d779e6617
Lehen	w7_d779e6620
aber	w9_d779e6623
ist	w11_d779e6626
nichts	w13_d779e6630
destoweniger	w1_d779e6635
unter	w3_d779e6638
der	w5_d779e6641
Souverainite	w7_d779e6644
des	w9_d779e6647
Königs.	w1_d779e6652
Die	w3_d779e6655
diesfallsigen	w5_d779e6658
Gerechtsame	w7_d779e6661
und	w1_d779e6666
Titul	w3_d779e6669
Sr.	w5_d779e6672
Majestät	w7_d779e6675
sind	w9_d779e6678
unwidersprech	w11_d779e6681
lich,	w1_d779e6687
und	w3_d779e6690
seit	w5_d779e6693
zwey	w7_d779e6696
Jahrhundert	w9_d779e6699
her,	w11_d779e6702
iss	w13_d779e6706
zwischen	w1_d779e6711
der	w3_d779e6714
Republic	w5_d779e6717
und	w7_d779e6720
ihren	w9_d779e6723
Königen	w11_d779e6726
wegen	w1_d779e6731
der	w3_d779e6734
Jhnen	w5_d779e6737
zugestandenen	w7_d779e6740
Gerechtsa	w9_d779e6743
me	w1_d779e6748
über	w3_d779e6751
dieses	w5_d779e6754
Lehen	w7_d779e6757
kein	w9_d779e6760
Streit	w11_d779e6763
gewesen.	w13_d779e6767
Nur	w1_d779e6773
in	w3_d779e6776
dem	w5_d779e6779
Fall,	w7_d779e6782
wenn	w9_d779e6785
es	w11_d779e6788
seine	w13_d779e6792
Natur	w15_d779e6795
ganz	w1_d779e6800
verändern	w3_d779e6803
und	w5_d779e6806
eine	w7_d779e6809
andere	w9_d779e6812
