<doc id="edoc_wd_1780-12-02" attrs="word" year="1780" month="12" day="02" corpus="1">
<p id="p4">
Monarchinn	w23
<g/>
,
und	w348
um	w349
2	w350
Uhr	w351
nach	w352
Mitternacht	w353
bereits	w354
im	w355
fertigen	w356
Stande	w357
sich	w358
befand	w359
<g/>
.
</p>
<p id="p9">
Es	w361
ist	w362
sehr	w363
zu	w364
bewundern	w365
<g/>
,
daß	w367
der	w368
feindliche	w369
Platz	w370
weder	w371
in	w372
der	w373
Nacht	w374
bey	w375
der	w376
Arbeit	w377
<g/>
,
noch	w379
am	w380
folgenden	w381
Morgen	w382
<g/>
,
da	w384
sich	w385
ein	w386
neues	w387
Werk	w388
soweit	w389
außer	w390
un=sern	w391
<g/>
=
Linien	w393
zeigte	w394
<g/>
,
nicht	w396
einmal	w397
eine	w398
Ka=none	w399
<g/>
=
auf	w401
uns	w402
abgefeuert	w403
<g/>
,
und	w405
noch	w406
viel	w407
weniger	w408
getrachtet	w409
habe	w410
selbes	w411
durch	w412
sei=ne	w413
<g/>
=
Artillerie	w415
zu	w416
verheeren	w417
<g/>
;
nur	w419
in	w420
den	w421
nachfolgenden	w422
Tagen	w423
wurden	w424
einige	w425
Feuer=kugeln	w426
<g/>
=
hineingeworfen	w428
<g/>
,
und	w430
Kartetschen=schüsse	w431
<g/>
=
<g/>
,
jedoch	w434
ohne	w435
guten	w436
Erfolg	w437
<g/>
,
dar=auf	w439
<g/>
=
abgefeuert	w441
<g/>
.
Man	w443
hat	w444
auch	w445
eine	w446
Kom=munikationslinie	w447
<g/>
=
mit	w449
gedachten	w450
Bollwer=ke	w451
<g/>
=
aufgeworfen	w453
<g/>
,
um	w455
die	w456
nöthigen	w457
Abglei=chungen	w458
<g/>
=
des	w460
Bodens	w461
zu	w462
Stande	w463
zu	w464
brin=gen	w465
<g/>
=
<g/>
,
und	w468
hernach	w469
Feuermörser	w470
darauf	w471
zu	w472
pflanzen	w473
<g/>
.
Die	w475
auf	w476
den	w477
Batterien	w478
aus=gestellte	w479
<g/>
=
Mannschaft	w481
beläuft	w482
sich	w483
auf	w484
620	w485
Köpfe	w486
<g/>
,
mit	w488
dem	w489
Befehle	w490
sich	w491
stäts	w492
fertig	w493
zu	w494
halten	w495
auf	w496
den	w497
1ten	w498
Wink	w499
Feuern	w500
zu	w501
können	w502
<g/>
.
Den	w504
3ten	w505
dieses	w506
wurde	w507
in	w508
den	w509
belagerten	w510
Platz	w511
ein	w512
Expresser	w513
mit	w514
Schrif=ten	w515
<g/>
=
aus	w517
unserem	w518
Lager	w519
hinein	w520
gesandt	w521
<g/>
,
und	w523
am	w524
folgenden	w525
Tage	w526
kam	w527
er	w528
mit	w529
der	w530
Antwort	w531
wieder	w532
zurück	w533
<g/>
;
man	w535
hat	w536
aber	w537
von	w538
dem	w539
Jnnhalt	w540
dieser	w541
ganzen	w542
Both=schaft	w543
<g/>
=
bis	w545
nunzu	w546
noch	w547
nichts	w548
erfahren	w549
können	w550
<g/>
.
Das	w552
Geschwader	w553
des	w554
Don	w555
Bar=celo	w556
<g/>
=
ist	w558
mit	w559
einem	w560
aus	w561
Karthagena	w562
ge=kommenen	w563
<g/>
=
Kriegs	w565
<g/>
=
und	w567
andern	w568
minder	w569
beträchtigen	w570
Schiffen	w571
verstärkt	w572
worden	w573
<g/>
.
Eine	w575
unsrige	w576
Schebeque	w577
hat	w578
einen	w579
eng=ländischen	w580
<g/>
=
Palander	w582
<g/>
,
von	w584
16	w585
Kanonen	w586
<g/>
,
so	w588
an	w589
der	w590
Spitze	w591
von	w592
Montone	w593
lag	w594
<g/>
,
ero=bert	w596
<g/>
=
<g/>
,
und	w599
nach	w600
Algeziras	w601
geführt	w602
<g/>
;
es	w604
soll	w605
dieses	w606
Schif	w607
sehr	w608
schön	w609
und	w610
ein	w611
Ge=schwindsegler	w612
<g/>
=
seyn	w614
<g/>
,
das	w616
mit	w617
2	w618
Fregatten	w619
seiner	w620
Nation	w621
aus	w622
England	w623
kam	w624
<g/>
,
die	w626
alle	w627
</p>
<p id="p10">
dem	w628
belagerten	w629
Platze	w630
zu	w631
Hilfe	w632
gesandt	w633
wurden	w634
<g/>
,
allein	w636
die	w637
Fregatten	w638
stießen	w639
auf	w640
einige	w641
unsrige	w642
Kriegsschiffe	w643
<g/>
,
die	w645
sogleich	w646
Jagd	w647
darauf	w648
machten	w649
<g/>
,
wovon	w651
aber	w652
der	w653
Erfolg	w654
noch	w655
nicht	w656
bekannt	w657
ist	w658
<g/>
,
das	w660
tige	w661
Palanderschif	w662
entwischte	w663
zwar	w664
noch	w665
unseren	w666
Kriegsschiffen	w667
<g/>
,
fiel	w669
aber	w670
dennoch	w671
wie	w672
oben	w673
gesagt	w674
worden	w675
<g/>
,
in	w677
unsere	w678
Hän=de	w679
<g/>
;
der	w681
Kapitain	w682
desselben	w683
hatte	w684
nicht	w685
mehr	w686
Zeit	w687
seine	w688
für	w689
Gibraltar	w690
aufgeh	w691
Briefschaften	w692
in	w693
die	w694
See	w695
zu	w696
werfen	w697
<g/>
,
wel=che	w699
<g/>
=
dann	w701
auch	w702
alsogleich	w703
an	w704
unsern	w705
abgefertigt	w706
worden	w707
sind	w708
<g/>
.
Letztlich	w710
sind	w711
engländische	w712
Fregatten	w713
von	w714
einigen	w715
uns=rigen	w716
Korsaren	w717
gekappert	w718
<g/>
,
und	w720
nach	w721
Al=geziras	w722
<g/>
=
gebracht	w724
worden	w725
<g/>
;
man	w727
sagt	w728
gewiß	w729
<g/>
,
daß	w731
diese	w732
zween	w733
auf	w734
dem	w735
Kreutz	w736
vor	w737
der	w738
Mündung	w739
der	w740
Meerenge	w741
ertappten	w742
Schiffe	w743
<g/>
,
und	w745
ein	w746
anderes	w747
<g/>
,
so	w749
schon	w750
vor=her	w751
eingebracht	w752
worden	w753
ist	w754
<g/>
,
die	w756
nämli=chen	w757
<g/>
=
3	w759
wären	w760
<g/>
,
so	w762
in	w763
einer	w764
der	w765
vorherge=henden	w766
<g/>
=
Nächte	w768
aus	w769
dem	w770
feindlichen	w771
Hä=ven	w772
<g/>
=
herausgeschlichen	w774
waren	w775
<g/>
,
in	w777
der	w778
Ab=sicht	w779
<g/>
=
jene	w781
Schiffe	w782
zu	w783
begleiten	w784
<g/>
,
so	w786
Lebens=mittel	w787
<g/>
=
dahin	w789
bringen	w790
sollten	w791
<g/>
,
als	w793
woran	w794
es	w795
der	w796
Besatzung	w797
sehr	w798
gebrechen	w799
soll	w800
<g/>
.
</p>
<head id="hl2">
Paris	w802
den	w803
17	w804
<g/>
.
Winterm	w806
<g/>
.
</head>
<p id="p11">
Den	w808
12	w809
<g/>
.
dieses	w811
hatte	w812
der	w813
Graf	w814
v	w815
<g/>
.
M	w817
stier	w818
<g/>
,
königl	w820
<g/>
.
Bevollmächtigter	w822
Minister	w823
bey	w824
dem	w825
Herrn	w826
Kuhrfürsten	w827
von	w828
Tri	w829
so	w830
auf	w831
Urlaub	w832
einige	w833
Zeit	w834
hier	w835
sich	w836
auf=gehalten	w837
<g/>
=
hat	w839
<g/>
,
die	w841
Ehre	w842
Sr	w843
<g/>
.
Majestät	w845
dem	w846
König	w847
<g/>
,
durch	w849
den	w850
Staatsminister	w851
in	w852
auswärtigen	w853
Geschäften	w854
<g/>
,
Herrn	w856
Gra=fen	w857
von	w858
Vergennes	w859
<g/>
,
zu	w861
Versailles	w862
vor=gestellt	w863
zu	w864
werden	w865
<g/>
,
und	w867
von	w868
Sr	w869
<g/>
.
Ma=jestät	w871
vor	w872
seiner	w873
demnächst	w874
bevorstehenden	w875
Abreise	w876
nach	w877
seinen	w878
Gesandschaftsposten	w879
sich	w880
zu	w881
beurlauben	w882
<g/>
.
</p>
<p id="p12">
Bey	w884
der	w885
unter	w886
dem	w887
Geleite	w888
des	w889
Gra=fen	w890
von	w891
Guichen	w892
glücklich	w893
nach	w894
Hause	w895
gekommenen	w896
Kauffarteyflotte	w897
<g/>
,
waren	w899
kei=ne	w900
<g/>
=
spanische	w902
Gallionen	w903
aus	w904
Veracrux	w905
mit=befindliich	w906
<g/>
=
<g/>
;
und	w909
spricht	w910
man	w911
nur	w912
von	w913
Millionen	w914
Piastern	w915
<g/>
,
die	w917
auf	w918
diesen	w919
9	w920
<g/>
.
Schiffen	w922
vertheilt	w923
mitgekommen	w924
seyn	w925
sol=len	w926
<g/>
=
<g/>
.
Unsere	w929
Handelsleute	w930
haben	w931
mit	w932
der	w933
grösten	w934
Freude	w935
vernommen	w936
<g/>
,
daß	w938
weder	w939
Schiffe	w940
noch	w941
Waaren	w942
den	w943
mindesten	w944
Scha=den	w945
<g/>
=
genommen	w947
<g/>
,
und	w949
hoft	w950
man	w951
daher	w952
daß	w953
sie	w954
wohl	w955
behalten	w956
weiter	w957
in	w958
ihren	w959
best=bestimmten	w960
<g/>
=
</p>
<p id="p13">
immten	w962
Häven	w963
eintreffen	w964
werden	w965
<g/>
.
Die	w967
Kriegsschiffe	w968
<g/>
,
so	w970
erwähnter	w971
Herr	w972
von	w973
Guichen	w974
an	w975
den	w976
Jnseln	w977
zurückgelassen	w978
hat	w979
<g/>
,
stehen	w981
unter	w982
den	w983
Befehlen	w984
des	w985
Ritters	w986
nteil	w987
<g/>
,
und	w989
wie	w990
man	w991
sagt	w992
<g/>
,
sollen	w994
die=se	w995
<g/>
=
zu	w997
den	w998
Schiffen	w999
des	w1000
Ritters	w1001
Ternay	w1002
t	w1003
gestossen	w1004
werden	w1005
<g/>
;
die	w1007
nach	w1008
Rhode	w1009
island	w1010
bestimmten	w1011
Schiffe	w1012
werden	w1013
aus	w1014
st	w1015
mit	w1016
Truppen	w1017
beladen	w1018
unter	w1019
See=gel	w1020
<g/>
=
gehen	w1022
<g/>
.
Das	w1024
Korps	w1025
des	w1026
Grafens	w1027
von	w1028
chambeau	w1029
<g/>
,
und	w1031
das	w1032
Kriegsheer	w1033
des	w1034
Generals	w1035
Washington	w1036
sind	w1037
stark	w1038
genug	w1039
um	w1040
Pllatz	w1041
Neuyork	w1042
anzugreifen	w1043
<g/>
,
oder	w1045
we=nigstens	w1046
<g/>
=
den	w1048
General	w1049
Clinton	w1050
nicht	w1051
zu	w1052
chten	w1053
<g/>
.
Es	w1055
ist	w1056
sehr	w1057
wahrscheinlich	w1058
<g/>
,
daß	w1060
Admiral	w1061
Hood	w1062
nach	w1063
Neuyork	w1064
bestimmt	w1065
sein	w1066
werde	w1067
<g/>
,
hingegen	w1069
der	w1070
Admiral	w1071
Rod	w1072
<g/>
=
<g/>
,
dessen	w1075
Schiffe	w1076
durch	w1077
die	w1078
Bank	w1079
einer	w1080
Ausbesserung	w1081
nöthig	w1082
haben	w1083
<g/>
,
nach	w1085
Eng=land	w1086
<g/>
=
zurück	w1088
seegeln	w1089
dürfte	w1090
<g/>
,
seine	w1092
unter	w1093
dem	w1094
Wendekreise	w1095
vorgenommene	w1096
Kreutz=fahrt	w1097
<g/>
=
<g/>
,
allwo	w1100
ihn	w1101
Herr	w1102
von	w1103
Kersaint	w1104
an=getroffen	w1105
<g/>
=
hat	w1107
<g/>
,
ist	w1109
ein	w1110
Zug	w1111
seiner	w1112
gewöhn=lichen	w1113
<g/>
=
klugen	w1115
Vorsicht	w1116
<g/>
,
denn	w1118
eben	w1119
da	w1120
ist	w1121
der	w1122
Weeg	w1123
<g/>
,
den	w1125
unsere	w1126
Kauffartey	w1127
<g/>
=
und	w1129
an=dere	w1130
<g/>
=
Schiffe	w1132
zu	w1133
nehmen	w1134
pflegen	w1135
<g/>
,
um	w1137
nach	w1138
Amerika	w1139
zu	w1140
seegeln	w1141
<g/>
,
oder	w1143
von	w1144
da	w1145
zurück	w1146
zu	w1147
kehren	w1148
<g/>
.
Da	w1150
die	w1151
engländische	w1152
Flotte	w1153
<g/>
,
so	w1155
29	w1156
<g/>
.
Weinm	w1158
<g/>
.
32	w1160
bis	w1161
35	w1162
Seegel	w1163
stark	w1164
<g/>
,
mit	w1166
begriff	w1167
der	w1168
unter	w1169
dem	w1170
Contreadmiral	w1171
od	w1172
stehenden	w1173
Schiffe	w1174
<g/>
,
ausgelaufen	w1176
ist	w1177
<g/>
,
wohl	w1179
keinen	w1180
andern	w1181
Zielzweck	w1182
haben	w1183
moch=ten	w1184
<g/>
=
als	w1186
die	w1187
Festung	w1188
Gibraltar	w1189
mit	w1190
Lebensmit=teln	w1191
<g/>
=
zu	w1193
versehen	w1194
<g/>
,
es	w1196
möge	w1197
auch	w1198
kosten	w1199
was	w1200
es	w1201
wolle	w1202
<g/>
,
so	w1204
zweifelt	w1205
man	w1206
stark	w1207
daß	w1208
der	w1209
Graf	w1210
Estaing	w1211
<g/>
,
der	w1213
sich	w1214
darauf	w1215
bereits	w1216
versehen	w1217
hat	w1218
<g/>
,
den	w1220
Haven	w1221
Kadix	w1222
bey	w1223
ei=nem	w1224
<g/>
=
so	w1226
kritischen	w1227
Zeitpunkte	w1228
<g/>
,
verlassen	w1230
<g/>
,
nach	w1232
Brest	w1233
zurückkehren	w1234
werde	w1235
<g/>
;
soll=te	w1237
<g/>
=
der	w1239
indessen	w1240
aber	w1241
dennoch	w1242
nach	w1243
Frank=reich	w1244
<g/>
=
kommen	w1246
<g/>
,
so	w1248
wird	w1249
er	w1250
39	w1251
wohl	w1252
aus=gerüstete	w1253
<g/>
=
Schiffe	w1255
dem	w1256
Admirale	w1257
Darby	w1258
<g/>
,
im	w1260
Fall	w1261
er	w1262
ihn	w1263
antreffen	w1264
sollte	w1265
<g/>
,
entgegen	w1267
Rebellen	w1268
haben	w1269
<g/>
,
und	w1271
die	w1272
spanische	w1273
Flotte	w1274
d	w1275
indessen	w1276
ganz	w1277
beysammen	w1278
bleiben	w1279
<g/>
,
die	w1281
Meerenge	w1282
von	w1283
Gibraltar	w1284
zu	w1285
be	w1286
<g/>
=
chen	w1288
<g/>
.
</p>
<p id="p14">
Aus	w1290
Brest	w1291
wird	w1292
folgendes	w1293
einberichtet	w1294
<g/>
:
Königl	w1296
<g/>
.
Kriegsschiffe	w1298
<g/>
,
welche	w1300
eine	w1301
aus	w1302
5	w1303
Seegeln	w1304
bestehende	w1305
Kauffartheyflot=te	w1306
<g/>
=
so	w1308
aus	w1309
Bordeaux	w1310
und	w1311
Nantes	w1312
kamkammen	w1313
<g/>
=
</p>
<p id="p15">
men	w1315
<g/>
,
dahin	w1317
begleitet	w1318
hatten	w1319
<g/>
,
sind	w1321
am	w1322
folgenden	w1323
Tage	w1324
gleich	w1325
wieder	w1326
ausgelau=fen	w1327
<g/>
=
<g/>
,
um	w1330
auf	w1331
einige	w1332
feindliche	w1333
Korsaren	w1334
<g/>
,
so	w1336
diese	w1337
Flotte	w1338
fruchtlos	w1339
verfolgt	w1340
hatten	w1341
<g/>
,
Jagd	w1343
zu	w1344
machen	w1345
<g/>
.
Den	w1347
4	w1348
und	w1349
5	w1350
<g/>
.
dieses	w1352
sind	w1353
auf	w1354
dasiger	w1355
Rhede	w1356
10	w1357
Schiffe	w1358
<g/>
,
näm=lich	w1360
<g/>
=
6	w1362
holländische	w1363
und	w1364
4	w1365
schwedische	w1366
an=gekommen	w1367
<g/>
=
<g/>
,
die	w1370
alle	w1371
mit	w1372
Kanonkugeln	w1373
<g/>
,
Schifftheer	w1375
<g/>
,
Dielen	w1377
<g/>
,
Hanf	w1379
<g/>
,
und	w1381
Thau=en	w1382
<g/>
=
befrachtet	w1384
waren	w1385
<g/>
.
Sie	w1387
sind	w1388
aus	w1389
Hol=land	w1390
<g/>
=
18	w1392
Seegel	w1393
stark	w1394
ausgelaufen	w1395
<g/>
,
die	w1397
8	w1398
andern	w1399
<g/>
,
die	w1401
man	w1402
noch	w1403
erwartet	w1404
<g/>
,
sol=len	w1406
<g/>
=
mit	w1408
Schiffbauholz	w1409
beladen	w1410
seyn	w1411
<g/>
,
ein	w1413
Artikel	w1414
<g/>
,
dessen	w1416
wir	w1417
so	w1418
sehr	w1419
bedarfen	w1420
<g/>
,
daß	w1422
sogar	w1423
die	w1424
Zimmerarbeiten	w1425
auf	w1426
einige	w1427
Zeit	w1428
gehemmt	w1429
sind	w1430
<g/>
.
Die	w1432
Regimenter	w1433
von	w1434
Li=mosin	w1435
<g/>
=
<g/>
,
und	w1438
von	w1439
Vexin	w1440
haben	w1441
die	w1442
von	w1443
uns	w1444
ausmarschirten	w1445
Truppen	w1446
wieder	w1447
er=setzt	w1448
<g/>
=
<g/>
.
Man	w1451
sagt	w1452
ein	w1453
Staabsoffizier	w1454
vom	w1455
Regimente	w1456
Dillon	w1457
sey	w1458
angeklagt	w1459
wor=den	w1460
<g/>
=
<g/>
,
daß	w1463
er	w1464
die	w1465
Regimentskasse	w1466
verschleu=dert	w1467
<g/>
=
habe	w1469
<g/>
,
und	w1471
deswegen	w1472
dem	w1473
Kriegs=rathe	w1474
<g/>
=
zu	w1476
Lille	w1477
zur	w1478
weiteren	w1479
Untersuchung	w1480
übergeben	w1481
worden	w1482
sey	w1483
<g/>
.
</p>
<head id="hl3">
Londen	w1485
den	w1486
14	w1487
<g/>
.
Wintermonat	w1489
<g/>
.
</head>
<p id="p16">
Gestern	w1491
<g/>
,
Morgens	w1493
<g/>
,
ist	w1495
der	w1496
Kapitain	w1497
St	w1498
<g/>
.
Georg	w1500
<g/>
,
ein	w1502
Adjudant	w1503
des	w1504
Generals	w1505
Klinton	w1506
<g/>
,
als	w1508
Expresser	w1509
alhier	w1510
aus	w1511
Neu=york	w1512
<g/>
=
angekommen	w1514
<g/>
.
Er	w1516
hat	w1517
die	w1518
Fahrt	w1519
am	w1520
Borde	w1521
der	w1522
Fregatte	w1523
<g/>
,
die	w1525
Fortuna	w1526
<g/>
,
von	w1528
da	w1529
am	w1530
16	w1531
<g/>
.
Weinmonat	w1533
angestellt	w1534
<g/>
,
und	w1536
ist	w1537
zu	w1538
Portsmouth	w1539
<g/>
,
ausgestiegen	w1541
<g/>
.
Seine	w1543
mitgebrachten	w1544
Berichte	w1545
an	w1546
den	w1547
Hof	w1548
setzen	w1549
das	w1550
hiesige	w1551
Publikum	w1552
in	w1553
nicht	w1554
ge=ringe	w1555
<g/>
=
Verwunderung	w1557
<g/>
.
Jhr	w1559
ganzer	w1560
Jn=halt	w1561
<g/>
=
ist	w1563
noch	w1564
so	w1565
umständlich	w1566
nicht	w1567
bekannt	w1568
<g/>
;
doch	w1570
sagt	w1571
man	w1572
vor	w1573
der	w1574
Hand	w1575
<g/>
,
in	w1577
dem	w1578
Lager	w1579
der	w1580
Rebellen	w1581
unter	w1582
dem	w1583
Generale	w1584
Washington	w1585
herrsche	w1586
eine	w1587
grosse	w1588
Unei=nigkeit	w1589
<g/>
=
<g/>
,
seitdem	w1592
die	w1593
Franzosen	w1594
auf	w1595
Rho=deisland	w1596
<g/>
=
gelandet	w1598
sind	w1599
<g/>
.
Dieses	w1601
ist	w1602
aber	w1603
das	w1604
wichtigste	w1605
nicht	w1606
<g/>
.
Arnold	w1608
<g/>
,
ein	w1610
be=rühmter	w1611
<g/>
=
General	w1613
der	w1614
Amerikaner	w1615
<g/>
,
ist	w1617
gegen	w1618
seine	w1619
Landesleute	w1620
zum	w1621
Verräther	w1622
worden	w1623
<g/>
.
Er	w1625
wollte	w1626
dem	w1627
brittischen	w1628
Ge=nerale	w1629
<g/>
=
einen	w1631
Theil	w1632
der	w1633
amerikanischen	w1634
Armee	w1635
von	w1636
3	w1637
bis	w1638
4000	w1639
Mann	w1640
<g/>
,
die	w1642
er	w1643
kommandirte	w1644
<g/>
,
in	w1646
die	w1647
Hände	w1648
spielen	w1649
<g/>
,
und	w1651
alsdann	w1652
sich	w1653
zugleich	w1654
zum	w1655
Gefangenen	w1656
ergeben	w1657
<g/>
.
So	w1659
war	w1660
einstweilen	w1661
der	w1662
Antrag	w1663
<g/>
;
da	w1665
aber	w1666
einige	w1667
mit	w1668
ihm	w1669
zu	w1670
verabredende	w1671
</p>
<p id="p17">
Masnehmungen	w1672
noch	w1673
nicht	w1674
völlig	w1675
ihre	w1676
Richtigkeit	w1677
hatten	w1678
<g/>
,
so	w1680
fertigte	w1681
der	w1682
brit=tische	w1683
<g/>
=
General	w1685
seinen	w1686
Generaladjudanten	w1687
St	w1688
<g/>
.
Andre	w1690
zu	w1691
ihm	w1692
<g/>
,
welcher	w1694
in	w1695
einer	w1696
Bauerntracht	w1697
seinen	w1698
Auftrag	w1699
bereits	w1700
glücklich	w1701
vollzogen	w1702
<g/>
,
und	w1704
aus	w1705
den	w1706
feind=lichen	w1707
<g/>
=
Linien	w1709
auf	w1710
der	w1711
Rückkehre	w1712
nach	w1713
Neu=york	w1714
<g/>
=
begriffen	w1716
war	w1717
<g/>
.
Der	w1719
heimliche	w1720
An=schlag	w1721
<g/>
=
ward	w1723
aber	w1724
in	w1725
der	w1726
vorhergegange=nen	w1727
<g/>
=
Nacht	w1729
entdecket	w1730
<g/>
,
gedachter	w1732
General=adjudant	w1733
<g/>
=
von	w1735
einem	w1736
fliegenden	w1737
Korps	w1738
der	w1739
amerikanischen	w1740
Armee	w1741
angehalten	w1742
<g/>
,
und	w1744
unmittelbar	w1745
zu	w1746
dem	w1747
Generale	w1748
Was=hington	w1749
<g/>
=
gebracht	w1751
<g/>
.
Der	w1753
Major	w1754
St	w1755
<g/>
.
An=dre	w1757
<g/>
=
soll	w1759
<g/>
,
wie	w1761
man	w1762
sagt	w1763
<g/>
,
seine	w1765
göldene	w1766
Sackuhr	w1767
<g/>
,
hernächst	w1769
aber	w1770
100	w1771
Guineen	w1772
dieser	w1773
Feldwache	w1774
angebothen	w1775
haben	w1776
<g/>
,
wenn	w1778
sie	w1779
ihn	w1780
frey	w1781
lassen	w1782
wollte	w1783
<g/>
.
Durch	w1785
solche	w1786
Bestechung	w1787
wurden	w1788
die	w1789
Amerika=ner	w1790
<g/>
=
in	w1792
dem	w1793
Verdachte	w1794
auf	w1795
ihm	w1796
noch	w1797
mehr	w1798
bestärket	w1799
<g/>
,
so	w1801
<g/>
,
daß	w1803
sie	w1804
ihn	w1805
schärfer	w1806
<g/>
,
als	w1808
vorher	w1809
<g/>
,
bewachten	w1811
<g/>
.
Sobald	w1813
er	w1814
zu	w1815
dem	w1816
Generale	w1817
geführt	w1818
<g/>
,
und	w1820
erkannt	w1821
worden	w1822
<g/>
,
zu	w1824
gleicher	w1825
Zeit	w1826
aber	w1827
die	w1828
Nachricht	w1829
ein=gegangen	w1830
<g/>
=
war	w1832
<g/>
,
daß	w1834
Arnold	w1835
sich	w1836
wirk=lich	w1837
<g/>
=
aus	w1839
dem	w1840
Staube	w1841
gemacht	w1842
hätte	w1843
<g/>
,
ließ	w1845
der	w1846
Feldherr	w1847
Washington	w1848
dem	w1849
Ge=nerale	w1850
<g/>
=
Klinton	w1852
die	w1853
Auswechselung	w1854
des	w1855
Majors	w1856
St	w1857
<g/>
.
Andre	w1859
gegen	w1860
den	w1861
durchge=gangenen	w1862
<g/>
=
General	w1864
anbieten	w1865
<g/>
.
Herr	w1867
Klin=ton	w1868
<g/>
=
erwiederte	w1870
<g/>
,
