<doc id="wr_1763-06-11" attrs="word" year="1763" month="06" day="11" corpus="2">
<head id="h2_d765e3120">
Belle=isle	w1_d765e3124
Unterredung	w5_d765e3544
damit	w7_d765e3547
fürgeschritten.	w1_d765e3552
Eine	w3_d765e3555
Compagnie	w5_d765e3558
Französi	w7_d765e3561
sche	w1_d765e3566
Grenadiers	w3_d765e3569
lösete	w5_d765e3572
das	w7_d765e3575
Wacht=habende	w9_d765e3578
Englische	w1_d765e3584
Commando	w3_d765e3587
ab,	w5_d765e3590
und	w7_d765e3593
dieses	w9_d765e3596
mar	w11_d765e3599
schirte	w1_d765e3604
zu	w3_d765e3607
dem	w5_d765e3610
einen	w7_d765e3613
Thor	w9_d765e3616
hinaus,	w11_d765e3619
so	w13_d765e3623
wie	w15_d765e3626
die	w1_d765e3631
Französische	w3_d765e3634
Trupen	w5_d765e3637
durch	w7_d765e3640
das	w9_d765e3643
andere	w11_d765e3646
einrückten.	w1_d765e3651
Die	w3_d765e3654
übrige	w5_d765e3657
Englische	w7_d765e3660
Trupen	w9_d765e3663
mit	w1_d765e3669
ihren	w3_d765e3672
sämmentlichen	w5_d765e3675
Habseligkeiten	w7_d765e3678
wa	w9_d765e3681
ren	w1_d765e3686
bereits	w3_d765e3689
eingeschift.	w5_d765e3692
Abends	w7_d765e3695
gab	w9_d765e3698
der	w11_d765e3701
neue	w1_d765e3706
Französische	w3_d765e3709
Befehlshaber	w5_d765e3712
denen	w7_d765e3715
vor	w9_d765e3718
nehmsten	w1_d765e3723
Englischen	w3_d765e3726
Officiers	w5_d765e3729
ein	w7_d765e3732
grosses	w9_d765e3735
Tractament,	w1_d765e3741
und	w3_d765e3744
begleitete	w5_d765e3747
sie	w7_d765e3750
hernach	w9_d765e3753
zu	w11_d765e3756
ihren	w1_d765e3761
Schiffen.	w3_d765e3764
Um	w5_d765e3767
Mitternacht	w7_d765e3770
wurden	w9_d765e3773
die	w1_d765e3778
Anker	w3_d765e3781
gelichtet,	w5_d765e3784
um	w7_d765e3787
2.	w9_d765e3790
Uhr	w11_d765e3793
gieng	w13_d765e3797
das	w15_d765e3800
Ge	w17_d765e3803
schwader	w1_d765e3808
unter	w3_d765e3811
Stegel,	w5_d765e3814
und	w7_d765e3817
diesen	w9_d765e3820
Morgen	w11_d765e3823
war	w1_d765e3829
nicht	w3_d765e3832
das	w5_d765e3835
mindeste	w7_d765e3838
mehr	w9_d765e3841
von	w11_d765e3844
ihnen	w13_d765e3848
zu	w15_d765e3851
entdecken.	w1_d765e3856
</p>
<head id="h2_d765e3862">
Maynstrom	w1_d765e3866
31.	w3_d765e3869
May.	w5_d765e3872
</head>
<p id="p4_d765e3875">
Nachstehende	w1_d765e3879
Denk=schrift	w3_d765e3882
über	w5_d765e3885
die	w7_d765e3888
Cur	w9_d765e3891
ländische	w1_d765e3896
Sachen,	w3_d765e3899
wurde	w5_d765e3902
von	w7_d765e3905
dem	w9_d765e3908
Hrn.	w11_d765e3911
du	w13_d765e3915
</p>
<p id="p8_d765e3920">
Bois,	w1_d765e3924
Secretair	w3_d765e3927
des	w5_d765e3930
Königs	w7_d765e3933
von	w9_d765e3936
Pohlen	w11_d765e3939
und	w1_d765e3944
Churfürsten	w3_d765e3947
zu	w5_d765e3950
Sachsen,	w7_d765e3953
Jhro	w9_d765e3956
Hochmö	w11_d765e3959
genden	w1_d765e3964
denen	w3_d765e3967
Herren	w5_d765e3970
General=staaten	w7_d765e3973
über	w9_d765e3976
geben.	w1_d765e3982
Sie	w3_d765e3985
dienet	w5_d765e3988
auf	w7_d765e3991
die	w9_d765e3994
Zukunft,	w11_d765e3997
und	w13_d765e4001
ist	w15_d765e4004
allzuwichtig,	w1_d765e4009
als	w3_d765e4012
daß	w5_d765e4015
wir	w7_d765e4018
sie,	w9_d765e4021
ungeachtet	w11_d765e4024
ih	w13_d765e4028
rer	w1_d765e4033
Größe,	w3_d765e4036
unsern	w5_d765e4039
Blättern	w7_d765e4042
nach	w9_d765e4045
und	w11_d765e4048
nach	w13_d765e4052
nicht	w1_d765e4057
einverleiben	w3_d765e4060
sollten:	w5_d765e4063
</p>
<p id="p10_d765e4066">
Da	w1_d765e4070
die	w3_d765e4073
Ober=lehns=herrlichkeit	w5_d765e4076
des	w7_d765e4079
Kö	w9_d765e4082
nigs	w1_d765e4087
und	w3_d765e4090
der	w5_d765e4093
Republick	w7_d765e4096
Pohlen	w9_d765e4099
über	w11_d765e4102
die	w13_d765e4106
Herzogtümer	w1_d765e4111
Curland	w3_d765e4114
und	w5_d765e4117
Semigalien	w7_d765e4120
kei	w9_d765e4123
neswegs	w1_d765e4129
in	w3_d765e4132
Abrede	w5_d765e4135
zu	w7_d765e4138
setzen,	w9_d765e4141
so	w11_d765e4144
gehen	w13_d765e4148
auch	w15_d765e4151
alle	w1_d765e4156
diese	w3_d765e4159
Fürstentümer	w5_d765e4162
betreffende	w7_d765e4165
Sachen,	w9_d765e4168
offenbar	w1_d765e4173
die	w3_d765e4176
Republick	w5_d765e4179
an,	w7_d765e4182
und	w9_d765e4185
der	w11_d765e4188
König	w13_d765e4192
dürfte	w1_d765e4197
in	w3_d765e4200
Zweifels	w5_d765e4203
oder	w7_d765e4206
Strittigkeits=fällen,	w9_d765e4209
wie	w1_d765e4215
es	w3_d765e4218
scheint,	w5_d765e4221
niemand	w7_d765e4224
als	w9_d765e4227
der	w11_d765e4230
Nation	w13_d765e4234
da	w15_d765e4237
von	w1_d765e4242
Unterricht	w3_d765e4245
geben.	w5_d765e4248
</p>
<p id="p12_d765e4252">
Da	w1_d765e4256
sich	w3_d765e4259
aber	w5_d765e4262
eine	w7_d765e4265
benachbarte	w9_d765e4268
Macht,	w11_d765e4271
mit	w1_d765e4276
welcher	w3_d765e4279
der	w5_d765e4282
König	w7_d765e4285
und	w9_d765e4288
ganz	w11_d765e4291
Pohlen	w13_d765e4295
die	w15_d765e4298
durch	w1_d765e4303
Tractaten	w3_d765e4306
befestigte	w5_d765e4309
Freund	w7_d765e4312
und	w9_d765e4315
Nach	w11_d765e4318
barschaft	w1_d765e4324
zu	w3_d765e4327
unterhalten	w5_d765e4330
gedenken,	w7_d765e4333
sich	w9_d765e4336
durch	w11_d765e4339
unrichtige	w1_d765e4344
Vorstellungen	w3_d765e4347
einnehmen	w5_d765e4350
lassen,	w7_d765e4353
so	w1_d765e4358
liegt	w3_d765e4361
es	w5_d765e4364
allerdings	w7_d765e4367
daran,	w9_d765e4370
das	w11_d765e4373
Recht,	w13_d765e4377
und	w15_d765e4380
selbiger	w1_d765e4385
die	w3_d765e4388
reine	w5_d765e4391
Wahrheit	w7_d765e4394
in	w9_d765e4397
ungeschmink	w11_d765e4400
ter	w1_d765e4406
Gestalt	w3_d765e4409
vor	w5_d765e4412
Augen	w7_d765e4415
zu	w9_d765e4418
legen.	w11_d765e4421
Und	w13_d765e4425
weil	w15_d765e4428
der	w1_d765e4433
Prinz,	w3_d765e4436
dem	w5_d765e4439
man	w7_d765e4442
jetzo	w9_d765e4445
die	w11_d765e4448
Herzogtümer	w13_d765e4452
Curland	w1_d765e4457
und	w3_d765e4460
Semigalien	w5_d765e4463
streitig	w7_d765e4466
macht,	w9_d765e4469
ein	w11_d765e4472
Sohn	w1_d765e4477
des	w3_d765e4480
Königs	w5_d765e4483
ist,	w7_d765e4486
so	w9_d765e4489
wollen	w11_d765e4492
Se.	w13_d765e4496
Maje	w15_d765e4499
stät	w1_d765e4505
fordersamst	w3_d765e4508
nicht	w5_d765e4511
allein	w7_d765e4514
die	w9_d765e4517
Pohlnische	w11_d765e4520
Nation,	w1_d765e4525
sondern	w3_d765e4528
alle	w5_d765e4531
Mächte	w7_d765e4534
von	w9_d765e4537
ganz	w11_d765e4540
Eu	w13_d765e4544
ropa	w1_d765e4549
überzeugen,	w3_d765e4552
daß	w5_d765e4555
Sie	w7_d765e4558
in	w9_d765e4561
dieser	w11_d765e4564
wichtigen	w13_d765e4568
Sache	w1_d765e4573
nicht	w3_d765e4576
sowol	w5_d765e4579
der	w7_d765e4582
Vätterlichen	w9_d765e4585
Zärtlich	w11_d765e4588
keit,	w1_d765e4594
und	w3_d765e4597
zu	w5_d765e4600
dem	w7_d765e4603
Vortheil	w9_d765e4606
Dero	w11_d765e4609
Hauses,	w13_d765e4613
als	w15_d765e4616
der	w1_d765e4621
Würde	w3_d765e4624
und	w5_d765e4627
denen	w7_d765e4630
Gerechtsamen	w9_d765e4633
der	w11_d765e4636
Cro	w13_d765e4640
ne	w1_d765e4645
nachgehen.	w3_d765e4648
Die	w5_d765e4651
Gerechtigkeit=Liebe	w7_d765e4654
des	w9_d765e4657
Königs,	w1_d765e4662
Höchst=ihro	w3_d765e4665
Großmut	w5_d765e4668
und	w7_d765e4671
Uneigen	w9_d765e4674
nützigkeit	w1_d765e4680
sind	w3_d765e4683
vorhin	w5_d765e4686
dem	w7_d765e4689
ganzen	w9_d765e4692
Erdboden	w11_d765e4695
bekannt.	w1_d765e4700
Es	w3_d765e4703
beruhet	w5_d765e4706
also	w7_d765e4709
noch	w9_d765e4712
auf	w11_d765e4715
deme,	w13_d765e4719
darzuthun,	w1_d765e4724
daß	w3_d765e4727
der	w5_d765e4730
Jrrtum	w7_d765e4733
seine	w9_d765e4736
Einsicht	w11_d765e4739
nicht	w1_d765e4744
hintergangen,	w3_d765e4747
noch	w5_d765e4750
die	w7_d765e4753
Würkungen	w9_d765e4756
sei	w11_d765e4759
nes	w1_d765e4765
guten	w3_d765e4768
Willens	w5_d765e4771
abgelenkt	w7_d765e4774
hat.	w9_d765e4777
Wie	w11_d765e4780
dann	w13_d765e4784
solches	w1_d765e4789
in	w3_d765e4792
einer	w5_d765e4795
so	w7_d765e4798
ungezwungenen	w9_d765e4801
als	w11_d765e4804
auf	w13_d765e4808
die	w1_d765e4813
blosse	w3_d765e4816
Geschichte	w5_d765e4819
sich	w7_d765e4822
gründeten	w9_d765e4825
Geschichts	w11_d765e4828
erzählung	w1_d765e4833
überzeigend	w3_d765e4836
bewiesen	w5_d765e4839
werden	w7_d765e4842
soll.	w9_d765e4845
</p>
<p id="p14_d765e4848">
Als	w1_d765e4852
zu	w3_d765e4855
Anfang	w5_d765e4858
dieses	w7_d765e4861
Jahr=hunderts	w9_d765e4864
das	w1_d765e4869
Geschlecht	w3_d765e4872
der	w5_d765e4875
Kettler,	w7_d765e4878
Herzoge	w9_d765e4881
von	w11_d765e4884
Cur	w13_d765e4888
land,	w1_d765e4893
nur	w3_d765e4896
noch	w5_d765e4899
auf	w7_d765e4902
einem	w9_d765e4905
einzigen	w11_d765e4908
alten	w13_d765e4912
und	w15_d765e4915
schwachen	w1_d765e4921
Prinzen	w3_d765e4924
beruhete,	w5_d765e4927
so	w7_d765e4930
war	w9_d765e4933
in	w11_d765e4936
Poh	w13_d765e4940
len	w1_d765e4945
die	w3_d765e4948
Rede	w5_d765e4951
von	w7_d765e4954
Vereinigung	w9_d765e4957
dieses	w11_d765e4960
Lehens	w13_d765e4964
mit	w1_d765e4969
dem	w3_d765e4972
Corps	w5_d765e4975
der	w7_d765e4978
Republic;	w9_d765e4981
ja,	w11_d765e4984
eine	w13_d765e4988
we	w15_d765e4991
gen	w1_d765e4996
der	w3_d765e4999
Angelegenheiten	w5_d765e5002
dieses	w7_d765e5005
Landes,	w9_d765e5008
im	w11_d765e5011
Jahr	w1_d765e5017
1727.	w3_d765e5020
ernannte	w5_d765e5023
Commißion	w7_d765e5026
beschloß	w9_d765e5029
sogar:	w1_d765e5034
daß	w3_d765e5037
es	w5_d765e5040
gleich	w7_d765e5043
andern	w9_d765e5046
Provinzen	w11_d765e5049
einverleibet,	w1_d765e5054
und	w3_d765e5057
in	w5_d765e5060
Palatinate	w7_d765e5063
getheilet	w9_d765e5066
werden	w1_d765e5071
sollte.	w3_d765e5074
Allein	w5_d765e5077
die	w7_d765e5080
Stände	w9_d765e5083
von	w11_d765e5086
Cur	w13_d765e5090
land,	w1_d765e5096
so	w3_d765e5099
von	w5_d765e5102
ihrer	w7_d765e5105
alten	w9_d765e5108
Regierungs=form	w11_d765e5111
nicht	w1_d765e5116
gerne	w3_d765e5119
abweichen	w5_d765e5122
wolten,	w7_d765e5125
verlangten	w9_d765e5128
dabey	w1_d765e5133
erhalten	w3_d765e5136
zu	w5_d765e5139
werden.	w7_d765e5142
</p>
<p id="p16_d765e5145">
Der	w1_d765e5149
Land=tag	w3_d765e5152
zum	w5_d765e5155
Friedens=vergleich	w7_d765e5158
1736.	w1_d765e5163
ertheilte	w3_d765e5166
dem	w5_d765e5169
König	w7_d765e5172
in	w9_d765e5175
Betrachtung	w11_d765e5178
des	w1_d765e5183
unaufhörlichen	w3_d765e5186
von	w5_d765e5189
dem	w7_d765e5192
Curländi	w9_d765e5195
schen	w1_d765e5201
Adel	w3_d765e5204
beschehenen	w5_d765e5207
Ansuchens,	w7_d765e5210
und	w9_d765e5213
in	w11_d765e5216
der	w1_d765e5221
Absicht,	w3_d765e5224
daß	w5_d765e5227
die	w7_d765e5230
Herzoglichen	w9_d765e5233
Tafel	w11_d765e5236
güter	w1_d765e5241
zum	w3_d765e5244
Vortheil	w5_d765e5247
des	w7_d765e5250
Lehens,	w9_d765e5253
durch	w11_d765e5256
den	w1_d765e5261
Prinzen,	w3_d765e5264
welcher	w5_d765e5267
die	w7_d765e5270
Belehnung	w9_d765e5273
da	w11_d765e5276
von	w1_d765e5282
erhalten	w3_d765e5285
würde,	w5_d765e5288
solten	w7_d765e5291
Schulden	w9_d765e5294
frey	w1_d765e5299
werden,	w3_d765e5302
dem	w5_d765e5305
König	w7_d765e5308
die	w9_d765e5311
Macht,	w11_d765e5314
im	w13_d765e5318
Fall	w1_d765e5323
der	w3_d765e5326
Kettlerische	w5_d765e5329
Stamm	w7_d765e5332
erlöschen	w9_d765e5335
wür	w11_d765e5338
de,	w1_d765e5343
die	w3_d765e5346
Herzogthümer	w5_d765e5349
Curland	w7_d765e5352
und	w9_d765e5355
Semigal	w11_d765e5358
lien	w1_d765e5364
einem	w3_d765e5367
andern	w5_d765e5370
zu	w7_d765e5373
übertragen,	w9_d765e5376
unter	w11_d765e5379
de	w13_d765e5383
nen	w1_d765e5388
Bedingungen,	w3_d765e5391
welche	w5_d765e5394
durch	w7_d765e5397
die	w9_d765e5400
zu	w11_d765e5403
dem	w13_d765e5407
Ende	w1_d765e5412
verlängerte	w3_d765e5415
Commißion	w5_d765e5418
ausgemacht	w7_d765e5421
wurde.	w1_d765e5426
</p>
<p id="p18_d765e5429">
Wie	w1_d765e5433
das	w3_d765e5436
Jahr	w5_d765e5439
darauf	w7_d765e5442
1737.	w9_d765e5445
der	w11_d765e5448
Her	w13_d765e5452
zog	w1_d765e5457
Ferdinand,	w3_d765e5460
der	w5_d765e5463
letzte	w7_d765e5466
von	w9_d765e5469
den	w11_d765e5472
Kettlern,	w13_d765e5476
mit	w1_d765e5481
Tod	w3_d765e5484
abgegangen	w5_d765e5487
war,	w7_d765e5490
so	w9_d765e5493
wolte	w11_d765e5496
das	w13_d765e5500
Glück	w1_d765e5506
mit	w3_d765e5509
der	w5_d765e5512
menschlichen	w7_d765e5515
Hobeit	w9_d765e5518
ein	w11_d765e5521
Spiel	w13_d765e5525
treiben,	w1_d765e5530
und	w3_d765e5533
gab	w5_d765e5536
ihm	w7_d765e5539
einen	w9_d765e5542
Nachfolger,	w11_d765e5545
der	w1_d765e5550
von	w3_d765e5553
seiner	w5_d765e5556
Geburt	w7_d765e5559
zu	w9_d765e5562
einer	w11_d765e5565
so	w13_d765e5569
hohen	w15_d765e5572
Würde	w1_d765e5577
gar	w3_d765e5580
nicht	w5_d765e5583
bestimmt	w7_d765e5586
zu	w9_d765e5589
seyn	w11_d765e5592
schie	w13_d765e5596
ne;	w1_d765e5602
den	w3_d765e5605
Ernst	w5_d765e5608
Johann	w7_d765e5611
Biron	w9_d765e5614
(oder	w11_d765e5617
viel	w13_d765e5621
mehr	w1_d765e5626
Bühren)	w3_d765e5629
der	w5_d765e5632
1750.	w7_d765e5635
als	w9_d765e5638
er	w11_d765e5641
das	w13_d765e5645
Jn	w15_d765e5648
digenat	w1_d765e5653
verlangte,	w3_d765e5656
selbst	w5_d765e5659
erkannt	w7_d765e5662
hatte,	w9_d765e5665
daß	w11_d765e5668
er	w1_d765e5673
kein	w3_d765e5676
Curländischer	w5_d765e5679
Edelmann	w7_d765e5682
sey;	w9_d765e5685
nach	w11_d765e5688
dem	w1_d765e5694
er	w3_d765e5697
aber	w5_d765e5700
durch	w7_d765e5703
die	w9_d765e5706
Gnade	w11_d765e5709
der	w13_d765e5713
Kaiserin	w15_d765e5716
Anna	w1_d765e5721
schnell	w3_d765e5724
in	w5_d765e5727
die	w7_d765e5730
Höhe	w9_d765e5733
und	w11_d765e5736
zur	w13_d765e5740
Gräfli	w15_d765e5743
</p>
<p id="p24_d765e5757">
chen	w1_d765e5761
Würde	w3_d765e5764
und	w5_d765e5767
der	w7_d765e5770
Charge	w9_d765e5773
eines	w11_d765e5776
Ober	w13_d765e5780
cämmerers	w1_d765e5785
von	w3_d765e5788
Rußland	w5_d765e5791
gelanget	w7_d765e5794
war,	w9_d765e5797
so	w11_d765e5800
erstreckte	w1_d765e5805
er	w3_d765e5808
seine	w5_d765e5811
Absichten	w7_d765e5814
auch	w9_d765e5817
bis	w11_d765e5820
auf	w13_d765e5824
den	w1_d765e5830
Herzog=hut;	w3_d765e5833
seine	w5_d765e5836
Wolthäterin	w7_d765e5839
un	w9_d765e5842
terstützte	w1_d765e5847
ihn	w3_d765e5850
mit	w5_d765e5853
aller	w7_d765e5856
Macht,	w9_d765e5859
und	w11_d765e5862
er	w13_d765e5866
wuste	w1_d765e5871
die	w3_d765e5874
mannigfaltigen	w5_d765e5877
Trieb=federn	w7_d765e5880
mit	w1_d765e5885
solcher	w3_d765e5888
Würksamkeit	w5_d765e5891
spielen	w7_d765e5894
zu	w9_d765e5897
las	w11_d765e5900
sen,	w1_d765e5906
daß	w3_d765e5909
der	w5_d765e5912
Curländische	w7_d765e5915
Adel	w9_d765e5918
sich	w11_d765e5921
genö	w13_d765e5925
thiget	w1_d765e5930
sahe,	w3_d765e5933
ihn	w5_d765e5936
zum	w7_d765e5939
Herzog	w9_d765e5942
zu	w11_d765e5945
begehren,	w13_d765e5949
und	w1_d765e5954
dieses	w3_d765e5957
Verlangen	w5_d765e5960
wurde	w7_d765e5963
von	w9_d765e5966
dem	w11_d765e5969
Rus	w13_d765e5973
sischen	w1_d765e5978
Hof	w3_d765e5981
nachdrücklich	w5_d765e5984
unterstützet.	w7_d765e5987
</p>
<head id="h2_d765e5993">
(Die	w1_d765e5997
Fortsetzung	w3_d765e6000
folgt	w5_d765e6003
künftig.)	w7_d765e6006
Münster	w1_d765e6011
24.	w3_d765e6014
May.	w5_d765e6017
</head>
<p id="p4_d765e6020">
Es	w1_d765e6024
war	w3_d765e6027
der	w5_d765e6030
18te	w7_d765e6033
dieses	w9_d765e6036
Monats,	w11_d765e6039
wel	w13_d765e6043
cher	w1_d765e6048
zu	w3_d765e6051
dem	w5_d765e6054
Einzug	w7_d765e6057
unsers	w9_d765e6060
gnädigsten	w11_d765e6063
Lan	w13_d765e6067
des=herrn	w1_d765e6072
bestimmet	w3_d765e6075
war	w5_d765e6078
Zu	w7_d765e6081
dem	w9_d765e6084
Ende	w11_d765e6087
versamleten	w1_d765e6093
sich	w3_d765e6096
schon	w5_d765e6099
um	w7_d765e6102
4.	w9_d765e6105
Uhr	w11_d765e6108
des	w13_d765e6112
Mor	w15_d765e6115
gens	w1_d765e6120
die	w3_d765e6123
zwey	w5_d765e6126
neu	w7_d765e6129
aufgerichteten	w9_d765e6132
Escadrons	w11_d765e6135
bürgerl.	w1_d765e6140
Reuterey	w3_d765e6143
auf	w5_d765e6146
dem	w7_d765e6149
neuen	w9_d765e6152
Platz	w11_d765e6155
Jhre	w1_d765e6160
Uniform	w3_d765e6163
war	w5_d765e6166
blau	w7_d765e6169
mit	w9_d765e6172
rothen	w11_d765e6175
Vesten	w13_d765e6179
Es	w1_d765e6185
defilirten	w3_d765e6188
dieselben	w5_d765e6191
durch	w7_d765e6194
die	w9_d765e6197
Stadt	w11_d765e6200
und	w13_d765e6204
durch	w1_d765e6209
das	w3_d765e6212
Aegidi=thor	w5_d765e6215
auf	w7_d765e6218
Albuchten,	w9_d765e6221
um	w11_d765e6224
daselbst	w1_d765e6229
Se.	w3_d765e6232
Churfürstl.	w5_d765e6235
Gnaden	w7_d765e6238
zu	w9_d765e6241
e	w11_d765e6244
|	w13_d765e6248
|	w15_d765e6251
warten.	w1_d765e6256
Die	w3_d765e6259
übrige	w5_d765e6262
ganze	w7_d765e6265
Bürgerschaft	w9_d765e6268
befande	w1_d765e6274
sich	w3_d765e6277
zu	w5_d765e6280
gleicher	w7_d765e6283
Zeit	w9_d765e6286
unter	w11_d765e6289
den	w13_d765e6293
Waf	w15_d765e6296
fen,	w1_d765e6301
und	w3_d765e6304
besetzte	w5_d765e6307
die	w7_d765e6310
Strassen	w9_d765e6313
von	w11_d765e6316
dem	w13_d765e6320
Aegidi=thor	w1_d765e6325
bis	w3_d765e6328
an	w5_d765e6331
das	w7_d765e6334
Frater=haus	w9_d765e6337
Um	w1_d765e6342
halber	w3_d765e6345
11.	w5_d765e6348
Uhr	w7_d765e6351
geschahe	w9_d765e6354
eine	w11_d765e6357
Losung	w13_d765e6361
von	w1_d765e6367
100.	w3_d765e6370
Canonen	w5_d765e6373
auf	w7_d765e6376
den	w9_d765e6379
Wällen,	w11_d765e6382
und	w13_d765e6386
zugleich	w1_d765e6391
wurden	w3_d765e6394
alle	w5_d765e6397
Glocken	w7_d765e6400
der	w9_d765e6403
Stadt	w11_d765e6406
ge	w13_d765e6410
läutet,	w1_d765e6415
als	w3_d765e6418
ein	w5_d765e6421
Signal,	w7_d765e6424
daß	w9_d765e6427
Se.	w11_d765e6430
Chur	w13_d765e6434
fürstl.	w1_d765e6439
Gnaden	w3_d765e6442
zu	w5_d765e6445
Hiltrop	w7_d765e6448
angekommen	w9_d765e6451
wä	w11_d765e6454
ren.	w1_d765e6460
Der	w3_d765e6463
Magistrat	w5_d765e6466
gienge	w7_d765e6469
alsdann	w9_d765e6472
aus	w11_d765e6475
der	w1_d765e6480
Stadt,	w3_d765e6483
um	w5_d765e6486
unsern	w7_d765e6489
gnädigsten	w9_d765e6492
Herrn	w11_d765e6495
zu	w13_d765e6499
bewillkommen.	w1_d765e6504
Der	w3_d765e6507
Adel,	w5_d765e6510
und	w7_d765e6513
die	w9_d765e6516
vom	w11_d765e6519
Dicasterio	w1_d765e6524
erschienen	w3_d765e6527
in	w5_d765e6530
Gala.	w7_d765e6533
Um	w9_d765e6536
halber	w11_d765e6539
12.	w1_d765e6545
Uhr	w3_d765e6548
langte	w5_d765e6551
der	w7_d765e6554
Churfürst	w9_d765e6557
beym	w11_d765e6560
Thor	w13_d765e6564
an,	w1_d765e6569
bey	w3_d765e6572
wessen	w5_d765e6575
Eintritt	w7_d765e6578
Hoch=denenselben	w9_d765e6581
von	w1_d765e6586
dem	w3_d765e6589
Magistrat	w5_d765e6592
eine	w7_d765e6595
Lob=rede	w9_d765e6598
gehalten	w11_d765e6601
wurde,	w1_d765e6606
worauf	w3_d765e6609
Se.	w5_d765e6612
Churfürstl.	w7_d765e6615
Gnaden	w9_d765e6618
auf	w1_d765e6624
das	w3_d765e6627
gnädigste	w5_d765e6630
zu	w7_d765e6633
an	w9_d765e6636
worten	w11_d765e6639
geruheten.	w13_d765e6643
Den	w1_d765e6648
Anfang	w3_d765e6651
des	w5_d765e6654
Einzugs	w7_d765e6657
machte	w9_d765e6660
die	w11_d765e6663
Hof	w13_d765e6667
</p>
<p id="p6_d765e6670">
staat,	w1_d765e6674
hierauf	w3_d765e6677
folgte	w5_d765e6680
eine	w7_d765e6683
Escadron	w9_d765e6686
bürgerl.	w11_d765e6689
Reuterey,	w1_d765e6694
und	w3_d765e6697
alsdann	w5_d765e6700
fuhren	w7_d765e6703
Se.	w9_d765e6706
Chur	w11_d765e6709
fürstl.	w1_d765e6714
Gnaden	w3_d765e6717
in	w5_d765e6720
einem	w7_d765e6723
schönen	w9_d765e6726
offenen	w11_d765e6729
Wagen,	w1_d765e6735
und	w3_d765e6738
wurden	w5_d765e6741
durch	w7_d765e6744
Deroselben	w9_d765e6747
Garde	w1_d765e6752
du	w3_d765e6755
