<doc id="wr_1760-03-05" attrs="word" year="1760" month="03" day="05" corpus="2">
<head id="h2_d429e3121">
Aus	w1_d429e3125
von	w3_d429e3653
Bredow,	w5_d429e3656
ein	w7_d429e3659
Sohn	w9_d429e3662
des	w11_d429e3665
Preuf	w13_d429e3669
sischen	w1_d429e3674
General=leutenants	w3_d429e3677
dieses	w5_d429e3680
Namens,	w7_d429e3683
mit	w1_d429e3689
18.	w3_d429e3692
Mann	w5_d429e3695
zu	w7_d429e3698
Kriegs=gefangenen	w9_d429e3701
ge	w11_d429e3704
macht,	w1_d429e3709
und	w3_d429e3712
36.	w5_d429e3715
Pferde	w7_d429e3718
erbeutet	w9_d429e3721
worden	w11_d429e3724
sind.	w1_d429e3729
Gleichwie	w3_d429e3732
er	w5_d429e3735
sich	w7_d429e3738
aber	w9_d429e3741
mitten	w11_d429e3744
unter	w13_d429e3748
denen	w1_d429e3753
Feinden	w3_d429e3756
befunden,	w5_d429e3759
indeme	w7_d429e3762
zu	w9_d429e3765
Zeitz	w11_d429e3768
ein	w1_d429e3774
Preußisches	w3_d429e3777
Carabinier=regiment	w5_d429e3780
ein	w7_d429e3783
quartiret	w1_d429e3788
ist,	w3_d429e3791
und	w5_d429e3794
zu	w7_d429e3797
Freyburg	w9_d429e3800
ein	w11_d429e3803
feind	w13_d429e3807
liches	w1_d429e3812
Commando	w3_d429e3815
stehet,	w5_d429e3818
also	w7_d429e3821
hat	w9_d429e3824
er	w11_d429e3827
für	w13_d429e3831
gut	w1_d429e3836
erachtet,	w3_d429e3839
mit	w5_d429e3842
Aufsuchung	w7_d429e3845
der	w9_d429e3848
übri	w11_d429e3851
gen	w1_d429e3857
Mannschaft,	w3_d429e3860
welche	w5_d429e3863
sich	w7_d429e3866
versteckt	w9_d429e3869
gehabt,	w1_d429e3874
die	w3_d429e3877
Zeit	w5_d429e3880
nicht	w7_d429e3883
zu	w9_d429e3886
verlieren,	w11_d429e3889
und	w13_d429e3893
mit	w1_d429e3898
denen	w3_d429e3901
bemeldeten	w5_d429e3904
Gefangenen,	w7_d429e3907
wie	w9_d429e3910
auch	w1_d429e3915
hinweg	w3_d429e3918
genommenen	w5_d429e3921
Pferden,	w7_d429e3924
ohne	w9_d429e3927
wei	w11_d429e3930
terem	w1_d429e3936
Verzug	w3_d429e3939
auf	w5_d429e3942
den	w7_d429e3945
Rückweeg	w9_d429e3948
sich	w11_d429e3951
zu	w13_d429e3955
bege	w15_d429e3958
</p>
<p id="p12_d429e3972">
ben.	w1_d429e3976
Auch	w3_d429e3979
ist	w5_d429e3982
die	w7_d429e3985
weitere	w9_d429e3988
zuverläßige	w11_d429e3991
Nach	w13_d429e3995
richt	w1_d429e4000
eingelanget,	w3_d429e4003
daß	w5_d429e4006
das	w7_d429e4009
alliirte	w9_d429e4012
Corps	w11_d429e4015
unter	w1_d429e4020
Commando	w3_d429e4023
des	w5_d429e4026
Erb=prinzens	w7_d429e4029
von	w9_d429e4032
Braunschweig	w1_d429e4038
die	w3_d429e4041
Stadt	w5_d429e4044
Erfurt	w7_d429e4047
habe	w9_d429e4050
lin	w11_d429e4053
ker	w1_d429e4058
Hand	w3_d429e4061
ligen	w5_d429e4064
lassen,	w7_d429e4067
und	w9_d429e4070
seinen	w11_d429e4073
Rück	w13_d429e4077
zug	w1_d429e4082
über	w3_d429e4085
Sömmern	w5_d429e4088
gerade	w7_d429e4091
ins	w9_d429e4094
Heßische	w11_d429e4097
nehme,	w1_d429e4102
auch	w3_d429e4105
gedachter	w5_d429e4108
Erb=prinz,	w7_d429e4111
da	w9_d429e4114
der	w1_d429e4120
Unstrut=fluß	w3_d429e4123
so	w5_d429e4126
sehr	w7_d429e4129
angeloffen,	w9_d429e4132
und	w11_d429e4135
die	w1_d429e4140
Weege	w3_d429e4143
selbiger	w5_d429e4146
Gegend	w7_d429e4149
schier	w9_d429e4152
impracti	w11_d429e4155
cabel	w1_d429e4160
sind,	w3_d429e4163
den	w5_d429e4166
16.	w7_d429e4169
dieses	w9_d429e4172
vom	w11_d429e4175
Erfurti	w13_d429e4179
schen	w1_d429e4184
Gebiete,	w3_d429e4187
zu	w5_d429e4190
Fortbringung	w7_d429e4193
der	w9_d429e4196
Ba	w11_d429e4199
gage,	w1_d429e4205
wobey	w3_d429e4208
eine	w5_d429e4211
starke	w7_d429e4214
Arrier=garde	w9_d429e4217
ist,	w11_d429e4220
100.	w1_d429e4225
Wägen	w3_d429e4228
anverlanget	w5_d429e4231
habe.	w7_d429e4234
</p>
<head id="h2_d429e4240">
Brüssel	w1_d429e4244
21.	w3_d429e4247
Febr.	w5_d429e4250
</head>
<p id="p4_d429e4253">
Den	w1_d429e4257
17.	w3_d429e4260
haben	w5_d429e4263
Se.	w7_d429e4266
Königl.	w9_d429e4269
Hoheit	w11_d429e4272
un	w13_d429e4276
ser	w1_d429e4281
Herr	w3_d429e4284
Gouverneur	w5_d429e4287
geruhet,	w7_d429e4290
den	w9_d429e4293
Prinzen	w11_d429e4296
von	w1_d429e4301
Gavre,	w3_d429e4304
Dero	w5_d429e4307
Herrn	w7_d429e4310
Oberhofmar	w9_d429e4313
schallen	w1_d429e4319
und	w3_d429e4322
Gouverneur	w5_d429e4325
von	w7_d429e4328
Namur,	w9_d429e4331
rc.	w11_d429e4334
in	w1_d429e4339
Ceremonie	w3_d429e4342
mit	w5_d429e4345
dem	w7_d429e4348
Orden	w9_d429e4351
des	w11_d429e4354
goldenen	w13_d429e4358
Vliesses	w1_d429e4363
zu	w3_d429e4366
bekleiden.	w5_d429e4369
Zu	w7_d429e4372
dem	w9_d429e4375
Ende	w11_d429e4378
ist	w13_d429e4382
die	w15_d429e4385
Kirche	w1_d429e4390
von	w3_d429e4393
Goudemberg	w5_d429e4396
mit	w7_d429e4399
denen	w9_d429e4402
reiche	w11_d429e4405
sten	w1_d429e4411
Tapeten	w3_d429e4414
behangen,	w5_d429e4417
für	w7_d429e4420
die	w9_d429e4423
Damen	w11_d429e4426
der	w13_d429e4430
ersten	w1_d429e4435
Classe	w3_d429e4438
viele	w5_d429e4441
mit	w7_d429e4444
Scharlach	w9_d429e4447
überzo	w11_d429e4450
gene	w1_d429e4455
Bänke	w3_d429e4458
bereitet,	w5_d429e4461
für	w7_d429e4464
das	w9_d429e4467
Stadt	w11_d429e4470
und	w13_d429e4474
anderes	w1_d429e4479
fremdes	w3_d429e4482
Frauen=zimmer	w5_d429e4485
aber	w7_d429e4488
Ge	w9_d429e4491
rüste	w1_d429e4497
aufgeführet	w3_d429e4500
worden.	w5_d429e4503
Früh	w7_d429e4506
um	w9_d429e4509
11.	w11_d429e4512
Uhr	w1_d429e4517
fieng	w3_d429e4520
sich	w5_d429e4523
dieses	w7_d429e4526
Staats=gepräng	w9_d429e4529
an;	w11_d429e4532
Se	w1_d429e4537
Königl.	w3_d429e4540
Hoheit	w5_d429e4543
erhoben	w7_d429e4546
sich	w9_d429e4549
in	w11_d429e4552
Beglei	w13_d429e4556
tung	w1_d429e4561
deren	w3_d429e4564
Fürsten	w5_d429e4567
von	w7_d429e4570
Ligne,	w9_d429e4573
von	w11_d429e4576
Salm,	w13_d429e4580
von	w1_d429e4586
Horn,	w3_d429e4589
des	w5_d429e4592
Herzogs	w7_d429e4595
von	w9_d429e4598
Crouy,	w11_d429e4601
des	w13_d429e4605
Herrn	w1_d429e4610
Grafens	w3_d429e4613
von	w5_d429e4616
Cobenzel,	w7_d429e4619
und	w9_d429e4622
vieler	w11_d429e4625
andern	w1_d429e4630
Ordens=ritteren	w3_d429e4633
mehr	w5_d429e4636
in	w7_d429e4639
die	w9_d429e4642
Kirche.	w11_d429e4645
Sie	w1_d429e4650
liessen	w3_d429e4653
sich	w5_d429e4656
unter	w7_d429e4659
einem	w9_d429e4662
Thron=himmel	w11_d429e4665
auf	w1_d429e4671
der	w3_d429e4674
rechten	w5_d429e4677
Seite	w7_d429e4680
des	w9_d429e4683
Hoch=altars	w11_d429e4686
nie	w13_d429e4690
der;	w1_d429e4695
die	w3_d429e4698
Rittere	w5_d429e4701
nahmen	w7_d429e4704
etwas	w9_d429e4707
niedriger,	w11_d429e4710
rechter	w1_d429e4715
Hand	w3_d429e4718
auf	w5_d429e4721
einer	w7_d429e4724
mit	w9_d429e4727
kostbaren	w11_d429e4730
Per	w13_d429e4734
sianischen	w1_d429e4739
Teppichen	w3_d429e4742
bekleideten	w5_d429e4745
Bank	w7_d429e4748
Platz.	w9_d429e4751
Nach	w1_d429e4757
denen	w3_d429e4760
Ceremonien	w5_d429e4763
des	w7_d429e4766
abgelegten	w9_d429e4769
Eides,	w1_d429e4774
des	w3_d429e4777
Gebetts,	w5_d429e4780
der	w7_d429e4783
Umarmung	w9_d429e4786
und	w11_d429e4789
der	w1_d429e4794
Uberreichung	w3_d429e4797
des	w5_d429e4800
goldenen	w7_d429e4803
Vliesses,	w9_d429e4806
wel	w11_d429e4809
ches	w1_d429e4814
alles	w3_d429e4817
unter	w5_d429e4820
dem	w7_d429e4823
Schall	w9_d429e4826
deren	w11_d429e4829
Trom	w13_d429e4833
peten	w1_d429e4839
und	w3_d429e4842
Paucken	w5_d429e4845
vollzogen	w7_d429e4848
worden,	w9_d429e4851
hat	w11_d429e4854
der	w1_d429e4859
Erz=bischof	w3_d429e4862
von	w5_d429e4865
Mecheln	w7_d429e4868
das	w9_d429e4871
hohe	w11_d429e4874
</p>
<p id="p6_d429e4877">
Anit	w1_d429e4881
unter	w3_d429e4884
einer	w5_d429e4887
prächtigen	w7_d429e4890
Hof=music	w9_d429e4893
ge	w11_d429e4896
halten.	w1_d429e4901
Nach	w3_d429e4904
solcher	w5_d429e4907
kehreten	w7_d429e4910
Se.	w9_d429e4913
Königl.	w11_d429e4916
Hoheit	w1_d429e4921
mit	w3_d429e4924
allen	w5_d429e4927
Rittern	w7_d429e4930
in	w9_d429e4933
Dero	w11_d429e4936
Pallast	w13_d429e4940
zurück,	w1_d429e4946
und	w3_d429e4949
hatten	w5_d429e4952
die	w7_d429e4955
Gnade,	w9_d429e4958
selbige	w11_d429e4961
zu	w13_d429e4965
der	w1_d429e4970
Mittags=tafel,	w3_d429e4973
welche	w5_d429e4976
offentlich	w7_d429e4979
in	w9_d429e4982
de	w11_d429e4985
nen	w1_d429e4990
Ordens=kleidern	w3_d429e4993
gehalten	w5_d429e4996
wurde,	w7_d429e4999
ein	w9_d429e5002
laden	w1_d429e5007
zu	w3_d429e5010
lassen.	w5_d429e5013
Abends	w7_d429e5016
aber	w9_d429e5019
sind	w11_d429e5022
viele	w13_d429e5026
Freuden=feuer	w1_d429e5032
in	w3_d429e5035
der	w5_d429e5038
Stadt	w7_d429e5041
angezündet	w9_d429e5044
worden.	w1_d429e5049
</p>
<head id="h2_d429e5055">
Hamburg	w1_d429e5059
20.	w3_d429e5062
Febr.	w5_d429e5065
</head>
<p id="p4_d429e5068">
Aus	w1_d429e5072
Preußisch=pommern	w3_d429e5075
wird	w5_d429e5078
unterm	w7_d429e5081
14.	w1_d429e5086
dieses	w3_d429e5089
folgendes	w5_d429e5092
gemeldet:	w7_d429e5095
Der	w9_d429e5098
Herr	w11_d429e5101
General	w1_d429e5106
von	w3_d429e5109
Mantenfel	w5_d429e5112
ist	w7_d429e5115
von	w9_d429e5118
seinen	w11_d429e5121
Wun	w13_d429e5125
den	w1_d429e5131
nun	w3_d429e5134
gänzlich	w5_d429e5137
wieder	w7_d429e5140
hergestellet,	w9_d429e5143
und	w11_d429e5146
ist	w1_d429e5151
nach	w3_d429e5154
ausgestelltem	w5_d429e5157
Reverse	w7_d429e5160
zu	w9_d429e5163
Stettin	w11_d429e5166
angekommen.	w1_d429e5171
Man	w3_d429e5174
hoffet	w5_d429e5177
nächstens	w7_d429e5180
seine	w9_d429e5183
völlige	w1_d429e5188
Befreyung	w3_d429e5191
zu	w5_d429e5194
vernehmen,	w7_d429e5197
weil	w9_d429e5200
oh	w11_d429e5203
nedem	w1_d429e5209
das	w3_d429e5212
Cartel	w5_d429e5215
zwischen	w7_d429e5218
Schweden	w9_d429e5221
und	w11_d429e5224
Preussen	w1_d429e5229
nächstens	w3_d429e5232
zur	w5_d429e5235
Richtigkeit	w7_d429e5238
kommen	w9_d429e5241
dürfte.	w1_d429e5246
Ein	w3_d429e5249
Theil	w5_d429e5252
der	w7_d429e5255
in	w9_d429e5258
Pommern	w11_d429e5261
ge	w13_d429e5265
standenen	w1_d429e5270
Preußischen	w3_d429e5273
Trupen	w5_d429e5276
ruhet	w7_d429e5279
inzwi	w9_d429e5282
schen	w1_d429e5288
im	w3_d429e5291
Mecklenburgischen	w5_d429e5294
aus,	w7_d429e5297
um	w9_d429e5300
so	w11_d429e5303
mehr,	w1_d429e5308
da	w3_d429e5311
es	w5_d429e5314
das	w7_d429e5317
Ansehen	w9_d429e5320
hat,	w11_d429e5323
daß	w13_d429e5327
sich	w15_d429e5330
die	w1_d429e5335
Schweden	w3_d429e5338
in	w5_d429e5341
ihren	w7_d429e5344
aufs	w9_d429e5347
neue	w11_d429e5350
bezogenen	w13_d429e5354
Winter=quartieren	w1_d429e5359
bis	w3_d429e5362
zur	w5_d429e5365
Wiedereröfnung	w7_d429e5368
des	w1_d429e5374
Feld=zuges	w3_d429e5377
ruhig	w5_d429e5380
verhalten	w7_d429e5383
werden.	w9_d429e5386
</p>
<head id="h2_d429e5392">
Hanover	w1_d429e5396
16.	w3_d429e5399
Febr.	w5_d429e5402
</head>
<p id="p4_d429e5405">
Wir	w1_d429e5409
haben	w3_d429e5412
Nachricht,	w5_d429e5415
daß	w7_d429e5418
des	w9_d429e5421
Herrn	w11_d429e5424
Landgrafens	w1_d429e5429
von	w3_d429e5432
Hessen=cassel	w5_d429e5435
Durchl.	w7_d429e5438
vor	w9_d429e5441
einigen	w1_d429e5446
Tagen	w3_d429e5449
zu	w5_d429e5452
Rinteln	w7_d429e5455
angekommen,	w9_d429e5458
und	w11_d429e5461
von	w1_d429e5467
da	w3_d429e5470
nach	w5_d429e5473
Dero	w7_d429e5476
Residenz=stadt	w9_d429e5479
Cassel	w11_d429e5482
ab	w13_d429e5486
gereiset	w1_d429e5491
sind,	w3_d429e5494
um	w5_d429e5497
der	w7_d429e5500
Landes=regierung	w9_d429e5503
in	w11_d429e5506
höchster	w1_d429e5511
Person	w3_d429e5514
selbst	w5_d429e5517
vorzustehen.	w7_d429e5520
Alle	w9_d429e5523
Dispositionen,	w1_d429e5528
die	w3_d429e5531
dieser	w5_d429e5534
Durchleuchtigste	w7_d429e5537
Prinz	w1_d429e5543
seit	w3_d429e5546
Ableben	w5_d429e5549
Dero	w7_d429e5552
höch=stseeligen	w9_d429e5555
Hrn.	w11_d429e5558
Vatters	w1_d429e5563
gemacht	w3_d429e5566
haben,	w5_d429e5569
verkündigen	w7_d429e5572
denen	w9_d429e5575
Casselischen	w1_d429e5580
Landen	w3_d429e5583
einen	w5_d429e5586
patriotischen	w7_d429e5589
Re	w9_d429e5592
genten.	w1_d429e5597
Höchst=gedacht	w3_d429e5600
Se.	w5_d429e5603
Durchl.	w7_d429e5606
ha	w9_d429e5609
ben	w1_d429e5615
an	w3_d429e5618
Dero	w5_d429e5621
Frau	w7_d429e5624
Gemahlin	w9_d429e5627
Königl.	w11_d429e5630
Ho	w13_d429e5634
heit	w1_d429e5639
zu	w3_d429e5642
Zelle	w5_d429e5645
ein	w7_d429e5648
Schreiben	w9_d429e5651
ergehen	w11_d429e5654
lassen,	w13_d429e5658
worinn	w1_d429e5663
Sie	w3_d429e5666
Dieselbe	w5_d429e5669
in	w7_d429e5672
denen	w9_d429e5675
zärtlichsten	w11_d429e5678
Ausdrücken	w1_d429e5683
nach	w3_d429e5686
Cassel	w5_d429e5689
einladen,	w7_d429e5692
um	w9_d429e5695
die	w11_d429e5698
</p>
<p id="p10_d429e5711">
Residenz	w1_d429e5715
mit	w3_d429e5718
Jhnen	w5_d429e5721
gemeinschaftlich	w7_d429e5724
zu	w9_d429e5727
be	w11_d429e5730
ziehen,	w1_d429e5735
und	w3_d429e5738
Jhnen	w5_d429e5741
durch	w7_d429e5744
Dero	w9_d429e5747
Gegenwart	w11_d429e5750
und	w1_d429e5755
durch	w3_d429e5758
Anwendung	w5_d429e5761
Jhrer	w7_d429e5764
vortreflichen	w9_d429e5767
Geistes=gaben	w1_d429e5773
die	w3_d429e5776
Regierungs=sorgen	w5_d429e5779
bey	w7_d429e5782
denen	w1_d429e5787
jetzigen	w3_d429e5790
bedenklichen	w5_d429e5793
Zeit=läuften	w7_d429e5796
zu	w9_d429e5799
er	w11_d429e5802
leichtern.	w1_d429e5807
</p>
<head id="h2_d429e5814">
Paris	w1_d429e5818
16.	w3_d429e5821
Febr.	w5_d429e5824
</head>
<p id="p4_d429e5827">
Jhre	w1_d429e5831
Majestäten	w3_d429e5834
und	w5_d429e5837
die	w7_d429e5840
ganze	w9_d429e5843
Königl.	w11_d429e5846
Famille	w1_d429e5851
geniessen	w3_d429e5854
eines	w5_d429e5857
vollkommensten	w7_d429e5860
Wol	w9_d429e5863
seyns,	w1_d429e5868
da	w3_d429e5871
nunmehro	w5_d429e5874
auch	w7_d429e5877
der	w9_d429e5880
Herr	w11_d429e5883
Her	w13_d429e5887
zog	w1_d429e5893
von	w3_d429e5896
Burgund	w5_d429e5899
von	w7_d429e5902
seiner	w9_d429e5905
Unbäßlichkeit	w11_d429e5908
wiederum	w1_d429e5913
vollkommen	w3_d429e5916
hergestellet	w5_d429e5919
sich	w7_d429e5922
befin	w9_d429e5925
det.	w1_d429e5930
Dieser	w3_d429e5933
junge	w5_d429e5936
Prinz,	w7_d429e5939
dem	w9_d429e5942
man	w11_d429e5945
nach	w13_d429e5949
der	w1_d429e5954
Meinung	w3_d429e5957
derer	w5_d429e5960
Hof=medicorum	w7_d429e5963
hätte	w9_d429e5966
sollen	w1_d429e5972
ein	w3_d429e5975
Bein	w5_d429e5978
abnehmen	w7_d429e5981
müssen,	w9_d429e5984
ist	w11_d429e5987
durch	w13_d429e5991
den	w1_d429e5996
Medicum	w3_d429e5999
des	w5_d429e6002
Hauses	w7_d429e6005
Aumont,	w9_d429e6008
Herrn	w11_d429e6011
Bouvet,	w1_d429e6016
gerettet	w3_d429e6019
worden,	w5_d429e6022
für	w7_d429e6025
welchen	w9_d429e6028
wich	w11_d429e6031
tigen	w1_d429e6036
Dienst	w3_d429e6039
der	w5_d429e6042
Herr	w7_d429e6045
Herzog	w9_d429e6048
ihm	w11_d429e6051
mit	w13_d429e6055
ei	w15_d429e6058
ner	w1_d429e6064
prächtigen	w3_d429e6067
Carosse	w5_d429e6070
mit	w7_d429e6073
6.	w9_d429e6076
Pferden	w11_d429e6079
be	w13_d429e6083
schenket	w1_d429e6088
hat.	w3_d429e6091
Der	w5_d429e6094
Minister	w7_d429e6097
und	w9_d429e6100
Staats	w11_d429e6103
secretarius	w1_d429e6108
beym	w3_d429e6111
Departement	w5_d429e6114
der	w7_d429e6117
auslän	w9_d429e6120
dischen	w1_d429e6125
Affairen,	w3_d429e6128
Herzog	w5_d429e6131
von	w7_d429e6134
Choiseul,	w9_d429e6137
hat,	w1_d429e6143
weilen	w3_d429e6146
der	w5_d429e6149
König	w7_d429e6152
sich	w9_d429e6155
zu	w11_d429e6158
Choist	w13_d429e6162
be	w15_d429e6165
funden,	w1_d429e6170
am	w3_d429e6173
5.	w5_d429e6176
dieses	w7_d429e6179
Monats	w9_d429e6182
denen	w11_d429e6185
Her	w13_d429e6189
ren	w1_d429e6194
Ambassadeurs	w3_d429e6197
und	w5_d429e6200
fremden	w7_d429e6203
Ministern	w9_d429e6206
in	w1_d429e6211
seinem	w3_d429e6214
Pallast,	w5_d429e6217
in	w7_d429e6220
der	w9_d429e6223
Strasse	w11_d429e6226
Riche	w13_d429e6230
lieu	w1_d429e6236
Audienz	w3_d429e6239
gegeben,	w5_d429e6242
und	w7_d429e6245
sie	w9_d429e6248
darauf	w11_d429e6251
bey	w13_d429e6255
der	w1_d429e6260
Tafel	w3_d429e6263
behalten.	w5_d429e6266
Der	w7_d429e6269
Herr	w9_d429e6272
Marschall	w11_d429e6275
von	w1_d429e6280
Maillebois	w3_d429e6283
setzt	w5_d429e6286
sich	w7_d429e6289
in	w9_d429e6292
Bereitschaft,	w11_d429e6295
von	w1_d429e6300
seinem	w3_d429e6303
Gouvernement	w5_d429e6306
im	w7_d429e6309
Elsaß,	w9_d429e6312
das	w11_d429e6315
ihme	w1_d429e6321
nach	w3_d429e6324
dem	w5_d429e6327
Tod	w7_d429e6330
des	w9_d429e6333
Marschalls	w11_d429e6336
von	w13_d429e6340
Coigni	w1_d429e6345
zu	w3_d429e6348
Theil	w5_d429e6351
worden	w7_d429e6354
ist,	w9_d429e6357
Besitz	w11_d429e6360
zu	w13_d429e6364
neh	w15_d429e6367
men.	w1_d429e6372
Der	w3_d429e6375
Graf	w5_d429e6378
Bachi	w7_d429e6381
von	w9_d429e6384
Aubigni,	w11_d429e6387
ge	w13_d429e6391
wester	w1_d429e6396
Königl.	w3_d429e6399
Ambassadeur	w5_d429e6402
an	w7_d429e6405
dem	w9_d429e6408
Por	w11_d429e6411
tugesischen	w1_d429e6417
Hof,	w3_d429e6420
gehet	w5_d429e6423
in	w7_d429e6426
gleicher	w9_d429e6429
Qua	w11_d429e6432
lität	w1_d429e6437
nach	w3_d429e6440
Venedig,	w5_d429e6443
und	w7_d429e6446
wird	w9_d429e6449
nächster	w11_d429e6452
Tä	w13_d429e6456
gen	w1_d429e6461
von	w3_d429e6464
hier	w5_d429e6467
abreisen.	w7_d429e6470
</p>
<p id="p6_d429e6473">
Unsere	w1_d429e6477
Ost=indische	w3_d429e6480
Compagnie	w5_d429e6483
hat	w7_d429e6486
nun	w9_d429e6489
mehro	w1_d429e6494
auch	w3_d429e6497
noch	w5_d429e6500
die	w7_d429e6503
Nachricht	w9_d429e6506
erhalten,	w11_d429e6509
daß	w1_d429e6514
ihre	w3_d429e6517
zwey	w5_d429e6520
übrige	w7_d429e6523
erwartete	w9_d429e6526
Schiffe,	w11_d429e6529
nämlich	w1_d429e6535
le	w3_d429e6538
Butin	w5_d429e6541
und	w7_d429e6544
le	w9_d429e6547
Boulogne,	w11_d429e6550
zu	w13_d429e6554
Ro	w15_d429e6557
chejort	w1_d429e6562
eben	w3_d429e6565
so	w5_d429e6568
glücklich,	w7_d429e6571
als	w9_d429e6574
der	w11_d429e6577
Maßine	w13_d429e6581
</p>
<p id="p8_d429e6584">
zu	w1_d429e6588
Orient	w3_d429e6591
und	w5_d429e6594
der	w7_d429e6597
Domidaire	w9_d429e6600
zu	w11_d429e6603
Corsgae	w13_d429e6607
angelangt.	w1_d429e6612
Gestern	w3_d429e6615
hat	w5_d429e6618
der	w7_d429e6621
König	w9_d429e6624
das	w11_d429e6627
51.	w1_d429e6632
Jahr	w3_d429e6635
seines	w5_d429e6638
Alters	w7_d429e6641
angetretten,	w9_d429e6644
und	w11_d429e6647
deswegen	w1_d429e6653
die	w3_d429e6656
Glückwünschungen	w5_d429e6659
vom	w7_d429e6662
Hof	w9_d429e6665
empfangen.	w1_d429e6670
Am	w3_d429e6673
11.	w5_d429e6676
dieses	w7_d429e6679
hat	w9_d429e6682
der	w11_d429e6685
Graf	w13_d429e6689
von	w1_d429e6694
Laynes,	w3_d429e6697
Gouverneur	w5_d429e6700
dieser	w7_d429e6703
Haupt=stadt,	w9_d429e6706
als	w1_d429e6711
Pair	w3_d429e6714
de	w5_d429e6717
France	w7_d429e6720
im	w9_d429e6723
Parlament	w11_d429e6726
Sitz	w13_d429e6730
und	w15_d429e6733
Stimme	w1_d429e6739
genommen.	w3_d429e6742
