<doc id="wr_1760-03-19" attrs="word" year="1760" month="03" day="19" corpus="2">
<head id="h2_d433e3251">
Lissaben	w1_d433e3255
möchte	w7_d433e4638
seyn,	w9_d433e4641
von	w11_d433e4644
was	w13_d433e4648
Art	w1_d433e4654
sie	w3_d433e4657
wolle,	w5_d433e4660
hindern	w7_d433e4663
wollten;	w9_d433e4666
und	w11_d433e4669
man	w13_d433e4673
merket,	w1_d433e4678
wie	w3_d433e4681
aufmerksam	w5_d433e4684
der	w7_d433e4687
Schwedische	w9_d433e4690
General	w1_d433e4695
ist,	w3_d433e4698
seinem	w5_d433e4701
Versprechen	w7_d433e4704
nachzukom	w9_d433e4707
men,	w1_d433e4712
weil	w3_d433e4715
man	w5_d433e4718
die	w7_d433e4721
zuverläßige	w9_d433e4724
Nachricht	w11_d433e4727
hat,	w1_d433e4733
daß	w3_d433e4736
die	w5_d433e4739
Trupen,	w7_d433e4742
welche	w9_d433e4745
an	w11_d433e4748
der	w13_d433e4752
Tre	w15_d433e4755
bel	w1_d433e4760
und	w3_d433e4763
Recknitz	w5_d433e4766
campiren,	w7_d433e4769
nicht	w9_d433e4772
allein	w11_d433e4775
eine	w13_d433e4779
Verstärkung	w1_d433e4784
von	w3_d433e4787
verschiedenen	w5_d433e4790
Escadrons	w7_d433e4793
und	w1_d433e4798
einigen	w3_d433e4801
Battaillons	w5_d433e4804
erhalten	w7_d433e4807
haben	w9_d433e4810
sondern	w1_d433e4816
daß	w3_d433e4819
auch	w5_d433e4822
ein	w7_d433e4825
Zug	w9_d433e4828
schweren	w11_d433e4831
Geschü	w13_d433e4835
tzes	w1_d433e4840
und	w3_d433e4843
verschiedene	w5_d433e4846
kleine	w7_d433e4849
Mörser	w9_d433e4852
nach	w11_d433e4855
der	w13_d433e4859
Gegend	w1_d433e4864
Triebsee	w3_d433e4867
sind	w5_d433e4870
gebracht	w7_d433e4873
worden.	w9_d433e4876
Die	w11_d433e4879
Schweden	w1_d433e4884
lassen	w3_d433e4887
noch	w5_d433e4890
über	w7_d433e4893
die	w9_d433e4896
Brücken	w11_d433e4899
bey	w13_d433e4903
Damgarten	w1_d433e4909
und	w3_d433e4912
Triebsee	w5_d433e4915
verschiedene	w7_d433e4918
Schif	w9_d433e4921
</p>
<p id="p6_d433e4924">
brücken	w1_d433e4928
an	w3_d433e4931
denen	w5_d433e4934
Flüssen	w7_d433e4937
verfertigen,	w9_d433e4940
die	w11_d433e4943
unsere	w1_d433e4948
Gränzen	w3_d433e4951
von	w5_d433e4954
Schwedisch=pommern	w7_d433e4957
ausmachen,	w1_d433e4962
und	w3_d433e4965
man	w5_d433e4968
hat	w7_d433e4971
durch	w9_d433e4974
Briefe	w11_d433e4977
aus	w13_d433e4981
Stralsund	w1_d433e4987
die	w3_d433e4990
Nachricht,	w5_d433e4993
daß	w7_d433e4996
die	w9_d433e4999
Befehle	w11_d433e5002
zum	w1_d433e5007
Fortbringen	w3_d433e5010
der	w5_d433e5013
Pontons	w7_d433e5016
auf	w9_d433e5019
der	w11_d433e5022
Sei	w13_d433e5026
te	w1_d433e5031
der	w3_d433e5034
Peene	w5_d433e5037
gegeben	w7_d433e5040
sind,	w9_d433e5043
um	w11_d433e5046
die	w13_d433e5050
Opera	w15_d433e5053
tionen	w1_d433e5058
jenseits	w3_d433e5061
dieses	w5_d433e5064
Flusses	w7_d433e5067
zu	w9_d433e5070
erleichtern.	w11_d433e5073
im	w1_d433e5079
Fall	w3_d433e5082
die	w5_d433e5085
Preussen	w7_d433e5088
in	w9_d433e5091
Mecklenburg	w11_d433e5094
ein	w13_d433e5098
brechen,	w1_d433e5103
oder	w3_d433e5106
Feindseeligkeiten	w5_d433e5109
hieselbst	w7_d433e5112
be	w9_d433e5115
gehen	w1_d433e5120
wollten.	w3_d433e5123
</p>
<head id="h2_d433e5129">
Altona	w1_d433e5133
4.	w3_d433e5136
Martii.	w5_d433e5139
</head>
<p id="p4_d433e5142">
Aus	w1_d433e5146
Stockholm	w3_d433e5149
ist	w5_d433e5152
die	w7_d433e5155
zuverläßige	w9_d433e5158
Nach	w11_d433e5161
richt	w1_d433e5166
eingegangen,	w3_d433e5169
daß	w5_d433e5172
nicht	w7_d433e5175
nur	w9_d433e5178
die	w11_d433e5181
erfor	w13_d433e5185
derliche	w1_d433e5190
Recruten,	w3_d433e5193
sondern	w5_d433e5196
auch	w7_d433e5199
10000.	w9_d433e5202
Mann	w1_d433e5208
neuer	w3_d433e5211
Trupen	w5_d433e5214
nach	w7_d433e5217
der	w9_d433e5220
Armee	w11_d433e5223
in	w13_d433e5227
Pommern	w1_d433e5232
übergehen	w3_d433e5235
sollen,	w5_d433e5238
so	w7_d433e5241
bald	w9_d433e5244
es	w11_d433e5247
nur	w13_d433e5251
irgend	w1_d433e5256
die	w3_d433e5259
Jahrs=zeit	w5_d433e5262
zulassen	w7_d433e5265
wird,	w9_d433e5268
um	w11_d433e5271
den	w1_d433e5276
commandirenden	w3_d433e5279
General	w5_d433e5282
von	w7_d433e5285
Lantings	w9_d433e5288
hausen	w1_d433e5294
in	w3_d433e5297
den	w5_d433e5300
Stand	w7_d433e5303
zu	w9_d433e5306
setzen,	w11_d433e5309
daß	w13_d433e5313
er	w15_d433e5316
sei	w17_d433e5319
nen	w1_d433e5324
von	w3_d433e5327
der	w5_d433e5330
Regierung	w7_d433e5333
genemigten	w9_d433e5336
Plan	w11_d433e5339
zur	w1_d433e5344
Ausführung	w3_d433e5347
bringen	w5_d433e5350
kan,	w7_d433e5353
Zu	w9_d433e5356
Stral	w11_d433e5359
sund	w1_d433e5364
wird	w3_d433e5367
eine	w5_d433e5370
beträchtliche	w7_d433e5373
Anzahl	w9_d433e5376
schwerer	w11_d433e5379
Canonen	w1_d433e5385
und	w3_d433e5388
Mörser	w5_d433e5391
mit	w7_d433e5394
ihrem	w9_d433e5397
Zugehör	w11_d433e5400
eingeschiffet.	w1_d433e5405
Da	w3_d433e5408
das	w5_d433e5411
Schwedische	w7_d433e5414
Pom	w9_d433e5417
mern	w1_d433e5422
rings	w3_d433e5425
umher	w5_d433e5428
mit	w7_d433e5431
Strömen	w9_d433e5434
umgeben	w11_d433e5437
ist,	w1_d433e5442
so	w3_d433e5445
lässet	w5_d433e5448
sich	w7_d433e5451
zwar	w9_d433e5454
noch	w11_d433e5457
nicht	w13_d433e5461
mit	w15_d433e5464
Ge	w17_d433e5467
wißheit	w1_d433e5473
sagen,	w3_d433e5476
an	w5_d433e5479
welcher	w7_d433e5482
Seite	w9_d433e5485
die	w11_d433e5488
heu	w13_d433e5492
rige	w1_d433e5497
Operationen	w3_d433e5500
ihren	w5_d433e5503
Anfang	w7_d433e5506
nehmen	w9_d433e5509
sol	w11_d433e5512
len,	w1_d433e5517
so	w3_d433e5520
viel	w5_d433e5523
aber	w7_d433e5526
siehet	w9_d433e5529
man	w11_d433e5532
deutlich	w13_d433e5536
genug	w15_d433e5539
daß	w1_d433e5544
der	w3_d433e5547
Feld=zug	w5_d433e5550
von	w7_d433e5553
Schwedischer	w9_d433e5556
Seite	w11_d433e5559
dißmal	w1_d433e5565
sehr	w3_d433e5568
frühe	w5_d433e5571
eröfnet	w7_d433e5574
werden	w9_d433e5577
wird.	w11_d433e5580
Die	w1_d433e5585
Preussen	w3_d433e5588
befinden	w5_d433e5591
sich	w7_d433e5594
in	w9_d433e5597
ihrer	w11_d433e5600
alten	w13_d433e5604
Stellung	w1_d433e5609
zu	w3_d433e5612
Anclam	w5_d433e5615
und	w7_d433e5618
der	w9_d433e5621
dortigen	w11_d433e5624
Ge	w13_d433e5628
gend	w1_d433e5633
noch	w3_d433e5636
ganz	w5_d433e5639
ruhig.	w7_d433e5642
</p>
<head id="h2_d433e5649">
Haag	w1_d433e5653
26.	w3_d433e5656
Febr.	w5_d433e5659
</head>
<p id="p4_d433e5662">
Man	w1_d433e5666
vernihmt,	w3_d433e5669
daß,	w5_d433e5672
ob	w7_d433e5675
gleich	w9_d433e5678
der	w11_d433e5681
Fürst	w13_d433e5685
von	w1_d433e5690
Nassau=weilburg	w3_d433e5693
jüngsthin	w5_d433e5696
zum	w7_d433e5699
Gene	w9_d433e5702
ral	w1_d433e5707
der	w3_d433e5710
Jnfanterie	w5_d433e5713
ernannt	w7_d433e5716
worden,	w9_d433e5719
und	w11_d433e5722
deswegen	w1_d433e5728
bereits	w3_d433e5731
den	w5_d433e5734
Eid	w7_d433e5737
an	w9_d433e5740
Jhro	w11_d433e5743
Hochmö	w13_d433e5747
genden	w1_d433e5752
abgeleget,	w3_d433e5755
Sr.	w5_d433e5758
Durchl.	w7_d433e5761
dannoch	w9_d433e5764
der	w1_d433e5769
mit	w3_d433e5772
solcher	w5_d433e5775
Würde	w7_d433e5778
verknüpfte	w9_d433e5781
gewöhnli	w11_d433e5784
che	w1_d433e5789
Gehalt	w3_d433e5792
von	w5_d433e5795
10000.	w7_d433e5798
Gulden	w9_d433e5801
noch	w11_d433e5804
nicht	w13_d433e5808
</p>
<p id="p10_d433e5821">
habe	w1_d433e5825
bewilliget	w3_d433e5828
werden	w5_d433e5831
können,	w7_d433e5834
weil	w9_d433e5837
die	w11_d433e5840
Deputirte	w1_d433e5845
von	w3_d433e5848
Geldern	w5_d433e5851
und	w7_d433e5854
Friesland	w9_d433e5857
keine	w11_d433e5860
Jnst	w1_d433e5865
uction	w3_d433e5868
zur	w5_d433e5871
Zeit	w7_d433e5874
darüber	w9_d433e5877
erhalten,	w11_d433e5880
und	w13_d433e5884
die	w1_d433e5890
Sathe	w3_d433e5893
ad	w5_d433e5896
referendum	w7_d433e5899
genommen	w9_d433e5902
wor	w11_d433e5905
den.	w1_d433e5910
Man	w3_d433e5913
zweifelt	w5_d433e5916
indessen	w7_d433e5919
nicht	w9_d433e5922
daran,	w11_d433e5925
daß	w1_d433e5930
gedachte	w3_d433e5933
beyde	w5_d433e5936
Provinzen	w7_d433e5939
ihre	w9_d433e5942
Einwil	w11_d433e5945
ligung	w1_d433e5950
dazu	w3_d433e5953
aufs	w5_d433e5956
baldigste	w7_d433e5959
geben	w9_d433e5962
werden,	w11_d433e5965
als	w1_d433e5971
welches	w3_d433e5974
schon	w5_d433e5977
von	w7_d433e5980
denen	w9_d433e5983
anderen	w11_d433e5986
Pro	w13_d433e5990
vinzen	w1_d433e5995
geschehen	w3_d433e5998
ist,	w5_d433e6001
und	w7_d433e6004
daß	w9_d433e6007
solcher	w11_d433e6010
Ge	w13_d433e6014
halt	w1_d433e6019
noch	w3_d433e6022
auf	w5_d433e6025
den	w7_d433e6028
Kriegs=etai	w9_d433e6031
dieses	w11_d433e6034
Jahrs	w13_d433e6038
gesetzet	w1_d433e6043
werden	w3_d433e6046
dürfte.	w5_d433e6049
Die	w7_d433e6052
Admiralitäten	w9_d433e6055
sind	w1_d433e6061
vor	w3_d433e6064
3.	w5_d433e6067
Tagen	w7_d433e6070
bis	w9_d433e6073
auf	w11_d433e6076
eine	w13_d433e6080
neue	w15_d433e6083
Zu	w17_d433e6086
sammenberuffung	w1_d433e6091
aus	w3_d433e6094
einander	w5_d433e6097
gegangen,	w7_d433e6100
nachdeme	w1_d433e6105
sie	w3_d433e6108
alles	w5_d433e6111
Nöhtige	w7_d433e6114
zur	w9_d433e6117
Ausrüstung	w11_d433e6120
der	w1_d433e6125
25.	w3_d433e6128
Kriegs=schiffe	w5_d433e6131
nebst	w7_d433e6134
denen	w9_d433e6137
dazu	w11_d433e6140
er	w13_d433e6144
forderlichen	w1_d433e6150
Kosten	w3_d433e6153
eingerichtet	w5_d433e6156
haben.	w7_d433e6159
Man	w9_d433e6162
wird	w1_d433e6167
zu	w3_d433e6170
Bestreitung	w5_d433e6173
dieser	w7_d433e6176
Kosten	w9_d433e6179
das	w11_d433e6182
soge	w13_d433e6186
nannte	w1_d433e6191
Last	w3_d433e6194
und	w5_d433e6197
Veilgeld	w7_d433e6200
um	w9_d433e6203
1.	w11_d433e6206
ein	w13_d433e6210
halben	w15_d433e6213
von	w1_d433e6218
Hundert	w3_d433e6221
vermehren,	w5_d433e6224
weswegen	w7_d433e6227
auch	w9_d433e6230
schon	w1_d433e6236
ein	w3_d433e6239
Placat	w5_d433e6242
ausgefertiget	w7_d433e6245
worden	w9_d433e6248
ist.	w11_d433e6251
Jmmittelst	w1_d433e6256
wird	w3_d433e6259
mit	w5_d433e6262
grossem	w7_d433e6265
Fleisse	w9_d433e6268
an	w11_d433e6271
nur	w13_d433e6275
besagtem	w1_d433e6280
Armement	w3_d433e6283
gearbeitet.	w5_d433e6286
Die	w7_d433e6289
An	w9_d433e6292
gelegenheit	w1_d433e6297
wegen	w3_d433e6300
eines	w5_d433e6303
Vergleichs	w7_d433e6306
zwischen	w9_d433e6309
denen	w1_d433e6315
Provinzen	w3_d433e6318
Holland	w5_d433e6321
und	w7_d433e6324
Gröningen	w9_d433e6327
gewinnt	w1_d433e6332
einen	w3_d433e6335
guten	w5_d433e6338
Lauf,	w7_d433e6341
und	w9_d433e6344
man	w11_d433e6347
hoffet	w13_d433e6351
jetzt	w1_d433e6356
mehr	w3_d433e6359
als	w5_d433e6362
jemals	w7_d433e6365
die	w9_d433e6368
bekannten	w11_d433e6371
Strit	w13_d433e6375
tigkeiten	w1_d433e6380
zu	w3_d433e6383
beyderseitigem	w5_d433e6386
Vergnügen	w7_d433e6389
bald	w9_d433e6392
in	w1_d433e6398
der	w3_d433e6401
Güte	w5_d433e6404
gehoben	w7_d433e6407
zu	w9_d433e6410
sehen.	w11_d433e6413
Jn	w13_d433e6417
der	w15_d433e6420
letzten	w1_d433e6425
Versammlung	w3_d433e6428
der	w5_d433e6431
Staaten	w7_d433e6434
von	w9_d433e6437
Hol	w11_d433e6440
land	w1_d433e6445
hat	w3_d433e6448
der	w5_d433e6451
deputirte	w7_d433e6454
Raht	w9_d433e6457
denselben	w11_d433e6460
we	w13_d433e6464
gen	w1_d433e6469
der	w3_d433e6472
Oeconomie=puncte	w5_d433e6475
Anmerkungen	w7_d433e6478
übergeben,	w1_d433e6484
welche	w3_d433e6487
von	w5_d433e6490
Jhro	w7_d433e6493
Edelmögen	w9_d433e6496
den	w1_d433e6501
reiflich	w3_d433e6504
erwogen,	w5_d433e6507
und	w7_d433e6510
an	w9_d433e6513
dieses	w11_d433e6516
Colle	w13_d433e6520
gium	w1_d433e6525
mit	w3_d433e6528
dem	w5_d433e6531
Befehl	w7_d433e6534
zu	w9_d433e6537
ückgegeben	w11_d433e6540
wor	w13_d433e6544
den	w1_d433e6549
seynd,	w3_d433e6552
einen	w5_d433e6555
genauen	w7_d433e6558
Entwurf	w9_d433e6561
zu	w11_d433e6564
ma	w13_d433e6568
chen,	w1_d433e6574
wie	w3_d433e6577
solche	w5_d433e6580
Puncte	w7_d433e6583
am	w9_d433e6586
leichtesten	w11_d433e6589
ins	w13_d433e6593
Werk	w1_d433e6598
zu	w3_d433e6601
richten	w5_d433e6604
seyn	w7_d433e6607
möchten.	w9_d433e6610
Dieser	w11_d433e6613
Entwurf	w1_d433e6618
soll	w3_d433e6621
in	w5_d433e6624
der	w7_d433e6627
nächsten	w9_d433e6630
Versammlung	w11_d433e6633
auf	w1_d433e6638
den	w3_d433e6641
5ten	w5_d433e6644
Mart.	w7_d433e6647
übergeben	w9_d433e6650
werden,	w11_d433e6653
um	w13_d433e6657
solche	w1_d433e6663
wichtige	w3_d433e6666
Sache,	w5_d433e6669
worüber	w7_d433e6672
man	w9_d433e6675
so	w11_d433e6678
lange	w1_d433e6683
berahtschlaget	w3_d433e6686
hat,	w5_d433e6689
auf	w7_d433e6692
einmal	w9_d433e6695
zu	w11_d433e6698
en	w13_d433e6702
digen.	w1_d433e6707
</p>
<head id="h2_d433e6713">
Dublin	w1_d433e6717
5.	w3_d433e6720
Februarii.	w5_d433e6723
</head>
<p id="p4_d433e6726">
Wegen	w1_d433e6730
Anstellung	w3_d433e6733
der	w5_d433e6736
neuen	w7_d433e6739
Werbungen	w9_d433e6742
in	w1_d433e6747
diesem	w3_d433e6750
Königreiche,	w5_d433e6753
sind	w7_d433e6756
verwichenen	w9_d433e6759
18.	w11_d433e6762
da	w1_d433e6767
diese	w3_d433e6770
Sache	w5_d433e6773
beym	w7_d433e6776
Unterhause	w9_d433e6779
des	w11_d433e6782
Par	w13_d433e6786
laments	w1_d433e6792
vorgetragen	w3_d433e6795
ward,	w5_d433e6798
grosse	w7_d433e6801
Debat	w9_d433e6804
ten	w1_d433e6809
in	w3_d433e6812
demselben	w5_d433e6815
gewesen.	w7_d433e6818
Man	w9_d433e6821
hat	w11_d433e6824
da	w13_d433e6828
bey	w1_d433e6833
unter	w3_d433e6836
andern	w5_d433e6839
angeführet:	w7_d433e6842
1)	w1_d433e6847
Man	w3_d433e6850
hätte	w5_d433e6853
nach	w7_d433e6856
dem	w9_d433e6859
Frieden	w11_d433e6862
von	w13_d433e6866
1748.	w1_d433e6872
das	w3_d433e6875
Militair	w5_d433e6878
wesen	w7_d433e6881
in	w9_d433e6884
Jrrland	w11_d433e6887
auf	w13_d433e6891
einen	w1_d433e6896
vesten	w3_d433e6899
Fuß	w5_d433e6902
gesetzet,	w7_d433e6905
und	w9_d433e6908
seitdem	w11_d433e6911
die	w13_d433e6915
