<doc id="edoc_wd_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="1">
<head id="hl1">
Erfurt	w39
<g/>
=
prinzen	w299
von	w300
Braunschweig	w301
<g/>
,
den	w303
Prinzen	w304
von	w305
Bevern	w306
und	w307
den	w308
Grafen	w309
von	w310
Pückenburg	w311
allhier	w312
ins	w313
Quartier	w314
bekommen	w315
würden	w316
<g/>
.
</p>
<head id="hl2">
Dresden	w318
14	w319
<g/>
.
Dec	w321
<g/>
.
1759	w323
<g/>
.
</head>
<p id="p4">
Der	w325
Herr	w326
General	w327
von	w328
Beck	w329
hat	w330
nach	w331
der	w332
letzthin	w333
vorgefallenen	w334
Action	w335
<g/>
,
mit	w337
seiseinem	w338
<g/>
=
</p>
<p id="p5">
nem	w341
Corps	w342
den	w343
Marsch	w344
gegen	w345
Torgau	w346
ge=nommen	w347
<g/>
=
<g/>
;
es	w350
haben	w351
aber	w352
die	w353
daselbst	w354
ste=hende	w355
<g/>
=
Preussen	w357
auf	w358
die	w359
davon	w360
erhaltene	w361
Nachricht	w362
die	w363
dortige	w364
Elb	w365
<g/>
=
brücke	w367
abgebro=chen	w368
<g/>
=
<g/>
,
und	w371
dadurch	w372
den	w373
Uebergang	w374
verhin=dert	w375
<g/>
=
<g/>
;
hingegen	w378
hat	w379
gedachter	w380
Herr	w381
Ge=neral	w382
<g/>
=
etliche	w384
20	w385
<g/>
.
Schiffe	w387
<g/>
,
welche	w389
mit	w390
Pro=viant	w391
<g/>
=
beladen	w393
<g/>
,
von	w395
Magdeburg	w396
gekommen	w397
<g/>
,
und	w399
auf	w400
der	w401
andern	w402
Elb	w403
<g/>
=
seite	w405
für	w406
die	w407
Preus=sische	w408
<g/>
=
Armee	w410
bey	w411
Kesselsdorf	w412
unterhalb	w413
Meis=sen	w414
<g/>
=
ausgeschiffet	w416
werden	w417
sollen	w418
<g/>
,
auf	w420
besag=tem	w421
<g/>
=
Marsch	w423
ruiniren	w424
und	w425
in	w426
Grund	w427
schies=sen	w428
<g/>
=
lassen	w430
<g/>
.
Den	w432
10	w433
<g/>
.
dieses	w435
haben	w436
die	w437
Oe=sterreichische	w438
<g/>
=
und	w440
Preußische	w441
Husaren	w442
zwi=schen	w443
<g/>
=
Kesselsdorf	w445
und	w446
Steinbach	w447
einen	w448
schar=fen	w449
<g/>
=
Scharmützel	w451
gehabt	w452
<g/>
,
und	w454
die	w455
letztern	w456
haben	w457
bey	w458
der	w459
Retirade	w460
ihre	w461
von	w462
Reisig	w463
<g/>
,
und	w465
Stroh	w466
verfertigte	w467
Hütten	w468
abgebrannt	w469
<g/>
,
Die	w471
Preußische	w472
Armee	w473
befindet	w474
sich	w475
noch	w476
in	w477
ihrer	w478
vorigen	w479
Stellung	w480
von	w481
Prißnitz	w482
bis	w483
nach	w484
Kesselsdorf	w485
<g/>
.
Sie	w487
haben	w488
schon	w489
2	w490
<g/>
.
mal	w492
zu	w493
Nachts	w494
die	w495
Oesterreicher	w496
in	w497
Friedrichs=stadt	w498
<g/>
=
überfallen	w500
wollen	w501
<g/>
,
aber	w503
niemals	w504
ihr	w505
Vorhaben	w506
ausgeführt	w507
<g/>
.
Der	w509
General	w510
Had=dick	w511
<g/>
=
ist	w513
dieser	w514
Tagen	w515
aus	w516
Böhmen	w517
wieder	w518
anhero	w519
zurück	w520
gekommen	w521
<g/>
,
und	w523
hat	w524
<g/>
,
wie	w526
man	w527
vernihmt	w528
<g/>
,
das	w530
Commando	w531
über	w532
den	w533
Oesterreichischen	w534
linken	w535
Flügel	w536
erhalten	w537
<g/>
.
Dieser	w539
Tagen	w540
seynd	w541
bey	w542
500	w543
<g/>
.
Recruten	w545
aus	w546
Steyermarkt	w547
für	w548
die	w549
hier	w550
in	w551
Garnison	w552
ste=hende	w553
<g/>
=
Regimenter	w555
<g/>
,
ingleichen	w557
auch	w558
vie=les	w559
<g/>
=
Tuch	w561
und	w562
andere	w563
zur	w564
Montirung	w565
gehö=rige	w566
<g/>
=
Sachen	w568
hieher	w569
gebracht	w570
worden	w571
<g/>
.
Bey	w573
Neustadt	w574
auf	w575
der	w576
Wiese	w577
und	w578
dem	w579
Terrain	w580
unter	w581
und	w582
oberhalb	w583
der	w584
Brücke	w585
wird	w586
ein	w587
Heu	w588
<g/>
=
magazin	w590
durch	w591
die	w592
starke	w593
Zufuhr	w594
aus	w595
Böhmen	w596
angeleget	w597
<g/>
,
und	w599
an	w600
der	w601
Elb	w602
<g/>
=
seite	w604
mit	w605
Palisaden	w606
umgeben	w607
<g/>
.
Hingegen	w609
am	w610
Stroh	w611
ist	w612
im	w613
Holländischen	w614
Palais	w615
<g/>
=
garten	w617
von	w618
dem	w619
Preußischen	w620
Magazin	w621
noch	w622
ein	w623
grosser	w624
Vorrat	w625
vorhanden	w626
<g/>
,
und	w628
weil	w629
auf	w630
der	w631
Holz	w632
<g/>
=
flösse	w634
und	w635
in	w636
denen	w637
Holz	w638
<g/>
=
höfen	w640
</p>
<p id="p6">
das	w641
Holz	w642
meistens	w643
ausgegangen	w644
ist	w645
<g/>
,
der	w647
im	w648
Zwinger	w649
<g/>
=
garten	w651
aber	w652
angeschafte	w653
grosse	w654
Vorrat	w655
in	w656
gewisser	w657
Absicht	w658
stehen	w659
bleibt	w660
<g/>
;
so	w662
wird	w663
auf	w664
hohe	w665
Anordnung	w666
in	w667
denen	w668
Kö=niglichen	w669
<g/>
=
Ställen	w671
<g/>
,
das	w673
erforderliche	w674
Holz	w675
geschlagen	w676
<g/>
,
und	w678
für	w679
die	w680
Armee	w681
und	w682
Bäcke=rey	w683
<g/>
=
geliefert	w685
<g/>
.
</p>
<head id="hl3">
Stuttgard	w687
16	w688
Dec	w689
<g/>
.
1759	w691
<g/>
.
</head>
<p id="p7">
Mit	w693
dem	w694
gestern	w695
hier	w696
eingetroffenen	w697
Feld=currier	w698
<g/>
=
hat	w700
man	w701
vernommen	w702
<g/>
,
daß	w704
Se	w705
<g/>
.
Her=zogliche	w707
<g/>
=
Durchl	w709
<g/>
.
unser	w711
gnädigster	w712
Landes=vatter	w713
<g/>
=
den	w715
13	w716
<g/>
.
dieses	w718
Dero	w719
Haupt	w720
<g/>
=
quar=tier	w722
<g/>
=
zu	w724
Reineck	w725
<g/>
,
einem	w727
Gräflichen	w728
Nosti=tzischen	w729
<g/>
=
Städtlein	w731
gehabt	w732
<g/>
.
Se	w734
<g/>
.
Herzogl	w736
<g/>
.
Durchl	w738
<g/>
.
haben	w740
nach	w741
der	w742
Affaire	w743
bey	w744
Fulda	w745
alle	w746
detaschirte	w747
Corps	w748
an	w749
sich	w750
gezogen	w751
<g/>
,
und	w753
sind	w754
von	w755
Hammel	w756
nach	w757
Zietlof	w758
<g/>
,
und	w760
von	w761
da	w762
nach	w763
erwehnten	w764
Städtlein	w765
Reineck	w766
mar=schirt	w767
<g/>
=
<g/>
.
Von	w770
des	w771
Prinzens	w772
Louis	w773
Eugene	w774
Durchl	w775
<g/>
.
vernehmen	w777
wir	w778
<g/>
,
daß	w780
Höchst	w781
<g/>
=
die=selbe	w783
<g/>
=
bey	w785
der	w786
Armee	w787
des	w788
Marschalls	w789
Gra=fens	w790
<g/>
=
von	w792
Daun	w793
<g/>
,
in	w795
vollkommenen	w796
Wolseyn	w797
sich	w798
befinden	w799
<g/>
.
Von	w801
dem	w802
in	w803
Ulm	w804
versammelt	w805
ge=westen	w806
<g/>
=
allgemeinen	w808
Kreis	w809
<g/>
=
convent	w811
sind	w812
des	w813
Herrn	w814
Marggrafens	w815
Carl	w816
August	w817
von	w818
Baden	w819
<g/>
=
durlach	w821
Durchl	w822
<g/>
.
zum	w824
General	w825
<g/>
=
feld=zeug	w827
<g/>
=
<g/>
=
meister	w830
<g/>
,
des	w832
Prinzens	w833
August	w834
von	w835
Baden	w836
<g/>
=
baden	w838
Durchl	w839
<g/>
.
zum	w841
General	w842
der	w843
Ca=vallerie	w844
<g/>
=
<g/>
,
und	w847
des	w848
Erb	w849
<g/>
=
prinzens	w851
von	w852
Ho=henzollern	w853
<g/>
=
Sigmaringen	w855
Durchl	w856
<g/>
.
zum	w858
Ge=neral	w859
<g/>
=
<g/>
=
leutenant	w862
erkläret	w863
worden	w864
<g/>
.
</p>
<p id="p8">
Es	w866
kommen	w867
täglich	w868
von	w869
denen	w870
in	w871
Ha=növerische	w872
<g/>
=
Gefangenschaft	w874
gerahtenen	w875
Gre=nadiers	w876
<g/>
=
und	w878
Mousquetiers	w879
<g/>
,
viele	w881
Selbst=ranzionirte	w882
<g/>
=
allhier	w884
an	w885
und	w886
hat	w887
man	w888
der=selben	w889
<g/>
=
an	w891
einem	w892
Tag	w893
in	w894
der	w895
vorigen	w896
Woche	w897
etliche	w898
40	w899
gezehlet	w900
<g/>
.
Se	w902
<g/>
.
Herzogl	w904
<g/>
.
Durchl	w906
<g/>
.
haben	w908
befohlen	w909
daß	w910
selbige	w911
auf	w912
dem	w913
Sam=mel	w914
<g/>
=
<g/>
=
platz	w917
alhier	w918
<g/>
,
nicht	w920
allein	w921
beynebst	w922
dem	w923
Selbst	w924
ranzionirungs	w925
<g/>
=
douceur	w927
also	w928
gleich	w929
mit	w930
neuer	w931
groß	w932
<g/>
=
und	w934
kleinen	w935
Montirung	w936
wieder	w937
versehen	w938
<g/>
,
sondern	w940
auch	w941
<g/>
,
besonders	w943
die	w944
BlesBlessirte	w945
</p>
<p id="p9">
sirte	w947
von	w948
ihnen	w949
wol	w950
in	w951
Acht	w952
genommen	w953
<g/>
,
und	w955
zu	w956
ihrer	w957
Heilung	w958
bestens	w959
besorget	w960
werden	w961
<g/>
.
</p>
<head id="hl4">
Genua	w963
8	w964
<g/>
.
Decemb	w966
<g/>
.
1759	w968
<g/>
.
</head>
<p id="p10">
Vermög	w970
sicheren	w971
Nachrichten	w972
seynd	w973
Jhre	w974
Catholische	w975
Majestäten	w976
am	w977
1	w978
<g/>
.
dieses	w980
nach	w981
Madrid	w982
von	w983
Saragossa	w984
würklich	w985
aufgebro=chen	w986
<g/>
=
<g/>
;
es	w989
wird	w990
aber	w991
diese	w992
Reise	w993
sehr	w994
gemäch=lich	w995
<g/>
=
<g/>
,
und	w998
in	w999
ganz	w1000
kleinen	w1001
Tagreisen	w1002
gemacht	w1003
<g/>
,
und	w1005
so	w1006
<g/>
,
wie	w1008
es	w1009
die	w1010
Umstände	w1011
Jhrer	w1012
Maje=stät	w1013
<g/>
=
der	w1015
Königin	w1016
und	w1017
der	w1018
Königl	w1019
<g/>
.
Famile	w1021
welche	w1022
erst	w1023
kürzlich	w1024
von	w1025
ihrer	w1026
Krankheit	w1027
sich	w1028
erholet	w1029
<g/>
,
zulassen	w1031
<g/>
.
</p>
<head id="hl5">
Lisabon	w1033
23	w1034
<g/>
.
November	w1036
<g/>
.
1759	w1038
<g/>
.
</head>
<p id="p11">
Als	w1040
die	w1041
Prinzeßin	w1042
von	w1043
Brasilien	w1044
mit	w1045
dem	w1046
Hofe	w1047
nach	w1048
Villa	w1049
<g/>
=
viciosa	w1051
sich	w1052
erheben	w1053
wolte	w1054
<g/>
,
so	w1056
hat	w1057
sie	w1058
einen	w1059
Fall	w1060
gethan	w1061
<g/>
,
wel=cher	w1063
<g/>
=
aber	w1065
zum	w1066
Glück	w1067
von	w1068
keinen	w1069
übeln	w1070
Fol=gen	w1071
<g/>
=
gewesen	w1073
ist	w1074
<g/>
.
Der	w1076
König	w1077
<g/>
,
die	w1079
Königin	w1080
und	w1081
die	w1082
Königl	w1083
<g/>
.
Herrschaften	w1085
<g/>
,
belustigen	w1087
sich	w1088
in	w1089
denen	w1090
Gegenden	w1091
von	w1092
Villa	w1093
<g/>
=
viciosa	w1095
mit	w1096
der	w1097
Jagd	w1098
<g/>
.
Heute	w1100
verfügen	w1101
Sie	w1102
sich	w1103
nach	w1104
Alto	w1105
do	w1106
Cham	w1107
<g/>
,
von	w1109
dar	w1110
nach	w1111
Crato	w1112
und	w1113
alsdann	w1114
nach	w1115
Romeam	w1116
<g/>
,
wo	w1118
Sie	w1119
acht	w1120
Tage	w1121
verbleiben	w1122
werden	w1123
<g/>
;
hierauf	w1125
reisen	w1126
Sie	w1127
nach	w1128
Villa	w1129
<g/>
=
viciosa	w1131
zurück	w1132
<g/>
,
und	w1134
werden	w1135
den	w1136
10	w1137
<g/>
.
oder	w1139
12	w1140
<g/>
.
December	w1142
diese	w1143
Haupt	w1144
<g/>
=
stadt	w1146
mit	w1147
Dero	w1148
Gegenwart	w1149
wieder	w1150
beglücken	w1151
<g/>
.
Der	w1153
Graf	w1154
von	w1155
Oayras	w1156
hat	w1157
dem	w1158
Hofe	w1159
bisher	w1160
nicht	w1161
nachfolgen	w1162
können	w1163
<g/>
.
Die	w1165
Sache	w1166
der	w1167
Staats	w1168
<g/>
=
gefangenen	w1170
hat	w1171
noch	w1172
nicht	w1173
das	w1174
Ende	w1175
erreichet	w1176
<g/>
,
indem	w1178
das	w1179
Unglück	w1180
ihre	w1181
Zahl	w1182
täglich	w1183
vermehret	w1184
<g/>
.
Der	w1186
Herr	w1187
Enserrabo=des	w1188
<g/>
=
welcher	w1190
den	w1191
7	w1192
<g/>
.
November	w1194
auf	w1195
dem	w1196
Paquet	w1197
Bot	w1198
Hanover	w1199
zurückgekehret	w1200
ist	w1201
<g/>
,
wurde	w1203
den	w1204
folgenden	w1205
Tag	w1206
in	w1207
das	w1208
Fort	w1209
Junqueira	w1210
gebracht	w1211
<g/>
.
</p>
<p id="p12">
Der	w1213
König	w1214
geruhete	w1215
unter	w1216
seiner	w1217
See=macht	w1218
<g/>
=
4	w1220
<g/>
.
Schifs	w1222
haup	w1223
<g/>
=
leute	w1225
<g/>
,
und	w1227
5	w1228
<g/>
.
Leute=nants	w1230
<g/>
=
zu	w1232
befördern	w1233
<g/>
.
Die	w1235
Flotte	w1236
von	w1237
Bahia	w1238
ist	w1239
<g/>
,
ausser	w1241
2	w1242
<g/>
.
Schiffen	w1244
welche	w1245
man	w1246
noch	w1247
erwartet	w1248
<g/>
,
in	w1250
dem	w1251
hiesigen	w1252
Hafen	w1253
angelan=get	w1254
<g/>
=
<g/>
;
zugleich	w1257
sind	w1258
7	w1259
<g/>
.
Schiffe	w1261
von	w1262
der	w1263
Flotte	w1264
von	w1265
Rio	w1266
<g/>
,
wie	w1268
auch	w1269
die	w1270
Kriegs	w1271
<g/>
=
schiffe	w1273
<g/>
,
die	w1275
</p>
<p id="p13">
sie	w1276
begleitet	w1277
haben	w1278
<g/>
,
mit	w1280
eingeloffen	w1281
<g/>
;
ein	w1283
hef=tiger	w1284
<g/>
=
Sturm	w1286
<g/>
,
der	w1288
diese	w1289
Flotten	w1290
den	w1291
28	w1292
<g/>
.
October	w1294
überfallen	w1295
<g/>
,
hat	w1297
sie	w1298
getrennet	w1299
<g/>
,
aber	w1301
nun	w1302
vernihmt	w1303
man	w1304
<g/>
,
daß	w1306
12	w1307
<g/>
.
Schiffe	w1309
von	w1310
Rio	w1311
vor	w1312
Lagos	w1313
geankert	w1314
haben	w1315
<g/>
;
also	w1317
fehlet	w1318
nur	w1319
noch	w1320
ein	w1321
einziges	w1322
Schif	w1323
von	w1324
der	w1325
Flotte	w1326
<g/>
,
indem	w1328
auch	w1329
die	w1330
zwey	w1331
übrige	w1332
zu	w1333
Oporto	w1334
an=gekommen	w1335
<g/>
=
sind	w1337
<g/>
.
Man	w1339
hat	w1340
sogleich	w1341
zwey	w1342
Convoyen	w1343
eine	w1344
gegen	w1345
Norden	w1346
und	w1347
die	w1348
an=dere	w1349
<g/>
=
gegen	w1351
Süden	w1352
<g/>
,
um	w1354
die	w1355
verlorne	w1356
Schiffe	w1357
aufzusuchen	w1358
<g/>
,
auslauffen	w1360
lassen	w1361
<g/>
.
Die	w1363
Schä=tze	w1364
<g/>
=
dieser	w1366
zwey	w1367
Flotten	w1368
bestehen	w1369
in	w1370
zwey	w1371
und	w1372
einer	w1373
halben	w1374
Million	w1375
für	w1376
den	w1377
König	w1378
<g/>
;
14	w1380
<g/>
.
Millionen	w1382
an	w1383
Gold	w1384
und	w1385
Silber	w1386
für	w1387
die	w1388
Kaufmannschaft	w1389
<g/>
,
aus	w1391
zwey	w1392
Küsten	w1393
voll	w1394
Diamanten	w1395
<g/>
,
17876	w1397
<g/>
.
grossen	w1399
und	w1400
kleinen	w1401
Küsten	w1402
und	w1403
Zucker	w1404
<g/>
=
ballen	w1406
<g/>
,
12825	w1408
<g/>
.
Küsten	w1410
und	w1411
Ballen	w1412
<g/>
=
toback	w1414
<g/>
,
25270	w1416
<g/>
.
Häuten	w1418
<g/>
,
von	w1420
verschiedener	w1421
Gattung	w1422
<g/>
,
1673	w1424
<g/>
.
Elephanten	w1426
Zähnen	w1427
<g/>
,
und	w1429
aus	w1430
114	w1431
<g/>
.
Ballen	w1433
Wolle	w1434
von	w1435
Bakunla	w1436
<g/>
,
wie	w1438
auch	w1439
vielem	w1440
Bau	w1441
<g/>
=
holze	w1443
und	w1444
andern	w1445
kostbaren	w1446
Waaren	w1447
und	w1448
Sachen	w1449
mehr	w1450
<g/>
.
</p>
<head id="p14">
Petersburg	w1452
23	w1453
<g/>
.
Nov	w1455
<g/>
.
1759	w1457
<g/>
.
</head>
<p id="p15">
Nachdem	w1459
<g/>
,
wegen	w1461
Auswechlung	w1462
der	w1463
Kaiserl	w1464
<g/>
.
Rußischen	w1466
und	w1467
Königl	w1468
<g/>
.
Preußischen	w1470
Kriegs	w1471
<g/>
=
gefangenen	w1473
<g/>
,
auf	w1475
Seiten	w1476
Jhrer	w1477
Kai=serl	w1478
<g/>
=
<g/>
.
Majestät	w1481
<g/>
,
der	w1483
General	w1484
<g/>
=
major	w1486
Peter	w1487
von	w1488
Jacowlef	w1489
<g/>
,
und	w1491
der	w1492
Oberste	w1493
und	w1494
Ge=neralquartier	w1495
<g/>
=
<g/>
=
meister	w1498
<g/>
=
leutenant	w1500
<g/>
,
Jacob	w1502
von	w1503
Sievers	w1504
auf	w1505
Seiten	w1506
Seiner	w1507
Majestät	w1508
des	w1509
Königs	w1510
von	w1511
Preußen	w1512
aber	w1513
der	w1514
General=major	w1515
<g/>
=
Friedrich	w1517
Freyherr	w1518
von	w1519
Wylich	w1520
<g/>
,
und	w1522
der	w1523
Ober	w1524
<g/>
=
auditeur	w1526
Friedrich	w1527
Wilhelm	w1528
von	w1529
Spangenberg	w1530
<g/>
,
zu	w1532
Gevollmächtigten	w1533
abge=ordnet	w1534
<g/>
=
worden	w1536
sind	w1537
<g/>
:
so	w1539
haben	w1540
dieselben	w1541
<g/>
,
in	w1543
Kraft	w1544
habender	w1545
und	w1546
einander	w1547
commu=nicirten	w1548
<g/>
=
Vollmachten	w1550
<g/>
,
und	w1552
nachdem	w1553
die	w1554
Kö=nigl	w1555
<g/>
=
<g/>
.
Preußische	w1558
Pommerische	w1559
Stadt	w1560
Bütow	w1561
zum	w1562
Conferenz	w1563
<g/>
=
ort	w1565
beliebet	w1566
worden	w1567
<g/>
,
den	w1569
12	w1570
<g/>
.
des	w1572
jüngst	w1573
<g/>
=
verwichenen	w1575
Monats	w1576
October	w1577
<g/>
,
desfalls	w1579
daselbst	w1580
eine	w1581
Präliminair	w1582
<g/>
=
conven=tion	w1584
<g/>
=
verabredet	w1586
<g/>
;
und	w1588
den	w1589
15	w1590
<g/>
.
darauf	w1592
ist	w1593
</p>
<p id="p16">
sososodann	w1594
<g/>
=
</p>
<p id="p17">
sodann	w1596
das	w1597
Cartel	w1598
zwischen	w1599
denenselben	w1600
ge=schlossen	w1601
<g/>
=
<g/>
,
gezeichnet	w1604
und	w1605
ausgewechselt	w1606
wor=den	w1607
<g/>
=
<g/>
.
Dieses	w1610
Cartel	w1611
soll	w1612
6	w1613
<g/>
.
Jahr	w1615
oder	w1616
so	w1617
lang	w1618
<g/>
,
als	w1620
der	w1621
gegenwärtige	w1622
Krieg	w1623
dauert	w1624
<g/>
,
gültig	w1626
seyn	w1627
<g/>
;
und	w1629
damit	w1630
selbiges	w1631
zu	w1632
jeder=manns	w1633
<g/>
=
Wissenschaft	w1635
gelangen	w1636
mögen	w1637
<g/>
,
so	w1639
hat	w1640
man	w1641
dasselbe	w1642
in	w1643
Teutscher	w1644
und	w1645
Rußischer	w1646
Sprache	w1647
durch	w1648
den	w1649
Druck	w1650
hierselbst	w1651
bekannt	w1652
gemacht	w1653
<g/>
.
</p>
<head id="hl6">
Nieder	w1655
<g/>
=
elbe	w1657
17	w1658
<g/>
.
Dec	w1660
<g/>
.
1759	w1662
<g/>
.
</head>
<p id="p18">
Aus	w1664
dem	w1665
Mecklenburgischen	w1666
hat	w1667
man	w1668
unterm	w1669
13	w1670
<g/>
.
<g/>
,
daß	w1673
12000	w1674
<g/>
.
Mann	w1676
Preußen	w1677
bey	w1678
Demmin	w1679
stehen	w1680
<g/>
,
daß	w1682
ein	w1683
Lager	w1684
von	w1685
6000	w1686
<g/>
.
Mann	w1688
in	w1689
eben	w1690
der	w1691
Gegend	w1692
würklich	w1693
zu	w1694
ste=hen	w1695
<g/>
=
komme	w1697
<g/>
,
auch	w1699
bereits	w1700
einige	w1701
Preußische	w1702
Trupen	w1703
sich	w1704
wiederum	w1705
in	w1706
Malchin	w1707
einge=funden	w1708
<g/>
=
hätten	w1710
<g/>
.
Jm	w1712
Amte	w1713
Dargau	w1714
hat	w1715
sich	w1716
gleichfalls	w1717
ein	w1718
Preußischer	w1719
Officier	w1720
mit	w1721
einem	w1722
Commando	w1723
zur	w1724
Execution	w1725
eingefunden	w1726
<g/>
,
nach=dem	w1728
<g/>
=
das	w1730
Preußische	w1731
Commissariat	w1732
mit	w1733
Ab=lauf	w1734
<g/>
=
des	w1736
vorigen	w1737
Monats	w1738
ein	w1739
bedrohliches	w1740
Patent	w1741
an	w1742
die	w1743
Mecklenburgischen	w1744
Aemter	w1745
zur	w1746
Bezahlung	w1747
der	w1748
Rückstände	w1749
der	w1750
im	w1751
vorigen	w1752
Jahre	w1753
ausgeschriebenen	w1754
Contributionen	w1755
hat	w1756
ergehen	w1757
lassen	w1758
<g/>
.
Der	w1760
Schwedische	w1761
Gene=ral	w1762
<g/>
=
en	w1764
Chef	w1765
von	w1766
Lantingshausen	w1767
hat	w1768
hinge=gen	w1769
<g/>
=
an	w1771
verschiedenen	w1772
Orten	w1773
ein	w1774
Patent	w1775
an=schlagen	w1776
<g/>
=
lassen	w1778
worinn	w1779
diese	w1780
Bezahlung	w1781
ernstlich	w1782
untersaget	w1783
wird	w1784
<g/>
,
worauf	w1786
aber	w1787
die	w1788
Preussen	w1789
wenig	w1790
Aufmerksamkeit	w1791
bezeigen	w1792
sollen	w1793
<g/>
.
</p>
<head id="hl7">
Neapel	w1795
29	w1796
<g/>
.
Novemb	w1798
<g/>
.
1759	w1800
<g/>
.
</head>
<p id="p19">
Seine	w1802
Majestät	w1803
der	w1804
König	w1805
begeben	w1806
sich	w1807
zum	w1808
öftern	w1809
nach	w1810
Capo	w1811
di	w1812
Monte	w1813
<g/>
.
Ein	w1815
Mal=thesisches	w1816
<g/>
=
Kriegs	w1818
<g/>
=
schif	w1820
von	w1821
60	w1822
<g/>
.
Canonen	w1824
<g/>
,
das	w1826
in	w1827
unserm	w1828
Hafen	w1829
ligt	w1830
<g/>
,
ist	w1832
bestimmt	w1833
<g/>
,
alle	w1835
Spanier	w1836
<g/>
,
welche	w1838
Krankheit	w1839
halber	w1840
Seiner	w1841
Catholischen	w1842
Majestät	w1843
nach	w1844
solchem	w1845
König=reiche	w1846
<g/>
=
nicht	w1848
haben	w1849
folgen	w1850
können	w1851
<g/>
,
und	w1853
was	w1854
sonst	w1855
von	w1856
Königl	w1857
<g/>
.
Sachen	w1859
noch	w1860
zuruck	w1861
ge=blieben	w1862
<g/>
=
ist	w1864
<g/>
,
dahin	w1866
zu	w1867
transportiren	w1868
<g/>
.
Un=sere	w1870
<g/>
=
Schiffe	w1872
und	w1873
Chebequen	w1874
<g/>
,
so	w1876
den	w1877
Catho=lischen	w1878
<g/>
=
Monarchen	w1880
nach	w1881
Barcellona	w1882
begleibegleitet	w1883
<g/>
