<doc id="wr_1759-01-20" attrs="word" year="1759" month="01" day="20" corpus="2">
<head id="h2_d315e2754">
Prag	w1_d315e2758
nach	w1_d315e3155
Zittau,	w3_d315e3158
welche	w5_d315e3161
Stadt	w7_d315e3164
er	w9_d315e3167
mit	w11_d315e3170
1700.	w13_d315e3174
Mann	w1_d315e3179
besetzt	w3_d315e3182
hat.	w5_d315e3185
Die	w7_d315e3188
Preußen	w9_d315e3191
stehen	w11_d315e3194
8.	w13_d315e3198
bis	w1_d315e3203
10.	w3_d315e3206
Meilen	w5_d315e3209
davon,	w7_d315e3212
und	w9_d315e3215
haben	w11_d315e3218
ihren	w13_d315e3222
Cordon	w1_d315e3228
an	w3_d315e3231
der	w5_d315e3234
Spree,	w7_d315e3237
und	w9_d315e3240
dem	w11_d315e3243
Elster=fluß	w13_d315e3247
bis	w1_d315e3252
an	w3_d315e3255
die	w5_d315e3258
Bober	w7_d315e3261
gezogen.	w9_d315e3264
Gegen	w11_d315e3267
Schweid	w13_d315e3271
nitz,	w1_d315e3276
Landshut,	w3_d315e3279
und	w5_d315e3282
Neiß,	w7_d315e3285
steht	w9_d315e3288
ihre	w11_d315e3291
meiste	w13_d315e3295
Jnfanterie,	w1_d315e3300
und	w3_d315e3303
rückwärts	w5_d315e3306
zwischen	w7_d315e3309
der	w9_d315e3312
Bo	w11_d315e3315
ber	w1_d315e3321
und	w3_d315e3324
Oder	w5_d315e3327
die	w7_d315e3330
Cavallerie.	w9_d315e3333
Da	w11_d315e3336
Se.	w13_d315e3340
Excellenz	w1_d315e3345
der	w3_d315e3348
Herr	w5_d315e3351
Feld=marschall	w7_d315e3354
Graf	w9_d315e3357
von	w1_d315e3362
Daun	w3_d315e3365
noch	w5_d315e3368
nicht	w7_d315e3371
bey	w9_d315e3374
der	w11_d315e3377
Armee	w13_d315e3381
ein	w15_d315e3384
getroffen,	w1_d315e3389
so	w3_d315e3392
wird	w5_d315e3395
sie	w7_d315e3398
einstweilen	w9_d315e3401
von	w11_d315e3404
dem	w13_d315e3408
Herrn	w1_d315e3414
General=feld=zeugmeister	w3_d315e3417
Grafen	w5_d315e3420
von	w7_d315e3423
Harsch	w1_d315e3428
commandirt.	w3_d315e3431
Das	w5_d315e3434
Devillische	w7_d315e3437
Corps	w9_d315e3440
stehet	w1_d315e3445
jetzo	w3_d315e3448
bey	w5_d315e3451
Grätz,	w7_d315e3454
unweit	w9_d315e3457
Troppau,	w11_d315e3460
und	w1_d315e3465
rechts	w3_d315e3468
gegen	w5_d315e3471
dem	w7_d315e3474
Herrn	w9_d315e3477
General	w11_d315e3480
von	w13_d315e3484
Beck.	w1_d315e3490
Jenseits	w3_d315e3493
des	w5_d315e3496
Riesen=gebürges	w7_d315e3499
befin	w9_d315e3502
det	w1_d315e3507
sich	w3_d315e3510
das	w5_d315e3513
Kalnokische	w7_d315e3516
Corps,	w9_d315e3519
bey	w11_d315e3522
Rum	w13_d315e3526
burg	w1_d315e3531
steht	w3_d315e3534
das	w5_d315e3537
Corpo	w7_d315e3540
des	w9_d315e3543
Herrn	w11_d315e3546
Generals	w13_d315e3550
Okelli,	w1_d315e3555
der	w3_d315e3558
Herr	w5_d315e3561
General	w7_d315e3564
Laudon	w9_d315e3567
aber	w11_d315e3570
steht	w13_d315e3574
bey	w1_d315e3580
Triplitz.	w3_d315e3583
</p>
<head id="h4_d315e3599">
Aachen	w1_d315e3603
12.	w3_d315e3606
Januarii.	w5_d315e3609
</head>
<p id="p6_d315e3612">
Die	w1_d315e3616
Commi	w3_d315e3619
sarien	w5_d315e3622
Sr.	w7_d315e3625
Allerchristlichsten	w9_d315e3628
Majestät,	w1_d315e3633
und	w3_d315e3636
Sr.	w5_d315e3639
Majest.	w7_d315e3642
des	w9_d315e3645
Königs	w11_d315e3648
in	w13_d315e3652
Preussen,	w1_d315e3657
welche	w3_d315e3660
nebst	w5_d315e3663
denen	w7_d315e3666
Engländischen	w9_d315e3669
anfänglich	w1_d315e3675
hier,	w3_d315e3678
hernach	w5_d315e3681
zu	w7_d315e3684
Emmerich	w9_d315e3687
ver	w11_d315e3690
sammelt	w1_d315e3695
gewesen,	w3_d315e3698
haben	w5_d315e3701
endlich	w7_d315e3704
das	w9_d315e3707
Aus	w11_d315e3710
wechslungs=geschäfte	w1_d315e3715
der	w3_d315e3718
Kriegsgefange	w5_d315e3721
nen	w1_d315e3726
zu	w3_d315e3729
Stande	w5_d315e3732
gebracht,	w7_d315e3735
und	w9_d315e3738
die	w11_d315e3741
Rechnun	w13_d315e3745
gen	w1_d315e3751
der	w3_d315e3754
von	w5_d315e3757
beyden	w7_d315e3760
Seiten	w9_d315e3763
aufgewandten	w11_d315e3766
Un	w13_d315e3770
kösten	w1_d315e3775
liquidirt.	w3_d315e3778
Es	w5_d315e3781
werden	w7_d315e3784
also	w9_d315e3787
gegen	w11_d315e3790
Be	w13_d315e3794
zahlung	w1_d315e3799
1.	w3_d315e3802
Million,	w5_d315e3805
und	w7_d315e3808
400000.	w9_d315e3811
Livres	w11_d315e3814
ver	w13_d315e3818
schiedene	w1_d315e3823
Transports	w3_d315e3826
Franz.	w5_d315e3829
Kriegsgefan	w7_d315e3832
gene	w1_d315e3838
gegen	w3_d315e3841
Hanövrische,	w5_d315e3844
und	w7_d315e3847
zwischen	w9_d315e3850
Mar	w11_d315e3853
burg	w1_d315e3858
und	w3_d315e3861
Giessen	w5_d315e3864
die	w7_d315e3867
Hessische	w9_d315e3870
ausgewechs	w11_d315e3873
let	w1_d315e3878
werden.	w3_d315e3881
</p>
<head id="h2_d315e3887">
Danzig	w1_d315e3891
1.	w3_d315e3894
Januarii.	w5_d315e3897
</head>
<p id="p4_d315e3900">
Jn	w1_d315e3904
hiesigen	w3_d315e3907
Gegenden	w5_d315e3910
ist	w7_d315e3913
noch	w9_d315e3916
alles	w11_d315e3919
voll	w13_d315e3923
mit	w1_d315e3928
Rußischen	w3_d315e3931
Völkern.	w5_d315e3934
Zu	w7_d315e3937
Dirschau	w9_d315e3940
steht	w11_d315e3943
der	w1_d315e3948
Fürst	w3_d315e3951
Wolkonsky	w5_d315e3954
mit	w7_d315e3957
einem	w9_d315e3960
grossen	w11_d315e3963
Cor	w13_d315e3967
po,	w1_d315e3973
und	w3_d315e3976
über	w5_d315e3979
die	w7_d315e3982
Trupen,	w9_d315e3985
welche	w11_d315e3988
im	w13_d315e3992
Dan	w15_d315e3995
ziger	w1_d315e4000
Gebiete	w3_d315e4003
bis	w5_d315e4006
an	w7_d315e4009
den	w9_d315e4012
See=strand	w11_d315e4015
ligen,	w13_d315e4019
führt	w1_d315e4024
der	w3_d315e4027
Brigadier	w5_d315e4030
Numri	w7_d315e4033
das	w9_d315e4036
Commando.	w11_d315e4039
Einige	w1_d315e4044
100.	w3_d315e4047
Cosacken	w5_d315e4050
und	w7_d315e4053
Calmucken	w9_d315e4056
cam	w11_d315e4059
piren	w1_d315e4065
in	w3_d315e4068
denen	w5_d315e4071
nahe	w7_d315e4074
ligenden	w9_d315e4077
Dörfern	w11_d315e4080
Lange	w13_d315e4084
fähr,	w1_d315e4089
Strieß	w3_d315e4092
rc.	w5_d315e4095
rc.	w7_d315e4098
bis	w9_d315e4101
an	w11_d315e4104
das	w13_d315e4108
Kloster	w15_d315e4111
Oliva,	w1_d315e4116
und	w3_d315e4119
werden	w5_d315e4122
in	w7_d315e4125
dieser	w9_d315e4128
Gegend	w11_d315e4131
ehe	w13_d315e4135
stens	w1_d315e4140
noch	w3_d315e4143
2.	w5_d315e4146
Jnfanterie=regimenter	w7_d315e4149
mit	w9_d315e4152
ei	w11_d315e4155
nigen	w1_d315e4161
Canonen	w3_d315e4164
erwartet.	w5_d315e4167
</p>
<p id="p6_d315e4170">
Nach	w1_d315e4174
denen	w3_d315e4177
Berichten	w5_d315e4180
aus	w7_d315e4183
Schwedisch	w9_d315e4186
Pommern,	w1_d315e4191
sind	w3_d315e4194
die	w5_d315e4197
Preußischen	w7_d315e4200
Trupen	w9_d315e4203
unter	w1_d315e4208
dem	w3_d315e4211
Commando	w5_d315e4214
des	w7_d315e4217
Herrn	w9_d315e4220
Grafen	w11_d315e4223
von	w1_d315e4229
Dohna	w3_d315e4232
würklich	w5_d315e4235
die	w7_d315e4238
Recknitz	w9_d315e4241
paßirt,	w11_d315e4244
und	w1_d315e4249
stehen	w3_d315e4252
also	w5_d315e4255
in	w7_d315e4258
diesem	w9_d315e4261
Herzogtum.	w11_d315e4264
Die	w13_d315e4268
Schwedische	w1_d315e4273
Armee	w3_d315e4276
hat	w5_d315e4279
hingegen	w7_d315e4282
ihren	w9_d315e4285
Ent	w11_d315e4288
schluß	w1_d315e4293
geändert,	w3_d315e4296
und	w5_d315e4299
verschanzt	w7_d315e4302
sich	w9_d315e4305
jetzo	w11_d315e4308
in	w1_d315e4314
dem	w3_d315e4317
Lager	w5_d315e4320
bey	w7_d315e4323
Greifswalde,	w9_d315e4326
anstatt	w11_d315e4329
unter	w1_d315e4334
die	w3_d315e4337
Canonen	w5_d315e4340
von	w7_d315e4343
Stralsund	w9_d315e4346
zu	w11_d315e4349
mar	w13_d315e4353
schiren.	w1_d315e4358
Ein	w3_d315e4361
Schreiben	w5_d315e4364
aus	w7_d315e4367
Riebnitz	w9_d315e4370
mel	w11_d315e4373
det,	w1_d315e4378
daß,	w3_d315e4381
als	w5_d315e4384
der	w7_d315e4387
Herr	w9_d315e4390
Graf	w11_d315e4393
von	w13_d315e4397
Dohna	w15_d315e4400
auf	w1_d315e4406
dem	w3_d315e4409
Marsche	w5_d315e4412
durch	w7_d315e4415
das	w9_d315e4418
Mecklenburgi	w11_d315e4421
sche	w1_d315e4426
auf	w3_d315e4429
Dragun	w5_d315e4432
nicht	w7_d315e4435
im	w9_d315e4438
Stande	w11_d315e4441
war,	w13_d315e4445
die	w15_d315e4448
</p>
<p id="p8_d315e4451">
Artillerie	w1_d315e4455
und	w3_d315e4458
Cavallerie	w5_d315e4461
wegen	w7_d315e4464
nasser	w9_d315e4467
Wit	w11_d315e4470
terung	w1_d315e4475
durch	w3_d315e4478
die	w5_d315e4481
vorligende	w7_d315e4484
Moräste	w9_d315e4487
zu	w11_d315e4490
brin	w13_d315e4494
gen,	w1_d315e4499
so	w3_d315e4502
ließ	w5_d315e4505
er	w7_d315e4508
den	w9_d315e4511
1.	w11_d315e4514
dieses	w13_d315e4518
zu	w15_d315e4521
Riebnitz	w17_d315e4524
in	w19_d315e4527
der	w1_d315e4533
Nacht	w3_d315e4536
Brücken	w5_d315e4539
aufschlagen,	w7_d315e4542
und	w9_d315e4545
auf	w11_d315e4548
ein	w13_d315e4552
Paar	w1_d315e4557
Anhöhen	w3_d315e4560
von	w5_d315e4563
welchen	w7_d315e4566
Damgarten	w9_d315e4569
und	w11_d315e4572
die	w1_d315e4577
dabey	w3_d315e4580
ligende	w5_d315e4583
Schanze	w7_d315e4586
bestrichen	w9_d315e4589
werden	w11_d315e4592
konte,	w1_d315e4597
Batterien	w3_d315e4600
erbauen,	w5_d315e4603
von	w7_d315e4606
da	w9_d315e4609
nach	w11_d315e4612
ge	w13_d315e4616
schehener	w1_d315e4622
Aufforderung	w3_d315e4625
der	w5_d315e4628
Ort	w7_d315e4631
beschossen	w9_d315e4634
wurde.	w1_d315e4639
Der	w3_d315e4642
Commandant	w5_d315e4645
sahe	w7_d315e4648
sich	w9_d315e4651
nach	w11_d315e4654
gethanen	w1_d315e4659
langen	w3_d315e4662
Widerstand	w5_d315e4665
genöhtiget,	w7_d315e4668
den	w1_d315e4673
Ort,	w3_d315e4676
nebst	w5_d315e4679
der	w7_d315e4682
Schanze	w9_d315e4685
und	w11_d315e4688
allen	w13_d315e4692
Ca	w15_d315e4695
nonen	w1_d315e4701
und	w3_d315e4704
Amunition	w5_d315e4707
zu	w7_d315e4710
ergeben,	w9_d315e4713
der	w11_d315e4716
Gar	w13_d315e4720
nison	w1_d315e4725
aber	w3_d315e4728
wurde	w5_d315e4731
unter	w7_d315e4734
Bedingung	w9_d315e4737
in	w11_d315e4740
Jahr	w13_d315e4744
und	w1_d315e4749
Tag	w3_d315e4752
nicht	w5_d315e4755
gegen	w7_d315e4758
den	w9_d315e4761
König	w11_d315e4764
von	w13_d315e4768
Preus	w15_d315e4771
sen	w1_d315e4776
zu	w3_d315e4779
dienen,	w5_d315e4782
der	w7_d315e4785
freye	w9_d315e4788
Abzug	w11_d315e4791
verwil	w13_d315e4795
liget.	w1_d315e4801
Bey	w3_d315e4804
dem	w5_d315e4807
Durchmarsch	w7_d315e4810
durch	w9_d315e4813
Me	w11_d315e4816
cklenburg	w1_d315e4821
haben	w3_d315e4824
die	w5_d315e4827
Preußen	w7_d315e4830
keine	w9_d315e4833
neue	w11_d315e4836
Con	w13_d315e4840
tributionen	w1_d315e4845
verlangt,	w3_d315e4848
wol	w5_d315e4851
aber	w7_d315e4854
Fourage	w9_d315e4857
lieferungen,	w1_d315e4862
wogegen	w3_d315e4865
sie	w5_d315e4868
Quittungen	w7_d315e4871
aus	w9_d315e4874
gestellet.	w1_d315e4880
</p>
<head id="h2_d315e4886">
Dresden	w1_d315e4890
6.	w3_d315e4893
Januarii.	w5_d315e4896
</head>
<p id="p4_d315e4899">
Von	w1_d315e4903
denen	w3_d315e4906
seit	w5_d315e4909
den	w7_d315e4912
24.	w9_d315e4915
Decemb.	w11_d315e4918
in	w13_d315e4922
und	w15_d315e4925
um	w1_d315e4930
Langensaltza	w3_d315e4933
eingerückten	w5_d315e4936
Königl.	w7_d315e4939
Preus	w9_d315e4942
sischen	w1_d315e4947
Trupen,	w3_d315e4950
sind	w5_d315e4953
den	w7_d315e4956
30.	w9_d315e4959
und	w11_d315e4962
31.	w13_d315e4966
Dito	w15_d315e4969
unter	w1_d315e4975
des	w3_d315e4978
Herrn	w5_d315e4981
Generals	w7_d315e4984
von	w9_d315e4987
Asseburg	w11_d315e4990
Commando	w1_d315e4995
einige	w3_d315e4998
100.	w5_d315e5001
Mann	w7_d315e5004
ins	w9_d315e5007
Eichs	w11_d315e5010
feldische	w1_d315e5015
abmarschirt.	w3_d315e5018
Da	w5_d315e5021
den	w7_d315e5024
3.	w9_d315e5027
dieses	w11_d315e5030
bey	w13_d315e5034
Sebnitz	w1_d315e5039
5000.	w3_d315e5042
Mann	w5_d315e5045
Kaiserl.	w7_d315e5048
Königl.	w9_d315e5051
Trupen	w1_d315e5057
über	w3_d315e5060
die	w5_d315e5063
Elbe	w7_d315e5066
gegangen,	w9_d315e5069
und	w11_d315e5072
nach	w13_d315e5076
Zittau	w1_d315e5081
marschirt,	w3_d315e5084
um	w5_d315e5087
die	w7_d315e5090
Strasse	w9_d315e5093
gegen	w11_d315e5096
Schlesien	w1_d315e5101
und	w3_d315e5104
Böhmen	w5_d315e5107
zu	w7_d315e5110
bedecken,	w9_d315e5113
so	w11_d315e5116
war	w13_d315e5120
man	w1_d315e5125
Preußischer	w3_d315e5128
Seits	w5_d315e5131
besorgt,	w7_d315e5134
es	w9_d315e5137
möchten	w11_d315e5140
sich	w1_d315e5146
diese	w3_d315e5149
Trupen	w5_d315e5152
aufs	w7_d315e5155
neue	w9_d315e5158
gegen	w11_d315e5161
Dresden	w13_d315e5165
ziehen.	w1_d315e5170
Es	w3_d315e5173
wurden	w5_d315e5176
auch	w7_d315e5179
verschiedene	w9_d315e5182
Preus	w11_d315e5185
sische	w1_d315e5190
Commando	w3_d315e5193
von	w5_d315e5196
Hussaren	w7_d315e5199
und	w9_d315e5202
Jnfan	w11_d315e5205
terie,	w1_d315e5210
weil	w3_d315e5213
sie	w5_d315e5216
nicht	w7_d315e5219
stark	w9_d315e5222
genug	w11_d315e5225
waren,	w13_d315e5229
von	w15_d315e5232
erstern	w1_d315e5238
aufgehoben.	w3_d315e5241
Auf	w5_d315e5244
der	w7_d315e5247
Kaiserl.	w9_d315e5250
Heide	w11_d315e5253
sind	w1_d315e5258
etliche	w3_d315e5261
50.	w5_d315e5264
buchene	w7_d315e5267
und	w9_d315e5270
eichene	w11_d315e5273
Stäm	w13_d315e5277
me	w1_d315e5282
für	w3_d315e5285
die	w5_d315e5288
Königl.	w7_d315e5291
Preußische	w9_d315e5294
Artillerie	w11_d315e5297
geschlagen,	w1_d315e5302
und	w3_d315e5305
zu	w5_d315e5308
ihrer	w7_d315e5311
Hereinschaffung	w9_d315e5314
500.	w1_d315e5320
Stuck	w3_d315e5323
Pferde	w5_d315e5326
und	w7_d315e5329
Wägen	w9_d315e5332
aus	w11_d315e5335
dem	w13_d315e5339
Dresdnischen	w1_d315e5344
Amte	w3_d315e5347
bestelt	w5_d315e5350
worden.	w7_d315e5353
Dem	w9_d315e5356
</p>
<p id="p10_d315e5369">
Vernehmen	w1_d315e5373
nach	w3_d315e5376
ist	w5_d315e5379
der	w7_d315e5382
von	w9_d315e5385
seinen	w11_d315e5388
Thaten	w13_d315e5392
bekannte	w1_d315e5397
Königl.	w3_d315e5400
Preußische	w5_d315e5403
Partheygän	w7_d315e5406
ger	w1_d315e5411
General	w3_d315e5414
Major	w5_d315e5417
von	w7_d315e5420
Meyer	w9_d315e5423
in	w11_d315e5426
seinem	w13_d315e5430
Stand=quartier	w1_d315e5436
zu	w3_d315e5439
Plauen	w5_d315e5442
mit	w7_d315e5445
Tod	w9_d315e5448
abge	w11_d315e5451
gangen.	w1_d315e5456
</p>
<head id="h2_d315e5463">
Münster	w1_d315e5467
3.	w3_d315e5470
Jan.	w5_d315e5473
</head>
<p id="p4_d315e5476">
Vor	w1_d315e5480
einigen	w3_d315e5483
Tagen	w5_d315e5486
lief	w7_d315e5489
das	w9_d315e5492
Gerücht,	w11_d315e5495
daß	w1_d315e5500
sich	w3_d315e5503
eine	w5_d315e5506
Französische	w7_d315e5509
Frey=parthey	w9_d315e5512
von	w1_d315e5517
neuem	w3_d315e5520
aus	w5_d315e5523
Wesel	w7_d315e5526
gewagt,	w9_d315e5529
bis	w11_d315e5532
Hal	w13_d315e5536
tern	w1_d315e5542
vorgedrungen,	w3_d315e5545
und	w5_d315e5548
die	w7_d315e5551
dasige	w9_d315e5554
Jäger	w11_d315e5557
besatzung	w1_d315e5562
in	w3_d315e5565
grossen	w5_d315e5568
Lärm	w7_d315e5571
gebracht;	w9_d315e5574
es	w11_d315e5577
kan	w1_d315e5582
aber	w3_d315e5585
nichts	w5_d315e5588
Erhebliches	w7_d315e5591
vorgefallen	w9_d315e5594
seyn,	w1_d315e5599
weil	w3_d315e5602
man	w5_d315e5605
keine	w7_d315e5608
Folge	w9_d315e5611
davon	w11_d315e5614
siehet.	w13_d315e5618
Gestern	w1_d315e5624
Morgen	w3_d315e5627
um	w5_d315e5630
8.	w7_d315e5633
Uhr	w9_d315e5636
ward	w11_d315e5639
allhier	w13_d315e5643
zwar	w1_d315e5648
Lärm	w3_d315e5651
geschlagen,	w5_d315e5654
und	w7_d315e5657
die	w9_d315e5660
ganze	w11_d315e5663
Gar	w13_d315e5667
nison	w1_d315e5672
ward	w3_d315e5675
mit	w5_d315e5678
aller	w7_d315e5681
ihrer	w9_d315e5684
Equipage	w11_d315e5687
auf	w13_d315e5691
ihren	w1_d315e5696
Sammel=platz	w3_d315e5699
beruffen;	w5_d315e5702
man	w7_d315e5705
schloß	w9_d315e5708
die	w1_d315e5714
Stadt=thöre,	w3_d315e5717
und	w5_d315e5720
die	w7_d315e5723
Canonen	w9_d315e5726
wa	w11_d315e5729
ren	w1_d315e5734
gleich	w3_d315e5737
bey	w5_d315e5740
der	w7_d315e5743
Hand;	w9_d315e5746
man	w11_d315e5749
erfuhr	w13_d315e5753
aber	w15_d315e5756
bald,	w1_d315e5761
daß	w3_d315e5764
der	w5_d315e5767
Herzog	w7_d315e5770
Ferdinand	w9_d315e5773
diese	w11_d315e5776
Be	w13_d315e5780
wegung	w1_d315e5785
nur	w3_d315e5788
machen	w5_d315e5791
lassen,	w7_d315e5794
um	w9_d315e5797
die	w11_d315e5800
Gar	w13_d315e5804
nison	w1_d315e5810
in	w3_d315e5813
beständiger	w5_d315e5816
Wachsamkeit	w7_d315e5819
zu	w9_d315e5822
erhal	w11_d315e5825
ten.	w1_d315e5830
Bey	w3_d315e5833
der	w5_d315e5836
Cavallerie,	w7_d315e5839
welche	w9_d315e5842
in	w11_d315e5845
un	w13_d315e5849
seren	w1_d315e5854
Gegenden	w3_d315e5857
cantoniret,	w5_d315e5860
geschahe	w7_d315e5863
ein	w9_d315e5866
gleiches,	w1_d315e5871
selbige	w3_d315e5874
hatte	w5_d315e5877
Ordre,	w7_d315e5880
so	w9_d315e5883
bald	w11_d315e5886
sie	w13_d315e5890
3.	w1_d315e5896
Canonen=schuß	w3_d315e5899
von	w5_d315e5902
der	w7_d315e5905
Citadelle	w9_d315e5908
hören	w11_d315e5911
würde,	w1_d315e5916
auf	w3_d315e5919
dem	w5_d315e5922
bestimmten	w7_d315e5925
Sammesplatz	w9_d315e5928
zu	w1_d315e5933
seyn.	w3_d315e5936
Mit	w5_d315e5939
Zahlung	w7_d315e5942
der	w9_d315e5945
Contribution,	w11_d315e5948
zu	w1_d315e5953
welcher	w3_d315e5956
jeder	w5_d315e5959
Eingesessener	w7_d315e5962
und	w9_d315e5965
Begü	w11_d315e5968
terter	w1_d315e5974
seinen	w3_d315e5977
Antheil	w5_d315e5980
zu	w7_d315e5983
geben	w9_d315e5986
hat,	w11_d315e5989
wird	w13_d315e5993
täglich	w1_d315e5998
fortgefahren.	w3_d315e6001
</p>
<head id="h2_d315e6007">
Aus	w1_d315e6011
dem	w3_d315e6014
Mecklenburgischen	w5_d315e6017
2.	w1_d315e6022
Januarii.	w1_d315e6027
</head>
<p id="p4_d315e6030">
Das	w1_d315e6034
Königl.	w3_d315e6037
Preußische	w5_d315e6040
Dohnaische	w7_d315e6043
Corps	w1_d315e6048
hat	w3_d315e6051
die	w5_d315e6054
hiesige	w7_d315e6057
Lande	w9_d315e6060
gegen	w11_d315e6063
unsere	w13_d315e6067
Erwartung	w1_d315e6072
schon	w3_d315e6075
mehrentheils	w5_d315e6078
wieder	w7_d315e6081
ge	w9_d315e6084
räumet,	w1_d315e6090
und	w3_d315e6093
sich	w5_d315e6096
nach	w7_d315e6099
dem	w9_d315e6102
Schwedischen	w11_d315e6105
Pommern	w1_d315e6110
gezogen.	w3_d315e6113
Neue	w5_d315e6116
Contributionen	w7_d315e6119
haben	w1_d315e6124
sie	w3_d315e6127
nicht	w5_d315e6130
verlanget,	w7_d315e6133
sondern	w9_d315e6136
wir	w11_d315e6139
ha	w13_d315e6143
ben	w1_d315e6148
ihnen	w3_d315e6151
nur	w5_d315e6154
Fourage	w7_d315e6157
liefern	w9_d315e6160
müssen,	w11_d315e6163
wogegen	w1_d315e6169
sie	w3_d315e6172
Quittungen	w5_d315e6175
gegeben,	w7_d315e6178
woraus	w9_d315e6181
man	w1_d315e6186
siehet,	w3_d315e6189
daß	w5_d315e6192
diese	w7_d315e6195
Fourage=lieferung	w9_d315e6198
als	w1_d315e6203
ein	w3_d315e6206
Theil	w5_d315e6209
des	w7_d315e6212
Abtrags	w9_d315e6215
einer	w11_d315e6218
noch	w13_d315e6222
zu	w15_d315e6225
</p>
<p id="p6_d315e6228">
bezahlenden	w1_d315e6232
ruckständigen	w3_d315e6235
Contribution	w5_d315e6238
von	w7_d315e6241
ihnen	w1_d315e6246
angesehen	w3_d315e6249
worden.	w5_d315e6252
</p>
<head id="h2_d315e6258">
Madrid	w1_d315e6262
29.	w3_d315e6265
Dec.	w5_d315e6268
1758.	w7_d315e6271
</head>
<p id="p4_d315e6274">
Die	w1_d315e6278
jüngste	w3_d315e6281
Nachrichten	w5_d315e6284
von	w7_d315e6287
Villa	w9_d315e6290
Vi	w11_d315e6293
closa	w1_d315e6298
geben	w3_d315e6301
wieder	w5_d315e6304
einige	w7_d315e6307
Hofnung	w9_d315e6310
zur	w11_d315e6313
Herstellung	w1_d315e6318
des	w3_d315e6321
Königs.	w5_d315e6324
Die	w7_d315e6327
offentliche	w9_d315e6330
Andachten	w1_d315e6336
für	w3_d315e6339
die	w5_d315e6342
Erhaltung	w7_d315e6345
Sr.	w9_d315e6348
Majest.	w11_d315e6351
werden	w1_d315e6356
noch	w3_d315e6359
immer	w5_d315e6362
fortgesetzet,	w7_d315e6365
und	w9_d315e6368
Se.	w11_d315e6371
Königl.	w1_d315e6376
Hoheit,	w3_d315e6379
der	w5_d315e6382
Jnfant	w7_d315e6385
Don	w9_d315e6388
Louis	w11_d315e6391
halten	w1_d315e6396
sich	w3_d315e6399
noch	w5_d315e6402
beständig	w7_d315e6405
zu	w9_d315e6408
Billa	w11_d315e6411
Viciosa	w13_d315e6415
