<doc id="wr_1757-12-17" attrs="word" year="1757" month="12" day="17" corpus="2">
<head id="h2_d203e3207">
Nieder=elbe	w1_d203e3211
den.	w1_d203e3806
Zwischen	w3_d203e3809
dem	w5_d203e3812
Schlosse	w7_d203e3815
und	w9_d203e3818
dem	w11_d203e3821
Lau	w13_d203e3825
enbrocke,	w1_d203e3831
welchen	w3_d203e3834
letztern	w5_d203e3837
Ort	w7_d203e3840
die	w9_d203e3843
Hannö	w11_d203e3846
verischen	w1_d203e3851
Trupen	w3_d203e3854
wieder	w5_d203e3857
besetzt,	w7_d203e3860
haben	w9_d203e3863
die	w11_d203e3866
Franzosen	w1_d203e3871
den	w3_d203e3874
Teich	w5_d203e3877
durch=stechen	w7_d203e3880
lassen.	w9_d203e3883
Der	w11_d203e3886
Herzog	w1_d203e3891
von	w3_d203e3894
Nichelieu	w5_d203e3897
hat	w7_d203e3900
sein	w9_d203e3903
Hauptquar	w11_d203e3906
tier	w1_d203e3912
zu	w3_d203e3915
Winsen	w5_d203e3918
an	w7_d203e3921
der	w9_d203e3924
Lube,	w11_d203e3927
und	w13_d203e3931
sein	w15_d203e3934
Lager	w17_d203e3937
verstärkt	w1_d203e3942
sich	w3_d203e3945
täglich	w5_d203e3948
durch	w7_d203e3951
mehrere	w9_d203e3954
Trupen.	w11_d203e3957
Da	w1_d203e3962
diesen	w3_d203e3965
ganzen	w5_d203e3968
Morgen	w7_d203e3971
ein	w9_d203e3974
Stillstand	w11_d203e3977
ist	w13_d203e3981
bemerket	w1_d203e3986
worden,	w3_d203e3989
so	w5_d203e3992
vermutete	w7_d203e3995
man,	w9_d203e3998
daß	w11_d203e4001
das	w13_d203e4005
Schloß	w1_d203e4011
etwann	w3_d203e4014
capituliret,	w5_d203e4017
und	w7_d203e4020
sich	w9_d203e4023
ergeben	w11_d203e4026
habe.	w1_d203e4031
Allein,	w3_d203e4034
diesen	w5_d203e4037
Nachmittag	w7_d203e4040
erfähret	w9_d203e4043
man,	w1_d203e4048
daß	w3_d203e4051
die	w5_d203e4054
Beschießung	w7_d203e4057
aufgehöret,	w9_d203e4060
weill	w11_d203e4063
die	w1_d203e4068
sämmtliche	w3_d203e4071
Harnöverische	w5_d203e4074
Regimenter,	w7_d203e4077
welche	w1_d203e4083
näher	w3_d203e4086
an	w5_d203e4089
Harburg	w7_d203e4092
gerückt	w9_d203e4095
gewesen,	w11_d203e4098
diesen	w1_d203e4103
Morgen	w3_d203e4106
von	w5_d203e4109
dorten	w7_d203e4112
abmarschieret	w9_d203e4115
sind,	w1_d203e4120
wit	w3_d203e4123
welchen	w5_d203e4126
der	w7_d203e4129
Prinz	w9_d203e4132
Ferdinand	w11_d203e4135
auf	w13_d203e4139
gebrochen	w1_d203e4144
ist,	w3_d203e4147
um	w5_d203e4150
dem	w7_d203e4153
Herzoge	w9_d203e4156
von	w11_d203e4159
Richeliu,	w13_d203e4163
dessen	w1_d203e4169
Vor=trupen	w3_d203e4172
zu	w5_d203e4175
Rammelsbach,	w7_d203e4178
andert	w9_d203e4181
halb	w1_d203e4186
Meile	w3_d203e4189
von	w5_d203e4192
Harburg,	w7_d203e4195
eingetroffen	w9_d203e4198
seyn	w11_d203e4201
sollen,	w1_d203e4206
entgegen	w3_d203e4209
zu	w5_d203e4212
gehen.	w7_d203e4215
Jn	w9_d203e4218
und	w11_d203e4221
bey	w13_d203e4225
Har	w15_d203e4228
burg	w1_d203e4233
sind	w3_d203e4236
nur	w5_d203e4239
2	w7_d203e4242
Regimenter	w9_d203e4245
geblieben.	w11_d203e4248
Ess	w13_d203e4252
ist	w1_d203e4258
als	w3_d203e4261
zu	w5_d203e4264
vermuten,	w7_d203e4267
daß	w9_d203e4270
wir	w11_d203e4273
in	w13_d203e4277
ein	w15_d203e4280
ganr	w17_d203e4283
Te	w19_d203e4286
</p>
<p id="p12_d203e4300">
gen	w1_d203e4304
die	w3_d203e4307
Nachricht	w5_d203e4310
von	w7_d203e4313
einer	w9_d203e4316
blutigen	w11_d203e4319
Schlach	w13_d203e4323
aus	w1_d203e4328
hiesiger	w3_d203e4331
Gegend	w5_d203e4334
melden	w7_d203e4337
müssen.	w9_d203e4340
</p>
<head id="h2_d203e4346">
Londen,	w1_d203e4350
4.	w3_d203e4353
December.	w5_d203e4356
</head>
<p id="p4_d203e4359">
Der	w1_d203e4363
Admiralitäts=schluß,	w3_d203e4366
wegen	w5_d203e4369
besserer	w7_d203e4372
Respectirung	w1_d203e4377
der	w3_d203e4380
Flaggen	w5_d203e4383
neutraler	w7_d203e4386
Mächten	w9_d203e4389
und	w1_d203e4394
Einhaltung	w3_d203e4397
aller	w5_d203e4400
von	w7_d203e4403
Seiten	w9_d203e4406
der	w11_d203e4409
Corsa	w13_d203e4413
ren	w1_d203e4419
unserer	w3_d203e4422
Nation	w5_d203e4425
erfolgten	w7_d203e4428
gewaltsamen	w9_d203e4431
Rauber	w1_d203e4436
yen,	w3_d203e4439
ist	w5_d203e4442
den	w7_d203e4445
19den	w9_d203e4448
dieses	w11_d203e4451
ergangen	w13_d203e4455
und	w1_d203e4460
seither	w3_d203e4463
offentlich	w5_d203e4466
bekannt	w7_d203e4469
gemacht	w9_d203e4472
wor	w11_d203e4475
den,	w1_d203e4480
in	w3_d203e4483
welchem	w5_d203e4486
dergleichen	w7_d203e4489
See=räubereyen	w9_d203e4492
nicht	w1_d203e4498
nur	w3_d203e4501
scharf	w5_d203e4504
verboten,	w7_d203e4507
sondern	w9_d203e4510
auch	w11_d203e4513
eine	w13_d203e4517
Belohnung	w1_d203e4522
von	w3_d203e4525
100.	w5_d203e4528
Pfund	w7_d203e4531
Sterling	w9_d203e4534
demie	w11_d203e4537
nigen	w1_d203e4542
versprochen	w3_d203e4545
wird,	w5_d203e4548
der	w7_d203e4551
einen	w9_d203e4554
Uebertre	w11_d203e4557
ter	w1_d203e4562
dieser	w3_d203e4565
Befehle	w5_d203e4568
und	w7_d203e4571
Verordnungen	w9_d203e4574
ange	w11_d203e4577
ben	w1_d203e4583
würde.	w3_d203e4586
Man	w5_d203e4589
hat	w7_d203e4592
in	w9_d203e4595
denen	w11_d203e4598
letztgehaltenen	w13_d203e4602
Versammlungen	w1_d203e4607
des	w3_d203e4610
geheimen	w5_d203e4613
Rahts	w7_d203e4616
eine	w9_d203e4619
be	w11_d203e4622
trächtliche	w1_d203e4627
Vermehrung	w3_d203e4630
der	w5_d203e4633
Land	w7_d203e4636
und	w9_d203e4639
See	w11_d203e4642
macht	w1_d203e4647
beschlossen,	w3_d203e4650
und	w5_d203e4653
der	w7_d203e4656
König	w9_d203e4659
wird	w11_d203e4662
näch	w13_d203e4666
stens	w1_d203e4672
eine	w3_d203e4675
grosse	w5_d203e4678
Beförderung	w7_d203e4681
unter	w9_d203e4684
denen	w11_d203e4687
Land	w13_d203e4691
und	w1_d203e4696
See=trupen	w3_d203e4699
vornehmen.	w5_d203e4702
Es	w7_d203e4705
mangeln	w9_d203e4708
uns	w1_d203e4713
noch	w3_d203e4716
15	w5_d203e4719
Schiffe	w7_d203e4722
von	w9_d203e4725
der	w11_d203e4728
zerstreueten	w13_d203e4732
Kauf=flotte	w1_d203e4737
von	w3_d203e4740
Jamaica.	w5_d203e4743
Man	w7_d203e4746
vernihmt	w9_d203e4749
von	w1_d203e4755
Dublin,	w3_d203e4758
daß	w5_d203e4761
verwichenen	w7_d203e4764
Donnerstag	w9_d203e4767
daselbst	w1_d203e4772
ein	w3_d203e4775
so	w5_d203e4778
grosses	w7_d203e4781
Donn	w9_d203e4784
rewetter	w11_d203e4787
mit	w13_d203e4791
se	w15_d203e4794
verdopeltem	w1_d203e4799
Blitzen	w3_d203e4802
und	w5_d203e4805
so	w7_d203e4808
starkem	w9_d203e4811
Hagel	w11_d203e4814
gewesen,	w1_d203e4819
daß	w3_d203e4822
sich	w5_d203e4825
niemand	w7_d203e4828
dergleichen	w9_d203e4831
erin	w11_d203e4834
nern	w1_d203e4840
könnte.	w3_d203e4843
Die	w5_d203e4846
grosse	w7_d203e4849
Christ=kirche	w9_d203e4852
ist	w11_d203e4855
da	w13_d203e4859
bey	w1_d203e4864
durch	w3_d203e4867
den	w5_d203e4870
Umsturz	w7_d203e4873
eines	w9_d203e4876
Theils	w11_d203e4879
des	w13_d203e4883
Glo	w15_d203e4886
cken=thurns	w1_d203e4891
sehr	w3_d203e4894
beschädiget	w5_d203e4897
worden.	w7_d203e4900
</p>
<head id="h2_d203e4906">
Paris,	w1_d203e4910
3.	w3_d203e4913
December.	w5_d203e4916
</head>
<p id="p4_d203e4919">
Der	w1_d203e4923
Prinz	w3_d203e4926
von	w5_d203e4929
Tou	w7_d203e4932
aine	w9_d203e4935
ist	w11_d203e4938
nicht	w13_d203e4942
gestorben,	w15_d203e4945
sondern	w1_d203e4950
der	w3_d203e4953
Gefahr	w5_d203e4956
in	w7_d203e4959
denen	w9_d203e4962
Blatteen	w11_d203e4965
glücklich	w13_d203e4969
entkommen,	w1_d203e4974
ungeachtet	w3_d203e4977
sich	w5_d203e4980
die	w7_d203e4983
Nachricht	w9_d203e4986
seines	w1_d203e4992
Todes	w3_d203e4995
in	w5_d203e4998
allen	w7_d203e5001
grossen	w9_d203e5004
Häusern	w11_d203e5007
von	w13_d203e5011
Paris	w1_d203e5016
ausgebreitet	w3_d203e5019
hatte.	w5_d203e5022
Man	w7_d203e5025
hat	w9_d203e5028
wegen	w11_d203e5031
seiner	w1_d203e5036
Herstellung	w3_d203e5039
den	w5_d203e5042
Palast	w7_d203e5045
von	w9_d203e5048
Bouillon	w11_d203e5051
illuminiret	w1_d203e5056
und	w3_d203e5059
vorigen	w5_d203e5062
Sonn=abends	w7_d203e5065
vor	w9_d203e5068
selbigem	w1_d203e5074
ein	w3_d203e5077
Feuter	w5_d203e5080
werk	w7_d203e5083
angezündet.	w9_d203e5086
Von	w11_d203e5089
unserer	w1_d203e5094
aus	w3_d203e5097
Toulon	w5_d203e5100
ausgeloffenen	w7_d203e5103
Flotte	w9_d203e5106
der	w11_d203e5109
nihmt	w1_d203e5114
man,	w3_d203e5117
daß	w5_d203e5120
sie	w7_d203e5123
zwar	w9_d203e5126
durch	w11_d203e5129
einen	w13_d203e5133
Sturm	w15_d203e5136
genöhtiget	w1_d203e5141
worden,	w3_d203e5144
zurück	w5_d203e5147
zu	w7_d203e5150
kehren,	w9_d203e5153
abe1	w11_d203e5156
auch	w1_d203e5162
den	w3_d203e5165
9ten	w5_d203e5168
dieses	w7_d203e5171
mit	w9_d203e5174
so	w11_d203e5177
gutem	w13_d203e5181
Wind	w15_d203e5184
un	w17_d203e5187
ter	w1_d203e5192
Segel	w3_d203e5195
gegangen,	w5_d203e5198
daß	w7_d203e5201
man	w9_d203e5204
sie	w11_d203e5207
bald	w13_d203e5211
aus	w15_d203e5214
dem	w1_d203e5219
Gesicht	w3_d203e5222
verloren	w5_d203e5225
habe.	w7_d203e5228
Jn	w9_d203e5231
</p>
<head id="h2_d203e5237">
Paderborn,	w1_d203e5241
5.	w3_d203e5244
December.	w5_d203e5247
</head>
<p id="p4_d203e5250">
Die	w1_d203e5254
abermailige	w3_d203e5257
Abreise	w5_d203e5260
des	w7_d203e5263
Königl.	w9_d203e5266
Dä	w11_d203e5269
nischen	w1_d203e5274
Ministers,	w3_d203e5277
Grafen	w5_d203e5280
von	w7_d203e5283
Lynars,	w9_d203e5286
nach	w11_d203e5289
Lügeburg	w1_d203e5294
als	w3_d203e5297
dem	w5_d203e5300
Haupt=quartior	w7_d203e5303
des	w9_d203e5306
Herrn	w11_d203e5309
Marschalls,	w1_d203e5315
Herzog	w3_d203e5318
von	w5_d203e5321
Richelieu,	w7_d203e5324
scheint	w9_d203e5327
ungeachtet	w1_d203e5332
sie	w3_d203e5335
durch	w5_d203e5338
die	w7_d203e5341
unlängst	w9_d203e5344
von	w11_d203e5347
Ver	w13_d203e5351
N	w1_d203e5356
5.	w1_d203e5361
</p>
<p id="p6_d203e5364">
sailles	w1_d203e5368
angekommene	w3_d203e5371
Ratification	w5_d203e5374
der	w7_d203e5377
be	w9_d203e5380
kannten	w1_d203e5385
Convention	w3_d203e5388
veranlasset	w5_d203e5391
worden,	w7_d203e5394
kei	w9_d203e5397
ne	w1_d203e5402
erwünschte	w3_d203e5405
Würkung	w5_d203e5408
gehabt	w7_d203e5411
zu	w9_d203e5414
haben.	w11_d203e5417
Wenigstens	w1_d203e5423
melden	w3_d203e5426
die	w5_d203e5429
neuere	w7_d203e5432
Briefe	w9_d203e5435
aus	w11_d203e5438
da	w13_d203e5442
sigen	w1_d203e5447
Gegenden	w3_d203e5450
vom	w5_d203e5453
1.	w7_d203e5456
dieses	w9_d203e5459
nichts	w11_d203e5462
hievon,	w13_d203e5466
sondern	w1_d203e5471
es	w3_d203e5474
bezieht	w5_d203e5477
sich	w7_d203e5480
vielmehr	w9_d203e5483
ihr	w11_d203e5486
Jnnhalt	w13_d203e5490
auf	w1_d203e5495
die	w3_d203e5498
bedenkliche	w5_d203e5501
Bewegungen,	w7_d203e5504
welche	w9_d203e5507
bis	w11_d203e5510
her	w1_d203e5516
von	w3_d203e5519
der	w5_d203e5522
Observations=armee	w7_d203e5525
gemacht	w9_d203e5528
worden.	w1_d203e5533
Alle	w3_d203e5536
bishernoch	w5_d203e5539
bey	w7_d203e5542
Stade	w9_d203e5545
gestan	w11_d203e5548
dene	w1_d203e5553
Hanov	w3_d203e5556
raner,	w5_d203e5559
Hessen,	w7_d203e5562
Braunschwei	w9_d203e5565
ger	w1_d203e5570
und	w3_d203e5573
Bückeburger	w5_d203e5576
sind	w7_d203e5579
den	w9_d203e5582
26.	w11_d203e5585
November	w13_d203e5589
von	w1_d203e5595
Stade	w3_d203e5598
aufgebrochen,	w5_d203e5601
und	w7_d203e5604
nach	w9_d203e5607
Har	w11_d203e5610
burg	w1_d203e5615
marschiret,	w3_d203e5618
wo	w5_d203e5621
nunm	w7_d203e5624
hro	w9_d203e5627
die	w11_d203e5630
ganze	w13_d203e5634
Ar	w15_d203e5637
mee	w1_d203e5642
beysammen	w3_d203e5645
ist,	w5_d203e5648
die	w7_d203e5651
man	w9_d203e5654
gegenwärtig	w11_d203e5657
bis	w13_d203e5661
auf	w1_d203e5666
40000.	w3_d203e5669
Mann	w5_d203e5672
ausgibt.	w7_d203e5675
Der	w9_d203e5678
Marsch	w11_d203e5681
dieser	w1_d203e5687
Trupen	w3_d203e5690
gieng	w5_d203e5693
längs	w7_d203e5696
den	w9_d203e5699
Ufern	w11_d203e5702
der	w13_d203e5706
Elbe	w15_d203e5709
über	w1_d203e5714
Buxtehude.	w3_d203e5717
Den	w5_d203e5720
23.	w7_d203e5723
Abends	w9_d203e5726
kamen	w11_d203e5729
32.	w1_d203e5734
Wagen	w3_d203e5737
mit	w5_d203e5740
Kranken	w7_d203e5743
von	w9_d203e5746
denen	w11_d203e5749
Hannöve	w13_d203e5753
rischen	w1_d203e5758
Regimentern	w3_d203e5761
alda	w5_d203e5764
an,	w7_d203e5767
und	w9_d203e5770
wurden	w11_d203e5773
in	w1_d203e5779
die	w3_d203e5782
Stadt	w5_d203e5785
verlegt.	w7_d203e5788
Gleich	w9_d203e5791
darauf	w11_d203e5794
paßirte	w13_d203e5798
ein	w1_d203e5803
Train	w3_d203e5806
Artillerie	w5_d203e5809
mit	w7_d203e5812
6.	w9_d203e5815
Mörsern	w11_d203e5818
durch,	w13_d203e5822
und	w1_d203e5827
den	w3_d203e5830
25.	w5_d203e5833
brachen	w7_d203e5836
auch	w9_d203e5839
die	w11_d203e5842
6.	w13_d203e5846
Jnfanterie	w15_d203e5849
regimenter	w1_d203e5854
auf,	w3_d203e5857
welche	w5_d203e5860
4.	w7_d203e5863
Wochen	w9_d203e5866
lang	w11_d203e5869
in	w13_d203e5873
Buxtehude	w1_d203e5879
gelegen.	w3_d203e5882
An	w5_d203e5885
eben	w7_d203e5888
diesen	w9_d203e5891
Tag	w11_d203e5894
um	w13_d203e5898
11.	w1_d203e5903
Uhr	w3_d203e5906
Morgens	w5_d203e5909
folgten	w7_d203e5912
die	w9_d203e5915
Regimenter	w11_d203e5918
von	w1_d203e5923
Diepenbrück,	w3_d203e5926
von	w5_d203e5929
Ledebur	w7_d203e5932
und	w9_d203e5935
das	w11_d203e5938
Ca	w13_d203e5942
vallerie=regiment	w1_d203e5947
von	w3_d203e5950
Rheden	w5_d203e5953
auf	w7_d203e5956
dem	w9_d203e5959
Fuße	w11_d203e5962
nach.	w1_d203e5968
Mittags	w3_d203e5971
um	w5_d203e5974
1.	w7_d203e5977
Uhr	w9_d203e5980
kame	w11_d203e5983
der	w13_d203e5987
Prin	w15_d203e5990
Ferdinand	w1_d203e5995
und	w3_d203e5998
der	w5_d203e6001
Erb=prinz	w7_d203e6004
von	w9_d203e6007
Braun	w11_d203e6010
schweig.	w1_d203e6015
Nachmittags	w3_d203e6018
kamen	w5_d203e6021
die	w7_d203e6024
Hanöve	w9_d203e6027
rischen	w1_d203e6032
Garde=regimenter	w3_d203e6035
und	w5_d203e6038
die	w7_d203e6041
Braun	w9_d203e6044
schweiger,	w1_d203e6050
welche	w3_d203e6053
den	w5_d203e6056
27.	w7_d203e6059
wieder	w9_d203e6062
aufbrachen.	w11_d203e6065
und	w1_d203e6070
nach	w3_d203e6073
Wilsdorf	w5_d203e6076
jenseits	w7_d203e6079
Harburg	w9_d203e6082
mar	w11_d203e6085
schirten.	w1_d203e6090
</p>
<p id="p8_d203e6093">
Den	w1_d203e6097
1ten	w3_d203e6100
dieses	w5_d203e6103
Nachmittags	w7_d203e6106
und	w9_d203e6109
gegen	w11_d203e6112
Abend	w1_d203e6117
wagte	w3_d203e6120
die	w5_d203e6123
Französische	w7_d203e6126
Garnison	w9_d203e6129
einen	w11_d203e6132
Ausfall,	w1_d203e6137
alleine	w3_d203e6140
sie	w5_d203e6143
wurde	w7_d203e6146
durch	w9_d203e6149
die	w11_d203e6152
Hanö	w13_d203e6156
verischen	w1_d203e6162
Jäger	w3_d203e6165
genöhtigt,	w5_d203e6168
sich	w7_d203e6171
zurücke	w9_d203e6174
zu	w11_d203e6177
zie	w13_d203e6181
hen.	w1_d203e6186
Die	w3_d203e6189
Zugänge	w5_d203e6192
von	w7_d203e6195
der	w9_d203e6198
Wasser	w11_d203e6201
seite	w13_d203e6205
und	w1_d203e6210
die	w3_d203e6213
Teiche	w5_d203e6216
sind	w7_d203e6219
von	w9_d203e6222
denen	w11_d203e6225
Hanoveranern	w13_d203e6229
besetzt,	w1_d203e6234
und	w3_d203e6237
den	w5_d203e6240
1	w7_d203e6243
Abends	w9_d203e6246
haben	w11_d203e6249
sie	w13_d203e6253
in	w15_d203e6256
der	w17_d203e6259
Gegend	w1_d203e6265
von	w3_d203e6268
Reyherstiege	w5_d203e6271
einige	w7_d203e6274
Tonnen	w9_d203e6277
mit	w11_d203e6280
Patronen	w1_d203e6285
und	w3_d203e6288
Kugeln,	w5_d203e6291
so	w7_d203e6294
von	w9_d203e6297
Lüneburg	w11_d203e6300
ka	w13_d203e6304
men,	w1_d203e6309
erbeutet.	w3_d203e6312
Die	w5_d203e6315
Observations=armee	w7_d203e6318
hat	w1_d203e6323
sich	w3_d203e6326
in	w5_d203e6329
verschiedene	w7_d203e6332
ansehnliche	w9_d203e6335
Detasche	w11_d203e6338
ments,	w1_d203e6344
theils	w3_d203e6347
der	w5_d203e6350
Französischen=armee	w7_d203e6353
ent	w9_d203e6356
gegen,	w1_d203e6361
theils	w3_d203e6364
gegen	w5_d203e6367
Verden	w7_d203e6370
vertheilet.	w9_d203e6373
Der	w11_d203e6376
Französischen	w1_d203e6381
Armee	w3_d203e6384
sind	w5_d203e6387
25000.	w7_d203e6390
Mann	w9_d203e6393
ent	w11_d203e6396
gegen	w1_d203e6401
gerückt,	w3_d203e6404
wovon	w5_d203e6407
der	w7_d203e6410
rechte	w9_d203e6413
Flügel	w11_d203e6416
den	w13_d203e6420
1ten	w1_d203e6426
Abends	w3_d203e6429
bey	w5_d203e6432
Seesterburg	w7_d203e6435
3.	w9_d203e6438
Meilen	w11_d203e6441
von	w13_d203e6445
in	w1_d203e6450
Fr..	w3_d203e6453
</p>
<p id="p14_d203e6467">
Haburs	w1_d203e6471
gestanden.	w3_d203e6474
Jn	w5_d203e6477
Stade	w7_d203e6480
ist	w9_d203e6483
eine	w11_d203e6486
Be	w13_d203e6490
satzung	w1_d203e6495
von	w3_d203e6498
2.	w5_d203e6501
Regimentern	w7_d203e6504
zurücke	w9_d203e6507
geblie	w11_d203e6510
ben.	w1_d203e6515
Die	w3_d203e6518
Französische	w5_d203e6521
Armee,	w7_d203e6524
welche	w9_d203e6527
sich	w11_d203e6530
in	w13_d203e6534
dessen	w1_d203e6540
unter	w3_d203e6543
dem	w5_d203e6546
Commando	w7_d203e6549
des	w9_d203e6552
Herrn	w11_d203e6555
Mar	w13_d203e6559
schalls	w1_d203e6564
Herzogs	w3_d203e6567
von	w5_d203e6570
Richelieu	w7_d203e6573
zusammen	w9_d203e6576
ge	w11_d203e6579
zogen,	w1_d203e6584
ist	w3_d203e6587
ohne	w5_d203e6590
denen	w7_d203e6593
noch	w9_d203e6596
zu	w11_d203e6599
erwartenden	w13_d203e6603
Re	w15_d203e6606
gimentern	w1_d203e6611
bey	w3_d203e6614
50000.	w5_d203e6617
Mann	w7_d203e6620
stark,	w9_d203e6623
und	w11_d203e6626
hat	w13_d203e6630
seit	w1_d203e6636
den	w3_d203e6639
28.	w5_d203e6642
in	w7_d203e6645
der	w9_d203e6648
Gegend	w11_d203e6651
von	w13_d203e6655
Battensen	w15_d203e6658
ein	w1_d203e6663
sehr	w3_d203e6666
wol=fortificirtes	w5_d203e6669
Lager	w7_d203e6672
bezogen.	w9_d203e6675
Der	w1_d203e6680
Herr	w3_d203e6683
Marschall	w5_d203e6686
von	w7_d203e6689
Richelieu	w9_d203e6692
will	w11_d203e6695
in	w13_d203e6699
demselben	w1_d203e6704
jede	w3_d203e6707
Attaque	w5_d203e6710
erwarten,	w7_d203e6713
und	w9_d203e6716
allem	w11_d203e6719
Ansehen	w1_d203e6725
nach,	w3_d203e6728
dörfte	w5_d203e6731
es	w7_d203e6734
nächstens	w9_d203e6737
zu	w11_d203e6740
einer	w13_d203e6744
blutigen	w1_d203e6749
Battaille	w3_d203e6752
kommen.	w5_d203e6755
Die	w7_d203e6758
Franzößi	w9_d203e6761
sche	w1_d203e6766
Trupen,	w3_d203e6769
welche	w5_d203e6772
in	w7_d203e6775
der	w9_d203e6778
Gegend	w11_d203e6781
von	w13_d203e6785
Nien	w15_d203e6788
burg	w1_d203e6793
gestanden,	w3_d203e6796
haben	w5_d203e6799
Ordre	w7_d203e6802
gegen	w9_d203e6805
die	w11_d203e6808
Wum	w13_d203e6812
me	w1_d203e6818
zu	w3_d203e6821
marschieren,	w5_d203e6824
und	w7_d203e6827
die	w9_d203e6830
im	w11_d203e6833
Bremischen	w13_d203e6837
und	w15_d203e6840
Ost=friesischen	w1_d203e6845
gelegen,	w3_d203e6848
müssen	w5_d203e6851
gleichfalls	w7_d203e6854
nä	w9_d203e6857
her	w1_d203e6862
rücken.	w3_d203e6865
Den	w5_d203e6868
