<doc id="wr_1760-01-26" attrs="word" year="1760" month="01" day="26" corpus="2">
<head id="h2_d418e2999">
Coblenz	w1_d418e3003
aus	w3_d418e3293
Westphalen	w5_d418e3296
gekommenen	w7_d418e3299
Regimen	w9_d418e3302
tern,	w1_d418e3308
und	w3_d418e3311
denen	w5_d418e3314
Lücknerischen	w7_d418e3317
Trupen	w9_d418e3320
ware	w11_d418e3323
angegriffen	w1_d418e3328
worden.	w3_d418e3331
Die	w5_d418e3334
Zahl	w7_d418e3337
dieser	w9_d418e3340
sich	w11_d418e3343
über	w1_d418e3348
11000.	w3_d418e3351
Mann	w5_d418e3354
belauffender	w7_d418e3357
Trupen	w9_d418e3360
hat	w1_d418e3365
sich	w3_d418e3368
in	w5_d418e3371
3.	w7_d418e3374
Colonnen	w9_d418e3377
getheilet,	w11_d418e3380
wovon	w13_d418e3384
</p>
<p id="p6_d418e3387">
die	w1_d418e3391
von	w3_d418e3394
ihrem	w5_d418e3397
rechten	w7_d418e3400
Flügel	w9_d418e3403
auf	w11_d418e3406
ihrem	w13_d418e3410
Marsch	w1_d418e3415
zu	w3_d418e3418
Weissenbach	w5_d418e3421
einen	w7_d418e3424
Posten	w9_d418e3427
von	w11_d418e3430
100.	w1_d418e3435
Dragonern	w3_d418e3438
von	w5_d418e3441
Beauffremont	w7_d418e3444
aufge	w9_d418e3447
hoben	w1_d418e3453
hatte,	w3_d418e3456
auf	w5_d418e3459
welche	w7_d418e3462
man	w9_d418e3465
sich	w11_d418e3468
verliesse,	w13_d418e3472
um	w1_d418e3477
die	w3_d418e3480
erste	w5_d418e3483
Neuigkeiten	w7_d418e3486
von	w9_d418e3489
denen	w11_d418e3492
Alliir	w13_d418e3496
ten	w1_d418e3501
in	w3_d418e3504
dem	w5_d418e3507
Strich	w7_d418e3510
von	w9_d418e3513
Ebelhausen	w11_d418e3516
zu	w13_d418e3520
ha	w15_d418e3523
ben.	w1_d418e3528
Die	w3_d418e3531
Colonne	w5_d418e3534
ihres	w7_d418e3537
linken	w9_d418e3540
Flügels	w11_d418e3543
hatte	w1_d418e3549
ebenfalls	w3_d418e3552
mit	w5_d418e3555
Geschicklichkeit	w7_d418e3558
das	w9_d418e3561
zu	w11_d418e3564
Oberscheld	w1_d418e3569
stehendes	w3_d418e3572
Fischerisches	w5_d418e3575
Corps	w7_d418e3578
angefallen,	w1_d418e3583
und	w3_d418e3586
zurück	w5_d418e3589
geschlagen,	w7_d418e3592
indem	w9_d418e3595
dieses	w1_d418e3600
das	w3_d418e3603
Ort	w5_d418e3606
besetzt	w7_d418e3609
hatte,	w9_d418e3612
wodurch	w11_d418e3615
die	w13_d418e3619
Colonne	w1_d418e3625
hervor	w3_d418e3628
brache.	w5_d418e3631
Die	w7_d418e3634
grosse	w9_d418e3637
Ueber	w11_d418e3640
macht	w1_d418e3645
des	w3_d418e3648
Feindes	w5_d418e3651
hat	w7_d418e3654
dannoch	w9_d418e3657
den	w11_d418e3660
Herrn	w13_d418e3664
von	w1_d418e3669
Parravicini	w3_d418e3672
nicht	w5_d418e3675
gezwungen,	w7_d418e3678
sich	w9_d418e3681
zu	w11_d418e3684
ergeben,	w1_d418e3689
als	w3_d418e3692
nach	w5_d418e3695
einem	w7_d418e3698
Widerstand,	w9_d418e3701
wel	w11_d418e3704
cher	w1_d418e3710
diesem	w3_d418e3713
würdigen	w5_d418e3716
Officier	w7_d418e3719
viele	w9_d418e3722
Ehr	w11_d418e3725
ge	w13_d418e3729
ben	w1_d418e3734
muß.	w3_d418e3737
Mit	w5_d418e3740
2.	w7_d418e3743
Flinten=schüssen	w9_d418e3746
ist	w11_d418e3749
er	w13_d418e3753
bleßirt	w1_d418e3758
worden;	w3_d418e3761
und	w5_d418e3764
er	w7_d418e3767
hatte	w9_d418e3770
nicht	w11_d418e3773
völlig	w13_d418e3777
700.	w1_d418e3782
Mann.	w3_d418e3785
</p>
<head id="h4_d418e3801">
Frankfort	w1_d418e3805
13.	w3_d418e3808
Januarii.	w5_d418e3811
</head>
<p id="p6_d418e3814">
Seine	w1_d418e3818
Königl.	w3_d418e3821
Hoheit,	w5_d418e3824
der	w7_d418e3827
Prinz	w9_d418e3830
Xaver,	w11_d418e3833
seynd	w1_d418e3838
gestern	w3_d418e3841
frühe	w5_d418e3844
nach	w7_d418e3847
Würzburg,	w9_d418e3850
als	w11_d418e3853
den	w1_d418e3858
Ort	w3_d418e3861
des	w5_d418e3864
für	w7_d418e3867
Höchst=dieselbe	w9_d418e3870
bestimm	w11_d418e3873
ten	w1_d418e3879
Haupt=quartiers,	w3_d418e3882
abgegangen;	w5_d418e3885
nach	w7_d418e3888
deme	w1_d418e3893
einige	w3_d418e3896
Tage	w5_d418e3899
vorhero	w7_d418e3902
die	w9_d418e3905
Sächsische	w11_d418e3908
Trupen	w1_d418e3913
aus	w3_d418e3916
ihren	w5_d418e3919
bisherigen	w7_d418e3922
Cantonirun	w9_d418e3925
gen	w1_d418e3930
in	w3_d418e3933
der	w5_d418e3936
Weiterau	w7_d418e3939
aufgebrochen,	w9_d418e3942
und	w11_d418e3945
nach	w1_d418e3951
Franken	w3_d418e3954
in	w5_d418e3957
die	w7_d418e3960
Winter=quartiere	w9_d418e3963
ihren	w11_d418e3966
Marsch	w1_d418e3971
angetretten	w3_d418e3974
haben.	w5_d418e3977
Man	w7_d418e3980
hat	w9_d418e3983
von	w11_d418e3986
der	w1_d418e3991
Französischen	w3_d418e3994
Armee	w5_d418e3997
so	w7_d418e4000
viele	w9_d418e4003
Nach	w11_d418e4006
richt,	w1_d418e4011
daß	w3_d418e4014
das	w5_d418e4017
Haupt=quartler	w7_d418e4020
in	w9_d418e4023
wenig	w11_d418e4026
Tagen	w1_d418e4032
alhier	w3_d418e4035
eintreffen	w5_d418e4038
werde.	w7_d418e4041
</p>
<head id="h2_d418e4047">
Leipzig	w1_d418e4051
15.	w3_d418e4054
Januarii.	w5_d418e4057
</head>
<p id="p4_d418e4060">
Wir	w1_d418e4064
haben	w3_d418e4067
unsern	w5_d418e4070
Lesern	w7_d418e4073
folgenden	w9_d418e4076
astro	w11_d418e4079
nomischen	w1_d418e4084
Bericht	w3_d418e4087
mitzutheilen:	w5_d418e4090
„Es	w7_d418e4093
hat	w9_d418e4096
sich	w1_d418e4101
nunmehr	w3_d418e4104
wiederum	w5_d418e4107
ein	w7_d418e4110
schöner	w9_d418e4113
Co	w11_d418e4116
met=stern	w1_d418e4122
eingestelt,	w3_d418e4125
und	w5_d418e4128
hat	w7_d418e4131
ihn	w9_d418e4134
Herr	w11_d418e4137
Christian	w1_d418e4142
Gärtner	w3_d418e4145
in	w5_d418e4148
Dolkewitz,	w7_d418e4151
der	w9_d418e4154
edlen	w11_d418e4157
Stern=kunst	w1_d418e4162
Beflissener,	w3_d418e4165
den	w5_d418e4168
9.	w7_d418e4171
Januarii,	w9_d418e4174
Abends	w1_d418e4179
um	w3_d418e4182
7.	w5_d418e4185
Uhr,	w7_d418e4188
auf	w9_d418e4191
seinem	w11_d418e4194
neuerbau	w13_d418e4198
ten	w1_d418e4204
Observatorio	w3_d418e4207
zuerst	w5_d418e4210
entdecket.	w7_d418e4213
Er	w9_d418e4216
steht	w11_d418e4219
neben	w1_d418e4224
dem	w3_d418e4227
Stern=bilde	w5_d418e4230
Orion,	w7_d418e4233
unten	w9_d418e4236
ne	w11_d418e4239
ben	w1_d418e4244
dem	w3_d418e4247
Schilde	w5_d418e4250
rechter	w7_d418e4253
Hand	w9_d418e4256
bey	w11_d418e4259
dem	w13_d418e4263
Aequator,	w1_d418e4268
und	w3_d418e4271
hatte	w5_d418e4274
noch	w7_d418e4277
Abends	w9_d418e4280
südliche	w11_d418e4283
Breite;	w1_d418e4289
aber	w3_d418e4292
nunmehr	w5_d418e4295
nihmt	w7_d418e4298
er	w9_d418e4301
nordliche	w11_d418e4304
Breite.	w1_d418e4309
Er	w3_d418e4312
läuft	w5_d418e4315
schnell.	w7_d418e4318
Um	w9_d418e4321
halb	w11_d418e4324
10.	w13_d418e4328
Uhr	w1_d418e4333
gieng	w3_d418e4336
er	w5_d418e4339
durch	w7_d418e4342
die	w9_d418e4345
Mittags=linie.	w11_d418e4348
Man	w1_d418e4353
kan	w3_d418e4356
ihn	w5_d418e4359
mit	w7_d418e4362
blossen	w9_d418e4365
Augen	w11_d418e4368
gut	w13_d418e4372
sehen	w15_d418e4375
die	w1_d418e4381
ganze	w3_d418e4384
Nacht	w5_d418e4387
hindurch	w7_d418e4390
aber	w9_d418e4393
kan	w11_d418e4396
man	w13_d418e4400
ihn	w15_d418e4403
mit	w1_d418e4408
einem	w3_d418e4411
Tubo	w5_d418e4414
von	w7_d418e4417
3.	w9_d418e4420
Fuß,	w11_d418e4423
dergleichen	w13_d418e4427
von	w1_d418e4432
Herrn	w3_d418e4435
Gärtner	w5_d418e4438
verfertiget	w7_d418e4441
werden,	w9_d418e4444
sehr	w1_d418e4449
gut	w3_d418e4452
sehen.	w5_d418e4455
Er	w7_d418e4458
ist	w9_d418e4461
der	w11_d418e4464
gröste	w13_d418e4468
unter	w15_d418e4471
al	w17_d418e4474
len	w1_d418e4480
Sternen,	w3_d418e4483
und	w5_d418e4486
hat	w7_d418e4489
einen	w9_d418e4492
starken	w11_d418e4495
Glan	w13_d418e4499
um	w1_d418e4504
sich	w3_d418e4507
herum,	w5_d418e4510
sein	w7_d418e4513
Schweif	w9_d418e4516
aber	w11_d418e4519
ist	w13_d418e4523
noch	w15_d418e4526
schwach.	w1_d418e4531
</p>
<head id="h2_d418e4537">
Altona	w1_d418e4541
15.	w3_d418e4544
Januarii.	w5_d418e4547
</head>
<p id="p4_d418e4550">
Von	w1_d418e4554
Seiner	w3_d418e4557
Majestät	w5_d418e4560
dem	w7_d418e4563
Könige	w9_d418e4566
ist	w11_d418e4569
der	w1_d418e4574
Königl.	w3_d418e4577
Gesandte	w5_d418e4580
bey	w7_d418e4583
der	w9_d418e4586
Ottomani	w11_d418e4589
schen	w1_d418e4594
Pforte,	w3_d418e4597
Herr	w5_d418e4600
von	w7_d418e4603
Gähler,	w9_d418e4606
in	w11_d418e4609
die	w13_d418e4613
Stelle	w1_d418e4619
seines	w3_d418e4622
unlängst	w5_d418e4625
verstorbenen	w7_d418e4628
Herrn	w9_d418e4631
Vatters	w1_d418e4636
wieder	w3_d418e4639
zum	w5_d418e4642
würklichen	w7_d418e4645
General	w9_d418e4648
kriegs=commißari	w1_d418e4653
in	w3_d418e4656
denen	w5_d418e4659
Herzogtümern	w7_d418e4662
</p>
<p id="p6_d418e4665">
Schleswig	w1_d418e4669
und	w3_d418e4672
Holstein	w5_d418e4675
ernannt,	w7_d418e4678
und	w9_d418e4681
bis	w11_d418e4684
zu	w1_d418e4689
dessen	w3_d418e4692
Zurück	w5_d418e4695
kunft,	w7_d418e4698
die	w9_d418e4701
Verwaltung	w11_d418e4704
die	w13_d418e4708
ser	w1_d418e4713
Bedienung	w3_d418e4716
dem	w5_d418e4719
Herrn	w7_d418e4722
Oberkriegs	w9_d418e4725
commißari	w1_d418e4731
Bruhn	w3_d418e4734
aufgetragen	w5_d418e4737
worden.	w7_d418e4740
</p>
<head id="h2_d418e4747">
Paris	w1_d418e4751
5	w3_d418e4754
Januari.	w5_d418e4757
</head>
<p id="p4_d418e4760">
Wegen	w1_d418e4764
wiederhergestellter	w3_d418e4767
Gesundheit	w5_d418e4770
des	w1_d418e4775
Herrn	w3_d418e4778
Herzogs	w5_d418e4781
von	w7_d418e4784
Burgund,	w9_d418e4787
ist	w11_d418e4790
der	w13_d418e4794
ganze	w1_d418e4799
Hof	w3_d418e4802
voller	w5_d418e4805
Freuden.	w7_d418e4808
Vorgestern	w9_d418e4811
ist	w11_d418e4814
ein	w1_d418e4820
in	w3_d418e4823
dem	w5_d418e4826
Parlament	w7_d418e4829
einregistrirtes	w9_d418e4832
Kö	w11_d418e4835
nigliches	w1_d418e4840
Edict,	w3_d418e4843
die	w5_d418e4846
öffentliche	w7_d418e4849
Sicherheit	w9_d418e4852
betreffend,	w1_d418e4857
publiciret	w3_d418e4860
worden,	w5_d418e4863
weilen	w7_d418e4866
sich	w9_d418e4869
eine	w1_d418e4874
Räuber=bande	w3_d418e4877
hervor	w5_d418e4880
gethan,	w7_d418e4883
die	w9_d418e4886
so	w11_d418e4889
wohl	w1_d418e4895
in	w3_d418e4898
hiesiger	w5_d418e4901
Stadt,	w7_d418e4904
als	w9_d418e4907
den	w11_d418e4910
umliegen	w13_d418e4914
den	w1_d418e4919
Gegenden,	w3_d418e4922
viele	w5_d418e4925
Desordres	w7_d418e4928
zu	w9_d418e4931
Schul	w11_d418e4934
den	w1_d418e4939
kommen	w3_d418e4942
lassen.	w5_d418e4945
Der	w7_d418e4948
Generalpollicey	w9_d418e4951
leutenant,	w1_d418e4956
Herr	w3_d418e4959
von	w5_d418e4962
Sardine,	w7_d418e4965
hat	w9_d418e4968
dahero	w11_d418e4971
die	w1_d418e4977
Wache	w3_d418e4980
verdoppeln	w5_d418e4983
lassen,	w7_d418e4986
und	w9_d418e4989
nebenst	w11_d418e4992
mehr	w1_d418e4997
andern	w3_d418e5000
Anstalten	w5_d418e5003
zur	w7_d418e5006
Sicherheit	w9_d418e5009
der	w11_d418e5012
Jnnwohner	w1_d418e5017
Befehl	w3_d418e5020
gegeben,	w5_d418e5023
daß	w7_d418e5026
um	w9_d418e5029
10.	w11_d418e5032
Uhr	w1_d418e5037
Abends	w3_d418e5040
alle	w5_d418e5043
Thüren	w7_d418e5046
und	w9_d418e5049
Kramläden	w11_d418e5052
geschlossen	w1_d418e5058
seyn	w3_d418e5061
sollen,	w5_d418e5064
mit	w7_d418e5067
dem	w9_d418e5070
Verbot,	w11_d418e5073
an	w1_d418e5078
alle	w3_d418e5081
ledige	w5_d418e5084
und	w7_d418e5087
verheyratete	w9_d418e5090
Weibs	w11_d418e5093
leute,	w1_d418e5098
sich	w3_d418e5101
nach	w5_d418e5104
10.	w7_d418e5107
Uhr	w9_d418e5110
nicht	w11_d418e5113
auf	w13_d418e5117
der	w15_d418e5120
Strasse	w17_d418e5123
betretten	w1_d418e5128
zu	w3_d418e5131
lassen.	w5_d418e5134
Diejenige	w7_d418e5137
zwey	w9_d418e5140
Jnva	w11_d418e5143
liden,	w1_d418e5149
so	w3_d418e5152
einen	w5_d418e5155
Mann	w7_d418e5158
hinter	w9_d418e5161
den	w11_d418e5164
Mauren	w13_d418e5168
von	w1_d418e5173
Vaugirard	w3_d418e5176
umgebracht	w5_d418e5179
haben,	w7_d418e5182
sind	w9_d418e5185
vorgestern	w1_d418e5190
auf	w3_d418e5193
dem	w5_d418e5196
Platz	w7_d418e5199
la	w9_d418e5202
Greve	w11_d418e5205
gerädert	w13_d418e5209
worden.	w1_d418e5214
Der	w3_d418e5217
Herr	w5_d418e5220
Baron	w7_d418e5223
von	w9_d418e5226
Breteuil	w11_d418e5229
ist	w1_d418e5235
von	w3_d418e5238
Sr.	w5_d418e5241
Majestät	w7_d418e5244
zu	w9_d418e5247
Dero	w11_d418e5250
bevollmäch	w13_d418e5254
tigten	w1_d418e5259
Minister	w3_d418e5262
bey	w5_d418e5265
Jhro	w7_d418e5268
RußischKaiser	w9_d418e5271
lichen	w1_d418e5276
Majestät,	w3_d418e5279
und	w5_d418e5282
Adjuncto	w7_d418e5285
des	w9_d418e5288
gegen	w11_d418e5291
wärtig	w1_d418e5296
an	w3_d418e5299
den	w5_d418e5302
St.	w7_d418e5305
Petersburger=hof	w9_d418e5308
subsi	w11_d418e5311
stirenden	w1_d418e5317
Herrn	w3_d418e5320
Ambassadeur,	w5_d418e5323
Marquis	w7_d418e5326
von	w1_d418e5331
Hospital,	w3_d418e5334
ernennet	w5_d418e5337
worden,	w7_d418e5340
und	w9_d418e5343
wird	w11_d418e5346
nebst	w1_d418e5351
seiner	w3_d418e5354
Frau	w5_d418e5357
Gemahlin	w7_d418e5360
innerhalb	w9_d418e5363
drey	w11_d418e5366
Wochen	w1_d418e5371
sich	w3_d418e5374
dahin	w5_d418e5377
verfügen.	w7_d418e5380
Etliche	w9_d418e5383
Mo	w11_d418e5386
nate	w1_d418e5392
nach	w3_d418e5395
seiner	w5_d418e5398
dortigen	w7_d418e5401
Ankunft,	w9_d418e5404
wird	w11_d418e5407
er	w13_d418e5411
in	w1_d418e5416
Qualität	w3_d418e5419
eines	w5_d418e5422
Königlichen	w7_d418e5425
Ambassa	w9_d418e5428
deur	w1_d418e5433
dort	w3_d418e5436
verbleiben,	w5_d418e5439
und	w7_d418e5442
den	w9_d418e5445
Herrn	w11_d418e5448
Mar	w13_d418e5452
quis	w1_d418e5457
von	w3_d418e5460
Hospital	w5_d418e5463
ablösen.	w7_d418e5466
</p>
<p id="p6_d418e5469">
Die	w1_d418e5473
am	w3_d418e5476
24sten	w5_d418e5479
des	w7_d418e5482
vergangenen	w9_d418e5485
Decem	w11_d418e5488
bris	w1_d418e5493
unter	w3_d418e5496
Commando	w5_d418e5499
des	w7_d418e5502
Schif=leutenants	w9_d418e5505
</p>
<p id="p12_d418e5519">
Herrn	w1_d418e5523
Canon,	w3_d418e5526
aus	w5_d418e5529
Canada	w7_d418e5532
zu	w9_d418e5535
Brest	w11_d418e5538
einge	w13_d418e5542
loffene	w1_d418e5547
Fregatte	w3_d418e5550
Machault,	w5_d418e5553
hat	w7_d418e5556
durch	w9_d418e5559
erst	w11_d418e5562
gedacht	w1_d418e5567
ihren	w3_d418e5570
Commandanten,	w5_d418e5573
dem	w7_d418e5576
König	w9_d418e5579
von	w1_d418e5585
dem	w3_d418e5588
Zustand	w5_d418e5591
unserer	w7_d418e5594
Affairen	w9_d418e5597
in	w11_d418e5600
dorti	w13_d418e5604
ger	w1_d418e5609
Gegend	w3_d418e5612
Nachricht	w5_d418e5615
gegeben.	w7_d418e5618
Selbiger	w9_d418e5621
ist	w1_d418e5626
in	w3_d418e5629
der	w5_d418e5632
Nacht	w7_d418e5635
vom	w9_d418e5638
22sten	w11_d418e5641
auf	w13_d418e5645
den	w15_d418e5648
23sten	w17_d418e5651
November	w1_d418e5656
von	w3_d418e5659
einem	w5_d418e5662
wenig	w7_d418e5665
entfernten	w9_d418e5668
Ort	w11_d418e5671
von	w1_d418e5677
Montreal,	w3_d418e5680
mit	w5_d418e5683
8.	w7_d418e5686
Schiffen	w9_d418e5689
unter	w11_d418e5692
Se	w13_d418e5696
gel	w1_d418e5701
gegangen,	w3_d418e5704
und	w5_d418e5707
als	w7_d418e5710
er	w9_d418e5713
Quebee	w11_d418e5716
vorbey	w13_d418e5720
paßirt,	w1_d418e5725
sehr	w3_d418e5728
heftig,	w5_d418e5731
wiewol	w7_d418e5734
wegen	w9_d418e5737
weiter	w11_d418e5740
Entfernung,	w1_d418e5745
ohne	w3_d418e5748
Würkung	w5_d418e5751
beschossen	w7_d418e5754
wor	w9_d418e5757
den.	w1_d418e5763
Als	w3_d418e5766
er	w5_d418e5769
diese	w7_d418e5772
Stadt	w9_d418e5775
vorbey	w11_d418e5778
paßirt,	w13_d418e5782
hat	w15_d418e5785
sich	w1_d418e5790
ein	w3_d418e5793
heftiges	w5_d418e5796
Ungewitter	w7_d418e5799
aufgezogen,	w9_d418e5802
in	w11_d418e5805
welchem	w1_d418e5810
3.	w3_d418e5813
Schiffe,	w5_d418e5816
nämlich	w7_d418e5819
der	w9_d418e5822
Senecterre	w11_d418e5825
Herzog	w1_d418e5830
von	w3_d418e5833
Fronsac,	w5_d418e5836
und	w7_d418e5839
Soleil	w9_d418e5842
Royal	w11_d418e5845
ge	w13_d418e5849
scheitert	w1_d418e5855
seyn.	w3_d418e5858
Die	w5_d418e5861
Engländer	w7_d418e5864
hatten	w9_d418e5867
eine	w11_d418e5870
Fregatte	w1_d418e5875
abgeschicket,	w3_d418e5878
um	w5_d418e5881
sie	w7_d418e5884
zu	w9_d418e5887
plündern,	w11_d418e5890
und	w1_d418e5895
weil	w3_d418e5898
der	w5_d418e5901
Seneeterre	w7_d418e5904
das	w9_d418e5907
beträchtlichste	w11_d418e5910
Schif	w1_d418e5915
darunter	w3_d418e5918
gewesen,	w5_d418e5921
so	w7_d418e5924
hatte	w9_d418e5927
der	w11_d418e5930
Com	w13_d418e5934
mandant	w1_d418e5940
der	w3_d418e5943
feindlichen	w5_d418e5946
Fregatte	w7_d418e5949
150.	w9_d418e5952
Mann	w11_d418e5955
dahin	w1_d418e5960
geschickt,	w3_d418e5963
der	w5_d418e5966
Commandant	w7_d418e5969
von	w9_d418e5972
Se	w11_d418e5975
necterre	w1_d418e5980
aber,	w3_d418e5983
hat	w5_d418e5986
bey	w7_d418e5989
ihrer	w9_d418e5992
Annäherung	w11_d418e5995
einen	w1_d418e6000
Lunten	w3_d418e6003
angezündet,	w5_d418e6006
sich	w7_d418e6009
mit	w9_d418e6012
seinen	w11_d418e6015
Leu	w13_d418e6019
ten	w1_d418e6025
in	w3_d418e6028
ein	w5_d418e6031
Esquif	w7_d418e6034
geworfen,	w9_d418e6037
um	w11_d418e6040
das	w13_d418e6044
Ufer	w15_d418e6047
zu	w17_d418e6050
erreichen,	w1_d418e6055
und	w3_d418e6058
das	w5_d418e6061
Corpo	w7_d418e6064
des	w9_d418e6067
Herrn	w11_d418e6070
von	w13_d418e6074
Levy,	w1_d418e6079
das	w3_d418e6082
nicht	w5_d418e6085
weit	w7_d418e6088
entfernet	w9_d418e6091
gewesen	w11_d418e6094
war,	w13_d418e6098
erreicht.	w1_d418e6103
Die	w3_d418e6106
Engländer	w5_d418e6109
haben	w7_d418e6112
darauf	w9_d418e6115
das	w11_d418e6118
Schif	w1_d418e6124
bestiegen,	w3_d418e6127
und	w5_d418e6130
wärend	w7_d418e6133
als	w9_d418e6136
sie	w11_d418e6139
im	w13_d418e6143
Plündern	w1_d418e6148
desselben	w3_d418e6151
begriffen	w5_d418e6154
gewesen,	w7_d418e6157
hat	w9_d418e6160
das	w1_d418e6165
Feuer	w3_d418e6168
das	w5_d418e6171
Pulfer	w7_d418e6174
ergriffen,	w9_d418e6177
womit	w11_d418e6180
das	w13_d418e6184
Schif	w1_d418e6189
mit	w3_d418e6192
ihnen	w5_d418e6195
in	w7_d418e6198
die	w9_d418e6201
Luft	w11_d418e6204
geflogen	w13_d418e6208
ist.	w15_d418e6211
Ausser	w1_d418e6217
dieser	w3_d418e6220
Fatalität,	w5_d418e6223
welche	w7_d418e6226
die	w9_d418e6229
Feinde	w11_d418e6232
bey	w13_d418e6236
dieser	w1_d418e6241
Gelegenheit	w3_d418e6244
betroffen,	w5_d418e6247
haben	w7_d418e6250
der	w9_d418e6253
Wind	w1_d418e6258
und	w3_d418e6261
die	w5_d418e6264
Flut	w7_d418e6267
die	w9_d418e6270
Fregatte	w11_d418e6273
noch	w13_d418e6277
sehr	w15_d418e6280
nahe	w1_d418e6285
an	w3_d418e6288
den	w5_d418e6291
Herrn	w7_d418e6294
Canon	w9_d418e6297
getrieben,	w11_d418e6300
welch	w13_d418e6304
geschickter	w1_d418e6310
Officier,	w3_d418e6313
da	w5_d418e6316
er	w7_d418e6319
wuste,	w9_d418e6322
daß	w11_d418e6325
sie	w13_d418e6329
den	w15_d418e6332
grösten	w1_d418e6337
Theil	w3_d418e6340
ihrer	w5_d418e6343
Equipage	w7_d418e6346
eingebüst,	w9_d418e6349
als	w11_d418e6352
bald	w1_d418e6357
das	w3_d418e6360
Dessein	w5_d418e6363
formiret,	w7_d418e6366
sich	w9_d418e6369
derselben	w11_d418e6372
zu	w13_d418e6376
bemeistern.	w1_d418e6381
Zu	w3_d418e6384
dem	w5_d418e6387
Ende	w7_d418e6390
hat	w9_d418e6393
er	w11_d418e6396
40.	w13_d418e6400
Mann	w15_d418e6403
in	w1_d418e6409
einer	w3_d418e6412
bewafneten	w5_d418e6415
Chalupe	w7_d418e6418
abgeschickt,	w9_d418e6421
die	w11_d418e6424
am	w1_d418e6429
Bord	w3_d418e6432
der	w5_d418e6435
Fregatte	w7_d418e6438
gestiegen,	w9_d418e6441
und	w11_d418e6444
sie	w13_d418e6448
mit	w15_d418e6451
15.	w1_d418e6456
oder	w3_d418e6459
16.	w5_d418e6462
Mann,	w7_d418e6465
so	w9_d418e6468
sich	w11_d418e6471
noch	w13_d418e6475
darauf	w15_d418e6478
be	w17_d418e6481
fuinden,	w1_d418e6486
weggenommen	w3_d418e6489
haben.	w5_d418e6492
Hierauf	w7_d418e6495
</p>
<p id="p14_d418e6498">
hat	w1_d418e6502
er	w3_d418e6505
seine	w5_d418e6508
Reise	w7_d418e6511
mit	w9_d418e6514
denen	w11_d418e6517
übrigen	w13_d418e6521
Schif	w15_d418e6524
fen,	w1_d418e6529
und	w3_d418e6532
seiner	w5_d418e6535
Prise	w7_d418e6538
ganz	w9_d418e6541
geruhig	w11_d418e6544
fortge	w13_d418e6548
setzet,	w1_d418e6553
bis	w3_d418e6556
ungefähe	w5_d418e6559
100.	w7_d418e6562
Meilen	w9_d418e6565
von	w11_d418e6568
un	w13_d418e6572
seren	w1_d418e6578
Küsten,	w3_d418e6581
wo	w5_d418e6584
sie	w7_d418e6587
durch	w9_d418e6590
Sturm	w11_d418e6593
von	w13_d418e6597
ein	w15_d418e6600
ander	w1_d418e6605
getrennet	w3_d418e6608
worden	w5_d418e6611
seyn.	w7_d418e6614
Sie	w9_d418e6617
seynd	w11_d418e6620
aber	w1_d418e6625
deme	w3_d418e6628
ungeachtet	w5_d418e6631
