<doc id="wr_1762-04-03" attrs="word" year="1762" month="04" day="03" corpus="2">
<head id="h2_d644e3254">
Auszug=schreiben	w1_d644e3258
dem	w7_d644e3790
Fluß	w9_d644e3793
der	w11_d644e3796
Pilotes,	w13_d644e3800
sie	w15_d644e3803
wurden	w1_d644e3808
aber	w3_d644e3811
allda	w5_d644e3814
auch	w7_d644e3817
mit	w9_d644e3820
grossem	w11_d644e3823
Verlust	w13_d644e3827
zuruck	w1_d644e3833
gewiesen.	w3_d644e3836
Hierauf	w5_d644e3839
wendeten	w7_d644e3842
sie	w9_d644e3845
sich	w11_d644e3848
nach	w1_d644e3853
der	w3_d644e3856
Anse	w5_d644e3859
von	w7_d644e3862
Darlets,	w9_d644e3865
wo	w11_d644e3868
sie	w13_d644e3872
sich	w15_d644e3875
einer	w17_d644e3878
Batterie	w1_d644e3883
bemächtigten,	w3_d644e3886
welche	w5_d644e3889
nur	w7_d644e3892
zur	w9_d644e3895
Ver	w11_d644e3898
theidigung	w1_d644e3903
unserer	w3_d644e3906
Kaper	w5_d644e3909
wider	w7_d644e3912
die	w9_d644e3915
Gegensei	w11_d644e3918
tige	w1_d644e3924
errichtet	w3_d644e3927
gewesen.	w5_d644e3930
Von	w7_d644e3933
da	w9_d644e3936
erstiegen	w11_d644e3939
sie	w13_d644e3943
eiligst	w1_d644e3948
die	w3_d644e3951
Anhöhen,	w5_d644e3954
so	w7_d644e3957
das	w9_d644e3960
Jnfelgen	w11_d644e3963
Ramier	w13_d644e3967
beherrschet.	w1_d644e3972
Jn	w3_d644e3975
der	w5_d644e3978
Nacht	w7_d644e3981
vom	w9_d644e3984
11.	w11_d644e3987
auf	w13_d644e3991
den	w1_d644e3996
12.	w3_d644e3999
schlugen	w5_d644e4002
sie	w7_d644e4005
auf	w9_d644e4008
diesen	w11_d644e4011
Anhöhen	w13_d644e4015
in	w15_d644e4018
Lager,	w1_d644e4024
und	w3_d644e4027
bey	w5_d644e4030
Anbruch	w7_d644e4033
des	w9_d644e4036
Tages	w11_d644e4039
deta	w13_d644e4043
schirten	w1_d644e4048
sie	w3_d644e4051
ungefehr	w5_d644e4054
bis	w7_d644e4057
1000.	w9_d644e4060
Mann	w11_d644e4063
an	w13_d644e4067
der	w1_d644e4072
Anse	w3_d644e4075
von	w5_d644e4078
Ane;	w7_d644e4081
allein	w9_d644e4084
sie	w11_d644e4087
behaupteten	w13_d644e4091
diesen	w1_d644e4096
Posten	w3_d644e4099
nicht	w5_d644e4102
lang;	w7_d644e4105
dann	w9_d644e4108
in	w11_d644e4111
der	w13_d644e4115
Nacht	w15_d644e4118
</p>
<p id="p12_d644e4132">
vom	w1_d644e4136
12	w3_d644e4139
auf	w5_d644e4142
den	w7_d644e4145
13.	w9_d644e4148
wurde	w11_d644e4151
derselbe	w13_d644e4155
von	w15_d644e4158
einer	w1_d644e4163
unsrer	w3_d644e4166
Kriegs=schaaren,	w5_d644e4169
so	w7_d644e4172
aus	w9_d644e4175
Kö	w11_d644e4178
nigl.	w1_d644e4183
Grenadiers	w3_d644e4186
und	w5_d644e4189
Colonie=trupen,	w7_d644e4192
an	w9_d644e4195
der	w1_d644e4201
Zahl	w3_d644e4204
von	w5_d644e4207
400.	w7_d644e4210
Mann	w9_d644e4213
bestunde,	w11_d644e4216
mit	w13_d644e4220
der	w15_d644e4223
äusserster	w1_d644e4228
Lebhaftigkeit	w3_d644e4231
und	w5_d644e4234
dem	w7_d644e4237
besten	w9_d644e4240
Er	w11_d644e4243
folg	w1_d644e4248
wieder	w3_d644e4251
erobert.	w5_d644e4254
Der	w7_d644e4257
Commandant	w9_d644e4260
dieser	w1_d644e4265
Trupe,	w3_d644e4268
Hr.	w5_d644e4271
Leube,	w7_d644e4274
Hauptmann	w9_d644e4277
der	w11_d644e4280
Königl.	w1_d644e4286
Grenadiers,	w3_d644e4289
liesse	w5_d644e4292
3.	w7_d644e4295
lebhafte	w9_d644e4298
De	w11_d644e4301
chargen	w1_d644e4306
aus	w3_d644e4309
den	w5_d644e4312
Flinten	w7_d644e4315
auf	w9_d644e4318
die	w11_d644e4321
Feinde	w13_d644e4325
ma	w15_d644e4328
chen,	w1_d644e4333
gleich	w3_d644e4336
darauf	w5_d644e4339
aber	w7_d644e4342
mit	w9_d644e4345
aufgepflanzten	w11_d644e4348
Bajonet	w1_d644e4353
auf	w3_d644e4356
selbe	w5_d644e4359
dergestalt	w7_d644e4362
anprellen,	w9_d644e4365
daß	w11_d644e4368
sie	w1_d644e4374
nicht	w3_d644e4377
nur	w5_d644e4380
allein	w7_d644e4383
diesen	w9_d644e4386
Posten,	w11_d644e4389
sondern	w13_d644e4393
auch	w1_d644e4398
alsogleich	w3_d644e4401
ihr	w5_d644e4404
ganzes	w7_d644e4407
Lager	w9_d644e4410
verliessen,	w11_d644e4413
wo	w1_d644e4418
man	w3_d644e4421
nebst	w5_d644e4424
einer	w7_d644e4427
grossen	w9_d644e4430
Anzahl	w11_d644e4433
Todten,	w13_d644e4437
eine	w1_d644e4442
Menge	w3_d644e4445
Waffen,	w5_d644e4448
Lebens=mitteln	w7_d644e4451
und	w9_d644e4454
Ba	w11_d644e4457
gage	w1_d644e4463
vorfunde.	w3_d644e4466
Man	w5_d644e4469
machte	w7_d644e4472
hiebey	w9_d644e4475
nur	w11_d644e4478
4.	w13_d644e4482
Mann	w1_d644e4487
gefangen,	w3_d644e4490
worunter	w5_d644e4493
1.	w7_d644e4496
Französischer	w9_d644e4499
Deserteur	w1_d644e4504
ware,	w3_d644e4507
der	w5_d644e4510
vor	w7_d644e4513
1.	w9_d644e4516
Monat	w11_d644e4519
zu	w13_d644e4523
den	w15_d644e4526
Engländern	w1_d644e4531
übergegangen,	w3_d644e4534
und	w5_d644e4537
ihne	w7_d644e4540
zweifels	w9_d644e4543
ohne	w1_d644e4549
als	w3_d644e4552
Wegweiser	w5_d644e4555
dienen	w7_d644e4558
sollte;	w9_d644e4561
er	w11_d644e4564
wur	w13_d644e4568
de	w1_d644e4573
sogleich	w3_d644e4576
aufgeknüpft.	w5_d644e4579
Ein	w7_d644e4582
Schwarzer	w9_d644e4585
brachte	w1_d644e4590
einen	w3_d644e4593
Soldaten	w5_d644e4596
vom	w7_d644e4599
Regiment	w9_d644e4602
Am	w11_d644e4605
herst	w1_d644e4610
auf,	w3_d644e4613
den	w5_d644e4616
er	w7_d644e4619
entwafnet	w9_d644e4622
und	w11_d644e4625
zu	w13_d644e4629
Kriegsge	w15_d644e4632
fangen	w1_d644e4638
gemacht	w3_d644e4641
hatte,	w5_d644e4644
dahero	w7_d644e4647
er	w9_d644e4650
nebst	w11_d644e4653
einer	w13_d644e4657
Gratification	w1_d644e4662
von	w3_d644e4665
120.	w5_d644e4668
Livres	w7_d644e4671
an	w9_d644e4674
der	w11_d644e4677
Spi	w13_d644e4681
tze	w1_d644e4686
der	w3_d644e4689
Schwarzen	w5_d644e4692
als	w7_d644e4695
frey	w9_d644e4698
ausgeruffen	w11_d644e4701
wur	w13_d644e4705
de.	w1_d644e4710
Hingegen	w3_d644e4713
wurde	w5_d644e4716
ein	w7_d644e4719
anderer	w9_d644e4722
Schwar	w11_d644e4725
zer	w1_d644e4731
wegen	w3_d644e4734
gethanen	w5_d644e4737
Einbruchs	w7_d644e4740
aufgehenkt.	w9_d644e4743
Diese	w1_d644e4748
zwey	w3_d644e4751
gerechte	w5_d644e4754
Vorgänge	w7_d644e4757
machten	w9_d644e4760
bey	w11_d644e4763
den	w1_d644e4768
Schwarzen	w3_d644e4771
so	w5_d644e4774
guten	w7_d644e4777
Eindruck,	w9_d644e4780
daß	w11_d644e4783
man	w13_d644e4787
ihren	w1_d644e4792
Eifer	w3_d644e4795
kaum	w5_d644e4798
einhalten	w7_d644e4801
mag.	w9_d644e4804
Der	w11_d644e4807
Ver	w13_d644e4811
lust	w1_d644e4817
der	w3_d644e4820
Engländer	w5_d644e4823
bey	w7_d644e4826
der	w9_d644e4829
Affaire	w11_d644e4832
vom	w13_d644e4836
13.	w15_d644e4839
und	w1_d644e4844
bey	w3_d644e4847
den	w5_d644e4850
vorherigen	w7_d644e4853
Actionen	w9_d644e4856
kan	w11_d644e4859
auf	w13_d644e4863
1500.	w1_d644e4868
Mann	w3_d644e4871
gerechnet	w5_d644e4874
werden;	w7_d644e4877
da	w9_d644e4880
hin	w11_d644e4883
gegen	w1_d644e4888
der	w3_d644e4891
unsrige	w5_d644e4894
kaum	w7_d644e4897
in	w9_d644e4900
12.	w11_d644e4903
Mann	w13_d644e4907
bestehet,	w1_d644e4913
welches	w3_d644e4916
man	w5_d644e4919
der	w7_d644e4922
Geschicklichkeit	w9_d644e4925
unserer	w1_d644e4930
Völker	w3_d644e4933
in	w5_d644e4936
Chargiren	w7_d644e4939
zu	w9_d644e4942
verdanken	w11_d644e4945
hat.	w1_d644e4950
Die	w3_d644e4953
verwichene	w5_d644e4956
Nacht	w7_d644e4959
und	w9_d644e4962
diesen	w11_d644e4965
Morgen	w1_d644e4970
haben	w3_d644e4973
die	w5_d644e4976
Feinde	w7_d644e4979
gegen	w9_d644e4982
das	w11_d644e4985
Eiländ	w13_d644e4989
gen	w1_d644e4995
von	w3_d644e4998
Ramier	w5_d644e5001
ein	w7_d644e5004
starkes	w9_d644e5007
Artillerie=feuer	w11_d644e5010
gemacht,	w1_d644e5015
doch	w3_d644e5018
blieben	w5_d644e5021
unsere	w7_d644e5024
Canonen	w9_d644e5027
und	w11_d644e5030
Mörser	w1_d644e5035
dem	w3_d644e5038
feindl.	w5_d644e5041
Feuer	w7_d644e5044
nichts	w9_d644e5047
schuldig;	w11_d644e5050
dahero	w1_d644e5055
der	w3_d644e5058
Feind	w5_d644e5061
auch	w7_d644e5064
allhier	w9_d644e5067
von	w11_d644e5070
seinem	w13_d644e5074
</p>
<p id="p14_d644e5077">
Vorhaben	w1_d644e5081
abstunde.	w3_d644e5084
Dem	w5_d644e5087
Anschein	w7_d644e5090
nach	w9_d644e5093
will	w1_d644e5098
er	w3_d644e5101
nun	w5_d644e5104
eins	w7_d644e5107
gegen	w9_d644e5110
Fort=royal	w11_d644e5113
wagen,	w13_d644e5117
wir	w1_d644e5122
haben	w3_d644e5125
indessen	w5_d644e5128
allda	w7_d644e5131
gute	w9_d644e5134
Werker,	w11_d644e5137
so	w13_d644e5141
mit	w1_d644e5147
vielem	w3_d644e5150
Geschütz	w5_d644e5153
und	w7_d644e5156
10000.	w9_d644e5159
streitbaren	w11_d644e5162
Männern	w1_d644e5167
besetzet	w3_d644e5170
sind.	w5_d644e5173
Das	w7_d644e5176
feindliche	w9_d644e5179
Kriegs=schif	w1_d644e5184
Raisonable	w3_d644e5187
von	w5_d644e5190
74.	w7_d644e5193
Canonen	w9_d644e5196
wurde	w1_d644e5201
durch	w3_d644e5204
unsere	w5_d644e5207
Canonen	w7_d644e5210
in	w9_d644e5213
den	w11_d644e5216
Grund	w13_d644e5220
gebohret,	w1_d644e5226
ohne	w3_d644e5229
daß	w5_d644e5232
die	w7_d644e5235
Feinde	w9_d644e5238
das	w11_d644e5241
Geschütz	w13_d644e5245
davon	w1_d644e5250
gerettet	w3_d644e5253
hätten.	w5_d644e5256
Eine	w7_d644e5259
Fregatte	w9_d644e5262
hat	w11_d644e5265
te	w1_d644e5270
fast	w3_d644e5273
das	w5_d644e5276
nämliche	w7_d644e5279
Schicksall;	w9_d644e5282
solche	w11_d644e5285
wur	w13_d644e5289
de	w1_d644e5294
noch	w3_d644e5297
zeitlich	w5_d644e5300
erleichtert,	w7_d644e5303
doch	w9_d644e5306
hatte	w11_d644e5309
sie	w13_d644e5313
viele	w1_d644e5319
durch	w3_d644e5322
unsere	w5_d644e5325
Canonen	w7_d644e5328
Getödtete	w9_d644e5331
an	w11_d644e5334
Bord;	w1_d644e5339
indessen	w3_d644e5342
kan	w5_d644e5345
besagte	w7_d644e5348
Fregatte	w9_d644e5351
das	w11_d644e5354
Meer	w1_d644e5359
nicht	w3_d644e5362
mehr	w5_d644e5365
halten.	w7_d644e5368
Der	w9_d644e5371
Patron	w11_d644e5374
da	w13_d644e5378
von	w1_d644e5383
Practique	w3_d644e5386
wurde	w5_d644e5389
aufgehenkt.	w7_d644e5392
Auszug=schreiben	w1_d644e5398
von	w3_d644e5401
Martinique,	w5_d644e5404
</p>
<head id="h2_d644e5410">
den	w1_d644e5414
16.	w3_d644e5417
Jan.	w5_d644e5420
um	w7_d644e5423
9.	w9_d644e5426
Uhr	w11_d644e5429
Abends.	w13_d644e5433
</head>
<p id="p4_d644e5436">
Seit	w1_d644e5440
meinem	w3_d644e5443
um	w5_d644e5446
halb	w7_d644e5449
8.	w9_d644e5452
Uhr	w11_d644e5455
geschrie	w13_d644e5459
benen	w1_d644e5464
Brief	w3_d644e5467
vernimmt	w5_d644e5470
man,	w7_d644e5473
daß,	w9_d644e5476
als	w11_d644e5479
die	w13_d644e5483
Engländer	w1_d644e5488
heut	w3_d644e5491
früh	w5_d644e5494
Morgens	w7_d644e5497
Fort=Royal	w9_d644e5500
durch	w1_d644e5506
den	w3_d644e5509
Sumpf	w5_d644e5512
haben	w7_d644e5515
angreifen	w9_d644e5518
wollen,	w11_d644e5521
oder	w1_d644e5526
wenigstens	w3_d644e5529
sich	w5_d644e5532
so	w7_d644e5535
gestellet,	w9_d644e5538
imittelst	w11_d644e5541
aber	w13_d644e5545
durch	w1_d644e5550
unser	w3_d644e5553
Canonen	w5_d644e5556
und	w7_d644e5559
Mörser=feuer	w9_d644e5562
zurück	w1_d644e5567
getrieben	w3_d644e5570
worden,	w5_d644e5573
dieselben	w7_d644e5576
sich	w9_d644e5579
hier	w11_d644e5582
auf	w1_d644e5588
gegen	w3_d644e5591
Caze=Navire	w5_d644e5594
gewendet,	w7_d644e5597
und	w9_d644e5600
wol	w11_d644e5603
10000.	w1_d644e5608
Canonen=schüße	w3_d644e5611
gegen	w5_d644e5614
dasige	w7_d644e5617
Bat	w9_d644e5620
terie	w1_d644e5625
losgebrennt	w3_d644e5628
hätten;	w5_d644e5631
gedachte	w7_d644e5634
Batterie	w9_d644e5637
wäre	w1_d644e5642
indessen	w3_d644e5645
treflich	w5_d644e5648
bedient,	w7_d644e5651
und	w9_d644e5654
dem	w11_d644e5657
Feind	w13_d644e5661
viel	w1_d644e5667
Schaden	w3_d644e5670
zugefügt	w5_d644e5673
worden;	w7_d644e5676
endlich	w9_d644e5679
hät	w11_d644e5682
ten	w1_d644e5687
die	w3_d644e5690
Feinde	w5_d644e5693
ihre	w7_d644e5696
Force	w9_d644e5699
nach	w11_d644e5702
CazePi	w13_d644e5706
lote	w1_d644e5711
gekehret,	w3_d644e5714
wo	w5_d644e5717
sie	w7_d644e5720
auch	w9_d644e5723
Trupen	w11_d644e5726
ans	w13_d644e5730
Land	w15_d644e5733
gesetzet.	w1_d644e5738
Wir	w3_d644e5741
seynd	w5_d644e5744
nichts	w7_d644e5747
weniger	w9_d644e5750
als	w11_d644e5753
be	w13_d644e5757
kümmert,	w1_d644e5763
daß	w3_d644e5766
die	w5_d644e5769
Feinde	w7_d644e5772
sich	w9_d644e5775
dahin	w11_d644e5778
gezo	w13_d644e5782
gen,	w1_d644e5787
dann	w3_d644e5790
sie	w5_d644e5793
sich	w7_d644e5796
allda	w9_d644e5799
eben	w11_d644e5802
so	w13_d644e5806
wenig,	w15_d644e5809
als	w17_d644e5812
auch	w1_d644e5817
in	w3_d644e5820
den	w5_d644e5823
andern	w7_d644e5826
von	w9_d644e5829
ihnen	w11_d644e5832
verlassenen	w13_d644e5836
Posten	w1_d644e5841
werden	w3_d644e5844
festsetzen	w5_d644e5847
können.	w7_d644e5850
Wir	w9_d644e5853
schmeicheln	w1_d644e5859
uns	w3_d644e5862
dessen	w5_d644e5865
nicht	w7_d644e5868
ohne	w9_d644e5871
Ursach,	w11_d644e5874
dann	w1_d644e5879
wir	w3_d644e5882
von	w5_d644e5885
Caze=Navire	w7_d644e5888
an	w9_d644e5891
bis	w11_d644e5894
nach	w13_d644e5898
Tourtouson	w1_d644e5903
bey	w3_d644e5906
10000.	w5_d644e5909
Mann	w7_d644e5912
verschanzet	w9_d644e5915
haben.	w1_d644e5920
Diese	w3_d644e5923
Macht,	w5_d644e5926
wobey	w7_d644e5929
es	w9_d644e5932
dem	w11_d644e5935
Soldaten	w1_d644e5941
an	w3_d644e5944
Muth,	w5_d644e5947
und	w7_d644e5950
dem	w9_d644e5953
Officier	w11_d644e5956
an	w13_d644e5960
Klugheit	w1_d644e5965
nicht	w3_d644e5968
fehlet,	w5_d644e5971
ist	w7_d644e5974
hinlänglich,	w9_d644e5977
die	w11_d644e5980
</p>
<p id="p10_d644e5993">
Unternehmung	w1_d644e5997
des	w3_d644e6000
Feindes	w5_d644e6003
zu	w7_d644e6006
vereiteln,	w9_d644e6009
ob	w1_d644e6014
man	w3_d644e6017
uns	w5_d644e6020
gleich	w7_d644e6023
versichern	w9_d644e6026
will,	w11_d644e6029
der	w13_d644e6033
Feind	w15_d644e6036
hätte	w1_d644e6041
eine	w3_d644e6044
Verstärkung	w5_d644e6047
erhalten.	w7_d644e6050
Wir	w9_d644e6053
ha	w11_d644e6056
ben	w1_d644e6062
diesseits	w3_d644e6065
auch	w5_d644e6068
einen	w7_d644e6071
Succurs	w9_d644e6074
aus	w11_d644e6077
Frank	w13_d644e6081
reich	w1_d644e6086
zu	w3_d644e6089
gewärtigen.	w5_d644e6092
</p>
<p id="p12_d644e6096">
Jn	w1_d644e6100
dem	w3_d644e6103
einzigen	w5_d644e6106
Versuch	w7_d644e6109
auf	w9_d644e6112
den	w11_d644e6115
An	w13_d644e6119
ses	w1_d644e6124
von	w3_d644e6127
Darlets	w5_d644e6130
haben	w7_d644e6133
die	w9_d644e6136
Engländer,	w11_d644e6139
mit	w13_d644e6143
Einbegriff	w1_d644e6148
der	w3_d644e6151
Gefangenen	w5_d644e6154
7.	w7_d644e6157
bis	w9_d644e6160
800.	w11_d644e6163
Mann	w1_d644e6169
eingebüsset.	w3_d644e6172
Einer	w5_d644e6175
unsrer	w7_d644e6178
Schwar	w9_d644e6181
zen	w1_d644e6186
hat	w3_d644e6189
nun	w5_d644e6192
eben	w7_d644e6195
2.	w9_d644e6198
Englische	w11_d644e6201
Grenadiers	w13_d644e6205
und	w15_d644e6208
1.	w1_d644e6213
Matrosen	w3_d644e6216
unsrem	w5_d644e6219
General	w7_d644e6222
gebracht,	w9_d644e6225
und	w11_d644e6228
dafür	w1_d644e6233
auf	w3_d644e6236
der	w5_d644e6239
Stelle	w7_d644e6242
die	w9_d644e6245
Freyheit	w11_d644e6248
erhalten	w13_d644e6252
rc.	w15_d644e6255
</p>
<head id="h2_d644e6261">
Londen	w1_d644e6265
19.	w3_d644e6268
März.	w5_d644e6271
</head>
<p id="p4_d644e6274">
Das	w1_d644e6278
Matrosen=pressen	w3_d644e6281
wird	w5_d644e6284
noch	w7_d644e6287
immer	w9_d644e6290
mit	w1_d644e6295
vollem	w3_d644e6298
Eifer	w5_d644e6301
fortgesetzet,	w7_d644e6304
und	w9_d644e6307
nichts	w11_d644e6310
wird	w13_d644e6314
ausser	w1_d644e6319
Acht	w3_d644e6322
gelassen,	w5_d644e6325
um	w7_d644e6328
die	w9_d644e6331
zum	w11_d644e6334
Auslauf	w13_d644e6338
fen	w1_d644e6344
bestimmte	w3_d644e6347
Schiffe	w5_d644e6350
auf	w7_d644e6353
das	w9_d644e6356
eilfertigste	w11_d644e6359
mit	w1_d644e6364
allem	w3_d644e6367
Nöhtigen	w5_d644e6370
zu	w7_d644e6373
versehen;	w9_d644e6376
dieser	w11_d644e6379
Ta	w13_d644e6383
gen	w1_d644e6388
hat	w3_d644e6391
man	w5_d644e6394
in	w7_d644e6397
einigen	w9_d644e6400
liederlichen	w11_d644e6403
Häusern	w13_d644e6407
40.	w1_d644e6412
junge	w3_d644e6415
Leute	w5_d644e6418
aufgehoben,	w7_d644e6421
aus	w9_d644e6424
welchen	w11_d644e6427
28.,	w1_d644e6433
weilen	w3_d644e6436
sie	w5_d644e6439
nicht	w7_d644e6442
hinlänglich	w9_d644e6445
beweisen	w11_d644e6448
können,	w1_d644e6453
von	w3_d644e6456
was	w5_d644e6459
sie	w7_d644e6462
sich	w9_d644e6465
erhalten,	w11_d644e6468
Matrosen	w1_d644e6473
gemacht	w3_d644e6476
worden.	w5_d644e6479
Viele	w7_d644e6482
Wei	w9_d644e6485
ber,	w1_d644e6490
Vätter,	w3_d644e6493
Brüder,	w5_d644e6496
und	w7_d644e6499
Glaubigere	w9_d644e6502
haben	w11_d644e6505
dergleichen	w1_d644e6511
liederliche	w3_d644e6514
Leute	w5_d644e6517
angegeben,	w7_d644e6520
und	w9_d644e6523
sie	w1_d644e6528
auf	w3_d644e6531
das	w5_d644e6534
nachdrücklichste	w7_d644e6537
einer	w9_d644e6540
scharfen	w11_d644e6543
Aufsicht	w1_d644e6548
anempfohlen:	w3_d644e6551
ein	w5_d644e6554
Transport=schif	w7_d644e6557
ist	w1_d644e6562
bereits	w3_d644e6565
völlig	w5_d644e6568
mit	w7_d644e6571
derley	w9_d644e6574
Gesinde	w11_d644e6577
ange	w13_d644e6581
füllet,	w1_d644e6587
und	w3_d644e6590
morgen	w5_d644e6593
wird	w7_d644e6596
es	w9_d644e6599
nacher	w11_d644e6602
Nore	w13_d644e6606
damit	w1_d644e6611
absegeln.	w3_d644e6614
Nun	w5_d644e6617
ist	w7_d644e6620
leicht	w9_d644e6623
zu	w11_d644e6626
er	w13_d644e6630
achten,	w1_d644e6635
daß	w3_d644e6638
die	w5_d644e6641
auf	w7_d644e6644
solche	w9_d644e6647
Art	w11_d644e6650
zum	w13_d644e6654
See	w15_d644e6657
dienst	w1_d644e6662
gebrachte	w3_d644e6665
Leute,	w5_d644e6668
sich	w7_d644e6671
wenig	w9_d644e6674
oder	w11_d644e6677
gar	w13_d644e6681
nicht	w1_d644e6687
an	w3_d644e6690
ihre	w5_d644e6693
Pflichten	w7_d644e6696
binden,	w9_d644e6699
dahero	w11_d644e6702
ge	w13_d644e6706
schiehet	w1_d644e6711
dann	w3_d644e6714
auch,	w5_d644e6717
daß	w7_d644e6720
die	w9_d644e6723
Ausreissung	w11_d644e6726
dergestalt	w1_d644e6731
überhand	w3_d644e6734
genommen,	w5_d644e6737
daß	w7_d644e6740
die	w9_d644e6743
Admiralität	w1_d644e6748
den	w3_d644e6751
Befehl	w5_d644e6754
ertheilen	w7_d644e6757
müssen,	w9_d644e6760
dergleichen	w1_d644e6766
Verbrechern	w3_d644e6769
mit	w5_d644e6772
der	w7_d644e6775
äussersten	w9_d644e6778
Schärfe	w1_d644e6783
zu	w3_d644e6786
begegnen,	w5_d644e6789
um	w7_d644e6792
mit	w9_d644e6795
Gewalt	w11_d644e6798
ei	w13_d644e6802
nem	w1_d644e6807
Uebel	w3_d644e6810
vorzubeugen,	w5_d644e6813
welches	w7_d644e6816
uns	w9_d644e6819
bey	w11_d644e6822
dermalig=obwaltenden	w1_d644e6827
gefährlichen	w3_d644e6830
Um	w5_d644e6833
ständen	w1_d644e6839
in	w3_d644e6842
nicht	w5_d644e6845
geringe	w7_d644e6848
Verlegenheit	w9_d644e6851
setzen	w11_d644e6854
könnte.	w1_d644e6859
</p>
<head id="h2_d644e6865">
Madrit	w1_d644e6869
3.	w3_d644e6872
Martii.	w5_d644e6875
</head>
<p id="p4_d644e6878">
Noch	w1_d644e6882
bis	w3_d644e6885
jetzo	w5_d644e6888
weiß	w7_d644e6891
das	w9_d644e6894
Publicum	w11_d644e6897
nichts	w13_d644e6901
zuverläßiges,	w1_d644e6906
