<doc id="wr_1760-08-13" attrs="word" year="1760" month="08" day="13" corpus="2">
<head id="h2_d475e3099">
Von	w1_d475e3103
ward	w3_d475e3993
durch	w5_d475e3996
das	w7_d475e3999
Corps	w9_d475e4002
von	w11_d475e4005
Kielmanseck	w13_d475e4009
und	w1_d475e4014
Luckner	w3_d475e4017
besetzt.	w5_d475e4020
Die	w7_d475e4023
Sachsen	w9_d475e4026
verjag	w11_d475e4029
ten	w1_d475e4034
dieses	w3_d475e4037
Corps	w5_d475e4040
von	w7_d475e4043
einem	w9_d475e4046
Hügel,	w11_d475e4049
wo	w13_d475e4053
sol	w15_d475e4056
ches	w1_d475e4062
vor	w3_d475e4065
Valkershausen	w5_d475e4068
in	w7_d475e4071
Schlachtord	w9_d475e4074
nung	w1_d475e4079
stunde.	w3_d475e4082
Die	w5_d475e4085
Alliirte	w7_d475e4088
zogen	w9_d475e4091
sich	w11_d475e4094
hier	w13_d475e4098
auf	w1_d475e4103
in	w3_d475e4106
eine	w5_d475e4109
sehr	w7_d475e4112
vortheilhafte	w9_d475e4115
Verschanzung	w11_d475e4118
zurück;	w1_d475e4123
von	w3_d475e4126
dorther	w5_d475e4129
feuerten	w7_d475e4132
sie	w9_d475e4135
heftig	w11_d475e4138
auf	w13_d475e4142
die	w1_d475e4148
Sachsen,	w3_d475e4151
doch	w5_d475e4154
endlich	w7_d475e4157
musten	w9_d475e4160
sie	w11_d475e4163
die	w13_d475e4167
sen	w1_d475e4172
unerschrockenen	w3_d475e4175
und	w5_d475e4178
tapfern	w7_d475e4181
Trupen	w9_d475e4184
nach	w11_d475e4187
geben.	w1_d475e4192
Der	w3_d475e4195
Angrif	w5_d475e4198
geschahe	w7_d475e4201
Vormittags	w9_d475e4204
um	w1_d475e4209
10.	w3_d475e4212
Uhr,	w5_d475e4215
und	w7_d475e4218
dauerte	w9_d475e4221
bis	w11_d475e4224
12.	w13_d475e4228
Der	w15_d475e4231
Herr	w1_d475e4237
Graf	w3_d475e4240
von	w5_d475e4243
der	w7_d475e4246
Lausitz	w9_d475e4249
führte	w11_d475e4252
ihn	w13_d475e4256
in	w15_d475e4259
hoher	w1_d475e4264
Person	w3_d475e4267
an;	w5_d475e4270
7.	w7_d475e4273
Batterien	w9_d475e4276
wurden	w11_d475e4279
ge	w13_d475e4283
schwind	w1_d475e4288
weggenommen.	w3_d475e4291
Hierauf	w5_d475e4294
eilten	w7_d475e4297
die	w9_d475e4300
Alliirte	w1_d475e4305
fort;	w3_d475e4308
sie	w5_d475e4311
liessen	w7_d475e4314
8.	w9_d475e4317
schwere	w11_d475e4320
Cano	w13_d475e4324
nen	w1_d475e4330
nebst	w3_d475e4333
einer	w5_d475e4336
Haubitze	w7_d475e4339
stehen,	w9_d475e4342
und	w11_d475e4345
beschleu	w13_d475e4349
nigten	w1_d475e4354
ihre	w3_d475e4357
Flucht	w5_d475e4360
durch	w7_d475e4363
Cassel,	w9_d475e4366
um	w11_d475e4369
sich	w13_d475e4373
in	w15_d475e4376
Minden	w1_d475e4381
zu	w3_d475e4384
werfen.	w5_d475e4387
Die	w7_d475e4390
prächtigste	w9_d475e4393
und	w11_d475e4396
Haupt=stadt	w1_d475e4401
von	w3_d475e4404
ganz	w5_d475e4407
Hessen	w7_d475e4410
nahmen	w9_d475e4413
so	w11_d475e4416
fort	w1_d475e4422
die	w3_d475e4425
siegreiche	w5_d475e4428
Sachsen	w7_d475e4431
ein;	w9_d475e4434
ihr	w11_d475e4437
Ver	w13_d475e4441
lust	w1_d475e4446
ist	w3_d475e4449
sehr	w5_d475e4452
gering,	w7_d475e4455
indem	w9_d475e4458
selbige	w11_d475e4461
nur	w13_d475e4465
23.	w15_d475e4468
todte	w1_d475e4473
Grenadiers	w3_d475e4476
zehlen;	w5_d475e4479
der	w7_d475e4482
Herr	w9_d475e4485
General	w11_d475e4488
von	w1_d475e4493
Klingenberg	w3_d475e4496
bekam	w5_d475e4499
eine	w7_d475e4502
starke	w9_d475e4505
Contu	w11_d475e4508
sion,	w1_d475e4514
der	w3_d475e4517
Königl	w5_d475e4520
Französische	w7_d475e4523
Alde	w9_d475e4526
de	w11_d475e4529
Camp	w13_d475e4533
Herr	w1_d475e4538
Martin	w3_d475e4541
aber	w5_d475e4544
wurde	w7_d475e4547
leicht	w9_d475e4550
verwundet.	w11_d475e4553
Nun	w1_d475e4558
gehen	w3_d475e4561
die	w5_d475e4564
Sachsen	w7_d475e4567
auf	w9_d475e4570
Münden	w11_d475e4573
los.	w13_d475e4577
Der	w1_d475e4582
Herr	w3_d475e4585
Marschall,	w5_d475e4588
Herzog	w7_d475e4591
von	w9_d475e4594
Broglie,	w11_d475e4597
haben	w1_d475e4603
bereits	w3_d475e4606
das	w5_d475e4609
Haupt=quartier	w7_d475e4612
zu	w9_d475e4615
Cas	w11_d475e4618
sel	w1_d475e4623
angelegt.	w3_d475e4626
Das	w5_d475e4629
gaze	w7_d475e4632
Königl.	w9_d475e4635
Französi	w11_d475e4638
sche	w1_d475e4643
Lager	w3_d475e4646
stehet	w5_d475e4649
in	w7_d475e4652
allen	w9_d475e4655
Gegenden	w11_d475e4658
von	w13_d475e4662
Cas	w15_d475e4665
sel.	w1_d475e4670
Die	w3_d475e4673
Alliirte	w5_d475e4676
haben	w7_d475e4679
ihren	w9_d475e4682
Zug	w11_d475e4685
nach	w13_d475e4689
der	w15_d475e4692
Dimmel	w1_d475e4698
zu	w3_d475e4701
genommen;	w5_d475e4704
Ubrigens	w7_d475e4707
fande	w9_d475e4710
man	w11_d475e4713
zu	w1_d475e4718
Cassel	w3_d475e4721
viele	w5_d475e4724
Canonen,	w7_d475e4727
Kriegs	w9_d475e4730
und	w11_d475e4733
Le	w13_d475e4737
bens=vorraht,	w1_d475e4742
1500.	w3_d475e4745
Kranke	w5_d475e4748
und	w7_d475e4751
Ver	w9_d475e4754
wundete	w1_d475e4759
nebst	w3_d475e4762
einer	w5_d475e4765
Menge	w7_d475e4768
von	w9_d475e4771
Kriegsge	w11_d475e4774
fangenen.	w1_d475e4780
Der	w3_d475e4783
Herr	w5_d475e4786
General	w7_d475e4789
Lucziusky	w9_d475e4792
nähert	w1_d475e4797
sich	w3_d475e4800
dem	w5_d475e4803
rechten	w7_d475e4806
Flügel	w9_d475e4809
des	w11_d475e4812
Franzö	w13_d475e4816
sischen	w1_d475e4821
Kriegs=heers;	w3_d475e4824
den	w5_d475e4827
29.	w7_d475e4830
lagerte	w9_d475e4833
er	w11_d475e4836
sich	w1_d475e4841
schon	w3_d475e4844
zu	w5_d475e4847
Vacha.	w7_d475e4850
</p>
<head id="h2_d475e4856">
Aus	w1_d475e4860
Thüringen	w3_d475e4863
1.	w5_d475e4866
Augusti.	w7_d475e4869
</head>
<p id="p4_d475e4872">
Das	w1_d475e4876
bisher	w3_d475e4879
unter	w5_d475e4882
dem	w7_d475e4885
Herrn	w9_d475e4888
General	w11_d475e4891
von	w1_d475e4896
Luszinski	w3_d475e4899
bey	w5_d475e4902
Römhild	w7_d475e4905
gestandene	w9_d475e4908
Kai	w11_d475e4911
serl.	w1_d475e4916
Königl.	w3_d475e4919
Corps	w5_d475e4922
hat	w7_d475e4925
sich	w9_d475e4928
in	w11_d475e4931
diesen	w13_d475e4935
Tagen	w15_d475e4938
</p>
<p id="p6_d475e4941">
von	w1_d475e4945
da	w3_d475e4948
hinweg	w5_d475e4951
und	w7_d475e4954
nach	w9_d475e4957
der	w11_d475e4960
Gegend	w13_d475e4964
Schmal	w15_d475e4967
kalden	w1_d475e4972
und	w3_d475e4975
Salzungen	w5_d475e4978
herunter	w7_d475e4981
gezogen.	w9_d475e4984
Die	w1_d475e4989
zu	w3_d475e4992
diesem	w5_d475e4995
Corps	w7_d475e4998
gehörige,	w9_d475e5001
und	w11_d475e5004
bey	w13_d475e5008
Saal=feld	w1_d475e5014
vertheilt	w3_d475e5017
gelegene	w5_d475e5020
Trupen	w7_d475e5023
sind	w9_d475e5026
von	w11_d475e5029
da	w1_d475e5034
nun	w3_d475e5037
auch	w5_d475e5040
aufgebrochen,	w7_d475e5043
und	w9_d475e5046
über	w11_d475e5049
Jllm	w13_d475e5053
nau	w1_d475e5058
und	w3_d475e5061
Suhl	w5_d475e5064
obigen	w7_d475e5067
im	w9_d475e5070
Marsch	w11_d475e5073
nachge	w13_d475e5077
folget.	w1_d475e5082
Das	w3_d475e5085
im	w5_d475e5088
Anrücken	w7_d475e5091
seyende	w9_d475e5094
Herzogl.	w11_d475e5097
Würtembergische	w1_d475e5103
Corps	w3_d475e5106
aber,	w5_d475e5109
wird	w7_d475e5112
den	w9_d475e5115
11.	w11_d475e5118
Augusti	w1_d475e5123
nach	w3_d475e5126
der	w5_d475e5129
Marsch=route	w7_d475e5132
in	w9_d475e5135
das	w11_d475e5138
Sach	w13_d475e5142
sen=meinungische	w1_d475e5147
Fürstentum	w3_d475e5150
einrücken,	w5_d475e5153
und	w7_d475e5156
alsdann	w1_d475e5161
jenen	w3_d475e5164
vermutlich	w5_d475e5167
nachfolgen.	w7_d475e5170
Die	w9_d475e5173
Vor=trupen	w1_d475e5179
von	w3_d475e5182
obigem	w5_d475e5185
Corps	w7_d475e5188
gehen	w9_d475e5191
zum	w11_d475e5194
Recognosciren	w1_d475e5199
schon	w3_d475e5202
bis	w5_d475e5205
Eisenach.	w7_d475e5208
</p>
<head id="h2_d475e5214">
Aus	w1_d475e5218
Sachsen	w3_d475e5221
31.	w5_d475e5224
Julii.	w7_d475e5227
</head>
<p id="p4_d475e5230">
Dresden,	w1_d475e5234
das	w3_d475e5237
beweinenswürdigste	w5_d475e5240
Dres	w7_d475e5243
den,	w1_d475e5248
liefert	w3_d475e5251
uns	w5_d475e5254
und	w7_d475e5257
der	w9_d475e5260
klagenden	w11_d475e5263
Nach	w13_d475e5267
welt	w1_d475e5272
ein	w3_d475e5275
richtiges	w5_d475e5278
Verzeichnüß	w7_d475e5281
seiner	w9_d475e5284
Trauer	w11_d475e5287
feuer	w1_d475e5293
und	w3_d475e5296
der	w5_d475e5299
währender	w7_d475e5302
Belagerung	w9_d475e5305
bis	w11_d475e5308
den	w13_d475e5312
21.	w1_d475e5317
Julii	w3_d475e5320
abgebrannten	w5_d475e5323
Gassen	w7_d475e5326
und	w9_d475e5329
Häu	w11_d475e5332
sern:	w1_d475e5337
</p>
<p id="p6_d475e5340">
1.)	w1_d475e5344
Die	w3_d475e5347
Schreiber=gasse.	w5_d475e5350
2.)	w7_d475e5353
Die	w9_d475e5356
Schul	w1_d475e5361
und	w3_d475e5364
Prediger=gasse.	w5_d475e5367
3.)	w7_d475e5370
Die	w9_d475e5373
Büt	w11_d475e5376
tel=gasse.	w1_d475e5381
4.)	w3_d475e5384
Das	w5_d475e5387
Loch.	w7_d475e5390
5.)	w9_d475e5393
Die	w11_d475e5396
grosse	w13_d475e5400
Schuß=gasse.	w1_d475e5406
6.)	w3_d475e5409
Die	w5_d475e5412
kleine	w7_d475e5415
Schuß=gasse.	w9_d475e5418
7.)	w1_d475e5423
Das	w3_d475e5426
Saltz=haus.	w5_d475e5429
8.)	w7_d475e5432
Die	w9_d475e5435
Münze	w11_d475e5438
9.)	w1_d475e5443
Die	w3_d475e5446
Porcellain=niederlage.	w5_d475e5449
10.)	w7_d475e5452
Der	w9_d475e5455
Pallast	w1_d475e5460
des	w3_d475e5463
Herrn	w5_d475e5466
Ritters	w7_d475e5469
von	w9_d475e5472
Sachsen.	w11_d475e5475
11.)	w1_d475e5481
Die	w3_d475e5484
grosse	w5_d475e5487
Fischer=gasse.	w7_d475e5490
12)	w9_d475e5493
Die	w11_d475e5496
Töpfer=gasse	w1_d475e5501
auf	w3_d475e5504
dem	w5_d475e5507
Neumark.	w7_d475e5510
13.)	w9_d475e5513
Der	w11_d475e5516
Linderbergerische	w1_d475e5521
Gast=hof.	w3_d475e5524
14.)	w5_d475e5527
Das	w7_d475e5530
Nau	w9_d475e5533
mannische	w1_d475e5538
Haus.	w3_d475e5541
15)	w5_d475e5544
Die	w7_d475e5547
Haupt=wache.	w9_d475e5550
16.)	w1_d475e5556
Das	w3_d475e5559
Commandanten=haus,	w5_d475e5562
das	w7_d475e5565
aber	w9_d475e5568
nur	w1_d475e5573
abgebrannt	w3_d475e5576
wurde.	w5_d475e5579
17.)	w7_d475e5582
Die	w9_d475e5585
Moris	w11_d475e5588
strasse.	w1_d475e5593
18.)	w3_d475e5596
Die	w5_d475e5599
Pirnaische	w7_d475e5602
Gasse.	w9_d475e5605
19.	w11_d475e5608
Die	w1_d475e5613
Fleisch=bänke.	w3_d475e5616
20.)	w5_d475e5619
Die	w7_d475e5622
Brühlische	w9_d475e5625
Bilder=gallerie	w1_d475e5631
auf	w3_d475e5634
dem	w5_d475e5637
Wall	w7_d475e5640
auf	w9_d475e5643
dem	w11_d475e5646
al	w13_d475e5650
ten	w1_d475e5655
Markt.	w3_d475e5658
21)	w5_d475e5661
Das	w7_d475e5664
Französische	w9_d475e5667
Kir	w11_d475e5670
chen=haus.	w1_d475e5675
22.)	w3_d475e5678
Das	w5_d475e5681
Hornische	w7_d475e5684
Haus.	w9_d475e5687
23.)	w1_d475e5692
Das	w3_d475e5695
Döringische	w5_d475e5698
Haus.	w7_d475e5701
24.)	w9_d475e5704
Die	w11_d475e5707
eine	w1_d475e5713
Helfte	w3_d475e5716
von	w5_d475e5719
der	w7_d475e5722
See=gasse.	w9_d475e5725
25.)	w11_d475e5728
Des	w13_d475e5732
Herrn	w1_d475e5737
Grafens	w3_d475e5740
von	w5_d475e5743
Einsiedels	w7_d475e5746
Pallast.	w9_d475e5749
26.)	w11_d475e5752
Der	w1_d475e5757
Thurn	w3_d475e5760
von	w5_d475e5763
der	w7_d475e5766
Creutz=kirche.	w9_d475e5769
27.)	w11_d475e5772
Die	w13_d475e5776
Creutz	w1_d475e5781
</p>
<p id="p10_d475e5786">
Freutzkirche	w1_d475e5790
wurde	w3_d475e5793
zwar	w5_d475e5796
nicht	w7_d475e5799
völlig	w9_d475e5802
abge	w11_d475e5805
bkannt,	w1_d475e5810
doch	w3_d475e5813
sehr	w5_d475e5816
beschädiget.	w7_d475e5819
Die	w9_d475e5822
Sum	w11_d475e5825
ma	w1_d475e5830
der	w3_d475e5833
abgebrannten	w5_d475e5836
Häuser	w7_d475e5839
ist	w9_d475e5842
225.,	w11_d475e5845
der	w13_d475e5849
beschädigten	w1_d475e5855
aber	w3_d475e5858
31.	w5_d475e5861
</p>
<head id="h2_d475e5868">
Ein	w1_d475e5872
anderes	w3_d475e5875
aus	w5_d475e5878
Sachsen,	w7_d475e5881
vom	w9_d475e5884
1.	w1_d475e5889
Augusti.	w3_d475e5892
</head>
<p id="p4_d475e5895">
Der	w1_d475e5899
König	w3_d475e5902
von	w5_d475e5905
Preußen	w7_d475e5908
hat	w9_d475e5911
sich	w11_d475e5914
genöh	w13_d475e5918
tiger	w1_d475e5923
befunden,	w3_d475e5926
die	w5_d475e5929
Belagerung	w7_d475e5932
aufzuheben,	w9_d475e5935
und	w1_d475e5940
ganz	w3_d475e5943
stillschweigend	w5_d475e5946
verwichenen	w7_d475e5949
Dien	w9_d475e5952
stag	w1_d475e5958
Mitternacht	w3_d475e5961
mit	w5_d475e5964
seiner	w7_d475e5967
Armee	w9_d475e5970
von	w11_d475e5973
Dres	w13_d475e5977
den	w1_d475e5982
abzuziehen.	w3_d475e5985
Der	w5_d475e5988
Marsch	w7_d475e5991
konnte	w9_d475e5994
nicht	w11_d475e5997
so	w1_d475e6002
verborgen	w3_d475e6005
bleiben,	w5_d475e6008
daß	w7_d475e6011
die	w9_d475e6014
Kaiserl.	w11_d475e6017
Kö	w13_d475e6021
nigl.	w1_d475e6026
Trupen	w3_d475e6029
nicht	w5_d475e6032
zeitlich	w7_d475e6035
davon	w9_d475e6038
benachrich	w11_d475e6041
tiget	w1_d475e6047
worden	w3_d475e6050
wären;	w5_d475e6053
sie	w7_d475e6056
griffen	w9_d475e6059
vorgestern	w11_d475e6062
bey	w1_d475e6067
Anbruch	w3_d475e6070
des	w5_d475e6073
Tages	w7_d475e6076
die	w9_d475e6079
feindliche	w11_d475e6082
Ar	w13_d475e6086
tier=garde	w1_d475e6091
an,	w3_d475e6094
und	w5_d475e6097
haben	w7_d475e6100
sowol	w9_d475e6103
die	w11_d475e6106
Grena	w13_d475e6110
diers	w1_d475e6115
von	w3_d475e6118
der	w5_d475e6121
Garnison,	w7_d475e6124
als	w9_d475e6127
jene	w11_d475e6130
von	w13_d475e6134
der	w15_d475e6137
Armee,	w1_d475e6143
den	w3_d475e6146
Feind	w5_d475e6149
bis	w7_d475e6152
über	w9_d475e6155
Kesselsdorf	w11_d475e6158
hinaus	w1_d475e6163
mit	w3_d475e6166
grossem	w5_d475e6169
Verlust	w7_d475e6172
verfolget.	w9_d475e6175
</p>
<p id="p6_d475e6178">
Die	w1_d475e6182
Reichs=armee	w3_d475e6185
und	w5_d475e6188
das	w7_d475e6191
Lascische	w9_d475e6194
Corps	w1_d475e6199
sind	w3_d475e6202
in	w5_d475e6205
vollem	w7_d475e6208
Anmarsch,	w9_d475e6211
das	w11_d475e6214
Lager	w13_d475e6218
bey	w1_d475e6223
Plauen	w3_d475e6226
zu	w5_d475e6229
besetzen,	w7_d475e6232
und	w9_d475e6235
jenes	w11_d475e6238
Corps	w13_d475e6242
zu	w1_d475e6248
unterstützen,	w3_d475e6251
welches	w5_d475e6254
dem	w7_d475e6257
Feind	w9_d475e6260
nach	w11_d475e6263
setzte.	w1_d475e6268
Von	w3_d475e6271
Freyberg	w5_d475e6274
sind	w7_d475e6277
gleicher	w9_d475e6280
Gestal	w11_d475e6283
ten	w1_d475e6288
die	w3_d475e6291
feindliche	w5_d475e6294
Vor=posten	w7_d475e6297
vertrieben,	w9_d475e6300
so	w11_d475e6303
daß	w1_d475e6308
wir	w3_d475e6311
nun	w5_d475e6314
uns	w7_d475e6317
alles	w9_d475e6320
gewührigers	w11_d475e6323
zu	w13_d475e6327
ver	w15_d475e6330
sprechen	w1_d475e6336
haben.	w3_d475e6339
</p>
<head id="h2_d475e6345">
Londen	w1_d475e6349
30.	w3_d475e6352
Julii.	w5_d475e6355
</head>
<p id="p4_d475e6358">
Diesen	w1_d475e6362
Morgen	w3_d475e6365
haben	w5_d475e6368
sich	w7_d475e6371
die	w9_d475e6374
drey	w11_d475e6377
Ba	w13_d475e6381
tatllons	w1_d475e6386
von	w3_d475e6389
der	w5_d475e6392
Garde	w7_d475e6395
zu	w9_d475e6398
Fuß	w11_d475e6401
nach	w13_d475e6405
Gra	w15_d475e6408
besand	w1_d475e6413
in	w3_d475e6416
Marsch	w5_d475e6419
gesetzt,	w7_d475e6422
und	w9_d475e6425
werden	w11_d475e6428
sich	w13_d475e6432
dortselbst	w1_d475e6438
alsogleich	w3_d475e6441
nach	w5_d475e6444
der	w7_d475e6447
Weser	w9_d475e6450
einschif	w11_d475e6453
fen.	w1_d475e6458
Diese	w3_d475e6461
Bataillons	w5_d475e6464
machen	w7_d475e6467
würcklich	w9_d475e6470
3000.	w1_d475e6475
Mann	w3_d475e6478
aus,	w5_d475e6481
und	w7_d475e6484
werden	w9_d475e6487
von	w11_d475e6490
dem	w13_d475e6494
General=major	w1_d475e6499
Julius	w3_d475e6502
Cäsar	w5_d475e6505
commandirt.	w7_d475e6508
Die	w1_d475e6514
ebenmäßig	w3_d475e6517
nach	w5_d475e6520
Teutschland	w7_d475e6523
bestimmte	w9_d475e6526
4.	w1_d475e6531
Jnfanterie=regimenter	w3_d475e6534
werden	w5_d475e6537
sich	w7_d475e6540
dahin	w9_d475e6543
nächstens	w1_d475e6548
einschiffen.	w3_d475e6551
Nächstdeme	w5_d475e6554
wird	w7_d475e6557
man	w9_d475e6560
auch	w1_d475e6565
von	w3_d475e6568
der	w5_d475e6571
in	w7_d475e6574
denen	w9_d475e6577
drey	w11_d475e6580
Königreichen	w13_d475e6584
liegenden	w1_d475e6590
Cavallerie	w3_d475e6593
und	w5_d475e6596
Jnfanterie	w7_d475e6599
Deta	w9_d475e6602
schements	w1_d475e6607
heraus	w3_d475e6610
ziehen,	w5_d475e6613
um	w7_d475e6616
den	w9_d475e6619
Verlust	w11_d475e6622
bey	w1_d475e6627
der	w3_d475e6630
Affaire	w5_d475e6633
zu	w7_d475e6636
Corbach	w9_d475e6639
zu	w11_d475e6642
ersetzen.	w13_d475e6646
Am	w15_d475e6649
23.	w1_d475e6654
ist	w3_d475e6657
für	w5_d475e6660
diese	w7_d475e6663
Trupen	w9_d475e6666
auf	w11_d475e6669
der	w13_d475e6673
Themse	w15_d475e6676
</p>
<p id="p6_d475e6679">
ein	w1_d475e6683
Artillerie=zug	w3_d475e6686
zu	w5_d475e6689
Schif	w7_d475e6692
gebracht	w9_d475e6695
wor	w11_d475e6698
den;	w1_d475e6703
auch	w3_d475e6706
ist	w5_d475e6709
dieser	w7_d475e6712
Tagen	w9_d475e6715
auf	w11_d475e6718
der	w13_d475e6722
Themse	w15_d475e6725
