<doc id="edoc_wd_1777-08-02" attrs="word" year="1777" month="08" day="02" corpus="1">
<head id="hl1">
Konstantinopel	w47
haben	w361
<g/>
,
sind	w363
alsogleich	w364
mit	w365
Ar=rest	w366
<g/>
=
belegt	w368
worden	w369
<g/>
.
Eben	w371
dieses	w372
ist	w373
auch	w374
den	w375
Kommendanten	w376
der	w377
portugiesischen	w378
Kriegsschiffe	w379
wiederfahren	w380
<g/>
,
weil	w382
auch	w383
diese	w384
gar	w385
keinen	w386
Widerstand	w387
geleistet	w388
ha=ben	w389
<g/>
=
<g/>
.
Der	w392
gewesene	w393
Statthalter	w394
Mendo=za	w395
<g/>
=
soll	w397
unverzüglich	w398
nach	w399
Lisabon	w400
ge=bracht	w401
<g/>
=
<g/>
,
und	w404
seine	w405
Aufführung	w406
durch	w407
den	w408
dasigen	w409
Hofkriegsrath	w410
auf	w411
das	w412
schärfste	w413
untersucht	w414
werden	w415
<g/>
.
Vielleicht	w417
muß	w418
er	w419
seine	w420
Zaghaftigkeit	w421
mit	w422
seinem	w423
Kopfe	w424
be=zahlen	w425
<g/>
=
<g/>
.
</p>
<head id="hl3">
Rom	w428
<g/>
,
den	w430
16	w431
<g/>
.
Heumon	w433
<g/>
.
</head>
<p id="p11">
Nächstens	w435
wird	w436
eine	w437
aus	w438
verschiedenen	w439
Kardinälen	w440
<g/>
,
und	w442
Prälaten	w443
bestehende	w444
Kongregation	w445
über	w446
gewisse	w447
neue	w448
ökono=mische	w449
<g/>
=
Einrichtungen	w451
gehalten	w452
werden	w453
<g/>
.
Die	w455
in	w456
dem	w457
Landhause	w458
zu	w459
Montalto	w460
jüngst=hin	w461
<g/>
=
ausgegrabenen	w463
Gemälde	w464
aus	w465
dem	w466
Alterthume	w467
<g/>
,
sind	w469
von	w470
einem	w471
Engländer	w472
gekauft	w473
worden	w474
<g/>
.
Das	w476
eine	w477
stellt	w478
die	w479
Ve=nus	w480
<g/>
=
<g/>
,
das	w483
andere	w484
aber	w485
einen	w486
Faun	w487
vor	w488
<g/>
.
Bey	w490
der	w491
weitern	w492
Ausgrabung	w493
hat	w494
man	w495
eine	w496
Säule	w497
von	w498
orientalischen	w499
Granit	w500
vor=gefunden	w501
<g/>
=
<g/>
,
und	w504
man	w505
glaubt	w506
<g/>
,
noch	w508
meh=rere	w509
<g/>
=
Entdeckungen	w511
zu	w512
machen	w513
<g/>
.
</p>
<p id="p12">
Der	w515
berühmte	w516
Tänzer	w517
<g/>
,
Herr	w519
Picq	w520
<g/>
,
ist	w522
zu	w523
Neapel	w524
als	w525
Hoftanzmeister	w526
mit	w527
einem	w528
reichlichen	w529
Gehalte	w530
zur	w531
Unterrichtung	w532
der	w533
königl	w534
<g/>
.
Kinder	w536
<g/>
,
angestellt	w538
worden	w539
<g/>
.
</p>
<head id="hl4">
Florenz	w541
<g/>
,
den	w543
21	w544
<g/>
.
Heumon	w546
<g/>
.
</head>
<p id="p13">
Herr	w548
Senator	w549
Nelli	w550
<g/>
,
und	w552
der	w553
Jnge=nieur	w554
<g/>
=
Herr	w556
Salvetti	w557
sind	w558
zur	w559
Berichtigung	w560
der	w561
Gränzscheidung	w562
zwischen	w563
den	w564
Staa Staaten	w565
<g/>
=
</p>
<p id="p14">
ten	w567
von	w568
Toskana	w569
<g/>
,
und	w571
Parma	w572
nach	w573
der	w574
Provinz	w575
Lunegiana	w576
abgegangen	w577
<g/>
.
</p>
<p id="p15">
Se	w579
<g/>
.
königl	w581
<g/>
.
Hoheit	w583
haben	w584
dem	w585
Herrn	w586
Großmeister	w587
von	w588
Malta	w589
in	w590
seinem	w591
Ge=such	w592
<g/>
=
eine	w594
Kompagnie	w595
von	w596
70	w597
Mann	w598
tos=kanischer	w599
<g/>
=
Soldaten	w601
zu	w602
erhalten	w603
<g/>
,
gewill=fahret	w605
<g/>
=
<g/>
,
und	w608
ist	w609
dieselbe	w610
aus	w611
der	w612
Besatzung	w613
von	w614
Livorno	w615
herausgesucht	w616
worden	w617
<g/>
,
mit	w619
dem	w620
Beding	w621
<g/>
,
daß	w623
sie	w624
beständig	w625
zu	w626
Mal=ta	w627
<g/>
=
bleiben	w629
<g/>
,
und	w631
die	w632
Soldaten	w633
jederzeit	w634
die	w635
Eigenschaft	w636
toskanischer	w637
Unterthanen	w638
beybehalten	w639
sollen	w640
<g/>
.
Der	w642
Ritter	w643
Baldinot=ti	w644
<g/>
=
hat	w646
besagte	w647
Kompagnie	w648
auf	w649
einem	w650
ra=gusischen	w651
<g/>
=
Schiffe	w653
nach	w654
der	w655
Jnsel	w656
abgeführt	w657
<g/>
.
</p>
<head id="hl5">
Paris	w659
<g/>
,
den	w661
15	w662
<g/>
.
Heumon	w664
<g/>
.
</head>
<p id="p16">
Die	w666
kalte	w667
mit	w668
beständigen	w669
Regen	w670
ver=mischte	w671
<g/>
=
Witterung	w673
<g/>
,
welche	w675
wir	w676
schon	w677
seit	w678
3	w679
Monaten	w680
haben	w681
<g/>
,
verursachet	w683
grossen	w684
Mis=wachs	w685
<g/>
=
und	w687
Theurung	w688
<g/>
.
Die	w690
Lebensmittel	w691
sind	w692
schon	w693
stark	w694
über	w695
den	w696
gewöhnlichen	w697
Preise	w698
gestiegen	w699
<g/>
,
und	w701
im	w702
Kurzen	w703
dürfte	w704
die	w705
Noth	w706
noch	w707
weit	w708
grösser	w709
werden	w710
<g/>
.
</p>
<p id="p17">
Am	w712
10	w713
<g/>
.
dieses	w715
sind	w716
ein	w717
hiesiger	w718
Bäcker	w719
<g/>
,
und	w721
sein	w722
Weib	w723
<g/>
,
welche	w725
einen	w726
Viehhänd=ler	w727
<g/>
=
ermordet	w729
<g/>
,
und	w731
bestohlen	w732
hatten	w733
<g/>
,
je=ner	w735
<g/>
=
mit	w737
dem	w738
Rade	w739
<g/>
,
diese	w741
aber	w742
mit	w743
dem	w744
Strange	w745
hingerichtet	w746
worden	w747
<g/>
.
</p>
<p id="p18">
Man	w749
vernimmt	w750
aus	w751
Boston	w752
<g/>
,
daß	w754
der	w755
Herr	w756
de	w757
la	w758
Quintinie	w759
<g/>
,
welcher	w761
nach	w762
Ame=rika	w763
<g/>
=
gegangen	w765
<g/>
,
um	w767
unter	w768
den	w769
Kolonisten	w770
zu	w771
dienen	w772
<g/>
,
daselbst	w774
wohl	w775
empfangen	w776
<g/>
,
und	w778
ihm	w779
sogleich	w780
ein	w781
Regiment	w782
anvertraut	w783
wor=den	w784
<g/>
=
<g/>
,
welches	w787
für	w788
beständig	w789
seinen	w790
Namen	w791
führen	w792
wird	w793
<g/>
.
</p>
<p id="p19">
Ein	w795
Junge	w796
von	w797
12	w798
bis	w799
14	w800
Jahren	w801
hatte	w802
der	w803
Hinrichtung	w804
des	w805
Desrues	w806
zugesehen	w807
<g/>
.
Als	w809
der	w810
Missethäter	w811
geradbrecht	w812
wurde	w813
<g/>
,
fiel	w815
er	w816
in	w817
eine	w818
Ohnmacht	w819
<g/>
,
und	w821
seit	w822
die=sem	w823
<g/>
=
Augenblicke	w825
steht	w826
er	w827
in	w828
dem	w829
Wahne	w830
<g/>
,
daß	w832
ihm	w833
alle	w834
Glieder	w835
zerbrochen	w836
worden	w837
<g/>
.
Er	w839
leidet	w840
dabey	w841
unsägliche	w842
Schmerzen	w843
<g/>
,
und	w845
am	w846
ganzen	w847
Leibe	w848
zeigen	w849
sich	w850
kleine	w851
schwarzgelbe	w852
Flecken	w853
<g/>
.
Die	w855
Aerzte	w856
ver=zweifeln	w857
<g/>
=
an	w859
seiner	w860
Heilung	w861
<g/>
.
</p>
<p id="p20">
Beede	w863
königl	w864
<g/>
.
Majestäten	w866
haben	w867
den	w868
Heirathsvertrag	w869
des	w870
Grafens	w871
von	w872
Choi=seul	w873
<g/>
=
d’Aillecourt	w875
mit	w876
Mademoiselle	w877
Du=cray	w878
<g/>
=
zu	w880
unterzeichnen	w881
geruhet	w882
<g/>
.
Weil	w884
die	w885
Königinn	w886
neuerdings	w887
mit	w888
einem	w889
kleinen	w890
</p>
<p id="p21">
Fieber	w891
befallen	w892
worden	w893
<g/>
,
so	w895
hat	w896
der	w897
Kö=nig	w898
<g/>
=
die	w900
Reise	w901
nach	w902
Kompiegne	w903
eingestellt	w904
<g/>
.
</p>
<p id="p22">
Am	w906
28	w907
<g/>
.
des	w909
vorigen	w910
Monates	w911
langte	w912
Monsieur	w913
zu	w914
Cette	w915
in	w916
Niederlangue=doc	w917
<g/>
=
an	w919
<g/>
,
und	w921
ward	w922
bey	w923
dem	w924
Eintritt	w925
in	w926
die	w927
für	w928
ihn	w929
zubereitete	w930
Wohnung	w931
von	w932
dem	w933
Erzbischoffe	w934
von	w935
Narbonne	w936
<g/>
,
Landschafts=präsidenten	w938
<g/>
=
<g/>
,
den	w941
Marquisen	w942
von	w943
Caloi=ßen	w944
<g/>
=
ßen	w946
<g/>
,
und	w948
Mont	w949
Ferrier	w950
<g/>
,
ständischen	w952
Ver=ordneten	w953
<g/>
=
<g/>
,
und	w956
dem	w957
Syndikus	w958
empfangen	w959
<g/>
.
Man	w961
hatte	w962
zur	w963
Belustigung	w964
dieses	w965
Prin=zens	w966
<g/>
=
in	w968
dem	w969
Kanale	w970
<g/>
,
der	w972
zu	w973
den	w974
Haven	w975
führt	w976
<g/>
,
ein	w978
sogenanntes	w979
Schifferstechen	w980
an=geordnet	w981
<g/>
=
<g/>
.
Die	w984
Flotille	w985
bestand	w986
aus	w987
60	w988
auf	w989
das	w990
niedlichste	w991
ausgezierten	w992
kleinen	w993
Nachen	w994
<g/>
,
und	w996
Monsieur	w997
bezeigte	w998
darüber	w999
ein	w1000
sonderliches	w1001
Wohlgefallen	w1002
<g/>
.
Abends	w1004
ward	w1005
ein	w1006
prächtiges	w1007
Lustfeuer	w1008
abgebrannt	w1009
<g/>
.
Tages	w1011
darauf	w1012
setzte	w1013
der	w1014
Prinz	w1015
seine	w1016
Reise	w1017
nach	w1018
Montpellier	w1019
fort	w1020
<g/>
.
Zu	w1022
St	w1023
<g/>
.
Valery	w1025
<g/>
,
hat	w1027
ein	w1028
entsetzlicher	w1029
Sturmwind	w1030
grossen	w1031
Schaden	w1032
verursacht	w1033
<g/>
.
</p>
<p id="p23">
Aus	w1035
der	w1036
Provence	w1037
wird	w1038
geschrieben	w1039
<g/>
,
daß	w1041
der	w1042
Herr	w1043
Reichsgraf	w1044
von	w1045
Falkenstein	w1046
am	w1047
2	w1048
<g/>
.
dieses	w1050
zu	w1051
Toulon	w1052
eingetroffen	w1053
<g/>
,
und	w1055
den	w1056
5	w1057
<g/>
.
als	w1059
den	w1060
Tag	w1061
nach	w1062
der	w1063
An=kunft	w1064
<g/>
=
des	w1066
Monsieur	w1067
<g/>
,
wieder	w1069
abgereiset	w1070
sey	w1071
<g/>
.
Sobald	w1073
dieser	w1074
letztere	w1075
sich	w1076
wird	w1077
ent=fernt	w1078
<g/>
=
haben	w1080
<g/>
,
sollen	w1082
die	w1083
Kriegsschiffe	w1084
<g/>
,
der	w1086
Cäsar	w1087
<g/>
,
und	w1089
der	w1090
Löw	w1091
<g/>
,
nebst	w1093
einer	w1094
Fre=gatte	w1095
<g/>
=
<g/>
,
in	w1098
die	w1099
See	w1100
stechen	w1101
<g/>
.
Jhre	w1103
Bestim=mung	w1104
<g/>
=
ist	w1106
unbekannt	w1107
<g/>
.
Sie	w1109
nehmen	w1110
aber	w1111
Lebensmittel	w1112
auf	w1113
6	w1114
Monate	w1115
mit	w1116
sich	w1117
<g/>
.
Man	w1119
sieht	w1120
hier	w1121
eine	w1122
königl	w1123
<g/>
.
Verordnung	w1125
vom	w1126
2	w1127
<g/>
.
Brachmon	w1129
<g/>
.
so	w1131
das	w1132
Provinzialregiment	w1133
der	w1134
Jnsul	w1135
Korsika	w1136
betrifft	w1137
<g/>
.
Der	w1139
König	w1140
gibt	w1141
diesem	w1142
Korps	w1143
eine	w1144
zweckmäßigere	w1145
Ein=richtung	w1146
<g/>
=
<g/>
.
Laut	w1149
den	w1150
1	w1151
<g/>
.
Artikel	w1153
wird	w1154
die=ses	w1155
<g/>
=
Regiment	w1157
aus	w1158
2	w1159
Bataillonen	w1160
in	w1161
10	w1162
Kompagnien	w1163
bestehen	w1164
<g/>
.
Acht	w1166
davon	w1167
sind	w1168
Fusilierer	w1169
<g/>
,
eine	w1171
ist	w1172
eine	w1173
Grenadier	w1174
<g/>
=
eine	w1176
andere	w1177
die	w1178
Jägerkompagnie	w1179
<g/>
.
Die	w1181
drey	w1182
folgenden	w1183
Artikel	w1184
bestimmen	w1185
die	w1186
Anzahl	w1187
der	w1188
Offiziere	w1189
<g/>
.
Nach	w1191
dem	w1192
5	w1193
<g/>
.
wird	w1195
die	w1196
Uni=forme	w1197
<g/>
=
noch	w1199
fernershin	w1200
in	w1201
einer	w1202
Weste	w1203
vom	w1204
braunen	w1205
Tuch	w1206
<g/>
,
mit	w1208
kleinen	w1209
zugemachten	w1210
Aufschlägen	w1211
<g/>
,
einem	w1213
kleinen	w1214
grünen	w1215
Hals=kragen	w1216
<g/>
=
<g/>
,
mit	w1219
brauner	w1220
Sarsche	w1221
gefüttert	w1222
<g/>
,
in	w1224
einem	w1225
grünen	w1226
Wammes	w1227
ohne	w1228
Taschen	w1229
<g/>
,
</p>
<p id="p24">
in	w1231
Beinkleidern	w1232
von	w1233
eben	w1234
dieser	w1235
Farbe	w1236
<g/>
,
gelbledernen	w1238
Kamaschen	w1239
<g/>
,
einem	w1241
auf	w1242
korsi=kanisch	w1243
<g/>
=
zugeschnittenen	w1245
Hut	w1246
bestehen	w1247
<g/>
.
Die	w1249
Trommelschläger	w1250
behalten	w1251
die	w1252
kleine	w1253
Livree	w1254
des	w1255
Königs	w1256
<g/>
.
Jhre	w1258
Waffen	w1259
sind	w1260
eine	w1261
Jagd=flinte	w1262
<g/>
=
<g/>
,
ohne	w1265
Bayonnete	w1266
<g/>
,
eine	w1268
in	w1269
die	w1270
Gür=tel	w1271
<g/>
=
gesteckte	w1273
Pistole	w1274
<g/>
,
und	w1276
ein	w1277
Säbel	w1278
<g/>
.
Die	w1280
Unteroffiziers	w1281
<g/>
,
Grenadiers	w1283
<g/>
,
Jäger	w1285
<g/>
,
Fi=siliers	w1287
<g/>
=
<g/>
,
und	w1290
Trommelschläger	w1291
bekommen	w1292
täglich	w1293
drey	w1294
Sols	w1295
mehr	w1296
<g/>
,
als	w1298
die	w1299
übrigen	w1300
Jnfanteristen	w1301
<g/>
,
doch	w1303
kein	w1304
Brod	w1305
<g/>
.
Jn	w1307
den	w1308
übrigen	w1309
Artikeln	w1310
<g/>
,
deren	w1312
36	w1313
sind	w1314
<g/>
,
werden	w1316
die	w1317
übrigen	w1318
zur	w1319
innerlichen	w1320
Verfassung	w1321
des	w1322
Regiments	w1323
gehörige	w1324
Punkte	w1325
berichtiget	w1326
<g/>
.
Se	w1328
<g/>
.
Majestät	w1330
haben	w1331
den	w1332
Grafen	w1333
Ruffo	w1334
<g/>
,
Generalquartiermeisters	w1336
Adjutanten	w1337
in	w1338
Korsika	w1339
zum	w1340
zweyten	w1341
Obersten	w1342
über	w1343
die=ses	w1344
<g/>
=
Regiment	w1346
bestellt	w1347
<g/>
.
</p>
<p id="p25">
Eben	w1349
läuft	w1350
folgende	w1351
Nachricht	w1352
aus	w1353
Tou=lon	w1354
<g/>
=
unterm	w1356
6	w1357
<g/>
.
dieses	w1359
ein	w1360
<g/>
.
</p>
<p id="p26">
Der	w1362
Herr	w1363
Reichsgraf	w1364
von	w1365
Falkenstein	w1366
traf	w1367
am	w1368
2	w1369
<g/>
.
dieses	w1371
gegen	w1372
Abend	w1373
hier	w1374
ein	w1375
<g/>
,
am	w1377
folgenden	w1378
Tage	w1379
besah	w1380
derselbe	w1381
in	w1382
Be=gleitung	w1383
<g/>
=
des	w1385
Marquis	w1386
von	w1387
S	w1388
<g/>
.
Aignan	w1390
<g/>
,
und	w1392
des	w1393
Ritters	w1394
von	w1395
Fabry	w1396
die	w1397
hiesigen	w1398
Sei=lerstätte	w1399
<g/>
=
<g/>
,
und	w1402
sodann	w1403
den	w1404
Artilleriepark	w1405
<g/>
,
wo	w1407
er	w1408
sich	w1409
einschiffte	w1410
<g/>
,
um	w1412
das	w1413
Lazareth	w1414
von	w1415
S	w1416
<g/>
.
Mandrie	w1418
in	w1419
Augenschein	w1420
zu	w1421
neh=men	w1422
<g/>
=
<g/>
.
Bey	w1425
seiner	w1426
Wiederkunft	w1427
in	w1428
den	w1429
Ha=ven	w1430
<g/>
=
<g/>
,
ließ	w1433
er	w1434
sich	w1435
das	w1436
Kriegsschiff	w1437
<g/>
,
Lan=guedoc	w1439
<g/>
=
zeigen	w1441
<g/>
,
und	w1443
kehrte	w1444
darauf	w1445
nach	w1446
Hause	w1447
<g/>
.
Nachmittags	w1449
gieng	w1450
der	w1451
Hr	w1452
<g/>
.
Reichs=graf	w1454
<g/>
=
an	w1456
Bord	w1457
der	w1458
Schebecke	w1459
Cameleon	w1460
<g/>
,
so	w1462
unter	w1463
dem	w1464
Befehle	w1465
des	w1466
Ritters	w1467
de	w1468
Bras	w1469
steht	w1470
<g/>
,
und	w1472
bald	w1473
hernach	w1474
sah	w1475
er	w1476
den	w1477
Kriegs=übungen	w1478
<g/>
=
<g/>
,
welche	w1481
das	w1482
Regiment	w1483
Navarre	w1484
auf	w1485
dem	w1486
sogenannten	w1487
Marsfelde	w1488
im	w1489
Feuer	w1490
machte	w1491
<g/>
,
zu	w1493
<g/>
.
</p>
<p id="p27">
Am	w1495
4	w1496
<g/>
.
gefiel	w1498
es	w1499
dem	w1500
Herrn	w1501
Reichsgra=fen	w1502
<g/>
=
<g/>
,
die	w1505
Schanze	w1506
la	w1507
Maigue	w1508
zu	w1509
besichti=gen	w1510
<g/>
=
<g/>
,
und	w1513
bey	w1514
seiner	w1515
Zurückkunft	w1516
den	w1517
Hrn	w1518
<g/>
.
Grognard	w1520
<g/>
,
dasigen	w1522
grossen	w1523
Kunsterfahr=nen	w1524
<g/>
=
<g/>
,
welcher	w1527
im	w1528
Meere	w1529
einen	w1530
Platz	w1531
ge=baut	w1532
<g/>
=
hat	w1534
<g/>
,
woselbst	w1536
die	w1537
größten	w1538
Schiffe	w1539
ausgebessert	w1540
werden	w1541
können	w1542
<g/>
,
mit	w1544
einem	w1545
Besuche	w1546
zu	w1547
beehren	w1548
<g/>
.
Nachmittags	w1550
begab	w1551
sich	w1552
der	w1553
hohe	w1554
Fremde	w1555
nach	w1556
den	w1557
hierischen	w1558
Eiländern	w1559
<g/>
.
</p>
<p id="p28">
An	w1561
eben	w1562
diesem	w1563
Tage	w1564
Abends	w1565
nach	w1566
8	w1567
</p>
<p id="p29">
Uhr	w1568
langte	w1569
Monsieur	w1570
an	w1571
<g/>
,
und	w1573
verfügte	w1574
sich	w1575
unter	w1576
Lösung	w1577
des	w1578
sämmtlichen	w1579
gro=ben	w1580
<g/>
=
Geschützes	w1582
<g/>
,
nach	w1584
dem	w1585
Pallaste	w1586
des	w1587
Mar=quis	w1588
<g/>
=
de	w1590
S	w1591
<g/>
.
Aignan	w1593
<g/>
.
Die	w1595
Hauptgasse	w1596
war	w1597
mit	w1598
Tapeten	w1599
ausgeschmückt	w1600
und	w1601
beleuchtet	w1602
<g/>
.
</p>
<p id="p30">
Gestern	w1604
ward	w1605
das	w1606
Kriegsschiff	w1607
<g/>
,
Kato	w1609
<g/>
,
in	w1611
Gegenwart	w1612
dieses	w1613
Prinzen	w1614
ins	w1615
Wasser	w1616
gelassen	w1617
<g/>
.
Man	w1619
hatte	w1620
Schaugerüste	w1621
er=baut	w1622
<g/>
=
<g/>
.
Auf	w1625
einem	w1626
derselben	w1627
befand	w1628
sich	w1629
der	w1630
Herr	w1631
Reichsgraf	w1632
von	w1633
Falkenstein	w1634
<g/>
,
welcher	w1636
mit	w1637
Monsieur	w1638
bey	w1639
dem	w1640
Marquis	w1641
von	w1642
St	w1643
<g/>
.
Aignan	w1645
zu	w1646
Mittag	w1647
speisete	w1648
<g/>
,
und	w1650
nach	w1651
aufgehobener	w1652
Tafel	w1653
in	w1654
Begleitung	w1655
dieses	w1656
Prinzen	w1657
nach	w1658
dem	w1659
sogenannten	w1660
grossen	w1661
Thurme	w1662
abfuhr	w1663
<g/>
.
Mittler	w1665
Weile	w1666
hatte	w1667
sich	w1668
das	w1669
Regiment	w1670
von	w1671
Navarra	w1672
auf	w1673
einigen	w1674
Schaluppen	w1675
eingeschiffet	w1676
<g/>
,
um	w1678
eine	w1679
Landung	w1680
zu	w1681
wagen	w1682
<g/>
,
und	w1684
den	w1685
grossen	w1686
Thurm	w1687
anzugreifen	w1688
<g/>
.
Das	w1690
Re=giment	w1691
<g/>
=
von	w1693
Foix	w1694
leistete	w1695
am	w1696
Ufer	w1697
Wider=stand	w1698
<g/>
=
<g/>
,
das	w1701
Gefechte	w1702
ward	w1703
beyderseits	w1704
nach	w1705
allen	w1706
Regeln	w1707
der	w1708
Kriegskunst	w1709
unternom=men	w1710
<g/>
=
<g/>
.
Lange	w1713
Zeit	w1714
schien	w1715
der	w1716
Sieg	w1717
zwei=felhaft	w1718
<g/>
=
<g/>
,
bis	w1721
er	w1722
sich	w1723
endlich	w1724
für	w1725
das	w1726
Re=giment	w1727
<g/>
=
von	w1729
Foix	w1730
erklärte	w1731
<g/>
,
welches	w1733
seinen	w1734
Feind	w1735
nöthigte	w1736
<g/>
,
sich	w1738
eiligst	w1739
wieder	w1740
in	w1741
die	w1742
Schaluppen	w1743
zu	w1744
werfen	w1745
<g/>
,
und	w1747
davon	w1748
zu	w1749
fahren	w1750
<g/>
.
</p>
<p id="p31">
Den	w1752
3	w1753
<g/>
.
dieses	w1755
wurde	w1756
das	w1757
Marquisat	w1758
Russec	w1759
in	w1760
der	w1761
Provinz	w1762
Angoumois	w1763
von	w1764
einem	w1765
der	w1766
heftigsten	w1767
Sturmwinde	w1768
ver=heert	w1769
<g/>
=
<g/>
.
Die	w1772
dickesten	w1773
Bäume	w1774
<g/>
,
und	w1776
vor=züglich	w1777
<g/>
=
die	w1779
Nuß	w1780
<g/>
=
Kirschen	w1782
<g/>
=
und	w1784
Kasta=nienbäume	w1785
<g/>
=
wurden	w1787
dadurch	w1788
entweder	w1789
ab=gebrochen	w1790
<g/>
=
<g/>
,
oder	w1793
aus	w1794
den	w1795
Wurzeln	w1796
ge=rissen	w1797
<g/>
=
<g/>
.
Durch	w1800
ihre	w1801
gewaltsame	w1802
Hinschleu=derung	w1803
<g/>
=
auf	w1805
die	w1806
Felder	w1807
<g/>
,
oder	w1809
Strassen	w1810
wurden	w1811
manche	w1812
Ochsen	w1813
getödtet	w1814
<g/>
,
und	w1816
man	w1817
fürchtet	w1818
nicht	w1819
ohne	w1820
Grund	w1821
derglei=chen	w1822
<g/>
=
Unglück	w1824
auch	w1825
von	w1826
Leuten	w1827
zu	w1828
ver=nehmen	w1829
<g/>
=
<g/>
.
Die	w1832
auf	w1833
den	w1834
Feldern	w1835
noch	w1836
ge=standenen	w1837
<g/>
=
Saaten	w1839
wurden	w1840
