<doc id="wr_1762-04-21" attrs="word" year="1762" month="04" day="21" corpus="2">
<head id="h2_d649e3413">
Madrit	w1_d649e3417
nehmen	w7_d649e3800
sollen.	w9_d649e3803
Nichtwent	w11_d649e3806
ger	w1_d649e3811
haben	w3_d649e3814
auch	w5_d649e3817
die	w7_d649e3820
Herren	w9_d649e3823
Generals	w11_d649e3826
die	w13_d649e3830
</p>
<p id="p6_d649e3833">
letzten	w1_d649e3837
Befehle	w3_d649e3840
empfangen,	w5_d649e3843
und	w7_d649e3846
man	w9_d649e3849
hat	w11_d649e3852
ihnen	w1_d649e3857
ebenfalls	w3_d649e3860
den	w5_d649e3863
Tag	w7_d649e3866
angezeiget,	w9_d649e3869
an	w11_d649e3872
de	w13_d649e3876
me	w1_d649e3881
sie	w3_d649e3884
sich	w5_d649e3887
auf	w7_d649e3890
ihrer	w9_d649e3893
Bestimmung	w11_d649e3896
einfinden	w13_d649e3900
mögten.	w1_d649e3906
Einige	w3_d649e3909
von	w5_d649e3912
denen,	w7_d649e3915
die	w9_d649e3918
hier	w11_d649e3921
ge	w13_d649e3925
wesen,	w1_d649e3930
sind	w3_d649e3933
bereits	w5_d649e3936
nach	w7_d649e3939
Zamora	w9_d649e3942
aufgebro	w11_d649e3945
chen;	w1_d649e3950
allein	w3_d649e3953
zu	w5_d649e3956
welcher	w7_d649e3959
Zeit	w9_d649e3962
eigentlich	w11_d649e3965
die	w13_d649e3969
Feld=operationen	w1_d649e3974
ihren	w3_d649e3977
Anfang	w5_d649e3980
nehmen	w7_d649e3983
sol	w9_d649e3986
len,	w1_d649e3992
kan	w3_d649e3995
noch	w5_d649e3998
niemand	w7_d649e4001
sagen.	w9_d649e4004
Zu	w11_d649e4007
Sevil	w13_d649e4011
le	w1_d649e4016
arbeitet	w3_d649e4019
man	w5_d649e4022
mit	w7_d649e4025
vielem	w9_d649e4028
Fleiß	w11_d649e4031
in	w13_d649e4035
dem	w15_d649e4038
da	w17_d649e4041
sigen	w1_d649e4046
Zeug=haus,	w3_d649e4049
und	w5_d649e4052
in	w7_d649e4055
der	w9_d649e4058
Güsserey	w11_d649e4061
rü	w13_d649e4065
stet	w1_d649e4070
man	w3_d649e4073
einige	w5_d649e4076
Züge	w7_d649e4079
von	w9_d649e4082
verschiedener	w11_d649e4085
Ar	w13_d649e4089
tillerie.	w1_d649e4095
Da	w3_d649e4098
sind	w5_d649e4101
eine	w7_d649e4104
Menge	w9_d649e4107
Arbeiter,	w11_d649e4110
die	w13_d649e4114
einander	w1_d649e4119
alle	w3_d649e4122
Tage	w5_d649e4125
ablösen,	w7_d649e4128
und	w9_d649e4131
bereits	w11_d649e4134
sind	w13_d649e4138
von	w1_d649e4143
ermeldetem	w3_d649e4146
Seville	w5_d649e4149
eine	w7_d649e4152
grosse	w9_d649e4155
Anzahl	w11_d649e4158
Kärren	w1_d649e4163
mit	w3_d649e4166
Kugeln,	w5_d649e4169
Canonen,	w7_d649e4172
und	w9_d649e4175
anderer	w11_d649e4178
Kriegs=munition	w1_d649e4184
abgegangen.	w3_d649e4187
</p>
<p id="p8_d649e4190">
Wir	w1_d649e4194
hören	w3_d649e4197
aus	w5_d649e4200
America,	w7_d649e4203
daß	w9_d649e4206
die	w11_d649e4209
Stadt	w13_d649e4213
Carthagena	w1_d649e4218
von	w3_d649e4221
einer	w5_d649e4224
grausamen	w7_d649e4227
Erder	w9_d649e4230
schütterung	w1_d649e4235
seye	w3_d649e4238
heimgesuchet	w5_d649e4241
worden,	w7_d649e4244
wo	w9_d649e4247
</p>
<p id="p14_d649e4261">
durch	w1_d649e4265
zwey	w3_d649e4268
Drittel	w5_d649e4271
derselben	w7_d649e4274
zu	w9_d649e4277
Hauffen	w11_d649e4280
ge	w13_d649e4284
fallen,	w1_d649e4289
und	w3_d649e4292
der	w5_d649e4295
Hafen	w7_d649e4298
gänzlich	w9_d649e4301
verschüttet	w11_d649e4304
worden.	w1_d649e4309
Man	w3_d649e4312
erwartet	w5_d649e4315
eine	w7_d649e4318
weitläuftige	w9_d649e4321
re	w1_d649e4327
Beschreibung	w3_d649e4330
von	w5_d649e4333
diesem	w7_d649e4336
traurigen	w9_d649e4339
Zu	w11_d649e4342
fall.	w1_d649e4347
</p>
<head id="h2_d649e4353">
Versailles	w1_d649e4357
3.	w3_d649e4360
April.	w5_d649e4363
</head>
<p id="p4_d649e4366">
Der	w1_d649e4370
vor	w3_d649e4373
etlichen	w5_d649e4376
Wochen	w7_d649e4379
aus	w9_d649e4382
Dänne	w11_d649e4385
mark	w1_d649e4390
mit	w3_d649e4393
einem	w5_d649e4396
geheimen	w7_d649e4399
Auftrag	w9_d649e4402
allhier	w11_d649e4405
angelangte	w1_d649e4410
Freyherr	w3_d649e4413
von	w5_d649e4416
Bernsdorf,	w7_d649e4419
reisete	w9_d649e4422
den	w1_d649e4428
27.	w3_d649e4431
Martii	w5_d649e4434
wieder	w7_d649e4437
nach	w9_d649e4440
Coppenhagen	w11_d649e4443
ab.	w1_d649e4448
Man	w3_d649e4451
versichert:	w5_d649e4454
daß	w7_d649e4457
der	w9_d649e4460
Hr.	w11_d649e4463
von	w13_d649e4467
Cremille	w1_d649e4472
in	w3_d649e4475
dem	w5_d649e4478
nächsten	w7_d649e4481
Feldzug	w9_d649e4484
den	w11_d649e4487
Prin	w13_d649e4491
zen	w1_d649e4496
von	w3_d649e4499
Conde	w5_d649e4502
begleiten	w7_d649e4505
werde.	w9_d649e4508
Dieser	w11_d649e4511
jun	w13_d649e4515
ge	w1_d649e4521
Held	w3_d649e4524
soll	w5_d649e4527
ein	w7_d649e4530
eigenes	w9_d649e4533
Corps	w11_d649e4536
an	w13_d649e4540
dem	w15_d649e4543
Nie	w17_d649e4546
der=rheine	w1_d649e4551
commandiren,	w3_d649e4554
und	w5_d649e4557
der	w7_d649e4560
Prinz	w9_d649e4563
von	w11_d649e4566
Beauvau	w1_d649e4571
15000.	w3_d649e4574
Franzosen	w5_d649e4577
nach	w7_d649e4580
Spanien	w9_d649e4583
führen.	w1_d649e4588
Der	w3_d649e4591
Hr.	w5_d649e4594
General=leutenant	w7_d649e4597
und	w9_d649e4600
Obriste	w1_d649e4606
eines	w3_d649e4609
Schweitzer=regiments	w5_d649e4612
gleichen	w7_d649e4615
Namens,	w1_d649e4620
Hr.	w3_d649e4623
von	w5_d649e4626
Castella,	w7_d649e4629
wurde	w9_d649e4632
Com	w11_d649e4635
mandeur	w1_d649e4640
des	w3_d649e4643
Kriegs=ordens	w5_d649e4646
von	w7_d649e4649
dem	w9_d649e4652
heili	w11_d649e4655
gen	w1_d649e4660
Ludwig	w3_d649e4663
mit	w5_d649e4666
einer	w7_d649e4669
jährlichen	w9_d649e4672
Pension	w11_d649e4675
von	w13_d649e4679
3000.	w1_d649e4685
Livres.	w3_d649e4688
</p>
<head id="h2_d649e4694">
Londen	w1_d649e4698
2.	w3_d649e4701
April.	w5_d649e4704
</head>
<p id="p4_d649e4707">
Noch	w1_d649e4711
ehe	w3_d649e4714
der	w5_d649e4717
Krieg	w7_d649e4720
zwischen	w9_d649e4723
England	w11_d649e4726
und	w13_d649e4730
Spanien	w1_d649e4735
ausgebrochen,	w3_d649e4738
hatten	w5_d649e4741
die	w7_d649e4744
Fran	w9_d649e4747
zosen	w1_d649e4752
in	w3_d649e4755
St.	w5_d649e4758
Domingo	w7_d649e4761
mit	w9_d649e4764
einander	w11_d649e4767
verab	w13_d649e4771
redet,	w1_d649e4777
in	w3_d649e4780
Gemeinschaft	w5_d649e4783
mit	w7_d649e4786
der	w9_d649e4789
in	w11_d649e4792
Westin	w13_d649e4796
dien	w1_d649e4801
befindlichen	w3_d649e4804
Spanischen	w5_d649e4807
Macht	w7_d649e4810
die	w9_d649e4813
Jn	w11_d649e4816
sel	w1_d649e4821
Jamaica	w3_d649e4824
anzugreiffen.	w5_d649e4827
Der	w7_d649e4830
Zeit=punct	w9_d649e4833
dieses	w1_d649e4838
Anschlags	w3_d649e4841
erhellet	w5_d649e4844
aus	w7_d649e4847
den	w9_d649e4850
Brief	w11_d649e4853
schaften,	w1_d649e4859
welche	w3_d649e4862
wir	w5_d649e4865
unlängst	w7_d649e4868
am	w9_d649e4871
Bord	w11_d649e4874
eines	w1_d649e4879
von	w3_d649e4882
Hispaniola	w5_d649e4885
nach	w7_d649e4888
Bourdeaux	w9_d649e4891
abge	w11_d649e4894
gangene,	w1_d649e4899
aber	w3_d649e4902
zu	w5_d649e4905
Kingston,	w7_d649e4908
in	w9_d649e4911
Jamaica,	w11_d649e4914
auf	w13_d649e4918
gebrachten	w1_d649e4923
Französischen	w3_d649e4926
Avis=botes	w5_d649e4929
gefun	w7_d649e4932
den	w1_d649e4938
haben.	w3_d649e4941
Diese	w5_d649e4944
Briefe	w7_d649e4947
enthalten,	w9_d649e4950
daß	w11_d649e4953
6.	w1_d649e4958
Fregatten	w3_d649e4961
mit	w5_d649e4964
1200.	w7_d649e4967
Mann	w9_d649e4970
Soldaten	w11_d649e4973
zu	w1_d649e4978
Cap	w3_d649e4981
françois	w5_d649e4984
angelangt	w7_d649e4987
wären,	w9_d649e4990
und	w11_d649e4993
nur	w13_d649e4997
die	w1_d649e5002
Ankunft	w3_d649e5005
der	w5_d649e5008
Escadres	w7_d649e5011
aus	w9_d649e5014
Brest	w11_d649e5017
und	w13_d649e5021
Ro	w15_d649e5024
chefort	w1_d649e5030
erwarteten,	w3_d649e5033
um	w5_d649e5036
was	w7_d649e5039
Rechtschaffenes	w9_d649e5042
zu	w1_d649e5047
unternehmen;	w3_d649e5050
ferner,	w5_d649e5053
daß	w7_d649e5056
18.	w9_d649e5059
Spanische	w11_d649e5062
Schiffe	w1_d649e5067
von	w3_d649e5070
der	w5_d649e5073
Linie	w7_d649e5076
mit	w9_d649e5079
7000.	w11_d649e5082
Mann	w13_d649e5086
re	w15_d649e5089
quiirter	w1_d649e5094
Trupen	w3_d649e5097
aus	w5_d649e5100
Spanien	w7_d649e5103
in	w9_d649e5106
der	w11_d649e5109
Hava	w13_d649e5113
na	w1_d649e5119
angelanget	w3_d649e5122
wären.	w5_d649e5125
Auf	w7_d649e5128
diese	w9_d649e5131
Nachricht	w11_d649e5134
</p>
<p id="p6_d649e5137">
hat	w1_d649e5141
unser	w3_d649e5144
dasiger	w5_d649e5147
Gouverneur,	w7_d649e5150
Hr.	w9_d649e5153
Lyttleton,	w11_d649e5156
mit	w1_d649e5161
Zuziehung	w3_d649e5164
des	w5_d649e5167
Rahts	w7_d649e5170
daselbst,	w9_d649e5173
die	w11_d649e5176
ganze	w13_d649e5180
Jnsul	w1_d649e5185
in	w3_d649e5188
kriegerische	w5_d649e5191
Verfassung	w7_d649e5194
gesetzet.	w9_d649e5197
Commodore	w1_d649e5203
Forest,	w3_d649e5206
der	w5_d649e5209
seit	w7_d649e5212
dem	w9_d649e5215
Tod	w11_d649e5218
des	w13_d649e5222
Admirals	w1_d649e5227
Holmes,	w3_d649e5230
die	w5_d649e5233
Engländische	w7_d649e5236
Flotte	w9_d649e5239
allda	w1_d649e5244
commandirt,	w3_d649e5247
hat	w5_d649e5250
nicht	w7_d649e5253
nur	w9_d649e5256
dem	w11_d649e5259
Hrn.	w13_d649e5263
Rodney	w1_d649e5268
hievon	w3_d649e5271
Nachricht	w5_d649e5274
gegeben,	w7_d649e5277
der	w9_d649e5280
ihm	w1_d649e5286
mit	w3_d649e5289
10.	w5_d649e5292
Schiffen	w7_d649e5295
von	w9_d649e5298
Martinique	w11_d649e5301
aus	w13_d649e5305
zu	w1_d649e5310
Hülfe	w3_d649e5313
kommen	w5_d649e5316
wird,	w7_d649e5319
sondern	w9_d649e5322
er	w11_d649e5325
hat	w13_d649e5329
auch	w15_d649e5332
verschiedene	w1_d649e5337
Chaluppen	w3_d649e5340
ausgesandt,	w5_d649e5343
welche	w7_d649e5346
die	w1_d649e5351
feindlichen	w3_d649e5354
Verfassungen	w5_d649e5357
auf	w7_d649e5360
St.	w9_d649e5363
Do	w11_d649e5366
mingo	w1_d649e5372
und	w3_d649e5375
Cuba	w5_d649e5378
beobachten	w7_d649e5381
sollen.	w9_d649e5384
Ueber	w11_d649e5387
dies	w1_d649e5392
seynd	w3_d649e5395
mehr	w5_d649e5398
als	w7_d649e5401
30.	w9_d649e5404
Engländische	w11_d649e5407
Kriegs	w13_d649e5411
schiffe	w1_d649e5416
von	w3_d649e5419
der	w5_d649e5422
Linie	w7_d649e5425
in	w9_d649e5428
der	w11_d649e5431
Nähe	w13_d649e5435
von	w15_d649e5438
Ja	w17_d649e5441
maica,	w1_d649e5446
und,	w3_d649e5449
wofern	w5_d649e5452
Lord	w7_d649e5455
Albermarle	w9_d649e5458
bereits,	w11_d649e5461
wie	w1_d649e5467
zu	w3_d649e5470
vermuten,	w5_d649e5473
auf	w7_d649e5476
dieser	w9_d649e5479
Jnsul	w11_d649e5482
angelan	w13_d649e5486
get,	w1_d649e5491
so	w3_d649e5494
haben	w5_d649e5497
wir	w7_d649e5500
6000.	w9_d649e5503
Mann	w11_d649e5506
regulirter	w13_d649e5510
Trupen	w1_d649e5515
daselbst	w3_d649e5518
stehen.	w5_d649e5521
</p>
<p id="p8_d649e5524">
Lord	w1_d649e5528
Loudon	w3_d649e5531
wird	w5_d649e5534
nächstens	w7_d649e5537
einer	w9_d649e5540
an	w11_d649e5543
sehnlichen	w1_d649e5548
Anzahl	w3_d649e5551
Officiers,	w5_d649e5554
die	w7_d649e5557
bereits	w9_d649e5560
ab	w11_d649e5563
gegangen	w1_d649e5568
sind,	w3_d649e5571
nach	w5_d649e5574
Portugal	w7_d649e5577
folgen.	w9_d649e5580
Sechs	w11_d649e5583
Regimenter	w1_d649e5589
haben	w3_d649e5592
Ordre,	w5_d649e5595
sich	w7_d649e5598
nach	w9_d649e5601
Fal	w11_d649e5604
mouth	w1_d649e5609
zu	w3_d649e5612
begeben,	w5_d649e5615
um	w7_d649e5618
nach	w9_d649e5621
besagtem	w11_d649e5624
Kö	w13_d649e5628
nigreiche	w1_d649e5633
abgeschift	w3_d649e5636
zu	w5_d649e5639
werden.	w7_d649e5642
Ein	w9_d649e5645
am	w11_d649e5648
23sten	w1_d649e5653
Mart.	w3_d649e5656
aus	w5_d649e5659
Lissabon	w7_d649e5662
angekommener	w9_d649e5665
Courier	w1_d649e5671
hat	w3_d649e5674
die	w5_d649e5677
Versicherung	w7_d649e5680
mitgebracht,	w9_d649e5683
daß	w1_d649e5688
Se.	w3_d649e5691
Allergetreuste	w5_d649e5694
Majestät	w7_d649e5697
sich	w9_d649e5700
gegen	w11_d649e5703
den	w1_d649e5708
Catholischen	w3_d649e5711
König	w5_d649e5714
neutral	w7_d649e5717
erkläret	w9_d649e5720
hät	w11_d649e5723
ten,	w1_d649e5728
da	w3_d649e5731
ihn	w5_d649e5734
kein	w7_d649e5737
Bündniß	w9_d649e5740
zwinge,	w11_d649e5743
eine	w13_d649e5747
oder	w1_d649e5753
andere	w3_d649e5756
Parthey	w5_d649e5759
in	w7_d649e5762
diesem	w9_d649e5765
Kriege	w11_d649e5768
zu	w13_d649e5772
ergreifen.	w1_d649e5777
Dieser	w3_d649e5780
Declaration	w5_d649e5783
aber	w7_d649e5786
ist	w9_d649e5789
der	w11_d649e5792
nachdrückliche	w1_d649e5797
Schluß	w3_d649e5800
angehängt:	w5_d649e5803
"Sollte	w7_d649e5806
aber	w1_d649e5811
Portugal	w3_d649e5814
durch	w5_d649e5817
einige	w7_d649e5820
Gewalt	w9_d649e5823
genöh	w11_d649e5826
tiget	w1_d649e5832
werden,	w3_d649e5835
von	w5_d649e5838
der	w7_d649e5841
ergriffenen	w9_d649e5844
Neutras	w11_d649e5847
lität	w1_d649e5852
abzuweichen,	w3_d649e5855
so	w5_d649e5858
wird	w7_d649e5861
es	w9_d649e5864
sich	w11_d649e5867
aus	w13_d649e5871
al	w15_d649e5874
ler	w1_d649e5879
Macht	w3_d649e5882
zu	w5_d649e5885
widersetzen	w7_d649e5888
wissen.,	w9_d649e5891
Auf	w1_d649e5896
der	w1_d649e5902
andern	w3_d649e5905
Seite	w5_d649e5908
hat	w7_d649e5911
unser	w9_d649e5914
Hof,	w11_d649e5917
wie	w13_d649e5921
es	w15_d649e5924
heist,	w1_d649e5929
dem	w3_d649e5932
zu	w5_d649e5935
Madrid	w7_d649e5938
ankündigen	w9_d649e5941
lassen.	w11_d649e5944
daß,	w1_d649e5949
sobald	w3_d649e5952
Portugal	w5_d649e5955
von	w7_d649e5958
Spanien	w9_d649e5961
ange	w11_d649e5964
griffen	w1_d649e5969
würde,	w3_d649e5972
eine	w5_d649e5975
Englische	w7_d649e5978
Escadre	w9_d649e5981
die	w11_d649e5984
Stadt	w1_d649e5990
Neapolis	w3_d649e5993
und	w5_d649e5996
andere	w7_d649e5999
See=städte	w9_d649e6002
Siciliens	w1_d649e6007
bombardiren	w3_d649e6010
sollte.	w5_d649e6013
Lord	w7_d649e6016
Ty	w9_d649e6019
</p>
<p id="p14_d649e6033">
rawley	w1_d649e6037
ist	w3_d649e6040
zu	w5_d649e6043
Lissabon	w7_d649e6046
angelangt.	w9_d649e6049
Ge	w1_d649e6054
neral	w1_d649e6059
Cornwallis	w3_d649e6062
geht	w5_d649e6065
nach	w7_d649e6068
Gibraltar,	w9_d649e6071
als	w11_d649e6074
Commandant	w1_d649e6080
dieser	w3_d649e6083
Vestung.	w5_d649e6086
</p>
<p id="p16_d649e6089">
Zwischen	w1_d649e6093
London,	w3_d649e6096
Petersburg	w5_d649e6099
und	w7_d649e6102
Bres	w9_d649e6105
lau	w1_d649e6110
gehen	w3_d649e6113
beständig	w5_d649e6116
Couriers	w7_d649e6119
hin	w9_d649e6122
und	w11_d649e6125
her.	w13_d649e6129
Unser	w1_d649e6134
gegenwärtiger	w3_d649e6137
Kriegs=secretair,	w5_d649e6140
Herr	w7_d649e6143
Charles	w1_d649e6149
Townshend,	w3_d649e6152
wird,	w5_d649e6155
wie	w7_d649e6158
man	w9_d649e6161
ver	w11_d649e6164
nimmt,	w1_d649e6169
als	w3_d649e6172
Großbrittannischer	w5_d649e6175
Gesandter	w7_d649e6178
nach	w1_d649e6183
Copenhagen	w3_d649e6186
abgehen,	w5_d649e6189
um	w7_d649e6192
daselbst	w9_d649e6195
den	w11_d649e6198
Herrn	w1_d649e6203
Titley	w3_d649e6206
abzulösen.	w5_d649e6209
Man	w7_d649e6212
spricht	w9_d649e6215
auch	w11_d649e6218
von	w1_d649e6224
einem	w3_d649e6227
Subsidien=tractat	w5_d649e6230
zwischen	w7_d649e6233
Eng	w9_d649e6236
land	w1_d649e6241
und	w3_d649e6244
Rußland.	w5_d649e6247
</p>
<p id="p18_d649e6250">
Die	w1_d649e6254
Regimenter	w3_d649e6257
sind	w5_d649e6260
schon	w7_d649e6263
alle	w9_d649e6266
benennt,	w11_d649e6269
aus	w1_d649e6274
denen	w3_d649e6277
eine	w5_d649e6280
Anzahl	w7_d649e6283
der	w9_d649e6286
besten	w11_d649e6289
Trupen	w13_d649e6293
ausgezogen	w1_d649e6298
werden	w3_d649e6301
soll,	w5_d649e6304
um	w7_d649e6307
die	w9_d649e6310
Englische	w11_d649e6313
Armee	w1_d649e6319
in	w3_d649e6322
Deutschland	w5_d649e6325
zu	w7_d649e6328
completiren.	w9_d649e6331
Aus	w11_d649e6334
serdem	w1_d649e6339
sind	w3_d649e6342
schon	w5_d649e6345
2000.	w7_d649e6348
Mann	w9_d649e6351
dahin	w11_d649e6354
marschfertig.	w1_d649e6359
General	w3_d649e6362
Howard	w5_d649e6365
ist	w7_d649e6368
zum	w9_d649e6371
General=intendanten	w1_d649e6376
derselben	w3_d649e6379
ernennet.	w5_d649e6382
</p>
<p id="p20_d649e6385">
Man	w1_d649e6389
kan	w3_d649e6392
nun	w5_d649e6395
mit	w7_d649e6398
Gewißheit	w9_d649e6401
berichten,	w11_d649e6404
daß	w1_d649e6409
über	w3_d649e6412
die	w5_d649e6415
12.	w7_d649e6418
Millionen,	w9_d649e6421
noch	w11_d649e6424
eine	w13_d649e6428
Mil	w15_d649e6431
lion	w1_d649e6436
und	w3_d649e6439
200000	w5_d649e6442
Pf.	w7_d649e6445
Sterling	w9_d649e6448
zum	w11_d649e6451
Dien	w13_d649e6455
ste	w1_d649e6461
dieses	w3_d649e6464
Jahres	w5_d649e6467
werden	w7_d649e6470
geborgt	w9_d649e6473
werden.	w11_d649e6476
</p>
<p id="p22_d649e6479">
Man	w1_d649e6483
glaubt,	w3_d649e6486
daß	w5_d649e6489
Lord	w7_d649e6492
Egremont	w9_d649e6495
wegen	w11_d649e6498
seiner	w1_d649e6503
kränklichen	w3_d649e6506
Umstände	w5_d649e6509
das	w7_d649e6512
Staatsse	w9_d649e6515
cretariat	w1_d649e6520
nächstens	w3_d649e6523
niederlegen	w5_d649e6526
werde.	w7_d649e6529
Die	w9_d649e6532
Stimme	w1_d649e6538
des	w3_d649e6541
Publici	w5_d649e6544
ernennet	w7_d649e6547
den	w9_d649e6550
Herrn	w11_d649e6553
Grenville	w1_d649e6558
zu	w3_d649e6561
seinem	w5_d649e6564
Nachfolger.	w7_d649e6567
</p>
<p id="p24_d649e6571">
Ueber	w1_d649e6575
den	w3_d649e6578
Grafen	w5_d649e6581
Pembrocke,	w7_d649e6584
der	w9_d649e6587
sich	w11_d649e6590
mit	w1_d649e6595
Miß	w3_d649e6598
Hunter	w5_d649e6601
anitzt	w7_d649e6604
zu	w9_d649e6607
Aachen	w11_d649e6610
aufhal	w13_d649e6614
ten	w1_d649e6619
soll,	w3_d649e6622
wird	w5_d649e6625
ehestens	w7_d649e6628
Kriegs=recht	w9_d649e6631
ge	w11_d649e6634
halten	w1_d649e6640
werden,	w3_d649e6643
als	w5_d649e6646
über	w7_d649e6649
einen,	w9_d649e6652
der	w11_d649e6655
seinen	w13_d649e6659
Posten	w1_d649e6664
bey	w3_d649e6667
der	w5_d649e6670
Armee	w7_d649e6673
in	w9_d649e6676
Deutschland	w11_d649e6679
muth	w13_d649e6683
willig	w1_d649e6688
verlassen	w3_d649e6691
hat.	w5_d649e6694
</p>
<head id="h2_d649e6700">
Paris	w1_d649e6704
2.	w3_d649e6707
April.	w5_d649e6710
</head>
<p id="p4_d649e6713">
Am	w1_d649e6717
28.	w3_d649e6720
vorigen	w5_d649e6723
Monats	w7_d649e6726
hat	w9_d649e6729
der	w11_d649e6732
Gene	w13_d649e6736
rab=leutenant	w1_d649e6741
Marquis	w3_d649e6744
von	w5_d649e6747
Anmentieres,	w7_d649e6750
als	w9_d649e6753
Unter=befehlshaber	w1_d649e6758
in	w3_d649e6761
Ober=gutenne	w5_d649e6764
an	w7_d649e6767
die	w9_d649e6770
Stelle	w1_d649e6776
des	w3_d649e6779
verstorbenen	w5_d649e6782
Marschall	w7_d649e6785
von	w9_d649e6788
Lautrec	w1_d649e6793
den	w3_d649e6796
Eid	w5_d649e6799
der	w7_d649e6802
Treue	w9_d649e6805
in	w11_d649e6808
die	w13_d649e6812
Hände	w15_d649e6815
des	w1_d649e6820
Königs	w3_d649e6823
abgelegt.	w5_d649e6826
Der	w7_d649e6829
Generalleute	w9_d649e6832
nant	w1_d649e6837
Hr.	w3_d649e6840
von	w5_d649e6843
Castellas,	w7_d649e6846
Obrister	w9_d649e6849
eines	w11_d649e6852
Schweietzr	w1_d649e6858
regiments,	w3_d649e6861
hat	w5_d649e6864
die	w7_d649e6867
Stelle	w9_d649e6870
eines	w11_d649e6873
</p>
<p id="p6_d649e6876">
General=aufsehers	w1_d649e6880
über	w3_d649e6883
die	w5_d649e6886
Schweitzerre	w7_d649e6889
gimenter	w1_d649e6894
niedergelegt,	w3_d649e6897
und	w5_d649e6900
dagegen	w7_d649e6903
eine	w9_d649e6906
Commanderie	w1_d649e6911
des	w3_d649e6914
St.	w5_d649e6917
Ludwig=ordens	w7_d649e6920
von	w9_d649e6923
3000.	w1_d649e6929
Pf.,	w3_d649e6932
seine	w5_d649e6935
Stelle	w7_d649e6938
aber	w9_d649e6941
der	w11_d649e6944
Marechal	w13_d649e6948
de	w1_d649e6953
Camp	w3_d649e6956
Baron	w5_d649e6959
von	w7_d649e6962
Besenwald,	w9_d649e6965
Comman	w11_d649e6968
dant	w1_d649e6973
eines	w3_d649e6976
Bataillons	w5_d649e6979
von	w7_d649e6982
der	w9_d649e6985
Schweitzer	w11_d649e6988
garde,	w1_d649e6993
erhalten.	w3_d649e6996
Vorgestern	w5_d649e6999
ist	w7_d649e7002
der	w9_d649e7005
vorma	w11_d649e7008
lige	w1_d649e7014
Gouverneur	w3_d649e7017
von	w5_d649e7020
Canada,	w7_d649e7023
Marquis	w9_d649e7026
de	w11_d649e7029
Veudrevil	w1_d649e7034
eingezogen,	w3_d649e7037
