<doc id="wr_1758-12-09" attrs="word" year="1758" month="12" day="09" corpus="2">
<head id="h2_d303e2449">
Berlin	w1_d303e2453
welche	w5_d303e4069
Fourage	w7_d303e4072
zuführen.	w9_d303e4075
Die	w1_d303e4080
zur	w3_d303e4083
Completirung	w5_d303e4086
der	w7_d303e4089
Regimenter	w9_d303e4092
aus	w11_d303e4095
gehobne	w1_d303e4100
Recruten	w3_d303e4103
müssen	w5_d303e4106
täglich	w7_d303e4109
exerci	w9_d303e4112
</p>
<p id="p14_d303e4115">
ren,	w1_d303e4119
um	w3_d303e4122
in	w5_d303e4125
denen	w7_d303e4128
Kriegs=übungen	w9_d303e4131
fertig	w11_d303e4134
zu	w1_d303e4139
werden.	w3_d303e4142
</p>
<head id="h2_d303e4148">
Madrid	w1_d303e4152
6.	w3_d303e4155
November.	w5_d303e4158
</head>
<p id="p4_d303e4161">
Unsere	w1_d303e4165
getreue	w3_d303e4168
Wünsche	w5_d303e4171
für	w7_d303e4174
die	w9_d303e4177
Wieder	w11_d303e4180
herstellung	w1_d303e4185
unsers	w3_d303e4188
Königs	w5_d303e4191
sind	w7_d303e4194
erhöret	w9_d303e4197
wor	w11_d303e4200
den,	w1_d303e4205
indem	w3_d303e4208
wir	w5_d303e4211
aus	w7_d303e4214
Villaviciosa	w9_d303e4217
die	w11_d303e4220
freudi	w13_d303e4224
ge	w1_d303e4230
Nachricht	w3_d303e4233
erhalten,	w5_d303e4236
daß	w7_d303e4239
Se.	w9_d303e4242
Catholische	w11_d303e4245
Majestät	w1_d303e4250
wieder	w3_d303e4253
völlig	w5_d303e4256
hergestellet	w7_d303e4259
seyen;	w9_d303e4262
Sie	w1_d303e4267
wollen	w3_d303e4270
aber	w5_d303e4273
nicht,	w7_d303e4276
daß	w9_d303e4279
man	w11_d303e4282
die	w13_d303e4286
gering	w15_d303e4289
ste	w1_d303e4294
offentliche	w3_d303e4297
Freudens=bezeugung	w5_d303e4300
über	w7_d303e4303
diese	w9_d303e4306
erwünschte	w1_d303e4312
Genesung	w3_d303e4315
veranstalte.	w5_d303e4318
Das	w7_d303e4321
ganze	w9_d303e4324
Reich	w1_d303e4329
trägt	w3_d303e4332
für	w5_d303e4335
den	w7_d303e4338
Jnfanten	w9_d303e4341
Don	w11_d303e4344
Louis	w13_d303e4348
ei	w15_d303e4351
ne	w1_d303e4356
ausnehmende	w3_d303e4359
Hochachtung	w5_d303e4362
weil	w7_d303e4365
derselbe	w9_d303e4368
bey	w1_d303e4373
der	w3_d303e4376
schweren	w5_d303e4379
Krankheit	w7_d303e4382
des	w9_d303e4385
Königs	w11_d303e4388
die	w13_d303e4392
Reichs=sachen	w1_d303e4398
mit	w3_d303e4401
ganz	w5_d303e4404
besonderer	w7_d303e4407
Klugheit	w9_d303e4410
verwaltet	w1_d303e4415
hat.	w3_d303e4418
Der	w5_d303e4421
Commendant	w7_d303e4424
von	w9_d303e4427
Ceu	w11_d303e4430
ta	w1_d303e4435
hat	w3_d303e4438
unserm	w5_d303e4441
Hofe	w7_d303e4444
durch	w9_d303e4447
einen	w11_d303e4450
Curier	w13_d303e4454
Nach	w15_d303e4457
richt	w1_d303e4462
geben	w3_d303e4465
lassen,	w5_d303e4468
daß	w7_d303e4471
er	w9_d303e4474
den	w11_d303e4477
2ten	w13_d303e4481
Sept.	w15_d303e4484
mit	w1_d303e4490
seinen	w3_d303e4493
Trupen	w5_d303e4496
einen	w7_d303e4499
ansehnlichen	w9_d303e4502
Vor	w11_d303e4505
theil	w1_d303e4510
über	w3_d303e4513
die	w5_d303e4516
Mohren	w7_d303e4519
erfochten,	w9_d303e4522
bey	w11_d303e4525
3000.	w13_d303e4529
derselben	w1_d303e4534
nieder=gemacht,	w3_d303e4537
eine	w5_d303e4540
grosse	w7_d303e4543
Beute	w9_d303e4546
an	w1_d303e4551
Zelten,	w3_d303e4554
Geld,	w5_d303e4557
und	w7_d303e4560
Vieh,	w9_d303e4563
nebst	w11_d303e4566
vielen	w13_d303e4570
Kriegs=gefangenen,	w1_d303e4576
bekommen,	w3_d303e4579
4.	w5_d303e4582
Batte	w7_d303e4585
rien	w1_d303e4590
überrumpelt,	w3_d303e4593
und	w5_d303e4596
39.	w7_d303e4599
metallene	w9_d303e4602
Ca	w11_d303e4605
nonen	w1_d303e4610
in	w3_d303e4613
die	w5_d303e4616
Festung	w7_d303e4619
zurück	w9_d303e4622
gebracht	w11_d303e4625
habe.	w13_d303e4629
</p>
<head id="h2_d303e4635">
Londen	w1_d303e4639
14.	w3_d303e4642
November.	w5_d303e4645
</head>
<p id="p4_d303e4648">
Der	w1_d303e4652
König	w3_d303e4655
hat	w5_d303e4658
den	w7_d303e4661
Herrn	w9_d303e4664
Shirley	w11_d303e4667
zum	w13_d303e4671
General=capitain	w1_d303e4676
und	w3_d303e4679
Obersten	w5_d303e4682
Gouverneur	w7_d303e4685
der	w1_d303e4690
Bahianischen	w3_d303e4693
Jnseln	w5_d303e4696
in	w7_d303e4699
America	w9_d303e4702
zu	w11_d303e4705
er	w13_d303e4709
nennen	w1_d303e4715
geruhet.	w3_d303e4718
Höchst	w5_d303e4721
dieselben	w7_d303e4724
haben	w9_d303e4727
dem	w1_d303e4732
Dr.	w3_d303e4735
Florenz	w5_d303e4738
Henscy	w7_d303e4741
einen	w9_d303e4744
neuen	w11_d303e4747
Auf	w13_d303e4751
schub	w1_d303e4756
zugestanden,	w3_d303e4759
und	w5_d303e4762
man	w7_d303e4765
glaubet	w9_d303e4768
gar,	w11_d303e4771
daß	w1_d303e4776
er	w3_d303e4779
wegen	w5_d303e4782
des	w7_d303e4785
Hochverraths,	w9_d303e4788
dessen	w11_d303e4791
er	w13_d303e4795
schon	w1_d303e4801
überführet	w3_d303e4804
worden,	w5_d303e4807
Begnädigung	w7_d303e4810
er	w9_d303e4813
halten	w1_d303e4818
werde.	w3_d303e4821
Gestern	w5_d303e4824
langte	w7_d303e4827
der	w9_d303e4830
neue	w11_d303e4833
Her	w13_d303e4837
zog	w1_d303e4842
von	w3_d303e4845
Marlborough	w5_d303e4848
von	w7_d303e4851
der	w9_d303e4854
alliirten	w11_d303e4857
Ar	w13_d303e4861
mee	w1_d303e4866
hier	w3_d303e4869
an,	w5_d303e4872
um	w7_d303e4875
die	w9_d303e4878
Güter	w11_d303e4881
und	w13_d303e4885
Titel	w15_d303e4888
sei	w17_d303e4891
nes	w1_d303e4897
am	w3_d303e4900
20sten	w5_d303e4903
des	w7_d303e4906
verwichenen	w9_d303e4909
Monats	w11_d303e4912
zu	w1_d303e4917
Münster	w3_d303e4920
verstorbenen	w5_d303e4923
Herrn	w7_d303e4926
Vatters	w9_d303e4929
in	w11_d303e4932
Besitz	w1_d303e4937
zu	w3_d303e4940
nehmen.	w5_d303e4943
Zu	w7_d303e4946
Portsmouth	w9_d303e4949
ist	w11_d303e4952
man	w13_d303e4956
mit	w1_d303e4961
Ausbesserung	w3_d303e4964
der	w5_d303e4967
durch	w7_d303e4970
die	w9_d303e4973
neulichen	w11_d303e4976
Orcans	w1_d303e4982
sehr	w3_d303e4985
beschädigten	w5_d303e4988
Kriegs	w7_d303e4991
und	w9_d303e4994
Trans	w11_d303e4997
</p>
<p id="p10_d303e5010">
ports=schiffen,	w1_d303e5014
in	w3_d303e5017
allen	w5_d303e5020
Häfen	w7_d303e5023
dieses	w9_d303e5026
König	w11_d303e5029
reichs	w1_d303e5034
aber	w3_d303e5037
aufs	w5_d303e5040
neue	w7_d303e5043
mit	w9_d303e5046
Pressung	w11_d303e5049
der	w13_d303e5053
Ma	w15_d303e5056
trosen	w1_d303e5061
und	w3_d303e5064
Ausrüstung	w5_d303e5067
vieler	w7_d303e5070
neuer	w9_d303e5073
Schiffen	w11_d303e5076
von	w1_d303e5082
der	w3_d303e5085
Linie,	w5_d303e5088
worunter	w7_d303e5091
10.	w9_d303e5094
sind,	w11_d303e5097
die	w13_d303e5101
60.	w15_d303e5104
bis	w1_d303e5109
90.	w3_d303e5112
Canonen	w5_d303e5115
führen,	w7_d303e5118
beschäftiget.	w9_d303e5121
Auch	w11_d303e5124
werden	w1_d303e5129
durch	w3_d303e5132
neue	w5_d303e5135
Werbung	w7_d303e5138
alle	w9_d303e5141
Regimen	w11_d303e5144
ter	w1_d303e5149
wieder	w3_d303e5152
completiret.	w5_d303e5155
Der	w7_d303e5158
neue	w9_d303e5161
Lord	w11_d303e5164
Maire	w1_d303e5170
von	w3_d303e5173
Londen,	w5_d303e5176
Ritter	w7_d303e5179
Glyn,	w9_d303e5182
hat	w11_d303e5185
dem	w13_d303e5189
Könige	w1_d303e5194
mit	w3_d303e5197
denen	w5_d303e5200
gewöhnlichen	w7_d303e5203
Ceremonien	w9_d303e5206
den	w1_d303e5211
Eid	w3_d303e5214
abgeleget,	w5_d303e5217
und	w7_d303e5220
ist	w9_d303e5223
auch	w11_d303e5226
zu	w13_d303e5230
einem	w15_d303e5233
der	w1_d303e5238
4.	w3_d303e5241
Parlements=glieder	w5_d303e5244
dieser	w7_d303e5247
Stadt	w9_d303e5250
an	w11_d303e5253
die	w1_d303e5259
Stelle	w3_d303e5262
des	w5_d303e5265
verstorbenen	w7_d303e5268
Herrn	w9_d303e5271
Bethells	w11_d303e5274
ernannt	w1_d303e5279
worden.	w3_d303e5282
Unsere	w5_d303e5285
beyde	w7_d303e5288
Flotten	w9_d303e5291
unter	w1_d303e5296
denen	w3_d303e5299
Commodors,	w5_d303e5302
Keppel	w7_d303e5305
und	w9_d303e5308
Hug	w11_d303e5311
hes,	w1_d303e5316
sind	w3_d303e5319
nunmehr	w5_d303e5322
in	w7_d303e5325
der	w9_d303e5328
See.	w11_d303e5331
Das	w13_d303e5335
Fran	w15_d303e5338
zösische	w1_d303e5344
Kriegs=schif	w3_d303e5347
Belliqueux	w5_d303e5350
von	w7_d303e5353
64.	w9_d303e5356
Canonen,	w1_d303e5361
welches	w3_d303e5364
in	w5_d303e5367
dem	w7_d303e5370
Lundy=bay,	w9_d303e5373
un	w11_d303e5376
weit	w1_d303e5381
Bristol,	w3_d303e5384
von	w5_d303e5387
unserem	w7_d303e5390
Schiffe	w9_d303e5393
Antelo	w11_d303e5396
pe	w1_d303e5401
genommen	w3_d303e5404
worden,	w5_d303e5407
suchte	w7_d303e5410
sich	w9_d303e5413
anfäng	w11_d303e5416
lich	w1_d303e5422
unter	w3_d303e5425
Holländischen	w5_d303e5428
Flaggen	w7_d303e5431
zu	w9_d303e5434
sichern.	w11_d303e5437
Allein	w1_d303e5442
3.	w3_d303e5445
Matrosen,	w5_d303e5448
die	w7_d303e5451
demselben	w9_d303e5454
vorbey	w11_d303e5457
ruderten,	w1_d303e5462
entdeckten	w3_d303e5465
den	w5_d303e5468
Betrug.	w7_d303e5471
Es	w9_d303e5474
hatte	w11_d303e5477
500.	w1_d303e5482
Mann,	w3_d303e5485
und	w5_d303e5488
eine	w7_d303e5491
reiche	w9_d303e5494
Ladung	w11_d303e5497
von	w13_d303e5501
Pelz	w15_d303e5504
werk,	w1_d303e5510
so	w3_d303e5513
von	w5_d303e5516
denen	w7_d303e5519
Kaufleuten	w9_d303e5522
zu	w11_d303e5525
Bristol	w13_d303e5529
auf	w15_d303e5532
150000.	w1_d303e5537
Pfund	w3_d303e5540
Sterling	w5_d303e5543
geschätzet	w7_d303e5546
wird,	w9_d303e5549
am	w1_d303e5554
Bord.	w3_d303e5557
Eines	w5_d303e5560
von	w7_d303e5563
unsern	w9_d303e5566
Ost=indischen	w11_d303e5569
Schiffen,	w1_d303e5574
der	w3_d303e5577
York,	w5_d303e5580
so	w7_d303e5583
neulich	w9_d303e5586
in	w11_d303e5589
Jrrland	w13_d303e5593
angekommen,	w1_d303e5599
ist	w3_d303e5602
zu	w5_d303e5605
Mouet=bay	w7_d303e5608
verunglü	w9_d303e5611
cket.	w1_d303e5616
Die	w3_d303e5619
ganze	w5_d303e5622
Ladung,	w7_d303e5625
welche	w9_d303e5628
man	w11_d303e5631
auf	w13_d303e5635
100000.	w1_d303e5640
Pf.	w3_d303e5643
Sterl.	w5_d303e5646
schätzet,	w7_d303e5649
ist	w9_d303e5652
verloren	w11_d303e5655
gegangen.	w1_d303e5660
Die	w3_d303e5663
See=leute	w5_d303e5666
aber	w7_d303e5669
haben	w9_d303e5672
alle	w11_d303e5675
ihr	w1_d303e5681
Leben	w3_d303e5684
gerettet.	w5_d303e5687
Ein	w7_d303e5690
Spanisches	w9_d303e5693
Schif,	w11_d303e5696
die	w1_d303e5701
Elisabeth	w3_d303e5704
Antonin,	w5_d303e5707
so	w7_d303e5710
mit	w9_d303e5713
Wein	w11_d303e5716
bela	w13_d303e5720
den,	w1_d303e5725
von	w3_d303e5728
denen	w5_d303e5731
Canarischen	w7_d303e5734
Jnsein	w9_d303e5737
nach	w11_d303e5740
Ham	w13_d303e5744
burg	w1_d303e5749
bestimmet	w3_d303e5752
gewesen,	w5_d303e5755
ist	w7_d303e5758
den	w9_d303e5761
7ten	w11_d303e5764
No	w13_d303e5768
vember	w1_d303e5774
unweit	w3_d303e5777
Exeter	w5_d303e5780
verunglücket,	w7_d303e5783
und	w9_d303e5786
nur	w11_d303e5789
der	w1_d303e5794
Capitain	w3_d303e5797
nebst	w5_d303e5800
2.	w7_d303e5803
Personen	w9_d303e5806
haben	w11_d303e5809
ihr	w13_d303e5813
Le	w15_d303e5816
ben	w1_d303e5821
gerettet.	w3_d303e5824
Die	w5_d303e5827
Briefe	w7_d303e5830
aus	w9_d303e5833
America	w11_d303e5836
melden,	w1_d303e5841
daß	w3_d303e5844
der	w5_d303e5847
Obriste	w7_d303e5850
Bradstreet	w9_d303e5853
nach	w11_d303e5856
der	w1_d303e5862
Zerstöhrung	w3_d303e5865
des	w5_d303e5868
Forts	w7_d303e5871
Cadaraque,	w9_d303e5874
sei	w11_d303e5877
nen	w1_d303e5882
Marsch	w3_d303e5885
fortgesetzt	w5_d303e5888
habe,	w7_d303e5891
um	w9_d303e5894
noch	w11_d303e5897
eine	w13_d303e5901
geheime	w1_d303e5906
Unternehmung	w3_d303e5909
auszuführen.	w5_d303e5912
</p>
<head id="h2_d303e5919">
Londen	w1_d303e5923
19.	w3_d303e5926
Nov.	w5_d303e5929
</head>
<p id="p4_d303e5932">
Seitdem	w1_d303e5936
Se.	w3_d303e5939
Königl.	w5_d303e5942
Majest.	w7_d303e5945
von	w9_d303e5948
Groß	w11_d303e5951
brittanien	w1_d303e5956
Kenfington	w3_d303e5959
verlassen,	w5_d303e5962
und	w7_d303e5965
Dero	w9_d303e5968
Residenz	w1_d303e5973
in	w3_d303e5976
dem	w5_d303e5979
Pallast	w7_d303e5982
von	w9_d303e5985
St.	w11_d303e5988
James	w13_d303e5992
genommen,	w1_d303e5998
geruhen	w3_d303e6001
Höchst=dieselbe	w5_d303e6004
öfters	w7_d303e6007
denen	w1_d303e6012
Staats=conseils	w3_d303e6015
beyzuwohnen,	w5_d303e6018
wel	w7_d303e6021
che	w1_d303e6026
seit	w3_d303e6029
dem	w5_d303e6032
10.	w7_d303e6035
dieses	w9_d303e6038
fast	w11_d303e6041
jeden	w13_d303e6045
Tag	w15_d303e6048
ge	w17_d303e6051
pflogen	w1_d303e6056
werden.	w3_d303e6059
Jn	w5_d303e6062
dem	w7_d303e6065
hiesigen	w9_d303e6068
Mini	w11_d303e6071
sterio	w1_d303e6077
ist	w3_d303e6080
