<doc id="wr_1756-08-14" attrs="word" year="1756" month="08" day="14" corpus="2">
<head id="h2_d65e2587">
Extract=schreiben	w1_d65e2591
von	w7_d65e4853
20000.	w9_d65e4856
Mann	w11_d65e4859
bey	w13_d65e4863
sammen	w1_d65e4868
seyn.	w3_d65e4871
Die	w5_d65e4874
General=versammlung	w7_d65e4877
von	w1_d65e4883
Virginien	w3_d65e4886
hat	w5_d65e4889
65	w7_d65e4892
tausend	w9_d65e4895
Pfund	w11_d65e4898
Ster	w13_d65e4902
ling	w1_d65e4907
zur	w3_d65e4910
Beschützung	w5_d65e4913
selbiger	w7_d65e4916
Provintz	w9_d65e4919
be	w11_d65e4922
williget,	w1_d65e4927
um	w3_d65e4930
denen	w5_d65e4933
Feinden	w7_d65e4936
gleichsam	w9_d65e4939
eine	w11_d65e4942
Kette	w1_d65e4947
von	w3_d65e4950
Forten	w5_d65e4953
auf	w7_d65e4956
der	w9_d65e4959
Grenze	w11_d65e4962
im	w13_d65e4966
Wege	w15_d65e4969
zu	w1_d65e4975
bauen,	w3_d65e4978
wodurch	w5_d65e4981
man	w7_d65e4984
eine	w9_d65e4987
freye	w11_d65e4990
Commu	w13_d65e4994
nication	w1_d65e4999
zwischen	w3_d65e5002
Virginien,	w5_d65e5005
Maryland	w7_d65e5008
und	w9_d65e5011
Pensilvanien	w1_d65e5016
zu	w3_d65e5019
erhalten	w5_d65e5022
gedenket.	w7_d65e5025
Jn	w9_d65e5028
dem	w11_d65e5031
Fort	w1_d65e5036
Oswego	w3_d65e5039
ist	w5_d65e5042
alles	w7_d65e5045
gutes	w9_d65e5048
Muths,	w11_d65e5051
weil	w13_d65e5055
die	w1_d65e5061
Unsrigen	w3_d65e5064
eine	w5_d65e5067
gute	w7_d65e5070
Verstärkung	w9_d65e5073
daselbst	w11_d65e5076
erhalten	w1_d65e5081
haben.	w3_d65e5084
</p>
<head id="h2_d65e5090">
Aus	w1_d65e5094
Frankreich.	w3_d65e5097
Paris	w1_d65e5102
16.	w3_d65e5105
Julii.	w5_d65e5108
</head>
<p id="p4_d65e5111">
Jn	w1_d65e5115
der	w3_d65e5118
Nacht	w5_d65e5121
vom	w7_d65e5124
14.	w9_d65e5127
zum	w11_d65e5130
15.	w13_d65e5134
gieng	w15_d65e5137
der	w17_d65e5140
</p>
<p id="p6_d65e5143">
Graf	w1_d65e5147
von	w3_d65e5150
Egmont	w5_d65e5153
hierdurch	w7_d65e5156
nach	w9_d65e5159
Compieg	w11_d65e5162
ne,	w1_d65e5167
dem	w3_d65e5170
Könige	w5_d65e5173
die	w7_d65e5176
Capitulations=articul	w9_d65e5179
des	w1_d65e5184
Forts	w3_d65e5187
St.	w5_d65e5190
Philipp	w7_d65e5193
zu	w9_d65e5196
überbringen.	w11_d65e5199
Die	w13_d65e5203
se	w1_d65e5209
wichtige	w3_d65e5212
Begebenheit	w5_d65e5215
wurde	w7_d65e5218
gestern	w9_d65e5221
den	w11_d65e5224
Einwohnern	w1_d65e5229
dieser	w3_d65e5232
Haupt=stadt	w5_d65e5235
durch	w7_d65e5238
Abfeu	w9_d65e5241
rung	w1_d65e5246
des	w3_d65e5249
Geschützes	w5_d65e5252
von	w7_d65e5255
der	w9_d65e5258
Bastille	w11_d65e5261
sowol	w13_d65e5265
als	w1_d65e5270
der	w3_d65e5273
Greve	w5_d65e5276
und	w7_d65e5279
dem	w9_d65e5282
Arsenal	w11_d65e5285
angekündi	w13_d65e5289
get,	w1_d65e5295
welches	w3_d65e5298
zu	w5_d65e5301
dreymalen,	w7_d65e5304
nämlich	w9_d65e5307
Nach	w11_d65e5310
mittags	w1_d65e5315
um	w3_d65e5318
4.	w5_d65e5321
Uhr,	w7_d65e5324
Abends	w9_d65e5327
um	w11_d65e5330
7.	w13_d65e5334
und	w15_d65e5337
ge	w17_d65e5340
gen	w1_d65e5345
9.	w3_d65e5348
Uhr	w5_d65e5351
geschahe.	w7_d65e5354
An	w9_d65e5357
dem	w11_d65e5360
Stadt=hause	w13_d65e5364
sahe	w1_d65e5369
man	w3_d65e5372
Jlluminationes,	w5_d65e5375
und	w7_d65e5378
man	w9_d65e5381
zünde	w11_d65e5384
te	w1_d65e5390
auf	w3_d65e5393
dem	w5_d65e5396
Greve=platze	w7_d65e5399
ein	w9_d65e5402
Freuden=feuer	w11_d65e5405
an.	w1_d65e5410
Das	w3_d65e5413
Hotel	w5_d65e5416
des	w7_d65e5419
Herzogs	w9_d65e5422
von	w11_d65e5425
Gesvres,	w13_d65e5429
Gouverncurs	w1_d65e5434
von	w3_d65e5437
Paris,	w5_d65e5440
war	w7_d65e5443
gleichfalls	w9_d65e5446
illumminirt,	w1_d65e5451
sowol	w3_d65e5454
als	w5_d65e5457
die	w7_d65e5460
Häuser	w9_d65e5463
des	w11_d65e5466
Pre	w13_d65e5470
vots	w1_d65e5476
der	w3_d65e5479
Kaufleute	w5_d65e5482
und	w7_d65e5485
der	w9_d65e5488
Echevins,	w11_d65e5491
und	w13_d65e5495
man	w1_d65e5500
ließ	w3_d65e5503
für	w5_d65e5506
das	w7_d65e5509
Volk,	w9_d65e5512
das	w11_d65e5515
sich	w13_d65e5519
in	w15_d65e5522
Menge	w17_d65e5525
frolockend	w1_d65e5530
versammlet	w3_d65e5533
hatte,	w5_d65e5536
Wein	w7_d65e5539
springen.	w9_d65e5542
Das	w1_d65e5547
Te	w3_d65e5550
Deum	w5_d65e5553
wegen	w7_d65e5556
Einnahme	w9_d65e5559
des	w11_d65e5562
Forts	w13_d65e5566
St.	w1_d65e5572
Philipp	w3_d65e5575
wird	w5_d65e5578
erst	w7_d65e5581
auf	w9_d65e5584
den	w11_d65e5587
25.	w13_d65e5591
dieses	w15_d65e5594
al	w17_d65e5597
hier	w1_d65e5602
gesungen	w3_d65e5605
werden.	w5_d65e5608
Die	w7_d65e5611
Regimenter,	w9_d65e5614
die	w11_d65e5617
auf	w1_d65e5622
der	w3_d65e5625
Jnsul	w5_d65e5628
Minorca	w7_d65e5631
verbleiben,	w9_d65e5634
sind	w11_d65e5637
Ro	w13_d65e5641
yal,	w1_d65e5646
Royal=comtois,	w3_d65e5649
Royal=italien,	w5_d65e5652
Tasaru	w7_d65e5655
und	w1_d65e5661
Medoc,	w3_d65e5664
jedes	w5_d65e5667
von	w7_d65e5670
2.	w9_d65e5673
Battaillons.	w11_d65e5676
Man	w13_d65e5680
weiß	w1_d65e5685
noch	w3_d65e5688
nicht,	w5_d65e5691
welches	w7_d65e5694
die	w9_d65e5697
ersten	w11_d65e5700
Operatio	w13_d65e5704
nes	w1_d65e5709
seyn	w3_d65e5712
werden,	w5_d65e5715
die	w7_d65e5718
auf	w9_d65e5721
die	w11_d65e5724
Eroberung	w13_d65e5728
der	w15_d65e5731
Jnsel	w1_d65e5736
Minorca	w3_d65e5739
folgen	w5_d65e5742
dürften.	w7_d65e5745
Unterdessen	w9_d65e5748
wird	w1_d65e5754
die	w3_d65e5757
Armee,	w5_d65e5760
welche	w7_d65e5763
diese	w9_d65e5766
Unternemmung	w11_d65e5769
ausgeführet	w1_d65e5774
hat,	w3_d65e5777
wie	w5_d65e5780
man	w7_d65e5783
saget,	w9_d65e5786
nach	w11_d65e5789
Pro	w13_d65e5793
vence	w1_d65e5798
zurück	w3_d65e5801
kommen,	w5_d65e5804
und	w7_d65e5807
der	w9_d65e5810
Marquis	w11_d65e5813
de	w13_d65e5817
la	w1_d65e5822
Galissoniere	w3_d65e5825
sich	w5_d65e5828
mit	w7_d65e5831
seiner	w9_d65e5834
Escadre	w11_d65e5837
wie	w13_d65e5841
derum	w1_d65e5847
nach	w3_d65e5850
Toulon	w5_d65e5853
begeben.	w7_d65e5856
Gedachter	w9_d65e5859
Ad	w11_d65e5862
miral	w1_d65e5867
hat	w3_d65e5870
nach	w5_d65e5873
Briefen	w7_d65e5876
aus	w9_d65e5879
Spamien	w11_d65e5882
14.	w13_d65e5886
Engländische	w1_d65e5891
Kauffardey=schiffe	w3_d65e5894
nach	w5_d65e5897
Mar	w7_d65e5900
seile	w1_d65e5905
und	w3_d65e5908
nach	w5_d65e5911
andern	w7_d65e5914
Häfen	w9_d65e5917
in	w11_d65e5920
Provence	w13_d65e5924
geschicket,	w1_d65e5930
welche	w3_d65e5933
in	w5_d65e5936
dem	w7_d65e5939
Hafen	w9_d65e5942
zu	w11_d65e5945
Mahon	w13_d65e5949
sicher	w1_d65e5954
einzulauffen	w3_d65e5957
geglaubt,	w5_d65e5960
und	w7_d65e5963
man	w9_d65e5966
wird	w11_d65e5969
ihre	w1_d65e5974
Ladung	w3_d65e5977
verkauffen,	w5_d65e5980
damit	w7_d65e5983
die	w9_d65e5986
Waaren	w11_d65e5989
nicht	w1_d65e5994
verderben	w3_d65e5997
mögen.	w5_d65e6000
</p>
<p id="p8_d65e6003">
Ubermorgen	w1_d65e6007
wird	w3_d65e6010
sich	w5_d65e6013
der	w7_d65e6016
König	w9_d65e6019
von	w11_d65e6022
Com	w13_d65e6026
piegne	w1_d65e6031
nach	w3_d65e6034
Duynkirchen	w5_d65e6037
erheben,	w7_d65e6040
die	w9_d65e6043
dass	w11_d65e6046
gen	w1_d65e6051
Fortificationen	w3_d65e6054
zu	w5_d65e6057
besichtigen	w7_d65e6060
und	w9_d65e6063
sich	w11_d65e6066
einige	w1_d65e6072
Tage	w3_d65e6075
daselbst	w5_d65e6078
aufhalten.	w7_d65e6081
Se.	w9_d65e6084
Ma	w11_d65e6087
jestät	w1_d65e6092
werden	w3_d65e6095
bey	w5_d65e6098
solcher	w7_d65e6101
Gelegenheit	w9_d65e6104
auch	w11_d65e6107
das	w1_d65e6112
Observations=lager	w3_d65e6115
an	w5_d65e6118
der	w7_d65e6121
Sambre	w9_d65e6124
in	w11_d65e6127
Augenschein	w1_d65e6132
nehmen,	w3_d65e6135
und	w5_d65e6138
die	w7_d65e6141
Häfen	w9_d65e6144
von	w11_d65e6147
Boulonnos	w1_d65e6153
und	w3_d65e6156
von	w5_d65e6159
einem	w7_d65e6162
Theile	w9_d65e6165
der	w11_d65e6168
Nor	w13_d65e6172
mandie	w1_d65e6177
besehen.	w3_d65e6180
Die	w5_d65e6183
Städte	w7_d65e6186
Cherbourg	w9_d65e6189
und	w1_d65e6194
Libourne	w3_d65e6197
haben	w5_d65e6200
jede	w7_d65e6203
Krafft	w9_d65e6206
eines	w11_d65e6209
Arrets	w13_d65e6213
des	w1_d65e6218
Königl.	w3_d65e6221
Staats=rahts	w5_d65e6224
die	w7_d65e6227
Erlaubnuß	w9_d65e6230
erhal	w1_d65e6236
</p>
<p id="p12_d65e6242">
erhalten,	w1_d65e6246
nach	w3_d65e6249
den	w5_d65e6252
Französischen	w7_d65e6255
Jnsuln	w9_d65e6258
und	w1_d65e6263
Eolonien	w3_d65e6266
in	w5_d65e6269
America	w7_d65e6272
ihr	w9_d65e6275
Gewerbe	w11_d65e6278
bi	w13_d65e6282
ricte	w1_d65e6287
zu	w3_d65e6290
treiben.	w5_d65e6293
Herr	w7_d65e6296
Carrier,	w9_d65e6299
Entrepren	w11_d65e6302
neur	w1_d65e6308
der	w3_d65e6311
Gewehr	w5_d65e6314
