<doc id="wr_1758-03-01" attrs="word" year="1758" month="03" day="01" corpus="2">
<head id="h2_d222e2673">
Lüneburg	w1_d222e2677
vor	w11_d222e3312
hergegangener	w1_d222e3317
Unterredung	w3_d222e3320
mit	w5_d222e3323
dem	w7_d222e3326
Magi	w9_d222e3329
strat,	w1_d222e3334
eingerücket.	w3_d222e3337
Die	w5_d222e3340
Absicht	w7_d222e3343
ist	w9_d222e3346
noch	w11_d222e3349
un	w13_d222e3353
bekannt,	w1_d222e3358
und	w3_d222e3361
man	w5_d222e3364
weiß	w7_d222e3367
noch	w9_d222e3370
nicht,	w11_d222e3373
ob	w13_d222e3377
diese	w15_d222e3380
Trupen,	w1_d222e3386
welchen,	w3_d222e3389
dem	w5_d222e3392
Verlaut	w7_d222e3395
nach	w9_d222e3398
meh	w11_d222e3401
rere	w1_d222e3406
folgen	w3_d222e3409
sollen,	w5_d222e3412
in	w7_d222e3415
diesem	w9_d222e3418
Herzogtum	w11_d222e3421
bleihen,	w1_d222e3426
oder	w3_d222e3429
nach	w5_d222e3432
einigen	w7_d222e3435
Rast=tägen	w9_d222e3438
weiten	w11_d222e3441
marschieren	w1_d222e3446
werden.	w3_d222e3449
Das	w5_d222e3452
letztere	w7_d222e3455
ist	w9_d222e3458
vielen	w11_d222e3461
glaublich;	w1_d222e3467
wohin	w3_d222e3470
aber,	w5_d222e3473
wird	w7_d222e3476
sich	w9_d222e3479
in	w11_d222e3482
wenig	w13_d222e3486
Tagen	w1_d222e3491
zeigen.	w3_d222e3494
Der	w5_d222e3497
erste	w7_d222e3500
Termin	w9_d222e3503
der	w11_d222e3506
Forde	w13_d222e3510
rung	w1_d222e3515
von	w3_d222e3518
dem	w5_d222e3521
hiesigen	w7_d222e3524
Lande	w9_d222e3527
ist	w11_d222e3530
bereits	w13_d222e3534
an	w15_d222e3537
die	w1_d222e3542
Preußen	w3_d222e3545
bezahlet;	w5_d222e3548
aber	w7_d222e3551
es	w9_d222e3554
ist	w11_d222e3557
immer	w13_d222e3561
zu	w15_d222e3564
beförchten,	w1_d222e3570
daß	w3_d222e3573
der	w5_d222e3576
arme	w7_d222e3579
Landmann	w9_d222e3582
ganz	w11_d222e3585
ruiniret	w1_d222e3590
seyn	w3_d222e3593
wird,	w5_d222e3596
wann	w7_d222e3599
die	w9_d222e3602
Bezohlung	w11_d222e3605
des	w13_d222e3609
dritten	w1_d222e3614
Termins	w3_d222e3617
erfolgen	w5_d222e3620
soll.	w7_d222e3623
Das	w9_d222e3626
Land,	w11_d222e3629
welches	w1_d222e3634
keines	w3_d222e3637
der	w5_d222e3640
besten	w7_d222e3643
ist,	w9_d222e3646
hat	w11_d222e3649
Mangel	w13_d222e3653
an	w15_d222e3656
Geld	w1_d222e3662
und	w3_d222e3665
Einwohnern,	w5_d222e3668
und	w7_d222e3671
es	w9_d222e3674
lan	w11_d222e3677
sich	w13_d222e3681
we	w15_d222e3684
</p>
<p id="p10_d222e3697">
gen	w1_d222e3701
Mangel	w3_d222e3704
der	w5_d222e3707
Fabriquen	w7_d222e3710
und	w9_d222e3713
andere	w11_d222e3716
Quel	w13_d222e3720
len	w1_d222e3725
des	w3_d222e3728
Reichtums	w5_d222e3731
nicht	w7_d222e3734
so	w9_d222e3737
leicht	w11_d222e3740
wieder	w13_d222e3744
er	w15_d222e3747
holen,	w1_d222e3752
wann	w3_d222e3755
sein	w5_d222e3758
Acker=bau	w7_d222e3761
und	w9_d222e3764
seine	w11_d222e3767
Vieh	w13_d222e3771
zucht	w1_d222e3777
gestöhret	w3_d222e3780
wird.	w5_d222e3783
</p>
<head id="h2_d222e3789">
Lisabon	w1_d222e3793
16.	w3_d222e3796
Januarii.	w5_d222e3799
</head>
<p id="p4_d222e3802">
Am	w1_d222e3806
31sten	w3_d222e3809
des	w5_d222e3812
abgewichenen	w7_d222e3815
Monats	w9_d222e3818
früh	w11_d222e3821
um	w1_d222e3826
6.	w3_d222e3829
Uhr	w5_d222e3832
setzte	w7_d222e3835
uns	w9_d222e3838
eine	w11_d222e3841
heftige	w13_d222e3845
Erderschüt	w15_d222e3848
terung	w1_d222e3853
wiederum	w3_d222e3856
in	w5_d222e3859
grosse	w7_d222e3862
Forcht	w9_d222e3865
;es	w11_d222e3868
dauer	w13_d222e3872
te	w1_d222e3878
selbige	w3_d222e3881
eine	w5_d222e3884
halbe	w7_d222e3887
Minute,	w9_d222e3890
und	w11_d222e3893
sie	w13_d222e3897
war	w15_d222e3900
mit	w17_d222e3903
einem	w1_d222e3908
unterierdischen	w3_d222e3911
Krachen	w5_d222e3914
und	w7_d222e3917
Getöfe	w9_d222e3920
begleitet.	w1_d222e3925
Ob	w3_d222e3928
sie	w5_d222e3931
schon	w7_d222e3934
keinen	w9_d222e3937
sichtbarlichen	w11_d222e3940
Schaden	w1_d222e3945
gethan,	w3_d222e3948
so	w5_d222e3951
ist	w7_d222e3954
doch	w9_d222e3957
seit	w11_d222e3960
der	w13_d222e3964
vom	w15_d222e3967
1.	w17_d222e3970
November	w1_d222e3976
1755.	w3_d222e3979
keine	w5_d222e3982
stärker	w7_d222e3985
gewesen.	w9_d222e3988
</p>
<head id="h2_d222e3994">
Braunschweig	w1_d222e3998
13.	w3_d222e4001
Februarii.	w5_d222e4004
</head>
<p id="p4_d222e4007">
Von	w1_d222e4011
Seiten	w3_d222e4014
der	w5_d222e4017
Herzoglichen	w7_d222e4020
Regierung	w9_d222e4023
ist	w1_d222e4028
noch	w3_d222e4031
unterm	w5_d222e4034
23sten	w7_d222e4037
vorigen	w9_d222e4040
Monats	w11_d222e4043
eine	w13_d222e4047
Verordnung	w1_d222e4052
ausgekommen,	w3_d222e4055
welche	w5_d222e4058
die	w7_d222e4061
Ein	w9_d222e4064
führung	w1_d222e4070
der	w3_d222e4073
vorhin	w5_d222e4076
schon	w7_d222e4079
verruffenen	w9_d222e4082
Münz	w11_d222e4085
sorten,	w1_d222e4090
bey	w3_d222e4093
dem	w5_d222e4096
Duplo	w7_d222e4099
der	w9_d222e4102
vorhin	w11_d222e4105
angesetz	w13_d222e4109
ten	w1_d222e4114
Straffe	w3_d222e4117
verbietet.	w5_d222e4120
Ein	w7_d222e4123
hiesiger	w9_d222e4126
Gelehr	w11_d222e4129
ter,	w1_d222e4134
nämlich	w3_d222e4137
der	w5_d222e4140
Herr	w7_d222e4143
Doctor	w9_d222e4146
Witt,	w11_d222e4149
hat	w13_d222e4153
an	w15_d222e4156
gemerket,	w1_d222e4162
daß	w3_d222e4165
hierselbst	w5_d222e4168
voriges	w7_d222e4171
Jahr	w9_d222e4174
die	w11_d222e4177
Zahl	w1_d222e4182
der	w3_d222e4185
gebornen	w5_d222e4188
Mädgen	w7_d222e4191
sich	w9_d222e4194
gegen	w11_d222e4197
die	w13_d222e4201
Zayl	w1_d222e4206
der	w3_d222e4209
gebornen	w5_d222e4212
Knaben,	w7_d222e4215
wie	w9_d222e4218
4.	w11_d222e4221
gegen	w13_d222e4225
3.	w15_d222e4228
verhalten	w1_d222e4233
hat.	w3_d222e4236
Nach	w5_d222e4239
der	w7_d222e4242
Bemerkung	w9_d222e4245
eben	w11_d222e4248
dieses	w1_d222e4254
Mannes	w3_d222e4257
sind	w5_d222e4260
in	w7_d222e4263
hiesiger	w9_d222e4266
Stadt	w11_d222e4269
dasselbe	w13_d222e4273
Jahr	w1_d222e4278
fast	w3_d222e4281
eben	w5_d222e4284
so	w7_d222e4287
viele	w9_d222e4290
Menschen	w11_d222e4293
gestorben	w13_d222e4297
als	w1_d222e4302
beyde	w3_d222e4305
vorhergehende	w5_d222e4308
Jahre.	w7_d222e4311
Es	w9_d222e4314
ist	w11_d222e4317
hier	w13_d222e4321
blos	w1_d222e4326
die	w3_d222e4329
Rede	w5_d222e4332
von	w7_d222e4335
Einheimischen,	w9_d222e4338
ohne	w11_d222e4341
die	w13_d222e4345
Verstorbene	w1_d222e4351
von	w3_d222e4354
denen	w5_d222e4357
Französischen	w7_d222e4360
Trupen	w9_d222e4363
im	w1_d222e4368
geringsten	w3_d222e4371
mitzurechnen.	w5_d222e4374
Die	w7_d222e4377
Ursachen	w9_d222e4380
so	w1_d222e4385
vieler	w3_d222e4388
Sterb=fälle	w5_d222e4391
sind,	w7_d222e4394
nach	w9_d222e4397
der	w11_d222e4400
Meinung	w13_d222e4404
des	w1_d222e4409
Herrn	w3_d222e4412
Witt,	w5_d222e4415
gewesen:	w7_d222e4418
1.)	w9_d222e4421
Verschiedene	w11_d222e4424
epidemische	w1_d222e4430
Vorfälle,	w3_d222e4433
als	w5_d222e4436
allerley	w7_d222e4439
hitzige	w9_d222e4442
Krankheiten,	w1_d222e4447
Ruhren,	w3_d222e4450
Blattern,	w5_d222e4453
Masern,	w7_d222e4456
u.	w1_d222e4461
s.	w3_d222e4464
w.	w5_d222e4467
Die	w7_d222e4470
Masern	w9_d222e4473
sind	w11_d222e4476
von	w13_d222e4480
einer	w15_d222e4483
sehr	w17_d222e4486
gifti	w19_d222e4489
gen	w1_d222e4494
Art	w3_d222e4497
gewesen.	w5_d222e4500
Die	w7_d222e4503
andern	w9_d222e4506
Krankheiten	w11_d222e4509
hat	w1_d222e4515
er	w3_d222e4518
zwar	w5_d222e4521
von	w7_d222e4524
ihrer	w9_d222e4527
alten	w11_d222e4530
Beschaffenheit	w13_d222e4534
befunden,	w1_d222e4539
allein	w3_d222e4542
sie	w5_d222e4545
haben	w7_d222e4548
doch	w9_d222e4551
die	w11_d222e4554
Einwoh	w13_d222e4558
ner	w1_d222e4563
häuffiger,	w3_d222e4566
als	w5_d222e4569
sonst,	w7_d222e4572
infestiret.	w9_d222e4575
2.)	w11_d222e4578
Daß	w13_d222e4582
unter	w1_d222e4587
12.	w3_d222e4590
Kranken	w5_d222e4593
kaum	w7_d222e4596
einer	w9_d222e4599
einen	w11_d222e4602
ordent	w13_d222e4606
lichen	w1_d222e4612
Arzten	w3_d222e4615
consuliret	w5_d222e4618
habe.	w7_d222e4621
</p>
<p id="p6_d222e4624">
Den	w1_d222e4628
4ten	w3_d222e4631
dieses,	w5_d222e4634
Nachmittags	w7_d222e4637
gegen	w9_d222e4640
4.	w11_d222e4643
Uhr,	w1_d222e4648
langten	w3_d222e4651
hier	w5_d222e4654
4.	w7_d222e4657
Wägen	w9_d222e4660
mit	w11_d222e4663
kranken	w13_d222e4667
Französischen	w1_d222e4672
Soldaten	w3_d222e4675
an,	w5_d222e4678
die	w7_d222e4681
in	w9_d222e4684
die	w11_d222e4687
Laza	w13_d222e4691
rete	w1_d222e4697
gebracht	w3_d222e4700
wurden.	w5_d222e4703
Den	w7_d222e4706
5.	w9_d222e4709
des	w11_d222e4712
Morgens	w13_d222e4716
früh	w1_d222e4721
giengen	w3_d222e4724
etliche	w5_d222e4727
Französische	w7_d222e4730
Trupen	w9_d222e4733
von	w11_d222e4736
Wolfenbüttel	w1_d222e4741
hier	w3_d222e4744
durch	w5_d222e4747
und	w7_d222e4750
setzten	w9_d222e4753
ihren	w11_d222e4756
Weg	w1_d222e4761
nach	w3_d222e4764
Zelle	w5_d222e4767
fort.	w7_d222e4770
</p>
<p id="p8_d222e4773">
Den	w1_d222e4777
Berliner	w3_d222e4780
und	w5_d222e4783
Leipziger=kaufleuten	w7_d222e4786
</p>
<p id="p10_d222e4789">
solle	w1_d222e4793
die	w3_d222e4796
Nachricht	w5_d222e4799
zugefertiget	w7_d222e4802
seyn:	w9_d222e4805
daß	w11_d222e4808
sie	w13_d222e4812
so	w1_d222e4817
bald	w3_d222e4820
sie	w5_d222e4823
können,	w7_d222e4826
den	w9_d222e4829
Handel	w11_d222e4832
der	w13_d222e4836
Messe	w15_d222e4839
endigen,	w1_d222e4844
und	w3_d222e4847
sich	w5_d222e4850
zurück	w7_d222e4853
begeben	w9_d222e4856
möchten.	w11_d222e4859
</p>
<p id="p12_d222e4863">
Denen	w1_d222e4867
Nachrichten	w3_d222e4870
aus	w5_d222e4873
dem	w7_d222e4876
Obersächsi	w9_d222e4879
schen	w1_d222e4884
zufolge,	w3_d222e4887
ist	w5_d222e4890
das	w7_d222e4893
Dessauische	w9_d222e4896
Bataillon,	w11_d222e4899
welches	w1_d222e4904
bisher	w3_d222e4907
in	w5_d222e4910
Leipzig	w7_d222e4913
gelegen,	w9_d222e4916
den	w11_d222e4919
5.	w13_d222e4923
von	w1_d222e4929
da	w3_d222e4932
aufgebrochen.	w5_d222e4935
Es	w7_d222e4938
sind	w9_d222e4941
auch	w11_d222e4944
etliche	w13_d222e4948
100.	w1_d222e4953
Mann	w3_d222e4956
von	w5_d222e4959
dem	w7_d222e4962
dasigen	w9_d222e4965
Haußischen	w11_d222e4968
Regiment	w1_d222e4973
ausgehoben	w3_d222e4976
worden,	w5_d222e4979
welche	w7_d222e4982
bey	w9_d222e4985
andern	w1_d222e4990
Regimentern,	w3_d222e4993
als	w5_d222e4996
Grenadiers	w7_d222e4999
gebraucht	w9_d222e5002
werden	w1_d222e5008
sollen.	w3_d222e5011
Din	w5_d222e5014
7.	w7_d222e5017
sind	w9_d222e5020
die	w11_d222e5023
Kaiserl.	w13_d222e5027
Königl.	w1_d222e5032
Kriegs=gefangene	w3_d222e5035
nach	w5_d222e5038
Peterswal	w7_d222e5041
de	w1_d222e5046
abgegangen,	w3_d222e5049
allwo	w5_d222e5052
die	w7_d222e5055
Auswechslung	w9_d222e5058
ge	w11_d222e5061
schehen	w1_d222e5066
soll.	w3_d222e5069
Die	w5_d222e5072
Französische	w7_d222e5075
Officiers,	w9_d222e5078
welche	w1_d222e5084
sich	w3_d222e5087
allda	w5_d222e5090
als	w7_d222e5093
Gefangene	w9_d222e5096
aufgehalten,	w11_d222e5099
haben	w1_d222e5104
Ordre	w3_d222e5107
erhalten,	w5_d222e5110
sich	w7_d222e5113
nach	w9_d222e5116
Berlin	w11_d222e5119
zu	w13_d222e5123
begeben,	w1_d222e5128
und	w3_d222e5131
die	w5_d222e5134
meisten	w7_d222e5137
von	w9_d222e5140
ihnen	w11_d222e5143
sind	w13_d222e5147
be	w15_d222e5150
reits	w1_d222e5155
abgereiset.	w3_d222e5158
Die	w5_d222e5161
Französische	w7_d222e5164
Officiers	w9_d222e5167
und	w1_d222e5173
Gemeine,	w3_d222e5176
welche	w5_d222e5179
bey	w7_d222e5182
Hornburg	w9_d222e5185
gefan	w11_d222e5188
gen	w1_d222e5193
worden,	w3_d222e5196
hat	w5_d222e5199
man	w7_d222e5202
gleichfalls	w9_d222e5205
nach	w11_d222e5208
Leip	w13_d222e5212
zig	w1_d222e5217
gebracht.	w3_d222e5220
Se	w5_d222e5223
Königl.	w7_d222e5226
Hoheit	w9_d222e5229
der	w11_d222e5232
Prinz	w13_d222e5236
Heinrich	w1_d222e5241
sind	w3_d222e5244
seit	w5_d222e5247
kurzem	w7_d222e5250
von	w9_d222e5253
da	w11_d222e5256
nach	w13_d222e5260
Hal	w15_d222e5263
berstadt	w1_d222e5269
abgegangen,	w3_d222e5272
allwo	w5_d222e5275
Sie	w7_d222e5278
dem	w9_d222e5281
Ver	w11_d222e5284
nehmen	w1_d222e5289
nach,	w3_d222e5292
das	w5_d222e5295
Commando	w7_d222e5298
über	w9_d222e5301
ein	w11_d222e5304
Corps	w1_d222e5309
Preußischer	w3_d222e5312
Trupen	w5_d222e5315
übernehmen	w7_d222e5318
sol	w9_d222e5321
len.	w1_d222e5326
Die	w3_d222e5329
Land=stände	w5_d222e5332
sind	w7_d222e5335
aufs	w9_d222e5338
neue	w11_d222e5341
nach	w13_d222e5345
sig	w1_d222e5351
beruffen	w3_d222e5354
worden,	w5_d222e5357
allwo	w7_d222e5360
auch	w9_d222e5363
der	w11_d222e5366
Leipz	w1_d222e5371
Königlich	w1_d222e5376
Preußische	w3_d222e5379
Minister,	w5_d222e5382
Herr	w7_d222e5385
von	w9_d222e5388
Bork,	w1_d222e5393
angelangt.	w3_d222e5396
Die	w5_d222e5399
Propositionen	w7_d222e5402
sind	w9_d222e5405
indessen	w1_d222e5411
noch	w3_d222e5414
unbekannt.	w5_d222e5417
Eben	w7_d222e5420
diese	w9_d222e5423
Briefe	w11_d222e5426
machen	w1_d222e5431
in	w3_d222e5434
Ansehung	w5_d222e5437
der	w7_d222e5440
starken	w9_d222e5443
Lieferungen,	w11_d222e5446
welche	w1_d222e5451
bisher	w3_d222e5454
von	w5_d222e5457
verschiednen	w7_d222e5460
Aemtern	w9_d222e5463
prä	w11_d222e5466
stiret	w1_d222e5471
werden	w3_d222e5474
müssen,	w5_d222e5477
eine	w7_d222e5480
betrübte	w9_d222e5483
Beschrei	w11_d222e5486
los	w1_d222e5492
der	w3_d222e5495
Neustädter=kreiß	w5_d222e5498
muß	w7_d222e5501
bung.	w1_d222e5506
B	w3_d222e5509
165000.	w1_d222e5514
Portionen	w3_d222e5517
Mehl	w5_d222e5520
n.	w7_d222e5523
55500.	w9_d222e5526
Rationen	w11_d222e5529
Heu	w1_d222e5534
bey	w3_d222e5537
Straffe	w5_d222e5540
der	w7_d222e5543
Plünderung	w9_d222e5546
liefern,	w11_d222e5549
und	w1_d222e5555
verschiedne	w3_d222e5558
Edelleute	w5_d222e5561
sind	w7_d222e5564
als	w9_d222e5567
Gefangene	w11_d222e5570
nach	w1_d222e5575
Magdeburg	w3_d222e5578
geführet	w5_d222e5581
worden.	w7_d222e5584
</p>
<head id="h2_d222e5591">
Culmbach	w1_d222e5595
18.	w3_d222e5598
Februarii.	w5_d222e5601
</head>
<head id="h2_d222e5607">
Brüssel	w1_d222e5611
13.	w3_d222e5614
Februarii.	w5_d222e5617
</head>
<p id="p4_d222e5620">
Don	w1_d222e5624
Jnan	w3_d222e5627
de	w5_d222e5630
Braganza,	w7_d222e5633
Prinz	w9_d222e5636
vom	w11_d222e5639
Kö.	w13_d222e5643
nialich=Portugesischen	w1_d222e5648
Geblüte,	w3_d222e5651
welcher	w5_d222e5654
sich	w7_d222e5657
einige	w1_d222e5662
Zeitlang	w3_d222e5665
in	w5_d222e5668
England	w7_d222e5671
aufgehalten,	w9_d222e5674
kam	w11_d222e5677
verwichene	w1_d222e5683
Woche	w3_d222e5686
hier	w5_d222e5689
an.	w7_d222e5692
Der	w9_d222e5695
Adel,	w11_d222e5698
die	w13_d222e5702
fremden	w1_d222e5707
Ministere	w3_d222e5710
und	w5_d222e5713
alle	w7_d222e5716
Vornehme	w9_d222e5719
dieser	w11_d222e5722
Stadt	w1_d222e5727
beeifern	w3_d222e5730
sich	w5_d222e5733
ihm	w7_d222e5736
alle	w9_d222e5739
mögliche	w11_d222e5742
An	w13_d222e5746
nehmlichkeiten	w1_d222e5751
zu	w3_d222e5754
verschaffen.	w5_d222e5757
Der	w7_d222e5760
König	w9_d222e5763
von	w1_d222e5769
Frankreich	w3_d222e5772
wird	w5_d222e5775
die	w7_d222e5778
Armee	w9_d222e5781
des	w11_d222e5784
Grafens	w13_d222e5788
von	w1_d222e5793
Clermont	w3_d222e5796
nahmhaft	w5_d222e5799
verstärken,	w7_d222e5802
um	w9_d222e5805
den	w11_d222e5808
selben	w1_d222e5813
in	w3_d222e5816
den	w5_d222e5819
Stand	w7_d222e5822
zu	w9_d222e5825
stellen,	w11_d222e5828
die	w13_d222e5832
Sicher	w15_d222e5835
</p>
<p id="p10_d222e5848">
heit	w1_d222e5852
des	w3_d222e5855
Nieder=sächsischen	w5_d222e5858
Kreises	w7_d222e5861
thätlich	w9_d222e5864
zu	w1_d222e5869
gewähren.	w3_d222e5872
</p>
<head id="h2_d222e5878">
Meissen	w1_d222e5882
14.	w3_d222e5885
Febr.	w5_d222e5888
</head>
<p id="p4_d222e5891">
Wie	w1_d222e5895
die	w3_d222e5898
Rede	w5_d222e5901
gehet,	w7_d222e5904
ist	w9_d222e5907
die	w11_d222e5910
Stadt	w13_d222e5914
Leip	w15_d222e5917
zig	w1_d222e5922
vorgestern	w3_d222e5925
in	w5_d222e5928
einen	w7_d222e5931
neuen	w9_d222e5934
Schrecken	w11_d222e5937
gerah	w13_d222e5941
ten,	w1_d222e5946
da	w3_d222e5949
Vormittag	w5_d222e5952
gegen	w7_d222e5955
11.	w9_d222e5958
Uhr	w11_d222e5961
der	w13_d222e5965
Preußische	w1_d222e5971
Obriste	w3_d222e5974
von	w5_d222e5977
der	w7_d222e5980
Garde	w9_d222e5983
mit	w11_d222e5986
50.	w13_d222e5990
bis	w1_d222e5995
60.	w3_d222e5998
Mann	w5_d222e6001
auf	w7_d222e6004
dasiges	w9_d222e6007
Raht=haus	w11_d222e6010
ge	w13_d222e6014
kommen,	w1_d222e6019
und	w3_d222e6022
allen	w5_d222e6025
Rahts=herrn	w7_d222e6028
den	w9_d222e6031
Arrest	w11_d222e6034
angekündiget,	w1_d222e6039
da	w3_d222e6042
schon	w5_d222e6045
8.	w7_d222e6048
Tage	w9_d222e6051
vorher	w11_d222e6054
je	w13_d222e6058
der	w1_d222e6064
Herr	w3_d222e6067
Bürger=meister	w5_d222e6070
12.	w7_d222e6073
Mann	w9_d222e6076
und	w11_d222e6079
einen	w1_d222e6084
Unter=officier	w3_d222e6087
zur	w5_d222e6090
Execution	w7_d222e6093
bekom	w9_d222e6096
men,	w1_d222e6101
um	w3_d222e6104
die	w5_d222e6107
Bezahlung	w7_d222e6110
deren	w9_d222e6113
der	w11_d222e6116
Stadt	w13_d222e6120
neu	w15_d222e6123
erdings	w1_d222e6128
auferlegten	w3_d222e6131
800000.	w5_d222e6134
Thalern	w7_d222e6137
zu	w9_d222e6140
be	w11_d222e6143
schleunigen.	w1_d222e6149
</p>
<head id="h2_d222e6155">
Magdeburg	w1_d222e6159
10.	w3_d222e6162
Februarii.	w5_d222e6165
</head>
<p id="p4_d222e6168">
Man	w1_d222e6172
hat	w3_d222e6175
Nachricht,	w5_d222e6178
daß	w7_d222e6181
sich	w9_d222e6184
Schladen	w11_d222e6187
im	w1_d222e6192
Hildesheimischen,	w3_d222e6195
unsern	w5_d222e6198
anrückenden	w7_d222e6201
KTrupen	w1_d222e6206
bereits	w3_d222e6209
auch	w5_d222e6212
habe	w7_d222e6215
ergeben	w9_d222e6218
müssen	w11_d222e6221
und	w1_d222e6227
daß	w3_d222e6230
die	w5_d222e6233
alda	w7_d222e6236
befindlichen	w9_d222e6239
Franzosen	w11_d222e6242
zu	w13_d222e6246
Kriegs	w1_d222e6251
gefangenen	w3_d222e6254
gemacht	w5_d222e6257
worden.	w7_d222e6260
Aus	w9_d222e6263
denen	w1_d222e6268
hier	w3_d222e6271
ankommenden	w5_d222e6274
Französischen	w7_d222e6277
Aus	w9_d222e6280
reissern	w1_d222e6285
werden	w3_d222e6288
drey	w5_d222e6291
Frey=bataillons	w7_d222e6294
errichtet,	w9_d222e6297
worzu	w1_d222e6303
sie	w3_d222e6306
