<doc id="wr_1761-07-25" attrs="word" year="1761" month="07" day="25" corpus="2">
<head id="h2_d572e3011">
Umständliche	w1_d572e3015
die	w1_d572e4355
feindl.	w3_d572e4358
Jnfanterie,	w5_d572e4361
so	w7_d572e4364
bis	w9_d572e4367
auf	w11_d572e4370
den	w13_d572e4374
halben	w15_d572e4377
Leib	w1_d572e4382
in	w3_d572e4385
einem	w5_d572e4388
Grabe	w7_d572e4391
stunde,	w9_d572e4394
und	w11_d572e4397
auf	w13_d572e4401
unsere	w15_d572e4404
Cavallerie	w1_d572e4409
eine	w3_d572e4412
Descharge	w5_d572e4415
machen	w7_d572e4418
wollte;	w9_d572e4421
Er	w1_d572e4427
vermiede	w3_d572e4430
diese	w5_d572e4433
Gefahr	w7_d572e4436
zu	w9_d572e4439
rechter	w11_d572e4442
Zeit,	w13_d572e4446
liesse	w1_d572e4451
seinen	w3_d572e4454
Hauffen	w5_d572e4457
Halt	w7_d572e4460
machen,	w9_d572e4463
und	w11_d572e4466
ausser	w1_d572e4471
Erreichung	w3_d572e4474
des	w5_d572e4477
feindlichen	w7_d572e4480
Feuers	w9_d572e4483
alsobald	w1_d572e4488
wieder	w3_d572e4491
in	w5_d572e4494
Schlacht=ordnung	w7_d572e4497
stellen.	w9_d572e4500
Der	w1_d572e4506
Prinz	w3_d572e4509
von	w5_d572e4512
Croy	w7_d572e4515
fande	w9_d572e4518
sich	w11_d572e4521
hiebey	w13_d572e4525
überall	w1_d572e4530
ein.	w3_d572e4533
</p>
<p id="p16_d572e4536">
Alles	w1_d572e4540
hatte	w3_d572e4543
aber	w5_d572e4546
nichts	w7_d572e4549
geholfen,	w9_d572e4552
und	w11_d572e4555
man	w1_d572e4560
hätte	w3_d572e4563
dem	w5_d572e4566
Feind	w7_d572e4569
das	w9_d572e4572
Erdreich,	w11_d572e4575
und	w13_d572e4579
die	w1_d572e4584
Convoy	w3_d572e4587
überlassen	w5_d572e4590
und	w7_d572e4593
Preiß	w9_d572e4596
geben	w11_d572e4599
müssen,	w1_d572e4605
wann	w3_d572e4608
nicht	w5_d572e4611
160.	w7_d572e4614
Mann	w9_d572e4617
von	w11_d572e4620
dem	w13_d572e4624
2ten	w1_d572e4629
Bataillon	w3_d572e4632
von	w5_d572e4635
Bouillon,	w7_d572e4638
die	w9_d572e4641
unter	w11_d572e4644
Befehl	w1_d572e4649
des	w3_d572e4652
Herrn	w5_d572e4655
von	w7_d572e4658
St.	w9_d572e4661
Mart	w11_d572e4664
mit	w13_d572e4668
den	w15_d572e4671
Fahnen	w1_d572e4676
zuruck	w3_d572e4679
waren,	w5_d572e4682
schleunige	w7_d572e4685
Hülfe	w9_d572e4688
ge	w11_d572e4691
bracht	w1_d572e4697
hätten.	w3_d572e4700
Die	w5_d572e4703
Flinten=schüsse,	w7_d572e4706
wel	w9_d572e4709
che	w1_d572e4714
diese	w3_d572e4717
wenige	w5_d572e4720
Mannschaft	w7_d572e4723
(dann	w9_d572e4726
der	w11_d572e4729
übrige	w1_d572e4734
Theil	w3_d572e4737
des	w5_d572e4740
besagten	w7_d572e4743
2ten	w9_d572e4746
Bataillons	w11_d572e4749
auf	w1_d572e4754
verschiedenen	w3_d572e4757
Posten	w5_d572e4760
und	w7_d572e4763
Piquets	w9_d572e4766
ent	w11_d572e4769
</p>
<p id="p18_d572e4772">
fernet	w1_d572e4776
stunde)	w3_d572e4779
wahrnahme,	w5_d572e4782
waren	w7_d572e4785
ihr	w9_d572e4788
Zeichen	w1_d572e4793
zum	w3_d572e4796
Marsch,	w5_d572e4799
und	w7_d572e4802
gar	w9_d572e4805
die	w11_d572e4808
einzige	w13_d572e4812
Ordre,	w1_d572e4817
um	w3_d572e4820
sich	w5_d572e4823
eilends	w7_d572e4826
nach	w9_d572e4829
der	w11_d572e4832
Brück	w13_d572e4836
von	w15_d572e4839
Vestofen	w1_d572e4845
zu	w3_d572e4848
verfügen.	w5_d572e4851
Sie	w7_d572e4854
kamen	w9_d572e4857
gegen	w11_d572e4860
3.	w1_d572e4865
Uhr	w3_d572e4868
an,	w5_d572e4871
und	w7_d572e4874
zwar	w9_d572e4877
mitten	w11_d572e4880
durch	w13_d572e4884
Morä	w15_d572e4887
ste,	w1_d572e4892
den	w3_d572e4895
sie	w5_d572e4898
mit	w7_d572e4901
halben	w9_d572e4904
Leib	w11_d572e4907
durchwadeten,	w13_d572e4911
Anzukommen,	w1_d572e4916
die	w3_d572e4919
Pünkel	w5_d572e4922
abzuwerfen,	w7_d572e4925
sich	w9_d572e4928
stellen,	w1_d572e4934
auf	w3_d572e4937
den	w5_d572e4940
Feind	w7_d572e4943
losgehen,	w9_d572e4946
ware	w11_d572e4949
in	w13_d572e4953
einem	w1_d572e4958
Augenblick	w3_d572e4961
geschehen.	w5_d572e4964
Ungeachtet	w7_d572e4967
des	w1_d572e4972
heftigen	w3_d572e4975
feindlichen	w5_d572e4978
Feuers,	w7_d572e4981
drungen	w9_d572e4984
sie	w11_d572e4987
ohne	w1_d572e4992
einen	w3_d572e4995
Schuß	w5_d572e4998
zu	w7_d572e5001
thun,	w9_d572e5004
mit	w11_d572e5007
aufge	w13_d572e5011
pflanztem	w1_d572e5017
Bajonet	w3_d572e5020
auf	w5_d572e5023
die	w7_d572e5026
Feinde	w9_d572e5029
an,	w11_d572e5032
und	w13_d572e5036
durch	w1_d572e5041
dieses	w3_d572e5044
unerschrockene	w5_d572e5047
Betragen	w7_d572e5050
wur	w9_d572e5053
de	w1_d572e5058
der	w3_d572e5061
Feind	w5_d572e5064
so	w7_d572e5067
irre	w9_d572e5070
gemacht,	w11_d572e5073
daß	w13_d572e5077
die	w15_d572e5080
Jnfanterie	w1_d572e5085
in	w3_d572e5088
aller	w5_d572e5091
Eil	w7_d572e5094
und	w9_d572e5097
gröster	w11_d572e5100
Con	w13_d572e5104
fusion	w1_d572e5110
über	w3_d572e5113
die	w5_d572e5116
Brücke	w7_d572e5119
zurückflohe,	w9_d572e5122
wäh	w11_d572e5125
rend	w1_d572e5130
dem	w3_d572e5133
die	w5_d572e5136
feindliche	w7_d572e5139
Cavallerie	w9_d572e5142
schon	w11_d572e5145
in	w13_d572e5149
Unordnung	w1_d572e5154
vor	w3_d572e5157
ihrer	w5_d572e5160
Jnfanterie	w7_d572e5163
hergalo	w9_d572e5166
pirte.	w1_d572e5171
Der	w3_d572e5174
Graf	w5_d572e5177
von	w7_d572e5180
Gourcy,	w9_d572e5183
Haupt	w11_d572e5186
mann	w1_d572e5192
der	w3_d572e5195
Grenadiers,	w5_d572e5198
verfolgte	w7_d572e5201
die	w9_d572e5204
feind	w11_d572e5207
liche	w1_d572e5212
Jnfanterie,	w3_d572e5215
vertriebe	w5_d572e5218
sie	w7_d572e5221
aus	w9_d572e5224
den	w11_d572e5227
nächst	w13_d572e5231
bey	w1_d572e5236
der	w3_d572e5239
Brück	w5_d572e5242
gehabten	w7_d572e5245
Verschaunzungen,	w9_d572e5248
und	w1_d572e5253
juge	w3_d572e5256
sie	w5_d572e5259
durch	w7_d572e5262
Hecken	w9_d572e5265
und	w11_d572e5268
Zäune,	w13_d572e5272
wo	w15_d572e5275
von	w1_d572e5281
jener	w3_d572e5284
District	w5_d572e5287
voll	w7_d572e5290
ist.	w9_d572e5293
Nebst	w11_d572e5296
dieser	w13_d572e5300
Grenadiers=compagnie,	w1_d572e5305
hatte	w3_d572e5308
er	w5_d572e5311
auch	w7_d572e5314
noch	w9_d572e5317
eine	w1_d572e5322
Jäger=compagnie,	w3_d572e5325
und	w5_d572e5328
sonst	w7_d572e5331
noch	w9_d572e5334
ei	w11_d572e5337
nige	w1_d572e5342
30.	w3_d572e5345
Mann	w5_d572e5348
nebst	w7_d572e5351
vielen	w9_d572e5354
Officiers,	w11_d572e5357
so	w13_d572e5361
sich	w1_d572e5367
beygefügt	w3_d572e5370
hatten,	w5_d572e5373
bey	w7_d572e5376
sich.	w9_d572e5379
Die	w11_d572e5382
Ja	w13_d572e5386
ger=compagnie	w1_d572e5391
hat	w3_d572e5394
allein	w5_d572e5397
auf	w7_d572e5400
den	w9_d572e5403
feidlichen	w11_d572e5406
Zurückzug	w1_d572e5411
alles	w3_d572e5414
Feuer	w5_d572e5417
ausgestanden.	w7_d572e5420
Wäh	w9_d572e5423
rend	w1_d572e5428
diesem	w3_d572e5431
waren	w5_d572e5434
unseee	w7_d572e5437
Zimmer=leut	w9_d572e5440
bemühet,	w1_d572e5446
die	w3_d572e5449
Brücke	w5_d572e5452
einzureissen.	w7_d572e5455
</p>
<p id="p20_d572e5458">
Dieser	w1_d572e5462
ganze	w3_d572e5465
Vortheil	w5_d572e5468
ist	w7_d572e5471
einzig	w9_d572e5474
der	w11_d572e5477
un	w13_d572e5481
verzüglichen	w1_d572e5486
Entschliessung	w3_d572e5489
der	w5_d572e5492
Generals	w7_d572e5495
zu	w9_d572e5498
zumessen,	w1_d572e5503
der	w3_d572e5506
Freyherr	w5_d572e5509
von	w7_d572e5512
St.	w9_d572e5515
Mart,	w11_d572e5518
Herr	w1_d572e5524
Duchambge,	w3_d572e5527
Major	w5_d572e5530
von	w7_d572e5533
der	w9_d572e5536
Bri	w11_d572e5539
gade	w1_d572e5544
Bouillon,	w3_d572e5547
und	w5_d572e5550
alle	w7_d572e5553
Officiers	w9_d572e5556
von	w11_d572e5559
die	w13_d572e5563
sem	w1_d572e5568
Corps	w3_d572e5571
verdienen	w5_d572e5574
das	w7_d572e5577
gröste	w9_d572e5580
Lob.	w11_d572e5583
Die	w13_d572e5587
ser	w1_d572e5592
tapfere	w3_d572e5595
Angrif	w5_d572e5598
hat	w7_d572e5601
dem	w9_d572e5604
zweyten	w11_d572e5607
Batail	w13_d572e5611
lon	w1_d572e5617
dieses	w3_d572e5620
Regiments	w5_d572e5623
einen	w7_d572e5626
dritten	w9_d572e5629
Theil	w11_d572e5632
an	w1_d572e5637
Todten	w3_d572e5640
und	w5_d572e5643
Bleßirten	w7_d572e5646
gekostet.	w9_d572e5649
Die	w11_d572e5652
Cavallerie	w1_d572e5657
hat	w3_d572e5660
weniger	w5_d572e5663
eingebüsset.	w7_d572e5666
Der	w9_d572e5669
</p>
<p id="p26_d572e5683">
feindl.	w1_d572e5687
Verlust	w3_d572e5690
ist	w5_d572e5693
indessen	w7_d572e5696
weit	w9_d572e5699
beträchtlicher.	w11_d572e5702
Ausser	w1_d572e5707
den	w3_d572e5710
Gefangenen	w5_d572e5713
und	w7_d572e5716
Todten,	w9_d572e5719
so	w11_d572e5722
sie	w1_d572e5727
auf	w3_d572e5730
dem	w5_d572e5733
Schlacht=feld	w7_d572e5736
hinterlassen,	w9_d572e5739
hat	w11_d572e5742
man	w1_d572e5748
noch	w3_d572e5751
viele	w5_d572e5754
Bleßirte	w7_d572e5757
in	w9_d572e5760
den	w11_d572e5763
Gebüschen	w13_d572e5767
und	w1_d572e5772
Feldern	w3_d572e5775
gefunden.	w5_d572e5778
Der	w7_d572e5781
Prinz	w9_d572e5784
von	w1_d572e5789
Solre,	w3_d572e5792
einziger	w5_d572e5795
Sohn	w7_d572e5798
des	w9_d572e5801
Prinzens	w11_d572e5804
von	w1_d572e5809
Croy	w3_d572e5812
sahe	w5_d572e5815
sich	w7_d572e5818
durch	w9_d572e5821
15.	w11_d572e5824
bis	w13_d572e5828
16.	w15_d572e5831
feindliche	w1_d572e5837
Reiter	w3_d572e5840
umrungen,	w5_d572e5843
jedoch	w7_d572e5846
hat	w9_d572e5849
er	w1_d572e5854
sich	w3_d572e5857
mit	w5_d572e5860
aller	w7_d572e5863
Klugheit	w9_d572e5866
und	w11_d572e5869
Gegen	w13_d572e5873
wart	w1_d572e5878
des	w3_d572e5881
Geistes	w5_d572e5884
von	w7_d572e5887
der	w9_d572e5890
Gefahr	w11_d572e5893
wie	w13_d572e5897
der	w1_d572e5902
los	w3_d572e5905
gemacht.	w5_d572e5908
Hr.	w7_d572e5911
von	w9_d572e5914
Moliere	w11_d572e5917
hat	w13_d572e5921
die	w1_d572e5927
feindliche	w3_d572e5930
Cavallerie	w5_d572e5933
mit	w7_d572e5936
dem	w9_d572e5939
Degen	w11_d572e5942
in	w13_d572e5946
der	w1_d572e5951
Faust	w3_d572e5954
zweymal	w5_d572e5957
scharschirt;	w7_d572e5960
sein	w9_d572e5963
Adjutant	w11_d572e5966
Hr.	w1_d572e5971
Dauffretin	w3_d572e5974
ist	w5_d572e5977
an	w7_d572e5980
dessen	w9_d572e5983
Seite	w11_d572e5986
von	w13_d572e5990
5	w15_d572e5993
Säbel=hieben	w1_d572e5998
in	w3_d572e6001
den	w5_d572e6004
Kopf,	w7_d572e6007
und	w9_d572e6010
von	w11_d572e6013
einem	w13_d572e6017
Flinten=schuß	w1_d572e6023
in	w3_d572e6026
dem	w5_d572e6029
Arm	w7_d572e6032
verwundet	w9_d572e6035
wor	w11_d572e6038
den,	w1_d572e6043
also,	w3_d572e6046
daß	w5_d572e6049
er	w7_d572e6052
mit	w9_d572e6055
dem	w11_d572e6058
Leben	w13_d572e6062
schwerlich	w15_d572e6065
da	w17_d572e6068
von	w1_d572e6073
kommen	w3_d572e6076
wird.	w5_d572e6079
Herr	w7_d572e6082
von	w9_d572e6085
Fuse,	w11_d572e6088
Haupt	w13_d572e6092
mann	w1_d572e6097
bey	w3_d572e6100
des	w5_d572e6103
Königs	w7_d572e6106
Regiment,	w9_d572e6109
so	w11_d572e6112
die	w13_d572e6116
Cavallerie	w1_d572e6122
anführte,	w3_d572e6125
hat	w5_d572e6128
sich	w7_d572e6131
sehr	w9_d572e6134
hervor	w11_d572e6137
gethan.	w1_d572e6142
</p>
<head id="h2_d572e6148">
Hamburg	w1_d572e6152
11.	w3_d572e6155
Julii.	w5_d572e6158
</head>
<p id="p4_d572e6161">
Dieser	w1_d572e6165
Tagen	w3_d572e6168
sind	w5_d572e6171
Se.	w7_d572e6174
Durchlaucht,	w9_d572e6177
der	w1_d572e6182
Herzog	w3_d572e6185
von	w5_d572e6188
Meklenburg,	w7_d572e6191
auf	w9_d572e6194
einige	w11_d572e6197
Tage	w1_d572e6202
von	w3_d572e6205
hier	w5_d572e6208
nach	w7_d572e6211
Lübeck	w9_d572e6214
abgereiset;	w11_d572e6217
man	w1_d572e6223
erwartet	w3_d572e6226
aber	w5_d572e6229
mit	w7_d572e6232
ehestem	w9_d572e6235
Dero	w11_d572e6238
Zu	w13_d572e6242
rückkunft.	w1_d572e6247
Die	w3_d572e6250
den	w5_d572e6253
3ten	w7_d572e6256
dieses	w9_d572e6259
hier	w11_d572e6262
an	w13_d572e6266
gekommene	w1_d572e6271
Königl.	w3_d572e6274
Schwedische,	w5_d572e6277
nach	w7_d572e6280
der	w9_d572e6283
Friedens=versammlung	w1_d572e6288
zu	w3_d572e6291
Augspurg	w5_d572e6294
be	w7_d572e6297
stimmte	w1_d572e6303
Gesandschaft,	w3_d572e6306
bestehet	w5_d572e6309
aus	w7_d572e6312
dem	w9_d572e6315
Herrn	w1_d572e6320
Grafen	w3_d572e6323
Piper,	w5_d572e6326
dem	w7_d572e6329
Herrn	w9_d572e6332
von	w11_d572e6335
Gyl	w13_d572e6339
lenburg,	w1_d572e6344
dem	w3_d572e6347
Herrn	w5_d572e6350
von	w7_d572e6353
Nolken,	w9_d572e6356
welcher	w11_d572e6359
vor	w1_d572e6364
diesem	w3_d572e6367
Krieg	w5_d572e6370
Schwedischer	w7_d572e6373
Gesandter	w9_d572e6376
zu	w1_d572e6382
Berlin	w3_d572e6385
war,	w5_d572e6388
dem	w7_d572e6391
Herrn	w9_d572e6394
Canzley=jun	w11_d572e6397
ker	w1_d572e6402
von	w3_d572e6405
Klinkowström,	w5_d572e6408
und	w7_d572e6411
Herrn	w9_d572e6414
Secre	w11_d572e6417
taire	w1_d572e6422
Eckmann.	w3_d572e6425
Man	w5_d572e6428
hat	w7_d572e6431
seit	w9_d572e6434
ein	w11_d572e6437
paar	w13_d572e6441
Tagen	w1_d572e6446
Nachricht,	w3_d572e6449
daß	w5_d572e6452
das	w7_d572e6455
Rußische	w9_d572e6458
Corps,	w11_d572e6461
welches	w1_d572e6467
der	w3_d572e6470
Herr	w5_d572e6473
General	w7_d572e6476
von	w9_d572e6479
Tottleben	w11_d572e6482
bishero	w1_d572e6487
commandiret	w3_d572e6490
hat,	w5_d572e6493
und	w7_d572e6496
nunmehre	w9_d572e6499
von	w1_d572e6504
dem	w3_d572e6507
Herrn	w5_d572e6510
Obristen	w7_d572e6513
von	w9_d572e6516
Jngersleben	w11_d572e6519
angeführet	w1_d572e6524
wird,	w3_d572e6527
von	w5_d572e6530
Landsberg	w7_d572e6533
nach	w9_d572e6536
Poh	w11_d572e6539
len	w1_d572e6545
marschiret	w3_d572e6548
seye,	w5_d572e6551
um	w7_d572e6554
die	w9_d572e6557
Haupt=armee.	w11_d572e6560
</p>
<p id="p6_d572e6563">
unter	w1_d572e6567
dem	w3_d572e6570
Herrn	w5_d572e6573
Feld=marschall	w7_d572e6576
von	w9_d572e6579
But	w11_d572e6582
turlin,	w1_d572e6587
zu	w3_d572e6590
verstäken.	w5_d572e6593
</p>
<head id="h2_d572e6599">
Aus	w1_d572e6603
der	w3_d572e6606
Nieder=Lausitz	w5_d572e6609
5.	w7_d572e6612
Jul.	w9_d572e6615
</head>
<p id="p4_d572e6618">
Denen	w1_d572e6622
Nachrichten	w3_d572e6625
zufolge,	w5_d572e6628
ist	w7_d572e6631
die	w9_d572e6634
Rus	w11_d572e6637
sische	w1_d572e6642
Armee	w3_d572e6645
zwischen	w5_d572e6648
Züllichau	w7_d572e6651
und	w9_d572e6654
Grün	w11_d572e6657
berg	w1_d572e6662
angekommen,	w3_d572e6665
