<doc id="wr_1759-07-07" attrs="word" year="1759" month="07" day="07" corpus="2">
<head id="h2_d363e4291">
Anrüchte	w1_d363e4295
sein	w3_d363e4967
Haupt=quartier	w5_d363e4970
zu	w7_d363e4973
Wie	w9_d363e4976
denbruck,	w1_d363e4982
der	w3_d363e4985
Erb=prinz	w5_d363e4988
von	w7_d363e4991
Braunschweig	w9_d363e4994
das	w1_d363e4999
seinige	w3_d363e5002
zu	w5_d363e5005
Rittberg,	w7_d363e5008
und	w9_d363e5011
die	w11_d363e5014
Englän	w13_d363e5018
der	w1_d363e5023
das	w3_d363e5026
ihrige	w5_d363e5029
zu	w7_d363e5032
Gutersloh.	w9_d363e5035
Den	w11_d363e5038
21.	w13_d363e5042
stunden	w1_d363e5047
sie	w3_d363e5050
zu	w5_d363e5053
Bielefeld,	w7_d363e5056
zu	w9_d363e5059
Lippstadt	w11_d363e5062
aber	w13_d363e5066
sind	w1_d363e5072
3000.	w3_d363e5075
Mann	w5_d363e5078
zurück	w7_d363e5081
geblieben.	w9_d363e5084
Nach	w11_d363e5087
Briefen	w1_d363e5092
aus	w3_d363e5095
Münster	w5_d363e5098
vom	w7_d363e5101
20.	w9_d363e5104
Junii	w11_d363e5107
ist	w13_d363e5111
der	w1_d363e5116
Herr	w3_d363e5119
von	w5_d363e5122
Armentiers	w7_d363e5125
mit	w9_d363e5128
15.	w11_d363e5131
bis	w13_d363e5135
16000.	w1_d363e5140
Mann	w3_d363e5143
über	w5_d363e5146
Scherembeck	w7_d363e5149
gegen	w9_d363e5152
die	w1_d363e5158
</p>
<p id="p8_d363e5163">
diese	w1_d363e5167
Sadt	w3_d363e5170
im	w5_d363e5173
Anmarsch.	w7_d363e5176
Der	w9_d363e5179
Herr	w11_d363e5182
Ge	w13_d363e5186
neral	w1_d363e5191
von	w3_d363e5194
Wangenheim	w5_d363e5197
hat	w7_d363e5200
sich	w9_d363e5203
mit	w11_d363e5206
Vor	w13_d363e5210
ausschickung	w1_d363e5215
seiner	w3_d363e5218
Bagage	w5_d363e5221
über	w7_d363e5224
Dulmen	w9_d363e5227
zurück	w1_d363e5233
gezogen,	w3_d363e5236
und	w5_d363e5239
schon	w7_d363e5242
den	w9_d363e5245
19.	w11_d363e5248
hat	w13_d363e5252
dieser	w1_d363e5257
General	w3_d363e5260
nebst	w5_d363e5263
seinem	w7_d363e5266
7000.	w9_d363e5269
Mann	w11_d363e5272
starken	w1_d363e5277
Corps	w3_d363e5280
ankommen	w5_d363e5283
sollen,	w7_d363e5286
welches	w9_d363e5289
aber	w1_d363e5294
einstwellen	w3_d363e5297
das	w5_d363e5300
Lager	w7_d363e5303
auf	w9_d363e5306
der	w11_d363e5309
Seite	w13_d363e5313
von	w1_d363e5319
Coesfeld	w3_d363e5322
beziehen	w5_d363e5325
wird.	w7_d363e5328
Jm	w9_d363e5331
Heßi	w11_d363e5334
schen	w1_d363e5339
und	w3_d363e5342
zwar	w5_d363e5345
zu	w7_d363e5348
Cassel	w9_d363e5351
ist	w11_d363e5354
seit	w13_d363e5358
dem	w15_d363e5361
Ab	w17_d363e5364
marsch	w1_d363e5369
unter	w3_d363e5372
dem	w5_d363e5375
Herrn	w7_d363e5378
Herzog	w9_d363e5381
von	w11_d363e5384
Bro	w13_d363e5388
glie,	w1_d363e5393
der	w3_d363e5396
Herr	w5_d363e5399
von	w7_d363e5402
Waldener	w9_d363e5405
mit	w11_d363e5408
4.	w13_d363e5412
Ba	w15_d363e5415
taillons	w1_d363e5421
und	w3_d363e5424
2.	w5_d363e5427
Escadrons	w7_d363e5430
zurück	w9_d363e5433
geblie	w11_d363e5436
ben.	w1_d363e5441
Der	w3_d363e5444
geschwinde	w5_d363e5447
Marsch	w7_d363e5450
des	w9_d363e5453
Herrn	w11_d363e5456
Herzogs	w1_d363e5461
hat	w3_d363e5464
der	w5_d363e5467
Armee	w7_d363e5470
mehr	w9_d363e5473
als	w11_d363e5476
500000.	w13_d363e5480
Rationen	w1_d363e5485
an	w3_d363e5488
Fourage,	w5_d363e5491
20000.	w7_d363e5494
an	w9_d363e5497
Ha	w11_d363e5500
ber,	w1_d363e5506
15000.	w3_d363e5509
Säcke	w5_d363e5512
Korn	w7_d363e5515
und	w9_d363e5518
Mehl,	w11_d363e5521
ohne	w13_d363e5525
denen	w1_d363e5530
auf	w3_d363e5533
der	w5_d363e5536
Weser	w7_d363e5539
erbeuteten	w9_d363e5542
Schiffen	w11_d363e5545
ver	w13_d363e5549
schaft.	w1_d363e5554
Man	w3_d363e5557
hat	w5_d363e5560
zwar	w7_d363e5563
noch	w9_d363e5566
keinen	w11_d363e5569
be	w13_d363e5573
stimmten	w1_d363e5578
Wert	w3_d363e5581
davon;	w5_d363e5584
allein	w7_d363e5587
man	w9_d363e5590
kan	w11_d363e5593
doch	w1_d363e5599
versichern,	w3_d363e5602
daß	w5_d363e5605
alle	w7_d363e5608
diese	w9_d363e5611
Magazine	w11_d363e5614
mehr	w1_d363e5619
als	w3_d363e5622
300000.	w5_d363e5625
Thlr.	w7_d363e5628
zu	w9_d363e5631
schätzen	w11_d363e5634
seynd.	w13_d363e5638
Der	w1_d363e5643
gröste	w3_d363e5646
Theil	w5_d363e5649
dieses	w7_d363e5652
Vorrats	w9_d363e5655
wird	w11_d363e5658
nach	w1_d363e5663
Cassel	w3_d363e5666
gebracht,	w5_d363e5669
wie	w7_d363e5672
dann	w9_d363e5675
hierzu	w11_d363e5678
eini	w13_d363e5682
ge	w1_d363e5688
1000.	w3_d363e5691
Wägen,	w5_d363e5694
nebst	w7_d363e5697
vielen	w9_d363e5700
Schiffen	w11_d363e5703
im	w1_d363e5708
Heßischen	w3_d363e5711
und	w5_d363e5714
Hanövrischen	w7_d363e5717
beordert	w9_d363e5720
sind.	w1_d363e5725
Denen	w3_d363e5728
Einwohnern	w5_d363e5731
ist	w7_d363e5734
auch	w9_d363e5737
ange	w11_d363e5740
deutet	w1_d363e5745
worden,	w3_d363e5748
die	w5_d363e5751
alte	w7_d363e5754
Rückstände	w9_d363e5757
abzu	w11_d363e5760
führen,	w1_d363e5766
und	w3_d363e5769
über	w5_d363e5772
dieses	w7_d363e5775
aufs	w9_d363e5778
neue	w11_d363e5781
200000.	w13_d363e5785
Rthlr.	w1_d363e5790
zu	w3_d363e5793
erlegen.	w5_d363e5796
</p>
<head id="h2_d363e5802">
Altona	w1_d363e5806
21.	w3_d363e5809
Junii.	w5_d363e5812
</head>
<p id="p4_d363e5815">
Die	w1_d363e5819
Nachrichten	w3_d363e5822
aus	w5_d363e5825
Pommern	w7_d363e5828
vom	w9_d363e5831
15.	w11_d363e5834
dieses	w1_d363e5839
melden	w3_d363e5842
von	w5_d363e5845
denen	w7_d363e5848
Bewegungen	w9_d363e5851
der	w11_d363e5854
Königl.	w1_d363e5859
Schwedischen	w3_d363e5862
Armee	w5_d363e5865
nichtes	w7_d363e5868
Ver	w9_d363e5871
änderliches.	w1_d363e5877
Das	w3_d363e5880
Haupt=quartier	w5_d363e5883
war	w7_d363e5886
damals	w1_d363e5891
noch	w3_d363e5894
zu	w5_d363e5897
Greifswalde,	w7_d363e5900
allein	w9_d363e5903
man	w11_d363e5906
versichert,	w1_d363e5911
daß	w3_d363e5914
bey	w5_d363e5917
Annäherung	w7_d363e5920
deren	w9_d363e5923
Rußischen	w1_d363e5928
Trupen,	w3_d363e5931
welche	w5_d363e5934
(wie	w7_d363e5937
es	w9_d363e5940
heist)	w11_d363e5943
aufs	w1_d363e5949
neue	w3_d363e5952
die	w5_d363e5955
Belagerung	w7_d363e5958
von	w9_d363e5961
Colberg	w11_d363e5964
vor	w13_d363e5968
nehmen	w1_d363e5973
werden,	w3_d363e5976
auch	w5_d363e5979
Schwedischer	w7_d363e5982
Seits	w9_d363e5985
verschiedene	w1_d363e5990
Corps	w3_d363e5993
gegen	w5_d363e5996
die	w7_d363e5999
Ukermark	w9_d363e6002
zie	w11_d363e6005
hen	w1_d363e6010
würden.	w3_d363e6013
Auf	w5_d363e6016
der	w7_d363e6019
Jnsul	w9_d363e6022
Rügen,	w11_d363e6025
und	w13_d363e6029
zwar	w1_d363e6035
an	w3_d363e6038
der	w5_d363e6041
Schwinemünder=schanze	w7_d363e6044
sind	w9_d363e6047
einige	w1_d363e6052
20.	w3_d363e6055
Galeeren	w5_d363e6058
angelangt,	w7_d363e6061
welche	w9_d363e6064
sich	w11_d363e6067
</p>
<p id="p6_d363e6070">
mit	w1_d363e6074
der	w3_d363e6077
Schwedischen	w5_d363e6080
Flotte	w7_d363e6083
vereinigen,	w9_d363e6086
und	w1_d363e6091
im	w3_d363e6094
Balthischen	w5_d363e6097
Meer	w7_d363e6100
die	w9_d363e6103
Handlung	w11_d363e6106
bey	w13_d363e6110
der	w1_d363e6115
Nationen	w3_d363e6118
decken	w5_d363e6121
sollen.	w7_d363e6124
Der	w9_d363e6127
Zustand	w11_d363e6130
der	w1_d363e6136
Mecklenburgischen	w3_d363e6139
Landen	w5_d363e6142
ist	w7_d363e6145
noch	w9_d363e6148
im	w11_d363e6151
mer	w1_d363e6156
sehr	w3_d363e6159
betrübt.	w5_d363e6162
Die	w7_d363e6165
Preussen	w9_d363e6168
haben	w11_d363e6171
zwar	w1_d363e6176
den	w3_d363e6179
geforderten	w5_d363e6182
Rückstand	w7_d363e6185
noch	w9_d363e6188
nicht	w11_d363e6191
abholen	w1_d363e6196
lassen;	w3_d363e6199
allein	w5_d363e6202
die	w7_d363e6205
Drohungen	w9_d363e6208
ge	w11_d363e6211
gen	w1_d363e6217
ihre	w3_d363e6220
mitgenommene	w5_d363e6223
Geisel	w7_d363e6226
sind	w9_d363e6229
desto	w11_d363e6232
härter.	w1_d363e6237
Falls	w3_d363e6240
sie	w5_d363e6243
auch	w7_d363e6246
im	w9_d363e6249
künftigen	w11_d363e6252
Jah	w13_d363e6256
re	w1_d363e6261
wieder	w3_d363e6264
kommen	w5_d363e6267
solten,	w7_d363e6270
so	w9_d363e6273
werden	w11_d363e6276
sie,	w13_d363e6280
wie	w1_d363e6285
die	w3_d363e6288
Berichte	w5_d363e6291
aus	w7_d363e6294
Schwerin	w9_d363e6297
vom	w11_d363e6300
12.	w13_d363e6304
melden,	w1_d363e6310
überall	w3_d363e6313
reine	w5_d363e6316
Häuser	w7_d363e6319
finden,	w9_d363e6322
weil	w11_d363e6325
die	w1_d363e6330
Einwohner	w3_d363e6333
in	w5_d363e6336
denen	w7_d363e6339
Städten	w9_d363e6342
alles	w11_d363e6345
das	w13_d363e6349
Jhrige	w1_d363e6354
verpfändet,	w3_d363e6357
und	w5_d363e6360
in	w7_d363e6363
solche	w9_d363e6366
Armut	w11_d363e6369
ver	w13_d363e6373
fallen,	w1_d363e6378
daß	w3_d363e6381
sie	w5_d363e6384
sich	w7_d363e6387
in	w9_d363e6390
20.	w11_d363e6393
Jahren	w13_d363e6397
nicht	w15_d363e6400
wieder	w1_d363e6406
erholen	w3_d363e6409
können.	w5_d363e6412
</p>
<head id="h2_d363e6419">
Hanau	w1_d363e6423
30.	w3_d363e6426
Junii.	w5_d363e6429
</head>
<p id="p4_d363e6432">
So	w1_d363e6436
sehr	w3_d363e6439
man	w5_d363e6442
vermuten	w7_d363e6445
konte,	w9_d363e6448
daß	w11_d363e6451
es	w1_d363e6456
in	w3_d363e6459
denen	w5_d363e6462
Gegenden	w7_d363e6465
der	w9_d363e6468
Lippe,	w11_d363e6471
und	w13_d363e6475
zwar	w15_d363e6478
zwischen	w1_d363e6483
Büren	w3_d363e6486
und	w5_d363e6489
Stadtbergen	w7_d363e6492
zu	w9_d363e6495
einem	w11_d363e6498
Treffen	w1_d363e6504
kommen	w3_d363e6507
dörfte,	w5_d363e6510
so	w7_d363e6513
geschwinde	w9_d363e6516
hat	w11_d363e6519
sich	w1_d363e6524
der	w3_d363e6527
bisherige	w5_d363e6530
Stand	w7_d363e6533
der	w9_d363e6536
Alliirten	w11_d363e6539
Ar	w13_d363e6543
mee	w1_d363e6548
durch	w3_d363e6551
eine	w5_d363e6554
weitere	w7_d363e6557
Bewegung	w9_d363e6560
abgean	w11_d363e6563
dert.	w1_d363e6568
Man	w3_d363e6571
dachte	w5_d363e6574
hieran	w7_d363e6577
um	w9_d363e6580
so	w11_d363e6583
weniget,	w13_d363e6587
da	w1_d363e6593
ihr	w3_d363e6596
Lager	w5_d363e6599
bey	w7_d363e6602
Büren	w9_d363e6605
eines	w11_d363e6608
der	w13_d363e6612
vortheil	w15_d363e6615
haftesten	w1_d363e6620
war.	w3_d363e6623
Sie	w5_d363e6626
hatten	w7_d363e6629
den	w9_d363e6632
tieffen	w11_d363e6635
Thal,	w13_d363e6639
wodurch	w1_d363e6644
die	w3_d363e6647
Alme	w5_d363e6650
fleust,	w7_d363e6653
und	w9_d363e6656
das	w11_d363e6659
Städt	w13_d363e6663
gen	w1_d363e6668
Büren	w3_d363e6671
vor	w5_d363e6674
sich,	w7_d363e6677
die	w9_d363e6680
Vor=posten	w11_d363e6683
stün	w13_d363e6687
den	w1_d363e6693
auf	w3_d363e6696
denen	w5_d363e6699
Anhöhen,	w7_d363e6702
die	w9_d363e6705
Flanken	w11_d363e6708
wa	w13_d363e6712
ren	w1_d363e6717
sehr	w3_d363e6720
verretranschiret,	w5_d363e6723
und	w7_d363e6726
die	w9_d363e6729
Batterlen	w11_d363e6732
mit	w1_d363e6737
Canonen	w3_d363e6740
versehen;	w5_d363e6743
allein	w7_d363e6746
die	w9_d363e6749
Bewe	w11_d363e6752
gungen	w1_d363e6757
eines	w3_d363e6760
Französischen	w5_d363e6763
Corps	w7_d363e6766
von	w9_d363e6769
16000.	w1_d363e6775
Mann	w3_d363e6778
unter	w5_d363e6781
Sr.	w7_d363e6784
Königl.	w9_d363e6787
Hoheit	w11_d363e6790
dem	w1_d363e6795
Prinzen	w3_d363e6798
Xaver	w5_d363e6801
gegen	w7_d363e6804
Paderborn,	w9_d363e6807
und	w11_d363e6810
die	w1_d363e6815
durch	w3_d363e6818
forcirte	w5_d363e6821
Märsche	w7_d363e6824
zu	w9_d363e6827
besorgende	w11_d363e6830
Abschneidung	w1_d363e6835
von	w3_d363e6838
der	w5_d363e6841
Communication	w7_d363e6844
über	w9_d363e6847
Rittberg	w1_d363e6853
und	w3_d363e6856
Bielefeld	w5_d363e6859
mit	w7_d363e6862
der	w9_d363e6865
Weser	w11_d363e6868
und	w13_d363e6872
dem	w1_d363e6877
Münsterischen	w3_d363e6880
haben	w5_d363e6883
den	w7_d363e6886
Prinz	w9_d363e6889
Fer	w11_d363e6892
dinand	w1_d363e6897
vornämlich	w3_d363e6900
veranlasset,	w5_d363e6903
mit	w7_d363e6906
der	w9_d363e6909
gän	w11_d363e6912
zen	w1_d363e6917
Armee	w3_d363e6920
in	w5_d363e6923
die	w7_d363e6926
Gegenden	w9_d363e6929
von	w11_d363e6932
Lippstadt	w13_d363e6936
zurück	w1_d363e6942
zu	w3_d363e6945
kehren,	w5_d363e6948
welche	w7_d363e6951
sich	w9_d363e6954
allda	w11_d363e6957
in	w13_d363e6961
2.	w15_d363e6964
Linien	w1_d363e6969
lagerte,	w3_d363e6972
und	w5_d363e6975
den	w7_d363e6978
Giseler=fluß	w9_d363e6981
be	w11_d363e6984
</p>
<p id="p10_d363e6997">
setzte.	w1_d363e7001
Unterhalb	w3_d363e7004
dieser	w5_d363e7007
Festung	w7_d363e7010
waren	w9_d363e7013
Schif=brücken	w1_d363e7018
geschlagen,	w3_d363e7021
worüber	w5_d363e7024
die	w7_d363e7027
schwere	w1_d363e7032
Equipage	w3_d363e7035
und	w5_d363e7038
die	w7_d363e7041
Artillerie	w9_d363e7044
voraus	w11_d363e7047
gieng;	w1_d363e7053
den	w3_d363e7056
20.	w5_d363e7059
früh	w7_d363e7062
aber	w9_d363e7065
brach	w11_d363e7068
auch	w13_d363e7072
die	w15_d363e7075
ganze	w1_d363e7080
Armee	w3_d363e7083
auf,	w5_d363e7086
und	w7_d363e7089
paßirte	w9_d363e7092
sie	w11_d363e7095
in	w13_d363e7099
be	w15_d363e7102
ster	w1_d363e7107
Ordnung.	w3_d363e7110
Der	w5_d363e7113
General	w7_d363e7116
von	w9_d363e7119
Jmhof	w11_d363e7122
war	w1_d363e7127
mit	w3_d363e7130
einem	w5_d363e7133
starken	w7_d363e7136
Corps	w9_d363e7139
und	w11_d363e7142
Artille	w13_d363e7146
rie	w1_d363e7152
auf	w3_d363e7155
Rittberg	w5_d363e7158
voraus	w7_d363e7161
gegangen,	w9_d363e7164
der	w11_d363e7167
Prinz	w1_d363e7172
Ferdinand	w3_d363e7175
folgte	w5_d363e7178
ihm	w7_d363e7181
mit	w9_d363e7184
der	w11_d363e7187
Haupt	w13_d363e7191
colonne	w1_d363e7196
der	w3_d363e7199
Armee,	w5_d363e7202
der	w7_d363e7205
Prinz	w9_d363e7208
Carl	w11_d363e7211
von	w13_d363e7215
Bevern	w1_d363e7220
aber	w3_d363e7223
führte	w5_d363e7226
die	w7_d363e7229
Arrier=garde.	w9_d363e7232
Bey	w11_d363e7235
diesem	w1_d363e7241
Rückmarsch	w3_d363e7244
deren	w5_d363e7247
Alliirten	w7_d363e7250
ist	w9_d363e7253
von	w11_d363e7256
der	w1_d363e7261
Französischen	w3_d363e7264
Haupt=armee	w5_d363e7267
keine	w7_d363e7270
Be	w9_d363e7273
wegung	w1_d363e7278
gemacht	w3_d363e7281
worden,	w5_d363e7284
nur	w7_d363e7287
die	w9_d363e7290
leichte	w11_d363e7293
Trupen	w1_d363e7298
des	w3_d363e7301
nach	w5_d363e7304
Paderborn	w7_d363e7307
vorgerückten	w9_d363e7310
Corps	w1_d363e7316
streiften	w1_d363e7321
bis	w3_d363e7324
Bielefeld,	w5_d363e7327
und	w7_d363e7330
zogen	w9_d363e7333
sich	w1_d363e7338
von	w3_d363e7341
da	w5_d363e7344
nach	w7_d363e7347
Senne.	w9_d363e7350
Zu	w11_d363e7353
Dorsten	w13_d363e7357
ob	w15_d363e7360
servirt	w1_d363e7365
der	w3_d363e7368
General	w5_d363e7371
von	w7_d363e7374
Armentieres	w9_d363e7377
die	w11_d363e7380
Bewegungen	w1_d363e7386
des	w3_d363e7389
Herrn	w5_d363e7392
von	w7_d363e7395
Wangenheims,	w9_d363e7398
welcher	w1_d363e7403
zwischen	w1_d363e7408
Haltern	w3_d363e7411
und	w5_d363e7414
Dulmen	w7_d363e7417
po	w9_d363e7420
stirt	w1_d363e7425
ist,	w3_d363e7428
und	w5_d363e7431
Mine	w7_d363e7434
macht,	w9_d363e7437
sich	w11_d363e7440
nach	w13_d363e7444
Mün	w15_d363e7447
ster	w1_d363e7453
zu	w3_d363e7456
ziehen,	w5_d363e7459
als	w7_d363e7462
welche	w9_d363e7465
Stadt	w11_d363e7468
einer	w13_d363e7472
Belagerung	w1_d363e7477
ausgesetzt	w3_d363e7480
seyn	w5_d363e7483
dörfte.	w7_d363e7486
</p>
<head id="h2_d363e7492">
Bremen	w1_d363e7496
16.	w3_d363e7499
Junii.	w5_d363e7502
</head>
<p id="p4_d363e7505">
Vorgestern	w1_d363e7509
ist	w3_d363e7512
der	w5_d363e7515
Land=graf	w7_d363e7518
von	w9_d363e7521
Hes	w11_d363e7524
fen=cassel	w1_d363e7529
in	w3_d363e7532
dieser	w5_d363e7535
Stadt	w7_d363e7538
angekommen.	w9_d363e7541
Der	w1_d363e7546
neue	w3_d363e7549
Einfall	w5_d363e7552
deren	w7_d363e7555
Franzosen,	w9_d363e7558
und	w11_d363e7561
die	w13_d363e7565
geschehene	w1_d363e7571
Bemächtigung	w3_d363e7574
von	w5_d363e7577
desselben	w7_d363e7580
Landen	w1_d363e7585
hat	w3_d363e7588
den	w5_d363e7591
alten	w7_d363e7594
Land=grafen	w9_d363e7597
so	w11_d363e7600
be	w13_d363e7604
stürzt,	w1_d363e7609
daß	w3_d363e7612
man	w5_d363e7615
sich	w7_d363e7618
wenig	w9_d363e7621
Hofnung	w11_d363e7624
zu	w13_d363e7628
dessen	w1_d363e7633
Genesung	w3_d363e7636
machet;	w5_d363e7639
2.	w7_d363e7642
Leute	w9_d363e7645
haben	w11_d363e7648
diesen	w1_d363e7654
kranken	w3_d363e7657
Herrn	w5_d363e7660
aus	w7_d363e7663
seiner	w9_d363e7666
Kutsche	w11_d363e7669
in	w1_d363e7674
sein	w3_d363e7677
Appartement	w5_d363e7680
tragen	w7_d363e7683
müssen,	w9_d363e7686
dessen	w11_d363e7689
Gefolg	w1_d363e7694
ist	w3_d363e7697
sehr	w5_d363e7700
zahlreich,	w7_d363e7703
seine	w9_d363e7706
Hof=herrn	w11_d363e7709
und	w1_d363e7714
Domestiquen	w3_d363e7717
seind	w5_d363e7720
mit	w7_d363e7723
ihren	w9_d363e7726
Gemah	w11_d363e7729
linnen	w1_d363e7735
und	w3_d363e7738
Kindern	w5_d363e7741
demselben	w7_d363e7744
nachgefolget;	w9_d363e7747
und	w1_d363e7752
wann	w3_d363e7755
dieser	w5_d363e7758
Fürst	w7_d363e7761
eine	w9_d363e7764
Stund	w11_d363e7767
später	w13_d363e7771
von	w1_d363e7776
Rintelen	w3_d363e7779
abgereiset,	w5_d363e7782
so	w7_d363e7785
wäre	w9_d363e7788
er	w11_d363e7791
durch	w13_d363e7795
die	w1_d363e7800
Vor=trupen	w3_d363e7803
der	w5_d363e7806
Contadischen	w7_d363e7809
Armee	w9_d363e7812
aufgehoben	w1_d363e7818
worden,	w3_d363e7821
welches	w5_d363e7824
eine	w7_d363e7827
klare	w9_d363e7830
An	w11_d363e7833
zeige	w1_d363e7838
ist,	w3_d363e7841
daß	w5_d363e7844
die	w7_d363e7847
Französische	w9_d363e7850
Trupen	w11_d363e7853
schon	w1_d363e7858
in	w3_d363e7861
Hanover	w5_d363e7864
eingedrungen	w7_d363e7867
seyen,	w9_d363e7870
und	w11_d363e7873
den	w1_d363e7878
Meister	w3_d363e7881
spielen.	w5_d363e7884
Der	w7_d363e7887
Herr	w9_d363e7890
Land=graf	w11_d363e7893
</p>
<p id="p6_d363e7896">
hat	w1_d363e7900
nach	w3_d363e7903
Londen	w5_d363e7906
ein	w7_d363e7909
sehr	w9_d363e7912
nachdrückliches	w11_d363e7915
Schreiben	w1_d363e7920
über	w3_d363e7923
seinen	w5_d363e7926
Zustand	w7_d363e7929
abgehen	w9_d363e7932
las	w11_d363e7935
sen.	w1_d363e7940
Se.	w3_d363e7943
Durchl.	w5_d363e7946
beklagen	w7_d363e7949
sich	w9_d363e7952
