<doc id="wr_1760-05-24" attrs="word" year="1760" month="05" day="24" corpus="2">
<head id="h2_d452e2550">
Weichsel=strom	w1_d452e2554
Marienwerder	w5_d452e2830
und	w7_d452e2833
Thorn.	w9_d452e2836
</p>
<head id="h2_d452e2842">
Thorn	w1_d452e2846
8.	w3_d452e2849
April	w5_d452e2852
</head>
<p id="p4_d452e2855">
schern	w1_d452e2859
unter	w3_d452e2862
wllerenddern	w5_d452e2865
Nachgnittagst	w7_d452e2868
goltes=dienst	w1_d452e2873
wurden	w3_d452e2876
wir	w5_d452e2879
in	w7_d452e2882
grosses	w9_d452e2885
Schre	w11_d452e2888
cken	w1_d452e2893
versetzet,	w3_d452e2896
als	w5_d452e2899
wir	w7_d452e2902
2.	w9_d452e2905
entsetzliche	w11_d452e2908
Schlä	w13_d452e2912
ge	w1_d452e2918
hörten,	w3_d452e2921
und	w5_d452e2924
zu	w7_d452e2927
gleicher	w9_d452e2930
Zeit	w11_d452e2933
auch	w13_d452e2937
die	w15_d452e2940
Feyster	w1_d452e2945
des	w3_d452e2948
Bett=hauses	w5_d452e2951
in	w7_d452e2954
tausend	w9_d452e2957
Stü	w11_d452e2960
</p>
<p id="p6_d452e2963">
cken	w1_d452e2967
giengen,	w3_d452e2970
und	w5_d452e2973
die	w7_d452e2976
Thüren	w9_d452e2979
auseinander	w11_d452e2982
sprungen.	w1_d452e2987
Es	w3_d452e2990
wurde	w5_d452e2993
dieses	w7_d452e2996
durch	w9_d452e2999
etliche	w11_d452e3002
in	w1_d452e3007
die	w3_d452e3010
Luft	w5_d452e3013
gesprengte	w7_d452e3016
Pulver	w9_d452e3019
und	w11_d452e3022
Ammu	w13_d452e3026
nitions=kästen	w1_d452e3032
verursachet,	w3_d452e3035
die	w5_d452e3038
auf	w7_d452e3041
dem	w9_d452e3044
Walle	w1_d452e3049
vor	w3_d452e3052
dem	w5_d452e3055
Alt=thornischen	w7_d452e3058
Thore	w9_d452e3061
stun	w11_d452e3064
den,	w1_d452e3069
und	w3_d452e3072
bey	w5_d452e3075
denen	w7_d452e3078
etwas	w9_d452e3081
gearbeitet	w11_d452e3084
wurde.	w13_d452e3088
Man	w1_d452e3093
weiß	w3_d452e3096
gar	w5_d452e3099
nicht,	w7_d452e3102
wie	w9_d452e3105
dieses	w11_d452e3108
Unglück	w13_d452e3112
entstanden;	w1_d452e3118
so	w3_d452e3121
viel	w5_d452e3124
wissen	w7_d452e3127
wir,	w9_d452e3130
daß	w11_d452e3133
es	w13_d452e3137
lei	w15_d452e3140
der	w1_d452e3145
sehr	w3_d452e3148
betrübte	w5_d452e3151
Folgen	w7_d452e3154
gehabt.	w9_d452e3157
Dann	w11_d452e3160
wie	w1_d452e3165
der	w3_d452e3168
Schrecken	w5_d452e3171
nicht	w7_d452e3174
nur	w9_d452e3177
die	w11_d452e3180
überfiel,	w13_d452e3184
welche	w1_d452e3189
in	w3_d452e3192
dem	w5_d452e3195
Bett=hause	w7_d452e3198
zugegen	w9_d452e3201
waren,	w11_d452e3204
sondern	w1_d452e3210
wenigstens	w3_d452e3213
in	w5_d452e3216
der	w7_d452e3219
ganzen	w9_d452e3222
alten	w11_d452e3225
Stadt	w13_d452e3229
allgemein	w1_d452e3234
war;	w3_d452e3237
so	w5_d452e3240
ist	w7_d452e3243
auch	w9_d452e3246
bey	w11_d452e3249
nahe	w13_d452e3253
an	w15_d452e3256
al	w17_d452e3259
len	w1_d452e3264
Häusern,	w3_d452e3267
die	w5_d452e3270
gegen	w7_d452e3273
Westen	w9_d452e3276
sind,	w11_d452e3279
an	w13_d452e3283
denen	w1_d452e3288
Dächern,	w3_d452e3291
Fenstern,	w5_d452e3294
Oefen,	w7_d452e3297
Wän	w9_d452e3300
den,	w1_d452e3306
irrdenen	w3_d452e3309
Geschirr,	w5_d452e3312
Aufsätzen	w7_d452e3315
und	w9_d452e3318
Thüren,	w1_d452e3323
ein	w3_d452e3326
sehr	w5_d452e3329
grosser	w7_d452e3332
und	w9_d452e3335
beträchtlicher	w11_d452e3338
Schade	w1_d452e3343
geschehen;	w3_d452e3346
zu	w5_d452e3349
geschweigen,	w7_d452e3352
wie	w9_d452e3355
die	w11_d452e3358
Granaten,	w1_d452e3363
Cartetschen	w3_d452e3366
und	w5_d452e3369
kleine	w7_d452e3372
Stück	w9_d452e3375
kugeln,	w1_d452e3381
Eisen	w3_d452e3384
und	w5_d452e3387
Holz	w7_d452e3390
Hauffen=weis	w9_d452e3393
in	w11_d452e3396
</p>
<p id="p10_d452e3401">
die	w1_d452e3405
Häuser	w3_d452e3408
und	w5_d452e3411
auf	w7_d452e3414
die	w9_d452e3417
Strassen	w11_d452e3420
geflogen.	w13_d452e3424
Der	w1_d452e3429
unglückliche	w3_d452e3432
Schlag	w5_d452e3435
zündete	w7_d452e3438
sogleich	w9_d452e3441
die	w11_d452e3444
Häuser	w1_d452e3449
auf	w3_d452e3452
der	w5_d452e3455
Fischer=vorstadt	w7_d452e3458
an,	w9_d452e3461
wo	w11_d452e3464
von	w1_d452e3470
auch	w3_d452e3473
1.	w5_d452e3476
abgebrantt,	w7_d452e3479
die	w9_d452e3482
übrigen	w11_d452e3485
aber	w13_d452e3489
nebst	w1_d452e3494
der	w3_d452e3497
dabey	w5_d452e3500
stehenden	w7_d452e3503
Schneid=mühle	w9_d452e3506
Stettin	w11_d452e3509
bewafnete	w13_d452e3513
Fahr=zeuge	w15_d452e3516
sich	w17_d452e3519
zwar	w19_d452e3522
in	w21_d452e3525
noch	w1_d452e3530
glücklich	w3_d452e3533
gerettet	w5_d452e3536
worden	w7_d452e3539
sind,	w9_d452e3542
wei	w11_d452e3545
nicht	w1_d452e3550
die	w3_d452e3553
geringste	w5_d452e3556
Luft	w7_d452e3559
wehete,	w9_d452e3562
und	w11_d452e3565
des	w13_d452e3569
Herrn	w1_d452e3575
General=leutenants,	w3_d452e3578
Grafens	w5_d452e3581
von	w7_d452e3584
Romanzof	w1_d452e3589
Excellenz,	w3_d452e3592
welche	w5_d452e3595
selbst	w7_d452e3598
gegen	w9_d452e3601
wärtig	w1_d452e3606
waren,	w3_d452e3609
die	w5_d452e3612
besten	w7_d452e3615
Anstalten	w9_d452e3618
dabei	w11_d452e3621
machte.	w1_d452e3626
Vorzüglich	w3_d452e3629
hat	w5_d452e3632
an	w7_d452e3635
öffentlichen	w9_d452e3638
Ge	w11_d452e3641
bäuden	w1_d452e3647
das	w3_d452e3650
Alt=thornische	w5_d452e3653
Thor,	w7_d452e3656
Wach	w9_d452e3659
stube	w1_d452e3664
und	w3_d452e3667
Mühle,	w5_d452e3670
der	w7_d452e3673
Stadt=hof,	w9_d452e3676
das	w11_d452e3679
neue	w1_d452e3684
GOttes=haus,	w3_d452e3687
Raht=haus,	w5_d452e3690
Gym	w7_d452e3693
nasium	w1_d452e3698
und	w3_d452e3701
die	w5_d452e3704
St.	w7_d452e3707
Marien=kirche,	w9_d452e3710
an	w11_d452e3713
Dächern	w1_d452e3719
und	w3_d452e3722
Fenstern	w5_d452e3725
sehr	w7_d452e3728
beträchtlichen	w9_d452e3731
Schaden	w1_d452e3736
gelitten.	w3_d452e3739
Von	w5_d452e3742
denen	w7_d452e3745
bey	w9_d452e3748
denen	w11_d452e3751
Pulver=kästen	w1_d452e3756
befindlichen	w3_d452e3759
Soldaten	w5_d452e3762
sind	w7_d452e3765
17.	w1_d452e3770
Mann,	w3_d452e3773
1.	w5_d452e3776
Caporal,	w7_d452e3779
und	w9_d452e3782
1.	w11_d452e3785
Stück	w13_d452e3789
junker,	w1_d452e3795
Herr	w3_d452e3798
von	w5_d452e3801
Eck,	w7_d452e3804
getödtet,	w9_d452e3807
auch	w11_d452e3810
ist	w13_d452e3814
an	w1_d452e3819
andern	w3_d452e3822
Kästen	w5_d452e3825
und	w7_d452e3828
Lavetten	w9_d452e3831
vieler	w11_d452e3834
Scha	w13_d452e3838
de	w1_d452e3843
verursachet	w3_d452e3846
worden,	w5_d452e3849
deren	w7_d452e3852
Trümmern	w9_d452e3855
überall	w1_d452e3860
gelegen.	w3_d452e3863
Es	w5_d452e3866
ist	w7_d452e3869
auch	w9_d452e3872
eine	w11_d452e3875
Fische	w13_d452e3879
rin	w1_d452e3885
von	w3_d452e3888
einer	w5_d452e3891
Kugel	w7_d452e3894
sehr	w9_d452e3897
gefährlich	w11_d452e3900
verwun	w13_d452e3904
det	w1_d452e3909
worden,	w3_d452e3912
daß	w5_d452e3915
an	w7_d452e3918
ihrer	w9_d452e3921
Genesung	w11_d452e3924
gezwei	w13_d452e3928
felt	w1_d452e3933
wird.	w3_d452e3936
</p>
<head id="h2_d452e3942">
Stockholm	w1_d452e3946
29.	w3_d452e3949
April.	w5_d452e3952
</head>
<p id="p4_d452e3955">
Jn	w1_d452e3959
diesen	w3_d452e3962
Tagen	w5_d452e3965
sind	w7_d452e3968
verschiedene	w9_d452e3971
Offi	w11_d452e3974
ciers	w1_d452e3979
nach	w3_d452e3982
kurz	w5_d452e3985
zuvor	w7_d452e3988
erhaltenem	w9_d452e3991
Befehl	w11_d452e3994
schleunig	w1_d452e3999
von	w3_d452e4002
hier	w5_d452e4005
nach	w7_d452e4008
Pommern,	w9_d452e4011
zur	w11_d452e4014
Kö	w13_d452e4018
nigl.	w1_d452e4024
Armee	w3_d452e4027
abgereiset.	w5_d452e4030
Diesen	w7_d452e4033
werden	w9_d452e4036
nun	w1_d452e4041
täglich	w3_d452e4044
mehrere	w5_d452e4047
nachfolgen.	w7_d452e4050
Nach	w9_d452e4053
de	w11_d452e4056
nen	w1_d452e4061
jüngsten	w3_d452e4064
Nachrichten	w5_d452e4067
aus	w7_d452e4070
verschiedenen	w9_d452e4073
Landschaften	w1_d452e4078
dieses	w3_d452e4081
Reichs,	w5_d452e4084
sind	w7_d452e4087
die	w9_d452e4090
nach	w11_d452e4093
Pommern	w1_d452e4099
bestimmte	w3_d452e4102
Recruten	w5_d452e4105
überall	w7_d452e4108
im	w9_d452e4111
Marsche	w1_d452e4116
nach	w3_d452e4119
denen	w5_d452e4122
Hafen	w7_d452e4125
begriffen.	w9_d452e4128
Von	w11_d452e4131
Schonen	w1_d452e4136
hat	w3_d452e4139
man	w5_d452e4142
abermal	w7_d452e4145
viele	w9_d452e4148
Mondur	w11_d452e4151
stücke,	w1_d452e4156
nebst	w3_d452e4159
anderen	w5_d452e4162
Bedürfnüssen	w7_d452e4165
nach	w9_d452e4168
Pom	w11_d452e4171
mern	w1_d452e4177
übergesandt,	w3_d452e4180
und	w5_d452e4183
zu	w7_d452e4186
Carlscron	w9_d452e4189
wird	w11_d452e4192
mit	w1_d452e4197
der	w3_d452e4200
Arbeit	w5_d452e4203
an	w7_d452e4206
Ausrüstung	w9_d452e4209
einer	w11_d452e4212
Esca	w13_d452e4216
dre	w1_d452e4221
beständig	w3_d452e4224
fortgefahren.	w5_d452e4227
Einige	w7_d452e4230
Fre	w9_d452e4233
gatten	w1_d452e4238
sollen	w3_d452e4241
bereits	w5_d452e4244
von	w7_d452e4247
da	w9_d452e4250
ausgeloffen	w11_d452e4253
seyn.	w13_d452e4257
</p>
<p id="p6_d452e4260">
die	w1_d452e4264
Hand;	w3_d452e4267
jedoch	w5_d452e4270
wird	w7_d452e4273
von	w9_d452e4276
Wollgast,	w11_d452e4279
un	w13_d452e4283
eree.	w1_d452e4288
Mehe	w3_d452e4291
dähen	w5_d452e4294
daß	w1_d452e4299
einige	w3_d452e4302
zu	w5_d452e4305
dem	w1_d452e4311
frischen	w3_d452e4314
Hafen	w5_d452e4317
sehen	w7_d452e4320
lassen,	w9_d452e4323
aber	w11_d452e4326
auf	w13_d452e4330
Annäherung	w1_d452e4335
einiger	w3_d452e4338
diesseitigen	w5_d452e4341
Barcassen	w7_d452e4344
sich	w1_d452e4349
eiligst	w3_d452e4352
zurück	w5_d452e4355
gezogen	w7_d452e4358
hätten.	w9_d452e4361
Die	w11_d452e4364
nuin	w13_d452e4368
mehro	w1_d452e4373
alhier	w3_d452e4376
eingekallene	w5_d452e4379
gelinde	w7_d452e4382
Witterung	w9_d452e4385
lässet	w1_d452e4391
hoffen,	w3_d452e4394
daß	w5_d452e4397
binnen	w7_d452e4400
wenigen	w9_d452e4403
Tagen	w11_d452e4406
die	w1_d452e4411
Schiffahrt	w3_d452e4414
von	w5_d452e4417
dieser	w7_d452e4420
Stadt	w9_d452e4423
nach	w11_d452e4426
der	w13_d452e4430
See	w1_d452e4435
offen	w3_d452e4438
seyn	w5_d452e4441
werde.	w7_d452e4444
Am	w9_d452e4447
25.	w11_d452e4450
dieses	w13_d452e4454
Abends	w1_d452e4459
starb	w3_d452e4462
alhier	w5_d452e4465
deren	w7_d452e4468
Herren	w9_d452e4471
General	w11_d452e4474
staaten	w1_d452e4480
ausserordenlicher	w3_d452e4483
Envoye	w5_d452e4486
an	w7_d452e4489
dem	w9_d452e4492
Königl.	w1_d452e4497
Hofe,	w3_d452e4500
Ludwig	w5_d452e4503
von	w7_d452e4506
Marteville,	w9_d452e4509
in	w1_d452e4514
einem	w3_d452e4517
Alter	w5_d452e4520
von	w7_d452e4523
58.	w9_d452e4526
Jahren	w11_d452e4529
und	w13_d452e4533
8.	w15_d452e4536
Monaten.	w1_d452e4541
</p>
<head id="h2_d452e4550">
Livorno	w1_d452e4554
29.	w3_d452e4557
April.	w5_d452e4560
</head>
<p id="p4_d452e4563">
Die	w1_d452e4567
Bestättigung	w3_d452e4570
zweyer	w5_d452e4573
Zeitungen	w7_d452e4576
ist	w9_d452e4579
man	w1_d452e4584
hier	w3_d452e4587
zu	w5_d452e4590
vernehmen	w7_d452e4593
sehr	w9_d452e4596
begierig.	w11_d452e4599
Die	w13_d452e4603
eine	w1_d452e4608
davon	w3_d452e4611
ist	w5_d452e4614
die	w7_d452e4617
Wegnahm	w9_d452e4620
Pondichery	w11_d452e4623
von	w13_d452e4627
denen	w1_d452e4633
Engländern,	w3_d452e4636
wovon	w5_d452e4639
einige	w7_d452e4642
hiesige	w9_d452e4645
Handels=leute	w1_d452e4650
über	w3_d452e4653
Bassora	w5_d452e4656
und	w7_d452e4659
Alep	w9_d452e4662
Nach	w11_d452e4665
richt	w1_d452e4670
erhalten	w3_d452e4673
haben.	w5_d452e4676
Die	w7_d452e4679
andere	w9_d452e4682
betrifl	w11_d452e4685
ein	w1_d452e4690
langes	w3_d452e4693
und	w5_d452e4696
blutiges	w7_d452e4699
Gefecht,	w9_d452e4702
das	w11_d452e4705
in	w13_d452e4709
dem	w1_d452e4715
Sicilischen	w3_d452e4718
Meer,	w5_d452e4721
zwischen	w7_d452e4724
einem	w9_d452e4727
Mal	w11_d452e4730
theser	w1_d452e4735
Kriegs=schif	w3_d452e4738
von	w5_d452e4741
60.	w7_d452e4744
Canonen,	w9_d452e4747
und	w11_d452e4750
einem	w1_d452e4755
grossen	w3_d452e4758
Algierischen	w5_d452e4761
Schif	w7_d452e4764
vorgefal	w9_d452e4767
len	w1_d452e4772
seyn	w3_d452e4775
solle,	w5_d452e4778
welch	w7_d452e4781
letzteres	w9_d452e4784
auch	w11_d452e4787
endlich	w13_d452e4791
gesunken.	w1_d452e4797
Verschiedene	w3_d452e4800
Briefe	w5_d452e4803
thun	w7_d452e4806
davon	w9_d452e4809
Erwehnung,	w1_d452e4814
und	w3_d452e4817
da	w5_d452e4820
die	w7_d452e4823
Patrons	w9_d452e4826
von	w11_d452e4829
eini	w13_d452e4833
gen,	w1_d452e4838
ganz	w3_d452e4841
neuerlich	w5_d452e4844
hier	w7_d452e4847
angelangten	w9_d452e4850
Kauf	w11_d452e4853
farthey=schiffen,	w1_d452e4858
solches	w3_d452e4861
ebenfalls	w5_d452e4864
erzehlen,	w7_d452e4867
so	w1_d452e4873
bekommt	w3_d452e4876
diese	w5_d452e4879
Nachricht	w7_d452e4882
immer	w9_d452e4885
mehr	w11_d452e4888
Credit.	w1_d452e4893
</p>
<head id="h2_d452e4900">
Bamberg	w1_d452e4904
9.	w3_d452e4907
May.	w5_d452e4910
</head>
<p id="p4_d452e4913">
Das	w1_d452e4917
Haupt	w3_d452e4920
quartier	w5_d452e4923
ist	w7_d452e4926
noch	w9_d452e4929
hier,	w11_d452e4932
worinn	w13_d452e4936
der	w1_d452e4941
Herr	w3_d452e4944
Feld=marschall	w5_d452e4947
Prinz	w7_d452e4950
von	w9_d452e4953
Zwey	w11_d452e4956
brücken	w1_d452e4961
gestern	w3_d452e4964
angekommen.	w5_d452e4967
Den	w7_d452e4970
19.	w9_d452e4973
April	w1_d452e4979
kame	w3_d452e4982
hier	w5_d452e4985
an	w7_d452e4988
der	w9_d452e4991
Herr	w11_d452e4994
General	w13_d452e4998
Hab	w15_d452e5001
dick,	w1_d452e5006
welcher	w3_d452e5009
nach	w5_d452e5012
abgewechselten	w7_d452e5015
Herrn	w9_d452e5018
Marschall	w1_d452e5023
Serbelloni	w3_d452e5026
nichts	w5_d452e5029
unterliesse	w7_d452e5032
die	w9_d452e5035
</p>
<p id="p10_d452e5048">
Trupen	w1_d452e5052
zum	w3_d452e5055
Feldzug	w5_d452e5058
im	w7_d452e5061
Stand	w9_d452e5064
zu	w11_d452e5067
halten,	w13_d452e5071
weßwegen	w1_d452e5076
er	w3_d452e5079
auch	w5_d452e5082
folgende	w7_d452e5085
Anordnungen	w9_d452e5088
gemacht.	w1_d452e5093
Die	w3_d452e5096
Reuterey	w5_d452e5099
wurde	w7_d452e5102
in	w9_d452e5105
denen	w11_d452e5108
Cantonnirungen	w1_d452e5114
jeden	w3_d452e5117
Regiments	w5_d452e5120
versam	w7_d452e5123
let,	w1_d452e5128
die	w3_d452e5131
Kranken,	w5_d452e5134
Maroden,	w7_d452e5137
und	w9_d452e5140
überstüßige	w11_d452e5143
Bagagen	w1_d452e5148
zurückgeschickt,	w3_d452e5151
und	w5_d452e5154
die	w7_d452e5157
Armee	w9_d452e5160
erhielte	w1_d452e5165
Befehl	w3_d452e5168
sich	w5_d452e5171
Marschfertig	w7_d452e5174
zu	w9_d452e5177
halten,	w11_d452e5180
der	w1_d452e5186
Cordon	w3_d452e5189
in	w5_d452e5192
Sachsen	w7_d452e5195
wurde	w9_d452e5198
mehr	w11_d452e5201
aus	w13_d452e5205
gebreitet,	w1_d452e5210
um	w3_d452e5213
darinn	w5_d452e5216
die	w7_d452e5219
Feind	w9_d452e5222
besser	w11_d452e5225
ein	w13_d452e5229
zuschliessen	w1_d452e5234
und	w3_d452e5237
desto	w5_d452e5240
mehr	w7_d452e5243
das	w9_d452e5246
Land	w11_d452e5249
gegen	w13_d452e5253
das	w1_d452e5258
Rauben	w3_d452e5261
und	w5_d452e5264
Verheeren	w7_d452e5267
der	w9_d452e5270
Preußischen	w11_d452e5273
leichten	w1_d452e5279
Trupen	w3_d452e5282
zu	w5_d452e5285
decken,	w7_d452e5288
weßwegen	w9_d452e5291
der	w11_d452e5294
General	w1_d452e5299
Luzinsky	w3_d452e5302
sich	w5_d452e5305
nach	w7_d452e5308
Schlaitz,	w9_d452e5311
der	w11_d452e5314
General	w1_d452e5319
Kleefeld	w3_d452e5322
nach	w5_d452e5325
Gera,	w7_d452e5328
und	w9_d452e5331
der	w11_d452e5334
Ob	w13_d452e5338
rist=leutenant	w1_d452e5343
Sprung	w3_d452e5346
nach	w5_d452e5349
Weimar	w7_d452e5352
bege	w9_d452e5355
ben	w1_d452e5361
musten,	w3_d452e5364
der	w5_d452e5367
Prinz	w7_d452e5370
von	w9_d452e5373
Stollberg,	w11_d452e5376
dessen	w1_d452e5381
Haupt=quartier	w3_d452e5384
zu	w5_d452e5387
Lobenstein	w7_d452e5390
ist,	w9_d452e5393
liesse	w11_d452e5396
zu	w1_d452e5401
gleicher	w3_d452e5404
Zeit	w5_d452e5407
durch	w7_d452e5410
verschiedene	w9_d452e5413
Comman	w11_d452e5416
dos	w1_d452e5421
Lichtenberg,	w3_d452e5424
Berga,	w5_d452e5427
Neustadt	w7_d452e5430
an	w9_d452e5433
der	w11_d452e5436
Orla,	w1_d452e5442
Orlamunda,	w3_d452e5445
Weida	w5_d452e5448
und	w7_d452e5451
Saalfeld	w9_d452e5454
besetzen,	w1_d452e5459
das	w3_d452e5462
Pfaltzische	w5_d452e5465
Dragoner=regiment	w7_d452e5468
wurde	w1_d452e5473
nach	w3_d452e5476
Teutschnitz,	w5_d452e5479
geschickt	w7_d452e5482
und	w9_d452e5485
man	w11_d452e5488
liesse	w1_d452e5493
bis	w3_d452e5496
Naumburg,	w5_d452e5499
Borna,	w7_d452e5502
Erfurth	w9_d452e5505
und	w11_d452e5508
Langensaltz	w1_d452e5514
patrolliren;	w3_d452e5517
diese	w5_d452e5520
kluge	w7_d452e5523
und	w9_d452e5526
gründliche	w1_d452e5531
Anordnungen	w3_d452e5534
des	w5_d452e5537
Generals	w7_d452e5540
Had	w9_d452e5543
dick	w1_d452e5548
haben	w3_d452e5551
den	w5_d452e5554
davon	w7_d452e5557
erwünschten	w9_d452e5560
Fortgang	w11_d452e5563
erreichet,	w1_d452e5568
die	w3_d452e5571
feindliche	w5_d452e5574
Partheyen,	w7_d452e5577
so	w9_d452e5580
Thü	w11_d452e5583
tingen	w1_d452e5589
verwüsteten,	w3_d452e5592
seynd	w5_d452e5595
nach	w7_d452e5598
Merseburg	w9_d452e5601
zurückgangen,	w1_d452e5606
wo	w3_d452e5609
der	w5_d452e5612
Preußische	w7_d452e5615
General	w9_d452e5618
Salomon	w1_d452e5623
mit	w3_d452e5626
einem	w5_d452e5629
kleinen	w7_d452e5632
Corps	w9_d452e5635
leichter	w11_d452e5638
Trupen	w1_d452e5643
campirt,	w3_d452e5646
und	w5_d452e5649
alle	w7_d452e5652
längs	w9_d452e5655
der	w11_d452e5658
Mulda	w13_d452e5662
stehende	w1_d452e5668
Preußische	w3_d452e5671
Posten	w5_d452e5674
seynd	w7_d452e5677
bis	w9_d452e5680
Leipzig	w11_d452e5683
und	w1_d452e5688
Torgau	w3_d452e5691
zurück	w5_d452e5694
genommen	w7_d452e5697
worden.	w9_d452e5700
Aus	w11_d452e5703
der	w1_d452e5708
Fuldaer	w3_d452e5711
Gegend	w5_d452e5714
vernehmen	w7_d452e5717
wir,	w9_d452e5720
daß	w11_d452e5723
ein	w1_d452e5728
Corps	w3_d452e5731
Alliirter	w5_d452e5734
nach	w7_d452e5737
selbigen	w9_d452e5740
Gränzen	w11_d452e5743
in	w1_d452e5749
Bewegung	w3_d452e5752
ist,	w5_d452e5755
und	w7_d452e5758
der	w9_d452e5761
Prinz	w11_d452e5764
Ferdinand	w13_d452e5768
sein	w1_d452e5773
Haupt=quartier	w3_d452e5776
von	w5_d452e5779
Padchborn	w7_d452e5782
nach	w9_d452e5785
Cassel	w1_d452e5790
verlegt	w3_d452e5793
habe.	w5_d452e5796
</p>
<head id="h2_d452e5802">
Gotha	w1_d452e5806
13.	w3_d452e5809
April.	w5_d452e5812
</head>
<p id="p4_d452e5815">
Jn	w1_d452e5819
dem	w3_d452e5822
Eichsfeld	w5_d452e5825
erwartet	w7_d452e5828
man	w9_d452e5831
3000.	w11_d452e5834
Engländer.	w1_d452e5839
Der	w3_d452e5842
Obrist=leutenant	w5_d452e5845
Sprung	w7_d452e5848
von	w1_d452e5853
dem	w3_d452e5856
Regiment	w5_d452e5859
Baronai,	w7_d452e5862
ist	w9_d452e5865
den	w11_d452e5868
30.	w13_d452e5872
</p>
<p id="p6_d452e5875">
April	w1_d452e5879
mit	w3_d452e5882
200.	w5_d452e5885
Sachsen	w7_d452e5888
und	w9_d452e5891
einem	w11_d452e5894
Detasche	w13_d452e5898
ment	w1_d452e5903
von	w3_d452e5906
seinen	w5_d452e5909
Hussaren	w7_d452e5912
und	w9_d452e5915
Pfälzischen	w11_d452e5918
Dragonern	w1_d452e5923
zu	w3_d452e5926
Jena	w5_d452e5929
angelanget;	w7_d452e5932
er	w9_d452e5935
quar	w11_d452e5938
tierte	w1_d452e5944
sich	w3_d452e5947
in	w5_d452e5950
denen	w7_d452e5953
Vor=städten	w9_d452e5956
daselbst	w11_d452e5959
ein.	w13_d452e5963
Der	w1_d452e5968
General	w3_d452e5971
Luzinski	w5_d452e5974
hat	w7_d452e5977
ihn	w9_d452e5980
sogleich	w11_d452e5983
nach	w13_d452e5987
folgen	w1_d452e5992
müssen.	w3_d452e5995
Beyde	w5_d452e5998
haben	w7_d452e6001
sich	w9_d452e6004
nicht	w11_d452e6007
lang	w13_d452e6011
verweilet,	w1_d452e6016
sondern	w3_d452e6019
ihren	w5_d452e6022
Marsch	w7_d452e6025
von	w9_d452e6028
dar	w11_d452e6031
weiter	w1_d452e6037
fortgesetzet.	w3_d452e6040
Zu	w5_d452e6043
Langensalza	w7_d452e6046
und	w9_d452e6049
in	w11_d452e6052
dasigen	w1_d452e6057
Gegenden	w3_d452e6060
stehen	w5_d452e6063
viele	w7_d452e6066
alliirte	w9_d452e6069
Tru	w11_d452e6072
pen,	w1_d452e6077
von	w3_d452e6080
welchen	w5_d452e6083
es	w7_d452e6086
scheinet,	w9_d452e6089
daß	w11_d452e6092
sie	w13_d452e6096
wie	w15_d452e6099
der	w1_d452e6104
nach	w3_d452e6107
Sachsen	w5_d452e6110
zurück	w7_d452e6113
kehren	w9_d452e6116
wollen.	w11_d452e6119
Der	w13_d452e6123
General	w1_d452e6129
Carlsburg,	w3_d452e6132
welcher	w5_d452e6135
zu	w7_d452e6138
Zwickau	w9_d452e6141
an	w11_d452e6144
gelanget	w1_d452e6149
ist,	w3_d452e6152
hat	w5_d452e6155
seine	w7_d452e6158
Werbungen	w9_d452e6161
für	w11_d452e6164
