<doc id="wr_1756-08-11" attrs="word" year="1756" month="08" day="11" corpus="2">
<head id="h2_d64e2523">
Boston	w1_d64e2527
zerhackt	w13_d64e2841
gewesen.	w15_d64e2844
Die	w1_d64e2849
Briefe	w3_d64e2852
aus	w5_d64e2855
dem	w7_d64e2858
Fort	w9_d64e2861
Wilhelm	w11_d64e2864
Heinrich	w13_d64e2868
melden,	w1_d64e2873
daß	w3_d64e2876
der	w5_d64e2879
dasige	w7_d64e2882
Commandant,	w9_d64e2885
da	w11_d64e2888
er	w13_d64e2892
ein	w1_d64e2897
kleines	w3_d64e2900
Fahrzeug	w5_d64e2903
mit	w7_d64e2906
6.	w9_d64e2909
Mann	w11_d64e2912
auf	w13_d64e2916
Kund	w15_d64e2919
schafft	w1_d64e2925
ausgeschicket,	w3_d64e2928
und	w5_d64e2931
dasselbe	w7_d64e2934
nicht	w9_d64e2937
so	w11_d64e2940
bald,	w1_d64e2945
als	w3_d64e2948
er	w5_d64e2951
es	w7_d64e2954
vermuthet,	w9_d64e2957
wieder	w11_d64e2960
gekommen,	w13_d64e2964
eine	w1_d64e2969
Parthey	w3_d64e2972
nach	w5_d64e2975
ihnen	w7_d64e2978
ausgesandt,	w9_d64e2981
welche	w11_d64e2984
dann	w1_d64e2989
3.	w3_d64e2992
von	w5_d64e2995
ihnen	w7_d64e2998
todt	w9_d64e3001
gefunden,	w11_d64e3004
daher	w13_d64e3008
man	w15_d64e3011
muthmasset,	w1_d64e3017
daß	w3_d64e3020
die	w5_d64e3023
3.	w7_d64e3026
andere	w9_d64e3029
als	w11_d64e3032
Gefange	w13_d64e3036
ne	w1_d64e3041
hinweggeführet	w3_d64e3044
worden.	w5_d64e3047
</p>
<head id="h2_d64e3053">
Aus	w1_d64e3057
Spanien.	w3_d64e3060
Barcellona	w1_d64e3065
3.	w3_d64e3068
Julii.	w5_d64e3071
</head>
<p id="p4_d64e3074">
Am	w1_d64e3078
vorigen	w3_d64e3081
Samstag	w5_d64e3084
Abends,	w7_d64e3087
langte	w9_d64e3090
ein	w11_d64e3093
Expresser	w1_d64e3098
von	w3_d64e3101
dem	w5_d64e3104
Französischen	w7_d64e3107
Consul	w9_d64e3110
zu	w11_d64e3113
Cadix	w1_d64e3118
hier	w3_d64e3121
an,	w5_d64e3124
welcher	w7_d64e3127
an	w9_d64e3130
den	w11_d64e3133
Herrn	w13_d64e3137
von	w15_d64e3140
Pulabey,	w1_d64e3146
ebenfalls	w3_d64e3149
Französischen	w5_d64e3152
Consul	w7_d64e3155
al	w9_d64e3158
hier	w1_d64e3163
den	w3_d64e3166
Bericht	w5_d64e3169
überbracht,	w7_d64e3172
daß	w9_d64e3175
den	w11_d64e3178
15.	w13_d64e3182
vorigen	w1_d64e3187
Monats,	w3_d64e3190
vier	w5_d64e3193
Engländische	w7_d64e3196
Kriegs	w9_d64e3199
schiffe	w1_d64e3204
und	w3_d64e3207
eine	w5_d64e3210
Fregatte,	w7_d64e3213
die	w9_d64e3216
Meer=enge	w11_d64e3219
pas	w13_d64e3223
siret,	w1_d64e3229
um	w3_d64e3232
mit	w5_d64e3235
dem	w7_d64e3238
Admiral	w9_d64e3241
Byng	w11_d64e3244
in	w13_d64e3248
der	w15_d64e3251
Mit	w17_d64e3254
</p>
<p id="p10_d64e3324">
telländischen	w1_d64e3328
See	w3_d64e3331
sich	w5_d64e3334
zu	w7_d64e3337
vereinigen.	w9_d64e3340
Es	w11_d64e3343
hät	w13_d64e3347
ten	w1_d64e3352
diese	w3_d64e3355
4	w5_d64e3358
Kriegs=schiffe	w7_d64e3361
noch	w9_d64e3364
mit	w11_d64e3367
sich	w13_d64e3371
geführet	w15_d64e3374
siben	w1_d64e3379
Transport=schiffe,	w3_d64e3382
auf	w5_d64e3385
welchen	w7_d64e3388
3.	w9_d64e3391
Re	w11_d64e3394
gimenter	w1_d64e3400
Engländischer	w3_d64e3403
Truppen	w5_d64e3406
sich	w7_d64e3409
befun	w9_d64e3412
den.	w1_d64e3417
Der	w3_d64e3420
Herr	w5_d64e3423
Consul	w7_d64e3426
zu	w9_d64e3429
ermeldtem	w11_d64e3432
Cadix,	w13_d64e3436
ersuchet	w1_d64e3441
den	w3_d64e3444
alhiesigen,	w5_d64e3447
er	w7_d64e3450
möchte	w9_d64e3453
diese	w11_d64e3456
Zei	w13_d64e3460
tung	w1_d64e3465
ohne	w3_d64e3468
Anstand	w5_d64e3471
an	w7_d64e3474
den	w9_d64e3477
Herrn	w11_d64e3480
von	w13_d64e3484
la	w15_d64e3487
Gal	w17_d64e3490
lissonniere	w1_d64e3496
zu	w3_d64e3499
seiner	w5_d64e3502
Nachricht	w7_d64e3505
gelangen	w9_d64e3508
las	w11_d64e3511
sen.	w1_d64e3516
Dieses	w3_d64e3519
geschahe	w5_d64e3522
in	w7_d64e3525
der	w9_d64e3528
gleichen	w11_d64e3531
Stut	w13_d64e3535
de,	w1_d64e3540
und	w3_d64e3543
ein	w5_d64e3546
Avis=schif	w7_d64e3549
muste	w9_d64e3552
fiugs	w11_d64e3555
nach	w13_d64e3559
Ma	w15_d64e3562
hon	w1_d64e3567
unter	w3_d64e3570
Segel	w5_d64e3573
gehen.	w7_d64e3576
</p>
<head id="h2_d64e3582">
Aus	w1_d64e3586
Groß=brittannien.	w3_d64e3589
Londen	w1_d64e3594
20.	w3_d64e3597
Julii.	w5_d64e3600
</head>
<p id="p4_d64e3603">
Nun	w1_d64e3607
haben	w3_d64e3610
die	w5_d64e3613
Hannöverischen	w7_d64e3616
Truppen	w9_d64e3619
ihr	w1_d64e3624
Lager	w3_d64e3627
bezohen,	w5_d64e3630
welches	w7_d64e3633
ihnen	w9_d64e3636
zu	w11_d64e3639
Bromp	w13_d64e3643
ton	w1_d64e3648
bey	w3_d64e3651
Chatam,	w5_d64e3654
angewiesen	w7_d64e3657
worden.	w9_d64e3660
Die	w11_d64e3663
Admiralität	w1_d64e3669
hat	w3_d64e3672
einen	w5_d64e3675
Expressen	w7_d64e3678
mit	w9_d64e3681
der	w11_d64e3684
ge	w13_d64e3688
gründeten	w1_d64e3693
Nachricht	w3_d64e3696
erhalten,	w5_d64e3699
daß	w7_d64e3702
der	w9_d64e3705
Ad	w11_d64e3708
miral	w1_d64e3713
Hawke	w3_d64e3716
den	w5_d64e3719
30sten	w7_d64e3722
Junii	w9_d64e3725
zu	w11_d64e3728
Gibraltar	w13_d64e3732
angelanget,	w1_d64e3737
um	w3_d64e3740
das	w5_d64e3743
Commando	w7_d64e3746
der	w9_d64e3749
Flotte,	w11_d64e3752
welche	w1_d64e3758
sich	w3_d64e3761
in	w5_d64e3764
dasigem	w7_d64e3767
Hafen	w9_d64e3770
befindet,	w11_d64e3773
zu	w13_d64e3777
übernehmen.	w1_d64e3782
Diese	w3_d64e3785
Flotte	w5_d64e3788
ist,	w7_d64e3791
nachdem	w9_d64e3794
der	w11_d64e3797
Herr	w1_d64e3802
Broderick	w3_d64e3805
mit	w5_d64e3808
seinen	w7_d64e3811
Schiffen	w9_d64e3814
dazu	w11_d64e3817
ge	w13_d64e3821
stossen,	w1_d64e3826
21.	w3_d64e3829
Kriegs=schiffe	w5_d64e3832
stark	w7_d64e3835
Mit	w9_d64e3838
Brie	w11_d64e3841
fen	w1_d64e3847
aus	w3_d64e3850
Carls=town,	w5_d64e3853
in	w7_d64e3856
dem	w9_d64e3859
Mittägischen	w11_d64e3862
Carolina,	w1_d64e3867
hat	w3_d64e3870
man	w5_d64e3873
die	w7_d64e3876
betrübte	w9_d64e3879
Nachricht	w11_d64e3882
erhalten,	w1_d64e3887
daß	w3_d64e3890
den	w5_d64e3893
13ten	w7_d64e3896
des	w9_d64e3899
verwichenen	w11_d64e3902
Monats,	w1_d64e3907
ein	w3_d64e3910
Brand	w5_d64e3913
in	w7_d64e3916
denen	w9_d64e3919
Magazinen	w11_d64e3922
entstanden,	w1_d64e3928
wodurch	w3_d64e3931
ein	w5_d64e3934
grosser	w7_d64e3937
Vorrath	w9_d64e3940
an	w11_d64e3943
Zucker,	w1_d64e3948
Reiß	w3_d64e3951
und	w5_d64e3954
andern	w7_d64e3957
Dingen	w9_d64e3960
mehr,	w11_d64e3963
verdorben	w1_d64e3968
worden.	w3_d64e3971
Man	w5_d64e3974
hat	w7_d64e3977
bey	w9_d64e3980
der	w11_d64e3983
Feld	w13_d64e3987
equipage	w1_d64e3992
des	w3_d64e3995
Königs,	w5_d64e3998
einige	w7_d64e4001
Veränderung	w9_d64e4004
zu	w1_d64e4010
machen	w3_d64e4013
angefangen,	w5_d64e4016
dieselbige	w7_d64e4019
wird	w9_d64e4022
in	w11_d64e4025
künftiger	w1_d64e4030
Woche	w3_d64e4033
vollkommen	w5_d64e4036
fertig	w7_d64e4039
seyn,	w9_d64e4042
und	w1_d64e4047
der	w3_d64e4050
König	w5_d64e4053
gedencket	w7_d64e4056
den	w9_d64e4059
Sonnabend	w11_d64e4062
in	w13_d64e4066
</p>
<p id="p10_d64e4079">
der	w1_d64e4083
künftigen	w3_d64e4086
Woche	w5_d64e4089
zu	w7_d64e4092
Felde	w9_d64e4095
zu	w11_d64e4098
gehen,	w13_d64e4102
um	w15_d64e4105
die	w1_d64e4110
Truppen,	w3_d64e4113
welche	w5_d64e4116
campiren,	w7_d64e4119
die	w9_d64e4122
Muste	w11_d64e4125
rung	w1_d64e4130
paßiren	w3_d64e4133
zu	w5_d64e4136
lassen.	w7_d64e4139
Das	w9_d64e4142
Lager,	w11_d64e4145
so	w13_d64e4149
man	w1_d64e4155
bey	w3_d64e4158
Byfleet,	w5_d64e4161
in	w7_d64e4164
der	w9_d64e4167
Grafschaft	w11_d64e4170
Surrey,	w13_d64e4174
formiret,	w1_d64e4179
bestehet	w3_d64e4182
aus	w5_d64e4185
5	w7_d64e4188
Regimenter,	w9_d64e4191
einer	w11_d64e4194
Compagnie	w1_d64e4199
der	w3_d64e4202
Garde	w5_d64e4205
zu	w7_d64e4208
Pferd,	w9_d64e4211
aus	w11_d64e4214
dem	w13_d64e4218
Regiment	w1_d64e4223
der	w3_d64e4226
blauen	w5_d64e4229
Garde	w7_d64e4232
zu	w9_d64e4235
Pferd,	w11_d64e4238
und	w13_d64e4242
aus	w1_d64e4248
650.	w3_d64e4251
Mann	w5_d64e4254
vom	w7_d64e4257
Artillerie=corpo.	w9_d64e4260
Man	w1_d64e4265
wird	w3_d64e4268
auch	w5_d64e4271
die	w7_d64e4274
Dragener=regimenter	w9_d64e4277
in	w1_d64e4282
der	w3_d64e4285
Ebene	w5_d64e4288
von	w7_d64e4291
Hounslow	w9_d64e4294
campiren	w11_d64e4297
lassen.	w13_d64e4301
Alle	w1_d64e4306
Officiers	w3_d64e4309
der	w5_d64e4312
andern	w7_d64e4315
Regimenter	w9_d64e4318
zu	w11_d64e4321
Fuß,	w1_d64e4327
haben	w3_d64e4330
Befehl	w5_d64e4333
erhalten,	w7_d64e4336
sich	w9_d64e4339
zum	w11_d64e4342
Marsch,	w13_d64e4346
auf	w1_d64e4351
den	w3_d64e4354
ersten	w5_d64e4357
Wink	w7_d64e4360
bereit	w9_d64e4363
zu	w11_d64e4366
seyn,	w13_d64e4370
fertig	w15_d64e4373
zu	w1_d64e4378
halten.	w3_d64e4381
Gleichwie	w5_d64e4384
die	w7_d64e4387
Hannöverische	w9_d64e4390
Truppen	w1_d64e4395
in	w3_d64e4398
ihrem	w5_d64e4401
Lager	w7_d64e4404
bey	w9_d64e4407
Chatam	w11_d64e4410
eine	w13_d64e4414
verwunderungs=würdige	w1_d64e4420
Ordnung,	w3_d64e4423
und	w5_d64e4426
die	w7_d64e4429
genaueste	w1_d64e4434
Manns=zucht	w3_d64e4437
halten,	w5_d64e4440
so	w7_d64e4443
thun	w9_d64e4446
sol	w11_d64e4449
ches	w1_d64e4454
auch	w3_d64e4457
die	w5_d64e4460
Heßische	w7_d64e4463
Truppen	w9_d64e4466
in	w11_d64e4469
ihrem	w13_d64e4473
Lager	w1_d64e4478
bey	w3_d64e4481
Winchester.	w5_d64e4484
Morgen	w7_d64e4487
wird	w9_d64e4490
die	w11_d64e4493
Feld=cquipage	w1_d64e4499
des	w3_d64e4502
Herzogs	w5_d64e4505
von	w7_d64e4508
Cumberland,	w9_d64e4511
nach	w1_d64e4516
Byfleet,	w3_d64e4519
und	w5_d64e4522
des	w7_d64e4525
Herzogs	w9_d64e4528
von	w11_d64e4531
Marl	w13_d64e4535
borough	w1_d64e4540
Feld=cquipage	w3_d64e4543
nach	w5_d64e4546
Canterbury	w7_d64e4549
aufbrechen,	w1_d64e4554
wie	w3_d64e4557
dann	w5_d64e4560
dieser	w7_d64e4563
letztere	w9_d64e4566
heute	w11_d64e4569
abge	w13_d64e4573
reiset	w1_d64e4579
ist,	w3_d64e4582
um	w5_d64e4585
in	w7_d64e4588
dem	w9_d64e4591
Lager	w11_d64e4594
bey	w13_d64e4598
Canterbury	w15_d64e4601
ge	w17_d64e4604
genwärtig	w1_d64e4609
zu	w3_d64e4612
seyn.	w5_d64e4615
Man	w7_d64e4618
ist	w9_d64e4621
würklich	w11_d64e4624
in	w13_d64e4628
un	w15_d64e4631
serm	w1_d64e4636
Hafen	w3_d64e4639
beschäftiget,	w5_d64e4642
viele	w7_d64e4645
Kriegs=schiffe	w9_d64e4648
zu	w1_d64e4653
recht	w3_d64e4656
zu	w5_d64e4659
machen,	w7_d64e4662
um	w9_d64e4665
diejenige	w11_d64e4668
Kriegs	w13_d64e4672
schiffe	w1_d64e4678
abzulösen,	w3_d64e4681
welche	w5_d64e4684
sich	w7_d64e4687
seit	w9_d64e4690
einiger	w11_d64e4693
Zeit	w13_d64e4697
in	w1_d64e4702
dem	w3_d64e4705
Meer	w5_d64e4708
aufgehalten.	w7_d64e4711
Es	w9_d64e4714
wird	w11_d64e4717
bestä	w13_d64e4721
tiget,	w1_d64e4726
daß	w3_d64e4729
die	w5_d64e4732
Jndische	w7_d64e4735
Compagnie=schiffe,	w9_d64e4738
der	w1_d64e4743
Prinz	w3_d64e4746
Wallis,	w5_d64e4749
der	w7_d64e4752
Prinz	w9_d64e4755
George	w11_d64e4758
und	w13_d64e4762
Kent,	w1_d64e4768
aus	w3_d64e4771
China,	w5_d64e4774
unter	w7_d64e4777
Bedeckung	w9_d64e4780
dreyer	w11_d64e4783
Kriegs=schiffen	w1_d64e4788
zu	w3_d64e4791
Douvres	w5_d64e4794
glücklich	w7_d64e4797
ange	w9_d64e4800
langet.	w1_d64e4805
Diesen	w3_d64e4808
Abend	w5_d64e4811
hat	w7_d64e4814
man	w9_d64e4817
wiederum	w11_d64e4820
einen	w1_d64e4825
grossen	w3_d64e4828
Staats=raht	w5_d64e4831
zu	w7_d64e4834
Keusington,	w9_d64e4837
über	w1_d64e4843
wichtige	w3_d64e4846
Angelegenheiten,	w5_d64e4849
gehalten.	w7_d64e4852
</p>
<head id="h2_d64e4859">
Aus	w1_d64e4863
Frankreich.	w3_d64e4866
Antibes	w1_d64e4871
12.	w3_d64e4874
Julii.	w5_d64e4877
</head>
<p id="p4_d64e4880">
Heute	w1_d64e4884
wird	w3_d64e4887
die	w5_d64e4890
letzte	w7_d64e4893
Vertheilung	w9_d64e4896
der	w11_d64e4899
6000.	w13_d64e4903
Mann	w1_d64e4908
unserer	w3_d64e4911
Truppen,	w5_d64e4914
die	w7_d64e4917
mannach	w9_d64e4920
Corfica	w11_d64e4923
überschiffen	w1_d64e4928
wird,	w3_d64e4931
eingerichtt,	w5_d64e4934
um	w7_d64e4937
solche	w9_d64e4940
gleichfalls	w1_d64e4946
auf	w3_d64e4949
die	w5_d64e4952
Transport=schiffe	w7_d64e4955
zu	w9_d64e4958
bringen.	w1_d64e4963
Diese	w3_d64e4966
Truppen	w5_d64e4969
werden	w7_d64e4972
unter	w9_d64e4975
Be	w11_d64e4978
deckung	w1_d64e4983
zweyer	w3_d64e4986
Kriegs=schiffe,	w5_d64e4989
nach	w7_d64e4992
besagter	w9_d64e4995
Jnsul	w1_d64e5000
Corsica	w3_d64e5003
übergeschiffet	w5_d64e5006
werden.	w7_d64e5009
Es	w9_d64e5012
hat	w11_d64e5015
die	w1_d64e5021
Republik	w3_d64e5024
Genua	w5_d64e5027
bereits,	w7_d64e5030
wegen	w9_d64e5033
diesen	w11_d64e5036
Truppen,	w1_d64e5041
allerhand	w3_d64e5044
Gattung	w5_d64e5047
von	w7_d64e5050
Kriegs	w9_d64e5053
nothwendigkeiten,	w1_d64e5058
wie	w3_d64e5061
auch	w5_d64e5064
viele	w7_d64e5067
Lebens	w9_d64e5070
mittel	w1_d64e5075
nach	w3_d64e5078
Bastia,	w5_d64e5081
der	w7_d64e5084
Haupt=stadt	w9_d64e5087
in	w11_d64e5090
Corsica,	w1_d64e5096
bringen	w3_d64e5099
lassen.	w5_d64e5102
</p>
<head id="h2_d64e5108">
Compiegne	w1_d64e5112
13.	w3_d64e5115
Julii.	w5_d64e5118
</head>
<p id="p4_d64e5121">
Mit	w1_d64e5125
der	w3_d64e5128
abermahligen	w5_d64e5131
Schwangerschaft	w7_d64e5134
der	w1_d64e5139
Frau	w3_d64e5142
Dauphine,	w5_d64e5145
Königl.	w7_d64e5148
Heheit	w9_d64e5151
hat	w11_d64e5154
es	w1_d64e5159
seine	w3_d64e5162
Richtigkeit.	w5_d64e5165
Jndessen	w7_d64e5168
begleiten	w9_d64e5171
dan	w11_d64e5174
noch	w1_d64e5180
diese	w3_d64e5183
Printzeßin	w5_d64e5186
sowol	w7_d64e5189
als	w9_d64e5192
ihr	w11_d64e5195
Herr	w13_d64e5199
Ge	w15_d64e5202
mahl	w1_d64e5207
der	w3_d64e5210
Dauphin,	w5_d64e5213
und	w7_d64e5216
die	w9_d64e5219
Mesdames	w11_d64e5222
von	w13_d64e5226
Frankreich,	w1_d64e5231
den	w3_d64e5234
König	w5_d64e5237
fast	w7_d64e5240
alle	w9_d64e5243
Tag	w11_d64e5246
auf	w13_d64e5250
die	w15_d64e5253
Jagd.	w1_d64e5258
Von	w3_d64e5261
Sr.	w5_d64e5264
Majestät	w7_d64e5267
ist	w9_d64e5270
Ordre	w11_d64e5273
gege	w13_d64e5277
ben	w1_d64e5283
worden,	w3_d64e5286
die	w5_d64e5289
vor	w7_d64e5292
einigen	w9_d64e5295
Monaten	w11_d64e5298
zu	w13_d64e5302
Versailles	w1_d64e5307
allschen	w3_d64e5310
projectirte	w5_d64e5313
Commission,	w7_d64e5316
nemlich:	w1_d64e5321
10000.	w3_d64e5324
Matrazen,	w5_d64e5327
10000.	w7_d64e5330
Span	w9_d64e5333
behte,	w1_d64e5338
20000.	w3_d64e5341
Decken,	w5_d64e5344
und	w7_d64e5347
so	w9_d64e5350
viel	w11_d64e5353
paar	w13_d64e5357
Beht=tücher,	w1_d64e5363
zurecht	w3_d64e5366
zu	w5_d64e5369
machen,	w7_d64e5372
und	w9_d64e5375
solche	w11_d64e5378
nach	w1_d64e5383
unsern	w3_d64e5386
kältesten	w5_d64e5389
Colonien	w7_d64e5392
in	w9_d64e5395
America	w11_d64e5398
zu	w13_d64e5402
transportiren,	w1_d64e5407
zum	w3_d64e5410
endlichen	w5_d64e5413
Vollzug	w7_d64e5416
zu	w9_d64e5419
brin	w11_d64e5422
gen.	w1_d64e5427
Damit	w3_d64e5430
nun	w5_d64e5433
aber	w7_d64e5436
die	w9_d64e5439
Handwercks	w11_d64e5442
leute	w1_d64e5448
fleißig	w3_d64e5451
daran	w5_d64e5454
arbeiten	w7_d64e5457
mögen,	w9_d64e5460
indeme	w11_d64e5463
mit	w1_d64e5468
künftigen	w3_d64e5471
Monat	w5_d64e5474
September	w7_d64e5477
alles	w9_d64e5480
bey	w11_d64e5483
sammen	w1_d64e5488
seyn	w3_d64e5491
muß,	w5_d64e5494
um	w7_d64e5497
zu	w9_d64e5500
Brest	w11_d64e5503
eingeschif	w13_d64e5507
fet	w1_d64e5512
werden	w3_d64e5515
zu	w5_d64e5518
können,	w7_d64e5521
so	w9_d64e5524
hat	w11_d64e5527
die	w13_d64e5531
Königl.	w15_d64e5534
Wacht	w1_d64e5540
Befehl,	w3_d64e5543
darauf	w5_d64e5546
acht	w7_d64e5549
zu	w9_d64e5552
haben,	w11_d64e5555
und	w13_d64e5559
die	w1_d64e5564
Arbeiter	w3_d64e5567
durch	w5_d64e5570
Geld	w7_d64e5573
zur	w9_d64e5576
Emsigkeit	w11_d64e5579
auf	w13_d64e5583
zumuntern.	w1_d64e5588
</p>
<head id="h2_d64e5594">
Marsailles	w1_d64e5598
14.	w3_d64e5601
Julii.	w5_d64e5604
</head>
<p id="p4_d64e5607">
Monsieur	w1_d64e5611
de	w3_d64e5614
la	w5_d64e5617
Gallissonniere	w7_d64e5620
mit	w9_d64e5623
seiner	w11_d64e5626
Flotte	w1_d64e5631
ist	w3_d64e5634
wieder	w5_d64e5637
an	w7_d64e5640
unseren	w9_d64e5643
Küsten.	w11_d64e5646
Er	w13_d64e5650
be	w15_d64e5653
gleitete	w1_d64e5658
die	w3_d64e5661
Uberfahrt=schiffe,	w5_d64e5664
welche	w7_d64e5667
Volk	w9_d64e5670
und	w1_d64e5676
Geschütze	w3_d64e5679
aus	w5_d64e5682
Minorca	w7_d64e5685
brachten.	w9_d64e5688
Jn	w11_d64e5691
St.	w1_d64e5696
Philipp	w3_d64e5699
lassen	w5_d64e5702
wir	w7_d64e5705
7.	w9_d64e5708
Bataillons,	w11_d64e5711
und	w13_d64e5715
4.	w1_d64e5720
indenen	w3_d64e5723
übrigen	w5_d64e5726
Plätzen	w7_d64e5729
der	w9_d64e5732
Jnsul.	w11_d64e5735
Sechs	w13_d64e5739
Bataillons,	w1_d64e5744
sind	w3_d64e5747
wieder	w5_d64e5750
kommen,	w7_d64e5753
aber	w9_d64e5756
jämmerlich	w1_d64e5762
krank.	w3_d64e5765
Zwanzig	w5_d64e5768
grosse	w7_d64e5771
und	w9_d64e5774
kleine	w11_d64e5777
Schiffe	w1_d64e5782
mit	w3_d64e5785
vielerley	w5_d64e5788
Ladung,	w7_d64e5791
welche	w9_d64e5794
die	w11_d64e5797
Eug	w13_d64e5801
länder	w1_d64e5806
in	w3_d64e5809
Minorca	w5_d64e5812
verwahret	w7_d64e5815
und	w9_d64e5818
besorget	w11_d64e5821
hatten,	w1_d64e5826
sind	w3_d64e5829
nun	w5_d64e5832
auch	w7_d64e5835
wieder	w9_d64e5838
bey	w11_d64e5841
uns	w13_d64e5845
ange	w15_d64e5848
langet.	w1_d64e5854
Der	w3_d64e5857
König	w5_d64e5860
hat	w7_d64e5863
denen	w9_d64e5866
Ergenthümern	w11_d64e5869
die	w1_d64e5874
Obrigkeitliche	w3_d64e5877
Gefälle	w5_d64e5880
nachgelassen;	w7_d64e5883
die	w9_d64e5886
wolbesorgte	w1_d64e5891
Waaren	w3_d64e5894
sind	w5_d64e5897
in	w7_d64e5900
gutem	w9_d64e5903
Stan	w11_d64e5906
de,	w1_d64e5911
und	w3_d64e5914
der	w5_d64e5917
Preiß	w7_d64e5920
ist	w9_d64e5923
seithero	w11_d64e5926
merklich	w13_d64e5930
ge	w15_d64e5933
stiegen,	w1_d64e5939
hiemit	w3_d64e5942
haben	w5_d64e5945
die	w7_d64e5948
Eigenthumer	w9_d64e5951
kei	w11_d64e5954
nen	w1_d64e5959
so	w3_d64e5962
grossen	w5_d64e5965
Verlust.	w7_d64e5968
Monsieur	w9_d64e5971
Roux,	w11_d64e5974
genannt	w1_d64e5979
der	w3_d64e5982
Corse,	w5_d64e5985
ein	w7_d64e5988
berühmter	w9_d64e5991
Handels	w11_d64e5994
herr	w1_d64e5999
von	w3_d64e6002
hier,	w5_d64e6005
waffnete	w7_d64e6008
vier	w9_d64e6011
Kaffahrdey	w11_d64e6014
schiffe,	w1_d64e6020
jedes	w3_d64e6023
von	w5_d64e6026
40.	w7_d64e6029
Kannonen,	w9_d64e6032
wider	w11_d64e6035
die	w13_d64e6039
Engländische	w1_d64e6044
Freybeuter,	w3_d64e6047
nebst	w5_d64e6050
einem	w7_d64e6053
von	w9_d64e6056
64.	w11_d64e6059
Kanonen.	w1_d64e6064
Aus	w3_d64e6067
der	w5_d64e6070
Levante	w7_d64e6073
sind	w9_d64e6076
250.	w11_d64e6079
List	w13_d64e6083
Coffee	w1_d64e6088
und	w3_d64e6091
viele	w5_d64e6094
andere	w7_d64e6097
reiche	w9_d64e6100
Waarenla	w11_d64e6103
dungen	w1_d64e6109
angekommen.	w3_d64e6112
Zwey	w5_d64e6115
Engländer	w7_d64e6118
sind	w9_d64e6121
einige	w1_d64e6126
Tage,	w3_d64e6129
aber	w5_d64e6132
umsonst	w7_d64e6135
nachgeseegelt.	w9_d64e6138
</p>
<head id="h4_d64e6154">
Marsaille	w1_d64e6158
17.	w3_d64e6161
Julii.	w5_d64e6164
</head>
<p id="p6_d64e6167">
Von	w1_d64e6171
Aix	w3_d64e6174
vernimmt	w5_d64e6177
man,	w7_d64e6180
daß	w9_d64e6183
das	w11_d64e6186
da	w13_d64e6190
sige	w1_d64e6195
Schweitzer=regiment	w3_d64e6198
Diesbach,	w5_d64e6201
welches	w7_d64e6204
in	w1_d64e6209
denen	w3_d64e6212
Casernen	w5_d64e6215
gelegen,	w7_d64e6218
aus	w9_d64e6221
denselben	w11_d64e6224
gezogen	w1_d64e6230
und	w3_d64e6233
bis	w5_d64e6236
auf	w7_d64e6239
