<doc id="wr_1758-08-09" attrs="word" year="1758" month="08" day="09" corpus="2">
<head id="h2_d268e3404">
Aachen	w1_d268e3408
da	w1_d268e4018
rückte	w3_d268e4021
sie	w5_d268e4024
den	w7_d268e4027
25.	w9_d268e4030
bis	w11_d268e4033
Keyenberg	w13_d268e4037
an	w15_d268e4040
der	w17_d268e4043
Quelle	w1_d268e4048
der	w3_d268e4051
Nierse.	w5_d268e4054
Die	w7_d268e4057
Hanöverische	w9_d268e4060
Armee,	w11_d268e4063
welche	w1_d268e4068
den	w3_d268e4071
15.	w5_d268e4074
in	w7_d268e4077
der	w9_d268e4080
Nacht	w11_d268e4083
ihr	w13_d268e4087
Lager	w15_d268e4090
bey	w17_d268e4093
Capell	w1_d268e4099
verließ,	w3_d268e4102
hat	w5_d268e4105
den	w7_d268e4108
26.	w9_d268e4111
und	w11_d268e4114
27.	w13_d268e4118
sehr	w15_d268e4121
forcirte	w1_d268e4126
Märsche	w3_d268e4129
gethan,	w5_d268e4132
so,	w7_d268e4135
daß	w9_d268e4138
sie	w11_d268e4141
den	w13_d268e4145
27.	w15_d268e4148
ganz	w1_d268e4153
spät	w3_d268e4156
bey	w5_d268e4159
Wassenberg	w7_d268e4162
eingetroffen,	w9_d268e4165
alwo	w11_d268e4168
sich	w1_d268e4173
dermalen	w3_d268e4176
ihr	w5_d268e4179
Haupt=quartier	w7_d268e4182
befindet.	w9_d268e4185
</p>
<p id="p8_d268e4188">
Den	w1_d268e4192
23.	w3_d268e4195
haben	w5_d268e4198
die	w7_d268e4201
Französischen	w9_d268e4204
Vorpo	w11_d268e4207
sten,	w1_d268e4212
unweit	w3_d268e4215
Grevenbroick,	w5_d268e4218
jemanden	w7_d268e4221
von	w9_d268e4224
Di	w11_d268e4227
stinction	w1_d268e4232
bey	w3_d268e4235
der	w5_d268e4238
Hanöverischen	w7_d268e4241
Armee	w9_d268e4244
bleßirt	w11_d268e4247
Diese	w1_d268e4253
Person	w3_d268e4256
war	w5_d268e4259
mit	w7_d268e4262
einer	w9_d268e4265
Escorte	w11_d268e4268
von	w13_d268e4272
un	w15_d268e4275
gefähr	w1_d268e4280
30.	w3_d268e4283
Hussaren	w5_d268e4286
auf	w7_d268e4289
recognosciren	w9_d268e4292
aus	w11_d268e4295
geritten.	w1_d268e4300
Sie	w3_d268e4303
ließ	w5_d268e4306
die	w7_d268e4309
Bedeckung	w9_d268e4312
einige	w11_d268e4315
Schritte	w1_d268e4320
zurücke,	w3_d268e4323
nachdem	w5_d268e4326
aber	w7_d268e4329
2	w9_d268e4332
Flinten	w11_d268e4335
Schüsse	w1_d268e4341
geschehen,	w3_d268e4344
gab	w5_d268e4347
sie	w7_d268e4350
2.	w9_d268e4353
Hussaren	w11_d268e4356
ein	w13_d268e4360
Zeichen,	w1_d268e4365
sich	w3_d268e4368
zu	w5_d268e4371
nähern,	w7_d268e4374
und	w9_d268e4377
diese	w11_d268e4380
führten	w13_d268e4384
besagte	w1_d268e4389
Person,	w3_d268e4392
auf	w5_d268e4395
beyden	w7_d268e4398
Seiten	w9_d268e4401
haltend,	w11_d268e4404
zurücke.	w1_d268e4409
</p>
<head id="h2_d268e4415">
Culmbach	w1_d268e4419
1.	w3_d268e4422
Augusti.	w5_d268e4425
</head>
<p id="p4_d268e4428">
Die	w1_d268e4432
Französische	w3_d268e4435
Armee,	w5_d268e4438
welche	w7_d268e4441
unter	w9_d268e4444
dem	w11_d268e4447
</p>
<p id="p8_d268e4452">
Commando	w1_d268e4456
des	w3_d268e4459
Prinzen	w5_d268e4462
von	w7_d268e4465
Seubise	w9_d268e4468
in	w11_d268e4471
Hessen	w13_d268e4475
eingerückt,	w1_d268e4480
setzt	w3_d268e4483
ihren	w5_d268e4486
Marsch	w7_d268e4489
unverhindert	w9_d268e4492
gegen	w1_d268e4497
die	w3_d268e4500
Hanöverischen	w5_d268e4503
Lande	w7_d268e4506
fort.	w9_d268e4509
Jn	w11_d268e4512
Münden	w1_d268e4518
sind	w3_d268e4521
bereits	w5_d268e4524
den	w7_d268e4527
24.	w9_d268e4530
Julii	w11_d268e4533
2000.	w13_d268e4537
Mann	w1_d268e4542
Franzosen	w3_d268e4545
eingetroffen,	w5_d268e4548
welche	w7_d268e4551
den	w9_d268e4554
25.	w11_d268e4557
Worgens	w1_d268e4562
den	w3_d268e4565
Marsch	w5_d268e4568
über	w7_d268e4571
Transfeld	w9_d268e4574
nach	w11_d268e4577
Göttingen	w1_d268e4582
angetretten.	w3_d268e4585
Die	w5_d268e4588
Heßische	w7_d268e4591
Ar	w9_d268e4594
rier=garde,	w1_d268e4600
welche	w3_d268e4603
sich	w5_d268e4606
den	w7_d268e4609
23.	w9_d268e4612
noch	w11_d268e4615
zu	w13_d268e4619
Mün	w15_d268e4622
dett	w1_d268e4627
befand,	w3_d268e4630
zog	w5_d268e4633
sich	w7_d268e4636
schleunig	w9_d268e4639
zurück,	w11_d268e4642
und	w13_d268e4646
hinterließ	w1_d268e4651
8.	w3_d268e4654
Canonen,	w5_d268e4657
9.	w7_d268e4660
ganz	w9_d268e4663
neue	w11_d268e4666
Lavet	w13_d268e4670
ten,	w1_d268e4675
40.	w3_d268e4678
Fässer	w5_d268e4681
mit	w7_d268e4684
Patronen,	w9_d268e4687
und	w11_d268e4690
2.	w13_d268e4694
mit	w15_d268e4697
Flinten=steinen,	w1_d268e4703
welche	w3_d268e4706
die	w5_d268e4709
Weser	w7_d268e4712
hinauf	w9_d268e4715
nach	w11_d268e4718
Hameln	w1_d268e4723
gebracht	w3_d268e4726
werden	w5_d268e4729
solten,	w7_d268e4732
und	w9_d268e4735
zum	w11_d268e4738
Einschiffen	w1_d268e4743
schon	w3_d268e4746
fertig	w5_d268e4749
stunden:	w7_d268e4752
der	w9_d268e4755
gröste	w11_d268e4758
Theil	w1_d268e4763
der	w3_d268e4766
Heßischen	w5_d268e4769
Trupen	w7_d268e4772
hat	w9_d268e4775
sich	w11_d268e4778
nebst	w13_d268e4782
dem	w1_d268e4788
Prinzen	w3_d268e4791
von	w5_d268e4794
Jsenburg	w7_d268e4797
nach	w9_d268e4800
dem	w11_d268e4803
bey	w13_d268e4807
Sangerhausen	w1_d268e4812
erlittenen	w3_d268e4815
Verlust	w5_d268e4818
nach	w7_d268e4821
Ha	w9_d268e4824
meln	w1_d268e4829
gezogen,	w3_d268e4832
alwo	w5_d268e4835
sie	w7_d268e4838
durch	w9_d268e4841
die	w11_d268e4844
noch	w13_d268e4848
im	w15_d268e4851
Hanöverischen	w1_d268e4856
zuruck	w3_d268e4859
gebliebene	w5_d268e4862
Trupen	w7_d268e4865
und	w9_d268e4868
Land=militz	w1_d268e4874
verstärkt	w3_d268e4877
werden	w5_d268e4880
sollen.	w7_d268e4883
Man	w9_d268e4886
ver	w11_d268e4889
sichert	w1_d268e4894
auch,	w3_d268e4897
daß	w5_d268e4900
der	w7_d268e4903
Herr	w9_d268e4906
General	w11_d268e4909
Wangen	w13_d268e4913
heim,	w1_d268e4918
die	w3_d268e4921
Bloquade	w5_d268e4924
von	w7_d268e4927
Wesel	w9_d268e4930
aufgehoben,	w11_d268e4933
und	w1_d268e4938
mit	w3_d268e4941
10000.	w5_d268e4944
Mann	w7_d268e4947
sich	w9_d268e4950
mit	w11_d268e4953
eilfertigen	w13_d268e4957
Märschen	w1_d268e4963
gegen	w3_d268e4966
Hameln	w5_d268e4969
wende.	w7_d268e4972
</p>
<head id="h2_d268e4978">
Mecheln	w1_d268e4982
4.	w3_d268e4985
Augusti.	w5_d268e4988
</head>
<p id="p4_d268e4991">
Die	w1_d268e4995
Contributions=summa,	w3_d268e4998
welche	w5_d268e5001
die	w7_d268e5004
Ha	w9_d268e5007
röverische	w1_d268e5012
Parthey	w3_d268e5015
von	w5_d268e5018
einigen	w7_d268e5021
Gränz	w9_d268e5024
vertern	w11_d268e5027
Brabands	w1_d268e5032
verlangt,	w3_d268e5035
erstreckte	w5_d268e5038
sich	w7_d268e5041
auf	w9_d268e5044
485000.	w11_d268e5047
Thir.	w1_d268e5053
Mann	w3_d268e5056
hat	w5_d268e5059
deswegen	w7_d268e5062
Geisel	w9_d268e5065
mitge	w11_d268e5068
nommen,	w1_d268e5073
alleine	w3_d268e5076
bey	w5_d268e5079
allem	w7_d268e5082
dem	w9_d268e5085
bemerkt	w11_d268e5088
man	w1_d268e5093
als	w3_d268e5096
etwas	w5_d268e5099
ausserordentliches,	w7_d268e5102
daß	w9_d268e5105
diese	w11_d268e5108
Summa	w1_d268e5113
von	w3_d268e5116
dem	w5_d268e5119
General	w7_d268e5122
en	w9_d268e5125
Chef	w11_d268e5128
der	w13_d268e5132
Königl.	w15_d268e5135
Großbrittanischen	w1_d268e5141
Armeen	w3_d268e5144
verlangt	w5_d268e5147
worden,	w7_d268e5150
da	w1_d268e5155
man	w3_d268e5158
doch	w5_d268e5161
mit	w7_d268e5164
diesem	w9_d268e5167
Monarchen	w11_d268e5170
weder	w13_d268e5174
in	w1_d268e5179
der	w3_d268e5182
Qualität	w5_d268e5185
eines	w7_d268e5188
Königs	w9_d268e5191
noch	w11_d268e5194
eines	w13_d268e5198
Chur=fürstens	w1_d268e5203
in	w3_d268e5206
Krieg	w5_d268e5209
verwickelt	w7_d268e5212
sich	w9_d268e5215
be	w11_d268e5218
findet.	w1_d268e5224
Zweytens	w3_d268e5227
daß	w5_d268e5230
man	w7_d268e5233
verlanget,	w9_d268e5236
die	w11_d268e5239
Geisel	w1_d268e5244
sollen	w3_d268e5247
dafür	w5_d268e5250
gutstehen,	w7_d268e5253
da	w9_d268e5256
es	w11_d268e5259
doch	w13_d268e5263
nicht	w15_d268e5266
auf	w1_d268e5271
sie	w3_d268e5274
ankommt,	w5_d268e5277
und	w7_d268e5280
Braband	w9_d268e5283
keine	w11_d268e5286
mili	w13_d268e5290
tarische	w1_d268e5295
Execution	w3_d268e5298
zu	w5_d268e5301
beförchten	w7_d268e5304
hat.	w9_d268e5307
</p>
<head id="h2_d268e5313">
Strasburg	w1_d268e5317
1.	w3_d268e5320
Augusti.	w5_d268e5323
</head>
<p id="p4_d268e5326">
Die	w1_d268e5330
8000.	w3_d268e5333
Mann	w5_d268e5336
Chur=sächsische	w7_d268e5339
Trupen	w9_d268e5342
welche	w1_d268e5347
Se.	w3_d268e5350
Allerchristl.	w5_d268e5353
Majestät	w7_d268e5356
in	w9_d268e5359
Sold	w11_d268e5362
genommen,	w1_d268e5367
sind	w3_d268e5370
in	w5_d268e5373
hiesiger	w7_d268e5376
Gegend	w9_d268e5379
bereits	w11_d268e5382
angelangt.	w1_d268e5388
Es	w3_d268e5391
gehet	w5_d268e5394
die	w7_d268e5397
Rede,	w9_d268e5400
daß	w11_d268e5403
man	w13_d268e5407
sie	w15_d268e5410
zur	w1_d268e5415
Verstärkung	w3_d268e5418
der	w5_d268e5421
Französischen	w7_d268e5424
Trupen	w9_d268e5427
an	w1_d268e5432
die	w3_d268e5435
Küsten	w5_d268e5438
von	w7_d268e5441
Normandie	w9_d268e5444
und	w11_d268e5447
Bretagne	w13_d268e5451
absenden	w1_d268e5456
wolle.	w3_d268e5459
</p>
<head id="h2_d268e5466">
Paris	w1_d268e5470
20.	w3_d268e5473
Julii.	w5_d268e5476
</head>
<p id="p4_d268e5479">
Der	w1_d268e5483
Marschall,	w3_d268e5486
Herzog	w5_d268e5489
von	w7_d268e5492
Bellisle,	w9_d268e5495
hat	w11_d268e5498
</p>
<p id="p6_d268e5501">
an	w1_d268e5505
den	w3_d268e5508
Marschall	w5_d268e5511
de	w7_d268e5514
Camp,	w9_d268e5517
Herrn	w11_d268e5520
bePoyame,	w13_d268e5524
geschrieben:	w1_d268e5529
daß	w3_d268e5532
er	w5_d268e5535
ungeachtet	w7_d268e5538
seines	w9_d268e5541
grossen	w11_d268e5544
Schmerzens,	w1_d268e5549
gleichwol	w3_d268e5552
auf	w5_d268e5555
seine	w7_d268e5558
Beförde	w9_d268e5561
rung	w1_d268e5567
gedenke,	w3_d268e5570
und	w5_d268e5573
daß	w7_d268e5576
er	w9_d268e5579
mit	w11_d268e5582
Geehmhal	w13_d268e5586
tung	w1_d268e5591
des	w3_d268e5594
Königs	w5_d268e5597
ihm	w7_d268e5600
das	w9_d268e5603
Commando	w11_d268e5606
der	w13_d268e5610
Carabiniers	w1_d268e5615
ertheilt,	w3_d268e5618
welches	w5_d268e5621
der	w7_d268e5624
Graf	w9_d268e5627
von	w11_d268e5630
Gisors	w1_d268e5635
sein	w3_d268e5638
Sohn	w5_d268e5641
gehabt.	w7_d268e5644
</p>
<p id="p8_d268e5647">
Der	w1_d268e5651
König	w3_d268e5654
hat	w5_d268e5657
verschiedene	w7_d268e5660
geistliche	w9_d268e5663
Be	w11_d268e5666
nefitien	w1_d268e5671
vergeber,	w3_d268e5674
und	w5_d268e5677
man	w7_d268e5680
sagt,	w9_d268e5683
daß	w11_d268e5686
Se.	w13_d268e5690
Majestät	w1_d268e5695
auch	w3_d268e5698
nächstens	w5_d268e5701
eine	w7_d268e5704
grosse	w9_d268e5707
Militar	w11_d268e5710
promotion	w1_d268e5716
vornehmet,	w3_d268e5719
und	w5_d268e5722
neue	w7_d268e5725
Marschälle	w9_d268e5728
von	w1_d268e5733
Frankreich	w3_d268e5736
ernennen	w5_d268e5739
würden.	w7_d268e5742
Der	w9_d268e5745
Duc	w11_d268e5748
de	w1_d268e5753
Trefmes	w3_d268e5756
ward	w5_d268e5759
den	w7_d268e5762
28.	w9_d268e5765
vorigen	w11_d268e5768
Monats	w13_d268e5772
als	w1_d268e5777
Pair	w3_d268e5780
im	w5_d268e5783
Parlament	w7_d268e5786
eingeführet.	w9_d268e5789
Den	w11_d268e5792
3.	w1_d268e5798
dieses	w3_d268e5801
kam	w5_d268e5804
die	w7_d268e5807
Fregatt,	w9_d268e5810
der	w11_d268e5813
Zephir,	w13_d268e5817
von	w15_d268e5820
der	w1_d268e5825
zu	w3_d268e5828
Port	w5_d268e5831
Dauphin	w7_d268e5834
eingeloffenen	w9_d268e5837
Esquadre	w11_d268e5840
des	w1_d268e5845
Herrn	w3_d268e5848
Duchaffault	w5_d268e5851
zu	w7_d268e5854
Brest	w9_d268e5857
an,	w11_d268e5860
und	w13_d268e5864
brachte	w1_d268e5869
den	w3_d268e5872
Bericht,	w5_d268e5875
daß	w7_d268e5878
bemeldtete	w9_d268e5881
Esqua	w11_d268e5884
dre,	w1_d268e5890
nachdem	w3_d268e5893
sie	w5_d268e5896
das	w7_d268e5899
Bataillon	w9_d268e5902
von	w11_d268e5905
Cambis	w13_d268e5909
nach	w1_d268e5914
Jsle	w3_d268e5917
Royale	w5_d268e5920
gebrach,	w7_d268e5923
nach	w9_d268e5926
Quebeck	w11_d268e5929
unter	w1_d268e5934
Seegel	w3_d268e5937
gegangen,	w5_d268e5940
und	w7_d268e5943
bereits	w9_d268e5946
an	w11_d268e5949
der	w13_d268e5953
Mündung	w1_d268e5958
des	w3_d268e5961
Flusses	w5_d268e5964
St.	w7_d268e5967
Laurenz	w9_d268e5970
gewesen	w11_d268e5973
sey,	w1_d268e5979
als	w3_d268e5982
obbesagte	w5_d268e5985
Fregatte	w7_d268e5988
selbige	w9_d268e5991
verlassen	w11_d268e5994
habe.	w1_d268e5999
</p>
<head id="h2_d268e6005">
Cöln	w1_d268e6009
24.	w3_d268e6012
Julii.	w5_d268e6015
</head>
<p id="p4_d268e6018">
Die	w1_d268e6022
Garnison	w3_d268e6025
von	w5_d268e6028
Düsseldorf	w7_d268e6031
ist	w9_d268e6034
vorge	w11_d268e6037
stern	w1_d268e6042
auf	w3_d268e6045
2000.	w5_d268e6048
Mann	w7_d268e6051
ohne	w9_d268e6054
denen	w11_d268e6057
leichten	w13_d268e6061
Trupen	w1_d268e6066
verstärket	w3_d268e6069
worden.	w5_d268e6072
Der	w7_d268e6075
Commen	w9_d268e6078
dant	w1_d268e6084
hat	w3_d268e6087
einen	w5_d268e6090
Artillerie=zug	w7_d268e6093
in	w9_d268e6096
Bereitschaft	w11_d268e6099
gestellet,	w1_d268e6104
bey	w3_d268e6107
ersten	w5_d268e6110
Befehl	w7_d268e6113
aufzubrechen.	w9_d268e6116
Man	w11_d268e6119
sagt,	w1_d268e6124
daß	w3_d268e6127
noch	w5_d268e6130
mehrere	w7_d268e6133
Verstärkung	w9_d268e6136
dahin	w11_d268e6139
beordert	w1_d268e6144
sey,	w3_d268e6147
und	w5_d268e6150
man	w7_d268e6153
mutmasset,	w9_d268e6156
daß	w11_d268e6159
ein	w13_d268e6163
Anschlag	w1_d268e6169
auf	w3_d268e6172
die	w5_d268e6175
Brücke	w7_d268e6178
bey	w9_d268e6181
Deutz	w11_d268e6184
und	w13_d268e6188
dos	w15_d268e6191
selbige	w1_d268e6196
deckende	w3_d268e6199
Corps	w5_d268e6202
des	w7_d268e6205
Marquis	w9_d268e6208
de	w11_d268e6211
Vo	w13_d268e6215
yer	w1_d268e6220
obhanden	w3_d268e6223
sey.	w5_d268e6226
Der	w7_d268e6229
Graf	w9_d268e6232
von	w11_d268e6235
Bergack	w13_d268e6239
ist	w1_d268e6244
nach	w3_d268e6247
Versailles	w5_d268e6250
beruffen	w7_d268e6253
worden,	w9_d268e6256
um	w11_d268e6259
we	w13_d268e6263
gen	w1_d268e6269
der	w3_d268e6272
Ubergabe	w5_d268e6275
von	w7_d268e6278
Düsseldorf	w9_d268e6281
einige	w11_d268e6284
Er	w13_d268e6288
läuterungen	w1_d268e6293
zu	w3_d268e6296
ertheilen.	w5_d268e6299
Zwischen	w7_d268e6302
Blan	w9_d268e6305
kenburg	w1_d268e6310
und	w3_d268e6313
Siegburg	w5_d268e6316
seynd	w7_d268e6319
Hannöverische	w9_d268e6322
Hussaren	w1_d268e6327
erschienen,	w3_d268e6330
aber	w5_d268e6333
auch	w7_d268e6336
bald	w9_d268e6339
wieder	w11_d268e6342
weg	w1_d268e6348
gekommen,	w3_d268e6351
so	w5_d268e6354
bald	w7_d268e6357
die	w9_d268e6360
ihnen	w11_d268e6363
entgegenege	w13_d268e6367
schickte	w1_d268e6372
Detaschements	w3_d268e6375
zum	w5_d268e6378
Vorschein	w7_d268e6381
gekom	w9_d268e6384
men.	w1_d268e6389
</p>
<head id="h2_d268e6395">
Coblenz	w1_d268e6399
28.	w3_d268e6402
Julii.	w5_d268e6405
</head>
<p id="p4_d268e6408">
Jn	w1_d268e6412
der	w3_d268e6415
vorigen	w5_d268e6418
Nacht	w7_d268e6421
hat	w9_d268e6424
uns	w11_d268e6427
der	w13_d268e6431
Höch	w15_d268e6434
ste	w1_d268e6439
gezeiget,	w3_d268e6442
wie	w5_d268e6445
weit	w7_d268e6448
seine	w9_d268e6451
Gnade	w11_d268e6454
und	w13_d268e6458
All	w15_d268e6461
macht	w1_d268e6466
bey	w3_d268e6469
der	w5_d268e6472
Bosheit	w7_d268e6475
und	w9_d268e6478
dem	w11_d268e6481
Frevel	w13_d268e6485
der	w15_d268e6488
Menschen	w1_d268e6494
gehet.	w3_d268e6497
Diese	w5_d268e6500
Stadt	w7_d268e6503
war	w9_d268e6506
ihrem	w11_d268e6509
Untergange	w1_d268e6514
sehr	w3_d268e6517
nahe,	w5_d268e6520
indem	w7_d268e6523
verfluchte	w9_d268e6526
Hän	w11_d268e6529
de	w1_d268e6534
Feuer	w3_d268e6537
an	w5_d268e6540
den	w7_d268e6543
hiesigen	w9_d268e6546
Pulfer=thurn	w11_d268e6549
ge	w13_d268e6553
</p>
<p id="p10_d268e6566">
rigt.	w1_d268e6570
Die	w3_d268e6573
Lunte	w5_d268e6576
war	w7_d268e6579
schon	w9_d268e6582
gröstentheils	w11_d268e6585
verzehrt,	w1_d268e6590
als	w3_d268e6593
die	w5_d268e6596
erstaunliche	w7_d268e6599
Gefahr	w9_d268e6602
entdeckt,	w11_d268e6605
und	w1_d268e6610
verhütet	w3_d268e6613
war.	w5_d268e6616
Diesen	w7_d268e6619
Morgen	w9_d268e6622
hat	w11_d268e6625
man	w13_d268e6629
die	w1_d268e6635
Thore	w3_d268e6638
bis	w5_d268e6641
8.	w7_d268e6644
Uhr	w9_d268e6647
geschlossen	w11_d268e6650
gehalten,	w13_d268e6654
u	w15_d268e6657
5.	w1_d268e6662
verdächtige	w3_d268e6665
Personen	w5_d268e6668
eingezogen,	w7_d268e6671
bey	w9_d268e6674
deren	w11_d268e6677
einer	w1_d268e6682
man	w3_d268e6685
gefährliche	w5_d268e6688
Corr	w7_d268e6691
spondenz	w9_d268e6694
gefun	w11_d268e6697
den.	w1_d268e6702
So	w3_d268e6705
eben	w5_d268e6708
führet	w7_d268e6711
man	w9_d268e6714
noch	w11_d268e6717
eine	w13_d268e6721
Person	w15_d268e6724
ein,	w1_d268e6730
die	w3_d268e6733
stark	w5_d268e6736
mit	w7_d268e6739
Gold	w9_d268e6742
bordirt	w11_d268e6745
ist.	w13_d268e6749
</p>
<head id="h2_d268e6755">
Münster	w1_d268e6759
30.	w3_d268e6762
Julii.	w5_d268e6765
</head>
<p id="p4_d268e6768">
Zu	w1_d268e6772
Coestfeld	w3_d268e6775
(*)	w5_d268e6778
hat	w7_d268e6781
sich	w9_d268e6784
vom	w11_d268e6787
23.	w13_d268e6791
bis	w15_d268e6794
auf	w17_d268e6797
den	w1_d268e6802
24.	w3_d268e6805
folgendes	w5_d268e6808
ereignet:	w7_d268e6811
Jn	w9_d268e6814
gedachter	w11_d268e6817
Nacht	w1_d268e6822
bemächtigten	w3_d268e6825
sich	w5_d268e6828
50.	w7_d268e6831
bis	w9_d268e6834
60.	w11_d268e6837
Fran	w13_d268e6841
zösische	w1_d268e6847
Dragoner	w3_d268e6850
der	w5_d268e6853
dasigen	w7_d268e6856
Thöre,	w9_d268e6859
die	w11_d268e6862
von	w13_d268e6866
denen	w1_d268e6871
Bürgern	w3_d268e6874
besetzt	w5_d268e6877
waern;	w7_d268e6880
sie	w9_d268e6883
drungen	w11_d268e6886
bis	w1_d268e6891
an	w3_d268e6894
des	w5_d268e6897
Herrn	w7_d268e6900
Stadt=richters	w9_d268e6903
Behausung,	w11_d268e6906
in	w1_d268e6911
welcher	w3_d268e6914
sich	w5_d268e6917
der	w7_d268e6920
Heßische	w9_d268e6923
Obrist=leutenant	w11_d268e6926
Herr	w1_d268e6932
von	w3_d268e6935
Fresen,	w5_d268e6938
befand;	w7_d268e6941
sie	w9_d268e6944
verlangten	w11_d268e6947
daß	w13_d268e6951
man	w1_d268e6956
ihnen	w3_d268e6959
die	w5_d268e6962
Thür	w7_d268e6965
öfnete,	w9_d268e6968
welches	w11_d268e6971
man	w13_d268e6975
Anfangs	w1_d268e6980
verweigerte,	w3_d268e6983
bis	w5_d268e6986
man	w7_d268e6989
sich	w9_d268e6992
endlich	w11_d268e6995
durch	w1_d268e7000
einige	w3_d268e7003
Pistolen=schüsse	w5_d268e7006
in	w7_d268e7009
die	w9_d268e7012
Fenster	w11_d268e7015
hierzu	w1_d268e7021
vor	w3_d268e7024
genöhtiget	w5_d268e7027
hielt;	w7_d268e7030
