<doc id="edoc_wd_1762-07-14" attrs="word" year="1762" month="07" day="14" corpus="1">
<head id="hl1">
Petersburg	w39
50	w512
<g/>
.
Schritte	w514
von	w515
der	w516
Stelle	w517
<g/>
,
wo	w519
er	w520
gestanden	w521
<g/>
,
weggewehet	w523
<g/>
,
der	w525
Wanner	w526
<g/>
=
see	w528
<g/>
,
und	w530
viele	w531
Flüsse	w532
hoch	w533
aufgeschwollen	w534
<g/>
,
und	w536
in	w537
Ostbott=nien	w538
<g/>
=
das	w540
Eis	w541
aus	w542
der	w543
See	w544
weit	w545
aufs	w546
Land	w547
getrieben	w548
worden	w549
<g/>
,
welches	w551
in	w552
diesem	w553
Lande	w554
eine	w555
grosse	w556
Kälte	w557
verursachet	w558
<g/>
,
und	w560
das	w561
Aus=säen	w562
<g/>
=
des	w564
Sommer	w565
<g/>
=
korns	w567
<g/>
,
nebst	w569
dem	w570
Fisch=fange	w571
<g/>
=
gehindert	w573
hat	w574
<g/>
.
Diesem	w576
Sturme	w577
schrei=bet	w578
<g/>
=
man	w580
es	w581
auch	w582
zu	w583
<g/>
,
daß	w585
den	w586
24	w587
<g/>
.
und	w589
25sten	w590
May	w591
die	w592
Stadt	w593
Lulea	w594
in	w595
Westbottnien	w596
<g/>
,
auch	w598
den	w599
29sten	w600
May	w601
das	w602
Dorf	w603
Quänum	w604
in	w605
West	w606
gothland	w607
grossen	w608
Theils	w609
in	w610
die	w611
Asche	w612
geleget	w613
worden	w614
<g/>
.
Die	w616
unglückliche	w617
Einwohner	w618
an	w619
diesen	w620
Orten	w621
haben	w622
sehr	w623
wenig	w624
von	w625
ihrem	w626
Eigentume	w627
gerettet	w628
<g/>
,
und	w630
der	w631
Schade	w632
an	w633
vere	w634
</p>
<p id="p8">
brannten	w635
Waaren	w636
wird	w637
für	w638
sehr	w639
ansehnlich	w640
gehalten	w641
<g/>
.
</p>
<head id="hl3">
Altona	w643
25	w644
<g/>
.
Junii	w646
<g/>
.
</head>
<p id="p9">
Morgen	w648
werden	w649
4000	w650
<g/>
.
Mann	w652
Infan=terie	w653
<g/>
=
allhier	w655
erwartet	w656
<g/>
,
welche	w658
zu	w659
dem	w660
bey	w661
Pinneberg	w662
stehenden	w663
grossen	w664
Corps	w665
stossen	w666
werden	w667
<g/>
.
Man	w669
zählet	w670
bereits	w671
50000	w672
<g/>
.
M	w674
<g/>
.
Dänischer	w676
Trupen	w677
in	w678
hiesigen	w679
Gegenden	w680
<g/>
,
ohne	w682
diejenige	w683
12000	w684
<g/>
.
mit	w686
zu	w687
rechnen	w688
<g/>
,
wel=che	w690
<g/>
=
nächster	w692
Tagen	w693
aus	w694
Norwegen	w695
kommen	w696
sollen	w697
<g/>
.
Man	w699
sagt	w700
<g/>
,
daß	w702
der	w703
König	w704
selbsten	w705
incognito	w706
das	w707
Heu	w708
<g/>
=
magazin	w710
bey	w711
Ottensen	w712
besichtiget	w713
<g/>
,
und	w715
daß	w716
er	w717
den	w718
19	w719
<g/>
.
als	w721
den	w722
Tag	w723
darauf	w724
<g/>
,
da	w726
Dieselbte	w727
von	w728
der	w729
Stadt	w730
Hamburg	w731
die	w732
bekannte	w733
Summe	w734
anverlau=get	w735
<g/>
=
<g/>
,
die	w738
Gegenden	w739
um	w740
besagte	w741
Stadt	w742
selb=sten	w743
<g/>
=
recognosciret	w745
habe	w746
<g/>
.
</p>
<head id="hl4">
Haag	w748
2	w749
<g/>
.
Julii	w751
<g/>
.
</head>
<p id="p10">
Von	w753
Lübeck	w754
vernihmt	w755
man	w756
<g/>
,
daß	w758
einige	w759
Dänische	w760
Trupen	w761
eben	w762
zu	w763
der	w764
Zeit	w765
<g/>
,
als	w767
die	w768
Affaire	w769
bey	w770
Hamburg	w771
vorgienge	w772
<g/>
,
sich	w774
gedach=ter	w775
<g/>
=
Stadt	w777
genähert	w778
haben	w779
<g/>
:
der	w781
Magistrat	w782
habe	w783
sodann	w784
<g/>
,
weilen	w786
er	w787
von	w788
deme	w789
<g/>
,
was	w791
zu	w792
Hamburg	w793
vorgefallen	w794
<g/>
,
genaue	w796
Kundschaft	w797
ein=gezogen	w798
<g/>
=
<g/>
,
den	w801
20	w802
<g/>
.
Nachmittags	w804
versammlet	w805
<g/>
,
und	w807
nach	w808
einer	w809
langen	w810
Berahtschlagung	w811
end=lich	w812
<g/>
=
den	w814
Schluß	w815
dahin	w816
gefasset	w817
<g/>
,
an	w819
Se	w820
<g/>
.
Dänische	w822
Majest	w823
<g/>
.
nacher	w825
Pinneberg	w826
eine	w827
Deputation	w828
abzusenden	w829
<g/>
,
durch	w831
selbe	w832
gedach=tem	w833
<g/>
=
König	w835
die	w836
Schlüssel	w837
der	w838
Stadt	w839
überrei=chen	w840
<g/>
=
<g/>
,
und	w843
sich	w844
in	w845
seinen	w846
Schutz	w847
anempfehlen	w848
zu	w849
lassen	w850
<g/>
.
Diese	w852
Deputation	w853
seye	w854
auch	w855
von	w856
dem	w857
König	w858
sehr	w859
gnädig	w860
aufgenommen	w861
und	w862
versichert	w863
worden	w864
<g/>
,
daß	w866
er	w867
dieses	w868
Gesuch	w869
kei=neswegs	w870
<g/>
=
abzuschlagen	w872
<g/>
,
vielmehr	w874
die	w875
Stadt	w876
Lübeck	w877
wider	w878
alle	w879
seine	w880
Feinde	w881
zu	w882
schützen	w883
ent=schlossen	w884
<g/>
=
seye	w886
<g/>
.
</p>
<head id="hl5">
Aus	w888
der	w889
Grafschaft	w890
Hohnstein	w891
23	w892
<g/>
.
Juni	w894
<g/>
.
</head>
<p id="p11">
Am	w896
10	w897
<g/>
.
huj	w899
<g/>
.
kam	w901
eine	w902
Patrouille	w903
von	w904
Lucknerischen	w905
Husaren	w906
über	w907
Eißfeld	w908
<g/>
,
cam=pirte	w910
<g/>
=
auf	w912
einer	w913
Wiese	w914
vor	w915
Gerode	w916
<g/>
,
und	w918
</p>
<p id="p12">
schickte	w921
kleine	w922
Patrouillen	w923
in	w924
die	w925
Grafschaft	w926
bis	w927
nach	w928
Rordhausen	w929
<g/>
.
Die	w931
Eißfelder	w932
Dörfer	w933
mußten	w934
Fleisch	w935
an	w936
die	w937
Alliirten	w938
lie=fern	w939
<g/>
=
<g/>
,
und	w942
zwar	w943
jedes	w944
Dorf	w945
2	w946
<g/>
.
bis	w948
300	w949
<g/>
.
Pfund	w951
<g/>
.
Am	w953
13ten	w954
wurde	w955
an	w956
allen	w957
Or=ten	w958
<g/>
=
in	w960
der	w961
Grafschaft	w962
ein	w963
Dankfest	w964
wegen	w965
des	w966
Friedens	w967
mit	w968
Rußland	w969
gefeyert	w970
<g/>
.
Sie	w972
blieben	w973
dabey	w974
ohngestöhrt	w975
<g/>
,
und	w977
hörte	w978
man	w979
nichts	w980
von	w981
Französischen	w982
Trupen	w983
<g/>
,
ausser	w985
daß	w986
an	w987
eben	w988
diesem	w989
Tage	w990
50	w991
<g/>
.
Französische	w993
Husaren	w994
nach	w995
Gerode	w996
kamen	w997
<g/>
,
welche	w999
aber	w1000
nach	w1001
einem	w1002
sehr	w1003
kurzen	w1004
Aufenthalt	w1005
nach	w1006
Bo=dungen	w1007
<g/>
=
zurück	w1009
giengen	w1010
<g/>
.
Den	w1012
16	w1013
<g/>
.
aber	w1015
kamen	w1016
16	w1017
<g/>
.
Mann	w1019
Berchinische	w1020
Husaren	w1021
nach	w1022
Clettenberg	w1023
<g/>
,
und	w1025
forderten	w1026
2	w1027
<g/>
.
fette	w1029
Kühe	w1030
<g/>
,
welche	w1032
Anforderung	w1033
auf	w1034
jedem	w1035
Dor=se	w1036
<g/>
=
geschahe	w1038
<g/>
;
dieses	w1040
Vieh	w1041
sollte	w1042
nach	w1043
Keule	w1044
geliefert	w1045
werden	w1046
<g/>
.
Wo	w1048
etwas	w1049
geschaffet	w1050
werden	w1051
konnte	w1052
<g/>
,
da	w1054
wurde	w1055
auch	w1056
abgeliefert	w1057
<g/>
.
Gleich	w1059
2	w1060
<g/>
.
Tage	w1062
darauf	w1063
aber	w1064
kam	w1065
ein	w1066
star=kes	w1067
<g/>
=
Corps	w1069
Französischer	w1070
Dragoner	w1071
und	w1072
Hu=faren	w1073
<g/>
=
in	w1075
die	w1076
Grafschaft	w1077
<g/>
,
und	w1079
zertheilte	w1080
sich	w1081
<g/>
,
pressete	w1083
aller	w1084
Orten	w1085
von	w1086
neuem	w1087
Schanzer	w1088
<g/>
,
vornämlich	w1090
aber	w1091
verlangten	w1092
sie	w1093
Pferde	w1094
und	w1095
Wagen	w1096
in	w1097
sehr	w1098
grosser	w1099
Anzahl	w1100
<g/>
.
Alles	w1102
<g/>
,
was	w1104
sie	w1105
um	w1106
Bleicherode	w1107
<g/>
,
Lohre	w1109
und	w1110
an	w1111
der	w1112
Wipper	w1113
von	w1114
Pferden	w1115
bekommen	w1116
konten	w1117
<g/>
,
mußte	w1119
fort	w1120
nach	w1121
Mühlhausen	w1122
<g/>
,
und	w1124
daselbst	w1125
für	w1126
die	w1127
bereits	w1128
beladene	w1129
Fourage	w1130
<g/>
=
wagen	w1132
spannen	w1133
<g/>
,
die	w1135
dem	w1136
Harze	w1137
aber	w1138
näher	w1139
woh=nen	w1140
<g/>
=
<g/>
,
und	w1143
zeitig	w1144
davon	w1145
Kundschaft	w1146
haben	w1147
kon=ten	w1148
<g/>
=
<g/>
,
haben	w1151
ihr	w1152
Geschirr	w1153
gerettet	w1154
<g/>
.
Den	w1156
folgenden	w1157
Tag	w1158
<g/>
,
als	w1160
am	w1161
19	w1162
<g/>
.
Junli	w1164
holten	w1165
sie	w1166
auch	w1167
Geisseln	w1168
zusammen	w1169
von	w1170
Ellrich	w1171
<g/>
,
Sachse	w1173
und	w1174
vielen	w1175
andern	w1176
Dörfern	w1177
<g/>
,
davon	w1179
man	w1180
aber	w1181
die	w1182
Ursache	w1183
noch	w1184
nicht	w1185
wissen	w1186
kan	w1187
<g/>
.
Sie	w1189
haben	w1190
Prediger	w1191
und	w1192
Schul	w1193
<g/>
=
bediente	w1195
mitgenommen	w1196
<g/>
,
wo	w1198
die	w1199
Schulzen	w1200
nicht	w1201
zu	w1202
Hause	w1203
gewesen	w1204
<g/>
,
und	w1206
den	w1207
20	w1208
<g/>
.
zogen	w1210
sie	w1211
sich	w1212
zurück	w1213
nach	w1214
Mühlhausen	w1215
<g/>
,
und	w1217
nahmen	w1218
vie=le	w1219
<g/>
=
Geisseln	w1221
<g/>
,
auch	w1223
alles	w1224
Geschirr	w1225
und	w1226
Pfer=de	w1227
<g/>
=
mit	w1229
sich	w1230
<g/>
,
was	w1232
ste	w1233
davon	w1234
nur	w1235
habhaft	w1236
werden	w1237
konnten	w1238
<g/>
.
Am	w1240
Montage	w1241
früh	w1242
um	w1243
</p>
<p id="p13">
3	w1244
<g/>
.
Uhr	w1246
<g/>
,
als	w1248
am	w1249
21	w1250
<g/>
.
kam	w1252
der	w1253
Herr	w1254
Obrist=leutenant	w1255
<g/>
=
von	w1257
Rau	w1258
mit	w1259
dem	w1260
neu	w1261
errichteten	w1262
Braunschweigischen	w1263
Türken	w1264
<g/>
=
corps	w1266
oder	w1267
Vo=lontaires	w1268
<g/>
=
Auxiliaires	w1270
vom	w1271
Herzberge	w1272
her	w1273
auf	w1274
Mackenrode	w1275
<g/>
.
Einige	w1277
hundert	w1278
Mann	w1279
Grenadiers	w1280
und	w1281
Jäger	w1282
marschirten	w1283
über	w1284
Walkenried	w1285
auf	w1286
Ellrich	w1287
<g/>
,
400	w1289
<g/>
.
Mann	w1291
Ca=vallerie	w1292
<g/>
=
aber	w1294
marschirte	w1295
auf	w1296
Nordhausen	w1297
<g/>
,
blieben	w1299
vor	w1300
dem	w1301
alten	w1302
Thor	w1303
<g/>
,
liessen	w1305
sich	w1306
Fourage	w1307
nebst	w1308
Essen	w1309
und	w1310
Trinken	w1311
heraus	w1312
bringen	w1313
<g/>
,
und	w1315
trafen	w1316
den	w1317
Abend	w1318
ebenfalls	w1319
in	w1320
Ellrich	w1321
ein	w1322
<g/>
,
wo	w1324
sie	w1325
den	w1326
22	w1327
<g/>
.
Rast	w1329
<g/>
=
tag	w1331
hielten	w1332
<g/>
,
und	w1334
den	w1335
23	w1336
<g/>
.
Nachmittage	w1338
wieder	w1339
auf	w1340
Herzberg	w1341
zurück	w1342
marschirten	w1343
<g/>
.
Die	w1345
Schanzer	w1346
aus	w1347
der	w1348
Grafschaft	w1349
sind	w1350
sämmt=lich	w1351
<g/>
=
zurück	w1353
geschickt	w1354
<g/>
,
allein	w1356
alle	w1357
Pferde	w1358
sind	w1359
mit	w1360
der	w1361
Fourage	w1362
und	w1363
Magazin	w1364
von	w1365
Mühl=hausen	w1366
<g/>
=
nach	w1368
Hessen	w1369
gekommen	w1370
<g/>
.
</p>
<head id="hl6">
Landwerhagen	w1372
3	w1373
<g/>
.
Julii	w1375
<g/>
.
</head>
<p id="p14">
Seit	w1377
einigen	w1378
Tagen	w1379
beunruhigten	w1380
die	w1381
Al=lirte	w1382
<g/>
=
unsere	w1384
Communication	w1385
mit	w1386
Frankfurt	w1387
<g/>
.
Zu	w1389
Vereitelung	w1390
dieser	w1391
Absichten	w1392
muste	w1393
der	w1394
Herr	w1395
Graf	w1396
von	w1397
Rochambeau	w1398
<g/>
,
in	w1400
die	w1401
Gegend	w1402
von	w1403
Fritzlae	w1404
vorrücken	w1405
<g/>
.
Vorgestern	w1407
grif	w1408
ihn	w1409
eine	w1410
starke	w1411
Kriegs	w1412
<g/>
=
schaar	w1414
der	w1415
Feinde	w1416
bey	w1417
Homburg	w1418
an	w1419
<g/>
.
Jedoch	w1421
<g/>
,
der	w1423
Herr	w1424
Graf	w1425
zoge	w1426
sich	w1427
in	w1428
der	w1429
besten	w1430
Verfassung	w1431
zurück	w1432
<g/>
.
Das	w1434
Fuß	w1435
<g/>
=
volk	w1437
<g/>
,
die	w1439
Dragoner	w1440
von	w1441
Ferro=naye	w1442
<g/>
=
und	w1444
die	w1445
Hussaren	w1446
von	w1447
Chamborant	w1448
<g/>
,
sochten	w1450
tapfer	w1451
<g/>
,
und	w1453
machten	w1454
viele	w1455
Engländi=sche	w1456
<g/>
=
Officiers	w1458
zu	w1459
Kriegs	w1460
<g/>
=
gefangenen	w1462
<g/>
.
Un=fer	w1464
<g/>
=
Verlust	w1466
war	w1467
sehr	w1468
gering	w1469
<g/>
.
Währender	w1471
Zeit	w1472
wendete	w1473
sich	w1474
der	w1475
Herr	w1476
Graf	w1477
von	w1478
Guerchy	w1479
nach	w1480
Melsungen	w1481
<g/>
.
Kaum	w1483
langte	w1484
er	w1485
daselbst	w1486
an	w1487
<g/>
,
so	w1489
verliessen	w1490
die	w1491
Feinde	w1492
das	w1493
andere	w1494
Ufer	w1495
der	w1496
Eder	w1497
<g/>
.
</p>
<p id="p15">
Hierauf	w1499
besetzte	w1500
der	w1501
Herr	w1502
von	w1503
Rocham=beau	w1504
<g/>
=
Homburg	w1506
<g/>
;
der	w1508
Herr	w1509
von	w1510
Guerchy	w1511
machte	w1512
verschiedene	w1513
Kriegs	w1514
<g/>
=
gefangene	w1516
<g/>
;
der	w1518
Herr	w1519
von	w1520
Chevert	w1521
wurde	w1522
auf	w1523
unsern	w1524
rechten	w1525
Flügel	w1526
mit	w1527
einem	w1528
Corps	w1529
detaschirt	w1530
<g/>
;
der	w1532
Herr	w1533
Graf	w1534
von	w1535
der	w1536
Lausitz	w1537
nahete	w1538
sich	w1539
dem	w1540
</p>
<p id="p16">
Kriegs	w1543
<g/>
=
heer	w1545
wieder	w1546
<g/>
.
Ungeachtet	w1548
die	w1549
Fein=de	w1550
<g/>
=
seit	w1552
etlichen	w1553
Tagen	w1554
verschiedene	w1555
Bewe=gungen	w1556
<g/>
=
machten	w1558
<g/>
,
so	w1560
befindet	w1561
sich	w1562
dennoch	w1563
der	w1564
Kern	w1565
von	w1566
ihrer	w1567
Armee	w1568
in	w1569
der	w1570
vorigen	w1571
Stel=lung	w1572
<g/>
=
<g/>
.
Wir	w1575
bedauren	w1576
durchgehends	w1577
den	w1578
töd=lichen	w1579
<g/>
=
Hintritt	w1581
des	w1582
würdigen	w1583
Königl	w1584
<g/>
.
Fran=zösischen	w1586
<g/>
=
Brigadiers	w1588
der	w1589
Kriegs	w1590
<g/>
=
heere	w1592
<g/>
,
des	w1594
Herrn	w1595
Fischers	w1596
<g/>
,
welcher	w1598
uns	w1599
nach	w1600
einer	w1601
kurzen	w1602
Krankheit	w1603
entrissen	w1604
wurde	w1605
<g/>
.
Der	w1607
Herr	w1608
von	w1609
Grandmaison	w1610
<g/>
,
welcher	w1612
nach	w1613
Mühlhausen	w1614
eilte	w1615
<g/>
,
um	w1617
in	w1618
dem	w1619
Halberstäd=tischen	w1620
<g/>
=
Kriegs	w1622
<g/>
=
steuern	w1624
einzutreiben	w1625
<g/>
,
langte	w1627
bey	w1628
uns	w1629
wieder	w1630
mit	w1631
vielem	w1632
Gelde	w1633
<g/>
,
Gei=seln	w1635
<g/>
=
und	w1637
verschiedenen	w1638
Rahts	w1639
<g/>
=
personen	w1641
von	w1642
Halberstadt	w1643
an	w1644
<g/>
.
</p>
<p id="p17">
Ein	w1646
Officier	w1647
von	w1648
unserer	w1649
Armee	w1650
<g/>
,
wel=cher	w1652
<g/>
=
Treu	w1654
<g/>
=
und	w1656
Pflichtswidrig	w1657
von	w1658
unseren	w1659
Fahnen	w1660
zu	w1661
denen	w1662
Alliirten	w1663
übergetreten	w1664
<g/>
,
brachte	w1666
zu	w1667
unsern	w1668
Vorwachen	w1669
eine	w1670
feindli=che	w1671
<g/>
=
Schaar	w1673
<g/>
;
wir	w1675
hatten	w1676
zwar	w1677
daselbst	w1678
ei=nigen	w1679
<g/>
=
Verlust	w1681
<g/>
,
jedoch	w1683
erbeuteten	w1684
wir	w1685
13	w1686
<g/>
.
Pferde	w1688
und	w1689
machten	w1690
etliche	w1691
Kriegs	w1692
<g/>
=
gefan=gene	w1694
<g/>
=
<g/>
.
Der	w1697
Hauptmann	w1698
von	w1699
Monet	w1700
<g/>
,
wur=de	w1702
<g/>
=
von	w1704
den	w1705
Alliirten	w1706
aufgehoben	w1707
<g/>
.
</p>
<head id="hl7">
Göttingen	w1709
21	w1710
<g/>
.
Junii	w1712
<g/>
.
</head>
<p id="p18">
Weil	w1714
die	w1715
Armeen	w1716
noch	w1717
nicht	w1718
im	w1719
Stande	w1720
sind	w1721
<g/>
,
das	w1723
Feld	w1724
zu	w1725
halten	w1726
<g/>
,
da	w1728
es	w1729
ihnen	w1730
an	w1731
Fourage	w1732
mangelt	w1733
<g/>
;
so	w1735
haben	w1736
wir	w1737
seit	w1738
einiger	w1739
Zeit	w1740
wenig	w1741
oder	w1742
nichts	w1743
von	w1744
Kriegs	w1745
<g/>
=
bewe=gungen	w1747
<g/>
=
erfahren	w1749
<g/>
;
selbst	w1751
von	w1752
Patouillen	w1753
und	w1754
Partheyen	w1755
ist	w1756
nichts	w1757
geschehen	w1758
<g/>
,
weil	w1760
der	w1761
General	w1762
Luckner	w1763
überaus	w1764
vorsichtig	w1765
zu	w1766
Wer=ke	w1767
<g/>
=
gehet	w1769
<g/>
,
daß	w1771
ihm	w1772
so	w1773
leichte	w1774
nichts	w1775
anzu=haben	w1776
<g/>
=
ist	w1778
<g/>
.
Man	w1780
spricht	w1781
von	w1782
einem	w1783
Fran=zösischen	w1784
<g/>
=
Lager	w1786
<g/>
,
welches	w1788
in	w1789
hiesiger	w1790
Nach=barschaft	w1791
<g/>
=
<g/>
,
entweder	w1794
bey	w1795
Esebeck	w1796
oder	w1797
bey	w1798
Deyerode	w1799
zu	w1800
stehen	w1801
kommen	w1802
soll	w1803
<g/>
.
Der	w1805
General	w1806
de	w1807
Vaux	w1808
hat	w1809
auch	w1810
würklich	w1811
allen	w1812
Bauren	w1813
scharf	w1814
gebieten	w1815
lassen	w1816
<g/>
,
der	w1818
Wiesen	w1819
zu	w1820
schonen	w1821
<g/>
,
und	w1823
er	w1824
hat	w1825
hiesiger	w1826
Landschaft	w1827
aufgelegt	w1828
<g/>
,
1600000	w1830
<g/>
.
Rationen	w1832
Heu	w1833
zu	w1834
liefern	w1835
<g/>
.
Sollte	w1837
das	w1838
Lager	w1839
zu	w1840
Stande	w1841
komkommen	w1842
<g/>
=
</p>
<p id="p19">
men	w1844
<g/>
,
so	w1846
wird	w1847
die	w1848
Theurung	w1849
in	w1850
diesen	w1851
Ge=genden	w1852
<g/>
=
unausbleiblich	w1854
werden	w1855
<g/>
.
Der	w1857
Hr	w1858
<g/>
.
Ge=neral	w1860
<g/>
=
Luckner	w1862
hat	w1863
bis	w1864
gestern	w1865
noch	w1866
ein	w1867
La=ger	w1868
<g/>
=
zu	w1870
Sülbeck	w1871
zwischen	w1872
Eimbeck	w1873
und	w1874
Nord=heim	w1875
<g/>
=
commandiret	w1877
<g/>
,
aber	w1879
die	w1880
Feld	w1881
<g/>
=
früchte	w1883
mit	w1884
der	w1885
größten	w1886
