<doc id="wr_1762-03-24" attrs="word" year="1762" month="03" day="24" corpus="2">
<head id="h2_d641e3335">
Cadir	w1_d641e3339
15000.	w3_d641e4097
Mann	w5_d641e4100
regulirtes	w7_d641e4103
Volk	w9_d641e4106
in	w11_d641e4109
Jrr	w13_d641e4113
land,	w1_d641e4118
ohne	w3_d641e4121
die	w5_d641e4124
nächstens	w7_d641e4127
auch	w9_d641e4130
in	w11_d641e4133
diesem	w13_d641e4137
Land	w15_d641e4140
zu	w1_d641e4145
errichten	w3_d641e4148
de	w5_d641e4151
Land=militz.	w7_d641e4154
Der	w9_d641e4157
Chef	w11_d641e4160
d'E	w13_d641e4164
scadre	w1_d641e4169
Young	w3_d641e4172
ist	w5_d641e4175
mit	w7_d641e4178
einigen	w9_d641e4181
Kriegsschif	w11_d641e4184
</p>
<p id="p12_d641e4198">
fen	w1_d641e4202
auf	w3_d641e4205
die	w5_d641e4208
Höhe	w7_d641e4211
von	w9_d641e4214
Havre	w11_d641e4217
de	w13_d641e4221
Grace	w15_d641e4224
ab	w17_d641e4227
gangen,	w1_d641e4232
um	w3_d641e4235
daselbst	w5_d641e4238
die	w7_d641e4241
Bewegungen	w9_d641e4244
der	w11_d641e4247
Franzosen	w1_d641e4252
abzulauern.	w3_d641e4255
Der	w5_d641e4258
Lord	w7_d641e4261
Howe	w9_d641e4264
ist	w1_d641e4270
auf	w3_d641e4273
dem	w5_d641e4276
Großmütigen	w7_d641e4279
von	w9_d641e4282
74	w11_d641e4285
Cano	w13_d641e4289
nen	w1_d641e4294
abgereiset,	w3_d641e4297
den	w5_d641e4300
Ritter	w7_d641e4303
Staphspe	w9_d641e4306
im	w11_d641e4309
Commando	w1_d641e4314
über	w3_d641e4317
die	w5_d641e4320
um	w7_d641e4323
Rochefort	w9_d641e4326
creutzende	w11_d641e4329
Flotte	w1_d641e4334
abzulösen.	w3_d641e4337
Die	w5_d641e4340
Schiffe,	w7_d641e4343
so	w9_d641e4346
würk	w11_d641e4349
lich	w1_d641e4355
noch	w3_d641e4358
in	w5_d641e4361
Ostindien	w7_d641e4364
sind,	w9_d641e4367
sollen	w11_d641e4370
bestim	w13_d641e4374
met	w1_d641e4379
seyn,	w3_d641e4382
gegen	w5_d641e4385
die	w7_d641e4388
in	w9_d641e4391
dortigem	w11_d641e4394
Welt=theil	w13_d641e4398
befindliche	w1_d641e4403
Spanische	w3_d641e4406
Etablissements	w5_d641e4409
zu	w7_d641e4412
agi	w9_d641e4415
ren	w1_d641e4420
Der	w3_d641e4423
Obriste	w5_d641e4426
Drapper,	w7_d641e4429
der	w9_d641e4432
schon	w11_d641e4435
ehedessen	w1_d641e4441
in	w3_d641e4444
Asien	w5_d641e4447
gedient,	w7_d641e4450
ist	w9_d641e4453
dahin	w11_d641e4456
abge	w13_d641e4460
gangen,	w1_d641e4465
um	w3_d641e4468
die	w5_d641e4471
dorten	w7_d641e4474
befindliche	w9_d641e4477
Trupen	w11_d641e4480
zu	w1_d641e4485
commandiren.	w3_d641e4488
Der	w5_d641e4491
Tripolitanische	w7_d641e4494
Ge	w9_d641e4497
sandte	w1_d641e4502
Hussein	w3_d641e4505
Bey	w5_d641e4508
hat	w7_d641e4511
bey	w9_d641e4514
dem	w11_d641e4517
König	w13_d641e4521
seine	w15_d641e4524
Abschieds=audienz	w1_d641e4530
gehabt,	w3_d641e4533
und	w5_d641e4536
wird,	w7_d641e4539
so	w9_d641e4542
bald	w1_d641e4547
er	w3_d641e4550
sich	w5_d641e4553
auch	w7_d641e4556
bey	w9_d641e4559
der	w11_d641e4562
Königin	w13_d641e4566
und	w15_d641e4569
übri	w17_d641e4572
gen	w1_d641e4577
Königl	w3_d641e4580
Famille	w5_d641e4583
beurlaubet,	w7_d641e4586
nach	w9_d641e4589
der	w11_d641e4592
Barbarey	w1_d641e4597
zurück	w3_d641e4600
kehren.	w5_d641e4603
Jn	w7_d641e4606
Jrrland	w9_d641e4609
hat	w11_d641e4612
man	w1_d641e4618
den	w3_d641e4621
Schluß	w5_d641e4624
gefast,	w7_d641e4627
das	w9_d641e4630
Parlament,	w11_d641e4633
wie	w1_d641e4638
das	w3_d641e4641
Groß=britannische	w5_d641e4644
ebenfalls	w7_d641e4647
nur	w9_d641e4650
sieben=jährig	w1_d641e4655
zu	w3_d641e4658
machen,	w5_d641e4661
wozu	w7_d641e4664
man	w9_d641e4667
die	w11_d641e4670
Königl.	w1_d641e4675
Einwilligung	w3_d641e4678
sucht.	w5_d641e4681
Jn	w7_d641e4684
Schott	w9_d641e4687
land	w1_d641e4693
seynd	w3_d641e4696
die	w5_d641e4699
Meinungen	w7_d641e4702
über	w9_d641e4705
die	w11_d641e4708
Errich	w13_d641e4712
tung	w1_d641e4717
einer	w3_d641e4720
Land=militz	w5_d641e4723
noch	w7_d641e4726
getheilt.	w9_d641e4729
Die	w11_d641e4732
sen	w1_d641e4737
Morgen	w3_d641e4740
hat	w5_d641e4743
der	w7_d641e4746
Hof	w9_d641e4749
Depeschen	w11_d641e4752
aus	w13_d641e4756
Teutschland	w1_d641e4761
und	w3_d641e4764
Norden	w5_d641e4767
erhalten,	w7_d641e4770
worüber	w9_d641e4773
zu	w11_d641e4776
St.	w1_d641e4782
James	w3_d641e4785
Raht	w5_d641e4788
gehalten	w7_d641e4791
worden.	w9_d641e4794
Es	w11_d641e4797
heist,	w13_d641e4801
der	w1_d641e4806
Rußische	w3_d641e4809
Kaiser	w5_d641e4812
hätte	w7_d641e4815
denen	w9_d641e4818
Höfen	w11_d641e4821
von	w13_d641e4825
Wien,	w1_d641e4830
Versailles	w3_d641e4833
und	w5_d641e4836
Warschau	w7_d641e4839
sein	w9_d641e4842
Ver	w11_d641e4845
langen,	w1_d641e4850
zu	w3_d641e4853
Wiederherstellung	w5_d641e4856
des	w7_d641e4859
Friedens	w9_d641e4862
zu	w1_d641e4868
erkennen,	w3_d641e4871
und	w5_d641e4874
auch	w7_d641e4877
zugleich	w9_d641e4880
die	w11_d641e4883
Mittel	w13_d641e4887
zu	w1_d641e4892
Erlangung	w3_d641e4895
dieses	w5_d641e4898
heylsamen	w7_d641e4901
Endzwecks	w9_d641e4904
an	w1_d641e4909
die	w3_d641e4912
Hand	w5_d641e4915
gegeben.	w7_d641e4918
Se.	w9_d641e4921
Rußische	w11_d641e4924
Ma	w13_d641e4928
jestät	w1_d641e4933
haben	w3_d641e4936
dem	w5_d641e4939
Herrn	w7_d641e4942
Keith	w9_d641e4945
die	w11_d641e4948
Ehre	w13_d641e4952
an	w15_d641e4955
gethan,	w1_d641e4961
bey	w3_d641e4964
demselben	w5_d641e4967
zu	w7_d641e4970
Nacht	w9_d641e4973
zu	w11_d641e4976
speisen,	w13_d641e4980
wozu	w1_d641e4985
besagter	w3_d641e4988
Minister	w5_d641e4991
auf	w7_d641e4994
Befehl	w9_d641e4997
des	w11_d641e5000
Kai	w13_d641e5004
sers	w1_d641e5009
einige	w3_d641e5012
der	w5_d641e5015
fürnehmsten	w7_d641e5018
Englischen	w9_d641e5021
Han	w11_d641e5024
delsleute	w1_d641e5029
einladen	w3_d641e5032
müssen.	w5_d641e5035
</p>
<p id="p14_d641e5038">
Gestern	w1_d641e5042
und	w3_d641e5045
vorgestern	w5_d641e5048
sind	w7_d641e5051
verschiedene	w9_d641e5054
Rahtschlagungen	w1_d641e5059
zu	w3_d641e5062
St.	w5_d641e5065
James	w7_d641e5068
über	w9_d641e5071
die	w11_d641e5074
den	w13_d641e5078
2	w1_d641e5083
aus	w3_d641e5086
Teutschland	w5_d641e5089
und	w7_d641e5092
Norden	w9_d641e5095
eingelangte	w11_d641e5098
Rachrichten	w1_d641e5104
gehalten	w3_d641e5107
worden.	w5_d641e5110
Die	w7_d641e5113
Fried	w9_d641e5116
</p>
<p id="p16_d641e5119">
fertige	w1_d641e5123
Gefinnungen	w3_d641e5126
des	w5_d641e5129
neuen	w7_d641e5132
Czaars	w9_d641e5135
geben	w11_d641e5138
alle	w1_d641e5143
Hofnung	w3_d641e5146
daru,	w5_d641e5149
und	w7_d641e5152
es	w9_d641e5155
giebt	w11_d641e5158
Leute,	w13_d641e5162
wel	w15_d641e5165
che	w1_d641e5170
behaupten,	w3_d641e5173
die	w5_d641e5176
Sache	w7_d641e5179
seye	w9_d641e5182
bereits	w11_d641e5185
ziem	w13_d641e5189
lich	w1_d641e5195
weit	w3_d641e5198
gekommen.	w5_d641e5201
Unser	w7_d641e5204
Ministerium	w9_d641e5207
ist	w1_d641e5212
indessen	w3_d641e5215
beschäftiget,	w5_d641e5218
den	w7_d641e5221
Krieg	w9_d641e5224
gegen	w11_d641e5227
Spanien	w1_d641e5232
in	w3_d641e5235
allen	w5_d641e5238
4.	w7_d641e5241
Welt=theilen	w9_d641e5244
mit	w11_d641e5247
Nach	w13_d641e5251
druck	w1_d641e5256
auszuführen.	w3_d641e5259
Wann	w5_d641e5262
die	w7_d641e5265
vorhande	w9_d641e5268
ne	w1_d641e5274
Anschläge	w3_d641e5277
gelingen,	w5_d641e5280
dörfte	w7_d641e5283
es	w9_d641e5286
Spanien	w11_d641e5289
gereuen,	w1_d641e5294
so	w3_d641e5297
weit	w5_d641e5300
gegangen	w7_d641e5303
zu	w9_d641e5306
seyn.	w11_d641e5309
Jndes	w13_d641e5313
sen	w1_d641e5318
bedrohen	w3_d641e5321
sie	w5_d641e5324
Gibraltar	w7_d641e5327
mit	w9_d641e5330
einer	w11_d641e5333
Bela	w13_d641e5337
gerung;	w1_d641e5342
Jhr	w3_d641e5345
Geschwader	w5_d641e5348
wird	w7_d641e5351
mit	w9_d641e5354
einem	w11_d641e5357
anderen	w1_d641e5363
von	w3_d641e5366
Toulon	w5_d641e5369
verstärket	w7_d641e5372
werden,	w9_d641e5375
so	w11_d641e5378
aus	w1_d641e5383
10.	w3_d641e5386
Schiffen	w5_d641e5389
von	w7_d641e5392
der	w9_d641e5395
Linie,	w11_d641e5398
15.	w13_d641e5402
Fregat	w15_d641e5405
ten	w1_d641e5410
und	w3_d641e5413
3	w5_d641e5416
Bebequen	w7_d641e5419
bestehet,	w9_d641e5422
und	w11_d641e5425
diese	w13_d641e5429
ge	w15_d641e5432
meinschaftliche	w1_d641e5437
Flotte	w3_d641e5440
solle	w5_d641e5443
dem	w7_d641e5446
Vernehmen	w9_d641e5449
nach	w1_d641e5455
diese	w3_d641e5458
Festung	w5_d641e5461
zu	w7_d641e5464
Wasser	w9_d641e5467
angreiffen,	w11_d641e5470
inzwischen	w1_d641e5475
als	w3_d641e5478
ein	w5_d641e5481
Spanisches	w7_d641e5484
Kriegs	w9_d641e5487
heer	w11_d641e5490
dieselbe	w1_d641e5495
zu	w3_d641e5498
Land	w5_d641e5501
zu	w7_d641e5504
belageren	w9_d641e5507
sich	w11_d641e5510
bemühen	w13_d641e5514
wird.	w1_d641e5519
Der	w3_d641e5522
Französische	w5_d641e5525
Jngenieur,	w7_d641e5528
so	w9_d641e5531
den	w11_d641e5534
23.	w1_d641e5540
dies	w3_d641e5543
Monats	w5_d641e5546
von	w7_d641e5549
Paris	w9_d641e5552
abgegangen,	w11_d641e5555
um	w1_d641e5560
diese	w3_d641e5563
Unternehmung	w5_d641e5566
zu	w7_d641e5569
dirigiren,	w9_d641e5572
solle	w11_d641e5575
gesagt	w1_d641e5580
haben,	w3_d641e5583
daß	w5_d641e5586
er	w7_d641e5589
die	w9_d641e5592
dasige	w11_d641e5595
Festungs	w13_d641e5599
werker	w1_d641e5604
in	w3_d641e5607
die	w5_d641e5610
Luft	w7_d641e5613
sprengen	w9_d641e5616
werde,	w11_d641e5619
wann	w13_d641e5623
sie	w1_d641e5629
auch	w3_d641e5632
gleich	w5_d641e5635
von	w7_d641e5638
Erzt	w9_d641e5641
werden.	w11_d641e5644
Jn	w13_d641e5648
dem	w15_d641e5651
Towr	w1_d641e5656
werden	w3_d641e5659
100.	w5_d641e5662
Canonen	w7_d641e5665
v.	w9_d641e5668
verschiedenen	w11_d641e5671
Calibers,	w1_d641e5676
und	w3_d641e5679
für	w5_d641e5682
25000.	w7_d641e5685
Mann	w9_d641e5688
Gewehr	w11_d641e5691
eingeschift,	w1_d641e5696
nebst	w3_d641e5699
einer	w5_d641e5702
Menge	w7_d641e5705
anderer	w9_d641e5708
Rü	w11_d641e5711
stungen,	w1_d641e5717
Munition	w3_d641e5720
und	w5_d641e5723
Lebens=mitteln,	w7_d641e5726
so	w9_d641e5729
alles	w1_d641e5734
nach	w3_d641e5737
Portugall	w5_d641e5740
bestimmet	w7_d641e5743
seyn	w9_d641e5746
solle.	w11_d641e5749
Der	w1_d641e5754
Lord	w3_d641e5757
Tirawley,	w5_d641e5760
so	w7_d641e5763
nächster	w9_d641e5766
Tagen	w11_d641e5769
nach	w13_d641e5773
Lissabon	w1_d641e5778
gehen	w3_d641e5781
wird,	w5_d641e5784
paßiret	w7_d641e5787
für	w9_d641e5790
einen	w11_d641e5793
klu	w13_d641e5797
gen	w1_d641e5803
Staats=mann,	w3_d641e5806
einen	w5_d641e5809
geschickten	w7_d641e5812
General,	w9_d641e5815
und	w1_d641e5820
einen	w3_d641e5823
der	w5_d641e5826
besten	w7_d641e5829
Jngenieurs	w9_d641e5832
in	w11_d641e5835
Europa	w13_d641e5839
Unterm	w1_d641e5844
3ten	w3_d641e5847
wird	w5_d641e5850
von	w7_d641e5853
Portsmout	w9_d641e5856
gemeldet,	w11_d641e5859
daß	w1_d641e5864
die	w3_d641e5867
grosse	w5_d641e5870
Flotte	w7_d641e5873
selbigen	w9_d641e5876
Morgen	w11_d641e5879
die	w13_d641e5883
Anker	w1_d641e5889
gehoben,	w3_d641e5892
und	w5_d641e5895
sich	w7_d641e5898
auf	w9_d641e5901
die	w11_d641e5904
Rhede	w13_d641e5908
von	w15_d641e5911
St.	w1_d641e5916
Helena	w3_d641e5919
gelegt.	w5_d641e5922
Wann	w7_d641e5925
der	w9_d641e5928
Wind	w11_d641e5931
gün	w13_d641e5935
stig	w1_d641e5940
ist,	w3_d641e5943
hat	w5_d641e5946
solche	w7_d641e5949
diesen	w9_d641e5952
Morgen	w11_d641e5955
auslauffen	w13_d641e5959
sollen.	w1_d641e5964
Ein	w3_d641e5967
Spanisches	w5_d641e5970
Fahrzeug	w7_d641e5973
so	w9_d641e5976
aus	w11_d641e5979
denen	w1_d641e5985
Carraquen	w3_d641e5988
gesollt,	w5_d641e5991
ist	w7_d641e5994
mit	w9_d641e5997
einer	w11_d641e6000
star	w13_d641e6004
ken	w1_d641e6009
Summe	w3_d641e6012
darauf	w5_d641e6015
befindlichen	w7_d641e6018
baaren	w9_d641e6021
Gel	w11_d641e6024
des	w1_d641e6029
weggenommen,	w3_d641e6032
und	w5_d641e6035
nach	w7_d641e6038
Gibraltar	w9_d641e6041
ge	w11_d641e6044
bracht	w1_d641e6049
</p>
<p id="p20_d641e6059">
bracht	w1_d641e6063
worden.	w3_d641e6066
Wann	w5_d641e6069
es	w7_d641e6072
denen	w9_d641e6075
Spaniern	w11_d641e6078
Ernst	w1_d641e6083
ist,	w3_d641e6086
etwas	w5_d641e6089
auf	w7_d641e6092
Jrrland	w9_d641e6095
zu	w11_d641e6098
unterneh	w13_d641e6102
men,	w1_d641e6107
werden	w3_d641e6110
sie,	w5_d641e6113
ehe	w7_d641e6116
zwey	w9_d641e6119
Monate	w11_d641e6122
verge	w13_d641e6126
hen,	w1_d641e6132
25000.	w3_d641e6135
Mann	w5_d641e6138
regulirte	w7_d641e6141
Trupen	w9_d641e6144
und	w11_d641e6147
Land=militz	w1_d641e6152
daselbst	w3_d641e6155
zu	w5_d641e6158
ihrem	w7_d641e6161
Empfang	w9_d641e6164
in	w11_d641e6167
Bereitschaft	w1_d641e6172
finden.	w3_d641e6175
Der	w5_d641e6178
Hof	w7_d641e6181
hat	w9_d641e6184
heute	w11_d641e6187
abermalen	w1_d641e6192
Briefe	w3_d641e6195
aus	w5_d641e6198
Teutschland,	w7_d641e6201
und	w9_d641e6204
son	w11_d641e6207
sten	w1_d641e6213
erhalten,	w3_d641e6216
die	w5_d641e6219
in	w7_d641e6222
dem	w9_d641e6225
Staats=rah	w11_d641e6228
unter	w13_d641e6232
suchet	w1_d641e6237
werden.	w3_d641e6240
Der	w5_d641e6243
ausserordentliche	w7_d641e6246
Ge	w9_d641e6249
sandte,	w1_d641e6254
Fürst	w3_d641e6257
von	w5_d641e6260
Gallizin,	w7_d641e6263
wird	w9_d641e6266
in	w11_d641e6269
wenig	w13_d641e6273
Tagen	w1_d641e6278
nach	w3_d641e6281
Petersburg	w5_d641e6284
zurück	w7_d641e6287
gehen.	w9_d641e6290
Der	w11_d641e6293
Rußische	w1_d641e6299
Legations=secretarius	w3_d641e6302
wird	w5_d641e6305
inzwi	w7_d641e6308
schen	w1_d641e6313
bis	w3_d641e6316
zur	w5_d641e6319
Ankunft	w7_d641e6322
eines	w9_d641e6325
neuen	w11_d641e6328
Ministers	w13_d641e6332
die	w1_d641e6337
Angelegenheiten	w3_d641e6340
seines	w5_d641e6343
Hofes	w7_d641e6346
besorgen.	w9_d641e6349
</p>
<head id="h2_d641e6355">
Versailles	w1_d641e6359
5.	w3_d641e6362
Martii.	w5_d641e6365
</head>
<p id="p4_d641e6368">
Hier	w1_d641e6372
befindet	w3_d641e6375
sich	w5_d641e6378
das	w7_d641e6381
ganze	w9_d641e6384
Königliche	w11_d641e6387
Haus	w1_d641e6392
in	w3_d641e6395
hohem	w5_d641e6398
Wolfeyn.	w7_d641e6401
Täglich	w9_d641e6404
wohnen	w11_d641e6407
Se.	w1_d641e6412
allercheistlichste	w3_d641e6415
Majestät	w5_d641e6418
den	w7_d641e6421
Staats	w9_d641e6424
berahtschlagungen,	w1_d641e6430
sowol	w3_d641e6433
über	w5_d641e6436
die	w7_d641e6439
inn	w9_d641e6442
als	w11_d641e6445
ausländische	w1_d641e6450
Sachen	w3_d641e6453
bey.	w5_d641e6456
Der	w7_d641e6459
Herr	w9_d641e6462
Mar	w11_d641e6465
schail	w1_d641e6470
von	w3_d641e6473
Etrees	w5_d641e6476
wurde	w7_d641e6479
von	w9_d641e6482
Seiner	w11_d641e6485
Maje	w13_d641e6489
stät	w1_d641e6494
zum	w3_d641e6497
Herzoge	w5_d641e6500
und	w7_d641e6503
Pair	w9_d641e6506
von	w11_d641e6509
Frakreich	w13_d641e6513
ernannt.	w1_d641e6519
Auch	w3_d641e6522
die	w5_d641e6525
Herren	w7_d641e6528
Söhne	w9_d641e6531
des	w11_d641e6534
Mar	w13_d641e6538
quis	w1_d641e6543
von	w3_d641e6546
Montmirel	w5_d641e6549
von	w7_d641e6552
Courtenvaux	w9_d641e6555
ha	w11_d641e6558
ben	w1_d641e6563
als	w3_d641e6566
seine	w5_d641e6569
nächste	w7_d641e6572
Verwandte	w9_d641e6575
an	w11_d641e6578
dieser	w13_d641e6582
Ehre	w1_d641e6587
Theil.	w3_d641e6590
Der	w5_d641e6593
Herr	w7_d641e6596
von	w9_d641e6599
Montazet	w11_d641e6602
ver	w13_d641e6606
bate	w1_d641e6612
das	w3_d641e6615
Amt	w5_d641e6618
eines	w7_d641e6621
Marechal	w9_d641e6624
General	w11_d641e6627
de	w13_d641e6631
Logis	w1_d641e6636
bey	w3_d641e6639
dem	w5_d641e6642
Kriegs=heere.	w7_d641e6645
Die	w9_d641e6648
Grena	w11_d641e6651
diers	w1_d641e6656
von	w3_d641e6659
Frankreich,	w5_d641e6662
werden	w7_d641e6665
künftig	w9_d641e6668
mit	w11_d641e6671
de	w13_d641e6675
nen	w1_d641e6680
Carabiniers	w3_d641e6683
eine	w5_d641e6686
Legiou	w7_d641e6689
ausmachen.	w9_d641e6692
</p>
<head id="h2_d641e6698">
Paris	w1_d641e6702
8.	w3_d641e6705
Februarii.	w5_d641e6708
</head>
<p id="p4_d641e6711">
Am	w1_d641e6715
4.	w3_d641e6718
dieses	w5_d641e6721
legzte	w7_d641e6724
der	w9_d641e6727
Herzog	w11_d641e6730
von	w13_d641e6734
Choi	w15_d641e6737
senl	w1_d641e6742
in	w3_d641e6745
die	w5_d641e6748
Hände	w7_d641e6751
Seiner	w9_d641e6754
Christlichsten	w11_d641e6757
Ma	w13_d641e6761
jestät	w1_d641e6766
den	w3_d641e6769
gewöhnlichen	w5_d641e6772
Eid	w7_d641e6775
der	w9_d641e6778
Treue	w11_d641e6781
als	w13_d641e6785
General=oberster	w1_d641e6791
der	w3_d641e6794
Schweitzer	w5_d641e6797
und	w7_d641e6800
Grau	w9_d641e6803
bünder	w1_d641e6808
ab.	w3_d641e6811
Das	w5_d641e6814
Regiment	w7_d641e6817
von	w9_d641e6820
der	w11_d641e6823
Schwei	w13_d641e6827
tzer=garde	w1_d641e6832
versammlete	w3_d641e6835
sich	w5_d641e6838
auf	w7_d641e6841
dem	w9_d641e6844
gewöhn	w11_d641e6847
lichen	w1_d641e6852
Muster=platz	w3_d641e6855
gegenüber	w5_d641e6858
dem	w7_d641e6861
Gegitter	w9_d641e6864
des	w1_d641e6870
Schlosses,	w3_d641e6873
und	w5_d641e6876
formirte	w7_d641e6879
ein	w9_d641e6882
Bataillon	w11_d641e6885
Quarree:	w1_d641e6890
nachdem	w3_d641e6893
dieses	w5_d641e6896
geschehen,	w7_d641e6899
aver	w9_d641e6902
tirte	w1_d641e6907
der	w3_d641e6910
Herzog	w5_d641e6913
von	w7_d641e6916
Choiseul	w9_d641e6919
den	w11_d641e6922
König,	w13_d641e6926
daß	w15_d641e6929
gedachtes	w1_d641e6934
Regiment	w3_d641e6937
unterm	w5_d641e6940
Gewehr	w7_d641e6943
stün	w9_d641e6946
de,	w1_d641e6952
worauf	w3_d641e6955
Seine	w5_d641e6958
Majestät	w7_d641e6961
sogleich	w9_d641e6964
zu	w11_d641e6967
Pferd	w13_d641e6971
</p>
<p id="p6_d641e6974">
stiegen,	w1_d641e6978
und	w3_d641e6981
mit	w5_d641e6984
Dero	w7_d641e6987
Gefolg	w9_d641e6990
samt	w11_d641e6993
denen	w13_d641e6997
Officiers	w1_d641e7002
