<doc id="wr_1761-12-16" attrs="word" year="1761" month="12" day="16" corpus="2">
<head id="h2_d613e3063">
Barcelona	w1_d613e3067
die	w11_d613e4460
Netz	w13_d613e4464
rc.	w15_d613e4467
Zölle	w1_d613e4472
mögen	w3_d613e4475
bey	w5_d613e4478
750000.	w7_d613e4481
Pfund	w9_d613e4484
Serlings	w11_d613e4487
eintragen.	w1_d613e4492
</p>
<p id="p16_d613e4495">
Den	w1_d613e4499
24.	w3_d613e4502
wurden	w5_d613e4505
diese	w7_d613e4508
Entwürfe	w9_d613e4511
sowol,	w11_d613e4514
als	w1_d613e4519
die	w3_d613e4522
Bil,	w5_d613e4525
der	w7_d613e4528
Königin	w9_d613e4531
einen	w11_d613e4534
wittiblichen	w13_d613e4538
Unterhalt	w1_d613e4543
zu	w3_d613e4546
verschaffen,	w5_d613e4549
von	w7_d613e4552
der	w9_d613e4555
ganz	w11_d613e4558
ver	w13_d613e4562
sammleten	w1_d613e4568
Kammer	w3_d613e4571
genehmiget.	w5_d613e4574
</p>
<p id="p18_d613e4577">
Die	w1_d613e4581
Admirale	w3_d613e4584
Stevens	w5_d613e4587
und	w7_d613e4590
Cornish,	w9_d613e4593
so	w1_d613e4598
die	w3_d613e4601
Königl.	w5_d613e4604
Escadre	w7_d613e4607
in	w9_d613e4610
dem	w11_d613e4613
Orientali	w13_d613e4617
schen	w1_d613e4622
Jndien	w3_d613e4625
commandiren,	w5_d613e4628
haben	w7_d613e4631
Befehl,	w9_d613e4634
gleich	w1_d613e4640
nach	w3_d613e4643
der	w5_d613e4646
alldaselbst	w7_d613e4649
beschehenen	w9_d613e4652
An	w11_d613e4655
kunft	w1_d613e4660
des	w3_d613e4663
Generals	w5_d613e4666
Lawrence,	w7_d613e4669
welcher	w9_d613e4672
die	w11_d613e4675
alldahin	w1_d613e4680
bestimmte	w3_d613e4683
Trupen	w5_d613e4686
anzufüren	w7_d613e4689
hat	w9_d613e4692
die	w1_d613e4697
Jnsuln	w3_d613e4700
Bourbon,	w5_d613e4703
und	w7_d613e4706
Maurice	w9_d613e4709
anzu	w11_d613e4712
greiffen.	w1_d613e4718
</p>
<p id="p20_d613e4721">
Den	w1_d613e4725
25ten	w3_d613e4728
entschlosse	w5_d613e4731
die	w7_d613e4734
wegen	w9_d613e4737
Auftrei	w11_d613e4740
bung	w1_d613e4745
der	w3_d613e4748
Subsidien	w5_d613e4751
versammlete	w7_d613e4754
Kammer	w9_d613e4757
der	w1_d613e4762
Gemeinen	w3_d613e4765
zu	w5_d613e4768
accordiren,	w7_d613e4771
daß	w9_d613e4774
in	w11_d613e4777
dem	w13_d613e4781
</p>
<p id="p22_d613e4784">
zukünftigen	w1_d613e4788
1762.	w3_d613e4791
Jahr	w5_d613e4794
67676.	w7_d613e4797
Legulirte	w9_d613e4800
Trupen	w1_d613e4805
mit	w3_d613e4808
noch	w5_d613e4811
4008.	w7_d613e4814
Jnvaliden	w9_d613e4817
an	w11_d613e4820
statt	w13_d613e4824
denen	w1_d613e4829
auf	w3_d613e4832
Expeditionen	w5_d613e4835
ausgeschickten	w7_d613e4838
Tru	w9_d613e4841
pen	w1_d613e4847
in	w3_d613e4850
England,	w5_d613e4853
Teutschland,	w7_d613e4856
und	w9_d613e4859
zu	w11_d613e4862
Jern	w13_d613e4866
sey	w1_d613e4871
und	w3_d613e4874
Guernsey	w5_d613e4877
die	w7_d613e4880
Besatzungs	w9_d613e4883
und	w11_d613e4886
Wacht	w13_d613e4890
dienste	w1_d613e4895
verrichten,	w3_d613e4898
und	w5_d613e4901
zu	w7_d613e4904
ihren	w9_d613e4907
Unterhalt	w11_d613e4910
für	w1_d613e4915
das	w3_d613e4918
ganze	w5_d613e4921
obgedachte	w7_d613e4924
1762ste.	w9_d613e4927
Jahr	w11_d613e4930
16293|	w1_d613e4936
20.	w3_d613e4939
Pfund	w5_d613e4942
Sterlings,	w7_d613e4945
18.	w9_d613e4948
Chelins,	w11_d613e4951
und	w1_d613e4956
7.	w3_d613e4959
Sold	w5_d613e4962
haben	w7_d613e4965
sollen.	w9_d613e4968
Ferners	w11_d613e4971
wur	w13_d613e4975
den	w1_d613e4980
accordiret	w3_d613e4983
873780.	w5_d613e4986
Pfund	w7_d613e4989
Sterlings,	w9_d613e4992
18.	w1_d613e4997
Chelins,	w3_d613e5000
und	w5_d613e5003
,.	w7_d613e5006
Sold	w9_d613e5009
für	w11_d613e5012
die	w13_d613e5016
Tru	w15_d613e5019
pen	w1_d613e5025
und	w3_d613e5028
Garnisonen	w5_d613e5031
des	w7_d613e5034
Könegs	w9_d613e5037
in	w11_d613e5040
denen	w13_d613e5044
Pflanz=städten	w1_d613e5049
von	w3_d613e5052
Gibraltar,	w5_d613e5055
Guadalou	w7_d613e5058
pe,	w1_d613e5063
Africa,	w3_d613e5066
und	w5_d613e5069
Orientalischen	w7_d613e5072
Jndien,	w9_d613e5075
und	w1_d613e5080
zur	w3_d613e5083
Bestreitung	w5_d613e5086
der	w7_d613e5089
Provision	w9_d613e5092
für	w11_d613e5095
die	w13_d613e5099
Garnisonen	w1_d613e5105
von	w3_d613e5108
Neu=schottland,	w5_d613e5111
Terre	w7_d613e5114
neuve,	w1_d613e5119
Gibraltar,	w3_d613e5122
Quebec,	w5_d613e5125
Guadaloupe,	w7_d613e5128
Senegal,	w1_d613e5133
und	w3_d613e5136
Gorea.	w5_d613e5139
23284.	w7_d613e5142
Pfund	w9_d613e5145
Sterlings,	w1_d613e5150
6.	w3_d613e5153
Sold,	w5_d613e5156
zum	w7_d613e5159
Unterhalt	w9_d613e5162
der	w11_d613e5165
4.	w1_d613e5171
Jrrländischen	w3_d613e5174
Etablissementsinfanterie	w5_d613e5177
regimenter,	w1_d613e5182
so	w3_d613e5185
sich	w5_d613e5188
dermalen	w7_d613e5191
in	w9_d613e5194
dem	w11_d613e5197
mit	w13_d613e5201
ternächtigen	w1_d613e5206
America	w3_d613e5209
befinden.	w5_d613e5212
343754.	w7_d613e5215
Pfund	w1_d613e5220
Sterlings,	w3_d613e5223
17.	w5_d613e5226
Chelins,	w7_d613e5229
und	w9_d613e5232
11.	w11_d613e5235
Sold	w1_d613e5241
zur	w3_d613e5244
Bestreitung	w5_d613e5247
des	w7_d613e5250
Landartillerie	w9_d613e5253
weesens,	w1_d613e5258
163711.	w3_d613e5261
Pfund	w5_d613e5264
Sterlings,	w7_d613e5267
12.	w9_d613e5270
Chelins,	w1_d613e5275
und	w3_d613e5278
6.	w5_d613e5281
Sold,	w7_d613e5284
zur	w9_d613e5287
Nationaltru	w11_d613e5290
pen=vermehrung,	w1_d613e5295
welche	w3_d613e5298
diesesmal	w5_d613e5301
mit	w7_d613e5304
9370.	w1_d613e5310
Köpfen	w3_d613e5313
verstärket	w5_d613e5316
werden	w7_d613e5319
sollen.	w9_d613e5322
72896.	w1_d613e5327
Pfund	w3_d613e5330
Sterlings,	w5_d613e5333
14.	w7_d613e5336
Chelins,	w9_d613e5339
und	w1_d613e5344
2.	w3_d613e5347
Sold,	w5_d613e5350
zum	w7_d613e5353
Gehalt	w9_d613e5356
der	w11_d613e5359
General	w13_d613e5363
und	w1_d613e5368
grösseren	w3_d613e5371
Stabs=officiere.	w5_d613e5374
und	w7_d613e5377
299161.	w9_d613e5380
Pfund	w1_d613e5386
Sterlings,	w3_d613e5389
4.	w5_d613e5392
Chelins,	w7_d613e5395
und	w9_d613e5398
4.	w11_d613e5401
Sold	w1_d613e5406
zur	w3_d613e5409
Ersetzung	w5_d613e5412
der	w7_d613e5415
das	w9_d613e5418
verflossene	w11_d613e5421
Jahr	w13_d613e5425
hindurch	w1_d613e5430
gemachten	w3_d613e5433
ausserordentlichen	w5_d613e5436
Aus	w7_d613e5439
gaben	w1_d613e5444
des	w3_d613e5447
Artillerie=dicasterii.	w5_d613e5450
Es	w1_d613e5456
wurden	w3_d613e5459
eröfterte	w5_d613e5462
Rahtsversamm	w7_d613e5465
</p>
<p id="p24_d613e5469">
lungen	w1_d613e5473
in	w3_d613e5476
Gegenwart	w5_d613e5479
des	w7_d613e5482
Königs	w9_d613e5485
zu	w11_d613e5488
St.	w13_d613e5492
James	w1_d613e5497
gehalten,	w3_d613e5500
und	w5_d613e5503
die	w7_d613e5506
Ministere	w9_d613e5509
unter	w11_d613e5512
redeten	w1_d613e5517
sich	w3_d613e5520
öfters	w5_d613e5523
als	w7_d613e5526
gewöhnlich	w9_d613e5529
ist.	w11_d613e5532
Man	w13_d613e5536
will	w1_d613e5542
behaupten,	w3_d613e5545
daß	w5_d613e5548
die	w7_d613e5551
schleunige	w9_d613e5554
Voll	w11_d613e5557
ziehung	w1_d613e5562
des	w3_d613e5565
für	w5_d613e5568
das	w7_d613e5571
künftige	w9_d613e5574
Jahr	w11_d613e5577
entwor	w13_d613e5581
fenen	w1_d613e5586
Operations=plans	w3_d613e5589
der	w5_d613e5592
einzige	w7_d613e5595
Stoff	w9_d613e5598
</p>
<p id="p30_d613e5613">
der	w1_d613e5617
jetzigen	w3_d613e5620
Uberlegungen	w5_d613e5623
seye;	w7_d613e5626
gleichwie	w9_d613e5629
dann	w1_d613e5634
in	w3_d613e5637
der	w5_d613e5640
That	w7_d613e5643
alle	w9_d613e5646
Vorbereitungen	w11_d613e5649
ganz	w13_d613e5653
klar	w1_d613e5658
zu	w3_d613e5661
erkennen	w5_d613e5664
geben,	w7_d613e5667
daß	w9_d613e5670
der	w11_d613e5673
Hof	w13_d613e5677
ent	w15_d613e5680
schlossen	w1_d613e5686
seye,	w3_d613e5689
die	w5_d613e5692
im	w7_d613e5695
Schilde	w9_d613e5698
führende	w11_d613e5701
Un	w13_d613e5705
ternehmungen	w1_d613e5710
auf	w3_d613e5713
das	w5_d613e5716
bäldeste	w7_d613e5719
auszufüh	w9_d613e5722
ren.	w1_d613e5727
Das	w3_d613e5730
Matrosen=pressen	w5_d613e5733
und	w7_d613e5736
Solda	w9_d613e5739
ten=werben	w1_d613e5744
wird	w3_d613e5747
mit	w5_d613e5750
allem	w7_d613e5753
Eifer	w9_d613e5756
fortgese	w11_d613e5759
tzet,	w1_d613e5765
und	w3_d613e5768
man	w5_d613e5771
sagt,	w7_d613e5774
daß	w9_d613e5777
die	w11_d613e5780
Regierung	w13_d613e5784
eine	w1_d613e5789
grosse	w3_d613e5792
Menge	w5_d613e5795
der	w7_d613e5798
erst	w9_d613e5801
jüngsthin	w11_d613e5804
auf	w13_d613e5808
der	w15_d613e5811
Temse	w1_d613e5816
angelegten	w3_d613e5819
Kohlen=schiffe	w5_d613e5822
in	w7_d613e5825
Dienste	w9_d613e5828
nehmen	w1_d613e5833
werde.	w3_d613e5836
</p>
<p id="p32_d613e5839">
Der	w1_d613e5843
Admiral	w3_d613e5846
Rodney,	w5_d613e5849
so	w7_d613e5852
den	w9_d613e5855
18ten	w11_d613e5858
ver	w13_d613e5862
flossenen	w1_d613e5867
Monats	w3_d613e5870
zu	w5_d613e5873
St.	w7_d613e5876
Helena	w9_d613e5879
unter	w11_d613e5882
Se	w13_d613e5886
gel	w1_d613e5891
gegangen,	w3_d613e5894
um	w5_d613e5897
seine	w7_d613e5900
Unternehmungen	w9_d613e5903
ge	w11_d613e5906
gen	w1_d613e5912
Martinique	w3_d613e5915
zu	w5_d613e5918
machen,	w7_d613e5921
hat	w9_d613e5924
unter	w11_d613e5927
seinen	w13_d613e5931
Befehlen	w1_d613e5936
die	w3_d613e5939
Schiffe,	w5_d613e5942
der	w7_d613e5945
Donnerende	w9_d613e5948
von	w11_d613e5951
80.,	w1_d613e5956
der	w3_d613e5959
Marlborough	w5_d613e5962
und	w7_d613e5965
der	w9_d613e5968
Drache	w11_d613e5971
von	w1_d613e5976
74.,	w3_d613e5979
die	w5_d613e5982
Avant=garde	w7_d613e5985
von	w9_d613e5988
70,	w11_d613e5991
der	w13_d613e5995
Eingezogene	w1_d613e6001
von	w3_d613e6004
64.,	w5_d613e6007
und	w7_d613e6010
der	w9_d613e6013
Nottingham	w11_d613e6016
von	w1_d613e6021
60.	w3_d613e6024
Canonen;	w5_d613e6027
dann	w7_d613e6030
eine	w9_d613e6033
Fregatte,	w11_d613e6036
eine	w1_d613e6041
Corvette,	w3_d613e6044
und	w5_d613e6047
3.	w7_d613e6050
Bombardier=galioten.	w9_d613e6053
Das	w1_d613e6058
Kriegs=schif	w3_d613e6061
der	w5_d613e6064
Verwegene	w7_d613e6067
von	w9_d613e6070
74.	w11_d613e6073
Canonen	w1_d613e6079
lieffe	w3_d613e6082
den	w5_d613e6085
16ten	w7_d613e6088
vorigen	w9_d613e6091
Monats	w11_d613e6094
von	w1_d613e6099
Belle=isle	w3_d613e6102
aus,	w5_d613e6105
um	w7_d613e6108
bey	w9_d613e6111
der	w11_d613e6114
nämlichen	w13_d613e6118
Unternehmung	w1_d613e6123
Hand	w3_d613e6126
anzulegen,	w5_d613e6129
und	w7_d613e6132
führet	w9_d613e6135
eine	w1_d613e6140
Bastimenten=flotte	w3_d613e6143
mit	w5_d613e6146
sich,	w7_d613e6149
an	w9_d613e6152
dessen	w11_d613e6155
Bord	w1_d613e6161
die	w3_d613e6164
Regimenter	w5_d613e6167
Colville,	w7_d613e6170
Rufane,	w9_d613e6173
und	w11_d613e6176
Grey	w1_d613e6181
sich	w3_d613e6184
befinden.	w5_d613e6187
Die	w7_d613e6190
aus	w9_d613e6193
Neu=york	w11_d613e6196
abmarschirte	w1_d613e6201
Trupen	w3_d613e6204
sowol	w5_d613e6207
als	w7_d613e6210
die	w9_d613e6213
Esea	w11_d613e6216
dren	w1_d613e6221
des	w3_d613e6224
Admirals	w5_d613e6227
Holmes	w7_d613e6230
und	w9_d613e6233
Chevalier	w11_d613e6236
Douglas	w1_d613e6242
werden	w3_d613e6245
auch	w5_d613e6248
zu	w7_d613e6251
dieser	w9_d613e6254
Flotte	w11_d613e6257
stossen.	w13_d613e6261
</p>
<p id="p34_d613e6264">
Den	w1_d613e6268
21ten	w3_d613e6271
langte	w5_d613e6274
der	w7_d613e6277
Obriste	w9_d613e6280
Nugent	w11_d613e6283
zu	w1_d613e6288
St.	w3_d613e6291
James	w5_d613e6294
an,	w7_d613e6297
er	w9_d613e6300
wurde	w11_d613e6303
von	w13_d613e6307
der	w15_d613e6310
Armee	w17_d613e6313
des	w1_d613e6318
Prinzens	w3_d613e6321
Ferdinand	w5_d613e6324
von	w7_d613e6327
Braunschweig	w9_d613e6330
mit	w1_d613e6336
einem	w3_d613e6339
Journal	w5_d613e6342
vom	w7_d613e6345
3ten	w9_d613e6348
bis	w11_d613e6351
auf	w13_d613e6355
den	w15_d613e6358
10ten	w1_d613e6363
dieses	w3_d613e6366
abgeschicket;	w5_d613e6369
in	w7_d613e6372
diesem	w9_d613e6375
er	w11_d613e6378
stehet	w1_d613e6383
man,	w3_d613e6386
daß	w5_d613e6389
der	w7_d613e6392
aufgesetzte	w9_d613e6395
Plan,	w11_d613e6398
um	w13_d613e6402
die	w1_d613e6407
Französische	w3_d613e6410
Posten	w5_d613e6413
zu	w7_d613e6416
überrumpeln,	w9_d613e6419
we	w11_d613e6422
gen	w1_d613e6428
der	w3_d613e6431
üblen	w5_d613e6434
Witterung	w7_d613e6437
nicht	w9_d613e6440
allerdings	w11_d613e6443
gut	w13_d613e6447
ausgeführet	w1_d613e6452
worden,	w3_d613e6455
und	w5_d613e6458
hiebey	w7_d613e6461
auf	w9_d613e6464
beyden	w11_d613e6467
Seiten	w1_d613e6472
ziemlich	w3_d613e6475
viel	w5_d613e6478
Mannschaft	w7_d613e6481
zu	w9_d613e6484
Grund	w11_d613e6487
gerichtet	w1_d613e6492
worden.	w3_d613e6495
Es	w5_d613e6498
scheinet	w7_d613e6501
ausgemacht	w9_d613e6504
zu	w1_d613e6510
seyn,	w3_d613e6513
daß	w5_d613e6516
der	w7_d613e6519
Hof	w9_d613e6522
zu	w11_d613e6525
Anfang	w13_d613e6529
des	w15_d613e6532
künf	w17_d613e6535
</p>
<p id="p36_d613e6539">
wol	w1_d613e6543
an	w3_d613e6546
Fuß=volk	w5_d613e6549
als	w7_d613e6552
Reiterey	w9_d613e6555
nacher	w11_d613e6558
Teutch	w13_d613e6562
land	w1_d613e6567
zu	w3_d613e6570
überschicken	w5_d613e6573
entschlossen	w7_d613e6576
seye.	w9_d613e6579
</p>
<head id="h2_d613e6585">
er3	w1_d613e6589
Ju.	w3_d613e6592
rigen	w1_d613e6597
Feoruarii	w3_d613e6600
eine	w5_d613e6603
geosse	w7_d613e6606
Beestut	w9_d613e6609
</head>
<head id="h2_d613e6615">
Petersburg	w1_d613e6619
3.	w3_d613e6622
November.	w5_d613e6625
</head>
<p id="p4_d613e6628">
Man	w1_d613e6632
siehet	w3_d613e6635
hier	w5_d613e6638
von	w7_d613e6641
den	w9_d613e6644
bisherigen	w11_d613e6647
Ope	w13_d613e6651
rationen	w1_d613e6656
unserer	w3_d613e6659
Armee	w5_d613e6662
in	w7_d613e6665
Pommern,	w9_d613e6668
einen	w11_d613e6671
umständlichen	w1_d613e6676
Bericht	w3_d613e6679
im	w5_d613e6682
Druck,	w7_d613e6685
welchen	w9_d613e6688
der	w1_d613e6694
Hr.	w3_d613e6697
