<doc id="wr_1761-10-21" attrs="word" year="1761" month="10" day="21" corpus="2">
<head id="h2_d597e3304">
Brest	w1_d597e3308
1080.	w11_d597e4260
Englische	w1_d597e4266
Schiffe	w3_d597e4269
erobert	w5_d597e4272
haben,	w7_d597e4275
die	w9_d597e4278
mei	w11_d597e4281
sten	w1_d597e4286
wären	w3_d597e4289
reich	w5_d597e4292
befrachtet	w7_d597e4295
gewesen,	w9_d597e4298
wodurch	w11_d597e4301
die	w1_d597e4306
dasige	w3_d597e4309
Einwohner	w5_d597e4312
ihr	w7_d597e4315
Vermögen	w9_d597e4318
vergrös	w11_d597e4321
sert	w1_d597e4326
hätten.	w3_d597e4329
</p>
<head id="h2_d597e4335">
Madrit	w1_d597e4339
vom	w3_d597e4342
22.	w5_d597e4345
Sept.	w7_d597e4348
</head>
<p id="p4_d597e4351">
Weil	w1_d597e4355
alle	w3_d597e4358
Hofnung	w5_d597e4361
zwischen	w7_d597e4364
den	w9_d597e4367
gecrön	w11_d597e4370
ten	w1_d597e4375
Häuptern	w3_d597e4378
von	w5_d597e4381
Europa	w7_d597e4384
endlich	w9_d597e4387
einen	w11_d597e4390
er	w13_d597e4394
wünschten	w1_d597e4399
Frieden	w3_d597e4402
zu	w5_d597e4405
erlangen,	w7_d597e4408
verschwun	w9_d597e4411
den,	w1_d597e4417
so	w3_d597e4420
faste	w5_d597e4423
unser	w7_d597e4426
Monarch	w9_d597e4429
den	w11_d597e4432
Schluß	w13_d597e4436
seine	w1_d597e4441
Kriegs=macht	w3_d597e4444
zu	w5_d597e4447
Lande	w7_d597e4450
und	w9_d597e4453
zu	w11_d597e4456
Wasser	w13_d597e4460
in	w1_d597e4465
den	w3_d597e4468
vollkommenesten	w5_d597e4471
Stand	w7_d597e4474
zu	w9_d597e4477
setzen.	w11_d597e4480
</p>
<p id="p6_d597e4483">
Spanien	w1_d597e4487
wird	w3_d597e4490
sich	w5_d597e4493
zwar	w7_d597e4496
niemals	w9_d597e4499
von	w11_d597e4502
seinen	w1_d597e4507
bisher	w3_d597e4510
gehabten	w5_d597e4513
Friedens=gedanken	w7_d597e4516
entfernen.	w1_d597e4521
Da	w3_d597e4524
aber	w5_d597e4527
das	w7_d597e4530
Kriegs=feuer	w9_d597e4533
noch	w11_d597e4536
in	w1_d597e4542
allen	w3_d597e4545
Gegenden	w5_d597e4548
von	w7_d597e4551
Europa	w9_d597e4554
flammet:	w11_d597e4557
so	w1_d597e4562
ist	w3_d597e4565
der	w5_d597e4568
König	w7_d597e4571
auf	w9_d597e4574
ausserordentliche	w11_d597e4577
Kriegs	w13_d597e4581
rüstungen	w1_d597e4586
bedacht,	w3_d597e4589
um	w5_d597e4592
allenfalls	w7_d597e4595
dem	w9_d597e4598
schwä	w11_d597e4601
cheren	w1_d597e4606
Theile,	w3_d597e4609
ohne	w5_d597e4612
eine	w7_d597e4615
grössere	w9_d597e4618
Macht	w11_d597e4621
zu	w13_d597e4625
fürchten,	w1_d597e4631
beyzuspringen,	w3_d597e4634
folglich	w5_d597e4637
das	w7_d597e4640
Gleich	w9_d597e4643
gewichte	w1_d597e4648
der	w3_d597e4651
Staats=kunst,	w5_d597e4654
welches	w7_d597e4657
nun	w9_d597e4660
das	w11_d597e4663
Augenmerk	w1_d597e4668
der	w3_d597e4671
Welt	w5_d597e4674
ist,	w7_d597e4677
zu	w9_d597e4680
handhaben.	w11_d597e4683
</p>
<p id="p8_d597e4686">
Von	w1_d597e4690
Santa	w3_d597e4693
Fee	w5_d597e4696
zu	w7_d597e4699
Bagota	w9_d597e4702
in	w11_d597e4705
Ameri	w13_d597e4709
ca	w1_d597e4714
verlautet:	w3_d597e4717
daß	w5_d597e4720
der	w7_d597e4723
Königl.	w9_d597e4726
Spanische	w11_d597e4729
General=leutenant,	w1_d597e4734
Don	w3_d597e4737
Joseph	w5_d597e4740
von	w7_d597e4743
Solis,	w9_d597e4746
ein	w1_d597e4752
Bruder	w3_d597e4755
des	w5_d597e4758
Erz=bischoffen	w7_d597e4761
von	w9_d597e4764
Sevilien,	w11_d597e4767
mit	w1_d597e4772
Verachtung	w3_d597e4775
aller	w5_d597e4778
weltlichen	w7_d597e4781
Herrlichkeit,	w9_d597e4784
sich	w1_d597e4789
aller	w3_d597e4792
seiner	w5_d597e4795
grossen	w7_d597e4798
Güter	w9_d597e4801
entschlagen,	w11_d597e4804
und	w1_d597e4809
solche	w3_d597e4812
zur	w5_d597e4815
milden	w7_d597e4818
Stiftung	w9_d597e4821
gewiedmet	w11_d597e4824
habe,	w1_d597e4830
endlich	w3_d597e4833
aber	w5_d597e4836
selbst	w7_d597e4839
ein	w9_d597e4842
Franciscaner	w11_d597e4845
geworden	w1_d597e4850
wäre.	w3_d597e4853
</p>
<p id="p10_d597e4856">
Zu	w1_d597e4860
Gibraltar	w3_d597e4863
ist	w5_d597e4866
kein	w7_d597e4869
einziges	w9_d597e4872
Engli	w11_d597e4875
sches	w1_d597e4880
Kriegs=schif,	w3_d597e4883
als	w5_d597e4886
nur	w7_d597e4889
ein	w9_d597e4892
Mastloses	w11_d597e4895
Schif	w1_d597e4900
und	w3_d597e4903
eine	w5_d597e4906
Fregatte	w7_d597e4909
zurück	w9_d597e4912
geblieben.	w11_d597e4915
</p>
<head id="h2_d597e4921">
Erfurt	w1_d597e4925
11.	w3_d597e4928
Octob.	w5_d597e4931
</head>
<p id="p4_d597e4934">
Jn	w1_d597e4938
dem	w3_d597e4941
Bremischen	w5_d597e4944
soll	w7_d597e4947
man	w9_d597e4950
wegen	w11_d597e4953
denen	w1_d597e4958
Soubisischen	w3_d597e4961
Trupen	w5_d597e4964
in	w7_d597e4967
einer	w9_d597e4970
nicht	w11_d597e4973
</p>
<p id="p6_d597e4976">
geringen	w1_d597e4980
Verlegenheit	w3_d597e4983
seyn:	w5_d597e4986
Ein	w7_d597e4989
von	w9_d597e4992
dan	w11_d597e4995
nen	w1_d597e5000
unterm	w3_d597e5003
4.	w5_d597e5006
dieses	w7_d597e5009
hier	w9_d597e5012
eingekommenes	w11_d597e5015
Schreiben	w1_d597e5020
gibt	w3_d597e5023
uns	w5_d597e5026
hievon	w7_d597e5029
folgenden	w9_d597e5032
Be	w11_d597e5035
scheid:	w1_d597e5041
Wir	w3_d597e5044
leben	w5_d597e5047
hier	w7_d597e5050
in	w9_d597e5053
Angst	w11_d597e5056
und	w13_d597e5060
Forcht,	w15_d597e5063
von	w1_d597e5068
denen	w3_d597e5071
Franzosen	w5_d597e5074
überfallen	w7_d597e5077
zu	w9_d597e5080
werden	w11_d597e5083
Vorgestern	w1_d597e5088
Nachts	w3_d597e5091
um	w5_d597e5094
1.	w7_d597e5097
Uhr	w9_d597e5100
wurde	w11_d597e5103
in	w13_d597e5107
der	w1_d597e5112
Alt	w3_d597e5115
und	w5_d597e5118
Neustadt	w7_d597e5121
Allarm	w9_d597e5124
geschlagen,	w11_d597e5127
indem	w1_d597e5133
es	w3_d597e5136
hiesse,	w5_d597e5139
die	w7_d597e5142
Franzosen	w9_d597e5145
wären	w11_d597e5148
vor	w13_d597e5152
dem	w1_d597e5157
Bunten=thor	w3_d597e5160
in	w5_d597e5163
der	w7_d597e5166
Neustadt,	w9_d597e5169
und	w11_d597e5172
dies	w1_d597e5177
war	w3_d597e5180
auch	w5_d597e5183
auch	w7_d597e5186
in	w9_d597e5189
sich	w11_d597e5192
richtig.	w13_d597e5196
Sie	w15_d597e5199
hatten	w1_d597e5204
vorher	w3_d597e5207
eine	w5_d597e5210
Stunde	w7_d597e5213
von	w9_d597e5216
hier,	w11_d597e5219
zum	w13_d597e5223
Katzen=thurn	w1_d597e5229
genannt,	w3_d597e5232
eine	w5_d597e5235
von	w7_d597e5238
hier	w9_d597e5241
aus	w11_d597e5244
geschickte	w1_d597e5249
Wache	w3_d597e5252
von	w5_d597e5255
50.	w7_d597e5258
Mann,	w9_d597e5261
sowol	w11_d597e5264
von	w1_d597e5269
Jnfanterie	w3_d597e5272
als	w5_d597e5275
Ellotischen	w7_d597e5278
Hussaren	w9_d597e5281
aufgehoben.	w1_d597e5286
Aus	w3_d597e5289
hiesiger	w5_d597e5292
Stadt	w7_d597e5295
geschahe	w9_d597e5298
ein	w1_d597e5304
Ausfall,	w3_d597e5307
und	w5_d597e5310
von	w7_d597e5313
beyden	w9_d597e5316
Theilen	w11_d597e5319
wurde	w13_d597e5323
aus	w1_d597e5328
dem	w3_d597e5331
kleinen	w5_d597e5334
Gewehr	w7_d597e5337
heftig	w9_d597e5340
geschossen.	w11_d597e5343
Mit	w1_d597e5348
anbrechendem	w3_d597e5351
Tag	w5_d597e5354
marschirten	w7_d597e5357
die	w9_d597e5360
Fran	w11_d597e5363
zosen	w1_d597e5368
wieder	w3_d597e5371
zuruck	w5_d597e5374
nach	w7_d597e5377
Harbstädt,	w9_d597e5380
allwo	w11_d597e5383
über	w1_d597e5389
3000.	w3_d597e5392
Mann	w5_d597e5395
stehen.	w7_d597e5398
Wir	w9_d597e5401
müssen	w11_d597e5404
unser	w1_d597e5409
weiteres	w3_d597e5412
Schicksaal	w5_d597e5415
erwarten;	w7_d597e5418
das	w9_d597e5421
übelste	w1_d597e5426
ist,	w3_d597e5429
daß	w5_d597e5432
sich	w7_d597e5435
anjetzo	w9_d597e5438
kaum	w11_d597e5441
2000.	w13_d597e5445
Mann	w1_d597e5450
gesunde	w3_d597e5453
Trupen	w5_d597e5456
hier	w7_d597e5459
befinden;	w9_d597e5462
un	w11_d597e5465
sere	w1_d597e5471
Canonen	w3_d597e5474
ligen	w5_d597e5477
in	w7_d597e5480
Stade,	w9_d597e5483
die	w11_d597e5486
Legion	w13_d597e5490
Britannique	w1_d597e5495
hat	w3_d597e5498
nur	w5_d597e5501
2.	w7_d597e5504
Regiments=stücke.	w9_d597e5507
Auf	w1_d597e5512
hiesigen	w3_d597e5515
Wällen	w5_d597e5518
befinden	w7_d597e5521
sich	w9_d597e5524
70.	w11_d597e5527
Stücke	w1_d597e5532
alte	w3_d597e5535
verrostete	w5_d597e5538
Canonen.	w7_d597e5541
Man	w9_d597e5544
hat	w11_d597e5547
aber	w1_d597e5553
Hofnung,	w3_d597e5556
daß	w5_d597e5559
noch	w7_d597e5562
mehrere,	w9_d597e5565
inglei	w11_d597e5568
chen	w1_d597e5573
auch	w3_d597e5576
noch	w5_d597e5579
Mannschaft	w7_d597e5582
herein	w9_d597e5585
kommen	w11_d597e5588
solle.	w1_d597e5593
Nach	w3_d597e5596
6.	w5_d597e5599
Uhr	w7_d597e5602
Abends	w9_d597e5605
darf	w11_d597e5608
niemand	w13_d597e5612
mehr	w1_d597e5617
auf	w3_d597e5620
der	w5_d597e5623
Gasse	w7_d597e5626
seyn;	w9_d597e5629
gestern	w11_d597e5632
Abends	w13_d597e5636
wurden	w1_d597e5642
2.	w3_d597e5645
Dienstmägde	w5_d597e5648
dieserwegen	w7_d597e5651
auf	w9_d597e5654
der	w11_d597e5657
Gasse	w1_d597e5662
todt	w3_d597e5665
geschossen.	w5_d597e5668
</p>
<p id="p8_d597e5671">
Der	w1_d597e5675
Herzog	w3_d597e5678
Ferdinand	w5_d597e5681
hat	w7_d597e5684
sich	w9_d597e5687
aus	w11_d597e5690
der	w13_d597e5694
Gegend	w1_d597e5699
Cassel	w3_d597e5702
wieder	w5_d597e5705
weg,	w7_d597e5708
und	w9_d597e5711
dem	w11_d597e5714
Ver	w13_d597e5718
nehmen	w1_d597e5723
nach	w3_d597e5726
auf	w5_d597e5729
Warburg	w7_d597e5732
gezogen.	w9_d597e5735
Die	w11_d597e5738
Franzosen	w1_d597e5744
sind	w3_d597e5747
noch	w5_d597e5750
Meister	w7_d597e5753
vom	w9_d597e5756
Harze.	w11_d597e5759
Das	w1_d597e5764
Schloß	w3_d597e5767
Scharzfels	w5_d597e5770
wurde,	w7_d597e5773
nachdem	w9_d597e5776
man	w1_d597e5781
vorhero	w3_d597e5784
alles	w5_d597e5787
darinnen	w7_d597e5790
gefundene	w9_d597e5793
Ge	w11_d597e5796
rähte	w1_d597e5801
theils	w3_d597e5804
weggeführet,	w5_d597e5807
theils	w7_d597e5810
verkauffet,	w9_d597e5813
gänzlich	w1_d597e5819
in	w3_d597e5822
die	w5_d597e5825
Luft	w7_d597e5828
gesprenget.	w9_d597e5831
Von	w11_d597e5834
Gan	w13_d597e5838
dersheim,	w1_d597e5843
Seesen,	w3_d597e5846
und	w5_d597e5849
so	w7_d597e5852
weiter	w9_d597e5855
haben	w11_d597e5858
</p>
<p id="p14_d597e5872">
sich	w1_d597e5876
die	w3_d597e5879
Franzosen	w5_d597e5882
wiederum	w7_d597e5885
weggezogen	w9_d597e5888
wohingegen	w1_d597e5893
schon	w3_d597e5896
wiederum	w5_d597e5899
alliirte	w7_d597e5902
allda	w9_d597e5905
eingetroffen.	w1_d597e5910
Seit	w3_d597e5913
dem	w5_d597e5916
2.	w7_d597e5919
dieses	w9_d597e5922
befinden	w11_d597e5925
sich	w1_d597e5931
keine	w3_d597e5934
Franzosen	w5_d597e5937
mehr	w7_d597e5940
in	w9_d597e5943
Goslar,	w11_d597e5946
von	w13_d597e5950
Clausthal	w1_d597e5955
gehen	w3_d597e5958
aber	w5_d597e5961
täglich	w7_d597e5964
Patrouillen	w9_d597e5967
dahin.	w1_d597e5972
Der	w3_d597e5975
Herr	w5_d597e5978
von	w7_d597e5981
Grandmaison	w9_d597e5984
ste	w11_d597e5987
het	w1_d597e5992
noch	w3_d597e5995
in	w5_d597e5998
Mühlhausen,	w7_d597e6001
um	w9_d597e6004
die	w11_d597e6007
sowol	w13_d597e6011
von	w1_d597e6017
hier,	w3_d597e6020
als	w5_d597e6023
denen	w7_d597e6026
herumligenden	w9_d597e6029
Gegen	w11_d597e6032
den	w1_d597e6037
täglich	w3_d597e6040
nach	w5_d597e6043
Wanfried	w7_d597e6046
abgehende	w9_d597e6049
Fuh	w11_d597e6052
ren	w1_d597e6057
zu	w3_d597e6060
decken.	w5_d597e6063
Die	w7_d597e6066
Zufuhr	w9_d597e6069
ist	w11_d597e6072
ausserordent	w13_d597e6076
lich.	w1_d597e6081
Der	w3_d597e6084
Herr	w5_d597e6087
Landgraf	w7_d597e6090
von	w9_d597e6093
Hessen	w11_d597e6096
be	w13_d597e6100
findet	w1_d597e6106
sich	w3_d597e6109
seit	w5_d597e6112
dem	w7_d597e6115
1.	w9_d597e6118
dieses	w11_d597e6121
in	w13_d597e6125
Hamburg,	w15_d597e6128
und	w1_d597e6133
der	w3_d597e6136
Braunschweigische	w5_d597e6139
Hof,	w7_d597e6142
der	w9_d597e6145
Her	w11_d597e6148
zogin	w1_d597e6153
ausgenommen,	w3_d597e6156
als	w5_d597e6159
welche	w7_d597e6162
in	w9_d597e6165
Braun	w11_d597e6168
schweig	w1_d597e6173
geblieben,	w3_d597e6176
noch	w5_d597e6179
immer	w7_d597e6182
zu	w9_d597e6185
Zelle.	w11_d597e6188
Vor	w13_d597e6192
etlichen	w1_d597e6198
Tagen	w3_d597e6201
ist	w5_d597e6204
der	w7_d597e6207
Herr	w9_d597e6210
General	w11_d597e6213
Luzins	w13_d597e6217
ky	w1_d597e6222
in	w3_d597e6225
Gesellschaft	w5_d597e6228
des	w7_d597e6231
Generalen	w9_d597e6234
Weczey	w11_d597e6237
mit	w13_d597e6241
einem	w1_d597e6246
starken	w3_d597e6249
Corps,	w5_d597e6252
wozu	w7_d597e6255
auch	w9_d597e6258
das	w11_d597e6261
Ottoi	w13_d597e6265
sche	w1_d597e6270
Jäger=corps	w3_d597e6273
gezogen	w5_d597e6276
worden,	w7_d597e6279
von	w9_d597e6282
Naumburg	w1_d597e6288
in	w3_d597e6291
das	w5_d597e6294
Preußische	w7_d597e6297
abgerucket,	w9_d597e6300
allda	w1_d597e6305
aber	w3_d597e6308
wurde	w5_d597e6311
eine	w7_d597e6314
Besatzung	w9_d597e6317
zurück	w11_d597e6320
ge	w13_d597e6324
lassen.	w1_d597e6329
Jn	w3_d597e6332
Leipzig	w5_d597e6335
solle	w7_d597e6338
noch	w9_d597e6341
alles	w11_d597e6344
ruhig,	w13_d597e6348
und	w1_d597e6353
die	w3_d597e6356
Besatzung	w5_d597e6359
mit	w7_d597e6362
einem	w9_d597e6365
Bataillon	w11_d597e6368
vom	w13_d597e6372
Regiment	w1_d597e6378
Lido	w3_d597e6381
verstärket	w5_d597e6384
worden	w7_d597e6387
seyn.	w9_d597e6390
</p>
<head id="h2_d597e6396">
Paris	w1_d597e6400
3.	w3_d597e6403
Octob.	w5_d597e6406
</head>
<p id="p4_d597e6409">
Endlichen	w1_d597e6413
ist	w3_d597e6416
Herr	w5_d597e6419
Stanley	w7_d597e6422
nacher	w9_d597e6425
Lon	w11_d597e6428
den	w1_d597e6433
zurück	w3_d597e6436
gekehret,	w5_d597e6439
allwo	w7_d597e6442
auch	w9_d597e6445
der	w11_d597e6448
Herr	w13_d597e6452
von	w1_d597e6457
Bußy	w3_d597e6460
schon	w5_d597e6463
abgereiset,	w7_d597e6466
um	w9_d597e6469
sich	w11_d597e6472
wie	w13_d597e6476
derum	w1_d597e6482
hieher	w3_d597e6485
zu	w5_d597e6488
begeben,	w7_d597e6491
folglich	w9_d597e6494
ist	w11_d597e6497
das	w13_d597e6501
ganze	w1_d597e6506
Friedens=geschäfte,	w3_d597e6509
welches	w5_d597e6512
der	w7_d597e6515
Grundstein	w1_d597e6520
des	w3_d597e6523
zu	w5_d597e6526
Augspurg	w7_d597e6529
haltenden	w9_d597e6532
Con	w11_d597e6535
gresses	w1_d597e6540
hätte	w3_d597e6543
seyn	w5_d597e6546
sollen,	w7_d597e6549
gänzlichen	w9_d597e6552
unter	w11_d597e6555
brochen.	w1_d597e6561
Se.	w3_d597e6564
Majest.	w5_d597e6567
der	w7_d597e6570
König	w9_d597e6573
lassen	w11_d597e6576
ben	w1_d597e6581
ganzen	w3_d597e6584
Hergang	w5_d597e6587
dieser	w7_d597e6590
vereitleten	w9_d597e6593
Ne	w11_d597e6596
gociation	w1_d597e6601
in	w3_d597e6604
dem	w5_d597e6607
Louvre	w7_d597e6610
zum	w9_d597e6613
Drucke	w11_d597e6616
beför	w13_d597e6620
deren,	w1_d597e6625
damit	w3_d597e6628
auf	w5_d597e6631
solche	w7_d597e6634
Weise	w9_d597e6637
ganz	w11_d597e6640
Eu	w13_d597e6644
ropa	w1_d597e6650
von	w3_d597e6653
selbsten	w5_d597e6656
möge	w7_d597e6659
einsehen	w9_d597e6662
können,	w11_d597e6665
wie	w1_d597e6670
sehr	w3_d597e6673
Se.	w5_d597e6676
Majest.	w7_d597e6679
die	w9_d597e6682
Wiederherstellung	w11_d597e6685
des	w1_d597e6690
Friedens	w3_d597e6693
gewunschen,	w5_d597e6696
und	w7_d597e6699
folglichen	w9_d597e6702
an	w11_d597e6705
der	w1_d597e6710
Zerschlagung	w3_d597e6713
dieses	w5_d597e6716
so	w7_d597e6719
heilsamen	w9_d597e6722
Ge	w11_d597e6725
schäftes	w1_d597e6731
nicht	w3_d597e6734
die	w5_d597e6737
mindeste	w7_d597e6740
Schulde	w9_d597e6743
habe.	w11_d597e6746
Man	w1_d597e6751
behauptet	w3_d597e6754
allhier	w5_d597e6757
durchgehends,	w7_d597e6760
das	w9_d597e6763
man	w1_d597e6768
diese	w3_d597e6771
Hintertreibung	w5_d597e6774
bloß	w7_d597e6777
der	w9_d597e6780
bey	w11_d597e6783
ei	w13_d597e6787
</p>
<p id="p6_d597e6790">
nem	w1_d597e6794
einzigen	w3_d597e6797
Puncte	w5_d597e6800
bezeigten	w7_d597e6803
Halsstätrig	w9_d597e6806
keit	w1_d597e6811
des	w3_d597e6814
Engländischen	w5_d597e6817
Ministerii	w7_d597e6820
zu	w9_d597e6823
ver	w11_d597e6826
danken	w1_d597e6831
habe,	w3_d597e6834
als	w5_d597e6837
welches	w7_d597e6840
durchaus	w9_d597e6843
von	w11_d597e6846
Sr.	w1_d597e6852
allerchristlichsten	w3_d597e6855
Majest.	w5_d597e6858
begehete	w7_d597e6861
seine	w9_d597e6864
hohe	w1_d597e6869
Bundsgenossene	w3_d597e6872
zu	w5_d597e6875
verlassen,	w7_d597e6878
und	w9_d597e6881
folglich	w1_d597e6886
mit	w3_d597e6889
dem	w5_d597e6892
Hofe	w7_d597e6895
von	w9_d597e6898
Wien	w11_d597e6901
gänzlich	w13_d597e6905
zu	w1_d597e6910
brechen;	w3_d597e6913
von	w5_d597e6916
dieser	w7_d597e6919
Engländischen	w9_d597e6922
