<doc id="wr_1757-09-03" attrs="word" year="1757" month="09" day="03" corpus="2">
<head id="h2_d175e2874">
Alicante	w1_d175e2878
<head id="h2_d175e3441">
Londen	w1_d175e3445
18.	w3_d175e3448
Augusti	w5_d175e3451
</head>
<p id="p4_d175e3454">
Man	w1_d175e3458
redet	w3_d175e3461
hier	w5_d175e3464
stark	w7_d175e3467
davon,	w9_d175e3470
daß	w11_d175e3473
man	w13_d175e3477
alle	w1_d175e3482
kostbarkeiten	w3_d175e3485
zu	w5_d175e3488
Stade	w7_d175e3491
auf	w9_d175e3494
Engländi	w11_d175e3497
sche	w1_d175e3502
Kriegs=schiffe	w3_d175e3505
werde	w5_d175e3508
einschiffen	w7_d175e3511
lassen,	w9_d175e3514
um	w1_d175e3520
selbige	w3_d175e3523
nach	w5_d175e3526
Londen	w7_d175e3529
zu	w9_d175e3532
überbringen,	w11_d175e3535
all	w13_d175e3539
wo	w1_d175e3544
sie	w3_d175e3547
in	w5_d175e3550
gute	w7_d175e3553
Verwahr,	w9_d175e3556
so	w11_d175e3559
lang	w13_d175e3563
als	w15_d175e3566
die	w17_d175e3569
Kriegs=troublen	w1_d175e3574
in	w3_d175e3577
Teutschland	w5_d175e3580
dauren,	w7_d175e3583
sollen	w9_d175e3586
genommen	w1_d175e3591
werden.	w3_d175e3594
Vorgestern	w5_d175e3597
ist	w7_d175e3600
ein	w9_d175e3603
gros	w11_d175e3606
ser	w1_d175e3612
Raht	w3_d175e3615
zu	w5_d175e3618
Kensigton	w7_d175e3621
gehalten	w9_d175e3624
worden.	w11_d175e3627
</p>
<head id="h2_d175e3633">
Paris	w1_d175e3637
20.	w3_d175e3640
August.	w5_d175e3643
</head>
<p id="p4_d175e3646">
Der	w1_d175e3650
König	w3_d175e3653
hat	w5_d175e3656
dem	w7_d175e3659
hiesigen	w9_d175e3662
Erz=bischof	w11_d175e3665
einen	w1_d175e3670
Brief	w3_d175e3673
geschrieben,	w5_d175e3676
daß	w7_d175e3679
er	w9_d175e3682
ein	w11_d175e3685
Te	w13_d175e3689
Deum	w15_d175e3692
wegen	w1_d175e3697
des	w3_d175e3700
Sieges	w5_d175e3703
bey	w7_d175e3706
Hastenbeck	w9_d175e3709
anstimmen	w11_d175e3712
solle.	w1_d175e3718
Dieser	w3_d175e3721
Prälat	w5_d175e3724
hat	w7_d175e3727
auch	w9_d175e3730
sogleich	w11_d175e3733
ein	w13_d175e3737
Mandement	w1_d175e3742
dazu	w3_d175e3745
ausgehen	w5_d175e3748
lassen,	w7_d175e3751
und	w9_d175e3754
ge	w11_d175e3757
stern	w1_d175e3762
Nachmittags	w3_d175e3765
gieng	w5_d175e3768
die	w7_d175e3771
Feyerlichkeit	w9_d175e3774
zu	w11_d175e3777
Notre	w1_d175e3782
Dame	w3_d175e3785
mit	w5_d175e3788
gewöhnlichen	w7_d175e3791
Ceremonien	w9_d175e3794
vor	w1_d175e3800
sich.	w3_d175e3803
Gegen	w5_d175e3806
halb	w7_d175e3809
9.	w9_d175e3812
des	w11_d175e3815
Abends	w13_d175e3819
wur	w15_d175e3822
de	w1_d175e3827
das	w3_d175e3830
Feuerwerk	w5_d175e3833
a	w7_d175e3836
la	w9_d175e3839
Greve	w11_d175e3842
angezündet,	w13_d175e3846
und	w1_d175e3851
das	w3_d175e3854
Raht=haus,	w5_d175e3857
so,	w7_d175e3860
wie	w9_d175e3863
viele	w11_d175e3866
Privat	w13_d175e3870
häuser	w1_d175e3875
waren,	w3_d175e3878
prächtig	w5_d175e3881
illuminiret,	w7_d175e3884
als	w9_d175e3887
</p>
<p id="p8_d175e3892">
es	w1_d175e3896
bey	w3_d175e3899
dergleichen	w5_d175e3902
Gelegenheiten	w7_d175e3905
zu	w9_d175e3908
gesche	w11_d175e3911
hen	w1_d175e3916
pflegt.	w3_d175e3919
Auf	w5_d175e3922
denen	w7_d175e3925
offentlichen	w9_d175e3928
Plätzen	w11_d175e3931
wa	w13_d175e3935
ren	w1_d175e3940
Gerüst	w3_d175e3943
für	w5_d175e3946
die	w7_d175e3949
Music	w9_d175e3952
aufgeschlagen,	w11_d175e3955
welche	w1_d175e3961
sich	w3_d175e3964
bis	w5_d175e3967
spät	w7_d175e3970
in	w9_d175e3973
die	w11_d175e3976
Nacht	w13_d175e3980
hören	w15_d175e3983
ließ.	w17_d175e3986
Dem	w1_d175e3991
Volk	w3_d175e3994
ward	w5_d175e3997
Fleisch	w7_d175e4000
und	w9_d175e4003
Brod	w11_d175e4006
ausgethei	w13_d175e4010
let,	w1_d175e4015
und	w3_d175e4018
der	w5_d175e4021
Wein	w7_d175e4024
dazu	w9_d175e4027
lief	w11_d175e4030
aus	w13_d175e4034
verschie	w15_d175e4037
denen	w1_d175e4042
springenden	w3_d175e4045
Fontainen.	w5_d175e4048
Man	w7_d175e4051
erwar	w9_d175e4054
tet	w1_d175e4060
den	w3_d175e4063
Marschall	w5_d175e4066
d'Etrees,	w7_d175e4069
der	w9_d175e4072
uns	w11_d175e4075
diese	w13_d175e4079
Freude	w1_d175e4084
gemacht,	w3_d175e4087
alle	w5_d175e4090
Tage	w7_d175e4093
hieselbst,	w9_d175e4096
und	w11_d175e4099
er	w13_d175e4103
wird	w1_d175e4108
mit	w3_d175e4111
vieler	w5_d175e4114
Unterscheidung	w7_d175e4117
empfangen	w9_d175e4120
werden;	w1_d175e4125
da	w3_d175e4128
er	w5_d175e4131
nicht	w7_d175e4134
nur	w9_d175e4137
den	w11_d175e4140
Feind	w13_d175e4144
geschlagen,	w15_d175e4147
sondern	w1_d175e4153
auch	w3_d175e4156
fast	w5_d175e4159
das	w7_d175e4162
ganze	w9_d175e4165
Churfürstentum	w11_d175e4168
Hannover	w1_d175e4173
unter	w3_d175e4176
die	w5_d175e4179
Waffen	w7_d175e4182
des	w9_d175e4185
Königs	w11_d175e4188
ge	w13_d175e4192
demütiget	w1_d175e4197
hat.	w3_d175e4200
</p>
<head id="h2_d175e4206">
Danzig	w1_d175e4210
10.	w3_d175e4213
Augusti.	w5_d175e4216
</head>
<p id="p4_d175e4219">
Die	w1_d175e4223
Rußische	w3_d175e4226
Flotte	w5_d175e4229
liget	w7_d175e4232
noch	w9_d175e4235
hier	w11_d175e4238
auf	w13_d175e4242
unserer	w1_d175e4247
Rhede.	w3_d175e4250
Sie	w5_d175e4253
gibet	w7_d175e4256
zwar	w9_d175e4259
manchem	w11_d175e4262
etwas	w1_d175e4267
zu	w3_d175e4270
lösen;	w5_d175e4273
allein	w7_d175e4276
ihr	w9_d175e4279
so	w11_d175e4282
langer	w13_d175e4286
Aufent	w15_d175e4289
halt	w1_d175e4295
gibet	w3_d175e4298
uns	w5_d175e4301
allmählig	w7_d175e4304
Anlaß	w9_d175e4307
zu	w11_d175e4310
verschie	w13_d175e4314
denen	w1_d175e4319
Gedanken.	w3_d175e4322
Der	w5_d175e4325
Herr	w7_d175e4328
Crongroßcanz	w9_d175e4331
ler,	w1_d175e4336
b	w3_d175e4339
findet	w5_d175e4342
sich	w7_d175e4345
auch	w9_d175e4348
noch	w11_d175e4351
allhier,	w13_d175e4355
von	w15_d175e4358
dessen	w17_d175e4361
eigentlichen	w1_d175e4366
Verrichtungen	w3_d175e4369
man	w5_d175e4372
erst	w7_d175e4375
mit	w9_d175e4378
nächsten	w1_d175e4384
Tagen	w3_d175e4387
das	w5_d175e4390
Zuverläßige	w7_d175e4393
wird	w9_d175e4396
berich	w11_d175e4399
ten	w1_d175e4404
können.	w3_d175e4407
</p>
<head id="h2_d175e4414">
Marienwerder,	w1_d175e4418
6.	w3_d175e4421
Augusti.	w5_d175e4424
</head>
<p id="p4_d175e4427">
Jn	w1_d175e4431
voriger	w3_d175e4434
Woche	w5_d175e4437
wurde	w7_d175e4440
die	w9_d175e4443
allhier	w11_d175e4446
so	w13_d175e4450
lange	w1_d175e4455
befindlich	w3_d175e4458
geweste	w5_d175e4461
Schif=brücke,	w7_d175e4464
wel	w9_d175e4467
che	w1_d175e4472
so	w3_d175e4475
vieles	w5_d175e4478
Reden	w7_d175e4481
verursachet,	w9_d175e4484
längs	w11_d175e4487
der	w13_d175e4491
Weichsel	w1_d175e4497
über	w3_d175e4500
das	w5_d175e4503
frische	w7_d175e4506
Hauf	w9_d175e4509
nach	w11_d175e4512
Königs	w13_d175e4516
berg	w1_d175e4521
gebracht,	w3_d175e4524
und	w5_d175e4527
Tages	w7_d175e4530
darauf	w9_d175e4533
marschirte	w11_d175e4536
das	w1_d175e4541
bisher	w3_d175e4544
hier	w5_d175e4547
gelegene	w7_d175e4550
Battaillon	w9_d175e4553
von	w11_d175e4556
uns	w13_d175e4560
nach	w1_d175e4565
der	w3_d175e4568
Armee.	w5_d175e4571
Wir	w7_d175e4574
besetzen	w9_d175e4577
nunmehr	w11_d175e4580
nach	w1_d175e4586
Möglichkeit	w3_d175e4589
unsere	w5_d175e4592
Thöre	w7_d175e4595
selbst,	w9_d175e4598
und	w11_d175e4601
warten	w1_d175e4606
zwischen	w3_d175e4609
Forcht	w5_d175e4612
und	w7_d175e4615
Hofnung	w9_d175e4618
un	w11_d175e4621
ser	w1_d175e4626
Schicksal	w3_d175e4629
ab.	w5_d175e4632
Man	w7_d175e4635
spricht	w9_d175e4638
hier,	w11_d175e4641
daß	w13_d175e4645
der	w1_d175e4650
erst	w3_d175e4653
noch	w5_d175e4656
kürzlich	w7_d175e4659
in	w9_d175e4662
Pohlnischen	w11_d175e4665
Dien	w13_d175e4669
sten	w1_d175e4675
gestandene	w3_d175e4678
General	w5_d175e4681
Sybilsky	w7_d175e4684
in	w9_d175e4687
Rußi	w11_d175e4690
sche	w1_d175e4695
Dienste	w3_d175e4698
gegangen,	w5_d175e4701
und	w7_d175e4704
mit	w9_d175e4707
einem	w11_d175e4710
starken	w13_d175e4714
Corps,	w1_d175e4719
welches	w3_d175e4722
er	w5_d175e4725
commandiret,	w7_d175e4728
über	w9_d175e4731
Oletzko	w11_d175e4734
in	w1_d175e4739
Pohlen	w3_d175e4742
nach	w5_d175e4745
Soldau	w7_d175e4748
in	w9_d175e4751
Preussen	w11_d175e4754
eingedrun	w13_d175e4758
gen	w1_d175e4764
wäre.	w3_d175e4767
</p>
<head id="h2_d175e4773">
Münster	w1_d175e4777
20.	w3_d175e4780
August.	w5_d175e4783
</head>
<p id="p4_d175e4786">
Laut	w1_d175e4790
Triefen	w3_d175e4793
vom	w5_d175e4796
18ten,	w7_d175e4799
hat	w9_d175e4802
die	w11_d175e4805
Armee	w13_d175e4809
des	w1_d175e4814
Herzogs	w3_d175e4817
von	w5_d175e4820
Cumberland,	w7_d175e4823
welche	w9_d175e4826
sich	w11_d175e4829
zwischen	w1_d175e4834
Ottersberg	w3_d175e4837
und	w5_d175e4840
Rotenburg	w7_d175e4843
fest	w9_d175e4846
zu	w11_d175e4849
setzen	w1_d175e4855
Mine	w3_d175e4858
macht,	w5_d175e4861
alle	w7_d175e4864
Wege	w9_d175e4867
von	w11_d175e4870
da	w13_d175e4874
an,	w15_d175e4877
bis	w1_d175e4882
Stade	w3_d175e4885
durchhauen,	w5_d175e4888
und	w7_d175e4891
mit	w9_d175e4894
Fluchtfah	w11_d175e4897
nen	w1_d175e4902
besetzen	w3_d175e4905
lassen;	w5_d175e4908
diesem	w7_d175e4911
ungeachtet	w9_d175e4914
macht	w11_d175e4917
die	w1_d175e4922
Französische	w3_d175e4925
Armee,	w5_d175e4928
die	w7_d175e4931
sich	w9_d175e4934
würklich	w11_d175e4937
von	w13_d175e4941
Haunover	w1_d175e4947
bis	w3_d175e4950
Nienburg	w5_d175e4953
ausgedeynet,	w7_d175e4956
alle	w9_d175e4959
</p>
<p id="p6_d175e4962">
Vorkehrungen,	w1_d175e4966
die	w3_d175e4969
Hannoveraner,	w5_d175e4972
so	w7_d175e4975
vor	w9_d175e4978
theilhaft	w1_d175e4983
sie	w3_d175e4986
sich	w5_d175e4989
auch	w7_d175e4992
zu	w9_d175e4995
setzen	w11_d175e4998
scheinen,	w13_d175e5002
von	w15_d175e5005
neuem	w1_d175e5010
anzugreiffen,	w3_d175e5013
und	w5_d175e5016
ihnen	w7_d175e5019
eine	w9_d175e5022
abermi	w11_d175e5025
lige	w1_d175e5031
Schlacht	w3_d175e5034
zu	w5_d175e5037
liefern.	w7_d175e5040
Der	w9_d175e5043
Herzog	w11_d175e5046
von	w13_d175e5050
Braunschweig	w1_d175e5055
befindet	w3_d175e5058
sich	w5_d175e5061
mit	w7_d175e5064
seinem	w9_d175e5067
gan	w11_d175e5070
zen	w1_d175e5075
Hof=staat	w3_d175e5078
zu	w5_d175e5081
Blankenburg,	w7_d175e5084
welchesn	w9_d175e5087
der	w1_d175e5092
geschlossenen	w3_d175e5095
Convention	w5_d175e5098
von	w7_d175e5101
Franzöß	w9_d175e5104
scher	w1_d175e5110
Besatzung	w3_d175e5113
frey	w5_d175e5116
bleibt,	w7_d175e5119
und	w9_d175e5122
wo	w11_d175e5125
der	w13_d175e5129
Hof	w15_d175e5132
eine	w1_d175e5137
ansehnliche	w3_d175e5140
Wache	w5_d175e5143
hat,	w7_d175e5146
die	w9_d175e5149
nicht	w11_d175e5152
des	w13_d175e5156
armiret,	w1_d175e5161
wird.	w3_d175e5164
Gestern	w5_d175e5167
Vormittags	w7_d175e5170
haben	w1_d175e5175
die	w3_d175e5178
Franzosen	w5_d175e5181
die	w7_d175e5184
Stadt	w9_d175e5187
Braun	w11_d175e5190
schweig	w1_d175e5196
besetzt.	w3_d175e5199
Bremen	w5_d175e5202
schmeichelt	w7_d175e5205
sich	w9_d175e5208
mit	w11_d175e5211
der	w1_d175e5216
Neutralität;	w3_d175e5219
Französischer	w5_d175e5222
Seits	w7_d175e5225
weiß	w9_d175e5228
man	w1_d175e5233
aber,	w3_d175e5236
wie	w5_d175e5239
behülflich	w7_d175e5242
diese	w9_d175e5245
Stadt	w11_d175e5248
der	w13_d175e5252
alliirten	w1_d175e5257
Armee	w3_d175e5260
gewesen.	w5_d175e5263
Auch	w7_d175e5266
Hamburg	w9_d175e5269
scheinet	w1_d175e5275
bey	w3_d175e5278
jetzigen	w5_d175e5281
Umständen	w7_d175e5284
verlegen	w9_d175e5287
zu	w11_d175e5290
werden;	w1_d175e5295
man	w3_d175e5298
sagt,	w5_d175e5301
der	w7_d175e5304
dasige	w9_d175e5307
Magistrat	w11_d175e5310
habe	w1_d175e5315
den	w3_d175e5318
Kaiserlichen	w5_d175e5321
Befehl	w7_d175e5324
empfangen	w9_d175e5327
dem	w1_d175e5332
Preußischen	w3_d175e5335
Residenten,	w5_d175e5338
Herrn	w7_d175e5341
von	w9_d175e5344
Hecht,	w11_d175e5347
den	w1_d175e5353
längern	w3_d175e5356
Aufenthalt	w5_d175e5359
allda	w7_d175e5362
zu	w9_d175e5365
versagen,	w11_d175e5368
und	w1_d175e5373
das	w3_d175e5376
nöhtige	w5_d175e5379
Reichs=cotingent	w7_d175e5382
zu	w9_d175e5385
stellen.	w11_d175e5388
</p>
<head id="h2_d175e5394">
Berlin	w1_d175e5398
18.	w3_d175e5401
Augusti.	w5_d175e5404
</head>
<p id="p4_d175e5407">
Gestern	w1_d175e5411
früh	w3_d175e5414
starb	w5_d175e5417
alhier	w7_d175e5420
Herr	w9_d175e5423
Joachim	w11_d175e5426
Wilhelm	w1_d175e5431
von	w3_d175e5434
Klinggräf,	w5_d175e5437
Königl.	w7_d175e5440
wolbestel	w9_d175e5443
ter	w1_d175e5448
geheimer	w3_d175e5451
Kriegs	w5_d175e5454
und	w7_d175e5457
Legations=raht,	w9_d175e5460
auch	w1_d175e5466
gewester	w3_d175e5469
Minister	w5_d175e5472
Plenipotentiaire	w7_d175e5475
am	w9_d175e5478
Römisch=Kaiserl.	w1_d175e5483
Hofe,	w3_d175e5486
an	w5_d175e5489
einem	w7_d175e5492
Schlag	w9_d175e5495
flusse,	w1_d175e5500
im	w3_d175e5503
65.	w5_d175e5506
Jahr	w7_d175e5509
seines	w9_d175e5512
Alters.	w11_d175e5515
</p>
<head id="h2_d175e5521">
Rom,	w1_d175e5525
3.	w3_d175e5528
Augusti.	w5_d175e5531
</head>
<p id="p4_d175e5534">
Da	w1_d175e5538
die	w3_d175e5541
in	w5_d175e5544
Franckreich	w7_d175e5547
zwischen	w9_d175e5550
der	w11_d175e5553
Geist	w13_d175e5557
lichkeit	w1_d175e5562
u.	w3_d175e5565
dem	w5_d175e5568
Parlement	w7_d175e5571
so	w9_d175e5574
lange	w11_d175e5577
Jahr	w13_d175e5581
vorge	w15_d175e5584
weste	w1_d175e5589
Streitigkeiten	w3_d175e5592
mit	w5_d175e5595
GOttes	w7_d175e5598
Beystand	w9_d175e5601
glücklich	w1_d175e5607
beygelegt	w3_d175e5610
worden	w5_d175e5613
seynd;	w7_d175e5616
so	w9_d175e5619
hat	w11_d175e5622
man,	w13_d175e5626
um	w1_d175e5631
dieser	w3_d175e5634
hergestellten	w5_d175e5637
allgemeinen	w7_d175e5640
Ruhe	w9_d175e5643
und	w11_d175e5646
Frieden	w1_d175e5651
ein	w3_d175e5654
Denkmal	w5_d175e5657
zu	w7_d175e5660
stiften,	w9_d175e5663
den	w11_d175e5666
berühm	w13_d175e5670
ten	w1_d175e5675
Mahler	w3_d175e5678
Battoni	w5_d175e5681
befehliget,	w7_d175e5684
ein	w9_d175e5687
grosses	w11_d175e5690
Stück	w1_d175e5696
(welches	w3_d175e5699
Seine	w5_d175e5702
Päpstl.	w7_d175e5705
Heiligkeit,	w9_d175e5708
den	w1_d175e5713
Aller=christl.	w3_d175e5716
König	w5_d175e5719
und	w7_d175e5722
mehrere	w9_d175e5725
andere	w11_d175e5728
zu	w1_d175e5733
diesem	w3_d175e5736
so	w5_d175e5739
heilsamen	w7_d175e5742
Werk	w9_d175e5745
behülflich	w11_d175e5748
ge	w13_d175e5752
weste	w1_d175e5757
vornehme	w3_d175e5760
Personen	w5_d175e5763
vorstellen	w7_d175e5766
solle)	w9_d175e5769
nach	w11_d175e5772
aller	w1_d175e5778
Kunst	w3_d175e5781
zu	w5_d175e5784
verfertigen.	w7_d175e5787
Der	w9_d175e5790
Herr	w11_d175e5793
Con	w13_d175e5797
stanzi,	w1_d175e5802
welcher	w3_d175e5805
für	w5_d175e5808
einen	w7_d175e5811
der	w9_d175e5814
geschicktesten	w11_d175e5817
und	w1_d175e5822
erfahrensten	w3_d175e5825
Künstlern,	w5_d175e5828
so	w7_d175e5831
sich	w9_d175e5834
hier	w11_d175e5837
be	w13_d175e5841
finden,	w1_d175e5846
gehalten	w3_d175e5849
werden	w5_d175e5852
mag,	w7_d175e5855
hat	w9_d175e5858
nach	w11_d175e5861
er	w13_d175e5865
haltenem	w1_d175e5871
Befehl	w3_d175e5874
eines	w5_d175e5877
auswärtigen	w7_d175e5880
Hofes	w9_d175e5883
auf	w1_d175e5888
einen	w3_d175e5891
Saphir	w5_d175e5894
das	w7_d175e5897
Portrait	w9_d175e5900
Jhrer	w11_d175e5903
Kais.	w13_d175e5907
Kön.	w1_d175e5912
Majestät	w3_d175e5915
so	w5_d175e5918
künstlich	w7_d175e5921
und	w9_d175e5924
vollkommen	w11_d175e5927
auszuschneiden	w1_d175e5932
gewust,	w3_d175e5935
daß	w5_d175e5938
alle	w7_d175e5941
Kinner	w9_d175e5944
sel	w11_d175e5947
biges	w1_d175e5953
als	w3_d175e5956
ein	w5_d175e5959
ächtes	w7_d175e5962
Meister=stück	w9_d175e5965
betrach	w11_d175e5968
ten	w1_d175e5973
und	w3_d175e5976
höchstens	w5_d175e5979
bewundern.	w7_d175e5982
</p>
<head id="h4_d175e5998">
Nürnberg,	w1_d175e6002
27.	w3_d175e6005
Augusti.	w5_d175e6008
</head>
<p id="p6_d175e6011">
Am	w1_d175e6015
vergangenen	w3_d175e6018
Dienstag	w5_d175e6021
ist	w7_d175e6024
das	w9_d175e6027
erste	w11_d175e6030
Treffen	w1_d175e6035
von	w3_d175e6038
der	w5_d175e6041
bey	w7_d175e6044
Fürth	w9_d175e6047
bishero	w11_d175e6050
ver	w13_d175e6054
sammlet	w1_d175e6059
gewesten	w3_d175e6062
Reichs=armee	w5_d175e6065
aufgebro	w7_d175e6068
chen,	w1_d175e6074
und,	w3_d175e6077
gleichwie	w5_d175e6080
die	w7_d175e6083
vor	w9_d175e6086
ein	w11_d175e6089
paar	w13_d175e6093
Wo	w15_d175e6096
chen	w1_d175e6101
abmarschirte	w3_d175e6104
erste	w5_d175e6107
Colonne,	w7_d175e6110
gegen	w9_d175e6113
Er	w11_d175e6116
lang,	w1_d175e6121
und	w3_d175e6124
so	w5_d175e6127
weiters	w7_d175e6130
marschirt.	w9_d175e6133
Gestern	w11_d175e6136
ist	w13_d175e6140
das	w1_d175e6145
zweyte	w3_d175e6148
Treffen	w5_d175e6151
ebenfalls	w7_d175e6154
abgegangen.	w9_d175e6157
Alle	w1_d175e6163
nehmen	w3_d175e6166
ihren	w5_d175e6169
Marsch	w7_d175e6172
gegen	w9_d175e6175
Erfurth	w11_d175e6178
Bey	w1_d175e6183
hiesiger	w3_d175e6186
Stadt	w5_d175e6189
hat	w7_d175e6192
man	w9_d175e6195
die	w11_d175e6198
Casernen	w13_d175e6202
ausgeraumet,	w1_d175e6207
und	w3_d175e6210
soll	w5_d175e6213
eine	w7_d175e6216
Bataillon	w9_d175e6219
der	w11_d175e6222
Reichs=armee,	w1_d175e6227
unter	w3_d175e6230
Commando	w5_d175e6233
Sr.	w7_d175e6236
Excell.	w9_d175e6239
des	w1_d175e6245
Hrn.	w3_d175e6248
General=majors	w5_d175e6251
von	w7_d175e6254
Cronegk,	w9_d175e6257
sel	w11_d175e6260
bige	w1_d175e6265
beziehen,	w3_d175e6268
und	w5_d175e6271
die	w7_d175e6274
äussere	w9_d175e6277
Posten	w11_d175e6280
bey	w13_d175e6284
hiesiger	w1_d175e6289
Stadt	w3_d175e6292
besetzen.	w5_d175e6295
Wie	w7_d175e6298
man	w9_d175e6301
aus	w11_d175e6304
dem	w13_d175e6308
Gothischen	w1_d175e6313
vernihmt,	w3_d175e6316
marschiren	w5_d175e6319
des	w7_d175e6322
Herrn	w9_d175e6325
Prinzens	w1_d175e6331
von	w3_d175e6334
Soubise	w5_d175e6337
Durchl.	w7_d175e6340
mit	w9_d175e6343
Dero	w11_d175e6346
Corps	w1_d175e6351
durch	w3_d175e6354
Gotha	w5_d175e6357
nach	w7_d175e6360
Erfurth,	w9_d175e6363
und	w11_d175e6366
soll	w13_d175e6370
dieser	w1_d175e6375
Durchmarsch	w3_d175e6378
bis	w5_d175e6381
den	w7_d175e6384
19.	w9_d175e6387
September	w11_d175e6390
continuiren.	w1_d175e6395
</p>
<head id="h2_d175e6401">
Breßlau	w1_d175e6405
18.	w3_d175e6408
Augusti	w5_d175e6411
</head>
<p id="p4_d175e6414">
Die	w1_d175e6418
Nachrichten	w3_d175e6421
aus	w5_d175e6424
Preussen	w7_d175e6427
werden	w9_d175e6430
nunmehro	w1_d175e6435
ernsthafter,	w3_d175e6438
als	w5_d175e6441
jemals.	w7_d175e6444
Die	w9_d175e6447
Ru	w11_d175e6450
sische	w1_d175e6455
Armee	w3_d175e6458
fängt	w5_d175e6461
an	w7_d175e6464
sich	w9_d175e6467
bis	w11_d175e6470
gegen	w13_d175e6474
Königs	w15_d175e6477
berg	w1_d175e6483
auszubreiten,	w3_d175e6486
und	w5_d175e6489
