<doc id="edoc_wd_1727-11-12" attrs="word" year="1727" month="11" day="12" corpus="1">
<head id="hl1">
Peking	w54
nach	w503
Persien	w504
gehen	w505
möchte	w506
<g/>
/
um	w508
diesen	w509
Re=bellen	w510
<g/>
=
zum	w512
Gehorsam	w513
zu	w514
bringen	w515
<g/>
.
Jndessen	w517
siehet	w518
man	w519
hier	w520
einen	w521
Brief	w522
<g/>
/
welchen	w524
der	w525
Sultan	w526
Esref	w527
an	w528
den	w529
Groß	w530
<g/>
=
Sultan	w532
geschrie=den	w533
<g/>
=
haben	w535
solle	w536
<g/>
/
lautend	w538
<g/>
/
wie	w540
folget	w541
<g/>
:
</p>
<p id="p8">
Sehr	w543
grosser	w544
und	w545
mächtigen	w546
Kaiser	w547
<g/>
!
</p>
<p id="p9">
EJn	w549
wahrhafter	w550
Nachkömmling	w551
des	w552
Ma-homets	w553
<g/>
-
<g/>
,
gleichwie	w556
der	w557
jenige	w558
ist	w559
<g/>
/
wel=cher	w561
<g/>
=
an	w563
Ew	w564
<g/>
.
Hoheit	w566
schreibet	w567
<g/>
/
kan	w569
in	w570
dem	w571
Kriege	w572
<g/>
/
den	w574
er	w575
führet	w576
<g/>
/
keine	w578
Gedanken	w579
haben	w580
<g/>
/
einige	w582
Eroberungen	w583
über	w584
seine	w585
Brü=der	w586
<g/>
=
zu	w588
machen	w589
<g/>
:
seine	w591
gantze	w592
Absicht	w593
ist	w594
<g/>
/
die	w596
Religion	w597
derer	w598
Musel	w599
<g/>
=
Männer	w601
<g/>
/
oder	w603
Recht	w604
<g/>
=
Gläubigen	w606
auf	w607
den	w608
alten	w609
Fuß	w610
wieder	w611
herzu=stellen	w612
<g/>
=
<g/>
/
und	w615
ihr	w616
den	w617
Glantz	w618
wieder	w619
zu	w620
geben	w621
<g/>
/
den	w623
die	w624
recht	w625
<g/>
=
gläubige	w627
Religion	w628
<g/>
,
durch	w630
die	w631
beständigen	w632
Neuerungen	w633
derer	w634
Ottomanni=schen	w635
<g/>
=
Gesetz	w637
<g/>
=
Lehrer	w639
<g/>
/
verloren	w641
hat	w642
<g/>
.
Ew	w644
<g/>
.
Hoheit	w646
dörften	w647
versichert	w648
seyn	w649
<g/>
/
daß	w651
ich	w652
keine	w653
andere	w654
Absicht	w655
habe	w656
<g/>
/
als	w658
das	w659
Wohlseyn	w660
un=sers	w661
<g/>
=
Glaubens	w663
<g/>
/
und	w665
die	w666
Aufrichtigkeit	w667
mei meiner	w668
<g/>
=
</p>
<p id="p10">
ner	w672
Meinungen	w673
<g/>
/
können	w675
Ew	w676
<g/>
.
Hoheit	w678
unter	w679
andern	w680
auch	w681
aus	w682
der	w683
Nicht	w684
<g/>
=
Verfolgung	w686
mei=ner	w687
<g/>
=
Siege	w689
wider	w690
sie	w691
erkennen	w692
<g/>
.
Sie	w694
wissen	w695
wohl	w696
<g/>
/
daß	w698
ich	w699
Hamadan	w700
und	w701
einige	w702
an=dere	w703
<g/>
=
Oerter	w705
hätte	w706
wieder	w707
wegnehmen	w708
kön=nen	w709
<g/>
=
<g/>
/
ich	w712
habe	w713
es	w714
aber	w715
nicht	w716
thun	w717
wollen	w718
<g/>
/
bloß	w720
aus	w721
Erwegung	w722
für	w723
Völker	w724
<g/>
/
die	w726
mit	w727
mir	w728
einen	w729
Glauben	w730
bekennen	w731
<g/>
;
und	w733
ich	w734
ha=be	w735
<g/>
=
meine	w737
Waffen	w738
allein	w739
zu	w740
einer	w741
Beschü=tzung	w742
<g/>
=
gebrauchet	w744
<g/>
/
an	w746
statt	w747
<g/>
/
daß	w749
ich	w750
mich	w751
dererselben	w752
<g/>
/
zur	w754
Beleidigung	w755
derer	w756
<g/>
/
die	w758
mich	w759
anfielen	w760
hätte	w761
bedienen	w762
können	w763
<g/>
.
Die=ses	w765
<g/>
=
ist	w767
<g/>
/
was	w769
ich	w770
Ew	w771
<g/>
.
Hoheit	w773
habe	w774
wollen	w775
kund	w776
thun	w777
<g/>
/
ihnen	w779
zugleich	w780
erklären	w781
<g/>
/
daß	w783
<g/>
/
daferne	w785
mehr	w786
Blut	w787
von	w788
denen	w789
Musul	w790
<g/>
=
Män=nern	w792
<g/>
=
möchte	w794
vergossen	w795
werden	w796
<g/>
/
Ew	w798
<g/>
.
Ho=heit	w800
<g/>
=
sich	w802
solches	w803
selbst	w804
danken	w805
müssen	w806
<g/>
.
</p>
<head id="hl3">
Madrid	w808
14	w809
<g/>
.
October	w811
<g/>
.
</head>
<p id="p11">
Sowol	w813
der	w814
Abt	w815
von	w816
Mongon	w817
<g/>
/
als	w819
der	w820
Graf	w821
von	w822
Rohtenburg	w823
<g/>
/
haben	w825
zu	w826
Ende	w827
der	w828
vorigen	w829
Woche	w830
bey	w831
dem	w832
König	w833
zu	w834
S	w835
<g/>
.
Ildefon-se	w837
<g/>
-
besondere	w839
Audientz	w840
gehabt	w841
<g/>
/
und	w843
der	w844
Erste	w845
schicket	w846
an	w847
dem	w848
Samstag	w849
Abends	w850
<g/>
/
nachdeme	w852
er	w853
mit	w854
dem	w855
Marquis	w856
de	w857
la	w858
Paz	w859
eine	w860
lange	w861
Unterredung	w862
gehabet	w863
<g/>
/
einen	w865
ausserordentlicher	w866
Courier	w867
nach	w868
dem	w869
Frantzösischen	w870
Hofe	w871
ab	w872
<g/>
.
Der	w874
Printz	w875
von	w876
Asturien	w877
ist	w878
von	w879
einem	w880
ge=habten	w881
<g/>
=
starken	w883
Fluß	w884
in	w885
denen	w886
Augen	w887
voll=kommen	w888
<g/>
=
hergestellet	w890
<g/>
.
Der	w892
König	w893
hat	w894
den	w895
Orden	w896
des	w897
goldenen	w898
Vlieses	w899
dem	w900
Feld	w901
<g/>
=
Marschallen	w903
<g/>
/
Herrn	w905
Evoli	w906
<g/>
/
einem	w908
Neapoli=taner	w909
<g/>
=
<g/>
/
gegeben	w912
<g/>
.
So	w914
haben	w915
auch	w916
Se	w917
Ca=tholische	w918
<g/>
=
Majestät	w920
nunmehro	w921
dero	w922
ausseror=dentlichen	w923
<g/>
=
Bottschafter	w925
an	w926
dem	w927
Kaiserl	w928
<g/>
.
Hofe	w930
<g/>
/
Herrn	w932
Hertzogen	w933
von	w934
Bournonville	w935
<g/>
/
offent=lich	w937
<g/>
=
zu	w939
dero	w940
Ersten	w941
Bevollmächtigten	w942
auf	w943
dem	w944
Friedens	w945
<g/>
=
Congreß	w947
zu	w948
Cammerich	w949
decla-riret	w950
<g/>
-
<g/>
;
und	w953
den	w954
Printzen	w955
von	w956
Craon	w957
<g/>
/
zu	w959
einem	w960
Grand	w961
von	w962
Spanien	w963
des	w964
Ersten	w965
Rangs	w966
<g/>
/
nicht	w968
nur	w969
für	w970
ihn	w971
<g/>
/
sondern	w973
auch	w974
seine	w975
Nachkömm=linge	w976
<g/>
=
<g/>
/
gemachet	w979
<g/>
.
Sie	w981
haben	w982
auch	w983
verschiede=ne	w984
<g/>
=
Corregidor	w986
-Stellen	w987
vergeben	w988
<g/>
;
und	w990
Don	w991
Antonio	w992
Alvarez	w993
de	w994
Bohorques	w995
noch	w996
für	w997
3	w998
<g/>
.
Jahre	w1000
in	w1001
seinem	w1002
Gouvernement	w1003
von	w1004
Cadix	w1005
bestättiget	w1006
<g/>
.
</p>
<p id="p12">
Seine	w1008
Majestät	w1009
vergaben	w1010
kürtzlich	w1011
ver=schiedene	w1012
<g/>
=
Commenthur	w1014
-Stellen	w1015
<g/>
/
als	w1017
in	w1018
dem	w1019
Militarischen	w1020
Orden	w1021
von	w1022
St	w1023
<g/>
.
Jacob	w1025
<g/>
/
die	w1027
von	w1028
Bienvenida	w1029
dem	w1030
Brigadier	w1031
Don	w1032
Joseph	w1033
de	w1034
Cordoua	w1035
und	w1036
Alagon	w1037
<g/>
;
die	w1039
von	w1040
Beas	w1041
dem	w1042
Brigadier	w1043
Don	w1044
Lucas	w1045
Patiño	w1046
<g/>
;
die	w1048
von	w1049
Ca-stroverde	w1050
<g/>
-
dem	w1052
Obrist	w1053
<g/>
=
Wacht	w1055
<g/>
=
Meister	w1057
Don	w1058
</p>
<p id="p13">
Juan	w1059
de	w1060
Castro	w1061
<g/>
;
die	w1063
von	w1064
Puebla	w1065
de	w1066
San-che	w1067
<g/>
-
Perez	w1069
dem	w1070
Capitain	w1071
Don	w1072
Joseph	w1073
de	w1074
Ca-stro	w1075
<g/>
-
<g/>
;
die	w1078
von	w1079
Fradel	w1080
dem	w1081
Capitain	w1082
Don	w1083
Frantz	w1084
de	w1085
Alcedor	w1086
<g/>
.
Jn	w1088
dem	w1089
Orden	w1090
von	w1091
Ca-latrava	w1092
<g/>
-
die	w1094
Commenthur	w1095
von	w1096
Bei	w1097
<g/>
,
und	w1099
Castel	w1100
de	w1101
Castelli	w1102
dem	w1103
Feld	w1104
<g/>
=
Marschall	w1106
Don	w1107
Hieronymo	w1108
de	w1109
Solis	w1110
und	w1111
Gante	w1112
<g/>
;
die	w1114
von	w1115
Mestanza	w1116
dem	w1117
Brigadier	w1118
Don	w1119
Joseph	w1120
Vin-cent	w1121
<g/>
-
Fuenbuena	w1123
<g/>
;
die	w1125
von	w1126
Gaudalerza	w1127
dem	w1128
Don	w1129
Michael	w1130
Riggio	w1131
See	w1132
Admiralen	w1133
deren	w1134
Kriegs	w1135
<g/>
=
Schiffen	w1137
<g/>
;
die	w1139
von	w1140
Ximena	w1141
dem	w1142
Obrist	w1143
Leutenant	w1144
Don	w1145
Alvaro	w1146
Carillo	w1147
<g/>
.
Jn	w1149
dem	w1150
Orden	w1151
von	w1152
Alcantara	w1153
die	w1154
Stelle	w1155
von	w1156
Portugalesa	w1157
dem	w1158
Obristen	w1159
Don	w1160
Frantz	w1161
Gri-maldi	w1162
<g/>
-
<g/>
.
Jn	w1165
dem	w1166
Orden	w1167
von	w1168
Montesa	w1169
die	w1170
von	w1171
Perpuchent	w1172
dem	w1173
Feld	w1174
<g/>
=
Marschall	w1176
Mar-ches	w1177
<g/>
-
von	w1179
Porto	w1180
<g/>
-
Blanco	w1182
die	w1183
von	w1184
Honda	w1185
dem	w1186
Brigadier	w1187
Don	w1188
Eustachio	w1189
de	w1190
la	w1191
Vieuf-ville	w1192
<g/>
-
<g/>
;
die	w1195
von	w1196
Borriana	w1197
dem	w1198
Obrist	w1199
<g/>
=
Leute=nant	w1201
<g/>
=
Don	w1203
Joachim	w1204
von	w1205
Monserrat	w1206
<g/>
.
Der	w1208
König	w1209
hat	w1210
auch	w1211
die	w1212
Intendenten	w1213
Stelle	w1214
des	w1215
Königreichs	w1216
<g/>
/
und	w1218
deren	w1219
Truppen	w1220
von	w1221
Va-lenz	w1222
<g/>
-
dem	w1224
Don	w1225
Frantz	w1226
Salvador	w1227
de	w1228
Pineda	w1229
<g/>
,
und	w1231
die	w1232
von	w1233
der	w1234
Jnsul	w1235
Majorica	w1236
dem	w1237
Don	w1238
Anton	w1239
de	w1240
Horbegoso	w1241
und	w1242
Landaeta	w1243
ertheilet	w1244
<g/>
.
</p>
<head id="hl4">
Neapel	w1246
21	w1247
<g/>
.
October	w1249
<g/>
.
</head>
<p id="p14">
Man	w1251
ist	w1252
alhier	w1253
mit	w1254
Verbesserung	w1255
deren	w1256
durch	w1257
jüngstgemeldetes	w1258
Ungewitter	w1259
beschä=digten	w1260
<g/>
=
Oertern	w1262
sehr	w1263
beschäftiget	w1264
<g/>
/
und	w1266
arbei=ten	w1267
<g/>
=
schon	w1269
seit	w1270
einigen	w1271
Tagen	w1272
600	w1273
<g/>
.
Galeot=ten	w1275
<g/>
=
an	w1277
Wegführung	w1278
der	w1279
Erden	w1280
<g/>
/
mit	w1282
welcher	w1283
alle	w1284
niedrige	w1285
Oerter	w1286
dieser	w1287
Stadt	w1288
durch	w1289
die	w1290
Uberschwemmung	w1291
des	w1292
Wassers	w1293
gefüllet	w1294
wor=den	w1295
<g/>
=
<g/>
/
und	w1298
ist	w1299
es	w1300
unmöglich	w1301
zu	w1302
beschreiben	w1303
<g/>
/
was	w1305
für	w1306
eine	w1307
grausame	w1308
Menge	w1309
es	w1310
überall	w1311
gelassen	w1312
<g/>
.
</p>
<p id="p15">
Freitag	w1314
<g/>
/
und	w1316
Samstag	w1317
Abends	w1318
sahe	w1319
man	w1320
in	w1321
der	w1322
Gegend	w1323
von	w1324
S	w1325
<g/>
.
Lucia	w1327
einen	w1328
grossen	w1329
feurigen	w1330
Balken	w1331
in	w1332
der	w1333
Luft	w1334
<g/>
/
und	w1336
wurde	w1337
de=rowegen	w1338
<g/>
=
Sonntags	w1340
darauf	w1341
eine	w1342
Procession	w1343
in	w1344
die	w1345
Carmeliter	w1346
<g/>
=
Kirchen	w1348
zu	w1349
dem	w1350
aldasigen	w1351
wunderthätigen	w1352
Heil	w1353
<g/>
.
Creutz	w1355
<g/>
/
welches	w1357
man	w1358
selbigen	w1359
Tages	w1360
abdekte	w1361
<g/>
/
um	w1363
die	w1364
Befreyung	w1365
einer	w1366
durch	w1367
dieses	w1368
Zeichen	w1369
vielleicht	w1370
von	w1371
Gott	w1372
androhenden	w1373
Straffe	w1374
angestellet	w1375
<g/>
;
und	w1377
man	w1378
sahe	w1379
in	w1380
der	w1381
Wahrheit	w1382
denselben	w1383
Abend	w1384
<g/>
/
wie	w1386
auch	w1387
die	w1388
folgende	w1389
nichts	w1390
mehr	w1391
<g/>
/
welches	w1393
alle	w1394
Jnwohner	w1395
sehr	w1396
erfreuete	w1397
<g/>
.
</p>
<p id="p16">
Ein	w1399
Printz	w1400
aus	w1401
Sachsen	w1402
<g/>
/
welcher	w1404
alhier	w1405
eine	w1406
Compagnie	w1407
Granadierer	w1408
aufrichtet	w1409
<g/>
/
hat	w1411
dieser	w1412
Tagen	w1413
alhier	w1414
den	w1415
Catholischen	w1416
Glau Glauben	w1417
<g/>
=
</p>
<p id="p17">
ben	w1420
angenommen	w1421
<g/>
/
und	w1423
seine	w1424
Glaubens	w1425
<g/>
=
Be=kanntnuß	w1427
<g/>
=
in	w1429
denen	w1430
Händen	w1431
Jhrer	w1432
Eminentz	w1433
des	w1434
hiesigen	w1435
Ertz	w1436
<g/>
=
Bischoffen	w1438
<g/>
/
und	w1440
Jhrer	w1441
E=minentz	w1442
<g/>
=
unsers	w1444
Herrn	w1445
Vice	w1446
-Königs	w1447
in	w1448
dem	w1449
Königl	w1450
<g/>
.
Closter	w1452
von	w1453
St	w1454
<g/>
.
Ludwig	w1456
abgeleget	w1457
<g/>
.
</p>
<p id="p18">
Mittwoch	w1459
<g/>
/
den	w1461
1sten	w1462
dieses	w1463
<g/>
/
als	w1465
an	w1466
dem	w1467
glor=reichen	w1468
<g/>
=
Geburts	w1470
<g/>
=
Tage	w1472
Jhrer	w1473
Kaiserl	w1474
<g/>
.
Ma=jestät	w1476
<g/>
=
vergaben	w1478
Seine	w1479
Eminentz	w1480
der	w1481
alhiesi=ge	w1482
<g/>
=
Vice	w1484
<g/>
-
König	w1486
folgende	w1487
Gubernators	w1488
Stel=len	w1489
<g/>
=
<g/>
:
als	w1492
nemlichen	w1493
die	w1494
</p>
<list id="">
Von	w1495
Salerno	w1496
dem	w1497
Baron	w1498
von	w1499
Abschatz	w1500
<g/>
.
Von	w1502
Barletta	w1503
dem	w1504
Grafen	w1505
D	w1506
<g/>
.
Johann	w1508
Si-ropolo	w1509
<g/>
-
<g/>
.
Von	w1512
Brindisi	w1513
dem	w1514
D	w1515
<g/>
.
Balthasar	w1517
de	w1518
Torres	w1519
<g/>
.
Von	w1521
Aversa	w1522
dem	w1523
D	w1524
<g/>
.
Apostolo	w1526
Filomarino	w1527
<g/>
.
Von	w1529
Nola	w1530
dem	w1531
Marchesen	w1532
Pisanelli	w1533
<g/>
.
Von	w1535
Teramo	w1536
dem	w1537
D	w1538
<g/>
.
Ferdinand	w1540
Villarool	w1541
<g/>
.
Von	w1543
Scala	w1544
<g/>
,
und	w1546
Ravello	w1547
dem	w1548
D	w1549
<g/>
.
Matheo	w1551
Corregio	w1552
<g/>
.
Von	w1554
Aquila	w1555
dem	w1556
D	w1557
<g/>
.
Frantz	w1559
Mazzacane	w1560
<g/>
.
Von	w1562
Lucera	w1563
dem	w1564
D	w1565
<g/>
.
Nicolas	w1567
Ponze	w1568
<g/>
.
Von	w1570
Capri	w1571
dem	w1572
D	w1573
<g/>
.
Januario	w1575
Pace	w1576
<g/>
,
bestät=tiget	w1578
<g/>
=
<g/>
.
Von	w1581
S	w1582
<g/>
.
Agatha	w1584
di	w1585
Reggio	w1586
dem	w1587
D	w1588
<g/>
.
Thomas	w1590
Torrentores	w1591
<g/>
.
Von	w1593
Manfredonia	w1594
dem	w1595
D	w1596
<g/>
.
Philippo	w1598
Cas-siano	w1599
<g/>
-
de	w1601
Silva	w1602
<g/>
,
bestättiget	w1604
<g/>
.
Von	w1606
Matera	w1607
dem	w1608
D	w1609
<g/>
.
Josepho	w1611
Ponzi	w1612
<g/>
.
Von	w1614
Amalfi	w1615
dem	w1616
Bisconte	w1617
von	w1618
S	w1619
<g/>
.
Maria	w1621
<g/>
.
Von	w1623
Gaeta	w1624
dem	w1625
D	w1626
<g/>
.
Dominico	w1628
Antonio	w1629
A-vallone	w1630
<g/>
-
<g/>
.
Von	w1633
Chieti	w1634
dem	w1635
D	w1636
Joseph	w1637
Gataleta	w1638
<g/>
.
Von	w1640
Nereto	w1641
dem	w1642
D	w1643
<g/>
.
Joseph	w1645
Alferi	w1646
<g/>
.
Von	w1648
Otranto	w1649
dem	w1650
D	w1651
<g/>
.
Nicolao	w1653
Gonzalez	w1654
Navarro	w1655
<g/>
.
Von	w1657
Lettere	w1658
dem	w1659
D	w1660
<g/>
.
Joseph	w1662
de	w1663
Rosa	w1664
<g/>
.
Von	w1666
Modugno	w1667
dem	w1668
Ignatio	w1669
Viva	w1670
<g/>
.
Von	w1672
Monopoli	w1673
dem	w1674
D	w1675
<g/>
.
Nicolas	w1677
Maria	w1678
Faberi	w1679
<g/>
.
Und	w1681
die	w1682
von	w1683
Taranto	w1684
dem	w1685
D	w1686
<g/>
.
Januario	w1688
Pisacane	w1689
<g/>
.
</list>
<head id="hl5">
Rom	w1691
25	w1692
<g/>
.
October	w1694
<g/>
.
</head>
<p id="p19">
Sonntags	w1696
vor	w1697
<g/>
=
Mittag	w1699
liesse	w1700
Jhre	w1701
Emi=nentz	w1702
<g/>
=
der	w1704
Cardinal	w1705
Lercari	w1706
<g/>
,
Staats	w1708
<g/>
=
Secre-tarius	w1710
<g/>
-
<g/>
,
dem	w1713
Cardinal	w1714
Laurentio	w1715
Altieri	w1716
mel=den	w1717
<g/>
=
<g/>
/
daß	w1720
Jhre	w1721
Päpstl	w1722
<g/>
.
Heiligkeit	w1724
auf	w1725
dero	w1726
Reise	w1727
nach	w1728
Viterbo	w1729
<g/>
,
welche	w1731
nunmehr	w1732
den	w1733
6sten	w1734
künftigen	w1735
Monats	w1736
fest	w1737
gestellet	w1738
<g/>
/
in	w1740
sei=ner	w1741
<g/>
=
Abtey	w1743
von	w1744
Monterosi	w1745
so	w1746
wol	w1747
in	w1748
der	w1749
Hin=als	w1750
<g/>
=
in	w1752
der	w1753
Zuruk	w1754
<g/>
=
Reise	w1756
übernachten	w1757
wolle	w1758
<g/>
.
Eben	w1760
selben	w1761
Tage	w1762
schikte	w1763
Jhre	w1764
Heiligkeit	w1765
ei=nen	w1766
<g/>
=
Commissarium	w1768
nach	w1769
gedachtes	w1770
Viterbo	w1771
<g/>
,
</p>
<p id="p20">
um	w1773
alles	w1774
zu	w1775
seiner	w1776
Ankunft	w1777
aldorten	w1778
zuzu=richten	w1779
<g/>
=
<g/>
.
Man	w1782
sagt	w1783
<g/>
/
Jhre	w1785
Heiligkeit	w1786
werden	w1787
von	w1788
dorten	w1789
noch	w1790
nacher	w1791
Bolognien	w1792
<g/>
,
und	w1794
vielleicht	w1795
auch	w1796
in	w1797
andere	w1798
Städte	w1799
von	w1800
Welsch=land	w1801
<g/>
=
gehen	w1803
<g/>
.
</p>
<p id="p21">
Vor	w1805
etlichen	w1806
Tagen	w1807
bemüheten	w1808
sich	w1809
etliche	w1810
Cardinäle	w1811
Jhrer	w1812
Heiligkeit	w1813
ermeldte	w1814
Reise	w1815
zu	w1816
widerrahten	w1817
<g/>
/
allein	w1819
Jhre	w1820
Heiligkeit	w1821
ant=wortet	w1822
<g/>
=
<g/>
/
daß	w1825
gleichwie	w1826
Calixus	w1827
II	w1828
<g/>
.
sich	w1830
nach	w1831
Monterasino	w1832
um	w1833
alda	w1834
einen	w1835
Altar	w1836
zu	w1837
weihen	w1838
verfüget	w1839
<g/>
/
also	w1841
wolte	w1842
er	w1843
sich	w1844
auch	w1845
nach	w1846
Vi-terbo	w1847
<g/>
-
um	w1849
alda	w1850
Jhre	w1851
Durchl	w1852
<g/>
.
den	w1854
Chur	w1855
Für=sten	w1856
<g/>
=
von	w1858
Cölln	w1859
zu	w1860
weihen	w1861
begeben	w1862
<g/>
.
Es	w1864
wer=den	w1865
<g/>
=
unterschiedliche	w1867
Heiligtümer	w1868
<g/>
/
und	w1870
Re-liquien	w1871
<g/>
-
<g/>
/
besagte	w1874
Jhre	w1875
Durchl	w1876
<g/>
.
damit	w1878
zu	w1879
be=schenken	w1880
<g/>
=
<g/>
/
reichlich	w1883
eingefasset	w1884
<g/>
.
</p>
<p id="p22">
Sonntags	w1886
vor	w1887
