<doc id="edoc_wd_1776-06-01" attrs="word" year="1776" month="06" day="01" corpus="1">
<head id="hl1">
Lisabon	w39
York	w183
mit	w184
frischen	w185
Nachrichten	w186
angekommen	w187
sey	w188
<g/>
.
Seitdem	w190
verbreitet	w191
sich	w192
das	w193
Gerücht	w194
</p>
<p id="p8">
Quebek	w195
habe	w196
sich	w197
am	w198
4	w199
<g/>
.
April	w201
an	w202
die	w203
Provincialisten	w204
ergeben	w205
<g/>
.
Auf	w207
einer	w208
an andern	w209
<g/>
=
</p>
<p id="p9">
dern	w211
Seite	w212
sagt	w213
man	w214
<g/>
,
drey	w216
von	w217
den	w218
verbundenen	w219
Kolonien	w220
hätten	w221
sich	w222
wider	w223
die	w224
Unabhängigkeit	w225
erklärt	w226
<g/>
,
welches	w228
bey	w229
dem	w230
Generalkongresse	w231
starke	w232
Wortwechsel	w233
veranlaßt	w234
hatte	w235
<g/>
.
</p>
<head id="hl3">
Carlotown	w237
in	w238
Südkarolina	w239
den	w240
12	w241
<g/>
.
März	w243
<g/>
.
</head>
<p id="p10">
Gestern	w245
war	w246
auf	w247
hiesiger	w248
Seehöhe	w249
zwi=schen	w250
<g/>
=
einer	w252
Engländischen	w253
Fregatte	w254
<g/>
,
und	w256
zweyen	w257
ausländischen	w258
Schiffen	w259
<g/>
,
von	w261
20	w262
Kanonen	w263
jedes	w264
<g/>
,
derer	w266
Ladung	w267
für	w268
die	w269
Armee	w270
der	w271
Provinzialisten	w272
bestimmet	w273
seyn	w274
sollte	w275
<g/>
,
ein	w277
lebhaftes	w278
Gefecht	w279
<g/>
.
Der	w281
Ka=pitain	w282
<g/>
=
von	w284
der	w285
Englischen	w286
Fregatte	w287
drang	w288
darauf	w289
<g/>
,
daß	w291
besagte	w292
Schiffe	w293
sich	w294
durch=suchen	w295
<g/>
=
lassen	w297
sollten	w298
<g/>
.
Diese	w300
weigerten	w301
sich	w302
<g/>
;
hierauf	w304
folgte	w305
der	w306
Angrif	w307
<g/>
,
und	w309
<g/>
,
nach	w311
einen	w312
anderthalbstündigen	w313
Kampfe	w314
<g/>
,
hatte	w316
der	w317
Engländer	w318
seinen	w319
Gegnern	w320
die	w321
Mäste	w322
in	w323
Stücke	w324
geschossen	w325
<g/>
,
worauf	w327
die	w328
beyden	w329
Schiffe	w330
erobert	w331
<g/>
,
und	w333
ihre	w334
Ladung	w335
ausgesetzt	w336
wurde	w337
<g/>
.
</p>
<head id="hl4">
Neapel	w339
den	w340
14	w341
May	w342
<g/>
.
</head>
<p id="p11">
Der	w344
Oberststallmeister	w345
der	w346
Königinn	w347
<g/>
,
Fürst	w349
von	w350
Santobuono	w351
ist	w352
mit	w353
seiner	w354
Ge=mahlinn	w355
<g/>
=
von	w357
Rom	w358
wieder	w359
zurückgekommen	w360
<g/>
.
</p>
<p id="p12">
Auch	w362
ist	w363
der	w364
junge	w365
Hr	w366
<g/>
.
Graf	w368
von	w369
Ba=thiany	w370
<g/>
=
<g/>
,
in	w373
Gesellschaft	w374
des	w375
Barons	w376
von	w377
Lilienegg	w378
hier	w379
angelangt	w380
<g/>
.
Die	w382
Frau	w383
Für=stinn	w384
<g/>
=
von	w386
Bathia	w387
u	w388
y	w389
befindet	w390
sich	w391
von	w392
ihrer	w393
Unpäßlichkeit	w394
gänzlich	w395
wider	w396
hergestellet	w397
<g/>
,
und	w399
wird	w400
nächstens	w401
mit	w402
der	w403
Frau	w404
Grä=finn	w405
<g/>
=
von	w407
Windischgrätz	w408
<g/>
,
Jhrer	w410
Tochter	w411
<g/>
,
die	w413
Reise	w414
antretten	w415
<g/>
,
um	w417
Jhrer	w418
kön	w419
<g/>
.
Ho=heit	w421
<g/>
=
der	w423
Erzherzoginn	w424
Maria	w425
Christina	w426
zu	w427
folgen	w428
<g/>
.
</p>
<p id="p13">
Gestern	w430
als	w431
am	w432
höchsten	w433
Geburtsfeste	w434
Jhrer	w435
Maj	w436
<g/>
.
der	w438
Kaiserinn	w439
Königinn	w440
war	w441
bey	w442
Hofe	w443
große	w444
Gala	w445
<g/>
,
Abends	w447
aber	w448
Ballfest	w449
im	w450
Pallast	w451
<g/>
,
wozu	w453
der	w454
sämmtliche	w455
hohe	w456
Adel	w457
beyderley	w458
Geschlechts	w459
eingela=den	w460
<g/>
=
worden	w462
<g/>
.
</p>
<p id="p14">
Heute	w464
sind	w465
beede	w466
kön	w467
<g/>
.
Maj	w469
<g/>
.
am	w471
Bord	w472
der	w473
kön	w474
<g/>
.
Schebecken	w476
nach	w477
Castell'	w478
a	w479
Mare	w480
abgegangen	w481
<g/>
,
um	w483
daselbst	w484
die	w485
Jagd	w486
<g/>
=
und	w488
Fi=schereybelustigungen	w489
<g/>
=
zu	w491
genießen	w492
<g/>
.
Abends	w494
gibt	w495
der	w496
hiesige	w497
venetianische	w498
Minister	w499
in	w500
</p>
<p id="p15">
seinem	w501
Landhause	w502
zu	w503
Torre	w504
del	w505
Greco	w506
<g/>
,
seinen	w508
aus	w509
Venedig	w510
angekommenen	w511
vor=nehmen	w512
<g/>
=
Gästen	w514
zu	w515
Ehren	w516
Ball	w517
<g/>
.
</p>
<head id="hl5">
Rom	w519
den	w520
15	w521
May	w522
<g/>
.
</head>
<p id="p16">
Se	w524
<g/>
.
Heiligkeit	w526
haben	w527
dem	w528
Generalvikar	w529
des	w530
Kirchensprengels	w531
von	w532
Capua	w533
<g/>
.
D	w535
<g/>
.
Silvio	w537
di	w538
Gennaro	w539
<g/>
,
die	w541
bischöflichen	w542
Kir=che	w543
<g/>
=
von	w545
Minervino	w546
zu	w547
ertheilen	w548
geruhet	w549
<g/>
.
</p>
<p id="p17">
Das	w551
geheime	w552
Konsistorium	w553
bleibt	w554
auf	w555
den	w556
20ten	w557
dieses	w558
fest	w559
gesetzt	w560
<g/>
,
und	w562
man	w563
hält	w564
insgemein	w565
dafür	w566
<g/>
,
daß	w568
die	w569
Prälaten	w570
Archinto	w571
<g/>
,
Calcagnint	w573
<g/>
,
Valenti	w575
<g/>
,
und	w577
Du=rini	w578
<g/>
=
zu	w580
Kardinälen	w581
dörften	w582
erkläret	w583
wer=den	w584
<g/>
=
<g/>
.
</p>
<p id="p18">
Monsignor	w587
Herzan	w588
hat	w589
auf	w590
Befehl	w591
Jh=rer	w592
<g/>
=
königl	w594
<g/>
.
Hoheit	w596
der	w597
Erzherzoginn	w598
Ma=ria	w599
<g/>
=
Christina	w601
dem	w602
päbstl	w603
<g/>
.
Schatzmeister	w605
<g/>
,
Präläten	w607
Pallotta	w608
<g/>
,
eine	w610
prächtige	w611
Dose	w612
zugestellt	w613
<g/>
.
</p>
<p id="p19">
Jn	w615
der	w616
Nähe	w617
des	w618
Havens	w619
von	w620
Ostia	w621
sind	w622
aus	w623
dem	w624
Tyber	w625
2	w626
sehr	w627
schöne	w628
Mar=morsteinerne	w629
<g/>
=
denen	w631
<g/>
,
und	w633
sonst	w634
verschie=dene	w635
<g/>
=
schäzbare	w637
Ueberbleibsel	w638
des	w639
Alter=thums	w640
<g/>
=
ausgegraben	w642
worden	w643
<g/>
.
</p>
<p id="p20">
Der	w645
Fürst	w646
Aldobrandini	w647
gab	w648
in	w649
seinem	w650
Lustschlosse	w651
zu	w652
Palo	w653
dem	w654
Herrn	w655
Herzog	w656
von	w657
Glocester	w658
ein	w659
überaus	w660
prächtiges	w661
Mittagmahl	w662
<g/>
.
</p>
<head id="hl6">
Genua	w664
den	w665
15	w666
May	w667
<g/>
.
</head>
<p id="p21">
Am	w669
4ten	w670
hatte	w671
sich	w672
die	w673
Frau	w674
Herzo=ginn	w675
<g/>
=
von	w677
Chartres	w678
zu	w679
Antibes	w680
eingeschif=fet	w681
<g/>
=
<g/>
.
Jhr	w684
Gefolge	w685
<g/>
,
und	w687
sämtliches	w688
Ge=päcke	w689
<g/>
=
befand	w691
sich	w692
auf	w693
2	w694
Feluquen	w695
<g/>
,
unter	w697
Bedeckung	w698
von	w699
50	w700
Soldaten	w701
<g/>
.
</p>
<p id="p22">
Als	w703
sie	w704
den	w705
Haven	w706
verließ	w707
<g/>
,
ward	w709
ihr	w710
zu	w711
Ehren	w712
die	w713
ganze	w714
Artillerie	w715
der	w716
Festung	w717
gelöset	w718
<g/>
.
Sie	w720
konnte	w721
aber	w722
wegen	w723
Unge=stümme	w724
<g/>
=
des	w726
Meeres	w727
nicht	w728
weiter	w729
<g/>
,
als	w731
bis	w732
nach	w733
Limpia	w734
kommen	w735
<g/>
,
woselbst	w737
sie	w738
so=gleich	w739
<g/>
=
ans	w741
Land	w742
stieg	w743
<g/>
,
und	w745
den	w746
Weeg	w747
landwärts	w748
nach	w749
Nizza	w750
fortsetzte	w751
<g/>
,
um	w753
sich	w754
nicht	w755
ferners	w756
dem	w757
Eigensinne	w758
der	w759
Wellen	w760
auszusetzen	w761
<g/>
.
Wegen	w763
mehrerer	w764
Bequem=lichkeit	w765
<g/>
=
ließ	w767
sie	w768
sich	w769
in	w770
einer	w771
Senfte	w772
über	w773
die	w774
steilen	w775
Gebirge	w776
bringen	w777
<g/>
,
und	w779
als	w780
sie	w781
zu	w782
Voltri	w783
angelangt	w784
war	w785
<g/>
,
kam	w787
ihr	w788
der	w789
königl	w790
<g/>
.
französische	w792
Minister	w793
bey	w794
hiesiger	w795
Republick	w796
<g/>
,
Ritter	w798
Boyer	w799
<g/>
,
entgegen	w801
<g/>
,
in	w803
dessen	w804
Kutsche	w805
sie	w806
hier	w807
anlangte	w808
<g/>
,
und	w810
in	w811
</p>
<p id="p23">
seinem	w812
Pallaste	w813
abzusteigen	w814
beliebte	w815
<g/>
,
wo=selbst	w817
<g/>
=
ihr	w819
bereits	w820
unser	w821
ganzer	w822
Adel	w823
die	w824
Aufwartung	w825
gemacht	w826
hat	w827
<g/>
.
</p>
<p id="p24">
Aus	w829
Barcellona	w830
vernimmt	w831
man	w832
<g/>
,
daß	w834
in	w835
der	w836
Nacht	w837
zwischen	w838
den	w839
23ten	w840
und	w841
24ten	w842
des	w843
vorigen	w844
Monats	w845
ein	w846
entseyz=licher	w847
<g/>
=
Sturm	w849
daselbst	w850
entstanden	w851
sey	w852
<g/>
,
wodurch	w854
zwey	w855
Schiffe	w856
zu	w857
Grunde	w858
gegan=gen	w859
<g/>
=
<g/>
,
und	w862
viele	w863
andere	w864
beschädiget	w865
worden	w866
sind	w867
<g/>
.
</p>
<p id="p25">
Der	w869
Turiner	w870
Hof	w871
<g/>
,
welcher	w873
sich	w874
derma=len	w875
<g/>
=
auf	w877
dem	w878
Lustschlosse	w879
<g/>
,
alla	w881
Veneria	w882
aufhält	w883
<g/>
,
und	w885
allda	w886
die	w887
Annehmlichkeiten	w888
des	w889
Frühlings	w890
genießen	w891
will	w892
<g/>
,
läßt	w894
sich	w895
immer	w896
angelegen	w897
seyn	w898
<g/>
,
bey	w900
seinen	w901
Trup=pen	w902
<g/>
=
die	w904
schönste	w905
Ordnung	w906
<g/>
,
und	w908
die	w909
beßte	w910
Mannszucht	w911
einzuführen	w912
<g/>
.
Bey	w914
der	w915
Ka=vallerie	w916
<g/>
=
ist	w918
eine	w919
ansehnliche	w920
Beförderung	w921
vorgenommen	w922
<g/>
,
die	w924
Befehlshaberstellen	w925
in	w926
den	w927
wichtigeren	w928
Plätzen	w929
aber	w930
solchen	w931
Offi=cieren	w932
<g/>
=
anvertrauet	w934
worden	w935
<g/>
,
die	w937
sich	w938
in	w939
langwührigen	w940
Diensten	w941
durch	w942
Geschicklich=keit	w943
<g/>
=
<g/>
,
und	w946
Muth	w947
vorzüglig	w948
ausgezeichnet	w949
haben	w950
</p>
<p id="p26">
Man	w951
hat	w952
vorläufige	w953
Briefe	w954
aus	w955
Mal=tha	w956
<g/>
=
des	w958
jammervollen	w959
Jnnhalts	w960
<g/>
,
daß	w962
durch	w963
ein	w964
vor	w965
kurzem	w966
daselbst	w967
entstan=denes	w968
<g/>
=
gräuliches	w970
Erdbeben	w971
beynahe	w972
die	w973
ganze	w974
Jnsel	w975
zu	w976
Grunde	w977
gegangen	w978
wäre	w979
<g/>
;
Zeit	w981
und	w982
Umstände	w983
sind	w984
in	w985
der	w986
ersten	w987
Angst	w988
noch	w989
nicht	w990
genau	w991
bestimmet	w992
wor=den	w993
<g/>
=
<g/>
,
man	w996
sieht	w997
daher	w998
näheren	w999
Nachrich=ten	w1000
<g/>
=
nicht	w1002
ohne	w1003
Furcht	w1004
entgegen	w1005
<g/>
.
</p>
<p id="p27">
Daß	w1007
ein	w1008
Bruch	w1009
zwischen	w1010
den	w1011
Höfen	w1012
von	w1013
Lissabon	w1014
und	w1015
Madrid	w1016
fast	w1017
unver=meidlich	w1018
<g/>
=
sey	w1020
<g/>
,
wird	w1022
durch	w1023
verschiedene	w1024
Briefe	w1025
bestättiget	w1026
<g/>
,
die	w1028
man	w1029
aus	w1030
Spanien	w1031
und	w1032
Frankreich	w1033
erhalten	w1034
<g/>
.
Se	w1036
<g/>
.
katholische	w1038
Majestät	w1039
verlangten	w1040
von	w1041
dem	w1042
Hofe	w1043
zu	w1044
Lissabon	w1045
eine	w1046
völlige	w1047
Genugthuung	w1048
we=gen	w1049
<g/>
=
aller	w1051
der	w1052
Feindseligkeiten	w1053
<g/>
,
die	w1055
seither	w1056
von	w1057
denen	w1058
Portugiesen	w1059
in	w1060
Amerika	w1061
gegen	w1062
die	w1063
spanische	w1064
Unterthanen	w1065
verübt	w1066
wor=den	w1067
<g/>
=
<g/>
.
Die	w1070
Antwort	w1071
Sr	w1072
<g/>
.
Portugies	w1074
<g/>
.
Ma=jestät	w1076
<g/>
=
war	w1078
gar	w1079
nicht	w1080
beruhigend	w1081
<g/>
,
und	w1083
eben	w1084
dieses	w1085
veranlaßten	w1086
die	w1087
kriegerischen	w1088
Rüstungen	w1089
<g/>
,
welche	w1091
bisher	w1092
von	w1093
beyden	w1094
Mächten	w1095
vorgekehret	w1096
worden	w1097
<g/>
.
Jnzwi=schen	w1099
<g/>
=
scheinen	w1101
die	w1102
jetzigen	w1103
Conjuncturen	w1104
</p>
<p id="p28">
für	w1105
Portugall	w1106
gar	w1107
nicht	w1108
vortheilhaft	w1109
zu	w1110
seyn	w1111
<g/>
.
Die	w1113
kränklichen	w1114
Umstände	w1115
des	w1116
Kö=nigs	w1117
<g/>
=
erlauben	w1119
ihm	w1120
nicht	w1121
<g/>
,
sich	w1123
allzusehr	w1124
durch	w1125
Geschäfte	w1126
zu	w1127
ermüden	w1128
<g/>
,
und	w1130
ob	w1131
es	w1132
gleich	w1133
dem	w1134
Jnteresse	w1135
Großbritanniens	w1136
an=gemessen	w1137
<g/>
=
ist	w1139
<g/>
,
Portugall	w1141
zu	w1142
unterstützen	w1143
<g/>
,
so	w1145
ist	w1146
doch	w1147
die	w1148
Dauer	w1149
und	w1150
der	w1151
Ausgang	w1152
des	w1153
Krieges	w1154
mit	w1155
den	w1156
Colonien	w1157
so	w1158
unge=wiß	w1159
<g/>
=
<g/>
,
daß	w1162
es	w1163
gedachter	w1164
Krone	w1165
beynahe	w1166
unmöglich	w1167
seyn	w1168
dörfte	w1169
<g/>
,
ihren	w1171
Alliirten	w1172
zu	w1173
Hilfe	w1174
zu	w1175
kommen	w1176
<g/>
.
</p>
<head id="hl7">
Mantua	w1178
den	w1179
16	w1180
<g/>
.
May	w1182
<g/>
.
</head>
<p id="p29">
Nachdeme	w1184
in	w1185
Folge	w1186
der	w1187
allerhöchsten	w1188
k	w1189
<g/>
.
k	w1191
<g/>
.
Verordnung	w1193
vom	w1194
4ten	w1195
Christmonat	w1196
1773	w1197
<g/>
.
4	w1199
Getreydemärkte	w1200
zu	w1201
Castiglione	w1202
delle	w1203
Stivere	w1204
<g/>
,
Viadana	w1206
<g/>
,
Revere	w1208
<g/>
,
und	w1210
Cannetto	w1211
wie	w1212
auch	w1213
nachmals	w1214
zu	w1215
Rover=bello	w1216
<g/>
=
angelegt	w1218
worden	w1219
so	w1220
haben	w1221
nun=mehr	w1222
<g/>
=
Se	w1224
<g/>
.
königl	w1226
<g/>
.
Hoheit	w1228
der	w1229
Erzherzog	w1230
Ferdinand	w1231
auch	w1232
in	w1233
dem	w1234
Gebiete	w1235
von	w1236
Gon=zaga	w1237
<g/>
=
einen	w1239
dergleichen	w1240
Getreidemarkt	w1241
zu	w1242
verstatten	w1243
geruhet	w1244
<g/>
,
um	w1246
die	w1247
nämliche	w1248
Be=quemlichkeiten	w1249
<g/>
=
auf	w1251
die	w1252
jenseits	w1253
des	w1254
Po=fusses	w1255
<g/>
=
gelegene	w1257
Ländereyen	w1258
zu	w1259
verbrei=ten	w1260
<g/>
=
<g/>
,
und	w1263
den	w1264
Getreydehandel	w1265
der	w1266
Un=terthanen	w1267
<g/>
=
mit	w1269
den	w1270
Auswärtigen	w1271
zu	w1272
er=leichtern	w1273
<g/>
=
<g/>
.
Man	w1276
hat	w1277
daher	w1278
die	w1279
bey	w1280
den	w1281
übrigen	w1282
Märkten	w1283
eingeführte	w1284
Ordnung	w1285
daselbst	w1286
öffentlich	w1287
kund	w1288
gemacht	w1289
<g/>
,
und	w1291
nebst	w1292
der	w1293
freyen	w1294
Einfuhr	w1295
aller	w1296
Getreide=gattungen	w1297
<g/>
=
<g/>
,
auch	w1300
die	w1301
Ausfuhr	w1302
von	w1303
200	w1304
Säcken	w1305
Korn	w1306
<g/>
,
und	w1308
400	w1309
Säcken	w1310
grober	w1311
Getraydsorten	w1312
<g/>
,
oder	w1314
anderen	w1315
Mischungen	w1316
vergünstiget	w1317
<g/>
.
</p>
<head id="hl8">
Reggio	w1319
den	w1320
17	w1321
<g/>
.
May	w1323
<g/>
.
</head>
<p id="p30">
Mittwoch	w1325
gegen	w1326
Abend	w1327
langten	w1328
Se	w1329
<g/>
.
kön	w1331
Hoheit	w1332
der	w1333
Erzherzog	w1334
Ferdinand	w1335
<g/>
,
nebst	w1337
dero	w1338
durchlauchtigsten	w1339
Frau	w1340
Gemah=linn	w1341
<g/>
=
allhier	w1343
an	w1344
<g/>
,
nachdem	w1346
höchst	w1347
dieselbe	w1348
von	w1349
unserm	w1350
Herzog	w1351
<g/>
,
und	w1353
dessen	w1354
Erbprinz=zen	w1355
<g/>
=
mit	w1357
drey	w1358
Staatswägen	w1359
eingeholet	w1360
worden	w1361
<g/>
,
und	w1363
stiegen	w1364
in	w1365
dem	w1366
herzoglichen	w1367
Pallaste	w1368
ab	w1369
<g/>
,
woselbst	w1371
sie	w1372
von	w1373
der	w1374
ganzen	w1375
durchl	w1376
<g/>
.
Estensischen	w1378
Familie	w1379
auf	w1380
das	w1381
zärt=lichste	w1382
<g/>
=
bewillkommet	w1384
wurden	w1385
<g/>
.
Jn	w1387
den	w1388
Vorgemächern	w1389
hatte	w1390
sich	w1391
ein	w1392
zahlreicher	w1393
einheimischer	w1394
und	w1395
auswärtiger	w1396
Adel	w1397
zur	w1398
unterthänigsten	w1399
Aufwartung	w1400
eingefunden	w1401
<g/>
.
Bald	w1403
darauf	w1404
geruheten	w1405
die	w1406
höchsten	w1407
Herr Herrschaften	w1408
<g/>
=
</p>
<p id="p31">
schaften	w1410
der	w1411
prächtigen	w1412
Oper	w1413
<g/>
,
Montezu-ma	w1415
<g/>
-
beyzuwohnen	w1417
<g/>
.
Nachts	w1419
am	w1420
23ten	w1421
wird	w1422
die	w1423
herrliche	w1424
Beleuchtung	w1425
des	w1426
her=zoglichen	w1427
<g/>
=
Lustschlosses	w1429
Rivalta	w1430
<g/>
,
und	w1432
des	w1433
dahinführenden	w1434
langen	w1435
Lustweeges	w1436
das	w1437
Auge	w1438
ergötzen	w1439
<g/>
.
</p>
<head id="hl9">
Paris	w1441
den	w1442
14	w1443
<g/>
.
May	w1445
<g/>
.
</head>
<p id="p32">
Seit	w1447
einiger	w1448
Zeit	w1449
war	w1450
die	w1451
Abbtey	w1452
von	w1453
Leßies	w1454
in	w1455
der	w1456
Provinz	w1457
Hennegau	w1458
mit	w1459
so	w1460
vielen	w1461
Pensionen	w1462
beladen	w1463
<g/>
,
daß	w1465
sie	w1466
wenig	w1467
Nutzen	w1468
für	w1469
das	w1470
Publikum	w1471
leisten	w1472
konnte	w1473
<g/>
.
Nunmehr	w1475
<g/>
,
da	w1477
sie	w1478
von	w1479
dieser	w1480
Bürde	w1481
ent=ledigt	w1482
<g/>
=
ist	w1484
<g/>
,
läßt	w1486
sie	w1487
auf	w1488
ihre	w1489
Kosten	w1490
einen	w1491
ergiebigen	w1492
Steinbruch	w1493
eröfnen	w1494
<g/>
.
Um	w1496
ihr	w1497
Geld	w1498
werden	w1499
die	w1500
anstossenden	w1501
Heerstrassen	w1502
in	w1503
brauchbaren	w1504
Stande	w1505
gestellt	w1506
<g/>
.
Das	w1508
Werk	w1509
ist	w1510
desto	w1511
wichtiger	w1512
<g/>
,
weil	w1514
diese	w1515
Abb=tey	w1516
<g/>
=
zwischen	w1518
2	w1519
beträchtlichen	w1520
Flecken	w1521
ge=legen	w1522
<g/>
=
ist	w1524
<g/>
,
und	w1526
durch	w1527
besagte	w1528
Unterneh=mung	w1529
<g/>
=
der	w1531
Handel	w1532
mit	w1533
Holz	w1534
<g/>
,
Eisen	w1536
<g/>
,
Getreide	w1538
<g/>
,
und	w1540
anderen	w1541
unumgänglichen	w1542
Bedürfnisse	w1543
u	w1544
<g/>
,
so	w1546
vorhin	w1547
den	w1548
größten	w1549
Theil	w1550
des	w1551
Jahres	w1552
hindurch	w1553
unterbrochen	w1554
war	w1555
<g/>
,
einen	w1557
freyen	w1558
Lauf	w1559
gewinnt	w1560
<g/>
.
Ueber	w1562
dieses	w1563
war	w1564
obbesagte	w1565
Arbeit	w1566
den	w1567
vorigen	w1568
Winter	w1569
hindurch	w1570
die	w1571
Nahrungsquelle	w1572
vie=ler	w1573
<g/>
=
Einwohner	w1575
<g/>
,
welche	w1577
sonst	w1578
für	w1579
Hunger	w1580
und	w1581
Kälte	w1582
hätten	w1583
zu	w1584
Grunde	w1585
gehen	w1586
müs=sen	w1587
<g/>
=
<g/>
.
Ein	w1590
abermaliges	w1591
Beyspiel	w1592
<g/>
,
wie	w1594
löb=lich	w1595
<g/>
=
<g/>
,
und	w1598
gemeinnützig	w1599
die	w1600
Klöster	w1601
ihre	w1602
Einkünfte	w1603
verwenden	w1604
sollten	w1605
<g/>
.
</p>
<p id="p33">
Nachrichten	w1607
aus	w1608
Korsika	w1609
zufolge	w1610
<g/>
,
wer=den	w1612
<g/>
=
verschiedene	w1614
auf	w1615
dieser	w1616
Jnsel	w1617
von	w1618
Städten	w1619
entlegene	w1620
Ortschaften	w1621
von	w1622
den	w1623
Banditen	w1624
<g/>
,
die	w1626
man	w1627
fast	w1628
nicht	w1629
ausrotten	w1630
kann	w1631
<g/>
,
noch	w1633
immer	w1634
sehr	w1635
beunruhigt	w1636
<g/>
.
Das	w1638
Provinzialregiment	w1639
hat	w1640
daher	w1641
Befehl	w1642
er=halten	w1643
<g/>
=
<g/>
,
auszurucken	w1646
<g/>
,
und	w1648
eine	w1649
Haupt=streiferey	w1650
<g/>
=
wider	w1652
diese	w1653
Mißvergnügte	w1654
zu	w1655
unternehmen	w1656
<g/>
.
</p>
<head id="hl10">
Petersburg	w1658
den	w1659
29	w1660
<g/>
.
April	w1662
</head>
<p id="p34">
Am	w1663
abgewichenen	w1664
Dienstage	w1665
<g/>
,
den	w1667
26	w1668
<g/>
.
dieses	w1670
Vormittags	w1671
geschah	w1672
im	w1673
Kloster	w1674
des	w1675
heiligen	w1676
Alexander	w1677
<g/>
=
Newsky	w1679
die	w1680
Beerdi=gung	w1681
<g/>
=
des	w1683
entselten	w1684
Leichnams	w1685
Jhrer	w1686
kais=serl	w1687
<g/>
=
<g/>
.
Hoheit	w1690
<g/>
,
der	w1692
in	w1693
Gott	w1694
ruhenden	w1695
Groß	w1696
<g/>
=
Fürstinn	w1698
Natalia	w1699
Alexejewna	w1700
hochseligen	w1701
Andenkens	w1702
<g/>
,
bey	w1704
Vergießung	w1705
heißer	w1706
Thrä=nen	w1707
<g/>
=
alle	w1709
gegenwärtig	w1710
gewesenen	w1711
<g/>
.
Jhrer	w1713
</p>
<p id="p35">
kaiserl	w1714
<g/>
.
Majestät	w1716
<g/>
,
unsere	w1718
theuerster	w1719
Mo=narchinn	w1720
<g/>
=
geruheten	w1722
diesem	w1723
traurigen	w1724
<g/>
,
und	w1726
das	w1727
Herz	w1728
aller	w1729
treuen	w1730
Unterthanen	w1731
innigst	w1732
rührenden	w1733
Vorgange	w1734
in	w1735
höchsten	w1736
Person	w1737
mitbeyzuwohnen	w1738
<g/>
.
</p>
<head id="hl11">
Warschau	w1740
den	w1741
20	w1742
<g/>
.
May	w1744
<g/>
.
</head>
<p id="p36">
Nachdem	w1746
S	w1747
<g/>
.
Majest	w1749
<g/>
.
der	w1751
König	w1752
ohn=längst	w1753
<g/>
=
den	w1755
Herrn	w1756
Pruszynski	w1757
<g/>
,
ein	w1759
von	w1760
denen	w1761
von	w1762
dem	w1763
Konseilpermanent	w1764
vorge=schlagenen	w1765
<g/>
=
3	w1767
Kanditaten	w1768
<g/>
,
zum	w1770
Kastellan	w1771
von	w1772
Owrucz	w1773
gnädigst	w1774
zu	w1775
ernennen	w1776
ge=ruhet	w1777
<g/>
=
<g/>
,
so	w1780
hat	w1781
solcher	w1782
am	w1783
verwichenen	w1784
Sonntag	w1785
den	w1786
Eid	w1787
der	w1788
Treue	w1789
in	w1790
die	w1791
Hän=de	w1792
<g/>
=
des	w1794
Königs	w1795
abgeleget	w1796
<g/>
