<doc id="edoc_wd_1768-02-27" attrs="word" year="1768" month="02" day="27" corpus="1">
<head id="hl1">
Londen	w35
Mittel	w870
der	w871
Sparsamkeit	w872
zu	w873
ergreifen	w874
<g/>
,
und	w876
besonders	w877
die	w878
einheimischen	w879
Manufacturen	w880
empor	w881
zu	w882
bringen	w883
<g/>
,
wobey	w885
sie	w886
Handwerker	w887
aus	w888
andern	w889
Nordamerikanischen	w890
Colonien	w891
<g/>
,
statt	w893
derjenigen	w894
<g/>
,
die	w896
sie	w897
sonst	w898
aus	w899
Großbrittanien	w900
zu	w901
erhalten	w902
pflegten	w903
<g/>
,
brau=chen	w905
<g/>
=
wollen	w907
<g/>
.
</p>
<p id="p13">
Unsern	w909
Londoner	w910
Kaufleuten	w911
<g/>
,
die	w913
nach	w914
Ame=rika	w915
<g/>
=
handeln	w917
<g/>
,
sind	w919
diese	w920
und	w921
andere	w922
derglei=chen	w923
<g/>
=
Nachrichten	w925
natürlich	w926
sehr	w927
unangenehm	w928
<g/>
;
und	w930
sie	w931
arbeiten	w932
an	w933
einer	w934
ausführlichen	w935
Vor=stellung	w936
<g/>
=
<g/>
,
die	w939
sie	w940
dem	w941
Staatssecretair	w942
für	w943
die	w944
amerikanischen	w945
Sachen	w946
<g/>
,
Grafen	w948
von	w949
Hilsbo=rough	w950
<g/>
=
<g/>
,
wegen	w953
der	w954
Lage	w955
ihrer	w956
Handlung	w957
über=geben	w958
<g/>
=
wollen	w960
<g/>
.
</p>
<p id="p14">
Briefe	w962
aus	w963
Quebeck	w964
enthalten	w965
eine	w966
Nach=richt	w967
<g/>
=
<g/>
,
die	w970
<g/>
,
woferne	w972
sie	w973
wahr	w974
höchst	w975
merkmerkwürdig	w976
<g/>
=
</p>
<p id="p15">
würdig	w980
ist	w981
<g/>
.
Es	w983
ist	w984
bereits	w985
bekannt	w986
<g/>
,
daß	w988
die	w989
Engländer	w990
im	w991
vorigen	w992
Jahre	w993
Leute	w994
ausge=sandt	w995
<g/>
=
haben	w997
<g/>
,
die	w999
dortigen	w1000
Seen	w1001
in	w1002
Augen=schein	w1003
<g/>
=
zu	w1005
nehmen	w1006
<g/>
,
und	w1008
zu	w1009
untersuchen	w1010
<g/>
,
ob	w1012
sie	w1013
nicht	w1014
vielleicht	w1015
mit	w1016
der	w1017
großen	w1018
Südsee	w1019
zu=sammen	w1020
<g/>
=
hängen	w1022
<g/>
.
Sie	w1024
sind	w1025
nicht	w1026
so	w1027
glücklich	w1028
gewesen	w1029
<g/>
,
eine	w1031
vllige	w1032
Entdeckung	w1033
zu	w1034
machen	w1035
<g/>
,
allein	w1037
<g/>
,
die	w1039
Jndianer	w1040
haben	w1041
ihnen	w1042
die	w1043
Nach=richt	w1044
<g/>
=
gegeben	w1046
<g/>
,
daß	w1048
sich	w1049
von	w1050
Lac	w1051
Süperieur	w1052
ein	w1053
schifbarer	w1054
Fluß	w1055
weit	w1056
gegen	w1057
Westen	w1058
er=strecke	w1059
<g/>
=
<g/>
,
und	w1062
daß	w1063
einige	w1064
hundert	w1065
Meilen	w1066
tie=fer	w1067
<g/>
=
ins	w1069
Land	w1070
<g/>
,
hinter	w1072
gedachtem	w1073
See	w1074
<g/>
,
eine	w1076
große	w1077
und	w1078
mächtige	w1079
Nation	w1080
weißer	w1081
Leute	w1082
woh=ne	w1083
<g/>
=
<g/>
,
die	w1086
Bärte	w1087
hätten	w1088
<g/>
,
und	w1090
mit	w1091
dem	w1092
Schieß=gewehre	w1093
<g/>
=
umzugehen	w1095
wüßten	w1096
<g/>
.
Jhr	w1098
Land	w1099
sey	w1100
mit	w1101
hohen	w1102
Gebirgen	w1103
ungeben	w1104
<g/>
;
allein	w1106
<g/>
,
sie	w1108
wären	w1109
in	w1110
der	w1111
Sprache	w1112
und	w1113
Kleidung	w1114
von	w1115
den	w1116
Europäern	w1117
gänzlich	w1118
unterschieden	w1119
<g/>
.
Es	w1121
sind	w1122
<g/>
,
wie	w1124
man	w1125
zugleich	w1126
vernihmt	w1127
<g/>
,
bereits	w1129
Anstalten	w1130
gemacht	w1131
worden	w1132
<g/>
,
die	w1134
Wahrheit	w1135
dieser	w1136
Nach=richt	w1137
<g/>
=
zu	w1139
untersuchen	w1140
<g/>
.
</p>
<p id="p16">
Jst	w1142
die	w1143
Muthmassung	w1144
nicht	w1145
zu	w1146
kühn	w1147
<g/>
;
so	w1149
sollte	w1150
man	w1151
fast	w1152
glauben	w1153
<g/>
,
daß	w1155
diese	w1156
weißen	w1157
Leute	w1158
<g/>
,
welche	w1160
die	w1161
Amerikaner	w1162
tief	w1163
im	w1164
Lande	w1165
hinter	w1166
dem	w1167
Lac	w1168
Süperieur	w1169
angetroffen	w1170
haben	w1171
<g/>
,
Russen	w1173
gewesen	w1174
sind	w1175
<g/>
.
Jn	w1177
der	w1178
neuen	w1179
Geschich=te	w1180
<g/>
=
Californiens	w1182
wird	w1183
erwähnt	w1184
<g/>
,
daß	w1186
die	w1187
Russen	w1188
diesem	w1189
letzten	w1190
Lande	w1191
sehr	w1192
nahe	w1193
gekommen	w1194
wä=ren	w1195
<g/>
=
<g/>
.
Die	w1198
Meynung	w1199
<g/>
,
daß	w1201
Amerika	w1202
gegen	w1203
Nordwesten	w1204
mit	w1205
Asien	w1206
zusammen	w1207
hange	w1208
<g/>
,
wird	w1210
in	w1211
der	w1212
That	w1213
immer	w1214
wahrscheinlicher	w1215
<g/>
.
</p>
<p id="p17">
Nun	w1217
fangen	w1218
sogar	w1219
auch	w1220
die	w1221
Weiber	w1222
bey	w1223
uns	w1224
an	w1225
<g/>
,
bey	w1227
Gelegenheit	w1228
mit	w1229
auf	w1230
Strassen=räubereyen	w1231
<g/>
=
sich	w1233
zu	w1234
legen	w1235
<g/>
.
Neulich	w1237
wurde	w1238
ein	w1239
Pachter	w1240
bey	w1241
St	w1242
<g/>
.
Albans	w1244
von	w1245
einer	w1246
solchen	w1247
Amazone	w1248
angehalten	w1249
<g/>
,
die	w1251
sich	w1252
ohne	w1253
vielen	w1254
Complimenten	w1255
seinen	w1256
Geldbeutel	w1257
ausbat	w1258
<g/>
.
Da	w1260
er	w1261
sichs	w1262
zur	w1263
Schande	w1264
rechnete	w1265
<g/>
,
einem	w1267
Frauen=zimmer	w1268
<g/>
=
seine	w1270
Börse	w1271
zu	w1272
überreichen	w1273
<g/>
,
wollte	w1275
er	w1276
ihr	w1277
eins	w1278
mit	w1279
seiner	w1280
Peitsche	w1281
versetzen	w1282
<g/>
,
sie	w1284
kam	w1285
ihm	w1286
zuvor	w1287
<g/>
,
und	w1289
gab	w1290
ihm	w1291
zuerst	w1292
einen	w1293
solchen	w1294
Schlag	w1295
<g/>
,
daß	w1297
er	w1298
zur	w1299
Erde	w1300
fiel	w1301
<g/>
,
wor=auf	w1303
<g/>
=
sie	w1305
ihn	w1306
beraubte	w1307
<g/>
,
und	w1309
Reißaus	w1310
nahm	w1311
<g/>
.
</p>
<head id="hl2">
Warschau	w1313
den	w1314
30	w1315
<g/>
.
Jänner	w1317
<g/>
.
</head>
<p id="p18">
Wie	w1319
man	w1320
versichert	w1321
<g/>
,
so	w1323
verlangt	w1324
ein	w1325
ge=wisser	w1326
<g/>
=
Hof	w1328
<g/>
,
daß	w1330
der	w1331
Fürst	w1332
Kanzler	w1333
von	w1334
Lit=thauen	w1335
<g/>
=
seine	w1337
Ehrenstelle	w1338
niederlegen	w1339
soll	w1340
<g/>
;
allein	w1342
er	w1343
will	w1344
nicht	w1345
<g/>
,
weil	w1347
er	w1348
vermuthet	w1349
<g/>
,
daß	w1351
man	w1352
alsdenn	w1353
ihm	w1354
<g/>
,
und	w1356
dem	w1357
Unterkanzler	w1358
wegen	w1359
</p>
<p id="p19">
der	w1360
Radzivillischen	w1361
Sache	w1362
den	w1363
Proceß	w1364
ma=chen	w1365
<g/>
=
dürfte	w1367
<g/>
.
Diese	w1369
Sache	w1370
ist	w1371
einige	w1372
Tage	w1373
in	w1374
den	w1375
Conferenzen	w1376
vorgewesen	w1377
<g/>
,
wo	w1379
der	w1380
Fürst	w1381
Kanzler	w1382
selbst	w1383
zugegen	w1384
war	w1385
<g/>
,
nachdem	w1387
er	w1388
durch	w1389
ein	w1390
Billet	w1391
von	w1392
dem	w1393
Fürst	w1394
Primas	w1395
darzu	w1396
ein=geladen	w1397
<g/>
=
worden	w1399
<g/>
.
Er	w1401
hat	w1402
daselb	w1403
öffentlich	w1404
gesagt	w1405
<g/>
:
<g/>
„
Wenn	w1408
man	w1409
mir	w1410
zugeredet	w1411
hätte	w1412
<g/>
,
<g/>
„
daß	w1415
lich	w1416
mich	w1417
zur	w1418
Ruhe	w1419
begeben	w1420
<g/>
,
und	w1422
meine	w1423
<g/>
„
so	w1425
mühsame	w1426
Ehrenstelle	w1427
einem	w1428
andern	w1429
über=„lassen	w1430
<g/>
=
<g/>
„
sollte	w1433
<g/>
,
so	w1435
würde	w1436
ich	w1437
es	w1438
vielleicht	w1439
ge=„than	w1440
<g/>
=
<g/>
„
haben	w1443
<g/>
;
da	w1445
man	w1446
mir	w1447
solche	w1448
aber	w1449
mit	w1450
<g/>
„
Gewalt	w1452
und	w1453
List	w1454
nehmen	w1455
will	w1456
<g/>
,
so	w1458
will	w1459
ich	w1460
<g/>
„
solche	w1462
nicht	w1463
niederlegen	w1464
<g/>
.
Jch	w1466
habe	w1467
kein	w1468
<g/>
„
Verbrechen	w1470
wider	w1471
den	w1472
Staat	w1473
begangen	w1474
<g/>
;
<g/>
„
glaubt	w1477
man	w1478
es	w1479
<g/>
,
so	w1481
setze	w1482
man	w1483
eine	w1484
Com=„mißion	w1485
<g/>
=
<g/>
„
nieder	w1488
<g/>
,
und	w1490
mache	w1491
mir	w1492
den	w1493
Pro=„ceß	w1494
<g/>
=
<g/>
„
<g/>
.
Fehler	w1498
kann	w1499
ich	w1500
wohl	w1501
begangen	w1502
ha=„ben	w1503
<g/>
=
<g/>
„
<g/>
,
weil	w1507
ich	w1508
ein	w1509
Mensch	w1510
bin	w1511
<g/>
;
allein	w1513
<g/>
,
so	w1515
<g/>
„
alt	w1517
ich	w1518
auch	w1519
bin	w1520
<g/>
,
so	w1522
schäme	w1523
ich	w1524
mich	w1525
nicht	w1526
<g/>
,
<g/>
„
zu	w1529
lernen	w1530
und	w1531
diese	w1532
Fehler	w1533
zu	w1534
verbessern	w1535
<g/>
.
<g/>
„
</p>
<p id="p20">
Wie	w1538
es	w1539
heißt	w1540
<g/>
,
so	w1542
soll	w1543
der	w1544
Kronunterkanz=ler	w1545
<g/>
=
Borch	w1547
alsdenn	w1548
Großkanzler	w1549
von	w1550
Litthauen	w1551
<g/>
,
und	w1553
der	w1554
Graf	w1555
Ossolinski	w1556
<g/>
,
Starost	w1558
von	w1559
Sen=domir	w1560
<g/>
=
<g/>
,
so	w1563
als	w1564
Gesandter	w1565
in	w1566
Moscau	w1567
ist	w1568
<g/>
,
Kronunterkanzler	w1570
<g/>
,
werden	w1572
<g/>
.
Der	w1574
Kanzler	w1575
Borch	w1576
stehet	w1577
mit	w1578
dem	w1579
Lithauischen	w1580
General=feldzeugmeister	w1581
<g/>
=
in	w1583
Handel	w1584
<g/>
,
und	w1586
will	w1587
ihm	w1588
sei=nen	w1589
<g/>
=
Pallast	w1591
abkaufen	w1592
<g/>
.
Der	w1594
Resident	w1595
in	w1596
Moscau	w1597
<g/>
,
Hr	w1599
<g/>
.
Psarski	w1601
dürfte	w1602
wohl	w1603
bald	w1604
zu=rückkommen	w1605
<g/>
=
<g/>
,
weil	w1608
<g/>
,
wie	w1610
es	w1611
heißt	w1612
<g/>
,
der	w1614
Hr	w1615
<g/>
.
Kroyzy	w1617
als	w1618
Gesandter	w1619
dort	w1620
bleiben	w1621
wird	w1622
<g/>
,
wie	w1624
er	w1625
denn	w1626
seinen	w1627
Secretair	w1628
<g/>
,
und	w1630
andere	w1631
Sachen	w1632
dahin	w1633
kommen	w1634
läßt	w1635
<g/>
.
Die	w1637
Jndige=natsprojecte	w1638
<g/>
=
vermehren	w1640
sich	w1641
täglich	w1642
<g/>
.
</p>
<p id="p21">
Noch	w1644
ist	w1645
zu	w1646
merken	w1647
<g/>
,
daß	w1649
der	w1650
Fürst	w1651
Rad=zivill	w1652
<g/>
=
sich	w1654
keineswegs	w1655
zu	w1656
der	w1657
Parthey	w1658
schlagen	w1659
wollen	w1660
<g/>
,
die	w1662
wider	w1663
den	w1664
Fürst	w1665
Kanzler	w1666
gewesen	w1667
<g/>
.
Er	w1669
hat	w1670
lieber	w1671
seine	w1672
Bedienung	w1673
niederlegen	w1674
wollen	w1675
<g/>
,
und	w1677
gesagt	w1678
<g/>
:
<g/>
„
Er	w1681
müßte	w1682
gestehen	w1683
<g/>
,
<g/>
„
daß	w1686
er	w1687
ein	w1688
würdiger	w1689
Mann	w1690
ware	w1691
<g/>
,
den	w1693
<g/>
„
selbst	w1695
ganz	w1696
Europa	w1697
dafür	w1698
hielte	w1699
<g/>
,
und	w1701
der	w1702
<g/>
„
45	w1704
<g/>
.
Jahre	w1706
die	w1707
Ministerstelle	w1708
mit	w1709
Ruhm	w1710
<g/>
„
verwaltet	w1712
hätte	w1713
<g/>
.
Es	w1715
wäre	w1716
wahr	w1717
<g/>
,
er	w1719
hät=„ te	w1720
<g/>
=
<g/>
„
ihm	w1723
unrecht	w1724
gethan	w1725
<g/>
;
man	w1727
müßte	w1728
aber	w1729
<g/>
„
allezeit	w1731
auch	w1732
darauf	w1733
sehen	w1734
<g/>
,
wer	w1736
dazu	w1737
Ge=„ legenheit	w1738
<g/>
=
<g/>
„
gegeben	w1741
<g/>
.
<g/>
„
Der	w1744
König	w1745
ist	w1746
über	w1747
diese	w1748
Nachricht	w1749
sehr	w1750
gerührt	w1751
worden	w1752
<g/>
.
</p>
<head id="hl3">
Politische	w1756
Neuigkeiten	w1757
<g/>
.
</head>
<head id="hl4">
Aus	w1759
einem	w1760
Schreiben	w1761
von	w1762
St	w1763
<g/>
.
Louis	w1765
bey	w1766
Potosi	w1767
<g/>
,
den	w1769
15	w1770
<g/>
.
Augustm	w1772
<g/>
.
1767	w1774
<g/>
.
</head>
<p id="p22">
Wir	w1776
genießen	w1777
hier	w1778
<g/>
,
und	w1780
an	w1781
den	w1782
benach=barten	w1783
<g/>
=
Orten	w1785
<g/>
,
alle	w1787
der	w1788
vollkommensten	w1789
Ruhe	w1790
<g/>
,
und	w1792
wir	w1793
sind	w1794
den	w1795
Dank	w1796
dafür	w1797
den	w1798
weisen	w1799
Fürsichtmitteln	w1800
des	w1801
Don	w1802
Joseph	w1803
von	w1804
Galbes	w1805
<g/>
,
Jntendanten	w1807
von	w1808
Mexico	w1809
<g/>
,
und	w1811
von	w1812
dem	w1813
Kö=nig	w1814
<g/>
=
in	w1816
diesem	w1817
Lande	w1818
ernennten	w1819
Visiteurs	w1820
<g/>
,
schuldig	w1822
<g/>
.
Es	w1824
scheinet	w1825
derselbe	w1826
<g/>
,
zur	w1828
Erhal=tung	w1829
<g/>
=
dieses	w1831
schönen	w1832
Stückes	w1833
der	w1834
Monarchie	w1835
erwecket	w1836
zu	w1837
seyn	w1838
<g/>
,
indem	w1840
er	w1841
ein	w1842
scheußliches	w1843
Complot	w1844
entdecket	w1845
hat	w1846
<g/>
,
welches	w1848
nichts	w1849
gerin=geres	w1850
<g/>
=
zum	w1852
Absehen	w1853
hatte	w1854
<g/>
,
als	w1856
uns	w1857
dasselbe	w1858
zu	w1859
rauben	w1860
<g/>
.
Er	w1862
hat	w1863
bey	w1864
dieser	w1865
Gelegenheit	w1866
eine	w1867
Standhaftigkeit	w1868
und	w1869
Wachsamkeit	w1870
zu	w1871
Tage	w1872
gelegt	w1873
<g/>
,
die	w1875
man	w1876
nicht	w1877
genugsam	w1878
rüh=men	w1879
<g/>
=
kan	w1881
<g/>
,
und	w1883
