<doc id="wr_1763-08-10" attrs="word" year="1763" month="08" day="10" corpus="2">
<head id="h2_d782e3112">
Elvas,	w1_d782e3116
ist	w5_d782e4183
zu	w7_d782e4186
Augusta,	w9_d782e4189
in	w11_d782e4192
Virginien,	w13_d782e4196
ein	w15_d782e4199
Congreß	w1_d782e4204
auf	w3_d782e4207
das	w5_d782e4210
künftige	w7_d782e4213
Herbst	w9_d782e4216
monat	w11_d782e4219
an	w13_d782e4223
beraumt.	w1_d782e4228
Die	w3_d782e4231
Gouverneurs	w5_d782e4234
in	w7_d782e4237
Süd	w9_d782e4240
und	w11_d782e4243
West=carolina,	w1_d782e4249
in	w3_d782e4252
Georgien	w5_d782e4255
und	w7_d782e4258
Virginien	w9_d782e4261
sollen	w1_d782e4266
gedachter	w3_d782e4269
Versammlung	w5_d782e4272
beywohnen,	w7_d782e4275
und	w1_d782e4280
die	w3_d782e4283
Vorsteher	w5_d782e4286
der	w7_d782e4289
Jndianer	w9_d782e4292
in	w11_d782e4295
Chicas	w13_d782e4299
saue,	w1_d782e4304
Crique,	w3_d782e4307
Chretaun,	w5_d782e4310
Chiroguois	w7_d782e4313
und	w9_d782e4316
Catabaun,	w1_d782e4322
samt	w3_d782e4325
den	w5_d782e4328
Obern	w7_d782e4331
ihrer	w9_d782e4334
Bunds	w11_d782e4337
genossen	w1_d782e4342
dazu	w3_d782e4345
eingeladen	w5_d782e4348
werden,	w7_d782e4351
damit	w9_d782e4354
die,	w1_d782e4359
zur	w3_d782e4362
Unterhaltung	w5_d782e4365
der	w7_d782e4368
Freundschaft	w9_d782e4371
und	w1_d782e4376
Befestigung	w3_d782e4379
der	w5_d782e4382
Ruhe	w7_d782e4385
zwischen	w9_d782e4388
denen	w11_d782e4391
Jndischen	w1_d782e4397
Geschlechtern	w3_d782e4400
und	w5_d782e4403
unsern	w7_d782e4406
En	w9_d782e4409
glischen	w1_d782e4414
Provinzen,	w3_d782e4417
nöthige	w5_d782e4420
Einrichtungen	w7_d782e4423
abgehandlet	w1_d782e4428
werden.	w3_d782e4431
</p>
<p id="p6_d782e4434">
Man	w1_d782e4438
ist	w3_d782e4441
nicht	w5_d782e4444
weniger	w7_d782e4447
auf	w9_d782e4450
die	w11_d782e4453
Bevölke	w13_d782e4457
rung	w1_d782e4462
in	w3_d782e4465
Neu=england	w5_d782e4468
bedacht.	w7_d782e4471
Von	w9_d782e4474
Bo	w11_d782e4477
ston	w1_d782e4482
hat	w3_d782e4485
man	w5_d782e4488
die	w7_d782e4491
Nachricht,	w9_d782e4494
daß	w11_d782e4497
150.	w13_d782e4501
Meilen	w1_d782e4507
von	w3_d782e4510
gedachter	w5_d782e4513
Haupt=stadt,	w7_d782e4516
längs	w9_d782e4519
dem	w1_d782e4524
Flusse	w3_d782e4527
Keneberg,	w5_d782e4530
in	w7_d782e4533
wercher	w9_d782e4536
Gegend	w11_d782e4539
das	w1_d782e4544
Land	w3_d782e4547
ungemein	w5_d782e4550
fruchtbar	w7_d782e4553
ist,	w9_d782e4556
3.	w11_d782e4559
neuer	w13_d782e4563
Städte	w1_d782e4568
angelegt,	w3_d782e4571
und	w5_d782e4574
denjenigen,	w7_d782e4577
die	w9_d782e4580
sich	w11_d782e4583
daselbst	w1_d782e4589
niederlassen	w3_d782e4592
willens	w5_d782e4595
sind,	w7_d782e4598
die	w9_d782e4601
vor	w11_d782e4604
züglichste	w1_d782e4609
Vortheile	w3_d782e4612
verschaft	w5_d782e4615
werden	w7_d782e4618
sollen.	w9_d782e4621
Von	w1_d782e4626
dem	w3_d782e4629
in	w5_d782e4632
Neu=yorka,	w7_d782e4635
unter	w9_d782e4638
den	w11_d782e4641
Jn	w13_d782e4645
dianern	w1_d782e4650
gegen	w3_d782e4653
unsere	w5_d782e4656
Etablissementen	w7_d782e4659
erreg	w9_d782e4662
ten	w1_d782e4668
Aufstand	w3_d782e4671
hat	w5_d782e4674
man	w7_d782e4677
ferner,	w9_d782e4680
daß	w11_d782e4683
der	w13_d782e4687
Fre	w15_d782e4690
vel	w1_d782e4695
bey	w3_d782e4698
diesen	w5_d782e4701
Wilden	w7_d782e4704
so	w9_d782e4707
hoch	w11_d782e4710
gestigen	w13_d782e4714
ist,	w15_d782e4717
</p>
<p id="p8_d782e4720">
daß	w1_d782e4724
sie	w3_d782e4727
alle	w5_d782e4730
Engländer,	w7_d782e4733
die	w9_d782e4736
in	w11_d782e4739
ihre	w13_d782e4743
Hände	w15_d782e4746
fal	w17_d782e4749
len	w1_d782e4754
würden,	w3_d782e4757
zu	w5_d782e4760
erwürgen	w7_d782e4763
gedrohet	w9_d782e4766
haben.	w11_d782e4769
Sie	w1_d782e4774
sind	w3_d782e4777
freylich	w5_d782e4780
dazu	w7_d782e4783
aufgelegt,	w9_d782e4786
und	w11_d782e4789
man	w13_d782e4793
dörfte	w1_d782e4799
dergleichen	w3_d782e4802
greuliche	w5_d782e4805
Gewaltthätigkei	w7_d782e4808
ten,	w1_d782e4813
die	w3_d782e4816
sie	w5_d782e4819
bereits	w7_d782e4822
im	w9_d782e4825
verflossenen	w11_d782e4828
Winter	w13_d782e4832
</p>
<p id="p10_d782e4835">
verübt	w1_d782e4839
haben,	w3_d782e4842
einigen	w5_d782e4845
Pensilvaniern,	w7_d782e4848
die	w9_d782e4851
sich	w11_d782e4854
im	w1_d782e4859
letzten	w3_d782e4862
Kriege	w5_d782e4865
zu	w7_d782e4868
ihnen	w9_d782e4871
geschlagen	w11_d782e4874
haben,	w13_d782e4878
zu	w1_d782e4883
verdanken	w3_d782e4886
haben.	w5_d782e4889
Man	w7_d782e4892
kan	w9_d782e4895
diesen	w11_d782e4898
letz	w13_d782e4902
tern	w1_d782e4908
nachsagen,	w3_d782e4911
daß	w5_d782e4914
sie	w7_d782e4917
der	w9_d782e4920
wilden	w11_d782e4923
Jndia	w13_d782e4927
ner	w1_d782e4932
Gemüths	w3_d782e4935
völlig	w5_d782e4938
angezogen	w7_d782e4941
haben,	w9_d782e4944
und	w1_d782e4949
gegen	w3_d782e4952
unsere	w5_d782e4955
Leute	w7_d782e4958
einen	w9_d782e4961
eben	w11_d782e4964
so	w13_d782e4968
erbit	w15_d782e4971
terten	w1_d782e4976
Groll,	w3_d782e4979
als	w5_d782e4982
die	w7_d782e4985
Jndianer	w9_d782e4988
selbst,	w11_d782e4991
tragen.	w13_d782e4995
</p>
<head id="h2_d782e5001">
Glocester	w1_d782e5005
18.	w3_d782e5008
Julii.	w5_d782e5011
</head>
<p id="p4_d782e5014">
Verschiedene	w1_d782e5018
Accis=bediente	w3_d782e5021
legten	w5_d782e5024
in	w7_d782e5027
dieser	w1_d782e5032
Woche,	w3_d782e5035
bey	w5_d782e5038
dem	w7_d782e5041
ausserordentlichen	w9_d782e5044
Gerichts=tag,	w1_d782e5049
den	w3_d782e5052
Eid	w5_d782e5055
der	w7_d782e5058
Treue	w9_d782e5061
ab.	w11_d782e5064
Es	w13_d782e5068
könnte	w1_d782e5074
verschiedene	w3_d782e5077
unter	w5_d782e5080
ihnen	w7_d782e5083
reuen,	w9_d782e5086
in	w11_d782e5089
dem,	w1_d782e5094
wie	w3_d782e5097
die	w5_d782e5100
Rede	w7_d782e5103
gehet,	w9_d782e5106
die	w11_d782e5109
Berg=leute	w13_d782e5113
in	w1_d782e5118
dem	w3_d782e5121
Walde	w5_d782e5124
Dean	w7_d782e5127
den	w9_d782e5130
Schluß	w11_d782e5133
gefaßt	w13_d782e5137
ha	w15_d782e5140
ben	w1_d782e5145
sollen,	w3_d782e5148
alle	w5_d782e5151
diejenige,	w7_d782e5154
die	w9_d782e5157
ihnen	w11_d782e5160
in	w13_d782e5164
ih	w15_d782e5167
re	w1_d782e5173
Hände	w3_d782e5176
fallen	w5_d782e5179
würden,	w7_d782e5182
mit	w9_d782e5185
ihnen	w11_d782e5188
in	w13_d782e5192
ihr	w15_d782e5195
unterirrdisches	w1_d782e5200
Reich	w3_d782e5203
herunter	w5_d782e5206
zu	w7_d782e5209
schleppen.	w9_d782e5212
</p>
<p id="p6_d782e5215">
Da	w1_d782e5219
einer	w3_d782e5222
von	w5_d782e5225
gedachten	w7_d782e5228
Accis=bedienten	w9_d782e5231
in	w1_d782e5236
den	w3_d782e5239
Aepfel	w5_d782e5242
und	w7_d782e5245
Birnweins	w9_d782e5248
mühlen	w11_d782e5251
sei	w13_d782e5255
ne	w1_d782e5260
Amts=pflichte	w3_d782e5263
versehen	w5_d782e5266
wollte,	w7_d782e5269
war	w9_d782e5272
er	w11_d782e5275
von	w13_d782e5279
oberwehnten	w1_d782e5285
Wald=geistern	w3_d782e5288
aufgehoben,	w5_d782e5291
und	w1_d782e5296
2.	w3_d782e5299
bis	w5_d782e5302
300.	w7_d782e5305
Fuß	w9_d782e5308
unter	w11_d782e5311
die	w13_d782e5315
Erde	w15_d782e5318
ge	w17_d782e5321
lassen.	w1_d782e5326
So	w3_d782e5329
wie	w5_d782e5332
wir	w7_d782e5335
hören,	w9_d782e5338
soll	w11_d782e5341
er	w13_d782e5345
von	w15_d782e5348
den	w17_d782e5351
Kohlern	w1_d782e5356
in	w3_d782e5359
dieser	w5_d782e5362
neuen	w7_d782e5365
düsteren	w9_d782e5368
Wohnung	w11_d782e5371
sehr	w1_d782e5377
wol	w3_d782e5380
bewirtet	w5_d782e5383
werden,	w7_d782e5386
und,	w9_d782e5389
so	w11_d782e5392
wie	w13_d782e5396
sie,	w15_d782e5399
mit	w1_d782e5404
ihnen	w3_d782e5407
leben.	w5_d782e5410
Sie	w7_d782e5413
sollen	w9_d782e5416
ihm	w11_d782e5419
aber	w13_d782e5423
auch	w15_d782e5426
zugleich	w1_d782e5431
geschworen	w3_d782e5434
haben,	w5_d782e5437
daß	w7_d782e5440
der	w9_d782e5443
Zeit	w11_d782e5446
punct	w1_d782e5451
seiner	w3_d782e5454
Auferstehung	w5_d782e5457
mit	w7_d782e5460
der	w9_d782e5463
Zurückbe	w11_d782e5466
rufung	w1_d782e5472
der	w3_d782e5475
Cider=acte	w5_d782e5478
beginnen,	w7_d782e5481
oder	w9_d782e5484
er	w11_d782e5487
sollte	w1_d782e5492
doch	w3_d782e5495
zum	w5_d782e5498
wenigsten	w7_d782e5501
den	w9_d782e5504
obern	w11_d782e5507
Bo	w13_d782e5511
den	w1_d782e5516
der	w3_d782e5519
Erde	w5_d782e5522
nicht	w7_d782e5525
betretten,	w9_d782e5528
bis	w11_d782e5531
die	w13_d782e5535
Aepfel	w15_d782e5538
und	w1_d782e5543
Birn=weins=zeit	w3_d782e5546
vorüber	w5_d782e5549
wäre.	w7_d782e5552
</p>
<head id="h2_d782e5558">
Petersburg	w1_d782e5562
vom	w3_d782e5565
1.	w5_d782e5568
Julii.	w7_d782e5571
</head>
<p id="p4_d782e5574">
Dieser	w1_d782e5578
Tagen	w3_d782e5581
sind	w5_d782e5584
zwey	w7_d782e5587
von	w9_d782e5590
Jhrer	w11_d782e5593
Kai	w13_d782e5597
serl.	w1_d782e5602
Majest.	w3_d782e5605
eigenhändig	w5_d782e5608
unterschriebene,	w7_d782e5611
und	w1_d782e5616
unterm	w3_d782e5619
22.	w5_d782e5622
und	w7_d782e5625
25.	w9_d782e5628
Junii	w11_d782e5631
aus	w13_d782e5635
Mos	w15_d782e5638
cau	w1_d782e5644
eingegangene	w3_d782e5647
Ukasen	w5_d782e5650
allhier	w7_d782e5653
publiciret	w9_d782e5656
worden.	w1_d782e5661
Der	w3_d782e5664
Jnhalt	w5_d782e5667
von	w7_d782e5670
beyden	w9_d782e5673
zusam	w11_d782e5676
men	w1_d782e5681
ist	w3_d782e5684
folgender:	w5_d782e5687
</p>
<p id="p6_d782e5690">
Von	w1_d782e5694
GOttes	w3_d782e5697
Gnaden	w5_d782e5700
Wir	w7_d782e5703
Catharina	w9_d782e5706
die	w11_d782e5709
Zweyte,	w1_d782e5714
Kaiserin	w3_d782e5717
und	w5_d782e5720
Selbstherrscherin	w7_d782e5723
al	w9_d782e5726
ler	w1_d782e5731
Russen	w3_d782e5734
rc.	w5_d782e5737
rc.	w7_d782e5740
rc.	w9_d782e5743
Ob	w11_d782e5746
wir	w13_d782e5750
gleich	w15_d782e5753
schon	w17_d782e5756
mehr	w19_d782e5759
</p>
<p id="p12_d782e5773">
malen	w1_d782e5777
durch	w3_d782e5780
gedruckte	w5_d782e5783
Ukasen	w7_d782e5786
öffentlich	w9_d782e5789
ha	w11_d782e5792
ben	w1_d782e5797
bekannt	w3_d782e5800
machen	w5_d782e5803
lassen,	w7_d782e5806
daß	w9_d782e5809
sich	w11_d782e5812
niemand	w13_d782e5816
erdreiste	w1_d782e5821
solle,	w3_d782e5824
mit	w5_d782e5827
Vorbeygehung	w7_d782e5830
der	w9_d782e5833
von	w11_d782e5836
Uns	w13_d782e5840
verordneten	w1_d782e5846
Gerichte,	w3_d782e5849
oder	w5_d782e5852
der	w7_d782e5855
Befehlsha	w9_d782e5858
ber,	w1_d782e5863
unter	w3_d782e5866
denen	w5_d782e5869
jeder	w7_d782e5872
stehet,	w9_d782e5875
Uns	w11_d782e5878
selbst	w13_d782e5882
durch	w15_d782e5885
Ueberreichung	w1_d782e5890
einiger	w3_d782e5893
Bittschriften	w5_d782e5896
zu	w7_d782e5899
be	w9_d782e5902
schweren;	w1_d782e5907
so	w3_d782e5910
ist	w5_d782e5913
es	w7_d782e5916
doch	w9_d782e5919
hierüber	w11_d782e5922
nicht	w13_d782e5926
mit	w15_d782e5929
der	w1_d782e5935
gehörigen	w3_d782e5938
Schärfe	w5_d782e5941
gehalten	w7_d782e5944
worden,	w9_d782e5947
und	w11_d782e5950
erdreisten	w1_d782e5955
sich,	w3_d782e5958
ungeachtet	w5_d782e5961
des	w7_d782e5964
strengen	w9_d782e5967
Ver	w11_d782e5970
Suppliken	w1_d782e5975
und	w3_d782e5978
Bittschriften	w5_d782e5981
beschwerlich	w7_d782e5984
zu	w1_d782e5989
fallen.	w3_d782e5992
Dieserwegen	w5_d782e5995
wird	w7_d782e5998
durch	w9_d782e6001
diese	w11_d782e6004
Unsere	w1_d782e6010
Ukase	w3_d782e6013
auf	w5_d782e6016
das	w7_d782e6019
nachdrücklichste	w9_d782e6022
anbe	w11_d782e6025
fohlen,	w1_d782e6030
daß	w3_d782e6033
sich	w5_d782e6036
keiner	w7_d782e6039
unterstehen	w9_d782e6042
soll.	w11_d782e6045
Uns	w13_d782e6049
bey	w1_d782e6054
Unserer	w3_d782e6057
Ankunft	w5_d782e6060
in	w7_d782e6063
Petersburg	w9_d782e6066
mit	w11_d782e6069
ir	w13_d782e6073
gend	w1_d782e6078
einer	w3_d782e6081
Bittschrift	w5_d782e6084
anzutretten,	w7_d782e6087
die	w9_d782e6090
vor	w11_d782e6093
Un	w13_d782e6097
sern	w1_d782e6103
Senat	w3_d782e6106
oder	w5_d782e6109
vor	w7_d782e6112
irgend	w9_d782e6115
ein	w11_d782e6118
abderes	w13_d782e6122
Ge	w15_d782e6125
richt,	w1_d782e6130
oder	w3_d782e6133
andern	w5_d782e6136
Chef	w7_d782e6139
gehöret;	w9_d782e6142
widrigen	w11_d782e6145
falls	w1_d782e6150
mit	w3_d782e6153
dergleichen	w5_d782e6156
Ungehorsamen	w7_d782e6159
nicht	w9_d782e6162
nur	w1_d782e6167
ohne	w3_d782e6170
alle	w5_d782e6173
Nachsicht,	w7_d782e6176
Kraft	w9_d782e6179
der	w11_d782e6182
vorhin	w13_d782e6186
publicirten	w1_d782e6192
Ukosen,	w3_d782e6195
verfahren	w5_d782e6198
werden,	w7_d782e6201
son	w9_d782e6204
dern	w1_d782e6209
auch	w3_d782e6212
die	w5_d782e6215
Chefs	w7_d782e6218
selbst,	w9_d782e6221
von	w11_d782e6224
denen	w13_d782e6228
der	w15_d782e6231
gleichen	w1_d782e6236
verwegene	w3_d782e6239
Supplicanten	w5_d782e6242
abhängen,	w7_d782e6245
und	w1_d782e6250
die	w3_d782e6253
ihnen	w5_d782e6256
darinnen	w7_d782e6259
durch	w9_d782e6262
die	w11_d782e6265
Finger	w13_d782e6269
gesehen,	w1_d782e6275
zur	w3_d782e6278
Verantwortung	w5_d782e6281
gezogen	w7_d782e6284
wer	w9_d782e6287
den	w1_d782e6292
sollen.	w3_d782e6295
Hätte	w5_d782e6298
jedennoch	w7_d782e6301
jemand	w9_d782e6304
eine	w11_d782e6307
Bitte	w1_d782e6312
von	w3_d782e6315
der	w5_d782e6318
Art,	w7_d782e6321
die	w9_d782e6324
mit	w11_d782e6327
Vorbeygehung	w13_d782e6331
aller	w1_d782e6336
Gerichte	w3_d782e6339
und	w5_d782e6342
Chefs	w7_d782e6345
an	w9_d782e6348
Uns	w11_d782e6351
selbst	w13_d782e6355
ge	w15_d782e6358
langen	w1_d782e6364
muß;	w3_d782e6367
so	w5_d782e6370
soll	w7_d782e6373
sich	w9_d782e6376
auch	w11_d782e6379
in	w13_d782e6383
solchem	w15_d782e6386
Falle	w1_d782e6391
niemand	w3_d782e6394
erkühnen,	w5_d782e6397
Uns	w7_d782e6400
selbst	w9_d782e6403
damit	w11_d782e6406
überlästig	w1_d782e6411
zu	w3_d782e6414
fallen,	w5_d782e6417
sondern	w7_d782e6420
seine	w9_d782e6423
Bitt	w11_d782e6426
schrift	w1_d782e6431
entweder	w3_d782e6434
an	w5_d782e6437
den	w7_d782e6440
geheimen	w9_d782e6443
Raht	w11_d782e6446
Olsujew,	w1_d782e6452
oder	w3_d782e6455
den	w5_d782e6458
würklichen	w7_d782e6461
Staats=raht	w9_d782e6464
Teplow,	w1_d782e6469
oder	w3_d782e6472
auch	w5_d782e6475
an	w7_d782e6478
den	w9_d782e6481
würklichen	w11_d782e6484
Staats	w13_d782e6488
raht	w1_d782e6493
Jelagin,	w3_d782e6496
übergeben,	w5_d782e6499
so	w7_d782e6502
wie	w9_d782e6505
es	w11_d782e6508
der	w13_d782e6512
Sop	w15_d782e6515
plicant	w1_d782e6520
selbst	w3_d782e6523
für	w5_d782e6526
gut	w7_d782e6529
findet,	w9_d782e6532
damit	w11_d782e6535
solche	w13_d782e6539
Uns	w1_d782e6545
allerunterthänigst	w3_d782e6548
vorgetragen	w5_d782e6551
werden	w7_d782e6554
möge.	w1_d782e6559
Solchergestalt	w3_d782e6562
wird	w5_d782e6565
ein	w7_d782e6568
jeder	w9_d782e6571
Sup	w11_d782e6574
plicaut	w1_d782e6579
wissen,	w3_d782e6582
in	w5_d782e6585
was	w7_d782e6588
für	w9_d782e6591
Händen	w11_d782e6594
sich	w13_d782e6598
sei	w15_d782e6601
ne	w1_d782e6606
Bitte	w3_d782e6609
und	w5_d782e6612
Sache	w7_d782e6615
befindet,	w9_d782e6618
und	w11_d782e6621
durch	w13_d782e6625
eben	w1_d782e6631
denselben	w3_d782e6634
Weg	w5_d782e6637
auch	w7_d782e6640
die	w9_d782e6643
Resolution	w11_d782e6646
der	w13_d782e6650
sto	w1_d782e6655
bequemer	w3_d782e6658
erhalten	w5_d782e6661
können.	w7_d782e6664
Würde	w9_d782e6667
endlich	w1_d782e6672
jemand	w3_d782e6675
eine	w5_d782e6678
Sache	w7_d782e6681
bey	w9_d782e6684
Uns	w11_d782e6687
anzu	w13_d782e6691
</p>
<p id="p14_d782e6694">
bringen	w1_d782e6698
haben,	w3_d782e6701
die	w5_d782e6704
von	w7_d782e6707
Uns	w9_d782e6710
selbst	w11_d782e6713
gelesen	w13_d782e6717
werden	w1_d782e6722
muste,	w3_d782e6725
so	w5_d782e6728
soll	w7_d782e6731
ein	w9_d782e6734
solcher	w11_d782e6737
sein	w13_d782e6741
An	w15_d782e6744
bringen	w1_d782e6749
versiegeln,	w3_d782e6752
