<doc id="wr_1761-03-14" attrs="word" year="1761" month="03" day="14" corpus="2">
<head id="h2_d535e2483">
Barcellona	w1_d535e2487
wurde	w7_d535e3168
nach	w9_d535e3171
dessen	w11_d535e3174
Tod	w13_d535e3178
der	w1_d535e3184
jüngst	w3_d535e3187
verstorbene	w5_d535e3190
Chur=fürst	w7_d535e3193
von	w9_d535e3196
Cöln	w11_d535e3199
im	w1_d535e3204
Jahr	w3_d535e3207
1728.	w5_d535e3210
zum	w7_d535e3213
Bischoffen	w9_d535e3216
von	w11_d535e3219
Osna	w13_d535e3223
brück	w1_d535e3228
erwählet.	w3_d535e3231
Wann	w5_d535e3234
dieses	w7_d535e3237
Bistum	w9_d535e3240
noch	w11_d535e3243
bey	w1_d535e3248
Leb=zeiten	w3_d535e3251
des	w5_d535e3254
erblichenen	w7_d535e3257
Königs	w9_d535e3260
wäre	w11_d535e3263
</p>
<p id="p12_d535e3277">
vacant	w1_d535e3281
worden,	w3_d535e3284
so	w5_d535e3287
wäre	w7_d535e3290
es	w9_d535e3293
dem	w11_d535e3296
Herzogen	w13_d535e3300
von	w1_d535e3305
Cumberland	w3_d535e3308
zu	w5_d535e3311
Theil	w7_d535e3314
geworden,	w9_d535e3317
an	w11_d535e3320
jetzo	w1_d535e3325
aber	w3_d535e3328
redet	w5_d535e3331
man	w7_d535e3334
stark	w9_d535e3337
von	w11_d535e3340
denen	w13_d535e3344
beyden	w15_d535e3347
Brüdern	w1_d535e3353
unseres	w3_d535e3356
jetzigen	w5_d535e3359
Königs,	w7_d535e3362
nämli	w9_d535e3365
chen	w1_d535e3370
von	w3_d535e3373
dem	w5_d535e3376
Herzogen	w7_d535e3379
von	w9_d535e3382
York,	w11_d535e3385
oder	w13_d535e3389
aber	w1_d535e3394
dem	w3_d535e3397
Prinzen	w5_d535e3400
Wilhelm.	w7_d535e3403
Das	w9_d535e3406
Für	w11_d535e3409
stentum	w1_d535e3414
Osnabrück	w3_d535e3417
trägt	w5_d535e3420
jährlich	w7_d535e3423
20.	w9_d535e3426
bis	w11_d535e3429
30000.	w1_d535e3435
Pf.	w3_d535e3438
Sterl.	w5_d535e3441
und	w7_d535e3444
der	w9_d535e3447
Fürst,	w11_d535e3450
so	w13_d535e3454
es	w15_d535e3457
besitzet,	w1_d535e3462
kan	w3_d535e3465
2500.	w5_d535e3468
Mann	w7_d535e3471
auf	w9_d535e3474
denen	w11_d535e3477
Bei	w13_d535e3481
nen	w1_d535e3486
haben.	w3_d535e3489
Diese	w5_d535e3492
Tage	w7_d535e3495
her	w9_d535e3498
sind	w11_d535e3501
öftere	w13_d535e3505
Rahts=versammlungen	w1_d535e3510
zu	w3_d535e3513
St.	w5_d535e3516
James	w7_d535e3519
ge	w9_d535e3522
halten	w1_d535e3528
worden,	w3_d535e3531
und	w5_d535e3534
man	w7_d535e3537
sagt,	w9_d535e3540
daß	w11_d535e3543
die	w13_d535e3547
Ausführung	w1_d535e3552
gewisser	w3_d535e3555
vorgeschlagenen	w5_d535e3558
Un	w7_d535e3561
ternehmungen	w1_d535e3566
die	w3_d535e3569
Haupt=ursache	w5_d535e3572
derselben	w7_d535e3575
gewesen	w1_d535e3580
seyen.	w3_d535e3583
Morgen	w5_d535e3586
solle	w7_d535e3589
in	w9_d535e3592
der	w11_d535e3595
Kam	w13_d535e3599
mer	w1_d535e3605
der	w3_d535e3608
Gemeinen	w5_d535e3611
von	w7_d535e3614
einer	w9_d535e3617
beträchtigen	w11_d535e3620
Affaire	w1_d535e3625
gehandlet	w3_d535e3628
werden.	w5_d535e3631
Die	w7_d535e3634
Arte	w9_d535e3637
de	w11_d535e3640
nenjenigen	w1_d535e3645
beyzuspringen,	w3_d535e3648
welche	w5_d535e3651
ausser	w7_d535e3654
Stande	w1_d535e3659
sind,	w3_d535e3662
ihre	w5_d535e3665
Schulden	w7_d535e3668
zu	w9_d535e3671
dezahlen,	w11_d535e3674
und	w1_d535e3680
über	w3_d535e3683
weiche	w5_d535e3686
man	w7_d535e3689
sich	w9_d535e3692
jetzo	w11_d535e3695
berahtschla	w13_d535e3699
get,	w1_d535e3704
ist	w3_d535e3707
höchst	w5_d535e3710
nohtwendig,	w7_d535e3713
dann	w9_d535e3716
man	w11_d535e3719
hat	w13_d535e3723
er	w15_d535e3726
fahren,	w1_d535e3731
daß	w3_d535e3734
über	w5_d535e3737
60000.	w7_d535e3740
Personen	w9_d535e3743
ohne	w11_d535e3746
Einbegrif	w1_d535e3751
derjenigen,	w3_d535e3754
so	w5_d535e3757
sich	w7_d535e3760
über	w9_d535e3763
das	w11_d535e3766
Meer	w13_d535e3770
geflüchtet,	w1_d535e3776
in	w3_d535e3779
denen	w5_d535e3782
Gefängnüssen	w7_d535e3785
dieses	w9_d535e3788
Königreichs	w1_d535e3793
aus	w3_d535e3796
dieser	w5_d535e3799
Ursacht	w7_d535e3802
verwahret	w9_d535e3805
werden.	w1_d535e3810
Man	w3_d535e3813
sagt,	w5_d535e3816
daß	w7_d535e3819
der	w9_d535e3822
Chevalier	w11_d535e3825
Morduunt,	w1_d535e3830
General=leutenant	w3_d535e3833
das	w5_d535e3836
Com	w7_d535e3839
mando	w1_d535e3845
en	w3_d535e3848
Chef,	w5_d535e3851
an	w7_d535e3854
statt	w9_d535e3857
des	w11_d535e3860
Marquis	w13_d535e3864
Granby,	w1_d535e3869
welcher	w3_d535e3872
in	w5_d535e3875
England	w7_d535e3878
zurück	w9_d535e3881
keh	w11_d535e3884
ret,	w1_d535e3889
über	w3_d535e3892
die	w5_d535e3895
Engländische	w7_d535e3898
Trupen	w9_d535e3901
in	w11_d535e3904
Teutsch	w13_d535e3908
land	w1_d535e3913
bekommen	w3_d535e3916
werde.	w5_d535e3919
</p>
<head id="h2_d535e3925">
Versailles	w1_d535e3929
21.	w3_d535e3932
Febr.	w5_d535e3935
</head>
<p id="p4_d535e3938">
Den	w1_d535e3942
14.	w3_d535e3945
dieses	w5_d535e3948
langte	w7_d535e3951
der	w9_d535e3954
Herr	w11_d535e3957
Graf	w13_d535e3961
von	w1_d535e3966
der	w3_d535e3969
Lausitz	w5_d535e3972
in	w7_d535e3975
hohem	w9_d535e3978
Wohlseyn	w11_d535e3981
aus	w13_d535e3985
Teutschland	w1_d535e3990
hier	w3_d535e3993
an.	w5_d535e3996
Der	w7_d535e3999
Herr	w9_d535e4002
von	w11_d535e4005
Guer,	w13_d535e4009
Oberst=leutenant	w1_d535e4015
der	w3_d535e4018
Französischen	w5_d535e4021
Leibwa	w7_d535e4024
chen,	w1_d535e4029
ersuchte	w3_d535e4032
Se.	w5_d535e4035
Königl.	w7_d535e4038
Majest.	w9_d535e4041
um	w11_d535e4044
die	w1_d535e4049
Erlaubnuß,	w3_d535e4052
sich	w5_d535e4055
in	w7_d535e4058
die	w9_d535e4061
Ruhe	w11_d535e4064
zu	w13_d535e4068
ver	w15_d535e4071
fügen;	w1_d535e4076
Se.	w3_d535e4079
Majest.	w5_d535e4082
verliehen	w7_d535e4085
ihm	w9_d535e4088
diese	w11_d535e4091
Gnade,	w1_d535e4097
nebst	w3_d535e4100
dem	w5_d535e4103
Gouvernement	w7_d535e4106
von	w9_d535e4109
Lan	w11_d535e4112
drecy,	w1_d535e4117
das	w3_d535e4120
der	w5_d535e4123
Herr	w7_d535e4126
Marschall	w9_d535e4129
von	w11_d535e4132
Biron	w13_d535e4136
freywillig	w1_d535e4141
niederlegte.	w3_d535e4144
Der	w5_d535e4147
Herr	w7_d535e4150
von	w9_d535e4153
la	w11_d535e4156
Sone	w1_d535e4161
wurde	w3_d535e4164
an	w5_d535e4167
statt	w7_d535e4170
des	w9_d535e4173
Herrn	w11_d535e4176
von	w13_d535e4180
Guer,	w15_d535e4183
</p>
<p id="p6_d535e4186">
Oberst=leutenant,	w1_d535e4190
seine	w3_d535e4193
Compagnie	w5_d535e4196
aber	w7_d535e4199
empfienge	w1_d535e4204
der	w3_d535e4207
Herr	w5_d535e4210
von	w7_d535e4213
Dampierre.	w9_d535e4216
Die	w11_d535e4219
Herren	w1_d535e4224
Johann	w3_d535e4227
Baptista,	w5_d535e4230
und	w7_d535e4233
Carl	w9_d535e4236
Haudi	w11_d535e4239
quer,	w1_d535e4245
Geistliche	w3_d535e4248
aus	w5_d535e4251
der	w7_d535e4254
Abtey	w9_d535e4257
von	w11_d535e4260
St.	w13_d535e4264
Germain	w1_d535e4269
des	w3_d535e4272
Pretz,	w5_d535e4275
überreichten	w7_d535e4278
dem	w9_d535e4281
Kö	w11_d535e4284
nig	w1_d535e4289
den	w3_d535e4292
zehenden	w5_d535e4295
Band	w7_d535e4298
der	w9_d535e4301
Sammlung	w11_d535e4304
von	w13_d535e4308
den	w1_d535e4313
Geschichts=schreibern	w3_d535e4316
Frankreichs	w5_d535e4319
</p>
<head id="h2_d535e4325">
Nimwegen	w1_d535e4329
23.	w3_d535e4332
Febr.	w5_d535e4335
</head>
<p id="p4_d535e4338">
Auf	w1_d535e4342
Befehl	w3_d535e4345
des	w5_d535e4348
Herrn	w7_d535e4351
Marschalls,	w9_d535e4354
Her	w11_d535e4357
zogen	w1_d535e4362
von	w3_d535e4365
Bröglie,	w5_d535e4368
müssen	w7_d535e4371
alle	w9_d535e4374
Französi	w11_d535e4377
lche	w1_d535e4382
Regimenter	w3_d535e4385
an	w5_d535e4388
dem	w7_d535e4391
Nieder	w9_d535e4394
=rhein	w11_d535e4397
von	w13_d535e4401
jeder	w1_d535e4407
Compagnie	w3_d535e4410
12.	w5_d535e4413
Mann	w7_d535e4416
abgeben;	w9_d535e4419
die	w11_d535e4422
ses	w1_d535e4427
wird	w3_d535e4430
ein	w5_d535e4433
frisches	w7_d535e4436
Corps	w9_d535e4439
von	w11_d535e4442
10000.	w13_d535e4446
Mann	w1_d535e4451
ausmachen.	w3_d535e4454
Die	w5_d535e4457
erstere	w7_d535e4460
Bataillon	w9_d535e4463
davon	w1_d535e4468
gieng	w3_d535e4471
bereits	w5_d535e4474
aus	w7_d535e4477
der	w9_d535e4480
Gegend	w11_d535e4483
von	w13_d535e4487
Wesel	w1_d535e4493
den	w3_d535e4496
15.	w5_d535e4499
ab,	w7_d535e4502
und	w9_d535e4505
langte	w11_d535e4508
den	w13_d535e4512
16.	w15_d535e4515
dieses	w1_d535e4520
zu	w3_d535e4523
Haltern	w5_d535e4526
an.	w7_d535e4529
Die	w9_d535e4532
andere	w11_d535e4535
stehet	w13_d535e4539
auch	w1_d535e4544
schon	w3_d535e4547
über	w5_d535e4550
Düsseldorf.	w7_d535e4553
Die	w9_d535e4556
weit	w11_d535e4559
ent	w13_d535e4563
legene	w1_d535e4568
Reiterey	w3_d535e4571
konte	w5_d535e4574
erstlich	w7_d535e4577
den	w9_d535e4580
18.	w11_d535e4583
We	w13_d535e4587
sel	w1_d535e4593
paßiren.	w3_d535e4596
</p>
<head id="h2_d535e4603">
Frankfurt	w1_d535e4607
1.	w3_d535e4610
Martii.	w5_d535e4613
</head>
<p id="p4_d535e4616">
Heute	w1_d535e4620
war	w3_d535e4623
das	w5_d535e4626
Königl.	w7_d535e4629
Französische	w9_d535e4632
Haupt=quartier	w1_d535e4637
annoch	w3_d535e4640
in	w5_d535e4643
Büdingen.	w7_d535e4646
Jn	w9_d535e4649
zwischen	w1_d535e4654
vernihmt	w3_d535e4657
man	w5_d535e4660
folgende	w7_d535e4663
Promo	w9_d535e4666
tion,	w1_d535e4672
welche	w3_d535e4675
Se.	w5_d535e4678
Allerchristlichste	w7_d535e4681
Majest.	w9_d535e4684
vorgenommen	w1_d535e4689
haben:	w3_d535e4692
Der	w5_d535e4695
Obriste	w7_d535e4698
des	w9_d535e4701
Re	w11_d535e4704
giments	w1_d535e4709
Royal	w3_d535e4712
Deuxponts,	w5_d535e4715
der	w7_d535e4718
wol	w9_d535e4721
ver	w11_d535e4724
diente	w1_d535e4729
Brigadier,	w3_d535e4732
Frey=herr	w5_d535e4735
von	w7_d535e4738
Closen,	w9_d535e4741
wurde	w1_d535e4747
nebst	w3_d535e4750
dem	w5_d535e4753
Herrn	w7_d535e4756
Marquis	w9_d535e4759
von	w11_d535e4762
Ca	w13_d535e4766
raman,	w1_d535e4771
zum	w3_d535e4774
Marschall	w5_d535e4777
de	w7_d535e4780
Camp	w9_d535e4783
ernannt,	w11_d535e4786
und	w1_d535e4791
das	w3_d535e4794
Regiment	w5_d535e4797
Caraman	w7_d535e4800
erhielte	w9_d535e4803
der	w11_d535e4806
Herr	w1_d535e4811
Marquis	w3_d535e4814
d'Audichamps,	w5_d535e4817
den	w7_d535e4820
Herrn	w9_d535e4823
Vicomte	w1_d535e4829
von	w3_d535e4832
Narbonne,	w5_d535e4835
welchem	w7_d535e4838
man	w9_d535e4841
we	w11_d535e4844
gen	w1_d535e4849
der	w3_d535e4852
wackern	w5_d535e4855
Vertheidigung	w7_d535e4858
von	w9_d535e4861
Fritz	w11_d535e4864
lar	w1_d535e4869
so	w3_d535e4872
vieles	w5_d535e4875
zu	w7_d535e4878
verdanken	w9_d535e4881
hat,	w11_d535e4884
begnädigte	w13_d535e4888
der	w1_d535e4893
König	w3_d535e4896
mit	w5_d535e4899
dem	w7_d535e4902
Groß=creutz	w9_d535e4905
vom	w11_d535e4908
Heil.	w13_d535e4912
Ludwig,	w1_d535e4918
und	w3_d535e4921
dem	w5_d535e4924
Brevet	w7_d535e4927
eines	w9_d535e4930
Brigadier	w11_d535e4933
Jhrer	w1_d535e4938
Armeen.	w3_d535e4941
</p>
<head id="h2_d535e4947">
Lüttich	w1_d535e4951
23.	w3_d535e4954
Febr.	w5_d535e4957
</head>
<p id="p4_d535e4960">
Wir	w1_d535e4964
vernehmen,	w3_d535e4967
daß	w5_d535e4970
der	w7_d535e4973
Graf	w9_d535e4976
von	w11_d535e4979
Affey,	w13_d535e4983
Gesandter	w1_d535e4988
des	w3_d535e4991
Königs	w5_d535e4994
von	w7_d535e4997
Fraukeich	w9_d535e5000
bey	w11_d535e5003
denen	w1_d535e5008
General=staaten	w3_d535e5011
der	w5_d535e5014
vereinigten	w7_d535e5017
Pro	w9_d535e5020
</p>
<p id="p10_d535e5033">
vinzen	w1_d535e5037
der	w3_d535e5040
Versammlung	w5_d535e5043
ihrer	w7_d535e5046
Hochmögen	w9_d535e5049
den	w1_d535e5054
wegen	w3_d535e5057
der	w5_d535e5060
zu	w7_d535e5063
Ende	w9_d535e5066
des	w11_d535e5069
verflossenen	w13_d535e5073
Mo	w15_d535e5076
nats	w1_d535e5081
Januarii	w3_d535e5084
auf	w5_d535e5087
der	w7_d535e5090
Höhe	w9_d535e5093
von	w11_d535e5096
s	w13_d535e5100
Gra	w15_d535e5103
vesande	w1_d535e5109
zwischen	w3_d535e5112
der	w5_d535e5115
Fregatte	w7_d535e5118
la	w9_d535e5121
Felicite,	w11_d535e5124
und	w1_d535e5129
der	w3_d535e5132
Engländischen	w5_d535e5135
le	w7_d535e5138
Richmond,	w9_d535e5141
nebst	w11_d535e5144
2.	w1_d535e5149
anderen	w3_d535e5152
Bastimenten	w5_d535e5155
vorgegangenen	w7_d535e5158
Af	w9_d535e5161
faire	w1_d535e5166
ein	w3_d535e5169
Memoie	w5_d535e5172
überreichet	w7_d535e5175
habe,	w9_d535e5178
worin	w11_d535e5181
nen	w1_d535e5187
eigentlich	w3_d535e5190
enthalten:	w5_d535e5193
Daß	w7_d535e5196
der	w9_d535e5199
König	w11_d535e5202
sein	w1_d535e5207
Herr	w3_d535e5210
über	w5_d535e5213
den	w7_d535e5216
so	w9_d535e5219
wenig	w11_d535e5222
von	w13_d535e5226
Seiten	w15_d535e5229
der	w17_d535e5232
Engländer	w1_d535e5237
gegen	w3_d535e5240
die	w5_d535e5243
Neutralität	w7_d535e5246
der	w9_d535e5249
Re	w11_d535e5252
public	w1_d535e5257
bezeigenden	w3_d535e5260
Respect	w5_d535e5263
wahrhaftig	w7_d535e5266
auf	w9_d535e5269
gebracht	w1_d535e5275
seye,	w3_d535e5278
Se.	w5_d535e5281
Excell.	w7_d535e5284
fordere	w9_d535e5287
sodann	w11_d535e5290
im	w1_d535e5295
Name	w3_d535e5298
Sr.	w5_d535e5301
Allerchristlichsten	w7_d535e5304
Majestät	w9_d535e5307
die	w1_d535e5312
Fregatte	w3_d535e5315
mit	w5_d535e5318
der	w7_d535e5321
Ladung,	w9_d535e5324
Unkösten,	w11_d535e5327
Schaden,	w1_d535e5332
und	w3_d535e5335
Jnteresse	w5_d535e5338
wiederum	w7_d535e5341
zurück,	w9_d535e5344
er	w1_d535e5350
hoffe	w3_d535e5353
auch,	w5_d535e5356
daß	w7_d535e5359
Jhre	w9_d535e5362
Hochmögende	w11_d535e5365
nicht	w13_d535e5369
säumen	w1_d535e5374
werden,	w3_d535e5377
nacher	w5_d535e5380
England	w7_d535e5383
wegen	w9_d535e5386
dieser	w1_d535e5391
gerechten	w3_d535e5394
Zurückforderung	w5_d535e5397
zu	w7_d535e5400
schrei	w9_d535e5403
ben,	w1_d535e5408
welche	w3_d535e5411
ihnen	w5_d535e5414
der	w7_d535e5417
Londner=hof	w9_d535e5420
nicht	w11_d535e5423
abschlagen	w1_d535e5429
kan,	w3_d535e5432
ohne	w5_d535e5435
ihnen	w7_d535e5438
hinlängliche	w9_d535e5441
Ursache	w1_d535e5446
zu	w3_d535e5449
geben,	w5_d535e5452
für	w7_d535e5455
das	w9_d535e5458
künftige	w11_d535e5461
zu	w13_d535e5465
förch	w15_d535e5468
len.	w1_d535e5473
Ubrigens	w3_d535e5476
habe	w5_d535e5479
er	w7_d535e5482
Befehl	w9_d535e5485
von	w11_d535e5488
seinem	w13_d535e5492
König,	w1_d535e5497
ihren	w3_d535e5500
Hochmögenden	w5_d535e5503
ein	w7_d535e5506
Danksa	w9_d535e5509
gung=compliment	w1_d535e5515
abzulegen,	w3_d535e5518
weilen	w5_d535e5521
sich	w7_d535e5524
dieselbe	w1_d535e5529
wegen	w3_d535e5532
der	w5_d535e5535
Equipage,	w7_d535e5538
und	w9_d535e5541
dersel	w11_d535e5544
ben	w1_d535e5549
Bleßirten	w3_d535e5552
sowol,	w5_d535e5555
als	w7_d535e5558
der	w9_d535e5561
übrigen	w11_d535e5564
Er	w13_d535e5568
haltung	w1_d535e5573
dieser	w3_d535e5576
Fregatte	w5_d535e5579
so	w7_d535e5582
viele	w9_d535e5585
Mühe	w11_d535e5588
ge	w13_d535e5592
geben.	w1_d535e5598
Fortsetzung	w1_d535e5603
des	w3_d535e5606
Journals	w5_d535e5609
der	w7_d535e5612
Kön.	w9_d535e5615
</p>
<head id="h2_d535e5621">
Französischen	w1_d535e5625
Kriegs=operationen	w3_d535e5628
vom	w1_d535e5633
13.	w3_d535e5636
bis	w5_d535e5639
24.	w7_d535e5642
Febr.	w9_d535e5645
</head>
<p id="p4_d535e5648">
Nachdeme	w1_d535e5652
der	w3_d535e5655
Herr	w5_d535e5658
Herzog	w7_d535e5661
Ferdinand	w9_d535e5664
in	w1_d535e5669
dem	w3_d535e5672
inneren	w5_d535e5675
Theil	w7_d535e5678
von	w9_d535e5681
denen	w11_d535e5684
Win	w13_d535e5688
ter=quartieren	w1_d535e5693
seine	w3_d535e5696
Armee	w5_d535e5699
verschiedene	w7_d535e5702
Be	w9_d535e5705
wegungen	w1_d535e5711
machen	w3_d535e5714
liesse,	w5_d535e5717
welche	w7_d535e5720
die	w9_d535e5723
wahre	w11_d535e5726
Absichten	w1_d535e5731
nur	w3_d535e5734
verhüllen	w5_d535e5737
sollten,	w7_d535e5740
so	w9_d535e5743
kamen	w11_d535e5746
endlichen	w1_d535e5751
solche	w3_d535e5754
durch	w5_d535e5757
eine	w7_d535e5760
allgemeine,	w9_d535e5763
und	w11_d535e5766
von	w1_d535e5771
der	w3_d535e5774
Saal	w5_d535e5777
bis	w7_d535e5780
Paderborn	w9_d535e5783
zusammenge	w11_d535e5786
setzte	w1_d535e5792
Bewegung	w3_d535e5795
an	w5_d535e5798
den	w7_d535e5801
Tag.	w9_d535e5804
Seit	w11_d535e5807
dem	w13_d535e5811
9ten	w1_d535e5816
erhielte	w3_d535e5819
man	w5_d535e5822
Nachricht,	w7_d535e5825
daß	w9_d535e5828
der	w11_d535e5831
Herr	w13_d535e5835
Erb	w1_d535e5840
prinz	w3_d535e5843
mit	w5_d535e5846
einem	w7_d535e5849
Corps	w9_d535e5852
von	w11_d535e5855
15.	w13_d535e5859
bis	w15_d535e5862
20.	w17_d535e5865
1000.	w1_d535e5870
Mann	w3_d535e5873
gegen	w5_d535e5876
Stadberg	w7_d535e5879
sich	w9_d535e5882
wende,	w11_d535e5885
wovon	w1_d535e5891
er	w3_d535e5894
abermals	w5_d535e5897
den	w7_d535e5900
10.	w9_d535e5903
gegen	w11_d535e5906
Corbach	w13_d535e5910
</p>
<p id="p6_d535e5913">
aufbrache,	w1_d535e5917
und	w3_d535e5920
hierdurch	w5_d535e5923
eine	w7_d535e5926
Unternehmung	w9_d535e5929
auf	w1_d535e5934
Marburg	w3_d535e5937
vermuten	w5_d535e5940
liesse.	w7_d535e5943
Zu	w9_d535e5946
gleicher	w11_d535e5949
Zeit	w1_d535e5954
muste	w3_d535e5957
auf	w5_d535e5960
Befehl	w7_d535e5963
des	w9_d535e5966
Prinzens	w11_d535e5969
Ferdi	w13_d535e5973
nand	w1_d535e5979
ein	w3_d535e5982
anderes	w5_d535e5985
Corps	w7_d535e5988
die	w9_d535e5991
Dymel	w11_d535e5994
paßiren,	w13_d535e5998
welches	w1_d535e6003
gegen	w3_d535e6006
dem	w5_d535e6009
sogenannten	w7_d535e6012
Winterka	w9_d535e6015
sten	w1_d535e6020
vorruckte,	w3_d535e6023
er	w5_d535e6026
aber	w7_d535e6029
für	w9_d535e6032
seine	w11_d535e6035
Person	w13_d535e6039
ver	w15_d535e6042
bliebe	w1_d535e6047
in	w3_d535e6050
Gaismar.	w5_d535e6053
Die	w7_d535e6056
leichte	w9_d535e6059
Trupen	w11_d535e6062
von	w13_d535e6066
diesem	w1_d535e6072
letzteren	w3_d535e6075
Corps	w5_d535e6078
zeigten	w7_d535e6081
sich	w9_d535e6084
vom	w11_d535e6087
11.	w13_d535e6091
bis	w1_d535e6096
den	w3_d535e6099
12.	w5_d535e6102
ganz	w7_d535e6105
nahe	w9_d535e6108
bey	w11_d535e6111
Cassel,	w13_d535e6115
und	w15_d535e6118
brei	w17_d535e6121
teten	w1_d535e6126
sich	w3_d535e6129
in	w5_d535e6132
die	w7_d535e6135
