<doc id="wr_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="2">
<head id="h2_d677e3437">
Warschau	w1_d677e3441
mit	w3_d677e4333
einem	w5_d677e4336
Corps	w7_d677e4339
von	w9_d677e4342
4.	w11_d677e4345
bis	w13_d677e4349
5000.	w15_d677e4352
Mann,	w1_d677e4357
7.	w3_d677e4360
Canonen,	w5_d677e4363
9.	w7_d677e4366
Mörsern	w9_d677e4369
und	w11_d677e4372
Hau	w13_d677e4376
bitzen	w1_d677e4382
gegen	w3_d677e4385
das	w5_d677e4388
Schloß	w7_d677e4391
anrückte.	w9_d677e4394
Das	w11_d677e4397
Feuer	w1_d677e4402
war	w3_d677e4405
zwey	w5_d677e4408
Tage	w7_d677e4411
lang	w9_d677e4414
eines	w11_d677e4417
der	w13_d677e4421
lebhaf	w15_d677e4424
testen,	w1_d677e4429
und	w3_d677e4432
das	w5_d677e4435
Schloß	w7_d677e4438
ist	w9_d677e4441
gänzlich	w11_d677e4444
ruini	w13_d677e4448
ret.	w1_d677e4453
Man	w3_d677e4456
vermutet,	w5_d677e4459
daß	w7_d677e4462
dem	w9_d677e4465
alleinigen	w11_d677e4468
Mangel	w1_d677e4474
des	w3_d677e4477
Wassers	w5_d677e4480
die	w7_d677e4483
Ubergabe	w9_d677e4486
beyzu	w11_d677e4489
messen	w1_d677e4494
seye;	w3_d677e4497
er	w5_d677e4500
zoge	w7_d677e4503
heute	w9_d677e4506
in	w11_d677e4509
der	w13_d677e4513
Frühe	w15_d677e4516
an	w17_d677e4519
der	w1_d677e4524
Spitze	w3_d677e4527
seiner	w5_d677e4530
Besatzung	w7_d677e4533
aus,	w9_d677e4536
und	w11_d677e4539
nach	w13_d677e4543
Marburg.	w1_d677e4548
Die	w3_d677e4551
Capitulation	w5_d677e4554
hat	w7_d677e4557
folgen	w9_d677e4560
den	w1_d677e4566
Jnhalt:	w3_d677e4569
</p>
<p id="p12_d677e4573">
Art.	w1_d677e4577
1.	w3_d677e4580
Der	w5_d677e4583
Commandant	w7_d677e4586
des	w9_d677e4589
Schlosses	w11_d677e4592
zu	w1_d677e4597
Waldeck	w3_d677e4600
wird	w5_d677e4603
sogleich	w7_d677e4606
ein	w9_d677e4609
Detaschement	w11_d677e4612
deren	w1_d677e4617
Königl.	w3_d677e4620
Groß=brittannischen	w5_d677e4623
Trupen	w7_d677e4626
einlassen,	w1_d677e4632
um	w3_d677e4635
von	w5_d677e4638
denen	w7_d677e4641
äusseren	w9_d677e4644
Werkern	w11_d677e4647
des	w1_d677e4652
Schlosses	w3_d677e4655
Besitz	w5_d677e4658
zu	w7_d677e4661
nehmen.	w9_d677e4664
</p>
<p id="p14_d677e4667">
Art.	w1_d677e4671
2.	w3_d677e4674
der	w5_d677e4677
Staab	w7_d677e4680
sowol	w9_d677e4683
als	w11_d677e4686
die	w13_d677e4690
ganze	w15_d677e4693
Garnison	w1_d677e4698
des	w3_d677e4701
Schlosses	w5_d677e4704
wird	w7_d677e4707
morgen	w9_d677e4710
mit	w11_d677e4713
Gewehr	w1_d677e4718
und	w3_d677e4721
Waffen,	w5_d677e4724
Equipage	w7_d677e4727
und	w9_d677e4730
klin	w11_d677e4733
gendem	w1_d677e4739
Spiel	w3_d677e4742
ausziehen,	w5_d677e4745
um	w7_d677e4748
sich	w9_d677e4751
nach	w11_d677e4754
Mar	w13_d677e4758
burg	w1_d677e4763
zu	w3_d677e4766
begeben,	w5_d677e4769
und	w7_d677e4772
von	w9_d677e4775
da	w11_d677e4778
in	w13_d677e4782
Frankreich.	w15_d677e4785
</p>
<p id="p16_d677e4788">
Die	w1_d677e4792
ganze	w3_d677e4795
Besatzung	w5_d677e4798
und	w7_d677e4801
der	w9_d677e4804
Staab	w11_d677e4807
wird	w13_d677e4811
in	w1_d677e4816
Jahr	w3_d677e4819
und	w5_d677e4822
Tag,	w7_d677e4825
von	w9_d677e4828
dem	w11_d677e4831
Tag	w13_d677e4835
der	w15_d677e4838
Capi	w17_d677e4841
tulation	w1_d677e4846
an	w3_d677e4849
zu	w5_d677e4852
rechnen,	w7_d677e4855
gegen	w9_d677e4858
Se.	w11_d677e4861
Königl.	w13_d677e4865
Groß=brittannische	w1_d677e4871
Majestät,	w3_d677e4874
und	w5_d677e4877
dessen	w7_d677e4880
Al	w9_d677e4883
liirten	w1_d677e4888
nicht	w3_d677e4891
dienen.	w5_d677e4894
</p>
<p id="p18_d677e4897">
Art.	w1_d677e4901
3.	w3_d677e4904
Der	w5_d677e4907
Commandant	w7_d677e4910
wird	w9_d677e4913
sogleich	w11_d677e4916
alle	w1_d677e4921
Munition	w3_d677e4924
und	w5_d677e4927
Mund=vorrat,	w7_d677e4930
so	w9_d677e4933
in	w11_d677e4936
dem	w13_d677e4940
Schloß	w1_d677e4945
vorrätig,	w3_d677e4948
überliefern,	w5_d677e4951
und	w7_d677e4954
ein	w9_d677e4957
ge	w11_d677e4960
treues	w1_d677e4966
Verzeichniß	w3_d677e4969
aller	w5_d677e4972
der	w7_d677e4975
jenigen	w9_d677e4978
Effecten	w11_d677e4981
übergeben,	w1_d677e4986
so	w3_d677e4989
seiner	w5_d677e4992
Allerchristlichsten	w7_d677e4995
Ma	w9_d677e4998
jestät	w1_d677e5003
gehörig,	w3_d677e5006
anjetzo	w5_d677e5009
aber	w7_d677e5012
Seiner	w9_d677e5015
Königl.	w11_d677e5018
Groß=brittannischen	w1_d677e5023
Majestät	w3_d677e5026
anheim	w5_d677e5029
fallen.	w7_d677e5032
</p>
<p id="p20_d677e5035">
Art.	w1_d677e5039
4.	w3_d677e5042
Die	w5_d677e5045
bleßirte	w7_d677e5048
und	w9_d677e5051
kranke	w11_d677e5054
Solda	w13_d677e5058
ten	w1_d677e5063
sind	w3_d677e5066
in	w5_d677e5069
dieser	w7_d677e5072
Capirulation	w9_d677e5075
mit	w11_d677e5078
einbe	w13_d677e5082
griffen,	w1_d677e5087
hingegen	w3_d677e5090
erstrecket	w5_d677e5093
sich	w7_d677e5096
dieselbe	w9_d677e5099
nicht	w11_d677e5102
auf	w1_d677e5108
die	w3_d677e5111
Commis	w5_d677e5114
deren	w7_d677e5117
Vivres,	w9_d677e5120
Fourages,	w11_d677e5123
Spitälern,	w1_d677e5128
Feldscherers,	w3_d677e5131
Kranken=warter	w5_d677e5134
rc.	w7_d677e5137
</p>
<p id="p22_d677e5140">
welche	w1_d677e5144
fürohin,	w3_d677e5147
wie	w5_d677e5150
jetzo	w7_d677e5153
in	w9_d677e5156
ihrer	w11_d677e5159
Qualität	w13_d677e5163
dienen	w1_d677e5168
dürfen,	w3_d677e5171
nachdem	w5_d677e5174
sie	w7_d677e5177
vorhero	w9_d677e5180
die	w11_d677e5183
Gar	w13_d677e5187
nison	w1_d677e5192
nach	w3_d677e5195
Marburg	w5_d677e5198
begleitet	w7_d677e5201
haben.	w9_d677e5204
</p>
<p id="p24_d677e5208">
Man	w1_d677e5212
wird	w3_d677e5215
die	w5_d677e5218
nöhtige	w7_d677e5221
Wagen	w9_d677e5224
von	w11_d677e5227
dem	w13_d677e5231
Lande	w1_d677e5236
verschaffen,	w3_d677e5239
um	w5_d677e5242
die	w7_d677e5245
Kranke	w9_d677e5248
und	w11_d677e5251
Ba	w13_d677e5255
gage	w1_d677e5260
deren	w3_d677e5263
Herren	w5_d677e5266
Officiers	w7_d677e5269
zu	w9_d677e5272
transporti	w11_d677e5275
ren:	w1_d677e5281
die	w3_d677e5284
Fuhren	w5_d677e5287
sollen,	w7_d677e5290
sobald	w9_d677e5293
möglich,	w11_d677e5296
zu	w13_d677e5300
ruck	w1_d677e5305
geschicket,	w3_d677e5308
und	w5_d677e5311
in	w7_d677e5314
allem	w9_d677e5317
Fall	w11_d677e5320
nicht	w13_d677e5324
wei	w15_d677e5327
ter	w1_d677e5332
als	w3_d677e5335
nach	w5_d677e5338
Marburg	w7_d677e5341
mitgenommen	w9_d677e5344
werden.	w11_d677e5347
</p>
<p id="p26_d677e5350">
Art.	w1_d677e5354
5.	w3_d677e5357
Der	w5_d677e5360
Commandant	w7_d677e5363
wird	w9_d677e5366
ein	w11_d677e5369
Ver	w13_d677e5373
zeichniß	w1_d677e5378
von	w3_d677e5381
jenen	w5_d677e5384
Effecten	w7_d677e5387
überliefern,	w9_d677e5390
so	w11_d677e5393
Sr.	w1_d677e5398
Durchlaucht	w3_d677e5401
dem	w5_d677e5404
Fürsten	w7_d677e5407
von	w9_d677e5410
Waldeck	w11_d677e5413
zugehörig;	w1_d677e5419
sofort	w3_d677e5422
auch	w5_d677e5425
die	w7_d677e5428
Schulden,	w9_d677e5431
so	w11_d677e5434
von	w13_d677e5438
der	w1_d677e5443
Garnison	w3_d677e5446
gemacht	w5_d677e5449
worden,	w7_d677e5452
mit	w9_d677e5455
Geld	w11_d677e5458
oder	w1_d677e5463
Quittungen	w3_d677e5466
berichtiget;	w5_d677e5469
imgleichen	w7_d677e5472
wird	w9_d677e5475
er	w1_d677e5480
Sorge	w3_d677e5483
tragen,	w5_d677e5486
daß	w7_d677e5489
die	w9_d677e5492
Schulden	w11_d677e5495
deren	w13_d677e5499
Particuliers	w1_d677e5505
abgetragen	w3_d677e5508
werden.	w5_d677e5511
</p>
<p id="p28_d677e5514">
Art.	w1_d677e5518
6.	w3_d677e5521
Man	w5_d677e5524
will	w7_d677e5527
die	w9_d677e5530
Deserteurs,	w11_d677e5533
wann	w13_d677e5537
man	w1_d677e5542
deren	w3_d677e5545
in	w5_d677e5548
der	w7_d677e5551
Garnison	w9_d677e5554
findet,	w11_d677e5557
und	w13_d677e5561
die	w15_d677e5564
selbe	w1_d677e5569
von	w3_d677e5572
einem	w5_d677e5575
Officier	w7_d677e5578
erkannt	w9_d677e5581
werden,	w11_d677e5584
ausliefern.	w1_d677e5590
</p>
<head id="h2_d677e5596">
Geschehen	w1_d677e5600
Waldeck	w3_d677e5603
den	w5_d677e5606
11.	w7_d677e5609
Julii	w9_d677e5612
Abends	w11_d677e5615
um	w1_d677e5620
9.	w3_d677e5623
Uhr.	w5_d677e5626
Unterschrieben:	w7_d677e5629
Boys,	w1_d677e5634
H.	w1_d677e5640
S.	w3_d677e5643
Convey,	w5_d677e5646
Commandant	w1_d677e5651
General=leutenant	w1_d677e5656
Sr.	w3_d677e5659
Königl.	w1_d677e5664
Großbrit	w3_d677e5667
Sr.	w1_d677e5673
Allerchristl.	w3_d677e5676
Majestät.	w1_d677e5681
tannischen	w1_d677e5686
Majest.	w3_d677e5689
</head>
<head id="h2_d677e5696">
Yhnsbruck	w1_d677e5700
20.	w3_d677e5703
Julii.	w5_d677e5706
</head>
<p id="p4_d677e5709">
Man	w1_d677e5713
höret	w3_d677e5716
noch	w5_d677e5719
in	w7_d677e5722
unseren	w9_d677e5725
Gegenden	w11_d677e5728
nichts	w1_d677e5733
als	w3_d677e5736
von	w5_d677e5739
den	w7_d677e5742
grausamen	w9_d677e5745
Schäden	w11_d677e5748
sprechen,	w1_d677e5753
welche	w3_d677e5756
die	w5_d677e5759
neuliche	w7_d677e5762
Ueberschwem	w9_d677e5765
mung	w1_d677e5771
des	w3_d677e5774
Yhnthals	w5_d677e5777
verursachet	w7_d677e5780
hat:	w9_d677e5783
auch	w11_d677e5786
die	w1_d677e5791
kleineren	w3_d677e5794
Flüsse,	w5_d677e5797
die	w7_d677e5800
Vacca,	w9_d677e5803
Rofana,	w11_d677e5806
der	w13_d677e5810
Piger,	w1_d677e5815
der	w3_d677e5818
Etzbach,	w5_d677e5821
die	w7_d677e5824
Mela	w9_d677e5827
und	w11_d677e5830
andere	w13_d677e5834
ha	w15_d677e5837
ben	w1_d677e5842
sich	w3_d677e5845
ergossen:	w5_d677e5848
fast	w7_d677e5851
alle	w9_d677e5854
Brücken	w11_d677e5857
sind	w13_d677e5861
weggerissen,	w1_d677e5867
und	w3_d677e5870
allein	w5_d677e5873
in	w7_d677e5876
dem	w9_d677e5879
Etzthal	w11_d677e5882
60.	w13_d677e5886
Häuser	w1_d677e5891
von	w3_d677e5894
dem	w5_d677e5897
Wasser	w7_d677e5900
weggenommen	w9_d677e5903
wor	w11_d677e5906
den.	w1_d677e5911
Ein	w3_d677e5914
gleiches	w5_d677e5917
Schicksal	w7_d677e5920
hatten	w9_d677e5923
noch	w11_d677e5926
andere	w1_d677e5931
Orte.	w3_d677e5934
Unsere	w5_d677e5937
Nachbaren	w7_d677e5940
die	w9_d677e5943
Bayern	w11_d677e5946
und	w1_d677e5952
Schwaben	w3_d677e5955
werden	w5_d677e5958
uns	w7_d677e5961
wenig	w9_d677e5964
Dank	w11_d677e5967
wissen,	w1_d677e5972
daß	w3_d677e5975
wir	w5_d677e5978
ihnen	w7_d677e5981
soviel	w9_d677e5984
Wasser	w11_d677e5987
zuge	w13_d677e5991
</p>
<p id="p10_d677e6004">
schicket	w1_d677e6008
haben:	w3_d677e6011
Die	w5_d677e6014
Jser	w7_d677e6017
hat	w9_d677e6020
ungemeinen	w11_d677e6023
Schaden	w1_d677e6028
bis	w3_d677e6031
München	w5_d677e6034
zugerichtet,	w7_d677e6037
und	w9_d677e6040
der	w11_d677e6043
Lech	w1_d677e6048
hat	w3_d677e6051
zu	w5_d677e6054
Füssen	w7_d677e6057
die	w9_d677e6060
Brücke	w11_d677e6063
mit	w13_d677e6067
sich	w15_d677e6070
fort	w17_d677e6073
gerissen:	w1_d677e6079
Viel	w3_d677e6082
Menschen	w5_d677e6085
und	w7_d677e6088
noch	w9_d677e6091
mehr	w11_d677e6094
Vieh	w1_d677e6099
sind	w3_d677e6102
in	w5_d677e6105
dieser	w7_d677e6108
allgemeinen	w9_d677e6111
Waffer	w11_d677e6114
noht	w1_d677e6119
zu	w3_d677e6122
Grund	w5_d677e6125
gegangen.	w7_d677e6128
</p>
<head id="h2_d677e6134">
Coesfeld	w1_d677e6138
14.	w3_d677e6141
Julii.	w5_d677e6144
</head>
<p id="p4_d677e6147">
Nachdeme	w1_d677e6151
das	w3_d677e6154
von	w5_d677e6157
denen	w7_d677e6160
Herren	w9_d677e6163
von	w11_d677e6166
Viomenil	w1_d677e6171
und	w3_d677e6174
von	w5_d677e6177
Chapt	w7_d677e6180
commandirte	w9_d677e6183
De	w11_d677e6186
taschement	w1_d677e6191
von	w3_d677e6194
der	w5_d677e6197
Avant=garde	w7_d677e6200
des	w9_d677e6203
Herrn	w11_d677e6206
von	w1_d677e6212
Melfort	w3_d677e6215
von	w5_d677e6218
Rheene	w7_d677e6221
sich	w9_d677e6224
Meister	w11_d677e6227
ge	w13_d677e6231
macht,	w1_d677e6236
alwo	w3_d677e6239
die	w5_d677e6242
Feinde	w7_d677e6245
verschiedene	w9_d677e6248
Vorra	w11_d677e6251
te	w1_d677e6256
versammlet	w3_d677e6259
hatten,	w5_d677e6262
liesse	w7_d677e6265
der	w9_d677e6268
Prinz	w11_d677e6271
von	w13_d677e6275
Conde	w1_d677e6280
den	w3_d677e6283
6.	w5_d677e6286
dieses	w7_d677e6289
an	w9_d677e6292
den	w11_d677e6295
Herrn	w13_d677e6299
von	w15_d677e6302
Vio	w17_d677e6305
menil	w1_d677e6311
den	w3_d677e6314
Befehl	w5_d677e6317
ergehen,	w7_d677e6320
mit	w9_d677e6323
seinem	w11_d677e6326
un	w13_d677e6330
terhabenden	w1_d677e6335
Detaschement	w3_d677e6338
von	w5_d677e6341
dannen	w7_d677e6344
ab,	w9_d677e6347
und	w1_d677e6352
an	w3_d677e6355
die	w5_d677e6358
Unterems	w7_d677e6361
zu	w9_d677e6364
marschieren,	w11_d677e6367
um	w13_d677e6371
aldaselbsten	w1_d677e6376
alle	w3_d677e6379
nur	w5_d677e6382
immer	w7_d677e6385
entdecken	w9_d677e6388
kön	w1_d677e6394
nende	w1_d677e6399
Vorrats=häuser	w3_d677e6402
zu	w5_d677e6405
verheeren.	w7_d677e6408
Der	w1_d677e6413
Herr	w1_d677e6418
von	w3_d677e6421
Melfort	w5_d677e6424
bekame	w7_d677e6427
den	w9_d677e6430
Auftrag	w11_d677e6433
mit	w13_d677e6437
dem	w1_d677e6443
Uberrest	w3_d677e6446
seiner	w5_d677e6449
Avant=garde	w7_d677e6452
von	w9_d677e6455
Horts	w11_d677e6458
mare	w1_d677e6463
nacher	w3_d677e6466
Rheens	w5_d677e6469
abzugehen.	w7_d677e6472
Der	w9_d677e6475
Mar	w11_d677e6478
quis	w1_d677e6483
von	w3_d677e6486
Leoy	w5_d677e6489
rückte	w7_d677e6492
mit	w9_d677e6495
einer	w11_d677e6498
Jnfanterie,	w13_d677e6502
und	w1_d677e6507
Reuter=brigade	w3_d677e6510
nacher	w5_d677e6513
Hortsmar	w7_d677e6516
ab,	w9_d677e6519
um	w1_d677e6525
den	w3_d677e6528
Herrn	w5_d677e6531
v.	w7_d677e6534
Melfort	w9_d677e6537
aldaselbst	w11_d677e6540
abzu	w13_d677e6544
lesen,	w1_d677e6549
weicher	w3_d677e6552
von	w5_d677e6555
Rheene	w7_d677e6558
bis	w9_d677e6561
Risenbeck	w11_d677e6564
und	w1_d677e6569
Decklenburg	w3_d677e6572
vorrückte	w5_d677e6575
</p>
<p id="p6_d677e6578">
Alle	w1_d677e6582
feindliche	w3_d677e6585
Magazine,	w5_d677e6588
so	w7_d677e6591
sich	w9_d677e6594
an	w11_d677e6597
der	w13_d677e6601
Unterembs	w1_d677e6606
und	w3_d677e6609
dem	w5_d677e6612
Hatze	w7_d677e6615
befanden,	w9_d677e6618
wurden	w1_d677e6623
zu	w3_d677e6626
Grund	w5_d677e6629
gerichtet,	w7_d677e6632
wobeynebst	w9_d677e6635
man	w1_d677e6641
auch	w3_d677e6644
2.	w5_d677e6647
Züge	w7_d677e6650
einer	w9_d677e6653
von	w11_d677e6656
36.	w13_d677e6660
und	w15_d677e6663
der	w17_d677e6666
an	w19_d677e6669
dere	w1_d677e6674
von	w3_d677e6677
40.	w5_d677e6680
mit	w7_d677e6683
Korn	w9_d677e6686
beladener	w11_d677e6689
Wägen	w13_d677e6693
erbeutete:	w1_d677e6698
der	w3_d677e6701
erstere	w5_d677e6704
wurde	w7_d677e6707
von	w9_d677e6710
dem	w11_d677e6713
Frey	w13_d677e6717
herrn	w1_d677e6722
von	w3_d677e6725
Viomenil,	w5_d677e6728
zwischen	w7_d677e6731
Mepper	w9_d677e6734
und	w11_d677e6737
Forstnove,	w1_d677e6743
und	w3_d677e6746
der	w5_d677e6749
zweyte	w7_d677e6752
von	w9_d677e6755
Chevalier	w11_d677e6758
Viomenil	w1_d677e6763
zwischen	w3_d677e6766
Plantlune	w5_d677e6769
und	w7_d677e6772
Jppen	w9_d677e6775
horn	w1_d677e6780
ausgehoben,	w3_d677e6783
zugleicher	w5_d677e6786
Zeit	w7_d677e6789
har	w9_d677e6792
man	w11_d677e6795
in	w1_d677e6800
denen	w3_d677e6803
Grafschaften	w5_d677e6806
Tecklenburg	w7_d677e6809
und	w9_d677e6812
Lin	w11_d677e6815
gen	w1_d677e6821
Contoibutionen	w3_d677e6824
ausgeschrieben,	w5_d677e6827
zu	w7_d677e6830
de	w9_d677e6833
renlbesserer	w1_d677e6838
Versicherung	w3_d677e6841
aus	w5_d677e6844
Leer	w7_d677e6847
und	w9_d677e6850
Qua	w11_d677e6853
ckenbrug	w1_d677e6858
Geisseln	w3_d677e6861
ausgehoben	w5_d677e6864
worden.	w7_d677e6867
</p>
<p id="p8_d677e6870">
Diese	w1_d677e6874
verschiedene	w3_d677e6877
von	w5_d677e6880
dem	w7_d677e6883
Herrn	w9_d677e6886
von	w11_d677e6889
Biumail	w1_d677e6894
an	w3_d677e6897
der	w5_d677e6900
Unterems,	w7_d677e6903
und	w9_d677e6906
dem	w11_d677e6909
</p>
<p id="p10_d677e6912">
Hatze	w1_d677e6916
zernichtete	w3_d677e6919
feindliche	w5_d677e6922
Magazins	w7_d677e6925
wa	w9_d677e6928
ren	w1_d677e6933
an	w3_d677e6936
folgenden	w5_d677e6939
Ortschaften	w7_d677e6942
angeleget,	w9_d677e6945
als	w11_d677e6948
nämlich	w1_d677e6953
zu	w3_d677e6956
Rheene,	w5_d677e6959
Meppen,	w7_d677e6962
Asselune,	w9_d677e6965
Berghom,	w1_d677e6971
Landegg,	w3_d677e6974
Haren,	w5_d677e6977
Biel,	w7_d677e6980
Stein	w9_d677e6983
bil,	w1_d677e6988
Alem,	w3_d677e6991
Drop,	w5_d677e6994
Rhedde,	w7_d677e6997
Heyde,	w9_d677e7000
Halten,	w11_d677e7003
Welge,	w1_d677e7008
und	w3_d677e7011
Wener,	w5_d677e7014
und	w7_d677e7017
der	w9_d677e7020
denen	w11_d677e7023
Fein	w13_d677e7027
den	w1_d677e7032
zugefügte	w3_d677e7035
Schaden	w5_d677e7038
belauffet	w7_d677e7041
sich	w9_d677e7044
eigends	w11_d677e7047
auf	w1_d677e7053
62800.	w3_d677e7056
Säcke	w5_d677e7059
