<doc id="wr_1759-04-11" attrs="word" year="1759" month="04" day="11" corpus="2">
<head id="h2_d338e3632">
Coburg	w1_d338e3636
<p id="p6_d338e5678">
Die	w1_d338e5682
Ukase,	w3_d338e5685
wodurch	w5_d338e5688
Jhre	w7_d338e5691
Majestät	w9_d338e5694
die	w11_d338e5697
Kaiserin	w1_d338e5702
das	w3_d338e5705
Directorium	w5_d338e5708
des	w7_d338e5711
adelichen	w9_d338e5714
Ca	w11_d338e5717
deten	w1_d338e5722
Corps	w3_d338e5725
Sr.	w5_d338e5728
Kaiserl.	w7_d338e5731
Hoheit	w9_d338e5734
dem	w11_d338e5737
Groß	w13_d338e5741
fürsten	w1_d338e5747
aufgetragen	w3_d338e5750
haben,	w5_d338e5753
lautet	w7_d338e5756
also:	w9_d338e5759
</p>
<p id="p8_d338e5762">
„	w1_d338e5766
Nachdem	w3_d338e5769
wir	w5_d338e5772
für	w7_d338e5775
gut	w9_d338e5778
befunden	w11_d338e5781
haben,	w13_d338e5785
Ew.	w1_d338e5790
Hoheit	w3_d338e5793
das	w5_d338e5796
Ober=commando	w7_d338e5799
über	w9_d338e5802
das	w11_d338e5805
Land=cadeten=corps	w1_d338e5810
aufzutragen,	w3_d338e5813
und	w5_d338e5816
Wir	w7_d338e5819
also	w1_d338e5825
Ew.	w3_d338e5828
Hoheit	w5_d338e5831
zum	w7_d338e5834
Directeur	w9_d338e5837
desselben	w11_d338e5840
Corps	w1_d338e5845
ernennen,	w3_d338e5848
so	w5_d338e5851
hegen	w7_d338e5854
Wir	w9_d338e5857
zugleich	w11_d338e5860
das	w13_d338e5864
volle	w1_d338e5869
Vertrauen,	w3_d338e5872
daß	w5_d338e5875
es	w7_d338e5878
nicht	w9_d338e5881
nur	w11_d338e5884
in	w13_d338e5888
guter	w15_d338e5891
Aufsicht,	w1_d338e5896
und	w3_d338e5899
Ordnung	w5_d338e5902
denen	w7_d338e5905
vorigen	w9_d338e5908
Regle	w11_d338e5911
ments,	w1_d338e5917
und	w3_d338e5920
Verordnungen	w5_d338e5923
gemäß	w7_d338e5926
erhalten	w9_d338e5929
werde,	w1_d338e5934
sondern	w3_d338e5937
auch	w5_d338e5940
ins	w7_d338e5943
besondere	w9_d338e5946
durch	w11_d338e5949
die	w1_d338e5954
eigene	w3_d338e5957
Bemühung	w5_d338e5960
und	w7_d338e5963
Neigung	w9_d338e5966
Ew.	w11_d338e5969
Hoheit,	w1_d338e5974
Unserm	w3_d338e5977
Willen	w5_d338e5980
zufolge,	w7_d338e5983
in	w9_d338e5986
blühen	w11_d338e5989
dem	w1_d338e5995
Zustande	w3_d338e5998
stehe,	w5_d338e6001
wodurch	w7_d338e6004
dem	w9_d338e6007
Reiche	w11_d338e6010
je	w13_d338e6014
mehr	w1_d338e6019
und	w3_d338e6022
mehr	w5_d338e6025
Nutzen,	w7_d338e6028
und	w9_d338e6031
Vortheil	w11_d338e6034
zu	w13_d338e6038
fliessen	w1_d338e6043
möge.	w3_d338e6046
</p>
<head id="h2_d338e6052">
Elisabeth.,	w1_d338e6056
Nürnberg	w1_d338e6061
20.	w3_d338e6064
Martii.	w5_d338e6067
</head>
<p id="p4_d338e6070">
Die	w1_d338e6074
Kaiserliche	w3_d338e6077
und	w5_d338e6080
Reichs=trupen	w7_d338e6083
sind	w9_d338e6086
so	w1_d338e6091
vertheilet,	w3_d338e6094
daß	w5_d338e6097
sie	w7_d338e6100
gleich	w9_d338e6103
beysammen	w11_d338e6106
seyn	w13_d338e6110
können,	w1_d338e6115
wann	w3_d338e6118
es	w5_d338e6121
die	w7_d338e6124
Noht	w9_d338e6127
erfordert.	w11_d338e6130
Den	w13_d338e6134
ganzen	w1_d338e6140
Schmalkalder	w3_d338e6143
und	w5_d338e6146
Thüringer=wald	w7_d338e6149
hält	w1_d338e6154
der	w3_d338e6157
Herr	w5_d338e6160
General	w7_d338e6163
von	w9_d338e6166
Kolb	w11_d338e6169
besetzt,	w13_d338e6173
und	w1_d338e6178
er	w3_d338e6181
breitet	w5_d338e6184
sich	w7_d338e6187
in	w9_d338e6190
das	w11_d338e6193
Eichsfeld	w13_d338e6197
und	w15_d338e6200
</p>
<p id="p10_d338e6213">
Frauenwalde.	w1_d338e6217
Der	w3_d338e6220
General	w5_d338e6223
von	w7_d338e6226
Guaseo	w9_d338e6229
ist	w1_d338e6234
zu	w3_d338e6237
Jlmenau	w5_d338e6240
und	w7_d338e6243
Salpost.	w9_d338e6246
Der	w11_d338e6249
Gene	w13_d338e6253
ral=major,	w1_d338e6258
Graf	w3_d338e6261
von	w5_d338e6264
Bronn,	w7_d338e6267
decket	w9_d338e6270
mit	w11_d338e6273
ei	w13_d338e6277
nem	w1_d338e6283
ansehnlichen	w3_d338e6286
Detaschement	w5_d338e6289
die	w7_d338e6292
Weege	w9_d338e6295
von	w1_d338e6300
Judenbach	w3_d338e6303
bis	w5_d338e6306
Saalfeld,	w7_d338e6309
und	w9_d338e6312
von	w11_d338e6315
dan	w13_d338e6319
nen	w1_d338e6324
weiter	w3_d338e6327
bis	w5_d338e6330
Hof	w7_d338e6333
und	w9_d338e6336
gegen	w11_d338e6339
Eger;	w13_d338e6343
ein	w15_d338e6346
andres	w1_d338e6351
Corps	w3_d338e6354
führet	w5_d338e6357
der	w7_d338e6360
General	w9_d338e6363
Campi	w11_d338e6366
telli.	w1_d338e6372
Die	w3_d338e6375
Generals	w5_d338e6378
Arberg	w7_d338e6381
und	w9_d338e6384
Kolb	w11_d338e6387
ste	w13_d338e6391
hen	w1_d338e6396
unter	w3_d338e6399
dem	w5_d338e6402
General	w7_d338e6405
der	w9_d338e6408
Cavallerie	w11_d338e6411
Frey	w13_d338e6415
herrn	w1_d338e6420
von	w3_d338e6423
Bretlack,	w5_d338e6426
und	w7_d338e6429
die	w9_d338e6432
übrigen	w11_d338e6435
unter	w13_d338e6439
dem	w1_d338e6444
General	w3_d338e6447
von	w5_d338e6450
Haddick.	w7_d338e6453
</p>
<p id="p12_d338e6457">
Das	w1_d338e6461
durch	w3_d338e6464
die	w5_d338e6467
Reichs=trupen	w7_d338e6470
in	w9_d338e6473
dem	w11_d338e6476
Hes	w13_d338e6480
sischen	w1_d338e6485
angeschlagene	w3_d338e6488
Executions=patent,	w5_d338e6491
ist	w7_d338e6494
folgenden	w1_d338e6499
Jnhalts:	w3_d338e6502
</p>
<p id="p14_d338e6505">
Wir	w1_d338e6509
Friedrich	w3_d338e6512
von	w5_d338e6515
GOttes	w7_d338e6518
Gnaden	w9_d338e6521
Pfalz=graf	w1_d338e6526
bey	w3_d338e6529
Rhein,	w5_d338e6532
Herzog	w7_d338e6535
in	w9_d338e6538
Bayern,	w11_d338e6541
Graf	w1_d338e6546
zu	w3_d338e6549
Veldenz,	w5_d338e6552
Sponheim	w7_d338e6555
und	w9_d338e6558
Rap	w11_d338e6561
poldstein,	w1_d338e6567
Herr	w3_d338e6570
zu	w5_d338e6573
Hoheneck,	w7_d338e6576
Jhrer	w9_d338e6579
Rö	w11_d338e6582
misch=Kaiserl.	w1_d338e6587
Majestat	w3_d338e6590
Generalfeld	w5_d338e6593
marschall,	w1_d338e6598
Oberster	w3_d338e6601
über	w5_d338e6604
ein	w7_d338e6607
Regiment	w9_d338e6610
Dragoner,	w1_d338e6615
und	w3_d338e6618
commandirender	w5_d338e6621
General	w7_d338e6624
der	w1_d338e6630
combinirten	w3_d338e6633
Kaiserl.	w5_d338e6636
Königl.	w7_d338e6639
und	w9_d338e6642
des	w11_d338e6645
H.	w1_d338e6650
R.	w3_d338e6653
R.	w5_d338e6656
Executions=armee.	w7_d338e6659
</p>
<p id="p16_d338e6662">
Nachdem	w1_d338e6666
in	w3_d338e6669
sichere	w5_d338e6672
Erfahrung	w7_d338e6675
gebracht	w9_d338e6678
worden,	w1_d338e6683
daß	w3_d338e6686
einige	w5_d338e6689
Jnwohner	w7_d338e6692
des	w9_d338e6695
durch	w11_d338e6698
dies	w13_d338e6702
seitige	w1_d338e6707
Unserm	w3_d338e6710
General=commando	w5_d338e6713
unterste	w7_d338e6716
hende	w1_d338e6722
Trupen	w3_d338e6725
besetzten	w5_d338e6728
Heßischen	w7_d338e6731
Landes	w9_d338e6734
denen	w1_d338e6739
Empörern	w3_d338e6742
des	w5_d338e6745
Reichs	w7_d338e6748
annoch	w9_d338e6751
strafmäs	w11_d338e6754
sig	w1_d338e6759
anhangen,	w3_d338e6762
solchen	w5_d338e6765
Kundschaften	w7_d338e6768
zubrin	w9_d338e6771
gen,	w1_d338e6776
und	w3_d338e6779
auf	w5_d338e6782
alle	w7_d338e6785
nur	w9_d338e6788
mögliche	w11_d338e6791
Art	w13_d338e6795
denen	w15_d338e6798
ge	w17_d338e6801
gentheiligen	w1_d338e6807
Absichten	w3_d338e6810
zu	w5_d338e6813
einem	w7_d338e6816
Behuf	w9_d338e6819
denen	w11_d338e6822
diesseitigen	w1_d338e6827
hingegen	w3_d338e6830
zum	w5_d338e6833
Nachtheil	w7_d338e6836
zu	w9_d338e6839
seyn	w11_d338e6842
keine	w1_d338e6847
Scheu	w3_d338e6850
tragen;	w5_d338e6853
ein	w7_d338e6856
derley	w9_d338e6859
dem	w11_d338e6862
aller	w13_d338e6866
höchsten	w1_d338e6871
und	w3_d338e6874
gemeinsamen	w5_d338e6877
Dienste	w7_d338e6880
so	w9_d338e6883
widri	w11_d338e6886
ges	w1_d338e6892
Betragen	w3_d338e6895
hingegen	w5_d338e6898
keineswegs	w7_d338e6901
gestattet	w9_d338e6904
noch	w1_d338e6909
nachgesehen	w3_d338e6912
werden	w5_d338e6915
kan;	w7_d338e6918
als	w9_d338e6921
gedieten	w11_d338e6924
Wir	w1_d338e6929
denen	w3_d338e6932
gesammten	w5_d338e6935
Jnwohnern	w7_d338e6938
des	w9_d338e6941
Heßi	w11_d338e6944
schen	w1_d338e6949
Gebiets,	w3_d338e6952
in	w5_d338e6955
welches	w7_d338e6958
die	w9_d338e6961
Unserm	w11_d338e6964
Ge	w13_d338e6968
neral=commando	w1_d338e6974
unterstehende	w3_d338e6977
Völkey	w5_d338e6980
be	w7_d338e6983
keits	w1_d338e6988
eingerücket	w3_d338e6991
sind,	w5_d338e6994
hiermit	w7_d338e6997
gemessen	w9_d338e7000
und	w11_d338e7003
ernstlich,	w1_d338e7008
sich	w3_d338e7011
aller	w5_d338e7014
mit	w7_d338e7017
dem	w9_d338e7020
Feinde	w11_d338e7023
haben	w13_d338e7027
den	w1_d338e7032
Gemeinschaft	w3_d338e7035
auf	w5_d338e7038
das	w7_d338e7041
genaueste	w9_d338e7044
zu	w11_d338e7047
ent	w13_d338e7051
halten,	w1_d338e7057
selbigem	w3_d338e7060
keine	w5_d338e7063
Kundschaften	w7_d338e7066
selbst	w9_d338e7069
</p>
<p id="p18_d338e7072">
zuzutragen,	w1_d338e7076
oder	w3_d338e7079
zu	w5_d338e7082
überschreiben,	w7_d338e7085
noch	w9_d338e7088
sonst	w11_d338e7091
einigen	w1_d338e7096
Vorschub,	w3_d338e7099
in	w5_d338e7102
was	w7_d338e7105
solcher	w9_d338e7108
immer	w11_d338e7111
be	w13_d338e7115
stehen	w1_d338e7120
möge,	w3_d338e7123
zu	w5_d338e7126
geben,	w7_d338e7129
massen	w9_d338e7132
die	w11_d338e7135
diesem	w13_d338e7139
Unserm	w1_d338e7145
Befehle	w3_d338e7148
zuwider	w5_d338e7151
handlende	w7_d338e7154
in	w9_d338e7157
ihrer	w11_d338e7160
Betrettung	w1_d338e7165
gleich	w3_d338e7168
auf	w5_d338e7171
der	w7_d338e7174
Stelle	w9_d338e7177
mit	w11_d338e7180
dem	w13_d338e7184
Tode	w1_d338e7189
bestraffet,	w3_d338e7192
im	w5_d338e7195
Fall	w7_d338e7198
sie	w9_d338e7201
aber	w11_d338e7204
nicht	w13_d338e7208
hab	w15_d338e7211
haft	w1_d338e7216
würden,	w3_d338e7219
ihre	w5_d338e7222
Häuser	w7_d338e7225
geschleiffet,	w9_d338e7228
und	w11_d338e7231
das	w1_d338e7237
sämmtliche	w3_d338e7240
Vermögen	w5_d338e7243
