<doc id="wr_1763-03-09" attrs="word" year="1763" month="03" day="09" corpus="2">
<head id="h2_d741e3075">
Schluß	w1_d741e3079
Lazarethern	w5_d741e3815
Sr.	w7_d741e3818
Majest.	w9_d741e3821
tractiret	w11_d741e3824
werden,	w1_d741e3829
haben	w3_d741e3832
selbige	w5_d741e3835
vor	w7_d741e3838
wie	w9_d741e3841
nach	w11_d741e3844
den	w13_d741e3848
</p>
<p id="p16_d741e3862">
täglichen	w1_d741e3866
dafür	w3_d741e3869
gesetzten	w5_d741e3872
Preiß	w7_d741e3875
von	w9_d741e3878
ihrem	w11_d741e3881
Sold	w1_d741e3886
zu	w3_d741e3889
bezahlen.	w5_d741e3892
</p>
<p id="p18_d741e3895">
Jndem	w1_d741e3899
nun	w3_d741e3902
Se.	w5_d741e3905
Majest.	w7_d741e3908
allen	w9_d741e3911
Verfügun	w11_d741e3914
gen	w1_d741e3919
derer	w3_d741e3922
vorherigen	w5_d741e3925
Ordonnanzen,	w7_d741e3928
insofern	w9_d741e3931
sie	w1_d741e3936
der	w3_d741e3939
gegenwärtigen	w5_d741e3942
entgegen	w7_d741e3945
stehen,	w9_d741e3948
durch	w11_d741e3951
die	w1_d741e3957
jetzige	w3_d741e3960
derogiren,	w5_d741e3963
so	w7_d741e3966
melden	w9_d741e3969
und	w11_d741e3972
befehlen	w13_d741e3976
Se.	w1_d741e3981
Majest.	w3_d741e3984
allen	w5_d741e3987
ihren	w7_d741e3990
commandirenden	w9_d741e3993
Generalen,	w1_d741e3998
Gouverneurs	w3_d741e4001
und	w5_d741e4004
Statthaltern	w7_d741e4007
der	w1_d741e4012
Provinzen,	w3_d741e4015
Gouverneuts	w5_d741e4018
und	w7_d741e4021
Comman	w9_d741e4024
danten	w1_d741e4030
derer	w3_d741e4033
Festungen,	w5_d741e4036
denen	w7_d741e4039
General	w9_d741e4042
inspecteurs	w1_d741e4047
der	w3_d741e4050
Jnfanterie,	w5_d741e4053
Jntendanten	w7_d741e4056
der	w9_d741e4059
Provinzen	w1_d741e4064
und	w3_d741e4067
Gränz=platze,	w5_d741e4070
Kriegscom	w7_d741e4073
missarien,	w1_d741e4078
und	w3_d741e4081
allen	w5_d741e4084
übrigen	w7_d741e4087
Dero	w9_d741e4090
Offician	w11_d741e4093
ten	w1_d741e4099
über	w3_d741e4102
den	w5_d741e4105
Vollzug	w7_d741e4108
dieser	w9_d741e4111
Ordonance	w11_d741e4114
aufs	w13_d741e4118
genaueste	w1_d741e4123
zu	w3_d741e4126
halten.	w5_d741e4129
Gegeben	w7_d741e4132
zu	w9_d741e4135
Versail	w11_d741e4138
les	w1_d741e4143
den	w3_d741e4146
10.	w5_d741e4149
Dec.	w7_d741e4152
1762.	w9_d741e4155
</p>
<head id="h2_d741e4161">
Unkerzeichnet:	w1_d741e4165
Louis.	w3_d741e4168
und	w1_d741e4173
besser	w3_d741e4176
unten:	w5_d741e4179
Duc	w7_d741e4182
de	w9_d741e4185
Choiseul.	w11_d741e4188
Londen	w1_d741e4193
18.	w3_d741e4196
Febr.	w5_d741e4199
</head>
<p id="p4_d741e4202">
Am	w1_d741e4206
15ten	w3_d741e4209
Abends	w5_d741e4212
langte	w7_d741e4215
der	w9_d741e4218
Gesand	w11_d741e4221
schafts=secretarius	w1_d741e4226
des	w3_d741e4229
Duc	w5_d741e4232
de	w7_d741e4235
Bedford	w9_d741e4238
Herr	w1_d741e4243
Richard	w3_d741e4246
Neville	w5_d741e4249
Aldworth	w7_d741e4252
von	w9_d741e4255
Paris	w11_d741e4258
zu	w1_d741e4264
St.	w3_d741e4267
James	w5_d741e4270
mit	w7_d741e4273
der	w9_d741e4276
Copie	w11_d741e4279
des	w13_d741e4283
Defini	w15_d741e4286
tif=friedens=tractats	w1_d741e4291
und	w3_d741e4294
der	w5_d741e4297
Nachricht	w7_d741e4300
an,	w9_d741e4303
daß	w1_d741e4308
gedachter	w3_d741e4311
Tractat	w5_d741e4314
am	w7_d741e4317
10.	w9_d741e4320
dieses	w11_d741e4323
durch	w13_d741e4327
die	w1_d741e4332
Französische,	w3_d741e4335
Spanische,	w5_d741e4338
Großbrittan	w7_d741e4341
nische	w1_d741e4347
und	w3_d741e4350
Portugiesische	w5_d741e4353
Gevollmächtigte	w7_d741e4356
unterzeichnet	w1_d741e4361
worden.	w3_d741e4364
Diese	w5_d741e4367
wichtige	w7_d741e4370
Zei	w9_d741e4373
tung	w1_d741e4378
ward	w3_d741e4381
sogleich	w5_d741e4384
auf	w7_d741e4387
Befehl	w9_d741e4390
Sr.	w11_d741e4393
Maje	w13_d741e4397
stät	w1_d741e4402
allen	w3_d741e4405
Mitgliedern	w5_d741e4408
des	w7_d741e4411
Staats=rahts	w9_d741e4414
und	w1_d741e4420
denen	w3_d741e4423
vornehmsten	w5_d741e4426
im	w7_d741e4429
Parlament	w9_d741e4432
be	w11_d741e4435
kannt	w1_d741e4440
gemacht,	w3_d741e4443
und	w5_d741e4446
Se.	w7_d741e4449
Majestät	w9_d741e4452
bezeig	w11_d741e4455
ten	w1_d741e4460
dem	w3_d741e4463
Herrn	w5_d741e4466
Aldworth	w7_d741e4469
Dero	w9_d741e4472
Freude	w11_d741e4475
über	w13_d741e4479
eine	w1_d741e4484
so	w3_d741e4487
angenehme	w5_d741e4490
Botschaft	w7_d741e4493
durch	w9_d741e4496
ein	w11_d741e4499
an	w13_d741e4503
sehnliches	w1_d741e4509
Geschenk.	w3_d741e4512
Folgenden	w5_d741e4515
Morgen	w7_d741e4518
war	w1_d741e4523
zu	w3_d741e4526
St.	w5_d741e4529
James	w7_d741e4532
grosser	w9_d741e4535
Staats=raht,	w11_d741e4538
worinnen	w1_d741e4543
der	w3_d741e4546
König	w5_d741e4549
die	w7_d741e4552
Ratification	w9_d741e4555
die	w11_d741e4558
ses	w1_d741e4563
Tractats	w3_d741e4566
unterschrieb,	w5_d741e4569
welche	w7_d741e4572
noch	w9_d741e4575
den	w11_d741e4578
nämlichen	w1_d741e4584
Abend	w3_d741e4587
durch	w5_d741e4590
einen	w7_d741e4593
Courrier	w9_d741e4596
nach	w11_d741e4599
Paris	w1_d741e4604
abgeschickt	w3_d741e4607
wurde.	w5_d741e4610
Nach	w7_d741e4613
Auswech	w9_d741e4616
selung	w1_d741e4621
der	w3_d741e4624
Ratificationen,	w5_d741e4627
die	w7_d741e4630
binnen	w9_d741e4633
Mo	w11_d741e4636
nats=frist,	w1_d741e4641
oder	w3_d741e4644
wann	w5_d741e4647
es	w7_d741e4650
seyn	w9_d741e4653
kan,	w11_d741e4656
noch	w13_d741e4660
</p>
<p id="p6_d741e4663">
ehender	w1_d741e4667
geschehen	w3_d741e4670
soll,	w5_d741e4673
wird	w7_d741e4676
der	w9_d741e4679
Friedens	w11_d741e4682
tractat	w1_d741e4687
bekannt	w3_d741e4690
gemacht	w5_d741e4693
werden.	w7_d741e4696
Mitler	w9_d741e4699
weile	w1_d741e4704
werden	w3_d741e4707
bereits	w5_d741e4710
einige	w7_d741e4713
Exemplarien	w9_d741e4716
für	w1_d741e4722
den	w3_d741e4725
Gebrauch	w5_d741e4728
der	w7_d741e4731
Parlaments=glieder	w9_d741e4734
gedruckt.	w1_d741e4739
Der	w3_d741e4742
Staats=secretarius,	w5_d741e4745
Graf	w7_d741e4748
von	w1_d741e4753
Egremont,	w3_d741e4756
hat	w5_d741e4759
diese	w7_d741e4762
Zeitung	w9_d741e4765
sogleich	w11_d741e4768
den	w1_d741e4773
Lord	w3_d741e4776
Maire	w5_d741e4779
wissen	w7_d741e4782
lassen,	w9_d741e4785
und	w11_d741e4788
man	w13_d741e4792
wird	w1_d741e4798
sie	w3_d741e4801
auch	w5_d741e4804
ohnverzüglich	w7_d741e4807
an	w9_d741e4810
alle	w11_d741e4813
Königl.	w13_d741e4817
Ministers	w1_d741e4822
an	w3_d741e4825
auswärtigen	w5_d741e4828
Höfen,	w7_d741e4831
so	w9_d741e4834
wie	w11_d741e4837
alle	w1_d741e4842
Gouverneurs,	w3_d741e4845
Commendanten	w5_d741e4848
und	w7_d741e4851
Be	w9_d741e4854
fehlshabern	w1_d741e4859
der	w3_d741e4862
Nation	w5_d741e4865
zu	w7_d741e4868
Wasser	w9_d741e4871
und	w11_d741e4874
zu	w13_d741e4878
Land	w1_d741e4884
in	w3_d741e4887
allen	w5_d741e4890
Welt=theilen	w7_d741e4893
bekannt	w9_d741e4896
machen,	w11_d741e4899
um	w1_d741e4904
sich	w3_d741e4907
zufolge	w5_d741e4910
der	w7_d741e4913
deswegen	w9_d741e4916
empfangen	w11_d741e4919
den	w1_d741e4924
Befehle	w3_d741e4927
darnach	w5_d741e4930
zu	w7_d741e4933
achten,	w9_d741e4936
und	w11_d741e4939
die	w13_d741e4943
er	w15_d741e4946
forderlichen	w1_d741e4951
Anstalten	w3_d741e4954
zu	w5_d741e4957
machen.	w7_d741e4960
Der	w9_d741e4963
Duc	w1_d741e4969
de	w3_d741e4972
Nivernois	w5_d741e4975
hat	w7_d741e4978
zu	w9_d741e4981
gleicher	w11_d741e4984
Zeit	w13_d741e4988
einen	w15_d741e4991
Courrier	w1_d741e4996
von	w3_d741e4999
seinem	w5_d741e5002
Hof	w7_d741e5005
mit	w9_d741e5008
eben	w11_d741e5011
der	w13_d741e5015
Nach	w15_d741e5018
richt	w1_d741e5023
erhalten.	w3_d741e5026
Vorgestern	w5_d741e5029
beschloß	w7_d741e5032
das	w9_d741e5035
Unter=haus,	w1_d741e5040
daß	w3_d741e5043
alle	w5_d741e5046
diejenige,	w7_d741e5049
so	w9_d741e5052
Schuld	w11_d741e5055
scheine	w1_d741e5061
aus	w3_d741e5064
dem	w5_d741e5067
Artillerie=Bureau	w7_d741e5070
besitzen,	w9_d741e5073
so	w1_d741e5078
vor	w3_d741e5081
dem	w5_d741e5084
31ten	w7_d741e5087
Dec.	w9_d741e5090
1762.	w11_d741e5093
ausgestellt,	w13_d741e5097
und	w1_d741e5102
vor	w3_d741e5105
dem	w5_d741e5108
25.	w7_d741e5111
Martii	w9_d741e5114
von	w11_d741e5117
dem	w13_d741e5121
Kriegs	w15_d741e5124
zahl=meister	w1_d741e5129
bey	w3_d741e5132
der	w5_d741e5135
Bank	w7_d741e5138
attestiret	w9_d741e5141
wor	w11_d741e5144
den,	w1_d741e5150
einer	w3_d741e5153
an	w5_d741e5156
die	w7_d741e5159
Bank	w9_d741e5162
zu	w11_d741e5165
übertragenden	w13_d741e5169
Rente	w1_d741e5174
oder	w3_d741e5177
Annuität	w5_d741e5180
von	w7_d741e5183
4.	w9_d741e5186
pro	w11_d741e5189
Cent,	w13_d741e5193
so	w15_d741e5196
alle	w1_d741e5201
6.	w3_d741e5204
Monate	w5_d741e5207
zahlbar,	w7_d741e5210
geniessen	w9_d741e5213
sollen,	w11_d741e5216
so	w1_d741e5221
lange	w3_d741e5224
bis	w5_d741e5227
dergleichen	w7_d741e5230
Scheine	w9_d741e5233
vom	w11_d741e5236
Par	w13_d741e5240
lament	w1_d741e5246
wieder	w3_d741e5249
eingelöset	w5_d741e5252
werden.	w7_d741e5255
An	w9_d741e5258
eben	w11_d741e5261
dem	w1_d741e5266
Tag	w3_d741e5269
wurden	w5_d741e5272
5000.	w7_d741e5275
Pf.	w9_d741e5278
Sterling	w11_d741e5281
zu	w13_d741e5285
Ausbesserung	w1_d741e5290
der	w3_d741e5293
Strassen	w5_d741e5296
in	w7_d741e5299
der	w9_d741e5302
Stadt	w11_d741e5305
und	w1_d741e5310
Freyheit	w3_d741e5313
Westminster	w5_d741e5316
bewilliget.	w7_d741e5319
Der	w9_d741e5322
am	w1_d741e5328
11.	w3_d741e5331
gefaßte	w5_d741e5334
Schluß	w7_d741e5337
sich	w9_d741e5340
über	w11_d741e5343
das	w13_d741e5347
be	w15_d741e5350
ste	w1_d741e5355
Mittel	w3_d741e5358
die	w5_d741e5361
öffentliche	w7_d741e5364
Rechnungen	w9_d741e5367
zu	w11_d741e5370
un	w13_d741e5374
tersuchen,	w1_d741e5379
zu	w3_d741e5382
berahtschlagen,	w5_d741e5385
ist	w7_d741e5388
auf	w9_d741e5391
den	w11_d741e5394
22.	w13_d741e5398
aufgehoben	w1_d741e5403
worden.	w3_d741e5406
Am	w5_d741e5409
15ten	w7_d741e5412
kam	w9_d741e5415
ein	w11_d741e5418
Courrier	w1_d741e5424
vom	w3_d741e5427
Duc	w5_d741e5430
de	w7_d741e5433
Buckingham	w9_d741e5436
aus	w11_d741e5439
Mos	w13_d741e5443
cau	w1_d741e5448
an,	w3_d741e5451
und	w5_d741e5454
zugleich	w7_d741e5457
liefen	w9_d741e5460
bey	w11_d741e5463
Hofe	w13_d741e5467
De	w15_d741e5470
peschen	w1_d741e5475
des	w3_d741e5478
Herrn	w5_d741e5481
Mitchel	w7_d741e5484
ein,	w9_d741e5487
welche	w11_d741e5490
die	w13_d741e5494
Hofnung	w1_d741e5499
bestärken,	w3_d741e5502
daß	w5_d741e5505
alles	w7_d741e5508
zum	w9_d741e5511
Ver	w11_d741e5514
gleich	w1_d741e5520
zwischen	w3_d741e5523
den	w5_d741e5526
Höfen	w7_d741e5529
von	w9_d741e5532
Wien,	w11_d741e5535
Ber	w13_d741e5539
lin	w1_d741e5544
und	w3_d741e5547
Dreßden	w5_d741e5550
erforderliche	w7_d741e5553
in	w9_d741e5556
kurzem	w11_d741e5559
in	w13_d741e5563
Ordnung	w1_d741e5568
seyn,	w3_d741e5571
und	w5_d741e5574
die	w7_d741e5577
Welt	w9_d741e5580
nun	w11_d741e5583
bald	w13_d741e5587
des	w15_d741e5590
</p>
<p id="p12_d741e5604">
Glückes	w1_d741e5608
eines	w3_d741e5611
allgemeinen	w5_d741e5614
Ruhestandes	w7_d741e5617
zu	w9_d741e5620
geniessen	w1_d741e5625
haben	w3_d741e5628
werde.	w5_d741e5631
GOtt	w7_d741e5634
gebe	w9_d741e5637
nur,	w11_d741e5640
daß	w1_d741e5645
dieses	w3_d741e5648
Glücke	w5_d741e5651
von	w7_d741e5654
einer	w9_d741e5657
langen	w11_d741e5660
Dauer	w13_d741e5664
seyn	w1_d741e5670
möge!	w3_d741e5673
Die	w5_d741e5676
Aufhebung	w7_d741e5679
der	w9_d741e5682
unter	w11_d741e5685
voriger	w1_d741e5690
Regierung	w3_d741e5693
ertheilten	w5_d741e5696
Titul	w7_d741e5699
und	w9_d741e5702
erb	w11_d741e5705
lichen	w1_d741e5710
Aemter,	w3_d741e5713
ist	w5_d741e5716
nach	w7_d741e5719
einer	w9_d741e5722
genauen	w11_d741e5725
Un	w13_d741e5729
tersuchung	w1_d741e5734
endlich	w3_d741e5737
als	w5_d741e5740
nicht	w7_d741e5743
thunlich,	w9_d741e5746
ver	w11_d741e5749
worfen	w1_d741e5755
worden.	w3_d741e5758
Nachdem	w5_d741e5761
man	w7_d741e5764
alle	w9_d741e5767
mög	w11_d741e5770
liche	w1_d741e5775
Anschläge	w3_d741e5778
zu	w5_d741e5781
einer	w7_d741e5784
Vermittelung	w9_d741e5787
die	w11_d741e5790
serwegen	w1_d741e5795
geprüfet,	w3_d741e5798
hat	w5_d741e5801
man	w7_d741e5804
die	w9_d741e5807
Unmög	w11_d741e5810
lichkeit,	w1_d741e5815
damit	w3_d741e5818
zu	w5_d741e5821
Stande	w7_d741e5824
zu	w9_d741e5827
kommen,	w11_d741e5830
ein	w13_d741e5834
gesehen,	w1_d741e5840
ohne	w3_d741e5843
nämlich	w5_d741e5846
allen	w7_d741e5849
denen	w9_d741e5852
heilig	w11_d741e5855
sten	w1_d741e5860
und	w3_d741e5863
einer	w5_d741e5866
freyen	w7_d741e5869
und	w9_d741e5872
ohnabhängigen	w11_d741e5875
Nation	w1_d741e5880
am	w3_d741e5883
meisten	w5_d741e5886
am	w7_d741e5889
Herzen	w9_d741e5892
liegenden	w11_d741e5895
Vorzügen	w1_d741e5900
zu	w3_d741e5903
nahe	w5_d741e5906
zu	w7_d741e5909
treten.	w9_d741e5912
Folglich	w11_d741e5915
hat	w13_d741e5919
der	w1_d741e5925
König	w3_d741e5928
zu	w5_d741e5931
Vermeidung	w7_d741e5934
aller	w9_d741e5937
denen	w11_d741e5940
Rech	w13_d741e5944
ten	w1_d741e5949
der	w3_d741e5952
Krone	w5_d741e5955
und	w7_d741e5958
Freyheit	w9_d741e5961
der	w11_d741e5964
Untertha	w13_d741e5968
nen	w1_d741e5973
nachtheiligen	w3_d741e5976
Neuerungen	w5_d741e5979
die	w7_d741e5982
weitere	w9_d741e5985
Fortsetzung	w1_d741e5990
gedachten	w3_d741e5993
Vorhabens	w5_d741e5996
untersagt.	w7_d741e5999
Zu	w1_d741e6005
Portsmouth	w3_d741e6008
werden	w5_d741e6011
18.	w7_d741e6014
Transport	w9_d741e6017
schiffe	w1_d741e6022
ausgerüstet,	w3_d741e6025
welche	w5_d741e6028
nach	w7_d741e6031
Portugall	w9_d741e6034
gehen,	w1_d741e6039
und	w3_d741e6042
die	w5_d741e6045
Großbrittannischen	w7_d741e6048
Trupen	w9_d741e6051
von	w1_d741e6056
da	w3_d741e6059
abholen	w5_d741e6062
sollen.	w7_d741e6065
Man	w9_d741e6068
sagt,	w11_d741e6071
der	w13_d741e6075
Friede	w1_d741e6081
werde	w3_d741e6084
den	w5_d741e6087
10ten	w7_d741e6090
März	w9_d741e6093
zu	w11_d741e6096
Londen	w13_d741e6100
und	w1_d741e6105
zu	w3_d741e6108
Paris	w5_d741e6111
öffentlich	w7_d741e6114
ausgerufen	w9_d741e6117
und	w11_d741e6120
pu	w13_d741e6124
bliciret	w1_d741e6129
werden.	w3_d741e6132
</p>
<p id="p14_d741e6135">
Man	w1_d741e6139
hat	w3_d741e6142
hier	w5_d741e6145
viel	w7_d741e6148
Wesens	w9_d741e6151
von	w11_d741e6154
einer	w13_d741e6158
auf	w15_d741e6161
der	w1_d741e6166
Jnsul	w3_d741e6169
Martinique	w5_d741e6172
vorgewesen	w7_d741e6175
seyn	w9_d741e6178
sol	w11_d741e6181
lenden	w1_d741e6186
Verschwörung	w3_d741e6189
gemacht,	w5_d741e6192
man	w7_d741e6195
siehet	w9_d741e6198
aber	w1_d741e6204
itzo	w3_d741e6207
einen	w5_d741e6210
Auszug	w7_d741e6213
eines	w9_d741e6216
am	w11_d741e6219
Bord	w13_d741e6223
des	w15_d741e6226
Foudroyart	w1_d741e6231
in	w3_d741e6234
der	w5_d741e6237
Bay	w7_d741e6240
von	w9_d741e6243
St.	w11_d741e6246
Pierre	w13_d741e6250
auf	w15_d741e6253
Martinique	w1_d741e6258
unterm	w3_d741e6261
8ten	w5_d741e6264
Dec.	w7_d741e6267
vorigen	w9_d741e6270
Jah	w11_d741e6273
res	w1_d741e6278
geschriebenen	w3_d741e6281
Briefes	w5_d741e6284
in	w7_d741e6287
unseren	w9_d741e6290
öffent	w11_d741e6293
lichen	w1_d741e6299
Blättern,	w3_d741e6302
nach	w5_d741e6305
welchem	w7_d741e6308
zwar	w9_d741e6311
der	w11_d741e6314
da	w13_d741e6318
sige	w1_d741e6323
Befehls=haber	w3_d741e6326
auf	w5_d741e6329
das	w7_d741e6332
deswegen	w9_d741e6335
er	w11_d741e6338
schollene	w1_d741e6343
Gerüchte,	w3_d741e6346
alle	w5_d741e6349
mögliche	w7_d741e6352
Vorsorge	w9_d741e6355
und	w1_d741e6360
Behutsamkeit	w3_d741e6363
vorgekehret,	w5_d741e6366
nach	w7_d741e6369
aller	w9_d741e6372
an	w11_d741e6375
gewandten	w1_d741e6381
Mühe,	w3_d741e6384
und	w5_d741e6387
der	w7_d741e6390
genauesten	w9_d741e6393
Unter	w11_d741e6396
suchung	w1_d741e6401
befunden,	w3_d741e6404
daß	w5_d741e6407
die	w7_d741e6410
ganze	w9_d741e6413
Sache	w11_d741e6416
in	w13_d741e6420
der	w1_d741e6425
That	w3_d741e6428
ohne	w5_d741e6431
allen	w7_d741e6434
Grund	w9_d741e6437
gewesen,	w11_d741e6440
wie	w13_d741e6444
sich	w15_d741e6447
dann	w1_d741e6452
alles	w3_d741e6455
mit	w5_d741e6458
Hinrichtung	w7_d741e6461
zweyer	w9_d741e6464
Negern	w11_d741e6467
geendiget,	w1_d741e6473
welche	w3_d741e6476
ihrem	w5_d741e6479
Großbrittanien	w7_d741e6482
ge	w9_d741e6485
leisteten	w1_d741e6490
Eid	w3_d741e6493
zuwider	w5_d741e6496
auf	w7_d741e6499
einem	w9_d741e6502
feindl.	w11_d741e6505
Caper	w13_d741e6509
</p>
<p id="p16_d741e6512">
Dienste	w1_d741e6516
genommen	w3_d741e6519
hatten,	w5_d741e6522
und	w7_d741e6525
mit	w9_d741e6528
demsel	w11_d741e6531
ben	w1_d741e6536
weggenommen	w3_d741e6539
worden.	w5_d741e6542
</p>
<head id="h2_d741e6548">
Warschau	w1_d741e6552
15.	w3_d741e6555
Januarii.	w5_d741e6558
</head>
<p id="p4_d741e6561">
Zwey	w1_d741e6565
Staffeten	w3_d741e6568
von	w5_d741e6571
Mietau,	w7_d741e6574
die	w9_d741e6577
eine	w11_d741e6580
an	w13_d741e6584
Se.	w1_d741e6589
Königl.	w3_d741e6592
Majest.	w5_d741e6595
und	w7_d741e6598
die	w9_d741e6601
andere	w11_d741e6604
an	w13_d741e6608
den	w15_d741e6611
Rußischen	w1_d741e6616
Gesandten,	w3_d741e6619
überbrachten	w5_d741e6622
die	w7_d741e6625
Uni	w9_d741e6628
versalien	w1_d741e6634
oder	w3_d741e6637
Circular=schreiben	w5_d741e6640
hieher,	w7_d741e6643
welche	w1_d741e6648
der	w3_d741e6651
Herzog	w5_d741e6654
Ernst	w7_d741e6657
Johann	w9_d741e6660
von	w11_d741e6663
Biron,	w13_d741e6667
als	w1_d741e6672
Herzog	w3_d741e6675
von	w5_d741e6678
Curland,	w7_d741e6681
an	w9_d741e6684
den	w11_d741e6687
Adel	w13_d741e6691
dieses	w15_d741e6694
Herzogtums	w1_d741e6699
ergehen	w3_d741e6702
lassen,	w5_d741e6705
um	w7_d741e6708
ihn	w9_d741e6711
zu	w11_d741e6714
einer	w13_d741e6718
