<doc id="edoc_wd_1753-07-07" attrs="word" year="1753" month="07" day="07" corpus="1">
<p id="p4">
Jn	w33
Stadt	w200
3	w201
<g/>
.
Meilen	w203
breit	w204
und	w205
der	w206
Stadt	w207
ge=gen	w208
<g/>
=
über	w210
ligt	w211
ein	w212
anders	w213
Städtgen	w214
an	w215
einer	w216
kleinen	w217
Bay	w218
<g/>
,
Dartmouth	w220
genannt	w221
<g/>
.
Dieses	w223
Städtgen	w224
istnur	w225
schlecht	w226
bevölkert	w227
<g/>
,
weil	w229
es	w230
verschiedene	w231
malen	w232
von	w233
denen	w234
Jndianern	w235
über=rumpelt	w236
<g/>
=
und	w238
ausgeplündert	w239
worden	w240
<g/>
,
daher	w242
der	w243
gröste	w244
Theil	w245
der	w246
Einwohner	w247
dasselbe	w248
verlassen	w249
hat	w250
<g/>
.
Dies	w252
seynd	w253
die	w254
2	w255
<g/>
.
Städte	w257
<g/>
,
die	w259
wir	w260
hier	w261
umher	w262
noch	w263
besitzen	w264
<g/>
.
Der	w266
Fluß	w267
Chebucto	w268
gibt	w269
uns	w270
überall	w271
eine	w272
unglaubliche	w273
Menge	w274
Fische	w275
<g/>
,
insonderheit	w277
Kabeljau	w278
<g/>
,
Schellfisch	w280
<g/>
,
Backeljau	w282
<g/>
,
Bütte	w284
<g/>
,
Mackrelen	w286
<g/>
,
Heringe	w288
<g/>
,
allerley	w290
grosse	w291
Plattfische	w292
<g/>
,
Rochen	w294
<g/>
,
Krebse	w296
<g/>
,
und	w298
verschiede=ne	w299
<g/>
=
Arten	w301
von	w302
kleinen	w303
Fischen	w304
<g/>
.
Die	w306
andere	w307
Flüsse	w308
verschaffen	w309
ebenfalls	w310
einen	w311
Ueberfluß	w312
von	w313
dergleichen	w314
Fischen	w315
<g/>
,
auch	w317
Austern	w318
<g/>
,
die	w320
man	w321
in	w322
</p>
<p id="p6">
dem	w323
Flusse	w324
Chebucto	w325
nicht	w326
findet	w327
<g/>
.
Die	w329
Menge	w330
der	w331
Fische	w332
ist	w333
so	w334
groß	w335
<g/>
,
daß	w337
jemand	w338
in	w339
Zeit	w340
von	w341
2	w342
<g/>
.
Tagen	w344
deren	w345
so	w346
viele	w347
fangen	w348
kan	w349
<g/>
,
als	w351
er	w352
<g/>
,
es	w354
seye	w355
<g/>
,
daß	w357
er	w358
sie	w359
räuchert	w360
oder	w361
ensaltzet	w362
<g/>
,
das	w364
Jahr	w365
hindurch	w366
nöhtig	w367
hat	w368
<g/>
,
wann	w370
er	w371
auch	w372
alle	w373
Wochen	w374
dreymal	w375
davon	w376
ist	w377
<g/>
.
Die	w379
vier	w380
<g/>
=
füßige	w382
Thiere	w383
seynd	w384
uns	w385
hier	w386
zu	w387
Lande	w388
mehrentheils	w389
unbekannt	w390
<g/>
,
weil	w392
uns	w393
der	w394
Krieg	w395
mit	w396
denen	w397
Jn=dianern	w398
<g/>
=
verhindert	w400
hat	w401
<g/>
,
weit	w403
Waldungswärts	w404
einzugehen	w405
<g/>
.
Man	w407
hat	w408
inzwischen	w409
eine	w410
Menge	w411
Hasen	w412
<g/>
,
die	w414
nicht	w415
grösser	w416
<g/>
,
als	w418
wilde	w419
Kaninchen	w420
seynd	w421
<g/>
,
Stachel	w423
<g/>
=
schweine	w425
<g/>
,
so	w427
groß	w428
<g/>
,
wie	w430
ein	w431
kleiner	w432
Hühner	w433
<g/>
=
hund	w435
<g/>
,
schwarze	w437
Bären	w438
<g/>
,
die	w440
nicht	w441
sehr	w442
groß	w443
seynd	w444
<g/>
,
eine	w446
Art	w447
von	w448
grossen	w449
Hirschen	w450
<g/>
,
viele	w452
rote	w453
und	w454
schwarze	w455
Füchse	w456
<g/>
,
und	w458
noch	w459
ei=nige	w460
<g/>
=
andere	w462
Thiere	w463
<g/>
,
darunter	w465
Eichhörnen	w466
und	w467
Fuchs	w468
<g/>
=
eichhörnen	w470
sich	w471
befinden	w472
<g/>
,
die	w474
bey	w475
nahe	w476
so	w477
groß	w478
<g/>
,
wie	w480
ein	w481
Fuchs	w482
<g/>
,
ingleichen	w484
einige	w485
<g/>
,
die	w487
wie	w488
die	w489
Fleder	w490
<g/>
=
mäuse	w492
geflügelt	w493
seynd	w494
<g/>
,
ob	w496
man	w497
gleich	w498
ihre	w499
Flügel	w500
wenig	w501
oder	w502
gar	w503
nicht	w504
sehen	w505
kan	w506
<g/>
,
wann	w508
sie	w509
auf	w510
dem	w511
Boden	w512
lauffen	w513
<g/>
,
wie	w515
sie	w516
dann	w517
in	w518
einem	w519
Felle	w520
bestehen	w521
<g/>
,
das	w523
von	w524
dem	w525
Rücken	w526
ab	w527
<g/>
,
bis	w529
an	w530
die	w531
Vorder	w532
<g/>
=
pfoten	w534
<g/>
,
und	w536
hinten	w537
zu	w538
bis	w539
auf	w540
die	w541
Hinter	w542
<g/>
=
beine	w544
gehet	w545
<g/>
.
Die=ses	w547
<g/>
=
Thier	w549
ist	w550
kleiner	w551
<g/>
,
als	w553
die	w554
Europäische	w555
Eich=hörne	w556
<g/>
=
<g/>
,
und	w559
es	w560
dienen	w561
die	w562
Flügel	w563
demselben	w564
nicht	w565
so	w566
sehr	w567
zum	w568
fliegen	w569
<g/>
,
als	w571
viel	w572
mehr	w573
zum	w574
sprin=gen	w575
<g/>
=
von	w577
einem	w578
Zweige	w579
zun	w580
andern	w581
<g/>
.
Tieffer	w583
ins	w584
Land	w585
hinein	w586
hat	w587
man	w588
verschiedene	w589
stehende	w590
süsse	w591
Wässer	w592
worinnen	w593
es	w594
Salmen	w595
<g/>
,
Forellen	w597
<g/>
,
Aal	w599
ꝛc	w600
<g/>
.
überflüssig	w602
gibt	w603
<g/>
,
anbey	w605
siehet	w606
man	w607
die	w608
Luft	w609
mit	w610
allerley	w611
schönen	w612
Vögeln	w613
angefüllt	w614
<g/>
.
Diese	w616
Stadt	w617
ligt	w618
ungefehr	w619
17	w620
<g/>
.
Meilen	w622
von	w623
der	w624
Spitze	w625
von	w626
Sambro	w627
<g/>
,
und	w629
dazwischen	w630
siehet	w631
man	w632
verschiedene	w633
Eilande	w634
<g/>
,
Bayen	w636
und	w637
kleine	w638
Häfen	w639
<g/>
,
die	w641
zur	w642
Fischerey	w643
ungemein	w644
und	w645
be=quem	w646
<g/>
=
seynd	w648
<g/>
.
</p>
<head id="hl3">
Aus	w651
Groß	w652
<g/>
=
Brittannien	w654
<g/>
.
</head>
<head id="hl4">
Londen	w656
16	w657
<g/>
.
Junii	w659
<g/>
.
</head>
<p id="p7">
Als	w661
am	w662
13	w663
<g/>
.
dieses	w665
das	w666
Königl	w667
<g/>
.
Artillerie=regiment	w669
<g/>
=
unter	w671
andern	w672
Kriegs	w673
<g/>
=
übungen	w675
<g/>
,
auch	w677
mit	w678
Werfung	w679
deren	w680
Granaten	w681
mit	w682
denen	w683
Hän=den	w684
<g/>
=
eine	w686
Verwunderungs	w687
<g/>
=
würdige	w689
Fertigkeit	w690
sehen	w691
liesse	w692
<g/>
,
so	w694
wurde	w695
dieses	w696
Artillerie	w697
<g/>
=
corpo	w699
von	w700
Jhro	w701
Majestät	w702
mit	w703
100	w704
Guineen	w705
beschen=ket	w706
<g/>
=
<g/>
.
Man	w709
wird	w710
diese	w711
Woche	w712
mehr	w713
als	w714
250	w715
<g/>
.
Per=sonen	w717
<g/>
=
nach	w719
unsern	w720
Colonnen	w721
in	w722
America	w723
<g/>
,
we=gen	w725
<g/>
=
allerhand	w727
verübten	w728
Lastern	w729
einschiffen	w730
et=liche	w731
<g/>
=
derselben	w733
seynd	w734
verdammet	w735
worden	w736
<g/>
,
ihr	w738
Leben	w739
daselbst	w740
zuzubringen	w741
<g/>
,
andere	w743
müssen	w744
7	w745
<g/>
.
<g/>
,
einige	w748
aber	w749
14	w750
<g/>
.
Jahre	w752
an	w753
dem	w754
Ort	w755
bleiben	w756
<g/>
,
den	w758
man	w759
ihnen	w760
angewiesen	w761
<g/>
,
und	w763
zwar	w764
sollen	w765
die=selbe	w766
<g/>
=
am	w768
Leben	w769
gestraft	w770
werden	w771
<g/>
,
wofern	w773
sie	w774
sich	w775
erfrechen	w776
solten	w777
<g/>
,
vor	w779
dieser	w780
Zeit	w781
sich	w782
in	w783
hiesigem	w784
Königreich	w785
wieder	w786
einzufinden	w787
<g/>
.
</p>
<head id="hl5">
Aus	w789
Frankreich	w790
<g/>
.
</head>
<head id="hl6">
Alenzon	w792
12	w793
<g/>
.
Junii	w795
<g/>
.
</head>
<p id="p8">
Den	w797
5	w798
<g/>
.
dieses	w800
Nachmittags	w801
um	w802
3	w803
<g/>
.
Uhr	w805
ent=stunde	w806
<g/>
=
in	w808
dem	w809
Flecken	w810
Soligny	w811
eine	w812
Feuers=brunst	w813
<g/>
=
<g/>
,
und	w816
weil	w817
damals	w818
ein	w819
starker	w820
Nord	w821
<g/>
=
wind	w823
wähete	w824
<g/>
,
so	w826
nahme	w827
das	w828
Feuer	w829
dergestalt	w830
über=hand	w831
<g/>
=
<g/>
,
daß	w834
in	w835
anderthalben	w836
Stunden	w837
die	w838
Ein=wohner	w839
<g/>
=
alle	w841
ihre	w842
Häuser	w843
in	w844
denen	w845
Flammen	w846
sa=hen	w847
<g/>
=
<g/>
,
und	w850
hierdurch	w851
wurden	w852
dieselbe	w853
in	w854
kurzer	w855
Zeit	w856
in	w857
die	w858
Asche	w859
geleget	w860
<g/>
,
indem	w862
von	w863
allen	w864
Gebäu=den	w865
<g/>
=
nichts	w867
als	w868
die	w869
Kirche	w870
und	w871
drey	w872
kleine	w873
Hüt=ten	w874
<g/>
=
übrig	w876
blieben	w877
<g/>
.
Es	w879
konten	w880
die	w881
arme	w882
Ein=wohner	w883
<g/>
=
fast	w885
gar	w886
nichts	w887
erretten	w888
<g/>
,
dann	w890
alle	w891
ih=re	w892
<g/>
=
Meubles	w894
<g/>
,
ihr	w896
Vieh	w897
und	w898
Lebens	w899
<g/>
=
vorrat	w901
gien=ge	w902
<g/>
=
durch	w904
die	w905
Flammen	w906
verloren	w907
<g/>
.
</p>
<head id="hl7">
Versailles	w909
18	w910
<g/>
.
Junii	w912
<g/>
.
</head>
<p id="p9">
Gestern	w914
hat	w915
der	w916
Hr	w917
<g/>
.
Branciforte	w919
ausseror=dentlicher	w920
<g/>
=
Päpstlichen	w922
Nuntius	w923
<g/>
,
welchen	w925
Jhro	w926
Päpstliche	w927
Heiligkeit	w928
ernannt	w929
<g/>
,
die	w931
geweihte	w932
Windeln	w933
für	w934
den	w935
jungen	w936
Herzog	w937
von	w938
Burgund	w939
nach	w940
Frankreich	w941
zu	w942
bringen	w943
<g/>
,
seinen	w945
offentlichen	w946
Einzug	w947
zu	w948
Paris	w949
gehalten	w950
<g/>
:
Zuerst	w952
kame	w953
die	w954
Kut=sche	w955
<g/>
=
des	w957
Marches	w958
von	w959
Vernevil	w960
<g/>
,
Königl	w962
<g/>
.
Ein=führer	w964
<g/>
=
deren	w966
Bottschaftern	w967
<g/>
:
alsdann	w969
folgte	w970
die	w971
Kutsche	w972
des	w973
Prinzens	w974
von	w975
Ponz	w976
<g/>
;
hierauf	w978
sahe	w979
man	w980
die	w981
2	w982
<g/>
.
Schweitzer	w984
zu	w985
Pferd	w986
<g/>
,
und	w988
24	w989
<g/>
.
Li=vree	w991
<g/>
=
<g/>
=
bediente	w994
und	w995
einen	w996
Haus	w997
<g/>
=
hofmeister	w999
des	w1000
Päpstl	w1001
<g/>
.
Nuntii	w1003
in	w1004
denen	w1005
prächtigsten	w1006
roten	w1007
Kleidern	w1008
mit	w1009
goldenen	w1010
und	w1011
silbernen	w1012
Galonen	w1013
be=setzet	w1014
<g/>
=
<g/>
;
denen	w1017
folgeten	w1018
6	w1019
<g/>
.
Cavaliers	w1021
nebst	w1022
dem	w1023
Stallmeister	w1024
des	w1025
Hrn	w1026
<g/>
.
Nuntii	w1028
alle	w1029
zu	w1030
Pferd	w1031
<g/>
,
und	w1033
alsdann	w1034
kommen	w1035
12	w1036
<g/>
.
Päpstl	w1038
<g/>
.
Pagen	w1040
<g/>
,
alle	w1042
aufs	w1043
prächtigste	w1044
gekleidet	w1045
<g/>
,
gleichfalls	w1047
zu	w1048
Pferd	w1049
<g/>
;
auf	w1051
diese	w1052
folgte	w1053
die	w1054
Parade	w1055
<g/>
=
kutsche	w1057
Jhrer	w1058
Ma Majestät	w1059
<g/>
=
</p>
<p id="p10">
jestät	w1061
des	w1062
Königs	w1063
<g/>
,
worinn	w1065
der	w1066
Päpstl	w1067
<g/>
.
Nun=tius	w1069
<g/>
=
nebst	w1071
dem	w1072
Prinzen	w1073
von	w1074
Ponz	w1075
und	w1076
Marquis	w1077
von	w1078
Vernevil	w1079
sasse	w1080
<g/>
;
neben	w1082
giengen	w1083
derselben	w1084
Li=vree	w1085
<g/>
=
<g/>
=
bedienten	w1088
<g/>
;
alsdann	w1090
folgte	w1091
der	w1092
Parade=wagen	w1093
<g/>
=
der	w1095
Königin	w1096
<g/>
;
hierauf	w1098
von	w1099
der	w1100
Mada=me	w1101
<g/>
=
Dauphine	w1103
<g/>
,
vom	w1105
Herzog	w1106
und	w1107
Herzogin	w1108
von	w1109
Orleans	w1110
<g/>
,
vom	w1112
Prinzen	w1113
und	w1114
Prinzeßin	w1115
von	w1116
Con=de	w1117
<g/>
=
<g/>
,
vom	w1120
Grafen	w1121
von	w1122
Charolois	w1123
<g/>
,
und	w1125
allen	w1126
üb=rigen	w1127
<g/>
=
Prinzen	w1129
vom	w1130
Geblüt	w1131
<g/>
,
und	w1133
auf	w1134
dieselbe	w1135
die	w1136
Staats	w1137
<g/>
=
kutsche	w1139
des	w1140
Marches	w1141
den	w1142
Contest	w1143
<g/>
;
den	w1145
Schluß	w1146
machten	w1147
4	w1148
<g/>
.
vortrefliche	w1150
Kutschen	w1151
des	w1152
Päpstl	w1153
<g/>
.
Nuntii	w1155
<g/>
.
</p>
<head id="hl8">
Aus	w1157
Niederland	w1158
<g/>
.
</head>
<head id="hl9">
Brüssel	w1160
22	w1161
<g/>
.
Junii	w1163
<g/>
.
</head>
<p id="p11">
Gestern	w1165
machte	w1166
die	w1167
3te	w1168
Battaillon	w1169
des	w1170
Re=giments	w1171
<g/>
=
von	w1173
Carl	w1174
Lothringen	w1175
auf	w1176
dem	w1177
Platz	w1178
<g/>
,
der	w1180
Baßin	w1181
des	w1182
Hofs	w1183
genannt	w1184
<g/>
,
die	w1186
Exercitia	w1187
im	w1188
Feuer	w1189
<g/>
,
dabey	w1191
der	w1192
Marquis	w1193
von	w1194
Botta	w1195
<g/>
=
ador=no	w1197
<g/>
=
<g/>
,
der	w1200
Fürst	w1201
von	w1202
Thurn	w1203
und	w1204
Taxis	w1205
<g/>
,
und	w1207
eine	w1208
grosse	w1209
Anzahl	w1210
Personen	w1211
von	w1212
Distinction	w1213
zu	w1214
gegen	w1215
waren	w1216
<g/>
,
welche	w1218
über	w1219
die	w1220
Fertig	w1221
<g/>
=
und	w1223
Ge=schicklichkeit	w1224
<g/>
=
dieser	w1226
Battaillon	w1227
in	w1228
denen	w1229
unter=schiedlichen	w1230
<g/>
=
Kriegs	w1232
<g/>
=
evolutionen	w1234
höchstens	w1235
ver=gnügt	w1236
<g/>
=
waren	w1238
<g/>
.
Der	w1240
Herr	w1241
von	w1242
Reny	w1243
<g/>
,
Raht	w1245
<g/>
,
Regent	w1247
des	w1248
obersten	w1249
Rahts	w1250
<g/>
,
und	w1252
erster	w1253
Commis=sarius	w1254
<g/>
=
zu	w1256
denen	w1257
alhier	w1258
angestellten	w1259
Conferenzen	w1260
<g/>
,
ist	w1262
am	w1263
Dienstag	w1264
nach	w1265
Wien	w1266
abgereiset	w1267
<g/>
.
</p>
<head id="hl10">
Aus	w1269
dem	w1270
Rußischen	w1271
Reich	w1272
<g/>
.
</head>
<head id="hl11">
Moscau	w1274
29	w1275
<g/>
.
May	w1277
<g/>
.
</head>
<p id="p12">
Seit	w1279
14	w1280
<g/>
.
Tagen	w1282
hat	w1283
man	w1284
verschiedene	w1285
Feuers=brünste	w1286
<g/>
=
in	w1288
dieser	w1289
Stadt	w1290
gehabt	w1291
<g/>
,
welche	w1293
aber	w1294
mehrentheils	w1295
gleich	w1296
wieder	w1297
gelöschet	w1298
wurden	w1299
<g/>
.
Bald	w1301
darauf	w1302
brandten	w1303
die	w1304
Ställe	w1305
und	w1306
Eis	w1307
<g/>
=
kel=ler	w1309
<g/>
=
des	w1311
General	w1312
<g/>
=
Hospitals	w1314
ab	w1315
<g/>
,
und	w1317
den	w1318
14	w1319
<g/>
.
dieses	w1321
wurden	w1322
in	w1323
dem	w1324
Quarteer	w1325
Pereslawsky	w1326
über	w1327
200	w1328
<g/>
.
Häuser	w1330
von	w1331
der	w1332
Flamme	w1333
verzehret	w1334
<g/>
.
Den	w1336
25	w1337
<g/>
.
und	w1339
26	w1340
<g/>
.
darauf	w1342
sahe	w1343
man	w1344
Dörfer	w1345
<g/>
,
jedes	w1347
von	w1348
200	w1349
<g/>
.
Häuser	w1351
<g/>
,
nahe	w1353
bey	w1354
Jsmailow	w1355
im	w1356
Rauch	w1357
aufgehen	w1358
<g/>
.
Den	w1360
18	w1361
<g/>
.
entstund	w1363
hier	w1364
in	w1365
der	w1366
Stadt	w1367
wieder	w1368
ein	w1369
Brand	w1370
bey	w1371
einem	w1372
Rus=sischen	w1373
<g/>
=
Kaufman	w1375
in	w1376
dem	w1377
Quartier	w1378
Taganska	w1379
<g/>
,
und	w1381
da	w1382
die	w1383
Flamme	w1384
sehr	w1385
heftig	w1386
wurde	w1387
<g/>
,
und	w1389
sich	w1390
nach	w1391
6	w1392
<g/>
.
bis	w1394
7	w1395
<g/>
.
der	w1397
nächsten	w1398
Quartier	w1399
ver=breitete	w1400
<g/>
=
<g/>
,
so	w1403
konnte	w1404
man	w1405
aller	w1406
angewandten	w1407
Mühe	w1408
ungeachtet	w1409
<g/>
,
nicht	w1411
hindern	w1412
<g/>
,
daß	w1414
7	w1415
<g/>
.
bis	w1417
800	w1418
<g/>
.
Häuser	w1420
und	w1421
einige	w1422
Kirchen	w1423
von	w1424
der	w1425
Flam=me	w1426
<g/>
=
verzehret	w1428
wurden	w1429
<g/>
,
der	w1431
vielen	w1432
Pack	w1433
<g/>
=
häuser	w1435
und	w1436
Buden	w1437
<g/>
,
wo	w1439
man	w1440
Korn	w1441
<g/>
,
Mehl	w1443
und	w1444
andre	w1445
Es	w1446
<g/>
=
waaren	w1448
verkaufte	w1449
<g/>
,
nicht	w1451
einmal	w1452
zu	w1453
geden=ken	w1454
<g/>
=
<g/>
.
Den	w1457
20	w1458
<g/>
.
entstand	w1460
abermals	w1461
ein	w1462
Brand	w1463
in	w1464
der	w1465
Vor	w1466
<g/>
=
stadt	w1468
bey	w1469
dem	w1470
Quartier	w1471
Meschans Meschanska	w1472
<g/>
=
</p>
<p id="p13">
ka	w1476
<g/>
,
wodurch	w1478
30	w1479
<g/>
.
Häuser	w1481
in	w1482
Aschen	w1483
<g/>
=
hauffen	w1485
verwandelt	w1486
wurden	w1487
<g/>
.
Den	w1489
21	w1490
<g/>
.
hatte	w1492
man	w1493
wie=der	w1494
<g/>
=
Brand	w1496
in	w1497
einer	w1498
Gar	w1499
<g/>
=
küche	w1501
auf	w1502
dem	w1503
Markt	w1504
<g/>
,
dieser	w1506
aber	w1507
wurde	w1508
glücklich	w1509
gedämpfet	w1510
<g/>
.
Ge=genwärtig	w1512
<g/>
=
stellet	w1514
man	w1515
Untersuchungen	w1516
an	w1517
<g/>
,
ob	w1519
alle	w1520
diese	w1521
Brand	w1522
<g/>
=
schaden	w1524
von	w1525
ungefähr	w1526
oder	w1527
auch	w1528
Mord	w1529
<g/>
=
brenners	w1531
entstanden	w1532
seyen	w1533
<g/>
,
und	w1535
man	w1536
ist	w1537
wegen	w1538
der	w1539
Anwesenheit	w1540
des	w1541
Hofs	w1542
sehr	w1543
vigilant	w1544
<g/>
,
um	w1546
mehr	w1547
dergleichen	w1548
Unglück	w1549
vorzu=beugen	w1550
<g/>
=
<g/>
.
</p>
<head id="hl12">
Aus	w1553
Dännemark	w1554
<g/>
.
</head>
<head id="hl13">
Copenhagen	w1556
16	w1557
<g/>
.
Junii	w1559
<g/>
.
</head>
<p id="p14">
Seit	w1561
dem	w1562
sich	w1563
der	w1564
Hof	w1565
zu	w1566
Friedrichsberg	w1567
auf=hält	w1568
<g/>
=
<g/>
,
werden	w1571
alda	w1572
täglich	w1573
Marschalls	w1574
<g/>
=
und	w1576
andere	w1577
Tafeln	w1578
gehalten	w1579
<g/>
,
woran	w1581
die	w1582
in	w1583
grosser	w1584
Anzahl	w1585
alda	w1586
sich	w1587
befindende	w1588
Personen	w1589
von	w1590
Di=stinction	w1591
<g/>
=
gezogen	w1593
werden	w1594
<g/>
.
Die	w1596
Königl	w1597
<g/>
.
Herr=haften	w1599
<g/>
=
<g/>
,
und	w1602
die	w1603
Prinzen	w1604
von	w1605
Braun	w1606
<g/>
=
schweig	w1608
und	w1609
Hildburgshausen	w1610
<g/>
,
machen	w1612
sich	w1613
täglich	w1614
das	w1615
Vergnügen	w1616
die	w1617
Escadrons	w1618
und	w1619
Bataillons	w1620
<g/>
,
welche	w1622
unweit	w1623
hiesiger	w1624
Stadt	w1625
in	w1626
denen	w1627
Waffen	w1628
geübet	w1629
werden	w1630
<g/>
,
in	w1632
Augenschein	w1633
zu	w1634
nehmen	w1635
<g/>
.
Am	w1637
Mittwoch	w1638
geruhete	w1639
der	w1640
König	w1641
beydes	w1642
<g/>
,
sowol	w1644
in	w1645
Cavallerie	w1646
als	w1647
Jnfanterie	w1648
<g/>
,
die	w1650
General	w1651
<g/>
=
Musterung	w1653
paßiren	w1654
zu	w1655
lassen	w1656
<g/>
,
wobey	w1658
unser	w1659
Kron=prinz	w1660
<g/>
=
sich	w1662
in	w1663
völliger	w1664
Uniform	w1665
an	w1666
der	w1667
Spitze	w1668
seines	w1669
Regiments	w1670
präsentirte	w1671
<g/>
.
Am	w1673
Donners=tag	w1674
<g/>
=
langten	w1676
2	w1677
<g/>
.
Rußische	w1679
Kriegs	w1680
<g/>
=
schif	w1682
von	w1683
Ar=changel	w1684
<g/>
=
auf	w1686
hiesiger	w1687
Rhede	w1688
an	w1689
<g/>
,
die	w1691
nach	w1692
ein=genommer	w1693
<g/>
=
Erfrischung	w1695
ihren	w1696
Lauf	w1697
weiter	w1698
nach	w1699
Petersburg	w1700
fortsetzen	w1701
werden	w1702
<g/>
.
Zu	w1704
Moß	w1705
in	w1706
Nor=wegen	w1707
<g/>
=
<g/>
,
zwischen	w1710
Christiana	w1711
und	w1712
Friederichshall	w1713
wird	w1714
eine	w1715
neue	w1716
Stückgiesserey	w1717
angeleget	w1718
<g/>
,
und	w1720
nach	w1721
dem	w1722
Agent	w1723
Anker	w1724
<g/>
,
der	w1726
das	w1727
Werk	w1728
unter=nimmt	w1729
<g/>
=
<g/>
,
Ankerwärne	w1732
genannt	w1733
<g/>
.
Der	w1735
König	w1736
schiesset	w1737
dazu	w1738
50000	w1739
<g/>
.
Thaler	w1741
her	w1742
<g/>
,
wovon	w1744
keine	w1745
Zinsen	w1746
bezahlet	w1747
werden	w1748
sollen	w1749
<g/>
.
</p>
<head id="hl14">
Copenhagen	w1751
19	w1752
<g/>
.
Junii	w1754
<g/>
.
</head>
<p id="p15">
Der	w1756
König	w1757
lasset	w1758
sich	w1759
zu	w1760
Friedrichsberg	w1761
alle	w1762
Morgen	w1763
die	w1764
Reichs	w1765
<g/>
=
geschäfte	w1767
äusserst	w1768
angelegen	w1769
seyn	w1770
<g/>
,
und	w1772
nihmet	w1773
täglich	w1774
mit	w1775
unserer	w1776
allergnä=digsten	w1777
<g/>
=
Königin	w1779
<g/>
,
welche	w1781
in	w1782
Dero	w1783
Schwanger=schaft	w1784
<g/>
=
nach	w1786
Wunsch	w1787
fortfahret	w1788
<g/>
,
das	w1790
vor	w1791
hiesi=ger	w1792
<g/>
=
Stadt	w1794
errichtete	w1795
Lust	w1796
<g/>
=
campement	w1798
und	w1799
dessen	w1800
Kriegs	w1801
<g/>
=
übung	w1803
in	w1804
hohen	w1805
Augenschein	w1806
<g/>
.
</p>
<head id="hl15">
Aus	w1808
Teutschland	w1809
<g/>
.
</head>
<head id="hl16">
Barbi	w1811
<g/>
,
13	w1813
<g/>
.
Junii	w1815
<g/>
.
</head>
<p id="p16">
Am	w1817
vergangenen	w1818
Himmelfahrts	w1819
<g/>
=
tage	w1821
ertrun=ken	w1822
<g/>
=
hier	w1824
in	w1825
der	w1826
Elbe	w1827
ein	w1828
Mühlen	w1829
<g/>
=
knappe	w1831
<g/>
,
und	w1833
eines	w1834
Thor	w1835
<g/>
=
schreibers	w1837
Frau	w1838
<g/>
.
Die	w1840
letzte	w1841
war	w1842
ge=sonnen	w1843
<g/>
=
<g/>
,
Korn	w1846
zum	w1847
mahlen	w1848
auf	w1849
die	w1850
Schif	w1851
<g/>
=
mühle	w1853
</p>
<p id="p17">
zu	w1854
bringen	w1855
<g/>
,
auf	w1857
welcher	w1858
der	w1859
erste	w1860
arbeitet	w1861
<g/>
.
Die	w1863
Frau	w1864
hatte	w1865
solches	w1866
Korn	w1867
auf	w1868
dem	w1869
Rücken	w1870
<g/>
.
Der	w1872
Mühlen	w1873
<g/>
=
