<doc id="wr_1758-01-28" attrs="word" year="1758" month="01" day="28" corpus="2">
<head id="h2_d214e2819">
Altona,	w1_d214e2823
sischen	w1_d214e3393
General=major	w3_d214e3396
von	w5_d214e3399
Fink,	w7_d214e3402
eine	w9_d214e3405
Ehren	w11_d214e3408
wache	w1_d214e3413
von	w3_d214e3416
2.	w5_d214e3419
Preußischen	w7_d214e3422
Grenadiers	w9_d214e3425
und	w11_d214e3428
die	w13_d214e3432
ser	w1_d214e3437
stattete	w3_d214e3440
auch	w5_d214e3443
bald	w7_d214e3446
hernach	w9_d214e3449
einen	w11_d214e3452
Besuch	w13_d214e3456
bey	w1_d214e3462
dem	w3_d214e3465
Herrn	w5_d214e3468
Feld=marschall	w7_d214e3471
ab.	w9_d214e3474
Für	w11_d214e3477
die	w13_d214e3481
hiesige	w1_d214e3486
Garnison	w3_d214e3489
werden	w5_d214e3492
nunmehro	w7_d214e3495
die	w9_d214e3498
Win	w11_d214e3501
ter=quartiere	w1_d214e3506
zu	w3_d214e3509
rechte	w5_d214e3512
gemacht,	w7_d214e3515
und	w9_d214e3518
es	w11_d214e3521
müs	w13_d214e3525
sen	w1_d214e3530
die	w3_d214e3533
Hauswirte	w5_d214e3536
für	w7_d214e3539
solche	w9_d214e3542
Ober	w11_d214e3545
und	w13_d214e3549
Un	w15_d214e3552
ter=behten	w1_d214e3558
verschaffen,	w3_d214e3561
auch	w5_d214e3564
ihnen,	w7_d214e3567
nebst	w9_d214e3570
Sau	w11_d214e3573
er	w1_d214e3578
und	w3_d214e3581
Süß,	w5_d214e3584
des	w7_d214e3587
Sonntags	w9_d214e3590
eine	w11_d214e3593
Mahlzeis	w13_d214e3597
geben.	w1_d214e3602
</p>
<head id="h2_d214e3608">
Lüneburg,	w1_d214e3612
18.	w3_d214e3615
Januarii.	w5_d214e3618
</head>
<p id="p4_d214e3621">
Am	w1_d214e3625
10ten	w3_d214e3628
dieses,	w5_d214e3631
Mittags,	w7_d214e3634
langten	w9_d214e3637
des	w11_d214e3640
Prinzen	w1_d214e3645
Ferdinands	w3_d214e3648
Durchl.	w5_d214e3651
alhier	w7_d214e3654
an.	w9_d214e3657
Sie	w11_d214e3660
kamen	w1_d214e3665
nur	w3_d214e3668
mit	w5_d214e3671
einem	w7_d214e3674
kleinen	w9_d214e3677
Gefolge.	w11_d214e3680
Ein	w13_d214e3684
Preußischer	w1_d214e3690
Officier,	w3_d214e3693
nebst	w5_d214e3696
einigen	w7_d214e3699
Bedienten,	w9_d214e3702
auch	w1_d214e3707
1.	w3_d214e3710
Unterofficier	w5_d214e3713
und	w7_d214e3716
2.	w9_d214e3719
Grenadiers	w11_d214e3722
ritten	w13_d214e3726
voraus;	w1_d214e3731
hiernächst	w3_d214e3734
folgten	w5_d214e3737
des	w7_d214e3740
Herzogs	w9_d214e3743
Durchl.	w1_d214e3748
selbst	w3_d214e3751
mit	w5_d214e3754
einem	w7_d214e3757
Dero	w9_d214e3760
geheimen	w11_d214e3763
Staats=secretairs,	w1_d214e3769
in	w3_d214e3772
einer	w5_d214e3775
mit	w7_d214e3778
6.	w9_d214e3781
grauen	w11_d214e3784
Pferden	w1_d214e3789
bespanten	w3_d214e3792
Kutsche.	w5_d214e3795
Se.	w7_d214e3798
Durcht	w9_d214e3801
</p>
<p id="p10_d214e3814">
stiegen	w1_d214e3818
auf	w3_d214e3821
dem	w5_d214e3824
Schloß=platze	w7_d214e3827
aus.	w9_d214e3830
So	w11_d214e3833
balb	w13_d214e3837
sie	w1_d214e3842
auf	w3_d214e3845
das	w5_d214e3848
Schloß	w7_d214e3851
gekommen	w9_d214e3854
waren,	w11_d214e3857
daurete	w13_d214e3861
es	w15_d214e3864
nicht	w1_d214e3869
lange,	w3_d214e3872
als	w5_d214e3875
eine	w7_d214e3878
Staffette	w9_d214e3881
abgesandt	w11_d214e3884
wur	w13_d214e3888
de.	w1_d214e3894
Gestern	w3_d214e3897
waren	w5_d214e3900
sie	w7_d214e3903
auf	w9_d214e3906
dem	w11_d214e3909
Parade=platze	w13_d214e3913
und	w1_d214e3918
sahen	w3_d214e3921
die	w5_d214e3924
zur	w7_d214e3927
Wache	w9_d214e3930
rangirte	w11_d214e3933
Solda	w13_d214e3937
ten.	w1_d214e3942
Man	w3_d214e3945
vermutet	w5_d214e3948
auch	w7_d214e3951
noch	w9_d214e3954
heute	w11_d214e3957
des	w13_d214e3961
Erb	w15_d214e3964
prinzens	w1_d214e3969
v.	w3_d214e3972
Braunschweig	w5_d214e3975
Hochfürstl.	w7_d214e3978
Durchl.	w9_d214e3981
Weil	w1_d214e3987
gegenwärtig	w3_d214e3990
es	w5_d214e3993
hier	w7_d214e3996
sehr	w9_d214e3999
volkreich	w11_d214e4002
ist,	w13_d214e4006
so	w1_d214e4011
ist	w3_d214e4014
auch	w5_d214e4017
alles	w7_d214e4020
ziemlich	w9_d214e4023
theuer.	w11_d214e4026
Ein	w13_d214e4030
Ey	w15_d214e4033
wird	w17_d214e4036
für	w1_d214e4041
1.	w3_d214e4044
Gr.	w5_d214e4047
bezahlt,	w7_d214e4050
das	w9_d214e4053
Pfund	w11_d214e4056
Butter	w13_d214e4060
gilt	w15_d214e4063
5.	w1_d214e4068
Gr.,	w3_d214e4071
Kalbfleisch	w5_d214e4074
3.	w7_d214e4077
Gr.	w9_d214e4080
und	w11_d214e4083
1.	w13_d214e4087
Pfund	w15_d214e4090
gekochtes	w1_d214e4096
Schwein=fleisch	w3_d214e4099
4.	w5_d214e4102
Gr.	w7_d214e4105
</p>
<head id="h2_d214e4111">
Spandow,	w1_d214e4115
7.	w3_d214e4118
Januarii.	w5_d214e4121
</head>
<p id="p4_d214e4124">
Als	w1_d214e4128
Jhre	w3_d214e4131
Majestät,	w5_d214e4134
unsere	w7_d214e4137
Königin,	w9_d214e4140
der	w11_d214e4143
4ten	w1_d214e4148
dieses	w3_d214e4151
durch	w5_d214e4154
unsere	w7_d214e4157
Stadt	w9_d214e4160
paßirten;	w11_d214e4163
so	w13_d214e4167
begab	w1_d214e4172
sich	w3_d214e4175
die	w5_d214e4178
hiesige	w7_d214e4181
Bürgerschaft,	w9_d214e4184
und	w11_d214e4187
Schü	w13_d214e4191
tzen=gülde,	w1_d214e4197
samt	w3_d214e4200
dem	w5_d214e4203
Schützen	w7_d214e4206
König,	w9_d214e4209
eine	w11_d214e4212
goldene	w1_d214e4217
Ordens=kette,	w3_d214e4220
umhabend	w5_d214e4223
mit	w7_d214e4226
denen	w9_d214e4229
Schützen=brüdern,	w1_d214e4234
welche	w3_d214e4237
mit	w5_d214e4240
blauen	w7_d214e4243
Or	w9_d214e4246
dens	w1_d214e4251
und	w3_d214e4254
Vivat=bändern	w5_d214e4257
gezieret	w7_d214e4260
waren,	w9_d214e4263
zur	w1_d214e4269
Bezeigung	w3_d214e4272
ihrer	w5_d214e4275
allerunthänigsten	w7_d214e4278
Freude,	w9_d214e4281
uater	w1_d214e4286
Anführung	w3_d214e4289
ihres	w5_d214e4292
Rendanten,	w7_d214e4295
Herrn	w9_d214e4298
Stille,	w1_d214e4303
mit	w3_d214e4306
klingendem	w5_d214e4309
Spiel,	w7_d214e4312
und	w9_d214e4315
fliegender	w11_d214e4318
Fahne,	w1_d214e4323
Morgens	w3_d214e4326
um	w5_d214e4329
9.	w7_d214e4332
Uhr,	w9_d214e4335
zu	w11_d214e4338
Fuß	w13_d214e4342
vor	w15_d214e4345
das	w1_d214e4351
Potsdammer=thor,	w3_d214e4354
wie	w5_d214e4357
dann	w7_d214e4360
auch	w9_d214e4363
unsere	w11_d214e4366
Cavallerie,	w1_d214e4371
welche	w3_d214e4374
aus	w5_d214e4377
der	w7_d214e4380
Bürgerschaft	w9_d214e4383
und	w11_d214e4386
Schützen=gülde	w1_d214e4391
bestund,	w3_d214e4394
Jhrer	w5_d214e4397
Majestät	w7_d214e4400
nach	w9_d214e4403
dem	w1_d214e4408
eine	w3_d214e4411
Meile	w5_d214e4414
von	w7_d214e4417
der	w9_d214e4420
Stadt	w11_d214e4423
gelegenem	w13_d214e4427
Dorfe	w1_d214e4433
Stacken	w3_d214e4436
entgegen	w5_d214e4439
ritte,	w7_d214e4442
allwo	w9_d214e4445
der	w11_d214e4448
Commandant	w1_d214e4453
derselben,	w3_d214e4456
Herr	w5_d214e4459
Geschke	w7_d214e4462
Höchst	w9_d214e4465
dieselben	w1_d214e4470
mit	w3_d214e4473
einer	w5_d214e4476
Anrede	w7_d214e4479
bewillkommte.	w9_d214e4482
Jhre	w1_d214e4487
Majestät	w3_d214e4490
wurden	w5_d214e4493
darauf	w7_d214e4496
von	w9_d214e4499
diesem	w11_d214e4502
Corps	w1_d214e4508
mit	w3_d214e4511
blossen	w5_d214e4514
Degens	w7_d214e4517
in	w9_d214e4520
der	w11_d214e4523
Hand	w13_d214e4527
und	w15_d214e4530
mit	w1_d214e4535
vorreitenden	w3_d214e4538
blasenden	w5_d214e4541
Postillions	w7_d214e4544
unter	w9_d214e4547
Anführung	w1_d214e4552
des	w3_d214e4555
Post=secretairs	w5_d214e4558
Herrn	w7_d214e4561
Per	w9_d214e4564
gander,	w1_d214e4569
bis	w3_d214e4572
an	w5_d214e4575
den	w7_d214e4578
vor	w9_d214e4581
obgedachtem	w11_d214e4584
Pots	w13_d214e4588
dammer=thore	w1_d214e4594
gelegenen	w3_d214e4597
roten	w5_d214e4600
Adler,	w7_d214e4603
allwo	w9_d214e4606
die	w1_d214e4611
Pferde	w3_d214e4614
gewechselt	w5_d214e4617
wurden,	w7_d214e4620
begleitet.	w9_d214e4623
Bey	w11_d214e4626
Ankunft	w1_d214e4631
Jhrer	w3_d214e4634
Königl.	w5_d214e4637
Majestät	w7_d214e4640
ward	w9_d214e4643
das	w11_d214e4646
Ge	w13_d214e4650
wehr	w1_d214e4655
präsentirt,	w3_d214e4658
und	w5_d214e4661
mit	w7_d214e4664
der	w9_d214e4667
Fahne	w11_d214e4670
salutirt,	w13_d214e4674
wobey	w1_d214e4680
sich	w3_d214e4683
die	w5_d214e4686
Music	w7_d214e4689
und	w9_d214e4692
ein	w11_d214e4695
frohes	w13_d214e4699
Vivat	w15_d214e4702
ruffen,	w1_d214e4707
unter	w3_d214e4710
dreymahliger	w5_d214e4713
Abfeuerung	w7_d214e4716
des	w9_d214e4719
kleinen	w1_d214e4724
Gewehrs,	w3_d214e4727
hören	w5_d214e4730
ließ.	w7_d214e4733
Als	w9_d214e4736
Jhre	w11_d214e4739
Ma	w13_d214e4743
jestät	w1_d214e4748
sodann,	w3_d214e4751
nach	w5_d214e4754
gewechselten	w7_d214e4757
Pferden,	w9_d214e4760
nebst	w1_d214e4766
denen	w3_d214e4769
vorreitenden	w5_d214e4772
blasenden	w7_d214e4775
Postillions,	w9_d214e4778
Dero	w1_d214e4783
Reise	w3_d214e4786
fortsetzten,	w5_d214e4789
so	w7_d214e4792
hatten	w9_d214e4795
die	w11_d214e4798
Bur	w13_d214e4802
gerschaft	w1_d214e4807
und	w3_d214e4810
Schutzen=gülde	w5_d214e4813
zu	w7_d214e4816
Pferd,	w9_d214e4819
nebst	w1_d214e4824
denen	w3_d214e4827
vorreitenden	w5_d214e4830
Postilleons	w7_d214e4833
die	w9_d214e4836
</p>
<p id="p6_d214e4839">
Gnade,	w1_d214e4843
Höchst=dieselben	w3_d214e4846
bis	w5_d214e4849
Charlotten	w7_d214e4852
burg	w1_d214e4857
zu	w3_d214e4860
begleiten,	w5_d214e4863
und	w7_d214e4866
die	w9_d214e4869
übrigen	w11_d214e4872
Bürger	w13_d214e4876
zu	w1_d214e4881
Fusse	w3_d214e4884
marschirten	w5_d214e4887
darauf	w7_d214e4890
mit	w9_d214e4893
der	w11_d214e4896
Schü	w13_d214e4900
tzen=gülde	w1_d214e4906
in	w3_d214e4909
schönster	w5_d214e4912
Ordnung,	w7_d214e4915
und	w9_d214e4918
unter	w11_d214e4921
vielen	w1_d214e4926
Freuden=schüssen,	w3_d214e4929
nach	w5_d214e4932
der	w7_d214e4935
Stadt	w9_d214e4938
zu	w11_d214e4941
rück.	w1_d214e4946
</p>
<head id="h2_d214e4953">
Petersburg,	w1_d214e4957
18.	w3_d214e4960
Decemb.	w5_d214e4963
1757.	w7_d214e4966
</head>
<p id="p4_d214e4969">
Wir	w1_d214e4973
haben	w3_d214e4976
Briefe	w5_d214e4979
aus	w7_d214e4982
Astrachan	w9_d214e4985
vom	w11_d214e4988
11.	w13_d214e4992
October	w1_d214e4997
und	w3_d214e5000
zugleich	w5_d214e5003
eine	w7_d214e5006
weikläuftige	w9_d214e5009
Rela	w11_d214e5012
tion	w1_d214e5017
aus	w3_d214e5020
Derbent	w5_d214e5023
an	w7_d214e5026
der	w9_d214e5029
caspischen	w11_d214e5032
See	w13_d214e5036
vom	w15_d214e5039
30.	w1_d214e5045
Augusti	w3_d214e5048
von	w5_d214e5051
denen	w7_d214e5054
Unruhen	w9_d214e5057
in	w11_d214e5060
Persien	w13_d214e5064
bekommen.	w1_d214e5069
Das	w3_d214e5072
Vornehmste	w5_d214e5075
beziehet	w7_d214e5078
sich	w9_d214e5081
dahin:	w1_d214e5086
der	w3_d214e5089
Serdar	w5_d214e5092
Kadschar,	w7_d214e5095
Muhamet	w9_d214e5098
Cha	w11_d214e5101
sen	w1_d214e5106
Chan=wäre,	w3_d214e5109
nachdem	w5_d214e5112
er	w7_d214e5115
mit	w9_d214e5118
seinem	w11_d214e5121
La	w13_d214e5125
ger	w1_d214e5131
von	w3_d214e5134
Teweis	w5_d214e5137
nach	w7_d214e5140
Rumien	w9_d214e5143
aufgebrochen,	w11_d214e5146
ungefehr	w1_d214e5151
8.	w3_d214e5154
oder	w5_d214e5157
9.	w7_d214e5160
Meilen	w9_d214e5163
von	w11_d214e5166
der	w13_d214e5170
lezten	w15_d214e5173
Stadt	w1_d214e5178
durch	w3_d214e5181
den	w5_d214e5184
Aly	w7_d214e5187
Chan	w9_d214e5190
totaliter	w11_d214e5193
geschla	w13_d214e5197
gen	w1_d214e5202
worden;	w3_d214e5205
wie	w5_d214e5208
den	w7_d214e5211
7000	w9_d214e5214
Mann	w11_d214e5217
von	w13_d214e5221
des	w15_d214e5224
Serbars	w1_d214e5230
Armee	w3_d214e5233
auf	w5_d214e5236
dem	w7_d214e5239
Wahl=platze	w9_d214e5242
geblie	w11_d214e5245
ben,	w1_d214e5250
die	w3_d214e5253
übrigen	w5_d214e5256
aber,	w7_d214e5259
ungefähr	w9_d214e5262
30000.	w11_d214e5265
Mann,	w1_d214e5270
nach	w3_d214e5273
Georgien	w5_d214e5276
und	w7_d214e5279
Servien	w9_d214e5282
geflohen	w11_d214e5285
wären,	w1_d214e5290
alwo	w3_d214e5293
sie	w5_d214e5296
viele	w7_d214e5299
Ort	w9_d214e5302
geplündert	w11_d214e5305
und	w13_d214e5309
verwüstet,	w1_d214e5315
dadurch	w3_d214e5318
aber	w5_d214e5321
verschiedene	w7_d214e5324
geringere	w9_d214e5327
Chans	w1_d214e5332
aufgebracht,	w3_d214e5335
daß	w5_d214e5338
sie	w7_d214e5341
die	w9_d214e5344
Waffen	w11_d214e5347
wider	w13_d214e5351
den	w1_d214e5356
Serdar	w3_d214e5359
ergriffen	w5_d214e5362
hätten.	w7_d214e5365
</p>
<head id="h2_d214e5371">
Paris	w1_d214e5375
16.	w3_d214e5378
Januarii.	w5_d214e5381
</head>
<p id="p4_d214e5384">
Verwichener	w1_d214e5388
Tagen	w3_d214e5391
kame	w5_d214e5394
die	w7_d214e5397
Equipage	w9_d214e5400
des	w1_d214e5405
Herzogs	w3_d214e5408
von	w5_d214e5411
Beauvilliers,	w7_d214e5414
welcher	w9_d214e5417
an	w11_d214e5420
seinen	w1_d214e5425
in	w3_d214e5428
der	w5_d214e5431
Bataille	w7_d214e5434
bey	w9_d214e5437
Roßbach	w11_d214e5440
empfan	w13_d214e5444
genen	w1_d214e5450
Blessuren	w3_d214e5453
gestorben,	w5_d214e5456
hier	w7_d214e5459
an.	w9_d214e5462
Der	w11_d214e5465
Fürst	w13_d214e5469
von	w1_d214e5474
Francavilla,	w3_d214e5477
Obrist=hofmeister	w5_d214e5480
des	w7_d214e5483
Kö	w9_d214e5486
nigs	w1_d214e5491
der	w3_d214e5494
beyden	w5_d214e5497
Sicilien,	w7_d214e5500
so	w9_d214e5503
sich	w11_d214e5506
mit	w13_d214e5510
der	w15_d214e5513
Für	w17_d214e5516
stin	w1_d214e5521
seiner	w3_d214e5524
Gemahlin,	w5_d214e5527
seit	w7_d214e5530
18.	w9_d214e5533
Monaten	w11_d214e5536
hier	w1_d214e5542
aufgehalten,	w3_d214e5545
ist	w5_d214e5548
von	w7_d214e5551
hier	w9_d214e5554
abgereiset,	w11_d214e5557
um	w1_d214e5562
nach	w3_d214e5565
Jtalien	w5_d214e5568
wieder	w7_d214e5571
zuruck	w9_d214e5574
zu	w11_d214e5577
kehren.	w13_d214e5581
</p>
<p id="p6_d214e5584">
Der	w1_d214e5588
Herzog	w3_d214e5591
von	w5_d214e5594
Bouillon	w7_d214e5597
hat	w9_d214e5600
in	w11_d214e5603
dem	w13_d214e5607
Her	w15_d214e5610
zogtum	w1_d214e5615
seines	w3_d214e5618
Namens	w5_d214e5621
mit	w7_d214e5624
Erlaubnuß	w9_d214e5627
des	w11_d214e5630
Königs	w1_d214e5635
ein	w3_d214e5638
neues	w5_d214e5641
Jnfanterie=regiment	w7_d214e5644
von	w9_d214e5647
2.	w1_d214e5653
Bataillonen	w3_d214e5656
angeworben,	w5_d214e5659
und	w7_d214e5662
seinen	w9_d214e5665
En	w11_d214e5668
kel	w1_d214e5673
dem	w3_d214e5676
Prinzen	w5_d214e5679
von	w7_d214e5682
Bouillon	w9_d214e5685
damit	w11_d214e5688
beschen	w13_d214e5692
ket.	w1_d214e5697
</p>
<head id="h2_d214e5703">
Madrid	w1_d214e5707
1.	w3_d214e5710
Januarii.	w5_d214e5713
</head>
<p id="p4_d214e5716">
Die	w1_d214e5720
Werk=leute	w3_d214e5723
zum	w5_d214e5726
Schif=bau	w7_d214e5729
sind	w9_d214e5732
über	w11_d214e5735
all	w1_d214e5740
auf	w3_d214e5743
Befehl	w5_d214e5746
der	w7_d214e5749
Admiralität	w9_d214e5752
vermehret	w11_d214e5755
</p>
<p id="p10_d214e5768">
worden,	w1_d214e5772
ungeachtet	w3_d214e5775
in	w5_d214e5778
dem	w7_d214e5781
einzigen	w9_d214e5784
Hafen	w11_d214e5787
zu	w1_d214e5792
Ferrol	w3_d214e5795
1400.	w5_d214e5798
mehr	w7_d214e5801
waren,	w9_d214e5804
als	w11_d214e5807
man	w13_d214e5811
brauchte.	w15_d214e5814
Diese	w1_d214e5819
ungeheure	w3_d214e5822
Menge	w5_d214e5825
Leute	w7_d214e5828
arbeiten	w9_d214e5831
Tag	w11_d214e5834
und	w1_d214e5840
Nacht	w3_d214e5843
an	w5_d214e5846
3.	w7_d214e5849
Kriegs	w9_d214e5852
schiffen	w11_d214e5855
von	w13_d214e5859
70.	w15_d214e5862
Ca	w17_d214e5865
nonen	w1_d214e5870
und	w3_d214e5873
5	w5_d214e5876
Fregatten,	w7_d214e5879
und	w9_d214e5882
folglich	w11_d214e5885
werden	w13_d214e5889
diese	w1_d214e5894
bald	w3_d214e5897
fertig	w5_d214e5900
seyn.	w7_d214e5903
Alle	w9_d214e5906
unsere	w11_d214e5909
Anstalten	w13_d214e5913
verkündigen	w1_d214e5918
uns	w3_d214e5921
eine	w5_d214e5924
Spanische	w7_d214e5927
Macht	w9_d214e5930
auf	w11_d214e5933
der	w1_d214e5939
See,	w3_d214e5942
dergleichen	w5_d214e5945
die	w7_d214e5948
Welt	w9_d214e5951
noch	w11_d214e5954
nicht	w13_d214e5958
viel	w15_d214e5961
und	w1_d214e5966
von	w3_d214e5969
unserer	w5_d214e5972
Monarchie	w7_d214e5975
noch	w9_d214e5978
gar	w11_d214e5981
nicht	w13_d214e5985
gesehen	w1_d214e5990
hat.	w3_d214e5993
Es	w5_d214e5996
ist	w7_d214e5999
schade,	w9_d214e6002
daß	w11_d214e6005
der	w13_d214e6009
Marquis	w15_d214e6012
de	w1_d214e6017
los	w3_d214e6020
Balbasos,	w5_d214e6023
Grand	w7_d214e6026
d'Espagne	w9_d214e6029
von	w11_d214e6032
der	w13_d214e6036
ersten	w1_d214e6042
Classe,	w3_d214e6045
Ritter	w5_d214e6048
des	w7_d214e6051
hohen	w9_d214e6054
Ordens	w11_d214e6057
vom	w13_d214e6061
goldenen	w1_d214e6066
Vlies	w3_d214e6069
und	w5_d214e6072
des	w7_d214e6075
H.	w9_d214e6078
Januarii,	w11_d214e6081
Cammer	w13_d214e6085
Herr	w1_d214e6090
des	w3_d214e6093
Catholischen	w5_d214e6096
Königs,	w7_d214e6099
und	w9_d214e6102
Groß	w11_d214e6105
Stallmeister	w1_d214e6110
der	w3_d214e6113
regierenden	w5_d214e6116
Königin,	w7_d214e6119
selbt	w9_d214e6122
ge	w1_d214e6128
zu	w3_d214e6131
sehen	w5_d214e6134
nicht	w7_d214e6137
erlebt	w9_d214e6140
hat,	w11_d214e6143
dann	w13_d214e6147
er	w15_d214e6150
starb	w17_d214e6153
den	w1_d214e6158
18den	w3_d214e6161
dieses	w5_d214e6164
im	w7_d214e6167
grossen	w9_d214e6170
Stuffen=Jahr	w11_d214e6173
des	w1_d214e6178
menschlichen	w3_d214e6181
Lebens,	w5_d214e6184
hochgeschätzt	w7_d214e6187
wegen	w9_d214e6190
seiner	w1_d214e6195
Eigenschaften	w3_d214e6198
und	w5_d214e6201
herzlich	w7_d214e6204
beklaget	w9_d214e6207
we	w11_d214e6210
gen	w1_d214e6216
seiner	w3_d214e6219
dem	w5_d214e6222
Staat	w7_d214e6225
geleisteten	w9_d214e6228
Dienste,	w11_d214e6231
</p>
<head id="h2_d214e6237">
Aus	w1_d214e6241
der	w3_d214e6244
Berliner	w5_d214e6247
Zeitung.	w7_d214e6250
Berlin	w1_d214e6255
12.	w3_d214e6258
Jan.	w5_d214e6261
</head>
<p id="p4_d214e6264">
Aus	w1_d214e6268
dem	w3_d214e6271
Haupt=quartier	w5_d214e6274
der	w7_d214e6277
Königl.	w9_d214e6280
Preu	w11_d214e6283
ßischen	w1_d214e6288
Armee	w3_d214e6291
zu	w5_d214e6294
Griefswalde,	w7_d214e6297
hat	w9_d214e6300
man	w11_d214e6303
von	w13_d214e6307
dem	w1_d214e6312
Verfolg	w3_d214e6315
der	w5_d214e6318
Kriegs=operationen	w7_d214e6321
gegen	w9_d214e6324
die	w1_d214e6330
Schweden,	w3_d214e6333
unter	w5_d214e6336
dem	w7_d214e6339
8.	w9_d214e6342
Januarii	w11_d214e6345
fol	w13_d214e6349
gende	w1_d214e6354
Nachricht	w3_d214e6357
erhalten:	w5_d214e6360
Den	w7_d214e6363
5.	w9_d214e6366
Januarii	w11_d214e6369
ergab	w1_d214e6374
sich	w3_d214e6377
die	w5_d214e6380
Anclamer	w7_d214e6383
Fehr=schanze,	w9_d214e6386
worin	w11_d214e6389
nen	w1_d214e6394
ein	w3_d214e6397
Capitain,	w5_d214e6400
2.	w7_d214e6403
Subaltern=officiers,	w9_d214e6406
7.	w1_d214e6412
Unter=officiers,	w3_d214e6415
ein	w5_d214e6418
Stuck=junker	w7_d214e6421
16.	w9_d214e6424
