<doc id="wr_1759-07-18" attrs="word" year="1759" month="07" day="18" corpus="2">
<head id="h2_d365e3112">
Oldendorf	w1_d365e3116
man	w7_d365e3874
an	w9_d365e3877
einem	w11_d365e3880
neuen	w13_d365e3884
Retrenschement,	w1_d365e3889
welches	w3_d365e3892
so	w5_d365e3895
groß	w7_d365e3898
werden	w9_d365e3901
soll,	w11_d365e3904
daß	w1_d365e3909
man	w3_d365e3912
unter	w5_d365e3915
denen	w7_d365e3918
Canonen	w9_d365e3921
der	w11_d365e3924
Cita	w13_d365e3928
delle	w1_d365e3933
mit	w3_d365e3936
einer	w5_d365e3939
ganzen	w7_d365e3942
Armee	w9_d365e3945
sicher	w11_d365e3948
stehen	w13_d365e3952
kan.	w1_d365e3958
</p>
<head id="h4_d365e3966">
Cöln	w1_d365e3970
7.	w3_d365e3973
Julii.	w5_d365e3976
Daß	w1_d365e3981
die	w3_d365e3984
alliirte	w5_d365e3987
Armer	w7_d365e3990
den	w9_d365e3993
29.	w11_d365e3996
Junii	w13_d365e4000
</head>
<p id="p6_d365e4003">
früh	w1_d365e4007
das	w3_d365e4010
seit	w5_d365e4013
dem	w7_d365e4016
20.	w9_d365e4019
bey	w11_d365e4022
Rittberg	w13_d365e4026
occu	w15_d365e4029
pirte	w1_d365e4034
Lager	w3_d365e4037
verlassen	w5_d365e4040
habe,	w7_d365e4043
bestättigen	w9_d365e4046
die	w11_d365e4049
Briefe	w1_d365e4054
aus	w3_d365e4057
besagtem	w5_d365e4060
Orte	w7_d365e4063
selbst.	w9_d365e4066
Sie	w11_d365e4069
rich	w13_d365e4073
tete	w1_d365e4079
den	w3_d365e4082
Marsch	w5_d365e4085
auf	w7_d365e4088
Gütersloh,	w9_d365e4091
und	w11_d365e4094
Ma	w13_d365e4098
rienfeld,	w1_d365e4103
hinterließ	w3_d365e4106
auf	w5_d365e4109
dem	w7_d365e4112
Schloß	w9_d365e4115
ein	w11_d365e4118
Commando,	w1_d365e4123
und	w3_d365e4126
allem	w5_d365e4129
Ansehen	w7_d365e4132
nach,	w9_d365e4135
ge	w11_d365e4138
het	w1_d365e4143
die	w3_d365e4146
Route	w5_d365e4149
nach	w7_d365e4152
Münster.	w9_d365e4155
Um	w11_d365e4158
10.	w13_d365e4162
Uhr	w1_d365e4168
kamen	w3_d365e4171
bereits	w5_d365e4174
Französische	w7_d365e4177
Hussaren,	w9_d365e4180
welche	w1_d365e4185
die	w3_d365e4188
Bückeburgische	w5_d365e4191
zur	w7_d365e4194
Retirade	w9_d365e4197
nach	w11_d365e4200
dem	w1_d365e4205
Schloß	w3_d365e4208
nöhtigten,	w5_d365e4211
einige	w7_d365e4214
Preußische	w9_d365e4217
Jäger	w1_d365e4222
gefangen	w3_d365e4225
nahmen,	w5_d365e4228
und	w7_d365e4231
das	w9_d365e4234
Hospi	w11_d365e4237
tal	w1_d365e4243
besetzten,	w3_d365e4246
in	w5_d365e4249
welchem	w7_d365e4252
bey	w9_d365e4255
50.	w11_d365e4258
Kranke	w13_d365e4262
Engländer	w1_d365e4267
waren.	w3_d365e4270
Nachmittags	w5_d365e4273
rückte	w7_d365e4276
ein	w9_d365e4279
Commando	w1_d365e4284
von	w3_d365e4287
denen	w5_d365e4290
Königl.	w7_d365e4293
Französischen	w9_d365e4296
Volontairs	w1_d365e4301
vor	w3_d365e4304
das	w5_d365e4307
Schloß,	w7_d365e4310
forderte	w9_d365e4313
es	w11_d365e4316
auf	w13_d365e4320
und	w1_d365e4326
da	w3_d365e4329
sich	w5_d365e4332
die	w7_d365e4335
Besatzung	w9_d365e4338
nicht	w11_d365e4341
ergeben	w13_d365e4345
wol	w15_d365e4348
te,	w1_d365e4353
so	w3_d365e4356
forcirte	w5_d365e4359
es	w7_d365e4362
den	w9_d365e4365
Schloß=graben,	w11_d365e4368
und	w13_d365e4372
die	w1_d365e4377
erste	w3_d365e4380
Zug=brücke,	w5_d365e4383
und	w7_d365e4386
avancirte	w9_d365e4389
zur	w11_d365e4392
zweyten.	w1_d365e4397
Die	w3_d365e4400
Garnison	w5_d365e4403
schlug	w7_d365e4406
hierauf	w9_d365e4409
Chamade,	w1_d365e4415
ergab	w3_d365e4418
sich	w5_d365e4421
zu	w7_d365e4424
Kriegsgefange	w9_d365e4427
nen,	w1_d365e4432
und	w3_d365e4435
wurde	w5_d365e4438
hierauf	w7_d365e4441
zu	w9_d365e4444
dem	w11_d365e4447
Herrn	w13_d365e4451
Turpin	w1_d365e4456
geführt.	w3_d365e4459
Das	w5_d365e4462
Commando	w7_d365e4465
bestund	w9_d365e4468
aus	w1_d365e4473
alliirten	w3_d365e4476
Trupen,	w5_d365e4479
Bückeburgischen	w7_d365e4482
Hus	w9_d365e4485
saren,	w1_d365e4491
einigen	w3_d365e4494
40.	w5_d365e4497
Proviant=wägen	w7_d365e4500
mit	w9_d365e4503
denen	w1_d365e4508
Pferden,	w3_d365e4511
nebst	w5_d365e4514
einer	w7_d365e4517
guten	w9_d365e4520
Bede	w11_d365e4523
ckung	w1_d365e4528
von	w3_d365e4531
Dragonern.	w5_d365e4534
Denen	w7_d365e4537
Volontairs	w9_d365e4540
fiel	w1_d365e4545
auch	w3_d365e4548
ein	w5_d365e4551
Currier	w7_d365e4554
in	w9_d365e4557
die	w11_d365e4560
Hände,	w13_d365e4564
wel	w15_d365e4567
cher	w1_d365e4573
der	w3_d365e4576
Besatzung	w5_d365e4579
Ordre	w7_d365e4582
zum	w9_d365e4585
Abzug	w11_d365e4588
brin	w13_d365e4592
gen	w1_d365e4597
sollte.	w3_d365e4600
Zu	w5_d365e4603
Gütersloh	w7_d365e4606
ist	w9_d365e4609
den	w11_d365e4612
1.	w13_d365e4616
Julii	w15_d365e4619
ein	w1_d365e4624
scharfer	w3_d365e4627
Scharmützel	w5_d365e4630
vorgefallen,	w7_d365e4633
des	w9_d365e4636
sen	w1_d365e4641
Erfolg	w3_d365e4644
unbekannt	w5_d365e4647
ist,	w7_d365e4650
auf	w9_d365e4653
denen	w11_d365e4656
Fel	w13_d365e4660
dern	w1_d365e4666
siht	w3_d365e4669
es	w5_d365e4672
elend	w7_d365e4675
aus,	w9_d365e4678
alles	w11_d365e4681
ist	w13_d365e4685
fonragirt,	w15_d365e4688
und	w1_d365e4693
in	w3_d365e4696
die	w5_d365e4699
bejammerens=würdigste	w7_d365e4702
Um	w9_d365e4705
stände	w1_d365e4710
versetzet.	w3_d365e4713
Zu	w5_d365e4716
Paderborn	w7_d365e4719
comman	w9_d365e4722
dirt	w1_d365e4727
der	w3_d365e4730
Herr	w5_d365e4733
von	w7_d365e4736
Beausobre,	w9_d365e4739
und	w11_d365e4742
wird	w13_d365e4746
allda	w1_d365e4752
Tag	w3_d365e4755
und	w5_d365e4758
Nacht	w7_d365e4761
an	w9_d365e4764
Back=öfen	w11_d365e4767
gear	w13_d365e4771
beitet.	w1_d365e4776
</p>
<head id="h2_d365e4782">
Münster	w1_d365e4786
2.	w3_d365e4789
Julii	w5_d365e4792
</head>
<p id="p4_d365e4795">
Alhier	w1_d365e4799
wird	w3_d365e4802
seit	w5_d365e4805
der	w7_d365e4808
vor	w9_d365e4811
wenig	w11_d365e4814
Tagen	w13_d365e4818
an	w15_d365e4821
gelangten	w1_d365e4826
Ordre	w3_d365e4829
mit	w5_d365e4832
Abführung	w7_d365e4835
des	w9_d365e4838
Ha	w11_d365e4841
növr.	w1_d365e4846
u.	w3_d365e4849
Engl.	w5_d365e4852
Lazareths	w7_d365e4855
über	w9_d365e4858
Osnabrück	w11_d365e4861
</p>
<p id="p6_d365e4864">
beständig	w1_d365e4868
fortgefahren.	w3_d365e4871
Ein	w5_d365e4874
gleiches	w7_d365e4877
ge	w9_d365e4880
schihet	w1_d365e4885
mit	w3_d365e4888
denen	w5_d365e4891
Mägazinen	w7_d365e4894
und	w9_d365e4897
werden	w11_d365e4900
hiezu	w1_d365e4905
sehr	w3_d365e4908
viele	w5_d365e4911
Vorspann=wägen	w7_d365e4914
aufge	w9_d365e4917
bracht.	w1_d365e4923
Die	w3_d365e4926
Equipage	w5_d365e4929
des	w7_d365e4932
Herrn	w9_d365e4935
Gene	w11_d365e4938
ral=majors	w1_d365e4943
von	w3_d365e4946
Zastrow	w5_d365e4949
ist	w7_d365e4952
den	w9_d365e4955
27.	w11_d365e4958
Junii	w13_d365e4962
nebst	w1_d365e4967
denen	w3_d365e4970
Auditeurs	w5_d365e4973
bereits	w7_d365e4976
über	w9_d365e4979
Sasfen	w11_d365e4982
berg	w1_d365e4987
abgegangen.	w3_d365e4990
Das	w5_d365e4993
Engländische	w7_d365e4996
Frau	w9_d365e4999
enzimmer	w1_d365e5005
ist	w3_d365e5008
gleichfalls	w5_d365e5011
nach	w7_d365e5014
Holland	w9_d365e5017
ab	w11_d365e5020
gereiset,	w1_d365e5025
und	w3_d365e5028
alles	w5_d365e5031
ist	w7_d365e5034
zum	w9_d365e5037
Abmarsch	w11_d365e5040
in	w13_d365e5044
grosser	w1_d365e5049
Bewegung.	w3_d365e5052
Den	w5_d365e5055
28.	w7_d365e5058
musten	w9_d365e5061
alle	w11_d365e5064
hiesige	w1_d365e5069
Einwohnere	w3_d365e5072
die	w5_d365e5075
Citadelle	w7_d365e5078
räumen,	w9_d365e5081
und	w1_d365e5087
sich	w3_d365e5090
in	w5_d365e5093
die	w7_d365e5096
Stadt	w9_d365e5099
begeben.	w11_d365e5102
</p>
<head id="h2_d365e5108">
Hanau	w1_d365e5112
d.	w3_d365e5115
Julii.	w5_d365e5118
</head>
<p id="p4_d365e5121">
Vermög	w1_d365e5125
eingeloffenen	w3_d365e5128
Briefen	w5_d365e5131
von	w7_d365e5134
der	w9_d365e5137
Königl.	w1_d365e5142
Französischen	w3_d365e5145
Armee	w5_d365e5148
unter	w7_d365e5151
Dato	w9_d365e5154
den	w1_d365e5159
3.	w3_d365e5162
dieses	w5_d365e5165
ist	w7_d365e5168
der	w9_d365e5171
Herr	w11_d365e5174
Marschall	w13_d365e5178
von	w15_d365e5181
Contades	w1_d365e5187
selbigen	w3_d365e5190
Tags	w5_d365e5193
noch	w7_d365e5196
zu	w9_d365e5199
Stücken	w11_d365e5202
brock,	w1_d365e5207
das	w3_d365e5210
Corps	w5_d365e5213
de	w7_d365e5216
Reserve	w9_d365e5219
aber	w11_d365e5222
zu	w13_d365e5226
Or	w15_d365e5229
linkhausen	w1_d365e5234
gestanden,	w3_d365e5237
es	w5_d365e5240
wären	w7_d365e5243
jedoch	w9_d365e5246
schon	w11_d365e5249
alle	w1_d365e5254
Anstalten	w3_d365e5257
zum	w5_d365e5260
Marsch	w7_d365e5263
auf	w9_d365e5266
den	w11_d365e5269
folgen	w13_d365e5273
den	w1_d365e5279
Tag	w3_d365e5282
bey	w5_d365e5285
dieser	w7_d365e5288
Armee	w9_d365e5291
vorgekehret	w11_d365e5294
ge	w13_d365e5298
wesen,	w1_d365e5303
und	w3_d365e5306
man	w5_d365e5309
habe	w7_d365e5312
die	w9_d365e5315
verläßliche	w11_d365e5318
Nach	w13_d365e5322
richt	w1_d365e5327
allda	w3_d365e5330
eingezogen,	w5_d365e5333
daß	w7_d365e5336
der	w9_d365e5339
Prinz	w11_d365e5342
Fer	w13_d365e5346
dinand	w1_d365e5351
Abends	w3_d365e5354
vorhero	w5_d365e5357
von	w7_d365e5360
Marienfeld	w9_d365e5363
aufgebrochen	w1_d365e5369
seye,	w3_d365e5372
um	w5_d365e5375
entweder	w7_d365e5378
nacher	w9_d365e5381
Münster,	w1_d365e5386
oder	w3_d365e5389
nach	w5_d365e5392
Oßnabrück	w7_d365e5395
den	w9_d365e5398
Marsch	w11_d365e5401
anzutretten;	w1_d365e5406
wie	w3_d365e5409
dann	w5_d365e5412
auch	w7_d365e5415
der	w9_d365e5418
General	w11_d365e5421
Wagenheim	w1_d365e5426
sich	w3_d365e5429
von	w5_d365e5432
Dulmen	w7_d365e5435
zuruck	w9_d365e5438
ge	w11_d365e5441
zogen,	w1_d365e5447
und	w3_d365e5450
andurch	w5_d365e5453
zwischen	w7_d365e5456
der	w9_d365e5459
Conta	w11_d365e5462
dischen	w1_d365e5467
Armee	w3_d365e5470
und	w5_d365e5473
dem	w7_d365e5476
Corps	w9_d365e5479
des	w11_d365e5482
Herrn	w13_d365e5486
Marquis	w1_d365e5491
d'Armentieres	w3_d365e5494
die	w5_d365e5497
freye	w7_d365e5500
Commn	w9_d365e5503
nication	w1_d365e5508
eröfnet	w3_d365e5511
worden	w5_d365e5514
ist.	w7_d365e5517
</p>
<p id="p6_d365e5520">
Die	w1_d365e5524
Geschwindigkeit,	w3_d365e5527
womit	w5_d365e5530
Französi	w7_d365e5533
scher	w1_d365e5538
Seits	w3_d365e5541
das	w5_d365e5544
Schloß	w7_d365e5547
von	w9_d365e5550
Rittberg	w11_d365e5553
ein	w13_d365e5557
genommen	w1_d365e5562
worden,	w3_d365e5565
wird	w5_d365e5568
hauptsächlich	w7_d365e5571
der	w9_d365e5574
Herzhaftigkeit	w1_d365e5580
eines	w3_d365e5583
Schweitzerischen	w5_d365e5586
Off	w7_d365e5589
ciers	w1_d365e5594
Namens	w3_d365e5597
Bouteron	w5_d365e5600
zugeschrieben,	w7_d365e5603
als	w9_d365e5606
welcher	w1_d365e5611
zum	w3_d365e5614
ersten	w5_d365e5617
in	w7_d365e5620
den	w9_d365e5623
Graben	w11_d365e5626
gesprün	w13_d365e5630
gen,	w1_d365e5635
und	w3_d365e5638
die	w5_d365e5641
Ketten	w7_d365e5644
an	w9_d365e5647
der	w11_d365e5650
Aufzug=brücke	w13_d365e5654
mit	w1_d365e5660
eigener	w3_d365e5663
Hand	w5_d365e5666
zertrümmert	w7_d365e5669
hat,	w9_d365e5672
durch	w11_d365e5675
welche	w1_d365e5680
That	w3_d365e5683
die	w5_d365e5686
Feinde	w7_d365e5689
in	w9_d365e5692
solche	w11_d365e5695
Forcht	w13_d365e5699
ge	w15_d365e5702
setzet	w1_d365e5707
worden,	w3_d365e5710
daß	w5_d365e5713
sie	w7_d365e5716
alsogleich	w9_d365e5719
zu	w11_d365e5722
Kriege	w13_d365e5726
ge	w1_d365e5731
</p>
<p id="p10_d365e5736">
gefangenen	w1_d365e5740
sich	w3_d365e5743
ergeben	w5_d365e5746
haben.	w7_d365e5749
Zu	w9_d365e5752
Mün	w11_d365e5755
ster,	w1_d365e5760
und	w3_d365e5763
zu	w5_d365e5766
Hammeln	w7_d365e5769
lasset	w9_d365e5772
der	w11_d365e5775
Prinz	w13_d365e5779
Ferdinand,	w1_d365e5784
laut	w3_d365e5787
denen	w5_d365e5790
jüngsten	w7_d365e5793
Nachrich	w9_d365e5796
ten	w1_d365e5802
von	w3_d365e5805
dannen,	w5_d365e5808
an	w7_d365e5811
denen	w9_d365e5814
Citadellen	w11_d365e5817
sol	w13_d365e5821
che	w1_d365e5826
Vorkehrungen	w3_d365e5829
machen,	w5_d365e5832
welche	w7_d365e5835
anzeigen,	w9_d365e5838
als	w1_d365e5843
ob	w3_d365e5846
diese	w5_d365e5849
Plätze	w7_d365e5852
eine	w9_d365e5855
Belagerung	w11_d365e5858
aus	w13_d365e5862
zustehen	w1_d365e5867
bestimmet	w3_d365e5870
wären.	w5_d365e5873
Der	w7_d365e5876
General	w9_d365e5879
Wagenheim	w1_d365e5885
commandirt	w3_d365e5888
zu	w5_d365e5891
Hameln,	w7_d365e5894
von	w9_d365e5897
welch=letzteren	w1_d365e5902
Ort	w3_d365e5905
die	w5_d365e5908
Staats	w7_d365e5911
und	w9_d365e5914
Kriegs	w11_d365e5917
gefangene	w1_d365e5922
bereits	w3_d365e5925
nacher	w5_d365e5928
Stade	w7_d365e5931
abgeführet	w9_d365e5934
worden	w1_d365e5939
seynd.	w3_d365e5942
Der	w5_d365e5945
Land=graf	w7_d365e5948
von	w9_d365e5951
Hes	w11_d365e5954
sen=cassel,	w1_d365e5960
welcher,	w3_d365e5963
seitdeme	w5_d365e5966
es	w7_d365e5969
seine	w9_d365e5972
Län	w11_d365e5975
der	w1_d365e5980
nunmehro	w3_d365e5983
zum	w5_d365e5986
dritten	w7_d365e5989
mal	w9_d365e5992
raumen	w11_d365e5995
müs	w13_d365e5999
sen,	w1_d365e6004
fortan	w3_d365e6007
unpäßlich	w5_d365e6010
sich	w7_d365e6013
befindet,	w9_d365e6016
wird	w11_d365e6019
ehestens	w1_d365e6024
von	w3_d365e6027
Bremen	w5_d365e6030
weiter	w7_d365e6033
nacher	w9_d365e6036
Ham	w11_d365e6039
burg	w1_d365e6045
abgehen.	w3_d365e6048
</p>
<head id="h2_d365e6055">
Petersburg	w1_d365e6059
18.	w3_d365e6062
Junii.	w5_d365e6065
</head>
<p id="p4_d365e6068">
Unsere	w1_d365e6072
Monarchin,	w3_d365e6075
welche	w5_d365e6078
den	w7_d365e6081
10.	w9_d365e6084
dieses	w1_d365e6089
unter	w3_d365e6092
Abfeuerung	w5_d365e6095
aller	w7_d365e6098
Canonen	w9_d365e6101
Petersburg	w1_d365e6106
verließ,	w3_d365e6109
hat	w5_d365e6112
sich	w7_d365e6115
von	w9_d365e6118
da	w11_d365e6121
aus	w13_d365e6125
nach	w1_d365e6131
Petershof	w3_d365e6134
begeben,	w5_d365e6137
bey	w7_d365e6140
Annäherung	w9_d365e6143
des	w1_d365e6148
Herbsts	w3_d365e6151
aber,	w5_d365e6154
werden	w7_d365e6157
Jhre	w9_d365e6160
Rußische	w11_d365e6163
Kaiserliche	w1_d365e6168
Majestät	w3_d365e6171
nach	w5_d365e6174
dem	w7_d365e6177
prächtigen	w9_d365e6180
Zarskol	w1_d365e6185
Zelo	w3_d365e6188
abreisen.	w5_d365e6191
Se.	w7_d365e6194
Königl.	w9_d365e6197
Ho	w11_d365e6200
heit	w1_d365e6206
der	w3_d365e6209
Herzog	w5_d365e6212
von	w7_d365e6215
Curland	w9_d365e6218
sind	w11_d365e6221
gleichfalls	w13_d365e6225
nach	w1_d365e6230
Petershof	w3_d365e6233
abgegangen;	w5_d365e6236
alleine	w7_d365e6239
sie	w9_d365e6242
werden	w1_d365e6247
sich	w3_d365e6250
allda	w5_d365e6253
nur	w7_d365e6256
14.	w9_d365e6259
Tage	w11_d365e6262
aufhalten,	w13_d365e6266
und	w1_d365e6271
alsdann	w3_d365e6274
die	w5_d365e6277
Reise	w7_d365e6280
nach	w9_d365e6283
Warschau	w11_d365e6286
an	w13_d365e6290
treiten.	w1_d365e6296
Der	w3_d365e6299
Herr	w5_d365e6302
General	w7_d365e6305
Soltikof,	w9_d365e6308
der	w11_d365e6311
in	w1_d365e6316
gegenwärtiger	w3_d365e6319
Campagne	w5_d365e6322
die	w7_d365e6325
Rußische	w9_d365e6328
Armee	w1_d365e6333
en	w3_d365e6336
Chef	w5_d365e6339
commandiren	w7_d365e6342
wird,	w9_d365e6345
ist	w11_d365e6348
ei	w13_d365e6352
ner	w1_d365e6357
der	w3_d365e6360
erfahrnesten	w5_d365e6363
Generals	w7_d365e6366
in	w9_d365e6369
der	w11_d365e6372
Kriegs	w13_d365e6376
kunst.	w1_d365e6382
Er	w3_d365e6385
befand	w5_d365e6388
sich	w7_d365e6391
schon	w9_d365e6394
als	w11_d365e6397
Brigadier	w13_d365e6401
bey	w1_d365e6406
der	w3_d365e6409
Bataille	w5_d365e6412
von	w7_d365e6415
Pultawa,	w9_d365e6418
und	w11_d365e6421
seine	w13_d365e6425
Lentseligkeit	w1_d365e6430
hat	w3_d365e6433
ihn	w5_d365e6436
bey	w7_d365e6439
Hofe	w9_d365e6442
alle	w11_d365e6445
Achtung	w13_d365e6449
erworden.	w1_d365e6454
Er	w3_d365e6457
ist	w5_d365e6460
bereits	w7_d365e6463
den	w9_d365e6466
8.	w11_d365e6469
dieses	w13_d365e6473
zur	w1_d365e6479
Armee	w3_d365e6482
mit	w5_d365e6485
denen	w7_d365e6488
benöhtigten	w9_d365e6491
Jnstruc	w11_d365e6494
tionen	w1_d365e6499
abgereiset,	w3_d365e6502
und	w5_d365e6505
man	w7_d365e6508
vermutet	w9_d365e6511
bald	w11_d365e6514
etwas	w1_d365e6519
wichtiges	w3_d365e6522
zu	w5_d365e6525
vernehmen.	w7_d365e6528
Der	w9_d365e6531
Schwe	w11_d365e6534
dische	w1_d365e6539
General,	w3_d365e6542
Graf	w5_d365e6545
von	w7_d365e6548
Liven,	w9_d365e6551
stehet	w11_d365e6554
gleichfalls	w1_d365e6560
im	w3_d365e6563
Begrif	w5_d365e6566
wieder	w7_d365e6569
nach	w9_d365e6572
Stock	w11_d365e6575
holm	w1_d365e6580
abzureisen.	w3_d365e6583
Der	w5_d365e6586
Admiral	w7_d365e6589
Mischolol	w9_d365e6592
</p>
<p id="p6_d365e6595">
der	w1_d365e6599
die	w3_d365e6602
Rußische	w5_d365e6605
grosse	w7_d365e6608
Flotte,	w9_d365e6611
die	w11_d365e6614
sich	w13_d365e6618
mit	w15_d365e6621
der	w1_d365e6626
Schwedischen	w3_d365e6629
vereinigen	w5_d365e6632
soll,	w7_d365e6635
com	w9_d365e6638
mandirt,	w1_d365e6643
ist	w3_d365e6646
noch	w5_d365e6649
alhier,	w7_d365e6652
und	w9_d365e6655
erwartet,	w11_d365e6658
da	w1_d365e6664
alles	w3_d365e6667
seegelfertig	w5_d365e6670
ist,	w7_d365e6673
nur	w9_d365e6676
Ordre	w11_d365e6679
zum	w13_d365e6683
auslauffen.	w1_d365e6688
</p>
<head id="h2_d365e6694">
Berlin	w1_d365e6698
3.	w3_d365e6701
Julii.	w5_d365e6704
</head>
<p id="p4_d365e6707">
Von	w1_d365e6711
der	w3_d365e6714
in	w5_d365e6717
Pohlen	w7_d365e6720
stehenden	w9_d365e6723
Königl.	w11_d365e6726
Armee	w1_d365e6731
vernihmt	w3_d365e6734
man,	w5_d365e6737
daß	w7_d365e6740
nachdem	w9_d365e6743
dieselbe	w11_d365e6746
den	w1_d365e6751
26.	w3_d365e6754
von	w5_d365e6757
