<doc id="wr_1763-08-27" attrs="word" year="1763" month="08" day="27" corpus="2">
<head id="h2_d786e3060">
Cartagena	w1_d786e3064
Ge	w15_d786e3327
fahr,	w1_d786e3332
sich	w3_d786e3335
denselben	w5_d786e3338
zu	w7_d786e3341
nähern,	w9_d786e3344
noch	w11_d786e3347
so	w13_d786e3351
augenscheinlich,	w1_d786e3356
so	w3_d786e3359
hat	w5_d786e3362
doch	w7_d786e3365
Don	w9_d786e3368
Joseph	w11_d786e3371
de	w1_d786e3376
Pereda,	w3_d786e3379
mit	w5_d786e3382
seinen	w7_d786e3385
unterhabenden	w9_d786e3388
drey	w11_d786e3391
Königl.	w1_d786e3397
leichten	w3_d786e3400
Galeeren	w5_d786e3403
durch	w7_d786e3406
dieselben	w9_d786e3409
zu	w11_d786e3412
dringen,	w1_d786e3417
sich	w3_d786e3420
gewaget,	w5_d786e3423
und	w7_d786e3426
ein	w9_d786e3429
algierisches	w11_d786e3432
Raub=schif,	w1_d786e3437
dessen	w3_d786e3440
Schifs=volk	w5_d786e3443
aus	w7_d786e3446
32.	w9_d786e3449
Türken	w1_d786e3454
und	w3_d786e3457
Mohren	w5_d786e3460
bestand,	w7_d786e3463
auf	w9_d786e3466
der	w11_d786e3469
Hö	w13_d786e3473
</p>
<p id="p8_d786e3476">
he	w1_d786e3480
von	w3_d786e3483
Calpe	w5_d786e3486
beym	w7_d786e3489
Zopf	w9_d786e3492
ergriffen.	w11_d786e3495
Der	w13_d786e3499
See=räuber	w1_d786e3504
wollte	w3_d786e3507
Anfangs	w5_d786e3510
die	w7_d786e3513
Seegel	w9_d786e3516
nicht	w1_d786e3521
streichen,	w3_d786e3524
vielweniger	w5_d786e3527
sich	w7_d786e3530
ergeben;	w9_d786e3533
da	w1_d786e3539
aber	w3_d786e3542
die	w5_d786e3545
unsrige	w7_d786e3548
das	w9_d786e3551
feindliche	w11_d786e3554
Schif	w13_d786e3558
ge	w15_d786e3561
entert,	w1_d786e3566
und	w3_d786e3569
10.	w5_d786e3572
Mann	w7_d786e3575
auf	w9_d786e3578
demselben	w11_d786e3581
nie	w13_d786e3585
dergemacht,	w1_d786e3590
ergaben	w3_d786e3593
sich	w5_d786e3596
die	w7_d786e3599
übrigen,	w9_d786e3602
und	w11_d786e3605
wurden	w1_d786e3610
gestern	w3_d786e3613
in	w5_d786e3616
den	w7_d786e3619
hiesigen	w9_d786e3622
Hafen	w11_d786e3625
ein	w13_d786e3629
gebracht.	w1_d786e3635
</p>
<head id="h2_d786e3641">
Londen	w1_d786e3645
12.	w3_d786e3648
August.	w5_d786e3651
</head>
<p id="p4_d786e3654">
Der	w1_d786e3658
Hof	w3_d786e3661
erhielt	w5_d786e3664
am	w7_d786e3667
9ten	w9_d786e3670
dieses	w11_d786e3673
einen	w13_d786e3677
Ceurrier	w1_d786e3682
von	w3_d786e3685
unserem	w5_d786e3688
gevollmächtigten	w7_d786e3691
Mi	w9_d786e3694
nister	w1_d786e3699
an	w3_d786e3702
dem	w5_d786e3705
Königl.	w7_d786e3708
französischen	w9_d786e3711
Hofe,	w11_d786e3714
Herrn	w1_d786e3720
Neville,	w3_d786e3723
mit	w5_d786e3726
einigen	w7_d786e3729
Depeschen,	w9_d786e3732
die	w11_d786e3735
den	w1_d786e3740
Gegenstand	w3_d786e3743
einer	w5_d786e3746
Tages	w7_d786e3749
darauf	w9_d786e3752
zu	w11_d786e3755
St.	w1_d786e3760
James	w3_d786e3763
gehaltenen	w5_d786e3766
Rathsversamm	w7_d786e3769
lung	w1_d786e3774
machten,	w3_d786e3777
und	w5_d786e3780
wovon	w7_d786e3783
der	w9_d786e3786
Resultat	w11_d786e3789
an	w13_d786e3793
vorerwehnten	w1_d786e3799
Minister,	w3_d786e3802
vermittelst	w5_d786e3805
einem	w7_d786e3808
Courrier,	w1_d786e3813
abgefertiget	w3_d786e3816
wurde.	w5_d786e3819
Es	w7_d786e3822
hat	w9_d786e3825
sei	w11_d786e3828
ne	w1_d786e3833
Richtigkeit,	w3_d786e3836
daß	w5_d786e3839
zwischen	w7_d786e3842
dem	w9_d786e3845
hiesigen	w11_d786e3848
</p>
<p id="p10_d786e3861">
und	w1_d786e3865
dem	w3_d786e3868
Versaillischen	w5_d786e3871
Hofe	w7_d786e3874
sich	w9_d786e3877
einige	w11_d786e3880
Schwierigkeiten,	w1_d786e3885
über	w3_d786e3888
die	w5_d786e3891
Vollziehung	w7_d786e3894
ei	w9_d786e3897
nes	w1_d786e3902
der	w3_d786e3905
Artikuln	w5_d786e3908
des	w7_d786e3911
letzt	w9_d786e3914
geschlossenen	w11_d786e3917
Frie	w13_d786e3921
dens=tractats	w1_d786e3927
heevorgethan	w3_d786e3930
haben;	w5_d786e3933
allein	w7_d786e3936
man	w1_d786e3941
zweifelt	w3_d786e3944
keineswegs,	w5_d786e3947
dieselbe	w7_d786e3950
werden	w9_d786e3953
ehestens	w1_d786e3958
gehoben	w3_d786e3961
werden,	w5_d786e3964
zumal,	w7_d786e3967
da	w9_d786e3970
beyde	w11_d786e3973
Höfe	w1_d786e3978
fest	w3_d786e3981
entschlossen	w5_d786e3984
sind,	w7_d786e3987
alles	w9_d786e3990
aus	w11_d786e3993
dem	w13_d786e3997
Wege	w1_d786e4003
zu	w3_d786e4006
räumen,	w5_d786e4009
was	w7_d786e4012
das	w9_d786e4015
gute	w11_d786e4018
Verneh	w13_d786e4022
men	w1_d786e4027
beeinträchtigen	w3_d786e4030
könnte.	w5_d786e4033
</p>
<head id="h2_d786e4039">
Neapolis	w1_d786e4043
18.	w3_d786e4046
Julii.	w5_d786e4049
</head>
<p id="p4_d786e4052">
Das	w1_d786e4056
Andenken	w3_d786e4059
der	w5_d786e4062
grossen	w7_d786e4065
Wolthaten,	w9_d786e4068
welche	w1_d786e4073
Se.	w3_d786e4076
Catholische	w5_d786e4079
Majestät	w7_d786e4082
während	w9_d786e4085
der	w1_d786e4090
Zeit,	w3_d786e4093
da	w5_d786e4096
Sie	w7_d786e4099
beyde	w9_d786e4102
Sicilien	w11_d786e4105
beherrsch	w13_d786e4109
ten,	w1_d786e4115
diesen	w3_d786e4118
Landen	w5_d786e4121
und	w7_d786e4124
insonderheit	w9_d786e4127
hiesi	w11_d786e4130
ger	w1_d786e4135
Haupt=stadt	w3_d786e4138
erzeiget	w5_d786e4141
haben,	w7_d786e4144
bleibt	w9_d786e4147
zwar	w11_d786e4150
in	w1_d786e4155
den	w3_d786e4158
Herzen	w5_d786e4161
aller	w7_d786e4164
Einwohner	w9_d786e4167
eingegra	w11_d786e4170
ben,	w1_d786e4175
und	w3_d786e4178
diese	w5_d786e4181
Königl.	w7_d786e4184
Verdienste	w9_d786e4187
werden	w11_d786e4190
auch	w1_d786e4196
bey	w3_d786e4199
der	w5_d786e4202
Nachwelt	w7_d786e4205
nie	w9_d786e4208
vergessen	w11_d786e4211
wer	w13_d786e4215
den;	w1_d786e4220
um	w3_d786e4223
aber	w5_d786e4226
bey	w7_d786e4229
dieser	w9_d786e4232
ein	w11_d786e4235
Denkmal	w13_d786e4239
un	w15_d786e4242
serer	w1_d786e4247
Dankbarkeit	w3_d786e4250
zu	w5_d786e4253
hinterlassen,	w7_d786e4256
hat	w9_d786e4259
der	w11_d786e4262
Magistrat	w1_d786e4267
beschlossen,	w3_d786e4270
eine	w5_d786e4273
grosse	w7_d786e4276
Ehren	w9_d786e4279
säule	w1_d786e4285
von	w3_d786e4288
Erz,	w5_d786e4291
welche	w7_d786e4294
den	w9_d786e4297
Spanischen	w11_d786e4300
Mo	w13_d786e4304
narchen	w1_d786e4309
vorstellet,	w3_d786e4312
aufrichten	w5_d786e4315
zu	w7_d786e4318
lassen.	w9_d786e4321
Sie	w11_d786e4324
steht	w1_d786e4329
in	w3_d786e4332
einem	w5_d786e4335
vortrefflichen	w7_d786e4338
Amphithea	w9_d786e4341
ter,	w1_d786e4346
welches	w3_d786e4349
voller	w5_d786e4352
kleinern	w7_d786e4355
Bild=säulen	w9_d786e4358
ist,	w11_d786e4361
die	w1_d786e4367
ihre	w3_d786e4370
Beziehung	w5_d786e4373
auf	w7_d786e4376
die	w9_d786e4379
Tugenden	w11_d786e4382
und	w13_d786e4386
Verdienste	w1_d786e4391
Sr.	w3_d786e4394
Majestät	w5_d786e4397
haben.	w7_d786e4400
Bey	w9_d786e4403
Er	w11_d786e4406
richtung	w1_d786e4411
derselben	w3_d786e4414
war	w5_d786e4417
der	w7_d786e4420
ganze	w9_d786e4423
Senat,	w11_d786e4426
nebst	w1_d786e4431
den	w3_d786e4434
Abgeordneten	w5_d786e4437
der	w7_d786e4440
Stadt,	w9_d786e4443
gegen	w11_d786e4446
wärtig.	w1_d786e4452
Von	w3_d786e4455
dem	w5_d786e4458
Königl.	w7_d786e4461
Castell	w9_d786e4464
wur	w11_d786e4467
den	w1_d786e4472
die	w3_d786e4475
Kanonen	w5_d786e4478
gelöset.	w7_d786e4481
Abends	w9_d786e4484
brann	w11_d786e4487
te	w1_d786e4492
man	w3_d786e4495
ein	w5_d786e4498
schönes	w7_d786e4501
Feuerwerk	w9_d786e4504
ab.	w11_d786e4507
</p>
<head id="h2_d786e4513">
Petersburg	w1_d786e4517
19.	w3_d786e4520
Julii.	w5_d786e4523
</head>
<p id="p4_d786e4526">
Den	w1_d786e4530
9ten,	w3_d786e4533
als	w5_d786e4536
an	w7_d786e4539
dem	w9_d786e4542
zum	w11_d786e4545
öffentlichen	w13_d786e4549
Einzuge	w1_d786e4554
Jhrer	w3_d786e4557
Majest.	w5_d786e4560
in	w7_d786e4563
hiesige	w9_d786e4566
Kaiserl.	w11_d786e4569
Residenz	w1_d786e4574
bestimmten	w3_d786e4577
Tage,	w5_d786e4580
brachen	w7_d786e4583
Se.	w9_d786e4586
Kaiserl.	w1_d786e4592
Hoheit	w3_d786e4595
der	w5_d786e4598
Großfürst,	w7_d786e4601
nachdeme	w9_d786e4604
Höchst=dieselbe	w1_d786e4609
zuvor	w3_d786e4612
Jhrer	w5_d786e4615
Kaiserl.	w7_d786e4618
Majest.	w9_d786e4621
zu	w1_d786e4626
diesem	w3_d786e4629
erfreulichen	w5_d786e4632
Tage	w7_d786e4635
Jhren	w9_d786e4638
Glück	w11_d786e4641
wunsch	w1_d786e4646
dargebracht	w3_d786e4649
hatten,	w5_d786e4652
Morgens	w7_d786e4655
um	w9_d786e4658
9.	w11_d786e4661
Uhr	w1_d786e4667
von	w3_d786e4670
Czarsko=zelo	w5_d786e4673
nach	w7_d786e4676
dem	w9_d786e4679
Lust=schlosse	w11_d786e4682
bey	w1_d786e4687
der	w3_d786e4690
sogenannten	w5_d786e4693
mittlern	w7_d786e4696
Barriere	w9_d786e4699
auf	w11_d786e4702
Jhre	w1_d786e4707
Kaiserl.	w3_d786e4710
Majest.	w5_d786e4713
wohnten	w7_d786e4716
unterdessen	w9_d786e4719
</p>
<p id="p6_d786e4722">
wegen	w1_d786e4726
des	w3_d786e4729
heutigen	w5_d786e4732
Festes	w7_d786e4735
in	w9_d786e4738
der	w11_d786e4741
Schloß	w13_d786e4745
kirche	w1_d786e4750
dem	w3_d786e4753
Dank	w5_d786e4756
feste	w7_d786e4759
bey,	w9_d786e4762
nach	w11_d786e4765
dessen	w13_d786e4769
En	w15_d786e4772
digung	w1_d786e4777
die	w3_d786e4780
Canonen	w5_d786e4783
abgefeuert	w7_d786e4786
wurden,	w9_d786e4789
und	w11_d786e4792
erhoben	w1_d786e4798
sich	w3_d786e4801
um	w5_d786e4804
1.	w7_d786e4807
Uhr	w9_d786e4810
Nachmittags	w11_d786e4813
von	w13_d786e4817
Czarsko=zelo	w1_d786e4822
gleichfalls	w3_d786e4825
nach	w5_d786e4828
vorerwehnten	w7_d786e4831
Lust=schlosse,	w1_d786e4836
allwo	w3_d786e4839
Allerhöchst=dieselbe	w5_d786e4842
von	w7_d786e4845
dem	w1_d786e4850
Großfürsten	w3_d786e4853
und	w5_d786e4856
dessen	w7_d786e4859
Gefolge	w9_d786e4862
be	w11_d786e4865
willkommet	w1_d786e4871
wurden,	w3_d786e4874
und	w5_d786e4877
mit	w7_d786e4880
demselben	w9_d786e4883
das	w1_d786e4888
Mittagsmal	w3_d786e4891
einnahmen.	w5_d786e4894
</p>
<p id="p8_d786e4897">
Jndessen	w1_d786e4901
wurden	w3_d786e4904
hier	w5_d786e4907
in	w7_d786e4910
Petersburg	w9_d786e4913
den	w11_d786e4916
selben	w1_d786e4921
Nachmittag	w3_d786e4924
von	w5_d786e4927
der	w7_d786e4930
nach	w9_d786e4933
dem	w11_d786e4936
Som	w13_d786e4940
mer=palais	w1_d786e4945
führenden	w3_d786e4948
Allee	w5_d786e4951
an,	w7_d786e4954
unter	w9_d786e4957
Com	w11_d786e4960
mando	w1_d786e4966
des	w3_d786e4969
Hrn.	w5_d786e4972
General	w7_d786e4975
en	w9_d786e4978
Chef	w11_d786e4981
Obrist	w13_d786e4985
leutenants	w1_d786e4990
der	w3_d786e4993
Preobraschenkischen	w5_d786e4996
Leibgar	w7_d786e4999
de,	w1_d786e5004
Senateurs	w3_d786e5007
und	w5_d786e5010
Ritters,	w7_d786e5013
Fedor	w9_d786e5016
Jwano	w11_d786e5019
witsch	w1_d786e5024
Uschakow,	w3_d786e5027
die	w5_d786e5030
hier	w7_d786e5033
befindliche	w9_d786e5036
Batail	w11_d786e5039
lons	w1_d786e5045
und	w3_d786e5048
Escadrons	w5_d786e5051
von	w7_d786e5054
den	w9_d786e5057
Garderegi	w11_d786e5060
mentern	w1_d786e5065
in	w3_d786e5068
Parade	w5_d786e5071
aufgestellet,	w7_d786e5074
und	w9_d786e5077
an	w11_d786e5080
sel	w13_d786e5084
bige	w1_d786e5089
unter	w3_d786e5092
Commando	w5_d786e5095
des	w7_d786e5098
General	w9_d786e5101
en	w11_d786e5104
Chef	w13_d786e5108
und	w1_d786e5113
Ritters,	w3_d786e5116
Fürsten	w5_d786e5119
Alexander	w7_d786e5122
Michailo	w9_d786e5125
witsch	w1_d786e5131
Galizin,	w3_d786e5134
das	w5_d786e5137
Artillerie	w7_d786e5140
und	w9_d786e5143
See	w11_d786e5146
corps,	w1_d786e5151
nebst	w3_d786e5154
den	w5_d786e5157
hier	w7_d786e5160
liegenden	w9_d786e5163
Feldregi	w11_d786e5166
mentern	w1_d786e5171
zu	w3_d786e5174
Fusse	w5_d786e5177
angeschlossen,	w7_d786e5180
und	w9_d786e5183
in	w11_d786e5186
be	w13_d786e5190
hörigen	w1_d786e5195
Strassen	w3_d786e5198
aufgestellet.	w5_d786e5201
Diese	w7_d786e5204
Tru	w9_d786e5207
pen	w1_d786e5213
machten	w3_d786e5216
zusammen	w5_d786e5219
11421.	w7_d786e5222
Mann	w9_d786e5225
aus,	w11_d786e5228
und	w1_d786e5233
wurden	w3_d786e5236
auf	w5_d786e5239
beyden	w7_d786e5242
Seiten	w9_d786e5245
in	w11_d786e5248
zweyen	w13_d786e5252
Gliedern	w1_d786e5257
rangiret.	w3_d786e5260
</p>
<p id="p10_d786e5263">
Jhre	w1_d786e5267
Kaiserl.	w3_d786e5270
Majest.	w5_d786e5273
wurden	w7_d786e5276
bey	w9_d786e5279
Dero	w11_d786e5282
Einzuge	w1_d786e5287
von	w3_d786e5290
Distanz	w5_d786e5293
zu	w7_d786e5296
Distanz	w9_d786e5299
von	w11_d786e5302
dem	w13_d786e5306
Stadt=thor	w1_d786e5311
an	w3_d786e5314
bis	w5_d786e5317
zur	w7_d786e5320
Casans=kirche	w9_d786e5323
von	w11_d786e5326
verschiedenen	w1_d786e5332
Staats=corps	w3_d786e5335
complimenti	w5_d786e5338
ret.	w1_d786e5343
Jn	w3_d786e5346
der	w5_d786e5349
Kirche	w7_d786e5352
selbst	w9_d786e5355
empfiengen	w11_d786e5358
sie	w13_d786e5362
die	w1_d786e5367
Complimente	w3_d786e5370
von	w5_d786e5373
der	w7_d786e5376
Geistlichkeit;	w9_d786e5379
und	w11_d786e5382
20.	w1_d786e5387
Seminaristen	w3_d786e5390
von	w5_d786e5393
St.	w7_d786e5396
Alexandernews	w9_d786e5399
ky	w1_d786e5405
führten	w3_d786e5408
daselbst	w5_d786e5411
ein	w7_d786e5414
Lob=lied	w9_d786e5417
musicalisch	w11_d786e5420
auf.	w1_d786e5425
Die	w3_d786e5428
Monarchin	w5_d786e5431
erhob	w7_d786e5434
sich	w9_d786e5437
hierauf	w11_d786e5440
nach	w1_d786e5445
dem	w3_d786e5448
Sommer=palais,	w5_d786e5451
wo	w7_d786e5454
die	w9_d786e5457
fremde	w11_d786e5460
Minister	w1_d786e5465
die	w3_d786e5468
Ehre	w5_d786e5471
hatten,	w7_d786e5474
zum	w9_d786e5477
Hand=kusse	w11_d786e5480
gelassen	w1_d786e5486
zu	w3_d786e5489
werden.	w5_d786e5492
Des	w7_d786e5495
Abends	w9_d786e5498
war	w11_d786e5501
ein	w13_d786e5505
Feuerwerk	w1_d786e5510
auf	w3_d786e5513
dem	w5_d786e5516
Flusse	w7_d786e5519
vor	w9_d786e5522
dem	w11_d786e5525
Palals,	w13_d786e5529
welches	w1_d786e5534
nebst	w3_d786e5537
der	w5_d786e5540
Admiralität,	w7_d786e5543
der	w9_d786e5546
Citadelle,	w11_d786e5549
der	w1_d786e5554
Canzley	w3_d786e5557
und	w5_d786e5560
den	w7_d786e5563
andern	w9_d786e5566
Häusern	w11_d786e5569
der	w13_d786e5573
</p>
<p id="p16_d786e5587">
Stadt	w1_d786e5591
prächtig	w3_d786e5594
erleuchtet	w5_d786e5597
war.	w7_d786e5600
Man	w9_d786e5603
be	w11_d786e5606
merkte,	w1_d786e5611
daß	w3_d786e5614
während	w5_d786e5617
dieser	w7_d786e5620
Lustbarkeiten	w9_d786e5623
die	w11_d786e5626
fremde	w1_d786e5631
Schiffe,	w3_d786e5634
welche	w5_d786e5637
im	w7_d786e5640
Hafen	w9_d786e5643
lagen,	w11_d786e5646
ihre	w1_d786e5652
Flaggen	w3_d786e5655
und	w5_d786e5658
Wimpeln	w7_d786e5661
wehen	w9_d786e5664
liessen.	w11_d786e5667
</p>
<p id="p18_d786e5670">
Jhre	w1_d786e5674
Kaiserl.	w3_d786e5677
Majest.	w5_d786e5680
haben	w7_d786e5683
auch	w9_d786e5686
Dero	w11_d786e5689
Einzug	w1_d786e5694
dadurch	w3_d786e5697
signalisiret,	w5_d786e5700
daß	w7_d786e5703
sie	w9_d786e5706
alle	w11_d786e5709
diejenige	w1_d786e5714
von	w3_d786e5717
Dero	w5_d786e5720
Cammer	w7_d786e5723
herrn,	w9_d786e5726
welche	w11_d786e5729
bey	w1_d786e5735
der	w3_d786e5738
Revolution	w5_d786e5741
vom	w7_d786e5744
vorigen	w9_d786e5747
Jahre,	w11_d786e5750
da	w1_d786e5755
sie	w3_d786e5758
den	w5_d786e5761
Thron	w7_d786e5764
bestiegen,	w9_d786e5767
gegenwärtig	w11_d786e5770
ge	w13_d786e5774
wesen	w1_d786e5779
sind,	w3_d786e5782
mit	w5_d786e5785
köstlichem	w7_d786e5788
Silber=geschier	w9_d786e5791
beschenket.	w1_d786e5796
</p>
<p id="p20_d786e5799">
Den	w1_d786e5803
folgenden	w3_d786e5806
Tag,	w5_d786e5809
als	w7_d786e5812
an	w9_d786e5815
dem	w11_d786e5818
Groß	w13_d786e5822
fürsten	w1_d786e5827
Namens=tag,	w3_d786e5830
waren	w5_d786e5833
Ball,	w7_d786e5836
Suppee	w9_d786e5839
und	w1_d786e5844
wieder	w3_d786e5847
Jlluminationen,	w5_d786e5850
und	w7_d786e5853
überhaupt	w9_d786e5856
haben	w1_d786e5862
sich	w3_d786e5865
die	w5_d786e5868
Freuden=bezeugungen	w7_d786e5871
erst	w9_d786e5874
mit	w1_d786e5879
dem	w3_d786e5882
Ende	w5_d786e5885
der	w7_d786e5888
Woche	w9_d786e5891
geendiget.	w11_d786e5894
</p>
<head id="h2_d786e5901">
Haag	w1_d786e5905
10.	w3_d786e5908
Augusti	w5_d786e5911
</head>
<p id="p4_d786e5914">
Am	w1_d786e5918
2ten	w3_d786e5921
langte	w5_d786e5924
ein	w7_d786e5927
Courier	w9_d786e5930
bey	w11_d786e5933
dem	w13_d786e5937
Rußischen	w1_d786e5942
Minister	w3_d786e5945
an,	w5_d786e5948
dessen	w7_d786e5951
aufgehabte	w9_d786e5954
Briefschaften	w1_d786e5959
sogleich	w3_d786e5962
nach	w5_d786e5965
Londen	w7_d786e5968
abgeschi	w9_d786e5971
cket	w1_d786e5977
wurden;	w3_d786e5980
wie	w5_d786e5983
man	w7_d786e5986
für	w9_d786e5989
gewiß	w11_d786e5992
versichern	w13_d786e5996
will,	w1_d786e6001
soll	w3_d786e6004
deren	w5_d786e6007
Jnhalt	w7_d786e6010
sich	w9_d786e6013
auf	w11_d786e6016
die	w13_d786e6020
Unter	w15_d786e6023
handlung	w1_d786e6028
beziehen,	w3_d786e6031
in	w5_d786e6034
welche	w7_d786e6037
sich	w9_d786e6040
der	w11_d786e6043
Graf	w13_d786e6047
Woronzow	w1_d786e6052
mit	w3_d786e6055
der	w5_d786e6058
Engländischen	w7_d786e6061
Regie	w9_d786e6064
rung	w1_d786e6070
eingelassen,	w3_d786e6073
theils	w5_d786e6076
um	w7_d786e6079
den	w9_d786e6082
Handlungs	w11_d786e6085
teactat	w1_d786e6090
wieder	w3_d786e6093
zu	w5_d786e6096
erneuern,	w7_d786e6099
und	w9_d786e6102
die	w11_d786e6105
Staa	w13_d786e6109
ten	w1_d786e6114
beyder	w3_d786e6117
hohen	w5_d786e6120
Mächte	w7_d786e6123
in	w9_d786e6126
Sicherheit	w11_d786e6129
zu	w13_d786e6133
setzen,	w1_d786e6138
theils,	w3_d786e6141
um	w5_d786e6144
solche	w7_d786e6147
Maaßregeln	w9_d786e6150
zu	w11_d786e6153
nehmen,	w1_d786e6159
wodurch	w3_d786e6162
der	w5_d786e6165
Friede	w7_d786e6168
und	w9_d786e6171
die	w11_d786e6174
Ruhe	w13_d786e6178
in	w1_d786e6183
dem	w3_d786e6186
eigenen	w5_d786e6189
Reich	w7_d786e6192
bevestiget	w9_d786e6195
werden	w11_d786e6198
könte.	w13_d786e6202
</p>
<head id="h2_d786e6208">
Coblenz	w1_d786e6212
12.	w3_d786e6215
Augusti.	w5_d786e6218
</head>
<p id="p4_d786e6221">
Der	w1_d786e6225
starke	w3_d786e6228
Wetterschlag,	w5_d786e6231
welcher	w7_d786e6234
jüngst	w9_d786e6237
hin	w1_d786e6242
das	w3_d786e6245
in	w5_d786e6248
hiesiger	w7_d786e6251
Gegend	w9_d786e6254
befindliche	w11_d786e6257
Chur	w13_d786e6261
fürstl.	w1_d786e6266
Lust	w3_d786e6269
schloß	w5_d786e6272
zu	w7_d786e6275
Cärlich	w9_d786e6278
gegen	w11_d786e6281
die	w13_d786e6285
Mit	w15_d786e6288
tags=stunde	w1_d786e6294
betroffen,	w3_d786e6297
war	w5_d786e6300
um	w7_d786e6303
so	w9_d786e6306
merkwürdi	w11_d786e6309
ger,	w1_d786e6314
als	w3_d786e6317
vielfältig	w5_d786e6320
und	w7_d786e6323
verschieden	w9_d786e6326
die	w11_d786e6329
Wür	w13_d786e6333
kungen	w1_d786e6338
dieses	w3_d786e6341
einzigen	w5_d786e6344
Schlags	w7_d786e6347
gewesen.	w9_d786e6350
Vorzüglich	w1_d786e6355
hat	w3_d786e6358
man	w5_d786e6361
solche	w7_d786e6364
an	w9_d786e6367
der	w11_d786e6370
Seite	w13_d786e6374
gegen	w1_d786e6380
Norden	w3_d786e6383
bemerket,	w5_d786e6386
woselbst	w7_d786e6389
der	w9_d786e6392
Wet	w11_d786e6395
ter=strahl	w1_d786e6400
bey	w3_d786e6403
der	w5_d786e6406
in	w7_d786e6409
dem	w9_d786e6412
Mittel=punct	w11_d786e6415
befind	w13_d786e6419
lichen	w1_d786e6424
obersten	w3_d786e6427
Haupt=kuppel	w5_d786e6430
eingeschlagen,	w7_d786e6433
und	w1_d786e6438
den	w3_d786e6441
Fenster=laden,	w5_d786e6444
wie	w7_d786e6447
auch	w9_d786e6450
eine	w11_d786e6453
ganze	w13_d786e6457
Eck=wand	w1_d786e6463
samt	w3_d786e6466
dem	w5_d786e6469
daselbstigen	w7_d786e6472
Haupt	w9_d786e6475
po	w11_d786e6478
</p>
<p id="p6_d786e6481">
sten	w1_d786e6485
durchaus	w3_d786e6488
zerspaltet.	w5_d786e6491
Bey	w7_d786e6494
dem	w9_d786e6497
Haup	w11_d786e6500
	w13_d786e6504
|	w15_d786e6507
dach	w1_d786e6512
des	w3_d786e6515
ganzen	w5_d786e6518
Gebäudes	w7_d786e6521
wurde	w9_d786e6524
zwar	w11_d786e6527
ei	w13_d786e6531
ner	w1_d786e6536
Seitz	w3_d786e6539
neben	w5_d786e6542
einem	w7_d786e6545
Fenster	w9_d786e6548
durch	w11_d786e6551
eine	w13_d786e6555
kleine	w1_d786e6561
Oefnung	w3_d786e6564
eine	w5_d786e6567
einzige	w7_d786e6570
Entzündung	w9_d786e6573
ver	w11_d786e6576
ursachet,	w1_d786e6581
solche	w3_d786e6584
aber	w5_d786e6587
alsbald	w7_d786e6590
gelöschet;	w9_d786e6593
an	w11_d786e6596
derer	w1_d786e6601
geschlossener	w3_d786e6604
Seits	w5_d786e6607
hingegen	w7_d786e6610
ein	w9_d786e6613
Stück	w11_d786e6616
von	w1_d786e6621
einem	w3_d786e6624
Dach=sparren	w5_d786e6627
von	w7_d786e6630
6.	w9_d786e6633
Werk=schuhen	w11_d786e6636
weggeschlagen,	w1_d786e6642
ohne	w3_d786e6645
die	w5_d786e6648
Oefnung	w7_d786e6651
wahrzu	w9_d786e6654
nehmen.	w1_d786e6659
