<doc id="wr_1759-05-02" attrs="word" year="1759" month="05" day="02" corpus="2">
<head id="h2_d344e3775">
Maynstrom	w1_d344e3779
obschon	w13_d344e4134
seine	w15_d344e4137
unterhabende	w1_d344e4142
Trupen	w3_d344e4145
vorher	w5_d344e4148
die	w7_d344e4151
unsäglichste	w9_d344e4154
Strappatzen	w1_d344e4160
ausgestanden.	w3_d344e4163
</p>
<p id="p8_d344e4166">
Die	w1_d344e4170
Feinde	w3_d344e4173
fiengen	w5_d344e4176
Tages	w7_d344e4179
nach	w9_d344e4182
seiner	w11_d344e4185
Ankunft	w1_d344e4190
ihre	w3_d344e4193
zurückziehende	w5_d344e4196
Bewegungen	w7_d344e4199
</p>
<p id="p10_d344e4202">
an.	w1_d344e4206
Der	w3_d344e4209
Herr	w5_d344e4212
von	w7_d344e4215
Blaisel	w9_d344e4218
gieng	w11_d344e4221
zu	w13_d344e4225
glei	w15_d344e4228
cher	w1_d344e4233
Zeit	w3_d344e4236
auf	w5_d344e4239
Friedberg,	w7_d344e4242
und	w9_d344e4245
holte	w11_d344e4248
sie	w13_d344e4252
gleich	w15_d344e4255
sam	w1_d344e4260
bey	w3_d344e4263
dem	w5_d344e4266
ersten	w7_d344e4269
Schritt	w9_d344e4272
ein.	w11_d344e4275
Jhre	w13_d344e4279
gan	w15_d344e4282
ze	w1_d344e4288
Armee	w3_d344e4291
stund	w5_d344e4294
in	w7_d344e4297
Schlacht=ordnung,	w9_d344e4300
sie	w11_d344e4303
hatten	w1_d344e4308
alle	w3_d344e4311
Anhöhen	w5_d344e4314
besetzt,	w7_d344e4317
und	w9_d344e4320
einen	w11_d344e4323
brei	w13_d344e4327
ten	w1_d344e4332
Bach	w3_d344e4335
vor	w5_d344e4338
sich,	w7_d344e4341
über	w9_d344e4344
welchen	w11_d344e4347
sie	w13_d344e4351
die	w15_d344e4354
Brücken	w1_d344e4359
abgebrochen.	w3_d344e4362
Nachdem	w5_d344e4365
der	w7_d344e4368
Herr	w9_d344e4371
von	w1_d344e4377
Blaisel	w3_d344e4380
ein	w5_d344e4383
starkes	w7_d344e4386
Canonen	w9_d344e4389
und	w11_d344e4392
Mous	w13_d344e4396
quetten=feuer	w1_d344e4401
ausgehalten,	w3_d344e4404
gieng	w5_d344e4407
er	w7_d344e4410
über	w9_d344e4413
diesen	w1_d344e4418
Bach,	w3_d344e4421
und	w5_d344e4424
ließ	w7_d344e4427
alle	w9_d344e4430
seine	w11_d344e4433
Trupen	w13_d344e4437
ihm	w1_d344e4442
nachfolgen;	w3_d344e4445
das	w5_d344e4448
Fischerische	w7_d344e4451
Corps	w9_d344e4454
stieß	w1_d344e4460
zu	w3_d344e4463
dem	w5_d344e4466
seinigen,	w7_d344e4469
dann	w9_d344e4472
die	w11_d344e4475
gedachte	w13_d344e4479
Attaque	w1_d344e4484
hatte	w3_d344e4487
er	w5_d344e4490
mit	w7_d344e4493
seinem	w9_d344e4496
Detaschement	w11_d344e4499
allein	w1_d344e4504
gethan.	w3_d344e4507
Die	w5_d344e4510
Feinde	w7_d344e4513
wurden	w9_d344e4516
bestürzt	w11_d344e4519
als	w1_d344e4524
sie	w3_d344e4527
sahen,	w5_d344e4530
mit	w7_d344e4533
welchem	w9_d344e4536
Mut	w11_d344e4539
man	w13_d344e4543
die	w15_d344e4546
Jnfanterie	w1_d344e4552
zurück	w3_d344e4555
trieb,	w5_d344e4558
welche	w7_d344e4561
diesen	w9_d344e4564
Bach	w11_d344e4567
vertheidigte,	w1_d344e4572
sie	w3_d344e4575
hielten	w5_d344e4578
sich	w7_d344e4581
daher	w9_d344e4584
nicht	w11_d344e4587
mehr	w13_d344e4591
als	w1_d344e4596
eine	w3_d344e4599
Viertel	w5_d344e4602
Stund	w7_d344e4605
auf	w9_d344e4608
der	w11_d344e4611
Anhöhe,	w13_d344e4615
wo	w1_d344e4620
sich	w3_d344e4623
die	w5_d344e4626
zu	w7_d344e4629
ihrer	w9_d344e4632
Arrier=garde	w11_d344e4635
bestimm	w13_d344e4639
te	w1_d344e4645
Trupen	w3_d344e4648
zusammen	w5_d344e4651
gezogen	w7_d344e4654
hatten.	w9_d344e4657
Sie	w11_d344e4660
</p>
<p id="p16_d344e4674">
machten	w1_d344e4678
wenigstens	w3_d344e4681
8000.	w5_d344e4684
Mann	w7_d344e4687
Cavalle	w9_d344e4690
rie	w1_d344e4695
und	w3_d344e4698
Jnfanterie	w5_d344e4701
aus,	w7_d344e4704
und	w9_d344e4707
es	w11_d344e4710
streckte	w13_d344e4714
sich	w1_d344e4719
dieses	w3_d344e4722
Corps	w5_d344e4725
bis	w7_d344e4728
an	w9_d344e4731
die	w11_d344e4734
Armee.	w13_d344e4738
Man	w15_d344e4741
grif	w1_d344e4747
zu	w3_d344e4750
denen	w5_d344e4753
Canonen,	w7_d344e4756
und	w9_d344e4759
feuerte	w11_d344e4762
sie	w13_d344e4766
drey	w15_d344e4769
mal	w1_d344e4774
los.	w3_d344e4777
Sechs	w5_d344e4780
Grenadier=compagnien,	w7_d344e4783
welche	w1_d344e4788
zurück	w3_d344e4791
geblieben	w5_d344e4794
waren,	w7_d344e4797
den	w9_d344e4800
Posten	w11_d344e4803
zu	w1_d344e4808
vertheidigen,	w3_d344e4811
wurden	w5_d344e4814
über	w7_d344e4817
den	w9_d344e4820
Hauffen	w11_d344e4823
ge	w13_d344e4827
worfen	w1_d344e4833
worden	w3_d344e4836
seyn,	w5_d344e4839
wann	w7_d344e4842
nicht	w9_d344e4845
eine	w11_d344e4848
Co	w13_d344e4852
lonne	w1_d344e4857
zurück	w3_d344e4860
und	w5_d344e4863
ihnen	w7_d344e4866
zu	w9_d344e4869
Hülfe	w11_d344e4872
gekom	w13_d344e4876
men	w1_d344e4881
wäre.	w3_d344e4884
Die	w5_d344e4887
feindliche	w7_d344e4890
Armee	w9_d344e4893
beschleu	w11_d344e4896
nigte	w1_d344e4901
ihre	w3_d344e4904
Retirade,	w5_d344e4907
und	w7_d344e4910
sie	w9_d344e4913
ward	w11_d344e4916
fechtend	w13_d344e4920
bis	w1_d344e4926
an	w3_d344e4929
den	w5_d344e4932
Ort	w7_d344e4935
getrieben,	w9_d344e4938
wo	w11_d344e4941
sie	w13_d344e4945
sich	w15_d344e4948
setzte.	w17_d344e4951
Wir	w1_d344e4956
machten	w3_d344e4959
viele	w5_d344e4962
Gefangene,	w7_d344e4965
und	w9_d344e4968
tödte	w11_d344e4971
ten	w1_d344e4976
eine	w3_d344e4979
grosse	w5_d344e4982
Anzahl.	w7_d344e4985
Diesen	w9_d344e4988
Tag	w11_d344e4991
hat	w13_d344e4995
ten	w1_d344e5000
wir	w3_d344e5003
einen	w5_d344e5006
Capitain	w7_d344e5009
todt,	w9_d344e5012
und	w11_d344e5015
zwey	w13_d344e5019
Of	w15_d344e5022
ficiers	w1_d344e5028
bleßirt,	w3_d344e5031
ingleichen	w5_d344e5034
25.	w7_d344e5037
bis	w9_d344e5040
30.	w11_d344e5043
Mann	w1_d344e5048
getödtet	w3_d344e5051
und	w5_d344e5054
verwundet;	w7_d344e5057
60.	w9_d344e5060
Pferde	w11_d344e5063
sind	w1_d344e5068
erschossen	w3_d344e5071
oder	w5_d344e5074
bleßirt.	w7_d344e5077
Hierinnen	w9_d344e5080
be	w11_d344e5083
stehet,	w1_d344e5088
was	w3_d344e5091
den	w5_d344e5094
18.	w7_d344e5097
geschehen.	w9_d344e5100
</p>
<p id="p18_d344e5103">
Der	w1_d344e5107
Verlauf	w3_d344e5110
des	w5_d344e5113
Vorfalls	w7_d344e5116
vom	w9_d344e5119
19.	w11_d344e5122
ist	w13_d344e5126
folgender:	w1_d344e5131
Fruh	w3_d344e5134
um	w5_d344e5137
5.	w7_d344e5140
Uhr	w9_d344e5143
fiengen	w11_d344e5146
die	w13_d344e5150
Feinde	w1_d344e5155
schon	w3_d344e5158
an,	w5_d344e5161
sich	w7_d344e5164
zu	w9_d344e5167
bewegen,	w11_d344e5170
und	w13_d344e5174
sie	w15_d344e5177
richteten	w1_d344e5183
ihren	w3_d344e5186
Marsch	w5_d344e5189
auf	w7_d344e5192
Schotten,	w9_d344e5195
Baum	w11_d344e5198
bach,	w1_d344e5203
und	w3_d344e5206
Grimberg.	w5_d344e5209
Diese	w7_d344e5212
verschiedene	w9_d344e5215
Corps,	w1_d344e5220
die	w3_d344e5223
in	w5_d344e5226
allem	w7_d344e5229
25.	w9_d344e5232
oder	w11_d344e5235
30000.	w13_d344e5239
Mann	w1_d344e5244
ausmachten,	w3_d344e5247
wurden	w5_d344e5250
bey	w7_d344e5253
ihrem	w9_d344e5256
er	w11_d344e5259
sten	w1_d344e5265
Schritt	w3_d344e5268
angegriffen,	w5_d344e5271
und	w7_d344e5274
unaufhör	w9_d344e5277
lich	w1_d344e5282
gedränget,	w3_d344e5285
obschon	w5_d344e5288
das	w7_d344e5291
Canonen	w9_d344e5294
und	w11_d344e5297
Mousqueten=feuer	w1_d344e5302
beständig	w3_d344e5305
fortdauerte.	w5_d344e5308
Alle	w1_d344e5313
Augenblick	w3_d344e5316
machte	w5_d344e5319
man	w7_d344e5322
in	w9_d344e5325
ihrer	w11_d344e5328
Co	w13_d344e5332
lonne	w1_d344e5338
Gefangene.	w3_d344e5341
Ein	w5_d344e5344
Corps	w7_d344e5347
von	w9_d344e5350
300.	w11_d344e5353
Mann,	w1_d344e5358
welches	w3_d344e5361
zu	w5_d344e5364
ihrer	w7_d344e5367
linken	w9_d344e5370
stunde,	w11_d344e5373
und	w13_d344e5377
das	w1_d344e5382
aus	w3_d344e5385
Cavallerie	w5_d344e5388
und	w7_d344e5391
Jnfanterie	w9_d344e5394
bestand,	w11_d344e5397
zog	w1_d344e5402
sich	w3_d344e5405
aus	w5_d344e5408
dem	w7_d344e5411
Dorfe,	w9_d344e5414
um	w11_d344e5417
an	w13_d344e5421
das	w15_d344e5424
Groß	w17_d344e5427
der	w1_d344e5433
Armee	w3_d344e5436
zu	w5_d344e5439
stossen;	w7_d344e5442
es	w9_d344e5445
war	w11_d344e5448
schon	w13_d344e5452
eine	w15_d344e5455
Viertel=meile	w1_d344e5460
marschirt,	w3_d344e5463
als	w5_d344e5466
es	w7_d344e5469
zugleich	w9_d344e5472
an	w1_d344e5477
der	w3_d344e5480
Spitze	w5_d344e5483
und	w7_d344e5486
in	w9_d344e5489
der	w11_d344e5492
Flanque	w13_d344e5496
angegrif	w15_d344e5499
fen	w1_d344e5504
wurde,	w3_d344e5507
so,	w5_d344e5510
daß	w7_d344e5513
es	w9_d344e5516
in	w11_d344e5519
sein	w13_d344e5523
Dorf	w15_d344e5526
zu	w17_d344e5529
ruck	w1_d344e5535
eilen	w3_d344e5538
muste,	w5_d344e5541
worinnen	w7_d344e5544
man	w9_d344e5547
es	w11_d344e5550
sehr	w13_d344e5554
eng	w1_d344e5559
einschloß,	w3_d344e5562
und	w5_d344e5565
da	w7_d344e5568
es	w9_d344e5571
auf	w11_d344e5574
dem	w13_d344e5578
Puncte	w15_d344e5581
stund,	w1_d344e5586
(ungeachtet	w3_d344e5589
des	w5_d344e5592
Feuers	w7_d344e5595
aus	w9_d344e5598
2.	w11_d344e5601
Ca	w13_d344e5605
nonen,	w1_d344e5610
die	w3_d344e5613
uns	w5_d344e5616
viele	w7_d344e5619
Pferde	w9_d344e5622
und	w11_d344e5625
auch	w13_d344e5629
</p>
<p id="p20_d344e5632">
Mannschaft	w1_d344e5636
verwundete,)	w3_d344e5639
den	w5_d344e5642
Ort	w7_d344e5645
zu	w9_d344e5648
über	w11_d344e5651
wältigen,	w1_d344e5656
kam	w3_d344e5659
ein	w5_d344e5662
Corps,	w7_d344e5665
die	w9_d344e5668
Eingeschlos	w11_d344e5671
sene	w1_d344e5676
zu	w3_d344e5679
befreyen;	w5_d344e5682
es	w7_d344e5685
geschahe	w9_d344e5688
dieses	w11_d344e5691
ihres	w13_d344e5695
Orts	w1_d344e5701
mit	w3_d344e5704
vieler	w5_d344e5707
Schwürigkeit;	w7_d344e5710
als	w9_d344e5713
dieses	w11_d344e5716
gelungen	w1_d344e5721
war,	w3_d344e5724
zogen	w5_d344e5727
sie	w7_d344e5730
sich	w9_d344e5733
aus	w11_d344e5736
Grimberg,	w13_d344e5740
wo	w1_d344e5745
schon	w3_d344e5748
verschiedene	w5_d344e5751
Trupen	w7_d344e5754
angekommen	w9_d344e5757
waren;	w1_d344e5762
wir	w3_d344e5765
verfolgten	w5_d344e5768
sie	w7_d344e5771
aufs	w9_d344e5774
hitzigste	w11_d344e5777
bis	w1_d344e5783
an	w3_d344e5786
diesem	w5_d344e5789
Ort,	w7_d344e5792
und	w9_d344e5795
schlossen	w11_d344e5798
den	w13_d344e5802
hin	w15_d344e5805
tersten	w1_d344e5810
Theil,	w3_d344e5813
eine	w5_d344e5816
Colonne	w7_d344e5819
von	w9_d344e5822
Jnfanie	w11_d344e5825
rie,	w1_d344e5830
bey	w3_d344e5833
einer	w5_d344e5836
Defilee	w7_d344e5839
aufs	w9_d344e5842
engste	w11_d344e5845
ein;	w13_d344e5849
die	w15_d344e5852
Engländische	w1_d344e5857
Cavallerie	w3_d344e5860
wurde	w5_d344e5863
genöhtiget,	w7_d344e5866
sich	w1_d344e5872
auf	w3_d344e5875
der	w5_d344e5878
linken	w7_d344e5881
in	w9_d344e5884
Schlacht=ordnung	w11_d344e5887
zu	w13_d344e5891
stellen,	w1_d344e5896
um	w3_d344e5899
die	w5_d344e5902
Retirade	w7_d344e5905
der	w9_d344e5908
Jnfanterie	w11_d344e5911
zu	w13_d344e5915
decken;	w1_d344e5920
zu	w3_d344e5923
gleicher	w5_d344e5926
Zeit	w7_d344e5929
stellten	w9_d344e5932
sie	w11_d344e5935
zur	w13_d344e5939
rech	w15_d344e5942
ten	w1_d344e5947
2.	w3_d344e5950
Canonen	w5_d344e5953
auf	w7_d344e5956
eine	w9_d344e5959
kleine	w11_d344e5962
Batterie;	w13_d344e5966
da	w1_d344e5972
wir	w3_d344e5975
diese	w5_d344e5978
Trupen	w7_d344e5981
sehr	w9_d344e5984
fest	w11_d344e5987
sitzen,	w13_d344e5991
und	w15_d344e5994
sie	w1_d344e5999
für	w3_d344e6002
allen	w5_d344e6005
Angrif	w7_d344e6008
sicher	w9_d344e6011
sahen,	w11_d344e6014
wende	w13_d344e6018
ten	w1_d344e6023
wir	w3_d344e6026
uns	w5_d344e6029
sogleich	w7_d344e6032
auf	w9_d344e6035
Laubach,	w11_d344e6038
wohin	w13_d344e6042
wir	w1_d344e6047
Colonnen	w3_d344e6050
marschiren	w5_d344e6053
gesehen,	w7_d344e6056
die	w9_d344e6059
sich	w11_d344e6062
auch	w1_d344e6068
würklich	w3_d344e6071
allda	w5_d344e6074
gesetzt;	w7_d344e6077
als	w9_d344e6080
man	w11_d344e6083
aber	w13_d344e6087
ausgeforscht,	w1_d344e6092
daß	w3_d344e6095
dieses	w5_d344e6098
ein	w7_d344e6101
schlechter	w9_d344e6104
und	w11_d344e6107
übel	w1_d344e6112
gewählter	w3_d344e6115
Posten	w5_d344e6118
sey,	w7_d344e6121
gieng	w9_d344e6124
der	w11_d344e6127
Herr	w13_d344e6131
von	w1_d344e6136
Blaisel	w3_d344e6139
in	w5_d344e6142
ein	w7_d344e6145
nahe	w9_d344e6148
gelegenes	w11_d344e6151
Haus,	w13_d344e6155
und	w15_d344e6158
berufte	w1_d344e6164
in	w3_d344e6167
solches	w5_d344e6170
den	w7_d344e6173
Obristen	w9_d344e6176
Fischer,	w11_d344e6179
mit	w13_d344e6183
welchem	w1_d344e6188
er	w3_d344e6191
verabredete,	w5_d344e6194
daß	w7_d344e6197
man	w9_d344e6200
augenblick	w11_d344e6203
lich	w1_d344e6208
diesen	w3_d344e6211
Posten	w5_d344e6214
angreiffen	w7_d344e6217
müsse.	w9_d344e6220
Die	w11_d344e6223
Verfügung	w1_d344e6228
wurde	w3_d344e6231
deßhalb	w5_d344e6234
hierzu	w7_d344e6237
gemacht,	w9_d344e6240
und	w1_d344e6246
die	w3_d344e6249
Trupen	w5_d344e6252
waren	w7_d344e6255
schon	w9_d344e6258
im	w11_d344e6261
Marsch,	w13_d344e6265
den	w1_d344e6270
Streich	w3_d344e6273
auszuführen,	w5_d344e6276
als	w7_d344e6279
eine	w9_d344e6282
Patrouil	w11_d344e6285
le,	w1_d344e6290
die	w3_d344e6293
ein	w5_d344e6296
Officier	w7_d344e6299
commandirte,	w9_d344e6302
einen	w11_d344e6305
von	w13_d344e6309
denen	w1_d344e6314
Feinden	w3_d344e6317
eingebracht,	w5_d344e6320
der	w7_d344e6323
eine	w9_d344e6326
Ordre	w11_d344e6329
bey	w1_d344e6335
sich	w3_d344e6338
truge,	w5_d344e6341
welche	w7_d344e6344
dem	w9_d344e6347
Herrn	w11_d344e6350
von	w13_d344e6354
Blai	w15_d344e6357
sel	w1_d344e6362
zu	w3_d344e6365
wissen	w5_d344e6368
gab,	w7_d344e6371
daß	w9_d344e6374
zu	w11_d344e6377
seiner	w13_d344e6381
linken	w15_d344e6384
eine	w17_d344e6387
andere	w1_d344e6392
Colonne	w3_d344e6395
ganz	w5_d344e6398
nahe	w7_d344e6401
bey	w9_d344e6404
ihm	w11_d344e6407
seye.	w13_d344e6411
Es	w1_d344e6416
dauerte	w3_d344e6419
auch	w5_d344e6422
keine	w7_d344e6425
viertel	w9_d344e6428
Stunde,	w11_d344e6431
so	w13_d344e6435
er	w15_d344e6438
schiene	w1_d344e6444
sie.	w3_d344e6447
Man	w5_d344e6450
eilete	w7_d344e6453
auf	w9_d344e6456
sie	w11_d344e6459
los,	w13_d344e6463
die	w15_d344e6466
Jn	w17_d344e6469
fanterie	w1_d344e6474
lief	w3_d344e6477
gleichsam	w5_d344e6480
der	w7_d344e6483
Cavallerie	w9_d344e6486
nach;	w11_d344e6489
sie	w1_d344e6494
ward	w3_d344e6497
wie	w5_d344e6500
ein	w7_d344e6503
Blitz	w9_d344e6506
angegriffen,	w11_d344e6509
und	w13_d344e6513
sie	w15_d344e6516
bestand	w1_d344e6521
aus	w3_d344e6524
Grenadier=compagnien	w5_d344e6527
und	w7_d344e6530
J.	w9_d344e6533
Escadrons.	w1_d344e6539
Die	w3_d344e6542
Grenadier=compagnien	w5_d344e6545
wurden	w1_d344e6550
in	w3_d344e6553
die	w5_d344e6556
Flucht	w7_d344e6559
getrieben,	w9_d344e6562
und	w11_d344e6565
bey	w13_d344e6569
dem	w1_d344e6574
ersten	w3_d344e6577
Angrif	w5_d344e6580
viele	w7_d344e6583
gefangen	w9_d344e6586
genommen.	w11_d344e6589
Das	w1_d344e6594
</p>
<p id="p24_d344e6600">
Das	w1_d344e6604
Regiment	w3_d344e6607
von	w5_d344e6610
Finkenstein,	w7_d344e6613
welches	w9_d344e6616
sich	w11_d344e6619
halten	w1_d344e6624
wollte,	w3_d344e6627
ward	w5_d344e6630
gleichsam	w7_d344e6633
gänzlich	w9_d344e6636
auf	w11_d344e6639
gerieben;	w1_d344e6644
was	w3_d344e6647
nicht	w5_d344e6650
getödtet	w7_d344e6653
worden,	w9_d344e6656
das	w11_d344e6659
hat	w1_d344e6665
man	w3_d344e6668
gefangen,	w5_d344e6671
auch	w7_d344e6674
die	w9_d344e6677
Estandarten,	w11_d344e6680
die	w1_d344e6685
Regiments=casse,	w3_d344e6688
und	w5_d344e6691
die	w7_d344e6694
Equipage	w9_d344e6697
ero	w11_d344e6700
bert.	w1_d344e6705
Man	w3_d344e6708
kan	w5_d344e6711
den	w7_d344e6714
Mut	w9_d344e6717
und	w11_d344e6720
die	w13_d344e6724
Tapfer	w15_d344e6727
keit	w1_d344e6732
deren	w3_d344e6735
Trupen	w5_d344e6738
nicht	w7_d344e6741
genugsam	w9_d344e6744
erheben.	w11_d344e6747
Das	w1_d344e6753
Lob	w3_d344e6756
wird	w5_d344e6759
ihnen	w7_d344e6762
selbst	w9_d344e6765
von	w11_d344e6768
denen	w13_d344e6772
gefan	w15_d344e6775
genen	w1_d344e6780
Officiers	w3_d344e6783
beygeleget.	w5_d344e6786
Dieses	w7_d344e6789
Finkenstei	w9_d344e6792
nische	w1_d344e6797
Regiment	w3_d344e6800
ist	w5_d344e6803
eben	w7_d344e6806
dasjenige,	w9_d344e6809
welches	w11_d344e6812
sich	w1_d344e6817
so	w3_d344e6820
sehr	w5_d344e6823
rühmte,	w7_d344e6826
daß	w9_d344e6829
es	w11_d344e6832
unsere	w13_d344e6836
Carabiniers	w15_d344e6839
bey	w1_d344e6845
der	w3_d344e6848
Bataille	w5_d344e6851
zu	w7_d344e6854
Crevelt	w9_d344e6857
so	w11_d344e6860
übel	w13_d344e6864
zugerich	w15_d344e6867
tet.	w1_d344e6872
Es	w3_d344e6875
ist	w5_d344e6878
nichts	w7_d344e6881
herrlichers,	w9_d344e6884
als	w11_d344e6887
diese	w13_d344e6891
Action,	w1_d344e6896
und	w3_d344e6899
man	w5_d344e6902
kan	w7_d344e6905
glauben,	w9_d344e6908
daß	w11_d344e6911
die	w13_d344e6915
Trupen,	w15_d344e6918
welche	w1_d344e6923
sie	w3_d344e6926
verrichtet,	w5_d344e6929
die	w7_d344e6932
so	w9_d344e6935
gerecht	w11_d344e6938
verdiente	w13_d344e6942
Belohnung	w1_d344e6948
dafür	w3_d344e6951
empfangen	w5_d344e6954
werden.	w7_d344e6957
</p>
<p id="p26_d344e6960">
Man	w1_d344e6964
kan	w3_d344e6967
ohne	w5_d344e6970
einen	w7_d344e6973
Eigenruhm	w9_d344e6976
versi	w11_d344e6979
chern,	w1_d344e6984
daß	w3_d344e6987
der	w5_d344e6990
Verlust	w7_d344e6993
Französischer	w9_d344e6996
Seits	w11_d344e6999
bey	w1_d344e7004
weiten	w3_d344e7007
nicht	w5_d344e7010
so	w7_d344e7013
erheblich	w9_d344e7016
ist,	w11_d344e7019
als	w13_d344e7023
der	w15_d344e7026
Gegentheilige.	w1_d344e7032
Der	w3_d344e7035
Herr	w5_d344e7038
Graf	w7_d344e7041
von	w9_d344e7044
Blai	w11_d344e7047
sel	w1_d344e7052
ist	w3_d344e7055
leicht	w5_d344e7058
verwundet,	w7_d344e7061
und	w9_d344e7064
sein	w11_d344e7067
Pferd	w13_d344e7071
un	w15_d344e7074
ter	w1_d344e7079
ihm	w3_d344e7082
durch	w5_d344e7085
3.	w7_d344e7088
Säbel=hiebe	w9_d344e7091
getödtet	w11_d344e7094
wor	w13_d344e7098
den.	w1_d344e7103
Dem	w3_d344e7106
Ritter	w5_d344e7109
von	w7_d344e7112
Blaisel	w9_d344e7115
de	w11_d344e7118
la	w13_d344e7122
Neu	w15_d344e7125
ville,	w1_d344e7131
ist	w3_d344e7134
gleichfals	w5_d344e7137
sein	w7_d344e7140
Pferd	w9_d344e7143
gefallen,	w11_d344e7146
da	w13_d344e7150
es	w1_d344e7155
ein	w3_d344e7158
scharfer	w5_d344e7161
Flinten=schuß	w7_d344e7164
getroffen.	w9_d344e7167
Vom	w1_d344e7172
Regiment	w3_d344e7175
Turpin	w5_d344e7178
sind	w7_d344e7181
3.	w9_d344e7184
Officiers	w11_d344e7187
bleßirt,	w1_d344e7192
10.	w3_d344e7195
Hussaren	w5_d344e7198
todt	w7_d344e7201
und	w9_d344e7204
15.	w11_d344e7207
verwun	w13_d344e7211
det,	w1_d344e7217
auch	w3_d344e7220
hat	w5_d344e7223
es	w7_d344e7226
an	w9_d344e7229
Pferden	w11_d344e7232
20.	w13_d344e7236
bis	w15_d344e7239
25.	w17_d344e7242
Stück	w1_d344e7247
verloren.	w3_d344e7250
Von	w5_d344e7253
denen	w7_d344e7256
Volontairs	w9_d344e7259
von	w11_d344e7262
Flandern	w1_d344e7267
sind	w3_d344e7270
2.	w5_d344e7273
Reiter	w7_d344e7276
geblieben,	w9_d344e7279
und	w11_d344e7282
5.	w13_d344e7286
Mann	w1_d344e7291
und	w3_d344e7294
8.	w5_d344e7297
Pferde	w7_d344e7300
bleßirt	w9_d344e7303
worden.	w11_d344e7306
Die	w13_d344e7310
Freywillige	w1_d344e7316
von	w3_d344e7319
Prinz	w5_d344e7322
Clermont	w7_d344e7325
haben	w9_d344e7328
10.	w11_d344e7331
todte	w1_d344e7336
und	w3_d344e7339
bleßirte	w5_d344e7342
Pferde,	w7_d344e7345
und	w9_d344e7348
fast	w11_d344e7351
eben	w13_d344e7355
so	w1_d344e7360
viel	w3_d344e7363
Mann	w5_d344e7366
verloren.	w7_d344e7369
Von	w9_d344e7372
denen	w11_d344e7375
Lütti	w13_d344e7379
cher	w1_d344e7384
Volontairs	w3_d344e7387
ward	w5_d344e7390
ein	w7_d344e7393
Capitain	w9_d344e7396
von	w11_d344e7399
der	w13_d344e7403
Jnfanterie	w1_d344e7409
durch	w3_d344e7412
eine	w5_d344e7415
Canone	w7_d344e7418
getödtet,	w9_d344e7421
wie	w11_d344e7424
sie	w1_d344e7429
dann	w3_d344e7432
in	w5_d344e7435
diesen	w7_d344e7438
2.	w9_d344e7441
Tagen,	w11_d344e7444
