<doc id="wr_1757-06-29" attrs="word" year="1757" month="06" day="29" corpus="2">
<head id="h2_d156e3893">
Stokholm	w1_d156e3897
seine	w1_d156e4742
Ladung	w3_d156e4745
nicht	w5_d156e4748
für	w7_d156e4751
Preußische	w9_d156e4754
Rechnung	w11_d156e4757
wäre,	w1_d156e4762
ungehindert	w3_d156e4765
seine	w5_d156e4768
Reise	w7_d156e4771
vollstrecken	w9_d156e4774
lassen,	w1_d156e4779
da	w3_d156e4782
es	w5_d156e4785
dann	w7_d156e4788
Tages	w9_d156e4791
hernach	w11_d156e4794
im	w13_d156e4798
Sunde	w15_d156e4801
angekommen.	w1_d156e4807
</p>
<head id="h2_d156e4813">
Helsignör,	w1_d156e4817
9.	w3_d156e4820
Junii.	w5_d156e4823
</head>
<p id="p4_d156e4826">
Vier	w1_d156e4830
Schwedische	w3_d156e4833
Galeeren	w5_d156e4836
von	w7_d156e4839
einigen	w9_d156e4842
Transport=schiffen	w1_d156e4847
begleitet,	w3_d156e4850
seynd	w5_d156e4853
den	w7_d156e4856
3ten	w9_d156e4859
dieses	w1_d156e4864
Monats	w3_d156e4867
auf	w5_d156e4870
dem	w7_d156e4873
Balthischen	w9_d156e4876
Meer	w11_d156e4879
</p>
<p id="p8_d156e4884">
erschienen,	w1_d156e4888
und	w3_d156e4891
haben	w5_d156e4894
ihren	w7_d156e4897
Lauf	w9_d156e4900
gegen	w11_d156e4903
Pommern	w1_d156e4908
zu	w3_d156e4911
genommen,	w5_d156e4914
Man	w7_d156e4917
hat	w9_d156e4920
seit	w11_d156e4923
deme	w13_d156e4927
erfahren,	w1_d156e4932
daß	w3_d156e4935
dieselbe	w5_d156e4938
mit	w7_d156e4941
denen	w9_d156e4944
Trupen	w11_d156e4947
be	w13_d156e4951
laden	w1_d156e4957
seynd,	w3_d156e4960
welche	w5_d156e4963
der	w7_d156e4966
König	w9_d156e4969
von	w11_d156e4972
Schwe	w13_d156e4976
den	w1_d156e4981
zu	w3_d156e4984
der	w5_d156e4987
Reichs=armee,	w7_d156e4990
als	w9_d156e4993
sein	w11_d156e4996
Contin	w13_d156e5000
gent	w1_d156e5005
von	w3_d156e5008
dem	w5_d156e5011
Herzogtum	w7_d156e5014
Pommern	w9_d156e5017
dar	w11_d156e5020
stellet.	w1_d156e5025
Die	w3_d156e5028
Patrons	w5_d156e5031
einiger	w7_d156e5034
in	w9_d156e5037
dem	w11_d156e5040
Sund	w13_d156e5044
angekommener	w1_d156e5050
Schiffen	w3_d156e5053
haben	w5_d156e5056
berichtet,	w7_d156e5059
daß	w9_d156e5062
würklich	w1_d156e5067
14.	w3_d156e5070
sowol	w5_d156e5073
Kriegs	w7_d156e5076
schiffe,	w9_d156e5079
als	w11_d156e5082
Fre	w13_d156e5086
gatten	w1_d156e5091
von	w3_d156e5094
Rußland	w5_d156e5097
vor	w7_d156e5100
denen	w9_d156e5103
Häfen	w11_d156e5106
von	w13_d156e5110
Kibau,	w1_d156e5115
Memel,	w3_d156e5118
Königs=berg,	w5_d156e5121
und	w7_d156e5124
auf	w9_d156e5127
der	w11_d156e5130
Höhe	w1_d156e5136
von	w3_d156e5139
Danzig	w5_d156e5142
creutzen,	w7_d156e5145
um	w9_d156e5148
alda	w11_d156e5151
die	w13_d156e5155
Preußische	w1_d156e5160
Schiffe	w3_d156e5163
wegzunehmen.	w5_d156e5166
</p>
<head id="h2_d156e5172">
Cöln	w1_d156e5176
19.	w3_d156e5179
Junii.	w5_d156e5182
</head>
<p id="p4_d156e5185">
Die	w1_d156e5189
Franzosen	w3_d156e5192
haben	w5_d156e5195
Bielefeld	w7_d156e5198
besetzt,	w9_d156e5201
und	w11_d156e5204
man	w1_d156e5209
hat	w3_d156e5212
sehr	w5_d156e5215
viele	w7_d156e5218
Leinwat	w9_d156e5221
aus	w11_d156e5224
diesem	w13_d156e5228
Ort	w15_d156e5231
ge	w17_d156e5234
bracht.	w1_d156e5239
Ein	w3_d156e5242
Stück	w5_d156e5245
des	w7_d156e5248
feinsten,	w9_d156e5251
welches	w11_d156e5254
sonst	w1_d156e5260
23.	w3_d156e5263
bis	w5_d156e5266
24.	w7_d156e5269
Thaler	w9_d156e5272
kostet,	w11_d156e5275
haben	w13_d156e5279
die	w15_d156e5282
Hus	w17_d156e5285
saren	w1_d156e5290
für	w3_d156e5293
einen	w5_d156e5296
Louisd'or	w7_d156e5299
verkauft.	w9_d156e5302
Die	w11_d156e5305
Prinzen	w13_d156e5309
von	w1_d156e5314
Soubise	w3_d156e5317
und	w5_d156e5320
Conti	w7_d156e5323
seynd	w9_d156e5326
nebst	w11_d156e5329
den	w13_d156e5333
Gra	w15_d156e5336
fen	w1_d156e5341
St.	w3_d156e5344
Germain	w5_d156e5347
auf	w7_d156e5350
Königl.	w9_d156e5353
Ordre	w11_d156e5356
nach	w13_d156e5360
dem	w1_d156e5366
Elsaß	w3_d156e5369
abgegangen,	w5_d156e5372
das	w7_d156e5375
Commando	w9_d156e5378
der	w11_d156e5381
nach	w1_d156e5386
Böhmen	w3_d156e5389
bestimmten	w5_d156e5392
Trupen	w7_d156e5395
zu	w9_d156e5398
über	w11_d156e5401
nehmen.	w1_d156e5406
Die	w3_d156e5409
Einwohner	w5_d156e5412
zu	w7_d156e5415
Soest	w9_d156e5418
haben	w11_d156e5421
der	w1_d156e5426
Kaiserin	w3_d156e5429
Königin	w5_d156e5432
schwören	w7_d156e5435
müssen,	w9_d156e5438
und	w11_d156e5441
denen	w1_d156e5447
Preußischen	w3_d156e5450
Bauern	w5_d156e5453
hat	w7_d156e5456
man	w9_d156e5459
all	w11_d156e5462
ihr	w13_d156e5466
mißbrauchtes	w1_d156e5471
Gewehr	w3_d156e5474
abgenommen.	w5_d156e5477
</p>
<head id="h2_d156e5483">
Aus	w1_d156e5487
dem	w3_d156e5490
Kön.	w5_d156e5493
Französischen	w7_d156e5496
Haupt	w9_d156e5499
quartier	w1_d156e5504
des	w3_d156e5507
Herrn	w5_d156e5510
Marschalls	w7_d156e5513
d'Etrees	w1_d156e5518
zu	w3_d156e5521
Rheda,	w5_d156e5524
14.	w7_d156e5527
Jun.	w9_d156e5530
</head>
<p id="p4_d156e5533">
Da	w1_d156e5537
der	w3_d156e5540
Herr	w5_d156e5543
Marschall	w7_d156e5546
Graf	w9_d156e5549
d'Etrees	w11_d156e5552
den	w13_d156e5556
Prinzen	w1_d156e5561
von	w3_d156e5564
Soubise	w5_d156e5567
ersuchet,	w7_d156e5570
die	w9_d156e5573
Stellung	w11_d156e5576
des	w1_d156e5581
linken	w3_d156e5584
Flügels	w5_d156e5587
von	w7_d156e5590
der	w9_d156e5593
Armee	w11_d156e5596
des	w13_d156e5600
Her	w15_d156e5603
zogs	w1_d156e5609
von	w3_d156e5612
Cumberland	w5_d156e5615
zu	w7_d156e5618
beobachten,	w9_d156e5621
so	w11_d156e5624
er	w13_d156e5628
huben	w1_d156e5633
Sie	w3_d156e5636
sich	w5_d156e5639
zu	w7_d156e5642
dem	w9_d156e5645
Ende	w11_d156e5648
selbst	w13_d156e5652
gestern	w15_d156e5655
nach	w17_d156e5658
Neukirchen,	w1_d156e5663
und	w3_d156e5666
unterredeten	w5_d156e5669
sich	w7_d156e5672
allda	w9_d156e5675
über	w1_d156e5680
solche	w3_d156e5683
Unternehmung	w5_d156e5686
mit	w7_d156e5689
dem	w9_d156e5692
Prinzen.	w11_d156e5695
Nach	w1_d156e5701
dieser	w3_d156e5704
geschehenen	w5_d156e5707
Beobachtung	w7_d156e5710
wurde	w9_d156e5713
beschlossen,	w1_d156e5718
gegen	w3_d156e5721
die	w5_d156e5724
linke	w7_d156e5727
Flanque	w9_d156e5730
des	w11_d156e5733
Feindes,	w1_d156e5738
so	w3_d156e5741
bald	w5_d156e5744
als	w7_d156e5747
möglich,	w9_d156e5750
anzurücken.	w11_d156e5753
Man	w1_d156e5758
bestimmte	w3_d156e5761
dazu	w5_d156e5764
den	w7_d156e5767
18ten	w9_d156e5770
dieses,	w11_d156e5773
al	w13_d156e5777
lein	w1_d156e5783
die	w3_d156e5786
verschiedenen	w5_d156e5789
Detaschementer,	w7_d156e5792
welche	w9_d156e5795
inzwischen	w1_d156e5800
des	w3_d156e5803
Herrn	w5_d156e5806
Marschalls	w7_d156e5809
Excellen	w9_d156e5812
beordert	w1_d156e5817
hatten,	w3_d156e5820
sowol	w5_d156e5823
rechts	w7_d156e5826
als	w9_d156e5829
links,	w11_d156e5832
und	w13_d156e5836
nach	w1_d156e5841
dem	w3_d156e5844
Mittel	w5_d156e5847
der	w7_d156e5850
feindlichen	w9_d156e5853
Armee	w11_d156e5856
vor	w13_d156e5860
zurücken,	w1_d156e5866
und	w3_d156e5869
die	w5_d156e5872
allenthalben	w7_d156e5875
geschehene	w9_d156e5878
Re	w11_d156e5881
cognoscirung	w1_d156e5886
derselben	w3_d156e5889
hatten	w5_d156e5892
dem	w7_d156e5895
Herzog	w9_d156e5898
von	w1_d156e5903
Cumberland	w3_d156e5906
den	w5_d156e5909
Verdacht	w7_d156e5912
gemacht,	w9_d156e5915
daß	w1_d156e5920
man	w3_d156e5923
sich	w5_d156e5926
anschicke,	w7_d156e5929
ihn	w9_d156e5932
anzu	w11_d156e5935
eeisen	w13_d156e5939
</p>
<p id="p6_d156e5942">
weshalb	w1_d156e5946
derselbe	w3_d156e5949
gestern	w5_d156e5952
Nachmittags	w7_d156e5955
um	w9_d156e5958
Uhr	w1_d156e5963
sein	w3_d156e5966
Lager	w5_d156e5969
bey	w7_d156e5972
Brakwede	w9_d156e5975
verließ,	w11_d156e5978
sich	w1_d156e5983
jenseits	w3_d156e5986
Bielefeld	w5_d156e5989
zurück	w7_d156e5992
zog.	w9_d156e5995
Die	w11_d156e5998
J	w13_d156e6002
vom	w1_d156e6008
Fischerischen	w3_d156e6011
Corps,	w5_d156e6014
so	w7_d156e6017
durch	w9_d156e6020
700.	w11_d156e6023
J.	w13_d156e6027
goner,	w1_d156e6032
unter	w3_d156e6035
Anführung	w5_d156e6038
des	w7_d156e6041
Herrn	w9_d156e6044
Lilleben	w11_d156e6047
unterstützt	w1_d156e6052
wurden,	w3_d156e6055
hatten	w5_d156e6058
sich	w7_d156e6061
durche	w9_d156e6064
Umweg	w1_d156e6069
nach	w3_d156e6072
der	w5_d156e6075
Strasse	w7_d156e6078
auf	w9_d156e6081
Herford	w11_d156e6084
gen	w13_d156e6088
Drey	w1_d156e6094
hundert	w3_d156e6097
Volontairs	w5_d156e6100
waren	w7_d156e6103
mit	w9_d156e6106
8.	w11_d156e6109
nadier=compagnien	w1_d156e6114
zu	w3_d156e6117
Marienfeld,	w5_d156e6120
die	w7_d156e6123
nigliche	w1_d156e6128
Volontairs	w3_d156e6131
aber	w5_d156e6134
zu	w7_d156e6137
Güterslohre	w9_d156e6140
ret,	w1_d156e6145
und	w3_d156e6148
die	w5_d156e6151
Hussaren=detaschements	w7_d156e6154
Herrn	w1_d156e6160
Brigadiers	w3_d156e6163
Turpin	w5_d156e6166
waren	w7_d156e6169
nach	w9_d156e6172
E	w11_d156e6175
vorgeruckt.	w1_d156e6180
So	w3_d156e6183
bald	w5_d156e6186
man	w7_d156e6189
von	w9_d156e6192
dem	w11_d156e6195
Man	w13_d156e6199
des	w1_d156e6204
Feindes	w3_d156e6207
benachrichtiget	w5_d156e6210
wurde,	w7_d156e6213
so	w9_d156e6216
lin	w11_d156e6219
der	w1_d156e6224
H.	w3_d156e6227
Marschall	w5_d156e6230
10.	w7_d156e6233
Compagnien	w9_d156e6236
Grenadien	w11_d156e6239
10.	w1_d156e6245
Piquets,	w3_d156e6248
und	w5_d156e6251
300.	w7_d156e6254
Pferde,	w9_d156e6257
unter	w11_d156e6260
An	w13_d156e6264
führung	w1_d156e6269
des	w3_d156e6272
Prinzens	w5_d156e6275
von	w7_d156e6278
Beauveau	w9_d156e6281
beorden	w11_d156e6284
die	w1_d156e6289
Königlichen	w3_d156e6292
Volontairs	w5_d156e6295
zu	w7_d156e6298
unterstühen	w9_d156e6301
welche	w1_d156e6306
die	w3_d156e6309
ganze	w5_d156e6312
Nacht	w7_d156e6315
marschirten,	w9_d156e6318
und	w11_d156e6321
be	w13_d156e6325
Anbruch	w1_d156e6331
des	w3_d156e6334
Tages	w5_d156e6337
den	w7_d156e6340
Posten	w9_d156e6343
zu	w11_d156e6346
Bielefel	w13_d156e6350
angriffen,	w1_d156e6355
welchen	w3_d156e6358
die	w5_d156e6361
Feinde	w7_d156e6364
zurück	w9_d156e6367
gelassn	w11_d156e6370
hatten,	w1_d156e6375
ihre	w3_d156e6378
Retirade	w5_d156e6381
zu	w7_d156e6384
decken.	w9_d156e6387
Der	w11_d156e6390
Obrist	w13_d156e6394
von	w1_d156e6399
Chabot	w3_d156e6402
hat	w5_d156e6405
sich	w7_d156e6408
dabey	w9_d156e6411
mit	w11_d156e6414
ausnehmen	w13_d156e6418
der	w1_d156e6424
Tapferkeit	w3_d156e6427
hervorgethan,	w5_d156e6430
und	w7_d156e6433
das	w9_d156e6436
De	w11_d156e6439
taschement	w1_d156e6444
forciret,	w3_d156e6447
jedoch	w5_d156e6450
dabey	w7_d156e6453
einige	w9_d156e6456
bleßirte	w1_d156e6461
Officiers,	w3_d156e6464
und	w5_d156e6467
Volontairs	w7_d156e6470
ver	w9_d156e6473
loren,	w1_d156e6478
deren	w3_d156e6481
Anzahl	w5_d156e6484
noch	w7_d156e6487
nicht	w9_d156e6490
bekannt	w11_d156e6493
ist.	w1_d156e6499
Da	w3_d156e6502
solcher=gestalt	w5_d156e6505
die	w7_d156e6508
Feinde	w9_d156e6511
zum	w11_d156e6514
Weichen	w1_d156e6519
genöhtiget	w3_d156e6522
worden,	w5_d156e6525
so	w7_d156e6528
haben	w9_d156e6531
sie	w11_d156e6534
viele	w1_d156e6539
Wägen	w3_d156e6542
mit	w5_d156e6545
Equipage	w7_d156e6548
im	w9_d156e6551
Stich	w11_d156e6554
ge	w13_d156e6558
lassen,	w1_d156e6563
und	w3_d156e6566
wir	w5_d156e6569
haben	w7_d156e6572
auch	w9_d156e6575
viele	w11_d156e6578
Gefangene	w13_d156e6582
gemacht.	w1_d156e6588
</p>
<p id="p8_d156e6591">
Der	w1_d156e6595
Prinz	w3_d156e6598
von	w5_d156e6601
Beauveau,	w7_d156e6604
wie	w9_d156e6607
eilig	w11_d156e6610
der	w13_d156e6614
selbe	w1_d156e6619
auch	w3_d156e6622
anrükte,	w5_d156e6625
konte	w7_d156e6628
doch	w9_d156e6631
nicht	w11_d156e6634
eher,	w13_d156e6638
als	w1_d156e6643
bey	w3_d156e6646
dem	w5_d156e6649
Ende	w7_d156e6652
des	w9_d156e6655
Gefechts	w11_d156e6658
darzu	w13_d156e6662
kom	w15_d156e6665
men,	w1_d156e6671
jedoch	w3_d156e6674
meldet	w5_d156e6677
derselbe	w7_d156e6680
heute	w9_d156e6683
Morgen,	w11_d156e6686
um	w1_d156e6691
9.	w3_d156e6694
Uhr	w5_d156e6697
von	w7_d156e6700
Bielfeld,	w9_d156e6703
daß	w11_d156e6706
er	w13_d156e6710
den	w15_d156e6713
Marsch	w17_d156e6716
des	w1_d156e6721
Feindes	w3_d156e6724
ferner	w5_d156e6727
zu	w7_d156e6730
beobachten	w9_d156e6733
fortfahren,	w11_d156e6736
und	w1_d156e6741
sich	w3_d156e6744
auf	w5_d156e6747
den	w7_d156e6750
halben	w9_d156e6753
Weg	w11_d156e6756
nach	w13_d156e6760
Herford	w15_d156e6763
begeben	w1_d156e6769
wolle,	w3_d156e6772
als	w5_d156e6775
wohin	w7_d156e6778
sich	w9_d156e6781
die	w11_d156e6784
Arrier	w13_d156e6788
garde	w1_d156e6793
gezogen.	w3_d156e6796
Zu	w5_d156e6799
gleicher	w7_d156e6802
Zeit	w9_d156e6805
hatte	w11_d156e6808
der	w13_d156e6812
Prinz	w1_d156e6817
von	w3_d156e6820
Soubise	w5_d156e6823
von	w7_d156e6826
seiner	w9_d156e6829
Armee	w11_d156e6832
den	w13_d156e6836
Herrn	w1_d156e6841
General=leutenant	w3_d156e6844
Grafen	w5_d156e6847
von	w7_d156e6850
Lorges	w9_d156e6853
mit	w1_d156e6859
12.	w3_d156e6862
Grenadier=compagnien,	w5_d156e6865
und	w7_d156e6868
200.	w9_d156e6871
Pferden	w1_d156e6876
abgeschikt,	w3_d156e6879
welcher	w5_d156e6882
aber	w7_d156e6885
ebenfalls	w9_d156e6888
nach	w1_d156e6893
geendigten	w3_d156e6896
Gefichte	w5_d156e6899
zu	w7_d156e6902
Bielefeld	w9_d156e6905
ange	w11_d156e6908
langet	w1_d156e6913
ist,	w3_d156e6916
und	w5_d156e6919
daselbst	w7_d156e6922
ein	w9_d156e6925
Magatzin	w11_d156e6928
von	w13_d156e6932
8.	w15_d156e6935
bis	w1_d156e6941
10.	w3_d156e6944
tausend	w5_d156e6947
Rationen	w7_d156e6950
Fourage	w9_d156e6953
noch	w11_d156e6956
vor	w13_d156e6960
gefunden	w1_d156e6965
hat.	w3_d156e6968
</p>
<p id="p14_d156e6982">
Der	w1_d156e6986
Französische	w3_d156e6989
Verlust	w5_d156e6992
bestehet	w7_d156e6995
in	w9_d156e6998
4.	w11_d156e7001
Officiers	w1_d156e7006
todt,	w3_d156e7009
5.	w5_d156e7012
bleßirt,	w7_d156e7015
60.	w9_d156e7018
Gemeinen.	w11_d156e7021
Der	w1_d156e7026
Feind	w3_d156e7029
hat	w5_d156e7032
vieles	w7_d156e7035
eingebüsset;	w9_d156e7038
15.	w11_d156e7041
Offi	w13_d156e7045
tiers	w1_d156e7051
getödet,	w3_d156e7054
4.	w5_d156e7057
bleßirt,	w7_d156e7060
200.	w9_d156e7063
Gemeine	w11_d156e7066
todt,	w13_d156e7070
und	w15_d156e7073
150.	w1_d156e7078
Verwundete	w3_d156e7081
gehabt,	w5_d156e7084
annebst	w7_d156e7087
einen	w9_d156e7090
Verlust	w11_d156e7093
von	w1_d156e7098
mehr	w3_d156e7101
dann	w5_d156e7104
300.	w7_d156e7107
Preußischen	w9_d156e7110
Deserteurs	w11_d156e7113
bekommen.	w1_d156e7118
Wie	w3_d156e7121
der	w5_d156e7124
Haupt=mann	w7_d156e7127
Feuillet	w9_d156e7130
te	w1_d156e7136
mit	w3_d156e7139
dieser	w5_d156e7142
wichtigen	w7_d156e7145
Nachricht	w9_d156e7148
am	w11_d156e7151
14ten	w13_d156e7155
fruhe	w1_d156e7160
um	w3_d156e7163
6.	w5_d156e7166
Uhr	w7_d156e7169
aus	w9_d156e7172
der	w11_d156e7175
Action	w13_d156e7179
nach	w15_d156e7182
dem	w17_d156e7185
Französischen	w1_d156e7190
Haupt=quartier	w3_d156e7193
abgereiset,	w5_d156e7196
ware	w1_d156e7201
eben	w3_d156e7204
der	w5_d156e7207
Prinz	w7_d156e7210
de	w9_d156e7213
Beauveau	w11_d156e7216
mit	w13_d156e7220
15.	w15_d156e7223
Grenadiers=compagnien,	w1_d156e7229
15.	w3_d156e7232
Piquetten	w5_d156e7235
und	w7_d156e7238
400.	w1_d156e7243
Reitern	w3_d156e7246
angelanget,	w5_d156e7249
um	w7_d156e7252
die	w9_d156e7255
fliehende	w11_d156e7258
Feinde	w1_d156e7263
anzufallen,	w3_d156e7266
wobey	w5_d156e7269
auch	w7_d156e7272
der	w9_d156e7275
Graf	w11_d156e7278
von	w13_d156e7282
Turpin	w1_d156e7287
mit	w3_d156e7290
seinen	w5_d156e7293
Hussaren,	w7_d156e7296
und	w9_d156e7299
der	w11_d156e7302
Oberste	w13_d156e7306
Fischer	w1_d156e7312
mit	w3_d156e7315
seiner	w5_d156e7318
Frey=parthey	w7_d156e7321
nicht	w9_d156e7324
gefey	w11_d156e7327
ret	w1_d156e7332
haben.	w3_d156e7335
Die	w5_d156e7338
nähere	w7_d156e7341
Umstände	w9_d156e7344
erwartet	w11_d156e7347
man	w1_d156e7352
nächstens.	w3_d156e7355
</p>
<head id="h2_d156e7362">
Paris	w1_d156e7366
11.	w3_d156e7369
Junii.	w5_d156e7372
</head>
<p id="p4_d156e7375">
Man	w1_d156e7379
hat	w3_d156e7382
Befehl	w5_d156e7385
nach	w7_d156e7388
Brest	w9_d156e7391
geschicket,	w11_d156e7394
alda	w1_d156e7399
4.	w3_d156e7402
neue	w5_d156e7405
Schiffe	w7_d156e7408
zu	w9_d156e7411
bauen,	w11_d156e7414
2.	w13_d156e7418
von	w15_d156e7421
80.	w17_d156e7424
und	w1_d156e7429
2.	w3_d156e7432
von	w5_d156e7435
74.	w7_d156e7438
Canonen,	w9_d156e7441
und	w11_d156e7444
man	w13_d156e7448
soll	w15_d156e7451
da	w17_d156e7454
selbst	w1_d156e7460
eine	w3_d156e7463
neue	w5_d156e7466
Escadre	w7_d156e7469
bewafnen.	w9_d156e7472
Zu	w11_d156e7475
Ro	w13_d156e7479
chefort	w1_d156e7484
werden	w3_d156e7487
2.	w5_d156e7490
neue	w7_d156e7493
Schiffe	w9_d156e7496
von	w11_d156e7499
80.	w13_d156e7503
und	w15_d156e7506
54.	w1_d156e7511
Canonen,	w3_d156e7514
nebst	w5_d156e7517
einer	w7_d156e7520
Fregatte	w9_d156e7523
von	w11_d156e7526
