<doc id="wr_1760-04-05" attrs="word" year="1760" month="04" day="05" corpus="2">
<head id="h2_d438e2535">
Frankfort	w1_d438e2539
9000.	w5_d438e4109
Mann	w7_d438e4112
im	w9_d438e4115
Früh	w11_d438e4118
jahr	w1_d438e4123
zu	w3_d438e4126
Wasser,	w5_d438e4129
theils	w7_d438e4132
nach	w9_d438e4135
Preussen,	w11_d438e4138
und	w13_d438e4142
theils	w1_d438e4147
auf	w3_d438e4150
der	w5_d438e4153
Flotte	w7_d438e4156
vertheilen	w9_d438e4159
wird.	w11_d438e4162
</p>
<head id="h2_d438e4168">
Magdeburg	w1_d438e4172
22.	w3_d438e4175
März.	w5_d438e4178
</head>
<p id="p4_d438e4181">
Am	w1_d438e4185
19.	w3_d438e4188
dieses	w5_d438e4191
Nachmittags,	w7_d438e4194
sind	w9_d438e4197
Jhre	w11_d438e4200
Königl.	w1_d438e4205
Majestät,	w3_d438e4208
unsere	w5_d438e4211
Landes=mutter,	w7_d438e4214
in	w9_d438e4217
hiesiger	w1_d438e4222
Stadt	w3_d438e4225
eingetroffen.	w5_d438e4228
Ermeldten	w7_d438e4231
Tages,	w1_d438e4237
Vormittags,	w3_d438e4240
ritte	w5_d438e4243
eine	w7_d438e4246
Compagnie	w9_d438e4249
von	w1_d438e4254
der	w3_d438e4257
jungen	w5_d438e4260
Kauf=mannschaft	w7_d438e4263
in	w9_d438e4266
ansehn	w11_d438e4269
licher	w1_d438e4274
Uniform	w3_d438e4277
Höchst=denenselben	w5_d438e4280
bis	w7_d438e4283
Ne	w9_d438e4286
dlitz	w1_d438e4291
entgegen,	w3_d438e4294
und	w5_d438e4297
hatte	w7_d438e4300
die	w9_d438e4303
Gnade,	w11_d438e4306
von	w13_d438e4310
Gr.	w1_d438e4316
Königl.	w3_d438e4319
Hoheit	w5_d438e4322
dem	w7_d438e4325
Prinzen	w9_d438e4328
von	w11_d438e4331
</p>
<p id="p6_d438e4334">
Preußen	w1_d438e4338
und	w3_d438e4341
Deroselben	w5_d438e4344
Herrn	w7_d438e4347
Bruder	w9_d438e4350
Kö	w11_d438e4353
nigliche	w1_d438e4358
Hoheit	w3_d438e4361
daselbst	w5_d438e4364
in	w7_d438e4367
Augenschein	w9_d438e4370
ge	w11_d438e4373
nommen	w1_d438e4378
zu	w3_d438e4381
werden,	w5_d438e4384
auch	w7_d438e4387
die	w9_d438e4390
Erlaubnüß	w11_d438e4393
zu	w1_d438e4399
erhalten,	w3_d438e4402
Jhre	w5_d438e4405
Königl.	w7_d438e4408
Majestät	w9_d438e4411
zu	w11_d438e4414
be	w13_d438e4418
gleiten.	w1_d438e4423
Bey	w3_d438e4426
der	w5_d438e4429
Ankunft	w7_d438e4432
an	w9_d438e4435
dem	w11_d438e4438
äussern	w13_d438e4442
Thore	w1_d438e4447
wurden	w3_d438e4450
höchstgedachte	w5_d438e4453
Majestät	w7_d438e4456
von	w9_d438e4459
dem	w1_d438e4464
hiesigen	w3_d438e4467
Herrn	w5_d438e4470
Commandanten	w7_d438e4473
com	w9_d438e4476
plimentiret.	w1_d438e4482
An	w3_d438e4485
dem	w5_d438e4488
innern	w7_d438e4491
Thore	w9_d438e4494
gern	w11_d438e4497
heten	w1_d438e4502
Jhre	w3_d438e4505
Majestät	w5_d438e4508
vor	w7_d438e4511
dem	w9_d438e4514
Fehr=amte	w11_d438e4517
und	w1_d438e4522
von	w3_d438e4525
dem	w5_d438e4528
daselbst	w7_d438e4531
sich	w9_d438e4534
in	w11_d438e4537
Corpore	w13_d438e4541
ein	w15_d438e4544
gefundenen	w1_d438e4549
Magistrats=collegio	w3_d438e4552
einen	w5_d438e4555
aller	w7_d438e4558
unterthänigsten	w1_d438e4564
Glück=wunsch	w3_d438e4567
anzunehmen,	w5_d438e4570
da	w1_d438e4575
dann	w3_d438e4578
Höchst=dieselben	w5_d438e4581
in	w7_d438e4584
denen	w9_d438e4587
aller	w11_d438e4590
gnädigsten	w1_d438e4595
Ausdrücken	w3_d438e4598
Dero	w5_d438e4601
huldreichste	w7_d438e4604
Gesinnungen	w1_d438e4609
dem	w3_d438e4612
Magistrat	w5_d438e4615
zu	w7_d438e4618
erkennen	w9_d438e4621
gaben,	w1_d438e4627
und	w3_d438e4630
sich	w5_d438e4633
darauf,	w7_d438e4636
unter	w9_d438e4639
Abfeuerung	w11_d438e4642
der	w1_d438e4647
Canonen,	w3_d438e4650
auch	w5_d438e4653
Vorreitung	w7_d438e4656
der	w9_d438e4659
obge	w11_d438e4662
dachten	w1_d438e4667
Kaufmannschaft,	w3_d438e4670
nach	w5_d438e4673
Dero	w7_d438e4676
Palais	w9_d438e4679
erhoben.	w1_d438e4684
</p>
<head id="h2_d438e4690">
Aus	w1_d438e4694
Thüringen	w3_d438e4697
20.	w5_d438e4700
März.	w7_d438e4703
</head>
<p id="p4_d438e4706">
Die	w1_d438e4710
in	w3_d438e4713
diesen	w5_d438e4716
Gegenden	w7_d438e4719
vom	w9_d438e4722
Luzinski	w11_d438e4725
schen	w1_d438e4730
Corps	w3_d438e4733
bey	w5_d438e4736
Saalfeld	w7_d438e4739
und	w9_d438e4742
deren	w11_d438e4745
Or	w13_d438e4749
ten	w1_d438e4754
liegende	w3_d438e4757
Trupen	w5_d438e4760
sind	w7_d438e4763
gegen	w9_d438e4766
Graitz	w11_d438e4769
schon	w13_d438e4773
im	w1_d438e4779
Marsch,	w3_d438e4782
dagegen	w5_d438e4785
ziehen	w7_d438e4788
die	w9_d438e4791
in	w11_d438e4794
Naum	w13_d438e4798
burg	w1_d438e4803
und	w3_d438e4806
Leipzig	w5_d438e4809
stehende	w7_d438e4812
Preußen	w9_d438e4815
ihre	w11_d438e4818
un	w13_d438e4822
terhalb	w1_d438e4827
ligende	w3_d438e4830
Corps	w5_d438e4833
auch	w7_d438e4836
an	w9_d438e4839
sich,	w11_d438e4842
so,	w13_d438e4846
daß	w1_d438e4851
in	w3_d438e4854
diesen	w5_d438e4857
Tagen	w7_d438e4860
schon	w9_d438e4863
etwas	w11_d438e4866
zwischen	w13_d438e4870
solchen	w1_d438e4876
vorgehen	w3_d438e4879
muß.	w5_d438e4882
Die	w7_d438e4885
vom	w9_d438e4888
Alliirten	w11_d438e4891
Corps	w1_d438e4896
in	w3_d438e4899
Eisenach,	w5_d438e4902
Vach	w7_d438e4905
und	w9_d438e4908
andern	w11_d438e4911
Or	w13_d438e4915
ten	w1_d438e4920
an	w3_d438e4923
der	w5_d438e4926
Werra	w7_d438e4929
gelegene	w9_d438e4932
Trupen	w11_d438e4935
haben	w13_d438e4939
sich	w1_d438e4944
auch	w3_d438e4947
schon	w5_d438e4950
aus	w7_d438e4953
ihren	w9_d438e4956
Quartieren	w11_d438e4959
ge	w13_d438e4963
macht,	w1_d438e4969
und	w3_d438e4972
nach	w5_d438e4975
der	w7_d438e4978
Gegend	w9_d438e4981
Fulda	w11_d438e4984
gezo	w13_d438e4988
gen,	w1_d438e4993
dagegen	w3_d438e4996
haben	w5_d438e4999
andere	w7_d438e5002
von	w9_d438e5005
diesen	w11_d438e5008
Corps	w13_d438e5012
die	w1_d438e5017
Quartiere	w3_d438e5020
wieder	w5_d438e5023
stark	w7_d438e5026
besetzt.	w9_d438e5029
Um	w11_d438e5032
diese	w1_d438e5037
Trupen	w3_d438e5040
lassen	w5_d438e5043
sich	w7_d438e5046
die	w9_d438e5049
Würtembergi	w11_d438e5052
sche	w1_d438e5058
leichte	w3_d438e5061
Völker	w5_d438e5064
sehen.	w7_d438e5067
</p>
<head id="h2_d438e5074">
Hamburg	w1_d438e5078
19.	w3_d438e5081
März.	w5_d438e5084
</head>
<p id="p4_d438e5087">
Auf	w1_d438e5091
der	w3_d438e5094
Jnsul	w5_d438e5097
Rügen	w7_d438e5100
erwartet	w9_d438e5103
man	w11_d438e5106
in	w13_d438e5110
wenig	w1_d438e5115
Tagen	w3_d438e5118
10000.	w5_d438e5121
Mann	w7_d438e5124
Schwedischer	w9_d438e5127
Trupen.	w1_d438e5132
Man	w3_d438e5135
hat	w5_d438e5138
sichere	w7_d438e5141
Nachricht,	w9_d438e5144
daß	w11_d438e5147
sie	w1_d438e5153
sich	w3_d438e5156
bereits	w5_d438e5159
in	w7_d438e5162
Schonen	w9_d438e5165
versammelt,	w11_d438e5168
und	w13_d438e5172
nächster	w1_d438e5177
Tagen	w3_d438e5180
übersehzet	w5_d438e5183
werden	w7_d438e5186
sollen	w9_d438e5189
</p>
<p id="p10_d438e5202">
Ueberhaupt	w1_d438e5206
erwartet	w3_d438e5209
die	w5_d438e5212
Armee	w7_d438e5215
bbos	w9_d438e5218
die	w11_d438e5221
Ankunft	w1_d438e5226
dieser	w3_d438e5229
Verstärkung,	w5_d438e5232
um	w7_d438e5235
sogleich	w9_d438e5238
die	w11_d438e5241
Campagne	w1_d438e5246
zu	w3_d438e5249
eröfnen,	w5_d438e5252
deren	w7_d438e5255
erstere	w9_d438e5258
Ope	w11_d438e5261
rationen	w1_d438e5267
vornehmlich	w3_d438e5270
gegen	w5_d438e5273
die	w7_d438e5276
Markt	w9_d438e5279
Bran	w11_d438e5282
denburg	w1_d438e5287
gerichtet	w3_d438e5290
seyn	w5_d438e5293
werden.	w7_d438e5296
</p>
<head id="h2_d438e5302">
Aus	w1_d438e5306
dem	w3_d438e5309
Brandenburgischen	w5_d438e5312
den	w7_d438e5315
18.	w1_d438e5320
März.	w3_d438e5323
</head>
<p id="p4_d438e5326">
Die	w1_d438e5330
Artillerie	w3_d438e5333
so	w5_d438e5336
zu	w7_d438e5339
dem	w9_d438e5342
Corps	w11_d438e5345
bestim	w13_d438e5349
met	w1_d438e5354
ist,	w3_d438e5357
welches	w5_d438e5360
unter	w7_d438e5363
der	w9_d438e5366
Anführung	w11_d438e5369
des	w13_d438e5373
Prinzens	w1_d438e5378
Heinrich	w3_d438e5381
wider	w5_d438e5384
die	w7_d438e5387
Rußen	w9_d438e5390
agiren	w11_d438e5393
solte,	w1_d438e5399
ist	w3_d438e5402
bereits	w5_d438e5405
von	w7_d438e5408
Berlin	w9_d438e5411
aufgebrochen.	w11_d438e5414
Es	w1_d438e5419
sammlet	w3_d438e5422
sich	w5_d438e5425
eine	w7_d438e5428
zimmliche	w9_d438e5431
Menge	w11_d438e5434
Preußischer	w1_d438e5439
Trupen	w3_d438e5442
unweit	w5_d438e5445
Stargardt.	w7_d438e5448
Der	w9_d438e5451
General	w1_d438e5456
Ramin	w3_d438e5459
trachtet	w5_d438e5462
mit	w7_d438e5465
einem	w9_d438e5468
Deta	w11_d438e5471
schement	w1_d438e5477
in	w3_d438e5480
Pohlen	w5_d438e5483
zu	w7_d438e5486
dringen,	w9_d438e5489
um	w11_d438e5492
allda	w13_d438e5496
selbst	w1_d438e5501
die	w3_d438e5504
Rußen	w5_d438e5507
zu	w7_d438e5510
observiren.	w9_d438e5513
</p>
<head id="h2_d438e5519">
Neapolis	w1_d438e5523
1.	w3_d438e5526
März.	w5_d438e5529
</head>
<p id="p4_d438e5532">
Der	w1_d438e5536
commandirende	w3_d438e5539
General	w5_d438e5542
unserer	w7_d438e5545
Tru	w9_d438e5548
pen,	w1_d438e5553
welcher	w3_d438e5556
sich	w5_d438e5559
zu	w7_d438e5562
Sora	w9_d438e5565
und	w11_d438e5568
St.	w13_d438e5572
Ger	w15_d438e5575
mano	w1_d438e5580
befindet,	w3_d438e5583
ist	w5_d438e5586
anhero	w7_d438e5589
gekommen,	w9_d438e5592
von	w11_d438e5595
dem	w1_d438e5601
Zustande	w3_d438e5604
derselben,	w5_d438e5607
und	w7_d438e5610
absonderlich	w9_d438e5613
von	w1_d438e5618
dem	w3_d438e5621
zu	w5_d438e5624
Verhütung	w7_d438e5627
der	w9_d438e5630
Desertion	w11_d438e5633
gezo	w13_d438e5637
genen	w1_d438e5642
Cordon,	w3_d438e5645
der	w5_d438e5648
Regierung	w7_d438e5651
Bericht	w9_d438e5654
zu	w11_d438e5657
erstatten,	w1_d438e5662
und	w3_d438e5665
ist	w5_d438e5668
nach	w7_d438e5671
einem	w9_d438e5674
Aufenthalte	w11_d438e5677
von	w1_d438e5683
etlichen	w3_d438e5686
Tagen	w5_d438e5689
gestern	w7_d438e5692
dahin	w9_d438e5695
wieder	w11_d438e5698
zurückgekehret.	w1_d438e5703
Dem	w3_d438e5706
Vernehmen	w5_d438e5709
nach	w7_d438e5712
sol	w9_d438e5715
len	w1_d438e5720
zwey	w3_d438e5723
unserer	w5_d438e5726
Kriegs=schiffe	w7_d438e5729
ausgerüstet	w9_d438e5732
werden,	w1_d438e5737
welche,	w3_d438e5740
wie	w5_d438e5743
einige	w7_d438e5746
vorgeben,	w9_d438e5749
nach	w11_d438e5752
der	w1_d438e5758
Levante,	w3_d438e5761
oder,	w5_d438e5764
wie	w7_d438e5767
andere	w9_d438e5770
behaupten,	w11_d438e5773
nach	w1_d438e5778
Spanien	w3_d438e5781
gehen	w5_d438e5784
sollen.	w7_d438e5787
Aus	w9_d438e5790
Sici	w11_d438e5793
lien	w1_d438e5798
sind	w3_d438e5801
zu	w5_d438e5804
Puzzuols	w7_d438e5807
4.	w9_d438e5810
grosse	w11_d438e5813
marmorne	w13_d438e5817
Colonnen	w1_d438e5822
zu	w3_d438e5825
dem	w5_d438e5828
Königl.	w7_d438e5831
Palaste	w9_d438e5834
zu	w11_d438e5837
Co	w13_d438e5841
serza	w1_d438e5847
wiederum	w3_d438e5850
angelanget,	w5_d438e5853
nach	w7_d438e5856
welchem	w9_d438e5859
Austschloß	w1_d438e5864
sich	w3_d438e5867
der	w5_d438e5870
Königl.	w7_d438e5873
Hof	w9_d438e5876
erhoben	w11_d438e5879
hat,	w1_d438e5884
um	w3_d438e5887
sich	w5_d438e5890
40.	w7_d438e5893
Tage	w9_d438e5896
daselbst	w11_d438e5899
aufzuhal	w13_d438e5903
sen.	w1_d438e5908
Gestern	w3_d438e5911
sind	w5_d438e5914
unsere	w7_d438e5917
Kebequen	w9_d438e5920
aber	w11_d438e5923
Hauls	w1_d438e5929
zum	w3_d438e5932
Kreutzen	w5_d438e5935
ausgeloffen,	w7_d438e5938
weil	w9_d438e5941
man	w11_d438e5944
Nachricht	w1_d438e5949
erhalten	w3_d438e5952
hat,	w5_d438e5955
daß	w7_d438e5958
sich	w9_d438e5961
2.	w11_d438e5964
Bar	w13_d438e5968
barische	w1_d438e5973
Corsaren	w3_d438e5976
in	w5_d438e5979
unsern	w7_d438e5982
Gewässern	w9_d438e5985
ha	w11_d438e5988
den	w1_d438e5993
bücken	w3_d438e5996
lassen.	w5_d438e5999
Vor	w7_d438e6002
einigen	w9_d438e6005
Tagen	w11_d438e6008
hat	w13_d438e6012
r	w1_d438e6018
Satrles	w3_d438e6021
eudst	w5_d438e6024
ueda	w7_d438e6027
Fauk	w9_d438e6030
gesket	w11_d438e6033
und	w13_d438e6037
</p>
<head id="h2_d438e6043">
durch	w1_d438e6047
seine	w3_d438e6050
Lava	w5_d438e6053
die	w7_d438e6056
benachbarten	w9_d438e6059
Gegen	w11_d438e6062
den	w1_d438e6067
sehr	w3_d438e6070
beschädiget.	w5_d438e6073
Auszug=schreiben	w1_d438e6078
eines	w3_d438e6081
Engländi	w5_d438e6084
schen	w1_d438e6090
See=officiers	w3_d438e6093
von	w5_d438e6096
Pondi	w7_d438e6099
chery	w1_d438e6104
13.	w3_d438e6107
Aug.	w5_d438e6110
1759.	w7_d438e6113
</head>
<p id="p4_d438e6116">
Gestern	w1_d438e6120
bekam	w3_d438e6123
ich	w5_d438e6126
Briefe	w7_d438e6129
von	w9_d438e6132
Bombay,	w11_d438e6135
in	w1_d438e6140
welchen	w3_d438e6143
mir	w5_d438e6146
berichtet	w7_d438e6149
wurde,	w9_d438e6152
daß	w11_d438e6155
man	w13_d438e6159
alldorten	w1_d438e6164
täglich	w3_d438e6167
beförchte,	w5_d438e6170
