<doc id="wr_1762-02-03" attrs="word" year="1762" month="02" day="03" corpus="2">
<head id="h2_d627e3760">
Madrit,	w1_d627e3764
auf	w9_d627e4314
alle	w11_d627e4317
frem	w13_d627e4321
de	w1_d627e4327
Schiffe	w3_d627e4330
ein	w5_d627e4333
Beschlag	w7_d627e4336
geleget,	w9_d627e4339
und	w11_d627e4342
sie	w13_d627e4346
ben	w1_d627e4351
Laglische	w3_d627e4354
Schifs=hauptleute	w5_d627e4357
gefäng	w7_d627e4360
lich	w1_d627e4365
angehalten.	w3_d627e4368
Von	w5_d627e4371
Ferrol	w7_d627e4374
liefen	w9_d627e4377
12.	w11_d627e4380
Spanische	w1_d627e4385
Kreuz=fahren	w3_d627e4388
aus.	w5_d627e4391
</p>
<head id="h2_d627e4397">
Dünkirchen	w1_d627e4401
16.	w3_d627e4404
Jan.	w5_d627e4407
</head>
<p id="p4_d627e4410">
Ein	w1_d627e4414
hiesiger	w3_d627e4417
Handels=mann,	w5_d627e4420
Namens	w7_d627e4423
Philipp	w1_d627e4428
Duvorque,	w3_d627e4431
welcher	w5_d627e4434
das	w7_d627e4437
Raub	w9_d627e4440
schiff,	w1_d627e4445
die	w3_d627e4448
Bosheit,	w5_d627e4451
von	w7_d627e4454
10.	w9_d627e4457
4pfündigen	w11_d627e4460
Canonen	w1_d627e4466
ausgerüstet,	w3_d627e4469
bekame	w5_d627e4472
dieser	w7_d627e4475
Ta	w9_d627e4478
gen	w1_d627e4483
nachstehenden	w3_d627e4486
von	w5_d627e4489
der	w7_d627e4492
Rhede	w9_d627e4495
von	w11_d627e4498
Mor	w13_d627e4502
</p>
<p id="p10_d627e4515">
laix	w1_d627e4519
datirten	w3_d627e4522
Brief	w5_d627e4525
von	w7_d627e4528
dem	w9_d627e4531
Commandan	w11_d627e4534
ten	w1_d627e4539
dieses	w3_d627e4542
Schiffes,	w5_d627e4545
Peter	w7_d627e4548
Sauve,	w9_d627e4551
in	w11_d627e4554
wel	w13_d627e4558
chem	w1_d627e4563
der	w3_d627e4566
eigentliche	w5_d627e4569
Hergang	w7_d627e4572
eines	w9_d627e4575
seltsa	w11_d627e4578
men	w1_d627e4584
Vorfalls	w3_d627e4587
umständlich	w5_d627e4590
beschrieben	w7_d627e4593
wird.	w9_d627e4596
</p>
<p id="p12_d627e4600">
Die	w1_d627e4604
zur	w3_d627e4607
Abreiß	w5_d627e4610
der	w7_d627e4613
Post	w9_d627e4616
bestimmte	w11_d627e4619
Stun	w13_d627e4623
de	w1_d627e4628
läßt	w3_d627e4631
mir	w5_d627e4634
kaum	w7_d627e4637
so	w9_d627e4640
viele	w11_d627e4643
Zeit	w13_d627e4647
übrig,	w15_d627e4650
ih	w17_d627e4653
nen	w1_d627e4658
von	w3_d627e4661
meiner	w5_d627e4664
in	w7_d627e4667
diesem	w9_d627e4670
Hafen	w11_d627e4673
genom	w13_d627e4677
menen	w1_d627e4683
unglücklichen	w3_d627e4686
Rettung,	w5_d627e4689
die	w7_d627e4692
Nach	w9_d627e4695
richt	w1_d627e4700
zu	w3_d627e4703
übermachen.	w5_d627e4706
Als	w7_d627e4709
ich	w9_d627e4712
mich	w11_d627e4715
den	w13_d627e4719
26.	w1_d627e4724
Decembr.	w3_d627e4727
auf	w5_d627e4730
der	w7_d627e4733
Anhöhe	w9_d627e4736
von	w11_d627e4739
unge	w13_d627e4743
fähr	w1_d627e4748
49.	w3_d627e4751
Graden	w5_d627e4754
und	w7_d627e4757
eben	w9_d627e4760
so	w11_d627e4763
vielen	w13_d627e4767
Mi	w15_d627e4770
nuten	w1_d627e4776
befande,	w3_d627e4779
begegnete	w5_d627e4782
ich	w7_d627e4785
einem	w9_d627e4788
Engli	w11_d627e4791
schen	w1_d627e4796
Kanffarthey=schiffe	w3_d627e4799
von	w5_d627e4802
16.	w7_d627e4805
6pfün	w9_d627e4808
digen	w1_d627e4813
Canonen:	w3_d627e4816
dieses	w5_d627e4819
griffe	w7_d627e4822
ich	w9_d627e4825
also	w11_d627e4828
gleich	w13_d627e4832
an,	w1_d627e4837
und	w3_d627e4840
ware	w5_d627e4843
so	w7_d627e4846
glücklich,	w9_d627e4849
dasselbe	w11_d627e4852
nach	w13_d627e4856
einem	w1_d627e4862
3.	w3_d627e4865
viertel=stündigen	w5_d627e4868
Gefechte,	w7_d627e4871
bey	w9_d627e4874
welchem	w1_d627e4879
ein	w3_d627e4882
einziger	w5_d627e4885
von	w7_d627e4888
meinen	w9_d627e4891
Leuten	w11_d627e4894
ver	w13_d627e4898
wundet	w1_d627e4903
worden,	w3_d627e4906
zum	w5_d627e4909
Weichen	w7_d627e4912
zu	w9_d627e4915
zwingen;	w11_d627e4918
Nachdem	w1_d627e4923
aber	w3_d627e4926
dieses	w5_d627e4929
Schiff	w7_d627e4932
bereits	w9_d627e4935
bey	w11_d627e4938
geleget	w1_d627e4944
hatte,	w3_d627e4947
wurden	w5_d627e4950
unvermuthet	w7_d627e4953
aus	w9_d627e4956
demselben	w1_d627e4961
2.	w3_d627e4964
Canonen	w5_d627e4967
auf	w7_d627e4970
das	w9_d627e4973
meinige	w11_d627e4976
gelöset,	w1_d627e4981
welches	w3_d627e4984
hierdurch	w5_d627e4987
5.	w7_d627e4990
Löcher	w9_d627e4993
un	w11_d627e4996
term	w1_d627e5001
Wasser	w3_d627e5004
bekommen,	w5_d627e5007
ich	w7_d627e5010
legte	w9_d627e5013
mich	w11_d627e5016
denen	w1_d627e5022
Feinden	w3_d627e5025
hierauf	w5_d627e5028
also	w7_d627e5031
gleich	w9_d627e5034
vor	w11_d627e5037
den	w13_d627e5041
Wind,	w1_d627e5046
und	w3_d627e5049
beobachtete	w5_d627e5052
zu	w7_d627e5055
gleicher	w9_d627e5058
Zeit,	w11_d627e5061
daß	w1_d627e5066
aus	w3_d627e5069
einem	w5_d627e5072
dasigen	w7_d627e5075
unweit	w9_d627e5078
der	w11_d627e5081
Pulver	w13_d627e5085
cammer	w1_d627e5090
gelegenem	w3_d627e5093
Zimmer	w5_d627e5096
eine	w7_d627e5099
grosse	w9_d627e5102
Flam	w11_d627e5105
me	w1_d627e5111
nebst	w3_d627e5114
einem	w5_d627e5117
dichten	w7_d627e5120
Rauch	w9_d627e5123
heraus	w11_d627e5126
brache;	w1_d627e5131
es	w3_d627e5134
näherte	w5_d627e5137
sich	w7_d627e5140
dem	w9_d627e5143
meinigen,	w11_d627e5146
um	w13_d627e5150
sich	w1_d627e5155
anzuhangen,	w3_d627e5158
und	w5_d627e5161
uns	w7_d627e5164
ebenfalls	w9_d627e5167
mit	w11_d627e5170
in	w1_d627e5175
die	w3_d627e5178
Luft	w5_d627e5181
zu	w7_d627e5184
sprengen,	w9_d627e5187
massen	w11_d627e5190
dasselbe	w13_d627e5194
bereits	w1_d627e5200
nicht	w3_d627e5203
weiter	w5_d627e5206
als	w7_d627e5209
eine	w9_d627e5212
Schiffslän	w11_d627e5215
ge	w1_d627e5220
von	w3_d627e5223
uns	w5_d627e5226
entfernet	w7_d627e5229
ware;	w9_d627e5232
endlich	w11_d627e5235
zer	w13_d627e5239
platzte	w1_d627e5244
es	w3_d627e5247
mit	w5_d627e5250
einem	w7_d627e5253
entsetzlichen	w9_d627e5256
Gerassel,	w11_d627e5259
die	w1_d627e5264
hievon	w3_d627e5267
in	w5_d627e5270
die	w7_d627e5273
Luft	w9_d627e5276
geführte	w11_d627e5279
Trümmer	w13_d627e5283
flogen	w1_d627e5289
über	w3_d627e5292
meine	w5_d627e5295
Tauwerke	w7_d627e5298
hinüber,	w9_d627e5301
mei	w11_d627e5304
ne	w1_d627e5309
Masten	w3_d627e5312
und	w5_d627e5315
Seegel=stangen	w7_d627e5318
wurden	w9_d627e5321
grösten	w1_d627e5326
theils	w3_d627e5329
zersplittert,	w5_d627e5332
und	w7_d627e5335
fielen	w9_d627e5338
nebst	w11_d627e5341
allerhand	w1_d627e5346
traurigen	w3_d627e5349
Ueberbleibseln	w5_d627e5352
des	w7_d627e5355
auf	w9_d627e5358
geflogenen	w1_d627e5364
Engländischen	w3_d627e5367
Schiffes,	w5_d627e5370
vielen	w7_d627e5373
abgerissenen	w1_d627e5378
Armen	w3_d627e5381
und	w5_d627e5384
Füssen,	w7_d627e5387
einem	w9_d627e5390
ungefähr	w1_d627e5395
jährigen	w3_d627e5398
Kind,	w5_d627e5401
einer	w7_d627e5404
Menge	w9_d627e5407
</p>
<p id="p14_d627e5410">
Papiere,	w1_d627e5414
zwey	w3_d627e5417
Spanischen	w5_d627e5420
Pistolenl,	w7_d627e5423
Caffe	w9_d627e5426
und	w1_d627e5431
Cacao	w3_d627e5434
auf	w5_d627e5437
das	w7_d627e5440
Verdeck	w9_d627e5443
meines	w11_d627e5446
unterha	w13_d627e5450
benden	w1_d627e5455
Schiffes,	w3_d627e5458
2.	w5_d627e5461
grosse	w7_d627e5464
Stücke	w9_d627e5467
von	w11_d627e5470
dem	w13_d627e5474
zerschmetterten	w1_d627e5480
Eugländischen	w3_d627e5483
Holzwerk	w5_d627e5486
fie	w7_d627e5489
len	w1_d627e5494
auf	w3_d627e5497
meinen	w5_d627e5500
kleinen	w7_d627e5503
Mastbaum,	w9_d627e5506
und	w11_d627e5509
zer	w13_d627e5513
schlugen	w1_d627e5518
selben	w3_d627e5521
in	w5_d627e5524
2.	w7_d627e5527
Trümmer,	w9_d627e5530
ja	w11_d627e5533
sogar	w13_d627e5537
mein	w1_d627e5542
grosser	w3_d627e5545
Mast	w5_d627e5548
wurde	w7_d627e5551
von	w9_d627e5554
denen	w11_d627e5557
Flam	w13_d627e5561
men	w1_d627e5567
fast	w3_d627e5570
gänzlich	w5_d627e5573
verwüstet,	w7_d627e5576
von	w9_d627e5579
meinen	w11_d627e5582
Leuten	w1_d627e5587
aber	w3_d627e5590
nicht	w5_d627e5593
mehr	w7_d627e5596
als	w9_d627e5599
3.	w11_d627e5602
verwundet;	w13_d627e5606
Der	w1_d627e5611
Schlag	w3_d627e5614
ware	w5_d627e5617
jedoch	w7_d627e5620
so	w9_d627e5623
heftig,	w11_d627e5626
daß	w13_d627e5630
es	w15_d627e5633
schiene,	w1_d627e5638
als	w3_d627e5641
wollte	w5_d627e5644
unser	w7_d627e5647
Schif	w9_d627e5650
sogleich	w11_d627e5653
mit	w13_d627e5657
scheittern,	w1_d627e5663
alle	w3_d627e5666
Schieß	w5_d627e5669
und	w7_d627e5672
Luft=löcher	w9_d627e5675
öf	w11_d627e5678
neten	w1_d627e5683
sich	w3_d627e5686
auf	w5_d627e5689
einmal,	w7_d627e5692
und	w9_d627e5695
alle	w11_d627e5698
Clammern	w13_d627e5702
und	w1_d627e5707
Beschläge	w3_d627e5710
wurden	w5_d627e5713
losgeriessen,	w7_d627e5716
das	w9_d627e5719
Un	w11_d627e5722
ter=theil	w1_d627e5727
von	w3_d627e5730
diesem	w5_d627e5733
Kauffarthey=schiffe	w7_d627e5736
ver	w9_d627e5739
sank	w1_d627e5745
hierauf	w3_d627e5748
in	w5_d627e5751
einem	w7_d627e5754
Augenblick.	w9_d627e5757
So	w11_d627e5760
viel	w13_d627e5764
man	w1_d627e5769
aus	w3_d627e5772
denen	w5_d627e5775
gefundenen	w7_d627e5778
Papieren	w9_d627e5781
schlies	w11_d627e5784
sen	w1_d627e5789
können,	w3_d627e5792
hieß	w5_d627e5795
dieses	w7_d627e5798
Schif	w9_d627e5801
der	w11_d627e5804
König	w13_d627e5808
Georg	w1_d627e5813
von	w3_d627e5816
Londen,	w5_d627e5819
und	w7_d627e5822
ware	w9_d627e5825
auf	w11_d627e5828
der	w13_d627e5832
Rei	w15_d627e5835
se	w1_d627e5841
von	w3_d627e5844
Philadelphia	w5_d627e5847
nacher	w7_d627e5850
Londen	w9_d627e5853
begriffen;	w11_d627e5856
es	w1_d627e5861
befanden	w3_d627e5864
sich	w5_d627e5867
ausser	w7_d627e5870
dem	w9_d627e5873
Capitain	w11_d627e5876
D'Au	w13_d627e5880
gee	w1_d627e5885
mit	w3_d627e5888
Einbegrif	w5_d627e5891
der	w7_d627e5894
Passagiers	w9_d627e5897
ungefähr	w11_d627e5900
60.	w1_d627e5905
Mann	w3_d627e5908
darauf,	w5_d627e5911
von	w7_d627e5914
welchen	w9_d627e5917
keine	w11_d627e5920
See	w13_d627e5924
le	w1_d627e5930
gerettet	w3_d627e5933
worden.	w5_d627e5936
Nach	w7_d627e5939
Aussage	w9_d627e5942
meiner	w11_d627e5945
eben	w1_d627e5950
auf	w3_d627e5953
dem	w5_d627e5956
Mast=korb	w7_d627e5959
die	w9_d627e5962
Wache	w11_d627e5965
gehab	w13_d627e5969
ten	w1_d627e5974
Mannschaft,	w3_d627e5977
hat	w5_d627e5980
eine	w7_d627e5983
Person,	w9_d627e5986
welche	w11_d627e5989
sie	w13_d627e5993
für	w1_d627e5998
den	w3_d627e6001
Capitain,	w5_d627e6004
oder	w7_d627e6007
einen	w9_d627e6010
anderen	w11_d627e6013
vor	w13_d627e6017
nehmen	w1_d627e6023
Officier	w3_d627e6026
oder	w5_d627e6029
Passagier	w7_d627e6032
gehalten,	w9_d627e6035
die	w1_d627e6040
beyde	w3_d627e6043
Canonen	w5_d627e6046
losgebrannt,	w7_d627e6049
und	w9_d627e6052
Feuer	w11_d627e6055
in	w1_d627e6060
die	w3_d627e6063
Pulfer=cammer	w5_d627e6066
geworfen,	w7_d627e6069
nachdeme	w9_d627e6072
derselbe	w1_d627e6077
den	w3_d627e6080
grösten	w5_d627e6083
Theil	w7_d627e6086
der	w9_d627e6089
Besatzung	w11_d627e6092
auf	w13_d627e6096
das	w1_d627e6102
Voder=theil	w3_d627e6105
des	w5_d627e6108
Schiffes	w7_d627e6111
geschicket	w9_d627e6114
hatte.	w11_d627e6117
Jch	w1_d627e6122
meines	w3_d627e6125
Orts	w5_d627e6128
ware	w7_d627e6131
alsogleich	w9_d627e6134
auf	w11_d627e6137
die	w13_d627e6141
Ver	w15_d627e6144
stopfung	w1_d627e6149
der	w3_d627e6152
unter	w5_d627e6155
dem	w7_d627e6158
Wasser	w9_d627e6161
bekommenen	w11_d627e6164
Oefnungen	w1_d627e6169
bedacht;	w3_d627e6172
am	w5_d627e6175
meisten	w7_d627e6178
aber	w9_d627e6181
be	w11_d627e6184
daure	w1_d627e6190
ich,	w3_d627e6193
daß	w5_d627e6196
mir	w7_d627e6199
nicht	w9_d627e6202
möglich	w11_d627e6205
ware,	w13_d627e6209
vur	w15_d627e6212
einen	w1_d627e6217
einzigen	w3_d627e6220
von	w5_d627e6223
diesen	w7_d627e6226
unglücklichen	w9_d627e6229
Eng	w11_d627e6232
ländern	w1_d627e6237
zu	w3_d627e6240
retten,	w5_d627e6243
Es	w7_d627e6246
wurde	w9_d627e6249
mir	w11_d627e6252
eine	w13_d627e6256
ver	w15_d627e6259
gebliche	w1_d627e6264
Mühe	w3_d627e6267
seyn,	w5_d627e6270
wann	w7_d627e6273
ich	w9_d627e6276
trachten	w11_d627e6279
woll	w13_d627e6283
te	w1_d627e6289
ihnen	w3_d627e6292
eine	w5_d627e6295
lebhaftere	w7_d627e6298
Abschilderung	w9_d627e6301
von	w11_d627e6304
dieser	w1_d627e6309
traurigen	w3_d627e6312
Begebenheit	w5_d627e6315
zu	w7_d627e6318
machen;	w9_d627e6321
stellen	w1_d627e6326
sie	w3_d627e6329
sich	w5_d627e6332
dannenhero	w7_d627e6335
nur	w9_d627e6338
die	w11_d627e6341
allerschröck	w13_d627e6345
lichste	w1_d627e6350
</p>
<p id="p18_d627e6355">
lichste	w1_d627e6359
Würkung	w3_d627e6362
vor,	w5_d627e6365
so	w7_d627e6368
das	w9_d627e6371
in	w11_d627e6374
so	w13_d627e6378
viel	w15_d627e6381
Pul	w17_d627e6384
fer	w1_d627e6389
geworfene	w3_d627e6392
Feuer	w5_d627e6395
verursachen	w7_d627e6398
kan;	w9_d627e6401
rc.	w11_d627e6404
Peter	w1_d627e6409
Sauve.	w3_d627e6412
</p>
<head id="h2_d627e6418">
Versailles	w1_d627e6422
13.	w3_d627e6425
Januarii.	w5_d627e6428
</head>
<p id="p4_d627e6431">
Vorgestern	w1_d627e6435
wart=te	w3_d627e6438
unter	w5_d627e6441
Begleitung	w7_d627e6444
des	w9_d627e6447
Herzogs	w1_d627e6452
von	w3_d627e6455
Choiseul,	w5_d627e6458
der	w7_d627e6461
ehemalige	w9_d627e6464
Spa	w11_d627e6467
nische	w1_d627e6472
Abgefandte	w3_d627e6475
in	w5_d627e6478
England,	w7_d627e6481
Herr	w9_d627e6484
Graf	w11_d627e6487
von	w1_d627e6493
Fuentes,	w3_d627e6496
Sr.	w5_d627e6499
Allerchristlichsten	w7_d627e6502
Ma	w9_d627e6505
jest.	w1_d627e6510
und	w3_d627e6513
Allerhöchst=Dero	w5_d627e6516
ganzem	w7_d627e6519
Hause	w9_d627e6522
auf.	w11_d627e6525
</p>
<p id="p6_d627e6528">
Der	w1_d627e6532
Herr	w3_d627e6535
Graf	w5_d627e6538
von	w7_d627e6541
Eu,	w9_d627e6544
General	w11_d627e6547
der	w13_d627e6551
in	w15_d627e6554
Französischen	w1_d627e6559
Diensten	w3_d627e6562
stehenden	w5_d627e6565
Schweitzer	w7_d627e6568
und	w1_d627e6573
Graubünder,	w3_d627e6576
arbeitet	w5_d627e6579
an	w7_d627e6582
Wiederhet	w9_d627e6585
stellung	w1_d627e6591
der	w3_d627e6594
Rechte	w5_d627e6597
und	w7_d627e6600
Freyheiten,	w9_d627e6603
welche	w11_d627e6606
denenfelden,	w1_d627e6611
von	w3_d627e6614
ihrem	w5_d627e6617
ersten	w7_d627e6620
Bunde,	w9_d627e6623
mit	w11_d627e6626
dem	w1_d627e6631
Könige	w3_d627e6634
Carl	w5_d627e6637
dem	w7_d627e6640
Siebenden,	w9_d627e6643
1433.	w11_d627e6646
an,	w1_d627e6651
zugestanden,	w3_d627e6654
und	w5_d627e6657
durch	w7_d627e6660
dessen	w9_d627e6663
Nach	w11_d627e6666
folger	w1_d627e6672
bis	w3_d627e6675
1663.	w5_d627e6678
erneuert	w7_d627e6681
worden,	w9_d627e6684
da	w11_d627e6687
Lud	w13_d627e6691
wig	w1_d627e6696
der	w3_d627e6699
Vierzehende	w5_d627e6702
und	w7_d627e6705
die	w9_d627e6708
berühmte	w11_d627e6711
Ge	w13_d627e6715
sandtschaft	w1_d627e6720
der	w3_d627e6723
13.	w5_d627e6726
Cantons,	w7_d627e6729
in	w9_d627e6732
der	w11_d627e6735
Kirche	w13_d627e6739
U.	w1_d627e6744
L.	w3_d627e6747
Frauen,	w5_d627e6750
zu	w7_d627e6753
Paris,	w9_d627e6756
die	w11_d627e6759
letzte	w13_d627e6763
Allianz	w15_d627e6766
beschwuren;	w1_d627e6772
der	w3_d627e6775
gedachte	w5_d627e6778
Herr	w7_d627e6781
Graf	w9_d627e6784
von	w11_d627e6787
Eu,	w13_d627e6791
schmeichelt	w1_d627e6796
sich,	w3_d627e6799
um	w5_d627e6802
desto	w7_d627e6805
mehr,	w9_d627e6808
sein	w11_d627e6811
Vor	w13_d627e6815
haben	w1_d627e6820
zu	w3_d627e6823
Stande	w5_d627e6826
zu	w7_d627e6829
bringen,	w9_d627e6832
als	w11_d627e6835
die	w13_d627e6839
Schwei	w15_d627e6842
tzer	w1_d627e6847
während	w3_d627e6850
dem	w5_d627e6853
Lauf	w7_d627e6856
des	w9_d627e6859
jetzigen	w11_d627e6862
Krieges,	w13_d627e6866
gleich	w1_d627e6872
in	w3_d627e6875
denen	w5_d627e6878
vorigen	w7_d627e6881
Zeiten,	w9_d627e6884
die	w11_d627e6887
aufrich	w13_d627e6891
tigste	w1_d627e6896
Proben	w3_d627e6899
ihrer	w5_d627e6902
unverruckten	w7_d627e6905
Treue,	w9_d627e6908
an	w11_d627e6911
den	w1_d627e6916
Tag	w3_d627e6919
geleget,	w5_d627e6922
und	w7_d627e6925
in	w9_d627e6928
denen	w11_d627e6931
Diensten	w13_d627e6935
un	w15_d627e6938
seres	w1_d627e6943
Monarchens	w3_d627e6946
eben	w5_d627e6949
der	w7_d627e6952
Achtung,	w9_d627e6955
wie	w11_d627e6958
bey	w1_d627e6964
anderen	w3_d627e6967
Mächten,	w5_d627e6970
sich	w7_d627e6973
vollkommen	w9_d627e6976
wür	w11_d627e6979
dig	w1_d627e6984
machen.	w3_d627e6987
Spanien	w5_d627e6990
hat	w7_d627e6993
alleine	w9_d627e6996
4.	w11_d627e6999
Regi	w13_d627e7003
menter	w1_d627e7008
von	w3_d627e7011
dieser	w5_d627e7014
Nation,	w7_d627e7017
der	w9_d627e7020
König	w11_d627e7023
beyder	w13_d627e7027
Sicilien	w1_d627e7032
2.,	w3_d627e7035
und	w5_d627e7038
der	w7_d627e7041
König	w9_d627e7044
von	w11_d627e7047
Sardinien	w13_d627e7051
4.	w1_d627e7057
ohne	w3_d627e7060
die	w5_d627e7063
Trupen	w7_d627e7066
von	w9_d627e7069
solcher	w11_d627e7072
Völkerschaft	w13_d627e7076
zu	w1_d627e7081
rechnen,	w3_d627e7084
die	w5_d627e7087
in	w7_d627e7090
Holländischen	w9_d627e7093
Solde	w11_d627e7096
ste	w13_d627e7100
hen,	w1_d627e7105
und	w3_d627e7108
die	w5_d627e7111
österen	w7_d627e7114
Werbungen,	w9_d627e7117
welche	w11_d627e7120
die	w13_d627e7124
Preussen	w1_d627e7129
in	w3_d627e7132
der	w5_d627e7135
Schweitz	w7_d627e7138
anstellen.	w9_d627e7141
</p>
<head id="h2_d627e7147">
Paris	w1_d627e7151
15.	w3_d627e7154
Januarii.	w5_d627e7157
</head>
<p id="p4_d627e7160">
Die	w1_d627e7164
Dom=herren	w3_d627e7167
von	w5_d627e7170
Lyon,	w7_d627e7173
beschlossen	w9_d627e7176
in	w11_d627e7179
ihrer	w1_d627e7184
allgemeinen	w3_d627e7187
Versammlung,	w5_d627e7190
dem	w7_d627e7193
Köni	w9_d627e7196
ge	w1_d627e7201
mit	w3_d627e7204
einer	w5_d627e7207
Summa	w7_d627e7210
Geldes	w9_d627e7213
=ur	w11_d627e7216
selbstbe	w13_d627e7220
liebigen	w1_d627e7226
Verwendung	w3_d627e7229
für	w5_d627e7232
unsere	w7_d627e7235
Kriegs	w9_d627e7238
flotte	w1_d627e7243
ein	w3_d627e7246
freywilliges	w5_d627e7249
Geschänke	w7_d627e7252
zu	w9_d627e7255
machen,	w11_d627e7258
und	w1_d627e7263
liessen	w3_d627e7266
solche	w5_d627e7269
würklich	w7_d627e7272
dem	w9_d627e7275
Schatzmei	w11_d627e7278
</p>
<p id="p6_d627e7281">
ster,	w1_d627e7285
Herrn	w3_d627e7288
von	w5_d627e7291
la	w7_d627e7294
Michodiere,	w9_d627e7297
auszahlen.	w11_d627e7300
Alle	w1_d627e7305
Landes=stände,	w3_d627e7308
Gerichts=höfe	w5_d627e7311
und	w7_d627e7314
Ob	w9_d627e7317
rigkeitliche	w1_d627e7322
wie	w3_d627e7325
auch	w5_d627e7328
vornehme	w7_d627e7331
Personen	w9_d627e7334
zu	w11_d627e7337
Lyon,	w1_d627e7343
in	w3_d627e7346
Burgund	w5_d627e7349
und	w7_d627e7352
von	w9_d627e7355
Berry,	w11_d627e7358
eiferten	w13_d627e7362
diesem	w1_d627e7367
Muster	w3_d627e7370
der	w5_d627e7373
Liebe	w7_d627e7376
für	w9_d627e7379
das	w11_d627e7382
Vaterland,	w13_d627e7386
nach.	w1_d627e7391
