<doc id="wr_1761-05-20" attrs="word" year="1761" month="05" day="20" corpus="2">
<head id="h2_d554e2562">
Mayland	w1_d554e2566
Menge	w11_d554e4074
we	w13_d554e4078
gen	w1_d554e4083
allzugrosser	w3_d554e4086
Fatique	w5_d554e4089
weichen	w7_d554e4092
müssen.	w9_d554e4095
Der	w1_d554e4100
Herr	w3_d554e4103
von	w5_d554e4106
St.	w7_d554e4109
Croix	w9_d554e4112
hat	w11_d554e4115
sich	w13_d554e4119
unter	w15_d554e4122
Begünstigung	w1_d554e4128
der	w3_d554e4131
durch	w5_d554e4134
Natur	w7_d554e4137
und	w9_d554e4140
Kunst	w11_d554e4143
gemachten	w1_d554e4148
Abschnitte	w3_d554e4151
Schritt	w5_d554e4154
vor	w7_d554e4157
Schritt	w9_d554e4160
vertheidiget,	w1_d554e4165
so,	w3_d554e4168
daß	w5_d554e4171
die	w7_d554e4174
Feinde	w9_d554e4177
vom	w11_d554e4180
23.	w13_d554e4184
bis	w1_d554e4189
28.	w3_d554e4192
nicht	w5_d554e4195
weiter	w7_d554e4198
als	w9_d554e4201
eine	w11_d554e4204
halbe	w13_d554e4208
Stunde	w15_d554e4211
vorrücken	w1_d554e4217
können.	w3_d554e4220
Sie	w5_d554e4223
haben	w7_d554e4226
7000.	w9_d554e4229
Mann	w11_d554e4232
</p>
<p id="p6_d554e4235">
bebarquirt,	w1_d554e4239
die	w3_d554e4242
übrige	w5_d554e4245
sind	w7_d554e4248
noch	w9_d554e4251
auf	w11_d554e4254
der	w13_d554e4258
Flotte.	w1_d554e4263
Jhre	w3_d554e4266
schwere	w5_d554e4269
Artillerie	w7_d554e4272
und	w9_d554e4275
Mu	w11_d554e4278
nition	w1_d554e4283
wird	w3_d554e4286
bey	w5_d554e4289
denen	w7_d554e4292
grossen	w9_d554e4295
Sandbän	w11_d554e4298
ken	w1_d554e4304
ans	w3_d554e4307
Land	w5_d554e4310
geschaft.	w7_d554e4313
Man	w9_d554e4316
zweifelt	w11_d554e4319
gar	w13_d554e4323
nicht,	w1_d554e4328
der	w3_d554e4331
Herr	w5_d554e4334
von	w7_d554e4337
St.	w9_d554e4340
Croix	w11_d554e4343
werde	w13_d554e4347
es	w15_d554e4350
ihnen	w1_d554e4355
sauer	w3_d554e4358
genug	w5_d554e4361
machen.	w7_d554e4364
Der	w9_d554e4367
Herzog	w11_d554e4370
von	w1_d554e4375
Aiquillon	w3_d554e4378
wird	w5_d554e4381
ihm	w7_d554e4384
auch	w9_d554e4387
allen	w11_d554e4390
mögli	w13_d554e4394
chen	w1_d554e4400
Beystand	w3_d554e4403
leisten,	w5_d554e4406
obwolen	w7_d554e4409
es	w9_d554e4412
schwer	w11_d554e4415
damit	w1_d554e4420
hergehen	w3_d554e4423
wird,	w5_d554e4426
indem	w7_d554e4429
die	w9_d554e4432
Englische	w11_d554e4435
Schiffe	w1_d554e4440
alle	w3_d554e4443
Zugänge	w5_d554e4446
besetzt.	w7_d554e4449
So	w9_d554e4452
gar	w11_d554e4455
die	w13_d554e4459
Weiber	w1_d554e4464
der	w3_d554e4467
Jnsul	w5_d554e4470
sollen	w7_d554e4473
sich	w9_d554e4476
zur	w11_d554e4479
Vertheidi	w13_d554e4483
gung	w1_d554e4489
erboten,	w3_d554e4492
und	w5_d554e4495
eine	w7_d554e4498
Compagnie	w9_d554e4501
von	w11_d554e4504
60.	w13_d554e4508
Personen	w1_d554e4513
bereits	w3_d554e4516
unter	w5_d554e4519
sich	w7_d554e4522
errichtet	w9_d554e4525
haben.	w11_d554e4528
Jnzwischen	w1_d554e4533
werden	w3_d554e4536
zu	w5_d554e4539
Brest	w7_d554e4542
in	w9_d554e4545
aller	w11_d554e4548
Eil	w13_d554e4552
16.	w1_d554e4557
Kriegs=schiffe	w3_d554e4560
ansgerüstet.	w5_d554e4563
Verschie	w7_d554e4566
dene	w1_d554e4572
Schifs=capitain	w3_d554e4575
haben	w5_d554e4578
den	w7_d554e4581
Befehl	w9_d554e4584
erhalten,	w1_d554e4589
augenblicklich	w3_d554e4592
dahin	w5_d554e4595
abzugehen.	w7_d554e4598
</p>
<head id="h2_d554e4604">
Lion	w1_d554e4608
4.	w3_d554e4611
May.	w5_d554e4614
</head>
<p id="p4_d554e4617">
Briefe	w1_d554e4621
von	w3_d554e4624
Bourdeaux	w5_d554e4627
vom	w7_d554e4630
23.	w9_d554e4633
vergan	w11_d554e4636
genen	w1_d554e4641
Monats	w3_d554e4644
bringen	w5_d554e4647
mit,	w7_d554e4650
daß	w9_d554e4653
in	w11_d554e4656
der	w13_d554e4660
Stadt	w15_d554e4663
und	w1_d554e4668
denen	w3_d554e4671
umligenden	w5_d554e4674
Orten	w7_d554e4677
ein	w9_d554e4680
Regen	w11_d554e4683
vom	w13_d554e4687
schwefelichtem	w1_d554e4693
Harz	w3_d554e4696
gefallen,	w5_d554e4699
und	w7_d554e4702
eine	w9_d554e4705
halbe	w11_d554e4708
Stunde	w1_d554e4713
gedauret,	w3_d554e4716
wovon	w5_d554e4719
der	w7_d554e4722
Boden	w9_d554e4725
ganz	w11_d554e4728
bedeckt	w1_d554e4733
wurde,	w3_d554e4736
nachdem	w5_d554e4739
man	w7_d554e4742
davon	w9_d554e4745
aufgehö	w11_d554e4748
ben,	w1_d554e4753
und	w3_d554e4756
in	w5_d554e4759
das	w7_d554e4762
Feuer	w9_d554e4765
gethan,	w11_d554e4768
ist	w13_d554e4772
es	w15_d554e4775
al	w17_d554e4778
sobald	w1_d554e4784
von	w3_d554e4787
dem	w5_d554e4790
Feuer	w7_d554e4793
wie	w9_d554e4796
Schwefel	w11_d554e4799
ver	w13_d554e4803
zehret	w1_d554e4808
worden,	w3_d554e4811
also,	w5_d554e4814
daß	w7_d554e4817
man	w9_d554e4820
sehr	w11_d554e4823
in	w13_d554e4827
Forch	w15_d554e4830
ten	w1_d554e4835
stunde,	w3_d554e4838
die	w5_d554e4841
Felder	w7_d554e4844
möchten	w9_d554e4847
davon	w11_d554e4850
ver	w13_d554e4854
brannt	w1_d554e4859
werden;	w3_d554e4862
allein	w5_d554e4865
die	w7_d554e4868
Forcht	w9_d554e4871
dauerte	w11_d554e4874
nicht	w1_d554e4880
lang,	w3_d554e4883
dann	w5_d554e4886
es	w7_d554e4889
folgte	w9_d554e4892
alsobald	w11_d554e4895
ein	w13_d554e4899
Wasser=regen	w1_d554e4904
darauf,	w3_d554e4907
und	w5_d554e4910
nahme	w7_d554e4913
den	w9_d554e4916
Schweffel	w1_d554e4921
hinweg,	w3_d554e4924
nun	w5_d554e4927
glaubet	w7_d554e4930
man,	w9_d554e4933
daß	w11_d554e4936
dieses	w1_d554e4941
durch	w3_d554e4944
die	w5_d554e4947
seit	w7_d554e4950
einiger	w9_d554e4953
Zeit	w11_d554e4956
verspühr	w13_d554e4960
ten	w1_d554e4966
Erd=beben	w3_d554e4969
und	w5_d554e4972
Ausdünstungen	w7_d554e4975
verursa	w9_d554e4978
chet	w1_d554e4983
worden.	w3_d554e4986
</p>
<head id="h2_d554e4993">
Londen	w1_d554e4997
3.	w3_d554e5000
May.	w5_d554e5003
</head>
<p id="p4_d554e5006">
Die	w1_d554e5010
Wahl	w3_d554e5013
der	w5_d554e5016
Glieder	w7_d554e5019
zu	w9_d554e5022
dem	w11_d554e5025
neuen	w13_d554e5029
Par	w15_d554e5032
lament	w1_d554e5037
geht	w3_d554e5040
überall	w5_d554e5043
nach	w7_d554e5046
Wunsch	w9_d554e5049
von	w11_d554e5052
stal	w13_d554e5056
ten,	w1_d554e5061
und	w3_d554e5064
hat	w5_d554e5067
grösten	w7_d554e5070
theils	w9_d554e5073
die	w11_d554e5076
Herren,	w13_d554e5080
die	w15_d554e5083
in	w1_d554e5089
dem	w3_d554e5092
vorigen	w5_d554e5095
Sitz	w7_d554e5098
gehabt	w9_d554e5101
haben,	w11_d554e5104
wieder	w13_d554e5108
getroffen.	w1_d554e5113
Am	w3_d554e5116
19.	w5_d554e5119
dieses	w7_d554e5122
sollen	w9_d554e5125
sie,	w11_d554e5128
ver	w13_d554e5132
mög	w1_d554e5137
Königl.	w3_d554e5140
Verordnung	w5_d554e5143
zusammen	w7_d554e5146
beruf	w9_d554e5149
</p>
<p id="p10_d554e5162">
fen	w1_d554e5166
werden,	w3_d554e5169
nicht	w5_d554e5172
um	w7_d554e5175
über	w9_d554e5178
wesentliche	w11_d554e5181
Sa	w13_d554e5185
chen	w1_d554e5190
Raht	w3_d554e5193
zu	w5_d554e5196
pflegen,	w7_d554e5199
sondern	w9_d554e5202
nur	w11_d554e5205
pro	w13_d554e5209
For	w15_d554e5212
ma,	w1_d554e5217
um	w3_d554e5220
das	w5_d554e5223
Ansehen	w7_d554e5226
und	w9_d554e5229
die	w11_d554e5232
Vorrechte	w13_d554e5236
ihrer	w1_d554e5242
Versammlung	w3_d554e5245
zu	w5_d554e5248
befestigen.	w7_d554e5251
Bey	w9_d554e5254
Hofe	w1_d554e5259
werden	w3_d554e5262
öftere	w5_d554e5265
Conferenzen	w7_d554e5268
gehalten,	w9_d554e5271
und	w1_d554e5276
man	w3_d554e5279
arbeitet	w5_d554e5282
an	w7_d554e5285
der	w9_d554e5288
Aufsetzung	w11_d554e5291
der	w13_d554e5295
Jnstructionen,	w1_d554e5300
und	w3_d554e5303
Vollmachten	w5_d554e5306
für	w7_d554e5309
die	w9_d554e5312
Gevollmächtigten	w1_d554e5318
Minister	w3_d554e5321
Sr.	w5_d554e5324
Majestät	w7_d554e5327
auf	w1_d554e5332
dem	w3_d554e5335
Congresse	w5_d554e5338
zu	w7_d554e5341
Augspurg,	w9_d554e5344
welcher,	w11_d554e5347
wie	w1_d554e5352
man	w3_d554e5355
sagt,	w5_d554e5358
erst	w7_d554e5361
in	w9_d554e5364
der	w11_d554e5367
Mitte	w13_d554e5371
des	w15_d554e5374
Ju	w17_d554e5377
nii	w1_d554e5382
seinen	w3_d554e5385
Anfang	w5_d554e5388
nehmen	w7_d554e5391
wird.	w9_d554e5394
Der	w11_d554e5397
Prinz	w13_d554e5401
Gallitzin	w1_d554e5407
ist	w3_d554e5410
täglich	w5_d554e5413
mit	w7_d554e5416
unseren	w9_d554e5419
Ministern	w11_d554e5422
in	w1_d554e5427
Conferenz;	w3_d554e5430
und	w5_d554e5433
man	w7_d554e5436
sagt,	w9_d554e5439
daß	w11_d554e5442
ein	w13_d554e5446
Mi	w15_d554e5449
nister	w1_d554e5454
von	w3_d554e5457
Paris	w5_d554e5460
anhero	w7_d554e5463
kommen	w9_d554e5466
solle,	w11_d554e5469
um	w13_d554e5473
über	w1_d554e5478
einige	w3_d554e5481
Sachen,	w5_d554e5484
die	w7_d554e5487
noch	w9_d554e5490
vor	w11_d554e5493
dem	w13_d554e5497
Congresse	w1_d554e5503
eingerichtet	w3_d554e5506
werden	w5_d554e5509
müssen,	w7_d554e5512
mit	w9_d554e5515
den	w1_d554e5520
Unsrigen	w3_d554e5523
zu	w5_d554e5526
conferiren.	w7_d554e5529
Se.	w9_d554e5532
Majest.	w11_d554e5535
haben	w1_d554e5540
den	w3_d554e5543
Herrn	w5_d554e5546
Stanbey,	w7_d554e5549
einen	w9_d554e5552
von	w11_d554e5555
den	w13_d554e5559
Commissarien	w1_d554e5564
der	w3_d554e5567
Admiralität	w5_d554e5570
ernannt,	w7_d554e5573
sich	w9_d554e5576
nach	w1_d554e5582
den	w3_d554e5585
Französischen	w5_d554e5588
Hofe	w7_d554e5591
zu	w9_d554e5594
begeben,	w11_d554e5597
und	w1_d554e5602
während	w3_d554e5605
des	w5_d554e5608
Congresses	w7_d554e5611
zu	w9_d554e5614
Augspurg	w11_d554e5617
an	w1_d554e5622
demselben	w3_d554e5625
zu	w5_d554e5628
residiren.	w7_d554e5631
</p>
<p id="p12_d554e5635">
Heute	w1_d554e5639
ist	w3_d554e5642
nach	w5_d554e5645
dem	w7_d554e5648
Capitain	w9_d554e5651
Barrington	w11_d554e5654
noch	w1_d554e5659
ein	w3_d554e5662
Expresser	w5_d554e5665
von	w7_d554e5668
der	w9_d554e5671
Jnsul	w11_d554e5674
Belleisle	w13_d554e5678
angekommen,	w1_d554e5683
und	w3_d554e5686
dem	w5_d554e5689
Publico	w7_d554e5692
auf	w9_d554e5695
hohe	w11_d554e5698
Authorität	w1_d554e5704
bekannt	w3_d554e5707
gemacht	w5_d554e5710
worden,	w7_d554e5713
daß	w9_d554e5716
die	w1_d554e5721
Unsrigen	w3_d554e5724
sich	w5_d554e5727
würklich	w7_d554e5730
von	w9_d554e5733
der	w11_d554e5736
Jnsul	w13_d554e5740
Belleisle	w1_d554e5745
Meister	w3_d554e5748
gemacht	w5_d554e5751
haben;	w7_d554e5754
und	w9_d554e5757
daß	w11_d554e5760
der	w1_d554e5765
Oberste	w3_d554e5768
Crawsord,	w5_d554e5771
sogleich	w7_d554e5774
nach	w9_d554e5777
An	w11_d554e5780
kunft	w1_d554e5786
der	w3_d554e5789
Verstärkungen,	w5_d554e5792
mit	w7_d554e5795
dem	w9_d554e5798
Ober	w11_d554e5801
sten	w1_d554e5806
Hamilton	w3_d554e5809
Lambert	w5_d554e5812
auf	w7_d554e5815
die	w9_d554e5818
Citadelle	w11_d554e5821
der	w13_d554e5825
Jnsul	w1_d554e5830
eine	w3_d554e5833
so	w5_d554e5836
heftige	w7_d554e5839
Attaque	w9_d554e5842
formiret	w11_d554e5845
habe	w13_d554e5849
daß	w1_d554e5854
die	w3_d554e5857
Franzosen	w5_d554e5860
nach	w7_d554e5863
einer	w9_d554e5866
kurzen	w11_d554e5869
Gegen	w13_d554e5873
wehr	w1_d554e5879
genöhtiget	w3_d554e5882
worden,	w5_d554e5885
sie	w7_d554e5888
zu	w9_d554e5891
übergeben.	w11_d554e5894
</p>
<head id="h2_d554e5900">
Brüssel	w1_d554e5904
4.	w3_d554e5907
May.	w5_d554e5910
</head>
<p id="p4_d554e5913">
Die	w1_d554e5917
Grenadier	w3_d554e5920
zu	w5_d554e5923
Pferd,	w7_d554e5926
so	w9_d554e5929
den	w11_d554e5932
27.	w13_d554e5936
ver	w15_d554e5939
flossenen	w1_d554e5944
Monats	w3_d554e5947
von	w5_d554e5950
hier	w7_d554e5953
abmarschiret,	w9_d554e5956
begegneten	w1_d554e5961
auf	w3_d554e5964
dem	w5_d554e5967
halben	w7_d554e5970
Weeg	w9_d554e5973
der	w11_d554e5976
Prin	w13_d554e5980
zeßin	w1_d554e5986
Charlotte	w3_d554e5989
von	w5_d554e5992
Lothringen,	w7_d554e5995
so	w9_d554e5998
eben	w11_d554e6001
in	w13_d554e6005
der	w1_d554e6010
Abbtey	w3_d554e6013
Cortenberg	w5_d554e6016
das	w7_d554e6019
Mittags=mal	w9_d554e6022
einnahme,	w1_d554e6027
und	w3_d554e6030
stellten	w5_d554e6033
sich	w7_d554e6036
alsdann	w9_d554e6039
vor	w11_d554e6042
Jh	w13_d554e6046
rer	w1_d554e6051
Königl.	w3_d554e6054
Hoheit	w5_d554e6057
in	w7_d554e6060
Parade.	w9_d554e6063
</p>
<p id="p6_d554e6066">
Die	w1_d554e6070
Haus=trupen	w3_d554e6073
des	w5_d554e6076
Königs	w7_d554e6079
von	w9_d554e6082
Frank	w11_d554e6085
reich	w1_d554e6090
fahren	w3_d554e6093
noch	w5_d554e6096
immer	w7_d554e6099
fort	w9_d554e6102
dahier	w11_d554e6105
durch,	w13_d554e6109
und	w1_d554e6114
zu	w3_d554e6117
der	w5_d554e6120
Armee	w7_d554e6123
am	w9_d554e6126
Unter=rhein	w11_d554e6129
zu	w13_d554e6133
mar	w15_d554e6136
schiren;	w1_d554e6142
Den	w3_d554e6145
28.	w5_d554e6148
vorigen	w7_d554e6151
Monats	w9_d554e6154
sahe	w11_d554e6157
man	w1_d554e6162
hier	w3_d554e6165
anlangen	w5_d554e6168
die	w7_d554e6171
Gensdarmes.	w9_d554e6174
Den	w11_d554e6177
30.	w1_d554e6182
Chevaux	w3_d554e6185
Legers.	w5_d554e6188
Den	w7_d554e6191
1.	w9_d554e6194
May	w11_d554e6197
150.	w13_d554e6201
Mann	w1_d554e6206
von	w3_d554e6209
der	w5_d554e6212
Französischen	w7_d554e6215
Garde,	w9_d554e6218
den	w11_d554e6221
