<doc id="edoc_wd_1771-03-27" attrs="word" year="1771" month="03" day="27" corpus="1">
<head id="hl1">
Cadix	w33
Krone	w293
<g/>
,
als	w295
zum	w296
allge=meinen	w297
<g/>
=
Beßten	w299
und	w300
für	w301
die	w302
Sicherheit	w303
der	w304
Handlung	w305
das	w306
drohende	w307
Gewitter	w308
beschworen	w309
worden	w310
<g/>
.
Wirklich	w312
ist	w313
das	w314
große	w315
Kauffar=theyschif	w316
<g/>
=
<g/>
,
der	w319
Ruse	w320
<g/>
,
mit	w322
einer	w323
ganzen	w324
La=dung	w325
<g/>
=
von	w327
verschiedenen	w328
Waaren	w329
nach	w330
Peru	w331
unter	w332
Segel	w333
gegangen	w334
<g/>
.
</p>
<head id="hl2">
Londen	w336
den	w337
8	w338
<g/>
.
März	w340
<g/>
.
</head>
<p id="p7">
Am	w342
5	w343
<g/>
.
dieses	w345
geschah	w346
in	w347
dem	w348
Unterhause	w349
der	w350
Vortrag	w351
<g/>
,
man	w353
möchte	w354
festsetzen	w355
<g/>
,
"daß	w357
<g/>
,
weil	w359
die	w360
königl	w361
<g/>
.
Ministere	w363
<g/>
,
bey	w365
der	w366
jüngsten	w367
Unterhandlung	w368
mit	w369
dem	w370
spanischen	w371
Hofe	w372
in	w373
Betref	w374
der	w375
Jnsul	w376
Falkland	w377
<g/>
,
verabsäumet	w379
hätten	w380
<g/>
,
die	w382
Erläuterung	w383
des	w384
von	w385
den	w386
span=ischen	w387
<g/>
=
Gouverneurs	w389
in	w390
Amerika	w391
geleisteten	w392
Amtseides	w393
<g/>
,
ihrer	w395
allgemeinen	w396
Befehle	w397
und	w398
der	w399
in	w400
Amerika	w401
eingeführten	w402
Gesetze	w403
zu	w404
be=gehren	w405
<g/>
=
<g/>
,
nach	w408
welchen	w409
besagte	w410
Gouver=neurs	w411
<g/>
=
sich	w413
zu	w414
richten	w415
vorgeben	w416
<g/>
,
und	w418
mit=tels	w419
<g/>
=
deren	w421
der	w422
spanische	w423
Hof	w424
dieselbe	w425
<g/>
,
in	w427
Ansehung	w428
der	w429
angehobenen	w430
Feindseligkeiten	w431
<g/>
,
rechtfertigen	w433
will	w434
<g/>
,
unseres	w436
Königs	w437
Gerecht=same	w438
<g/>
=
und	w440
Besitzungen	w441
in	w442
Amerika	w443
dadurch	w444
ausgestellt	w445
verbleiben	w446
<g/>
,
von	w448
besagten	w449
Gou=verneurs	w450
<g/>
=
<g/>
,
unter	w453
dem	w454
Vorwande	w455
eines	w456
solchen	w457
Amtseides	w458
ihrer	w459
allgemeinen	w460
Befehle	w461
und	w462
der	w463
in	w464
Amerika	w465
eingeführten	w466
Gesetze	w467
<g/>
,
ge=stört	w469
<g/>
=
zu	w471
werden	w472
<g/>
.
"	w474
Dieser	w475
von	w476
Seiten	w477
der	w478
Widerspruchsparthey	w479
gethane	w480
Vortrag	w481
ward	w482
von	w483
den	w484
Anhängeren	w485
der	w486
Ministere	w487
lebhaft	w488
bestritten	w489
<g/>
,
endlich	w491
<g/>
,
nach	w493
starken	w494
Wortwech=sel	w495
<g/>
=
<g/>
,
den	w498
Stimmen	w499
ausgesetzt	w500
<g/>
,
und	w502
mit	w503
130	w504
wider	w505
43	w506
<g/>
.
Stimmen	w508
verneinet	w509
<g/>
.
</p>
<p id="p8">
Hier	w511
passet	w512
die	w513
Abschrift	w514
von	w515
dem	w516
Wie=dererstattungsbefehle	w517
<g/>
=
<g/>
,
den	w520
der	w521
Balio	w522
Fray	w523
Dom	w524
Julian	w525
von	w526
Arriaga	w527
dem	w528
Herrn	w529
Dom	w530
Philipp	w531
Ruez	w532
Puente	w533
zugefertigt	w534
hat	w535
<g/>
,
und	w537
welcher	w538
zur	w539
königl	w540
<g/>
.
spanischen	w542
Ratification	w543
der	w544
am	w545
22	w546
<g/>
.
Jänner	w548
durch	w549
den	w550
Prinzen	w551
von	w552
Mas=serano	w553
<g/>
=
unterschriebenen	w555
Erklärung	w556
gedienet	w557
hat	w558
<g/>
.
</p>
<p id="p9">
"Da	w560
<g/>
,
mittels	w562
eines	w563
zu	w564
Londen	w565
unterm	w566
22	w567
<g/>
.
jüngstverwichenen	w569
Jänner	w570
von	w571
dem	w572
Fürsten	w573
</p>
<p id="p10">
von	w574
Masserano	w575
und	w576
dem	w577
Grafen	w578
von	w579
Roche=fort	w580
<g/>
=
unterzeichneten	w582
Vertrags	w583
<g/>
,
zwischen	w585
dem	w586
Könige	w587
und	w588
Sr	w589
<g/>
.
großbritannischen	w591
Majest	w592
<g/>
.
festgesetzt	w594
worden	w595
<g/>
,
daß	w597
die	w598
Maloninische	w599
<g/>
,
von	w601
den	w602
Engländeren	w603
benamsete	w604
Falklands=insul	w605
<g/>
=
unverzüglich	w607
in	w608
die	w609
eigentliche	w610
Lage	w611
zu=rückgestellet	w612
<g/>
=
werden	w614
sollte	w615
<g/>
,
in	w617
welcher	w618
solche	w619
sich	w620
befand	w621
<g/>
,
ehe	w623
sie	w624
<g/>
(
die	w626
Engländer	w627
<g/>
)
diesel=be	w629
<g/>
=
am	w631
10	w632
<g/>
.
Brachmon	w634
<g/>
.
verwichenen	w636
Jahres	w637
räumeten	w638
<g/>
,
so	w640
thue	w641
ich	w642
euch	w643
aus	w644
Befehl	w645
des	w646
Königs	w647
kund	w648
<g/>
,
daß	w650
<g/>
,
sobald	w652
die	w653
von	w654
dem	w655
Lond=ner	w656
<g/>
=
Hofe	w658
befehligte	w659
Person	w660
euch	w661
gegenwärti=ges	w662
<g/>
=
vorweisen	w664
wird	w665
<g/>
,
ihr	w667
verfügen	w668
sollet	w669
<g/>
,
daß	w671
die	w672
Wiedererstattung	w673
des	w674
Hafens	w675
Crusade	w676
oder	w677
Egmont	w678
<g/>
,
und	w680
dessen	w681
Fords	w682
<g/>
,
und	w684
Abhängigkeiten	w685
<g/>
,
imgleichen	w687
die	w688
Rückgabe	w689
der	w690
sämmtlichen	w691
Artillerie	w692
<g/>
,
Ammunition	w694
und	w695
Habschaften	w696
<g/>
,
welche	w698
Sr	w699
<g/>
.
großbrittan=nischen	w701
<g/>
=
Majestät	w703
<g/>
,
und	w705
ihren	w706
Unterthanen	w707
allda	w708
zugehörig	w709
vorgefunden	w710
worden	w711
<g/>
,
nach	w713
Ausweisung	w714
der	w715
von	w716
Georg	w717
Farmer	w718
und	w719
Wilhelm	w720
Maltby	w721
<g/>
,
Esquires	w723
<g/>
,
am	w725
11	w726
<g/>
.
Heu=monat	w728
<g/>
=
besagten	w730
Jahres	w731
zur	w732
Zeit	w733
<g/>
,
da	w735
sie	w736
ge=dachten	w737
<g/>
=
Platz	w739
raumeten	w740
<g/>
,
unterschriebenen	w742
Verzeichnisse	w743
<g/>
,
davon	w745
ich	w746
euch	w747
hier	w748
die	w749
von	w750
meiner	w751
Hand	w752
bestätigten	w753
hier	w754
beygeschlosse=nen	w755
<g/>
=
Abschriften	w757
einsende	w758
<g/>
,
bewerkstelliget	w760
wer=de	w761
<g/>
=
<g/>
,
und	w764
<g/>
,
sobald	w766
eine	w767
und	w768
andere	w769
mit	w770
den	w771
gehörigen	w772
Formalitäten	w773
wird	w774
geschehen	w775
seyn	w776
<g/>
,
ihr	w778
unmittelbar	w779
den	w780
Offizier	w781
und	w782
die	w783
übri=gen	w784
<g/>
=
Unterthanen	w786
des	w787
Königs	w788
<g/>
,
die	w790
daselbst	w791
vorfindlich	w792
seyn	w793
möchten	w794
<g/>
,
abziehen	w796
lasset	w797
<g/>
.
Hierüber	w799
bitte	w800
ich	w801
Gott	w802
<g/>
,
daß	w804
Er	w805
euch	w806
lange	w807
Jahre	w808
erhalten	w809
wolle	w810
<g/>
.
Jm	w812
Pardo	w813
den	w814
7ten	w815
Hornung	w816
1771	w817
<g/>
.
Unterschrieben	w819
Der	w820
Balio	w821
Fray	w822
Dom	w823
Julian	w824
de	w825
Arriaga	w826
<g/>
.
an	w828
Dom	w829
Philipp	w830
Ruez	w831
Puente	w832
<g/>
.
"	w834
</p>
<p id="p11">
Man	w835
bestimmet	w836
die	w837
Entbindung	w838
der	w839
Kö=niginn	w840
<g/>
=
auf	w842
künftigen	w843
Monath	w844
<g/>
.
Jhre	w846
Majest	w847
<g/>
.
gehen	w849
in	w850
Jhrer	w851
Schwangerschaft	w852
glücklich	w853
fort	w854
<g/>
.
</p>
<p id="p12">
Das	w856
irrländische	w857
Parlament	w858
ist	w859
zu	w860
Dublin	w861
am	w862
26	w863
<g/>
.
Hornung	w865
eröfnet	w866
worden	w867
<g/>
;
allein	w869
<g/>
,
es	w871
sind	w872
viele	w873
Unordnungen	w874
dabey	w875
vorgegangen	w876
<g/>
.
Der	w878
in	w879
den	w880
Gegenden	w881
des	w882
Parlamentshau=ses	w883
<g/>
=
zusammengerottete	w885
Pöbel	w886
hat	w887
seine	w888
Ver=wegenheit	w889
<g/>
=
dahin	w891
getrieben	w892
<g/>
,
daß	w894
er	w895
diejenigen	w896
Glieder	w897
<g/>
,
welche	w899
einen	w900
gewissen	w901
ihnen	w902
von	w903
dem	w904
Haufen	w905
vorgehaltenen	w906
Eid	w907
zu	w908
leisten	w909
</p>
<p id="p13">
versaget	w912
<g/>
,
angefallen	w914
und	w915
mishandelt	w916
hat	w917
<g/>
.
Man	w919
war	w920
genöthiget	w921
<g/>
,
um	w923
Militarbeystand	w924
und	w925
bürgerliche	w926
Gewalt	w927
anzusuchen	w928
<g/>
,
um	w930
die	w931
Meutlinge	w932
zu	w933
zerstreuen	w934
<g/>
,
welches	w936
glücklicher	w937
Weise	w938
von	w939
statten	w940
gegangen	w941
ist	w942
<g/>
.
Jn	w944
den	w945
Kammeren	w946
haben	w947
sich	w948
zwo	w949
Partheyen	w950
her=vorgethan	w951
<g/>
=
<g/>
;
nach	w954
lebhaftem	w955
Streit	w956
aber	w957
hat	w958
die	w959
Ministerialparthey	w960
gesieget	w961
<g/>
,
und	w963
eine	w964
große	w965
Mehrheit	w966
auf	w967
ihre	w968
Seite	w969
erhalten	w970
<g/>
.
</p>
<head id="hl3">
Versailles	w972
den	w973
9	w974
<g/>
.
März	w976
<g/>
.
</head>
<p id="p14">
Der	w978
König	w979
hat	w980
den	w981
Grafen	w982
von	w983
Gama=ches	w984
<g/>
=
<g/>
,
den	w987
Grafen	w988
Ludwig	w989
von	w990
Durfort	w991
<g/>
,
und	w993
den	w994
Grafen	w995
von	w996
Balby	w997
<g/>
,
derer	w999
ersterer	w1000
bey	w1001
dem	w1002
Dragonerregimente	w1003
Dauphin	w1004
<g/>
,
beyde	w1006
letztere	w1007
aber	w1008
bey	w1009
der	w1010
Cavallerie	w1011
Capitaine	w1012
sind	w1013
<g/>
,
zu	w1015
Fahndrichen	w1016
bey	w1017
der	w1018
Gendarmerie	w1019
ernannt	w1020
<g/>
.
Bey	w1022
Sr	w1023
<g/>
.
Majest	w1025
<g/>
.
hat	w1027
sich	w1028
am	w1029
4ten	w1030
dieses	w1031
der	w1032
zu	w1033
den	w1034
Generalstaaten	w1035
bestimmte	w1036
neue	w1037
Bott=schafter	w1038
<g/>
=
<g/>
,
Marquis	w1041
von	w1042
Noailles	w1043
<g/>
,
beurlaubet	w1045
<g/>
.
Die	w1047
Marschalle	w1048
von	w1049
Frankreich	w1050
sind	w1051
bey	w1052
dem	w1053
König	w1054
mit	w1055
Vorstellungen	w1056
eingekommen	w1057
<g/>
,
die	w1059
dahin	w1060
lauten	w1061
<g/>
,
daß	w1063
der	w1064
Graf	w1065
von	w1066
Maillebois	w1067
zwar	w1068
von	w1069
Sr	w1070
<g/>
.
Majest	w1072
<g/>
.
zu	w1074
einem	w1075
der	w1076
Gene=ralaufseher	w1077
<g/>
=
des	w1079
Kriegswesens	w1080
ernannt	w1081
wor=den	w1082
<g/>
=
<g/>
,
er	w1085
habe	w1086
sich	w1087
aber	w1088
durch	w1089
seine	w1090
Streitig=keit	w1091
<g/>
=
<g/>
,
der	w1094
Ehre	w1095
wegen	w1096
<g/>
,
mit	w1098
dem	w1099
seel	w1100
<g/>
.
Mar=schal	w1102
<g/>
=
von	w1104
Estrees	w1105
<g/>
,
welche	w1107
im	w1108
Jahre	w1109
1758	w1110
<g/>
.
vor	w1112
das	w1113
Marschalsgericht	w1114
gebracht	w1115
worden	w1116
<g/>
,
dieser	w1118
Bedienung	w1119
unwürdig	w1120
gemacht	w1121
<g/>
.
Die	w1123
Antwort	w1124
des	w1125
Monarchens	w1126
ist	w1127
diese	w1128
gewesen	w1129
<g/>
:
"Wenn	w1131
der	w1132
Graf	w1133
von	w1134
Maillebois	w1135
Unrecht	w1136
gehabt	w1137
hat	w1138
<g/>
,
so	w1140
habe	w1141
ich	w1142
ihn	w1143
desfalls	w1144
gestraf=fet	w1145
<g/>
=
<g/>
.
Seitdem	w1148
aber	w1149
habe	w1150
ich	w1151
eingesehen	w1152
<g/>
,
daß	w1154
seine	w1155
militarischen	w1156
Naturgaben	w1157
mir	w1158
in	w1159
dem	w1160
ihm	w1161
ertheilten	w1162
Auftrage	w1163
nützlich	w1164
seyn	w1165
können	w1166
<g/>
.
"	w1168
</p>
<head id="hl4">
Paris	w1169
den	w1170
10	w1171
<g/>
.
März	w1173
<g/>
.
</head>
<p id="p15">
Am	w1175
6ten	w1176
dieses	w1177
erhob	w1178
sich	w1179
der	w1180
nunmehrige	w1181
König	w1182
von	w1183
Schweden	w1184
<g/>
,
doch	w1186
ohne	w1187
Staat	w1188
und	w1189
Gefolge	w1190
<g/>
,
zu	w1192
einer	w1193
besonderen	w1194
Sitzung	w1195
der	w1196
königl	w1197
<g/>
.
Akademie	w1199
der	w1200
Wissenschaften	w1201
<g/>
.
Herr	w1203
von	w1204
Alembert	w1205
verlas	w1206
eine	w1207
auf	w1208
die	w1209
Ehre	w1210
<g/>
,
wel=che	w1212
<g/>
=
dieser	w1214
Monarch	w1215
der	w1216
Akademie	w1217
angedeihen	w1218
ließ	w1219
<g/>
,
sich	w1221
beziehende	w1222
Rede	w1223
<g/>
;
Herr	w1225
Marquer	w1226
eine	w1227
Denkschrift	w1228
über	w1229
das	w1230
Flintenglas	w1231
<g/>
;
Herr	w1233
Sage	w1234
eine	w1235
gleiche	w1236
über	w1237
die	w1238
Blende	w1239
<g/>
,
welche	w1241
eine	w1242
glänzende	w1243
Bergart	w1244
<g/>
,
schwarz	w1246
und	w1247
auch	w1248
gelb	w1249
ist	w1250
<g/>
;
und	w1252
Herr	w1253
Lavoisier	w1254
eine	w1255
dritte	w1256
über	w1257
die	w1258
Beschaffenheit	w1259
des	w1260
Wassers	w1261
<g/>
.
Die	w1263
wegen	w1264
ihrer	w1265
Geschicklichkeit	w1266
in	w1267
den	w1268
durch	w1269
Kunst	w1270
ge=machten	w1271
<g/>
=
Beobachtungen	w1273
vorzüglich	w1274
bekannte	w1275
</p>
<p id="p16">
Demoiselle	w1276
Biheron	w1277
hatte	w1278
die	w1279
Ehre	w1280
<g/>
,
Sr	w1282
<g/>
.
schwedischen	w1284
Majest	w1285
<g/>
.
unterschiedliche	w1287
solche	w1288
Werke	w1289
von	w1290
ihrer	w1291
Verfassung	w1292
zu	w1293
zeigen	w1294
<g/>
.
Höchst=dieselbe	w1296
<g/>
=
wohnten	w1298
am	w1299
folgenden	w1300
Tage	w1301
<g/>
,
in	w1303
Ge=sellschaft	w1304
<g/>
=
ihres	w1306
Hrn	w1307
<g/>
.
Bruders	w1309
<g/>
,
des	w1311
Prinzens	w1312
Friedrich	w1313
<g/>
,
einer	w1315
Versammlung	w1316
der	w1317
Academie	w1318
Francoise	w1319
bey	w1320
<g/>
.
Der	w1322
Abt	w1323
von	w1324
Radonvilliers	w1325
<g/>
,
als	w1327
Kanzler	w1328
<g/>
,
bewillkommete	w1330
sie	w1331
im	w1332
Namen	w1333
der	w1334
Akademie	w1335
<g/>
.
Hernächst	w1337
verlas	w1338
der	w1339
Hr	w1340
<g/>
.
von	w1342
Alembert	w1343
ein	w1344
Gespräch	w1345
zwischen	w1346
der	w1347
Königinn	w1348
Christina	w1349
und	w1350
Descartes	w1351
in	w1352
den	w1353
elisäischen	w1354
Fel=dern	w1355
<g/>
=
<g/>
;
und	w1358
Hr	w1359
<g/>
.
Marmontel	w1361
ein	w1362
Lustspiel	w1363
in	w1364
zwoen	w1365
Hauptabtheilungen	w1366
in	w1367
gebundener	w1368
Re=de	w1369
<g/>
=
<g/>
,
unter	w1372
der	w1373
Aufschrift	w1374
<g/>
:
l'Ami	w1376
de	w1377
la	w1378
Mai-son	w1379
<g/>
-
<g/>
,
der	w1382
Freund	w1383
vom	w1384
Hause	w1385
<g/>
.
Der	w1387
Herzog	w1388
von	w1389
Riverois	w1390
endigte	w1391
die	w1392
Sitzung	w1393
mit	w1394
Ver=lesung	w1395
<g/>
=
unterschiedlicher	w1397
Gedichte	w1398
von	w1399
seiner	w1400
Feder	w1401
<g/>
.
Nach	w1403
der	w1404
Sitzung	w1405
übergab	w1406
die	w1407
Aka=demie	w1408
<g/>
=
dem	w1410
König	w1411
von	w1412
Schweden	w1413
einen	w1414
von	w1415
ihren	w1416
in	w1417
Gold	w1418
geprägten	w1419
Rechenpfeningen	w1420
<g/>
,
den	w1422
Höchstdieselbe	w1423
gnädigst	w1424
anzunehmen	w1425
ge=ruheten	w1426
<g/>
=
<g/>
.
Sie	w1429
besahen	w1430
demnach	w1431
die	w1432
in	w1433
dem	w1434
Versammlungszimmer	w1435
aufgestellten	w1436
Portraite	w1437
<g/>
,
unter	w1439
welchen	w1440
sich	w1441
auch	w1442
der	w1443
Königinn	w1444
Christi=na	w1445
<g/>
=
ihres	w1447
befindet	w1448
<g/>
.
Die	w1450
Akademie	w1451
bath	w1452
den	w1453
schwedischen	w1454
Regenten	w1455
<g/>
,
er	w1457
möchte	w1458
ihr	w1459
auch	w1460
seines	w1461
gnädigst	w1462
zukommen	w1463
lassen	w1464
<g/>
,
welches	w1466
Se	w1467
<g/>
.
Majest	w1469
<g/>
.
zuzusagen	w1471
beliebten	w1472
<g/>
.
</p>
<p id="p17">
Am	w1474
2ten	w1475
dieses	w1476
hat	w1477
der	w1478
obere	w1479
Rath	w1480
von	w1481
Blois	w1482
seine	w1483
erste	w1484
Sitzung	w1485
gehalten	w1486
<g/>
,
und	w1488
die	w1489
ganze	w1490
Stadt	w1491
das	w1492
größte	w1493
Vergnügen	w1494
darüber	w1495
bezeuget	w1496
<g/>
.
</p>
<head id="hl5">
Paris	w1498
den	w1499
11	w1500
<g/>
.
März	w1502
<g/>
.
</head>
<p id="p18">
Der	w1504
König	w1505
hat	w1506
die	w1507
Vorstellungen	w1508
des	w1509
Steurkammergerichtes	w1510
abgewiesen	w1511
<g/>
,
und	w1513
kurz	w1514
sich	w1515
dahin	w1516
geäußert	w1517
<g/>
,
daß	w1519
Se	w1520
<g/>
.
Majest	w1522
<g/>
.
der=gleichen	w1524
<g/>
=
nicht	w1526
annehmen	w1527
würden	w1528
<g/>
,
so	w1530
lange	w1531
diese	w1532
Kammer	w1533
sich	w1534
mit	w1535
fremden	w1536
Gegenstän=den	w1537
<g/>
=
beschäftigte	w1539
<g/>
,
und	w1541
dann	w1542
noch	w1543
weniger	w1544
<g/>
,
wenn	w1546
sie	w1547
so	w1548
unbescheiden	w1549
wäre	w1550
<g/>
,
selbige	w1552
zum	w1553
voraus	w1554
bekannt	w1555
zu	w1556
machen	w1557
<g/>
.
</p>
<p id="p19">
Das	w1559
Marschallsgericht	w1560
hat	w1561
es	w1562
nicht	w1563
bey	w1564
der	w1565
Antwort	w1566
des	w1567
Königs	w1568
<g/>
,
betreffend	w1570
das	w1571
Amt	w1572
des	w1573
Hrn	w1574
<g/>
.
Grafen	w1576
von	w1577
Mallebois	w1578
be=wandt	w1579
<g/>
=
seyn	w1581
lassen	w1582
<g/>
.
Es	w1584
ist	w1585
bey	w1586
dem	w1587
Könige	w1588
mit	w1589
einem	w1590
neuen	w1591
Schreiben	w1592
eingekommen	w1593
<g/>
,
um	w1595
Sr	w1596
<g/>
.
Majest	w1598
<g/>
.
zu	w1600
wiederholten	w1601
malen	w1602
vor=zustellen	w1603
<g/>
=
<g/>
,
daß	w1606
die	w1607
Straffe	w1608
<g/>
,
womit	w1610
der	w1611
Graf	w1612
von	w1613
Maillebois	w1614
aus	w1615
königl	w1616
<g/>
.
Befehle	w1618
belegt	w1619
worden	w1620
<g/>
,
nur	w1622
eine	w1623
neue	w1624
Vermuthung	w1625
seines	w1626
</p>
<p id="p20">
Vergehens	w1629
wäre	w1630
<g/>
,
und	w1632
müßten	w1633
die	w1634
der	w1635
Ehre	w1636
dieses	w1637
Kriegsbedienten	w1638
angehängten	w1639
Schand=flecken	w1640
<g/>
=
nicht	w1642
auslöschen	w1643
<g/>
,
zumal	w1645
<g/>
,
da	w1647
er	w1648
an=ders	w1649
<g/>
=
nicht	w1651
<g/>
,
als	w1653
durch	w1654
ein	w1655
gesetzmäßiges	w1656
Ur=theil	w1657
<g/>
=
in	w1659
seine	w1660
gänzliche	w1661
Unschuld	w1662
zurückge=bracht	w1663
<g/>
=
werden	w1665
könnte	w1666
<g/>
.
Mit	w1668
diesen	w1669
neuen	w1670
Vorstellungen	w1671
ist	w1672
der	w1673
Herr	w1674
Marechal	w1675
von	w1676
Clermouttonnerre	w1677
zu	w1678
dem	w1679
Könige	w1680
gegangen	w1681
<g/>
,
auf	w1683
welche	w1684
Se	w1685
<g/>
.
Majest	w1687
<g/>
.
diesmal	w1689
gesehen	w1690
ha=ben	w1691
<g/>
=
<g/>
,
so	w1694
<g/>
,
daß	w1696
der	w1697
Herr	w1698
Graf	w1699
von	w1700
Maille=bois	w1701
<g/>
=
seiner	w1703
Stelle	w1704
<g/>
,
als	w1706
Generalaufseher	w1707
des	w1708
Kriegswesens	w1709
entsetzet	w1710
worden	w1711
<g/>
,
wel=che	w1713
<g/>
=
<g/>
,
allem	w1716
Vermuthen	w1717
nach	w1718
<g/>
,
der	w1720
Herr	w1721
Graf	w1722
von	w1723
Muy	w1724
erhalten	w1725
wird	w1726
<g/>
.
Er	w1728
hatte	w1729
bekanntermassen	w1730
die	w1731
Stelle	w1732
eines	w1733
Kriegs	w1734
<g/>
=
Ministers	w1736
von	w1737
sich	w1738
gelehnet	w1739
<g/>
,
weil	w1741
er	w1742
vorgab	w1743
<g/>
,
daß	w1745
er	w1746
die	w1747
zu	w1748
solcher	w1749
wichtigen	w1750
Stelle	w1751
erfor=derlichen	w1752
<g/>
=
Fähigkeiten	w1754
nicht	w1755
hätte	w1756
<g/>
.
Um	w1758
dem	w1759
Staate	w1760
aber	w1761
auch	w1762
nützliche	w1763
Dienste	w1764
zu	w1765
lei=sten	w1766
<g/>
=
<g/>
,
verschmähet	w1769
er	w1770
nun	w1771
nicht	w1772
<g/>
,
eines	w1774
gerin=gern	w1775
<g/>
=
Postens	w1777
sich	w1778
zu	w1779
unterziehen	w1780
<g/>
,
den	w1782
er	w1783
besser	w1784
erfüllen	w1785
zu	w1786
können	w1787
vermuthet	w1788
<g/>
.
Ganz	w1790
Paris	w1791
giebt	w1792
der	w1793
Bescheidenheit	w1794
und	w1795
dem	w1796
patrioti=schen	w1797
<g/>
=
Eifer	w1799
eines	w1800
so	w1801
guten	w1802
Mitbürgers	w1803
den	w1804
vollkommenen	w1805
Beyfall	w1806
<g/>
.
</p>
<p id="p21">
Obgleich	w1808
der	w1809
neue	w1810
Gerichtshof	w1811
zum	w1812
vor=aus	w1813
<g/>
=
hatte	w1815
merken	w1816
lassen	w1817
<g/>
,
daß	w1819
er	w1820
sich	w1821
nicht	w1822
für	w1823
befugt	w1824
hielt	w1825
<g/>
,
Edikte	w1827
in	w1828
Kammeralsachen	w1829
in	w1830
die	w1831
Bücher	w1832
einzutragen	w1833
<g/>
,
so	w1835
kamen	w1836
deren	w1837
doch	w1838
am	w1839
verwichenen	w1840
Montag	w1841
<g/>
,
um	w1843
11	w1844
<g/>
.
Uhr	w1846
Abends	w1847
<g/>
,
11	w1849
<g/>
.
bey	w1851
dem	w1852
Herrn	w1853
Generalpro=curator	w1854
<g/>
=
an	w1856
