<doc id="wr_1757-04-13" attrs="word" year="1757" month="04" day="13" corpus="2">
<head id="h2_d134e3550">
Genua,	w1_d134e3554
haben:	w13_d134e3842
</p>
<head id="h2_d134e3848">
Londen	w1_d134e3852
2.	w3_d134e3855
April.	w5_d134e3858
</head>
<p id="p4_d134e3861">
Man	w1_d134e3865
hat	w3_d134e3868
der	w5_d134e3871
Kremer	w7_d134e3874
der	w9_d134e3877
Gemeinen	w11_d134e3880
be	w13_d134e3884
reits	w1_d134e3889
eine	w3_d134e3892
Menge	w5_d134e3895
Papiere	w7_d134e3898
überreichet,	w9_d134e3901
so	w11_d134e3904
die	w13_d134e3908
Affairen	w1_d134e3913
der	w3_d134e3916
Mittelländischen	w5_d134e3919
See,	w7_d134e3922
in	w9_d134e3925
den	w11_d134e3928
letzten	w1_d134e3934
zwey	w3_d134e3937
Jahren	w5_d134e3940
betreffen,	w7_d134e3943
wodurch	w9_d134e3946
das	w11_d134e3949
Publicum	w1_d134e3954
zubereitet	w3_d134e3957
wird,	w5_d134e3960
in	w7_d134e3963
kurzem	w9_d134e3966
von	w11_d134e3969
Untersuchung	w1_d134e3974
des	w3_d134e3977
alten	w5_d134e3980
Ministerii	w7_d134e3983
reden	w9_d134e3986
zu	w11_d134e3989
hören.	w1_d134e3994
Viele	w3_d134e3997
von	w5_d134e4000
denen,	w7_d134e4003
woraus	w9_d134e4006
es	w11_d134e4009
be	w13_d134e4013
standen,	w1_d134e4019
tragen	w3_d134e4022
selbst	w5_d134e4025
darauf	w7_d134e4028
an;	w9_d134e4031
und	w11_d134e4034
man	w13_d134e4038
glaubt,	w1_d134e4043
daß	w3_d134e4046
eine	w5_d134e4049
Deputation	w7_d134e4052
von	w9_d134e4055
dem	w11_d134e4058
ge	w13_d134e4062
heimen	w1_d134e4067
Raht	w3_d134e4070
solches	w5_d134e4073
Examen	w7_d134e4076
übernehmen	w9_d134e4079
werde.	w1_d134e4084
</p>
<p id="p6_d134e4087">
Das	w1_d134e4091
Corpo	w3_d134e4094
Heßischer	w5_d134e4097
Völker	w7_d134e4100
ist	w9_d134e4103
würklich	w11_d134e4106
in	w1_d134e4111
der	w3_d134e4114
Nachbarschaft	w5_d134e4117
zu	w7_d134e4120
Catham,	w9_d134e4123
wo	w11_d134e4126
sich	w13_d134e4130
die	w1_d134e4135
erstere	w3_d134e4138
Division	w5_d134e4141
künftige	w7_d134e4144
Woche	w9_d134e4147
einschif	w11_d134e4150
fen	w1_d134e4156
wird.	w3_d134e4159
Jn	w5_d134e4162
diesem	w7_d134e4165
Jahr	w9_d134e4168
werden	w11_d134e4171
wir	w13_d134e4175
in	w15_d134e4178
der	w1_d134e4183
Mittelländischen	w3_d134e4186
See	w5_d134e4189
unter	w7_d134e4192
Com	w9_d134e4195
mando	w1_d134e4200
des	w3_d134e4203
Admirals	w5_d134e4206
Smith,	w7_d134e4209
eine	w9_d134e4212
formi	w11_d134e4215
dable	w1_d134e4220
Flotte	w3_d134e4223
haben;	w5_d134e4226
sie	w7_d134e4229
wird	w9_d134e4232
in	w11_d134e4235
3.	w13_d134e4239
Escadren	w15_d134e4242
abgetheilet	w1_d134e4248
seyn;	w3_d134e4251
deren	w5_d134e4254
jede	w7_d134e4257
von	w9_d134e4260
einem	w11_d134e4263
Ad	w13_d134e4267
miral	w1_d134e4272
wird	w3_d134e4275
commandiret	w5_d134e4278
werden.	w7_d134e4281
Die	w9_d134e4284
vor	w11_d134e4287
nehmste	w1_d134e4292
wird	w3_d134e4295
an	w5_d134e4298
denen	w7_d134e4301
Küsten	w9_d134e4304
von	w11_d134e4307
Minorca,	w13_d134e4311
die	w1_d134e4316
zweyte	w3_d134e4319
auf	w5_d134e4322
der	w7_d134e4325
Höhe	w9_d134e4328
vor	w11_d134e4331
Marseille	w13_d134e4335
und	w15_d134e4338
Toulon,	w1_d134e4344
und	w3_d134e4347
die	w5_d134e4350
dritte	w7_d134e4353
in	w9_d134e4356
der	w11_d134e4359
Meer=enge	w13_d134e4363
von	w1_d134e4368
Gibraltar	w3_d134e4371
kreutzen.	w5_d134e4374
</p>
<p id="p8_d134e4377">
Die	w1_d134e4381
Escadre,	w3_d134e4384
so	w5_d134e4387
der	w7_d134e4390
Admiral	w9_d134e4393
Holbourne	w11_d134e4396
und	w1_d134e4401
Herr	w3_d134e4404
Holmes	w5_d134e4407
commandiren,	w7_d134e4410
und	w9_d134e4413
die	w11_d134e4416
aus	w1_d134e4421
14.	w3_d134e4424
Schiffen	w5_d134e4427
von	w7_d134e4430
der	w9_d134e4433
Linie,	w11_d134e4436
3.	w13_d134e4440
Fregat	w15_d134e4443
ten,	w1_d134e4449
2	w3_d134e4452
Bombardier=galliotten,	w5_d134e4455
und	w7_d134e4458
2.	w9_d134e4461
Branders	w11_d134e4464
bestehet,	w1_d134e4469
lief	w3_d134e4472
den	w5_d134e4475
17.	w7_d134e4478
dieses	w9_d134e4481
Abends	w11_d134e4484
von	w13_d134e4488
Portsmout	w1_d134e4493
aus.	w3_d134e4496
Sie	w5_d134e4499
wartet	w7_d134e4502
zu	w9_d134e4505
St.	w11_d134e4508
Helena	w13_d134e4512
auf	w1_d134e4517
günstigen	w3_d134e4520
Wind.	w5_d134e4523
Diese	w7_d134e4526
Escadre	w9_d134e4529
hat	w11_d134e4532
34.	w13_d134e4536
Transport=schiffe	w1_d134e4542
bey	w3_d134e4545
sich,	w5_d134e4548
welche	w7_d134e4551
bestimmet	w9_d134e4554
sind,	w1_d134e4559
die	w3_d134e4562
übrige	w5_d134e4565
Völker	w7_d134e4568
an	w9_d134e4571
Bord	w11_d134e4574
zu	w13_d134e4578
nehmen,	w15_d134e4581
die	w1_d134e4586
nach	w3_d134e4589
Nord=america	w5_d134e4592
gebracht	w7_d134e4595
werden	w9_d134e4598
sol	w11_d134e4601
len,	w1_d134e4606
und	w3_d134e4609
in	w5_d134e4612
8600.	w7_d134e4615
Mann	w9_d134e4618
bestehen,	w11_d134e4621
mit	w13_d134e4625
Jn	w15_d134e4628
</p>
<p id="p14_d134e4642">
der	w1_d134e4646
2.	w3_d134e4649
Bataillons	w5_d134e4652
Bergeschotten.	w7_d134e4655
Die	w9_d134e4658
7.	w11_d134e4661
Regimenter,	w1_d134e4666
so	w3_d134e4669
man	w5_d134e4672
zu	w7_d134e4675
diesem	w9_d134e4678
Ende	w11_d134e4681
aus	w13_d134e4685
Jrrland	w1_d134e4690
gezogen,	w3_d134e4693
haben	w5_d134e4696
3.	w7_d134e4699
Monat	w9_d134e4702
Sold	w11_d134e4705
von	w13_d134e4709
ihrer	w1_d134e4715
Einschiffung	w3_d134e4718
empfangen.	w5_d134e4721
Der	w7_d134e4724
Almiral	w9_d134e4727
Boscawen,	w1_d134e4732
welcher	w3_d134e4735
nach	w5_d134e4738
Pertsmeut	w7_d134e4741
gegan	w9_d134e4744
gen	w1_d134e4749
war,	w3_d134e4752
die	w5_d134e4755
Ausrüstung	w7_d134e4758
der	w9_d134e4761
4.	w11_d134e4764
Escadren	w13_d134e4768
zu	w15_d134e4771
beschleunigen,	w1_d134e4776
welche	w3_d134e4779
von	w5_d134e4782
dar	w7_d134e4785
unter	w9_d134e4788
Setzel	w11_d134e4791
g	w1_d134e4797
gangen,	w3_d134e4800
ist	w5_d134e4803
wieder	w7_d134e4806
zurück	w9_d134e4809
gekemmen,	w11_d134e4812
wird	w13_d134e4816
aber	w1_d134e4821
bald	w3_d134e4824
wieder	w5_d134e4827
abreisen,	w7_d134e4830
um	w9_d134e4833
das	w11_d134e4836
Command	w13_d134e4840
der	w1_d134e4845
Escadre	w3_d134e4848
zu	w5_d134e4851
übernehmen,	w7_d134e4854
welche	w9_d134e4857
an	w11_d134e4860
denen	w13_d134e4864
Französischen	w1_d134e4869
Küsten	w3_d134e4872
kreutzet.	w5_d134e4875
</p>
<p id="p16_d134e4878">
Alle	w1_d134e4882
Kriegs=schiffe,	w3_d134e4885
die	w5_d134e4888
sich	w7_d134e4891
auf	w9_d134e4894
denen	w11_d134e4897
Werften	w1_d134e4902
der	w3_d134e4905
Themse	w5_d134e4908
befinden,	w7_d134e4911
haben	w9_d134e4914
Befehl	w11_d134e4917
zu	w1_d134e4922
der	w3_d134e4925
Escadre	w5_d134e4928
des	w7_d134e4931
Admirals	w9_d134e4934
Smith	w11_d134e4937
zu	w13_d134e4941
stossen,	w15_d134e4944
und	w1_d134e4950
daselbst	w3_d134e4953
auf	w5_d134e4956
fern	w7_d134e4959
re	w9_d134e4962
Ordres	w11_d134e4965
zu	w13_d134e4969
warten.	w15_d134e4972
Die	w1_d134e4977
3.	w3_d134e4980
nach	w5_d134e4983
Ost	w7_d134e4986
und	w9_d134e4989
West=indien	w11_d134e4992
und	w13_d134e4996
nach	w15_d134e4999
dem	w1_d134e5004
Mitternächtlichen	w3_d134e5007
America	w5_d134e5010
bestimmte	w7_d134e5013
Escadren	w1_d134e5018
werden	w3_d134e5021
noch	w5_d134e5024
immer	w7_d134e5027
durch	w9_d134e5030
widrige	w11_d134e5033
Winde	w1_d134e5039
aufgehelten.	w3_d134e5042
Man	w5_d134e5045
spricht	w7_d134e5048
davon,	w9_d134e5051
daß	w1_d134e5056
man	w3_d134e5059
den	w5_d134e5062
Admiral	w7_d134e5065
Wist	w9_d134e5068
ablösen	w11_d134e5071
werde,	w13_d134e5075
mit	w1_d134e5080
welchem	w3_d134e5083
der	w5_d134e5086
Hof,	w7_d134e5089
dem	w9_d134e5092
Verlaut	w11_d134e5095
nach,	w13_d134e5099
nis	w15_d134e5102
vergnügt	w1_d134e5107
ist,	w3_d134e5110
ohne	w5_d134e5113
daß	w7_d134e5116
man	w9_d134e5119
meldet,	w11_d134e5122
warum.	w13_d134e5126
Der	w1_d134e5132
nun	w3_d134e5135
abgelebte	w5_d134e5138
Admiral	w7_d134e5141
Byng	w9_d134e5144
hat	w11_d134e5147
dem	w13_d134e5151
Vicomte	w1_d134e5156
de	w3_d134e5159
Torington,	w5_d134e5162
seinem	w7_d134e5165
Neveu,	w9_d134e5168
das	w11_d134e5171
kostbare	w1_d134e5176
mit	w3_d134e5179
Brillanten	w5_d134e5182
reich	w7_d134e5185
besetzte	w9_d134e5188
Por	w11_d134e5191
trait	w1_d134e5196
des	w3_d134e5199
Königs	w5_d134e5202
von	w7_d134e5205
Sardinien	w9_d134e5208
vermacht,	w11_d134e5211
womit	w1_d134e5217
ihn	w3_d134e5220
dieser	w5_d134e5223
König	w7_d134e5226
zu	w9_d134e5229
Belohnung	w11_d134e5232
der	w13_d134e5236
ihme	w1_d134e5241
im	w3_d134e5244
letzten	w5_d134e5247
Kriege	w7_d134e5250
geleisteten	w9_d134e5253
Dienste	w11_d134e5256
be	w13_d134e5260
schenkt	w1_d134e5265
hatte;	w3_d134e5268
und	w5_d134e5271
seine	w7_d134e5274
ansehnlichen	w9_d134e5277
Güter	w11_d134e5280
hat	w1_d134e5285
er	w3_d134e5288
unter	w5_d134e5291
seine	w7_d134e5294
2.	w9_d134e5297
Schwestern	w11_d134e5300
und	w13_d134e5304
seinen	w15_d134e5307
Neven	w1_d134e5313
ausgetheilet.	w3_d134e5316
</p>
<head id="h2_d134e5322">
Cöln	w1_d134e5326
3.	w3_d134e5329
April.	w5_d134e5332
</head>
<p id="p4_d134e5335">
Ein	w1_d134e5339
Theil	w3_d134e5342
des	w5_d134e5345
am	w7_d134e5348
15.	w9_d134e5351
Augusti	w11_d134e5354
1745.	w13_d134e5358
er	w15_d134e5361
richteten	w1_d134e5366
und	w3_d134e5369
aus	w5_d134e5372
2370.	w7_d134e5375
Mann	w9_d134e5378
bestehenden	w11_d134e5381
Corps	w1_d134e5386
deren	w3_d134e5389
freywilligen	w5_d134e5392
Königl.	w7_d134e5395
Französi	w9_d134e5398
schen	w1_d134e5404
Trupen	w3_d134e5407
zwischen	w5_d134e5410
13.	w7_d134e5413
und	w9_d134e5416
1400.	w11_d134e5419
Mann	w13_d134e5423
stark,	w1_d134e5428
ist	w3_d134e5431
gestrigen	w5_d134e5434
Tages	w7_d134e5437
über	w9_d134e5440
die	w11_d134e5443
Cölnischen	w13_d134e5447
Stadt=gräben	w1_d134e5452
paßiret,	w3_d134e5455
der	w5_d134e5458
Prinz	w7_d134e5461
von	w9_d134e5464
Sou	w11_d134e5467
bise	w1_d134e5472
hat	w3_d134e5475
vor	w5_d134e5478
seiner	w7_d134e5481
Abreise	w9_d134e5484
v.	w11_d134e5487
Maseyck	w13_d134e5491
die	w15_d134e5494
Com	w17_d134e5497
missarien	w1_d134e5503
des	w3_d134e5506
Clevische	w5_d134e5509
Landes	w7_d134e5512
nach	w9_d134e5515
Düsseldorf	w11_d134e5518
einladen	w1_d134e5523
lassen,	w3_d134e5526
um	w5_d134e5529
die	w7_d134e5532
Lieferung	w9_d134e5535
deren	w11_d134e5538
Lebens	w13_d134e5542
mitteln	w1_d134e5547
und	w3_d134e5550
Furagen	w5_d134e5553
für	w7_d134e5556
die	w9_d134e5559
Französische	w11_d134e5562
Armee	w1_d134e5567
mit	w3_d134e5570
ihnen	w5_d134e5573
zu	w7_d134e5576
reguliren,	w9_d134e5579
zugleich	w11_d134e5582
aber	w13_d134e5586
auch	w1_d134e5592
die	w3_d134e5595
Einwohner	w5_d134e5598
in	w7_d134e5601
Ruhe	w9_d134e5604
zu	w11_d134e5607
setzen,	w13_d134e5611
und	w15_d134e5614
die	w1_d134e5619
kurzhin	w3_d134e5622
von	w5_d134e5625
dem	w7_d134e5628
König	w9_d134e5631
von	w11_d134e5634
Preussen	w13_d134e5638
ihnen	w1_d134e5643
aufgelegte	w3_d134e5646
ausserordentliche	w5_d134e5649
Auflagen	w7_d134e5652
wieder	w1_d134e5657
abzustellen.	w3_d134e5660
</p>
<head id="h2_d134e5666">
Rüremonde,	w1_d134e5670
den	w3_d134e5673
30.	w5_d134e5676
Mariii.	w7_d134e5679
</head>
<p id="p4_d134e5682">
Am	w1_d134e5686
Montage	w3_d134e5689
Nachmittags,	w5_d134e5692
kam	w7_d134e5695
der	w9_d134e5698
Prinz	w1_d134e5703
von	w3_d134e5706
Sobuise	w5_d134e5709
allhier	w7_d134e5712
an,	w9_d134e5715
und	w11_d134e5718
er	w13_d134e5722
ließ	w15_d134e5725
</p>
<p id="p6_d134e5728">
sogleich	w1_d134e5732
ein	w3_d134e5735
Detachement	w5_d134e5738
Oesterreichische	w7_d134e5741
und	w9_d134e5744
Französische	w1_d134e5749
Trupen	w3_d134e5752
abmarschiren,	w5_d134e5755
wechts	w7_d134e5758
noch	w1_d134e5763
selbigen	w3_d134e5766
Abend	w5_d134e5769
auf	w7_d134e5772
dem	w9_d134e5775
Geldrisch	w11_d134e5778
preußischen	w1_d134e5784
Gebiete,	w3_d134e5787
nemlich	w5_d134e5790
zu	w7_d134e5793
Kessel,	w9_d134e5796
2.	w11_d134e5799
Meilen	w1_d134e5804
von	w3_d134e5807
hier,	w5_d134e5810
ankam.	w7_d134e5813
Die	w9_d134e5816
alliirte	w11_d134e5819
Tru	w13_d134e5823
pen	w1_d134e5828
rücken	w3_d134e5831
immer	w5_d134e5834
näher,	w7_d134e5837
und	w9_d134e5840
man	w11_d134e5843
glaubet,	w13_d134e5847
daß	w1_d134e5852
Geldern	w3_d134e5855
umringet	w5_d134e5858
werden	w7_d134e5861
wird.	w9_d134e5864
Sit	w11_d134e5867
halten	w1_d134e5873
in	w3_d134e5876
dem	w5_d134e5879
feindlichen	w7_d134e5882
Lande	w9_d134e5885
die	w11_d134e5888
beste	w13_d134e5892
Mannszucht,	w1_d134e5897
und	w3_d134e5900
sie	w5_d134e5903
zahlen	w7_d134e5906
alles,	w9_d134e5909
sogar	w11_d134e5912
die	w13_d134e5916
Wägen,	w1_d134e5921
mit	w3_d134e5924
/	w5_d134e5927
baarem	w7_d134e5930
Gelde.	w9_d134e5933
Der	w11_d134e5936
hiesige	w13_d134e5940
Commendant	w1_d134e5945
hat	w3_d134e5948
Befehl	w5_d134e5951
erhalten,	w7_d134e5954
im	w9_d134e5957
Namen	w11_d134e5960
Jhro	w1_d134e5966
Majestät,	w3_d134e5969
der	w5_d134e5972
Kaiserin	w7_d134e5975
Königin,	w9_d134e5978
vor	w11_d134e5981
Preußisch=geldern	w1_d134e5986
Besitz	w3_d134e5989
zu	w5_d134e5992
nehmen.	w7_d134e5995
</p>
<head id="h2_d134e6002">
Elb=strom,	w1_d134e6006
29.	w3_d134e6009
Mart.	w5_d134e6012
</head>
<p id="p4_d134e6015">
Daß	w1_d134e6019
sich	w3_d134e6022
die	w5_d134e6025
Preußischen	w7_d134e6028
Trupen	w9_d134e6031
in	w11_d134e6034
der	w13_d134e6038
Laufnitz	w1_d134e6043
von	w3_d134e6046
Tag	w5_d134e6049
zu	w7_d134e6052
Tag	w9_d134e6055
verstärken,	w11_d134e6058
soll	w13_d134e6062
die	w15_d134e6065
Ursache	w1_d134e6070
seyn,	w3_d134e6073
weil	w5_d134e6076
die	w7_d134e6079
gegenseitige	w9_d134e6082
Arme	w11_d134e6085
von	w1_d134e6091
100000.	w3_d134e6094
Mann	w5_d134e6097
durch	w7_d134e6100
die	w9_d134e6103
Laufnitz,	w11_d134e6106
an	w13_d134e6110
der	w15_d134e6113
Seite	w1_d134e6118
von	w3_d134e6121
Görlitz	w5_d134e6124
zu	w7_d134e6127
brechen,	w9_d134e6130
und	w11_d134e6133
über	w13_d134e6137
Cot	w15_d134e6140
bus	w1_d134e6145
und	w3_d134e6148
Guben	w5_d134e6151
sich	w7_d134e6154
einen	w9_d134e6157
Weg	w11_d134e6160
nach	w13_d134e6164
der	w15_d134e6167
Oder	w1_d134e6172
zu	w3_d134e6175
eröfnen,	w5_d134e6178
um	w7_d134e6181
den	w9_d134e6184
Sitz	w11_d134e6187
des	w13_d134e6191
Krieges	w15_d134e6194
in	w1_d134e6200
die	w3_d134e6203
Mark	w5_d134e6206
zu	w7_d134e6209
versetzen	w9_d134e6212
Willens	w11_d134e6215
zu	w13_d134e6219
seyn	w15_d134e6222
scheinet.	w1_d134e6227
</p>
<head id="h2_d134e6233">
Hamburg	w1_d134e6237
13.	w3_d134e6240
Martii.	w5_d134e6243
</head>
<p id="p4_d134e6246">
Der	w1_d134e6250
Herzog	w3_d134e6253
von	w5_d134e6256
Meklenburg	w7_d134e6259
hat	w9_d134e6262
eine	w11_d134e6265
weitläuftige	w1_d134e6270
Ausführung	w3_d134e6273
der	w5_d134e6276
Klagen	w7_d134e6279
gegen	w9_d134e6282
den	w1_d134e6287
König	w3_d134e6290
von	w5_d134e6293
Preussen	w7_d134e6296
ans	w9_d134e6299
Licht	w11_d134e6302
stellen	w13_d134e6306
lassen,	w1_d134e6312
und	w3_d134e6315
der	w5_d134e6318
alhier	w7_d134e6321
befindliche	w9_d134e6324
Königlich	w11_d134e6327
Französische	w1_d134e6332
Minister,	w3_d134e6335
Herr	w5_d134e6338
von	w7_d134e6341
Champeanz	w9_d134e6344
solle	w1_d134e6349
Befehl	w3_d134e6352
haben,	w5_d134e6355
sich	w7_d134e6358
nach	w9_d134e6361
Schwerin	w11_d134e6364
zu	w13_d134e6368
begeben,	w1_d134e6373
und	w3_d134e6376
zu	w5_d134e6379
trachten,	w7_d134e6382
damit	w9_d134e6385
die	w11_d134e6388
von	w13_d134e6392
Chur=hannover	w1_d134e6398
vorgeschossene	w3_d134e6401
Gelder	w5_d134e6404
von	w7_d134e6407
de	w9_d134e6410
nen	w1_d134e6415
Ständen	w3_d134e6418
von	w5_d134e6421
Meklenburg	w7_d134e6424
abgezahlet,	w9_d134e6427
mithin	w1_d134e6432
hiedurch	w3_d134e6435
diesem	w5_d134e6438
Hof	w7_d134e6441
der	w9_d134e6444
Gewalt	w11_d134e6447
be	w13_d134e6451
nommen	w1_d134e6456
werde,	w3_d134e6459
künftig	w5_d134e6462
über	w7_d134e6465
diese	w9_d134e6468
Lande	w11_d134e6471
und	w13_d134e6475
Unterthanen	w1_d134e6481
zu	w3_d134e6484
disponiren.	w5_d134e6487
</p>
<head id="h2_d134e6493">
Nitza	w1_d134e6497
18.	w3_d134e6500
Martii.	w5_d134e6503
</head>
<p id="p4_d134e6506">
Der	w1_d134e6510
Genuesische	w3_d134e6513
Senat	w5_d134e6516
ist	w7_d134e6519
so	w9_d134e6522
ernstlich	w11_d134e6525
be	w13_d134e6529
schäftiget,	w1_d134e6534
sich	w3_d134e6537
in	w5_d134e6540
eine	w7_d134e6543
ete	w9_d134e6546
Verfassung	w11_d134e6549
zu	w13_d134e6553
se	w15_d134e6556
tzen,	w1_d134e6561
daß	w3_d134e6564
man	w5_d134e6567
glauben	w7_d134e6570
solte,	w9_d134e6573
es	w11_d134e6576
habe	w13_d134e6580
die	w15_d134e6583
Re	w17_d134e6586
public	w1_d134e6592
Ursach,	w3_d134e6595
von	w5_d134e6598
da	w7_d134e6601
oder	w9_d134e6604
dorther	w11_d134e6607
einen	w13_d134e6611
feind	w15_d134e6614
lichen	w1_d134e6619
Uberfall	w3_d134e6622
zu	w5_d134e6625
beförchten.	w7_d134e6628
Alle	w9_d134e6631
Richter	w11_d134e6634
am	w13_d134e6638
Ligustischen	w1_d134e6643
Meer	w3_d134e6646
seynd	w5_d134e6649
nach	w7_d134e6652
Genua	w9_d134e6655
berufen	w11_d134e6658
worden.	w1_d134e6663
Zu	w3_d134e6666
Savona	w5_d134e6669
hat	w7_d134e6672
man	w9_d134e6675
das	w11_d134e6678
prächti	w13_d134e6682
ge	w1_d134e6688
Collegium	w3_d134e6691
der	w5_d134e6694
PP.	w7_d134e6697
Piaristen	w9_d134e6700
geschleiffet=weil	w11_d134e6703
dasselbe	w1_d134e6708
einer	w3_d134e6711
Armee	w5_d134e6714
den	w7_d134e6717
Angrif	w9_d134e6720
auf	w11_d134e6723
die	w13_d134e6727
Cita	w15_d134e6730
delle	w1_d134e6735
hätte	w3_d134e6738
erleichtern	w5_d134e6741
können.	w7_d134e6744
Zu	w9_d134e6747
Pertofino	w11_d134e6750
arbeitet	w1_d134e6755
man	w3_d134e6758
an	w5_d134e6761
neuen	w7_d134e6764
Festungs=werkern,	w9_d134e6767
und	w11_d134e6770
</p>
<p id="p8_d134e6775">
zu	w1_d134e6779
Porto=Mauritio,	w3_d134e6782
und	w5_d134e6785
an	w7_d134e6788
einigen	w9_d134e6791
andern	w11_d134e6794
Orten,	w1_d134e6799
werden	w3_d134e6802
Batterien	w5_d134e6805
aufgeworfen.	w7_d134e6808
Zu	w9_d134e6811
St.	w1_d134e6816
Remo	w3_d134e6819
seynd	w5_d134e6822
die	w7_d134e6825
Jngenieurs	w9_d134e6828
an	w11_d134e6831
der	w13_d134e6835
Arbeit,	w15_d134e6838
von	w1_d134e6844
dem	w3_d134e6847
Raht=hause	w5_d134e6850
an	w7_d134e6853
bis	w9_d134e6856
an	w11_d134e6859
das	w13_d134e6863
Meer,	w15_d134e6866
den	w1_d134e6871
Bezirk	w3_d134e6874
abzumessen;	w5_d134e6877
dieses	w7_d134e6880
aber	w9_d134e6883
kann	w11_d134e6886
mut	w13_d134e6890
maslich	w1_d134e6895
in	w3_d134e6898
keiner	w5_d134e6901
andern	w7_d134e6904
Absicht	w9_d134e6907
geschehen,	w11_d134e6910
als	w1_d134e6915
daraus	w3_d134e6918
einen	w5_d134e6921
Waffen=platz	w7_d134e6924
zu	w9_d134e6927
machen.	w11_d134e6930
Eben	w1_d134e6936
diese	w3_d134e6939
Jngenieurs	w5_d134e6942
haben	w7_d134e6945
auch	w9_d134e6948
alle	w11_d134e6951
Gegen	w13_d134e6955
den	w1_d134e6960
und	w3_d134e6963
Lagen	w5_d134e6966
der	w7_d134e6969
Gebürgen,	w9_d134e6972
die	w11_d134e6975
an	w13_d134e6979
die	w15_d134e6982
Kö	w17_d134e6985
niglich=Sardinische	w1_d134e6990
Staaten	w3_d134e6993
gränzen,	w5_d134e6996
mit	w7_d134e6999
vieler	w1_d134e7004
Sorgfalt	w3_d134e7007
ausgekundschaftet.	w5_d134e7010
</p>
<head id="h2_d134e7016">
Nürnberg	w1_d134e7020
24.	w3_d134e7023
Martii.	w5_d134e7026
</head>
<p id="p4_d134e7029">
Seit	w1_d134e7033
einigen	w3_d134e7036
Tagen	w5_d134e7039
befindet	w7_d134e7042
sich	w9_d134e7045
zu	w11_d134e7048
Fürth	w13_d134e7052
ein	w1_d134e7057
Detaschement	w3_d134e7060
Hussaren,	w5_d134e7063
die	w7_d134e7066
aus	w9_d134e7069
denen	w11_d134e7072
Niederlanden	w1_d134e7077
gekommen,	w3_d134e7080
und	w5_d134e7083
zu	w7_d134e7086
Bedeckung	w9_d134e7089
Sr.	w1_d134e7095
Königl.	w3_d134e7098
Hoheit	w5_d134e7101
des	w7_d134e7104
Herzogs	w9_d134e7107
Carl	w11_d134e7110
von	w1_d134e7115
Lothringen	w3_d134e7118
Bagzage	w5_d134e7121
und	w7_d134e7124
Feld=equipage	w9_d134e7127
dienen,	w1_d134e7132
sie	w3_d134e7135
seynd	w5_d134e7138
rot	w7_d134e7141
gekleidet.	w9_d134e7144
Auch	w11_d134e7147
ver	w13_d134e7151
nihmt	w1_d134e7156
man,	w3_d134e7159
daß	w5_d134e7162
die	w7_d134e7165
Würzburgische	w9_d134e7168
Trupen	w11_d134e7171
sämtlich	w1_d134e7177
gegen	w3_d134e7180
die	w5_d134e7183
obere	w7_d134e7186
Pfalz	w9_d134e7189
nach	w11_d134e7192
Eger	w13_d134e7196
und	w1_d134e7201
sofort	w3_d134e7204
weiter	w5_d134e7207
in	w7_d134e7210
Böheim	w9_d134e7213
