<doc id="edoc_wd_1726-09-18" attrs="word" year="1726" month="09" day="18" corpus="1">
<head id="hl1">
Smirna	w54
greiffen	w586
<g/>
/
wofern	w588
die	w589
übermässige	w590
Hitze	w591
allzu	w592
geschwind	w593
<g/>
/
auf	w595
den	w596
jetzigen	w597
schon	w598
4	w599
<g/>
.
oder	w601
5	w602
<g/>
.
Tage	w604
häuffig	w605
fallenden	w606
Regen	w607
<g/>
/
ein=fallen	w609
<g/>
=
solte	w611
<g/>
.
</p>
<head id="hl3">
Bilbao	w613
16	w614
<g/>
.
Augusti	w616
<g/>
.
</head>
<p id="p10">
Man	w618
bekräftiget	w619
<g/>
/
daß	w621
das	w622
Engelländische	w623
Geschwader	w624
<g/>
/
unter	w626
Befehlshabung	w627
des	w628
Ca=valier	w629
<g/>
=
Jennings	w631
<g/>
/
an	w633
der	w634
Rhede	w635
St	w636
<g/>
.
Anton	w638
<g/>
/
Anker	w640
geworffen	w641
habe	w642
<g/>
/
von	w644
dannen	w645
er	w646
einen	w647
Expressen	w648
<g/>
/
mit	w650
Briefen	w651
<g/>
/
an	w653
den	w654
Herrn	w655
</p>
<p id="p11">
Stanhope	w659
<g/>
/
Engelländischen	w661
Botschafter	w662
zu	w663
Madrid	w664
abgefertiget	w665
<g/>
.
Der	w667
Engelländische	w668
Admiral	w669
<g/>
/
welcher	w671
verschiedene	w672
Spanische	w673
Of=ficierer	w674
<g/>
=
am	w676
Bord	w677
seines	w678
Geschwaders	w679
<g/>
/
tra- ctiret	w681
<g/>
-
hat	w683
<g/>
/
hat	w685
von	w686
dem	w687
Lande	w688
Erfrischun=gen	w689
<g/>
=
bekommen	w691
<g/>
.
</p>
<head id="hl4">
Bristol	w693
24	w694
<g/>
.
Augusti	w696
<g/>
.
</head>
<p id="p12">
Diesen	w698
Morgen	w699
fruhe	w700
versammelten	w701
sich	w702
ungefehr	w703
500	w704
<g/>
.
Weber	w706
<g/>
=
Gesellen	w708
bey	w709
dem	w710
Law=fords	w711
<g/>
=
<g/>
=
Thor	w714
<g/>
/
und	w716
führeten	w717
zwey	w718
von	w719
ihren	w720
Rott	w721
<g/>
=
Gesellen	w723
<g/>
/
welche	w725
Abends	w726
vorher	w727
durch	w728
Richterliche	w729
Macht	w730
bey	w731
dem	w732
Kopf	w733
genom=men	w734
<g/>
=
worden	w736
<g/>
/
aus	w738
dem	w739
Arrest	w740
<g/>
;
nachgehends	w742
stürmeten	w743
sie	w744
des	w745
auf	w746
St	w747
<g/>
.
Philipp	w749
<g/>
=
Platz	w751
wohnenden	w752
Herrn	w753
Edgards	w754
Haus	w755
mit	w756
so	w757
grosser	w758
Ungestümigkeit	w759
<g/>
/
daß	w761
er	w762
<g/>
/
und	w764
seine	w765
Frau	w766
genug	w767
zu	w768
thun	w769
hatten	w770
<g/>
/
daß	w772
sie	w773
noch	w774
durch	w775
ein	w776
Hinter	w777
<g/>
=
Fenster	w779
ihren	w780
Händen	w781
ent=kommen	w782
<g/>
=
<g/>
:
hierauf	w785
eileten	w786
sie	w787
in	w788
dieser	w789
Wut	w790
auf	w791
des	w792
Herrn	w793
Stephan	w794
Johann	w795
Haus	w796
zu	w797
<g/>
/
brachen	w799
alles	w800
Porcelain	w801
in	w802
Stüken	w803
<g/>
/
nah=men	w805
<g/>
=
eine	w807
silberne	w808
Bier	w809
<g/>
=
Kanne	w811
hinweg	w812
<g/>
/
schlugen	w814
alle	w815
Fenster	w816
ein	w817
<g/>
/
und	w819
thaten	w820
gros=sen	w821
<g/>
=
Schaden	w823
<g/>
:
um	w825
8	w826
<g/>
.
Uhr	w828
nahmen	w829
sie	w830
ihren	w831
Zug	w832
durch	w833
die	w834
Stadt	w835
nach	w836
der	w837
Tempel	w838
<g/>
=
Gas=se	w840
<g/>
=
<g/>
/
in	w843
welcher	w844
sie	w845
sich	w846
mit	w847
noch	w848
andern	w849
her=zu	w850
<g/>
=
kommenden	w852
verstärkten	w853
<g/>
/
und	w855
nach	w856
Bed=münster	w857
<g/>
=
<g/>
/
welcher	w860
Ort	w861
eine	w862
Meile	w863
von	w864
dieser	w865
Stadt	w866
in	w867
der	w868
Grafschaft	w869
Sommerset	w870
liget	w871
<g/>
/
ihre	w873
Streifferey	w874
fortsetzten	w875
<g/>
;
wie	w877
sie	w878
daselbst	w879
an=gekommen	w880
<g/>
=
<g/>
/
brachen	w883
sie	w884
in	w885
eines	w886
Webers	w887
Haus	w888
<g/>
/
schnitten	w890
alles	w891
<g/>
/
was	w893
sie	w894
fanden	w895
an	w896
Leinen	w897
<g/>
/
ꝛc	w899
in	w900
Stüken	w901
<g/>
/
und	w903
verbrannten	w904
es	w905
auf	w906
offentlicher	w907
Strasse	w908
<g/>
;
wie	w910
sie	w911
nun	w912
die=ses	w913
<g/>
=
verrichtet	w915
<g/>
/
zogen	w917
sie	w918
mitten	w919
durch	w920
die	w921
Stadt	w922
nach	w923
ihrem	w924
ersten	w925
Sammel	w926
<g/>
=
Platz	w928
in	w929
der	w930
vor	w931
<g/>
=
Stadt	w933
<g/>
/
welche	w935
jedoch	w936
unter	w937
der	w938
Graf=schaft	w939
<g/>
=
Glocester	w941
Gerechtigkeit	w942
gehöret	w943
<g/>
/
wie=der	w945
<g/>
=
zurük	w947
<g/>
.
Der	w949
Herr	w950
Littlear	w951
welcher	w952
bey	w953
des	w954
Generals	w955
Wills	w956
Regiment	w957
als	w958
Adjutant	w959
stehet	w960
<g/>
/
truge	w962
eine	w963
gute	w964
Anzahl	w965
Soldaten	w966
dem	w967
Weltlichen	w968
Arm	w969
gegen	w970
diese	w971
mutwillige	w972
U=bertretter	w973
<g/>
=
beyzuspringen	w975
an	w976
<g/>
/
er	w978
wurde	w979
aber	w980
nicht	w981
darumen	w982
angesprochen	w983
<g/>
.
</p>
<head id="hl5">
Madrid	w985
26	w986
<g/>
.
Augusti	w988
<g/>
.
</head>
<p id="p13">
Der	w990
Infant	w991
Don	w992
Emanuel	w993
von	w994
Portugall	w995
<g/>
/
und	w997
der	w998
Herr	w999
Graf	w1000
von	w1001
Königsegg	w1002
<g/>
/
Botschaf=ter	w1004
<g/>
=
Jhrer	w1006
Majestät	w1007
des	w1008
Kaisers	w1009
<g/>
/
gehen	w1011
dann	w1012
und	w1013
wann	w1014
mit	w1015
dem	w1016
König	w1017
auf	w1018
die	w1019
Jagd	w1020
<g/>
.
</p>
<p id="p14">
Vor	w1022
einigen	w1023
Tagen	w1024
hatte	w1025
der	w1026
Königl	w1027
<g/>
.
En=gelländische	w1029
<g/>
=
Gesandter	w1031
<g/>
/
Obrist	w1033
Stanhoppe	w1034
<g/>
/
</p>
<p id="p15">
bey	w1036
dem	w1037
König	w1038
eine	w1039
sonderbare	w1040
Audientz	w1041
<g/>
/
und	w1043
gabe	w1044
Jhrer	w1045
Majestät	w1046
die	w1047
Versicherung	w1048
<g/>
=
<g/>
/
daß	w1051
der	w1052
Admiral	w1053
Jennings	w1054
<g/>
/
welcher	w1056
mit	w1057
ei=nem	w1058
<g/>
=
Engelländischen	w1060
Kriegs	w1061
<g/>
=
Geschwader	w1063
nach	w1064
der	w1065
Mittelländischen	w1066
See	w1067
unter	w1068
Wegs	w1069
wäre	w1070
<g/>
/
zu	w1072
keinem	w1073
andern	w1074
Ende	w1075
<g/>
/
als	w1077
um	w1078
die	w1079
Festungen	w1080
Gibraltar	w1081
und	w1082
Port	w1083
<g/>
-
Mahon	w1085
mit	w1086
mehrerem	w1087
Volk	w1088
<g/>
/
und	w1090
dem	w1091
darinnen	w1092
abgehen=den	w1093
<g/>
=
Vorraht	w1095
an	w1096
Munition	w1097
und	w1098
Lebens	w1099
<g/>
=
Mit=teln	w1101
<g/>
=
zu	w1103
versehen	w1104
<g/>
/
anlangen	w1106
wurde	w1107
<g/>
/
und	w1109
be=sagter	w1110
<g/>
=
Admiral	w1112
ausdrücklichen	w1113
Befehl	w1114
hätte	w1115
<g/>
/
nichts	w1117
zu	w1118
unternehmen	w1119
<g/>
/
wodurch	w1121
denen	w1122
Spa=nischen	w1123
<g/>
=
Meer	w1125
<g/>
=
Porten	w1127
einiges	w1128
Nachdenken	w1129
verursachet	w1130
werden	w1131
könte	w1132
<g/>
.
Aber	w1134
dessen	w1135
un=gedacht	w1136
<g/>
=
hat	w1138
Jhre	w1139
Majestät	w1140
<g/>
/
unser	w1142
allergnä=digster	w1143
<g/>
=
König	w1145
denen	w1146
Gubernatoren	w1147
zu	w1148
Mal-laga	w1149
<g/>
-
<g/>
,
Cartagena	w1152
<g/>
,
Alicante	w1154
<g/>
,
Valenzia	w1156
<g/>
,
und	w1158
anderen	w1159
Meer	w1160
<g/>
=
Porten	w1162
Befehl	w1163
ertheilet	w1164
<g/>
/
daß	w1166
sie	w1167
einige	w1168
leichte	w1169
Fregatten	w1170
in	w1171
die	w1172
See	w1173
schi=ken	w1174
<g/>
=
<g/>
/
und	w1177
das	w1178
Engelländische	w1179
Geschwader	w1180
<g/>
/
so	w1182
dem	w1183
Bericht	w1184
nach	w1185
auf	w1186
denen	w1187
Cüsten	w1188
von	w1189
Biscayen	w1190
kreutzen	w1191
<g/>
/
auf	w1193
das	w1194
genaueste	w1195
beob=achten	w1196
<g/>
=
solten	w1198
<g/>
.
</p>
<p id="p16">
Die	w1200
jüngsten	w1201
Briefe	w1202
von	w1203
Lisabon	w1204
bestet=tigen	w1205
<g/>
=
<g/>
/
daß	w1208
zur	w1209
Abreis	w1210
der	w1211
Infantin	w1212
von	w1213
Portugall	w1214
nach	w1215
diesen	w1216
Landen	w1217
würklich	w1218
An=stalten	w1219
<g/>
=
gemacht	w1221
werden	w1222
<g/>
.
</p>
<head id="hl6">
Neapel	w1224
27	w1225
<g/>
.
Augusti	w1227
<g/>
.
</head>
<p id="p17">
Gestern	w1229
frühe	w1230
wurde	w1231
von	w1232
Jhrer	w1233
Eminentz	w1234
<g/>
/
Herrn	w1236
Cardinal	w1237
Vice	w1238
-König	w1239
<g/>
/
dem	w1241
Herrn	w1242
Residenten	w1243
von	w1244
Venedig	w1245
Johann	w1246
Zuccato	w1247
die	w1248
erste	w1249
öffentliche	w1250
Besuchung	w1251
verwilliget	w1252
<g/>
;
weswegen	w1254
er	w1255
nach	w1256
dem	w1257
er	w1258
die	w1259
Complimen- ten	w1260
<g/>
-
<g/>
/
von	w1263
Seiten	w1264
derer	w1265
vornehmsten	w1266
Herren	w1267
aus	w1268
dem	w1269
hiesigen	w1270
Adel	w1271
<g/>
/
wie	w1273
nicht	w1274
weniger	w1275
von	w1276
denen	w1277
Nationalen	w1278
<g/>
/
welchen	w1280
reichliche	w1281
Erfrischungen	w1282
ausgetheilet	w1283
wurden	w1284
<g/>
/
in	w1286
dem	w1287
öffentlichen	w1288
Pallast	w1289
angenommen	w1290
hatte	w1291
<g/>
/
mit	w1293
seinem	w1294
Zuge	w1295
<g/>
/
und	w1297
Kutschen	w1298
<g/>
/
mit	w1300
anmuti=ger	w1301
<g/>
=
Liberey	w1303
<g/>
/
unter	w1305
einem	w1306
Zahl	w1307
<g/>
=
reichen	w1309
Ge=folge	w1310
<g/>
=
von	w1312
wol	w1313
120	w1314
<g/>
.
Kutschen	w1316
<g/>
/
die	w1318
ihme	w1319
der	w1320
hiesige	w1321
Adel	w1322
entgegen	w1323
geschicket	w1324
hatte	w1325
<g/>
/
in	w1327
den	w1328
Königl	w1329
<g/>
.
Pallast	w1331
fuhre	w1332
<g/>
;
als	w1334
er	w1335
dahin	w1336
gekom=men	w1337
<g/>
=
<g/>
/
wurde	w1340
er	w1341
von	w1342
Jhrer	w1343
Eminentz	w1344
nach	w1345
gewöhnlichem	w1346
Gebrauch	w1347
<g/>
/
und	w1349
mit	w1350
sonder=barer	w1351
<g/>
=
Großachtungs	w1353
<g/>
=
Bezeugung	w1355
<g/>
/
und	w1357
groß=mütigen	w1358
<g/>
=
Versprechen	w1360
gegen	w1361
die	w1362
Durchleuch=tige	w1363
<g/>
=
Republic	w1365
<g/>
,
und	w1367
gegen	w1368
dessen	w1369
Person	w1370
selbst	w1371
empfangen	w1372
<g/>
/
und	w1374
kehrete	w1375
hernach	w1376
mit	w1377
demselben	w1378
Gefolg	w1379
in	w1380
den	w1381
Pallast	w1382
von	w1383
St	w1384
<g/>
.
Marx	w1386
ein	w1387
<g/>
;
da	w1389
er	w1390
dann	w1391
folgenden	w1392
Mor Morgens	w1393
<g/>
=
</p>
<p id="p18">
gens	w1397
bey	w1398
Jhrer	w1399
Eminentz	w1400
dem	w1401
Cardinal	w1402
Ertz	w1403
<g/>
=
Bischof	w1405
seine	w1406
öffentliche	w1407
Besuchung	w1408
ablegete	w1409
<g/>
.
</p>
<head id="hl7">
Livorno	w1411
30	w1412
Augusti	w1413
<g/>
.
</head>
<p id="p19">
Unter	w1415
denen	w1416
in	w1417
hiesigen	w1418
Hafen	w1419
eingelauf=fenen	w1420
<g/>
=
Fahr	w1422
<g/>
=
Zeugen	w1424
<g/>
/
ist	w1426
ein	w1427
Engelländisches	w1428
Schif	w1429
in	w1430
6	w1431
<g/>
.
Tägen	w1433
von	w1434
Porto	w1435
<g/>
-
Mahon	w1437
an=gekommen	w1438
<g/>
=
<g/>
/
alwo	w1441
man	w1442
das	w1443
Engelländische	w1444
Geschwader	w1445
erwartete	w1446
<g/>
/
und	w1448
annoch	w1449
beschäf=tiget	w1450
<g/>
=
wäre	w1452
<g/>
/
an	w1454
dem	w1455
Einlauf	w1456
des	w1457
Hafens	w1458
<g/>
/
grosse	w1460
Batterien	w1461
zu	w1462
desselben	w1463
Beschirmung	w1464
<g/>
/
aufzuwerfen	w1466
<g/>
.
So	w1468
ist	w1469
auch	w1470
eine	w1471
Barke	w1472
von	w1473
Neapolis	w1474
in	w1475
Romanien	w1476
<g/>
/
mit	w1478
beschmutzten	w1479
Patent	w1480
angelanget	w1481
<g/>
/
welches	w1483
bedeutet	w1484
<g/>
/
daß	w1486
sich	w1487
daselbst	w1488
ein	w1489
Ansatz	w1490
von	w1491
der	w1492
bösen	w1493
Seu=che	w1494
<g/>
=
<g/>
/
daran	w1497
gegen	w1498
15	w1499
<g/>
.
Personen	w1501
gestorben	w1502
wären	w1503
<g/>
/
habe	w1505
merken	w1506
lassen	w1507
<g/>
/
welches	w1509
aber	w1510
nunmehro	w1511
völlig	w1512
aufgehöret	w1513
hätte	w1514
<g/>
.
</p>
<head id="hl8">
Rom	w1516
31	w1517
<g/>
.
Augusti	w1519
</head>
<p id="p20">
Weilen	w1520
Samstags	w1521
das	w1522
Fest	w1523
des	w1524
Heil	w1525
Lud-wigs	w1526
<g/>
-
<g/>
,
Königs	w1529
in	w1530
Frankreich	w1531
gefeyert	w1532
wur=de	w1533
<g/>
=
<g/>
/
hielte	w1536
das	w1537
heilige	w1538
Collegium	w1539
die	w1540
ge=wöhnliche	w1541
<g/>
=
Capelle	w1543
in	w1544
des	w1545
besagten	w1546
heiligen	w1547
Kirche	w1548
<g/>
/
in	w1550
welcher	w1551
ein	w1552
grosser	w1553
Zulauf	w1554
war	w1555
<g/>
;
worbey	w1557
auch	w1558
der	w1559
Prætendent dent	w1560
von	w1561
Engel=land	w1562
<g/>
=
erschiene	w1564
<g/>
/
welcher	w1566
von	w1567
dem	w1568
Cardinal	w1569
von	w1570
Polignac	w1571
becomplimentiret	w1572
wurde	w1573
<g/>
;
nach	w1575
vollbrachter	w1576
feyerlicher	w1577
Messe	w1578
<g/>
/
liesse	w1580
be=meldeter	w1581
<g/>
=
Cardinal	w1583
<g/>
/
dem	w1585
allerhöchsten	w1586
für	w1587
die	w1588
völlige	w1589
Genesung	w1590
des	w1591
Aller	w1592
<g/>
=
Christlichsten	w1594
Königs	w1595
Dank	w1596
zu	w1597
sagen	w1598
<g/>
/
das	w1600
Te	w1601
Deum	w1602
<g/>
,
&c	w1604
<g/>
.
singen	w1606
<g/>
.
</p>
<p id="p21">
Nach	w1608
<g/>
=
Mittag	w1610
begabe	w1611
sich	w1612
die	w1613
Bruderschaft	w1614
des	w1615
Confalone	w1616
<g/>
,
Processions	w1618
<g/>
=
weise	w1620
mit	w1621
de=nen	w1622
<g/>
=
aus	w1624
derer	w1625
Türken	w1626
Händen	w1627
erlöseten	w1628
16	w1629
<g/>
.
Sclaven	w1631
<g/>
/
auf	w1633
Monte	w1634
<g/>
-
Cavall	w1636
<g/>
,
um	w1638
von	w1639
dem	w1640
Papste	w1641
die	w1642
heilige	w1643
Benediction	w1644
zu	w1645
empfan=gen	w1646
<g/>
=
<g/>
.
Von	w1649
dar	w1650
giengen	w1651
sie	w1652
weiter	w1653
<g/>
/
die	w1655
Kir=che	w1656
<g/>
=
zu	w1658
S	w1659
<g/>
.
Maria	w1661
Major	w1662
zu	w1663
besuchen	w1664
<g/>
/
und	w1666
das	w1667
Jubilæum Jubilaeum	w1668
so	w1669
Jhre	w1670
Päpstl	w1671
<g/>
.
Heiligkeit	w1673
be=sagten	w1674
<g/>
=
Sclaven	w1676
verliehen	w1677
hat	w1678
<g/>
/
zu	w1680
erhalten	w1681
<g/>
.
Nach	w1683
geendeter	w1684
solcher	w1685
Verrichtung	w1686
erhu=be	w1687
<g/>
=
sich	w1689
der	w1690
Papst	w1691
in	w1692
das	w1693
Hospital	w1694
der	w1695
Aller	w1696
<g/>
=
Heiligsten	w1698
Dreyfaltigkeit	w1699
<g/>
/
um	w1701
denen	w1702
Pil=gramen	w1703
<g/>
=
die	w1705
Füsse	w1706
zu	w1707
waschen	w1708
<g/>
.
</p>
<p id="p22">
Montags	w1710
liesse	w1711
Jhre	w1712
Päpstl	w1713
<g/>
.
Heiligkeit	w1715
den	w1716
Herrn	w1717
Cardinal	w1718
von	w1719
Polignac	w1720
<g/>
,
zu	w1722
der	w1723
Audientz	w1724
<g/>
/
worbey	w1726
er	w1727
sich	w1728
lange	w1729
aufhiel=te	w1730
<g/>
=
<g/>
/
wiewol	w1733
man	w1734
nicht	w1735
wissen	w1736
kan	w1737
<g/>
/
was	w1739
er	w1740
für	w1741
Commission	w1742
müsse	w1743
gehabt	w1744
haben	w1745
<g/>
.
Nachdeme	w1747
er	w1748
von	w1749
Jhrer	w1750
Heiligkeit	w1751
gienge	w1752
<g/>
/
verfügte	w1754
er	w1755
sich	w1756
zu	w1757
dem	w1758
Staats StaatsSecretario	w1759
<g/>
=
Secretario	w1761
<g/>
,
</p>
<p id="p23">
und	w1763
ferner	w1764
zu	w1765
dem	w1766
Herrn	w1767
Cardinal	w1768
Coscia	w1769
<g/>
,
welcher	w1771
ihn	w1772
<g/>
/
wegen	w1774
seines	w1775
Flusses	w1776
<g/>
/
in	w1778
dem	w1779
Behte	w1780
empfienge	w1781
<g/>
.
</p>
<p id="p24">
Mittwochs	w1783
zoge	w1784
ein	w1785
anderer	w1786
Hauffe	w1787
von	w1788
Stadt	w1789
<g/>
=
Knechten	w1791
aus	w1792
<g/>
/
um	w1794
des	w1795
berühmten	w1796
Peinlichen	w1797
Richters	w1798
Farinacci	w1799
Befehl	w1800
nach=zugehen	w1801
<g/>
=
<g/>
/
welcher	w1804
wegen	w1805
des	w1806
beschriebenen	w1807
erheblichen	w1808
Handels	w1809
wider	w1810
die	w1811
Contrabandi- sten	w1812
<g/>
-
<g/>
/
so	w1815
sich	w1816
<g/>
/
wie	w1818
verlautet	w1819
<g/>
/
in	w1821
grosser	w1822
An=zahl	w1823
<g/>
=
zusammen	w1825
geschlagen	w1826
haben	w1827
<g/>
/
nach	w1829
Pe-rugia	w1830
<g/>
-
geschiket	w1832
worden	w1833
<g/>
.
</p>
<p id="p25">
Verwichener	w1835
Tage	w1836
hatte	w1837
man	w1838
die	w1839
unan=genehme	w1840
<g/>
=
Zeitung	w1842
<g/>
/
das	w1844
der	w1845
Monsig	w1846
<g/>
.
Orsini	w1848
<g/>
,
des	w1850
Papsts	w1851
Enkel	w1852
gefährlich	w1853
krank	w1854
darnider	w1855
lige	w1856
<g/>
/
und	w1858
an	w1859
seinem	w1860
Aufkommen	w1861
gezweifelt	w1862
werde	w1863
<g/>
/
und	w1865
so	w1866
gar	w1867
wurde	w1868
gestern	w1869
schon	w1870
gesagt	w1871
<g/>
/
er	w1873
wäre	w1874
auf	w1875
seinem	w1876
Bistum	w1877
Melfi	w1878
gestorben	w1879
