<doc id="wr_1759-12-12" attrs="word" year="1759" month="12" day="12" corpus="2">
<head id="h2_d405e4228">
Lahn=strom	w4_d405e4231
Scheid	w203_d405e4569
vom	w205_d405e4572
Zweybrückischen	w207_d405e4575
Re	w209_d405e4578
giment	w212_d405e4582
versicht	w214_d405e4587
die	w216_d405e4590
Stelle	w218_d405e4593
eines	w220_d405e4596
Platzma	w222_d405e4599
jors.	w225_d405e4604
Vor	w227_d405e4608
einigen	w229_d405e4611
Tagen	w231_d405e4614
fanden	w233_d405e4617
die	w235_d405e4620
im	w237_d405e4624
Bu	w239_d405e4627
secker=thal	w242_d405e4631
ligende	w244_d405e4635
Französische	w246_d405e4638
leichte	w248_d405e4642
Tru	w250_d405e4645
pen	w253_d405e4649
Gelegenheit,	w255_d405e4653
den	w257_d405e4656
alliirten	w259_d405e4660
Posten	w261_d405e4663
aus	w263_d405e4666
</p>
<p id="p6_d405e4669">
Meinzeler	w4_d405e4672
zu	w6_d405e4676
vertreiben.	w8_d405e4679
Man	w10_d405e4682
vernihmt	w12_d405e4685
jedoch,	w15_d405e4690
daß	w17_d405e4694
alliirter	w19_d405e4697
Seits	w21_d405e4700
dieser	w23_d405e4703
Posten	w25_d405e4707
aufs	w28_d405e4711
neue	w30_d405e4715
wieder	w32_d405e4718
besetzt	w34_d405e4721
worden.	w36_d405e4725
Die	w38_d405e4728
alliirte	w41_d405e4732
Armee	w43_d405e4736
hat	w45_d405e4739
vor	w47_d405e4743
einigen	w49_d405e4746
Tagen	w51_d405e4749
zwi	w53_d405e4752
schen	w56_d405e4756
Crofdonf	w58_d405e4761
und	w60_d405e4764
Mayburg	w62_d405e4767
alle	w64_d405e4770
Fourage	w66_d405e4773
aus	w69_d405e4778
denen	w71_d405e4782
Häusern	w73_d405e4785
nehmen	w75_d405e4788
lassen,	w77_d405e4791
auch	w79_d405e4794
sind	w82_d405e4799
einige	w84_d405e4803
Jnfanterie=regimenter	w86_d405e4806
von	w88_d405e4809
der	w90_d405e4812
selben,	w93_d405e4817
nebst	w95_d405e4821
einem	w97_d405e4824
Theil	w99_d405e4827
schwarzer	w101_d405e4830
und	w103_d405e4834
gelber	w106_d405e4838
Hussaren	w108_d405e4842
aufgebrochen,	w110_d405e4845
wovon	w112_d405e4848
man	w114_d405e4852
vermatet,	w117_d405e4856
daß	w119_d405e4860
sie	w121_d405e4863
die	w123_d405e4866
Bewegungen	w125_d405e4870
deren	w127_d405e4873
Würtembergischen	w130_d405e4877
Trupen	w132_d405e4881
beybachten	w134_d405e4884
sol	w136_d405e4888
len;	w139_d405e4892
wie	w141_d405e4896
es	w143_d405e4899
dann	w145_d405e4902
auch	w147_d405e4906
heist,	w149_d405e4909
daß	w151_d405e4912
die	w153_d405e4915
Feld	w155_d405e4918
bäckerey	w158_d405e4923
von	w160_d405e4927
Marburg	w162_d405e4930
nach	w164_d405e4933
Dillenburg	w166_d405e4936
kom	w168_d405e4939
um	w171_d405e4944
besser	w173_d405e4948
von	w175_d405e4951
der	w177_d405e4954
Armee	w179_d405e4957
be	w181_d405e4961
men	w184_d405e4965
solle	w186_d405e4969
deckt	w189_d405e4973
werden	w191_d405e4977
zu	w193_d405e4981
können,	w195_d405e4984
wodurch	w197_d405e4987
auch	w199_d405e4990
Marburg,	w202_d405e4994
in	w204_d405e4999
Ansehung	w206_d405e5002
des	w208_d405e5005
allgemeinen	w210_d405e5008
Holz	w213_d405e5012
mangels	w215_d405e5017
erleichtert	w217_d405e5020
werden	w219_d405e5023
wird.	w221_d405e5026
</p>
<head id="h2_d405e5032">
Danzig	w4_d405e5035
4.	w6_d405e5039
Nov.	w8_d405e5042
</head>
<p id="p4_d405e5045">
Dem	w4_d405e5048
Vernehmen	w6_d405e5052
nach	w8_d405e5055
sind	w10_d405e5058
die	w12_d405e5061
Russen	w14_d405e5065
bereits	w17_d405e5069
ziemlich	w19_d405e5073
weit	w21_d405e5076
in	w23_d405e5079
Groß=pohlen	w25_d405e5083
ein	w27_d405e5086
</p>
<p id="p10_d405e5099">
geruckt.	w4_d405e5102
Mit	w7_d405e5107
Anfang	w9_d405e5111
dieser	w11_d405e5114
Mashe	w14_d405e5119
Lome	w16_d405e5123
7.	w19_d405e5127
Rußische	w21_d405e5131
Kriegs=schiffe	w23_d405e5134
auf	w25_d405e5138
unserer	w27_d405e5141
Rhe	w29_d405e5144
de	w32_d405e5148
an;	w34_d405e5152
sie	w36_d405e5156
haben	w38_d405e5159
1200.	w40_d405e5162
Mann	w42_d405e5165
Recruten	w44_d405e5168
ausgesetzt,	w47_d405e5173
welche	w49_d405e5177
ihren	w51_d405e5180
Weeg	w53_d405e5183
zu	w55_d405e5186
Lande	w57_d405e5189
nach	w60_d405e5194
Martenwerder	w62_d405e5198
fortgesetzt.	w64_d405e5201
Die	w66_d405e5204
jetzt	w68_d405e5207
gedachte	w71_d405e5212
Schiffe	w73_d405e5216
aber	w75_d405e5219
sind	w77_d405e5222
bereits	w79_d405e5225
wieder	w81_d405e5229
nach	w84_d405e5233
denen	w86_d405e5237
Raßischen	w88_d405e5240
Häfen	w90_d405e5243
zurück	w92_d405e5247
gekeh	w94_d405e5250
ret.	w97_d405e5254
Am	w99_d405e5258
Dienstag	w101_d405e5261
kam	w103_d405e5265
der	w105_d405e5268
Rußische	w107_d405e5271
Gou	w109_d405e5274
verneur	w112_d405e5278
im	w114_d405e5283
Königreich	w116_d405e5286
Preussen,	w118_d405e5289
Baron	w120_d405e5292
von	w123_d405e5296
Korf,	w125_d405e5301
hier	w127_d405e5304
an,	w129_d405e5307
ist	w131_d405e5310
aber	w133_d405e5313
gestern	w135_d405e5316
auch	w137_d405e5320
wieder	w140_d405e5324
nach	w142_d405e5328
Königsberg	w144_d405e5331
zuruck	w146_d405e5334
gegangen.	w148_d405e5338
</p>
<head id="h2_d405e5344">
Mayn=strom	w4_d405e5347
4.	w6_d405e5351
Dec.	w8_d405e5354
</head>
<p id="p4_d405e5357">
Man	w4_d405e5360
hat	w6_d405e5364
von	w8_d405e5367
der	w10_d405e5370
Französischen	w12_d405e5373
Armee,	w14_d405e5377
dero	w17_d405e5381
Haupt=quartier	w19_d405e5385
annoch	w21_d405e5388
zu	w23_d405e5391
Linnes	w25_d405e5395
ist,	w27_d405e5398
die	w30_d405e5402
zuverfäßige	w32_d405e5406
Nachricht,	w34_d405e5409
daß	w36_d405e5413
gestern	w38_d405e5416
die	w40_d405e5419
sämtliche	w43_d405e5423
grosse	w45_d405e5427
Equipage	w47_d405e5431
nach	w49_d405e5434
Butzbach	w51_d405e5437
aufgebrochen,	w54_d405e5441
und	w56_d405e5445
heute	w58_d405e5449
in	w60_d405e5452
Hochstein,	w62_d405e5455
mor	w64_d405e5458
gen	w67_d405e5462
aber	w69_d405e5467
zu	w71_d405e5470
Bonamös	w73_d405e5473
unweit	w75_d405e5476
Frankfort	w77_d405e5479
dintreffen	w80_d405e5484
werde.	w82_d405e5488
Ferner	w84_d405e5491
sind	w86_d405e5494
auch	w88_d405e5497
alhier	w90_d405e5500
die	w93_d405e5505
Trupen,	w95_d405e5509
welche	w97_d405e5512
die	w99_d405e5515
Garnison	w101_d405e5518
von	w103_d405e5522
Sie	w105_d405e5525
sen	w108_d405e5529
ausmachen,	w110_d405e5533
gestern	w112_d405e5536
morgens	w114_d405e5540
allda	w116_d405e5543
ein	w118_d405e5546
gerückt.	w121_d405e5550
Ubrigen	w123_d405e5554
weiß	w125_d405e5558
man	w127_d405e5561
so	w129_d405e5564
viel,	w131_d405e5567
daß	w133_d405e5570
zwey	w136_d405e5575
Commissairs,	w138_d405e5579
und	w140_d405e5582
zwar	w142_d405e5585
Französi	w144_d405e5588
scher	w147_d405e5593
Seits	w149_d405e5597
der	w151_d405e5600
Herr	w153_d405e5603
de	w155_d405e5606
la	w157_d405e5609
Salle,	w159_d405e5613
alliir	w161_d405e5616
ter	w164_d405e5620
Seits	w166_d405e5624
aber	w168_d405e5627
der	w170_d405e5631
Herr	w172_d405e5634
von	w174_d405e5637
Griesdach	w176_d405e5640
er	w178_d405e5643
nannt	w181_d405e5648
worden,	w183_d405e5652
um	w185_d405e5655
in	w187_d405e5658
einem	w189_d405e5661
Wetzlar	w191_d405e5664
nahe	w193_d405e5668
gelegenen	w196_d405e5672
Orte	w198_d405e5676
zu	w200_d405e5679
Abbshausen,	w202_d405e5682
wegen	w204_d405e5686
künf	w206_d405e5689
tiger	w209_d405e5693
Sicherheit	w211_d405e5697
dieser	w213_d405e5700
Stadt,	w215_d405e5704
als	w217_d405e5707
des	w219_d405e5710
Si	w221_d405e5713
des	w224_d405e5717
des	w226_d405e5722
Kaiserl.	w228_d405e5725
Reichs=cammer=gerichts	w230_d405e5728
die	w233_d405e5732
nöhtige	w235_d405e5736
Abred	w237_d405e5740
zu	w239_d405e5743
pflegen.	w241_d405e5746
Aus	w244_d405e5750
Franken	w246_d405e5754
vernihmt	w248_d405e5758
man:	w250_d405e5761
daß	w252_d405e5764
die	w254_d405e5767
von	w257_d405e5771
dem	w259_d405e5776
Königl.	w261_d405e5779
Französischen	w263_d405e5782
Minister	w265_d405e5785
Herrn	w268_d405e5789
Grafen	w270_d405e5794
von	w272_d405e5797
Görz	w274_d405e5800
angesuchte	w277_d405e5804
Le	w279_d405e5808
ferungen	w282_d405e5813
von	w284_d405e5817
anderthalb	w286_d405e5820
Millionen	w288_d405e5823
Ratio	w290_d405e5826
nen	w293_d405e5831
Heu	w295_d405e5835
und	w297_d405e5838
Haber	w299_d405e5841
von	w301_d405e5844
dem	w303_d405e5848
Fränkischen	w305_d405e5851
Kreis	w308_d405e5855
verwilliget	w310_d405e5859
worden.	w312_d405e5862
</p>
<head id="h2_d405e5868">
Frankfort	w4_d405e5871
28.	w6_d405e5875
Nov.	w8_d405e5878
</head>
<p id="p4_d405e5881">
Gestern	w4_d405e5884
ist	w6_d405e5888
wegen	w8_d405e5891
des	w10_d405e5894
durch	w12_d405e5897
die	w14_d405e5901
Kaiserl.	w16_d405e5904
Königl.	w19_d405e5908
und	w21_d405e5912
Reichs=armee	w23_d405e5915
in	w25_d405e5919
Sachsen	w27_d405e5922
er	w29_d405e5925
haltenen	w32_d405e5929
wichtigen	w34_d405e5933
Vortheils	w36_d405e5937
von	w38_d405e5940
denen	w40_d405e5943
Sächsischen	w43_d405e5947
Trupen	w45_d405e5951
in	w47_d405e5955
der	w49_d405e5958
hiesigen	w51_d405e5961
St.	w53_d405e5964
Ri	w55_d405e5967
colal=kirche	w58_d405e5972
ein	w60_d405e5976
Dank=fest	w62_d405e5979
gehalten,	w64_d405e5982
und	w66_d405e5985
und	w69_d405e5990
das	w71_d405e5994
Te	w73_d405e5997
Deum	w75_d405e6000
Landamus	w77_d405e6003
unter	w79_d405e6006
Trom	w81_d405e6010
</p>
<p id="p6_d405e6013">
verku	w7_d405e6019
und	w9_d405e6023
Paucken	w11_d405e6026
schall	w13_d405e6030
abgefingen	w15_d405e6033
wes	w17_d405e6036
den.	w20_d405e6040
Abends	w22_d405e6044
darauf	w24_d405e6048
ward	w26_d405e6051
an	w28_d405e6054
dem	w30_d405e6057
Ufer	w32_d405e6060
des	w34_d405e6063
Mayns	w37_d405e6068
ein	w39_d405e6072
sehens=würdiges	w41_d405e6075
Feuer=werk	w43_d405e6078
angezündet,	w46_d405e6082
in	w48_d405e6087
dessen	w50_d405e6090
Mitte	w52_d405e6093
die	w54_d405e6096
Buchsta	w56_d405e6099
JEHOVA	w59_d405e6104
PORRO	w61_d405e6108
JUVA	w63_d405e6111
brannten.	w65_d405e6114
Nach	w67_d405e6117
dessen	w70_d405e6122
Endigung	w72_d405e6126
war	w74_d405e6129
bey	w76_d405e6132
des	w78_d405e6135
Prinzen	w80_d405e6138
Xa	w82_d405e6142
verii	w85_d405e6146
Königl.	w87_d405e6150
Hoheit	w89_d405e6153
Soupee	w91_d405e6156
und	w93_d405e6160
Bal	w95_d405e6163
in	w97_d405e6166
Masque.	w100_d405e6170
</p>
<head id="h2_d405e6178">
Stuttgard	w4_d405e6181
27.	w6_d405e6185
Nov.	w8_d405e6188
</head>
<p id="p4_d405e6191">
Vermög	w4_d405e6194
Nachrichten	w6_d405e6198
von	w8_d405e6201
unsers	w10_d405e6204
Herrn	w12_d405e6207
Herzogens	w15_d405e6212
Hochfürstl.	w17_d405e6216
Durchl.	w19_d405e6219
sind	w21_d405e6222
nicht	w23_d405e6225
nur	w26_d405e6230
Dieselbe	w28_d405e6234
mit	w30_d405e6237
dem	w32_d405e6240
grösten	w34_d405e6243
Theil	w36_d405e6247
Dero	w38_d405e6250
Trupen	w41_d405e6254
bis	w43_d405e6258
Fulda	w45_d405e6261
vorgeruckt,	w47_d405e6265
und	w49_d405e6268
haben	w51_d405e6271
in	w54_d405e6275
dieser	w56_d405e6279
Bischöfl.	w58_d405e6283
Residenz=stadt	w60_d405e6286
Dero	w62_d405e6289
Haupt=quartier	w65_d405e6293
genommen,	w67_d405e6297
sondern	w69_d405e6301
sie	w71_d405e6304
ha	w73_d405e6307
ben	w76_d405e6311
auch	w78_d405e6315
den	w80_d405e6319
21.	w82_d405e6322
des	w84_d405e6325
Abends	w86_d405e6328
durch	w88_d405e6331
das	w90_d405e6334
Gorcysche	w93_d405e6339
Hussaren=regiment	w95_d405e6343
die	w97_d405e6346
Stadt	w99_d405e6349
Hirschfeld	w102_d405e6353
besetzen	w104_d405e6358
lassen.	w106_d405e6361
</p>
<head id="h2_d405e6367">
Düsseldorf	w4_d405e6370
24.	w6_d405e6374
Hov.	w8_d405e6377
</head>
<p id="p4_d405e6380">
Den	w4_d405e6383
22.	w6_d405e6387
ist	w8_d405e6390
die	w10_d405e6393
Garnison	w12_d405e6396
zu	w14_d405e6400
Münster	w16_d405e6403
mit	w19_d405e6407
allen	w21_d405e6411
Ehren=bezeugungen,	w23_d405e6414
nebst	w25_d405e6418
ihrem	w27_d405e6421
Commandanten	w30_d405e6425
Herrn	w32_d405e6429
von	w34_d405e6432
Gayon,	w36_d405e6436
aus	w38_d405e6439
marschiret.	w41_d405e6443
Man	w44_d405e6448
hat	w46_d405e6452
ihm	w48_d405e6456
6.	w50_d405e6459
Canonen	w52_d405e6462
we	w54_d405e6465
gen	w57_d405e6469
seiner	w59_d405e6474
ruhmwürdigen	w61_d405e6477
Vertheidigung	w63_d405e6480
zu	w65_d405e6483
gestanden.	w68_d405e6487
Die	w70_d405e6492
Hanoveraner	w72_d405e6495
breiten	w74_d405e6498
sich	w76_d405e6501
in	w79_d405e6505
dem	w81_d405e6510
Herzogtum	w83_d405e6513
Bergen	w85_d405e6516
aus,	w87_d405e6519
und	w89_d405e6522
fan	w91_d405e6525
gen	w94_d405e6530
an,	w96_d405e6534
daselbst	w98_d405e6537
Fourage=lieferungen	w100_d405e6540
aus	w102_d405e6543
zuschreiben.	w105_d405e6548
</p>
<head id="h2_d405e6555">
Frankfort	w4_d405e6558
4.	w6_d405e6562
Dec.	w8_d405e6565
</head>
<p id="p4_d405e6568">
Aus	w4_d405e6571
dem	w6_d405e6575
Fuldischen	w8_d405e6578
melden	w10_d405e6581
die	w12_d405e6584
heutige	w14_d405e6588
Briefe,	w17_d405e6592
daß	w19_d405e6596
am	w21_d405e6599
1.	w23_d405e6602
dieses	w25_d405e6606
ein	w27_d405e6609
Corps	w29_d405e6612
von	w31_d405e6615
denen	w34_d405e6619
alliirten	w36_d405e6624
in	w38_d405e6627
der	w40_d405e6630
Nacht	w42_d405e6633
nach	w44_d405e6636
einer	w46_d405e6639
an	w48_d405e6643
derthalb=stündigen	w51_d405e6647
Canonade,	w53_d405e6651
wobey	w55_d405e6654
man	w57_d405e6657
das	w60_d405e6662
Thor	w62_d405e6666
aufgeschossen,	w64_d405e6669
in	w66_d405e6672
Fulda	w68_d405e6675
einge	w70_d405e6679
drungen,	w73_d405e6683
von	w75_d405e6687
wannen	w77_d405e6690
sich	w79_d405e6693
die	w81_d405e6697
Fuldische	w83_d405e6700
Trupen	w86_d405e6704
zurück	w88_d405e6708
gezogen.	w90_d405e6711
Das	w92_d405e6715
Hanövrische	w94_d405e6718
Bockische	w97_d405e6722
Dragoner=regiment	w99_d405e6726
hat	w101_d405e6729
mit	w103_d405e6733
dem	w105_d405e6736
Würtembergischen	w108_d405e6740
Regiment	w110_d405e6744
von	w112_d405e6747
Werneck	w114_d405e6751
ein	w117_d405e6755
scharfts	w119_d405e6759
Gefecht	w121_d405e6762
habt,	w123_d405e6765
welches	w125_d405e6769
auf	w127_d405e6772
beyden	w130_d405e6776
Seiten	w132_d405e6780
viel	w134_d405e6783
Volk	w136_d405e6787
gekostet;	w138_d405e6790
Hand	w140_d405e6793
orischer	w143_d405e6797
Seits	w145_d405e6801
ist	w147_d405e6805
der	w149_d405e6808
General	w151_d405e6811
Platen	w153_d405e6814
todt,	w155_d405e6817
.	w158_d405e6822
und	w161_d405e6827
Würtembergischer	w163_d405e6831
Seits	w165_d405e6834
der	w167_d405e6837
Dbrist	w169_d405e6841
</p>
<p id="p10_d405e6854">
ven	w4_d405e6857
Pöllnitz	w6_d405e6861
tödllich	w8_d405e6864
bleßirt.	w10_d405e6867
Jn	w12_d405e6870
der	w14_d405e6874
Stadt	w16_d405e6877
Falda	w19_d405e6881
haben	w21_d405e6885
die	w23_d405e6888
Alliirte	w25_d405e6892
viele	w27_d405e6895
Thätlichkei	w29_d405e6898
.	w32_d405e6902
ten	w35_d405e6907
zusgeübet,	w37_d405e6912
und	w39_d405e6915
die	w41_d405e6918
Fürstliche	w43_d405e6921
Residenz	w45_d405e6924
nebst	w48_d405e6929
vielen	w50_d405e6933
Privat	w52_d405e6936
und	w54_d405e6939
Juden=häusern	w56_d405e6942
reln	w59_d405e6947
ausgeplündert.	w61_d405e6951
Den	w63_d405e6954
2.	w65_d405e6957
haben	w67_d405e6960
sich	w69_d405e6963
die	w72_d405e6968
Alliirte	w74_d405e6972
nach	w76_d405e6975
Lauterbach	w78_d405e6978
zurück	w80_d405e6981
gezogen.	w82_d405e6985
</p>
<head id="h2_d405e6994">
Venedig	w4_d405e6997
28.	w6_d405e7001
Nov.	w8_d405e7004
</head>
<p id="p4_d405e7007">
7	w4_d405e7010
8.	w7_d405e7015
abgewichenen	w10_d405e7020
Sonn=abend	w12_d405e7024
als	w14_d405e7028
den	w16_d405e7031
25.	w19_d405e7035
des	w21_d405e7039
lauffenden	w23_d405e7042
Monats	w25_d405e7046
Nachmittags	w27_d405e7049
haben	w30_d405e7053
Se.	w32_d405e7057
Excell.	w34_d405e7060
der	w36_d405e7064
Herr	w38_d405e7067
Durfort,	w40_d405e7070
Kö	w42_d405e7073
nigl.	w45_d405e7077
Französischer	w47_d405e7082
Bottschafter	w49_d405e7085
bey	w51_d405e7088
dieser	w53_d405e7091
Darchl.	w56_d405e7095
Republic	w58_d405e7100
deto	w60_d405e7103
offentlichfeyerli	w62_d405e7106
chen	w65_d405e7110
Einzug	w67_d405e7114
gehalten;	w69_d405e7118
zu	w71_d405e7121
diesem	w73_d405e7124
Ende	w75_d405e7127
wur	w77_d405e7130
den	w80_d405e7135
von	w82_d405e7139
dem	w84_d405e7142
hohen	w86_d405e7145
Senat	w88_d405e7148
Se.	w90_d405e7151
Excell.	w92_d405e7155
der	w94_d405e7158
Edle,	w97_d405e7162
und	w99_d405e7166
in	w101_d405e7169
vielen	w103_d405e7173
Bottschaften,	w105_d405e7176
wie	w107_d405e7179
auch	w110_d405e7183
an	w112_d405e7187
dem	w114_d405e7191
Hof	w116_d405e7194
zu	w118_d405e7197
Versailles	w120_d405e7200
vorhin	w122_d405e7203
ge	w124_d405e7206
standene	w127_d405e7211
Herr	w129_d405e7215
Cavallier	w131_d405e7218
Antonias	w133_d405e7221
Diedo	w135_d405e7224
abgeordnet,	w138_d405e7229
welcher	w140_d405e7233
dann	w142_d405e7236
in	w144_d405e7239
einer	w146_d405e7242
Gun	w148_d405e7246
del	w151_d405e7250
in	w153_d405e7254
prächtiger	w155_d405e7257
Gala,	w157_d405e7260
und	w159_d405e7264
schönen	w161_d405e7267
Sil	w163_d405e7270
ber=reichen	w166_d405e7274
Livree,	w168_d405e7278
unter	w170_d405e7282
Begleitung	w172_d405e7285
60.	w174_d405e7288
gleichfalls	w177_d405e7292
mit	w179_d405e7296
Gundeln	w181_d405e7300
und	w183_d405e7303
Livreen	w185_d405e7306
verse	w187_d405e7309
henen	w190_d405e7313
Senatoren,	w192_d405e7318
nach	w194_d405e7321
der	w196_d405e7324
Jnsul	w198_d405e7327
des	w200_d405e7330
Heil.	w202_d405e7333
Geists,	w205_d405e7338
um	w207_d405e7342
gedachten	w209_d405e7345
Herrn	w211_d405e7348
Bottschafter	w213_d405e7351
von	w216_d405e7356
dannen	w218_d405e7360
abzuholen,	w220_d405e7363
sich	w222_d405e7366
begeben	w224_d405e7369
hat.	w226_d405e7373
Von	w229_d405e7377
dieser	w231_d405e7381
Jnsul	w233_d405e7384
nun	w235_d405e7387
wurde	w237_d405e7391
derselbe	w239_d405e7394
mit	w241_d405e7397
dem	w244_d405e7401
gewöhnlichen	w246_d405e7405
Gepräng	w248_d405e7409
in	w250_d405e7412
die	w252_d405e7415
Stadt	w254_d405e7418
nach	w257_d405e7422
seinen	w259_d405e7427
Pallast	w261_d405e7430
eingeführet,	w263_d405e7433
der	w265_d405e7436
von	w267_d405e7439
in	w269_d405e7442
nen	w272_d405e7447
und	w274_d405e7451
aussen	w276_d405e7454
nebst	w278_d405e7457
dem	w280_d405e7460
Garten	w282_d405e7464
ganz	w284_d405e7467
be	w286_d405e7470
leuchtet	w289_d405e7474
ware,	w291_d405e7478
und	w293_d405e7482
worinnen	w295_d405e7485
auserlösene	w297_d405e7488
Chöre	w300_d405e7492
von	w302_d405e7496
verschiedenen	w304_d405e7500
musicalischen	w306_d405e7503
Jn	w308_d405e7506
strumenten	w311_d405e7510
sich	w313_d405e7514
hören	w315_d405e7518
lassen.	w317_d405e7521
Die	w320_d405e7525
vier	w322_d405e7529
Gundeln	w325_d405e7533
des	w327_d405e7538
Hrn.	w329_d405e7541
Botschafters	w331_d405e7544
waren	w333_d405e7547
un	w335_d405e7550
gemein	w338_d405e7555
prächtig,	w340_d405e7559
sowol	w342_d405e7562
wegen	w344_d405e7565
ihrer	w346_d405e7568
unver	w348_d405e7571
gleichlichen	w351_d405e7576
Bilohauer=arbeit,	w353_d405e7580
als	w355_d405e7583
wegen	w357_d405e7586
der	w359_d405e7589
feinesten	w362_d405e7594
Vergoldung,	w364_d405e7598
nicht	w366_d405e7601
minder	w368_d405e7604
waren	w370_d405e7607
auch	w373_d405e7612
dessen	w375_d405e7616
zahlreiche	w377_d405e7619
Livreen	w379_d405e7622
sehr	w381_d405e7625
schön	w383_d405e7629
und	w385_d405e7632
reich.	w388_d405e7636
Nach	w390_d405e7640
der	w392_d405e7643
Ankunft	w394_d405e7647
in	w396_d405e7650
sothanen	w398_d405e7653
Pal	w400_d405e7656
last	w403_d405e7660
wurden	w405_d405e7665
die	w407_d405e7668
allda	w409_d405e7671
in	w411_d405e7674
grosser	w413_d405e7677
Menge	w415_d405e7680
sich	w417_d405e7684
eingefundenen	w420_d405e7688
Masraren	w422_d405e7692
mit	w424_d405e7695
köstlichen	w426_d405e7698
Er	w428_d405e7702
frischungen	w431_d405e7706
von	w433_d405e7710
allerhand	w435_d405e7713
Sorten	w437_d405e7716
bedienet,	w439_d405e7720
und	w442_d405e7724
dem	w444_d405e7728
gemeinen	w446_d405e7731
Volk	w448_d405e7734
Brod	w450_d405e7738
und	w452_d405e7741
Wein	w454_d405e7744
gereichet,	w457_d405e7748
wie	w459_d405e7752
auch	w461_d405e7756
von	w463_d405e7759
denen	w465_d405e7762
Fenstern	w467_d405e7765
Geld	w470_d405e7769
ausgeworfen.	w472_d405e7774
</p>
<p id="p6_d405e7780">
Den	w4_d405e7783
26.	w6_d405e7787
Dito	w8_d405e7790
darauf	w10_d405e7793
hat	w12_d405e7796
der	w14_d405e7800
nämliche	w16_d405e7803
Edle	w19_d405e7807
Herr.	w21_d405e7811
Cavallier	w23_d405e7814
Diedo	w25_d405e7818
zmit	w27_d405e7821
gleichem	w29_d405e7824
2	w32_d405e7828
Gefolg	w35_d405e7833
von	w37_d405e7838
Senatoren,	w39_d405e7841
bey	w41_d405e7844
gedachtem	w43_d405e7847
Hrn.	w45_d405e7850
Bottschafter	w48_d405e7855
sich	w50_d405e7859
eingefunden,	w52_d405e7862
und	w54_d405e7865
densel	w56_d405e7868
ben	w59_d405e7873
zur	w61_d405e7877
gewöhnlichen	w63_d405e7880
ersten	w65_d405e7883
offentlichen	w67_d405e7886
An	w69_d405e7889
dienz	w72_d405e7894
abgeholet.	w74_d405e7898
Der	w76_d405e7901
Zug	w78_d405e7904
gienge	w80_d405e7907
unter	w82_d405e7911
Abfeuerung	w85_d405e7915
vieler	w87_d405e7919
Pöllern,	w89_d405e7922
wie	w91_d405e7925
auch	w93_d405e7929
de	w95_d405e7932
ren	w98_d405e7936
Stucken	w100_d405e7940
auf	w102_d405e7943
verschiedenen	w104_d405e7947
Schiffen	w106_d405e7950
durch	w109_d405e7954
den	w111_d405e7958
ganzen	w113_d405e7961
