<doc id="wr_1762-06-12" attrs="word" year="1762" month="06" day="12" corpus="2">
<head id="h2_d664e3095">
Monte=Christo,	w1_d664e3099
zösischen	w1_d664e3942
stossen	w3_d664e3945
zu	w5_d664e3948
lassen,	w7_d664e3951
um	w9_d664e3954
durch	w11_d664e3957
solche	w13_d664e3961
Mittel	w1_d664e3966
diesen	w3_d664e3969
Krieg	w5_d664e3972
mit	w7_d664e3975
desto	w9_d664e3978
bessern	w11_d664e3981
Suc	w13_d664e3985
ceß	w1_d664e3990
führen	w3_d664e3993
zu	w5_d664e3996
können;	w7_d664e3999
wobey	w9_d664e4002
am	w11_d664e4005
Ende	w13_d664e4009
der	w1_d664e4014
Ambassadeur	w3_d664e4017
des	w5_d664e4020
Catholischen	w7_d664e4023
Königs	w9_d664e4026
declarirt	w1_d664e4032
hat,	w3_d664e4035
daß	w5_d664e4038
dieser	w7_d664e4041
Monarch,	w9_d664e4044
bevor	w11_d664e4047
er	w1_d664e4052
noch	w3_d664e4055
dem	w5_d664e4058
Könige	w7_d664e4061
das	w9_d664e4064
oberwehnte	w11_d664e4067
Pro	w13_d664e4071
memoria	w1_d664e4076
einhändigen	w3_d664e4079
lassen,	w5_d664e4082
seine	w7_d664e4085
Trupen	w9_d664e4088
beordect	w1_d664e4093
habe,	w3_d664e4096
an	w5_d664e4099
die	w7_d664e4102
Gränzen	w9_d664e4105
von	w11_d664e4108
Por	w13_d664e4112
tugall	w1_d664e4118
zu	w3_d664e4121
marschiren,	w5_d664e4124
um	w7_d664e4127
den	w9_d664e4130
Engländern	w11_d664e4133
zuvor	w1_d664e4138
zu	w3_d664e4141
kommen,	w5_d664e4144
welche	w7_d664e4147
sonst	w9_d664e4150
die	w11_d664e4153
See	w13_d664e4157
vestungen	w1_d664e4162
dieses	w3_d664e4165
Königreichs	w5_d664e4168
überrumpeln	w7_d664e4171
würden,	w1_d664e4176
wenn	w3_d664e4179
sie	w5_d664e4182
das	w7_d664e4185
Offensiv=bündniß	w9_d664e4188
Sr.	w1_d664e4194
Allergetreuesten	w3_d664e4197
Majest.	w5_d664e4200
mit	w7_d664e4203
Jhren	w9_d664e4206
Catholischen	w1_d664e4211
und	w3_d664e4214
Allerchristlichsten	w5_d664e4217
Majestä	w7_d664e4220
ten	w1_d664e4225
in	w3_d664e4228
Erfahrung	w5_d664e4231
brächten;	w7_d664e4234
</p>
<p id="p18_d664e4237">
So	w1_d664e4241
hat	w3_d664e4244
der	w5_d664e4247
König	w7_d664e4250
den	w9_d664e4253
Jnhalt	w11_d664e4256
des	w13_d664e4260
vor	w15_d664e4263
erwehnten	w1_d664e4268
Memoire	w3_d664e4271
ernstlich,	w5_d664e4274
und	w7_d664e4277
zwar	w9_d664e4280
ge	w11_d664e4283
nau	w1_d664e4288
in	w3_d664e4291
dem	w5_d664e4294
Termin	w7_d664e4297
von	w9_d664e4300
4.	w11_d664e4303
Tagen,	w13_d664e4307
nach	w15_d664e4310
gedacht,	w1_d664e4316
und	w3_d664e4319
seinem	w5_d664e4322
Staats=secretair	w7_d664e4325
be	w9_d664e4328
fohlen,	w1_d664e4333
nachstehende	w3_d664e4336
Antwort	w5_d664e4339
zu	w7_d664e4342
ertheilen:	w9_d664e4345
</p>
<p id="p20_d664e4348">
Es	w1_d664e4352
gehet	w3_d664e4355
dem	w5_d664e4358
allergetreuesten	w7_d664e4361
Könige	w9_d664e4364
empfindlich	w1_d664e4369
nahe,	w3_d664e4372
die	w5_d664e4375
Flammen	w7_d664e4378
des	w9_d664e4381
Kriegs	w11_d664e4384
zwischen	w1_d664e4389
solchen	w3_d664e4392
Mächten	w5_d664e4395
entzündet	w7_d664e4398
zu	w9_d664e4401
sehen,	w11_d664e4404
mit	w1_d664e4410
denen	w3_d664e4413
Höchst=dieselben	w5_d664e4416
durch	w7_d664e4419
Bande	w9_d664e4422
des	w11_d664e4425
Bluts	w1_d664e4430
und	w3_d664e4433
der	w5_d664e4436
Freundschaft,	w7_d664e4439
und	w9_d664e4442
durch	w11_d664e4445
feyer	w13_d664e4449
liche	w1_d664e4454
Tractaten	w3_d664e4457
in	w5_d664e4460
einer	w7_d664e4463
genauen	w9_d664e4466
Verbindung	w11_d664e4469
stehen,	w1_d664e4474
wie	w3_d664e4477
mit	w5_d664e4480
Spanien,	w7_d664e4483
Frankreich	w9_d664e4486
und	w11_d664e4489
Groß=britannien.	w1_d664e4495
Se.	w3_d664e4498
allergetreueste	w5_d664e4501
Ma	w7_d664e4504
jest.	w1_d664e4509
wünschten,	w3_d664e4512
daß	w5_d664e4515
eben	w7_d664e4518
diese	w9_d664e4521
Bande	w11_d664e4524
und	w13_d664e4528
die	w1_d664e4533
Neutralität,	w3_d664e4536
welche	w5_d664e4539
sie	w7_d664e4542
beobachten,	w9_d664e4545
Höchst	w11_d664e4548
dieselben	w1_d664e4553
in	w3_d664e4556
Stand	w5_d664e4559
setzen	w7_d664e4562
mögten,	w9_d664e4565
durch	w11_d664e4568
De	w13_d664e4572
ro	w1_d664e4578
Vermittelung	w3_d664e4581
eine	w5_d664e4584
Erneuerung	w7_d664e4587
der	w9_d664e4590
vor	w11_d664e4593
einiger	w1_d664e4598
Zeit	w3_d664e4601
zu	w5_d664e4604
London	w7_d664e4607
abgebrochenen	w9_d664e4610
Con	w11_d664e4613
ferenzen	w1_d664e4618
vorzuschlagen,	w3_d664e4621
und	w5_d664e4624
einen	w7_d664e4627
Versuch	w9_d664e4630
zu	w1_d664e4635
thun,	w3_d664e4638
ob	w5_d664e4641
es	w7_d664e4644
durch	w9_d664e4647
diese	w11_d664e4650
Mittel	w13_d664e4654
möglich	w15_d664e4657
wäre,	w1_d664e4663
die	w3_d664e4666
verschiedenen	w5_d664e4669
Jnteressen	w7_d664e4672
und	w9_d664e4675
Ge	w11_d664e4678
</p>
<p id="p22_d664e4681">
mühter	w1_d664e4685
zu	w3_d664e4688
vereinigen,	w5_d664e4691
damit	w7_d664e4694
man	w9_d664e4697
endlich,	w11_d664e4700
ohne	w1_d664e4705
weitere	w3_d664e4708
Vergiessung	w5_d664e4711
des	w7_d664e4714
Menschen	w9_d664e4717
bluts	w1_d664e4722
zu	w3_d664e4725
einem	w5_d664e4728
vortheilhaften,	w7_d664e4731
nohtwendi	w9_d664e4734
gen	w1_d664e4740
und	w3_d664e4743
fruchtbaren	w5_d664e4746
Frieden	w7_d664e4749
gelangen	w9_d664e4752
mögte.	w11_d664e4755
</p>
<p id="p24_d664e4759">
So	w1_d664e4763
geneigt	w3_d664e4766
Se.	w5_d664e4769
allergetreueste	w7_d664e4772
Majest.	w9_d664e4775
sind,	w1_d664e4780
gegen	w3_d664e4783
die	w5_d664e4786
von	w7_d664e4789
Seiten	w9_d664e4792
des	w11_d664e4795
Catholischen	w13_d664e4799
und	w1_d664e4804
des	w3_d664e4807
Allerchristlichsten	w5_d664e4810
Königs	w7_d664e4813
Jhnen	w9_d664e4816
geschehene	w1_d664e4822
Propositionen,	w3_d664e4825
so	w5_d664e4828
viel	w7_d664e4831
Willfährig	w9_d664e4834
keit,	w1_d664e4839
als	w3_d664e4842
immer	w5_d664e4845
möglich	w7_d664e4848
wäre,	w9_d664e4851
zu	w11_d664e4854
bezeigen;	w13_d664e4858
so	w1_d664e4863
ersuchen	w3_d664e4866
dennoch	w5_d664e4869
Höchst=dieselben	w7_d664e4872
beyde	w9_d664e4875
Majestäten,	w1_d664e4880
daß	w3_d664e4883
Sie	w5_d664e4886
die	w7_d664e4889
unüberwindlichen	w9_d664e4892
Hindernüsse	w1_d664e4898
bedenknn	w3_d664e4901
mögen,	w5_d664e4904
die	w7_d664e4907
den	w9_d664e4910
Kö	w11_d664e4913
nig	w1_d664e4918
abhalten,	w3_d664e4921
in	w5_d664e4924
das	w7_d664e4927
vorgeschlagene	w9_d664e4930
Offen	w11_d664e4933
siv=bündnüß	w1_d664e4938
zu	w3_d664e4941
tretten.	w5_d664e4944
Der	w7_d664e4947
Hof	w9_d664e4950
von	w11_d664e4953
Por	w13_d664e4957
tugal	w1_d664e4962
stehet	w3_d664e4965
mit	w5_d664e4968
dem	w7_d664e4971
Großbritannischen	w9_d664e4974
in	w11_d664e4977
alten	w1_d664e4983
und	w3_d664e4986
ununterbrochenen	w5_d664e4989
Bündnüssen,	w7_d664e4992
mittelst	w1_d664e4997
feyerlicher	w3_d664e5000
und	w5_d664e5003
öffentlichtr	w7_d664e5006
Tractaten	w9_d664e5009
von	w1_d664e5014
vielen	w3_d664e5017
Jahren	w5_d664e5020
her,	w7_d664e5023
die	w9_d664e5026
aber	w11_d664e5029
blos	w13_d664e5033
de	w15_d664e5036
fensiv,	w1_d664e5041
und	w3_d664e5044
als	w5_d664e5047
solche,	w7_d664e5050
unschuldig	w9_d664e5053
sind.	w11_d664e5056
Da	w13_d664e5060
nun	w1_d664e5066
Portugal	w3_d664e5069
von	w5_d664e5072
Seiten	w7_d664e5075
Groß=britanniens	w9_d664e5078
keine	w1_d664e5083
einzige	w3_d664e5086
unmitelbare	w5_d664e5089
Beleidigung	w7_d664e5092
erhal	w9_d664e5095
ten,	w1_d664e5100
um	w3_d664e5103
diese	w5_d664e5106
Tractaten	w7_d664e5109
zu	w9_d664e5112
brechen;	w11_d664e5115
so	w13_d664e5119
wür	w15_d664e5122
den	w1_d664e5127
Se.	w3_d664e5130
allergetreueste	w5_d664e5133
Majest.	w7_d664e5136
kein	w9_d664e5139
Offen	w11_d664e5142
siv=bindnüß	w1_d664e5148
gegen	w3_d664e5151
England	w5_d664e5154
eingeben	w7_d664e5157
können	w9_d664e5160
/	w11_d664e5163
ohne	w1_d664e5168
Jhrem	w3_d664e5171
öffentlichen	w5_d664e5174
Credit,	w7_d664e5177
der	w9_d664e5180
Reli	w11_d664e5183
gion	w1_d664e5188
der	w3_d664e5191
Treue	w5_d664e5194
und	w7_d664e5197
dem	w9_d664e5200
Wolstande	w11_d664e5203
Jhrer	w13_d664e5207
Krone	w1_d664e5212
zu	w3_d664e5215
nahe	w5_d664e5218
zu	w7_d664e5221
treten,	w9_d664e5224
welche	w11_d664e5227
Betrach	w13_d664e5231
tungen	w1_d664e5237
die	w3_d664e5240
unveränderlichen	w5_d664e5243
Grundsätze	w7_d664e5246
im	w9_d664e5249
Gemüthe	w1_d664e5254
Sr.	w3_d664e5257
Majestät,	w5_d664e5260
so	w7_d664e5263
wie	w9_d664e5266
bey	w11_d664e5269
allen	w13_d664e5273
gottesfürchtigen	w1_d664e5278
und	w3_d664e5281
edel=gesinnten	w5_d664e5284
Fürsten	w7_d664e5287
dergleichen	w1_d664e5292
die	w3_d664e5295
Cathol.	w5_d664e5298
und	w7_d664e5301
Allerchristl.	w9_d664e5304
Kö	w11_d664e5307
nige	w1_d664e5313
sind,	w3_d664e5316
abgeben	w5_d664e5319
müssen.	w7_d664e5322
</p>
<p id="p26_d664e5325">
Ueberdieß,	w1_d664e5329
da	w3_d664e5332
der	w5_d664e5335
Allergetreueste	w7_d664e5338
König	w9_d664e5341
Seine	w1_d664e5346
Unterthanen	w3_d664e5349
als	w5_d664e5352
ein	w7_d664e5355
Vater	w9_d664e5358
liebet,	w11_d664e5361
und	w1_d664e5366
als	w3_d664e5369
König	w5_d664e5372
dieselben	w7_d664e5375
zu	w9_d664e5378
schützen	w11_d664e5381
suchen	w13_d664e5385
muß,	w1_d664e5391
so	w3_d664e5394
ist	w5_d664e5397
leicht	w7_d664e5400
ersichtlich,	w9_d664e5403
daß	w11_d664e5406
er	w13_d664e5410
eins	w15_d664e5413
und	w1_d664e5418
das	w3_d664e5421
andere	w5_d664e5424
versäumen	w7_d664e5427
würde,	w9_d664e5430
wenn	w11_d664e5433
er	w1_d664e5438
ihnen	w3_d664e5441
zumuthen	w5_d664e5444
wollte,	w7_d664e5447
das	w9_d664e5450
Elend	w11_d664e5453
zi	w13_d664e5457
nes	w1_d664e5462
offenstven	w3_d664e5465
Kriegs	w5_d664e5468
auszustehen,	w7_d664e5471
den	w9_d664e5474
sie	w11_d664e5477
doch	w1_d664e5483
auszuhalten	w3_d664e5486
nicht	w5_d664e5489
im	w7_d664e5492
Stande	w9_d664e5495
sind,	w11_d664e5498
nachdem	w1_d664e5503
Portugall	w3_d664e5506
durch	w5_d664e5509
die	w7_d664e5512
langwierige	w9_d664e5515
Krankheit	w1_d664e5520
des	w3_d664e5523
höchstseeligen	w5_d664e5526
Königs,	w7_d664e5529
Sr.	w9_d664e5532
</p>
<p id="p32_d664e5545">
Majestät	w1_d664e5549
glorwürdigsten	w3_d664e5552
Vaters,	w5_d664e5555
durch	w7_d664e5558
das	w1_d664e5563
Erdbeben	w3_d664e5566
im	w5_d664e5569
Jahre	w7_d664e5572
1755.	w9_d664e5575
und	w11_d664e5578
durch	w13_d664e5582
erschröckliche	w1_d664e5587
Zusammenverschwörung	w3_d664e5590
1758.	w5_d664e5593
mit	w1_d664e5599
so	w3_d664e5602
vielem	w5_d664e5605
Unglück	w7_d664e5608
heimgesuchet	w9_d664e5611
wor	w11_d664e5614
den	w1_d664e5619
ist.	w3_d664e5622
</p>
<p id="p34_d664e5625">
Da	w1_d664e5629
nun	w3_d664e5632
Se.	w5_d664e5635
Allergetreueste	w7_d664e5638
Majestät,	w9_d664e5641
zufolge	w1_d664e5646
jener	w3_d664e5649
Grundsätze	w5_d664e5652
der	w7_d664e5655
Religion,	w9_d664e5658
der	w11_d664e5661
Menschlichkeit,	w1_d664e5666
der	w3_d664e5669
Treue	w5_d664e5672
und	w7_d664e5675
des	w9_d664e5678
guten	w11_d664e5681
Glaubens	w1_d664e5687
vor	w3_d664e5690
der	w5_d664e5693
Welt,	w7_d664e5696
das	w9_d664e5699
System	w11_d664e5702
der	w13_d664e5706
Neutralität	w1_d664e5711
ergriffen;	w3_d664e5714
so	w5_d664e5717
haben	w7_d664e5720
Höchstdie	w9_d664e5723
selben	w1_d664e5728
Ordre	w3_d664e5731
gegeben,	w5_d664e5734
Dero	w7_d664e5737
Häven	w9_d664e5740
und	w11_d664e5743
See=vestungen	w1_d664e5748
wieder	w3_d664e5751
in	w5_d664e5754
guten	w7_d664e5757
Stand	w9_d664e5760
zu	w11_d664e5763
setzen,	w1_d664e5769
solche	w3_d664e5772
mit	w5_d664e5775
allem	w7_d664e5778
Nothwendigen	w9_d664e5781
ver	w11_d664e5784
sehen	w1_d664e5789
zu	w3_d664e5792
lassen,	w5_d664e5795
und,	w7_d664e5798
zur	w9_d664e5801
Beschützung	w11_d664e5804
der	w13_d664e5808
selben,	w1_d664e5813
eine	w3_d664e5816
hinlängliche	w5_d664e5819
Anzahl	w7_d664e5822
Kriegs	w9_d664e5825
schiffe	w1_d664e5830
auszurüsten.	w3_d664e5833
Sie	w5_d664e5836
halten	w7_d664e5839
Dero	w9_d664e5842
Tru	w11_d664e5845
pen	w1_d664e5851
in	w3_d664e5854
Bereitschaft	w5_d664e5857
und	w7_d664e5860
bey	w9_d664e5863
der	w11_d664e5866
Hand,	w13_d664e5870
um	w15_d664e5873
allem	w1_d664e5878
zuvor	w3_d664e5881
zu	w5_d664e5884
kommen,	w7_d664e5887
was	w9_d664e5890
sich	w11_d664e5893
sonst	w13_d664e5897
in	w15_d664e5900
besagten	w1_d664e5905
Häyen	w3_d664e5908
und	w5_d664e5911
See=plätzen	w7_d664e5914
Widri	w9_d664e5917
ges	w1_d664e5922
zutragen	w3_d664e5925
könnte.	w5_d664e5928
Alle	w7_d664e5931
diese	w9_d664e5934
Anstalten	w11_d664e5937
sind	w1_d664e5943
zum	w3_d664e5946
gemeinschaftlichen	w5_d664e5949
Vortheile	w7_d664e5952
der	w9_d664e5955
sämmtlichen	w1_d664e5960
im	w3_d664e5963
Kriege	w5_d664e5966
begriffenen	w7_d664e5969
Mächte,	w9_d664e5972
ohne	w1_d664e5977
Ausnahme	w3_d664e5980
einer	w5_d664e5983
derselben,	w7_d664e5986
getroffen	w9_d664e5989
worden,	w1_d664e5994
damit	w3_d664e5997
die	w5_d664e6000
Unterthanen	w7_d664e6003
besagter	w9_d664e6006
Mächte	w1_d664e6012
die	w3_d664e6015
Protection	w5_d664e6018
und	w7_d664e6021
gute	w9_d664e6024
Aufnah	w11_d664e6027
me	w1_d664e6032
geniessen	w3_d664e6035
mögen,	w5_d664e6038
die	w7_d664e6041
man	w9_d664e6044
ihnen	w11_d664e6047
zu	w13_d664e6051
al	w15_d664e6054
len	w1_d664e6059
Zeiten	w3_d664e6062
in	w5_d664e6065
den	w7_d664e6068
Häven	w9_d664e6071
dieses	w11_d664e6074
Königreichs	w13_d664e6078
zugestanden,	w1_d664e6083
und	w3_d664e6086
heilig	w5_d664e6089
in	w7_d664e6092
Erfüllung	w9_d664e6095
ge	w11_d664e6098
bracht,	w1_d664e6104
so	w3_d664e6107
wie	w5_d664e6110
es	w7_d664e6113
die	w9_d664e6116
allgemeine	w11_d664e6119
Regel	w13_d664e6123
des	w15_d664e6126
Völkerrechts	w1_d664e6131
und	w3_d664e6134
das	w5_d664e6137
Herkommen	w7_d664e6140
bey	w9_d664e6143
al	w11_d664e6146
len	w1_d664e6151
solchen	w3_d664e6154
Höfen,	w5_d664e6157
die	w7_d664e6160
keinen	w9_d664e6163
Antheil	w11_d664e6166
an	w13_d664e6170
den	w1_d664e6175
Kriegen	w3_d664e6178
zwischen	w5_d664e6181
andern	w7_d664e6184
Nationen	w9_d664e6187
zu	w11_d664e6190
nehmen	w1_d664e6196
brauchen,	w3_d664e6199
erfordert	w5_d664e6202
hat.	w7_d664e6205
</p>
<p id="p36_d664e6209">
Kurz,	w1_d664e6213
der	w3_d664e6216
oberwehnte	w5_d664e6219
Staats=secretair	w7_d664e6222
Sr.	w1_d664e6227
allergetreuesten	w3_d664e6230
Majest.	w5_d664e6233
hat	w7_d664e6236
Ordre	w9_d664e6239
vom	w11_d664e6242
Könige	w1_d664e6247
Sr.	w3_d664e6250
Excell.	w5_d664e6253
dem	w7_d664e6256
Don	w9_d664e6259
Joseph	w11_d664e6262
Torrero,	w1_d664e6268
damit	w3_d664e6271
er	w5_d664e6274
solches	w7_d664e6277
weiter	w9_d664e6280
an	w11_d664e6283
den	w13_d664e6287
Kö	w15_d664e6290
nig	w1_d664e6295
seinen	w3_d664e6298
Herren	w5_d664e6301
berichten	w7_d664e6304
könne,	w9_d664e6307
zulsagen,	w11_d664e6310
daß	w1_d664e6315
Se.	w3_d664e6318
allergetreueste	w5_d664e6321
Majest.	w7_d664e6324
seit	w9_d664e6327
der	w11_d664e6330
Zeit,	w13_d664e6334
als	w1_d664e6339
Se.	w3_d664e6342
catholische	w5_d664e6345
Majest.	w7_d664e6348
zum	w9_d664e6351
Spani	w11_d664e6354
schen	w1_d664e6360
Throne	w3_d664e6363
gelangt,	w5_d664e6366
diesem	w7_d664e6369
Könige	w9_d664e6372
alle	w11_d664e6375
mal	w1_d664e6380
die	w3_d664e6383
überzeugendsten	w5_d664e6386
Proben	w7_d664e6389
gegeben	w9_d664e6392
ha	w11_d664e6395
</p>
<p id="p38_d664e6398">
ben,	w1_d664e6402
daß	w3_d664e6405
sie	w5_d664e6408
ein	w7_d664e6411
Bruder	w9_d664e6414
sind,	w11_d664e6417
der	w13_d664e6421
Se.	w15_d664e6424
Ma	w17_d664e6427
jest.	w1_d664e6432
liebt,	w3_d664e6435
ein	w5_d664e6438
Schwager,	w7_d664e6441
der	w9_d664e6444
sie	w11_d664e6447
hoch	w13_d664e6451
schä	w15_d664e6454
tzet,	w1_d664e6459
ein	w3_d664e6462
aufrichtiger	w5_d664e6465
Freund	w7_d664e6468
und	w9_d664e6471
Nachbar,	w11_d664e6474
der	w1_d664e6480
es	w3_d664e6483
an	w5_d664e6486
nichts	w7_d664e6489
hat	w9_d664e6492
fehlen	w11_d664e6495
lassen,,	w13_d664e6499
was	w15_d664e6502
zur	w1_d664e6507
Befestigung	w3_d664e6510
eines	w5_d664e6513
herzlich=guten	w7_d664e6516
Ver	w9_d664e6519
nehmens	w1_d664e6524
mit	w3_d664e6527
Sr.	w5_d664e6530
Majest.	w7_d664e6533
beytragen	w9_d664e6536
könnte,	w11_d664e6539
welches	w1_d664e6544
so	w3_d664e6547
weit	w5_d664e6550
gegangen	w7_d664e6553
ist,	w9_d664e6556
daß	w11_d664e6559
der	w13_d664e6563
aller	w15_d664e6566
getreueste	w1_d664e6572
König	w3_d664e6575
in	w5_d664e6578
dem	w7_d664e6581
letzten	w9_d664e6584
Tractat	w11_d664e6587
vom	w13_d664e6591
10.	w1_d664e6596
Febr.	w3_d664e6599
des	w5_d664e6602
abgewichenen	w7_d664e6605
Jahrs	w9_d664e6608
sogar	w11_d664e6611
in	w13_d664e6615
einem	w1_d664e6620
Falle,	w3_d664e6623
da	w5_d664e6626
es	w7_d664e6629
auf	w9_d664e6632
die	w11_d664e6635
Erwerbungen	w13_d664e6639
des	w15_d664e6642
Königs	w1_d664e6647
ankam,	w3_d664e6650
stipuliret	w5_d664e6653
hat:Er	w7_d664e6656
lasse	w9_d664e6659
lie	w11_d664e6662
ber	w1_d664e6668
alle	w3_d664e6671
andere	w5_d664e6674
Vortheile	w7_d664e6677
fahren,	w9_d664e6680
um	w11_d664e6683
nur	w13_d664e6687
auch	w1_d664e6692
die	w3_d664e6695
geringste	w5_d664e6698
