<doc id="wr_1759-09-08" attrs="word" year="1759" month="09" day="08" corpus="2">
<head id="h2_d379e4399">
Königsberg	w1_d379e4403
Beyseyn	w7_d379e4710
des	w9_d379e4713
Hrn.	w11_d379e4716
Ge	w13_d379e4720
neral=leutenants,	w1_d379e4725
würklichen	w3_d379e4728
Kammer=herrn	w5_d379e4731
Gouverneurs	w1_d379e4736
dieses	w3_d379e4739
Königreichs	w5_d379e4742
und	w7_d379e4745
Ritters	w9_d379e4748
von	w1_d379e4754
Korf,	w3_d379e4757
wie	w5_d379e4760
auch	w7_d379e4763
deren	w9_d379e4766
übrigen	w11_d379e4769
hier	w13_d379e4773
an	w15_d379e4776
wesenden	w1_d379e4781
Herren	w3_d379e4784
Generals,	w5_d379e4787
auch	w7_d379e4790
anderen	w9_d379e4793
</p>
<p id="p6_d379e4796">
Standes=personen	w1_d379e4800
beyderley	w3_d379e4803
Geschlechts	w5_d379e4806
dem	w1_d379e4811
Allerhöchsten	w3_d379e4814
für	w5_d379e4817
den	w7_d379e4820
verliehenen	w9_d379e4823
Sieg	w11_d379e4826
durch	w1_d379e4831
Absingung	w3_d379e4834
des	w5_d379e4837
Te	w7_d379e4840
Deum	w9_d379e4843
gedanket,	w11_d379e4846
und	w1_d379e4852
nächst	w3_d379e4855
dem	w5_d379e4858
nicht	w7_d379e4861
allein	w9_d379e4864
die	w11_d379e4867
Canonen	w13_d379e4871
von	w1_d379e4876
der	w3_d379e4879
Festung	w5_d379e4882
und	w7_d379e4885
bey	w9_d379e4888
dem	w11_d379e4891
Schloß	w13_d379e4895
ab	w15_d379e4898
gefeuert,	w1_d379e4903
sondern	w3_d379e4906
auch	w5_d379e4909
von	w7_d379e4912
denen	w9_d379e4915
in	w11_d379e4918
Pa	w13_d379e4922
rade	w1_d379e4927
gestellten	w3_d379e4930
Regimentern	w5_d379e4933
ein	w7_d379e4936
dreyfaches	w9_d379e4939
Lauf=feuer	w1_d379e4945
gemacht.	w3_d379e4948
Zu	w5_d379e4951
Mittag	w7_d379e4954
bewirte	w9_d379e4957
ten	w1_d379e4962
Se.	w3_d379e4965
Excellenz,	w5_d379e4968
unser	w7_d379e4971
Herr	w9_d379e4974
Gouver	w11_d379e4977
neur	w1_d379e4982
obgedachte	w3_d379e4985
hier	w5_d379e4988
anwesende	w7_d379e4991
Herren	w9_d379e4994
Ge	w11_d379e4997
nerals=personen,	w1_d379e5002
nebst	w3_d379e5005
denen	w5_d379e5008
Chefs	w7_d379e5011
der	w9_d379e5014
Re	w11_d379e5017
gimentern	w1_d379e5023
und	w3_d379e5026
übrigen	w5_d379e5029
Stabs=officiers,	w7_d379e5032
da	w9_d379e5035
dann	w1_d379e5040
bey	w3_d379e5043
Ausbringung	w5_d379e5046
der	w7_d379e5049
Allerhöchsten,	w9_d379e5052
und	w1_d379e5057
höchsten	w3_d379e5060
Gesundheiten	w5_d379e5063
die	w7_d379e5066
auf	w9_d379e5069
dem	w11_d379e5072
Schloß=platz	w1_d379e5077
gepflanzte	w3_d379e5080
Canonen	w5_d379e5083
abgefeu	w7_d379e5086
ret	w1_d379e5092
wurden.	w3_d379e5095
Heute	w5_d379e5098
wird	w7_d379e5101
auf	w9_d379e5104
Befehl	w11_d379e5107
Sr.	w13_d379e5111
Excellenz,	w1_d379e5116
unsers	w3_d379e5119
Herrn	w5_d379e5122
Gouverneurs,	w7_d379e5125
wegen	w1_d379e5130
dieses	w3_d379e5133
von	w5_d379e5136
dem	w7_d379e5139
Höchsten	w9_d379e5142
verliehenen	w11_d379e5145
Sieges	w1_d379e5150
in	w3_d379e5153
allen	w5_d379e5156
übrigen	w7_d379e5159
Kirchen	w9_d379e5162
dieser	w11_d379e5165
Stadt,	w13_d379e5169
und	w1_d379e5175
den	w3_d379e5178
nächst=folgenden	w5_d379e5181
Sonntag	w7_d379e5184
in	w9_d379e5187
allen	w11_d379e5190
</p>
<p id="p12_d379e5204">
Kirchen	w1_d379e5208
des	w3_d379e5211
Landes	w5_d379e5214
ein	w7_d379e5217
offentliches	w9_d379e5220
Dank	w11_d379e5223
fest	w1_d379e5228
celebriret	w3_d379e5231
werden.	w5_d379e5234
</p>
<head id="h2_d379e5240">
Prag	w1_d379e5244
den	w3_d379e5247
11.	w5_d379e5250
Augusti.	w7_d379e5253
</head>
<p id="p4_d379e5256">
Verflossenen	w1_d379e5260
Donnerstag	w3_d379e5263
als	w5_d379e5266
den	w7_d379e5269
9ten	w9_d379e5272
seynd	w1_d379e5277
Se.	w3_d379e5280
Excellenz,	w5_d379e5283
der	w7_d379e5286
hoch	w9_d379e5289
und	w11_d379e5292
wolge	w13_d379e5296
borne	w1_d379e5301
Herr	w3_d379e5304
Wenzel	w5_d379e5307
Casimir,	w7_d379e5310
des	w9_d379e5313
Heil.	w11_d379e5316
Rom.	w1_d379e5322
Reichs	w3_d379e5325
Graf	w5_d379e5328
Netolitzky	w7_d379e5331
von	w9_d379e5334
Eisen	w11_d379e5337
berg,	w1_d379e5342
Herr	w3_d379e5345
der	w5_d379e5348
Herrschaften	w7_d379e5351
Kost	w9_d379e5354
und	w11_d379e5357
Lehrwitz,	w1_d379e5362
Jhrer	w3_d379e5365
Röm.	w5_d379e5368
Kaiserl.	w7_d379e5371
Königl.	w9_d379e5374
Apostolischen	w1_d379e5379
Majestät	w3_d379e5382
würklich	w5_d379e5385
geheimer	w7_d379e5388
Raht,	w1_d379e5394
und	w3_d379e5397
Präses	w5_d379e5400
der	w7_d379e5403
hochlöbl.	w9_d379e5406
Kaiserl.	w11_d379e5409
Königl.	w1_d379e5414
Repräsentations=cammer	w3_d379e5417
im	w5_d379e5420
Kö	w7_d379e5423
nigzeeich	w1_d379e5428
Böhmen,	w3_d379e5431
als	w5_d379e5434
Obrister	w7_d379e5437
Landmar	w9_d379e5440
schall	w1_d379e5445
bey	w3_d379e5448
einem	w5_d379e5451
hochlöbl.	w7_d379e5454
Concessu	w9_d379e5457
derer	w11_d379e5460
Herren	w1_d379e5466
Obristen	w3_d379e5469
Landes=officiren,	w5_d379e5472
gewöhn	w7_d379e5475
licher	w1_d379e5480
massen	w3_d379e5483
installiret	w5_d379e5486
worden.	w7_d379e5489
</p>
<head id="h2_d379e5495">
Londen	w1_d379e5499
21.	w3_d379e5502
Augusti.	w5_d379e5505
</head>
<p id="p4_d379e5508">
Nach	w1_d379e5512
einem	w3_d379e5515
Befehl	w5_d379e5518
der	w7_d379e5521
Regierung	w9_d379e5524
dar	w11_d379e5527
niemand	w1_d379e5532
auf	w3_d379e5535
dem	w5_d379e5538
Paquer=bovte	w7_d379e5541
von	w9_d379e5544
Har	w11_d379e5547
wich	w1_d379e5552
oder	w3_d379e5555
Dower	w5_d379e5558
aus	w7_d379e5561
dem	w9_d379e5564
Königreich	w11_d379e5567
rei	w13_d379e5571
sen,	w1_d379e5577
wann	w3_d379e5580
er	w5_d379e5583
nicht	w7_d379e5586
mit	w9_d379e5589
einem	w11_d379e5592
Passe	w13_d379e5596
vom	w15_d379e5599
Staats=secretariat	w1_d379e5604
versehen	w3_d379e5607
ist,	w5_d379e5610
auch	w7_d379e5613
darf	w9_d379e5616
niemand	w1_d379e5621
nach	w3_d379e5624
England	w5_d379e5627
kommen,	w7_d379e5630
falls	w9_d379e5633
er	w11_d379e5636
nicht	w1_d379e5641
mit	w3_d379e5644
einem	w5_d379e5647
Paß	w7_d379e5650
des	w9_d379e5653
Königl.	w11_d379e5656
Ministers	w13_d379e5660
im	w1_d379e5666
Haag	w3_d379e5669
oder	w5_d379e5672
des	w7_d379e5675
En	w9_d379e5678
ländischen	w11_d379e5681
Consuls	w13_d379e5685
zu	w1_d379e5690
Fließingen	w3_d379e5693
versehen	w5_d379e5696
ist.	w7_d379e5699
</p>
<head id="h2_d379e5705">
Danzig	w1_d379e5709
11.	w3_d379e5712
Aug.	w5_d379e5715
</head>
<p id="p4_d379e5718">
Jhre	w1_d379e5722
Rußisch=Kaiserl.	w3_d379e5725
Majestät	w5_d379e5728
ha	w7_d379e5731
ben	w1_d379e5736
dem	w3_d379e5739
Königreich	w5_d379e5742
Preussen	w7_d379e5745
eine	w9_d379e5748
gedop	w11_d379e5751
pelte	w1_d379e5756
Gnade	w3_d379e5759
wiederfahren	w5_d379e5762
lassen;	w7_d379e5765
eines	w9_d379e5768
Theils	w1_d379e5774
haben	w3_d379e5777
Sie	w5_d379e5780
der	w7_d379e5783
Stadt	w9_d379e5786
Königsberg	w11_d379e5789
an	w1_d379e5794
der	w3_d379e5797
auferlegten	w5_d379e5800
Contribution	w7_d379e5803
einen	w9_d379e5806
Nach	w11_d379e5809
laß	w1_d379e5814
von	w3_d379e5817
400000.	w5_d379e5820
Rubeln	w7_d379e5823
angedeihen	w9_d379e5826
lassen,	w11_d379e5829
und	w1_d379e5834
ihr	w3_d379e5837
zugleich	w5_d379e5840
die	w7_d379e5843
Freyheit	w9_d379e5846
ertheilet,	w11_d379e5849
ihr	w13_d379e5853
Ge	w15_d379e5856
treid	w1_d379e5862
auszuschiffen,	w3_d379e5865
mit	w5_d379e5868
der	w7_d379e5871
angehenkten	w9_d379e5874
Ver	w11_d379e5877
sicherung,	w1_d379e5882
daß	w3_d379e5885
sie	w5_d379e5888
in	w7_d379e5891
allem	w9_d379e5894
deme,	w11_d379e5897
was	w13_d379e5901
zu	w15_d379e5904
Beförderung	w1_d379e5909
ihres	w3_d379e5912
Handels	w5_d379e5915
gereichen	w7_d379e5918
möch	w9_d379e5921
te,	w1_d379e5926
kräftig	w3_d379e5929
unterstützet	w5_d379e5932
werden	w7_d379e5935
solte.	w9_d379e5938
Am	w11_d379e5941
andern	w1_d379e5947
Theil	w3_d379e5950
haben	w5_d379e5953
Höchst=dieselbe	w7_d379e5956
den	w9_d379e5959
bis	w11_d379e5962
her	w1_d379e5967
auf	w3_d379e5970
die	w5_d379e5973
adeliche	w7_d379e5976
Güter	w9_d379e5979
deren	w11_d379e5982
abwesen	w13_d379e5986
den	w1_d379e5991
in	w3_d379e5994
Königl.	w5_d379e5997
Preußischen	w7_d379e6000
Diensten	w9_d379e6003
ste	w11_d379e6006
henden	w1_d379e6011
Personen	w3_d379e6014
gelegt=gewesten	w5_d379e6017
Sequester	w7_d379e6020
aufgehoben.	w1_d379e6026
</p>
<head id="h2_d379e6033">
Frankfort	w1_d379e6037
22.	w3_d379e6040
Aug.	w5_d379e6043
</head>
<p id="p4_d379e6046">
Die	w1_d379e6050
Franzosen	w3_d379e6053
haben	w5_d379e6056
ihr	w7_d379e6059
Magazin	w9_d379e6062
von	w11_d379e6065
Jesberg	w1_d379e6070
nach	w3_d379e6073
Marburg	w5_d379e6076
geschicket,	w7_d379e6079
allwo	w9_d379e6082
einige	w1_d379e6087
100.	w3_d379e6090
Bäcker	w5_d379e6093
Brod	w7_d379e6096
für	w9_d379e6099
sie	w11_d379e6102
backen.	w13_d379e6106
Alle	w1_d379e6112
Bagage	w3_d379e6115
der	w5_d379e6118
Französischen	w7_d379e6121
Armee	w9_d379e6124
ist	w11_d379e6127
auch	w1_d379e6132
nach	w3_d379e6135
Marburg	w5_d379e6138
geschicket	w7_d379e6141
worden.	w9_d379e6144
Der	w11_d379e6147
Herr	w1_d379e6152
du	w3_d379e6155
Blaisel	w5_d379e6158
escortiret	w7_d379e6161
sie	w9_d379e6164
mit	w11_d379e6167
einigen	w13_d379e6171
Brigaden.	w1_d379e6176
</p>
<head id="h2_d379e6182">
Frankfort	w1_d379e6186
29.	w3_d379e6189
Aug.	w5_d379e6192
</head>
<p id="p4_d379e6195">
Es	w1_d379e6199
könte	w3_d379e6202
leicht	w5_d379e6205
geschehen,	w7_d379e6208
daß	w9_d379e6211
es	w11_d379e6214
ehe	w13_d379e6218
stens	w1_d379e6223
zwischen	w3_d379e6226
denen	w5_d379e6229
Franzosen	w7_d379e6232
und	w9_d379e6235
Alliir	w11_d379e6238
ten	w1_d379e6243
zu	w3_d379e6246
einem	w5_d379e6249
neuen	w7_d379e6252
Handel	w9_d379e6255
komme,	w11_d379e6258
dann	w13_d379e6262
sie	w1_d379e6268
stehen	w3_d379e6271
sehr	w5_d379e6274
nahe	w7_d379e6277
aneinander.	w9_d379e6280
Die	w11_d379e6283
Re	w13_d379e6287
serven	w1_d379e6292
des	w3_d379e6295
Herzogs	w5_d379e6298
von	w7_d379e6301
Broglie	w9_d379e6304
und	w11_d379e6307
des	w13_d379e6311
Marquis	w1_d379e6316
d'Armentieres	w3_d379e6319
zu	w5_d379e6322
Wehr,	w7_d379e6325
diht	w9_d379e6328
bey	w1_d379e6333
Marburg,	w3_d379e6336
und	w5_d379e6339
die	w7_d379e6342
Contadische	w9_d379e6345
Armee	w11_d379e6348
bey	w1_d379e6354
Seelheim,	w3_d379e6357
das	w5_d379e6360
alliirte	w7_d379e6363
Corps	w9_d379e6366
aber,	w11_d379e6369
von	w1_d379e6374
dem	w3_d379e6377
man	w5_d379e6380
einen	w7_d379e6383
Angrif	w9_d379e6386
vermutet,	w11_d379e6389
bey	w13_d379e6393
Rauschenberg,	w1_d379e6398
2.	w3_d379e6401
Stunden	w5_d379e6404
von	w7_d379e6407
der	w9_d379e6410
Fran	w11_d379e6413
zösischen	w1_d379e6418
Armee.	w3_d379e6421
</p>
<head id="h2_d379e6427">
Antwerpen	w1_d379e6431
23.	w3_d379e6434
Aug.	w5_d379e6437
</head>
<p id="p4_d379e6440">
Gestern	w1_d379e6444
hatten	w3_d379e6447
wir	w5_d379e6450
das	w7_d379e6453
Glück,	w9_d379e6456
Se.	w11_d379e6459
Kö	w13_d379e6463
nigl.	w1_d379e6468
Hoheit	w3_d379e6471
den	w5_d379e6474
Herzog	w7_d379e6477
Carl	w9_d379e6480
von	w11_d379e6483
Loth	w13_d379e6487
ringen	w1_d379e6492
mit	w3_d379e6495
Dero	w5_d379e6498
Frauen	w7_d379e6501
Schwester	w9_d379e6504
bey	w11_d379e6507
und	w1_d379e6513
zu	w3_d379e6516
sehen.	w5_d379e6519
Ob	w7_d379e6522
gleich	w9_d379e6525
die	w11_d379e6528
Ankinftir	w13_d379e6532
cognito	w1_d379e6537
geschahe,	w3_d379e6540
so	w5_d379e6543
waren	w7_d379e6546
dech	w9_d379e6549
überall	w11_d379e6552
die	w1_d379e6557
beste	w3_d379e6560
Anstalten	w5_d379e6563
zu	w7_d379e6566
Dero	w9_d379e6569
würdigen	w11_d379e6572
Em	w13_d379e6576
pfang	w1_d379e6581
vorgekehret.	w3_d379e6584
Der	w5_d379e6587
Rahtspensiona	w7_d379e6590
rius	w1_d379e6596
dieser	w3_d379e6599
Stadt,	w5_d379e6602
Herr	w7_d379e6605
von	w9_d379e6608
Essen,	w11_d379e6611
be	w13_d379e6615
willkommte	w1_d379e6620
sie,	w3_d379e6623
worauf	w5_d379e6626
sie	w7_d379e6629
sich	w9_d379e6632
unter	w11_d379e6635
Lau	w13_d379e6639
tung	w1_d379e6644
deren	w3_d379e6647
Glecken,	w5_d379e6650
und	w7_d379e6653
dem	w9_d379e6656
Schalle	w11_d379e6659
be	w13_d379e6663
ren	w1_d379e6668
Jnstrumenten	w3_d379e6671
nach	w5_d379e6674
der	w7_d379e6677
berübmten	w9_d379e6680
Ab	w11_d379e6683
tey	w1_d379e6689
des	w3_d379e6692
Heil.	w5_d379e6695
Erz=engels	w7_d379e6698
Michael	w9_d379e6701
begaben,	w11_d379e6704
wo	w1_d379e6709
der	w3_d379e6712
Herr	w5_d379e6715
Abbt,	w7_d379e6718
Jacob	w9_d379e6721
Thomas,	w11_d379e6724
eine	w13_d379e6728
schö	w15_d379e6731
ne	w1_d379e6736
Rede	w3_d379e6739
an	w5_d379e6742
sie	w7_d379e6745
hielte.	w9_d379e6748
Der	w11_d379e6751
Magistrat	w13_d379e6755
über	w15_d379e6758
brachte	w1_d379e6763
den	w3_d379e6766
gewöhlichen	w5_d379e6769
Ehren=wein,	w7_d379e6772
den	w9_d379e6775
Se.	w1_d379e6781
Königl.	w3_d379e6784
Hoheit	w5_d379e6787
aufs	w7_d379e6790
gnädigste	w9_d379e6793
annah	w11_d379e6796
men.	w1_d379e6801
Sie	w3_d379e6804
besichtigten	w5_d379e6807
sodann	w7_d379e6810
die	w9_d379e6813
hiesige	w11_d379e6816
Seltenheiten,	w1_d379e6821
das	w3_d379e6824
Gemählden=cabinet,	w5_d379e6827
und	w1_d379e6832
andere,	w3_d379e6835
und	w5_d379e6838
wohneten	w7_d379e6841
auch	w9_d379e6844
einer	w11_d379e6847
Comödie	w1_d379e6853
bey,	w3_d379e6856
die	w5_d379e6859
auf	w7_d379e6862
dem	w9_d379e6865
grossen	w11_d379e6868
Thea	w13_d379e6872
ter	w1_d379e6877
vorgestellet	w3_d379e6880
wurde.	w5_d379e6883
Sie	w7_d379e6886
speiseten	w9_d379e6889
so	w11_d379e6892
dann	w1_d379e6897
</p>
<p id="p8_d379e6902">
dandes	w1_d379e6906
Abends	w3_d379e6909
bey	w5_d379e6912
dem	w7_d379e6915
Prinzen	w9_d379e6918
von	w11_d379e6921
Salm	w13_d379e6925
salm,	w1_d379e6930
Herzogen	w3_d379e6933
von	w5_d379e6936
Hoghstraten,	w7_d379e6939
Rittern	w9_d379e6942
des	w1_d379e6947
goldenen	w3_d379e6950
Vliesses	w5_d379e6953
und	w7_d379e6956
Gouverneur	w9_d379e6959
un	w11_d379e6962
serer	w1_d379e6968
Citadelle.	w3_d379e6971
Morgen	w5_d379e6974
werden	w7_d379e6977
sich	w9_d379e6980
Jhre	w11_d379e6983
Königl.	w1_d379e6988
Hoheiten	w3_d379e6991
nach	w5_d379e6994
Mecheln	w7_d379e6997
erheben.	w9_d379e7000
</p>
<head id="h2_d379e7006">
Lisabon	w1_d379e7010
25.	w3_d379e7013
Julii.	w5_d379e7016
</head>
<p id="p4_d379e7019">
Der	w1_d379e7023
Cardinal	w3_d379e7026
Saldanha	w5_d379e7029
hat	w7_d379e7032
endlich	w9_d379e7035
die	w11_d379e7038
palche	w1_d379e7045
Bulle	w3_d379e7048
empfangen,	w5_d379e7051
wodurch	w7_d379e7054
er	w9_d379e7057
in	w1_d379e7062
dem	w3_d379e7065
Patriarchat	w5_d379e7068
dieser	w7_d379e7071
Stadt	w9_d379e7074
bestätiget	w11_d379e7077
wird.	w1_d379e7083
Den	w3_d379e7086
14ten	w5_d379e7089
des	w7_d379e7092
künftigen	w9_d379e7095
Mo	w11_d379e7098
nats	w1_d379e7103
wird	w3_d379e7106
derselbe	w5_d379e7109
seinen	w7_d379e7112
offentlichen	w9_d379e7115
Ein	w11_d379e7118
zug	w1_d379e7123
halten.	w3_d379e7126
Der	w5_d379e7129
König	w7_d379e7132
hat	w9_d379e7135
beschlossen,	w11_d379e7138
n	w1_d379e7143
dieser	w3_d379e7146
Stadt	w5_d379e7149
einen	w7_d379e7152
Palast	w9_d379e7155
erbauen	w11_d379e7158
zu	w13_d379e7162
lassen,	w1_d379e7168
welcher	w3_d379e7171
sehr	w5_d379e7174
geräumig	w7_d379e7177
seyn,	w9_d379e7180
und	w11_d379e7183
ein	w1_d379e7188
Viereck	w3_d379e7191
werden	w5_d379e7194
wird.	w7_d379e7197
Der	w9_d379e7200
Plan	w11_d379e7203
und	w13_d379e7207
Prosil	w1_d379e7212
dazu	w3_d379e7215
ist	w5_d379e7218
in	w7_d379e7221
einer	w9_d379e7224
Versammlung	w11_d379e7227
von	w13_d379e7231
Jngenieurs	w1_d379e7236
entworfen	w3_d379e7239
worden,	w5_d379e7242
wobey	w7_d379e7245
Don	w9_d379e7248
Sebastian	w1_d379e7254
de	w3_d379e7257
Carvalho	w5_d379e7260
präsidiret	w7_d379e7263
hat.	w9_d379e7266
Die	w11_d379e7269
ser	w1_d379e7274
Bau	w3_d379e7277
wird	w5_d379e7280
30.	w7_d379e7283
Millionen	w9_d379e7286
Crusaden	w11_d379e7289
ko	w13_d379e7293
sten,	w1_d379e7298
und	w3_d379e7301
in	w5_d379e7304
5.	w7_d379e7307
Jahren	w9_d379e7310
zu	w11_d379e7313
Stande	w13_d379e7317
gebracht	w15_d379e7320
werden.	w1_d379e7325
Die	w3_d379e7328
Gegenden	w5_d379e7331
und	w7_d379e7334
Häuser	w9_d379e7337
auf	w11_d379e7340
dem	w1_d379e7346
dazu	w3_d379e7349
bestimmten	w5_d379e7352
Platze	w7_d379e7355
sind	w9_d379e7358
bereits	w11_d379e7361
angekauft,	w1_d379e7366
und	w3_d379e7369
theils	w5_d379e7372
baar	w7_d379e7375
bezahlt,	w9_d379e7378
theils	w11_d379e7381
aber	w1_d379e7386
auf	w3_d379e7389
gewisse	w5_d379e7392
Renten	w7_d379e7395
gestellt,	w9_d379e7398
welche	w11_d379e7401
von	w1_d379e7406
den	w3_d379e7409
Jmposten	w5_d379e7412
und	w7_d379e7415
Zöllen	w9_d379e7418
jährlich	w11_d379e7421
ab	w13_d379e7425
getragen	w1_d379e7431
werden	w3_d379e7434
sollen.	w5_d379e7437
Der	w7_d379e7440
König	w9_d379e7443
hat	w11_d379e7446
den	w1_d379e7451
Nahmen	w3_d379e7454
des	w5_d379e7457
mit	w7_d379e7460
Stadt=recht	w9_d379e7463
versehe	w11_d379e7466
nen	w1_d379e7471
Fleckens	w3_d379e7474
Aveiro	w5_d379e7477
verändert,	w7_d379e7480
und	w9_d379e7483
er	w11_d379e7486
soll	w13_d379e7490
in	w1_d379e7495
Zukunft	w3_d379e7498
Nueva	w5_d379e7501
Braganza	w7_d379e7504
heissen,	w9_d379e7507
wofür	w11_d379e7510
er	w1_d379e7516
jährlich	w3_d379e7519
25.	w5_d379e7522
Mark	w7_d379e7525
Silbers	w9_d379e7528
in	w11_d379e7531
die	w13_d379e7535
Kö	w15_d379e7538
mgl.	w1_d379e7543
Canzley	w3_d379e7546
liefern	w5_d379e7549
muß.	w7_d379e7552
Ehestens	w9_d379e7555
wird	w11_d379e7558
eine	w1_d379e7563
neue	w3_d379e7566
Königl.	w5_d379e7569
Verordnung	w7_d379e7572
und	w9_d379e7575
ein	w11_d379e7578
Di	w13_d379e7582
rectorium	w1_d379e7587
über	w3_d379e7590
die	w5_d379e7593
Art	w7_d379e7596
und	w9_d379e7599
Weise,	w11_d379e7602
wie	w13_d379e7606
das	w15_d379e7609
Studium	w1_d379e7615
in	w3_d379e7618
diesem	w5_d379e7621
Königreiche	w7_d379e7624
eingerich	w9_d379e7627
eer	w1_d379e7632
werden	w3_d379e7635
soll,	w5_d379e7638
zum	w7_d379e7641
Vorschein	w9_d379e7644
kommen.	w11_d379e7647
</p>
<head id="h2_d379e7653">
Heidelberg	w1_d379e7657
26.	w3_d379e7660
Augusti.	w5_d379e7663
</head>
<p id="p4_d379e7666">
Den	w1_d379e7670
12.	w3_d379e7673
dieses	w5_d379e7676
legten	w7_d379e7679
Se.	w9_d379e7682
Churfürstl.	w11_d379e7685
Gnaden	w1_d379e7690
von	w3_d379e7693
Mainz,	w5_d379e7696
von	w7_d379e7699
Worms	w9_d379e7702
aus,	w11_d379e7705
bey	w1_d379e7710
Sr.	w3_d379e7713
Courfürstl.	w5_d379e7716
Durchl.	w7_d379e7719
von	w9_d379e7722
der	w11_d379e7725
Pfalz	w13_d379e7729
einen	w1_d379e7735
Besuch	w3_d379e7738
ab,	w5_d379e7741
wo	w7_d379e7744
sie	w9_d379e7747
dem	w11_d379e7750
veranstaltet	w13_d379e7754
gewesten	w1_d379e7759
Wasser=jagen	w3_d379e7762
zugegen	w5_d379e7765
waren.	w7_d379e7768
Den	w9_d379e7771
18ten	w1_d379e7776
darauf	w3_d379e7779
statteten	w5_d379e7782
höchstgedachte	w7_d379e7785
Se.	w9_d379e7788
</p>
<p id="p6_d379e7791">
Churfürstl.	w1_d379e7795
Gnaden	w3_d379e7798
von	w5_d379e7801
Mainz	w7_d379e7804
auf	w9_d379e7807
der	w11_d379e7810
Maulbeer=au	w1_d379e7815
unweit	w3_d379e7818
Worms	w5_d379e7821
einen	w7_d379e7824
Gegen	w9_d379e7827
besuch	w1_d379e7832
ab,	w3_d379e7835
wo	w5_d379e7838
sie	w7_d379e7841
der	w9_d379e7844
angestellten	w11_d379e7847
Hirsch	w13_d379e7851
jagd	w1_d379e7857
gleichfalls	w3_d379e7860
mit	w5_d379e7863
beygewohnet	w7_d379e7866
haben.	w9_d379e7869
</p>
<head id="h2_d379e7875">
Schwerin	w1_d379e7879
21.	w3_d379e7882
Augusti.	w5_d379e7885
</head>
<p id="p4_d379e7888">
Die	w1_d379e7892
Schwedische	w3_d379e7895
Armee	w5_d379e7898
ist	w7_d379e7901
nun	w9_d379e7904
auch	w11_d379e7907
aufgebrochen.	w1_d379e7912
Hiernächst	w3_d379e7915
hat	w5_d379e7918
man	w7_d379e7921
Schwe	w9_d379e7924
discher	w1_d379e7929
Seits	w3_d379e7932
2.	w5_d379e7935
Regimenter	w7_d379e7938
von	w9_d379e7941
Stral	w11_d379e7944
sund	w1_d379e7950
nach	w3_d379e7953
der	w5_d379e7956
Jnsul	w7_d379e7959
Ujedom	w9_d379e7962
mit	w11_d379e7965
Galeeren	w13_d379e7969
übergesetzet.	w1_d379e7974
</p>
<head id="h2_d379e7981">
Tunis	w1_d379e7985
30.	w3_d379e7988
Junii.	w5_d379e7991
</head>
<p id="p4_d379e7994">
Den	w1_d379e7998
25.	w3_d379e8001
dieses	w5_d379e8004
empfieng	w7_d379e8007
man	w9_d379e8010
