<doc id="wr_1759-07-04" attrs="word" year="1759" month="07" day="04" corpus="2">
<head id="h2_d362e3837">
Cassel	w1_d362e3841
auf	w11_d362e4183
die	w13_d362e4187
volkommenste	w1_d362e4192
Weise	w3_d362e4195
vereinbaren)	w5_d362e4198
befindet	w7_d362e4201
sich	w1_d362e4206
nicht	w3_d362e4209
mehr	w5_d362e4212
an	w7_d362e4215
denen	w9_d362e4218
Ufern	w11_d362e4221
des	w13_d362e4225
Mayns,	w15_d362e4228
wo	w1_d362e4233
ihn	w3_d362e4236
einige	w5_d362e4239
Nachrichten	w7_d362e4242
ierig	w9_d362e4245
gelassen	w11_d362e4248
</p>
<p id="p6_d362e4251">
hatten,	w1_d362e4255
sondern	w3_d362e4258
in	w5_d362e4261
hiesiger	w7_d362e4264
Residenz=stadt	w9_d362e4267
zu	w11_d362e4270
Cassel.	w1_d362e4275
Er	w3_d362e4278
führet	w5_d362e4281
alhier	w7_d362e4284
die	w9_d362e4287
Oberbefehls	w11_d362e4290
haberschaft,	w1_d362e4295
und	w3_d362e4298
hat	w5_d362e4301
sein	w7_d362e4304
ehemaliges	w9_d362e4307
Quar	w11_d362e4310
tier	w1_d362e4316
in	w3_d362e4319
dem	w5_d362e4322
Pallaste	w7_d362e4325
des	w9_d362e4328
Erb=prinzens	w11_d362e4331
von	w13_d362e4335
Hessen	w1_d362e4340
auf	w3_d362e4343
der	w5_d362e4346
Ober=neustadt	w7_d362e4349
wieder	w9_d362e4352
bezo	w11_d362e4355
gen.	w1_d362e4360
Am	w3_d362e4363
12ten	w5_d362e4366
machte	w7_d362e4369
der	w9_d362e4372
Magistrat	w11_d362e4375
dem	w13_d362e4379
selben	w1_d362e4384
die	w3_d362e4387
Aufwartung.	w5_d362e4390
Ein	w7_d362e4393
gleiches	w9_d362e4396
ge	w11_d362e4399
schahe	w1_d362e4405
von	w3_d362e4408
dem	w5_d362e4411
geheimen	w7_d362e4414
Ministerio	w9_d362e4417
und	w11_d362e4420
denen	w1_d362e4425
sämmtlichen	w3_d362e4428
Collegien.	w5_d362e4431
Das	w7_d362e4434
Gegen	w9_d362e4437
compliment	w1_d362e4442
des	w3_d362e4445
Hrn.	w5_d362e4448
Herzogs	w7_d362e4451
war	w9_d362e4454
sehr	w11_d362e4457
freundlich	w1_d362e4462
und	w3_d362e4465
bestund	w5_d362e4468
in	w7_d362e4471
Wiederholung	w9_d362e4474
des	w11_d362e4477
Versprechens	w1_d362e4483
der	w3_d362e4486
strengsten	w5_d362e4489
Kriegs=zucht.	w7_d362e4492
Diesem	w1_d362e4497
Versprechen	w3_d362e4500
wurde	w5_d362e4503
jedoch	w7_d362e4506
eine	w9_d362e4509
Clausul	w1_d362e4514
beygefügt.	w3_d362e4517
Er	w5_d362e4520
hat	w7_d362e4523
nämlich	w9_d362e4526
im	w11_d362e4529
Namen	w1_d362e4534
seines	w3_d362e4537
Königs	w5_d362e4540
erkläret:	w7_d362e4543
daß	w9_d362e4546
die	w11_d362e4549
alte	w1_d362e4555
Ruck=stände	w3_d362e4558
abgeführet,	w5_d362e4561
und	w7_d362e4564
über	w9_d362e4567
dieses	w1_d362e4572
200000.	w3_d362e4575
Rthlr.	w5_d362e4578
aufs	w7_d362e4581
neue	w9_d362e4584
erlegt	w11_d362e4587
werden	w1_d362e4592
müsten.	w3_d362e4595
</p>
<p id="p8_d362e4598">
Der	w1_d362e4602
alhiesige	w3_d362e4605
Hoch=fürstl.	w5_d362e4608
Hessencasseli	w7_d362e4611
sche	w1_d362e4616
Hof	w3_d362e4619
hat	w5_d362e4622
sich	w7_d362e4625
bey	w9_d362e4628
solch=neuerlich	w11_d362e4631
angedrun	w13_d362e4635
</p>
<p id="p14_d362e4649">
genen	w1_d362e4653
Gefahr	w3_d362e4656
gegen	w5_d362e4659
seine	w7_d362e4662
Lande,	w9_d362e4665
von	w11_d362e4668
Rinteln	w13_d362e4672
wieder	w1_d362e4677
weg	w3_d362e4680
und	w5_d362e4683
nach	w7_d362e4686
Bremen	w9_d362e4689
begeben,	w11_d362e4692
wo	w13_d362e4696
auch	w1_d362e4701
der	w3_d362e4704
Frau	w5_d362e4707
Erb=prinzeßin	w7_d362e4710
Königl.	w9_d362e4713
Ho	w11_d362e4716
heit,	w1_d362e4722
nebst	w3_d362e4725
der	w5_d362e4728
Prinzeßin	w7_d362e4731
Charlotte	w9_d362e4734
Durchl.	w11_d362e4737
am	w1_d362e4742
13.	w3_d362e4745
des	w5_d362e4748
Abends	w7_d362e4751
schon	w9_d362e4754
eingetroffen	w11_d362e4757
seynd.	w13_d362e4761
</p>
<head id="h2_d362e4767">
Dresden	w1_d362e4771
18.	w3_d362e4774
Junii.	w5_d362e4777
</head>
<p id="p4_d362e4780">
Das	w1_d362e4784
hiesige	w3_d362e4787
Münz=wesen	w5_d362e4790
ist	w7_d362e4793
aufs	w9_d362e4796
höch	w11_d362e4799
ste	w1_d362e4804
gestiegen,	w3_d362e4807
und	w5_d362e4810
wird	w7_d362e4813
von	w9_d362e4816
vielen	w11_d362e4819
Leuten,	w13_d362e4823
vom	w1_d362e4828
frühesten	w3_d362e4831
an	w5_d362e4834
bis	w7_d362e4837
in	w9_d362e4840
die	w11_d362e4843
Nacht,	w13_d362e4847
da	w15_d362e4850
rinnen	w1_d362e4856
gearbeitet,	w3_d362e4859
und	w5_d362e4862
Königl.	w7_d362e4865
Preußische	w9_d362e4868
Münze	w1_d362e4873
geschlagen,	w3_d362e4876
worzu	w5_d362e4879
alle	w7_d362e4882
aufzutrei	w9_d362e4885
bende	w1_d362e4890
gute	w3_d362e4893
Geld=sorten	w5_d362e4896
gegen	w7_d362e4899
austräglichen	w9_d362e4902
Agio	w1_d362e4907
eingewechselt,	w3_d362e4910
und	w5_d362e4913
eingeschmelzet	w7_d362e4916
wer	w9_d362e4919
den,	w1_d362e4925
es	w3_d362e4928
sollen	w5_d362e4931
täglich	w7_d362e4934
über	w9_d362e4937
60000.	w11_d362e4940
Tha	w13_d362e4944
ler	w1_d362e4949
ausgemünzet	w3_d362e4952
werden,	w5_d362e4955
worzu	w7_d362e4958
solchem	w9_d362e4961
nach	w1_d362e4966
das	w3_d362e4969
Berg=werks=silber	w5_d362e4972
bey	w7_d362e4975
wei	w9_d362e4978
tem	w1_d362e4983
nicht	w3_d362e4986
hinlänglich	w5_d362e4989
ist.	w7_d362e4992
Jn	w9_d362e4995
Grossen=hayn	w11_d362e4998
hat	w1_d362e5004
sich	w3_d362e5007
zeithero	w5_d362e5010
ein	w7_d362e5013
Sächsischer	w9_d362e5016
Officier	w11_d362e5019
verborgen	w1_d362e5024
aufgehalten,	w3_d362e5027
und	w5_d362e5030
ist	w7_d362e5033
durch	w9_d362e5036
seine	w11_d362e5039
eigene	w1_d362e5044
Frau,	w3_d362e5047
welche	w5_d362e5050
seiner	w7_d362e5053
überdrüßig	w9_d362e5056
ge	w11_d362e5059
wesen,	w1_d362e5064
verrahten,	w3_d362e5067
und	w5_d362e5070
solchergestalten	w7_d362e5073
an	w9_d362e5076
gegeben	w1_d362e5082
worden,	w3_d362e5085
daß	w5_d362e5088
er	w7_d362e5091
seit	w9_d362e5094
geraumer	w11_d362e5097
Zeit	w13_d362e5101
viele	w1_d362e5106
Sächsische	w3_d362e5109
Deserteurs	w5_d362e5112
mit	w7_d362e5115
versehenen	w9_d362e5118
Pässen	w1_d362e5123
weiter	w3_d362e5126
transportiret	w5_d362e5129
habe,	w7_d362e5132
worauf	w9_d362e5135
dann	w1_d362e5140
derselbe	w3_d362e5143
durch	w5_d362e5146
ein	w7_d362e5149
Hussarencomman	w9_d362e5152
do	w1_d362e5158
abgeholet,	w3_d362e5161
und	w5_d362e5164
allhier	w7_d362e5167
gefänglich	w9_d362e5170
ein	w11_d362e5173
gebracht,	w1_d362e5178
auch	w3_d362e5181
bey	w5_d362e5184
dessen	w7_d362e5187
durchsehenen	w9_d362e5190
Briefschaften,	w1_d362e5195
zwey	w3_d362e5198
Dresdner	w5_d362e5201
alhier,	w7_d362e5204
ein	w9_d362e5207
Goldschmied,	w1_d362e5212
und	w3_d362e5215
ein	w5_d362e5218
Advocat	w7_d362e5221
mit	w9_d362e5224
implici	w11_d362e5227
ret	w1_d362e5233
gefunden	w3_d362e5236
worden,	w5_d362e5239
welche	w7_d362e5242
letztere	w9_d362e5245
eben	w11_d362e5248
falls	w1_d362e5253
eingezogen,	w3_d362e5256
und	w5_d362e5259
bey	w7_d362e5262
Wasser	w9_d362e5265
und	w11_d362e5268
Brod	w13_d362e5272
gefänglich	w1_d362e5277
auf	w3_d362e5280
hiesiger	w5_d362e5283
Haupt=wache	w7_d362e5286
auf	w9_d362e5289
behalten	w1_d362e5294
werden.	w3_d362e5297
</p>
<head id="h2_d362e5303">
Düsseldorf	w1_d362e5307
9.	w3_d362e5310
Junii.	w5_d362e5313
</head>
<p id="p4_d362e5316">
Der	w1_d362e5320
übereilte	w3_d362e5323
Marsch	w5_d362e5326
eines	w7_d362e5329
Corps	w9_d362e5332
von	w11_d362e5335
denen	w1_d362e5340
Alliirten,	w3_d362e5343
das	w5_d362e5346
der	w7_d362e5349
Erb=prinz	w9_d362e5352
von	w11_d362e5355
Braunschweig	w1_d362e5360
führete,	w3_d362e5363
schien	w5_d362e5366
keine	w7_d362e5369
andere	w9_d362e5372
Absicht	w1_d362e5378
zu	w3_d362e5381
haben,	w5_d362e5384
als	w7_d362e5387
das	w9_d362e5390
erste	w11_d362e5393
Bataillon	w13_d362e5397
vom	w1_d362e5402
Regiment	w3_d362e5405
Provence,	w5_d362e5408
und	w7_d362e5411
einen	w9_d362e5414
Theil	w11_d362e5417
von	w1_d362e5422
der	w3_d362e5425
Königl.	w5_d362e5428
Legion	w7_d362e5431
aufzuheben;	w9_d362e5434
diese	w11_d362e5437
haben	w1_d362e5442
aber	w3_d362e5445
ihre	w5_d362e5448
Wachsamkeit	w7_d362e5451
hintergangen.	w9_d362e5454
Den	w1_d362e5460
6.	w3_d362e5463
bey	w5_d362e5466
Anbruch	w7_d362e5469
des	w9_d362e5472
Tages	w11_d362e5475
gieng	w13_d362e5479
die	w15_d362e5482
ses	w1_d362e5487
Corps,	w3_d362e5490
welches	w5_d362e5493
man	w7_d362e5496
auf	w9_d362e5499
4.	w11_d362e5502
bis	w13_d362e5506
5000.	w15_d362e5509
</p>
<p id="p6_d362e5512">
Mann	w1_d362e5516
schätzte,	w3_d362e5519
auf	w5_d362e5522
Medmann,	w7_d362e5525
wo	w9_d362e5528
es	w11_d362e5531
die	w13_d362e5535
wenige	w1_d362e5540
Französische	w3_d362e5543
Trupen	w5_d362e5546
doch	w7_d362e5549
nicht	w9_d362e5552
über	w11_d362e5555
wältigen	w1_d362e5560
konte,	w3_d362e5563
ob	w5_d362e5566
sie	w7_d362e5569
schon	w9_d362e5572
die	w11_d362e5575
leichte	w13_d362e5579
und	w15_d362e5582
regulirte	w1_d362e5588
Trupen	w3_d362e5591
sogar	w5_d362e5594
mit	w7_d362e5597
Canonen	w9_d362e5600
auf	w11_d362e5603
verschiedenen	w1_d362e5608
Seiten	w3_d362e5611
angriffen;	w5_d362e5614
die	w7_d362e5617
Re	w9_d362e5620
traite	w1_d362e5625
geschahe	w3_d362e5628
4.	w5_d362e5631
Stunden	w7_d362e5634
weit	w9_d362e5637
in	w11_d362e5640
der	w13_d362e5644
be	w15_d362e5647
sten	w1_d362e5652
Ordnung	w3_d362e5655
unter	w5_d362e5658
dem	w7_d362e5661
Ritter	w9_d362e5664
Chabo,	w11_d362e5667
und	w13_d362e5671
Grafen	w1_d362e5677
von	w3_d362e5680
Grave.	w5_d362e5683
Die	w7_d362e5686
Herrschaft	w9_d362e5689
deren	w11_d362e5692
Alliirten	w1_d362e5697
dauerte	w3_d362e5700
aber	w5_d362e5703
in	w7_d362e5706
unseren	w9_d362e5709
Gegenden	w11_d362e5712
gar	w1_d362e5717
nicht	w3_d362e5720
lange.	w5_d362e5723
Jn	w7_d362e5726
der	w9_d362e5729
Nacht	w11_d362e5732
vom	w13_d362e5736
7.	w15_d362e5739
bis	w1_d362e5744
zum	w3_d362e5747
8.	w5_d362e5750
zogen	w7_d362e5753
sie	w9_d362e5756
sich	w11_d362e5759
über	w13_d362e5763
Elberfeld,	w15_d362e5766
Hardenberg	w1_d362e5772
und	w3_d362e5775
Hattingen	w5_d362e5778
zuruck,	w7_d362e5781
und	w9_d362e5784
ei	w11_d362e5787
leten	w1_d362e5792
über	w3_d362e5795
die	w5_d362e5798
Ruhr.	w7_d362e5801
Der	w9_d362e5804
Marquis	w11_d362e5807
von	w13_d362e5811
Conflans	w1_d362e5816
folgte	w3_d362e5819
ihnen	w5_d362e5822
mit	w7_d362e5825
400.	w9_d362e5828
Mann	w11_d362e5831
Jn	w13_d362e5835
fanterie	w1_d362e5840
nach.	w3_d362e5843
</p>
<head id="h2_d362e5849">
Cöln	w1_d362e5853
12.	w3_d362e5856
Junii.	w5_d362e5859
</head>
<p id="p4_d362e5862">
So	w1_d362e5866
schnell	w3_d362e5869
der	w5_d362e5872
Uberfall	w7_d362e5875
deren	w9_d362e5878
alliirten	w11_d362e5881
Trupen	w1_d362e5886
geschehen,	w3_d362e5889
so	w5_d362e5892
schnell	w7_d362e5895
haben	w9_d362e5898
sie	w11_d362e5901
auch	w13_d362e5905
das	w1_d362e5910
Bergische	w3_d362e5913
und	w5_d362e5916
den	w7_d362e5919
Rhein=strom	w9_d362e5922
wie	w11_d362e5925
der	w1_d362e5931
verlassen.	w3_d362e5934
Von	w5_d362e5937
unserer	w7_d362e5940
Forcht	w9_d362e5943
be	w11_d362e5946
freyeten	w1_d362e5951
uns	w3_d362e5954
die	w5_d362e5957
nachdrückliche	w7_d362e5960
Anstalten	w9_d362e5963
des	w1_d362e5968
Herrn	w3_d362e5971
von	w5_d362e5974
Torcy,	w7_d362e5977
welche	w9_d362e5980
der	w11_d362e5983
Herr	w13_d362e5987
Marquis	w1_d362e5992
d'Armentieres	w3_d362e5995
von	w5_d362e5998
Urdingen	w7_d362e6001
aus	w9_d362e6004
aufs	w1_d362e6010
beste	w3_d362e6013
unterstützte.	w5_d362e6016
Die	w7_d362e6019
uns	w9_d362e6022
zu	w11_d362e6025
Hulf	w13_d362e6029
geeilte	w1_d362e6034
Trupen	w3_d362e6037
begeben	w5_d362e6040
sich	w7_d362e6043
nunmehro	w9_d362e6046
dahin,	w11_d362e6049
wo	w1_d362e6054
sie	w3_d362e6057
nohtwendiger	w5_d362e6060
sind;	w7_d362e6063
so	w9_d362e6066
gehen	w11_d362e6069
nam	w13_d362e6073
lich	w1_d362e6078
die	w3_d362e6081
Grenadier=royaux	w5_d362e6084
nach	w7_d362e6087
Siegburg	w9_d362e6090
das	w1_d362e6096
Regiment	w3_d362e6099
la	w5_d362e6102
Mark	w7_d362e6105
marschirt	w9_d362e6108
wieder	w11_d362e6111
nach	w1_d362e6116
Andernach	w3_d362e6119
und	w5_d362e6122
Neuwied,	w7_d362e6125
woher	w9_d362e6128
es	w11_d362e6131
gekommen,	w1_d362e6136
zurück,	w3_d362e6139
und	w5_d362e6142
die	w7_d362e6145
Cronregi	w9_d362e6148
menter	w1_d362e6153
gehen	w3_d362e6156
nach	w5_d362e6159
Wesel,	w7_d362e6162
wohin	w9_d362e6165
ihnen	w11_d362e6168
auch	w1_d362e6174
das	w3_d362e6177
Regiment	w5_d362e6180
Damas	w7_d362e6183
folgte.	w9_d362e6186
Die	w11_d362e6189
Alliirte	w1_d362e6194
werden	w3_d362e6197
sich	w5_d362e6200
nicht	w7_d362e6203
rühmen,	w9_d362e6206
daß	w11_d362e6209
sie	w13_d362e6213
einen	w1_d362e6218
Stroh=halm	w3_d362e6221
von	w5_d362e6224
dem	w7_d362e6227
grossen	w9_d362e6230
Ma	w11_d362e6233
gazin	w1_d362e6238
zu	w3_d362e6241
Deutz	w5_d362e6244
bekommen	w7_d362e6247
haben.	w9_d362e6250
Der	w11_d362e6253
d'Armentieres	w1_d362e6259
hat	w3_d362e6262
sein	w5_d362e6265
bishetiges	w7_d362e6268
Herr	w1_d362e6273
Haupt=quartier	w1_d362e6278
von	w3_d362e6281
Urdingen	w5_d362e6284
nach	w7_d362e6287
Wesel	w9_d362e6290
verlegt.	w1_d362e6295
</p>
<head id="h2_d362e6302">
Bußweiler	w1_d362e6306
16.	w3_d362e6309
Junii.	w5_d362e6312
</head>
<p id="p4_d362e6315">
zuruckgelegte	w1_d362e6319
Dreyeinigkeits=fest	w3_d362e6322
Das	w1_d362e6327
Fürstl.	w1_d362e6332
HessenHanauLichten	w3_d362e6335
ist	w1_d362e6341
denen	w3_d362e6344
bergischen	w1_d362e6349
Landen	w3_d362e6352
besonders	w5_d362e6355
erfreulich	w7_d362e6358
ge	w9_d362e6361
we	w1_d362e6366
</p>
<p id="p8_d362e6371">
wesen,	w1_d362e6375
indem	w3_d362e6378
unsere	w5_d362e6381
Durchleuchtigste	w7_d362e6384
Für	w9_d362e6387
stin	w1_d362e6392
Abends	w3_d362e6395
nach	w5_d362e6398
6.	w7_d362e6401
Uhr	w9_d362e6404
einen	w11_d362e6407
Prinzen	w13_d362e6411
be	w15_d362e6414
glückt	w1_d362e6419
zur	w3_d362e6422
Welt	w5_d362e6425
geboren	w7_d362e6428
hat.	w9_d362e6431
Die	w11_d362e6434
Freud	w13_d362e6438
war	w1_d362e6444
so	w3_d362e6447
grösser,	w5_d362e6450
als	w7_d362e6453
unsere	w9_d362e6456
Stadt	w11_d362e6459
zum	w13_d362e6463
er	w15_d362e6466
stenmal	w1_d362e6471
mit	w3_d362e6474
der	w5_d362e6477
Geburt	w7_d362e6480
eines	w9_d362e6483
Prinzens	w11_d362e6486
be	w13_d362e6490
glückt	w1_d362e6495
wird,	w3_d362e6498
und	w5_d362e6501
wenigstens	w7_d362e6504
seit	w9_d362e6507
zweyhun	w11_d362e6510
dert	w1_d362e6515
Jahren	w3_d362e6518
von	w5_d362e6521
denen	w7_d362e6524
ehemaligen	w9_d362e6527
hohen	w11_d362e6530
Herrschaften	w1_d362e6536
kein	w3_d362e6539
männlicher	w5_d362e6542
Sprossen	w7_d362e6545
al	w9_d362e6548
hier	w1_d362e6553
auf	w3_d362e6556
die	w5_d362e6559
Welt	w7_d362e6562
gebracht	w9_d362e6565
worden	w11_d362e6568
ist.	w13_d362e6572
Diese	w1_d362e6577
Entbindung	w3_d362e6580
wurde	w5_d362e6583
sogleich	w7_d362e6586
durch	w9_d362e6589
die	w11_d362e6592
Läutung	w1_d362e6597
aller	w3_d362e6600
Glocken	w5_d362e6603
und	w7_d362e6606
beständiges	w9_d362e6609
Schies	w11_d362e6612
sen	w1_d362e6618
verkündiget,	w3_d362e6621
man	w5_d362e6624
theilte	w7_d362e6627
Geld,	w9_d362e6630
Wein,	w11_d362e6633
und	w1_d362e6638
Brod	w3_d362e6641
aus,	w5_d362e6644
und	w7_d362e6647
die	w9_d362e6650
ganze	w11_d362e6653
Stadt	w13_d362e6657
wur	w15_d362e6660
de	w1_d362e6665
Abends	w3_d362e6668
illuminiret.	w5_d362e6671
Ein	w7_d362e6674
gleiches	w9_d362e6677
ge	w11_d362e6680
schahe	w1_d362e6685
auch	w3_d362e6688
gestern,	w5_d362e6691
als	w7_d362e6694
der	w9_d362e6697
junge	w11_d362e6700
Prinz	w13_d362e6704
die	w1_d362e6710
Heil.	w3_d362e6713
Tauffe,	w5_d362e6716
und	w7_d362e6719
dabey	w9_d362e6722
die	w11_d362e6725
Namen	w13_d362e6729
Künftigen	w1_d362e6734
Friedrich	w1_d362e6739
Ludwig	w3_d362e6742
empfieng.	w5_d362e6745
Sonntag	w1_d362e6750
wird	w3_d362e6753
hierwegen	w5_d362e6756
ein	w7_d362e6759
feyerliches	w9_d362e6762
Freuden=fest	w1_d362e6768
gehalten	w3_d362e6771
werden.	w5_d362e6774
Unser	w7_d362e6777
Durch	w9_d362e6780
leuchtigster	w1_d362e6785
erster	w3_d362e6788
Prinz	w5_d362e6791
Louis,	w7_d362e6794
ein	w9_d362e6797
Herr	w11_d362e6800
von	w1_d362e6805
6.	w3_d362e6808
Jahren,	w5_d362e6811
haben	w7_d362e6814
durch	w9_d362e6817
selbst	w11_d362e6820
eigene	w13_d362e6824
Anzündung	w1_d362e6829
einer	w3_d362e6832
Pyramide	w5_d362e6835
die	w7_d362e6838
zärtliche	w9_d362e6841
Freude	w1_d362e6847
derer	w3_d362e6850
Unterthanen	w5_d362e6853
vergrössert.	w7_d362e6856
</p>
<head id="h2_d362e6862">
Aus	w1_d362e6866
dem	w3_d362e6869
Franzosischen	w5_d362e6872
Feld=lager	w7_d362e6875
bey	w1_d362e6880
Meerhof	w3_d362e6883
20.	w5_d362e6886
Junii.	w7_d362e6889
</head>
<p id="p4_d362e6892">
Den	w1_d362e6896
15.	w3_d362e6899
und	w5_d362e6902
16.	w7_d362e6905
versammelte	w9_d362e6908
sich	w11_d362e6911
die	w13_d362e6915
feindliche	w1_d362e6920
Armee	w3_d362e6923
bey	w5_d362e6926
Büren,	w7_d362e6929
ihren	w9_d362e6932
linken	w11_d362e6935
Flügel	w1_d362e6940
an	w3_d362e6943
das	w5_d362e6946
Schloß	w7_d362e6949
von	w9_d362e6952
Brenken	w11_d362e6955
anleh	w13_d362e6959
nend,	w1_d362e6965
und	w3_d362e6968
den	w5_d362e6971
rechten	w7_d362e6974
gegen	w9_d362e6977
Ruthen	w11_d362e6980
aus	w13_d362e6984
breitend.	w1_d362e6989
Die	w3_d362e6992
Front	w5_d362e6995
des	w7_d362e6998
Lagers	w9_d362e7001
war	w11_d362e7004
sehr	w13_d362e7008
gut	w1_d362e7013
postirt,	w3_d362e7016
der	w5_d362e7019
rechte	w7_d362e7022
Flügel	w9_d362e7025
von	w11_d362e7028
Wal	w13_d362e7032
dungen	w1_d362e7037
und	w3_d362e7040
Wasser=graben	w5_d362e7043
bedeckt,	w7_d362e7046
dem	w9_d362e7049
linten	w1_d362e7055
aber	w3_d362e7058
konnte	w5_d362e7061
man	w7_d362e7064
nicht	w9_d362e7067
anders	w11_d362e7070
als	w13_d362e7074
durch	w1_d362e7079
die	w3_d362e7082
Dörfer	w5_d362e7085
Ober	w7_d362e7088
und	w9_d362e7091
Nieder=turp	w11_d362e7094
beytommen.	w1_d362e7099
Bey	w3_d362e7102
Erfahrung	w5_d362e7105
sothaner	w7_d362e7108
seindlicher	w1_d362e7113
Position	w3_d362e7116
entschlosse	w5_d362e7119
der	w7_d362e7122
Herr	w9_d362e7125
Mar	w11_d362e7128
schall	w1_d362e7134
das	w3_d362e7137
besagte	w5_d362e7140
feindliche	w7_d362e7143
Lager	w9_d362e7146
beyder	w11_d362e7149
Seits	w1_d362e7154
einzuschliessen,	w3_d362e7157
annebst	w5_d362e7160
jedoch	w7_d362e7163
wegen	w9_d362e7166
nohtwendiger	w1_d362e7171
Abwartung	w3_d362e7174
der	w5_d362e7177
vollständigen	w7_d362e7180
Einrichtung	w1_d362e7185
der	w3_d362e7188
Zufuhr	w5_d362e7191
deren	w7_d362e7194
Lebensmit	w9_d362e7197
tein	w1_d362e7203
durch	w3_d362e7206
das	w5_d362e7209
Heßische	w7_d362e7212
und	w9_d362e7215
Waldeckische,	w11_d362e7218
das	w1_d362e7223
Haupt=lager	w3_d362e7226
alhier	w5_d362e7229
bey	w7_d362e7232
Meer=hof	w9_d362e7235
bey	w11_d362e7238
zubehalten.	w1_d362e7243
Er	w3_d362e7246
liesse	w5_d362e7249
demnach	w7_d362e7252
den	w9_d362e7255
18.	w11_d362e7258
das	w13_d362e7262
</p>
<p id="p6_d362e7265">
unter	w1_d362e7269
Commando	w3_d362e7272
des	w5_d362e7275
Herrn	w7_d362e7278
Herzogs	w9_d362e7281
von	w11_d362e7284
Broglie	w1_d362e7289
stehende	w3_d362e7292
Corps	w5_d362e7295
de	w7_d362e7298
Reserve,	w9_d362e7301
wel	w11_d362e7304
ches	w1_d362e7309
den	w3_d362e7312
17.	w5_d362e7315
bey	w7_d362e7318
Liechtenau	w9_d362e7321
diesseits	w11_d362e7324
Kleinenberg	w1_d362e7330
campirte,	w3_d362e7333
auf	w5_d362e7336
die	w7_d362e7339
Anhö	w9_d362e7342
hen	w1_d362e7347
von	w3_d362e7350
Etteln	w5_d362e7353
vorrücken.	w7_d362e7356
Dieser	w9_d362e7359
Her	w11_d362e7362
liesse	w1_d362e7367
sogleich	w3_d362e7370
bey	w5_d362e7373
seiner	w7_d362e7376
Ankunft	w9_d362e7379
alda	w11_d362e7382
den	w13_d362e7386
Bach	w1_d362e7391
von	w3_d362e7394
Allen,	w5_d362e7397
welchen	w7_d362e7400
der	w9_d362e7403
feindliche	w11_d362e7406
linke	w1_d362e7412
Flügel	w3_d362e7415
vor	w5_d362e7418
sich	w7_d362e7421
hatte,	w9_d362e7424
bis	w11_d362e7427
gegen	w13_d362e7431
das	w15_d362e7434
Dorf	w1_d362e7439
Nieder=turp,	w3_d362e7442
und	w5_d362e7445
noch	w7_d362e7448
weiter	w9_d362e7451
hinab	w11_d362e7454
recognosciren,	w1_d362e7459
