<doc id="edoc_wd_1727-02-26" attrs="word" year="1727" month="02" day="26" corpus="1">
<head id="hl1">
Aus	w54
<g/>
/
gewanne	w653
nach	w654
einem	w655
langen	w656
</p>
<p id="p8">
Wort	w660
<g/>
=
Streit	w662
<g/>
;
worvon	w664
hier	w665
einige	w666
Puncten	w667
folgen	w668
<g/>
:
</p>
<p id="p9">
Der	w670
Herr	w671
Onslow	w672
truge	w673
vor	w674
<g/>
/
man	w676
solte	w677
dem	w678
König	w679
eine	w680
Dank	w681
<g/>
=
Schrift	w683
über	w684
alle	w685
Haupt	w686
<g/>
=
Stücken	w688
der	w689
Anrede	w690
Jhrer	w691
Majestät	w692
<g/>
/
überreichen	w694
<g/>
;
und	w696
wurde	w697
von	w698
dem	w699
Herrn	w700
Fink	w701
<g/>
/
einem	w703
aus	w704
denen	w705
Söhnen	w706
des	w707
My-lord	w708
<g/>
-
Nottingham	w710
<g/>
/
und	w712
von	w713
einigen	w714
andern	w715
Mit	w716
<g/>
=
Gliedern	w718
der	w719
Parthey	w720
von	w721
dem	w722
Hof	w723
unterstützet	w724
<g/>
.
Die	w726
jenigen	w727
so	w728
nicht	w729
also	w730
ge=sinnet	w731
<g/>
=
waren	w733
<g/>
/
führeten	w735
unter	w736
andern	w737
an	w738
<g/>
/
daß	w740
man	w741
in	w742
einer	w743
Sache	w744
von	w745
so	w746
grosser	w747
Wich=tigkeit	w748
<g/>
=
<g/>
/
als	w751
diese	w752
<g/>
/
den	w754
Frieden	w755
<g/>
/
oder	w757
Krieg	w758
betreffend	w759
<g/>
/
mit	w761
dem	w762
Zaum	w763
in	w764
der	w765
Hand	w766
ge=hen	w767
<g/>
=
<g/>
/
und	w770
sich	w771
gar	w772
nicht	w773
übereilen	w774
sollte	w775
<g/>
.
Die	w777
Anrede	w778
Jhrer	w779
Majestät	w780
enthielte	w781
gar	w782
viele	w783
Haupt	w784
<g/>
=
Stücken	w786
von	w787
verschiedener	w788
Natur	w789
<g/>
/
welche	w791
von	w792
der	w793
Versammlung	w794
wol	w795
untersu=chet	w796
<g/>
=
werden	w798
müsten	w799
<g/>
/
ehe	w801
man	w802
etwas	w803
gewis=ses	w804
<g/>
=
beschliesset	w806
<g/>
.
Und	w808
also	w809
müste	w810
man	w811
sich	w812
vergnügen	w813
ein	w814
Dank	w815
<g/>
=
Memorial	w817
in	w818
terminis	w819
generalibus	w820
zu	w821
übergeben	w822
<g/>
/
und	w824
sich	w825
einen	w826
Tag	w827
<g/>
/
über	w829
die	w830
Haupt	w831
<g/>
=
Stücken	w833
und	w834
End	w835
<g/>
=
Ursachen	w837
der	w838
Rede	w839
<g/>
/
zu	w841
beraht	w842
<g/>
=
schlagen	w844
<g/>
/
ausnehmen	w846
<g/>
.
Diese	w848
andere	w849
Meinung	w850
<g/>
/
gabe	w852
zu	w853
einem	w854
sehr	w855
starken	w856
Wort	w857
<g/>
=
Streit	w859
Anlaß	w860
<g/>
/
welcher	w862
bis	w863
auf	w864
8	w865
<g/>
.
Uhr	w867
des	w868
Abends	w869
wehrete	w870
<g/>
/
und	w872
worinnen	w873
der	w874
Cavalier	w875
Robert	w876
Walpo-le	w877
<g/>
-
<g/>
,
und	w880
Herr	w881
Horaz	w882
Walpole	w883
<g/>
,
sein	w885
Bruder	w886
<g/>
/
unter	w888
andern	w889
<g/>
/
durch	w891
ihre	w892
gewöhnliche	w893
Be=redsamkeit	w894
<g/>
=
<g/>
/
dem	w897
Gegentheil	w898
widersprachen	w899
<g/>
/
und	w901
behaupten	w902
wollen	w903
<g/>
/
wie	w905
hoch	w906
<g/>
=
nohtwen=dig	w908
<g/>
=
es	w910
seye	w911
<g/>
/
geschwinde	w913
und	w914
kräftige	w915
Ent=schliessungen	w916
<g/>
=
zu	w918
fassen	w919
<g/>
/
so	w921
<g/>
/
daß	w923
sie	w924
die	w925
Beystimmung	w926
derer	w927
meisten	w928
Mit	w929
<g/>
=
Glieder	w931
heraus	w932
locketen	w933
<g/>
/
und	w935
der	w936
erste	w937
Vortrag	w938
des	w939
Herrn	w940
Onslow	w941
durch	w942
die	w943
Mehrheit	w944
170	w945
<g/>
.
Stimmen	w947
<g/>
/
nemlich	w949
251	w950
<g/>
.
wider	w952
81	w953
<g/>
.
gebilli=get	w955
<g/>
=
wurde	w957
<g/>
.
</p>
<p id="p10">
Als	w959
den	w960
28	w961
<g/>
.
auch	w963
das	w964
Unter	w965
<g/>
=
Haus	w967
be=schlossen	w968
<g/>
=
<g/>
/
ein	w971
Danksagungs	w972
<g/>
=
Memorial	w974
an	w975
den	w976
König	w977
ergehen	w978
zu	w979
lassen	w980
<g/>
/
ernennete	w982
das=selbe	w983
<g/>
=
eine	w985
Commission	w986
<g/>
,
worüber	w988
der	w989
Herr	w990
Onslow	w991
zum	w992
Præsidenten Praesidenten	w993
erwehlet	w994
wurde	w995
<g/>
.
Man	w997
setzet	w998
auch	w999
die	w1000
5	w1001
<g/>
.
grossen	w1003
Commisio- nen	w1004
<g/>
-
<g/>
/
nach	w1007
gewöhnlichem	w1008
Gebrauch	w1009
an	w1010
<g/>
;
und	w1012
wurde	w1013
dem	w1014
Redner	w1015
befohlen	w1016
<g/>
/
Circu-lar	w1018
<g/>
-
-Schreiben	w1020
<g/>
/
wegen	w1022
der	w1023
Erwehlung	w1024
derer	w1025
4	w1026
<g/>
.
neuen	w1028
Mit	w1029
<g/>
=
Glieder	w1031
<g/>
/
an	w1033
statt	w1034
so	w1035
vieler	w1036
<g/>
/
entweder	w1038
durch	w1039
den	w1040
Tod	w1041
<g/>
/
oder	w1043
Abtrettung	w1044
anderer	w1045
Aemter	w1046
<g/>
/
abgehenden	w1048
<g/>
/
ausfertigen	w1050
zu	w1051
lassen	w1052
<g/>
.
Denselben	w1054
Tag	w1055
legten	w1056
der	w1057
Her Hertzog	w1058
<g/>
=
</p>
<p id="p11">
tzog	w1060
von	w1061
S	w1062
<g/>
.
Albans	w1064
<g/>
,
der	w1066
Graf	w1067
von	w1068
Winckel-sea	w1069
<g/>
-
<g/>
,
und	w1072
der	w1073
Graf	w1074
von	w1075
Cadogan	w1076
<g/>
,
ihren	w1078
Eid	w1079
ab	w1080
<g/>
/
und	w1082
wurden	w1083
in	w1084
das	w1085
Ober	w1086
<g/>
=
Haus	w1088
einge=führet	w1089
<g/>
=
<g/>
.
</p>
<p id="p12">
Den	w1092
29	w1093
<g/>
.
gienge	w1095
das	w1096
Ober	w1097
<g/>
=
Haus	w1099
in	w1100
Ver=sammlung	w1101
<g/>
=
<g/>
/
dem	w1104
König	w1105
sein	w1106
Memorial	w1107
<g/>
(
welches	w1109
man	w1110
<g/>
/
schon	w1112
letzt	w1113
<g/>
=
vergangenen	w1115
Post	w1116
<g/>
=
Tag	w1118
<g/>
/
in	w1120
das	w1121
gewöhnliche	w1122
Diarium	w1123
beygefüget	w1124
<g/>
)
zu	w1126
überreichen	w1127
<g/>
.
</p>
<p id="p13">
Eben	w1129
denselben	w1130
Tag	w1131
<g/>
/
thate	w1133
der	w1134
Herr	w1135
Ons-low	w1136
<g/>
-
dem	w1138
Unter	w1139
<g/>
=
Hause	w1141
bericht	w1142
von	w1143
dero	w1144
Dank	w1145
<g/>
=
Schrift	w1147
<g/>
/
so	w1149
die	w1150
Commission	w1151
aufge=setzet	w1152
<g/>
=
<g/>
/
welches	w1155
ohne	w1156
Widerrede	w1157
gebilliget	w1158
wurde	w1159
<g/>
.
Folgendes	w1161
wurde	w1162
dem	w1163
Redner	w1164
an=befohlen	w1165
<g/>
=
<g/>
/
auch	w1168
Circular	w1169
-Schreiben	w1170
<g/>
/
wegen	w1172
Erwehlung	w1173
derer	w1174
4	w1175
<g/>
.
neuen	w1177
mit	w1178
<g/>
=
Glieder	w1180
<g/>
/
auszufertigen	w1182
<g/>
.
</p>
<p id="p14">
An	w1184
dem	w1185
30	w1186
<g/>
.
entschlosse	w1188
sich	w1189
das	w1190
Unter	w1191
<g/>
=
Haus	w1193
<g/>
/
folgenden	w1195
Tag	w1196
<g/>
/
in	w1198
Groß	w1199
Commis-sion	w1200
<g/>
-
<g/>
,
über	w1203
den	w1204
gethanen	w1205
Vortrag	w1206
<g/>
/
dem	w1208
Kö=nige	w1209
<g/>
=
eine	w1211
bey	w1212
<g/>
=
Steuer	w1214
zu	w1215
verwilligen	w1216
<g/>
/
zu	w1218
berahtschlagen	w1219
<g/>
;
Worauf	w1221
das	w1222
Haus	w1223
in	w1224
Ver=sammlung	w1225
<g/>
=
<g/>
/
Jhrer	w1228
Majestät	w1229
ihr	w1230
Dank	w1231
<g/>
=
Schrift	w1233
einzureichen	w1234
gienge	w1235
<g/>
:
welches	w1237
in	w1238
dem	w1239
bey= gehenden	w1240
<g/>
=
y= gehenden	w1243
<g/>
=
Anhang	w1245
zu	w1246
ersehen	w1247
ist	w1248
<g/>
.
</p>
<p id="p15">
Denselben	w1250
Tag	w1251
verordnete	w1252
das	w1253
Ober	w1254
<g/>
=
Haus	w1256
<g/>
/
daß	w1258
man	w1259
ihme	w1260
die	w1261
Memorialien	w1262
und	w1263
Ant=worten	w1264
<g/>
=
zwischen	w1266
denen	w1267
Cronen	w1268
von	w1269
Groß	w1270
<g/>
=
Britannien	w1272
und	w1273
Spanien	w1274
<g/>
/
von	w1276
der	w1277
Zeit	w1278
an	w1279
<g/>
/
da	w1281
die	w1282
Engelländischen	w1283
Flotten	w1284
auf	w1285
denen	w1286
Spanischen	w1287
und	w1288
West	w1289
<g/>
=
Jndischen	w1291
Cüsten	w1292
sich	w1293
haben	w1294
sehen	w1295
lassen	w1296
<g/>
:
wie	w1298
auch	w1299
eine	w1300
Abschrift	w1301
von	w1302
dem	w1303
Zutritt	w1304
derer	w1305
General	w1306
<g/>
=
Staaten	w1308
zu	w1309
dem	w1310
Hannoverischen	w1311
Tractat	w1312
<g/>
,
einhändigen	w1314
solle	w1315
<g/>
.
</p>
<p id="p16">
Denselbigen	w1317
Tag	w1318
wurde	w1319
der	w1320
Lord	w1321
Graham	w1322
<g/>
,
des	w1324
Hertzogs	w1325
von	w1326
Montrose	w1327
ältester	w1328
Sohn	w1329
<g/>
/
auf	w1331
Verordnung	w1332
des	w1333
Königs	w1334
<g/>
/
in	w1336
das	w1337
Ober	w1338
<g/>
=
Haus	w1340
einbegleitet	w1341
<g/>
/
und	w1343
einige	w1344
Herren	w1345
setz=ten	w1346
<g/>
=
sich	w1348
darwider	w1349
<g/>
/
und	w1351
sagten	w1352
<g/>
/
dieses	w1354
lieffe	w1355
dem	w1356
Vereinigungs	w1357
<g/>
=
Tractat	w1359
zuwider	w1360
<g/>
/
welcher	w1362
setzet	w1363
<g/>
/
daß	w1365
nicht	w1366
mehr	w1367
<g/>
/
als	w1369
sechzehen	w1370
Schott=ländische	w1371
<g/>
=
Pairs	w1373
seyn	w1374
solten	w1375
<g/>
/
welche	w1377
Recht	w1378
hätten	w1379
ihren	w1380
Sitz	w1381
in	w1382
dem	w1383
Ober	w1384
<g/>
=
Haus	w1386
von	w1387
Groß	w1388
<g/>
=
Brittannien	w1390
zu	w1391
nehmen	w1392
<g/>
/
und	w1394
durch	w1395
Wahl	w1396
verlesen	w1397
wären	w1398
<g/>
.
Worauf	w1400
fast	w1401
mit	w1402
ein=mütiger	w1403
<g/>
=
Stimme	w1405
geantwortet	w1406
wurde	w1407
<g/>
:
Wei=len	w1409
<g/>
=
es	w1411
dem	w1412
König	w1413
also	w1414
beliebte	w1415
<g/>
/
müste	w1417
man	w1418
sich	w1419
darein	w1420
ergeben	w1421
<g/>
/
diesen	w1423
jungen	w1424
Herrn	w1425
einzunehmen	w1426
<g/>
;
welches	w1428
künftig	w1429
<g/>
=
hin	w1431
Jhrer	w1432
Majestät	w1433
das	w1434
Recht	w1435
zugestehen	w1436
würde	w1437
<g/>
/
die	w1439
</p>
<p id="p17">
ältesten	w1442
Söhne	w1443
deren	w1444
Schottländischen	w1445
Pairs	w1446
darzu	w1447
zuberuffen	w1448
<g/>
/
gleichermassen	w1450
selbe	w1451
die=jenigen	w1452
<g/>
=
von	w1454
denen	w1455
Engelländischen	w1456
Pairen	w1457
darzu	w1458
beruffet	w1459
<g/>
.
</p>
<p id="p18">
Den	w1461
31	w1462
<g/>
.
beschlosse	w1464
das	w1465
Unter	w1466
<g/>
=
Haus	w1468
in	w1469
Groß	w1470
<g/>
=
Commission	w1472
<g/>
/
dem	w1474
König	w1475
eine	w1476
Bey	w1477
<g/>
=
Steuer	w1479
fü	w1480
t	w1481
jetzt	w1482
<g/>
=
lauffenden	w1484
Jahrs	w1485
<g/>
/
zube=willigen	w1487
<g/>
=
<g/>
;
und	w1490
Jhrer	w1491
Majestät	w1492
ein	w1493
Memorial	w1494
zu	w1495
überreichen	w1496
<g/>
/
um	w1498
selbe	w1499
zu	w1500
bitten	w1501
<g/>
/
ver=schiedene	w1503
<g/>
=
Rechnungen	w1505
und	w1506
Verzeichnüsse	w1507
derer	w1508
nohtwendigen	w1509
Summen	w1510
zu	w1511
denen	w1512
Ausgaben	w1513
für	w1514
dieses	w1515
Jahr	w1516
einhändigen	w1517
zu	w1518
lassen	w1519
<g/>
.
</p>
<p id="p19">
Den	w1521
1	w1522
<g/>
.
Februarii	w1524
billigte	w1525
das	w1526
gantze	w1527
Unter	w1528
<g/>
=
Haus	w1530
einhellig	w1531
<g/>
/
die	w1533
in	w1534
vorhergehen=den	w1535
<g/>
=
Tage	w1537
in	w1538
Groß	w1539
<g/>
=
Commission	w1541
gefassete	w1542
Entschliessung	w1543
<g/>
/
dem	w1545
König	w1546
eine	w1547
Bey	w1548
Steuer	w1549
zu	w1550
verwilligen	w1551
<g/>
;
und	w1553
beschlossen	w1554
Jhrer	w1555
Maje=stät	w1556
<g/>
=
ein	w1558
Memorial	w1559
zu	w1560
überreichen	w1561
um	w1562
die=selbe	w1563
<g/>
=
zu	w1565
bitten	w1566
<g/>
/
die	w1568
verschiedene	w1569
Rechnun=gen	w1570
<g/>
=
und	w1572
Verzeichnüsse	w1573
derer	w1574
Ausgaben	w1575
für	w1576
dieses	w1577
Jahr	w1578
<g/>
/
und	w1580
einen	w1581
Auszug	w1582
derer	w1583
vor	w1584
den	w1585
5	w1586
<g/>
.
verwichenes	w1588
Januarii	w1589
gemachten	w1590
<g/>
/
und	w1592
von	w1593
dem	w1594
Parlament	w1595
wiederlösliche	w1596
National NationalSchulden	w1597
<g/>
-
Schulden	w1599
auszuhändigen	w1600
<g/>
.
Demselben	w1602
Tag	w1603
überreichete	w1604
der	w1605
Hertzog	w1606
von	w1607
Newcastle	w1608
dem	w1609
Ober	w1610
<g/>
=
Hause	w1612
die	w1613
Vorstellungen	w1614
und	w1615
Antwor=ten	w1616
<g/>
=
zwischen	w1618
Groß	w1619
<g/>
=
Britannien	w1621
und	w1622
Spanien	w1623
<g/>
.
</p>
<p id="p20">
Gestern	w1625
fienge	w1626
das	w1627
Unter	w1628
<g/>
=
Haus	w1630
an	w1631
dem	w1632
Wer=ke	w1633
<g/>
=
die	w1635
Beysteuer	w1636
betreffend	w1637
<g/>
/
in	w1639
Groß	w1640
<g/>
=
Commis-sion	w1642
<g/>
-
zu	w1644
arbeiten	w1645
an	w1646
<g/>
/
und	w1648
fassete	w1649
folgenden	w1650
Entschluß	w1651
<g/>
/
Jhrer	w1653
Majestät	w1654
20000	w1655
<g/>
.
Mann	w1657
See	w1658
<g/>
=
Volk	w1660
<g/>
/
auf	w1662
den	w1663
Fuß	w1664
von	w1665
4	w1666
<g/>
.
Pfund	w1668
Sterling	w1669
des	w1670
Monats	w1671
<g/>
/
für	w1673
jeden	w1674
<g/>
/
den	w1676
Feld	w1677
<g/>
=
Zeug	w1679
mit=gerechnet	w1680
<g/>
=
<g/>
/
zu	w1683
verwilligen	w1684
<g/>
:
welches	w1686
eine	w1687
Mil=lion	w1688
<g/>
=
<g/>
/
und	w1691
40000	w1692
<g/>
.
Pf	w1694
<g/>
.
Sterling	w1696
das	w1697
Jahr	w1698
<g/>
/
13	w1700
<g/>
.
Monat	w1702
<g/>
/
wie	w1704
gebräuchlich	w1705
<g/>
/
zu	w1707
rechnen	w1708
<g/>
/
beträget	w1710
<g/>
.
diese	w1712
Anzahl	w1713
Boots	w1714
<g/>
=
Leute	w1716
ist	w1717
gedoppelt	w1718
die=selbe	w1719
<g/>
=
<g/>
/
so	w1722
das	w1723
Parlament	w1724
voriges	w1725
Jahr	w1726
verwil=liget	w1727
<g/>
=
hat	w1729
<g/>
.
Folgends	w1731
wurde	w1732
verordnet	w1733
Jhrer	w1734
Majestät	w1735
zwey	w1736
Memorial	w1737
zu	w1738
übergeben	w1739
<g/>
/
und	w1741
zu	w1742
bitten	w1743
<g/>
/
dem	w1745
Hause	w1746
eine	w1747
Abschrift	w1748
von	w1749
dem	w1750
Act	w1751
des	w1752
Zutrittes	w1753
derer	w1754
General	w1755
<g/>
=
Staaten	w1757
zu	w1758
dem	w1759
Hannoverischen	w1760
Tractat	w1761
<g/>
/
wie	w1763
auch	w1764
die	w1765
Ab=schrift	w1766
<g/>
=
derer	w1768
Memorialien	w1769
<g/>
/
Briefen	w1771
und	w1772
Antwor=ten	w1773
<g/>
=
zwischen	w1775
denen	w1776
Ministern	w1777
Jhrer	w1778
Majestät	w1779
<g/>
/
und	w1781
denen	w1782
Höfen	w1783
von	w1784
Wien	w1785
und	w1786
von	w1787
Madrit	w1788
<g/>
/
von	w1790
der	w1791
Communication	w1792
<g/>
,
so	w1794
Jhrer	w1795
Majestät	w1796
durch	w1797
den	w1798
Kaiserl	w1799
<g/>
.
Minister	w1801
<g/>
/
von	w1803
dem	w1804
Friedens	w1805
<g/>
=
Tractat	w1807
zwischen	w1808
Jhrer	w1809
Kaiserlichen	w1810
Majestät	w1811
<g/>
/
und	w1813
dem	w1814
König	w1815
in	w1816
Spanien	w1817
gethan	w1818
worden	w1819
<g/>
/
einhändigen	w1821
zu	w1822
lassen	w1823
<g/>
:
Als	w1825
man	w1826
aber	w1827
vortruge	w1828
<g/>
/
und	w1830
auf	w1831
die	w1832
Frage	w1833
brachte	w1834
<g/>
:
Ob	w1836
man	w1837
Jhre	w1838
</p>
<p id="p21">
Majestät	w1839
auch	w1840
bitten	w1841
solle	w1842
<g/>
/
dem	w1844
Hause	w1845
das	w1846
Memorial	w1847
<g/>
/
so	w1849
der	w1850
Herr	w1851
Poinz	w1852
an	w1853
dem	w1854
4	w1855
<g/>
.
Junii	w1857
verwichen	w1858
<g/>
/
an	w1860
dem	w1861
Schwedischen	w1862
Hof	w1863
<g/>
/
den	w1865
Zutritt	w1866
dieser	w1867
Crone	w1868
zu	w1869
dem	w1870
Hannoverischen	w1871
Tra-ctat	w1872
<g/>
-
betreffend	w1874
<g/>
/
wie	w1876
auch	w1877
die	w1878
Geheimen	w1879
Artikeln	w1880
der	w1881
Offensiv	w1882
-Aliantz	w1883
<g/>
(
ungeachtet	w1885
in	w1886
der	w1887
That	w1888
keine	w1889
bishero	w1890
gemachet	w1891
worden	w1892
<g/>
)
zwischen	w1894
dem	w1895
Kaiser	w1896
und	w1897
dem	w1898
König	w1899
in	w1900
Spanien	w1901
<g/>
/
übergeben	w1903
zu	w1904
lassen	w1905
<g/>
?
Es	w1907
wurde	w1908
aber	w1909
mit	w1910
Nein	w1911
beschlossen	w1912
<g/>
.
</p>
<p id="p22">
Heut	w1914
<g/>
/
