<doc id="edoc_wd_1779-05-22" attrs="word" year="1779" month="05" day="22" corpus="1">
<head id="hl1">
Paris	w6
sah	w331
ihn	w332
in	w333
den	w334
Schauspie=len	w335
<g/>
=
<g/>
,
und	w338
er	w339
hatte	w340
inkognito	w341
der	w342
letztern	w343
Versammlung	w344
der	w345
französischen	w346
Akademie	w347
beygewohnt	w348
<g/>
,
als	w350
man	w351
den	w352
Herrn	w353
Ducis	w354
zum	w355
Mitglied	w356
aufnahm	w357
<g/>
.
Seine	w359
so	w360
gros=sen	w361
<g/>
=
Beschützer	w363
haben	w364
ihn	w365
mächtig	w366
ange=feuert	w367
<g/>
=
<g/>
,
und	w370
eben	w371
deswegen	w372
schrieb	w373
er	w374
in	w375
seinem	w376
letztern	w377
Stücke	w378
<g/>
,
daß	w380
ihn	w381
in	w382
Hin=kunft	w383
<g/>
=
nichts	w385
mehr	w386
werde	w387
verzagt	w388
machen	w389
können	w390
<g/>
,
ja	w392
es	w393
ist	w394
zu	w395
vermuthen	w396
<g/>
,
daß	w398
die=ser	w399
<g/>
=
so	w401
begeisterte	w402
Author	w403
diese	w404
so	w405
günsti=ge	w406
<g/>
=
Gelegenheit	w408
nicht	w409
außer	w410
Augen	w411
lassen	w412
werde	w413
<g/>
,
ein	w415
und	w416
andere	w417
jener	w418
nützlichen	w419
Wahrheiten	w420
vor	w421
dem	w422
Throne	w423
kommen	w424
zu	w425
lassen	w426
<g/>
,
die	w428
so	w429
selten	w430
vor	w431
die	w432
Ohren	w433
eines	w434
Monarchen	w435
gelangen	w436
<g/>
.
</p>
<p id="p7">
Einige	w438
Leute	w439
wollen	w440
einen	w441
Brief	w442
aus	w443
Londen	w444
gesehen	w445
haben	w446
<g/>
,
welcher	w448
die	w449
Nach=richt	w450
<g/>
=
enthält	w452
<g/>
,
daß	w454
der	w455
Sir	w456
Paliser	w457
zum	w458
Tode	w459
verurtheilt	w460
sey	w461
<g/>
,
jedoch	w463
von	w464
dem	w465
König	w466
Gnade	w467
zu	w468
hoffen	w469
habe	w470
<g/>
.
Gewiß	w472
aber	w473
ist	w474
<g/>
,
daß	w476
alle	w477
Aussagen	w478
wider	w479
diesen	w480
Viceadmiral	w481
unglücklich	w482
ausgefallen	w483
<g/>
,
und	w485
daß	w486
sogar	w487
ein	w488
Zeuge	w489
ihn	w490
angeklagt	w491
habe	w492
<g/>
,
daß	w494
er	w495
nicht	w496
nur	w497
allein	w498
den	w499
Befehlen	w500
nicht	w501
gehorcht	w502
<g/>
,
sondern	w504
sich	w505
sogar	w506
in	w507
der	w508
auf	w509
die	w510
zu	w511
Quessant	w512
vorgewesten	w513
Schlacht	w514
er=folgte	w515
<g/>
=
Nacht	w517
von	w518
der	w519
Flotte	w520
entfernt	w521
habe	w522
<g/>
.
</p>
<p id="p8">
Man	w524
hat	w525
den	w526
22	w527
<g/>
.
April	w529
der	w530
kön	w531
<g/>
.
eng=lischen	w533
<g/>
=
Gesellschaft	w535
ein	w536
sehr	w537
leichtes	w538
und	w539
wohlfeiles	w540
Mittel	w541
an	w542
die	w543
Hand	w544
gegeben	w545
<g/>
,
den	w547
Seescharbock	w548
zu	w549
heilen	w550
<g/>
:
indem	w552
man	w553
denen	w554
hieran	w555
Leidenden	w556
nur	w557
2	w558
höchstens	w559
3	w560
rohe	w561
Erdäpfel	w562
zu	w563
essen	w564
gibt	w565
<g/>
.
Dieses	w567
erinnert	w568
uns	w569
<g/>
,
daß	w571
schon	w572
vorlängst	w573
ein	w574
dänischer	w575
oder	w576
schwedischer	w577
Capitain	w578
das	w579
öftere	w580
Theetrinken	w581
mit	w582
vielem	w583
Zucker	w584
als	w585
ein	w586
besonders	w587
gutes	w588
Mittel	w589
davor	w590
befun=den	w591
<g/>
=
habe	w593
<g/>
.
</p>
<head id="hl2">
Paris	w595
den	w596
7	w597
<g/>
.
May	w599
<g/>
.
</head>
<p id="p9">
Die	w601
Stände	w602
der	w603
4	w604
Thäler	w605
an	w606
dem	w607
Py=renäischen	w608
<g/>
=
Gebirge	w610
<g/>
,
Magnoac	w612
<g/>
,
Nestez	w614
<g/>
,
Barousse	w616
und	w617
Aube	w618
insgemein	w619
Ober=armagnac	w620
<g/>
=
genannt	w622
<g/>
,
haben	w624
dem	w625
Kö=nig	w626
<g/>
=
300	w628
Stück	w629
zum	w630
Schiffbau	w631
bequeme	w632
Eichbäume	w633
angetragen	w634
<g/>
,
welche	w636
Se	w637
<g/>
.
Ma=jestät	w639
<g/>
=
auch	w641
anzunehmen	w642
geruheten	w643
<g/>
,
und	w645
hierüber	w646
denselben	w647
um	w648
so	w649
mehr	w650
ihr	w651
Wohl=gefallen	w652
<g/>
=
bezeugten	w654
<g/>
,
als	w656
sie	w657
auch	w658
jüngst=hin	w659
<g/>
=
ein	w661
feyerliches	w662
Hochamt	w663
<g/>
,
und	w665
Herr	w666
Gott	w667
<g/>
!
dich	w669
loben	w670
wir	w671
<g/>
,
bey	w673
Gelegenheit	w674
der	w675
glücklichen	w676
Entbindung	w677
der	w678
Königinn	w679
in	w680
U	w681
<g/>
.
L	w683
<g/>
.
F	w685
<g/>
.
Kirche	w687
zu	w688
Garaison	w689
halten	w690
ließen	w691
<g/>
.
</p>
<p id="p10">
Die	w693
königl	w694
<g/>
.
Akademie	w696
der	w697
schönen	w698
Wis=senschaften	w699
<g/>
=
hat	w701
in	w702
der	w703
Versammlung	w704
von	w705
27	w706
<g/>
.
April	w708
den	w709
regierenden	w710
Herrn	w711
Land=grafen	w712
<g/>
=
von	w714
Hessen	w715
Cassel	w716
anstatt	w717
des	w718
ver=storbenen	w719
<g/>
=
Herrn	w721
Grafen	w722
von	w723
Ciantar	w724
zu	w725
ihren	w726
Mitglied	w727
ernennt	w728
<g/>
.
</p>
<p id="p11">
Man	w730
schreibt	w731
aus	w732
Roubion	w733
l'Abesse	w734
nächst	w735
la	w736
Fere	w737
in	w738
der	w739
Landschaft	w740
Soisson	w741
<g/>
,
daß	w743
dem	w744
1	w745
<g/>
.
des	w747
verflossenen	w748
Monats	w749
um	w750
10	w751
Uhr	w752
frühe	w753
ein	w754
Schmid	w755
dieses	w756
Orts	w757
<g/>
,
ein	w759
glühend	w760
Eisen	w761
geschmiedet	w762
<g/>
,
wovon	w764
ihm	w765
unvermerkt	w766
ein	w767
Stückchen	w768
auf	w769
ein	w770
gegen	w771
seiner	w772
Werkstadt	w773
über	w774
gelegenes	w775
Strohdach	w776
flog	w777
<g/>
,
welches	w779
sogleich	w780
zündete	w781
<g/>
;
der	w783
außerordentlich	w784
heftige	w785
Wind	w786
war	w787
Ursache	w788
<g/>
,
daß	w790
in	w791
weniger	w792
denn	w793
2	w794
Stunden	w795
80	w796
Häuser	w797
<g/>
,
welche	w799
mehr	w800
dann	w801
200	w802
Fa=milien	w803
<g/>
=
in	w805
sich	w806
enthielten	w807
<g/>
,
abbrannten	w809
<g/>
,
ohne	w811
daß	w812
man	w813
nur	w814
das	w815
geringste	w816
von	w817
Vieh	w818
und	w819
Habschaften	w820
hatte	w821
retten	w822
kön=nen	w823
<g/>
=
<g/>
,
jedoch	w826
hat	w827
zum	w828
Glück	w829
kein	w830
Mensch	w831
sein	w832
Leben	w833
eingebüsset	w834
<g/>
;
Herr	w836
Pelletier	w837
Oberaufseher	w838
dieser	w839
Landschaft	w840
hat	w841
unter	w842
die	w843
Verunglückten	w844
gleich	w845
auf	w846
der	w847
Stelle	w848
Reiß	w849
<g/>
,
Brod	w851
und	w852
Geld	w853
austheilen	w854
lassen	w855
<g/>
:
auch	w857
der	w858
Bischof	w859
von	w860
Laon	w861
hat	w862
hier	w863
Pro=ben	w864
<g/>
=
seiner	w866
besondern	w867
Wohlthätigkeit	w868
<g/>
,
und	w870
einen	w871
Gott	w872
geheiligten	w873
Manne	w874
so	w875
wohl	w876
anständigen	w877
Menschenliebe	w878
gegeben	w879
<g/>
;
in=gleichen	w881
<g/>
=
haben	w883
die	w884
benachbarten	w885
Adeli=chen	w886
<g/>
=
und	w888
mehrere	w889
Einwohner	w890
der	w891
nächst=gelegenen	w892
<g/>
=
Ortschaften	w894
ihre	w895
christliche	w896
Lie=beserzeigung	w897
<g/>
=
nicht	w899
außer	w900
Acht	w901
gelassen	w902
<g/>
,
sondern	w904
den	w905
Unglücklichen	w906
alle	w907
mögliche	w908
Hilfe	w909
geleistet	w910
<g/>
;
übrigens	w912
hat	w913
man	w914
der	w915
guten	w916
Anordnung	w917
und	w918
dem	w919
Eifer	w920
der	w921
Marechaus=see	w922
<g/>
=
die	w924
Dämpfung	w925
dieses	w926
Feuers	w927
zu	w928
verdan	w929
<g/>
=
</p>
<p id="p12">
ken	w931
<g/>
,
welches	w933
ohne	w934
dieser	w935
Hilfe	w936
noch	w937
trauri=gere	w938
<g/>
=
Folgen	w940
hätte	w941
nach	w942
sich	w943
ziehen	w944
können	w945
<g/>
.
</p>
<head id="hl3">
Rom	w947
<g/>
,
den	w949
5	w950
<g/>
.
May	w952
<g/>
.
</head>
<p id="p13">
Das	w954
zur	w955
jährlichen	w956
Gedächtniß	w957
der	w958
Er=wählung	w959
<g/>
=
des	w961
heiligen	w962
Vaters	w963
alle	w964
Jahre	w965
vor	w966
der	w967
St	w968
<g/>
.
Peterskirche	w970
abzubrennen	w971
ge=wöhnliche	w972
<g/>
=
Feuerwerk	w974
<g/>
,
so	w976
wegen	w977
der	w978
ein=gefallenen	w979
<g/>
=
Fastenzeit	w981
verschoben	w982
worden	w983
<g/>
,
ist	w985
bis	w986
auf	w987
die	w988
zween	w989
erste	w990
Tage	w991
dieses	w992
Mo=nats	w993
<g/>
=
bestimmt	w995
worden	w996
<g/>
.
Samstags	w998
Nachts	w999
ist	w1000
die	w1001
Marquisin	w1002
von	w1003
Mumbrun	w1004
<g/>
,
eine	w1006
Enklinn	w1007
des	w1008
Kardinals	w1009
Bernis	w1010
an	w1011
ei=ner	w1012
<g/>
=
ihr	w1014
unterwegs	w1015
zugestossenen	w1016
hitzigen	w1017
Krankheit	w1018
verschieden	w1019
<g/>
.
</p>
<p id="p14">
Der	w1021
Kardinal	w1022
Johann	w1023
Franz	w1024
Albani	w1025
hat	w1026
die	w1027
Vermählung	w1028
des	w1029
Fürsten	w1030
Philipp	w1031
Caetani	w1032
mit	w1033
der	w1034
Fräulein	w1035
Helena	w1036
von	w1037
Albani	w1038
<g/>
,
welche	w1040
nach	w1041
verrichteten	w1042
Kirchen=ceremonien	w1043
<g/>
=
alsogleich	w1045
auf	w1046
das	w1047
Schloß	w1048
Gan=dolfus	w1049
<g/>
=
<g/>
,
um	w1052
sich	w1053
allda	w1054
15	w1055
Tage	w1056
aufzuhal=ten	w1057
<g/>
=
<g/>
,
abgereiset	w1060
sind	w1061
<g/>
,
in	w1063
seiner	w1064
Hauska=pelle	w1065
<g/>
=
vollzogen	w1067
<g/>
.
</p>
<p id="p15">
Ein	w1069
Priester	w1070
mit	w1071
Namen	w1072
Bruno	w1073
Fazzi	w1074
aus	w1075
Pisa	w1076
gebürtig	w1077
<g/>
,
ist	w1079
hier	w1080
angekommen	w1081
<g/>
,
der	w1083
in	w1084
dem	w1085
kön	w1086
<g/>
.
toskanischen	w1088
Pallaste	w1089
der=zeit	w1090
<g/>
=
wohnt	w1092
<g/>
,
und	w1094
zum	w1095
Bischof	w1096
des	w1097
heiligen	w1098
Miniatus	w1099
in	w1100
Toskana	w1101
<g/>
,
erwählt	w1103
worden	w1104
<g/>
.
</p>
<p id="p16">
Zu	w1106
dem	w1107
bey	w1108
seiner	w1109
Abreise	w1110
aus	w1111
Lisabon	w1112
dem	w1113
Herrn	w1114
Franz	w1115
Serlupi	w1116
ertheilten	w1117
Ge=schenken	w1118
<g/>
=
sind	w1120
noch	w1121
folgende	w1122
hinzuzufü=gen	w1123
<g/>
=
<g/>
,
ein	w1126
Kästchen	w1127
aus	w1128
Brasilienholz	w1129
mit	w1130
8	w1131
kleinen	w1132
Vasen	w1133
<g/>
,
so	w1135
mit	w1136
kostbarsten	w1137
Thee	w1138
auf	w1139
die	w1140
Reise	w1141
gefüllt	w1142
waren	w1143
<g/>
,
und	w1145
ein	w1146
Kist=chen	w1147
<g/>
=
mit	w1149
Chocolate	w1150
von	w1151
Seiten	w1152
Sr	w1153
<g/>
.
Emi=nenz	w1155
<g/>
=
des	w1157
Kardinalpatriarchen	w1158
zu	w1159
Souza	w1160
und	w1161
Sylva	w1162
<g/>
;
von	w1164
der	w1165
Frau	w1166
Aloysia	w1167
von	w1168
Menezes	w1169
<g/>
,
Schwester	w1171
erstgedachten	w1172
Kar=dinals	w1173
<g/>
=
<g/>
,
ein	w1176
Kästchen	w1177
von	w1178
Brasilienholz	w1179
mit	w1180
4	w1181
porcellainen	w1182
mit	w1183
Thee	w1184
gefüllten	w1185
Tö=pfen	w1186
<g/>
=
<g/>
;
von	w1189
Herrn	w1190
Grafen	w1191
von	w1192
Ponte	w1193
ein	w1194
schönes	w1195
indianisches	w1196
Rohr	w1197
mit	w1198
einem	w1199
Knopf	w1200
von	w1201
indianischen	w1202
Gold	w1203
dicht	w1204
gearbeitet	w1205
<g/>
,
und	w1207
von	w1208
der	w1209
Gräfinn	w1210
<g/>
,
Gemahlinn	w1212
besag=ten	w1213
<g/>
=
Grafens	w1215
eine	w1216
Schachtel	w1217
von	w1218
Perlenmut=ter	w1219
<g/>
=
in	w1221
Gold	w1222
gefaßt	w1223
<g/>
.
</p>
<p id="p17">
Letzt	w1225
verwichenen	w1226
Sonntag	w1227
ist	w1228
in	w1229
dem	w1230
Vatikan	w1231
die	w1232
Seligsprechung	w1233
des	w1234
Michael	w1235
de	w1236
Santis	w1237
<g/>
,
aus	w1239
dem	w1240
Orden	w1241
der	w1242
heil	w1243
<g/>
.
Dreyfaltigkeit	w1245
zur	w1246
Erlösung	w1247
der	w1248
Gefan=genen	w1249
<g/>
=
<g/>
,
in	w1252
Gegenwart	w1253
10	w1254
Kardinäle	w1255
aus	w1256
der	w1257
Congregation	w1258
der	w1259
Kirchengebräuche	w1260
<g/>
,
</p>
<p id="p18">
mehrerer	w1262
Prälaten	w1263
und	w1264
geistlichen	w1265
Rä=then	w1266
<g/>
=
gedachter	w1268
Versammlung	w1269
<g/>
,
des	w1271
Se=kretärs	w1272
<g/>
=
<g/>
,
und	w1275
Beförderer	w1276
des	w1277
Glaubens	w1278
<g/>
,
des	w1280
Kapitels	w1281
der	w1282
Domkirche	w1283
<g/>
,
und	w1285
des	w1286
Kardinals	w1287
Herzogs	w1288
zu	w1289
York	w1290
<g/>
,
feyerlich	w1292
begangen	w1293
worden	w1294
<g/>
.
Nach	w1296
vorgelesener	w1297
Vollmacht	w1298
seiner	w1299
Seligsprechung	w1300
ist	w1301
das	w1302
auf	w1303
dem	w1304
Altar	w1305
verhängte	w1306
Bildniß	w1307
dessel=ben	w1308
<g/>
=
enthüllet	w1310
<g/>
,
unzahlbare	w1312
Wachskerzen	w1313
herum	w1314
angezündet	w1315
<g/>
,
und	w1317
nach	w1318
abgesunge=nen	w1319
<g/>
=
Ambrosianischen	w1321
Lobgesange	w1322
das	w1323
Ho=heamt	w1324
<g/>
=
mit	w1326
mehreren	w1327
musikalischen	w1328
Chö=ren	w1329
<g/>
=
zu	w1331
Ehren	w1332
des	w1333
Seligen	w1334
gehalten	w1335
worden	w1336
<g/>
.
</p>
<head id="hl4">
Livorno	w1338
den	w1339
7	w1340
<g/>
.
May	w1342
<g/>
.
</head>
<p id="p19">
Der	w1344
Tripolitanische	w1345
Bothschafter	w1346
Sidy	w1347
Hagy	w1348
Abdulrachmann	w1349
Aga	w1350
ist	w1351
von	w1352
dem	w1353
Schiffe	w1354
in	w1355
das	w1356
erste	w1357
Lazareth	w1358
des	w1359
heil	w1360
<g/>
.
Rochus	w1362
mit	w1363
allem	w1364
seinen	w1365
Gefolge	w1366
ausge=stiegen	w1367
<g/>
=
<g/>
,
um	w1370
alldort	w1371
die	w1372
von	w1373
der	w1374
Gesund=heitskommission	w1375
<g/>
=
vorgeschriebene	w1377
Kontu=maz	w1378
<g/>
=
zu	w1380
halten	w1381
<g/>
.
</p>
<p id="p20">
Man	w1383
sagt	w1384
<g/>
,
es	w1386
seyen	w1387
einige	w1388
Schiffe	w1389
von	w1390
den	w1391
Algierischen	w1392
Seeräubern	w1393
hinwegge=nommen	w1394
<g/>
=
<g/>
,
und	w1397
nach	w1398
Gibraltar	w1399
geführt	w1400
worden	w1401
<g/>
.
Jm	w1403
Gegentheil	w1404
aber	w1405
hat	w1406
ein	w1407
heute	w1408
hier	w1409
angeländetes	w1410
Neapolitanisches	w1411
Schiff	w1412
die	w1413
Nachricht	w1414
mitgebracht	w1415
<g/>
,
daß	w1417
ein	w1418
Al=gierisches	w1419
<g/>
=
Schiff	w1421
mit	w1422
16	w1423
Kanonen	w1424
<g/>
,
und	w1426
300	w1427
Männern	w1428
<g/>
,
sammt	w1430
Waaren	w1431
von	w1432
2	w1433
Neapolitanische	w1434
Schebecken	w1435
hinweggenom=men	w1436
<g/>
=
worden	w1438
<g/>
.
Diese	w1440
Nachricht	w1441
bedarf	w1442
den=noch	w1443
<g/>
=
weitere	w1445
Bestättigung	w1446
<g/>
.
</p>
<head id="hl5">
Kadix	w1448
<g/>
,
den	w1450
6	w1451
<g/>
.
April	w1453
<g/>
.
</head>
<p id="p21">
Eine	w1455
kleine	w1456
Flotte	w1457
von	w1458
algierischen	w1459
Raub=schiffen	w1460
<g/>
=
ist	w1462
aus	w1463
dem	w1464
mittelländischen	w1465
Meere	w1466
in	w1467
den	w1468
Ocean	w1469
paßirt	w1470
<g/>
.
Sie	w1472
haben	w1473
auch	w1474
be=reits	w1475
<g/>
=
verschiedene	w1477
spanische	w1478
Kauffarthey=schiffe	w1479
<g/>
=
weggenommen	w1481
<g/>
,
und	w1483
nach	w1484
Tanger	w1485
aufgebracht	w1486
<g/>
.
Die	w1488
Erscheinung	w1489
dieser	w1490
bar=barischen	w1491
<g/>
=
Eskadre	w1493
hat	w1494
eine	w1495
nicht	w1496
geringe	w1497
Bestürzung	w1498
bey	w1499
unsern	w1500
Kaufleuten	w1501
verur=sacht	w1502
<g/>
=
<g/>
,
welche	w1505
deswegen	w1506
bey	w1507
dem	w1508
Hofe	w1509
zu	w1510
Madrid	w1511
Vorstellungen	w1512
gethan	w1513
haben	w1514
<g/>
.
Man	w1516
hat	w1517
hierauf	w1518
2	w1519
spanische	w1520
Kriegsschiffe	w1521
<g/>
,
und	w1523
2	w1524
Fregatten	w1525
auslaufen	w1526
lassen	w1527
<g/>
,
um	w1529
auf	w1530
diese	w1531
algierische	w1532
Raubschiffe	w1533
Jagd	w1534
zu	w1535
ma=chen	w1536
<g/>
=
<g/>
.
Dessen	w1539
ungeachtet	w1540
haben	w1541
wir	w1542
noch	w1543
gestern	w1544
die	w1545
unangenehme	w1546
Nachricht	w1547
er=halten	w1548
<g/>
=
<g/>
,
daß	w1551
diese	w1552
Seeräuber	w1553
das	w1554
Schiff	w1555
<g/>
,
unsere	w1557
liebe	w1558
Frau	w1559
von	w1560
Begona	w1561
<g/>
,
wegge=nommen	w1563
<g/>
=
<g/>
,
und	w1566
zu	w1567
Tanger	w1568
aufgebracht	w1569
ha	w1570
<g/>
=
</p>
<p id="p22">
ben	w1572
<g/>
.
Die	w1574
Ladung	w1575
desselben	w1576
wird	w1577
auf	w1578
eine	w1579
Million	w1580
holländischer	w1581
Gulden	w1582
geschätzt	w1583
<g/>
.
</p>
<head id="hl6">
Londen	w1585
den	w1586
4	w1587
<g/>
.
May	w1589
<g/>
.
</head>
<p id="p23">
Bereits	w1591
vorgestern	w1592
gieng	w1593
alhier	w1594
die	w1595
vorläufige	w1596
Nachricht	w1597
ein	w1598
<g/>
,
daß	w1600
ein	w1601
Korps	w1602
von	w1603
2000	w1604
Mann	w1605
Französischer	w1606
Truppen	w1607
mit	w1608
50	w1609
Transportschiffen	w1610
<g/>
,
unter	w1612
der	w1613
Be=deckung	w1614
<g/>
=
von	w1616
5	w1617
Kriegsschiffen	w1618
<g/>
,
auf	w1620
der	w1621
Jnsel	w1622
Jersey	w1623
ausgesetzt	w1624
hätte	w1625
<g/>
.
Diese	w1627
Bothschaft	w1628
ward	w1629
gestern	w1630
durch	w1631
einen	w1632
in	w1633
dem	w1634
Staatssekretariat	w1635
angekommenen	w1636
Expressen	w1637
bestätigt	w1638
<g/>
.
Die	w1640
Corvette	w1641
<g/>
,
an	w1643
deren	w1644
Bord	w1645
er	w1646
die	w1647
Fahrt	w1648
abgemacht	w1649
hat	w1650
<g/>
,
und	w1652
welche	w1653
am	w1654
2	w1655
<g/>
.
dieses	w1657
zu	w1658
Portsmouth	w1659
einlief	w1660
<g/>
,
ist	w1662
dem	w1663
Admirale	w1664
Arbuthnot	w1665
<g/>
,
der	w1667
Tages	w1668
vorher	w1669
von	w1670
St	w1671
<g/>
.
Helens	w1673
mit	w1674
sei=nem	w1675
<g/>
=
nach	w1677
Neuyork	w1678
bestimmten	w1679
Geschwa=der	w1680
<g/>
=
den	w1682
Anker	w1683
gelichtet	w1684
hatte	w1685
<g/>
,
begegnet	w1687
<g/>
.
Da	w1689
nur	w1690
gedachten	w1691
Befehlshaber	w1692
die	w1693
wi=der	w1694
<g/>
=
eine	w1696
von	w1697
unsern	w1698
Besitzungen	w1699
vorge=nommene	w1700
<g/>
=
Unternehmung	w1702
bey	w1703
dieser	w1704
Ge=legenheit	w1705
<g/>
=
hinterbracht	w1707
ward	w1708
<g/>
,
faßte	w1710
er	w1711
so	w1712
fort	w1713
eine	w1714
Entschließung	w1715
<g/>
,
für	w1717
welche	w1718
man	w1719
ihm	w1720
allhier	w1721
Dank	w1722
weis	w1723
<g/>
,
und	w1725
stellte	w1726
dem	w1727
Expressen	w1728
einen	w1729
Brief	w1730
an	w1731
die	w1732
Admirali=tät	w1733
<g/>
=
<g/>
,
des	w1736
Jnhalts	w1737
zu	w1738
<g/>
:
<g/>
,,
Er	w1741
hätte	w1742
am	w1743
2	w1744
<g/>
.
Morgens	w1746
<g/>
,
ein	w1748
wenig	w1749
ostwärts	w1750
der	w1751
Jn=sel	w1752
<g/>
=
Wight	w1754
einem	w1755
Schiffe	w1756
von	w1757
Jersey	w1758
zu=gerufen	w1759
<g/>
=
<g/>
,
und	w1762
von	w1763
demselben	w1764
vernommen	w1765
<g/>
,
daß	w1767
eine	w1768
Französische	w1769
Flotte	w1770
von	w1771
5	w1772
Kriegs=schiffen	w1773
<g/>
=
und	w1775
50	w1776
Transportschiffen	w1777
am	w1778
29	w1779
<g/>
.
April	w1781
unvermuthet	w1782
auf	w1783
der	w1784
Höhe	w1785
besag=ter	w1786
<g/>
=
Jnsel	w1788
erschienen	w1789
wäre	w1790
<g/>
,
und	w1792
am	w1793
fol=genden	w1794
<g/>
=
Tage	w1796
ein	w1797
Korps	w1798
von	w1799
2000	w1800
Mann	w1801
Französischer	w1802
Truppen	w1803
alda	w1804
ausgesetzt	w1805
hät=te	w1806
<g/>
=
<g/>
;
auf	w1809
diese	w1810
Nachricht	w1811
sey	w1812
er	w1813
