<doc id="wr_1759-12-05" attrs="word" year="1759" month="12" day="05" corpus="2">
<head id="h2_d403e4038">
Werra=strom	w1_d403e4042
Erman	w11_d403e5680
gelung	w1_d403e5685
derenselben	w3_d403e5688
werden	w5_d403e5691
vielt	w7_d403e5694
ordinaire	w9_d403e5697
Wägen	w1_d403e5703
genommen.	w3_d403e5706
Jm	w5_d403e5709
Zwinger	w7_d403e5712
des	w9_d403e5715
Grim	w11_d403e5718
mischen	w1_d403e5723
Thors	w3_d403e5726
ist	w5_d403e5729
nun	w7_d403e5732
auch	w9_d403e5735
zu	w11_d403e5738
schanzen	w13_d403e5742
angefangen	w1_d403e5747
worden,	w3_d403e5750
und	w5_d403e5753
täglich	w7_d403e5756
wird	w9_d403e5759
sehr	w11_d403e5762
</p>
<p id="p6_d403e5765">
2.	w1_d403e5771
.	w1_d403e5778
stark	w1_d403e5786
damit	w3_d403e5789
consinuiret.	w5_d403e5792
Jn	w7_d403e5795
dem	w9_d403e5798
Thüringer	w11_d403e5801
kreis	w1_d403e5806
ist	w3_d403e5809
denen	w5_d403e5812
Sächsischen	w7_d403e5815
Beamten	w9_d403e5818
bey	w11_d403e5821
Feuer	w1_d403e5826
und	w3_d403e5829
Schwert	w5_d403e5832
angedeutet	w7_d403e5835
worden,	w9_d403e5838
nichts	w1_d403e5844
an	w3_d403e5847
die	w5_d403e5850
Königl.	w7_d403e5853
Cammer	w9_d403e5856
zu	w11_d403e5859
bezah	w13_d403e5863
len,	w1_d403e5868
sondern	w3_d403e5871
alles	w5_d403e5874
an	w7_d403e5877
das	w9_d403e5880
Königl.	w11_d403e5883
Preus	w13_d403e5887
sische	w1_d403e5892
Kriegs=directorium	w3_d403e5895
zu	w5_d403e5898
liefern.	w7_d403e5901
</p>
<head id="h2_d403e5907">
Petersburg	w1_d403e5911
20.	w3_d403e5914
Oct.	w5_d403e5917
</head>
<p id="p4_d403e5920">
Die	w1_d403e5924
Anstalten	w3_d403e5927
zur	w5_d403e5930
ferneren	w7_d403e5933
Fortsetzung	w9_d403e5936
des	w1_d403e5941
Krieges	w3_d403e5944
werden	w5_d403e5947
auf	w7_d403e5950
das	w9_d403e5953
eifrigste	w11_d403e5956
betrie	w13_d403e5960
ben.	w1_d403e5965
Die	w3_d403e5968
zur	w5_d403e5971
Armee	w7_d403e5974
bestimmte	w9_d403e5977
Recruten	w11_d403e5980
sind	w1_d403e5986
alle	w3_d403e5989
vollzählig,	w5_d403e5992
allein	w7_d403e5995
sie	w9_d403e5998
haben	w11_d403e6001
nebst	w13_d403e6005
denen	w1_d403e6010
in	w3_d403e6013
Besatzunggligenden	w5_d403e6016
Bataillons,	w7_d403e6019
welche	w1_d403e6024
gleichfalls	w3_d403e6027
dahin	w5_d403e6030
marschiren	w7_d403e6033
sollten,	w9_d403e6036
Ordre	w1_d403e6041
bekommen,	w3_d403e6044
ihren	w5_d403e6047
Marsch	w7_d403e6050
bis	w9_d403e6053
zur	w11_d403e6056
Schlitten=bayn	w1_d403e6062
auszusetzen,	w3_d403e6065
weil	w5_d403e6068
man	w7_d403e6071
sie	w9_d403e6074
alsdann	w1_d403e6079
desto	w3_d403e6082
leichter	w5_d403e6085
und	w7_d403e6088
geschwinder	w9_d403e6091
trans	w11_d403e6094
portiren	w1_d403e6099
kan.	w3_d403e6102
Nach	w5_d403e6105
Preussen	w7_d403e6108
darf	w9_d403e6111
kein	w11_d403e6114
Ge	w13_d403e6118
treib	w1_d403e6123
mehr	w3_d403e6126
abgeführt	w5_d403e6129
werden,	w7_d403e6132
weil	w9_d403e6135
in	w11_d403e6138
da	w13_d403e6142
sigen	w1_d403e6148
Magazinen	w3_d403e6151
sich	w5_d403e6154
bereits	w7_d403e6157
so	w9_d403e6160
viel	w11_d403e6163
Vor	w13_d403e6167
rat	w1_d403e6172
befindet,	w3_d403e6175
als	w5_d403e6178
für	w7_d403e6181
eine	w9_d403e6184
Armee	w11_d403e6187
von	w13_d403e6191
120000.	w15_d403e6194
Mann	w1_d403e6199
binnen	w3_d403e6202
2.	w5_d403e6205
Jahren	w7_d403e6208
nöhlig	w9_d403e6211
ist.	w11_d403e6214
Von	w13_d403e6218
der	w1_d403e6223
Armee	w3_d403e6226
selbst	w5_d403e6229
hat	w7_d403e6232
man	w9_d403e6235
die	w11_d403e6238
Nachricht	w13_d403e6242
er	w15_d403e6245
halten,	w1_d403e6251
daß	w3_d403e6254
sie	w5_d403e6257
den	w7_d403e6260
10.	w9_d403e6263
Oct.	w11_d403e6266
sich	w13_d403e6270
zur	w15_d403e6273
Be	w17_d403e6276
ziehung	w1_d403e6281
deren	w3_d403e6284
Winter=quartieren	w5_d403e6287
in	w7_d403e6290
Marsch	w9_d403e6293
gesetzet,	w1_d403e6298
welche	w3_d403e6301
sie	w5_d403e6304
wegen	w7_d403e6307
Mangel	w9_d403e6310
deren	w11_d403e6313
Lebens=mitteln	w1_d403e6318
und	w3_d403e6321
eines	w5_d403e6324
festen	w7_d403e6327
Waffen	w9_d403e6330
platzes	w1_d403e6336
in	w3_d403e6339
feindlichen	w5_d403e6342
Landen	w7_d403e6345
nicht	w9_d403e6348
nehmen	w11_d403e6351
konte,	w1_d403e6356
zumalen	w3_d403e6359
da	w5_d403e6362
auch	w7_d403e6365
die	w9_d403e6368
Jahrs=zeit,	w11_d403e6371
um	w1_d403e6376
eine	w3_d403e6379
Belagerung	w5_d403e6382
vorzunehmen,	w7_d403e6385
schon	w9_d403e6388
zu	w1_d403e6393
weit	w3_d403e6396
verstrichen.	w5_d403e6399
</p>
<head id="h2_d403e6405">
Wesel	w1_d403e6409
17.	w3_d403e6412
Nov.	w5_d403e6415
</head>
<p id="p4_d403e6418">
Der	w1_d403e6422
Herr	w3_d403e6425
Marquis	w5_d403e6428
von	w7_d403e6431
Armentieres	w9_d403e6434
ist	w11_d403e6437
gestern	w1_d403e6442
von	w3_d403e6445
Dorsten	w5_d403e6448
nach	w7_d403e6451
Haltern	w9_d403e6454
marschirt,	w11_d403e6457
und	w1_d403e6462
hat	w3_d403e6465
die	w5_d403e6468
schwere	w7_d403e6471
Bagage	w9_d403e6474
hieher	w11_d403e6477
zuruck	w13_d403e6481
geschicket.	w1_d403e6487
Der	w3_d403e6490
Herr	w5_d403e6493
Courvoise,	w7_d403e6496
Capitain	w9_d403e6499
bey	w1_d403e6504
dem	w3_d403e6507
Fischerischen	w5_d403e6510
Corps	w7_d403e6513
hat	w9_d403e6516
sich	w11_d403e6519
dieser	w13_d403e6523
Tägen	w1_d403e6528
nach	w3_d403e6531
Ahrensberg	w5_d403e6534
begeben,	w7_d403e6537
um	w9_d403e6540
da	w11_d403e6543
selbst	w1_d403e6548
einen	w3_d403e6551
Hansvrischen	w5_d403e6554
Capitain	w7_d403e6557
aufzu	w9_d403e6560
heben,	w1_d403e6566
welcher	w3_d403e6569
die	w5_d403e6572
ganze	w7_d403e6575
dasige	w9_d403e6578
Gegend	w11_d403e6581
in	w13_d403e6585
Contribution	w1_d403e6590
gesetzet.	w3_d403e6593
Bey	w5_d403e6596
seiner	w7_d403e6599
Ankunft	w9_d403e6602
aber	w1_d403e6607
war	w3_d403e6610
dieser	w5_d403e6613
Officier	w7_d403e6616
schon	w9_d403e6619
abmarschirt.	w11_d403e6622
Da	w1_d403e6627
der	w3_d403e6630
Herr	w5_d403e6633
Courvoise	w7_d403e6636
auch	w9_d403e6639
Ordre	w11_d403e6642
gehabt,	w13_d403e6646
</p>
<p id="p10_d403e6659">
sich	w1_d403e6663
nach	w3_d403e6666
Belicke	w5_d403e6669
und	w7_d403e6672
Brillon	w9_d403e6675
zu	w11_d403e6678
verfügen,	w13_d403e6682
um	w1_d403e6687
daselbst	w3_d403e6690
die	w5_d403e6693
Magazine	w7_d403e6696
der	w9_d403e6699
Arlillerie	w11_d403e6702
in	w13_d403e6706
Brand	w1_d403e6711
zu	w3_d403e6714
stecken,	w5_d403e6717
so	w7_d403e6720
ist	w9_d403e6723
er	w11_d403e6726
auch	w13_d403e6730
dahin	w15_d403e6733
mar	w17_d403e6736
schirt,	w1_d403e6742
aber	w3_d403e6745
die	w5_d403e6748
Magazinen	w7_d403e6751
waren	w9_d403e6754
noch	w11_d403e6757
nicht	w13_d403e6761
angefüllt,	w1_d403e6766
ob	w3_d403e6769
gleich	w5_d403e6772
das	w7_d403e6775
Land	w9_d403e6778
den	w11_d403e6781
Befehl	w13_d403e6785
gehabt,	w1_d403e6790
solches	w3_d403e6793
noch	w5_d403e6796
vor	w7_d403e6799
den	w9_d403e6802
4.	w11_d403e6805
Decemb.	w13_d403e6809
zu	w1_d403e6814
thun.	w3_d403e6817
Er	w5_d403e6820
begab	w7_d403e6823
sich	w9_d403e6826
darauf	w11_d403e6829
nach	w13_d403e6833
Hirs	w15_d403e6836
hausen,	w1_d403e6842
woler	w3_d403e6845
einen	w5_d403e6848
Quartier=meister	w7_d403e6851
und	w9_d403e6854
4.	w1_d403e6859
schwarze	w3_d403e6862
Hussaren,	w5_d403e6865
2.	w7_d403e6868
Dragoner	w9_d403e6871
von	w11_d403e6874
dem	w1_d403e6879
Finkensteinischen	w3_d403e6882
Regiment,	w5_d403e6885
4.	w7_d403e6888
Re	w9_d403e6891
cruten,	w1_d403e6896
und	w3_d403e6899
ein	w5_d403e6902
Faß	w7_d403e6905
mit	w9_d403e6908
Geld,	w11_d403e6911
inglei	w13_d403e6915
chen	w1_d403e6921
ein	w3_d403e6924
Zelt	w5_d403e6927
für	w7_d403e6930
den	w9_d403e6933
Prinzen	w11_d403e6936
von	w13_d403e6940
Hollstein	w15_d403e6943
gottorp,	w1_d403e6948
welches	w3_d403e6951
von	w5_d403e6954
Berlin	w7_d403e6957
gekommen,	w9_d403e6960
aufgehoben	w1_d403e6965
hat.	w3_d403e6968
Darauf	w5_d403e6971
ist	w7_d403e6974
der	w9_d403e6977
Her	w11_d403e6980
Cour	w13_d403e6984
volsie	w1_d403e6989
wieder	w3_d403e6992
nach	w5_d403e6995
Düsseldorf	w7_d403e6998
zurück	w9_d403e7001
gekom	w11_d403e7004
men,	w1_d403e7010
nachdem	w3_d403e7013
er	w5_d403e7016
über	w7_d403e7019
60.	w9_d403e7022
Meilen	w11_d403e7025
hinter	w13_d403e7029
der	w1_d403e7034
frindlichen	w3_d403e7037
Armee	w5_d403e7040
marschirt	w7_d403e7043
ist.	w9_d403e7046
</p>
<head id="h2_d403e7052">
Auszug	w1_d403e7056
aus	w3_d403e7059
denen	w5_d403e7062
jüngsten	w7_d403e7065
Londner=briefen	w1_d403e7070
</head>
<p id="p4_d403e7073">
Zu	w1_d403e7077
Portsmouth	w3_d403e7080
hat	w5_d403e7083
man	w7_d403e7086
in	w9_d403e7089
der	w11_d403e7092
Ferne	w13_d403e7096
verschiedene	w1_d403e7101
grosse	w3_d403e7104
Schiffe	w5_d403e7107
entdeckt,	w7_d403e7110
welche	w9_d403e7113
man	w1_d403e7118
für	w3_d403e7121
die	w5_d403e7124
aus	w7_d403e7127
America	w9_d403e7130
zurück	w11_d403e7133
kommende	w13_d403e7137
Flotte	w1_d403e7143
des	w3_d403e7146
Admirals	w5_d403e7149
Sauoders	w7_d403e7152
hält.	w9_d403e7155
Man	w11_d403e7158
vermutet,	w1_d403e7163
daß	w3_d403e7166
man	w5_d403e7169
durch	w7_d403e7172
sie	w9_d403e7175
Nachricht	w11_d403e7178
von	w1_d403e7183
denen	w3_d403e7186
weitern	w5_d403e7189
Operationen	w7_d403e7192
des	w9_d403e7195
Gene	w11_d403e7198
rals	w1_d403e7203
Amhorst	w3_d403e7206
erhalten	w5_d403e7209
werde.	w7_d403e7212
Mit	w9_d403e7215
dieser	w11_d403e7218
Flotte	w1_d403e7224
wird	w3_d403e7227
auch	w5_d403e7230
der	w7_d403e7233
Leichnam	w9_d403e7236
des	w11_d403e7239
Gene	w13_d403e7243
ral	w1_d403e7248
Wulfs	w3_d403e7251
erwartet.	w5_d403e7254
</p>
<p id="p6_d403e7257">
Da	w1_d403e7261
die	w3_d403e7264
Deputirte	w5_d403e7267
der	w7_d403e7270
vereinigten	w9_d403e7273
Pro	w11_d403e7276
vinzen	w1_d403e7281
sich	w3_d403e7284
bey	w5_d403e7287
den	w7_d403e7290
Herrn	w9_d403e7293
Grafen	w11_d403e7296
von	w13_d403e7300
Holderneß	w1_d403e7305
beschweret,	w3_d403e7308
daß	w5_d403e7311
der	w7_d403e7314
Admiral	w9_d403e7317
Boscawen	w1_d403e7323
eine	w3_d403e7326
Holländische	w5_d403e7329
Convoy	w7_d403e7332
visiti	w9_d403e7335
ken	w1_d403e7340
lassen,	w3_d403e7343
so	w5_d403e7346
hat	w7_d403e7349
dieser	w9_d403e7352
Minister	w11_d403e7355
an	w13_d403e7359
die	w15_d403e7362
Lords	w1_d403e7367
der	w3_d403e7370
Admiralität	w5_d403e7373
geschrieben,	w7_d403e7376
welche	w9_d403e7379
sich,	w1_d403e7384
um	w3_d403e7387
auf	w5_d403e7390
den	w7_d403e7393
Grund	w9_d403e7396
zu	w11_d403e7399
kommen,	w13_d403e7403
an	w15_d403e7406
den	w1_d403e7412
Admiral	w3_d403e7415
selbst	w5_d403e7418
gewendet.	w7_d403e7421
Dieser	w9_d403e7424
hat	w11_d403e7427
hierauf	w1_d403e7432
ein	w3_d403e7435
Schreiben	w5_d403e7438
an	w7_d403e7441
den	w9_d403e7444
Herrn	w11_d403e7447
Cleve	w13_d403e7451
land,	w1_d403e7456
Seoretair	w3_d403e7459
dieses	w5_d403e7462
Tribunals	w7_d403e7465
ergehen	w9_d403e7468
lassen,	w1_d403e7473
worinnen	w3_d403e7476
er	w5_d403e7479
sich	w7_d403e7482
also	w9_d403e7485
ausbrückt:	w11_d403e7488
Was	w1_d403e7494
das	w3_d403e7497
Memoire	w5_d403e7500
deren	w7_d403e7503
Herrn	w9_d403e7506
Hop,	w11_d403e7509
Borcel	w1_d403e7514
und	w3_d403e7517
Meer=mann	w5_d403e7520
betrift,	w7_d403e7523
worinn	w9_d403e7526
sie	w11_d403e7529
sich	w1_d403e7534
beklagen,	w3_d403e7537
daß	w5_d403e7540
ich	w7_d403e7543
Schiffe	w9_d403e7546
detaschirt	w11_d403e7549
hätte,	w13_d403e7553
um	w1_d403e7558
die	w3_d403e7561
Holländischen	w5_d403e7564
Kauffarthey=schiffe,	w7_d403e7567
</p>
<p id="p8_d403e7570">
f	w1_d403e7574
der	w3_d403e7577
Hö.	w5_d403e7580
die	w1_d403e7585
ein	w3_d403e7588
Kriegs=schif	w5_d403e7591
bedeckte,	w7_d403e7594
he	w1_d403e7599
des	w3_d403e7602
Vor=gebürges	w5_d403e7605
Palbs	w7_d403e7608
vistiren	w1_d403e7614
,	w3_d403e7617
auch	w1_d403e7622
daß	w3_d403e7625
ich	w5_d403e7628
wider	w7_d403e7631
die	w9_d403e7634
Vorsteslungen	w11_d403e7637
des	w1_d403e7642
Capitains	w1_d403e7647
Betting,	w3_d403e7650
Conmmandanten	w5_d403e7653
des	w1_d403e7659
Kriegs=schifs	w1_d403e7664
einige	w3_d403e7667
arretiren	w5_d403e7670
lassen,	w7_d403e7673
zu	w1_d403e7678
vemerken,	w3_d403e7681
daß	w5_d403e7684
ich	w7_d403e7687
bey	w9_d403e7690
der	w11_d403e7693
