<doc id="wr_1763-11-16" attrs="word" year="1763" month="11" day="16" corpus="2">
<head id="h2_d809e3094">
Dublin	w1_d809e3098
bewerkstelligen,	w3_d809e4089
verpflichten	w5_d809e4092
sich	w7_d809e4095
Jhre	w9_d809e4098
Allercheistlichste	w1_d809e4104
und	w3_d809e4107
Catholische	w5_d809e4110
Majestä	w7_d809e4113
ten	w1_d809e4118
dem	w3_d809e4121
König	w5_d809e4124
von	w7_d809e4127
Sardinien	w9_d809e4130
den	w11_d809e4133
Genuß	w13_d809e4137
des	w1_d809e4142
nämlichen	w3_d809e4145
Ertrags	w5_d809e4148
von	w7_d809e4151
den	w9_d809e4154
jährlichen	w11_d809e4157
Einkünften,	w1_d809e4162
(nach	w3_d809e4165
Abzug	w5_d809e4168
der	w7_d809e4171
Läste	w9_d809e4174
und	w11_d809e4177
Verwaltungs=unkösten)	w1_d809e4183
welche	w3_d809e4186
die	w5_d809e4189
Statt	w7_d809e4192
und	w1_d809e4197
der	w3_d809e4200
Theil	w5_d809e4203
des	w7_d809e4206
Placenzischen	w9_d809e4209
bis	w11_d809e4212
an	w13_d809e4216
den	w15_d809e4219
Nura	w1_d809e4224
fluß	w3_d809e4227
höchst=gedachtem	w5_d809e4230
Fürsten	w7_d809e4233
bey	w9_d809e4236
bringen	w1_d809e4241
würden,	w3_d809e4244
wann	w5_d809e4247
Er	w7_d809e4250
in	w9_d809e4253
dem	w11_d809e4256
würkli	w13_d809e4260
chen	w1_d809e4266
Besitze	w3_d809e4269
derselben	w5_d809e4272
wäre,	w7_d809e4275
in	w9_d809e4278
solcher	w11_d809e4281
Form	w13_d809e4285
zu	w1_d809e4290
verschaffen,	w3_d809e4293
die	w5_d809e4296
Seine	w7_d809e4299
Sardinische	w9_d809e4302
Ma	w11_d809e4305
jestät	w1_d809e4310
zufrieden	w3_d809e4313
stellen	w5_d809e4316
wird;	w7_d809e4319
zu	w9_d809e4322
welchem	w11_d809e4325
Ende	w1_d809e4330
Se.	w3_d809e4333
Allerchristlichste	w5_d809e4336
Majestät	w7_d809e4339
sich	w9_d809e4342
ge	w11_d809e4345
gen	w1_d809e4351
Se.	w3_d809e4354
Sardinische	w5_d809e4357
Majestät	w7_d809e4360
durch	w9_d809e4363
einen	w11_d809e4366
besonderen	w1_d809e4371
Vertrag	w3_d809e4374
anheischig	w5_d809e4377
machen	w7_d809e4380
wer	w9_d809e4383
den,	w1_d809e4388
die	w3_d809e4391
Haupt=summa	w5_d809e4394
der	w7_d809e4397
Einkünfte	w9_d809e4400
vor	w11_d809e4403
erwehnter	w1_d809e4408
Länder	w3_d809e4411
zu	w5_d809e4414
übermachen,	w7_d809e4417
und	w9_d809e4420
soll	w11_d809e4423
die	w1_d809e4429
Richtigkeit	w3_d809e4432
dieser	w5_d809e4435
Summa,	w7_d809e4438
zwischen	w9_d809e4441
den	w11_d809e4444
beyden	w1_d809e4449
Höfen	w3_d809e4452
von	w5_d809e4455
Versailles	w7_d809e4458
und	w9_d809e4461
Turin,	w11_d809e4464
in	w13_d809e4468
der	w1_d809e4473
Güte	w3_d809e4476
und	w5_d809e4479
aufrichtig	w7_d809e4482
bewiesen	w9_d809e4485
werden.	w11_d809e4488
</p>
<p id="p6_d809e4491">
Art.	w1_d809e4495
4.	w3_d809e4498
Versprechen	w5_d809e4501
und	w7_d809e4504
geloben	w9_d809e4507
der	w11_d809e4510
Kö	w13_d809e4514
nig	w1_d809e4519
von	w3_d809e4522
Sardinien,	w5_d809e4525
für	w7_d809e4528
Sich	w9_d809e4531
und	w11_d809e4534
Se.	w13_d809e4538
Nach	w15_d809e4541
folger,	w1_d809e4546
daß,	w3_d809e4549
wann	w5_d809e4552
obgedachter	w7_d809e4555
Fall	w9_d809e4558
der	w11_d809e4561
Re	w13_d809e4565
version	w1_d809e4571
sich	w3_d809e4574
wird	w5_d809e4577
eräugnet	w7_d809e4580
haben,	w9_d809e4583
Er	w11_d809e4586
Sich	w13_d809e4590
desselben	w1_d809e4595
nicht	w3_d809e4598
werde	w5_d809e4601
bedienen	w7_d809e4604
können,	w9_d809e4607
um	w11_d809e4610
Sich	w1_d809e4615
in	w3_d809e4618
den	w5_d809e4621
Besitz	w7_d809e4624
der	w9_d809e4627
obbesagten	w11_d809e4630
in	w13_d809e4634
gegen	w15_d809e4637
wärtigem	w1_d809e4642
Vertrag	w3_d809e4645
und	w5_d809e4648
in	w7_d809e4651
dem	w9_d809e4654
Aachner	w11_d809e4657
Frie	w13_d809e4661
dens=tractat	w1_d809e4667
benennten	w3_d809e4670
Länder	w5_d809e4673
zu	w7_d809e4676
setzen,	w9_d809e4679
Er	w1_d809e4684
habe	w3_d809e4687
dann	w5_d809e4690
vor	w7_d809e4693
allen	w9_d809e4696
Dingen	w11_d809e4699
jene	w13_d809e4703
Maß	w15_d809e4706
nehmungen	w1_d809e4711
in	w3_d809e4714
der	w5_d809e4717
Güte	w7_d809e4720
genommen,	w9_d809e4723
durch	w11_d809e4726
welche	w1_d809e4731
Sr.	w3_d809e4734
Allerchristlichsten	w5_d809e4737
Majestät	w7_d809e4740
die	w9_d809e4743
Wiedererstattung	w1_d809e4749
vorgedachten	w3_d809e4752
Capitals,	w5_d809e4755
in	w7_d809e4758
den	w1_d809e4763
jetzo	w3_d809e4766
verabredeten	w5_d809e4769
nämlichen	w7_d809e4772
Terminen	w9_d809e4775
</p>
<p id="p8_d809e4778">
zum	w1_d809e4782
Sr.	w3_d809e4785
Gardirischen	w5_d809e4788
Majsestät	w7_d809e4791
diesenlg	w9_d809e4794
Summe	w1_d809e4799
zu	w3_d809e4802
verschaffen,	w5_d809e4805
versichert	w7_d809e4808
werde.	w9_d809e4811
Se.	w1_d809e4816
Sardinische	w3_d809e4819
Majestät	w5_d809e4822
geloben	w7_d809e4825
ferner,	w9_d809e4828
für	w1_d809e4834
Sie	w3_d809e4837
sowol	w5_d809e4840
als	w7_d809e4843
für	w9_d809e4846
Jhre	w11_d809e4849
Nachfolger,	w13_d809e4853
ke	w15_d809e4856
|	w17_d809e4859
|	w19_d809e4862
ne	w1_d809e4867
Ursach	w3_d809e4870
oder	w5_d809e4873
Anspruch	w7_d809e4876
aufzusuchen,	w9_d809e4879
we	w11_d809e4882
der	w1_d809e4887
vorzubringen,	w3_d809e4890
welche	w5_d809e4893
jetzt=gedachte	w7_d809e4896
Wie	w9_d809e4899
dererstattung	w1_d809e4904
vermindern,	w3_d809e4907
oder	w5_d809e4910
weiter	w7_d809e4913
hin	w9_d809e4916
aus	w1_d809e4922
setzen	w3_d809e4925
können,	w5_d809e4928
weil	w7_d809e4931
unter	w9_d809e4934
den	w11_d809e4937
dreyen	w13_d809e4941
Höfen	w1_d809e4946
ausdrucklich	w3_d809e4949
verabredet	w5_d809e4952
ist,	w7_d809e4955
daß	w9_d809e4958
eine	w11_d809e4961
ganz	w1_d809e4966
andere	w3_d809e4969
Angelegenheit	w5_d809e4972
mit	w7_d809e4975
dieser,	w9_d809e4978
wel	w11_d809e4981
che	w1_d809e4986
den	w3_d809e4989
Gegenstand	w5_d809e4992
des	w7_d809e4995
gegenwärtigen	w9_d809e4998
Ver	w11_d809e5001
trags	w1_d809e5007
ausmachet,	w3_d809e5010
nichts	w5_d809e5013
gemeinschaftliches	w7_d809e5016
haben	w1_d809e5021
solle.	w3_d809e5024
</p>
<p id="p10_d809e5027">
Art.	w1_d809e5031
5.	w3_d809e5034
Jhre	w5_d809e5037
Allerchristlichste	w7_d809e5040
und	w9_d809e5043
Ca	w11_d809e5046
tholische	w1_d809e5051
Majestäten	w3_d809e5054
gehen	w5_d809e5057
ein,	w7_d809e5060
daß	w9_d809e5063
der	w11_d809e5066
Kö	w13_d809e5070
nig	w1_d809e5075
von	w3_d809e5078
Sardinien	w5_d809e5081
das	w7_d809e5084
Aequivalent	w9_d809e5087
der	w11_d809e5090
Zin	w13_d809e5094
sen	w1_d809e5100
des	w3_d809e5103
Placenzischen	w5_d809e5106
Landes	w7_d809e5109
bis	w9_d809e5112
an	w11_d809e5115
den	w13_d809e5119
Nu	w15_d809e5122
eraefluß,	w1_d809e5127
vom	w3_d809e5130
10ten	w5_d809e5133
Merz	w7_d809e5136
dieses	w9_d809e5139
Jahrs,	w11_d809e5142
als	w1_d809e5147
dem	w3_d809e5150
Tage	w5_d809e5153
der	w7_d809e5156
Auswechslung	w9_d809e5159
der	w11_d809e5162
Ratifi	w13_d809e5166
cationen	w1_d809e5171
des	w3_d809e5174
Friedens=tractats	w5_d809e5177
zwischen	w7_d809e5180
Frankreich,	w1_d809e5186
Spanien,	w3_d809e5189
und	w5_d809e5192
Engelland	w7_d809e5195
an	w9_d809e5198
zu	w1_d809e5203
rechnen,	w3_d809e5206
zu	w5_d809e5209
geniessen	w7_d809e5212
anfangen	w9_d809e5215
solle.	w11_d809e5218
Die	w13_d809e5222
se	w1_d809e5227
Zeit=rechnung	w3_d809e5230
ist	w5_d809e5233
so	w7_d809e5236
viel	w9_d809e5239
billiger,	w11_d809e5242
als	w13_d809e5246
die	w15_d809e5249
selbe	w1_d809e5254
mit	w3_d809e5257
jener	w5_d809e5260
übereinstimmet,	w7_d809e5263
welche	w9_d809e5266
durch	w11_d809e5269
das	w1_d809e5275
Schreiben	w3_d809e5278
des	w5_d809e5281
Allerchristlichen	w7_d809e5284
Königs	w9_d809e5287
den	w1_d809e5292
König=von	w3_d809e5295
Sordinien,	w5_d809e5298
d.	w7_d809e5301
d.	w9_d809e5304
5.	w11_d809e5307
Februari	w13_d809e5311
1759.	w1_d809e5316
bestimmet	w3_d809e5319
ist.	w5_d809e5322
</p>
<p id="p12_d809e5326">
Art.	w1_d809e5330
6.	w3_d809e5333
Jndem	w5_d809e5336
es	w7_d809e5339
geziemet	w9_d809e5342
ist,	w11_d809e5345
daß	w13_d809e5349
die	w15_d809e5352
bey	w1_d809e5357
dem	w3_d809e5360
Aachner=frieden	w5_d809e5363
contrahirende	w7_d809e5366
Mächte	w1_d809e5371
über	w3_d809e5374
alle	w5_d809e5377
Einrichtungen,	w7_d809e5380
die	w9_d809e5383
sich	w11_d809e5386
auf	w1_d809e5392
nur	w3_d809e5395
gedachten	w5_d809e5398
Tractat	w7_d809e5401
beziehen,	w9_d809e5404
unter	w11_d809e5407
richtet	w1_d809e5412
werden,	w3_d809e5415
so	w5_d809e5418
soll	w7_d809e5421
gegenwärtiger	w9_d809e5424
Ver	w11_d809e5427
trag	w1_d809e5432
Denselben	w3_d809e5435
mitgetheilet	w5_d809e5438
werden,	w7_d809e5441
und	w9_d809e5444
dem	w1_d809e5449
Zufolge	w3_d809e5452
werden	w5_d809e5455
die	w7_d809e5458
drey	w9_d809e5461
contrahirende	w11_d809e5464
Monarchen	w1_d809e5470
ihre	w3_d809e5473
Gewährleistung	w5_d809e5476
ersuchen.	w7_d809e5479
</p>
<p id="p14_d809e5482">
Art.	w1_d809e5486
7.	w3_d809e5489
Die	w5_d809e5492
Ratificationen	w7_d809e5495
des	w9_d809e5498
gegen	w11_d809e5501
wärtigen	w1_d809e5506
Vertrags	w3_d809e5509
sollen	w5_d809e5512
in	w7_d809e5515
einem	w9_d809e5518
Mo	w11_d809e5521
nat,	w1_d809e5526
oder	w3_d809e5529
wenn	w5_d809e5532
es	w7_d809e5535
möglich	w9_d809e5538
ist,	w11_d809e5541
noch	w13_d809e5545
eher	w15_d809e5548
ausgewechselt	w1_d809e5554
werden.	w3_d809e5557
</p>
<p id="p16_d809e5560">
Zu	w1_d809e5564
Urkund	w3_d809e5567
dessen	w5_d809e5570
haben	w7_d809e5573
Wir	w9_d809e5576
bevollmäch	w11_d809e5579
tigte	w1_d809e5584
Ministers	w3_d809e5587
Jhrer	w5_d809e5590
Majestäten	w7_d809e5593
des	w9_d809e5596
Aller	w11_d809e5599
christlichsten	w1_d809e5604
Königs,	w3_d809e5607
des	w5_d809e5610
Catholischen	w7_d809e5613
Kö	w9_d809e5616
</p>
<p id="p22_d809e5629">
nigs,	w1_d809e5633
und	w3_d809e5636
des	w5_d809e5639
Königs	w7_d809e5642
von	w9_d809e5645
Sardinien,	w11_d809e5648
in	w13_d809e5652
Deren	w1_d809e5657
Namen,	w3_d809e5660
und	w5_d809e5663
in	w7_d809e5666
Kraft	w9_d809e5669
Unserer	w11_d809e5672
Voll	w13_d809e5676
machten	w1_d809e5681
gegenwärtigen	w3_d809e5684
Vertrag	w5_d809e5687
eingehän	w7_d809e5690
dig	w1_d809e5696
unterzeichnet,	w3_d809e5699
und	w5_d809e5702
mit	w7_d809e5705
Unseren	w9_d809e5708
Wappen	w11_d809e5711
petschaften	w1_d809e5716
besigeln	w3_d809e5719
lassen.	w5_d809e5722
So	w7_d809e5725
geschehen	w9_d809e5728
Paris	w1_d809e5733
den	w3_d809e5736
10.	w5_d809e5739
Juni	w7_d809e5742
1763.	w9_d809e5745
</p>
<head id="h2_d809e5751">
(L.	w1_d809e5755
S.)	w3_d809e5758
Choisenl	w5_d809e5761
Duc	w7_d809e5764
de	w9_d809e5767
Praslin.	w11_d809e5770
(L.	w1_d809e5775
S.)	w3_d809e5778
El.	w5_d809e5781
Marquis	w7_d809e5784
de	w9_d809e5787
Grimaldi.	w11_d809e5790
(L.	w1_d809e5795
S.)	w3_d809e5798
Le	w5_d809e5801
Bailli	w7_d809e5804
Solar	w9_d809e5807
de	w11_d809e5810
Breille.	w13_d809e5814
Separat=articulu.	w1_d809e5820
</head>
<p id="p4_d809e5823">
Art.	w1_d809e5827
1.	w3_d809e5830
Da	w5_d809e5833
einige	w7_d809e5836
Titel,	w9_d809e5839
deren	w11_d809e5842
sich	w13_d809e5846
die	w15_d809e5849
contrabirende	w1_d809e5854
Mächte	w3_d809e5857
in	w5_d809e5860
den	w7_d809e5863
Vollmachten	w9_d809e5866
der	w1_d809e5871
Ministern,	w3_d809e5874
welche	w5_d809e5877
den	w7_d809e5880
heute	w9_d809e5883
getroffenen	w11_d809e5886
Vertrag	w1_d809e5892
unterzeichnet,	w3_d809e5895
bedienet	w5_d809e5898
haben	w7_d809e5901
nicht	w9_d809e5904
überhaupt	w1_d809e5909
anerkannt	w3_d809e5912
werden,	w5_d809e5915
so	w7_d809e5918
ist	w9_d809e5921
man	w11_d809e5924
da	w13_d809e5928
hin	w1_d809e5933
einig	w3_d809e5936
geworden,	w5_d809e5939
daß	w7_d809e5942
hieraus	w9_d809e5945
für	w11_d809e5948
keinen	w13_d809e5952
der	w1_d809e5957
besagten	w3_d809e5960
schliessenden	w5_d809e5963
Theile	w7_d809e5966
jemals	w9_d809e5969
ein	w11_d809e5972
Nachtheil	w1_d809e5978
entstehen	w3_d809e5981
solle,	w5_d809e5984
und	w7_d809e5987
daß	w9_d809e5990
die,	w11_d809e5993
bey	w13_d809e5997
Gelegenheit	w1_d809e6002
des	w3_d809e6005
gegenwärtigen	w5_d809e6008
Vertrags,	w7_d809e6011
gebrauchte	w1_d809e6016
oder	w3_d809e6019
ausgelassene	w5_d809e6022
Titel	w7_d809e6025
zu	w9_d809e6028
keinem	w11_d809e6031
Bewpels	w1_d809e6036
angeführt	w3_d809e6039
werden,	w5_d809e6042
noch	w7_d809e6045
dienen	w9_d809e6048
sol	w11_d809e6051
len.	w1_d809e6057
</p>
<p id="p6_d809e6060">
Art.	w1_d809e6064
2.	w3_d809e6067
Es	w5_d809e6070
ist	w7_d809e6073
ausgemacht	w9_d809e6076
und	w11_d809e6079
fesige	w13_d809e6083
setzt	w1_d809e6088
worden,	w3_d809e6091
daß	w5_d809e6094
die	w7_d809e6097
Französische	w9_d809e6100
Sprache,	w11_d809e6103
deren	w1_d809e6108
man	w3_d809e6111
sich	w5_d809e6114
in	w7_d809e6117
allen	w9_d809e6120
Exemplaren	w11_d809e6123
des	w13_d809e6127
ge	w15_d809e6130
genwärtigen	w1_d809e6136
Vertrags	w3_d809e6139
bedienet	w5_d809e6142
hat,	w7_d809e6145
zu	w9_d809e6148
kei	w11_d809e6151
nem	w1_d809e6156
Beyspiel	w3_d809e6159
dienen	w5_d809e6162
soll,	w7_d809e6165
welches	w9_d809e6168
weder	w11_d809e6171
an	w13_d809e6175
geführet,	w1_d809e6180
noch	w3_d809e6183
zum	w5_d809e6186
Beweis=gründe	w7_d809e6189
dienen,	w9_d809e6192
noch	w1_d809e6197
einem	w3_d809e6200
ober	w5_d809e6203
andern	w7_d809e6206
der	w9_d809e6209
contrahirenden	w11_d809e6212
Theilen	w1_d809e6218
auf	w3_d809e6221
keinerley	w5_d809e6224
Weise	w7_d809e6227
nachtheilig	w9_d809e6230
seyn	w11_d809e6233
könne,	w1_d809e6238
und	w3_d809e6241
daß	w5_d809e6244
man	w7_d809e6247
sich	w9_d809e6250
inskünftig	w11_d809e6253
nach	w13_d809e6257
dem	w1_d809e6262
jenigen	w3_d809e6265
richten	w5_d809e6268
solle,	w7_d809e6271
was	w9_d809e6274
in	w11_d809e6277
Ansehung	w13_d809e6281
und	w1_d809e6286
von	w3_d809e6289
Seiten	w5_d809e6292
derjenigen	w7_d809e6295
Mächte	w9_d809e6298
beobach	w11_d809e6301
tet	w1_d809e6307
worden,	w3_d809e6310
oder	w5_d809e6313
beobachtet	w7_d809e6316
werden	w9_d809e6319
soll,	w11_d809e6322
welche	w1_d809e6327
vermögen,	w3_d809e6330
und	w5_d809e6333
das	w7_d809e6336
Recht	w9_d809e6339
haben,	w11_d809e6342
Exemplaren	w1_d809e6347
von	w3_d809e6350
dergleichen	w5_d809e6353
Verträgen	w7_d809e6356
in	w9_d809e6359
ei	w11_d809e6362
ner	w1_d809e6367
andern,	w3_d809e6370
als	w5_d809e6373
der	w7_d809e6376
Französischen	w9_d809e6379
Sprache	w11_d809e6382
zu	w1_d809e6388
geben	w3_d809e6391
und	w5_d809e6394
zu	w7_d809e6397
empfangen.	w9_d809e6400
Nichts	w11_d809e6403
destö	w13_d809e6407
weniger	w1_d809e6412
soll	w3_d809e6415
gegenwärtiger	w5_d809e6418
Vertrag	w7_d809e6421
eben	w9_d809e6424
die	w11_d809e6427
selbe	w1_d809e6432
Kraft	w3_d809e6435
und	w5_d809e6438
Wirkung	w7_d809e6441
haben,	w9_d809e6444
als	w11_d809e6447
wann	w13_d809e6451
obgedachter	w1_d809e6456
Gebrauch	w3_d809e6459
in	w5_d809e6462
sebigem	w7_d809e6465
beobachtt	w9_d809e6468
worden	w1_d809e6474
wäre.	w3_d809e6477
</p>
<p id="p8_d809e6480">
Gegenwärtige	w1_d809e6484
Separat=artieuln	w3_d809e6487
sollen	w5_d809e6490
eben	w1_d809e6495
dieselbe	w3_d809e6498
Kraft	w5_d809e6501
haben,	w7_d809e6504
als	w9_d809e6507
wären	w11_d809e6510
sie	w13_d809e6514
dem	w15_d809e6517
Vertrag	w1_d809e6522
einverleibt	w3_d809e6525
.	w5_d809e6528
|	w7_d809e6531
</p>
<p id="p10_d809e6534">
Zu	w1_d809e6538
dessen	w3_d809e6541
Urkund	w5_d809e6544
haben	w7_d809e6547
Wir	w9_d809e6550
unterschrie	w11_d809e6553
bene	w1_d809e6558
Botschaftere	w3_d809e6561
und	w5_d809e6564
gevollmächeige	w7_d809e6567
Mini	w9_d809e6570
stere	w1_d809e6575
Jhrer	w3_d809e6578
Allerchristlichsten	w5_d809e6581
Catholischen	w7_d809e6584
und	w1_d809e6590
Sardinischer	w3_d809e6593
Majestäten	w5_d809e6596
gegenwärtige	w7_d809e6599
Separat=articuln	w1_d809e6604
unterzeichnet,	w3_d809e6607
und	w5_d809e6610
mit	w7_d809e6613
Unsern	w1_d809e6618
Woppen=petschaften	w3_d809e6621
besiegeln	w5_d809e6624
las	w7_d809e6627
sen.	w1_d809e6632
So	w3_d809e6635
geschehen	w5_d809e6638
zu	w7_d809e6641
Paris	w9_d809e6644
den	w11_d809e6647
10ten	w13_d809e6651
Junii	w15_d809e6654
1763.	w1_d809e6660
</p>
<p id="p12_d809e6664">
(L.	w1_d809e6668
S.)	w3_d809e6671
Choiseul,	w5_d809e6674
Duc	w7_d809e6677
de	w9_d809e6680
Breille.	w11_d809e6683
(L.	w1_d809e6688
S.)	w3_d809e6691
El	w5_d809e6694
Marquis	w7_d809e6697
de	w9_d809e6700
