<doc id="edoc_wd_1726-09-11" attrs="word" year="1726" month="09" day="11" corpus="1">
<head id="hl1">
St	w54
Leu=te	w377
<g/>
=
decretiret	w379
ward	w380
<g/>
;
welche	w382
auch	w383
würklich	w384
er=folgte	w385
<g/>
=
<g/>
;
und	w388
seynd	w389
dieselbe	w390
nachhero	w391
durch	w392
ein	w393
von	w394
Seiner	w395
Königl	w396
<g/>
.
Majestät	w398
bekräftig=tes	w399
<g/>
=
Urtheil	w401
auf	w402
eine	w403
Zeit	w404
lang	w405
aus	w406
dem	w407
Kö=nigreich	w408
<g/>
=
verbannet	w410
worden	w411
<g/>
/
dergestalten	w413
daß	w414
einige	w415
derselben	w416
nach	w417
denen	w418
Africanischen	w419
Cüsten	w420
<g/>
/
und	w422
die	w423
andern	w424
nach	w425
Jndien	w426
über=schiffet	w427
<g/>
=
werden	w429
solten	w430
<g/>
.
Der	w432
Corregidor	w433
aber	w434
hat	w435
<g/>
/
weilen	w437
er	w438
sein	w439
Amt	w440
hiebey	w441
nicht	w442
ge=bührend	w443
<g/>
=
verwaltet	w445
<g/>
/
seinen	w447
Abschied	w448
bekom=men	w449
<g/>
=
<g/>
.
</p>
<p id="p8">
Mit	w452
Briefen	w453
von	w454
Mazagan	w455
vernimmet	w456
man	w457
<g/>
/
daß	w459
nach	w460
dem	w461
Vergleich	w462
<g/>
/
den	w464
der	w465
Kö=nig	w466
<g/>
=
von	w468
Mequinez	w469
eingegangen	w470
ware	w471
<g/>
/
et=liche	w473
<g/>
=
Portugesische	w475
Sclaven	w476
in	w477
seinem	w478
Kö=nigreiche	w479
<g/>
=
<g/>
/
gegen	w482
die	w483
Mohren	w484
<g/>
/
so	w486
in	w487
Maza-gan	w488
<g/>
-
in	w490
Sclaverey	w491
gehalten	w492
werden	w493
<g/>
/
auszu=wechseln	w495
<g/>
=
<g/>
/
besagte	w498
Portugesische	w499
Sclaven	w500
aus	w501
Mequinez	w502
ausgezogen	w503
wären	w504
<g/>
;
allein	w506
ein	w507
Ab=gefallener	w508
<g/>
=
hätte	w510
hernach	w511
dem	w512
König	w513
vorge=stellet	w514
<g/>
=
<g/>
/
es	w517
gezieme	w518
sich	w519
nicht	w520
<g/>
/
Christen	w522
<g/>
/
so	w524
von	w525
dem	w526
Zustand	w527
seines	w528
Landes	w529
<g/>
/
und	w531
seiner	w532
Einkünften	w533
unterrichtet	w534
wären	w535
<g/>
/
auf	w537
freyen	w538
Fuß	w539
zu	w540
stellen	w541
<g/>
;
worauf	w543
sie	w544
der	w545
König	w546
wie=der	w547
<g/>
=
in	w549
die	w550
Stadt	w551
zurük	w552
kommen	w553
lassen	w554
<g/>
/
und	w556
da	w557
sie	w558
ihme	w559
vorgestellet	w560
worden	w561
<g/>
/
hätte	w563
er	w564
ihnen	w565
befohlen	w566
<g/>
/
den	w568
Catholischen	w569
Glauben	w570
abzuschwören	w571
<g/>
/
oder	w573
das	w574
Leben	w575
zu	w576
lassen	w577
<g/>
;
und	w579
da	w580
sie	w581
beständig	w582
darauf	w583
verblieben	w584
<g/>
/
viel	w586
lieber	w587
den	w588
Tod	w589
zu	w590
Leiden	w591
<g/>
/
als	w593
den	w594
wahren	w595
Glauben	w596
zu	w597
verläugnen	w598
<g/>
/
hätte	w600
er	w601
sie	w602
alle	w603
<g/>
/
als	w605
Martirer	w606
<g/>
.
<g/>
/
hinrichten	w609
lassen	w610
<g/>
.
Worauf	w612
der	w613
König	w614
seinen	w615
Kriegs	w616
<g/>
=
Leuten	w618
alsobald	w619
befohlen	w620
<g/>
/
sie	w622
solten	w623
vermittelst	w624
ihres	w625
Hin	w626
</p>
<p id="p9">
terhalts	w630
in	w631
denen	w632
Wäldern	w633
<g/>
/
andere	w635
Portu=gesen	w636
<g/>
=
zu	w638
Sclaven	w639
machen	w640
<g/>
/
mit	w642
welchen	w643
er	w644
die	w645
abgeredete	w646
Auswechslung	w647
gegen	w648
die	w649
Mohren	w650
<g/>
/
so	w652
zu	w653
Mazagan	w654
Sclaven	w655
seynd	w656
<g/>
/
bewerkstelligen	w658
könne	w659
<g/>
;
aber	w661
Don	w662
Antonio	w663
von	w664
Miranda	w665
Enriquez	w666
<g/>
,
Gubernator	w668
des	w669
Platzes	w670
<g/>
/
hätte	w672
sie	w673
<g/>
/
so	w675
bald	w676
er	w677
von	w678
der	w679
Bar=barischen	w680
<g/>
=
Grausamkeit	w682
<g/>
/
die	w684
der	w685
König	w686
be=gangen	w687
<g/>
=
<g/>
/
Bericht	w690
erhalten	w691
<g/>
/
in	w693
Portugall	w694
überschiket	w695
<g/>
;
worüber	w697
der	w698
König	w699
so	w700
entrüstet	w701
worden	w702
<g/>
/
daß	w704
man	w705
sie	w706
in	w707
Portugall	w708
geschicket	w709
hätte	w710
<g/>
/
daß	w712
er	w713
des	w714
Nachts	w715
einen	w716
Hinterhalt	w717
von	w718
Kriegs	w719
<g/>
=
Volk	w721
in	w722
die	w723
Wege	w724
<g/>
/
so	w726
nach	w727
die=sem	w728
<g/>
=
Platze	w730
gehen	w731
<g/>
/
geleget	w733
<g/>
/
daß	w735
sie	w736
des	w737
Mor=gens	w738
<g/>
=
die	w740
Wacht	w741
<g/>
/
welche	w743
die	w744
jenigen	w745
<g/>
/
so	w747
Holtz	w748
zu	w749
hauen	w750
heraus	w751
gehen	w752
würden	w753
<g/>
/
bedeken	w755
müste	w756
<g/>
/
überfallen	w758
solten	w759
<g/>
;
welches	w761
die	w762
Moh=ren	w763
<g/>
=
mit	w765
solchem	w766
Ungestüm	w767
thaten	w768
<g/>
/
daß	w770
sie	w771
die	w772
Portugesische	w773
Wacht	w774
in	w775
Unordnung	w776
brach=ten	w777
<g/>
=
<g/>
;
allein	w780
der	w781
Gubernator	w782
sandte	w783
eine	w784
Ver=stärkung	w785
<g/>
=
<g/>
/
dieselbe	w788
zu	w789
unterstützen	w790
<g/>
/
und	w792
nach	w793
einem	w794
zwey	w795
<g/>
=
stündigen	w797
Gefechte	w798
<g/>
/
wurden	w800
die	w801
Mohren	w802
zertrennet	w803
<g/>
/
und	w805
geschlagen	w806
<g/>
/
unge=achtet	w808
<g/>
=
ihrer	w810
an	w811
der	w812
Zahl	w813
über	w814
1000	w815
<g/>
.
<g/>
/
und	w818
derer	w819
Portugesen	w820
nur	w821
150	w822
<g/>
.
zu	w824
Fuß	w825
<g/>
/
und	w827
80	w828
<g/>
.
Reuter	w830
waren	w831
<g/>
.
Die	w833
Portugesen	w834
haben	w835
in	w836
diesem	w837
Treffen	w838
<g/>
/
nur	w840
5	w841
<g/>
.
Mann	w843
verloren	w844
<g/>
/
hingegen	w846
hat	w847
man	w848
40	w849
<g/>
.
erschlagene	w851
Mohren	w852
<g/>
/
und	w854
viele	w855
<g/>
/
so	w857
gefährlich	w858
verwundet	w859
waren	w860
<g/>
/
und	w862
die	w863
Unglaubigen	w864
nicht	w865
mit	w866
sich	w867
haben	w868
darvon	w869
schleppen	w870
können	w871
<g/>
/
auf	w873
der	w874
Wahlstatt	w875
gefunden	w876
<g/>
.
Man	w878
hat	w879
in	w880
dem	w881
Platze	w882
<g/>
/
wegen	w884
dieses	w885
glüklichen	w886
Streichs	w887
<g/>
/
das	w889
Te	w890
Deum	w891
unter	w892
Aussetzung	w893
des	w894
Hochwürdigsten	w895
Sa=craments	w896
<g/>
=
gesungen	w898
<g/>
.
</p>
<head id="hl3">
Petersburg	w900
13	w901
<g/>
.
Augusti	w903
<g/>
.
</head>
<p id="p10">
Jhre	w905
Majestät	w906
<g/>
/
unser	w908
allergnädigste	w909
Frau	w910
<g/>
/
haben	w912
nechst	w913
<g/>
=
verwichenen	w915
Sonntag	w916
vor	w917
<g/>
=
Mit=tag	w919
<g/>
=
dem	w921
GOttes	w922
<g/>
=
Dienst	w924
in	w925
der	w926
H	w927
<g/>
.
Dreyfal=tigkeits	w929
<g/>
=
<g/>
=
Kirchen	w932
beygewohnet	w933
<g/>
.
</p>
<p id="p11">
Die	w935
hiesige	w936
Academie	w937
deren	w938
Wissenschaften	w939
hat	w940
gestern	w941
die	w942
in	w943
ihren	w944
Gesätzen	w945
verordnete	w946
offentliche	w947
Conferenz	w948
gehalten	w949
<g/>
.
Jhre	w951
Rus=sische	w952
<g/>
=
Majestät	w954
haben	w955
dero	w956
allergnädigste	w957
Zu=neigung	w958
<g/>
=
zu	w960
dem	w961
Aufnehmen	w962
deren	w963
Wissen=schaften	w964
<g/>
=
nicht	w966
kräftiger	w967
bezeugen	w968
können	w969
<g/>
/
als	w971
daß	w972
sie	w973
in	w974
hoher	w975
Person	w976
in	w977
Begleitung	w978
Seiner	w979
Hoheit	w980
des	w981
Hertzogs	w982
von	w983
Holstein	w984
<g/>
/
und	w986
des=sen	w987
<g/>
=
Durchl	w989
<g/>
.
Gemahlin	w991
<g/>
/
wie	w993
auch	w994
deren	w995
frem=den	w996
<g/>
=
und	w998
einheimischen	w999
hohen	w1000
Ministern	w1001
<g/>
/
und	w1003
einigen	w1004
von	w1005
der	w1006
hohen	w1007
Geistlichkeit	w1008
<g/>
/
sich	w1010
un=ter	w1011
<g/>
=
einem	w1013
prächtigem	w1014
Thron	w1015
dabey	w1016
einzufin einzufinden	w1017
<g/>
=
</p>
<p id="p12">
den	w1019
die	w1020
Gnade	w1021
gehabt	w1022
<g/>
;
eine	w1024
ungemeine	w1025
An=zahl	w1026
<g/>
=
von	w1028
vornehmer	w1029
Personen	w1030
hat	w1031
den	w1032
Platz	w1033
zu	w1034
dieser	w1035
Feyerlichkeit	w1036
fast	w1037
zu	w1038
enge	w1039
ge=macht	w1040
<g/>
=
<g/>
.
Der	w1043
Herr	w1044
Professor	w1045
Bayer	w1046
hat	w1047
in	w1048
ei=ner	w1049
<g/>
=
wohlgesetzten	w1051
Teutschen	w1052
Rede	w1053
Jhre	w1054
Rus=sische	w1055
<g/>
=
Majestät	w1057
mit	w1058
algemeinen	w1059
Beyfall	w1060
an=geredet	w1061
<g/>
=
<g/>
;
der	w1064
Herr	w1065
Professor	w1066
Hermann	w1067
hat	w1068
in	w1069
Lateinischer	w1070
Sprache	w1071
de	w1072
ortu	w1073
<g/>
&
progressu	w1075
Geometriæ Geometriae	w1076
sehr	w1077
gelehrt	w1078
gehandelt	w1079
<g/>
/
und	w1081
die	w1082
Frage	w1083
darbey	w1084
erörtert	w1085
<g/>
/
ob	w1087
zu	w1088
hoffen	w1089
seye	w1090
<g/>
/
daß	w1092
nach	w1093
denen	w1094
Cartesianischen	w1095
Principiis	w1096
ein	w1097
Telescopium	w1098
könne	w1099
erfunden	w1100
werden	w1101
<g/>
/
durch	w1103
welches	w1104
man	w1105
die	w1106
Creaturen	w1107
<g/>
/
die	w1109
etwann	w1110
im	w1111
Mond	w1112
seyn	w1113
könten	w1114
<g/>
/
entdecken	w1116
möchte	w1117
<g/>
;
er	w1119
hat	w1120
solches	w1121
verneinet	w1122
<g/>
/
und	w1124
der	w1125
Herr	w1126
Hof	w1127
<g/>
=
Raht	w1129
Goldbach	w1130
hat	w1131
ihme	w1132
in	w1133
einer	w1134
zierlichen	w1135
Latei=nischen	w1136
<g/>
=
Rede	w1138
beygepflichtet	w1139
<g/>
:
beede	w1141
haben	w1142
das	w1143
würdige	w1144
Lob	w1145
Petri	w1146
des	w1147
Grossen	w1148
<g/>
/
und	w1150
Jh=rer	w1151
<g/>
=
Russischen	w1153
Majestät	w1154
nicht	w1155
vergessen	w1156
<g/>
:
die	w1158
gantze	w1159
Versammlung	w1160
hat	w1161
mit	w1162
Wunderung	w1163
angesehen	w1164
<g/>
/
daß	w1166
Jhre	w1167
Russische	w1168
Majestät	w1169
die	w1170
auserordentliche	w1171
Gnade	w1172
gehabt	w1173
<g/>
/
der	w1175
gan=tzen	w1176
<g/>
=
Conferenz	w1178
von	w1179
Anfang	w1180
bis	w1181
zum	w1182
Ende	w1183
mit	w1184
einer	w1185
vergnügten	w1186
Zufriedenheit	w1187
beyzu=wohnen	w1188
<g/>
=
<g/>
/
und	w1191
nachmalens	w1192
die	w1193
gesamte	w1194
Her=ren	w1195
<g/>
=
Professores	w1197
dero	w1198
hohen	w1199
Russischen	w1200
Be=schützung	w1201
<g/>
=
zu	w1203
versichern	w1204
<g/>
/
und	w1206
allergnädigst	w1207
zum	w1208
Hand	w1209
<g/>
=
Kuß	w1211
zu	w1212
lassen	w1213
<g/>
:
und	w1215
wurde	w1216
die=ser	w1217
<g/>
=
Actus	w1219
mit	w1220
einer	w1221
Vocal Vocalund	w1222
<g/>
-
und	w1224
Instrumen-tal	w1225
<g/>
-
<g/>
-
Music	w1228
angefangen	w1229
<g/>
/
und	w1231
beschlossen	w1232
<g/>
.
</p>
<head id="hl4">
Madrid	w1234
16	w1235
<g/>
.
Augusti	w1237
<g/>
.
</head>
<p id="p13">
Jhre	w1239
Catholischen	w1240
Majestäten	w1241
befinden	w1242
sich	w1243
nebst	w1244
der	w1245
Königl	w1246
<g/>
.
Familie	w1248
<g/>
,
auf	w1250
dem	w1251
Schloß	w1252
S	w1253
<g/>
.
Ildefons	w1255
<g/>
,
bey	w1257
gewüntschter	w1258
Ge=sundheit	w1259
<g/>
=
<g/>
;
alwo	w1262
sie	w1263
des	w1264
Morgens	w1265
frühe	w1266
dem	w1267
GOttes	w1268
<g/>
=
Dienst	w1270
abwarten	w1271
<g/>
/
und	w1273
des	w1274
nach	w1275
<g/>
=
Mittags	w1277
sich	w1278
mit	w1279
Spatzieren	w1280
<g/>
=
Fahren	w1282
in	w1283
de=nen	w1284
<g/>
=
Gärten	w1286
<g/>
/
oder	w1288
in	w1289
denen	w1290
in	w1291
derselben	w1292
Ge=gend	w1293
<g/>
=
ligenden	w1295
Waldungen	w1296
<g/>
/
erlustigen	w1298
<g/>
;
und	w1300
des	w1301
Abends	w1302
wohnet	w1303
der	w1304
König	w1305
gemeiniglich	w1306
der	w1307
Ausfertigung	w1308
derer	w1309
Schreiben	w1310
bey	w1311
<g/>
.
Der	w1313
Printz	w1314
<g/>
/
Don	w1316
Emanuel	w1317
<g/>
,
Infant	w1319
aus	w1320
Portu=gall	w1321
<g/>
=
<g/>
/
langete	w1324
den	w1325
8	w1326
<g/>
.
dieses	w1328
von	w1329
hier	w1330
alda	w1331
an	w1332
<g/>
/
und	w1334
gienge	w1335
alsobald	w1336
Jhre	w1337
Majestäten	w1338
zu	w1339
besuchen	w1340
<g/>
/
welche	w1342
ihn	w1343
allergnädigst	w1344
empfien=gen	w1345
<g/>
=
<g/>
.
Den	w1348
folgenden	w1349
Tag	w1350
besuchete	w1351
besag=ter	w1352
<g/>
=
Printz	w1354
<g/>
/
den	w1356
Printz	w1357
von	w1358
Asturien	w1359
<g/>
/
und	w1361
die	w1362
Infantin	w1363
<g/>
,
welche	w1365
ihn	w1366
unverzüglich	w1367
dar=auf	w1368
<g/>
=
wiederum	w1370
besuchten	w1371
<g/>
.
</p>
<p id="p14">
Der	w1373
König	w1374
hat	w1375
den	w1376
ergangenen	w1377
Befehl	w1378
<g/>
/
daß	w1380
die	w1381
gantz	w1382
<g/>
=
und	w1384
halbe	w1385
Realen	w1386
<g/>
/
alte	w1388
zwey zweyhältige	w1389
<g/>
=
</p>
<p id="p15">
hältige	w1392
Platt	w1393
<g/>
=
Stüker	w1395
<g/>
/
und	w1397
andere	w1398
Gelder	w1399
in	w1400
die	w1401
Königl	w1402
<g/>
.
Müntz	w1404
<g/>
=
Häuser	w1406
gebracht	w1407
<g/>
/
und	w1409
in	w1410
neues	w1411
Geld	w1412
von	w1413
gleichem	w1414
Halt	w1415
ver=müntzet	w1416
<g/>
=
werden	w1418
sollen	w1419
<g/>
/
bis	w1421
zu	w1422
Ende	w1423
die=ses	w1424
<g/>
=
Jahrs	w1426
verlängert	w1427
<g/>
.
</p>
<p id="p16">
Der	w1429
General	w1430
Don	w1431
Lucas	w1432
Spinola	w1433
hat	w1434
Be=fehl	w1435
<g/>
=
erhalten	w1437
nach	w1438
der	w1439
Seite	w1440
von	w1441
Valenci- en	w1442
<g/>
-
zu	w1444
gehen	w1445
<g/>
/
und	w1447
Befehle	w1448
zu	w1449
stellen	w1450
<g/>
/
daß	w1452
alle	w1453
unsere	w1454
See	w1455
<g/>
=
Cüsten	w1457
gegen	w1458
die	w1459
etwanni=ge	w1460
<g/>
=
Unternehmung	w1462
des	w1463
Engelländischen	w1464
Ge=schwaders	w1465
<g/>
=
in	w1467
Sicherheit	w1468
möchten	w1469
gestellet	w1470
werden	w1471
<g/>
.
Der	w1473
nach	w1474
Genua	w1475
gegangene	w1476
Mar-quis	w1477
<g/>
-
Mari	w1479
solle	w1480
alda	w1481
3	w1482
<g/>
.
Kriegs	w1484
<g/>
=
Schiffe	w1486
<g/>
/
je=des	w1488
<g/>
=
von	w1490
60	w1491
<g/>
.
Stüken	w1493
kauffen	w1494
<g/>
.
</p>
<p id="p17">
Zu	w1496
Cadix	w1497
seynd	w1498
2	w1499
<g/>
.
Kriegs	w1501
<g/>
=
Schiffe	w1503
der	w1504
Uberwinder	w1505
<g/>
/
und	w1507
der	w1508
St	w1509
<g/>
.
Joseph	w1511
nacher	w1512
West	w1513
<g/>
=
Jndien	w1515
mit	w1516
guter	w1517
Ausrüstung	w1518
Se=gel	w1519
<g/>
=
<g/>
=
fertig	w1522
<g/>
/
auch	w1524
werden	w1525
alda	w1526
noch	w1527
2	w1528
<g/>
.
Fracht	w1530
<g/>
=
Schiffe	w1532
mit	w1533
vieler	w1534
Kriegs	w1535
<g/>
=
Munition	w1537
unter	w1538
begleit	w1539
einer	w1540
andern	w1541
Fregatten	w1542
ausgerüstet	w1543
<g/>
/
welche	w1545
nach	w1546
dem	w1547
ersten	w1548
Jndianischen	w1549
Meer	w1550
<g/>
=
Pfort	w1552
Havana	w1553
<g/>
,
zu	w1555
dessen	w1556
Verstärkung	w1557
<g/>
/
ab=gehen	w1559
<g/>
=
sollen	w1561
<g/>
/
indeme	w1563
man	w1564
für	w1565
diesem	w1566
Meer	w1567
<g/>
=
Port	w1569
wegen	w1570
der	w1571
Anwesenheit	w1572
eines	w1573
Engel=ländischen	w1574
<g/>
=
Kriegs	w1576
<g/>
=
Geschwaders	w1578
unter	w1579
dem	w1580
Admiral	w1581
Hosier	w1582
in	w1583
West	w1584
<g/>
=
Jndien	w1586
sehr	w1587
be=hutsam	w1588
<g/>
=
ist	w1590
<g/>
.
Man	w1592
wolte	w1593
auch	w1594
<g/>
/
daß	w1596
die	w1597
letz=tere	w1598
<g/>
=
Advis	w1600
<g/>
-
Schiffe	w1602
<g/>
/
welche	w1604
von	w1605
besagtem	w1606
Cadix	w1607
nach	w1608
West	w1609
<g/>
=
Jndien	w1611
abgegangen	w1612
<g/>
/
die	w1614
Königl	w1615
<g/>
.
Befehl	w1617
an	w1618
alle	w1619
Gallionen	w1620
<g/>
/
und	w1622
an=dere	w1623
<g/>
=
Spanische	w1625
Schiffe	w1626
<g/>
/
welche	w1628
in	w1629
denen	w1630
Häfen	w1631
selbigen	w1632
Landes	w1633
lägen	w1634
<g/>
/
überbräch=ten	w1636
<g/>
=
<g/>
/
nach	w1639
Havanna	w1640
zu	w1641
gehen	w1642
<g/>
/
und	w1644
alda	w1645
bis	w1646
auf	w1647
weitere	w1648
Befehle	w1649
zu	w1650
bleiben	w1651
<g/>
.
</p>
<p id="p18">
Von	w1653
Barcellona	w1654
wird	w1655
als	w1656
von	w1657
etwas	w1658
ausserordentlichem	w1659
gemeldet	w1660
<g/>
/
daß	w1662
5	w1663
<g/>
.
aldasi=ge	w1665
<g/>
=
Jüngling	w1667
nach	w1668
der	w1669
eine	w1670
halbe	w1671
Stund	w1672
dorvon	w1673
entlegenen	w1674
Einsiedeley	w1675
von	w1676
S	w1677
<g/>
.
Ber-trand	w1679
<g/>
-
einen	w1681
Spatzier	w1682
<g/>
=
Gang	w1684
gethan	w1685
<g/>
/
und	w1687
unter	w1688
Wegs	w1689
unten	w1690
an	w1691
dem	w1692
Berg	w1693
Mousin	w1694
<g/>
,
worauf	w1696
diese	w1697
Einsiedeley	w1698
gelegen	w1699
<g/>
/
mit	w1701
grös=ser	w1702
<g/>
=
Unbedachtsamkeit	w1704
vieler	w1705
Orte	w1706
Früchten	w1707
<g/>
/
die	w1709
aus	w1710
kleinem	w1711
Gestrauch	w1712
hervor	w1713
<g/>
=
wachsen	w1715
<g/>
/
ge	w1717
<g/>
=
essen	w1719
<g/>
/
darauf	w1721
von	w1722
dem	w1723
Brunnen	w1724
der	w1725
Ein=siedeley	w1726
<g/>
=
<g/>
/
der	w1729
sonsten	w1730
für	w1731
ein	w1732
gesundes	w1733
Was=ser	w1734
<g/>
=
gehalten	w1736
wurde	w1737
<g/>
/
in	w1739
ihrem	w1740
grossen	w1741
Durst	w1742
vieles	w1743
Wasser	w1744
getrunken	w1745
<g/>
/
gleich	w1747
darauf	w1748
aber	w1749
einen	w1750
noch	w1751
heftigern	w1752
Durst	w1753
mit	w1754
grösten	w1755
Schmertzen	w1756
empfunden	w1757
hätten	w1758
<g/>
/
allen	w1760
Ver=stand	w1761
<g/>
=
verloren	w1763
<g/>
/
in	w1765
erschrökliche	w1766
Gichte	w1767
ver=fallen	w1768
<g/>
=
<g/>
/
anbey	w1771
sehr	w1772
aufgeschwollen	w1773
wären	w1774
<g/>
:
man	w1776
hätte	w1777
sie	w1778
hierauf	w1779
nacher	w1780
Barcellona	w1781
zuruk	w1782
ge=tragen	w1783
<g/>
=
und	w1785
seynd	w1786
4	w1787
<g/>
.
darvon	w1789
<g/>
/
ohne	w1791
daß	w1792
die	w1793
ih ihnen	w1794
<g/>
=
</p>
<p id="p19">
nen	w1796
beygebrachte	w1797
Artzneyen	w1798
etwas	w1799
helffen	w1800
wollen	w1801
<g/>
/
des	w1803
folgenden	w1804
Tags	w1805
gestorben	w1806
<g/>
;
der	w1808
Fünfte	w1809
aber	w1810
so	w1811
am	w1812
wenigsten	w1813
Wasser	w1814
getrun=ken	w1815
<g/>
=
<g/>
/
mit	w1818
Beyhilf	w1819
seiner	w1820
guten	w1821
Natur	w1822
noch	w1823
errettet	w1824
worden	w1825
<g/>
:
zu	w1827
mehr	w1828
<g/>
=
gemeldtem	w1830
Barcel-lona	w1831
<g/>
-
ware	w1833
nun	w1834
die	w1835
Medicinische	w1836
Facultät	w1837
in	w1838
Untersuchung	w1839
dieses	w1840
Gewächses	w1841
begriffen	w1842
<g/>
/
in	w1844
der	w1845
Meinung	w1846
<g/>
/
daß	w1848
solches	w1849
eine	w1850
Gattung	w1851
von	w1852
dem	w1853
giftigen	w1854
Stramonio	w1855
seyn	w1856
müsse	w1857
<g/>
.
</p>
<head id="hl5">
Bajonna	w1859
18	w1860
<g/>
.
Augusti	w1862
<g/>
.
</head>
<p id="p20">
Vor	w1864
wenig	w1865
Tagen	w1866
haben	w1867
wir	w1868
alhier	w1869
ein	w1870
erschröckliches	w1871
Ungewitter	w1872
gehabt	w1873
<g/>
/
wordurch	w1875
an	w1876
verschiedenen	w1877
Plätzen	w1878
durch	w1879
die	w1880
gefallene	w1881
grosse	w1882
Hagel	w1883
<g/>
=
